PERSONNAGES de la Comedie.	PERSONNAGES de la Comédie.
Es Faunes & les Driades recommencent leur L dance, que les Bergeres & Bergers Muſiciens entre-meſlent de leurs Chanſons, tandis que trois petites Driades, & trois petits Faunes, ſont paroître dans l’enfoncement du Theatre tout ce qui ſe paſſe ſur le devant.	Es Faunes et les Driades recommencent leur L dance, que les Bergères et Bergers Musiciens entre-mêlent de leurs Chansons, tandis que trois petites Driades, et trois petits Faunes, sont paraître dans l'enfoncement du Théâtre tout ce qui se passe sur le devant.
LES BERGERS, ET BERGERES.	LES BERGERS, ET BERGÈRES.
TOuïſſons, jouïſſons des plaiſirs innocens J Dont les feux de l’Amour, ſçavent charmer nes ſens, Des grandeurs, qui voudra ſe ſoucie, Tous ces honneurs dont on a tant d’envie, Ont des chagrins qui ſont vieilliſſans:	TOussons, jouissons des plaisirs innocents J Ont les feux de l'Amour, savent charmer nés sens, Des grandeurs, qui voudra se soucie, Tous ces honneurs dont on a tant d'envie, Ont des chagrins qui sont vieillissants:
Jouiſſons, jouiſſons des plaiſir innocens Dont les feux de l’amour ſçavent charmer nos ſens.	Jouissons, jouissons des plaisir innocents Dont les feux de l'amour savent charmer nos sens.
En aymant tout nous plaiſt dans la vis, Deux cœurs unis de leur ſort ſont contents, Cette ardeur de plaiſirs ſuivie, De tous nos jours fait d’eternels printemps?	En aimant tout nous plaît dans la vis, Deux cœurs unis de leur sort sont contents, Cette ardeur de plaisirs suivie, De tous nos jours fait d'éternels printemps?
Jouiſſons, jouiſſons des plaiſirs innocens Dont les feux de l’amour ſçavent charmer nes ſens.	Jouissons, jouissons des plaisirs innocents Dont les feux de l'amour savent charmer nés sens.
ACTE	ACTE
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARISTIONE, IPHICRATE, TIMOCLES, ANAXARQUE, CLITIDAS, ERIPHILE, SOSTRATE.	ARISTIONE, IPHICRATE, TIMOCLES, ANAXARQUE, CLITIDAS, ERIPHILE, SOSTRATE.
Suite.	Suite.
ARISTIONE.	ARISTIONE.
ES meſmes paroles toûjours ſe preſentent à dire.	ES mêmes paroles toujours se présent à dire.
Il faut toûjours s’éciler voila qui eſt adilauie, il ne ſe peut rien de plus beau, cela paſſe tout ce qu’on a jamais veu.	Il faut toujours s'éciler voilà qui est adilavie, il ne se peut rien de plus beau, cela passe tout ce qu'on a jamais vu.
TIMOCLES.	TIMOCLES.
C’eſt donner de trop grandes paroles, Madame, à de petites bagatelles.	C'est donner de trop grandes paroles, Madame, à de petites bagatelles.
ARISTIONE.	ARISTIONE.
Des bagatelles comme celles-là, peuvent occuper agréablement les plus ſerieuſes perſonnes.	Des bagatelles comme celles-là, peuvent occuper agréablement les plus sérieuses personnes.
En verité, ma Fille, voue eſtes bien obligée à ces Princes, & vous ne ſçauriez aſſez reconnoître tous les ſoins qu’ils prennent pour vous.	En vérité, ma Fille, voue êtes bien obligée à ces Princes, et vous ne sauriez assez reconnaître tous les soins qu'ils prennent pour vous.
ERIPHILE.	ERIPHILE.
J’en ay, Madame, tout le reſſentiment qu’il eſt poſſible.	J'en ai, Madame, tout le ressentiment qu'il est possible.
ARISTIONE.	ARISTIONE.
Cependant vous les faites long-temps languir, ſur ce qu’ils attendent de vous;	Cependant vous les faites longtemps languir, sur ce qu'ils attendent de vous;
j’ay promis de ne vous point contraindre, mais leur amour vous preſſe de vous déclarer;	j'ai promis de ne vous point contraindre, mais leur amour vous presse de vous déclarer;
& de ne plus traiſner en longueur la recompenſe de leurs ſervices.	et de ne plus traîner en longueur la récompense de leurs services.
J’ay chargé Soſtrate d’apprendre doucement de vous lesſentimens de vôtre cœur, & je ne ſçay pas s’il a commencé à s’acquiter de cette commiſſion.	J'ai chargé Sostrate d'apprendre doucement de vous lessentiments de votre cœur, et je ne sais pas s'il a commencé à s'acquiter de cette commission.
ERIPHILE.	ERIPHILE.
Oüy, Madame, mais il me ſemble que je ne puis aſſez reculer ce choix dont on me preſſe, & que je ne ſçaurois le faire ſans meriter quelque blâme Je me ſens également obligé à l’amour, aux empreſſemens, aux ſervices de ces deux Princes, & je trouve une eſpece d’injuſtice bien grande à me montrer ingrate, ou vers l’un, ou vers I'autre, par le rerus qu’il m’en faudra-faire dans la preference de ſon Rival.	Oui, Madame, mais il me semble que je ne puis assez reculer ce choix dont on me presse, et que je ne saurais le faire sans mériter quelque blâme Je me sens également obligé à l'amour, aux empressements, aux services de ces deux Princes, et je trouve une espèce d'injustice bien grande à me montrer ingrate, ou vers l'un, ou vers J'autre, par le reus qu'il m'en faudra-faire dans la préférence de son Rival.
IPHICRATE.	IPHICRATE.
Cela s’appelle, Madame, un fort honneſte compliment pour nous refuſer tous deux.	Cela s'appelle, Madame, un fort honnête compliment pour nous refuser tous deux.
ARISTIONE.	ARISTIONE.
Ce ſerupule, ma Fille, ne doit point vous inquieter, & ces Princes tous deux le ſont ſoûmis il y a long-temps à la preference que pourra faire vôtre inclination.	Ce serupule, ma Fille, ne doit point vous inquiéter, et ces Princes tous deux le sont soumis il y a longtemps à la préférence que pourra faire votre inclination.
ERIPHILE.	ERIPHILE.
L’inclination, Madame, eſt fort ſujete à ſe tromper, & des yeux deſintereilez ſont beaucoup plus capables de faire un juſte choix.	L'inclination, Madame, est fort sujet à se tromper, et des yeux desintereilez sont beaucoup plus capables de faire un juste choix.
AR TIONE.	AR TIONE.
Vous ſçavez que je ſuis engagée de parole à ne rien prononcer là deſſus, & parmy ces deux Princes vôtre inclination ne peut point ſe tromPer, ce laile ui enom qui foit mauvais.	Vous savez que je suis engagée de parole à ne rien prononcer là -dessus, et parmi ces deux Princes votre inclination ne peut point se tromPer, ce laile aile qui soit mauvais.
ERIPHILE.	ERIPHILE.
rour ne point vlolenter votre parole, ny mon ſcrupule, agréez, Madame, un moyen que j’oſe propoſer?	rour ne point vlolenter votre parole, ni mon scrupule, agréez, Madame, un moyen que j'ose proposer?
ARISTIONE.	ARISTIONE.
Quoy, ma Fille?	Quoi, ma Fille?
ERIPHILE.	ERIPHILE.
Que Soſtrate décide de cette preference.	Que Sostrate décide de cette préférence.
Vous I’avez pris pour découvrir le ſecret de mon cœur, ſouffrez que je le prenne pour me tirer de l’embaras où je me trouve.	Vous J'avez pris pour découvrir le secret de mon cœur, souffrez que je le prenne pour me tirer de l'embarras où je me trouve.
ARI3	ARI3
ARISTIONE.	ARISTIONE.
J’eſtime tant Soſtrate, que ſoit que vous vouliez vous ſervir de luy pour expliquer vos ſentimens, ou ſoit que vous vous en remettiez abſolument, à ſa conduite;	J'estime tant Sostrate, que soit que vous vouliez vous servir de Roi pour expliquer vos sentiments, ou soit que vous vous en remettiez absolument, à sa conduite;
je fais, dy je, tant d’eſtime de ſa vertu & de ſon jugement, que je conſens de tout mon cœur à la propoſition que vous me faites.	je fais, dis -je, tant d'estime de sa vertu et de son jugement, que je consens de tout mon cœur à la proposition que vous me faites.
IPHICRATE.	IPHICRATE.
Ceit à dire, Madame, qu’il nous faut faire nôtre Cour à Soſtrate?	Ceit à dire, Madame, qu'il nous faut faire notre Cour à Strate?
STRATE.	STRATE.
Non, Seigneur, vous n’aurez point de Cour à me faire, ce uree tout le reſpect que je dois aux Princeſſes, je renonce à la gloire ou elles Veulent In clever.	Non, Seigneur, vous n'aurez point de Cour à me faire, ce urée tout le respect que je dois aux Princesses, je renonce la gloire ou elles Veulent In clever.
ARISTIONE.	ARISTIONE.
D'où vient cela, Soſtrate?	D'où vient cela, Sostrate?
STRA TE.	STRA TE.
I’ay des raiſons, Madame, qui ne permettent pas que je reçoive l’honneur que vous me prelelteu.	J'ai des raisons, Madame, qui ne permettent pas que je reçoive l'honneur que vous me prelelteu.
IPHICRATE.	IPHICRATE.
Craignez-vous, Soſtrate, de vous faire un ennemy?	Craignez-vous, Sostrate, de vous faire un ennemi?
OSTRATE.	OSTRATE.
Je craindrois peu, Seigneur, les ennemis que je pourrois me faire en obeïſſant à mes Souveraines.	Je craindrais peu, Seigneur, les ennemis que je pourrais me faire en obéissant à mes Souveraines.
AMOCLES.	AMOCLES.
Par quelle raiſon donc, refuſez vous d’accepter le pouvoir qu’on vous donne, & de vous acquerir l’amitié d’un Prince qui vous devroit tout ſon bonheur?	Par quelle raison donc, refusez -vous d'accepter le pouvoir qu'on vous donne, et de vous acquérir l'amitié d'un Prince qui vous devrait tout son bonheur?
TRATE.	TRATE.
Par la raiſon que je ne ſuis pas en eſtat d’accorder à ce Prince ce qu’il ſoûhaiteroit de moy,	Par la raison que je ne suis pas en état d'accorder à ce Prince ce qu'il souhaiterait de moi,
H iCRATE.	H iCRATE.
Quelle pourroit eſtre cette raiſon?	Quelle pourrait être cette raison?
OSTRATE.	OSTRATE.
Pourquoy me tant preſſer là-deſſus.	Pourquoi me tant presser là-dessus.
Peut-eſtre ay-je, Seigneur, quelque intereſt ſecret qui s’oppoſe aux pretentions de vôtre amour.	Peut-être ai-je, Seigneur, quelque intérêt secret qui s'oppose aux prétentions de votre amour.
Peut eſtre ay-je un amy qui brûle ſans oſer le dire, d’une flâme reſpectueuſe pour les charmes divins dont vous eſtes épris.	Peut être ai-je un ami qui brûle sans oser le dire, d'une flamme respectueuse pour les charmes divins dont vous êtes épris.
Peut-eſtre cet amy me fait il tous les jours confidence deſon martyre;	Peut-être cet ami me fait -il tous les jours confidence des martyre;
qu’il ſe plaint à moy tous les jous des rigueurs de ſa deſtinée, & regarde l’Hymen de la Princeſſe, ainſi que l’arreſt redoutable qui le doit pouſſer au tombeau?	qu'il se plaint à moi tous les jous des rigueurs de sa destinée, et regarde l'Hymen de la Princesse, ainsi que l'arrêt redoutable qui le doit pousser au tombeau?
& ſi cela eſtoit, Seigneur, ſeroit-il raiſonnable que ce fuſt de ma main qu’il receût le coup de la mort?	et si cela était, Seigneur, serait-il raisonnable que ce fût de ma main qu'il reçut le coup de la mort?
l.	l.
aIl Mlr.	aIl Mleur.
Vous auriez bien la mine, Soſtrate, d’être vous- meſme cet amy, dont vous prenez les intereſts.	Vous auriez bien la mine, Sostrate, d'être vous- même cet ami, dont vous prenez les intérêts.
OSTRATE.	OSTRATE.
Ne cherchez point, de grace, à me rendre odieux aux perſonnes qui vous écoûtent;	Ne cherchez point, de grâce, à me rendre odieux aux personnes qui vous écoutent;
je ſçay me connoître, Seigneur, & les malheurc.	je sais me connaître, Seigneur, et les malheurc.
comme moy n’ignorent pas juſques où leur fortune leur permet d aipiler.	comme moi n'ignorent pas jusques où leur fortune leur permet d aipiler.
ARISTIONE.	ARISTIONE.
Laiſſons-cela, nous trouverons moyen de terminer l’irreſolution de ma Fille.	Laissons-cela, nous trouverons moyen de terminer l'irrésolution de ma Fille.
AN AXARQUE.	AN AXARQUE.
En eſt-il un meilleur, Madame, pour terminer les choſes au contentement de tout le monde, que Ies lumieres que le Ciel peut donner ſur ce Mariage?	En est-il un meilleur, Madame, pour terminer les choses au contentement de tout le monde, que Jes lumières que le Ciel peut donner sur ce Mariage?
J’ay commencé comme je vous ay dit, a jetter pour cela les figures myſterieuſes que nôtre art nous enſeigne, & j’eſpere vous faire voir tantôt ce que l’avenir garde a cette union ſoûhaitée.	J'ai commencé comme je vous ai dit, a jeter pour cela les figures mystérieuses que notre art nous enseigne, et j'espère vous faire voir tantôt ce que l'avenir garde a cette union souhaitée.
Aprés cela pourra-t.	Après cela pourra-t.
on balancer encore?	on balancer encore?
La gloire & les proſperitez que le Ciel promettra, ou à l’un, ou à I’autre choix, ne ſeront-elles pas ſaffiſantes pour le déterminer, & celuy qui ſera exclus, pourra-t-il s’offencer quand ce ſera le Oler jar cecidera cette preference?	La gloire et les prospérités que le Ciel promettra, ou à l'un, ou à J'autre choix, ne seront-elles pas saffisantes pour le déterminer, et celui qui sera exclus, pourra-t-il s'offenser quand ce sera le Oler jar cecidera cette préférence?
Pour moy je m’y ſoûmets entierement, & je déclare que cette voye me ſemble la plus raiſonnable.	Pour moi je m'y soumets entièrement, et je déclare que cette voie me semble la plus raisonnable.
TIMOCLES.	TIMOCLES.
oluis de memne avis;	oluis de memne avis;
& le Cierne rgauroit rien faire ou je ne ſouſcrive ſans repugnance.	et le Cierne rgaurait rien faire ou je ne souscrive sans répugnance.
ERIPHILE.	ERIPHILE.
Mais, Seigneur Anaxarque, voyez vous ſi clair dans les deſtinées, que vous ne vous trompiez jamais, & ces proſperitez, & cette gloire que vous dites que le Ciel nous promet, qui en ſera caution, je vous prie?	Mais, Seigneur Anaxarque, voyez vous si clair dans les destinées, que vous ne vous trompiez jamais, et ces prospérité, et cette gloire que vous dites que le Ciel nous promet, qui en sera caution, je vous prie?
ARESTTONE.	ARESTTONE.
Ma Fille, vous avez une petite incredulité qui ne vous quitte point.	Ma Fille, vous avez une petite incredulité qui ne vous quitte point.
ANAXARQUE, Lès épreuves, Madame, que tout le monde a veuës de l’infaillibilité de mes predictions, ſont les cautions ſuffiſantes des promeſſes que je puis faire.	ANAXARQUE, Lès épreuves, Madame, que tout le monde a vues de l'infaillibilité de mes prédictions, sont les cautions suffises des promesses que je puis faire.
muigenmn, quand je vous atray fait voir cé que le Ciel vous marque, vous vous reglerez la deſſus, à vôtre fantaiſie, & ce ſera à vous à prendre la fortune de l’un, où de l’autre choix.	muigenmn, quand je vous atrai fait voir cé que le Ciel vous marque, vous vous réglerez la -dessus, à votre fantaisie, et ce sera à vous à prendre la fortune de l'un, où de l'autre choix.
RIPHILE.	RIPHILE.
Le Ciel, Anaxarque, me marquera les deux loltanes dui ln accencents	Le Ciel, Anaxarque, me marquera les deux loltanes dui l' accencents
AVAXARQUE.	AUAXARQUE.
Oüy, Madame, felicitez qui vous ſuivront, ſi vous épouſez l’un, & les diſgraces qui vous accompagneront, ſi vous épouſez l’autre.	Oui, Madame, félicitez qui vous suivront, si vous épousez l'un, et les disgrâces qui vous accompagneront, si vous épousez l'autre.
RIPHILE.	RIPHILE.
Mais comme il eſt impoſſible que je les épouſe tous deux, il faut donc qu’on trouve écrit dans le Ciel, non ſeulement ce qui doit arriver, mais auſſi ce qui ne doit pas arriver.	Mais comme il est impossible que je les épouse tous deux, il faut donc qu'on trouve écrit dans le Ciel, non seulement ce qui doit arriver, mais aussi ce qui ne doit pas arriver.
L ITIDAS.	 LTIDAS.
Voilà mon Aſtrologue embaraſſé.	Voilà mon Astrologue embarrassé.
ANAXARQUE.	ANAXARQUE.
Il faudroit vous faire, Madame, une longue diſcution des principes de l’Aſtrologie pour vous faire comprendre cela.	Il faudrait vous faire, Madame, une longue discution des principes de l'Astrologie pour vous faire comprendre cela.
LITIDAS.	LITIDAS.
Bien répondu.	Bien répondu.
Madame, je ne dis point de munuePrintrorogie;	Madame, je ne dis point de munuePrintrorogie;
Praſtrorogle en une Delle choſe, & le Seigneur Anaxarque eſt un grand homme.	Prastrorogle en une Delle chose, et le Seigneur Anaxarque est un grand homme.
HICRATE.	HICRATE.
La verité de l’Aſtrologie eſt une choſe inconteſtable, & il n’y a perſonne qui puiſſe diſputer contre la certitude de ſes predictions.	La vérité de l'Astrologie est une chose incontestable, et il n'y a personne qui puisse disputer contre la certitude de ses prédictions.
CLITIDAS.	CLITIDAS.
Aſſurement.	Assurement.
TIMOCLES.	TIMOCLES.
Je ſuis aſſez incredule pour quantité de choſes, mais pour ce qui eſt de l’Aſtrologie, il n’y a rien de plus ſeur & de plus conſtant, que le ſuccés des Horoſcopes qu’elle tire.	Je suis assez incrédule pour quantité de choses, mais pour ce qui est de l'Astrologie, il n'y a rien de plus sûr et de plus constant, que le succès des Horoscopes qu'elle tire.
LITIDAS.	LITIDAS.
Ce lont des enoies les prus claires du monde.	Ce lont des enoies les prus claires du monde.
IPHICRATE.	IPHICRATE.
Cent aventures predites arrivent tous les jours, qui convainquent les plus opiniâtres.	Cent aventures prédites arrivent tous les jours, qui convainquent les plus opiniâtres.
Il eſt vray.	Il est vrai.
CLITIDAS.	CLITIDAS.
TIMOCLES.	TIMOCLES.
Peut-on conteſteriur cette ſatiere les incidens celebres, dont les Hiſtoires nous font foy?	Peut-on contesteriur cette satière les incidents célèbres, dont les Histoires nous font foi?
LLITIDAS.	LLITIDAS.
Il faut n’avoir pas le ſens commun.	Il faut n'avoir pas le sens commun.
Le moyen de conteſter ce qui eſt moulé.	Le moyen de contester ce qui est moulé.
ARISTIONE.	ARISTIONE.
Soſtrate n’en dit mot, quel eſt ſon ſentiment là deſſus?	Sostrate n'en dit mot, quel est son sentiment là dessus?
OSTRATE.	OSTRATE.
Madame, tous les eſprits ne ſont pas nez avec les qualitez qu’il faut pour la dellcatenle de ces belles belles Sciences, qu’on nomme curieuſes, & il y en a de ſi materiels, qu’ils ne peuvent aucunement comprendre ce que d’autres conçoivent le plus facilement du monde.	Madame, tous les esprits ne sont pas nés avec les qualités qu'il faut pour la dellcatenle de ces belles belles Sciences, qu'on nomme curieuses, et il y en a de si matériels, qu'ils ne peuvent aucunement comprendre ce que d'autres conçoivent le plus facilement du monde.
Il n’eſt rien de plus agreable, Madame, que toutes les grandes promeſſes de ces connoiſſances ſublimes.	Il n'est rien de plus agréable, Madame, que toutes les grandes promesses de ces connaissances sublimes.
Transformer tout en or, faire vivre éternellement, guerir par des paroles, ſe faire aimer de qui l’on veut, ſçavoir tous les ſecrets de l’avenir, faire deſcendre comme on veut du Ciel ſur des métaux des impreſſions de bon-heur, commander aux démons, ſe faire des Armées inviſibles & des Soldats invulnerables.	Transformer tout en or, faire vivre éternellement, guérir par des paroles, se faire aimer de qui l'on veut, savoir tous les secrets de l'avenir, faire descendre comme on veut du Ciel sur des métaux des impressions de bonheur, commander aux démons, se faire des Armées invisibles et des Soldats invulnérables.
Tout cela eſt charmant, ſans doute, & il y a des gens qui n’ont aucune peine à en comprendre la poſſibilité, cela leur eſt le plus aiſé du monde à concevoir;	Tout cela est charmant, sans doute, et il y a des gens qui n'ont aucune peine à en comprendre la possibilité, cela leur est le plus aisé du monde à concevoir;
mais pour moy, je vous avouë que mon eſprit groſſier a quelque peine à le comprendre, & à le croire, & j’ay toûjours trouvé cela trop beau pour eſtre veritable.	mais pour moi, je vous avoue que mon esprit grossier a quelque peine à le comprendre, et à le croire, et j'ai toujours trouvé cela trop beau pour être véritable.
Toutes ces belles raiſons de ſympathie, de force magnetique, & de vertu occulte, ſont ſi ſubtiles & délicates, qu’elles échapent à mon ſens materiel, & ſans parler du reſte, jamais il n’a été en ma puiſſance de concevoir comme on trouve écrit dans le Ciel juſqu’aux plus petites partieularitez de la fortune du moindre homme.	Toutes ces belles raisons de sympathie, de force magnétique, et de vertu occulte, sont si subtiles et délicates, qu'elles échappent à mon sens matériel, et sans parler du reste, jamais il n'a été en ma puissance de concevoir comme on trouve écrit dans le Ciel jusqu'aux plus petites partieularités de la fortune du moindre homme.
Quel rapport, quel commerce, quelle correſpondance peutil y avoir entre nous & des Globes, éloignez de nôtre terre d’une diſtance ſi effroyable, & d’où certe bene science, enfn, peut-eſtre venue aux hommes?	Quel rapport, quel commerce, quelle correspondance peutil y avoir entre nous et des Globes, éloignez de notre terre d'une distance si effroyable, et d'où certe bene science, enfn, peut-être venue aux hommes?
Quel Dieu l’a revelée, ou quelle experience l’a pû former, de l’obſervation de ce grand nombre d’Aſtres qu’on n’a pû voir encore deux fois dans la meſme diſpoſitioirt	Quel Dieu l'a revelée, ou quelle expérience l'a pu former, de l'observation de ce grand nombre d'Astres qu'on n'a pu voir encore deux fois dans la même dispositioirt
ANAXARQUE.	ANAXARQUE.
Il ne ſera pas difficile de vous le faire concevoir.	Il ne sera pas difficile de vous le faire concevoir.
STRATE.	STRATE.
Vous ſerez plus habile que tous les autres.	Vous serez plus habile que tous les autres.
C LI	Ç LI
LITIDAS.	LITIDAS.
Il vous fera une diſcution de tout cela quand vous voudrez.	Il vous fera une discution de tout cela quand vous voudrez.
IPHICRATE.	IPHICRATE.
Si vous ne comprenez pas les choſes, au moins les pouvez-vouo melle, fande que ron toit tous les jours.	Si vous ne comprenez pas les choses, au moins les pouvez-vouo melle, fande que ron toit tous les jours.
STRATE.	STRATE.
Comme mon ſens eſt ſi groſſier qu’il n’a pû rien comprendre, mes yeux auſſi ſont ſi malheureux qu’ils n’ont jamais rien veu.	Comme mon sens est si grossier qu'il n'a pu rien comprendre, mes yeux aussi sont si malheureux qu'ils n'ont jamais rien vu.
IPHICRATE.	IPHICRATE.
Pour moy j’ay veu, & des choſes tout-à-fait tonvainquanles.	Pour moi j'ai vu, et des choses tout-à-fait tonvainquanles.
TIMOCLES.	TIMOCLES.
Et moy auſſi.	Et moi aussi.
STRATE.	STRATE.
Comme vous avez veu, vous faites bien de croire, & il faut que vos yeux ſoient faits autrement que les miens.	Comme vous avez vu, vous faites bien de croire, et il faut que vos yeux soient faits autrement que les miens.
IPHICRATE.	IPHICRATE.
Mais enmn, la rimcenle croit à l’Aſtrologie, & il me ſemble qu’on y peut bien croire aprés elle.	Mais enmn, la rimcenle croit à l'Astrologie, et il me semble qu'on y peut bien croire après elle.
Eſt-ce que Madame, Soſtrate, n’a pas de I’eſprit & du ſens?	Est-ce que Madame, Sostrate, n'a pas de J'esprit et du sens?
OirlI Ih.	OirlI Ih.
Seigneur, la queſtion eſt un peu violente, l'eſprit de la Princeſſe n’eſt pas une regle pour le mien, & ſon intelligence peut l’élever à des lumieres où mon ſens ne peut pas atteindre.	Seigneur, la question est un peu violente, l'esprit de la Princesse n'est pas une règle pour le mien, et son intelligence peut l'élever à des lumières où mon sens ne peut pas atteindre.
ARISTIONE.	ARISTIONE.
Non, Soſtrate, je ne vous diray rien ſur quantité de choſes, auſquelles je ne donne gueres plus de créance que vous.	Non, Sostrate, je ne vous dirai rien sur quantité de choses, auxquelles je ne donne guère plus de créance que vous.
Mais pour l’Aſtrologie on m’a dit, & fait voir des choſes ſi poſitives que je ne la puis mettre en doute.	Mais pour l'Astrologie on m'a dit, et fait voir des choses si positives que je ne la puis mettre en doute.
STRATE.	STRATE.
Madame, je n'ay nen a repondre à cela.	Madame, je n'ai nen a répondre à cela.
A B.	À B.
I	I
3 S TIONE.	3 S IONE.
Quittons ce diſcours, & qu’on nous laiſſe un moment.	Quittons ce discours, et qu'on nous laisse un moment.
Dreſſons nôtre promenade, ma Fille, vers cette belle grotte, où j’ay promis d’aller.	Dressons notre promenade, ma Fille, vers cette belle grotte, où j'ai promis d'aller.
Des galanteries à chaque pas.	Des galanteries à chaque pas.
Fin du troiſiéme Acte.	Fin du troisième Acte.
QUATRIE'ME INTERMEDE,	QUATRIE'ME INTERMÈDE,
E Theatre repreſente une grotte, où les Princeſſes vont ſe promener, & dans le temps qu’elles y entrent, huit Statuës portant chacune deux flambeaux à leurs mains, ſortent de leurs Niches, & font une dance variée de pluſieurs Figures, & de pluſieurs belles attitudes, où elles demeurent par intervalles.	 Theatre représente une grotte, où les Princesses vont se promener, et dans le temps qu'elles y entrent, huit Statues portant chacune deux flambeaux à leurs mains, sortent de leurs Niches, et font une dance variée de plusieurs Figures, et de plusieurs belles attitudes, où elles demeurent par intervalles.
ENTRE’E DE BALLET De huit Statuës.	ENTRE DE BALLET De huit Statues.
ACTE	ACTE
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANSTTONE, ENITAILE.	ANSTONE, ENITAILE.
NeM rad & V ARISTIONE.	NeM rad et V RISTIONE.
E qui que cela ſoit, on ne peut rien de plus galand & de mieux entendu.	E qui que cela soit, on ne peut rien de plus galant et de mieux entendu.
Ma Fille, j’ay voulu me ſeparer de tout le monde pour vous entretenir, & je veux que vous ne me cachiez rien de la verité.	Ma Fille, j'ai voulu me séparer de tout le monde pour vous entretenir, et je veux que vous ne me cachiez rien de la vérité.
N’auriez-vous point dans l’ame quelque inclination ſecrete que vous ne voulez pas nous dire?	N'auriez-vous point dans l'âme quelque inclination secrète que vous ne voulez pas nous dire?
ERIPHILE.	ERIPHILE.
Moy, Madame?	Moi, Madame?
AR ISTIONE.	AR ISTIONE.
Parlez à cœur ouvert, ma Fille, ce que j’ay fait pour vous, merite bien que vous uſiez avec moy de franchiſe.	Parlez à cœur ouvert, ma Fille, ce que j'ai fait pour vous, mérite bien que vous usiez avec moi de franchise.
Tourner vers vous toutes mes penſées, vous preferer à toutes choſes, & fermer l’oreille en l’eſtat où je ſuis, à toutes les propoſitions que cent Princeſſes en ma place écouteroient avec bienſeance, tout cela vous doit aſſez perſuader que je ſuis une bonne Mere, & que je ne ſuis pas pour recevoir avec ſeverité les ouvertures que vous pourriez me faire de vôtre cœur.	Tourner vers vous toutes mes pensées, vous préférer à toutes choses, et fermer l'oreille en l'état où je suis, à toutes les propositions que cent Princesses en ma place écouteraient avec bienséance, tout cela vous doit assez persuader que je suis une bonne Mère, et que je ne suis pas pour recevoir avec severité les ouvertures que vous pourriez me faire de votre cœur.
ERIPHILE.	ERIPHILE.
Si j’avois ſi mal ſuivy vôtre exemple, que de m’eſtre laiſſée aller à quelques ſentimens d’inclination que j’euſſe raiſon de cacher, j’aurois, Madame, aſſez de pouvont iui moyriueme pourimpoſer poſer ſilence à cette paſſion, & me mettre en eſtat de ne rien faire voir qui fuſt indigne de vôtre lang.	Si j'avais si mal suivi votre exemple, que de m'être laissée aller à quelques sentiments d'inclination que j'eusse raison de cacher, j'aurais, Madame, assez de pouvont jui moyriueme pourimposer poser silence à cette passion, et me mettre en état de ne rien faire voir qui fût indigne de votre lang.
ARISTIONE.	ARISTIONE.
Non, non, ma Fille, vous pouvez ſans ſcrupule m’ouvrir vos ſentimens.	Non, non, ma Fille, vous pouvez sans scrupule m'ouvrir vos sentiments.
Je n’ay point renfermé vôtre inclination dans le choix des deux Princes, vous pouvez l’étendre où vous voudrez, & le merite auprés de moy, tient un rang ſi conſiderable que je l’égale à tout, & ſi vous m’avoüez.	Je n'ai point renfermé votre inclination dans le choix des deux Princes, vous pouvez l'étendre où vous voudrez, et le mérite auprès de moi, tient un rang si considérable que je l'égale à tout, et si vous m'avez.
franchement les choſes, vous me vertez ſouſcrire ſans repugnance au choix qu’aura fait vôtre cœur.	franchement les choses, vous me vertez souscrire sans répugnance au choix qu'aura fait votre cœur.
ERIPHILE.	ERIPHILE.
Vous avez des bontez pour moy, Madame, dont je ne puis aſſez me loüer, mais je ne les mettray point à l’épreuve ſur le ſujet dout vous me parlez, & tout ce que je leur demande, c’eſt de ne point preſſer un Mariage où je ne me ſens pas encore bien reſoluë.	Vous avez des bontés pour moi, Madame, dont je ne puis assez me louer, mais je ne les mettrai point à l'épreuve sur le sujet dout vous me parlez, et tout ce que je leur demande, c'est de ne point presser un Mariage où je ne me sens pas encore bien résolue.
ARISTIONE.	ARISTIONE.
Juſqu’icy je vous ay laiſſée aſſez maiſtreſſe de tout, & l’impatience des Princesvos Amans.	Jusqu'ici je vous ai laissée assez maîtresse de tout, et l'impatience des Princesvos Amants.
Mais quel bruit eſt ce que j’entends?	Mais quel bruit est ce que j'entends?
ah!	ah!
ma Fille, quel ſpectacle s’offre à nos yeux, quelque Divinité deſcend icy, & c’eſt la Déeſſe Venus qui ſemble ilous vouloir parler.	ma Fille, quel spectacle s'offre à nos yeux, quelque Divinité descend ici, et c'est la Déesse Venus qui semble il vouloir parler.
SCENE II.	SCÈNE II.
VENUS accompagnée de quatre petits Amours dans une machine, ARISTIONE, ERIPHILE.	VENUS accompagnée de quatre petits Amours dans une machine, ARISTIONE, ERIPHILE.
VENUS.	VENUS.
Rinceſſe dans tes ſoins brille un zele exemplaire, Qui par les Immortels doit eſtre couronné.	Rincesse dans tes soins brille un zèle exemplaire, Qui par les Immortels doit être couronné.
Et pour te voir un gendre, illuſtre & fortuné, Leur main te veut marquer le choix que tu dois faire;	Et pour te voir un gendre, illustre et fortuné, Leur main te veut marquer le choix que tu dois faire;
