a ded	a déd
ENs oMhNV.	ENs oMhNV.
Madame, aſſurez vous qu’il né ſçauroit tarder.	Madame, assurez -vous qu'il né saurait tarder.
ORANTE.	ORANTE.
Mais s’il eſt reconnu, le danger eſt extreme;	Mais s'il est reconnu, le danger est extrême;
LINDOMAN.	LINDOMAN.
Ileſt ſi fort changé, que ce n’eſt plus luy meſme:	Ilest si fort changé, que ce n'est plus lui rendre:
Sous l’habit d’vn Marchand qui cache ſes appas, y on qui taneZ au taun ne tecomnoiſtrez pas.	Sous l'habit d'Hôn Marchand qui cache ses appas, y on qui tanelez au taun ne tecomnoistrez pas.
ORANTE.	ORANTE.
Souz vn mauuais habit paroiſt ſa bonne mine, Ainſi que l’or eſclate en l'obſeur d’vne mine.	Souz un mauvais habit paraît sa bonne mine, Ainsi que l'or éclate en l'obseur d'une mine.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
NIRINE, ORANTE, LINDOMAN.	NIRINE, ORANTE, LINDOMAN.
Etle luy parle à NERINE.	Etle grande parle à NERINE.
A Madame, eſcoutez.	A Madame, écoutez.
2108 ORANTE.	2108 ORANTE.
Ie n’en ay point de peur:	Je n'en ai point de peur:
Mon projet eſt certain, leur espoir eſt trompeur;	Mon projet est certain, leur espoir est trompeur;
Ie verray leur pratique auiourd’huy renuerſée;	Je verrai leur pratique aujourd'hui renversée;
Si ie ſuis Andromede, Iſimandre est Perſée;	Si ici suis Andromède, Isimandre est Persée;
Son œile ſcartera le malheur qui me ſuit.	Son œile scartera le malheur qui me suit.
LINDOMAN.	LINDOMAN.
Ie l’apperçoy Madame, & Clindor le conduit.	Je l'aperçois Madame, et Clindor le conduit.
ORANTE.	ORANTE.
Mon cœur nage en la ioye, & rien ne l’importu.	Mon cœur nage en la joie, et rien ne l'importu.
12e5.	12e5.
Il ne craint plus les traicts que tire la fortune.	Il ne craint plus les traits que tire la fortune.
SCENE SIXIESME.	SCÈNE SIXIÈME.
ISIMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.	ISIMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.
JE ISIMANDRE.	JE ISIMANDRE.
Iſez dedans mes yeux, voyez en ma couleür, Que l’extreme plaiſir reſſemble à la douleur:	Isez dedans mes yeux, voyez en ma couleuer, Que l'extrême plaisir ressemble à la douleur:
Ma bouche en eſt muette, & mon eſprit ſe paſme;	Ma bouche en est muette, et mon esprit se pâme;
Fermez-la d’unbaiſer, pour retenir mon ame:	Fermez-la d'unbaiser, pour retenir mon âme:
Hi.	Hi.
ORANTE.	ORANTE.
Vous me faites pitié, ie veux vous ſecourir;	Vous me faites pitié, votre veux vous secourir;
V iuez cner Iſimandre, ou l'ay voulu mourir.	V juez cner Isimandre, ou l'ai voulu mourir.
ISIMANDRE.	ISIMANDRE.
Lieux ſacrez à l’Amour, pleins d’appas, & de charmes;	Lieux sacrés à l'Amour, pleins d'appas, et de charmes;
Monstrez moy ce beau ſang, que i’y meſle mes larmes;	Montrez -moi ce beau sang, que j'y mêle mes larmes;
Mais non, ie me repens de ma temerité;	Mais non, je me repens de ma témérité;
Conſeruez-le tout pur à la poſterité.	Conservez-le tout pur à la postérité.
Quand on vous couuriroit des richeſſes du Gange, ét eſmail eſt ſi beau que vous perdriez au change:	Quand on vous couvrirait des richesses du Gange, est émail est si beau que vous perdriez au change:
Puiſſe bientost l’Aurore en orner ſes habits;	Puisse bientôt l'Aurore en orner ses habits;
Et le meſler au Ciel auecque ſes rubis.	Et le mêler au Ciel auecque ses rubis.
e treſor eſt trop grand, pour reſter ſur la terre.	Je trésor est trop grand, pour rester sur la terre.
ORANTE.	ORANTE.
Ouompue enuepaue,& nous ſommes enguerre, On me veut enleuer;	Ouompue envepave, ) nous sommes enguerre, On me veut enlever;
quel remede auons nous?	quel remède avons -nous?
ISIMANDRE.	ISIMANDRE.
On vous veut enleuer!	On vous veut enlever!
yconſentirez vous?	yconsentirez -vous?
ORANTE.	ORANTE.
Onerenez noſeit ſecomis ueuums poſere manſtrie:	Onerenez noseit secomis ueuums posère manstrie:
ISIMANDRE.	ISIMANDRE.
Sur les aiſles d’Amour vollons en ma patrie:	Sur les ailes d'Amour volons en ma patrie:
Que Naples vous reuoye en ienne Caualier, Ce remede est faſcheux, mais il eſt ſingulier;	Que Naples vous revoie en yenne Cavalier, Ce remède est fâcheux, mais il est singulier;
L’Amour s’eſt touſiours pleu dans les metamorphoſes;	L'Amour s'est toujours pleu dans les métamorphoses;
Le temps en s'enfuyant ameine toutes choſes;	Le temps en s'enfuyant âmeine toutes choses;
Sous le nom d’vn Amy mon pere vous peut voir:	Sous le nom d'un Ami mon père vous peut voir:
7	7
ORANIE.	ORANIE.
Il ſe fait vn combat d’amour & du deuoir:	Il se fait un combat d'amour et du devoir:
ISIMANDRE.	ISIMANDRE.
Le deuoir & l’amour, obligent ma Maistreſſe.	Le devoir et l'amour, obligent ma Maîtresse.
A fuir ſagement l’ennemy qui la preſſe.	À fuir sagement l'ennemi qui la presse.
ORANTE.	ORANTE.
maujrpaut-il trouuer vn Amoureux conſtant?	maujourpaut-il trouver un Amoureux constant?
ISIMANDRE.	ISIMANDRE.
Ha!	Ha!
ſi vous en doutez, que ie meure à l’instant.	si vous en doutez, que ici meure à l'instant.
H iij	H Hijà
ORANTE.	ORANTE.
Du premunt des naunst te moyen:	Du premunt des naunt te moyen:
tapparence!	tapparence!
ISIMANDRE.	ISIMANDRE.
Ie feray ſourdement l’equippage à Florence;	Je ferai sourdement l'équipage à Florence;
Et dans trois iours Clindor vous les apportera, Surle pretexte faux des Tableaux qu’il aura	Et dans trois jours Clindor vous les apportera, Surle prétexte faux des Tableaux qu'il aura
ORANTE.	ORANTE.
Ne laiſſons pas Nerine, elle est de la querelle:	Ne laissons pas Nerine, elle est de la querelle:
ISIMANDRE.	ISIMANDRE.
Et bien;	Et bien;
i’en feray faire, & pour vous, & pour elle;	j'en ferai faire, et pour vous, et pour elle;
Et les ayant veſtus, ſoyez le iour ſuiuant, Dans le Temple de Mars, dés le Soleil leuant.	Et les ayant vêtus, soyez le jour suivant, Dans le Temple de Mars, dès le Soleil lèvant.
Là vous me trouuerez couuert d’vne autre ſorte;	Là vous me trouverez couvert d'une autre sorte;
Les Cheuaux ſeront preſts à cent pas de la porte;	Les Chevaux seront prêts à cent pas de la porte;
Et pourueu que le cœur ne vous manque au beſoing, Quandon vous cherchera, nous ſerons deſia loing.	Et pourvu que le cœur ne vous manque au besoin, Quandon vous cherchera, nous serons déjà loin.
ORANTE.	ORANTE.
Vous auez deſſus luy la puiſſance abſoluë:	Vous avez dessus beau la puissance absolue:
Puis que vous le voulez, m’y voila reſoluë.	Puis que vous le voulez, m'y voilà résolue.
Et deuſſay-ie trouuer la mort à mon chemin;	Et dussai-je trouver la mort à mon chemin;
Ie vous ſuiuray par tout:	Je vous suivrai par tout:
NERINE.	NERINE.
voicy venir Ormin.	voici venir Ormin.
ISIMANDRE.	ISIMANDRE.
Madame, remarquez comme encette peinture, L’Art plus diuin qu’humain, imite la Nature:	Madame, remarquez comme encette peinture, L'Art plus divin qu'humain, imite la Nature:
Voyez comme Adonis ſemble admirer Venus;	Voyez comme Adonis semble admirer Venus;
Comme à trauers le crespe on voit ſes membres nus;	Comme à travers le crêpe on voit ses membres nus;
Cét autre eſt rauiſſant, où le Pinceau prophane, Offrt anx yeux d’Acieon ſes veaulez dt Uiane;	Cet autre est ravissant, où le Pinceau prophane, Offrt yeux Acieon ses veaulez Uiane;
Voyez que ce viſage eſt en colere & beau;	Voyez que ce visage est en colère et beau;
Et que ce corps plongé ſe fait vn habit d’eau.	Et que ce corps plongé se fait un habit d'eau.
ORANTE.	ORANTE.
Ormle Ha Monſieur, approchez, venez voir des merueil-Ailes;	Ormle Ha Monsieur, approchez, venez voir des merveil-Ailes;
Qui chez les plus grands Rois n’auroient point de pareilles;	Qui chez les plus grands Rois n'auraient point de pareilles;
Tout ainſi que les miens, vos yeux ſeront charmez:	Tout ainsi que les miens, vos yeux seront charmés:
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
ORMIN, ISIMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.	ORMIN, ISIMANDRE, ORANTE, NERINE, CLINDOR, LINDOMAN.
ORMIN.	ORMIN.
Lles valent beaucoup, ſi vous les eſtimez.	Lles valent beaucoup, si vous les estimez.
160 ISIMANDRE.	160 ISIMANDRE.
Il prend Voyez dans ce tableau, cette hiſtoire connuë, le troiſieſme.	Il prend Voyez dans ce tableau, cette histoire connue, le troisième.
Ou le jorlalon nembraſje que la me, Voyez de lupiter le regard inhumain;	Ou le jorlalon nembrasje que la me, Voyez de lupiter le regard inhumain;
Comme il hauſſe le bras, la foudre dans la main.	Comme il hausse le bras, la foudre dans la main.
ORMIN.	ORMIN.
Certes, Peintre, ou Marchand, ou tous les deux enſemble, La langue & le pinceau, font tres-bien ce me ſemble.	Certes, Peintre, ou Marchand, ou tous les deux ensemble, La langue et le pinceau, font très-bien ce me semble.
ISIMANDRE.	ISIMANDRE.
Voyez umme Apollon court aptes ſa Dafné?	Voyez umme Apollon court aptes sa Dafné?
Elle deuient vn bois, dont il eſt couronné:	Elle devient un bois, dont il est couronné:
Pour atteindre plustoſt cette Nimphe ſuperbe Il laiſſe choir ſa lire, & ſon carquois ſur l’herbe;	Pour atteindre plutôt cette Nymphe superbe Il laisse choir sa lire, et son carquois sur l'herbe;
Il la ſuit, elle fuit, & va de toutes parts, La robe retrouſſée, & les cheueux eſpars,	Il la suit, elle fuit, et va de toutes parts, La robe retroussée, et les cheveux épars,
ORANTE.	ORANTE.
Que me demandez vous de ces quatre Peintares?	Que me demandez vous de ces quatre Peintares?
ORMIN.	ORMIN.
Allez chercher ailleurs vos bonnes aduantu res;	Allez chercher ailleurs vos bonnes aduantu rés;
Deſia vostre marché, ſans marchander est fait;	Déjà votre marché, sans marchander est fait;
Qu'on le meine là bas, & qu’il ſoit ſatisfait;	Qu'on le mène là bas, et qu'il soit satisfait;
Le prix ſe meſurant auecque ſa demande, Qu'il ait ce qu’il dira, puis que ie le commande,	Le prix se mesurant apprendre sa demande, Qu'il ait ce qu'il dira, puis que ie le commande,
ORANTE.	ORANTE.
Et cét autre Tableau	Et cet autre Tableau
ISIMANDRE.	ISIMANDRE.
ie l’enuoyray, ma foy:	Elle l'enuoyray, ma foi:
ORANTE.	ORANTE.
Adieu, n'y manquez pas, ſouuenez vous de moy.	Adieu, n'y manquez pas, souvenez vous de moi.
Il dit e ISIMANDRE.	Il dit e ÈSIMANDRE.
Cét homme qui me ſert l’apportera (Madame)  b Ha!	Cet homme qui me sert l'apportera (Madame) b a!
que n'ay-ie ſon cœur, ainſi qu’il a mon ame.	que n'ai-je son cœur, ainsi qu'il a mon âme.
Ie prem'er Tableau.	Je prem'er Tableau.
ORANTE.	ORANTE.
rile ue Monſieur, cét Ixion me ſemble le plus beau:	rile ue Monsieur, cet Ixion me semble le plus beau:
ORMIN.	ORMIN.
Il eut vn haut deſſein, & le Ciel pour Tombeau;	Il eut un haut dessein, et le Ciel pour Tombeau;
Il fut heureux en ſonge, & ie luy porte enuie;	Il fut heureux en songe, et Seigneur Seigneur porte envie;
Sa mort fut glorieuſe außi bien que ſa vie.	Sa mort fut glorieuse aussi bien que sa vie.
ORANTE.	ORANTE.
Le Pan Br Sanu,	Le Pan Br Sanu,
ORMIN.	ORMIN.
Les deſſeins eſleuez ſont touſiours perilleux:	Les desseins élevez sont toujours périlleux:
Ce grand cœur rencontra la fortune irritée, Il n’eut pas la Couronne, & l’auoit meritée;	Ce grand cœur rencontra la fortune irritée, Il n'eut pas la Couronne, et l'avait méritée;
Mais ſi i’auois ſon ſort, ie mourrois ſans re8761, Il deſcouurit ſon mal, & le mien eſt ſecret:	Mais si j'avais son sort, je mourrais sans re871, Il découvrit son mal, et le mien est secret:
OEIAIL.	ÔEIAIL.
Que Diane me plaist!	Que Diane me plaît!
que i’aime ceriuage!	que j'aime cerivage!
ORMIN.	ORMIN.
Dieux!	Dieux!
elle n'a pas ſeule vn naturel ſauuaVne autre haït mes yeux qui l’oſent adorer, Et fait que mes penſers me viennent deuorer:	elle n'a pas seule un naturel sauvaUne autre hait mes yeux qui l'osent adorer, Et fait que mes pensers me viennent dévorer:
Miſerable Acteon, ie l’eſprouue rebelle;	Misérable Actéon, ie l'éprouve rebelle;
Mais n’importe mon cœur, mourons, car elle eſt belle.	Mais n'importe mon cœur. mourons. car elle est belle.
ORANTE.	ORANTE.
Tramc Celle Nimipne quijuimeiautne de pllle.	Tramc Celle Nimipne quijuimeiautne de pllle.
me T.	me T.
ORMIN.	ORMIN.
Vous aimez vn obiect qui n’a point d’amitié:	Vous aimez un objet qui n'a point d'amitié:
Voyez qu’elle eſt aueugle en fuyant la lumiere.	Voyez qu'elle est aveugle en fuyant la lumière.
ri DMs **** Il faudra qu’vn rideau couure cette premiere.	ri DMs *** Il faudra qu'un rideau couvre cette première.
ORMIN.	ORMIN.
Si les feux d’Adonis ſont indignes du iour, Laiſſez-les moy couurir, ie ſçay cacher l’Amour.	Si les feux d'Adonis sont indignes du jour, Laissez-les moi couvrir, ie sçay cacher l'Amour.
ORANTE.	ORANTE.
Vous prendriez trop de ſoing;	Vous prendriez trop de soing;
ORMIN.	ORMIN.
Ha!	Ha!
qu’elle eſt inhumaine;	qu'elle est inhumaine;
Elle pleint mon trauail, & ne pleint pas ma peine.	Elle pleins mon travail, et ne pleint pas ma peine.
ORANTE.	ORANTE.
Ie deuois receuoir ce preſent à genous:	Je devais recevoir ce présent à genous:
ORMIN.	ORMIN.
ſent puis rien donner, moy me ſme eſtant à vous,	sent puis rien donner, moi me sme étant à vous,
ORANTE.	ORANTE.
L’excez de vos bontez me rend toute confuſe:	L'excès de vos bontés me rend toute confuse:
ORMIN.	ORMIN.
Croyez Ormin ſans cœur, ſi ie vous le refuſe.	Croyez Ormin sans cœur, si je vous le refuse.
Que vos commandemens ſecondent mes deſirs;	Que vos commandements secondent mes désirs;
Demandez quelque bien qui ſerue à vos plaiſirs;	Demandez quelque bien qui serve à vos plaisirs;
Ordonnezmoy d’aller ſur la terre & ſur l’onde, Auecque le Soleil faire le tourdu monde.	Ordonnezmoi d'aller sur la terre et sur l'onde, Avec le Soleil faire le tourdu monde.
Commandez à mon bras d’eſgorger vn Lion;	Commandez à mon bras d'égorger un Lion;
Ordonnez luy de mettre Oſſe ſur Pelion;	Ordonnez Seigneur de mettre Osse sur Pélion;
I’attaqueray le Ciel, & dans cette eſcalade, Ie ſeray plus heureux que ne fut Encelade:	J'attaquerai le Ciel, et dans cette escalade, Je serai plus heureux que ne fut Encelade:
Si ces lambris d’azur peuuent plaire à vos yeux, I’oſeray vous placer dans le Throſne des Dieux;	Si ces lambris d'azur peuvent plaire à vos yeux, J'oserai vous placer dans le Thrône des Dieux;
Voſtre ſeule froideur a borné ma puiſſance;	Votre seule froideur a borné ma puissance;
Eſprouuez mon amour par mon obeïſſance.	Éprouvez mon amour par mon obéissance.
ORANTE.	ORANTE.
Enm’obligeant (Monſieur) iuſqu’en vn ſihaut point, y on, me crout amgralt, & ut nett ſais point.	Enm'obligeant (Monsieur) jusqu'en Un sihaut point, y on, me crout amalt, et ut nett sais point.
ORMIN.	ORMIN.
Ie crois qu’vne Deeſſe eſt touſiours veritable.	Je crois qu'une Déesse est toujours véritable.
Mais ce long entretien vous eſt inſupportable;	Mais ce long entretien vous est insupportable;
Et mon eſprit großier aupres de vos appas, Gouſte vncontentement qu’il ne vous donne pas.	Et mon esprit grossière auprès de vos appas, Goûte uncontentement qu'il ne vous donne pas.
Adieu, voicy la nuit, les obiects ſe terniſſent;	Adieu, voici la nuit, les objets se ternissent;
Ie ſouhaite à vos yeux vn bien qu’ils me rauiſſent.	Je souhaite à vos yeux un bien qu'ils me ravissent.
ORANTE.	ORANTE.
De cediſcours obſeur i’ay l’eſprit eſtonné, Mais prenez le repos que vous m’auez donné.	De cédiscours obseur j'ai l'esprit étonné, Mais prenez le repos que vous m'avez donné.
Touſiours quelque maleeur le Deſtin me ſuſcite:	Toujours quelque maleeur le Destin me suscite:
Florange me pourſuit;	Florange me poursuit;
Ormin me ſolicite;	Ormin me solicite;
Sa femme veut ma perte;	Sa femme veut ma perte;
& ma Here y conſent;	et ma Hère y consent;
Helas!	Hélas!
que d’ennemis contre vn cœur innocent.	que d'ennemis contre un cœur innocent.
Mais i’apperçoy le port en deſpit de l’orage;	Mais j'aperçois le port en dépit de l'orage;
Ie ſortiray des fers ſi i’en ay le courage;	Je sortirai des fers si j'en ai le courage;
Comment!	Comment!
i’heſite encor!	j'hésite encor!
ſur vn point aſſuré!	sur un point assuré!
Non, non, il faut partir, Orante l’aiuré.	Non, non, il faut partir, Orante l'aiuré.
2I M NERINE, FLORANGE, ISIMANDRE, CLINDOR, POLIANTE, ORMIN, LERISTE.	2I M ÉRINE, FLORANGE, ISIMANDRE, CLINDOR, POLIANTE, URMIN, LERISTE.
PALINICE, LVCINDE, ORANTE,	PALINICE, LUCINDE, ORANTE,
SCENE PREMIERE.	SCÈNE PREMIÈRE.
LVCINDE, PALINICE, ORANTE, NERINE.	LUCINDE, PALINICE, ORANTE, NERINE.
PALINICE.	PALINICE.
Ous ſerez dans le calme, & rirez des tempeſtes;	Ous serez dans le calme, et rirez des tempêtes;
Car pour voſtre départ toutes choſes ſont preſtes:	Car pour votre départ toutes choses sont prêtes:
	
LVCINDE.	LUCINDE.
Demainſans differer m’eſloignant de ce lieu, Mvion esprit aſſiige vous ttrobe vn Adieu.	Demainsans différer m'éloignant de ce lieu, Métion esprit assiige vous ttrobe un Adieu.
ORANTE.	ORANTE.
SSeni-Ha!	SSéni-Ha!
ie tremble Nerine;	Il tremble Nerine;
NERINE.	NERINE.
O bon-heur ſans exemple;	Ô bonheur sans exemple;
Madame, ſauuons nous, entrons dedans le Temple;	Madame, sauvons -nous, entrons dedans le Temple;
Souz cét habit trompeur on ne vous connoist pas:	Souz cet habit trompeur on ne vous connaît pas:
ORANTE.	ORANTE.
Veüille Amour, qu’Iſimandre ait deuancé mes pas.	Veuille Amour, qu'Isimandre ait devancé mes pas.
SCENE	SCÈNE
SCENE SECONDE.	SCÈNE SECONDE.
FLORANCE, BTMANDRY, CLINDOR.	FLORANCE, BTMANDRY, CLINDOR.
77 FLORANGE.	77 FLORANGE.
’Eſt en vain qu’on me fuit, c’eſt en vain qu’on ſe cache;	Est en vain qu'on me fuit, c'est en vain qu'on se cache;
Ie ſuis ſeule, ils ſont deux, mais l’vn & l’autre eſt lâche;	Je suis seule, ils sont deux, mais l'un et l'autre est lâche;
Quelque mauuais deſſein les oblige à courir;	Quelque mauvais dessein les oblige à courir;
Temeraire Iſimandre, apprens qu’il faut mourir.	Teméraire Isimandre, apprends qu'il faut mourir.
ISIMANDRE.	ISIMANDRE.
Bons Dieux-que d’accidens choquent mon entrepriſe:	Bons Dieux-que d'accidents choquent mon entreprise:
Si ie ne me bats point, il me ſuiura dans Piſe;	Si ici ne me bats point, il me suivra dans Pise;
CLINDOR.	CLINDOR.
Ouurons nous par ſa mort le chemindu bon-heur;	Ouurons nous par sa mort le chemindu bonheur;
ISIMANDRE.	ISIMANDRE.
Ie ſuiuray ton conſeil, & celuy de l’honneur.	Je suivrai ton conseil, et celui de l'honneur.
Cét arbre, & cette eſcharpe aſſeureront Floran111euie Que ma main ſans ſecond, ſçait bien comme on ſe R23e,	Cet arbre, et cette écharpe assureront Floran111euie Que ma main sans second, sçait bien comme on se R23e,
FLORANGE.	FLORANGE.
Me monſtrez vous mes yeux ce que ie penſe voir?	Me montrez -vous mes yeux ce que Se pense ur?
CLINDOR.	CLINDOR.
Monſieur, que faites vous?	Monsieur, que faites -vous?
ISIMANDRE.	ISIMANDRE.
Ce que veut mon deuoir.	Ce que veut mon devoir.
O toy que lemal-heuroppoſe à mon paſſage, Vieux ſpectre que les ans n'ont pas rendu plus ſaSouuiens toy du beau ſang qu’Orante a respandu:	Ô toi que lemalheuroppose à mon passage, Vieux spectre que les ans n'ont pas rendu plus saSouviens toi du beau sang qu'Orante a répandu:
Etregoyut mon branie ioper quit eſfdeu;	Etregoyut mon branie jopper quit esfdeu;
FLORANGE.	FLORANGE.
Temerité ſans force!	Témérité sans force!
eſperance trompée:	espérance trompée:
ISTMANDRE.	ISTMANDRE.
Demande moy la vie, & me rends ton espée:	Demande moi la vie, et me rends ton épée:
FLORANGE.	FLORANGE.
Ie fais l'vn, prenez l’autre, & gloire des Guerriers, Ne ſouillez point de ſangt'eſdarde vos tauriers,	Je fais l'autre, prenez l'autre, et gloire des Guerriers, Ne souillez point de sangt'édarde vos tauriers,
CLINDOR.	CLINDOR.
Monſieur, puniſſez-le du trauail qu’il vous donne;	Monsieur, punissez-le du travail qu'il vous donne;
FLORANGE.	FLORANGE.
Ie vous cede mon droict,	Je vous cède mon droit,
ISIMANDRE.	ISIMANDRE.
& moy ie vous pardonne;	et moi ici vous pardonne;
Ciel!	Ciel!
de quelle douleur ay-ie le cœur percé?	de quelle douleur ai-je le cœur percé?
Clindor, que ferons nous?	Clindor, que ferons nous?
ie me trouue bleſsé;	Ne me trouve blessé;
Le moyen que ſanglant i’aille oú l’Us mour m’appelle?	Le moyen que sanglant j'aille où l'Us mour m'appelle?
Ha chetif Iſimandre!	Ha chétif Isimandre!
O fortune infidelle!	Ô fortune infidèle!
Trauerſer cette ville en l’eſtat où ie ſuis, Sans estre reconnu, ç’eſt ce que ie ne puis:	Traverser cette ville en l'état où tu suis, Sans être reconnu, ç'est ce que ie ne puis:
On m’attend cependant;	On m'attend cependant;
helas!	hélas!
que dois-ie faire?	que dois-je faire?
CLINDOR.	CLINDOR.
Deſchargez vous ſur moy du poids de cette affaire;	Déchargez -vous sur moi du poids de cette affaire;
I’auray par mon trauail la fin de vos trauaux;	J'aurai par mon travail la fin de vos travaux;
Allez vous repoſer aupres de nos Cheuaux;	Allez -vous reposer auprès de nos Chevaux;
Mais de peur qu’il ne parle, il faut garder ce tralsire;	Mais de peur qu'il ne parle, il faut garder ce tralsire;
ISIMANDRE.	ISIMANDRE.
C’eſt au Temple de Mars que ma Uenus doit estre.	C'est au Temple de Mars que ma Uenus doit être.
CLINDOR.	CLINDOR.
Cachez vous dans le bois, & ſoyez ſans effroy:	Cachez -vous dans le bois, et soyez sans effroi:
ISTMANDRE.	ISTMANDRE.
Taſche donc de voller;	Tâche donc de voler;
Florange, ſuiuez moy.	Florange, suivez -moi.
FLORANGE.	FLORANGE.
Que deſirez vous plus de monobeïſſance?	Que désirez -vous plus de monobéissance?
ISIMANDRE.	ISIMANDRE.
Ce ſecret est trophaut pour vostre connoiſſance;	Ce secret est trophaut pour votre connaissance;
Le vaincu doit ployer ſous les loix du vainqueur;	Le vaincu doit ployer sous les lois du vainqueur;
1l parle bas.	1l parle bas.
FLORANGE.	FLORANGE.
Que n’auois ie le bras außi bon que le cœur	Que n'avais ie le bras aussi bon que le cœur
SCENE TROISIESME.	SCÈNE -TROISIÈME.
POLIANTE.	POLIANTE.
Ve n’es tu le teſmoingde mon inquietude?	Ve n'es -tu le témoingde mon inquiétude?
Ie te ferois rougirde ton ingratitude;	Je te ferais rougirde ton ingratitude;
Fils ſans obeïſſance, enfant ſans amitié, A qui mes cheueux blancs n’ont ſçeu faire pitié.	Fils sans obéissance, enfant sans amitié, À qui mes cheveux blancs n'ont su faire pitié.
Quel exploit genereux, quelle belle aduanture, Oblige ton esprit à choquer la nature?	Quel exploit généreux, quelle belle aventure, Oblige ton esprit à choquer la nature?
Iſimandre cruel, ton depart m’est ſuſpect:	Isimandre cruel, ton départ m'est suspect:
Le veritable amour n’eſt iamais ſans respect:	Le véritable amour n'est jamais sans respect:
Il s’impoſe luy meſme vne loüable crainte;	Il s'impose lui -même un louable crainte;
Il eſtime le ioug qu’il porte ſans contrainte;	Il estime le joug qu'il porte sans contrainte;
Et deuaut qu’entreprendre vn deſſein qu’il aura, Sans ſonger s’il luy plaiſt, ilpenſe s’ilplaira.	Et devaut qu'entreprendre un dessein qu'il aura, Sans songer s'il se plaist, ilpense s'ilplaira.
Toutes ſes volontez ne font rien en tumulte;	Toutes ses volontés ne font rien en tumulte;
L’Oracle paterneleſt le ſeul qu’il conſulte;	L'Oracle paternelest le seul qu'il consulte;
Il combat ſes deſirs, ſans eneſtre abatu;	Il combat ses désirs, sans enêtre abattu;
Et ſuit heureuſement les pas de la Vertu.	Et suit heureusement les pas de la Vertu.
ii	ji
Si ſon ame a des feux la raiſon les tempere;	Si son âme a des feux la raison les tempère;
Il penſe qu’il eſt fils, & qu’il doiteſtre pere;	Il pense qu'il est fils, et qu'il doitêtre père;
Et touſiours l’amitié l’emportant ſur l’amour, Il rend le meſme honneur qu’onluy doit rendre vn iour.	Et toujours l'amitié l'emportant sur l'amour, Il rend le même honneur qu'onlui doit rendre un jour.
Ha!	Ha!
que tu marches loing de cette heureuſe trace;	que tu marches loing de cette heureuse trace;
Ton eſprit libertin ne craint point ma diſgrace;	Ton esprit libertin ne craint point ma disgrâce;
Tu parts ſans mon congé, tu vas quittant ces lieux, Sans ſonger que mes pleurs ſont apperçeus des Dieux, Qui Peres comme moyprendront part à l’outrage, Mais celeſtes Clements!	Tu parts sans mon congé, tu vas quittant ces lieux, Sans songer que mes pleurs sont aperçus des Dieux, Qui Pères comme moiprendront part à l'outrage, Mais célestes Cléments!
ſauuez-le du nauffrage;	sauvez-le du nauffrage;
Et ne puniſſant point ſes deſirs mutinez, Pardonnez-luyſa faute, & me le ramenez, Que i'ay le ſens troublé!	Et ne punissant point ses désirs mutinés, Pardonnés-luisa faute, et me le ramenez, Que j'ai le sens troublé!
que i’ay l’eſprit en guerIl a deſia couru tous les coings de la terre;	que j'ai l'esprit en guerIl a déjà couru tous les coings de la terre;
Ingenieux qu’il eſt, il feint mille dangers, Que trouue ce cher fils aux climats eſtrangers;	Ingénieux qu'il est, il feint mille dangers, Que trouve ce cher fils aux climats étrangers;
Ie le crois voir aux mains auec vn aduerſaire;	Je le crois voir aux mains avec un adversaire;
Ie le crois voir ſur l’onde, & pris par vn Corſaire;	Je le crois voir sur l'onde, et pris par un Corsaire;
Ie crois que ſon argent tente les matelots;	Je crois que son argent tente les matelots;
Ie crains comme les vents, les rochers & les flots;	Je crains comme les vents, les rochers et les flots;
Leur calme le plus doux deſpend de la fortune;	Leur calme le plus doux dépend de la fortune;
Et l’inconſtante y regne außi bien que Neptune.	Et l'inconstante y règne aussi bien que Neptune.
Ie le deſcends à terre auecque mes douleurs;	Je le descends à terre avec mes douleurs;
Ie le vois dans un bois attaqué des voleurs;	Je le vois dans un bois attaqué des voleurs;
Ie l’apperçoy combattre au milieu d’vne armée;	Je l'aperçois combattre au milieu d'une armée;
I'y crois voir ſa valeur par le nombre opprimée;	J'y crois voir sa valeur par le nombre opprimée;
Ie le vois tout ſanglant;	Je le vois tout sanglant;
ie le vois qui paſlit;	Le vois le qui pâlit;
Ie le crois voir malade, & mourir dans vn lit;	Je le crois voir malade, et mourir dans un lit;
Abandonné, tout ſeul, & priué d’aßiſtance:	Abandonné, tout seul, et privé d'assistance:
Bref, tous les accidents eſprouuent ma conſtance;	Bref, tous les accidents éprouvent ma constance;
Et pour luy monamour ſe porte en vn telpoint, Que ie reſſens les maux que peut-eſtre il n’a point.	Et pour notre monamour se porte en un telpoint, Que était ressens les maux que peut-être il n'a point.
Grands Dieux, de qui les mains tiennent nos deſtineés;	Grands Dieux, de qui les mains tiennent nos destinés;
Pour allonger ſes iours, retranchez mes anneés;	Pour allonger ses jours, retranchez mes anneés;
Et bornant ſon voyage ainſi que mon ennuy, Que ie meureen moy meſme, & que ie viue en luy.	Et bornant son voyage ainsi que mon ennui, Que tu meureen moi -même, et que ie Amue en lui.
