TRAGI-COMEDIE.	TRAGI-COMÉDIE.
Veerz dans ce tableau cette hiſtoire conneuë, Cà le fol Ixion n’embraſſs que la nuë, Foyez de iæpiter le regard inhumain, Commé il hauſſe le bras la loudre dans la mam.	Veerz dans ce tableau cette histoire connue, Cà le fol Ixion n'embrasss que la nue, Foyez de jæpiter le regard inhumain, Commé il hausse le bras la loudre dans la mam.
ORMIN.	ORMIN.
Certes, Peintre, ou Marchand, ou tous les deux an ſemble, La langue & le pinceau, font tres-bien ce mi ſeuISIMANDRE prenant le quatrieſme.	Certes, Peintre, ou Marchand, ou tous les deux an semble, La langue et le pinceau, font très-bien ce mi seuISIMANDRE prenant le quatrième.
Voyez comme Appoïon court apres ſa Dafné!	Voyez comme Appoïon court après sa Dafné!
Elle deuient vn bois dont il eſt couronné;	Elle devient un bois dont il est couronné;
Pour atteindre pluſtoſt cette Nimphe ſuperbe, Il laiſſe cheoir ſa lire, & ſon carquois ſas l’hbς, Il la ſuit, elle fuit, & va de toutis parts, La robe retroußée, & les cheueux sſpars,	Pour atteindre plutôt cette Nymphe superbe, Il laisse choir sa lire, et son carquois sas l'hbς, Il la suit, elle fuit, et va de toutis parts, La robe retroussée, et les cheveux sépars,
ORANTE Que me demandez-vous de ves quatre Peinurs?	ORANTE Que me demandez-vous de vez quatre Peinurs?
ORMIN.	ORMIN.
Allez cherches ai leurs vos bonnes aduantures, Deſia voſtre marché ſans mat chander eſt fait.	Allez cherches ai leurs vos bonnes aventures, Déjà votre marché sans mat chander est fait.
Qu’on le meine là bas, & qu’ã ſoit ſatufaĩt;	Qu'on le mène là bas, et qu'en soit satufaint;
Le prix ſe mefaruni auorqua jauiuunde, Qu’il ait ce qu’il dira puis que ie le commande.	Le prix se mefaruni avorqua jauivunde, Qu'il ait ce qu'il dira puis que ie le commande.
GRANIE.	GRANIE.
Et cét autre Tableau?	Et cet autre Tableau?
1S MAISDRE.	1S MAISDRE.
ie l’ennoiray, ma foy.	Il l'ennoirai, ma foi.
ORANTE.	ORANTE.
Adieu, n’y manquez pas, ſouuenez-vous de ns	Adieu, n'y manquez pas, souvenez-vous de ns
ISIMANDRE.	ISIMANDRE.
Cet honme qui me ſert l’apportera, Maduras,	Cet honme qui me sert l'apportera, Maduras,
il dit ce vers bas.	il dit ce vers bas.
Ha!	Ha!
que n’ay-je ſon cœur, ainſi qu'il a mon ame.	que n'ai-je son cœur, ainsi qu'il a mon âme.
ORANTE tenaut le premier Tableau.	ORANTE tenaut le premier Tableau.
Monſieur, cet Ixion me ſemble le pius beau:	Monsieur, cet Ixion me semble le pius beau:
ORMN.	ORMN.
Il eut vnhaut deſſein & le Ciel pour Tombrau;	Il eut unhaut dessein et le Ciel pour Tombrau;
Iu far meureax en fouge, & te tuy porte enuis;	Ju far meureax en fouge, et te tui porte envis;
Sa mort fut glorieu ſe außs bien que ſa vis.	Sa mort fut glorieu se aussi bien que sa vis.
ORANIE.	ORANIE.
Mais le fondre punit ſes proitcts orgueilleux,	Mais le fondre punit ses proits orgueilleux,
ORMIN.	ORMIN.
Les deſſ-ins eſluuez ſont touſiours perilleux:	Les dess-ins esluuez sont toujours périlleux:
Ce grand sœur rencontra la fortune irritée, at n'ent pas iu couronne & vauon mritee;	Ce grand sœur rencontra la fortune irritée, at n'ent pas ju couronne et vavon mritee;
Mais ſi i’auois ſon ſort, ie uiout rois ſans regret;	Mais si j'avais son sort, ie uiout rois sans regret;
Il deſcouurit ſon mol, & le mien eſt ſecret:	Il découvrit son mol, et le mien est secret:
ORANTE.	ORANTE.
Second Tableau.	Second Tableau.
Que Diane me plaiſt que i'aime ce riuag.	Que Diane me plaît que j'aime ce rivag.
ORMIN.	ORMIN.
Dieux?	Dieux?
elle n’a pas ſeule vn naturel ſauuage, vn'autre nait mes jeux qui l'oſent adorer, Et fait que mis penſers me viennent diuores, Miſerable Acteon, ie l’eſprouue rebelle, Mai n'importe mon oœαν mourons, car elle eſt bille	elle n'a pas seule un naturel sauvage, une autre naît mes jeux qui l'osent adorer, Et fait que mis pensers me viennent divores, Misérable Acteon, Seigneur l'éprouve rebelle, Mai n'importe mon oe mourons, car elle est bille
ORANTE.	ORANTE.
Troiſieſme Tableau.	Troisième Tableau.
Cette Nimphe qui fuis io iouontue puu.	Cette Nymphe qui fuis jo uontue puu.
ORMIN.	ORMIN.
Ie ſeray plus heureux que ne fut Encelade:	Je serai plus heureux que ne fut Encelade:
Si ces lambris d’azur peuuent plaire à vos yeux, I’oſeray vous placer dans le Throſne des Dieux;	Si ces lambris d'azur peuvent plaire à vos yeux, J'oserai vous placer dans le Thrône des Dieux;
Voſtre ſeule froideur a borné ma puiſſance;	Votre seule froideur a borné ma puissance;
Eſprouuez mon amour pur mon ob ïſſance.	Éprouvez mon amour pur mon ob issance.
ORANTE.	ORANTE.
amuneoregtant, aibapeur, tuſqu en vn ſi haut point Vous me croirez iagrate, & ie ne la ſuis point.	amuneoregtant, aibapeur, tusqu en un si haut point Vous me croirez jagrate, et ie ne la suis point.
ORMIN.	ORMIN.
Ie crois qu’vne Deeſſ eſt touſtours veritable.	Je crois qu'une Déess est toustours véritable.
Mais ce long entretien vous eſt iuſupportable;	Mais ce long entretien vous est iusupportable;
Et mon eſprit großier auprés de ves appas, doupanimpaneintement quit ne vous donne pat.	Et mon esprit grossière auprès de vez appas, doupanimpaneintement quit ne vous donne pat.
Adiou, voicy la nuit lis obiects ſe terniſſent;	Ajou, voici la nuit lis objets se ternissent;
1e joubaite a vas puux Vn bien qu’ils me rauiſſent.	1e joubaite a vas puux Un bien qu'ils me ravissent.
ORANTE.	ORANTE.
De ce diſcours obſcur i’ay l’eſprit eſtonné.	De ce discours obscur j'ai l'esprit étonné.
Ormin s’en va.	Ormin s'en va.
Mais prenez le repos que vous m’auez donné:	Mais prenez le repos que vous m'avez donné:
Touſiours quelque malheur le Deſtan me ſuſcite:	Toujours quelque malheur le Destan me suscite:
Florange me pourſait, Ormin me ſolicite;	Florange me poursait, Ormin me solicite;
Sa femme veut ma perte;	Sa femme veut ma perte;
& ma Mere y conſent;	et ma Mère y consent;
Helus!	Hélus!
que d’ennemis contre vn cœur innocent.	que d'ennemis contre un cœur innocent.
Mais i’apper çoy le port en deſpit de l’orage;	Mais j'aper çoy le port en dépit de l'orage;
Ie ſortiray des fers ſi i’en ay le courage;	Je sortirai des fers si j'en ai le courage;
Comment!	Comment!
i’heſité encor?	j'hésité encor?
ſur vn point aſſuré!	sur un point assuré!
Non, non, il faut partir;	Non, non, il faut partir;
Orante l’a iuré,	Orante l'a juré,
MAPE SCENE PREMIERE.	MAPE SCÈNE PREMIÈRE.
LVCINDE, PALINICE, ORANTE, NERINE.	LUCINDE, PALINICE, ORANTE, NERINE.
PALINICE.	PALINICE.
Ous ſerez dans le calme & rirez des tempeſtes, V Car pour voſtre départ toutes choſes ſont preſles.	Ous serez dans le calme et rirez des tempêtes, V Car pour notre départ toutes choses sont presles.
RMRREE.	RMRRE.
Dimain ſans diff ror m'éloignant de ce lieu, Mon eſprit affugé vous derobe vn Adieu	Dimain sans dis or m'éloignant de ce lieu, Mon esprit affugé vous derobe un Adieu
ORANIE & Neflne en habit d’hommes les rencontrants.	ORANIE et Neflne en habit d'hommes les rencontrants.
Ha!	Ha!
is tremble Nerine:	Y tremble Nerine:
NERINE.	NERINE.
O bon-heur ſans exemple!	Ô bonheur sans exemple!
Madame ſauuons-nous, ent rons dedans le Temple.	Madame sauvons-nous, ent ons dedans le Temple.
Sous cét habit trompeur on ne vous connoiſt pas.	Sous cet habit trompeur on ne vous connaît pas.
ORANTE.	ORANTE.
Vueille Amour qu’I ſimandre ait deuancé mes pas.	Veuille Amour qu'I simandre ait devancé mes pas.
SCENE II.	SCÈNE II.
FLORANGE, ISIMANDRE, CLINDOR.	FLORANGE, ISIMANDRE, CLINDOR.
FLORANGE.	FLORANGE.
N'Eſt en vain qu’on me fuit, c’eſt in vain qu’on O ſe cathe Ie ſuis ſeule ils ſont deux mais l’vn& l’autre eſt lâche Qu'lque mauuau deſſtin les obuge à courir, T.	N'Est en vain qu'on me fuit, c'est in vain qu'on Ô se cathe Je suis seule ils sont deux mais l'Homme l'autre est lâche Qu'lque mauvau desstin les obuge à courir, T.
m.	m.
raire Iſi mantre apprends qu’il faut mourir.	raire Isi mantre apprends qu'il faut mourir.
ISIMANDRE.	ISIMANDRE.
Bons Oieux que d’accidens chocquent mon intrepriſe ul et na mt vals puens, ia me jainta buns lijs.	Bons Oieux que d'accidents chocquent mon intreprise ul et na mt us puments, ja me jainta buns lijs.
CLINDOR.	CLINDOR.
Ouurons-nous par ſa mort le chemin du bou-heur.	Ouurons-nous par sa mort le chemin du bouheur.
ISTMANDRE.	ISTMANDRE.
Ie ſuiuray ton conſeil, & celuy de l’honneur.	Je suivrai ton conseil, et celui de l'honneur.
Cét arbre, & cette eſcharpe aſſeureront Florange.	Cet arbre, et cette écharpe assureront Florange.
il le lie à vn arbre.	il le lie à un arbre.
Que ma main ſans ſicond ſçait bien comme on ſe vange.	Que ma main sans sicond sais bien comme on se venge.
FLGMNGE.	FLGMNGE.
Me montrez-vous mes yeux ce que ie penſe voir ?	Me montrez-vous mes yeux ce que je pense voir ?
CLINDOR.	CLINDOR.
Monfieus que faites-vous?	Monfieus que faites-vous?
ISIMANDRE.	ISIMANDRE.
Ce que veut mon denoir, O toy' que le mel-heur oppoſs à mon paſſage.	Ce que veut mon denoir, Ô toy' que le melheur opposs à mon passage.
Vieux ſpectre que les ans n’ont pas rendu plus ſage, Souuiins-toy du beau ſang qu’Orante a répandu, 3 OMRIES Et reçoſ de mon uias ie iopir qu' t’eſt deu;	Vieux spectre que les ans n'ont pas rendu plus sage, Souvins-toi du beau sang qu'Orante à répandu, 3 OMRIES Et reços de mon uias Seigneur jopir qu' qu'est dev;
FLORANGE ton bant.	FLORANGE ton bant.
Temtrité ſans force!	Temtrité sans force!
eſperant trompée!	espérant trompée!
IS MANDRE.	IS MANDRE.
Demande moy la vie.	Demande moi la vie.
& me rends ton eſpée:	et me rends ton épée:
FLORANGE It jau ivn, prineat auiit.	FLORANGE It jau jour, prineat aujit.
& gουιιε μες Guerriers Ne ſoüillez point de ſang l’eſe at de vos lauriers.	et gουιιε et Guerriers Ne soüillez point de sang l'es at de vos lauriers.
CLINDOR.	CLINDOR.
Monſieur puniſſez-le du trauail qu’il vous donne;	Monsieur punissez-le du travail qu'il vous donne;
FLORANGE Ie vous cide mon droict	FLORANGE Je vous cide mon droit
ISIMANDRE.	ISIMANDRE.
& moy it vous pardonnt;	et moi it vous pardonnt;
Ciel!	Ciel!
de quelle douleur ay-ie le cœur percé;	de quelle douleur ai-je le cœur percé;
Clindor que ferons-nous?	Clindor que ferons-nous?
ie me trouue bleßé;	Ne me trouve blesié;
Le moyen que ſanglant i’aille où l'Amour m’appelle, Ha chetif fimandre!	Le moyen que sanglant j'aille où l'Amour m'appelle, Ha chétif simandre!
ô fortune infidelle!	ô fortune infidèle!
Trauerjanaueud tunuem uapunou re fuu, Sans eſtre reconnu, c’eſt ce que ie ne puis:	Traverjanaveud tunuem uappunou re fu, Sans être reconnu, c'est ce que personne ne puis:
il délie ſon Eſcuyer.	il délie son Écuyer.
On m’attend cependaut helas!	On m'attend cependaut hélas!
que dois is faire;	que dois is faire;
CLINDOR.	CLINDOR.
Deſchargez vous ſur moy du poidz de cette affaire?	Déchargez -vous sur moi du poids de cette affaire?
I’auray par mou trauail la fin de vos trauaux Allez vous repoſer auprés de nos cheuaux;	J'aurai par mou travail la fin de vos travaux Allez -vous reposer auprès de nos chevaux;
Mais de peur qu’il ne parle il faut garder ce traiſtre,	Mais de peur qu'il ne parle il faut garder ce traître,
ISIMANDRE.	ISIMANDRE.
C’eſt au Temple de Mars que ma Venus doit eſtre,	C'est au Temple de Mars que ma Venus doit être,
CLINDOR.	CLINDOR.
Cachez-vous dans le bois, & ſopez ſans effroy.	Cachez-vous dans le bois, et soppez sans effroi.
ISIMANDRE.	ISIMANDRE.
Taſche donc de voller;	Tâche donc de voler;
Florange, ſuiuez-moy.	Florange, suivez-moi.
FLORANGE.	FLORANGE.
Que deſirez-vous plus de mon ebeïſſance?	Que désirez-vous plus de mon ebeïssance?
ISIMANDRE.	ISIMANDRE.
CE ſeuret iſt trop Daui pour voſtre connoiſſance, Le vaincu doit ploper ſous lis toix du vainqueur.	CE sûret ist trop Davi pour votre connaissance, Le vaincu doit ploper sous lis toix du vainqueur.
FLORANGE bas.	FLORANGE bas.
Que n’auois-je le bras außι bon que le cœur?	Que n'avais-je le bras aussi bon que le cœur?
SCENE 21I.	SCÈNE 21I.
POLIANTE.	POLIANTE.
Ve n’es-tu le teſmoin de mon inquietude?	Ve n'es-tu le témoin de mon inquiétude?
Ie te ferois rougir de ton ingratitude?	Je te ferais rougir de ton ingratitude?
Fils ſans obëïſſance, en fant ſans amitié, A qui mes chiueux blanc, n'ont ſçeu faire pitié.	Fils sans obéissance, en fant sans amitié, À qui mes chiueux blanc, n'ont su faire pitié.
Quel exploict genereux, quelle belle aduanturs Oblige ton eſprit à chocquer la nature?	Quel exploit généreux, quelle belle aduanturs Oblige ton esprit à chocquer la nature?
Iſimandre crucl, ton dé part m’eſt ſuſpict, Le veritable amour n’eſt iamais ſans reſpect, Il s’impoſe luy-meſme vne loüable crainte.	Isimandre crucl, ton dé part m'est suspict, Le véritable amour n'est jamais sans respect, Il s'impose Roy-même une louable crainte.
Il eſtime le joug qu'il porte ſans contrainte, Et deuant qu’entreprendre vn deſſ-in qu’il aure Sans ſonger s’il luy plaiſt, il penſe s’il plaira, Toutes ſes volontez ne font rien en tumulte, L’Oracle Paternel eſt le ſeul qu’il conſulte,	Il estime le joug qu'il porte sans contrainte, Et devant qu'entreprendre un dess-in qu'il aure Sans songer s'il avait plaît, il pense s'il plaira, Toutes ses volontés ne font rien en tumulte, L'Oracle Paternel est le seul qu'il consulte,
El combat ſes deſirs ſans en eſire abatu, Et ſuit heureuſement les pas de la Vertu, Si ſon ame a des fiux la raiſon les tempere, Il penſe qu’il eſt fils & qu’il doit eſtre pere, Et touſiours l’amitié l’emportant ſur l’amour, Il rend le meſme bonneur qu'on luy doit rendre vn tour:	Elle combat ses désirs sans en esire abattu, Et suit heureusement les pas de la Vertu, Si son âme a des fiux la raison les tempère, Il pense qu'il est fils et qu'il doit chang père, Et toujours l'amitié l'emportant sur l'amour, Il rend le même bonneur qu'on lu doit rendre un tour:
Ha!	Ha!
que tu marches loing de cette houreuſe trace:	que tu marches loing de cette houreuse trace:
Ton eſprit libertin ne craint point ma diſgrace.	Ton esprit libertin ne craint point ma disgrâce.
Tu peris ſans mon congé tu vas quittant cus lieux, bans ſonger que mes pleurs ſont apperçeus des Dieux Sat Peres comme moy prendront part à l’outrage, Mais celeſtes Clements!	Tu péris sans mon congé tu vas quittant cvs lieux, bans songer que mes pleurs sont aperçus des Dieux At Pères comme moi prendront part à l'outrage, Mais célestes Cléments!
ſauuez-le du naufrage, Et ne puuiſſants point ſes deſirs mutinez.	sauvez-le du naufrage, Et ne puuissants point ses désirs mutinés.
Pardannez-luy ſa faute.	Pardannez-lui sa faute.
& me le ramenez, Que i’ay le ſens troublé que i’ay l’eſprit en guerre!	et me le ramenez, Que j'ai le sens troublé que j'ai l'esprit en guerre!
Il a de ſia touru tous les coings de la terre;	Il a de zia touru tous les coings de la terre;
Ingenieux qu’il eſt, il feint mille dangers Que trouue ce cher fils aux climats eſtrangers, le le crois voir aux mains auec vn aduerſaite.	Ingénieux qu'il est, il feint mille dangers Que trouve ce cher fils aux climats étrangers, le le crois voir aux mains avec un aversaite.
e le crois voir ſur l’Onde, & pris par vn Corſaire;	Je le crois voir sur l'Onde, et pris par un Corsaire;
le crois que ſon argent tente les Matelots, e trains comme les vents les rochers & les ſlots, Leur calmt le plus doux deſbend de la fortune, It l’inconſtante y regne auß-bien que Neptuns, e le deſcends à terre auecque mes douleurs, ẽ le vois dans vn bois attaqué des voleurs e l'appar çoy combattre au muteu u vat armes, eSrois voir ſa valeur par le nombre opprimée, Ie le vois tout ſanglant, ie le vois qui paſlit, Ie le crois poir malade & mourir daus vn lit, Abandonné tout ſeul, & priue d oſſiſtance.	le crois que son argent tente les Matelots, eût trains comme les vents les rochers et les slots, Leur calmt le plus doux débend de la fortune, It l'inconstante y règne aussi-bien que Neptuns, eût le descends à terre avec mes douleurs, endre le vois dans un bois attaqué des voleurs eût l'appar çoy combattre au muteu armes, eSrois voir sa valeur par le nombre opprimée, Ie le vois tout sanglant, ie le vois qui pâlit, Ie le crois poir malade et mourir daus lit, Abandonné tout seul, et priue ossistance.
Brefi tous les acuidens eſprouuent ma conſiance.	Brefi tous les acuidens éprouvent ma constance.
Et pour luy mon amour ſe porte en vn tel poinct, Que ie veſſens les maux que peut-eſire il n'a poent, Grands Oieux de qui lis mains tieunent nes deſtinéts Pour aſonger ſes touts cetranchez mes années, Et bornant ſon voyage ainſi que mon ennuy, Que ie meure en moy-meſme & que ie viue en luy,	Et pour notre mon amour se porte en un tel point, Que quelque vessens les maux que peut-esire il n'a poutent, Grands Oieux de qui lis mains tieunent nés destinets Pour asonger ses touts cetranchés mes années, Et bornant son voyage ainsi que mon ennui, Que deux meure en moi-même et que ie viue en même,
SCENE IV.	SCÈNE IV.
ORANTE, NERINE.	ORANTE, NERINE.
ORANIE dans le Temp le auec verine.	ORANIE dans le Temp le Seigneur vérine.
E leux il ne ſonge point au tourment qui me preſe U Pour auoir tant d’amour il a trop de pareſſe.	E leux il ne songe point au tourment qui me prese V Pour avoir tant d'amour il a trop de paresse.
Si ne me trouuant pas on ſa mir imataue Vn lieu touſiours ouueit pourra-t'il me cacher, Et ſi par ces habits on conno ſt mon enuie, Riin ins peisl-n ſouder Ce tuonneur Ce uatir.	Si ne me trouvant pas on sa mir imatave Un lieu toujours ouvit pourra-t'-il me cacher, Et si par ces habits on conn st mon envie, Riin ins peisl-n souder On tuonneur Ce ouvatir.
NERINE.	NERINE.
Ie ne ſçay que iuger de ſon retardement;	Je ne sais que juger de son retardement;
Mais qu’il manque d’amour Madame, nullement.	Mais qu'il manque d'amour Madame, nullement.
ORANTE.	ORANTE.
Quand Clindor te donna ces habiliements d'hommes Ne te marqua-t’il pas le lieu meſme vù nous ſommes.	Quand Clindor te donna ces habiliements d'hommes Ne te marqua-t-il pas le lieu même vù nous sommes.
N RINE.	 NINE.
Il me marqua le lieu, le iour & le matis.	Il me marqua le lieu, le jour et le matis.
DRANTE.	DRANTE.
Sans doute que leur faute eſt celle du DeſtinQui ialoux de mon aiſe, & l’apant reconnuë, Pour me deſeſperer em peſche leur venuë:	Sans doute que leur faute est celle du DestinQui jaloux de mon aise, et l'apant reconnue, Pour me désespérer em pêche leur venue:
Quelque obſtacle faſcheux leur deffend de venir, Mais ie n'en auray point quand ie voudray finir, Dans l’excez des mat-heurs où perſonne ne m’aide, L ay Ioupours cru ta mort vn ſoauerain remede, Qui l’a pru vne fou le prendra bien encor.	Quelque obstacle fâcheux leur défend de venir, Mais tu n'en aurai point quand ie voudray finir, Dans l'excès des mat-heurs où personne ne m'aide, L ai Ioupours cru ta mort un sognerain remède, Qui l'a pru une fou le prendra bien encor.
NERINE.	NERINE.
O Ciel!	Ô Ciel!
voicy venir le fidille Clindor.	voici venir le fidille Clindor.
CENE V .	CÈNE V .
CLINDOR, ORANTE, NERINE.	CLINDOR, ORANTE, NERINE.
CLINDOR.	CLINDOR.
vous me voyez ſeul, qu’il ne vous ſemble eſt range;	vous me voyez seul, qu'il ne vous semble est range;
Mon Maiſtre par mal-heur a tencontré Florange, Mais ſouffrez en fupant la colere d’Ormin, Cartraijtones je Jajje dart uonre chimin.	Mon Maître par malheur a tencontré Florange, Mais souffrez en fupant la colère d'Ormin, Cartraijones je Jajje dart uonre chimin.
ORANTE.	ORANTE.
Prends pitié de mon cœur, en luy faiſant connaiſtre.	Prends pitié de mon cœur, en était faisant connaître.
Si vainqueur ou blße, ie dois reuoir ton Maiſtre.	Si vainqueur ou bleue, Seigneur dois revoir ton Maître.
CLINDOR.	CLINDOR.
Et vainqueur, & bleſſé, mais fort legerement, Quel qu’vn nous ſur prendra ſauuons-nous viſtement.	Et vainqueur, et blessé, mais fort légèrement, Quel qu'un nous sur prendra sauvons-nous vite.
SCENE	SCÈNE
SCENE VI.	SCÈNE VI.
LVCINDE, PALINICE.	LUCINDE, PALINICE.
LVCINDE.	LUCINDE.
Elas de mon ſupport ie me trouue priuée;	Élas de mon supportune me trouve privée;
I TMadame c’en eſt fait, ma fille eſt enleuée:	I TMadame c'en est fait, ma fille est enlevée:
Elle n’eſt plus icy, Nerine a diſparu, En vain tout le Chaſt.	Elle n'est plus ici, Nerine a disparu, En vain tout le Chât.
au i’ay quatre fous couru, Son cabinit eſt vu de & ſa chambis eſt ouuerte, Ha, ie n’en doute plus, cela me dit ma perte, Ie ſuis au deſeſpoir, & ie perds la raiſon Souffrez-vous des voleurs dedans voſtve maiſon?	au j'ai quatre fous couru, Son cabinit est vu de et sa chambis est ouverte, Ha, je n'en doute plus, cela me dit ma perte, Je suis au désespoir, et Seigneur perds la raison Souffrez-vous des voleurs dedans vostve maison?
Suulagez ma douteur, pau qu’ele vous affige.	Suulagez ma douteur, pau qu'elle vous affige.
Vn mal eſt incurable alors qu’on le neglige.	Un mal est incurable alors qu'on le néglige.
Il eſt encore temps, faits courir aprés.	Il est encore temps, faits courir après.
PALIN CE.	PALIN CE.
nuocuurenamu pui ſi loin, nauuumumu peut prée.	nuocuurenamu puy si loin, nauvumumumu peut prée.
Le principe du mal m’en filt preuoir l’iſſuë, Ormin a fait ce coup, ou ie ſuis fort deceuë.	Le principe du mal m'en filt prévoir l'issue, Ormin a fait ce coup, ou tu suis fort déçue.
Mais allons deſcouurir la route qu’elle a pris.	Mais allons découvrir la route qu'elle a pris.
LVCINDE.	LUCINDE.
Vous redoublez encor la geſne à mes eſprits,	Vous redoublez encor la gêne à mes esprits,
SUENNE ORMIN.	SUENNE ORMIN.
VXIe	VXIe
E feu de mon courroux ſe meſle auec ma flâme, COn enleue mon Cœuν, on deſtobe mon ame, Au moins, cruel deſtin, fay voir à mis deſirs L’inuiſible ennemy qui détruit mes plaiſirs.	E feu de mon courroux se mêle avec ma flamme, COn enlève mon Cœu, on destobe mon âme, Au moins, cruel destin, fais voir à mis désirs L'invisible ennemi qui détruit mes plaisirs.
Deſcouurs-moy le Ciel où mon Soleil demeure, Que ie meure vangé puis qu’il faut que ie meure:	Descouurs-moi le Ciel où mon Soleil demeure, Que tu meure vengé puis qu'il faut que ici meure:
Et permets que ſon ſang puiſſe effacer l’affront Qui me perce le cœur & me rougit le front Mais à tort ce ſoupçon m'entre en la fantaiſie, Et ie donnt à l'amour vn trait de ialouſie:	Et permets que son sang puisse effacer l'affront Qui me perce le cœur et me rougit le front Mais à tort ce soupçon m'entre en la fantaisie, Et avoir donnt à l'amour trait de jalousie:
Sans doutt que ma fimme a fait ce beau deſſein, Mau vn coup de poignard luy va percez le ſein, Si ſa ruſe entreprend de faire l’ignorante, Elle perdra le iour, ſi ie perds mon Orante.	Sans dout que ma fimme a fait ce beau dessein, Mau un coup de poignard lui va percez le sein, Si sa ruse entreprend de faire l'ignorante, Elle perdra le jour, si tu perds mon Orante.
SCENE VIII.	SCÈNE VIII.
PLORAROE, ISIMAICDRIa	PLORAROE, ISIMAICDRIa
FLORANGE.	FLORANGE.
A fortune a trahy tout l’eſpoir que i’aucï.	À fortune a trahi tout l'espoir que j'aucai.
IS MANDRE.	IS MANDRE.
Außi vieux qu’vn rocher vous n’auez que la voix.	Aussi vieux qu'Han nocher vous n'avez que la voix.
FLORANGE Ii eſt vray, mau ſouffrez qu’elie me ſerue à pleindre.	FLORANGE Ii est vrai, mau souffrez qu'elle me serve à pleindre.
ISIMANDRE.	ISIMANDRE.
Otformau vous ny moy n'auons plus rien à craindre	Otformau vous ni moy n'avons plus rien à craindre
FLORANGE.	FLORANGE.
Le plus grand des mal-heurs enfin m’eſt aduena.	Le plus grand des malheurs enfin m'est avena.
IS MANDRE.	IS MANDRE.
Le mal dont vous parlez ne vous eſt pas connû.	Le mal dont vous parlez ne vous est pas connu.
TCORANGE.	TOCORANGE.
Que ſçauroit adiouſter la fortunt à ma peine?	Que saurait ajouter la fortunt à ma peine?
ISIMANDRE.	ISIMANDRE.
L’inéuitable fin d’vne eſperance vaine.	L'inévitable fin d'une espérance vaine.
FLORANGE.	FLORANGE.
Donnez-moy cette fin en ceutut mis iours,	Donnez-moi cette fin en cututut mis jours,
ISIMANDRE.	ISIMANDRE.
Le Fou Patεvrut mat au tque ce diſcours.	Le Fou Pat mat au que ce discours.
FLORANGE.	FLORANGE.
Et cs diſcours s’accorde auec mon aduanture,	Et cs discours s'accorde avec mon aventure,
ISIMANDRE.	ISIMANDRE.
Par luy vous renuerſez l’ordre de la Nature.	Par lui vous renversez l'ordre de la Nature.
LBORIANGE Comment l’entendez vous y expliquez ce propos:	LBORIANGE Comment l'entendez -vous y expliquez ce propos:
IS MANDRE.	IS MANDRE.
Songez que la virilleſſe a beſoin de repos.	Songez que la virillesse a besoin de repos.
FLORANGE.	FLORANGE.
L’âge dont vous parlez n’a rien qui ſoit infams:	L'âge dont vous parlez n'a rien qui soit infams:
ISIMANDRE.	ISIMANDRE.
Mais l’Amoux eſt aueugle, & la fort une eſt femme	Mais l'Amoux est aveugle, et la fort une est femme
FLORANGE.	FLORANGE.
Deſia depuis long-iemps s'en ay ſenty les coups;	Déjà depuis long-je s'en ai senti les coups;
A ISIMANDRE.	À ISIMANDRE.
Vous en verez bien toſt de prus he reux que vous.	Vous en verez bien tôt de prus hé reux que vous.
FLORANTE.	FLORANTE.
Ne pouuant l’empeſcher il fa dra m'y reſoudre;	Ne pouvant l'empêcher il fa dra m'y résoudre;
ISIMANDRE.	ISIMANDRE.
Que voſtre œil ſe prepart à voir tomber la foudre.	Que votre œil se prépart à voir tomber la foudre.
FLORAN GE.	FLORAN GE.
que ia ne meurt point d'vn to pinopmne;	que ja ne meurt point d'ins to pinopmne;
Orante vient icy;	Orante vient ici;
ISIMANDRE, Approche mon eſpoir.	ISIMANDRE, Approche mon espoir.
Vous l’auez deuiné.	Vous l'avez deviné.
Ene arſue.	Une arsue.
SCENE IX.	SCÈNE IX.
ORANTE, ISIMANDRE, FLORANGE, CLINDOR, NERINE.	ORANTE, ISIMANDRE, FLORANGE, CLINDOR, NERINE.
ORANTE.	ORANTE.
A efans Jujens ma vie;	À eans Jujens ma vie;
Noſtre heur eſt aſſez grand pour exiter l’enuie.	Notre heur est assez grand pour exiter l'envie.
ISIMANDRE montrant Forange.	ISIMANDRE montrant Forange.
Nous la tenons captiue elle eſt priſe en ces lieux;	Nous la tenons captive elle est prise en ces lieux;
ORANTE.	ORANTE.
Ha!	Ha!
chaſſez ce tantoſme il deſplaiſt à mes yeux.	chassez ce tantôme il déplaît à mes yeux.
FLORANGE bas.	FLORANGE bas.
Que par l’ombre du bien l’amt eſt ſouuent trompét:	Que par l'ombre du bien l'amt est souvent trompét:
ISIMANDRE.	ISIMANDRE.
Allez, retirez-vous, reprenez voſtre eſpée, Et ſur vos paßions ayez plus de pouuoir.	Allez, retirez-vous, reprenez votre épée, Et sur vos passions ayez plus de pouvoir.
FLORANGE s’en allant.	FLORANGE s'en allant.
Ie meurs de voir Orante, & de ne la plus voir.	Je meurs de voir Orante, et de ne la plus voir.
ISIMANDRE.	ISIMANDRE.
