Suivant la Copie imprimée	Suivant la Copie imprimée
SCENE VII.	SCÈNE VII.
HORACE, SABINE, PROCULE.	HORACE, SABINE, PROCULE.
2  4 SABINE.	2 4 SABINE.
Quoy s’arreſte icy ton illuſtre colere?	Quoi s'arrête ici ton illustre colère?
Viens voir mourir ta ſœur dans les bras de ton pere, Viens repaiſtre tes yeux d’un ſpectacle ſi doux;	Viens voir mourir ta sœur dans les bras de ton père, Viens repaître tes yeux d'un spectacle si doux;
Ou ſi tu n’es point las de ces genereux coups, Immole au cher païs des vertueux Horaces Ce reſte malheureux du ſang des Curiaces.	Ou si tu n'es point las de ces généreux coups, Immole au cher pays des vertueux Horaces Ce reste malheureux du sang des Curiaces.
Si prodigue du tien n’épargne pas le leur, Joins Sabine à Camille, & ta femme à ta ſœur;	Si prodigue du tien n'épargne pas le leur, Joins Sabine à Camille, et ta femme à ta sœur;
Mamt miſeh.	Mamt miseh.
je ioupire comme elſé & de piore mes freres, Plus coupable en ce point contre tes dures loix, Qu’elle n’en pleuroit qu’un, & que j’en pleure trois, Qu’aprés ſon châtiment ma faute continuë.	je joupire comme elsé et de piore mes frères, Plus coupable en ce point contre tes dures lois, Qu'elle n'en pleurait qu'un, et que j'en pleure trois, Qu'après son châtiment ma faute continue.
HORACE.	HORACE.
Seche tes pleurs, Sabine, ou les cache à ma veuë, Rens-toy digne du nom de ma chaſte moitié, Et ne m’accable point d’une indigne pitié.	Séche tes pleurs, Sabine, ou les cache à ma vue, Rends-toi digne du nom de ma chaste moitié, Et ne m'accable point d'une indigne pitié.
Si l’abſolu pouvoir d’une pudique flame Ne nous laiſſe à tous deux qu’un penſer & qu’une ame, C’eſt à toy d’élever tes ſentimens aux miens, Non à moy de deſcendre à la honte des tiens.	Si l'absolu pouvoir d'une pudique flamme Ne nous laisse à tous deux qu'un penser et qu'une âme, C'est à toi d'élever tes sentiments aux miens, Non à moi de descendre à la honte des tiens.
Je t’ayme & je connoy la douleur qui te preſſe, Embraſſe ma verru pour vaincre ta foibleſſe, Participe à ma gloire au lieu de la ſoüiller, Tâche à t’en reveſtir, non à m'en depoumier.	Je t'aime et je connais la douleur qui te presse, Embrasse ma verru pour vaincre ta faiblesse, Participe à ma gloire au lieu de la soüiller, Tâche à t'en revêtir, non à m'en dépouier.
Es-tu Es-tu de mon honneur ſi mortelle ennemie Que je te plaiſe mieux couvert d’une infamie?	Es-tu Es-tu de mon honneur si mortelle ennemie Que je te plaise mieux couvert d'une infamie?
Sois plus femme que ſœur, & te reglant ſur moy.	Sois plus femme que sœur, et te réglant sur moi.
Fais-toy de mon exemple une iminuable loy.	Fais-toi de mon exemple une iminuable loi.
SABINE.	SABINE.
Cherche pour t’imiter des ames plus parfaites.	Cherche pour t'imiter des âmes plus parfaites.
Je ne t’impute point les pertes que j’ay faites, j’en ay les ſentimens que je dois en avoir, Et je m’en prens au Sort plûtoſt qu’à ton devoir.	Je ne t'impute point les pertes que j'ai faites, j'en ai les sentiments que je dois en avoir, Et je m'en prends au Sort plutôt qu'à ton devoir.
Mais enfin je renonce à la vertu Romaine, Si pour la poſſeder je dois eſtre inhumaine, Et ne puis voir en moy la femme du vainqueur, Sans y voir des vaincus la déplorable ſœur.	Mais enfin je renonce à la vertu Romaine, Si pour la posséder je dois être inhumaine, Et ne puis voir en moi la femme du vainqueur, Sans y voir des vaincus la déplorable sœur.
Prenons part en public aux victoires publiques, Pleurõs dans la maiſon nos malheurs domeſtiques.	Prenons part en public aux victoires publiques, Pleur dans la maison nos malheurs domestiques.
Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne ſont que pour nous.	Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne sont que pour nous.
Pourquoy veux-tu, cruel, agir d’une autre ſorte?	Pourquoi veux-tu, cruel, agir d'une autre sorte?
Laiſſe en entrant icy tes lauriers à la porte, Meſle tes pleurs aux miẽs.	Laisse en entrant ici tes lauriers à la porte, Mêle tes pleurs aux miens.
Quoy, ces lâches diſcours N’arment point ta vertu contre mes triſtes jours ?	Quoi, ces lâches discours N'arment point ta vertu contre mes tristes jours ?
Mon crime redoublé n’émeut point ta colere?	Mon crime redoublé n'émeut point ta colère?
Que Camille eſt heureuſe!	Que Camille est heureuse!
elle a pû te déplaire, Elle a receu de toy ce qu’elle a pretendu, Et recouvre là bas tout ce qu’elle a perdu.	elle a pu te déplaire, Elle a reçu de toi ce qu'elle a prétendu, Et recouvre là bas tout ce qu'elle a perdu.
Cher époux, cher auteur du tourment qui me preſſe, Eſcoute la pitié ſi ta colere ceſſe, Exerce l’une ou l’aure aprés de tels malheurs A punir ma foibleſſe, où finir mes douleurs.	Cher époux, cher auteur du tourment qui me presse, Escoute la pitié si ta colère cesse, Exerce l'une ou l'aure après de tels malheurs A punir ma faiblesse, où finir mes douleurs.
Je demande la mort pour grace, ou pour ſupplice, Qu’elle ſoit un effet d’amour, ou de juſtice, N’importe, tous ſes traits n'aurõt rien que de doux, Si je les voy partir de la main d’un époux.	Je demande la mort pour grâce, ou pour supplice, Qu'elle soit un effet d'amour, ou de justice, N'importe, tous ses traits n'auront rien que de doux, Si je les vois partir de la main d'un époux.
HORACE.	HORACE.
Quelle injuſtice aux Dieux d’abandonner aux femmes Un empire ſi grand ſur les plus beſles ames, Et de ſe plaire à voir de ſi foibles vainqueurs Regner ſi puiſſamment ſur les plus nobles cœurs!	Quelle injustice aux Dieux d'abandonner aux femmes Un empire si grand sur les plus bêles âmes, Et de se plaire à voir de si faibles vainqueurs Règner si puissamment sur les plus nobles cœurs!
A quel point ma vertu devient-elle reduite!	À quel point ma vertu devient-elle réduite!
Rien ne la ſçauroit plus garantir que la fuite:	Rien ne la saurait plus garantir que la fuite:
Adieu, ne me ſuy point, ou retiens tes ſoûpirs.	Adieu, ne me suis point, ou retiens tes soupirs.
BINE ſeule.	BINE seule.
O colere, ô pitié ſourdes à mes deſirs!	Ô colère, ô pitié sourdes à mes désirs!
Vous negligez mon crime, & ma douleur vous laſſe, Et je n’obtiens de vous ny ſupplice, ny grace.	Vous négligez mon crime, et ma douleur vous lasse, Et je n'obtiens de vous ni supplice, ni grace.
Allons-y pur nos pieurs laire elcor un effort, Et n’employons aprés que nous à noſtre mort.	Allons-y pur nos pieurs laire ellecor un effort, Et n'employons après que nous à notre mort.
Fin an quatrième Acte.	Fin an quatrième Acte.
ACTE	ACTE
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le ve HORACE, NONACE.	Le ve HORACE, NONACE.
Le vieil HORACE.	Le vieil HORACE.
Etirons nos regards de cet objet funeſte I Pour admirer icy le jugement celeſte.	Etirons nos regards de cet objet funeste I Pour admirer ici le jugement céleste.
Quand la gloire nous enfle il ſçait bien comme il faut  M Confondre noſtre orgueil qui s’éleve trop haut, Nos plaiſirs les plus doux ne vont point ſans triſteſſe, Il meſle à nos vertus des marques de foibleſſe, Et rarement accorde à noſtre ambition L’entier & pur honneur d’une bonne action.	Quand la gloire nous enfle il sait bien comme il faut M Confondre notre orgueil qui s'élève trop haut, Nos plaisirs les plus doux ne vont point sans tristesse, Il mêle à nos vertus des marques de faiblesse, Et rarement accorde à notre ambition L'entier et pur honneur d'une bonne action.
Je ne plains point Camille, elle eſtoit criminelle, Je me tiens plus à plaindre, & je te plains plus qu’elle, Moy, d’avoir mis au jour un cœur ſi peu Romain, Toy, d’avoir par ſa mort deshonoré ta main.	Je ne plains point Camille, elle était criminelle, Je me tiens plus à plaindre, et je te plains plus qu'elle, Moi, d'avoir mis au jour un cœur si peu Romain, Toi, d'avoir par sa mort déshonoré ta main.
Je ne la trouve point injuſte, ny trop prompte, Mais tu pouvois, mon fils, t’en épargner la honte, Son crime, quoy qu’enorme & digne du trépas, Eſtoit mieux impuny que puny par ton bras.	Je ne la trouve point injuste, Seigneur trop prompte, Mais tu pouvais, mon fils, t'en épargner la honte, Son crime, quoi qu’énorme et digne du trépas, Était mieux impuni que puni par ton bras.
HORACE.	HORACE.
Diſpoſez de mõ ſang, les loix vous en font maiſtre, J’ay crû devoir le ſien aux lieux qui m’ont veu naiſtre, Si dans vos ſentimens mon zele eſt criminel, S’il m’en faut recevoir un reproche eternel, Si ma main en devient honteuſe & profanée, Vous pouvez d’un ſeul mot trancher ma deſtinée, Reprenez tout ce ſang de qui ma lâcheté A ſi bruralement ſoüillé la pureté;	Disposez de mod sang, les lois vous en font maître, J'ai cru devoir le sien aux lieux qui m'ont vu naître, Si dans vos sentiments mon zèle est criminel, S'il m'en faut recevoir un reproche éternel, Si ma main en devient honteuse et profanée, Vous pouvez d'un seul mot trancher ma destinée, Reprenez tout ce sang de qui ma lâcheté A si bruralement soüillé la cureté;
10 13*	10 13*
Ma Ma main n’a pû ſouffrir de crime en voſtre race, Ne ſoûffrez point de tache en la maiſon d’Horace.	Ma Ma main n'a pu souffrir de crime en votre race, Ne souffrez point de tache en la maison d'Horace.
C’eſt en ces actions dont l’honneur eſt bleſſé Qu’un pere tel que vous ſe montre intereſſé, Son amour doit ſe taire ou toute excuſe eſt nulle, Luy-meſme il y prend part lors qu’il les diſſimule, Et de la propre gione niant tlop peu decas Quand il ne punit point ce qu’il n’approuve pas.	C'est en ces actions dont l'honneur est blessé Qu'un père tel que vous se montre intéressé, Son amour doit se taire ou toute excuse est nulle, Lui-même il y prend part lors qu'il les dissimule, Et de la propre gione niant tlop peu décas Quand il ne punit point ce qu'il n'approuve pas.
Le vieil HORACE.	Le vieil HORACE.
Il n’uſe pas touſiours d’une rigueur extréme, Il épargne ſes fils bien ſouvent pour ſoy-meſme, Sa vieilleſſe ſur eux ayme à ſe ſoûtenir, Et ne les punit point pour ne ſe pas punir.	Il n'use pas toujours d'une rigueur extrême, Il épargne ses fils bien souvent pour soi-même, Sa vieillesse sur eux aime à se soutenir, Et ne les punit point pour ne se pas punir.
Je te voy d’un autre œil que tu ne te regardes, Je lçay.	Je te vois d'un autre œil que tu ne te regardes, Je laisse.
Mais le Roy vient, je vois entrer ſes Gardes.	Mais le Roi vient, je vois entrer ses Gardes.
SCENE II.	SCÈNE II.
TULLE, VALERE, Le vieil HORACE, HORACE, Troupe de Gardes.	TULLE, VALÈRE, Le vieil HORACE, HORACE, Troupe de Gardes.
f 4 Le vieil HORACE.	 4 Le vieil HORACE.
H, Sire, un tel honneur a trop d’excez pour moy, Ce n’eſt point en ce lieu que je dois voir mon P Permettez qu’à genoux.	H, Sire, un tel honneur a trop d'excès pour moi, Ce n'est point en ce lieu que je dois voir mon P Permettez qu'à genoux.
TULLE.	TULLE.
Non, levez-vous, mon pere, Je fais ce qu’en ma place un bon Prince doit faire.	Non, levez-vous, mon père, Je fais ce qu'en ma place un bon Prince doit faire.
Un ſi rare ſervice, & ſi fort important Veut l’honneur le plus rare, & le plus éclatant, Vous en aviez deſia ſa parole pour gage, Je ne l’ay pas voulu differer d’avantage, ’ay ſçeu par ſon rapport (& je n’en doutois pas) Comme de vos deux fils vous portez le trépas, Et que deſia voſtre ame eſtant trop reſoluë Ma conſolation vous ſeroit ſuperfluë:	Un si rare service, et si fort important Veut l'honneur le plus rare, et le plus éclatant, Vous en aviez déjà sa parole pour gage, Je ne l'ai pas voulu différer d'avantage, 'ai su par son rapport (et je n'en doutais pas) Comme de vos deux fils vous portez le trépas, Et que déjà vôtre âme étant trop résolue Ma consolation vous serait superflue:
Mais Mais je viens de ſçavoir quel étrange malheur D’un fils victorieux a ſuivy la valeur, Et que ſon trop d’amour pour la cauſe publique Par ſes mains à ſon pere oſte une fille unique, Ce coup eſt un peu rude à l’eſprit le plus fort, Et je doute comment vous portez cette mort.	Mais Mais je viens de savoir quel étrange malheur D'un fils victorieux a suivi la valeur, Et que son trop d'amour pour la cause publique Par ses mains à son père ôte une fille unique, Ce coup est un peu rude à l'esprit le plus fort, Et je doute comment vous portez cette mort.
Le duls drouvne n Sire, avec déplaiſir, mais avec patience.	Le duls drouvne n Ire, avec déplaisir, mais avec patience.
TULLE.	TULLE.
C’eſt l’effet vertueux de voſtre experience.	C'est l'effet vertueux de votre expérience.
Beaucoup par un long âge ont appris comme vous Que le malheur ſuccede au bonheur le plus doux;	Beaucoup par un long âge ont appris comme vous Que le malheur succède au bonheur le plus doux;
Peu ſçavent comme vous s’appliquer ce remede, Et dans leur intereſt toute leur vertu cede.	Peu sçavent comme vous s'appliquer ce remède, Et dans leur intérêt toute leur vertu cède.
Si vous pouvez trouver dans ma compaſſion Quelque ſoulagement pour voitle aiierion, Ainſi que voſtre mal ſçachez qu’elle eſt extréme, Et que je vous en plains autant que je vous ayme.	Si vous pouvez trouver dans ma compassion Quelque soulagement pour voitle aiierion, Ainsi que votre mal sachez qu'elle est extrême, Et que je vous en plains autant que je vous aime.
VALERE.	VALÈRE.
Sire, puis que le Ciel entre les mains des Rois Depoſe ſa juſtice & la force des loix, Et que l’Eſtat demande aux Princes legitimes Des prix pour les vertus, des peines pour les crimes, Souffrez qu’un bon Sujet vous faſſe ſouvenir Que vous plaignez beaucoup ce qu’il vous faut puSouffrez.	Sire, puis que le Ciel entre les mains des Rois Dépose sa justice et la force des lois, Et que l'État demande aux Princes légitimes Des prix pour les vertus, des peines pour les crimes, Souffrez qu'un bon Sujet vous fasse souvenir Que vous plaignez beaucoup ce qu'il vous faut puSouffrez.
nir,	nir,
Le vieil HORACE.	Le vieil HORACE.
Quoy?	Quoi?
qu’on envoye un vainqueur au ſupplice?	qu'on envoie un vainqueur au supplice?
TULLE.	TULLE.
Permettez qu’il acheve, & je féray juitice.	Permettez qu'il achève, et je férai juitice.
J’ayme à la rendre à tous à toute heure, en tout lieu, C’eſt par elle qu’un Roy ſe fait un demy-Dieu, Et c’eſt dont je vous plains qu’aprés un tel ſervice On puiſſe contre luy me demander juſtice.	J'aime à la rendre à tous à toute heure, en tout lieu, C'est par elle qu'un Roi se fait un demi-Dieu, Et c'est dont je vous plains qu'après un tel service On puisse contre lui me demander justice.
VALERE.	VALÈRE.
Souffrez donc, ô grand Roy, le plus juſte des Rois, Que tous les gens de biẽ vous parlent par ma voix.	Souffrez donc, ô grand Roi, le plus juste des Rois, Que tous les gens de bien vous parlent par ma voix.
Non que nos cœurs juioux de ſes honneurs s’irritent, F 6 s’il	Non que nos cœurs juioux de ses honneurs s'irritent, F 6 s'il
Vous Mais je hay ces moyens qui lentent l'antmeer S’il en reçoit beaucoup, ſes hauts faits les meritent, Adjoûtez-y plûtoſt que d’en diminuer, Nous ſommes tous encor preſts d’y contribuer:	Vous Mais je hais ces moyens qui lent l'antmeer S'il en reçoit beaucoup, ses hauts faits les méritent, Ajoutez-y plutôt que d'en diminuer, Nous sommes tous encor prêts d'y contribuer:
Mais puiſque d’un tel crime il s’eſt montré capable, Qu’il triomphe vainqueur & periſſe en coupable, Arreſtez ſa fureur, & ſauvez de ſes mains, Si vous voulez regner, le reſte des Romains, Ily va de la perte, ou du ſalut du reſte.	Mais puisque d'un tel crime il s'est montré capable, Qu'il triomphe vainqueur et périsse en coupable, Arrêtez sa fureur, et sauvez de ses mains, Si vous voulez régner, le reste des Romains, Ili va de la perte, ou du salut du reste.
La guerre avoit un cours ſi ſanglant, ſi funeſte, Et les nœuds de l’Hymen durant nos bons deſtins Ont tant de fois vny des peuples, ſi voiſins, Qu’il eſt peu de Romains que le party contraire N’intereſſe en la mort d’un gendre ou d’un beaufrere, Et qui ne ſoit forcé de donner quelques pleurs Dans le bonheur public à leurs propres malheurs.	La guerre avait un cours si sanglant, si funeste, Et les nœuds de donner Hymen durant nos bons destins Ont tant de fois uni des peuples, si voisins, Qu'il est peu de Romains que le parti contraire N'intéresse en la mort d'un gendre ou d'un beaufre, Et qui ne soit forcé de donner quelques pleurs Dans le bonheur public à leurs propres malheurs.
Si c’eſt offenſer Rome, & que l’heur de ſes armes L’authoriſe à punir ce crime de nos larmes, Quel ſang épargnera ce barbare vainqueur Qui ne pardonne pas à celuy de ſa ſœur, Et ne peut excuſer cette douleur preſſante Que la mort d’un amant jette au cœur d’une amannte, Quand prés d’eſtre éclairez du nuptial flambeau Elle voit avec luy ſon eſpoir au tombeau?	Si c'est offenser Rome, et que l'heur de ses armes L'autorise à punir ce crime de nos larmes, Quel sang épargnera ce barbare vainqueur Qui ne pardonne pas à celui de sa sœur, Et ne peut excuser cette douleur pressante Que la mort d'un amant jette au cœur d'une amnte, Quand prés d'être éclairez du nuptial flambeau Elle voit avec lui son espoir au tombeau?
Faiſant triompher Rome il ſe l’eſt aſſervie, Il a ſur nous undroit & de mort & de vie, Et nos jours criminels ne pourront plus durer Qu’autant qu’à ſa clemence il plaira l’endurer.	Faisant triompher Rome il se l'est asservie, Il a sur nous undrait et de mort et de vie, Et nos jours criminels ne pourront plus durer Qu'autant qu'à sa clémence il plaira l'endurer.
Je pourrois adjouſter aux intereſts de Rome Combien un pareil coup eſt indigne d’un homme, Je pourrois demander qu’on miſt devant vos yeux Ce grand & rare exploit d’un bras victorieux.	Je pourrais ajouter aux intérêts de Rome Combien un pareil coup est indigne d'un homme, Je pourrais demander qu'on mit devant vos yeux Ce grand et rare exploit d'un bras victorieux.
Vous verriez un beau ſang, pour accuſer ſa rage, D’un frere ſi cruel rejaillir au viſage, Vous verriez des horreurs qu’on ne peut concevoir, Son âge, & ſa beauté vous pourroient émouvoir, Vous avez à demain remis le ſacrifice, Penſez-vous que les Dieux vangeurs des innocens D’une main parricide acceptent de l’encens?	Vous verriez un beau sang, pour accuser sa rage, D'un frère si cruel rejaillir au visage, Vous verriez des horreurs qu'on ne peut concevoir, Son âge, et sa beauté vous pourraient émouvoir, Vous avez à demain remis le sacrifice, Pensez-vous que les Dieux vengeurs des innocents D'une main parricide acceptent de l'encens?
Sur vous ce ſacrilege attireroit ſa peine, Ne le conſiderez qu’en objet de leur haine, Et croyez avec nous qu’en tous ſes trois combats Le bon deſtin de Rome a plus fait que ſon bras, Puiſque ces meſmes Dieux autheurs de ſa victoire Ont permis qu’auſſi-toſt il en ſoüillaſt la gloire, Et qu’un ſi grand courage aprés ce noble effort Fuſt digne en meſme jour de triomphe & de mort.	Sur vous ce sacrilège attirerait sa peine, Ne le considérez qu'en objet de leur haine, Et croyez avec nous qu'en tous ses trois combats Le bon destin de Rome a plus fait que son bras, Puisque ces mêmes Dieux auteurs de sa victoire Ont permis qu'aussitôt il en souillât la gloire, Et qu'un si grand courage après ce noble effort Fust digne en même jour de triomphe et de mort.
Sire, c’eſt ce qu’il faut que voſtre Arreſt decide, En ce lieu Rome a veu le premier parricide, Laſuite en eſt à craindre, & la haine des Cieux, sauvez-nous de la main, & reuoutez les Dieux.	Sire, c'est ce qu'il faut que votre Arrêt décide, En ce lieu Rome a vu le premier parricide, Lasuite en est à craindre, et la haine des Cieux, sauvez-nous de la main, et revoutez les Dieux.
TULLE.	TULLE.
Défendez-vous, Horace.	Défendez-vous, Horace.
HORACE.	HORACE.
A quoy bon me défendre?	À quoi bon me défendre?
Vous ſçavez l’action, vous la venez d’entendre, Ce que vous en croyez me doit eſtre une loy.	Vous savez l'action, vous la venez d'entendre, Ce que vous en croyez me doit être une loi.
Sire, on ſe défend mal contre l’avis d’un Roy, Et le plus innocent devient ſoudain coupable Quand aux yeux de ſon Prince il paroiſt condamnable.	Sire, on se défend mal contre l'avis d'un Roi, Et le plus innocent devient soudain coupable Quand aux yeux de son Prince il paraît condamnable.
C’eſt crime qu’envers luy ſe vouloir excuſer, Noſtre ſang eſt ſon bien, il en peut diſpoſer, Et c’eſt à nous de croire alors qu’il en diſpoſe Qu’il ne s’en prive point ſans une juſte cauſe.	C'est crime qu'envers même se vouloir excuser, Notre sang est son bien, il en peut poser, Et c'est à nous de croire alors qu'il en dispose Qu'il ne s'en prive point sans une juste cause.
Sire, prononcez donc, je ſuis preſt d’obeïr, D’autres ayment la vie, & je la dois haïr.	Sire, prononcez donc, je suis prêt d'obéir, D'autres aiment la vie, et je la dois haïr.
Je ne reproche point à l’ardeur de Valere Qu’en amant de la ſœur il accuſe le frere, Mes vœux avec les ſiens conſpirent aujourd’huy, Il demande ma mort, je la veux comme luy.	Je ne reproche point à l'ardeur de Valère Qu'en amant de la sœur il accuse le frère, Mes vœux avec les siens conspirent aujourd'hui, Il demande ma mort, je la veux comme lui.
Un ſeul point entre nous met cette difference, Que mon honneur par-là cherche ſon aſſeurance, Et qu’à ce meſme but nous voulons arriver, Luy!	Un seul point entre nous met cette différence, Que mon honneur par-là cherche son assurance, Et qu'à ce même but nous voulons arriver, Lui!
Aſſez d’autres ſans moy ſoûtiendront vos lauriers, Luy, pour flétrir ma gloire, & moy, pour la ſauver, Sire, c’eſt rarement qu’il s’offre une matiere A montrer d’un grand cœur la vertu toute entiere, Suivant l’occaſion elle agit plus, ou moins, Et paroiſt forte, ou foible, aux yeux de ſes témoins.	Assez d'autres sans moi soutiendront vos lauriers, Lui, pour flétrir ma gloire, et moi, pour la sauver, Sire, c'est rarement qu'il s'offre une matière À montrer d'un grand cœur la vertu toute entière, Suivant l'occasion elle agit plus, ou moins, Et paraît forte, ou faible, aux yeux de ses témoins.
Le peuple qui voit tout ſeulement par l’écorce S’attache à ſon effet pour juger de ſa force, Il veut que ſes dehors gardent un meſme cours, Qu’ayant fait un miracle, elle en faſſe toûjours.	Le peuple qui voit tout seulement par l'écorce S'attache à son effet pour juger de sa force, Il veut que ses dehors gardent un même cours, Qu'ayant fait un miracle, elle en fasse toujours.
Aprés une action pleine, haute, éclatante, Tout ce qui brille moins remplit mal ſon attente, Il veut qu’on ſoit égal en tout temps, en tous lieux, Il n’examine point ſi lors on pouvoit mieux, 10 Ny que, s’il ne voit pas ſans ceſſe une merveille, L’occaſion eſt moindre & la vertu pareille;	Après une action pleine, haute, éclatante, Tout ce qui brille moins remplit mal son attente, Il veut qu'on soit égal en tout temps, en tous lieux, Il n'examine point si lors on pouvait mieux, 10 Ni que, s'il ne voit pas sans cesse une merveille, L'occasion est moindre et la vertu pareille;
1I Son injuſtice accable & détruit les grands noms, L’honneur des premiers faits ſe perd par les ſecõds, Et quand la renommée a paſſé l’ordinaire, Si l’on n’en veut déchoir, il faut ne plus rien faire.	1I Son injustice accable et détruit les grands noms, L'honneur des premiers faits se perd perds se seconds, Et quand la renommée a passé l'ordinaire, Si l'on n'en veut déchoir, il faut ne plus rien faire.
Je ne vanteray point les explois de mon bras, Voſtre Majeſté, Sire, a veu mes trois combats, Il eſt bien malaiſé qu’un pareil les ſeconde, Qu’une autre occaſion à celle-cy réponde, Et que tout mon courage aprés de ſi grands coups Parvienne à des ſuccez qui n’aillent au deſſous;	Je ne vanterai point les explois de mon bras, Votre Majesté, Sire, a vu mes trois combats, Il est bien malaisé qu'un pareil les seconde, Qu'une autre occasion à celle-cy réponde, Et que tout mon courage après de si grands coups Parvienne à des succès qui n'aillent au dessous;
Si bien que pour laiſſer une illuſtre memoire La mort ſeule aujourd’huy peut cõſerver ma gloire.	Si bien que pour laisser une illustre mémoire La mort seule aujourd'hui peut commserver ma gloire.
Encor la faloit-il ſi toſt que j’eus vaincu, Puiſque pour mon honneur j’ay deſia trop veſcu;	Encor la fallait-il si tôt que j'eus vaincu, Puisque pour mon honneur j'ai déjà trop vécu;
Un homme tel que moy voit ſa gloire ternie Quand il tombe en peril de quelque ignominie;	Un homme tel que moi voit sa gloire ternie Quand il tombe en péril de quelque ignominie;
Et ma main auroit ſçeu deſia m’en garantir, Mais ſans voſtre congé mon ſang n’oſe ſortir, Comme il vous appartient, voſtre adveu doit ſe prendre, C'eſt vous le dérober qu’autrement le répandre.	Et ma main aurait su déjà m'en garantir, Mais sans votre congé mon sang n'ose sortir, Comme il vous appartient, votre aveu doit se prendre, C'est vous le dérober qu'autrement le répandre.
Rome ne manque point de genereux guerriers, Que voſtre Majeſté deſormais m’en diſpenſe, Et ſi ce que j’ay fait vaut quelque recompenſe, Permettez, ô grand Roy, que de ce bras vainqueur je in iimoie a ma gione, d non pas a lna lœur.	Rome ne manque point de généreux guerriers, Que votre Majesté désormais m'en dispense, Et si ce que j'ai fait vaut quelque récompense, Permettez, ô grand Roi, que de ce bras vainqueur je in jimoie à ma gione, dès à l' en dispense lœur.
SCENE III.	SCÈNE III.
TULLE, VALERE, le vieil HORACE, HORACE, SABINE,	TULLE, VALÈRE, le vieil HORACE, HORACE, SABINE,
SABINE.	SABINE.
CIre, écoutez Sabine, & voyez dans ſon ame Les douleurs d’une ſœur & celles d’une femme, Qui toute deſolée à vos ſacrez genoux Pleure pour ſa famille & craint pour ſon époux.	CIre, écoutez Sabine, et voyez dans son âme Les douleurs d'une sœur et celles d'une femme, Qui toute désolée à vos sacrés genoux Pleure pour sa famille et craint pour son époux.
Ce n’eſt pas que je veüille avec cet artifice Dérober un coupable au bras de la juſtice, Quoy qu’il ait fait pour vous, traitez-le comme tel, Et puniſſez en moy ce noble criminel, De mon ſang malheureux expiez tout ſon crime, Vous ne changerez point pour cela de victime, Ce n’en ſera point prendre une injuſte pitié, Mais en ſacrifier la plus chere moitié.	Ce n'est pas que je veuille avec cet artifice Dérober un coupable au bras de la justice, Quoi qu'il ait fait pour vous, traités-le comme tel, Et punissez en moi ce noble criminel, De mon sang malheureux expiez tout son crime, Vous ne changerez point pour cela de victime, Ce n'en sera point prendre une injuste pitié, Mais en sacrifier la plus chère moitié.
Les nœuds de l’Hymenée, & ſon amour extréme Font qu’il vit plus en moy qu’il ne vit en luymeſme, Et ſi vous m’accordez de mourir aujoud’huy, Il mourra plus en moy, qu’il ne mourroit en luy.	Les nœuds de l'Hyménée, et son amour extrême Font qu'il vit plus en moi qu'il ne vit en Femme, Et si vous m'accordez de mourir aujoud'hui, Il mourra plus en moi, qu'il ne mourrait en porte.
La mort que je demande & qu’il faut que j’obtienne Augmentera ſa peine, & finira la mienne.	La mort que je demande et qu'il faut que j'obtienne Augmentera sa peine, et finira la mienne.
Sire, voyez l’excez de mes triſtes ennuys Et l’effoyable eſtat où mes jours ſont reduits;	Sire, voyez l'excès de mes tristes ennuis Et l'effoyable état où mes jours sont réduits;
Quelle horreur d’embraſſer un homme dont l’épée De toute ma famille a la trame coupée!	Quelle horreur d'embrasser un homme dont l'épée De toute ma famille a la trame coupée!
Et quelle impieté de haïr un époux Pour avoir bien ſeruy les ſiens, l’Eſtat, & vous !	Et quelle impiété de haïr un époux Pour avoir bien servi les siens, l'État, et vous !
Aimer un bras ſoüillé du ſang de tous mes freres!	Aimer un bras souillé du sang de tous mes frères!
N’aimer pas un mary qui finit nos miſeres!	N'aimer pas un mari qui finit nos misères!
Sire, delivrez-moy par un heureux trépas Des crimes de l’aimer & de ne l’aimer pas.	Sire, délivrez-moi par un heureux trépas Des crimes de l'aimer et de ne l'aimer pas.
J’en nommeray l’Arreſt une faveur bien grande :	J'en nommerai l'Arrêt une faveur bien grande :
Ma main peut me donner ce que je vous demande, Mais ce trépas enfin me ſera bien plus doux Si je puis de ſa honte affranchir mon époux, Si je puis par mon ſang appaiſer la colere Des Dieux qu’aſpû fâcher ſa vertu trop ſevere, Satisfaire en mourant aux Manes de ſa ſœur, Et conſerver à Rome un ſi bon défenſeur.	Ma main peut me donner ce que je vous demande, Mais ce trépas enfin me sera bien plus doux Si je puis de sa honte affranchir mon époux, Si je puis par mon sang apaiser la colère Des Dieux qu'aspû fâcher sa vertu trop sévère, Satisfaire en mourant aux Manes de sa sœur, Et conserver à Rome un si bon défenseur.
Le vieil HORACE au Roy.	Le vieil HORACE au Roi.
Sire, c’eſt donc à moy de répondre à valere, A en emano duce luy comphene contie un pere, Tous trois veulẽt me perdre, & s’armẽt ſans raiſon Contre ſi peu de ſang qui reſte en ma maiſon.	Sire, c'est donc à moi de répondre à valère, Ate mano duce se comphène contie un père, Tous trois veulent me perdre, et s'arma raison sans Contre si peu de sang qui reste en ma maison.
à Sabine.	à Sabine.
