LES CHASTES ET LOYALES AMOVRS DE IEIEIECDAV.	LES CHASTES ET LOYALES AMOURS DE IEIEIECDAV.
SCENE II.	SCÈNE II.
HYDASPE.	HYDASPE.
CHOEVR DE CITOYENS.	CHOEUR DE CITOYENS.
MESSAGER.	MESSAGER.
HIDASPE.	HIDASPE.
E ne preſume point immortelle cohorte, (te, Ivers vos rares faueurs, tãt d’orgueil ne m'ẽporDe croire vne Hecatombe offerte en cent autels, En cent autels fumans de vœux perpetuels, Tout l’hommage, les vœux, les offrandes données, Les victimes qui ſont au combat moiſſonnées, Ou ſi te vous pouuois offrir rien de plus cher, Ie ne croirois pourtant vôtre grace aprocher, Grace par qui vainqueur Syene m’eſt ſoumiſe, Par laquelle vne armée accompagne ſa priſe, Ne respire de iour que ſous ma volonté, Par laquelle ſon chef qui s’eſtime indomté, Connoit à ſes dépens de combien ma prudence Surpaſſe ſes efforts & la ſienne deuance, Außi doit en ma place vn Capitaine expert Plus regretter le ſang d’vn ſeul homme qu’il pert, Que de cent ennemys exalter la conqueſte, Pourſuiuant la victoire à moins de ſang plus preſte.	E ne presume point immortelle cohorte, (te, Ivers vos rares faveurs, tãt s'orgueil ne m'ẽporDe croire une Hécatombe offerte en cent autels, En cent autels fumants de vœux perpétuels, Tout l'hommage, les vœux, les offrandes données, Les victimes qui sont au combat moissonnées, Ou si te vous pouvais offrir rien de plus cher, Je ne croirais pourtant votre grâce approcher, Grace par qui vainqueur Syene est soumise, Par quelle armée m'es prise, Ne respire de iour que sou m volonté, Par laquelle son chef qui 'estime indomté, Ait à ses dépens de combien a prSurpasse ses efforts et la sienne deuance, Aussi doit en ma place Capitaine expert Plus re le sang seul homme il pir, Que de j' une sa la conquête, Poursuiuant la victoire moins de sang plus té,
Vertu qui m’eſt conmune:	Vertu qui m'est commune:
Or faut-il deſormais Informer des vaincus quels artieles de pais Ils eſperent de nous, comme ils ſe veulent rendre, Choſe à quoy iuſqu’icy nous empêchoit d’entendre Ce grand deluge d’eaux maintenant écoulé, Et ſon limon fangeux d'vn pié ferme foulé, Qu'on mande mon conſeil pour decider l’affaire?	Or faut-il désormais Informer des vaincus quels artières de pais Ils espèrent de nous, comme ils se veulent rendre, Chose à quoi jusqu'ici nous empêchait d'entendre Ce grand déluge d'eaux maintenant écoulé, Et son limon fangeux d'un pie ferme foulé, Qu'on mande mon conseil pour décider l'affaire?
diattt.	diattaît.
ponyquerques nus de tu puit uuuerſaire, Dieux!	poniquerques nus de tu puit uversaire, Dieux!
quel triſte équipage:	quel triste équipage:
ils me naurent le cœur, Leur ſpectacle en pitié conuertit ma rancœur.	ils me naurent le cœur, Leur spectacle en pitié convertit ma rancœur.
CHOEVR.	CHOEUR.
Monarque renommé par le globe du monde, Qu’en aucune vertu nul autre ne ſeconde, Qui tiens nôtre deſtin qui peut tout deſſur nous, Mais de qui la raiſon ſurmonte le courrous, Pour impetrermerty celterroupe inocente Proſternée à tes piés deuôte ſe preſente, Mercy d’vn accident qui la charge enuers toy, Combien qu’elle te ſoit immuable de foy.	Monarque renommé par le globe du monde, Qu'en aucune vertu nul autre ne seconde, Qui tiens notre destin qui peut tout dessur nous, Mais de qui la raison surmonte le courrous, Pour impétrermerti celterroupe inocente Prosternée à tes piés deuôte se présente, Merci d'un accident qui la charge envers toi, Combien qu'elle te soit immuable de foi.
HIDASPE.	HIDASPE.
Parlez plus clairement, dépéchez que i'entende Enquoy giſt ce pardon, enquoy ceſte demande,	Parlez plus clairement, dépéchez que j'entende Enquoi gît ce pardon, enquoi cette demande,
CHOEVR.	CHOEUR.
Orondate échappé de nos murs l’autre nuit, Sas la moindre apparece, & ſans le moindre bruit.	Orondate échappé de nos murs l'autre nuit, Sas la moindre apparece, et sans le moindre bruit.
HIDASPE.	HIDASPE.
Orondate ẽchappé?	Orondate ẽchappé?
Dieux!	Dieux!
& de quelle ſorte?	et de quelle sorte?
Orondate échappé d’vne priſon ſi forte?	Orondate échappé d'une prison si forte?
Enuironné d'vn monde, & d’vne large mer, Il me ſemble qu’on vient mon oreille charmer, Qu'vn ſonge me poſſede, ô perfide canaille, En vdin de me tromper vôtre ruſe trauaille, Vous en ſerez punis.	Environné d'H monde, et d'une large mer, Il me semble qu'on vient mon oreille charmer, Qu'un songe me possède, ô perfide canaille, En vdin de me tromper votre ruse travaille, Vous en serez punis.
CHOEVR.	CHOEUR.
Helas!	Hélas!
nous le voulons, De ce morleeurrejt comtents nous n’appellons, Qu'on applique nos corps à cent mille ſuplices, Iant ſoit peu reconnus de ja faute complices.	nous le voulons, De ce morleeurrejout comtents nous n'appelons, Qu'on applique nos corps à cent mille suplices, Jant soit peu reconnus de ja faute complices.
HIDASPE.	HIDASPE.
Comment s’eſt fait cela!	Comment s'est fait cela!
CHOEVR.	CHOEUR.
Comme vn deſſein ſecret, Que cache en l’eſtomac vn ennemy diſcret.	Comme un dessein secret, Que cache en l'estomac un ennemi discret.
TIIDASPE.	TIIDASPE.
S’entend à peu de ſuitte.	S'entend à peu de suitte.
CHOEVR.	CHOEUR.
Auec toute l’armée.	Avec toute l'armée.
HIDASPE.	HIDASPE.
Ainſi donc mes efforts ſont reduits en fumée, Ie pers en vn moment vn ſiecle de labeur, O honte, ô deſeſpoir, ô malheur, ô malheur, O que l’homme trop toſt temeraire ſe vante Des preſents que fortune eſtalle deceuante, Qu'elle monſtre traiſtreſſe afin de nous tromper Qu'außi toſt que làchez on ne peut r’attraper, Acheuez routefois, acheuez de produire Vos friuoles raiſons amorces de mon ire.	Ainsi donc mes efforts sont réduits en fumée, Je perd en un moment un siècle de labeur, Ô te, ô désespoir, ô malheur, ô malheur, Ô que l'homme trop tôt téméraire se vante Des présents que fortune étalle décevante, Qu'elle montre traîtresse afin de nous tromper Qu'avez tôt que làchez on ne peut rattraper, Achevez routefois, achevez de produire Vos frivoles raisons amorces de mon ivre.
CHOEVR.	CHOEUR.
Que plus fort en la ville il a touſiours eſté, Couuert en ſes conſeils qui la tourbe ciuile Ne reſpectoit non plus quel a bourbe plus vile, Tourbe à l’aigneau pareille, à l’innocent aigneau, Qui ſon goſier ne peut ſouſtraire du couteau.	Que plus fort en la ville il a toujours été, Couvert en ses conseils qui la tourbe civile Ne respectait non plus quel a bourbe plus vile, Tourbe à l'aigneau pareille, à l'innocent aigneau, Qui son gosier ne peut soustraire du couteau.
Conſidere grand Roy, que reduit en ſa place, Tu ne reuelerois à vne populace Choſe tant importante, & que l’extremité Forge mille moyens pour ſon vtilité, Qui des inuentions la nourrice, & la ſource, Il n’eſtoit plus en nous de retenir ſa courſe, L’artifice auſurplus duquel il s’eſt aydé, Chacun en voit encor le riuage bordé, Force bois amaſſé d’vne ſuitte enchainée, A trauerſé ſa flotte en ſauueté menẽe, Luy a fourny de pont, & à nous de douleur, Si ta douce pitié n’excuſe ce malheur, Si tu veus n’établir ſur cette multitude D'vn agreable ioug la ferme ſeruitude, 4 Autrement nous voila preparez à la mort, Laiſſant les Dieux vengeurs d’vn tyrãnique éfort!	Considère grand Roi, que réduit en sa place, Tu ne et à une populace Chose tant importante, et que l'extrémité Forge mille moyens pour son vtilité, Qui des inventions la nourrice, et la source, Il n'était plus en nous de retenir sa course, L'artifice au duquel il s'était margé, Chacun en voit encor le rivage bordé, Force bois amassé d'une suitte enchaînée, A traversé sa flotte en sauveté menue, Lui a fourni de pont, et à nous de douleur, Si ta douce pitié excuse ce malheur, Si tu veux tétablir sur cette multitude D' agréable ioug la ferme servitude, 4 Autrement nous si préparez la mort, Laissant les Tu vengeurs tyrãnique éfort!
Nous t’auons amené nos enfans pour victime, Ainçois pour le remors d’vn execrable crime, Nous t’auons amené nos Preſtres reuerez, Nous nous ſommes venus tous rendre dãs tes retz Ne nous fay point languir, accorde nous ta grace, Ou bien nous extermine auecque nôtre race, L’vn te comble de gloire, en l’autre ne croy pus N’auoir vne furie attachée à tes pas.	Nous t'avons amené nos enfants pour victime, Ainçois pour le remors d'un exécrable crime, Nous t'avons amené nos Prêtres restés, Nous nous sommes venus tous rendre dans tes retz Ne nous fais point languir, accorde nous ta grâce, Ou bien nous extermine avec notre race, L'un te comble de gloire, en l'autre ne crois pus N'avoir une furie attachée à tes pas.
HIDASPE.	HIDASPE.
Ebranlé de penſers, & confus & timide, Ores à mon courrous ie veux lácher la bride, Tantoſt le deshonneur du ſuiet me retient, Et ce peuple incoupable en l’eſprit me reuient, Donnons à la pitié ce qu’il y a de crime, Cede nôtre vengeance au deſir magnanime, Pour la premiere fois i’auroy de cruauté, (Les Cieux m’en ſont témoins) ſoüillé ma royauté, Leuez vous, ie pardonne à l’offence publique, Seulement pour l’Amour d'vn courage heroique, Acauſe de ma gloire, & pour monſtrer au ßi Que l’ennemy fuitif m'eſt de peu de ſoucy;	Ébranlé de pensers, et confus et timide, Ores à mon courrous ie veux lâcher la bride, Tantôt le déshonneur du sujet me retient, Et ce peuple incoupable en l'esprit me revient, Donnons à la pitié ce qu'il y a de crime, Cède notre vengeance au désir anime, Pour la première fois j'aurais de cruauté, (Les Cieux m'en sont témoins) souillé ma royauté, Leuez vous, je pardonne à l'offense publique, Seulement pour l'Amour d'un courage héroïque, Acause de ma gloire, et pour montrer au Que on st m'estrie peu de soucy;
Facile d’attrapper pouruù que ie le puiſſe Contraindre à reuenir en la guerriere lice, Au ſurplus ie diray des hoſtages tantoſt, Le nombre que ie veux me reſter en dépoſt, Retournez en la ville, & que mon indulgence J7 le aline meprijee rneeniaere nengeance.	Facile d'attraper pourvù que je le puisse Contraindre à revenir en la guerrière lice, Au surplus avoir dirai des hôtages tantôt, Le nombre que on veux me rester en dépôt, Retournez en la ville, et que mon indulgence J7 le aline meprijee rneeniaere nengeance.
CHOLVR.	CHOLUR.
Iupiter protecteur des Princes droituriers, Augmente à l’infiny ta gloire, & tes lauriers, Que ta ſeule ombre ſoit aux ennemis funeſte, Et que ton nom s’adiouſte à la troupe celeſte, Pour l’extréme bonté qu’il te plaiſt nous montrer Onc malheur iuſqu’à toy ne puiſſe penetrer, Onc fortune de toy ſes faueurs ne retire, Et qu'vn iour l’vniuers courbe ſous ton Empire.	Jupiter protecteur des Princes droitiers, Augmente à l'infini ta gloire, et tes lauriers, Que ta seule ombre soit aux ennemis funeste, Et que ton nom s'ajoute à la troupe celeste, Pour l'extrême bonté qu'il te plaît nous montrer Onc malheur jusqu'à toi ne puisse pénètre, Onc fortune de toi ses faveurs ne retire, Et qu'vn jour l'univers courbe sous ton Empire.
HIDASPE.	HIDASPE.
Hydaſpe te voicy troublé d’vn nouueau ſoin, Tu as plus que iamais de prudence beſoin.	Hydaspe te voici troublé d'un nouveau soin, Tu as plus que jamais de prudence besoin.
Tu as plus que iamais beſoin de vigilance, Aſin que ce ſanguier dextrement on relance:	Tu as plus que jamais besoin de vigilance, Asin que ce sanguier dextrement on relance:
Que ſa fuitte ne ſoit que prolonger ſa mort Mais quel homme vers nous hâte le pas ſifort?	Que sa fuite ne soit que prolonger sa mort Mais quel homme vers nous hâte le pas sifort?
MESSAGER.	MESSAGER.
Sire, le camp de Perſe en bataille rangée, Vient pour nous repouſſer de la ville aßiegée, P ousſurprenure s u peut d’Oronuure conduit L’airain de tous côtez par la plaine reluit, On les voit bien à clair de la coſte prochaine, Et me ſuis picorant ſauué d’eux à grand peine.	Sire, le camp de Perse en bataille rangée, Vient pour nous repousser de la ville assiegée, P oussurprenure s u peut véTronuure conduit L'air de tous côtés par la plaine reluit, On les voit bien à clair de la côte prochaine, Et me suis picorant sauvé d'eux à grand peine.
HIDASPE.	HIDASPE.
Vous autres dépechez de quartier en quartier Chefs, ſoldats que chacun à ſon deuoir ſe rende, De vaincre réſolu preſt au combat m’attende, Außi tôt que i’auray reconnu l’ennemy, Car en ce ſeul point git la victoire à demy.	Vous autres dépechez de quartier en quartier Chefs, soldats que chacun à son devoir se rende, De vaincre résolu prêt au combat m'attende, Aussi tôt que j'aurai reconnu l'ennemi, Car en ce seul point gît la victoire à demi.
SCENE III.	SCÈNE III.
ACHEMENE ſeul.	ÀCHÉMENE seul.
DEnſe à toy deſermais, il eſt temps Achemene, I Vn eſpoir abuſeur ta fortune promene, Tu tendors menacé de l’orage mutiu Ar' ſace de Clothon maintenant le butin, La victoire ſur toy dérobe criminelle, Que ta folle vengeance auoit eſperé d’elle, Orondate qui craint d’en eſtre recherché, Ne te voit & peut voir ſinon d’vn œil fáché, Te ſoupçonne à peu prés de l’offence commiſe, Bref ta perte dépent de plus longue remiſe D’attendre qu’il te liure afin de ſe purger Entre les mains du Roy ou te faire égorger, L’vn de ces deux perils infaillible t’aguette, Et de Scylle chetif en Caribde te jette, Doncques oppoſe toy pour toy meſme à ces lacs, Execute vn grand coup de telle crainte las, Orondate eſt mortel, proche d’vne bataille Fatale à tous les ſiens encore qu’il aſſaille, Veu le nombre inégal, vû le ſuccés paſſé, Vûmeſme le deſſein en ton esprit braſſé, Deſſein qui te peut faire vne belle fortune, Ff iiij	DEnse à toi desermais, il est temps Achemene, I n fait abuseur ta fortune promène, Tu tendors menacé de l'orage mutiv Ar sace de Clothon maintenant le butin, La victoire sur toi dérobe criminelle, Que ta folle vengeance avait espéré d'elle, Orondate qui craint d'en être recherché, Ne te voit et peut voir sinon d'un œil faiché, Te soupçonne à peu près de l'offense commise, Bref ta perte dépent de plus longue remise D'attendre qu'il te livre afin de se pure Entre les mains du Roy ou a fi égorger, n de ces deux périls infaillible aguette, Et de Se chétif en Caribde te jette, Doncques oppose toi pur toi même ces lacs, Execute g coup de telle crainte las, Orondate est mortel, proche bataille Fatale tous les siens encore il assaille, le nombre inégal, le succés passé, Vûmesme le dessein en ton esprit brassé, Dessein qui te peut faire belle fortune, iiij
Poſe que tu ſois traiſtre au gré de la commune.	Pose que tu sois traître au gré de la commune.
La trahiſon ne tombe en vn esprit großier, Elle donne à pluſieurs matiere d’enuier, Comme pour ton regard dépechant Orondate, Ou ce Prince ennemy ſeroit vne ame ingrate.	La trahison ne tombe en un esprit grossier, Elle donne à plusieurs matière d'envier, Comme pour ton regard dépechant Orondate, Ou ce Prince ennemi serait une âme ingrate.
Seroit totalement barbare de n’auoir Tonſeruice agreable en vn ſi grand deuoir?	Serait totalement barbare de n'avoir Tonseruice agréable en un si grand devoir?
En vn ſeruice tel que celuy de Zopire De ſa gloire important, des ſiens, & d’vn empire Or ce complet réſout ie repute d’éfet, Pour ſa facilité tout de meſme que fait, Mon rang en combattant proche de ſa perſonne Sans le chercher ailleurs l’auantage me donne.	En un service tel que celui de Zopire De sa gloire important, des siens, et d'un empire Or ce complet résout On revite d'éfet, Pour sa facilité tout de même que fait, Mon rang en combattant proche de sa personne Sans le chercher ailleurs l'avantage me donne.
Vne feinte enuoira ſon eſprit aux Enfers, Vne feinte de coup échappé de trauers, Maretraitte ie l’ay dans l’ennemy voyſine, Si quelqu'vn ſe doutoit de ce que ie machine;	Une feinte envoira son esprit aux Enfers, Une feinte de coup échappé de travers, Maretraite que lque autre l'ennemi voisine, Si quelqu'un se doutait de ce que je machine;
Allons i’oy le ſignal du combat ſe donner, Et vn grand bruit confus des deux camps reſonner Ils ſont aux mains deſia, ils y ſont choſe ſeure, I'ay crainte d’auoir fait io trop de demeure.	Allons j'oi le signal du combat se donner, Et un grand bruit confus des deux camps résonner Ils sont aux mains déjà, ils y sont chose sûre, J'ai crainte d'avoir fait io trop de demeure.
SCENE IV.	SCÈNE IV.
HYDASPE, ORONDATE, ACHEMENE, TROVPE D’ETHIOPES, TROVPE DE PERSANS.	HYDASPE, ORONDATE, ACHÉMENE, TROUPE D'ETHIOPES, TROUPE DE PERSANS.
HYDASPE.	HYDASPE.
JIctoire compagnons, pourſuiuez, pourſuiu Ils ſe ſont dans les ceps eux meſmes entrauez, Le Nil leur interdit la fuite deſirée, La fuite en ſa faueur parauant eſperée, Ne vainquons à demy, ne leur donnons loiſir De ralier leurs rangs ainſi qu’ils ont deſir, Dißipez, foudroyez, moiſſonnez ce qui reſte, Et dont la ſauueté nous reſulte funeſte, memeneferut Zuenx que leeneſ ſeutement, D'vn triomphe futur glorieux ornement, Sus donnons, que chacun enſuiue mon exemple, Et ſe tourbe vn laurier auiourd’huy ſur la temple.	JIctoire compagnons, poursuivez, poursuivre Ils se sont dans les ceps eux -mêmes entravés, Le Nil leur interdit la fuite désirée, La fuite en sa faveur paravant espérée, Ne vainquons à demi, ne leur donnons loisir De ralier leurs rangs ainsi qu'ils ont désir, Dipez, foudroyez, moissonnez ce qui reste, Et dont la sauveté nous résulte funeste, mémeneferut Zwenx que leenes seutement, D'un triomphe fut glorieux ornement, Orieux ornement, que chacun suite mon exemple, Et se que ç laurier auiourd’t sur la tour.
ORONDATE.	ORONDATE.
Soldats tournez viſage, à moy reprenez cœur, Lairés-vous l’ennemy ſans combatre vaincœur, Ce deſordre n'eſt rien, hé!	Soldats tournez visage, à moi reprenez cœur, Lairez-vous l'ennemi sans combattre vaincœur, Ce désordre n'est rien, hé!
compagnons de grace, O chetif, ô chetif, priere, ny menace Deſormais n’ont plus lieu, tout fuit, tout eſt perdi Le cœur à ſes fuyards ne peut eſtre rendu, Orondate il te faut mourir en Capitaine, Ab!	compagnons de grâce, Ô chétif, ô chétif, prière, Seigneur menace Désormais n'ont plus lieu, tout fuit, tout est perdi Le cœur à ses fuyards ne peut être rendu, Orondate il te faut mourir en Capitaine, Ab!
méchant qu’as tu fait déloyal Achemene.	méchant qu'as tu fait déloyal Achemène.
ACHEMENE.	ÀCHÉMENE.
Ie n’ay qu’encommencé vn chef d’œuure imparfai	Je n'ai qu'encommencé un chef d'œuvre imparfai
TR.	TR.
D’ETHIOPES.	D'ETHIOPES.
Aſſaßin tu mourras pour vn ſi grand forfait.	Assassin tu mourras pour un si grand forfait.
T’ataquer à ton Prince opprimé de fortune, A vne extremité luy garder ta rancune, Meurs miſerable, meurs.	T'ataquer à ton Prince opprimé de fortune, A une extrémité même garder ta rancune, Meurs misérable, meurs.
ACHEMENE.	ÀCHÉMENE.
O Cieux, ô iuſtes Cieux	Ô Cieux, ô justes Cieux
IR.	IR.
DLTHIOTES.	DLTHIOTES.
Quant à toy tu connois ce qui eſt de ton mieux, De ceder aux plus fors en rachetant ta vie.	Quant à toi tu connais ce qui est de ton mieux, De céder aux plus fors en rachetant ta vie.
ORONDATE.	ORONDATE.
Helas!	Hélas!
que vous portez à ma gloire d’enuie, Que vous m’eſtes cruels, de ne permettre pas Qu’en vos fers genereux ie trouue le trépas, Toutefois plus humains que mes ſeruiteurs meſme Encore ay-je vn confort en ma miſere extreſme.	que vous portez à ma gloire d'envie, Que vous m'êtes cruels, de ne permettre pas Qu'en vos fers généreux ie trouve le trépas, Toutefois plus humains que mes serviteurs rendre Encore ai-je un confort en ma misère extrême.
ACTE III.	ACTE III.
HYDASPE, ORONDATE, THEAGENE, CARICLEE, SOLDAT.	HYDASPE, ORONDATE, THÉGENE, CARICLE, SOLDAT.
SCENE I.	SCÈNE I.
HYDASPE, ORONDATE.	HYDASPE, ORONDATE.
HYDASPE.	HYDASPE.
Vi voudroit abreger les mortelles vertus, QCepẽdant que d’vn corps nous sõmes reuétus, Que fortune nous tient ſous ſes loix differentes, Comme vn reflus marin qui çà, qui là courantes, Maintenant au ſommet d’vne felicité, Et tantoſt ſous les piés de quelque aduerſité, En ces deux accidens il trouuera que l’homme Du parfait a compris vne parfaite ſomme, Pour ne s’éleuer trop, & trop ne s’abaiſſer, Selon qu’elle luy veut ſes preſens diſperſer, Mais le plus difficile à noſtre race humaine Me ſemble à refrener vne inſolence vaine, Ne point s’enorgueillir és affaires heureux, Vice autant familier comme il eſt dangereux, DétourneZ moy bons Dieux?	Vi voudrait abréger les mortelles vertus, QCepẽdant que d'un corps nous sont reuétus, Que fortune nous tient sous ses lois différentes, Comme un reflus marin qui çà, qui là courantes, Maintenant au sommet d'une félicité, Et tantôt sous les piés de quelque aduersité, En ces deux accidents il trouvera que l'homme Du parfait à compris une parfaite somme, Pour ne s'éleuer trop, et trop ne s'abaisser, Selon qu'elle lui veut ses présents disperser, Mais le plus difficile à notre race humaine Mère semble à refren insolence vaine, Ne point senorgueillir té heureux, Vice autant mecomme il est dangereux, DétourneZ moi bons Dieux?
cét execrable peſte.	cet exécrable peste.
Qu’onques ie ne la ſente à mon honneur funeſte, Qu’vne fraiſche victoire acquiſe ſans labeur Serue à me faire craindre vn ſemblable malheur Donnez qu’au chef captif parlant de l’aduerſaire Il ne remarque en moy vn orgueil temeraire, Le voicy, ie le veux de conſtance ſonder, Et d’vn front couroucé d’abord intimider.	Qu'on fois ne la sente à mon honneur funeste, Qu'une fraîche victoire acquise sans labeur Serve à me faire craindre un semblable malheur Donnez qu'au chef captif parlant de l'adversaire Il ne remarque en moi un orgueil téméraire, Le voici, notre le veux de constance sonder, Et d'un front couroucé d'abord intimider.
Homme double & peruers à cette heure confiſ Que reduit au pouuoir de ma main vengereſſe, Reprochable ie ſuis de trop d’humanité, Que tu aurois cent morts coupable merité, S’il me reſſouuenoit de l’iniure paſſée, De la foy que tu m’as de n’agueres fauſſée, Ie te laiſſe pourrant la vie, & te promets, Qu'on ne t’offencera de ma part deſormhis, Pouruû que repentant ton crime tu m’auouës, Comment!	Homme double et pervers à cette heure confis Que réduit au pouvoir de ma main vengeresse, Reprochable Re suis de pro çhable, Que tu aurais cent morts coupable mérité, S'il me ressouvenait de l'injure passée, De la foi que tu m'as de n'aguères faussée, Je te laisse pourrant la vie, et te promets, Qu'on ne t'offensera de ma part désormhis, Pourvu que repentant ton crime tu m'avoues, Comment!
par vn mépris la teſte tu ſecouës.	par un mépris la tête tu secoues.
ORONDATE.	ORONDATE.
Quelle méchanceté trouues-tu de tromper Vn puiſſant ennemy, & ſes fers échaper, Employer l’artifice où la force eſt ſans force, D’auoir ſur ſes Autheurs vne fraude retorſe, I’ay fait ce qu’vn des tiens en ma place deuoit, Si pour ſon Prince armé meſme choſe il pouuoit.	Quelle méchanceté trouves-tu de tromper n puissant ennemi, et ses fers échapper, Employer l'artifice où la force est sans force, D'avoir sur ses Auteurs une fraude retorse, J'ai fait ce qu'un des tiens en ma place devait, Si pour son Prince armé même chose il pouvait.
HYDASPE.	HYDASPE.
Tum uo munque de je pous tu treuc acordee.	Tum ô munque de je pous tu trouvc acordée.
ORONDATE.	ORONDATE.
De mon conſentement on ne l’eut demandée, Vn vulgaire timide, & ſuſpect m’a contraint, Et ſemblable contrainte à la tenir n’aſtraint.	De mon consentement on ne l'eût demandée, Un vulgaire timide, et suspect m'a contraint, Et semblable contrainte à la tenir n'astraint.
HYDASPE.	HYDASPE.
Qu’eſperois-tu de mieux!	Qu'espérais-tu de mieux!
ORONDAIE.	ORONDAIE.
Vne mort honorable.	Une mort honorable.
TTYDASPE.	TTYDASPE.
Ains étouffé des eaux vne fin miſerable.	Ains étouffé des eaux une fin misérable.
ORONDATE.	ORONDATE.
eoupou quequiy tuun camuceue mes éforts,	éoupou quequi tuun camucue mes éforts,
HYDASPE.	HYDASPE.
Il faloit donc ſorty te contenter alors.	Il fallait donc sorti te contenter alors.
ORONDATE.	ORONDATE.
Vn peril affranchy défie vn grand courage, D’en affranchir vn autre, & oſer dauantage.	Un péril affranchi défie un grand courage, D'en affranchir un autre, et oser davantage.
HYDASPE.	HYDASPE.
Vn peril affranchy doit tout homme prudent Ouruer qu'it ne retomot en un pire accident.	Un péril affranchi doit tout homme prudent Ouruer qu'it ne retomot en un pire accident.
ORONDATE.	ORONDATE.
Trop de prudence empeſche vne haute entrepriſe.	Trop de prudence empêche une haute entreprise.
HYDASPE.	HYDASPE.
Trop de temerité eſt cauſe de ta priſe.	Trop de témérité est cause de ta prise.
ORONDATE.	ORONDATE.
I’ayme mieux par tes mains magnanime finir * vusm Rocoipauiechiajont venir.	J'aime mieux par tes mains magnanime finir * vusm Rocoipauchiajont venir.
HYDASPE.	HYDASPE.
Quel ſuplice prendroit ton Roy d’vn temeraire.	Quel suplice prendrait ton Roi d'un téméraire.
ORONDATE.	ORONDATE.
Ilremunereroit ſa vaillance au contraire.	Ilremènererait sa vaillance au contraire.
HIDASPE.	HIDASPE.
Tu appettes vauttance vn prorrinfenſé, Eſtimant qu’il merite eſtre recompenſé.	Tu appètes vautance un prorrinfensé, Estimant qu'il mérite être récompensé.
ORONDATE.	ORONDATE.
Le triſte éuenement des guerres incertaines A trompé deuant moy de fameux Capitaines.	Le triste événement des guerres incertaines À trompé devant moi de fameux Capitaines.
HIDASPE.	HIDASPE.
Pate fçauots pout nous ue nomort incompetant.	Pate fçauots pout nous ue nom incompétant.
ORONDATE.	ORONDATE.
Ouy, mais ie m'eſtimoy de courage baſtant.	Oui, mais Seigneur m'estimoi de courage bâtant.
HIDASFE.	HIDASFE.
Encor quel traitement veux tuque ie te face.	Encor quel traitement veux tue ie te face.
ORONDATE.	ORONDATE.
Ie ne deſire point impetrer plus de grace, Qu’accorderoit mon Prince à quelques vns des tiẽs Tombez par vn haz ard loüable en ſes liens.	Je ne désire point impétrer plus de grâce, Qu'accorderait mon Prince à quelques uns des tiens Tombez par un has ard louable en ses liens.
HYDASPE.	HYDASPE.
Ta franchiſe me plaiſt, franchiſe qui procede, D’vne ame genereuſe, & que l’honneur poſſede Ainſi le Lion ayme à vaincre le Lion, Combatant pour la gloire, & non de paßion, Ainſi tu cognoiſtras vn vainqueur debonnaire, De courtoiſie en tout à ſes propos contraire, Qui hors mis le combat ne porte à tes pareils Nulle animoſité, les tient comme Soleils, Menez-le dans la ville, & que de ſes bleßûres, Nonobſtant la vindicte & toutes les iniures.	Ta franchise me plaît, franchise qui procède, D'une âme généreuse, et que l'honneur possède Ainsi le Lion aime vaincre le Lion, Combatant pour la gloire, et non de passion, Ainsi tu cognoistras un vainqueur débonnaire, De courtoisie en tout à ses propos contraire, Qui hors mis le combat ne porte à tes pareils Nulle animosité, les tient comme Soleils, Menez-le dans la ville, et que de ses blessûres, Nonobstant ses vindicte et toutes les injures.
Iijoit ſolicité auec autant de ſoin, Que ſi i’eſtois réduit moy meſme à ce beſoin.	Jijait solicité avec autant de soin, Que si j'étais réduit moi -même à ce besoin.
SCENE II.	SCÈNE II.
THEAGENE, CARICLEE, SOLDAT.	THÉGENE, CARICLEE, SOLDAT.
THEAGENE.	THÉGENE.
NOmpagne des trauaux, que fortune cruelle COurdit inceſſamment contre vn amour fidelle, Contre le ſaint lien qui nos ames conioint, Contemple nos malheurs venus au dernier point, Ton géniteur voilé d’vne ignorante nuë Nous va faire immoler la victoire obtenuë, C’eſt Hydaſpe, c’eſt luy, tu l’as ouy cent fois Nommer & renommer d’vne commune voix, C'eſt l’Auteur de ton eſtre, & cependant craintiue, Pour détourner la mort tu attens qu’elle arriue, Tu attens qu’on nous meine à l’Autel égorger, Mon ame ie te prie auiſe à ce danger, Danger que i’encourrois d’vne libre aßûrance, S it me depron jeut te jeruant d'apurance.	NOmpagne des travaux, que fortune cruelle COurdit incessamment contre un amour fidèle, Contre le saint lien qui nos âmes conjoint, Contemple nos malheurs venus au dernier point, Ton géniteur voilé d'une ignorante nue Nous va faire immoler la victoire obtenue, C'est Hydaspe, c'est lu, tu l'est ainsi cent fois Nommer et renommer d'une commune voix, C'est l'Auteur de ton rendre, et cependant crainue, Et cèpela mort turain uelle arriue, Pour dé ton nous meine r la mór, Tu a ie tte prie qu' e ce arrive, Danger que 'une à libre assûrance, p le in jeut te jeruant d'apurance.
CARICLEE.	CARICLE.
Ne precipitons rien mon heur, il n’eſt pas temps.	Ne précipitons rien mon heur, il n'est pas temps.
