dMmMlM dHO.	dMmlM dHO.
D.	D.
ELUIRE.	ÉLUIRE.
Vous vous repentirez de l’éclat que vous faites.	Vous vous repentirez de l'éclat que vous faites.
D.	D.
GARCIE.	GARCIE.
Non, non, tous ces diſcours ſont de vaines défaites, Et c’eſt moy bien plûtort qui dois vous avertir, Que Que quelqu’autre dans peu ſe pourra repentir;	Non, non, tous ces discours sont de vaines défaites, Et c'est moi bien plutort qui dois vous avertir, Que Que quelqu’ autre dans peu se pourra repentir;
Le traiſtre, quel qu’il ſoit, n’aura pas l’avantage Dé dérober ſa vie a l’effort de ma rage.	Le traître, quel qu'il soit, n'aura pas l'avantage Dé dérober sa vie à l'effort de ma rage.
ELUIRE.	ÉLUIRE.
Ah!	Ah!
c’eſt trop en ſouffrir, & mon cœuy irrité Ne doit plus conſerver une ſotte bonté;	c'est trop en souffrir, et mon cœui irrité Ne doit plus conserver une sotte bonté;
Abandonnons l’ingrat à ſon propre caprice, Et puis qu’il veut perir, conſentons qu’il periſſe;	Abandonnons l'ingrat à son propre caprice, Et puis qu'il veut périr, consentons qu'il périsse;
Eliſe.	Élise.
A cet éclat vous voulez me forcer, Mais je vous apprendray que c’eſt trop m’offenſer.	À cet éclat vous voulez me forcer, Mais je vous apprendrai que c'est trop m'offenser.
Eliſe entre.	Élise entre.
Faites un peu ſortir la perſonne cherie.	Faites un peu sortir la personne chérie.
canens tous montonden, dites que je l’en prie.	canens tous montonden, dites que je l'en prie.
D.	D.
GARCIE.	GARCIE.
Et je puis.	Et je puis.
D.	D.
ELUIRE.	ÉLUIRE.
Attendez vous ſerez ſatisfait.	Attendez -vous serez satisfait.
ELISE.	ÉLISE.
Voicy de ſon jaloux ſans doute un nouveau trait.	Voici de son jaloux sans doute un nouveau trait.
D.	D.
ELUIRE.	ÉLUIRE.
Prenez garde qu’au moins cette noble colere, Dans la meſme fierté, juſqu’au bout perſevere;	Prenez garde qu'au moins cette noble colère, Dans la même fierté, jusqu'au bout persévère;
Et ſur tout deſormais ſongez bien à quel prix Vous avez voulu voir vos ſoupçons éclaircis.	Et sur tout désormais songez bien à quel prix Vous avez voulu voir vos soupçons éclaircis.
Voicy, graces au Ciel, ce qui les a fait naiſtre, Ces ſoupçons obligeans que l’on me fait paroiſtre, Voyez bien ce viſage, & ſi de Done Ignés, Vos yeux au meſme inſtant n’y connoiſlent les traits.	Voici, grâces au Ciel, ce qui les a fait naître, Ces soupçons obligéants que l'on me fait paraître, Voyez bien ce visage, et si de Done Ignès, Vos yeux au même instant n'y connaître les traits.
K 4	„ 4
SCENE IX.	SCÈNE IX.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, D.	IGNÉS, D.
ALVAR, ELISE.	ALVAR, ÉLISE.
O ciel!	Ô ciel!
D.	D.
GARCIE,	GARCIE,
D.	D.
ELUIRE.	ÉLUIRE.
Si la fureur dont voſtre ame eſt émuë, Vous trouble juſques là l’uſage de la veuë, Vous avez d’autres yeux à pouvoir conſulter, Qui ne vous laiſſeront aucun lieu de douter.	Si la fureur dont votre âme est émue, Vous trouble jusque -là l'usage de la vue, Vous avez d'autres yeux à pouvoir consulter, Qui ne vous laisseront aucun lieu de douter.
Sa mort eſt une adreſſe au beſoin inventée Pour fuïr l’autorité qui l’a perſecutée, Et ſous un tel habit elle cachoit ſon ſort Pour mieux jouïr du fruit de cette feinte mort.	Sa mort est une adresse au besoin inventée Pour fuir l'autorité qui l'a persécutée, Et sous un tel habit -elle cachait son sort Pour mieux jouir du fruit de cette feinte mort.
Madame, pardonnez, s’il faut que je conſente A trahir vos ſecrets, & tromper voſtre attente;	Madame, pardonnez, s'il faut que je consente À trahir vos secrets, et tromper votre attente;
Je me vois expoſée à ſa temerité, Toutes mes actions n’ont plus de liberté, Et mon honneur en butte aux ſoupçons qu’il peut prendre, Eſt reduit à toute heure aux ſoins de ſe défendre.	Je me vois exposée à sa témérité, Toutes mes actions n'ont plus de liberté, Et mon honneur en butte aux soupçons qu'il peut prendre, Est réduit à toute heure aux soins de se défendre.
Nos doux embraſſemens qu’a ſurpris ce jaloux, De cent indignitez m’ont fait ſouffrir les coups.	Nos doux embrassements qu'a surpris ce jaloux, De cent indignités m'ont fait souffrir les coups.
Oüy, voilà le ſujet d’une ſureur ſi prompte, Et l’aſſuré témoin qu’on produit de ma honte;	Oui, voilà le sujet d'une fureur si prompte, Et l'assuré témoin qu'on produit de ma honte;
Joüiſſez à cette heure en Tyran abſoluDe l'éclairciſſement que vous avez voulu;	Jouissez à cette heure en Tyran absoluDe l'éclaircissement que vous avez voulu;
Mais ſçachez que j’auray ſans ceſſe la memoire De l’outrage ſanglant qu’on a fait à ma gloire.	Mais sachez que j'aurai sans cesse la mémoire De l'outrage sanglant qu'on a fait à ma gloire.
Et ſi je puis jamais oublier mes ſermens, Tombent ſur moy du Ciel les plus grands châtimens, Qu’un tonnerre éclatant mette alla tente en pouule, Lors Lors qu’à ſouffrir vos feux je pourray me reſoudres Allons, Madame, allons, oſtons nous de ces lieux, Qu’infectent les regards d’un monſtre furieux, Fuyons-en promptement l’atteinte envenimée, Evitons les effets de ſa rage animée, Et ne faiſons des vœux dans nos juſtes deſſeins, que pour nous von bienetoit afanchir des ſes mains.	Et si je puis jamais oublier mes serments, Tombent sur moi du Ciel les plus grands châtiments, Qu'un tonnerre éclatant mette alla tente en pouvle, Lors Lors qu'à souffrir vos feux je pourrai me résoudrez Allons, Madame, allons, ôtons nous de ces lieux, Qu'infectent les regards d'un monstre furieux, Fuyons-en promptement l'atteinte envenimée, Évitons les effets de sa rage animée, Et ne faisons des vœux dans nos justes desseins, que pour nous von bienetoit afanchir des ses mains.
.	.
IGNES.	IGNÉS.
Seigneur, de vos ſoupçons l’injuſte violence, A la meſme vertu vient de faire une offence.	Seigneur, de vos soupçons l'injuste violence, À la même vertu vient de faire une offense.
D.	D.
GARCIE.	GARCIE.
Quelles triſtes clartez diſſipent mon erreur, Envelopent mes ſens d’une profonde horreur, Et ne laiſſent plus voir à mon ame abatuë, Que l’effroyable objet d’un remords qui me tuë:	Quelles tristes clartés dissipent mon erreur, Enveloppent mes sens d'une profonde horreur, Et ne laissent plus voir à mon âme abattue, Que l'effroyable objet d'un remords qui me tue:
Ah!	Ah!
D.	D.
Alvar, je voy que vous avez raiſon, Mais l’Enfer dans mon cœur a ſouflé ſon poiſon;	Alvar, je vois que vous avez raison, Mais l'Enfer dans mon cœur a soufflé son poison;
Et par un trait fatal d’une rigueur extrême, Mon plus grand ennemy ſe rencontre en moymeſme.	Et par un trait fatal d'une rigueur extrême, Mon plus grand ennemi se rencontre en moymesme.
Que me ſert-il d’aimer da plus ardent amour, Qu’une ame conſumée ait jamais mis au jour;	Que me sert-il d'aimer da plus ardent amour, Qu'une âme consumée ait jamais mis au jour;
Si par ſes mouvemens qui font toute ma peine, Cet amour à tous coups ſe rend digne de haine?	Si par ses mouvements qui font toute ma peine, Cet amour à tous coups se rend digne de haine?
Il faut, il faut vanger par mon juſte trépas L’outrage que j’ay fait a ſes divins appas?	Il faut, il faut venger par mon juste trépas L'outrage que j'ai fait a ses divins appas?
Aum bien quel coniell aujourd’huy puis-je ſuivre?	Aum bien quel coniell aujourd'hui puis-je suivre?
An!	An!
j’ay perdu l’objet, pour qui j’aimois à vivre, Si j’ay pû renoncer a l’eſpoir de ſes vœux, Renoncer à la vie, eſt beaucoup moins fâcheux.	j'ai perdu l'objet, pour qui j'aimais à vivre, Si j'ai pu renoncer à l'espoir de ses vœux, Renoncer à la vie, est beaucoup moins fâcheux.
Seigneur.	Seigneur.
D.	D.
ALVAR.	ALVAR.
D.	D.
GARCIE.	GARCIE.
Non, D.	Non, D.
Alvar, ma mort eſt neceſſaire, Il n’eſt ſoins, ny raiſons qui m’en puiſſent diſtraire;	Alvar, ma mort est nécessaire, Il n'est soins, ni raisons qui m'en puissent distraire;
Mais il faut que mon ſort en ſe precipitant Rende à cette Princeſſe un ſervice-éclatant.	Mais il faut que mon sort en se précipitant Rende à cette Princesse un service-clatant.
Et je veux me chercher dans cette illuſtie envie Les moyens glorieux de ſortir de la vie, Faire par un grand coup qui ſignale ma foy, Et qu’elle puiſſe dire en ſe voyant vangée, C’eſt par ſon trop d’amour qu’il m’avoit outragée.	Et je veux me chercher dans cette illûtie envie Les moyens glorieux de sortir de la vie, Faire par un grand coup qui signale ma foi, Et qu'elle puisse dire en se voyant vengée, C'est par son trop d'amour qu'il m'avait outragée.
Il faut que de ma main un illuſtre attentat Porte une mort trop deuë au ſein de Mauregat, Que j’aille prevenir par une belle audace, Le coup, dont la Caſtille avec bruit le menace, Et j’auray des douceurs dans mon inſtant fatal, De ravir cette gloire à l’eſpoir d’un Rival.	Il faut que de ma main un illustre attentat Porte une mort trop due au sein de Mauregat, Que j'aille prévenir par une belle audace, Le coup, dont la Castille avec bruit le menace, Et j'aurai des douceurs dans mon instant fatal, De ravir cette gloire à l'espoir d'un Rival.
D.	D.
ALVAR.	ALVAR.
Un ſervice, Seigneur, de cette conſequence Auroit bien le pouvoir d’effacer voſtre offence;	Un service, Seigneur, de cette conséquence Aurait bien le pouvoir d'effacer votre offense;
Mais hazarder.	Mais hasarder.
SeUARCIE.	SeUARCIE.
Allons par un juſte devoir, Faire à ce noble effort ſervir mon deſeſpoir.	Allons par un juste devoir, Faire à ce noble effort servir mon désespoir.
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACTE	ACTE
ACTE V.	ACTE V.
SCENE I.	SCÈNE I.
D.	D.
ALVAR, ELISE.	ALVAR, ÉLISE.
D.	D.
ALVAR.	ALVAR.
Uy, jamais il ne fut de ſi rude ſurpriſe, Il venoit de former cette haute entrepriſe, A l’avide deſir d’immoler Mauregat, De ſon prompt déſeſpoir, il tournoit tout l’éclat.	Oui, jamais il ne fut de si rude surprise, Il venait de former cette haute entreprise, A l'avide désir d'immoler Mauregat, De son prompt désespoir, il tournait tout l'éclat.
Ses ſoins precipitez vouloient à ſon courage De cette juſte mort aſſurer l’avantage, Y chercher ſon pardon, & prevenir l’en nuy, Qu’un Rival partageaſt cette gloire avec luy.	Ses soins précipités voulaient à son courage De cette juste mort assurer l'avantage, Y chercher son pardon, et prévenir l'en nuis, Qu'un Rival partageast cette gloire avec lui.
Il ſortoit de ces murs, quand un bruit trop fidele, Eſt venu luy porter la fâcheuſe nouvelle, Que ce meſme Rival qu’il vouloit prevenir A remporté l’honneur qu’il penſoit obtenir;	Il sortait de ces murs, quand un bruit trop fidèle, Est venu y porter la fâcheuse nouvelle, Que ce même Rival qu'il voulait prévenir A remporté l'honneur qu'il pensait obtenir;
L’a prevenu luy-meſme, en immolant le traiſtre, Et pouſſe dans ce jour, Dom Alphonſe à paroiſtre, Qui d’un ſi prompt ſuccés va gouter la douceur, El Vielit prendre en ces lleux la fiincene la ſoeur;	L'a prévenu avoir-même, en immolant le traître, Et pousse dans ce jour, Dom Alphonse à paraître, Qui d'un si prompt succès va goûter la douceur, Él Vielit prendre en ces lleux la fiincène la soeur;
Et ce qui n’a pas peine à gagner la croyance, On entend publier que c’eſt la recompenſe, Dont il pretend payer le ſervice éclatant Du bras qui luy fait jour au Throſne qui l’attend.	Et ce qui n'a pas peine à gagner la croyance, On entend publier que c'est la récompense, Dont il prétend payer le service éclatant Du bras qui lui fait jour au Trône qui l'attend.
ELISE.	ÉLISE.
Oüy, Done Eluire a ſçeu ces nouvelles ſemées, Et du vieux Dom Louis les trouve confirmées.	Oui, Done Elvire a su ces nouvelles semées, Et du vieux Dom Louis les trouve confirmées.
Qui vient de luy mander, que Leon dans ce jour, De Dom Alphonſe, & d’elle, attend l’heureux retour, Et que c’eſt-là qu’on doit, par un revers proſpere, Luy voir prendre un époux de la main de ce Frere;	Qui vient de même mander, que Léon dans ce jour, De Dom Alphonse, et d'elle, attend l'heureux retour, Et que c'est-là qu'on doit, par un revers prospère, Lui voir prendre un époux de la main de ce Frère;
Dans ce peu qu’il en dit, il donne aſſez àvoir, Que Dom Sylve eſt l’époux qu’elle doit recevoir.	Dans ce peu qu'il en dit, il donne assez àvoir, Que Dom Sylve est l'époux qu'elle doit recevoir.
D.	D.
ALVAR.	ALVAR.
Ce coup au cœur du Prince.	Ce coup au cœur du Prince.
E LISE.	E LISE.
Eſt ſans doute bien rude, Et je le trouve à plaindre en ſon inquietude, Son intereſt pourtant, ſi j’en ay bien jugé, Eſt encor cher au cœur qu’il a tant outragé;	Est sans doute bien rude, Et je le trouve à plaindre en son inquiétude, Son intérêt pourtant, si j'en ai bien jugé, Est encor cher au cœur qu'il a tant outragé;
Et je n’ay point connu, qu’à ce ſuccés qu’on vante, La Princeſſe ait fait voir une ame fort contente, De te Piele qur vient, & de la lettre auſſi, Mais.	Et je n'ai point connu, qu'à ce succès qu'on vante, La Princesse ait fait voir une âme fort contente, De te Pièle qur vient, et de la lettre aussi, Mais.
SCENE II.	SCÈNE II.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
ALVAR, ELISE, D.	ALVAR, ÉLISE, D.
IGNES.	IGNÉS.
D.	D.
ELUIRE.	ÉLUIRE.
F Aites Dom Alvarvenir le Prince icy.	 Aites Dom Alvarvenir le Prince ici.
Souffrez que devant vous jeluy parle, Madame, Sur cet évenement, dont on ſurprend mon ame;	Souffrez que devant vous jelui parle, Madame, Sur cet événement, dont on surprend mon âme;
Et me m’aceuſez point d’un trop prompt changement, Si je perds contre luy tout mon reſſentiment.	Et me m'aceusez point d'un trop prompt changement, Si je perds contre notre tout mon ressentiment.
Sa diſgrace impreveuë a pris droit de l’éteindre, Sans luy laiſſer ma haine, il eſt aſſez à plaindre.	Sa disgrâce imprévue a pris droit de l'éteindre, Sans lui laisser ma haine, il est assez à plaindre.
Et le Ciel qui s’expoſe à ce trait de rigueur, H’a que trop bien ſervi les ſermens de mon cœur.	Et le Ciel qui l'expose à ce trait de rigueur, Ha que trop bien servi les serments de mon cœur.
Un éclatant arreſt de ma gloire outragée, A jamais n’eſtre à luy me tenoit engagee;	Un éclatant arrêt de ma gloire outragée, À jamais n'être à lu me tenait engagée;
Mais quand par les deſtins il eſt execute,  vois pour ſon amour trop de ſeverité;	Mais quand par les destins il est exécute, vois pour son amour trop de sévérité;
Et le triſte ſuccés de tout ce qu’il m’adreſſe M'efface ſon offence, & luy rend ma tendreſſe.	Et le triste succès de tout ce qu'il m'adresse M'efface son offense, et avait rend ma tendresse.
Oüy, Oüy, mon cœur trop vangé par de ſi rudes coups, Laiſſe à leur cruauté deſarmer ſon courroux, Et cherche maintenant par un ſoin pitoyable A conſoler le ſort d’un Amant miſerable;	Oui, Oui, mon cœur trop vengé par de si rudes coups, Laisse à leur cruauté désarmer son courroux, Et cherche maintenant par un soin pitoyable À consoler le sort d'un Amant misérable;
nt je ero y fuuuuulumie d nion pu mnenter Cette compaſſion que je luy veux preſter.	n' je ero y fuinuulumie d nion pu ménenter Cette compassion que je sens veux prêter.
D.	D.
IGNES.	IGNÉS.
Madame, on auroit tort de trouver à redire Aux tendres ſentimens qu’on voit qu’il vous inſpire, Ce qu’il a fait pour vous.	Madame, on aurait tort de trouver à redire Aux tendres sentiments qu'on voit qu'il vous inspire, Ce qu'il a fait pour vous.
Il vient, & ſa pâleur, De ce coup ſurprenant marque aſſez la douleur.	Il vient, et sa pâleur, De ce coup surprenant marque assez la douleur.
SCENE III.	SCÈNE III.
D.	D.
GARCIE, D.	GARCIE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, ELISE.	IGNÉS, ÉLISE.
ETMMSNE.	ÉTMMSNE.
Adame, avec quel front faut il que je m’avanM ce Quand je viens vous offrir l’odieuſe preſence.	Adame, avec quel front faut -il que je m'avanM ce Quand je viens vous offrir l'odieuse présence.
D.	D.
E LUIRE.	E LUIRE.
Prince, ne parlons plus de mon reſſentiment, Voſtre ſort dans mon ame a fait du changement, Et par le triſte eſtat où ſa rigueur vous jette, Ma colere eſt éteinte, & noſtre paix eſt faite.	Prince, ne parlons plus de mon ressentiment, Votre sort dans mon âme a fait du changement, Et par le triste état où sa rigueur vous jette, Ma colère est éteinte, et notre paix est faite.
Oüy, bien que voſtre amour ait merité les coups, Que fait ſur luy du Ciel éclater le courroux;	Oui, bien que votre amour ait mérité les coups, Que fait sur deux du Ciel éclater le courroux;
Bien que ſes noirs ſoupçons ayent offencé ma gloire, Par des indignitez qu’on auroit peine à croire;	Bien que ses noirs soupçons aient offensé ma gloire, Par des indignités qu'on aurait peine à croire;
J'avoüeray toutefois que je plains ſon malheur, Juſqu’a voir nos ſuccés avec quelque douleur;	J'avouerai toutefois que je plains son malheur, Jusqu'a voir nos succès avec quelque douleur;
Que je hay les faveurs de ce fameux ſervice, Lors qu’on veut de mon cœur luyfaire un ſacrifice Et voudrois bien pouvoir racheter les momens, où le ſort contre vous n’armoit que mes ſermens;	Que je hais les faveurs de ce fameux service, Lors qu'on veut de mon cœur luyfaire un sacrifice Et voudrais bien pouvoir racheter les moments, où le sort contre vous n'armait que mes serments;
Mais, enfin, vous ſçavez comme nos deſtinées, Aux intereſts publics ſont toujours enchaînées, Et que l’ordre des Cieux pour diſpoſer de moy, Dans mon Frere qui vient, me va montrer mon Roy.	Mais, enfin, vous savez comme nos destinées, Aux intérêts publics sont toujours enchaînées, Et que l'ordre des Cieux pour disposer de moi, Dans mon Frère qui vient, me va montrer mon Roi.
Cedez comme moy, Prince, à cette violence, Où la grandeur ſoûmet celles de ma naiſſance;	Cédez comme moi, Prince, à cette violence, Où la grandeur soumet celles de ma naissance;
Et ſi de voſtre amour les deplaiſirs ſont grands, Qu’il ſe faſſe un ſecours de la part que j’y prends, Et ne ſe ſerve point contre un coup qui l’étonne Du pouvoir qu’en ces lieux voſtre valeur vous donne;	Et si de votre amour les déplaisirs sont grands, Qu'il se fasse un secours de la part que j'y prends, Et ne se serve point contre un coup qui l'étonne Du pouvoir qu'en ces lieux votre valeur vous donne;
Ce vous ſeroit ſans doute un indigne tranſport De vouloir dans vos maux luter contre le ſort.	Ce vous serait sans doute un indigne transport De vouloir dans vos maux luter contre le sort.
Et lors que c’eſt en vain qu’on s’oppoſe à ſa rage, La ſoûmiſſion prompte eſt grandeur de courage.	Et lors que c'est en vain qu'on s'oppose à sa rage, La soumission prompte est grandeur de courage.
Ne reſiſtez donc point à ſes coups éclatans, Ouvrez les murs d’Aſtorgue au Frere que j’attends;	Ne résistez donc point à ses coups éclatants, Ouvrez les murs d'Astorgue au Frère que j'attends;
Laiſſez-moy rendre aux droits qu’il peut ſur moy pretendre, Ce que mon triſte cœur a reſolu de rendre;	Laissez-moi rendre aux droits qu'il peut sur moi prétendre, Ce que mon triste cœur a résolu de rendre;
Et ce fatal hommage, où mes vœux ſont forcez Peut-eſtre n’ira pas ſi loin que vous penſez.	Et ce fatal hommage, où mes vœux sont forcés Peut-être n'ira pas si loin que vous pensez.
D.	D.
GARCIE.	GARCIE.
C’eſt faire voir, Madame, une bonté trop rare, Que vouloir adoucir le coup qu’on me prepare, Sur moy ſans de tels ſoins vous pouvez laiſſer cheoir Le foudre rigoureux de tout voſtre devoir.	C'est faire voir, Madame, une bonté trop rare, Que vouloir adoucir le coup qu'on me prépare, Sur moi sans de tels soins vous pouvez laisser choir Le foudre rigoureux de tout votre devoir.
En l’eſtat où je ſuis, je n’ay rien à vous dire, J’ay merité du ſort tout ce qu’il a de pire, Et jeſçay, quelques maux qu’il me faille endurer, Que je me ſuis oſté le droit d’en murmurer.	En l'état où je suis, je n'ai rien à vous dire, J'ai mérité du sort tout ce qu'il a de pire, Et jesçai, quelques maux qu'il me faille endurer, Que je me suis ôté le droit d'en murmurer.
Par où pourrois-je, helas!	Par où pourrais-je, hélas!
dans ma vaſte diſgrace, Vers vous de quelque plainte authoriſer l’audaces Mon amour s’eſt rendu mille fois odieux, Il n’a fait qu’outrager vos attraits glorieux:	dans ma vaste disgrâce, Vers vous de quelque plainte autoriser l'audaces Mon amour s'est rendu mille fois odieux, Il n'a fait qu'outrager vos attraits glorieux:
Et lors que par un juſte, & fameux ſacrifice, Mon bras à voſtre ſang cherche à rendre un ſervice, Mon aſtre m’abandonne au déplaiſir fatal, De me voir prevenu par le bras d’un Rival.	Et lors que par un juste, et fameux sacrifice, Mon bras à votre sang cherche à rendre un service, Mon astre m'abandonne au déplaisir fatal, De me voir prévenu par le bras d'un Rival.
Madame, aprés cela je n’ay rien à pretendre, Je ſuis digne du coup que l’on me fait attendre, Et je le vois venir, ſans oſer contre luy, Tenter de voſtre cœur le favorable appuy.	Madame, après cela je n'ai rien à prétendre, Je suis digne du coup que l'on me fait attendre, Et je le vois venir, sans oser contre lui, Tenter de votre cœur le favorable appui.
Ce qui peut me reſter dans mon malheur extrême, C’eſt de chercher alors mon remede en moymeſme, Et faire que ma mort propice à mes deſirs, Affranchiſſe mon cœur de tous ſes déplaiſirs.	Ce qui peut me rester dans mon malheur extrême, C'est de chercher alors mon remède en moymesme, Et faire que ma mort propice à mes désirs, Affranchisse mon cœur de tous ses déplaisirs.
Oüy, bien toſt dans ces lieux, Dom Alphonſe doit eſtre, Et déja mon Rival commence de paroiſtre.	Oui, bien tôt dans ces lieux, Dom Alphonse doit être, Et déjà mon Rival commence de paraître.
De Leon vers ces murs, il ſemble avoir volé, Pour recevoir le prix du Tyran immolé;	De Léon vers ces murs, il semble avoir volé, Pour recevoir le prix du Tyran immolé;
Ne craignez point du tout qu’aucune reſiſtance Faſſe valoir icy ce que j’ay de puiſſance, Il n’eſt effort humain que pour vous conſerver, Si vous y conſentiez, je ne pûſſe braver;	Ne craignez point du tout qu'aucune résistance Fasse valoir ici ce que j'ai de puissance, Il n'est effort humain que pour vous conserver, Si vous y consentiez, je ne pusse braver;
Mais ce n’eſt pas à moy, dont on haït la memoire, A pouvoir eſperer cet aveu plein de gloire, Et je ne voudrois pas par des efforts trop vains Jetter le moindre obſtacle à vos juſtes deſſeins.	Mais ce n'est pas à moi, dont on hait la mémoire, À pouvoir espérer cet aveu plein de gloire, Et je ne voudrais pas par des efforts trop vains Jeter le moindre obstacle à vos justes desseins.
Non, je ne contrains point vos ſentimens, Madame, Je vais en liberté laiſſer toute voſtre ame, Ouvrir les murs d’Aſtorgue à cet heureux vainqueur, Et ſubir de mon ſort la derniere rigueur.	Non, je ne contrains point vos sentiments, Madame, Je vais en liberté laisser toute votre âme, Ouvrir les murs d'Astorgue à cet heureux vainqueur, Et subir de mon sort la dernière rigueur.
SCE	SCE
SCENE IV.	SCÈNE IV.
D.	D.
ELUIRE, D.	ÉLUIRE, D.
IGNES, ELISE.	IGNÉS, ÉLISE.
D.	D.
ELUIRE.	ÉLUIRE.
Adame, au deſeſpoir où fon deſtin l’expoſe, De tous mes déplaiſirs n’imputez pas la cauſe, Vous me rendrez juſtice, en croyant que mon cœur Fait de vos intereſts ſa plus vive douleur, Que bien plus que l’amour l’amitié m’eſt ſenſible, Et que ſi je me plains d’une diſgrace horrible, C’eſt de voir que du Ciel le funeſte couroux Ait pris chez moy les traits qu’il lance contre vous, Et rendu mes regards coupables d’une flâme, Qui traite indignement les bontez de voſtreame.	Adame, au désespoir où son destin l'expose, De tous mes déplaisirs n'imputez pas la cause, Vous me rendrez justice, en croyant que mon cœur Fait de vos intérêts sa plus vive douleur, Que bien plus que l'amour l'amitié m'est sensible, Et que si je me plains d'une disgrâce horrible, C'est de voir que du Ciel le funeste courroux Ait pris chez moi les traits qu'il lance ' es, Et rendu mes regards coupables d'une flamme, Qui traite indignement les bontés de vostreame.
D.	D.
IGNES.	IGNÉS.
C’eſt un evenement, dont ſans doute vos yeux N’ont point pour moy, Madame, à quereller les Cieux;	C'est un événement, dont sans doute vos yeux ont point pour moi, Madame, à quereller les Cieux;
Si les foibles attraits qu’étale mon viſage, M’expoſoient au deſtin de ſouffrir un volage, Le Ciel ne pouvoit mieux m’adoucir de tels coups, Quand pour m’oſter ce cœeur, il s’eſt ſervi de vous, Et mon front ne doit point rougir d’une inconſtance Qui de vos traits aux miens marque la difference.	Si les faibles attraits qu'étale mon visage, M'exposaient au destin de souffrir un volage, Le Ciel ne pouvait mieux m'adoucir de tels coups, Quand pour m'ôter ce cœeur, il s'est servi de vous, Et mon front ne doit point rougir d'une inconstance Qui de vos traits aux miens marque la différence.
Si pour ce changement je pouſſe des ſoûpirs, Ils viennent de le voir fatal à vos deſirs;	Si pour ce changement je pousse des soupirs, Ils viennent de le voir fatal à vos désirs;
Et dans cette douleur que l’amitié m’excite, Je m’accuſe pour vous de mon peu de merite, Qui n’a pû retenir un cœur, dont les tributs Cauſent un ſi grand trouble à vos vœux combatus.	Et dans cette douleur que l'amitié m'excite, Je m'accuse pour vous de mon peu de mérite, Qui n'a pu retenir un cœur, dont les tributs Causent un si grand trouble à vos vœux combattus.
D.	D.
ELUIRE.	ÉLUIRE.
Accuſez-vous plûtoſt de l’injuſte ſilence, Qui m’a de vos deux cœurs câché l’intelligence, Ce Ce ſecret plûtoſt ſçeu, peut-eſtre à toutes deux Nous auroit épargné des troubles ſi fâcheux:	Accusez-vous plutôt de l'injuste silence, Qui m'a de vos deux cœurs câché l'intelligence, Ce Ce secret plûtost su, peut-être à toutes deux Nous aurait épargné des troubles si fâcheux:
Et mes juſtes froideurs des deſirs d’un volage, Au point de leur naiſſance, ayant banny l’hommage, Euſſent pû renvoyer.	Et mes justes froideurs des désirs d'un volage, Au point de leur naissance, ayant banni l'hommage, Eussent pu renvoyer.
da lad E 9.	da là E 9.
Madame, le voicy.	Madame, le voici.
D.	D.
ELUIRE.	ÉLUIRE.
Sans rencontrer ſes yeux vous pouvez eſtre icy, Ne ſortez point, Madame, & dans un tel martyre, Veüillez eſtre témoin de ce que je vais dire.	Sans rencontrer ses yeux vous pouvez être ici, Ne sortez point, Madame, et dans un tel martyre, Veuillez être témoin de ce que je vais dire.
MAMNNESA Madame, j’y conſens, quoy que je ſçache bien, Qu’on fuiroit en ma place un pareil entretien.	MAMNESA Madame, j'y consens, quoi que je sache bien, Qu'on fuirait en ma place un pareil entretien.
D.	D.
ELUIRE.	ÉLUIRE.
Son ſuccez, ſi le Ciel ſeconde ma penſée, Madame, n’aura rien, dont vous ſoyez bleſſée.	Son succès, si le Ciel seconde ma pensée, Madame, n'aura rien, dont vous soyez blessée.
CENHV.	CENHU.
D.	D.
SYLVE, D.	SYLVE, D.
ELUIRE, D.	ÉLUIRE, D.
IGNES.	IGNÉS.
I D.	I D.
ELUIRE.	ÉLUIRE.
Vant que vous parliez je demande inſtamment, Que vous daignez, Seigneur, m’écoûter un moment, Péja la renommée a juſqu’à nos oreilles Porté de voſtre bras les ſoudaines merveilles;	Vant que vous parliez je demande instamment, Que vous daignez, Seigneur, m'écouter un moment, Péjà la renommée a jusqu'à nos oreilles Porté de votre bras les soudes merveilles;
Et j’admire avec tous, comme en ſi peu de temps, Il donne à nos deſtins ces ſuccés éclatans.	Et j'admire avec tous, comme en si peu de temps, Il donne à nos destins ces succès éclatants.
Je ſçay bien qu’un bien-fait de cette conſequence Ne ſçauroit demander trop de reconnoiſſance, Et qu’on doit toute choſe à l’exploit immortel Qui replace mon Frere au Throſne paternel.	Je sais bien qu'un bienfait de cette conséquence Ne saurait demander trop de reconnaissance, Et qu'on doit toute chose à l'exploit immortel Qui replace mon Frère au Thrône paternel.
Mais quoy que de ſon cœur vous offre les hommages, Uſez en genereux de tous vos avantages, Et ne permettez pas que ce coup glorieux Jette ſur moy, Seigneur, un joug imperieux.	Mais quoi que de son cœur vous offrent les hommages, Usez en généreux de tous vos avantages, Et ne permettez pas que ce coup glorieux Jette sur moi, Seigneur, un joug impérieux.
