ECPRIVILEGEDU ROY.	ECPRIVILEGEDU ROI.
Suivois, ſuivons l’exemple, ajuſtons nous au tems, Abaiſſons-nous ma Sœur à faire des avances, Et ne ménageons plus de triſtes bienſeances Qui nous ôtent les fruits du plus beau de nos ans.	Suivais, suivons l'exemple, ajustons nous au temps, Abaissons-nous ma Sœur à faire des avances, Et ne ménageons plus de tristes bienséances Qui nous ôtent les fruits du plus beau de nos ans.
AGLAURE.	AGLAURE.
J’aprouve la penſée, & nous avons matiere D’en faire l’épreuve premiere Aux deux Princes qui ſont ſes derniers arrivez.	J'approuve la pensée, et nous avons matière D'en faire l'épreuve première Aux deux Princes qui sont ses derniers arrivez.
Ils ſont charmans, ma Sœur, & leus perſonne entiere	Ils sont charmants, ma Sœur, et lus personne entière
IDIPPE.	JDIPE.
Ah, ma Sœur, ils ſont faits tous d’eux d'une maniere Que mon ame.	Ah, ma Sœur, ils sont faits tous d'eux d'une manière Que mon âme.
Ce ſont deux Princes achevez.	Ce sont deux Princes achevés.
AG LAURE.	AG LAURE.
.	.
yimnune quon pourroie reenerener leur tendreſſe, Sans ſe faire des honneur.	yimnune quon pourroie reenerener leur tendresse, Sans se faire des honneur.
IDIPPE.	JDIPE.
Je trouve que ſans honte une belle Princeſſe Leur pourroit donner ſon cœur.	Je trouve que sans honte une belle Princesse Leur pourrait donner son cœur.
SCENE II.	SCÈNE II.
CLEOMENR, AGENOR AGLAURE, CIDIPPE.	CLEOMENR, AGENOR AGLAURE, CIDIPE.
ACLACRE.	ACLACRE.
Es voicy tous deux, & j’admite De Leur an & leul almtement.	Es voici tous deux, et j'admite De Leur an et leul almtement.
IDIPPE.	JDIPE.
Ils ne démentent nullement Tout ce que nous venons de dire.	Ils ne démentent nullement Tout ce que nous venons de dire.
AGLAURE.	AGLAURE.
b ouriem, princes, d'eu vient que vous fuyez ainſi?	 bouriem, princes, d'eu vient que vous fuyez ainsi?
Prenez-vous l’épouvente en nous voyant paroître?	Prenez-vous l'épouvante en nous voyant paraître?
CLEOMENE, On nons faiſoit croire qu’icy La Princeſſe Pſiché, Madame, pourroit être.	CLÉOMENE, On nons faisait croire qu'ici La Princesse Psiché, Madame, pourrait être.
AGLAURE.	AGLAURE.
Tous ces lieux n’ont-il rien d’agreable pour vous, Si vous ne les voyez ornez de ſa preſence?	Tous ces lieux n'ont-il rien d'agréable pour vous, Si vous ne les voyez ornez de sa présence?
AGENOR.	AGENOR.
Les lieux peuvent avoir des charmes aſſez doux?	Les lieux peuvent avoir des charmes assez doux?
Mais nous cherchons Pliché dans nôtre impatience.	Mais nous cherchons Pliché dans notre impatience.
CIDIPPE.	CIDIPE.
Quelque choſe de bien preſſant Vous doit à la chercher pouſſer tous deux ſans doute	Quelque chose de bien pressant Vous doit à la chercher pousser tous deux sans doute
CLEOMENE.	CLÉOMENE.
Le motil eit anez puihant, Puis que nôtre fortune enfin en dépend toute.	Le motil eit anez puihant, Puis que notre fortune enfin en dépend toute.
AGLAURÉ.	AGLAURE.
Ce ſeroit trop à nous, que de nous informer Du ſecret que ces mots nous peuvent enfermer.	Ce serait trop à nous, que de nous informer Du secret que ces mots nous peuvent enfermer.
CLEOMENE.	CLÉOMENE.
Nous ne pretendons point en faire de miſtere;	Nous ne prétendons point en faire de mystère;
Auſſi bien malgre nous paroitroit-n’au jour, Et le ſecret ne dure guere.	Aussi bien malgré nous paraît-n'au jour, Et le secret ne dure guère.
Madame, quand c’eſt de l’amour.	Madame, quand c'est de l'amour.
CIDIPPE.	CIDIPE.
Sans aller plus avant, Princes, cela veut dire, Que vous aimen i'nehé tous deux.	Sans aller plus avant, Princes, cela veut dire, Que vous aimen j'unehé tous deux.
AGENOR.	AGENOR.
Tous deux ſoûmis à ſon empire Nous allons de conſert lui découvrir nos feux.	Tous deux soumis à son empire Nous allons de consert lui découvrir nos feux.
AGLAURE.	AGLAURE.
C’eſt une nouveauté ſans doute aſſez bizarre, Que deux Rivaux ſi bien unis.	C'est une nouveauté sans doute assez bizarre, Que deux Rivaux si bien unis.
CLEOMENE.	CLÉOMENE.
Ieit vray que la cnole citrale, Mais non pas impoſſible à deux parfaits Amis.	Jeit vrai que la cnole citrale, Mais non pas impossible à deux parfaits Amis.
IDIPPE.	JDIPE.
Eſt-ce que dans ces lieux il n’eſt qu’elle de belle, Et n’y trouvez-vous point à ſeparer vos vœux?	Est-ce que dans ces lieux il n'est qu'elle de belle, Et n'y trouvez-vous point à séparer vos vœux?
AGLAURE.	AGLAURE.
Parmi l’éclat du ſang, vos yeux n’ont-ils veu qu’elle A pouvonr meriter vos reux ?	Parmi l'éclat du sang, vos yeux n'ont-ils vu qu'elle A pouvr mériter vos reux ?
CLEOMENE.	CLÉOMENE.
Eſt-ce que l’on conſulte au moment qu’on s’enflâme?	Est-ce que l'on consulte au moment qu'on s'enflamme?
Cho ſit-on qui l’on veut aimer?	Cho sit-on qui l'on veut aimer?
Et pour donner toute ſon ame, Regarde-t-on quel droit on a de nous charmer?	Et pour donner toute son âme, Regarde-t-on quel droit on a de nous charmer?
AGENOR.	AGENOR.
Sans qu’on ait le pouvoir d’élire, On ſuit dans une telle ardeur Quelque choſe qui nous attire, Et lors que l’Amour touche un cœur, On n’a point de raiſons à dire.	Sans qu'on ait le pouvoir d'élire, On suit dans une telle ardeur Quelque chose qui nous attire, Et lors que l'Amour touche un cœur, On n'a point de raisons à dire.
AGLAURE.	AGLAURE.
En verité je plains les fâcheux embarras Où je voi que vos cœurs ſe mettent;	En vérité je plains les fâcheux embarras Où je vois que vos cœurs se mettent;
Vous aimez un Objet dont les rians appas Mêleront des chagrins à l’eſpoir qu’ils vous jettent, Et ſon cœur ne vous tiendra pas Tout ce que ſes yeux vous promettent.	Vous aimez un Objet dont les riants appas Mêleront des chagrins à l'espoir qu'ils vous jettent, Et son cœur ne vous tiendra pas Tout ce que ses yeux vous promettent.
IDIPPE.	JDIPE.
L erpon qui vous appene au rann de les Amahs Trouvera du méconte aux douceurs qu’elle étale;	 Lerpon qui vous appène au rann de les Amahs Trouvera du méconte aux douceurs qu'elle étale;
Et c’eſt pour eſſuyer de tres fâcheux momens, Que les ſoudains retours de ſon ame inégale.	Et c'est pour essuyer de très fâcheux moments, Que les soudains retours de son âme inégale.
AGLAURE:	AGLAURE:
Un clair diſcernement de ce que vous valez Nous fait plaindre le ſort où cét amour vous guide, Et vous pouvez trouver tous deux, ſi vous voulez, Avec autant d’attraits, une ame plus ſollide	Un clair discernement de ce que vous valez Nous fait plaindre le sort où cet amour vous guide, Et vous pouvez trouver tous deux, si vous voulez, Avec autant d'attraits, une âme plus sollide
CIDIPPE.	CIDIPE.
Par un choix plus doux de moitié Vous pouvez de l’amour ſauver vôtre amitié, Et l’on voit en vous deux un merite ſi rare, Qu’un tendre avis veut bien prevenir par pitié Ce que votre cœur le prepare.	Par un choix plus doux de moitié Vous pouvez de l'amour sauver votre amitié, Et l'on voit en vous deux un mérite si rare, Qu'un tendre avis veut bien prévenir par pitié Ce que votre cœur le prépare.
CLEOMENE.	CLÉOMENE.
Cet avis genereux fait pour nous éclater Des bontez qui nous touchent l’ame;	Cet avis généreux fait pour nous éclater Des bontés qui nous touchent l'âme;
muis le erei hous reduit à ce malheur, Madame, De ne pouvoir en profiter.	muis le erei jou réduit à ce malheur, Madame, De ne pouvoir en profiter.
AGENOR.	AGENOR.
Vôtre illuſtre pitié veut en vain nous diſtraire D’un amour dont tous deux nous nedoutons l’effet;	Votre illustre pitié veut en vain nous distraire D'un amour dont tous deux nous nedoutons l'effet;
Ce que nôtre amitié, Madame, n’a pas fait, Il n’eſt rien qui le puiſſe faire	Ce que notre amitié, Madame, n'a pas fait, Il n'est rien qui le puisse faire
IDITIE.	IDITIE.
Il faut que le pouvoir de Pſiché.	Il faut que le pouvoir de Psiché.
La voicy.	La voici.
SCENE III.	SCÈNE III.
PSICHE', CIDIPPE, AGLAURE, CLEOMENE, AGENOR.	PSICHÉE', CIDIPE, AGLAURE, CLEMENE, AGENOR.
CIDIPPE.	CIDIPE.
V Enez joüir, ma Sœur, de ce qu’on vous aprête.	V Unez jouir, ma Sœur, de ce qu'on vous apprête.
AGLAURE, LIepaiel vos attrants a Iecero tey Le triomphe nouvcau d’une illuſtre conquête.	AGLAURE, LIépaiel vos attrants a Jecéro tei Le triomphe nouvcau d'une illustre conquête.
IDIPPE.	JDIPE.
Ces Princes ont tous deux ſi bien ſenty vos coups, Qu’à vous le découvrir leur bouche ſe diſpoſe.	Ces Princes ont tous deux si bien senti vos coups, Qu'à vous le découvrir leur bouche se dispose.
ICHE'.	ICHÉE.
Du ſujet qui les tient ſi réveurs parmy nous Je ne me croyois pas la cauſe, Et j’aurois crû toute autre choſe En les vo yait perler à vous.	Du sujet qui les tient si réveurs parmi nous Je ne me croyais pas la cause, Et j'aurais cru toute autre chose En les vo yait perler à vous.
AGLAURE.	AGLAURE.
N’ayant ny beauté, ny naiſſance A pouvoir meriter leur amour & leurs ſoins, ris hous ravornent du moins De l’honneur de la confidence.	N'ayant ici beauté, ni naissance À pouvoir mériter leur amour et leurs soins, ris hous ravornent du moins De l'honneur de la confidence.
CLEOMENE, L'aveu qu’il nous faut faire à vos divins appas, Eſt ſans doute, Madame, un aveu temeraire, Mais tant de cœur pres du trépas, Sont par de tels aveus forcez à vous deplaire, Que vous êtes reduite à ne les punir pas Des foudres de vôtre colere.	CLEMENE, L'aveu qu'il nous faut faire à vos divins appas, Est sans doute, Madame, un aveu téméraire, Mais tant de cœur pres du trépas, Sont par de tels aveus forcez à vous déplaire, Que vous êtes réduite à ne les punir pas Des foudres de votre colère.
Vous voyez en nous deux Amis, Qu’un doux raport d’humeurs ſçeu joindre dés l'enEt ces tendres liens ſe ſont veus affermis (fance;	Vous voyez en nous deux Amis, Qu'un doux rapport d'humeurs sçeu oindre dès l'enÉt ces tendres liens se sont vus affermis (fance;
Par cent combats d’eſtime & de reconnoiſſance.	Par cent combats d'estime et de reconnaissance.
Du Deſtin enne my les aſſauts rigoureux, Les mépris de la mort & l’aſpect des ſupplices, Par d’illuſtres éclats, de mutuels offices Ont de nôtre amitié ſignalé les beaux nœuds:	Du Destin enne mi les assauts rigoureux, Les mépris de la mort et l'aspect des supplices, Par d'illustres éclats, de mutuels offices Ont de notre amitié signalé les beaux nœuds:
Mais à quelques eſſais qu’elle ſe ſoit trouvée, Son grand triomphe eſt en ce jour, Et rien ne fait tant voir ſa conſtance éprouvée, Que de ſe conſerver au milieu de l’Amour.	Mais à quelques essais qu'elle se soit trouvée, Son grand triomphe est en ce jour, Et rien ne fait tant voir sa constance éprouvée, Que de se conserver au milieu de l'Amour.
Oüy, malgré tant d’appas, ſon illuſtre conſtance Aux Loix qu’elle nous fait a ſoûmis tous nos vœux;	Oui, malgré tant d'appas, son illustre constance Aux Lois qu'elle nous fait a soumis tous nos vœux;
Elle vient d’une douce & pleine déference Remettre à vôtre choix le ſuccés de nos feux, Et pour donner un poids à nôtre concurrence, Qui des raiſons d’Ecat entraine la b lance Sur le choix de l’un de nous deux, Cette même amit ié s’offre ſans répugnance D’unis nos deux Etats au ſort du plus heureux.	Elle vient d'une douce et pleine déférence Remettre à votre choix le succès de nos feux, Et pour donner un poids à notre concurrence, Qui des raisons d'Écat entraine la bonne lance Sur le choix de l'un de nous deux, Cette même amit jit j'offre sans répugnance D'unis nos deux États au sort du plus heureux.
AGENOR.	AGENOR.
Oüy, de ces deux Etats, Madame, Que ſous vôtreihûreux choix nous nous ofrons d’unir Nous voulons faire à nôtre flame Un ſecours pour vous obtenir Ce que pour ce bonheur?	Oui, de ces deux États, Madame, Que sous vôtreihûreux choix nous nous ofrons d'unir Nous voulons faire à notre flamme Un secours pour vous obtenir Ce que pour ce bonheur?
pres du Roy vôtre Pere Nous nous ſacrifions tous deux, N’a rien de difficile à nos cœurs amoureux, Et c’eſt au plus heureux a faire un don neceſſaire D’un pouvoir dont le malheureux,	pres du Roi votre Père Nous nous sacrifions tous deux, N'a rien de difficile à nos cœurs amoureux, Et c'est au plus heureux a faire un don nécessaire D'un pouvoir dont le malheureux,
Madame, n’aura plus affaire.	Madame, n'aura plus affaire.
SICHE'.	SICHÉE.
yeux Le choix que vous m’offrez, Princes, montre à mes Dequoi remplir les vœux de l’ame la plus fiere, Et vous me le parez tous deux d’une maniere, Qu’on ne peut offeir qui ſoit plus precieux.	yeux Le choix que vous m'offrez, Princes, montre à mes Dequoi remplir les vœux de l'âme la plus fière, Et vous me le parez tous deux d'une manière, Qu'on ne peut offeir qui soit plus précieux.
Vos feux;	Vos feux;
vôtre amitié, vôtre vertu ſupréme, Tout me releve en vous l'offre de vôtre foy;	votre amitié, votre vertu suprême, Tout me relève en vous l'offre de votre foi;
Et j’i vois un merite à s’oppoſer luy-même A ce que vous voulez de moi.	Et j'y vois un mérite à s'opposer Ah-même À ce que vous voulez de moi.
Ce n’eſt pas à mon cœur qu’il faut que je défere Pour entrer ſous de tels liens Ma main, pour ſe donner, attend l’ordre d'un Pere.	Ce n'est pas à mon cœur qu'il faut que je défère Pour entrer sous de tels liens Ma main, pour se donner, attend l'ordre d'un Père.
Et mes Sœurs ont des droits qui vont devãt les miens Mais ſi l’on me rendoit ſur mes vœux abſoluë Vous y pourriez avoir trop de part à la fois, Et toute mon eſtime entre vous ſuſpenduë, 2 Ne pourroit ſur aucun laiſſer tomber mon choix.	Et mes Sœurs ont des droits qui vont devant les miens Mais si l'on me rendait sur mes vœux absolue Vous y pourriez avoir trop de part à la fois, Et toute mon estime entre vous suspendue, 2 Ne pourrait sur aucun laisser tomber mon choix.
A l’ardeur de vôtre pourſuite Je répondrois aſſez de mes vœux le plus doux.	À l'ardeur de votre poursuite Je répondrais assez de mes vœux le plus doux.
Mais c’eſt parmi tant de merite Trop que deux cœurs pour moi, trop peu qu’un coup pour vous.	Mais c'est parmi tant de mérite Trop que deux cœurs pour moi, trop peu qu'un coup pour vous.
De mes plus doux ſouhairs j’aurois l’ame gênée.	De mes plus doux souhairs j'aurais l'âme gênée.
A l’effort de vôtre amitié, Et j’y vois l’un de vous prendre une Deſtinée A me faire trop de pitié.	À l'effort de votre amitié, Et j'y vois l'un de vous prendre une Destinée À me faire trop de pitié.
Oüi, Princes, à tous ceux dont l’amour ſuit le vôtre Je vous prefererois tous deux avec ardeur;	Oui, Princes, à tous ceux dont l'amour suit le vôtre Je vous préférerais tous deux avec ardeur;
Mais je n’aurois jamais le cœur De pouvoir preferer l’un de vous deux à l’autre.	Mais je n'aurais jamais le cœur De pouvoir préférer l'un de vous deux à l'autre.
A celui que je choiſirois, Ma tendreſſe feroit un trop grand ſacrifice, Et je m’imputerois à barbare injuſtice, Le tort qu’à l’autre je ferois.	À celui que je choisirais, Ma tendresse ferait un trop grand sacrifice, Et je m'imputerais à barbare injustice, Le tort qu'à l'autre je ferais.
Oüi, tous deux vous brillez de trop de grãdeur d’ame.	Oui, tous deux vous brillez de trop de grandeur d'âme.
Pour en faire aucun malheureux, Et vous devez chercher dans l’amoureuſe flâme Le moyen d’être heureux tous deux.	Pour en faire aucun malheureux, Et vous devez chercher dans l'amoureuse flamme Le moyen d'être heureux tous deux.
