AVERTISSEMENT.	AVERTISSEMENT.
Le COMTE, à Pirame Il eſf vray cher amy, j’oſe me flatter devant Madame, que j’ay preſentement quelque part à ſon Cœur pour ne pas dire que je l’ay tout entier, vous m’entendez.	Le COMTE, à Pyrame Il esf vrai cher ami, j'ose me flatter devant Madame, que j'ai présentement quelque part à son Cœur pour ne pas dire que je l'ai tout entier, vous m'entendez.
CLAVDINE au Comte Mr.	CLAUDINE au Comte Mr.
vôtre amy a de l’eſprit il entend a demi mot.	votre ami a de l'esprit il entend a demi mot.
PIRAME Ainſi Mr.	PIRAME Ainsi Mr.
le Comte, vous ſupplantez le Chevalier, je me figure bien que ce n’a pas été ſans peine, mais plus la reſiſtance qu’on fait à l’aſſaillant eſt grande, plus il en remporte de gloire s’il eſt enfin victorieux, je crois entendre Liſidor.	le Comte, vous supplantez le Chevalier, je me figure bien que ce n'a pas été sans peine, mais plus la résistance qu'on fait à l'assaillant est grande, plus il en remporte de gloire s'il est enfin victorieux, je crois entendre Lisidor.
SCENE IX.	SCÈNE IX.
LISIDOR, PIRAME, JUNIE, LE COMTE, CLAUDINE, CAISIIIV.	LISIDOR, PIRAME, JUNIE, LE COMTE, CLAUDINE, CAISIIV.
LISIDOR.	LISIDOR.
IE viens tout hors d’haleine, vous aprendre une choſe, a laquelle je ne m’attendois pas ſi toſt, c’eſt que je viens de voir le Chevalier François monter à cheval, qui à ce qu' on m’a dit s’en va en poſte à Paris, parce qu’il a apris de ſon valet, que ſa Maiſtreſſe luy étoit infidelle, il s’en va à la cour de France d’épaiſer ſon chagrin, cependant comme je vois, le voila debuſqué, & il a été contraint de quitter la partie.	JE viens tout hors d'haleine, vous apprendre une chose, a laquelle je ne m'attendais pas si tôt, c'est que je viens de voir le Chevalier Français monter à cheval, qui à ce qu' on m'a dit s'en va en poste à Paris, parce qu'il a appris de son valet, que sa Maîtresse lui était infidèle, il s'en va à la cour de France d'épaiser son chagrin, cependant comme je vois, le voilà debusqué, et il a été contraint de quitter la partie.
LE COMTE Quoyque j’aye bien de la joye de ſon éloignement, je ne puis m’empêcher, de plaindre ſon ſort.	LE COMTE Quoique j'aie bien de la joie de son éloignement, je ne puis m'empêcher, de plaindre son sort.
CLAUDINE.	CLAUDINE.
Ah certes je m’en dédis, ce n’eſt plus aux François à faire des impromptus, c’eſt à ces Meſſieurs qu’il en faut donner toute la gloire, & comme on dit qu’un clou chaſſe l’autre	Ah certes je m'en dédis, ce n'est plus aux Français à faire des impromptus, c'est à ces Messieurs qu'il en faut donner toute la gloire, et comme on dit qu'un clou chasse l'autre
tre, un impromptu, chaſſe l’autre impromptu, il ſemble que Mr.	tre, un impromptu, chasse l'autre impromptu, il semble que Mr.
le Comte n’ait fait d’autre métier toute ſa vie, quel rédoutable aſſaillant, les impromptus à la Françoiſe, ſoit en amour ou en guerre ne ſont plus de faiſon, c’eſt un fruit que le terroir de France n’a plus la force de produîre, ſon ſoleil eſt ſur le retour.	le Comte n'ait fait d'autre métier toute sa vie, quel rédoutable assaillant, les impromptus à la Française, soit en amour ou en guerre ne sont plus de saison, c'est un fruit que le terroir de France n'a plus la force de produre, son soleil est sur le retour.
CRISPIN Puis qu’on en eſt tant aujourd’hui ſur les impromptus, écoute Claudine, iion maitre vient d’en ſaire un avec ta maîtreſſe, faiſons en un tous deux auſſi.	CRISPIN Puis qu'on en est tant aujourd'hui sur les impromptus, écoute Claudine, jion maître vient d'en zaïre un avec ta maîtresse, faisons en un tous deux aussi.
CLAUDINE.	CLAUDINE.
Qui moy avec toy, tu n’y penſes pas voyez un peu quel viſage pour un impromptu d’amour, ſauf le reſpect que je dois à Mr.	Qui moi avec toi, tu n'y penses pas voyez un peu quel visage pour un impromptu d'amour, sauf le respect que je dois à Mr.
le Comte, tu eît un vilain mâle.	le Comte, tu eît un vilain mâle.
RRISPIN Claudine vous faites bien la degoutée.	RRISPIN Claudine vous faites bien la degoutée.
CLAUDINE Degoûtée ou non, je n’en veux rien faire, frrais je conſeille a toutes filles de bon ſens, que ſi elles aprehendent les impromptus d’amour, elles évitent les aproches, d’hommes faits comme Mr.	CLAUDINE Dégoûtée ou non, je n'en veux rien faire, frais je conseille a toutes filles de bon sens, que si elles appréhendent les impromptus d'amour, elles évitent les approches, d'hommes faits comme Mr.
le Comte,	le Comte,
FIN.	FIN.
