An Iem ay Chez CLAVDE LE VILLAIN, Libraite, & Relieur du ROY, ruë du Bec, à la bonne Renommée.	An Iem ai Chez CLAUDE LE VILLAIN, Libraite, et Relieur du ROY, rue du Bec, à la bonne Renommée.
Il n’a donc pas conneu que mon deſſeinIogeaſt par toy le treſpas dans ſon ſein?	Il n'a donc pas connu que mon desseinIogeast par toi le trépas dans son sein?
Mais conte nous vn peu toute l’hiſtoire, Tant plus ſa mort tu me rendras notoire, Plus de plaiſir tu me feras alors.	Mais conte nous un peu toute l'histoire, Tant plus sa mort tu me rendras notoire, Plus de plaisir tu me feras alors.
Arcadin.	Arcadin.
Cruelle fille, as-tu point de remords, D’auoir commis vn œuure ſi meſchante?	Cruelle fille, as-tu point de remords, D'avoir commis un œuvre si méchante?
Moy qu’il l’ay fait en ay l’ame dolente.	Moi qu'il l'ai fait en ai l'âme dolente.
Lycoris.	Lycoris.
Tu n’es qu’vn foul, Berger tu ne ſçais pas Quel grand repos m’apporte ſon treſpas.	Tu n'es qu'Han noul, Berger tu ne sais pas Quel grand repos m'apporte son trépas.
Puis qu’il eſt mort, & qu’Hylas ie poſſede, Ie ne crains point qu’on malheur me ſuccede, Mais conte nous vn peu, cher Arcadin:	Puis qu'il est mort, et qu'Hylas apprendre possède, Je ne crains point qu'on malheur me succède, Mais conte nous un peu, cher Arcadin:
Ta diligence, & qu’il te dit en fin.	Ta diligence, et qu'il te dit en fin.
Arcadin.	Arcadin.
Ie le feray:	Je le ferai:
mais eſtant hors d’haleine Comme tu vois, ie parle encor à peine:	mais étant hors d'haleine Comme tu vois, je parle encor à peine:
Car n’eſtant point au meurtre accouſtumé, Ce coup d’eſſay me rend tout allarmé.	Car n'étant point au meurtre accoutumé, Ce coup d'essai me rend tout alarmé.
Comme i’eus prins ceſte charge importante, De l’enuoyer ſous la nuict palliſſante, où ſur les morts Pluton donne ſes loix.	Comme j'eus prins cette charge importante, De l'envoyer sous la nuit pallissante, où sur les morts Pluton donne ses lois.
I’allay ſoudain au fonds de ce grand bois, Car on me dit qu’il alloit d’ordinaire, Faire la chaſſe en ce lieu ſolitaire.	J'allai soudain au fond de ce grand bois, Car on me dit qu'il allait d'ordinaire, Faire la chasse en ce lieu solitaire.
Comme i’allois par tout le recerchant, Vous eußsieZ dit que ſon deſtin meſchant Venoit liurer en mes mains le pauure homme, Ie le trouuay ſaiſi d’vn peſant ſomme:	Comme j'allais par tout le recerchant, Vous eussiez dit que son destin méchant Venait livrer en mes mains le pauvre homme, Je le trouvai saisi d'un pesant somme:
Aupres de luy giſoyent nonchalamment Son arc, ſes traits, que ie prins viſtement;	Auprès de Seigneur gisaient nonchalamment Son arc, ses traits, que Un prins vitetement;
Et ſans tarder d’vne corde bien forte Liay ſes mains & ſes pieds, en la ſorte Que l’on feroit quelque innocent Aigneau,	Et sans tarder d'une corde bien forte Liai ses mains et ses pieds, en la sorte Que l'on ferait quelque innocent Aigneau,
Que le boucher destine à ſon couſteas.	Que le boucher destine à son coûteas.
Mais à la fin à force de l’estraindre, 2 lerompe ſon ſomme:	Mais à la fin à force de l'étraindre, 2 lerompe son somme:
& lors ſans plus me feindre, Ie prins ce glaiue, afin de l’enfoncer Dedans ſe flancs, & ſon cœur en percer.	et lors sans plus me feindre, Je prins ce glaiue, afin de l'enfoncer Dedans se flancs, et son cœur en percer.
Alors en vain taſchant à ſe defaire, Et d’eſchaper à mon bras ſanguinaire, Et ne pouuant:	Alors en vain tâchant à se défaire, Et d'échapper à mon bras sanguinaire, Et ne pouvant:
il me diſt inhumain!	il me dît inhumain!
Pourquoy mor ſang rougira-il ta main?	Pourquoi mór sang rougira-il ta main?
D’où te prouient ceſte cruelle enuie?	D'où te prouient cette cruelle envie?
Las!	Las!
pren mon bien, & me donne la vie!	pren mon bien, et me donne la vie!
Où pour le moins, dy moy, que t’ay-ie fait?	Où pour le moins, dis -moi, que t'ai-je fait?
Pour entreprendre vn ſi laſche forfart?	Pour entreprendre un si lâche forfart?
Ie luy reſpons:	Je te réponds:
Berger ce n’est la haine, Et moins encor ton troupeau porte-laine, Que ſe deſire, ou rien qui ſoit à toy C’eſt ſeulement pour acquitter ma foy Qu'à Lycoris auiour d’huy i’ay donnee, De faire voir le ſoir à ta iournee.	Berger ce n'est la haine, Et moins encor ton troupeau porte-laine, Que se désire, ou rien qui soit à toi C'est seulement pour acquitter ma foi Qu'à Lycoris aujour d'hui j'ai donnée, De faire voir le soir à ta journe.
N’eſpere donc ny pitié, ny confort, Car i’ay iuré, comme elle außi, ta mort.	N'espère donc rien pitié, ni confort, Car j'ai juré, comme elle aussi, ta mort.
Que penſes-tu que diſt ce miſerable, Lors qu’il conneut ton cœur in xorable?	Que penses-tu que dît ce misérable, Lors qu'il connut ton cœur in xorable?
Et que la main qui l’auoit peu ferir, Que par la mort ne vouloit le guarir?	Et que la main qui l'avait pu férir, Que par la mort ne voulait le garir?
Comme celuy qu’vn barbare ſauuage Bruſle tout vif, pour teſmoigner ſa rage,	Comme celui qu'un barbare sauvage Brûle tout vif, pour témoigner sa rage,
4.	4.
Le Berger Inconneu, Au liu d’aller ſon l'yran accuſant, Va dans les feux ſes loüanges diſant:	Le Berger Inconnu, Au live d'aller son l'iran accusant, Va dans les feux ses louanges disant:
Il commença d’vne façon eßrange, Voire incroyable, à chanter ta loüange, Il commença de coniurer les Cieux, Pour oublier toncrime vicieux, Et puis me diſt:	Il commença d'une façon essrange, Voire incroyable, à chanter ta louange, Il commença de conjurer les Cieux, Pour oublier toncrime vicieux, Et puis me dît:
Arcadin, ie te prie, Fay moy ce bien, à la fin de ma vie, A tout le moins que ie puiſſe baiſer Ce fer aimé, dont tu vas diuiſer D’auec mon corps mon ame languiſſante:	Arcadin, Seigneur te prie, Fais -moi ce bien, à la fin de ma vie, À tout le moins que sans puisse baiser Ce fer aimé, dont tu vas diviser D'avec mon corps mon âme languissante:
Et garde bien que ta lame ſanglante Perçant mon cœur, n’offenſe le pourtrait, De Lycoris, qu’amour fiſt de ſon trait.	Et garde bien que ta lame sanglante Perçant mon cœur, n'offense le portrait, De Lycoris, qu'amour fît de son trait.
Et ſi tu peux, apres l’heure derniere, Porte mon cœur à ma douce meurtriere, Et la coniure vn peu de reprimer De la rigueur, d’auoir oſe l’aimer.	Et si tu peux, après l'heure dernière, Porte mon cœur à ma douce meurtrière, Et la conjure un peu de réprimer De la rigueur, d'avoir ose l'aimer.
Bien plus long temps m’euſt eſtourdy ſa plainSi ſa douleur euſt peu vaincre ma crainte, Mais redoutant qu’il ne ſuruint quelcun, Ie terminay ſon diſcours importun!	Bien plus long temps m'eût étourdi sa plainSi sa douleur eût peu vaincre ma crainte, Mais redoutant qu'il ne survint quelcun, Je terminai son discours importun!
Mais ſans mentir il faut que ie confeſſe, Que ce ne fut ſans vn peu de triſteſſe, Car qui pourroit s’empeſcher de blaſmer, Ceile qui tuë vn homme pour l’aimer?	Mais sans mentir il faut que ici confesse, Que ce ne fut sans un peu de tristesse, Car qui pourrait s'empêcher de blâmer, Ceile qui tue un homme pour l'aimer?
Lycoris.	Lycoris.
V'iuant, il peut troubler mon Hymenee, Mort, ie ne crains d’en eſire importunee:	V' éjuant, il peut troubler mon Hymène, Mort, Madame ne crains d'en esire importunée:
Laiſſons-le la dans vn tombeau reclus:	Laissons-le la dans un tombeau reclus:
