LA TRAGEDIE DE PRYAM,ROY.	LA TRAGÉDIE DE PRIAM,ROY.
Non non reuiens a toy, & repren tes eſprits, Ne iette plus de pleurs, n’eſlance plus de cris, Et ne mets ta fiance a vne bande morte, Qui ne te peut guerir d’vne langueur ſi forte.	Non non reviens a toi, et repren tes esprits, Ne jette plus de pleurs, n'élance plus de cris, Et ne mets ta fiance a une bande morte, Qui ne te peut guérir d'une langueur si forte.
Laiſſe la tous ces morts & leue vers les cieux Les mains, ton cœur, ta perte, & tes pleurs, tesiyeux Et noyé de ſouſpirs, de larmes & de peine, Inuoque a ton ſecours les deux freres d’Heleine offencez comme toy:	Laisse la tous ces morts et lève vers les cieux Les mains, ton cœur, ta perte, et tes pleurs, tesiyeux Et noyé de soupirs, de larmes et de peine, Inuoque a ton secours les deux frères d'Hèle offensez comme toi:
appelle par leur nom Et la Grecque Minerue, & la grande Iunon, Que ce meſchant larron ce ſaux garçon de Troye?	appelle par leur nom Et la Grecque Minerve, et la grande Junon, Que ce méchant larron ce saux garçon de Troie?
D’une bonte paya pour ioüir de ſa proye.	D'une bonté paya pour jouir de sa proie.
Calchas.	Calchas.
Vng Prince comme toy puiſſant & valeureux, Doibt auoir dedans l’ame vn deſir genereux De vanger ſon iniure & arroſer ſes armes Du ſang de l’ennemy, non de ſes propres larmes, Car ce n’eſt pas outrage, ou iniure ou forſaict, (ſait, Quand nous vangeous le tort qu’vn eſtranger nous Veu que le droict permet liſſant la ſimple eſcorce, De chaſſer viuement la force par la ſorce, Mais bien c’eſt vn forfaict quand le deſir d’auoix Nous ſait par vne ſaute oublier le deuoir, Que la raiſon nous monſtre, & contre la nature Offencer nos voiſins de lar cins & d’iniure:	Un Prince comme toi puissant et valeureux, Doibt avoir dedans l'âme un désir généreux De venger son injure et arroser ses armes Du sang de l'ennemi, non de ses propres larmes, Car ce n'est pas outrage, ou injure ou forsaict, (sait, Quand nous vengeous le tort qu'un étranger nous Veu que le droit permet lissant la simple écorce, De chasser vivement la force par la sorce, Mais bien c'est un forfaict quand le désir d'avoix Nous sait par une saute oublier le devoir, Que la raison nous montre, et contre la nature Offenser nos voisins de cins et iniure:
Tout braue cœur ne peut ſouſſrir qu’vn eſtranger vaant vonnn faratt, e ſa gloire outrager.	Tout brave cœur ne peut soussir qu'un étranger vaant vonnn farat, e sa gloire outrager.
Agamemnon.	Agamemnon.
courage Nous n’aurions point de cœur d’honneur, ni de O prophete Calchas, ſi vn tel brigandage Demeuroit impuni & i’il eſtoit permis D’eudurer les excez que font nos Enncmis, A la ſu contre nous nous verrons les Pygmees Embaſtonnez de dards arranger leurs armees, Si nous ſouffrons vn coup qu’vn voleur ſans valeur Auctoriſe ſon rapt au prix de noſtre honneur:	courage Nous n'aurions point de cœur d'honneur, ni de Ô prophète Calchas, si un tel brigandage Demeurait impuni et j'il était permis D'eudurer les excès que font nos Enncis, A la su contre nous nous verrons les Pygées Embastonnés de dards arranger leurs armées, Si nous souffrons un coup qu'un voleur sans valeur Auctorise son rapt au prix de notre honneur:
Doncques i’aſſembleray & i’en ſeray le guide, Tous les vaillans Gregeois au riuage d’Aulide Achille, Aiax, Patrocte, vlyſſe, & ce guerrier Qui doibt bleſſer le Myrthe, & gaigner le Laurier Et les ſeray iurer de ne quitter l’empriſe, Et de ne retourner que Troye ne ſoit priſe, Perduë, ſacagee & ſes penples tuez Par le glaiue, & ſes murs par la flamme ruez:	Donc j'assemblerai et j'en serai le guide, Tous les vaillants Grégeois au rivage d'Aulide Achille, Ajàx, Patrocte, vlysse, et ce guerrier Qui doib blesser le Myrte, et gaigner le Laurier Et les serai jurer de ne quitter l'emprise, Et de ne retourner que Tro ne soit prise, Perdue, sacage et ses pénèles tuez Par le glaiue, et ses murs par la flamme ruez:
Et feuſſent-ils dix am dans le port de Sigee, Tenant le Roy Pryam, & ſa ville aſiegee,	Et feussent-ils dix am dans le port de Sige, Tenant le Roi Pryam, et sa ville asiegee,
Calchas.	Calchas.
Voy paſleur de l’armee & Prince valeureux, Noſtre entrepriſe vaine, & les vens malbeureux, Arreſtant nos deſſeius, & nos barques profondes Fautes de bourſouffler, & de groſſir les ondes.	Vois pâleur de l'armée et Prince valeureux, Notre entreprise vaine, et les vends malbeureux, Arrêtant nos desseius, et nos barques profondes Fautes de boursouffler, et de grossir les ondes.
Nos combats ſout en l’air ſi les ſlots agitez Ne pouſſent nos vaiſſeaux, & nos cupidit.	Nos combats sout en l'air si les slots agités Ne poussent nos vaisseaux, et nos cupidit.
z Iuſqu’au port d'llion, inutile eſt la rame, Pour faire vn lõg voyage en mer quãd elle eſt calme Jl faut prier les veus & les deſtins amis Et par un ſacrifice appaiſer Artemis Que tu as courrouces alors que ſans malice Tu maſſacras un cerſ, & ne commis un vice.	ils Jusqu'au port d'llion, inutile est la rame, Pour faire un lõg voyage en mer quand elle est calme Jl faut prenant les veus et les destins amis Et par un sacrifice apaiser Artemis Que tu as courrouces alors que sans malice Tu massacras un cers, et ne commis un vice.
Agamemnon.	Agamemnon.
Que ſacrifirons nous Cal.	Que sacrifirons nous Cal.
Le ſouuenir me poinct	Le souvenir me point
Agamemnon.	Agamemnon.
Hardiment dis le moy calchas, & ne trains point.	Hardiment dis le moi calchâ, et ne trains point.
Calchas.	Calchas.
Il faut ſacrißer la belle Iphigenie, Et rendre en la tuant à ton frere la vie.	Il faut sacrisser la belle Iphigénie, Et rendre en la tuant à ton frère la vie.
LE CHOEVR.	LE CHOEUR.
NES Gregeois ſont ſi pleins de ſlamme C De ſureur & d’ire en agez D’auoir pour vne ſimple ſimmne Tant d’hommes de guerre, arrengez Nous monſtrans qu’ils ont plus de rage, Dedans le cœur, que de courage Dedans Aulide en trope eſpeſſe Ils ont iuré d’vn grand ſerment De ne retourner en la Grece Qu’ils n’ayent couuert d’vn monument Troye & nous, ayants plus d’enuie	NÉS Grègeais sont si pleins de slamme Ç De sûreur et d'ire en âgé D'avoir pour une simple simne Tant d'hommes de guerre, arrengez Nous montrants qu'ils ont plus de rage, Dans le cœur, que de courage Dans Aulide en trop épesse Ils ont juré d'un grand serment De ne retourner en la Grèce Qu'ils n'aient couvert d'un monument Troie et nous, ayant plus d'envie
Que de pltie de noſtre vie, Ils pourroyent biences fols gendarmes Prophetiſans leur verité, Tomber ſous le ſaix de nos armes, En trompant leur fœlicité, - Et froſſez par noſtre proueße Ne retourner iamais en Grece.	Que de plaîtie de notre vie, Ils pourraient biences fols gendarmes Prophétisans leur vérité, Tomber sous le saix de nos armes, En trompant leur fœlicité, - Et frossez par nôtre prouesse Ne retourner iamais en Grece.
Ou bien i’il arriue peut eſtre Que Troye tombe de leur main, Leurs actes ſeront recognoiſtre Qu’il ont le courege inhumain.	Ou bien j'il arrive peut être Que Troie tombe de leur main, Leurs actes seront reconnaître Qu'il ont le courege inhumain.
Et qu’ils nous prendront par les l’armes De ſinon & non par leurs armes.	Et qu'ils nous prendront par les l'armes De sinon et non par leurs armes.
Les Gregrois ſont pleins de malite, Se ſeruants de fraude en tout lieu, Et ſols eſliment que leur vice Leur ſoit donné de quelque Dieu Ou par force ou par tromperie.	Les Gregrois sont pleins de malite, Se servants de fraude en tout lieu, Et sols éliment que leur vice Leur soit donné de quelque Dieu Ou par force ou par tromperie.
Encor' ces Grecs ont le carnage Si bien empreint dedans le cœur Que perdant ton bumain courage Il veſtent leurs corps de fureur, Et pour accomplir leur manis, Sacriſiront iphigenie.	Encor' ces Grecs ont le carnage Si bien empreint dedans le cœur Que perdant ton bumain courage Il vêtent leurs corps de fureur, Et pour accomplir leur manis, Sacriront iphigénie.
Ne croyez que la tromperie, La fraude dont ils ſont amis Perde l'Empire de l’Aſie, Ce ſont les deſlins ennemis Qui coniurent forcenez d’ire A la perte d’vn tel Empire.	Ne croyez que la tromperie, La fraude dont ils sont amis Perde l'Empire de l'Asie, Ce sont les délins ennemis Qui conjurent forcené d'ire À la perte d'un tel Empire.
Helas que l’homme eſt miſerable De viure priſonnier du ſort, Subiect d’vn vſtre impitoyable Comme toy Troye de la mort:	Hélas que l'homme est misérable De vivre prisonnier du sort, Subiect d' Hôtre impitoyable Comme toi Troie de la mort:
Mais ne pouuant chaſſer ta peine Je plore ta perte ſoudaine.	Mais ne pouvant chasser ta peine Je plore ta perte soudaine.
ACTE V Agamemnon.	ACTE V Agamemnon.
Calchas.	Calchas.
Agamemnon.	Agamemnon.
Viſque ie ſuis force par la neceſſité I Dgcommettre vn forfait plein d’inbumanité:	Visque ie suis force par la nécessité I Dégommettre un forfait plein d'inbumanité:
Et qu’il faut ô ma main que mon cœur lu trauerſe.	Et qu'il faut ô ma main que mon cœur lu traverse.
Pour accoiſer les vens, calmer les ondes perſes Et augmenter ma haine appaiſant Arthemis, Qui veut que ie me vange au ſang des Ennemis.	Pour accoiser les vents, calmer les ondes perses Et augmenter ma haine apaisant Arthémis, Qui veut que personne me venge au sang des Ennemis.
Me vengeant ſur moy-meſme, & faiſant ſacrifice De mon cœur pour la rendre à la Grece propice, Puiſque i’y ſuis ſorcé, il faut que malgré-moy I’obeiſſe au deſtin qui cauſe mon eſmoy.	Me vengeant sur moi-même, et faisant sacrifice De mon cœur pour la rendre à la Grèce propice, Puisque j'y suis sorcé, il faut que malgré-moi J'obéisse au destin qui cause mon émoi.
Et que i’arme mon cœur de ſureur & de rage, Et prepare ma main à ce ſatal carnage, Et que bien que ie ſois & Gregeois & humain, Ie me monſtre à ma race vn meurtr ier inhumain Un carnacier d’enſant plus cruel qu’une fert, Vn pere helas!	Et que j'arme mon cœur de fureur et de rage, Et prépare ma main à ce satal carnage, Et que bien que je sois et Grégeois et humain, Je me montre à ma race un meurtr jer inhumain Un carnacier d'ensant plus cruel qu'une sert, Un père hélas!
du tout indigne d’eſtre pere, Que la terre abomine & les hommes auſſi Quand ie turay ma ſille & n’en auray mercy Y a il ô Calchas dans la voûte ætheree Des dieux comme l’on dit d’éternelle duree, Qui ſe plaiſent au meurtre & veulent ſans raiſon Qu’un pere s’enſanglante au ſang de ſa maiſon, Certes ceſt vn abus que ie ne puis pas croire, (gloirt Les dieux de nos malheurs n’augmentent pas leut Ou il uy en a point ou s’il y a des dieux, Jl necommandent pas ces autes odieux Eſtants de leur nature aux hommes pitoyables, Aux bommes que le monde a rendu miſerables.	du tout indigne d'être père, Que la terre abomine et les hommes aussi Quand s' ai ma sille et n'en aurai merci Y a il ô Calchas dans la voûte æthère Des dieux comme l'on dit d'éternelle dure, Qui se plaisent au meurtre et veulent sans raison Qu'un père s'ensanglante au sang de sa maison, Certes cest un abus que je ne puis pas croire, (glait Les dieux de nos malheurs n'augmentent pas lut Ou il ui en a point ou s'il y a des dieux, Jl écommandent pas ces autes odieux Estant de leur nature aux hommes pitoyables, Aux bommes que , monde a rendu érables,
Calchas.	Calchas.
Garde bien d’irriter encontre toy les dieux, Et te rendre ennemy de la terre & des cieux, Par tes propos remplis de colere & de bayne, Diminuant leur grace & augmentant ta peine, „ Il ſaut parler fort peu, car iamais on a veu „ Arriuer aux mortels du mal pour parler peu, " Au contraire on a veu aux nations eſtranges, " Sourdre pour trop parler des fortunes eſtranges.	Garde bien d'irriter encontre toi les dieux, Et te rendre ennemi de la terre et des cieux, Par tes propos remplis de colère et de baine, Diminuant leur grâce et augmentant ta peine, „ Il saut parler fort peu, car jamais on a vu „ Arriver aux mortels du mal pour parler peu, " Au contraire on a vu aux nations étranges, " Sourdre pour trop parler des fortunes étranges.
Agamemnon.	Agamemnon.
Mais quoy couuer au cœur tant d’ameres douleurs Fnſanter det courroux, auorter des malheur.	Mais quoi couver au cœur tant d'amères douleurs Fnsanter dét courroux, auorter des malheur.
Et au ventre ſouſfrir tant de ſortes tranchees, Voir mes os, & mes nerfs, & mes veines trãchees, Et au partir de la ne dire ſeulement Un mot pour me reſouldre entre tant de tourmens.	Et au ventre sousfrir tant de sortes tranches, Voir mes os, et mes nerfs, et mes veines tranches, Et au partir de la ne dire seulement Un mot pour me résoudre entre tant de tourments.
Calchas.	Calchas.
Il n’eſt pas deſendu au milieu des alarmes De verſer de vos yeux, & du ſang & des larmes Accuſant vos deſtins:	Il n'est pas desendu au milieu des alarmes De verser de vos yeux, et du sang et des larmes Accusant vos destins:
mais il eſt di ſendu De blaſpbemer les dieux pour vn enſant perdu, Car pour ſaire ceſſer l’orageuſe tempeſtt, Et pour nous ſaiuer tous il faut perdre vne teſte Faut-il pour vne fille ainſi vous irriter " Dieu vous l’auoit donnee il vous la veut oſler.	mais il est di endu De blaspbemer les dieux pour un sant perdu, Car pour zaïre cesser l'orageuse tempestt, Et pour nous saiuer tous il faut perdre une tête Faut-il pour une fille ainsi vous irriter " Dieu vous l'avait donnée il vous la veut ôler.
Agamemnon.	Agamemnon.
O frere Menelas voy mon amour extréme Pour venger ton voleur ie me vole a moy-meſme Et pour me monſtrer frere & courtois & humain Ie me declare pere à moy-meſme inhumain, Pren courage mon cœur arue toy d’aſſeurancs	Ô frère Ménélas vois mon amour extrême Pour venger ton voleur je me vole à moi-même Et pour me montrer frère et courtois et humain Je me déclare père à moi-même inhumain, Pren courage mon cœur arue toi d'assurancs
C'eſt le faict d’vn grand Roy d’auoir de la tonſia Et aux beurts de fortune oppoſer ſa vertu, Et a batre ſa roue au lieu d’eſtre abbatu:	C'est le fait d'un grand Roi d'avoir de la tonsia Et aux beurts de fortune opposer sa vertu, Et a battre sa roue au lieu d'être abattu:
Les Grecs la larme a l’œil dreſſerent vne pille, Mais cette belle, rare & admirable fille:	Les Grecs la larme a l'œil dressèrent une pille, Mais cette belle, rare et admirable fille:
Auoit au lieu de pleurs aux yeux vne clarté:	Avait au lieu de pleurs aux yeux une clarté:
Le pas libre & le front baußé de maieſté, Le cheſ bien releué, & la face aſſeures.	Le pas libre et le front baussé de maiesté, Le chez bien relevé, et la face assures.
Ainſi que ſi ſa mort n’eſtoit pas prepares, Seduite des propos d’Ulyce le trompeur, Qui pour haſter ſes pas & derrober la peur, Que ſa mere euſt conceu d’une acte ſi ſeuere, Tiompa d’vn faux Hymen & la fille, & la mere:	Ainsi que si sa mort n'était pas prépares, Séduite des propos d'Ulyce le trompeur, Qui pour hâter ses pas et derrober la peur, Que sa mère eût conçu d'une acte si sévère, Tiompa d'un faux Hymen et la fille, et la mère:
Quand le pere la vit il troubla ſon eſprit Et luy oſtant la voix par le poil il la prit, Et en bauſſaut le bras agité de ſurie, Vouloit de ſon eſpé luy dé ober la vie:	Quand le père la vit il troubla son esprit Et lui ôtant la voix par le poil il la prit, Et en baussaut le bras agité de surie, Voulait de son espé lui de ober la vie:
Qand par vn grand miracle on vit ſoudainement Les yeux de tout le monde en vn aueuglement Et au lieu de la ſille vne beſte appreſtee, Qi appaiſe en ſa mort la Deeſſe irritee, Soudain le vent s’accoiſe & ſaict l’onde calmer Com' ſi les Alcions vouloyent pondre en la mer:	Quand par un grand miracle on vit soudainement Les yeux de tout le monde en un aveuglement Et au lieu de la sille une bête apprêtée, Qi apaise en sa mort la Deesse irritée, Soudain le vent s'accoise et sait l'onde calmer Com si les Alcions voulaient pondre en la mer:
Les Grecs ne perdent temps ardans a la vergeant Il vont ſendant les ſlois romplis d’impatience, Et en fort peu d’eſpace ils ſur ciſſent au port Et plantent leurs drappeaux, ou eſt peinte la mort Ils retranchent leur champ daus le por de Sigee Et tiennent la Pryam & ſa ville aſſi(gee.	Les Grecs ne perdent temps ardans à la vergeant Il vont sendant les slois romplis d'impatience, Et en fort peu d'espace ils sur cissent au port Et plantent leurs drapeaux, ou est peinte la mort Ils retranchent leur champ daus le por de Sige Et tiennent la Prami et sa ville assio(gee.
Hector.	Hector.
Moy le ſils de Pryam & d’Hecube ſa femme, Que l’amour ſous la terre & la valeur enflamme.	Moi le sils de Pryam et d'Hecebe sa femme, Que l'amour sous la terre et la valeur enflamme.
Qi viuant de mon bras enuoyois ſous mes loyx Et doutois les plus forts & plus vaillans Gregeois,	Qi vivant de mon bras envoyais sous mes lois Et doutais les plus forts et plus vaillants Grégeois,
Qui ſuyoient deuant moy comme dedans la plaine S’enfuit deuant le Loup le troupeau porte-laine:	Qui suivaient devant moi comme dedans la plaine S'enfuit devant le Loup le troupeau porte-laine:
Moy diſ-ie plein d’horreur, plein d’eſfroy plein de Tout haus, delaiſſant le tencbreux manoir, (noix Ou rigne le diſcord, la noiſe & le ſilence:	Moi dis-je plein d'horreur, plein d'efroi plein de Tout haus, délaissant le tencbreux manoir, (noix Ou rigne le discord, la noise et le silence:
Ou du Soleil ne luit la lumiere brillante, Ou Pluton tient ſon ſiege autour de ſes eſprits, Ie viens ſur ce Theatre & de colere eſpris.	Ou du Soleil ne luit la lumière brillante, Ou Pluton tient son siège autour de ses esprits, Je viens sur ce Théâtre et de colère épris.
Et frappé de regret, & d’amour & de haine:	Et frappé de regret, et d'amour et de haine:
Pour les ſautes d’autruy i’endure de la peine, Force par le deſtin de voir encore icy, Les meux de mon pays & conter mon ſoucy.	Pour les sautes d'autrui j'endure de la peine, Force par le destin de voir encore ici, Les meux de mon pays et conter mon souci.
Helas que des grands dieux proſonde & la ſcience, Les conſeils inſinis haute la prouidence, Let eſfets incognus doubleux & incertains Qui par ſont leurs deſſeins par la main des deſtins Qui ne nous ſont cogaus à nous autres qui ſommes Animaux ignorants qu’on appelle des bommes.	Hélas que des grands dieux prosonde et la science, Les conseils insinis haute la providence, Let sets inconnus doubleux et incertains Qui par sont leurs desseins par la main des destins Qui ne nous sont cogaus à nous autres qui sommes Animaux ignorants qu'on appelle des bommes.
Bien ſouuent l’ig vorance a faict que nos maieurs Outoſfence les dieux en ſouffrant leurs malheurs, D’vn cœur impatient & d’une ame effrenee, Accuſants de leurs iours la ſiere deſlinee, Ne voyans que les dieux obſeurs en leurs deſirs, Leurs donnoyent peu d’ẽnuys & beaucoup de plaiſirs Que ſçauent les Troyens pour quoy ce grand Empire Court ſi jort à ſafin & tout à coup s’empire, Qui eſtoit ſous pryam & ſous les autres Roys, Redoute pour ſa ſorce & garde par ces loix.	Bien souvent l'ig vorance a fait que nos maïeurs Outosfense les dieux en souffrant leurs malheurs, D'un cœur impatient et d'une âme effrénée, Accus de leurs jours la sommes deslinee, Ne voyant que les dieux obseurs en leurs désirs, Leurs donnaient peu d'ennui et beaucoup de plaisirs Que savent les Troyens pour quoi ce grand Empire Court si jort à safin et tout à coup s'empire, Qui était sous priam et sous les autres Autres, Redoute pour sa sorce et garde par ces lois.
Pourroyent ils penetrer ſi auant & entendre La tauſe d’vn ſi triſte & pitoyable eſclandre, Et des dieux droictu-iers rechercher le conſeil Quand ils peuuent a peine œillader le Soleil:	Pourraient ils pénétrer si avant et entendre La tausse d'un si triste et pitoyable esclandre, Et des dieux droitu-iliers rechercher le conseil Quand ils peuvent à peine œillader le Soleil:
Tout lemal vient de nous, nos fautes nous produiſent Taut de deſtius cruels, nos pechez nous ſeduiſent	Tout lemal vient de nous, nos fautes nous produisent Taut de détius cruels, nos péchés nous séduisent
Et dardent ſur nos cheſs les fleches du treſpas Et quand nous les ſentons nous ne les voyons pas Tant nous ſommes pipez d’une vaine apparence Qi nous tient aueuglez dedans noſtre ignorance, Ie ne delaiſſe pas pauure Roy, de ſentir, On dit que le bon ſang ne peut iamais mentir, La mort qui te tallonne, & plaindre pitoyable, Et ton Empire heureux & ta ſin miſerable.	Et dardent sur nos chessés les flèches du trépas Et quand nous les sentons nous ne les voyons pas Tant nous sommes pipés d'une vaine apparence Qi nous tient aveuglez dedans notre ignorance, Je ne délaisse pas pauvre Roi, de sentir, On dit que le bon sang ne peut jamais mentir, La mort qui te tallonne, et plaindre pitoyable, Et ton Empire heureux et ta sin misérable.
Et voir tant de guerriers aux combats valeureux Vomir deſſus la terre & leur ſang genereux, Et leur ame & leur vie, & voir encore Troye, Tes biens & ton honneur aux ennemis en proye » Les choſes ont leurs temps, la ſeule deïte 2 Meſure ſes ſaiſons de ſon eternité, " Mais le monde eſt enclos des bornes de nature " Finy, mixtionné & qui touſiours ne dure.	Et voir tant de guerriers aux combats valeureux Vomir dessus la terre et leur sang généreux, Et leur âme et leur vie, et voir encore Troie, Tes biens et ton honneur aux ennemis en proie " Les choses ont leurs temps, la seule déité 2 Mesure ses saisons de son éternité, " Mais le monde est enclos des bornes de nature " Finy, mixtionné et qui toujours ne dure.
De la vient que ſouuent les Princes & les Ro Les Royaumes collez par le ciment des loix Qui en proſperité ont veſcu tant d’annees, En vn petit moment ſentent leurs deſtinees, Et comme gens âgez ſe rangent à leur ſin Et quittent leur Demon qui guidoit leur deſtin, Les Troyens maintenant ſentent leur fin ſupré me Les Gregeois quelque iour la ſentiront de meſme.	De la vient que souvent les Princes et les Ro Les Royaumes collés par le ciment des lois Qui en prospérité ont vécu tant d'années, En un petit moment sentent leurs destinées, Et comme gens âgé se rangent à leur sin Et quittent leur Démon qui guidait leur destin, Les Troyens maintenant sentent leur fin supré me Les Grègeais quelque jour la sentiront de même.
Car tous deux ont ſailly l’vn d’auoir ſans raiſon Outragé vn mary iuſques dans ſa maiſon, L’autre d’auoir perdu vne ſi belle ville Et preſque des Troyens aboli la famille, 9 Heureux l'homme qui ſuit les pas de la verta 21 Aulieu des beaux habits d’innocence veſtu, " Qui ne faict tort aux ſiens, tourmenté d’auart „ Mais reluit de ſimpleſſe & reiette le vice, " Qui meurt ſans deſplaiſir & va dedans les Cie " Marger de l’Ambroſie à la table des dieux,	Car tous deux ont sailly l'un d'avoir sans raison Outragé un mari jusques dans sa maison, L'autre d'avoir perdu une si belle ville Et presque des Troyens aboli la famille, 9 Heureux l'homme qui suit les pas de la verta 21 Aulieu des beaux habits d'innocence vêtu, " Qui ne fait tort aux siens, tourmenté d'avart „ Mais reluit de simplesse et rejet le vice, " Qui meurt sans déplaisir et va dedans les Cie " Marger de l'Ambrosie à la table des dieux,
Pryam.	Priam.
Pyrrhus.	Pyrrhus.
Pryam.	Priam.
Ve de ſang reſpandu, que de ſeux allumez Voy-ie autour de mes yeux, que de corps cο̃ar ie ſeu par le ſer:	Ve de sang répandu, que de seux allumés Vois-je autour de mes yeux, que de corps carque r par le ser:
ceſt eſtrage carnage (ſommez Eſtonne ma vieilleſſe, & trouble mon courage, Et bien que les vieillards ſouuent ne craignent riẽs, ay grand peur de ma vie & du ſalut des miens.	cest étrage carnage (sommez Étonne ma vieillesse, et trouble mon courage, Et bien que les vieillards souvent ne craignent riẽs, ai grand peur de ma vie et du salut des miens.
Quãd ie voy ces grãds ſeux en pointes ondoyãtes Emb aſer les maiſons & les terres beantes, Et iuſqu’aux ſondemens les murailles raſer, Et ſe grimper en l’air à fin de l’enbraſer, le pure oun in puue iammnine ronde, Qui doit perir par ſeu comme elle a fait par l’onde Puis i’ay au lieu de mes premieres actions lu cœur & en l’eſprit de ſortes paſſions uai m’oſtant la raiſon, l’eſboir, & le courage uand ie voy du treſpas le foudroyant viſage Lrſanglanté de meurtre, & quand ie voy auſſi Ces bourre aux çar naciers nous tuer ſans mercy Jmmoler noſtre vic a Pluton pour victime, Et aſſouuir leur cœu que la vengeance anime, Mais o grand Jupiter comment tay-ie offencé Pour eſtre ſi tres ſort contre moy courroucé, Et me ſaire ſouffrir las!	Quant ie voy ces grands savoir en pointes ondoyãtes Emb aser les maisons et les terres béantes, Et jusqu'aux sondements les murailles raser, Et se grimper en l'air à fin de l'enbraser, le pure oun in puve jamnine ronde, Qui doit périr par seu comme le a fait par l'onde Puis j'ai au lieu de mes premières actions lu cœur et en l'esprit de sortes passions ôtant la raison, esboir, et le courage uand ie du trépas le foudroyant visage Lrsanglanté de meurtre, et quand ie aussi Ces bourre aux çar naciers nous tuer sans mercy Jmmoler nôtre vic a Pluton pour victime, Et assouuir leur que la vengeance anime, Mais ô grand Jupiter comment tai-ie offencé Pour être si très sort contre moi courroucé, Et me zaïre souffrir las!
apres tant d’annces Qe i’ay regné en palx, ces dures deſtinees, Qimi ſroiſſent la teſte & renuerſent à bas Tant de nobles citez qui baiſeroyent tes pas, Adoreroyeat ta ſace, & aux peuples eſt anges Doigneux, enuoyeroyent tes diuines loüanges Lar ceux qui ſont la bas enuironnez d'horreur vni garde de cbanter l’hymne de ton bonneur	après tant d'années Qe j'ai régné en palx, ces dures destinées, Qimi sroissent la tête et renversent à bas Tant de nobles cités qui baiseraient tes pas, Adoreroieat ta sace, et aux peuples est anges Doigneux, enuoyeroyent tes divines louanges Lar ceux qui sont la bas environnés d'horreur uni garde de cobanter l'hymne de ton bonneur
Si ceſt toy Iupiter qui prends les Roys en garde Comme images de toy, ie te ſapply regarde L’eſtat de ma ſortune, & qu'apres taut d’enſants Tant de bieas taut d’bonneurs, iuſlement triompha De ceux la dont le tort a fait perdre la vie Ie me voy accable d’vne peine in fiuie, Bien que i’aye touſiours eat e tous les mortels Reuere tus grandeurs frequenté tes autels.	Si cest toi Jupiter qui prends les Rois en garde Comme images de toi, ie te sapply regarde L'état de ma sortune, et qu'après taut d'ensants Tant de bieas taut d'bonneurs, iuslement triompha De ceux la dont le tort a fait perdre la vie Je me vois accable d'une peine in fivie, Bien que j'aie toujours ébat éle tous les mortels Revère tus grandeurs frequenté tes autels.
Helas!	Hélas!
quel fier deſtin, quelle eſtrange aduãtur Sur la ſia de mon aage attaque ma nature, Las quand il a ſalla que plein d'ans & d’humeuri Qui corrompent mes ſeus & alterent mes mœurs De mes yeux chaſſieux ie viſſe en ma preſence Mourir mon ſits Hector l’eſpoir de ma deſence, Violer ma caſſandrt, & violer encor Le ſainct droit d’hoiellage à fin d’auoir de l’or, Et viſſe au Periode extreme de ma vie, Un acte helai!	quel fier destin, quelle étrange aduãtur Sur la zia de mon âge attaque ma nature, Las quand il a salla que plein d'ans et d'humeuri Qui corrompent mes zeus et altèrent mes mœurs De mes yeux chassieux ie visse en ma présence Mourir mon sits Hector l'espoir de ma désence, Violer ma cassandrt, et violer encor Le saint droit 'hoilage à fin d'avoir de l'or, Et visse au Periode extrême de ma vie, Un acte hélai!
remply de haine & de ſurie, Qui me groſſit le cœur emtombe de ſoucy, Et ne pardonne aux pleurs ny au courroux auſſi:	rempli de haine et de surie, Qui me grossit le cœur emtombe de souci, Et ne pardonne aux pleurs ici au courroux aussi:
Bons dieux pour vn tel meurtre accõply par malia Reçoiue ce meſchant de vos mains le ſupplice, Egal à ſon forfait, ſi encor daus les cieux Regne quelque pitie dedans le cœur des dieux, Et puis qu’il m’a faict voir de mon fils le carnage, Et de ſa mort cruelle enlaidy mon viſage D’Aibiles dont a tort tu te dis eſtre yſſu Ie n’ay iamais viuant tant d’iniures reçeu, Que de toy homicide, aius d’un cœur ſans cautelle Il c’eſt touſiours monſtre droicturier & fidelle Gardant ſa ſoy Premiſe alors qu’il me rendit La charongne d’Hector que ſa main me perdit.	Bons dieux pour un tel meurtre accõply par malia Reçoive ce méchant de vos mains le supplice, Égal à son forfait, si encor daus les cieux Regne quelque pitié dedans le cœur des dieux, Et puis qu'il m'a fait voir de mon fils le carnage, Et de sa mort cruelle enlaidi mon visage D'Aibiles dont a tort tu te dis même issu Ie n'ai jamais vivant tant d'injures reçu, Que de toi homicide, aius d'un cœur sans cautelle Il c'est toujours monstre roiturier et fidèle Gardant sa soi Premise alors qu'il me rendit La charongne Hector que sa main me perdit.
Pyrrhus.	Pyrrhus.
Ta radottes vieillard:	Ta radottes vieillard:
tant de voix eſtanceer	tant de voix étanceer
Et de toy-meſme auſſi, car quoy qu’vn pere ſace Il porteſur ſon dos les fautes de ſa race.	Et de toi-même aussi, car quoi qu'un père sace Il portesur son dos les fautes de sa race.
