Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
DEM.	DEM.
Ainſi puiſſe-t’il arriuer, & auſſi promptemet que le le dente.	Ainsi puisse-t-il arriver, et aussi promptemet que le le denté.
mais ce h’eſt pas le tout, ſçais-tu que i’ay reſolu de faire?	mais ce h'est pas le tout, sais-tu que j'ai résolu de faire?
MOR.	MÓR.
Nenny, ſi vous ne me l’apprenez.	Nenni, si vous ne me l'apprenez.
DEM.	DEM.
C’eſt que ne pouuant me venger de l’Oreade en ſa perſonne, à cauſe que ſon bon G enie la preſerue de tous les outrages qu’õ luy machine, ie veux l’affliger en tout ce qui depend d’elle & des ſiens.	C'est que ne pouvant me venger de l'Oreade en sa personne, à cause que son bon G enie la preserve de tous les outrages qu'on lui machine, je veux l'affliger en tout ce qui dépend d'elle et des siens.
A cet effet ie me ſuis aduiſé de faire venir vne troupede loups qui ne deuorẽt pas ſeulement tous ſes troupeaux, mais encor ceux des Bergers & Bergeres de cette contree qui luy rendẽt obeiſſance.	À cet effet ie me suis avisé de faire venir une troupede loups qui ne deuorẽt pas seulement tous ses troupeaux, mais encor ceux des Bergers et Bergères de cette contrée qui ont rendent obéissance.
Suy-moy donc, Moroſophe, nous n'irons pas plus loing qu’au ſommet de la montagne prochaine, pour y faire nos inuocations aux eſpris infernaux;	Sui-moi donc, Morosophe, nous n'irons pas plus loin qu'au sommet de la montagne prochaine, pour y faire nos invocations aux épris infernaux;
& ie m’aſſeure que la choſe reuſſira ſelon mon deſir.	et petit m'assure que la chose réussira selon mon désir.
MOR.	MÓR.
Qu’eſt ce la, mon Maiſtre, ie croy que deſià vous les auez appellez?	Qu'est ce la, mon Maître, je crois que déjà vous les avez appelez?
Vertu bleu que de loups!	Vertu bleu que de loups!
ils accourent à troupes.	ils accourent à troupes.
Tironsnous à l’eſcartie vous prie, & leur laiſſons faire la charge à laquelle ils ſont deputés.	Tironsnous à l'écartie vous prie, et leur laissons faire la charge à laquelle ils sont députés.
Car i’ay belle peur qu’apres auoir mangé les moutons, ils ne ſe iettent en fin ſur les veaux.	Car j'ai belle peur qu'après avoir mangé les moutons, ils ne se jettent en fin sur les veaux.
343 C’eſt pourquoy, ſi vous me voulez croire vous ſerez le premier à vous retirer.	343 C'est pourquoi, si vous me voulez croire vous serez le premier à vous retirer.
SCENE VI.	SCÈNE VI.
ARONTHE;	ARONTHÉ;
LE COEVR DES BERGERS.	LE COUR DES BERGERS.
L'OREADE, PHILODICE,	L'ORÉADE, PHILODICE,
L’OREADE.	L'ORÉADE.
DLus ie penſe à la perte de mon Pyrandre, I plus mes yeux reſpandent de pleurs & mon cœur de ſouſpirs.	DLus ie pense à la perte de mon Pyrandre, I plus mes yeux répandent de pleurs et mon cœur de soupirs.
Las!	Las!
on tient que la Nymphe Biblis eſpancha iadis tant del armes, queles Dieuxtouchezde pitié desõ mal, la changerent en vne fontaine qui retient encore ſon nom.	on tient que la Nymphe Biblis épancha jadis tant de armes, queles Dieuxtouchezde pitié des mal, la changèrent en une fontaine qui retient encore son nom.
Ah!	Ah!
que ie ſerois heureuſe ſi l’amertume de ma peine auoit maintenãt le pouuoir d’eſmouuoir les diuinitez à me trans-former en ruiſſeau!	que ici serais heureuse si l'amertume de ma peine avait maintenant le pouvoir d'esmouuoir les divinités à me trans-former en ruisseau!
Mon onde ne ſeroit nullement pareſſeuſe, ains elle teſmoigneroit à iamais par ſon doux murmure.	Mon onde ne serait nullement paresseuse, ains elle témoignerait à jamais par son doux murmure.
combien eſt grand le regret que me cauſe la perte de mon fidelle Berger.	combien est grand le regret que me cause la perte de mon fidèle Berger.
O cruelle ſeparation que tu m’apportes d’ennuys!	Ô cruelle séparation que tu m'apportes d'ennuis!
Helas ma chere Philodice que ie ſuis affligee!	Hélas ma chère Philodice que je suis afflige!
Que ſera-ce de moy s’il faut que ie viue encore long temps?	Que sera-ce de moi s'il faut que je vive encore long temps?
PHIL.	PHIL.
344 Il faut que la raiſon ait plus de pouuoir?	344 Il faut que la raison ait plus de pouvoir?
vous conſoler que la triſteſſe de force a violẽter voſtre ame d’vne infinité de regrets & d’ennuys, ceſte conſideration vous doit cõſoler;	vous consoler que la tristesse de force a violer votre âme d'une infinité de regrets et d'ennuis, cette considération vous doit consoler;
D’ailleurs que tous vos ſouſpirs & vos pleurs, ne redonneront pas la vie au deſaſtré Pyrandre.	D'ailleurs que tous vos soupirs et vos pleurs, ne redonneront pas la vie au désastré Pyrandre.
Croyez-moy, ma Deeſſe, les Parques ne filent nos iours qu’vne fois, & depuis qu’on a trauerſé l’Acheron, il ne laut pas penſer d’aborder iamais plus à la riue, quelque priere qu’on en faſſe à Charon	Croyez-moi, ma Déesse, les Parques ne filent nos jours qu'une fois, et depuis qu'on a traversé l'Acheron, il ne laut pas penser d'aborder jamais plus à la rive, quelque prière qu'on en fasse à Charon
L’OR.	L'OR.
Voyla pourquoy ie me pleints ainſi ſans eſpoir de ſecours, eſtant bien certaine de ne reuoir iamais mõBerger iuſqu’à ce que mon corps ſera la deſpouïlle d’vn froid tumbeau, mais helas!	Voilà pourquoi On me pleins ainsi sans espoir de secours, étant bien certaine de ne revoir jamais monBerger jusqu'à ce que mon corps sera la dépouille d'une froid tombeau, mais hélas!
fay que ce ſoit au plutoſt ô chere Atropos;	fais que ce soit au plutôt ô chère Atropos;
Ie t’en coniure, s’il eſt ainſi que tu ſois tant ſoit peu ſenſible à pitié, toy diſ-ie queles mortels appellent inexorable.	Je t'en conjure, s'il est ainsi que tu sois tant soit peu sensible à pitié, toi dis-je queles mortels appellent inexorable.
PHIL.	PHIL.
Ie vous ay deſià dict, ma Deeſſe, qu’en vain vous reſpendez tant de larmes quiſont, à la verité des grands teſmoignages de l’amour que vous portiez à Pyrandre, mais qui ne peuuent de rien ſeruir maintenant qu’à troubler le repos de ſa belleamequi ſe pourmenle aux chãps Eliſees:	Je vous ai déjà dit, ma Déesse, qu'en vain vous respendez tant de larmes quisont, à la vérité des grands témoignages de l'amour que vous portiez à Pyrandre, mais qui ne peuvent de rien servir maintenant qu'à troubler le repos de sa belleamequi se pourmenle aux chansps Élise:
Car il ne faut point douter que vous ayãt aimée il ne peut vous ouyr ainſi pleindre ſans eſtre beaucoup eſmeu.	Car il ne faut point douter que vous ayant aimée il ne peut vous ouïr ainsi pleindre sans être beaucoup ému.
Et certes il me ſemble qu’eſtant tou345 ché devos peines il vous dit mentalemẽt ces paroles pour vous conſoler en voſtre dueil.	Et certes il me semble qu'étant tou345 ch os peines il vous dit mentalement ces paroles pour vous consoler en votre deuil.
Belle & vertueuſe Oreade, en qui ie ſoulois viure autresfois, ceſſez, ma chere Nymphe, ceſſez de me regretter.	Belle et vertueuse Oreade, en qui ie soulois vivre autrefois, cessez, ma chère Nymphe, cessez de me regretter.
Ie ſuis aſſés ſatisfait de voſtre amitié, & ne ſçay que trop que ce n’a point eſté voſtre legere creance qui m’a fait quitter le monde, mais l’arreſt de la prouidence diuine, voyant bien que ſi i’y fuſſe demeuré plus long temps i’euſſe poſſible cõmis des pechez capables deme priuer de la Beatitude de laquelle ie ſuis iouïſſant à preſent:	Je suis assez satisfait de votre amitié, et ne sais que trop que ce n'a point été vôtre légère créance qui m'a fait quitter le monde, mais l'arrêt de la providence divine, voyant bien que si j'y fusse demeuré plus long temps j'eusse possible cõmis des péchés capables de priver de la Béatitude de laquelle ie suis jouissant à présent:
c’eſt pourquoy, ſi vous cheriſſez mon repos retenez ie vous prie ces larmes, qui ſeules peuuent amoindrir le parfaict con tentement que m’apporte la contemplation du ſouuerain bien.	c'est pourquoi, si vous chérissez mon repos retenez croire vous prie ces larmes, qui seules peuvent amoindrir le parfait con tentement que m'apporte la contemplation du souverain bien.
N’eſtimez pas auſſi que la diſtance des lieux me ſepare de vous.	N'estimez pas aussi que la distance des lieux me sépare de vous.
Non non, vous m’eſtes touſiours preſente, vos belles actions ne me ſont aucunement inconnues.	Non non, vous m'êtes toujours présente, vos belles actions ne me sont aucunement inconnues.
Ie vous voy, ie vous admire, & vous contemple ſans ceſſe dans le miroir de la ſacree diuinité.	Je vous vois, Madame vous admire, et vous contemple sans cesse dans le miroir de la sacre divinité.
Voylà ma belle Oreade, comme l’eſprit de voſtre Pirandre parle à vous ſans que vous l’entendiez.	Voilà ma belle Oreade, comme l'esprit de votre Pirandre parle à vous sans que vous l'entendiez.
L’OR.	L'OR.
Que pleuſt aux Dieux, Philodice, que ce recit fuſt auſſi veritable en effet comme vous me le figurez en idee.	Que plût aux Dieux, Philodice, que ce récit fût aussi véritable en effet comme vous me le figurez en idée.
Ah!	Ah!
que ie ſerois heureuſe ſi les immortels me faiſoient cette grace que de pouuoir encore vne fois en ma vie ouir cette douce voix, de meſme que vous la repreſenter!	que ici serais heureuse si les immortels me faisaient cette grâce que de pouvoir encore une fois en ma vie ouïr cette douce voix, de même que vous la représenter!
Mais las!	Mais las!
c’eſt en vain que ie ſouhaitte vn bien qui ne m’aduiendra lamais.	c'est en vain que Dieu souhaite un bien qui ne m'adviendra lamais.
PHIL.	PHIL.
Quoy, ma Deeſſe, vous ne croyez donc pas que la benonme voue pairciocout maintenant par l’organe de ma bouche?	Quoi, ma Déesse, vous ne croyez donc pas que la bénonme voue pairciocout maintenant par l'organe de ma bouche?
L’OR.	L'OR.
Comment ſeroit-il poſible?	Comment serait-il posible?
o que i’ay bien de la peine à le croire!	ô que j'ai bien de la peine à le croire!
PHIL.	PHIL.
N’en doutés point, ma belle, c’eſt vne choſe certaine, & laquelle ie m’en vay vous preuuer par des bones d fumtalites raiſons.	N'en doutez point, ma belle, c'est une chose certaine, et laquelle homme m'en vais vous preuver par des bones d umtalites raisons.
Premieremẽt vous ne mettez point en doute l’affection qu’il vous porte	Premièrement vous ne mettez point en doute l'affection qu'il vous porte
L'OR.	L'OR.
N’enny, ſi mon inconſtance, & le mauuais!	N'enni, si mon inconstance, et le mauvais!
traittement que ie luy puis auoir fait ne l’en ont deſtourné.	traitement que ie cy puis avoir fait ne l'en ont détourné.
PHIL.	PHIL.
N’ayez point de peur que cela ſoit.	N'ayez point de peur que cela soit.
Car voyant maintenant la realité de toutes les choſes, tant paſſees que preſentes, dans le miroir de la Diuinité, il y void auſſi comme voſtre faute a eſté commiſe, par la tromperie de Demonace, ſi bien qu’il vous excuſe au lieu de vous accuſer, ſçachez bien qu’il n’eſt rien ſi ſenſible à la fille vertueuſe que l’iniure faicte à ſon honneur.	Car voyant maintenant la réalité de toutes les choses, tant passées que présentes, dans le miroir de la Divinité, il y voit aussi comme votre faute a été commise, par la tromperie de Démonace, si bien qu'il vous excuse au lieu de vous accuser, sachez bien qu'il n'est rien si sensible à la fille vertueuse que l'injure faite à son honneur.
Que s’il vous excuſe en cognoiſſant voſtre innocence, il eſt certain qu’il perſiſte à vous aimer.	Que s'il vous excuse en connaissant votre innocence, il est certain qu'il persiste à vous aimer.
Et parainſi c’eſt vne choſe impoſſible que 347 ros regrets ne luy ſoiẽt autãt de ſubiects de faſcherie.	Et parainsi c'est une chose impossible que 347 ros regrets ne lui soient autant de sujets de fâcherie.
Deſiſtés vous donc, ma belle Oreade, de vous affliger ainſi, & ne troublez pas dauantage ſon repos.	Désistez -vous donc, ma belle Oreade, de vous affliger ainsi, et ne troublez pas davantage son repos.
Il vous en coniure encore derechef par ma bouche, laquellet, comme i’ay d’eſia dict, il a priſe pour ſon organe, comme iugeant bien, que ſes prieres eſtãt par moy proferees vous ſeroiẽt plus agreables que par autruy, pour l’honneur que vousme faites de m’aimer en particulier.	Il vous en conjure encore derechef par ma bouche, laquellet, comme j'ai d'esia dit, il a prise pour son organe, comme jugeant bien, que ses prières étant par moi profères vous seraient plus agréables que par autrui, pour l'honneur que vousme faites de m'aimer en particulier.
Le plus grand bien que vous puiſſiez faire deſormais pour luy, ce ſera de cõſeruer la memoite, ceu eneuer les perlections ſelon leur merite, toutes les fois que l’occaſion s’en preſentera.	Le plus grand bien que vous puissiez faire désormais pour lui, ce sera de conserver la mémoite, ceu eneuver les perlections selon leur mérite, toutes les fois que l'occasion s'en présentera.
L’OR.	L'OR.
Cela m’eſtaſſez recommandable, & ie ſerois bien faſchee iſi durant tout le cours de ma vie i’auois failly de raconter au long l’hiſtoire perdurable de ſes vertus.	Cela m'étassez recommandable, et votre serais bien fâchée izy durant tout le cours de ma vie j'avais failli de raconter au long l'histoire perdurable de ses vertus.
Ie te fay cette promene, beſſe Ame, que ie tiendray pour inuiolable à iamais, puis que tu m’as faict entendre que mes regrets ne te ſont aucunement agreables.	Je te fais cette promène, besse Ame, que sans tiendrai pour inviolable à jamais, puis que tu m'as fait entendre que mes regrets ne te sont aucunement agréables.
PHIL.	PHIL.
Prenez courage, ma Deeſſe, leuez-vous, ſechez vos larmes.	Prenez courage, ma Déesse, levez-vous, séchez vos larmes.
Car voicy venir à nous vne trouppe de Bergers.	Car voici venir à nous une troupe de Bergers.
L'OR.	L'OR.
ò Dieux;	§ Dieux;
qu’eſt-ce qu’ils me viennent encore troubler?	qu'est-ce qu'ils me viennent encore troubler?
Ils accourent ſans doute pour m’importuner de quelque choſe:	Ils accourent sans doute pour m'importuner de quelque chose:
mais ils s’en retourneroiẽt bien viſte s’ils ſçauoiẽt de deplainr qu'iis me ront.	mais ils s'en retourneraient bien vite s'ils savaient dé plain qu'iis me ront.
PHIL.	PHIL.
Il n’y a remede, ençore eſtes vous obligee de les oüyr eſtant leur Dame & Maiſtreſſe.	Il n'y a remède, ençore êtes vous oblige de les ouïr étant leur Dame et Maîtresse.
C’eſt poſſible quelque differant qu’ils ont enſemble:	C'est possible quelque différant qu'ils ont ensemble:
car ie voy Aronthe qui marche deuant, & qui par ſes actions ſemble debattre de quelque choſe auec eux.	car personne vois Aronthe qui marche devant, et qui par ses actions semble débattre de quelque chose avec eux.
Aronthe parle à l'Oreade au nom de la trouppe	Aronthe parle à l'Oreade au nom de la troupe
Vous ſçauez, ma belle Oreade, que c’eſt vne loy que les Magiſtrats ont de tout tẽps obſeruee, lors qu’il ſuruient quelque affaire d’importãce à vne principauté, de s’y en aller eux-meſmes en propre perſõne, ou bien d’y enuoyer des Ambaſſadeurs exprez pour en aduertir leur ſouuerain Prince.	Vous savez, ma belle Oreade, que c'est une loi que les Magistrats ont de tout temps observée, lors qu'il survient quelque affaire d'importance à une principauté, de s'y en aller eux-mêmes en propre personne, ou bien d'y envoyer des Ambassadeurs exprez pour en avertir leur souuerain Prince.
Suiuans donc cette ancienne couſtume, nousvenons maintenant à vous, comme à noſtré Dame & Maiſtreſſe, pour vous dõner aduis du malheur qui nous eſt arriué depuis peu, lequel nous afflige fort, ſans que nous puiſſions y apporter de remede, C’eſt que nous ſommes tellement trauaillez nous & nos troupeaux par vne certaine eſpece d’animaux preſqueſemblables auxloups (excepté qu’ils ſont vn peu plus grands) qu’il nous eſt impoſſible de plus reſiſter à leur rage.	Suivant donc cette ancienne coutume, nousvenons maintenant à vous, comme à nostré Dame et Maîtresse, pour vous donner avis du malheur qui nous est arrivé depuis peu, lequel nous afflige fort, sans que nous puissions y apporter de remède, C'est que nous sommes tellement travaillez nous et nos troupeaux par une certaine espèce d'animaux presquesemblables auxloups (excepté qu'ils sont un peu plus grands) qu'il nous est impossible de plus résister à leur rage.
De ſorte que nous auons eſté contraincts d’aller conſulter l’oracle du demy-Dieu Ideon, lequel nous a dit ces vers pour reſponſe.	De sorte que nous avons été contraints d'aller consulter l'oracle du demi-Dieu Idon, lequel nous a dit ces vers pour réponse.
Paſteurs Olympiens, le mal qui vous oppreſſe Ne prendra point de fin que par voſtre maiſtreſſe, Allez donc la prier qu'elle faſſe cercher Vn Berger vertueux que le Ciel a fort cher, Sa demeure est dans l’iſle, où l’on voit la figure du iuyadapaaeai Mautenaat.	Pasteurs Olympiens, le mal qui vous oppresse Ne prendra point de fin que par votre maîtresse, Allez donc la prier qu'elle fasse cercher Un Berger vertueux que le Ciel a fort cher, Sa demeure est dans l'Île, où l'on voit la figure du iuyadapaaeai Mautaat.
Tellement queſuiuant ceſte reſponce nous ſommes venus vers vous pour vous prier d’e ſlire celuy des noſtres que bon vous ſemblera pour s’en aller iuſques en l’Iſle Ofiuze, où ce Berger fauory des Dieux faict ſa demneure, amirde le tappuer de vottre part de nous venir deliurer du degaſt general que nous font ces animaux rauiſſans.	Tellement quesuiuant cette réponce nous sommes venus vers vous pour vous prier d'e slire celui des nôtres que bon vous semblera pour s'en aller jusques en l'Île Ofivze, où ce Berger favori des Dieux fait sa demneure, amirde le tappuer de vottre part de nous venir délivrer du dégât général que nous font ces animaux ravissants.
L'OR.	L'OR.
0 Vrayement, Bergers, vous me comptez vne choſe bien eſtrange, & de laquelle ie n’auois encore rien ouy dire.	0 Vrayement, Bergers, vous me comptez une chose bien étrange, et de laquelle esprit n'avais encore rien ouï dire.
Mais quoy ces beſtes font elles bien autant de mal comme vous me donnez à entendre?	Mais quoi ces bêtes font elles bien autant de mal comme vous me donnez à entendre?
LE CHOEVR.	LE CHOEUR.
Encore bien plus, iuſques à ſe ruer tous les iours ſur nos troupeaux, du nombre deſquels elles ont rauy beaucoup de cheures & de moutons.	Encore bien plus, jusqu' à se ruer tous les jours sur nos troupeaux, du nombre desquels elles ont ravi beaucoup de chèvres et de moutons.
LOR.	LOR.
Il eſt doncques temps d’y donner ordre ſans vſer de plus long delay.	Il est donc temps d'y donner ordre sans user de plus long délai.
Mais qui ſera celuy de vous autres que nous deputerons à la recherche de cet heureux Berger.	Mais qui sera celui de vous autres que nous députerons à la recherche de cet heureux Berger.
LE-CHOEVR.	LE-CHOEUR.
s’il eſt ainſi que noſtre eſlection vous ſemble bonne, nous auons y appelle deſià d’vn commun accord le Berger Aronthe que voicy, comme eſtant le ſeul des noſtres qui peut mieux s’acquitter de cette charge.	s'il est ainsi que notre élection vous semble bonne, nous avons y appelle déjà d'un commun accord le Berger Aronthe que voici, comme étant le seul des nôtres qui peut mieux s'acquitter de cette charge.
L’OR.	L'OR.
Pour moy ie ſuis fort contante qu’il s’y en aille, pourueu qu ily conſente de meſme.	Pour moi vie suis fort contante qu'il s'y en aille, pourvu qu' y consente de même.
ARON.	ARON.
Vous me faictes trop d’hõneur ma Deeſſe enſemble cette honnorable trouppe, de me lugel capabie d'vne ahaie de il grande importance, à laquelle ie me porteray auec autant de courage que d’affection.	Vous me faites trop d'honneur ma Déesse ensemble cette honorable troupe, de me lugel cabie d'une ahaie de il grande importance, à laquelle ie me porterai après autant de courage que d'affection.
L’OR.	L'OR.
Mais à tout le moins eſtes-vous bien aſſeurée, que ce Berger ſe tient en l’Iſle Ophiuze?	Mais à tout le moins êtes-vous bien assurée, que ce Berger se tient en l'Île Ophivze?
dieelo Ce qui nous en donne vn teſmoignage certain, c’eſt qu’en ce ſeul lieu ſe treuue la ſtatue du Soleil qu’on nomme coloſſe.	dieelo Ce qui nous en donne un témoignage certain, c'est qu'en ce seul lieu se trouve la statue du Soleil qu'on nomme colosse.
L’OR.	L'OR.
Allez donc, Aronthe, les Dieux vous veuïllent bien conduire.	Allez donc, Aronthe, les Dieux vous veuïllent bien conduire.
SCENEVII.	SCENEVII.
& derniere.	et dernière.
DEMONACES ET MOROSOPHE.	DEMONACES ET MOROSOPHÉ.
MOROSOPHE.	MOROSOPHÉ.
E ne penſe pas qu’il y ait homme dans Tle monde plus eſtonné que ie ſuis, de ce que ie viens de voir nagueres.	ET ne pense pas qu'il y ait homme dans Tle monde plus étonné que je suis, de ce que ie viens de voir naguères.
Car qui pourroit croire que la honte & le de plaiſir faict à vne perſonne euſt eſté cauſe de ſa plus grande gloire:	Car qui pourrait croire que la honte et le de plaisir fait à une personne eût été cause de sa plus grande gloire:
& l’euſt mis plus que iamais en credit?	et l'eût mis plus que jamais en crédit?
C’eſt merueille ſi quelqu'vn ſe laiſ ſe gaigner à cette creance, ou bien il faut neceſſairement qu’il ait vne opinion beaucoup differ ente de celle du vulgaire, eſtimãt que le feu refroidiſſe, & que la glace ait la proprieté d’eſchauffer.	C'est merveille si quelqu'un se lais se gagner à cette créance, ou bien il faut nécessairement qu'il ait une opinion beaucoup differ ente de celle du vulgaire, estimant que le feu refroidisse, et que la glace ait la propriété d'échauffer.
O merueille moins croyable que vray-ſemblable!	Ô merveille moins croyable que vrai-semblable!
Celuy qui s’eſtoit retiré tout triſte & deſeſperé dans vn pays eſtranger, en eſt reuenu maintenant comblé de bon heur & de ioye.	Celui qui s'était retiré tout triste et désespéré dans un pays étranger, en est revenu maintenant comblé de bon heur et de joie.
O la bonne choſe que c’eſt, d’eſtre aimé des Dieux, qui n’abandonnent iamais leurs amis au beſoin.	Ô la bonne chose que c'est, d'être aimé des Dieux, qui n'abandonnent jamais leurs amis au besoin.
Ils l’ont biẽ teſmoigné en laperſonne de cet heureux Berger;	Ils l'ont bienne témoigné en lapersonne de cet heureux Berger;
le rendant le plus contant homme du monde, 352 lors qu’il ſembloit auoir attaint au dernier poinct de ſon mal-heur.	le rendant le plus contant homme du monde, 352 lors qu'il semblait avoir attaint au dernier point de son malheur.
Quant à moy ie ſuis reſolu deſormais de faire tout mon poſſible pour me les rendre propices;	Quant à moi je suis résolu désormais de faire tout mon possible pour me les rendre propices;
& m’acquerir la bien-veuillance des Bergers.	et m'acquérir la bienveillance des Bergers.
Cela me ſera bien facile, attendu que n’agueres l’vn de leur troupe me feit l’honneur de me conuier à les aimer tous, lors que ie party d’auec eux pour m’en reuenir treuuer mon maiſtre.	Cela me sera bien facile, attendu que n'aguères l'un de leur troupe me fit l'honneur de me convier à les aimer tous, lors que vois parti d'avec eux pour m'en revenir trouver mon maître.
Tellement que ie ſuis reſolu d’abhorrer deſormais tout ce qui leur eſt deplaiſant.	Tellement que je suis résolu d'abhorrer désormais tout ce qui leur est déplaisant.
D’ailleurs, ſi toſt que i’auray raconté de point en point à mon maiſtre l’accident que ie viens de voir, ie promets & proteſte à leur ſacree Diuinité d’abiurer mon erreur, & de m’aller rendre dans vn lieu ſolitaire & deſert pour y paſſer le reſte de mes iours.	D'ailleurs, si tôt que j'aurai raconté de point en point à mon maître l'accident que sans viens de voir, ie promets et proteste à leur sacrée Divinité d'abjurer mon erreur, et de m'aller rendre dans un lieu solitaire et désert pour y passer le reste de mes jours.
Ah!	Ah!
pleuſt aux Dieux que i’y fuſſe deſià!	pleût aux Dieux que j'y fusse déjà!
Ie bruſle de deſir & d’impatience de voir cet heureux iour qui terminera mes malheurs.	Je brûle de désir et d'impatience de voir cet heureux jour qui terminera mes malheurs.
C’eſt pourquoy ie m’en vay de ce pas cercher mon maiſtre pour luy decouurir cette mienne reſolution.	C'est pourquoi Madame m'en vais de ce pas cercher mon maître pour lui découvrir cette mienne résolution.
Mais le voylà qui dort dans noſtre cauerne.	Mais le voilà qui dort dans notre caverne.
Hola mon maiſtre;	Holà mon maître;
eſueillez-vous;	éveillez-vous;
c’eſt aſſez dormy.	c'est assez dormi.
quelle nouueauté!	quelle nouveauté!
il eſt immobile, & ie croy qu’il ne ſe remuera point encore que ſur le tard ſi iene le touche.	il est immobile, et ainsi crois qu'il ne se remuera point encore que sur le tard si iene le touche.
Voy!	Voi!
qu’eſt-cecy?	qu'est-ceci?
eſt il mort ou bien a t’il mangé de la Mandragiee?	est il mort ou bien a -t-il mangé de la Mandragie?
Leuez-vous, mõ maiſtre, il en eſt temps.	Levez-vous, mon maître, il en est temps.
Quoy?	Quoi?
faut-il dormir lors qu’il	faut-il dormir lors qu'il
DEM.	DEM.
353 O Dieux que vous m’auez faict de plaifir de m’enuoyer eſueiller d’vn ſi peſant ſomme où i’eſtois plongé!	353 Ô Dieux que vous m'avez fait de plaisir de m'envoyer éveiller d'un si pesant somme où j'étais plongé!
ô que i’ay eſté en peine en dormant, & combien de phanvoumon le ſont apparus a moy:	ô que j'ai été en peine en dormant, et combien de phanvoumon le sont apparus à moi:
Mais c’eſt toy, Moroſophe, tu ſois le bien venu.	Mais c'est toi, Morosophe, tu sois le bien venu.
MOR.	MÓR.
Et vous le bien treuué.	Et vous le bien trouvé.
Qu’auiez-vous donc d’eſtre en ſi grand' peine & ſi troublé que vous dictes?	Qu'aviez-vous donc d'être en si grand' peine et si troublé que vous dites?
reſuiez-vous, ou quoy?	rêviez-vous, ou quoi?
DEM.	DEM.
Il me ſembloit voir dans vn cimetiere vne infinité de carcaſſes & d’oſſements de morts, d’où s’exhaloit vne puanteur intolerable, & comme ie fuyois pour n’en eſtre point infecté, i’ay fait rencontre de pluſieurs ombres eſpouuatubres qui me trauanloient fort lors que tu m’as eſueillé, ſi bien que tu m’as grandement obligé d’interrompre vn ſi triſte ſommeil.	Il me semblait voir dans un cimetière une infinité de carcasses et d'ossements de morts, d'où s'exhalait une puanteur intolérable, et comme assez fuyais pour n'en être point infecté, j'ai fait rencontre de plusieurs ombres espouuatubres qui me travanlaient fort lors que tu m'as éveillé, si bien que tu m'as grandement obligé d'interrompre un si triste sommeil.
MOR.	MÓR.
Vrayement vous auez faict vn eſtrange ſonge!	Vraiment vous avez fait un étrange songe!
Et quant à la repreſentation des carcaſſes de mort, ie croy biei que vous feſuiés;	Et quant à la représentation des carcasses de mort, je crois by que vous fesuiés;
mais pour celle des phantoſmes, ie tiens que c’eſtoit vne viſion que les Dieux ont voulu vous enuoyer, comme auant-coureurs de la punition de vos fautes.	mais pour celle des phantômes, on tiens que c'était toujours vision que les Dieux ont voulu vous envoyer, comme avant-coureurs de la punition de vos fautes.
DEM.	DEM.
A ce que ie voy, tu n’es gueres bien ver ſé aux ſecrets de nature, principalement en ce qui depend de la cognoiſſance des cauſes des ſonges.	À ce que je vois, tu n'es guère bien ver zé aux secrets de nature, principalement en ce qui dépend de la connaissance des causes des songes.
Mais ie m’en vay te retirer de cette ſuperſtition, affin que tu ne ſois plus effrayé deſormais, s’il aduient que tu faſſes de ſemblables ſonges.	Mais ici m'en vais te retirer de cette superstition, afin que tu ne sois plus effrayé désormais, s'il advient que tu fasses de semblables songes.
Sçaches donc que la cauſe naturelle du ſonge que ie viens de faire n’eſt autre ſinon, qu’eſtant extremement paſſionné des beautez de la Nymphe Oreade, mes pẽſees s’y ſont continuellemẽt attachees & mes eſprits auſſi cõme engendrez de la plus ſubtile partie de mõ ſang.	Saches donc que la cause naturelle du songe que ie viens de faire n'est autre sinon, qu'étant extrêmement passionné des beautés de la Nymphe Oreade, mes passées s'y sont continuellement attache et mes esprits aussi cõme engendrez de la plus subtile partie de mon sang.
Là ils ſe ſont consõmez & diſſipez de telle façon, qu’il n’eſt reſté que le sãg noir & groſſier.	Là ils se sont consõmez et dissipez de telle façon, qu'il n'est resté que le song noir et grossier.
D’où s’eſt enſuiuy que ie ſuis deuenu maigre, bleſme& melãcolique, d’autãt que humeur des melancoliques eſt multipliee par le ſang noir, ſec & groſſier.	D'où s'est ensui que je suis devenu maigre, blesmeet mélancolique, d'autant que humeur des mélancoliques est multiplie par le sang noir, sec et grossier.
Or eſt:	Or est:
il que cette humeur a ceſte proprieté, que par la force de ſes vapeurs, elle remplit la teſte, deſſeche le cerueau, & nous repreſente par conſequent en idee lors que nous ſommes endormis, mille choſes horribles & formidables.	il que cette humeur a cette propriété, que par la force de ses vapeurs, elle remplit la tête, desseche le cerveau, et nous représente par conséquent en idée lors que nous sommes endormis, mille choses horribles et formidables.
Mais cela n’arriue gueres bioiitieis qu'apres vne longue & violente paſſion d’Amour, qui depuis vn an en çà n’a ceſſé de me poſſeder.	Mais cela n'arrive guère bioiitie qu'après une longue et violente passion d'Amour, qui depuis un an en çà n'a cessé de me posséder.
Mais ie rends graces aux Dieux de ce que ie m’en ſuis tiré maintenant, changeant en haine ma paſſion.	Mais était rends grâces aux Dieux de ce que ie m'en suis tiré maintenant, changeant en haine ma passion.
MOR.	MÓR.
