AVEC PRIVILEGE DU ROY.	AVEC PRIVILÈGE DU ROY.
D.	D.
CARLOS.	CARLOS.
Cet elpoir eit bien doux, Momeur, à des cœurs offencez;	Cet ellepoir éit bien doux, Momeur, à des cœurs offensez;
mais aprés ce que je vous dois, ce me ſeroit une trop ſenſible douleur, que vous fuſſiez de la partie.	mais après ce que je vous dois, ce me serait une trop sensible douleur, que vous fussiez de la partie.
D.	D.
JUAN.	JUAN.
je luro n'attuene a Dequair, qu'il ne ſçauroit ſe battre que je ne me batte auſſi:	je luro n'attuène a Déquair, qu'il ne saurait se battre que je ne me batte aussi:
mais enfin j’en répons comme de moy-meſme, & vous n’avez qu’à dire quand vous voulez qu’il paroiſſe, & vous donne ſatisfaction.	mais enfin j'en réponds comme de moi-même, et vous n'avez qu'à dire quand vous voulez qu'il paraisse, et vous donne satisfaction.
D.	D.
CARLOS.	CARLOS.
Que ma deſtinée eſt cruelle!	Que ma destinée est cruelle!
faut-il que je vous doive la vie, & que D.	faut-il que je vous doive la vie, et que D.
Juan ſoit de vos amis?	Juan soit de vos amis?
SCENE IV.	SCÈNE IV.
2611 D.	2611 D.
ALONSE, &́ trois ſuivans.	ALONSE, et trois suivants.
D.	D.
CARLOS, D.	CARLOS, D.
JUAN, SGANARELLE.	JUAN, SGANARELLE.
D.	D.
ALONSE.	ÀLONSE.
Aites boire là mes chevaux, & qu’on les amep ne apres node, je veun dii peu inafcher à pied.	Aites boire là mes chevaux, et qu'on les âmep ne après node, je veun dii peu inafcher à pieds.
O Ciel, que vois-je icy?	Ô Ciel, que vois-je ici?
Quoy, mon frele, vous voila avec noſtre Ennemy mortel?	Quoi, mon frêle, vous voilà avec notre Ennemi mortel?
D.	D.
CARLOS.	CARLOS.
Noſtre Ennemy mortel ?	Notre Ennemi mortel ?
D.	D.
JUAN ſe reculant trois pas & mettant fierement la main ſur la garue ue jon épée.	JUAN se reculant trois pas et mettant fièrement la main sur la garue ue on épée.
Oüy, je ſuis D.	Oui, je suis D.
Juan moy-meſme, & l’avantuge du nomore ne mooiigela pas à vouſoir déguiſer mon nom.	Juan moi-même, et l'avantuge du nomore ne moloigela pas à vousoir déguiser mon nom.
D.	D.
ALONSE.	ÀLONSE.
Ah, traître, il faut que tu periſſe, &.	Ah, traître, il faut que tu périsse, et.
D.	D.
CARLOS.	CARLOS.
Ah, mon frere, arreſtez, je luy ſuis redevable de la vie, & ſans le ſecours de ſon bras j’aurois eſté tué par des voleurs que j’ay trouvez.	Ah, mon frère, arrêtez, je lui suis redevable de la vie, et sans le secours de son bras j'aurais été tué par des voleurs que j'ai trouvez.
D.	D.
ALONSE.	ÀLONSE.
Et voulez-vous que cette conſideration empeſche noſtre vengeance?	Et voulez-vous que cette considération empêche notre vengeance?
tous les ſervices que nous rend une main ennemie, ne ſont d’aucun merite pour engager noſtre ame, & s’il faut meſurer l’obligation à l’injure, voſtre reconnoiſſance, mon frere, eſt icy ridicule;	tous les services que nous rend une main ennemie, ne sont d'aucun mérite pour engager notre âme, et s'il faut mesurer l'obligation à l'injure, votre reconnaissance, mon frère, est ici ridicule;
& comme l’honneur eſt infiniment plus precieux que la vie, c’eſt ne devoir rien proprement, que d’eſtre redevable de ſa vie à qui nous à oſté l’honneur.	et comme l'honneur est infiniment plus précieux que la vie, c'est ne devoir rien proprement, que d'être redevable de sa vie à qui nous à ôté l'honneur.
D.	D.
CARLOS.	CARLOS.
Je ſçoy la difference, mon frere, qu’un Gentilhomme doit toûjours mettre entre l’un & l’autre, & la reconnoiſſance de l’obligation n’efface point en moy le reſſentiment de l’injure:	Je sais la différence, mon frère, qu'un Gentilhomme doit toujours mettre entre l'un et l'autre, et la reconnaissance de l'obligation n'efface point en moi le ressentiment de l'injure:
mais ſouffrez que je luy rende icy ce qu’il m’a preſté, que je m’acquitte ſur le champ de la vie que je luy dois par un delay de noſtre vengeance, & luy laiſſe la liberté de jouir durant quelques jours du fruit de ſon bienfait.	mais souffrez que je lui rende ici ce qu'il m'a prêté, que je m'acquitte sur le champ de la vie que je avait dois par un délai de notre vengeance, et lui laisse la liberté de jouir durant quelques jours du fruit de son bienfait.
D.	D.
ALONSE.	ÀLONSE.
Non, non, c’eſt hazarder noſtre vengeance que de la reculęr, & l’occaſion de la prendre peut ne plus revenir, le Ciel nous l’offre icy, c’eſt à nous d’en profiter Lors que l’honneur eſt bleſſé mortellement, on ne doit point ſonger à garder aucunes meſures, & ſi vous repugnez à preſter vôtre bras à cette action, vous n’avez qu’à vous rether, d faiſer à ma main la gloire d'un tel ſacrifice.	Non, non, c'est hasarder notre vengeance que de la reculęr, si vous occasion de la prendre peut ne plus revenir, le Ciel nous l'offre ici, c'est à nous d'en profiter Lors que l'honneur est blessé mortellement, on ne doit point songer à garder aucunes mesures, et si vous répugnez à prêter votre bras à cette action, vous n'avez qu'à vous rether, d ' à ma main la gloire d'un tel sacrifice.
D.	D.
CARLOS.	CARLOS.
De grace, mon frere.	De grâce, mon frère.
D.	D.
ALONSE.	ÀLONSE.
Tous ces diſcours ſont ſuperflus;	Tous ces discours sont superflus;
il faut qu’il meure.	il faut qu'il meure.
D.	D.
CARLOS.	CARLOS.
Arreſtez-vous, dis-je, mon frere, je ne ſouffriray point du tout qu’on attaque ſes jours, & je jure le Ciel que je le défendray icy contre qui que ce ſoit, & je ſçauray luy faire un rempart de cette meſme vie qu’il a ſauvée, & pour adreſſer vos coups, il faudra que vous me perciez.	Arrêtez-vous, dis-je, mon frère, je ne souffrirai point du tout qu'on attaque ses jours, et je jure le Ciel que je le défendrai ici contre qui que ce soit, et je saurai avoir faire un rempart de cette même vie qu'il a sauvée, et pour adresser vos coups, il faudra que vous me perciez.
D.	D.
ALONSE.	ÀLONSE.
D.	D.
ALONSE.	ÀLONSE.
Quoy vous prenez le party de noſtre Ennemy contre moy, & loin d’eſtre ſaiſi à ſon aſpect des meſmes tranſports que je ſens, vous faites voir pour luy des ſentimens pleins de douceur?	Quoi vous prenez le parti de notre Ennemi contre moi, et loin d'être saisi à son aspect des mêmes transports que je sens, vous faites voir pour lui des sentiments pleins de douceur?
D.	D.
CARLOS.	CARLOS.
Mon frere, montrons de la moderation dans une action legitime, & ne vangeons point noſtre honneur avec cét emportement que vous témoignez.	Mon frère, montrons de la modération dans une action légitime, et ne vengeons point notre honneur avec cet emportement que vous témoignez.
Ayons du cœur dont nous ſoyons les maîtres, une valeur qui n’ait rien de farouche, & qui ſe porte aux choſes par une pure deliberation de noſtre raiſon, & non point par le mouvement d’une aveugle colere.	Ayons du cœur dont nous soyons les maîtres, une valeur qui n'ait rien de farouche, et qui se porte aux choses par une pure délibération de notre raison, et non point par le mouvement d'une aveugle colère.
Je ne veux point, mon frere, demeurer redevable à mon Ennemy, & je luy ay une obligation dont il faut que je m’aquite avant toute choſe.	Je ne veux point, mon frère, demeurer redevable à mon Ennemi, et je lui ai une obligation dont il faut que je m'aquite avant toute chose.
Noſtre vangeance pour qué differée n’en ſera pas moins éclatante;	Notre vengeance pour qué différée n'en sera pas moins éclatante;
au contraire, elle en tirera de l’avantage, & cette occaſion de l’avoir pû prendre, la fera paroiſtre plus juſte aux yeux de tout le monde.	au contraire, elle en tirera de l'avantage, et cette occasion de l'avoir pu prendre, la fera paraître plus juste aux yeux de tout le monde.
D.	D.
ALONSE.	ÀLONSE.
O l’étrange foibleſſe, & l’aveuglement effroyable, d’hazarder ainſi les intereſts de ſon honneur pour la ridicule penſée d’une obligation chimerique !	Ô l'étrange faiblesse, et l'aveuglement effroyable, d'hasarder ainsi les intérêts de son honneur pour la ridicule pensée d'une obligation chimérique !
D.	D.
CARLOS.	CARLOS.
Non, mon frere, ne vous mettez pas en peine;	Non, mon frère, ne vous mettez pas en peine;
ſi je fais une faute, je ſçauray bien la reparer, & je me charge de tout le ſoin de noſtre honneur, je ſçay à quoy il nous oblige, & cette ſuſpenſion d’un jour que ma reconnoiſſance luy demande, ne fera qu’augmenter l’ardeur que j’ay de le fatisfaire.	si je fais une faute, je saurai bien la réparer, et je me charge de tout le soin de notre honneur, je sais à quoi il nous oblige, et cette suspension d'un jour que ma reconnaissance avait demande, ne fera qu'augmenter l'ardeur que j'ai de le satisfaire.
D.	D.
Juan, vous voyez que j’ay ſoin de vous rendre le bien que j’ay receu de vous, & vous devez par là juger du reſte, croire que je m’acquite avec meſme chaleur de ce que je dois, & que je ne ſeray pas moins exact à vous payer l’injure que le bien-fait.	Juan, vous voyez que j'ai soin de vous rendre le bien que j'ai reçu de vous, et vous devez par là juger du reste, croire que je m'acquite avec même chaleur de ce que je dois, et que je ne serai pas moins exact à vous payer l'injure que le bienfait.
Je ne veux point vous obliger icy à expliquer vos ſentimens, & je vous donne la liberté de penſer à loiſir aux reſolutions que vous avez à prendre.	Je ne veux point vous obliger ici à expliquer vos sentiments, et je vous donne la liberté de penser à loisir aux résolutions que vous avez à prendre.
Vous connoiſſez aſſez la grandeur de l’offence que vous nous avez faite, & je vous fais juge vous meſme des reparations qu’elle demande.	Vous connaissez assez la grandeur de l'offense que vous nous avez faite, et je vous fais juge vous rendre des réparations qu'elle demande.
Il eſt des moyens doux pour nous ſatisfaire;	Il est des moyens doux pour nous satisfaire;
il en eſt de violens & de ſanglans;	il en est de violents et de sanglants;
mais enfin, quelque choix que vous faſſiez, vous m’avez donné parole de me faire faire raiſon par D.	mais enfin, quelque choix que vous fassiez, vous m'avez donné parole de me faire faire raison par D.
Juan, fonger a me la fane, je vous prie, & vous reſſouvenez que hors d’icy je ne dois plus qu’à mon honneur.	Juan, songer à me la fane, je vous prie, et vous ressouvenez que hors d'ici je ne dois plus qu'à mon honneur.
D.	D.
JUAN.	JUAN.
Je n’ay rien exigé de vous, & vous tiendray ce que j’ay promis.	Je n'ai rien exigé de vous, et vous tiendrai ce que j'ai promis.
D.	D.
CARLOS.	CARLOS.
Allons, mon frere, tir irioment de douceur ne fait aucune injure à la ſeverité de noſtre devoir.	Allons, mon frère, tir irioment de douceur ne fait aucune injure à la sévérité de notre devoir.
SCENE V.	SCÈNE V.
D.	D.
JUAN, SGANARELLE.	JUAN, SGANARELLE.
D.	D.
JUAN.	JUAN.
Ola, hé, Sganarelle.	Ola, hé, Séganarelle.
I 1 Plaiſt il?	I 1 Plaît -il?
SGANARELLE	SGANARELLE
D.	D.
JUAN.	JUAN.
Comment, coquin, tu fuis quand on m’attaque?	Comment, coquin, tu fuis quand on m'attaque?
a	a
SGANARELLE.	SGANARELLE.
Pardonnez-moy, Monſieur, je viens ſeulement d’icy pres, je croy que cet laont eit purgatif, & que c’eſt prendre medecine que de le porter.	Pardonnez-moi, Monsieur, je viens seulement d'ici pres, je crois que cet laont eit purgatif, et que c'est prendre médecine que de le porter.
D.	D.
JUAN.	JUAN.
Peſte ſoit l’inſolent, couvre au moins ta polpronnerie d’un voile plus honneſte, ſçais-tu bien qui eit celuy à qui j’ay ſauvé la vie.	Peste soit l'insolent, couvre au moins ta polpronnerie d'un voile plus honnête, sais-tu bien qui eit celui à qui j'ai sauvé la vie.
SGANARELLE.	SGANARELLE.
Moy ?	Moi ?
HoH.	Ho.
D.	D.
JUAN.	JUAN.
C’eſt un frere d’Elvire.	C'est un frère d'Élvire.
Un.	Un.
SGANARELLE.	SGANARELLE.
D.	D.
JUAN.	JUAN.
Il eſt aſſez honneſte homme, il en a bien uſé;	Il est assez honnête homme, il en a bien usé;
&j ay leglet davon demele avec lay.	etj ai lèglet davon démèle avec lai.
SGANARELLE.	SGANARELLE.
Il vous ſeroit aiſé de pacifier toutes choſes.	Il vous serait aisé de pacifier toutes choses.
D.	D.
JUAN.	JUAN.
Oüy, mais ma paſſion eſt uſée pour D.	Oui, mais ma passion est usée pour D.
Elvire, & l’engagement ne compatit point avec mon humeur.	Élvire, et l'engagement ne compatit point avec mon humeur.
J’aime la liberté en amour, tu le ſçais, & je ne ſçaurois me reſoudre à renfermer mon cœur entre quatre murailles.	J'aime la liberté en amour, tu le sais, et je ne saurais me résoudre à renfermer mon cœur entre quatre murailles.
Je te l’ay dit vingt fois, j’ay une pente naturelle à me laiſſer aller à tout ce qui m’attire.	Je te l'ai dit vingt fois, j'ai une pente naturelle à me laisser aller à tout ce qui m'attire.
Mon cœur eſt à toutes les belles, & c’eſt à elles à le prendre tour à tour, & à le garder tant qu’ellés le pourront.	Mon cœur est à toutes les belles, et c'est à elles à le prendre tour à tour, et à le garder tant qu'ellelez le pourront.
Mais quel eſt le ſuperbe Edifice que je vois entre ces arbres?	Mais quel est le superbe Édifice que je vois entre ces arbres?
*	*
SGANARELLE.	SGANARELLE.
Vous ne le ſçavez pas?	Vous ne le savez pas?
D.	D.
JUAN.	JUAN.
Non vraiment.	Non vraiment.
SGANARELLE.	SGANARELLE.
noir,cen le rombeau que le dommendeux faiſoit faire lors que vous le tuaſtes.	noir,cen le rombeau que le dommendeux faisait faire lors que vous le tuâtes.
D.	D.
JUAN.	JUAN.
Ah, tu as raiſon, je ne ſçavois pas que c’eſtoit de ce coſté-cy qu’il eſtoit.	Ah, tu as raison, je ne savais pas que c'était de ce côté-cy qu'il était.
Tout le monde m’a unt des merveilles de cét ouvrage, auſſi bien que de la ſtatuë du Commandeur, & j’ay envie de l’anler vonr.	Tout le monde m'a unt des merveilles de cet ouvrage, aussi bien que de la statue du Commandeur, et j'ai envie de l'anler vonr.
SGANARELLE.	SGANARELLE.
Mohfeur, n’allez point la.	Mofeur, n'allez point la.
Pourquoy?	Pourquoi?
D.	D.
JUAN.	JUAN.
SGANARELLE.	SGANARELLE.
Cela n’eſt pas civil d’aller voir un homme que vous avez tué.	Cela n'est pas civil d'aller voir un homme que vous avez tué.
D.	D.
JUAN.	JUAN.
Au contraire, c’eſt une viſite dont je luy veux faire civilité, & qu’il doit recevoir de bonne grace, s’il eſt galant homme, allons, entrons dedans.	Au contraire, c'est une visite dont je lui veux faire civilité, et qu'il doit recevoir de bonne grâce, s'il est galant homme, allons, entrons dedans.
Le Tombeau s’ouvre, où l’on voit un ſuperbe Mauſolée, & la Statuë du Commana thr.	Le Tombeau s'ouvre, où l'on voit un superbe Mausolée, et la Statue du Commana thr.
SGANARELLE.	SGANARELLE.
Ah, que cela eſt beau!	Ah, que cela est beau!
les belles Statuës!	les belles Statues!
le beau marbre!	le beau marbre!
les beaux pilliers;	les beaux pilliers;
ah, que cela eſt beau, qu’en dites-vous, Monſieur?	ah, que cela est beau, qu'en dites-vous, Monsieur?
D.	D.
JUAN.	JUAN.
Qu’on ne peut voir aller plus loin l’ambition d’un homme mort, & ce que je trouve admirable, c’eſt qu’un homme qui s’eſt paſſé durant ſa vie d’une aſſez ſimple demeure, en veuille avoir 189 une ſi magnifique pour quand il n’en a plus que faire.	Qu'on ne peut voir aller plus loin l'ambition d'un homme mort, et ce que je trouve admirable, c'est qu'un homme qui s'est passé durant sa vie d'une assez simple demeure, en veuille avoir 189 une si magnifique pour quand il n'en a plus que faire.
42	42
SGANARELLE.	SGANARELLE.
Voicy la Statuë du Commandeur.	Voici la Statue du Commandeur.
D.	D.
JUAN.	JUAN.
raioreu, le rona bon avee lon naoit d’Empereur Romain.	raioreu, le rona bon avée lon naoit d'Empereur Romain.
D 11	D 11
SGANARELLE.	SGANARELLE.
Ma foy, Monſieur, voila qui eſt bien fait.	Ma foi, Monsieur, voilà qui est bien fait.
Il ſemble qu’il eſt en vie, & qu’il s’en va parler.	Il semble qu'il est en vie, et qu'il s'en va parler.
Il jette des regards ſur nous qui me feroient peur ſi jeſtois tout ſeul, & je penſe qu’il ne prend pas plaiſir de nous voir.	Il jette des regards sur nous qui me feraient peur si jestais tout seul, et je pense qu'il ne prend pas plaisir de nous voir.
D.	D.
JUAN.	JUAN.
Il’auroit tort, & ce ſeroit mal recevoir l’honneur que je luy fais.	Il’aurait tort, et ce serait mal recevoir l'honneur que je lui fais.
Demande-luy s’il veut venir ſouper avec moy.	Demande-lui s'il veut venir souper avec moi.
SGANARELLE.	SGANARELLE.
C’eſt une choſe dont il n’a pas beſoin, je croy.	C'est une chose dont il n'a pas besoin, je crois.
D.	D.
JUAN.	JUAN.
Demande-ſuy, te dis-je.	Demande-je, te dis-je.
SGANARELLE.	SGANARELLE.
Vous moquez-vous?	Vous moquez-vous?
Ce ſeroit eſtre fou que d’aller parler à une Statuë.	Ce serait être fou que d'aller parler à une Statue.
D.	D.
JUAN.	JUAN.
Fais ce que je te dis.	Fais ce que je te dis.
S’GANARELLE.	S'GANARELLE.
Quelle bizarrerie!	Quelle bizarrerie!
Seigneur Commandeur.	Seigneur Commandeur.
je ry de ma ſottiſe, mais c’eſt mon Maître qui me la fait faire.	je ri de ma sottise, mais c'est mon Maître qui me la fait faire.
Seigneur Commandeur, mon Maître D.	Seigneur Commandeur, mon Maître D.
Juan vous demande ſi vous voulez luy faire l’honneur de venir ſouper avec luy.	Juan vous demande si vous voulez jours faire l'honneur de venir souper avec lui.
La Statuë baiſſe la teſte.	La Statue baisse la tête.
Ha!	Ha!
D.	D.
JUAN.	JUAN.
Qu'eſt-ce?	Qu'est-ce?
qu’as-tu, dy donc, veux-tu parler?	qu'as-tu, dis donc, veux-tu parler?
SGANARELLE fait le meſme ſigne que luy a fait la Statuë, & baiſſe la teſte.	SGANARELLE fait le Seigneur signe que deux a fait la Statue, et baisse la tête.
La Statuë.	La Statue.
D E1 D.	D E1 D.
JUAN.	JUAN.
Et bien, que veux-tu dire, traiſtre?	Et bien, que veux-tu dire, traître?
d eurMineeenue.	 deurMineeenue.
Je vous dis que la Statuë.	Je vous dis que la Statue.
D.	D.
JUAN.	JUAN.
Et bien, la Statue?	Et bien, la Statue?
je t’aſſomme ſi tu ne parles.	je t'assomme si tu ne parles.
SGANARELLE.	SGANARELLE.
La Statuë m’a fait ſigne.	La Statue m'a fait signe.
D.	D.
JUAN.	JUAN.
La peſte le coquin.	La peste le coquin.
SGANARELLE.	SGANARELLE.
Elle m’a fait ſigne, vous dis-je, il n’eſt rien de plus vray.	Elle m'a fait signe, vous dis-je, il n'est rien de plus vrai.
Allez-vous en luy parler vous-meſme pour voir;	Allez-vous en porte parler vous-même pour voir;
peut-eſtre.	peut-être.
D.	D.
JUAN.	JUAN.
renis, Marade;	renis, Marade;
viens, je te veux oien faire toucher au doigt ta poltronnerie, prends garde.	viens, je te veux oyen faire toucher au doigt ta poltronnerie, prends garde.
Le Seigneur Commandeur voudroit-il venir ſouper avec moy.	Le Seigneur Commandeur voudrait-il venir souper avec moi.
La Statuë baiſſe encore la teſte.	La Statue baisse encore la tête.
SGANARELLE.	SGANARELLE.
Je ne voudrois pas en tenir dix piſtolles.	Je ne voudrais pas en tenir dix pistoles.
Et bien, Monſieur?	Et bien, Monsieur?
D.	D.
JUAN.	JUAN.
Allons, ſortons d’icy.	Allons, sortons d'ici.
SGANARELLE.	SGANARELLE.
Voila de mes eſprits forts qui ne veulent rien croire.	Voilà de mes esprits forts qui ne veulent rien croire.
Fin du troiſiéme Acte.	Fin du troisième Acte.
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
D.	D.
JUAN, SGANARELLE.	JUAN, SGANARELLE.
D.	D.
JUAN.	JUAN.
Uoy qu’il en ſoit, laiſſons cela, c’eſt dhle hagutene y ee nous pouvons avoir eſté trompez par un faux jour, ou ſurpris de quelque vapeur qui nous ait troublé la veuë.	Uoi qu'il en soit, laissons cela, c'est dhle hagutène y ce nous pouvons avoir été trompez par un faux jour, ou surpris de quelque vapeur qui nous ait troublé la vue.
SGANARELLE.	SGANARELLE.
Eh, Monſieur, ne cherchez point à démentir es que nous avons veu des yeux que voila.	Eh, Monsieur, ne cherchez point à démentir es que nous avons vu des yeux que voilà.
Il n’eſt rien de plus veritable que ce ſigne de teſte, & je ne doute point que le Ciel ſcandalizé de voſtre vie, n’ait produit ce miracle pour vous convainere, & pour vous retirer de.	Il n'est rien de plus véritable que ce signe de tête, et je ne doute point que le Ciel scandalise de votre vie, n'ait produit ce miracle pour vous convaine, et pour vous retirer de.
D.	D.
JUAN.	JUAN.
Ecoute.	Écoute.
Si tu m’importunes davantage de tes ſottes moralitez, ſi tu me dis encore le moindre mot là-deſſus, je vais appeller quelqu’un, demander un nerf de bœuf, te faire tenir par trois ou quatre, & te roüer de mille coups.	Si tu m'importunes davantage de tes sottes moralités, si tu me dis encore le moindre mot là-dessus, je vais appeler quelqu'un, demander un nerf de bœuf, te faire tenir par trois ou quatre, et te rouer de mille coups.
M’entenstu bien?	M'entends bien?
SGANARELLE.	SGANARELLE.
Fort bien, Monſieur, le mieux du monde, vous vous expliquez clairement, c’eſt ce qu’il y a de bon en vous, que vous n’allez point chercher de détours, vous dites les choſes avec une netteté admirable.	Fort bien, Monsieur, le mieux du monde, vous vous expliquez clairement, c'est ce qu'il y a de bon en vous, que vous n'allez point chercher de détours, vous dites les choses avec une netteté admirable.
D.	D.
JUAN.	JUAN.
Allons, qu’on me faſſe ſouper le plûtoſt que Ton pourra, une chaiſe, petit garçon.	Allons, qu'on me fasse souper le plutôt que Ton pourra, une chaise, petit garçon.
SCENE II.	SCÈNE II.
D.	D.
JUAN, LA VIOLETTE, SGANARELLE.	JUAN, LA VIOLETTE, SGANARELLE.
LA VIOLETTE.	LA VIOLETTE.
Onſieur, voila voſtre Marchand, MonMſieur Dimanche, qui demande à vous par	Onsieur, voilà votre Marchand, MonMiveur Dimanche, qui demande à vous par
SGANARELLE.	SGANARELLE.
Bon, voila ce qu’il nous faut qu’un compliment de creancier.	Bon, voilà ce qu'il nous faut qu'un compliment de créancier.
De quoy s’aviſe-t-il de nous venir demander de l’argent, & que ne luy diſoista que Momeui ny eit pas?	De quoi s'avise-t-il de nous venir demander de l'argent, et que ne lui disaita que Momeui leurs eit pas?
LA VIOLETTE.	LA VIOLETTE.
Il’y a trois quarts d’heure que je luy dis, mais il ne veut pas le croire, & s’eſt aſſis làdedans pour attendre.	Il’y a trois quarts d'heure que je lui dis, mais il ne veut pas le croire, et s'est assis làdedans pour attendre.
SGANARELLE.	SGANARELLE.
Qu’il attende tant qu’il voudra.	Qu'il attende tant qu'il voudra.
D.	D.
JUAN.	JUAN.
Non, au contraire, faites-le entrer, c’eſt une fort mauvaiſe politique que de ſe faire celer aux creanciers.	Non, au contraire, faites-le entrer, c'est une fort mauvaise politique que de se faire celer aux créanciers.
creanciers.	créanciers.
Il eſt bon de les payer de quelque choſe, & j’ay le ſecret de les renvoyer ſatisfaits ſans leur donner un double.	Il est bon de les payer de quelque chose, et j'ai le secret de les renvoyer satisfaits sans leur donner un double.
diigin	diigin
SCENE III.	SCÈNE III.
311600 d0 D.	311600 d0 D.
JUAN, Mr DIMANCHE, SGANARELLE.	JUAN, Mr DIMANCHE, SGANARELLE.
Suite.	Suite.
D.	D.
JUAN faifant de grandes civilitez, H, Monſieur Dimanche, approchez.	JUAN faisant de grandes civilités, H, Monsieur Dimanche, approchez.
Que A jie ſuis ravy de vous voir, & que je veux de mal à mes gens de ne vous pas faire entrer d’abord!	Que A je suis ravi de vous voir, et que je veux de mal à mes gens de ne vous pas faire entrer d'abord!
l’avois douné ordre qu’on ne me fiſt parler perſonne, mais cét ordre n’eſt pas pour vous, & vous eſtes en droit de ne trouver jamais de porte fermée chez moy.	l'avais douné ordre qu'on ne me fît parler personne, mais cet ordre n'est pas pour vous, et vous êtes en droit de ne trouver jamais de porte fermée chez moi.
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, je vous ſuis fort obligé.	Monsieur, je vous suis fort obligé.
44 0 I D.	44 0 I D.
JUAN parlant à ſes Laquais- Parbleu, coquins, je vous apprendray à laiſſer Monſieur Dimanche dans une antichambre, & je vous feray connoiſtre les gens.	JUAN parlant à ses Laquais- Parbleu, coquins, je vous apprendrai à laisser Monsieur Dimanche dans une antichambre, et je vous ferai connaître les gens.
Mr DIMANCHE.	Mr DIMANCHE.
Monſſeur cela n’eſt rien.	Monsieur cela n'est rien.
27111 D.	27111 D.
JUAN.	JUAN.
Comment?	Comment?
vous dire que je n’y ſuis pas, à Monſieur Dimanche;	vous dire que je n'y suis pas, à Monsieur Dimanche;
da meilieur de mes amis?	da meilieur de mes amis?
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, je fuis voſtre ſerviteur.	Monsieur, je fuis votre serviteur.
J'eſtois venu.	J'étais venu.
Tome VII.	Tome VII.
D.	D.
JUAN.	JUAN.
Allons, viſte, un ſiege pour Monſieur Dimanche.	Allons, vite, un siège pour Monsieur Dimanche.
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, je ſuis bien comme cela.	Monsieur, je suis bien comme cela.
D.	D.
JUAN.	JUAN.
ronie, pome, je teux ſue vous ſoyez aſſis contre moy.	ronie, pome, je teux sue vous soyez assis contre moi.
Mr DIMANCHE.	Mr DIMANCHE.
Cela n’eſt point neceſſaire.	Cela n'est point nécessaire.
D.	D.
JOAN.	JOAN.
Oſtez ce pliant, & apportez un fauteüil.	Ostez ce pliant, et apportez un fauteil.
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, vous vous moquez, &.	Monsieur, vous vous moquez, et.
D.	D.
JUAN.	JUAN.
Non, non, je ſçay ce que je vous doy, & je ne veux point qu’on mette de difference entre nous deux.	Non, non, je sais ce que je vous dois, et je ne veux point qu'on mette de différence entre nous deux.
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur.	Monsieur.
D.	D.
JUAN.	JUAN.
Alloiis, alleyelavous.	Alloyis, alleiélavous.
Mr DIMANCHE.	Mr DIMANCHE.
Il n’eſt pas beſoin, Monſieur, & je n’ay qu’un mot à vous dire.	Il n'est pas besoin, Monsieur, et je n'ai qu'un mot à vous dire.
J’eſtois.	J'étais.
D.	D.
JUAN.	JUAN.
Mettez-vous-là, vous dis-je.	Mettez-vous-là, vous dis-je.
RIIDIMIAIEMES.	RIIDIMIAIEMES.
Non, Monſieur, je ſuis bien, je viens pour.	Non, Monsieur, je suis bien, je viens pour.
D.	D.
JOAN.	JOAN.
Non, je ne vous écoute point ſi vous n’eſtes aſſis.	Non, je ne vous écoute point si vous n'êtes assis.
Mr DIMANCHE.	Mr DIMANCHE.
Monſieur, je fais ce que vous voulez.	Monsieur, je fais ce que vous voulez.
Je.	Je.
D.	D.
JUAN.	JUAN.
Parbleu, Monſieur Dimanche, vous vous portez bien.	Parbleu, Monsieur Dimanche, vous vous portez bien.
Mr DIMANCHE.	Mr DIMANCHE.
Oüy, Monſieur, pour vous rendre ſervice.	Oui, Monsieur, pour vous rendre service.
Je ſuis venu.	Je suis venu.
do dud Moum	do du Moum
D.	D.
JUAN.	JUAN.
Vous avez un fonds de ſanté admirable, deslevres hanthes, un teint vermeil, & des yeux vifs.	Vous avez un fond de santé admirable, délevres hanthes, un teint vermeil, et des yeux vifs.
Mr DIMANCHE.	Mr DIMANCHE.
Je voudrois bien.	Je voudrais bien.
D.	D.
JUAN.	JUAN.
Comment ſe porte Madame Dimanche, vaſtre Epoure.	Comment se porte Madame Dimanche, vastre Époure.
Mr DIMANCHE.	Mr DIMANCHE.
Fort bien, Monſieur, Dieu mercy.	Fort bien, Monsieur, Dieu merci.
D.	D.
JUAN.	JUAN.
C’eſt une brave femme.	C'est une brave femme.
Mr DIMANCHE.	Mr DIMANCHE.
Elle eſt voſtre ſervante.	Elle est votre servante.
Monſieur.	Monsieur.
Je venois.	Je venais.
D.	D.
JUAN.	JUAN.
Et voſtre petite fille Claudine, comment ſe porte-t-elle?	Et votre petite fille Claudine, comment se porte-t-elle?
Mr DIMANCHE.	Mr DIMANCHE.
Le mieux du monde.	Le mieux du monde.
D.	D.
JUAN.	JUAN.
La jone petite me que cert?	La jone petite me que cert?
je rame de tout mon cœur.	je rame de tout mon cœur.
Mr DIMANCHE.	Mr DIMANCHE.
