M DC LXIX.	M MC LXIX.
Le vol des Diamans n’eſt pas ce qui m’étonne:	Le vol des Diamants n'est pas ce qui m'étonne:
On leve les Cachets, qu’on ne l’aperçoit pas.	On lève les Cachets, qu'on ne l'aperçoit pas.
Mais le don, qu’on veut qu’hier j’en vins faire en perſonne, Eſt ce qui fait icy mon cruel embarras.	Mais le don, qu'on veut qu'hier j'en vins faire en personne, Est ce qui fait ici mon cruel embarras.
La Nature parfois produit des Reſſemblances, Dont quelques Impoſteurs ont pris droict d’abuſer:	La Nature parfois produit des Ressemblances, Dont quelques Imposteurs ont pris droit d'abuser:
Mais il eſt hors de ſens, que ſous ces apparences Un Homme, pour Epous, ſe puiſſe ſupoſer;	Mais il est hors de sens, que sous ces apparences Un Homme, pour Épous, se puisse suposer;
Et dans tous ces raports, ſont mille differences, Dont ſe peut une Femme aiſément aviſer.	Et dans tous ces rapports, sont mille différences, Dont se peut une Femme aisément aviser.
Des charmes de la Theſſalie, On vante de tout temps les merveilleux effets:	Des charmes de la Thessalie, On vante de tout temps les merveilleux effets:
Mais les contes fameux, qui par tout en ſont faits, Dans mon Eſprit toujours ont paſſé pour folie;	Mais les contes fameux, qui par tout en sont faits, Dans mon Esprit toujours ont passé pour folie;
Et ce ſeroit du Sort une étrange rigueur, Qu’au ſortir d’une ample Victoire, Je fuſſe contraint de les croire, Aux dépens de mon propre honneur.	Et ce serait du Sort une étrange rigueur, Qu'au sortir d'une ample Victoire, Je fusse contraint de les croire, Aux dépends de mon propre honneur.
Je veux la retâter ſur ce fâcheux myſtere;	Je veux la retâter sur ce fâcheux mystère;
Et voir ſi ce n’eſt point une vaine chimere, Qui ſur ſes ſens troublez ait ſçu prendre credit.	Et voir si ce n'est point une vaine chimère, Qui sur ses sens troublés ait sçu prendre crédit.
An.	An.
lane le Clcrequitaole, Que ce penſer ſoit veritable;	lane le Clcrequitaole, Que ce penser soit véritable;
Et que, pour mon bonheur, elle ait perdu l’Eſprit!	Et que, pour mon bonheur, elle ait perdu l'Esprit!
SCENE II.	SCÈNE II.
MERCURE, AMPHITRYON.	MERCURE, AMPHITRYON.
MERCURE.	MERCURE.
Omme l’Amour icy ne m’offre aucun plaiſir, Je m’en veux faire, au moins, qui ſoient d’autre nature :	Omme l'Amour ici ne m'offre aucun plaisir, Je m'en veux faire, au moins, qui soient d'autre nature :
Et je vais égayer mon ſerieux loiſir, A mettre Amphitryon hors de toute meſure.	Et je vais égayer mon sérieux loisir, À mettre Amphitryon hors de toute mesure.
Cela n’eſt pas d’un Dieu bien plein de charité :	Cela n'est pas d'un Dieu bien plein de charité :
Mais auſſi n’eſt-ce pas ce dont je m’inquiéte;	Mais aussi n'est-ce pas ce dont je m'inquiète;
Et je me ſens, par ma Planette, A la illante un pea perler	Et je me sens, par ma Planette, À la illante un péa perler
AMPHITRYON.	AMPHITRYON.
D’où vient donc qu’à cette heure on ferme cette MERCEURE.	D'où vient donc qu'à cette heure on ferme cette MERCEURE.
Porte?	Porte?
AMPHITRYON.	AMPHITRYON.
Moy.	Moi.
MERCGRE.	MERCGRE.
Qui, moy?	Qui, moi?
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
ouvre.	ouvre.
MERCURE.	MERCURE.
Comment, ouvre?	Comment, ouvre?
Et qui donc es-tu, toy;	Et qui donc es-tu, toi;
Qui fais tant de rucaiit, & parles de la ſorte?	Qui fais tant de rucaiit, et parles de la sorte?
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
tu ne me connois pas?	tu ne me connais pas?
MERCURE.	MERCURE.
Non:	Non:
AMPHITRYON.	AMPHITRYON.
Tout le Monde perd-il aujourd’huy la raiſon?	Tout le Monde perd-il aujourd'hui la raison?
Eſt-ce un mal repandu?	Est-ce un mal répandu?
sone, nola, Soſie.	sone, nola, Sosie.
MERCURE.	MERCURE.
Hé bien, Soſie:	Hé bien, Sosie:
ouy, c’eit mon noi.	oui, c'éit mon noi.
As-tu peur que je ne l’oublie?	As-tu peur que je ne l'oublie?
AMPHITRYON.	AMPHITRYON.
Me voittu cien.	Me voittu cien.
MERCURE.	MERCURE.
Fort bien.	Fort bien.
Qui peut pouſſer ton Bras, A faire une rumeur ſi grande?	Qui peut pousser ton Bras, À faire une rumeur si grande?
Et que demandes-tu la-bas?	Et que demandes-tu la-bas?
AMPHITRYON.	AMPHITRYON.
Moy, Pendart, ce que je demande?	Moi, Pendard, ce que je demande?
MERCURE.	MERCURE.
Que ne demandes-tu donc pas?	Que ne demandes-tu donc pas?
Parle, ſi tu veux qu’on t’entende.	Parle, si tu veux qu'on t'entende.
A MAMPHITRYON.	À MAMPHITRYON.
Attens, Traiſtre, avec un Baſton Je vais là-haut me faire entendre;	Attends, Traître, avec un Bâton Je vais là-haut me faire entendre;
Et de bonne façon t’aprendre A m’oſer parler ſur ce ton.	Et de bonne façon t'apprendre A m'oser parler sur ce ton.
MERCURE.	MERCURE.
Tout beau.	Tout beau.
Si pour heurter, tu fais la moindre inEualiees Je t’enverray d’icy des Meſſagers fâcheux.	Si pour heurter, tu fais la moindre inEualiees Je t'enverrai d'ici des Messagers fâcheux.
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
vit-on jamais une telle inſolence!	vit-on jamais une telle insolence!
La peut-on concevoir d’un Serviteur;	La peut-on concevoir d'un Serviteur;
d’un Gueux?	d'un Gueux?
MERCURE.	MERCURE.
Hé bien!	Hé bien!
qu’eſt-ce?	qu'est-ce?
m’as-tu tout parcouru par ordre?	m'as-tu tout parcouru par ordre?
M’as-tu de tes gros yeux aſſez conſideré?	M'as-tu de tes gros yeux assez considéré?
Coiſinen les ecaſquiile, & paront’enare!	Coisinen les ecquiile, et paront'envare!
Si des regards on pouvoit mordre, Il m’auroit déja déchiré.	Si des regards on pouvait mordre, Il m'aurait déjà déchiré.
AMPHITRYON.	AMPHITRYON.
Moy-même je fremis de ce que tu t’apreſtes, Avec ces impudens propos.	Moi-même je frémis de ce que tu t'aprêtes, Avec ces impudents propos.
Que tu groſſis pour toy d’effroyables tempeſtes!	Que tu grossis pour toi d'effroyables tempêtes!
Queis vlages de coups vont iondie ſi ton Dos?	Queis vlages de coups vont iondie si ton Dos?
MERCURE.	MERCURE.
L’Amy, ſi de ces lieux tu ne veux diſparoiſtre, Tu pourras y gagner quelque contuſion.	L'Ami, si de ces lieux tu ne veux disparaître, Tu pourras y gagner quelque contusion.
A MPHITRYONN.	À MPHITRYONN.
Ah!	Ah!
tu ſçauras Maraut, à ta confuſion, De que e ent qu'un vaiet, qui s attuque u ſon Maître.	tu sauras Maraut, à ta confusion, De que eu ent qu'un vaiet, qui s' attque son Maître.
MERCURE.	MERCURE.
Toy, mon Maiſtre?	Toi, mon Maître?
A MPHITRYON.	À MPHITRYON.
Ouy, Coquin.	Oui, Coquin.
M’oſes-tu méconnoiſtre?	M'oses-tu méconnaître?
MERCURE.	MERCURE.
Je n’en reconnois point d’autre, qu’Amphitryon.	Je n'en reconnais point d'autre, qu'Amphitryon.
AMHITRYOR.	AMHITRYOR.
Et cet Amphitryon, qui, hors moy, le peut eſtre?	Et cet Amphitryon, qui, hors moi, le peut -être?
MER	MER
Amphitryon?	Amphitryon?
MERCURE.	MERCURE.
AMPHITRYON.	AMPHITRYON.
dans doute.	dans doute.
MERCURE.	MERCURE.
Ah!	Ah!
quelle viſion !	quelle vision !
ujrious un peumguerert le Cabaret honneſte, Ou tu t’es coiffe le cerveau?	ujrious un peumguerert le Cabaret honnête, Ou tu t'es coiffe le cerveau?
A M lnAANIONV.	À M lnAANIONV.
Comment!	Comment!
encor !	encor !
MERCURE.	MERCURE.
Eſtoit-ce un vin à faire feſte?	Était-ce un vin à faire fête?
AMPHITRYON.	AMPHITRYON.
cier.	cier.
MERCURE.	MERCURE.
Eltoitenl vieul, ou neuveuu?	Éltaitenl vieul, ou neuvu?
AMPHITRYON.	AMPHITRYON.
Que de coups!	Que de coups!
MERCURE.	MERCURE.
Le nouveau donne fort dans la teſte, Quand on le veut boire ſans eau.	Le nouveau donne fort dans la tête, Quand on le veut boire sans eau.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
je t’arracheray cette Langue, ſans doute.	Je t'arracherai cette Langue, sans doute.
MERCURE.	MERCURE.
Paſſe, mon cher Amy, croy moy;	Passe, mon cher Ami, crois -moi;
Que quelqu’un icy ne t’écoure.	Que quelqu'un ici ne t'écoure.
Je reſpecte le vin:	Je respecte le vin:
va-t’en, retire-toy;	va-t-en, retire-toi;
Et laiſſe Amphitryon dans les plaiſirs qu’il goûte.	Et laisse Amphitryon dans les plaisirs qu'il goûte.
AMPHITRYON.	AMPHITRYON.
Comment!	Comment!
Amphitryon eſt là-dedans?	Amphitryon est là-dedans?
MERCURE.	MERCURE.
Fort bien:	Fort bien:
Qui couvert des Lauriers d’une Victoire pleine, Eſt auprés de la belle Alcméne, A joüir des douceurs d’un aimable entretien.	Qui couvert des Lauriers d'une Victoire pleine, Est auprès de la belle Alcène, À jouir des douceurs d'un aimable entretien.
Aprés le démeſlé d’un amoureux caprice, Ils goûtent le plaiſir de s’eſtre rajuſtez.	Après le démêlé d'un amoureux caprice, Ils goûtent le plaisir de s'être rajustez.
GardeGarde-toy de troubler leurs douces privautez, Si tu ne veux qu’il ne puniſſe L’excés de tes temeritez.	GardeGarde-toi de troubler leurs douces privautés, Si tu ne veux qu'il ne punisse L'excès de té mérités.
De n nd leis	De n éd is
AMPHITRYON.	AMPHITRYON.
A H!	À H!
quel étrange coup m’a-t-il porté dans l’Ame ?	quel étrange coup m'a-t-il porté dans l'Âme ?
En quel trouble cruel jette-t-il mon Eſprit?	En quel trouble cruel jette-t-il mon Esprit?
Et ſi les choſes ſont, comme le Traiſtre dit, Où vois-je icy reduits mon honneur, & ma flame?	Et si les choses sont, comme le Traître dit, Où vois-je ici réduits mon honneur, et ma flamme?
A quel Party me doit reſoudre ma raiſon?	À quel Parti me doit résoudre ma raison?
Ay-je l’eclat, ou le ſecret, à prendre?	Ai-je l'éclat, ou le secret, à prendre?
Et dois-je en mon courrous renfermer, ou répandre Le deshonneur de ma Maiſon?	Et dois-je en mon courrous renfermer, ou répandre Lé honneur de ma Maison?
Ah!	Ah!
faut-il conſulter dans un affront ſi rude?	faut-il consulter dans un affront si rude?
Je n’ay rien à pretendre, & rien à ménager;	Je n'ai rien à prétendre, et rien à ménager;
Et toute mon inquietude Ne doit aller qu’à me vanger.	Et toute mon inquiétude Ne doit aller qu'à me venger.
o A la l li.	ô À la l li.
SOSIE, NAUCRATES, POLIDAS, AMPHITRYON.	SOSIE, NAUCRATES, POLIDAS, AMPHITRYON.
OSIE.	OSIE.
Onſieur, avec mes ſoins, tout ce que j’ay pûfaire, C’eſt de vous aifenerees memeuis que voicy.	Onsieur, avec mes soins, tout ce que j'ai pufaire, C'est de vous aifenerees mémeuis que voici.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
vous voila;	vous voilà;
OSIE.	OSIE.
Monſieur.	Monsieur.
AMPHITRYON.	AMPHITRYON.
Infolent, feméraire.	Infolent, feméraire.
Quoy?	Quoi?
SOSIE.	SOSIE.
A M	À M
AMPHITRYON.	AMPHITRYON.
je vous apprendiay de me traiter ainſy.	je vous apprendiai de me traiter ainsi.
OSIE.	OSIE.
Qu’eſt-ce donc?	Qu'est-ce donc?
qu’avez-vous ?	qu'avez-vous ?
AMPHITRYON.	AMPHITRYON.
Ce que j’ay, Miſerable?	Ce que j'ai, Misérable?
OSIE.	OSIE.
Hola, Meſſieurs, venez donc toſt.	Holà, Messieurs, venez donc tôt.
N A o o R iino1 Ah!	N A ô ô Ô Reino1 Ah!
de grace, arreſtez.	de grâce, arrêtez.
SOSTE.	SOSTE.
Dequoy ſuis-je coupable?	Dequoy suis-je coupable?
AMPHITRYON.	AMPHITRYON.
Tu me le demandes, Maraut?	Tu me le demandes, Maraud?
Laiſſez-moy ſatisfaire un courrous legitime.	Laissez-moi satisfaire un courrous légitime.
T2.	T2.
Lors que l’on pend quelqu’un, on luy dit pourquoy c’eſt.	Lors que l'on pend quelqu'un, on lui dit pourquoi c'est.
NAUCRATES.	NAUCRATES.
Daignen nouo dire, au moins, quel peut eſtre ſon crime.	Daignen nouvo dire, au moins, quel peut être son crime.
SIE.	SIE.
Meſſieurs, tenez bon, s’il vous plaiſt.	Messieurs, tenez bon, s'il vous plaît.
AMPHITRYON.	AMPHITRYON.
Comment!	Comment!
il vient d’avoir l’audace, De me fermer ma Porte au nez?	il vient d'avoir l'audace, De me fermer ma Porte au nez?
Et Le joindre encor la menace, A mille propos effrenez!	Et Le joindre encor la menace, À mille propos effréné!
Ah !	Ah !
Coqum.	Coqum.
OSIE.	OSIE.
je ſuis mort.	je suis mort.
NAUCRATES.	NAUCRATES.
Calmez cette colere.	Calmez cette colère.
Meſſieurs.	Messieurs.
SOSIE.	SOSIE.
POLIDAS.	POLIDAS.
Qu’eſt-ce?	Qu'est-ce?
OSTE.	ÔTE.
M’a-t-il frapé?	M'a-t-il frappé?
AMPHITRYON.	AMPHITRYON.
Non, il faut qu’il ait le ſalaire Des mots, où tout à l’heure, il s’eſt emancipé.	Non, il faut qu'il ait le salaire Des mots, où tout à l'heure, il s'est emancipé.
OSIE.	OSIE.
Comment cela ſe peut-il faire, Si j’eſtois par voſtre ordre autre-part occupé?	Comment cela se peut-il faire, Si j'étais par votre ordre autre-part occupé?
Ces Memeuis iont iey, pour ſendie temoignage.	Ces Memeuis jont y, pour sendie témoignage.
Qu’à diſner avec vous, je les viens d’inviter.	Qu'à dîner avec vous, je les viens d'inviter.
AUCRATES.	AUCRATES.
Il eſt vray qu’il nous vient de faire ce meſſage;	Il est vrai qu'il nous vient de faire ce message;
Et n’a point voulu nous quitter.	Et n'a point voulu nous quitter.
AMPHITRYON.	AMPHITRYON.
lta uamde cer dialas.	lta uamde cer dialas.
SOSIE.	SOSIE.
Vous.	Vous.
AMPHITRYON.	AMPHITRYON.
Et quand?	Et quand?
SOSIE.	SOSIE.
Aprés voſtre paix faite.	Après votre paix faite.
Au milieu des tranſports d’une Ame ſatisfaite, D’avoir d’Alcméne appaiſé le courrous.	Au milieu des transports d'une Âme satisfaite, D'avoir d'Alcméne appaisé le courrous.
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
chaque inſtant, chaque pas, Ajoûte quelque choſe à mon cruel martyre !	chaque instant, chaque pas, Ajoute quelque chose à mon cruel martyre !
Et dans ce fatal embarras, Je ne ſçay plus que croire, ny que dire.	Et dans ce fatal embarras, Je ne sais plus que croire, ni que dire.
A d e ſi l Eo.	À d ès si ligNeo.
Tout ce que de chez vous, il vient de nous conter, Surpaſſe ſi fort la Nature, Qu’avant que de rien faire, & de vous emporter, votis deven oolaneirto dte cette avanture.	Tout ce que de chez vous, il vient de nous conter, Surpasse si fort la Nature, Qu'avant que de rien faire, et de vous emporter, votis deven oolanéirto d cette aventure.
A MPHITRYON.	À MPHITRYON.
Allons, vous y pourrez ſeconder mon effort;	Allons, vous y pourrez seconder mon effort;
Et le Ciel à propos, icy vous a fait rendre.	Et le Ciel à propos, ici vous a fait rendre.
Voyons quelle fortune en ce jour peut m’attendre.	Voyons quelle fortune en ce jour peut m'attendre.
DéDébroüillons ce myſtere, & ſçachons noſtre Sort.	DéDébroüillons ce mystère, et sachons notre Sort.
Helas!	Hélas!
je brûle de l’apprendre;	je brûle de l'apprendre;
Et je le crains plus que la Mort !	Et je le crains plus que la Mort !
SCENE V.	SCÈNE V.
TOTTTDIe, AMPHITRYON, NAUCRATES, POLIDAS, SOSIE.	TOTTDIe, AMPHITRYON, NAUCRATES, POLIDAS, SOSIE.
PITER.	PITER.
Uel bruit à delcendre m’oblige?	Vel bruit à délcendre m'oblige?
Et qui frape en Maiſtre ou je ſuis?	Et qui frappe en Maître ou je suis?
AMPHITRYON.	AMPHITRYON.
Que vois-je, juſtes Dieux!	Que vois-je, justes Dieux!
NAUGRATES.	NAGRATES.
Ciel!	Ciel!
quel eſt ce prodige!	quel est ce prodige!
Quoy!	Quoi!
deux Amphitryons ici nous ſont produits!	deux Amphitryons ici nous sont produits!
A MPHITRYON.	À MPHITRYON.
Mon Ame demeure tranſie.	Mon Âme demeure transie.
Helas!	Hélas!
je n’en puis plus;	je n'en puis plus;
l’avanture eſt à bout :	l'aventure est à bout :
Ma Deſtinée eſt eclaircie;	Ma Destinée est éclaircie;
Et ce que je voy, me dit tout.	Et ce que je vois, me dit tout.
MAOUNA IEU.	MAOUNA IEU.
Plus mes regards ſur eux s’attachent fortement, Plus je trouve qu’en tout, l’un à l’autre eſt ſemblable.	Plus mes regards sur eux s'attachent fortement, Plus je trouve qu'en tout, l'un à l'autre est semblable.
SOSIE.	SOSIE.
Memneuis, voicy le veritable;	Memneuis, voici le véritable;
L’autre eſt un Impoſteur, digne de châtiment.	L'autre est un Imposteur, digne de châtiment.
POLIDAS.	POLIDAS.
Certes, ce rapoit adiifable Suſpend icy mon jugement.	Certes, ce râpait adiifable Suspend ici mon jugement.
AMPHITRYON.	AMPHITRYON.
C’eſt trop eſtre éludez par un Fourbe execrable, Il faut, avec ce Fer, rompre l’enchantement.	C'est trop être éludez par un Fourbe exécrable, Il faut, avec ce Fer, rompre l'enchantement.
A M	À M
Arreſtez.	Arrêtez.
NAUCRATES.	NAUCRATES.
AMPHITRYON.	AMPHITRYON.
Laiſten moy.	Laîten moi.
NAUCRATES.	NAUCRATES.
Dieux:	Dieux:
que voulez-vous faire!	que voulez-vous faire!
AMPHITRYON.	AMPHITRYON.
Punir, d’un Impoſteur, les lâches trahiſons.	Punir, d'un Imposteur, les lâches trahisons.
UPITER.	OÙPITER.
Tout-beau, l’emportement eſt fort peu neceſſaire;	Tout-beau, l'emportement est fort peu nécessaire;
Et lols quede la lontc on le mesencolere;	Et lols quede la lontc on le mesencolere;
On fait croire qu’on a de mauvaiſes raiſons.	On fait croire qu'on a de mauvaises raisons.
OSIE.	OSIE.
Ouy, c’eſt un Enchanteur, qui porte un Caractere, Pour reſſembler aux Maiſtres des Maiſons.	Oui, c'est un Enchanteur, qui porte un Caractère, Pour ressembler aux Maistres des Maisons.
AMPHITRYON.	AMPHITRYON.
Je te feray, pour ton partage, Sentir, par mille coups, ces propos outrageans.	Je te ferai, pour ton partage, Sentir, par mille coups, ces propos outrageants.
SIEMon Maiſtre eſt Homme de courage;	SIEMon Maître est Homme de courage;
Et ne ſouffrira point, que l’on batte ſes Gens.	Et ne souffrira point, que l'on batte ses Gens.
AMPHITRYON.	AMPHITRYON.
Laiſſez moy m’aſſouvir dans mon courrous extréme, Et laver inon aflfont au lang d un oeclerat.	Laissez moi m'assouvir dans mon courrous extrême, Et laver inon aflfont au lang un oeclerat.
NAUCRATES.	NAUCRATES.
Nous ne ſouffrirons point cet étrange combat, D’Amphitryon, contre luy-même.	Nous ne souffrirons point cet étrange combat, D'Amphitryon, contre notre-même.
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
mon honneur, de vous, reçoit ce traitement?	mon honneur, de vous, reçoit ce traitement?
Et mes Amis, d’un Fourbe, embraſſent la defenſe?	Et mes Amis, d'un Fourbe, embrassent la défense?
Loin d’eſtre les premiers à prendre ma vangeance, Eux-mêmes font obſtacle à mon reſſentiment?	Loin d'être les premiers à prendre ma vengeance, Eux-mêmes font obstacle à mon ressentiment?
NAUCRATES.	NAUCRATES.
Que voulez-vous qu’à cette veüe Faſſent nos reſolutions;	Que voulez-vous qu'à cette vue Fassent nos résolutions;
Lors que par deux Amphitryons, Toute noſtre chaleur demeure ſuſpenduë?	Lors que par deux Amphitryons, Toute notre chaleur demeure suspendue?
A vous faire éclater noſtre zele aujourd’huy, Nous craignons de faillir, & de vous méconnoiſtre.	À vous faire éclater notre zèle aujourd'hui, Nous craignons de faillir, et de vous montre.
Nous voyons bien en vous Amphitryon paroiſtre, Du ſalut des Thebains le glorieux appuy :	Nous voyons bien en vous Amphitryon paraître, Du salut des Thébains le glorieux appui :
Mais nous le voyons tous auſſi paroiſtre en luy;	Mais nous le voyons tous aussi paraître en Seigneur;
Et ne ſçaurions juger dans lequel il peut eſtre.	Et ne saurions juger dans lequel il peut être.
Noſtre Party n’eſt point douteux, Et l’Impoſteur, par nous, doit mordre la pouſſiere:	Notre Parti n'est point douteux, Et l'Imposteur, par nous, doit mordre la poussière:
Mais ce parfait raport le cache entre vous deux;	Mais ce parfait rapport le cache entre vous deux;
Et c’eſt un coup trop hazardeux, Pour l’entreprendre ſans lumiere.	Et c'est un coup trop hasardeux, Pour l'entreprendre sans lumière.
Avec douceur laiſſez-nous voir, De quel coſté peut eſtre l’impoſture;	Avec douceur laissez-nous voir, De quel côté peut -être l'imposture;
Et dés que nous aurons démeſlé l’avanture, Il ne nous faudra point dire noſtre devoir.	Et dès que nous aurons démêlé l'aventure, Il ne nous faudra point dire notre devoir.
IPITER.	IPITER.
Ouy, vous avez raiſon:	Oui, vous avez raison:
& cette reſſemblance, A douter de tous deux, vous peut authoriſer.	et cette ressemblance, A douter de tous deux, vous peut autoriser.
Je ne m’offence point de vous voir en balance:	Je ne m'offense point de vous voir en balance:
Je ſuis plus raiſonnable, & ſçay vous excuſer.	Je suis plus raisonnable, et sais vous excuser.
L’œil ne peut entre nous faire de difference;	L'œil ne peut entre nous faire de différence;
Et je voy qu’aiſément on s’y peut abuſer.	Et je vois qu'aisément on s'y peut abuser.
Vous ne me voyez point témoigner de colere;	Vous ne me voyez point témoigner de colère;
Point mettre l’Epée à la main.	Point mettre l'Épée à la main.
C'eſt un mauvais moyen d’éclaireir ce myſtere;	C'est un mauvais moyen d'éclaireir ce mystère;
Et j’en puis trouver un plus doux, & plus certain.	Et j'en puis trouver un plus doux, et plus certain.
L’un de nous eſt Amphitryon;	L'un de nous est Amphitryon;
Et tous deux, à vos yeux, nous le pouvons paroiſtre, C’eſt à moy de finir cette confuſion;	Et tous deux, à vos yeux, nous le pouvons paraître, C'est à moi de finir cette confusion;
Et je pretens me faire à tous ſi bien connoiſtre, Qu’aux preſſantes clartez de ce que je puis eſtre, Luy-même ſoit d’accord du ſang qui m’a fait naître, Il n’ait plus de rien dire aucune occaſion.	Et je prétends me faire à tous si bien connaître, Qu'aux pressantes clartés de ce que je puis chang, Lui-même soit d'accord du sang qui m'a fait naître, Il n'ait plus de rien dire aucune occasion.
C’eſt aux yeux des Thebains, que je veux avec vous, De la verité pure, ouvrir la connoiſſance;	C'est aux yeux des Thébains, que je veux avec vous, De la vérité pure, ouvrir la connaissance;
Et la choſe ſans doute eſt aſſez d’importance, Pour affecter la circonſtance, De l’éclaircir aux yeux de tous.	Et la chose sans doute est assez d'importance, Pour affecter la circonstance, De l'éclaircir aux yeux de tous.
Alcméne attend de moy ce public témoignage.	Alcméne attend de moi ce public témoignage.
Sa vertu, que l’éclat de ce deſordre outrage, Veut qu’on la juſtifie, & j’en vais prendre ſoin.	Sa vertu, que l'éclat de ce désordre outrage, Veut qu'on la justifie, et j'en vais prendre soin.
C’eſt à quoy mon amour envers elle m’engage;	C'est à quoi mon amour envers elle m'engage;
Et des plus nobles Chefs, je fais un aſſemblage, Pour l’éclairciſſement, dont ſa gloire a beſoin.	Et des plus nobles Chefs, je fais un assemblage, Pour l'éclaircissement, dont sa gloire a besoin.
Attendant avec vous ces Témoins ſouhaitez, Ayez, je vous prie, agreable De venii nonolerla Paora, Où vous a Soſie invitez.	Attendant avec vous ces Témoins souhaitez, Ayez, je vous prie, agréable De veni nonolerla Paora, Où vous a Sosie invitez.
OSIE.	OSIE.
Je ne me trompois pas, Meſſieurs, ce mot termine Toute l’irreſolution:	Je ne me trompais pas, Messieurs, ce mot termine Toute l'irrésolution:
Le veritable Amphitryon, Eſt l’Amphitryon, où l’on diſne.	Le véritable Amphitryon, Est l'Amphitryon, où l'on dîne.
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
puis-je plus bas me voir humilié!	puis-je plus bas me voir humilié!
Quoy!	Quoi!
faut-il que j’entende icy, pour mon martyre, Tout ce que l’Impoſteur, à mes yeux, vient de dire;	faut-il que j'entende ici, pour mon martyre, Tout ce que l'Imposteur, à mes yeux, vient de dire;
Et que dans la fureur, que ce diſcours m’inſpire, On me tienne le Bras lié !	Et que dans la fureur, que ce discours m'inspire, On me tienne le Bras lié !
NAUCRATES.	NAUCRATES.
Vous vous plaignez à tort.	Vous vous plaignez à tort.
Permettez nous d’attendre L’éclairciſſement, qui doit rendre Les reſſentimens de ſaiſon.	Permettez nous d'attendre L'éclaircissement, qui doit rendre Les ressentiments de saison.
Je ne ſçay pas s’il impoſe:	Je ne sais pas s'il impose:
Mais il parle ſur la choſe, Comme s’il avoit raiſon.	Mais il parle sur la chose, Comme s'il avait raison.
AMPHIIRTON.	AMPHIIRTON.
Allez, foibles Amis, & flatez l’impoſture.	Allez, faibles Amis, et flattez l'imposture.
Thebes en a pour moy de tout autres que vous:	Thebes en a pour moi de tout autres que vous:
Et je vais en trouver, qui partageant l’injure, Sçauront preſter la main à mon juſte courrous.	Et je vais en trouver, qui partageant l'injure, Sauront prêter la main à mon juste courrous.
UPITER.	OÙPITER.
Hé bien, je les attens;	Hé bien, je les attends;
& ſçauray decider Le differend en leur preſence.	et saurai décider Le différend en leur présence.
D 2	 2
A M	À M
AMPHITRYON.	AMPHITRYON.
Fourbe, tu crois par là, peut-eſtre, t’évader:	Fourbe, tu crois par là, peut-être, t'évader:
Mais Iien le te iģauroit ſatrver de ma vangeance.	Mais Jien le te iģauroit satrver de ma vengeance.
PITER.	PITER.
A ces injurieux propos Je ne daigne à preſent répondre;	À ces injurieux propos Je ne daigne à présent répondre;
Et tantoſt je ſçauray confondre Cette Fureur, avec deux mots.	Et tantôt je saurai confondre Cette Fureur, avec deux mots.
AMPHITRYON.	AMPHITRYON.
Le Cler meiie, ie Clei, ile t'y içauroit ſouſtraire:	Le Cler meiie, votre Cléli, île t'y içauroit soustraire:
Et juſques aux Enfers, j’iray ſuivre tes pas.	Et jusques aux Enfers, j'irai suivre tes pas.
PITER.	PITER.
Il ne ſera pas neceſſaire;	Il ne sera pas nécessaire;
Et l’on verra tantoſt, que je ne fuiray pas.	Et l'on verra tantôt, que je ne fuirai pas.
AMPHITRYON.	AMPHITRYON.
Allons, courons, avant que d’avec eux il ſorte, Aſſembier des Amis, qui itiivent mion courrous:	Allons, courons, avant que d'avec eux il sorte, Assembier des Amis, qui itivent myon courrous:
Et chez moy venons à main-forte, Pour le percer de mille coups.	Et chez moi venons à mainforte, Pour le percer de mille coups.
PITER.	PITER.
Point de façons, je vous conjure:	Point de façons, je vous conjure:
Elitrons vilte dans la Malion.	Élitrons vilte dans la Malion.
NAUCRATES.	NAUCRATES.
Certes, toute cette avanture Confond le ſens, & la raiſon.	Certes, toute cette aventure Confond le sens, et la raison.
SOSIE.	SOSIE.
Faites tréve, Meſſieurs, à toutes vos ſurpriſes;	Faites trêve, Messieurs, à toutes vos surprises;
Et pleins de joie, allez tabler juſqu’à demain.	Et pleins de joie, allez tabler jusqu'à demain.
Que je vais m’en donner!	Que je vais m'en donner!
& me mettre en beau train, De raconter nos vaillantiſes?	et me mettre en beau train, De raconter nos vaillantises?
Je brûle d’en venir aux priſes;	Je brûle d'en venir aux prises;
Et jamais je n’eus tant de faim.	Et jamais je n'eus tant de faim.
dou	dou
CENE VI.	CÈNE VI.
MERCURE, SOSIE.	MERCURE, SOSIE.
2I MERCURE.	2I MERCURE.
Rreſte.	Rrête.
Quoy!	Quoi!
tu viens icy mettre ton nez, Impudent Fleureur de Cuiſine?	tu viens ici mettre ton nez, Impudent Fleureur de Cuisine?
SIE.	SIE.
Ah!	Ah!
de grace, tout doux.	de grâce, tout doux.
MERCURE.	MERCURE.
Ah!	Ah!
