A VIIIDIIRTE LA ROCVREVSE GENERALE.	À VIIIDIIRTE LA ROCUREUSE GÉNÉRALE.
ç’en eſt trop, Prince, il vous faut quitter, Ou vous me forcerez à la fin d’éclatter, Mais ſi vous eſtes fou, ie veux pareſtre ſage, Ne nous arreſtons pas en ce lieu dauantage ruyons, retſſez-vous, ne me voyerjamais, Hola.	Ne nous est trop, Prince, il vous faut quitter, Ou vous me forcerez à la fin d'éclater, Mais si vous êtes fou, votre veux paraître sage, Ne nous arrêtons pas en ce lieu davantage ruions, retssez-vous, ne me voyerjamais, Holà.
i d IPAI 0	y d IPAI 0
SCENE IV.	SCÈNE IV.
I.	I.
EEN ENE LE CAPITAINE, LA REYNE, 12 IRENE.	EEN ENE LE CAPITAINE, LA REINE, 12 IRENE.
LE CAPITAINE.	LE CAPITAINE.
Madame,	Madame,
LA REINE.	LA REINE.
114 Irene entrons dans le Palais, Le Soleil deſia haut de ce jardin me chaſſe, Suiuez-moy, i’en ſçay trop, j’ay connu ſon au- Bas dace.	114 Irène entrons dans le Palais, Le Soleil déjà haut de ce jardin me chasse, Suivez-moi, j'en sais trop, j'ai connu son au- Bas dace.
SCENE V LE PRINCE, TERALDE.	SCÈNE V LE PRINCE, TERALDE.
LE PRINCE.	LE PRINCE.
La tentatiue eſt faite, elle connoiſt mon cœur, Il falloit eſſuyer ſa premiere rigueur, I’ay fait, ie le confeſſe, vn adueu temeraire, Elle a deu s’émouuoir, i’excuſe ſa colere, Mais puis qu’elle a ſouffert mon feu ſans éclater, Ie puis de quelque eſpoir encore me flater, Icy Teralde ç’en eſt fait, ie viens d’ouurir mon ame,	La tentative est faite, elle connaît mon cœur, Il fallait essuyer sa première rigueur, J'ai fait, ie le confesse, une aveu téméraire, Elle a de voir, j'excuse sa colère, Mais puis qu'elle a souffert mon feu sans éclater, Je puis de quelque espoir encore me flatter, Ici Talde ç'en est fait, Seigneur viens d’ ouurir une âme,
4 TERALDE.	4 TERALDE.
Hé!	Hé!
bien, la Reine a deu reietter voſtre flâme, Vous vous eſtes perdu, Seigneur qu’auez.	bien, la Reine a dé reietter votre flamme, Vous vous êtes perdu, Seigneur qu'avez.
vous fait?	vous fait?
2d TI	2d TY
LE PRINCE.	LE PRINCE.
D’abord elle a blâmé mon Amour en effet, M’a chaſſé bruſquement, m’a fait quelque menaſſe, Mais en me condamnant ſes yeux me faiſoient grace, c Ie ne ſçay quoy de doux brillant dans leur fierté, Deſauoüoit ſa bouche, ou ie me ſuis flaté, Elle ne pouuoit moins qu’inſulter ſur ma flâme, Elle craint Ladiſlas, ie fuis frere, elle eſt femme, Non, non, la bien-ſeance au premier mouuement, Ne luy permettoit pas d’en vſer autrement, Si ma temerité l’auoit fort irritée, Elle auroit fait du bruit, ſe ſeroit emportée, Pour auoir des témoins de mes libres diſtours.	D'abord elle a blâmé mon Amour en effet, M'a chassé brusquement, m'a fait quelque menace, Mais en me condamnant ses yeux me faisaient grâce, ç Je ne sais quoi de doux brillant dans leur fierté, Desauoüoit sa bouche, ou ainsi me suis flatté, Elle ne pouvait moins qu'insulter sur ma flamme, Elle craint Ladislas, Seigneur fuis re, elle est femme, Non, non, la biensance au premier mouvement, Ne lui permettait pas d'en user autrement, Si ma témérité l'avait fort irritée, Elle serait fait du bruit, Elle serait emportée, Pour avoir des témoins de mes té distoursm
Elle auroit appellé des gens à ſon ſetouis, Mais pal Ia fetenue, & parion indulgence.	Elle aurait appelé des gens à son sétouis, Mais pal Ia fetenue, et parion indulgence.
TERALDE.	TERALDE.
ld dημq IiodM Ne l’imputez, Seigneur, qu’à ſa grandeprudence, La douceur dont á tort vous vous eſtes flaté.	léd donc JiodM Ne l'imputez, Seigneur, qu'à sa grandeprudence, La douceur dont tort vous vous estes flaté.
Venoit de ſa vertu plus que de ſa bonté, Elle vous voit vtile, & comme elle eſt fort ſage.	Venait de sa vertu plus que de sa bonté, Elle vous voit vutile, et comme elle est fort sage.
Elle a craint de vous perdre en publiant l’outrage, 2 Son eſprit dans ce trouble a deu s’imaginer, Quinbiimte donceur vous pouiioit ramener.	Elle a crainte de vous perdre en publiant l'outrage, 2 Son esprit dans ce trouble a dev s'imaginer, Quinbiimte donc vous pouiait ramener.
Et qu’efin ſa menace auec quelque apparence, Auroit de voſtre cœur banny toute eiperance,	Et qu'esin sa menace a quelque apparence, Aurait de votre cœur banni toute eiperance,
LE PRINCE.	LE PRINCE.
Omoidlo Ll de (IMON FMUIV Que vous eſtes, Teralde, vn Amy dangereux, De me deſeſperer quand ie puis eſtre heureux, La conſtance en Amour fait ſouuent des miracles, Par la perſeuerance on rompt de grands obſtacles, I'en voy chez les Heros mille exemples fameux, I'eſpereray, Teralde, ouie mourray çomme eux, Flattez donc ma douleur, & ſouffrez que i’eſpere, Si ma langue me nuit, ie conſens de me taire, Mais ſouffrez que i’eſcriue, & ſoyez moins prudent Si vous voulez encore eſtre mon confident.	Omoido Lo de (IMON FALUIV Que vous êtes, Terde, un Ami dangereux, De me désespérer quand je puis être heureux, La constance en Amour fait souvent des miracles, Par la persévérance on rompt de grands obstacles, J'en voy chez les Héros mille exemples fameux, J'espérerai, Terde, ouï rai çomme eux, Flattez donc ma douleur, et souffrez que j'espère, Si ma langue me nuit, une consens de me taire, Mais souffrez que j'écrive, et soyez moins prudent Si vous voulez encore être mon confident.
Hyer n’oſant à ma voix ma vaſſion commettre, I’auois à tous hazards preparé cette letrre, Teralde allez la rendre, allez, aſſeurément, Qu'elle te a receuë, & fauorablement.	Hyer n'osant à ma voix ma vassion commettre, J'avais à tous hasards préparé cette letrre, Téralde allez la rendre, allez, assurément, Qu'elle te a reçue, et favorablement.
TERALDE.	TERALDE.
Mais.	Mais.
9	9
LE PRINCE.	LE PRINCE.
Ne repliquez point ie veux qu’on m’obeïſſe, Il faudra la ſurprendre auec queſque artifice, Feignez, pour l’obliger à lire cet eſcrit, Que m’eſtant trouué mal ie me ſuis mis au lit, Et qu’ayant oublié choſe important à dire, Et qu’ayant oublié choſe importante à dire, Non ſans peine i’ay pris la liberté d’eſcrire, Que i’attens ſa réponſe, & que i’en ſuis preſſé, Allez, pour mal finir j’ay trop bien commencé, Obſeruez ſi ſes yeux marqueront rien de tendre, Dans mon appartement ie m’en vay vous attendre, Mais ſi vous n’auez rien qui flate mon eſpoir, N’y venez point, Teralde, eſuitez de me voir, Ie ne la puis ſçauoir contre moy coniurée, Sans voir dans ſes dédains ma mort bien aſſeurée.	Ne répliquez point ie veux qu'on m'obéisse, Il faudra la surprendre qu' quesque artifice, Feignez, pour l'obliger à lire cet écrit, Que m'étant trouvé mal ie me suis mis au lit, Et qu'ayant oublié chose important à dire, Et qu'ayant oublié chose importante à dire, Non sans peine j'ai pris la liberté d'écrire, Que j'attends sa réponse, et que j'en suis pressé, Allez, pour mal finir j'ai trop bien commencé, Observez si ses yeux ont rien de tendre, Dans mon appartement ie men vay vous endre, Mais si vous auez rien qui flate mon espoir, y venez point, Teralde, évitez de me voir, Ie ne a puis sçauoir contre moi coniurée, Sans voir dans ses dédains ma mort bien asseurée.
b mnimnemi	 mnimnemi
TERALDE, ſeul.	TERALDE, seul.
ENE	ENE
Helas!	Hélas!
ie vay moy-meſme aider à le trahir, I'en ſuis au deſeſpoir mais il faut obeyr, Pauure Amant aueuglé ta paſſion t’ennyure, Elle perd ta raiſon, tu veux pourtant la ſuiure, Elle oſe te flatter d’vn eſpoir ſuborneur, Qui menaſſe ta vie, & qui t’oſte l’honneur, Dañs ce dur Miniſtere où mon deuoir m’appelle, Trop de fidelité me va rendre infidelle, Mais il faut malgré moy ſuiure ſon mouuement, Marchons ſans heziter, ſeruons-le aueuglement, Cette porte eſt ouuerte, & conduit chez la Reine, Entrons, mais ie la voy qui ſort auec Irene, D’abord ſur mon viſage elle a porté les yeux.	Ce vais moi-même aider à le trahir, J'en suis au désespoir mais il faut obéir, Pauvre Amant aveuglé ta passion t'ennivre, Elle perd ta raison, tu veux pourtant la suivre, Elle ose te flatter d'un espoir suborneur, Qui menace ta vie, et qui t'ôte l'honneur, Dañs ce dur Ministère où mon devoir m'appelle, Trop de fidélité me va rendre infidèle, Mais il faut malgré moi suivre son mouvement, Marchons sans hériter, servons-le auglement, Cette porte est ouverte, et conduit chez la Reine, Maisons, mais ie la qui sort auec Irene, La sur mon vi elle a te les yeux.
SCENE VII.	SCÈNE VII.
2 LA REYNE, TERALDE, IRENE, &c.	2 LA REINE, TERALDE, IRENE, etc.
LA REINE.	LA REINE.
Teralde, quel deſſein vous conduit en ces lieux?	Térale, quel dessein vous conduit en ces lieux?
TERALDE.	TERALDE.
Le Prince à ſon retour de voſtre promenade, Vient de ſe mettre au lit, Madame, il eſt malade.	Le Prince à son retour de votre promenade, Vient de se mettre au lit, Madame, il est malade.
Malade?	Malade?
LA REINE.	LA REINE.
TERAL'DE.	TERAL'DE.
Il ma chargé d’vn billet que voicy, Dont la réponſe preſſe & ie l’attens icy.	Il ma chargé d'être billet que voici, Dont la réponse presse et un l'attends ici.
LA REINE.	LA REINE.
Que contient ce billet, s’il eſt vray qu’il importe, Au bien de cet Eſtat, vous ſçauen ce qu’il porte ur lon lecret, le içay voitre credit?	Que contient ce billet, s'il est vrai qu'il importe, Au bien de cet État, vous sçauen ce qu'il porte ur lon lecret, le joi voitre crédit?
TERALDE.	TERALDE.
Pour cette fois, Madame, il ne m’en a rien dit.	Pour cette fois, Madame, il ne m'en a rien dit.
LA REINE, bas.	LA REINE, bas.
Ce billet me fait peur, car vn fou le hazarde, Contre tout ce qu’il fait ie fuis touſiours en garde, Hé!	Ce billet me fait peur, car ainsi fou le hasarde, Contre tout ce qu'il fait ie fuis toujours en garde, Hé!
bien ie le vay lire attendez vn moment, S’il oſe perſiſter dans ſon aueuglement, Bas.	bien ie le vais lire attendez un moment, S'il ose persister dans son aveuglement, Bas.
Ie veux voir ſans témoins ce qu’il oſe m’écrire, ooh mal eſt dans l’eſprit, & ie crains qu’il n’empire.	Je veux voir sans témoins ce qu'il ose m'écrire, oh mal est dans l'esprit, et quelque crains qu'il n'empire.
SCENE YIII.	SCÈNE YIII.
IRENE, TERALDE.	IRENE, TERALDE.
IRENE.	IRENE.
L2 0010 Le Prince eſt-il ſi mal, ce mal vous fait-il peur, Teralde?	L2 0010 Le Prince est-il si mal, ce mal vous fait-il peur, Terde?
ie ſçay bien qu’il ne luy tient qu’au cœur, Dite uy de ma part que i’en ſçay l’origine, u’il me le cache en vain, & que ie ſuis deuine, ue de plus, ie ſçay bien qu’il m’a voulu changer, Mais qu’en me trahiſſant il ſonge à me vanger, j’y manquez pas, Teralde, & faites luy conneſtre, que ie le plains beaucoup quoy qu’indigne de I'eſtre, Qu’enfin les traiſtres ſont du Ciel abandonnez.	nos sais bien qu'il ne lui tient qu'au cœur, Dite uy de ma part que j'en sais l'origine, u'il me le cache en vain, et que je suis devine, ue de plus, Seigneur sais bien qu'il m'a voulu changer, Mais qu'en me trahissant il songe à me venger, j'y manquez pas, Terde, et faites lui connestre, que sans le plains beaucoup quoi qu'indigne de J'être, Qu'enfin les traîtres sont du Ciel abandonnez.
TERALDE.	TERALDE.
Madume, rontiuy ue que vous m’ordonnez.	Madume, rontiv ue que vous m'ordonnez.
SCENE IX.	SCÈNE IX.
LA REYNE, TERALDE, 4 IRENE, &c.	LA REINE, TERALDE, 4 IRENE, etc.
LA REINE.	LA REINE.
Teralde, ce billet ſenſiblement me touche, Ie m’en vay de ce pas y répondre de bouche, Allez en aduertir le Prince, ie vous ſuy,	Térale, ce billet sensiblement me touche, Je m'en vais de ce pas y répondre de bouche, Allez en avertir le Prince, je vous suivi,
TERALDE.	TERALDE.
Mais.	Mais.
LA REINE.	LA REINE.
Puis qu’il eſt malade il faut aller chez luy, Faites qu’il y ſoit ſeul afin que ie m’explique.	Puis qu'il est malade il faut aller chez lui, Faites qu'il y soit seul afin que ie explique.
TERALDE.	TERALDE.
* 3H11E 04 Venir chez luy, Madame?	* 3H1E 04 Venir chez lui, Madame?
LA REINE.	LA REINE.
mnen, ce tans icpnque.	men, ce tans icpnque.
LA REYNE, IRENE.	LA REINE, IRENE.
Voyez où la fureur porte cet inſenſé, Voyez ſon inſolence, aprés l’auoir chaſſé, Il ſe flatte, il eſpere, il oſe encor m’écrire, Mais voyez de quel ſtile, & haſtez-vous de lire, Car ie le vay confondre, & ie n’y veux que vous, Ie deurois l’accabler en preſence de tous, Ie deurois luy marquer l’eſfet de ma colere, Pour le iupr et du Roy le ne le veux pas faire, Ie le vay voir enfin, pour luy faire ſehtir, 2 qu euctaque à moy, s'en pourra repentir.	Voyez où la fureur porte cet insensé, Voyez son insolence, après l'avoir chassé, Il se flatte, il espère, il ose encor m'écrire, Mais voyez de quel style, et hâtez-vous de lire, Car ie le vais confondre, et ainsi n'y veux que vous, Je devrais l'accabler en présence de tous, Je devrais était marquer l'esfet de ma colère, Pour le iupr et du Roy le ne le veux pas faire, Je le vais voir enfin, pour lui faire sehir, 2 qu eutaque à moi, s'en ra repentir.
IRENE LIT LA LETTTRE DV PRINCE,	IRENE LIT LA LETTTRE DU PRINCE,
LETTRE.	LETTRE.
EINE qui de mon cœur auez ſçeu trionfer Si vous auez jugé mon Amour criminelle, omme vn Monſtre à vos yeux ie la veux eſtouffer, Eemoumnaucadnes.	EYNE qui de mon cœur avez su trionfer Si vous avez jugé mon Amour criminelle, omme Monstre vos yeux ie la veux étouffer, Eemoumnaucadnes.
9	9
toutes vos rigueurs vous me verrez ſoûmis.	toutes vos rigueurs vous me verrez soumis.
toyez ſi par ma mort ie les puis ſatisfaire, e m’en vay la chercher parmy nos ennemis, Pluſtoſt que vous déplaire.	toyez si par ma mort Dieu les puis satisfaire, e 'en vais la chercher parmi nos ennemis, Plutôt que vous déplaire.
uy, ſi mon zele ardant vous ſemble vn attentat, oſtre rigueur ſera de ma perte Iuiuis, ay;	Oui, si mon zèle ardant vous semble un attentat, ôtre rigueur sera de ma perte Juivis, ai;
ie vous dis Adieu, diſpolez de I’Eſtat, Ainſi que de ma vie.	Ah vous dis Adieu, dispolez de J'État, Ainsi que de ma vie.
ous pouuez toutefois en prolonger le cours, l’vn mot tendre & doux voſtre main me conſole, is las ce ſeroit trop, le deſtin de mes jours Dépend d’vne parole.	ous pouvez toutefois en prolonger le cours, l'un mot tendre et doux votre main me console, is las ce serait trop, le destin de mes jours Dépend d'une parole.
LA REINE.	LA REINE.
oyez à quel excez ſon audace a monté, e m’en vay le guerir de ſa credulité, Puis qu’il abuſe ainſi de mon trop d’indulgence, faut par la rigueur vaincre ſon inſolence, uez-moy.	oyez à quel excès son audace a monté, eût l'en vais le guérir de sa crédulité, Puis qu'il abuse ainsi de mon trop d'indulgence, faut par la rigueur vaincre son insolence, -moi.
SCENE XI.	SCÈNE XI.
TERALDE, LA REINE, IRENE TERALDE.	TERALDE, LA REINE, IRENE TERALDE.
La voicy qui marche ſur mes pas, O Dieux!	La voici qui marche sur mes pas, Ô Dieux!
il eſt dehors, il ne l’attendoit pas, Le Prince vous attend dans le jardin, Madame.	il est dehors, il ne l'attendais pas, Le Prince vous attend dans le jardin, Madame.
LA REINE.	LA REINE.
Le voicy, banniſſons tout eſpoir de ſon ame.	Le voici, bannissons tout espoir de son âme.
SCENE XII.	SCÈNE XII.
LA REINE, LE PRINCE, IRENE, TERALDE.	LA REINE, LE PRINCE, IRENE, TERALDE.
LA REINE.	LA REINE.
Ie vous demandois ſeul, mais mon cœur ſans danger, Deuant ces deux témoins ſe pourra décharger, Prince ſans jugement, jeune homme temerairre, Quel eſt voſtre deſſein, & que penſez-vous faire?	Je vous demandais seul, mais mon cœur sans danger, Deuant ces deux témoins se pourra décharger, Prince sans jugement, jeune homme témérairre, Quel est votre dessein, et que pensez-vous faire?
Ie croyois ce matin vous auoir bien gueri, D’vn ridicule eſpoir que vous auiez nourri, Et de ſang froid encor vous oſez bien m’écrire, Ce que dans yos traſiſports vous m'auez oſé dire:	Je croyais ce matin vous avoir bien guéri, D'un ridicule espoir que vous aviez nourri, Et de sang froid encor vous osez bien m'écrire, Ce que dans yos trisports vous m'avez osé dire:
Comme Comme j’ay repouſſé ce premier attentat, I’ay creu, ſi ce billet ne regardoit l’Eſtat.	Comme Comme j'ai repoussé ce premier attentat, J'ai cru, si ce billet ne regardait l'État.
Qu’il marquoit voſtre crime & voſtre repentãce, Et demandoit pardon d’vne ſi grande offence, Ie l’ay leu, ie l’aduouë, & viens de vifue voix, Marquer mes ſentimens pour la derniere fois, S’il arriue jamais, Prince ingrat que i’abhorre, Que par vn ſeul regard voſtre œil me deshonore, Que par le moindre ſigne, & la moindre langueur, Vous marquiez deuant moy la foibleſſe du cœur, I’aduertiray le Roy de cette folle audace, Et que l’effet ſuiura de fort prés la menace, Dés auiourdhuy i’eſcris à ce fidelle eſpoux, Qu’il rompe, s’il luy plaiſt, tout commerce entre pous, Ie n’en diray pas plus, s’il en a l’ame atteinte, Qu'il deuine, s’il peut, le ſujet de ma pleinte, mais pour peu qu’il Muir prelte, hIçauta deſormais, 16 Pourquoy ie vous deffens de me parler jamais.	Qu'il marquait votre crime et ainsi repentance, Et demandait pardon d'une si grande offense, Je l'ai lu, ainsi l'avoue, et viens de vifue voix, Marquer mes sentiments pour la dernière fois, S'il arrive jamais, Prince ingrat que j'abhorre, Que par un seul regard votre œil me déshonore, Que par le moindre signe, et la moindre langueur, Vous marquiez devant moi la faiblesse du cœur, J'avertirai le Roi de cette folle audace, Et que l'effet suivra de fort pré la menace, Dés auiourdhuy 'écris j' elle époux, il rompe, il lui plaît, à ce entre pous, Ie en diray pas plus, il en a lâme atteinte, Qu'il deuine, il peut, le sujet deom pleinte, mais pour peu il Muir prelte, hIçauta désormais, 16 Pourquoy ie vous défens de me parler jamais.
0 SCENE XIII.	0 SCENE XIII.
dilb, 2b  LE PRINCE, TERALDE.	dilb, 2b LE PRINCE, TERALDE.
LE PRINCE.	LE PRINCE.
2 0 O Dieux quelle fureur?	2 0 Ô Dieux quelle fureur?
9	9
TERALDE.	TERALDE.
Ie l’auois bien préuenẽ, E	Je l'avais bien préuenẽ, É
LE PRINCE, oν Momiocllovdou Quoy tu ne peux ſouffrir ny ma voix ny ma veue Cruelle, dans mon cœur iene fais des aurels, Et ie fuis dans le tien le dernier des mortels, Ie t’ay comme Deeſſe en Eſclaue feruie, Et tu veux atraquer mon honneur & ma viez Condamne mes deſirs, rends mes vœux impuiſſans, Ry toy de mes langueurs, rejoite mou encens, Sois plus inexorable & plus ingrate encore, Mais ne prepate pas la mort à qui t’adore.	LE PRINCE, oν Momiocllovdou Quoi tu ne peux souffrir quelque voix Seigneur ma vue Cruelle, dans mon cœur iene fais des aurels, Et Seigneur fuis dans le tien le dernier des mortels, Je t'ay comme Déesse en Esclave servie, Et tu veux atraquer mon honneur et ma vienne Condamne mes désirs, rends mes vœux impuissans, Ry toi de mes langueurs, rejoute mou encens, Sois plus ingrate et plus ingrate encore, Plus ne prepate pas la mort à qui t'adore.
De ta brutalité i’aduertiray le Roy, Monſtre dénaturé qui t’attacques à moy?	De ta brutalité j'avertirai le Roi, Monsieur dénaturé qui t'attacques à moi?
Ah!	Ah!
ie n’attendray pas qu’on ait ourdi la trâme, Ie te vay preuenir impitoyable femme, Tu ſçais qu’il n’appartient qu’à de foibles eſprits, D'eſſuyer ta menace aprés tout tes mépris, Tu me veux perdre enfin, tu l’oſes deſia croire, Ie t’empeſcheray bien de joüir de ta gloire, Ta reſolution eſt priſe, m’as-tu dit, Sur ton credule Eſpoux ie connoy ton credit, Mais tes complots ſont vains, ils ne m’eſtonnent gueres, Tigreſſe, i’agiray lors que tu deliberes, Ie preuiendray ta rage, & dans fort peu de temps Ie te reray tomber au plege que tu tends.	Ce n'attendrai pas qu'on ait ourdi la trame, Je te vais prévenir impitoyable femme, Tu sais qu'il n'appartient qu'à de faibles esprits, D'essuyer ta menace après tout tes mépris, Tu me veux perdre enfin, tu l'oses déjà croire, Je t'empêcherai bien de joüir ' à gloire, Ta résolution est prise, m'as-tu dit, Sur ton crédule Espoux connais connoy ton crédit, Mais tes complots sont vains, ils ne m'étonnent guère, Tigresse, j'agiray j' ai tu deliberes, Ie ai taombre, et dans fort peu de temps Ie a ré tomber au plege que tu tends.
Au point que cette ingrate eſt icy reuenuë, Cetre lettre du Roy m’auoit eſté renduë, Par vn ſecond Courrier, voyons ce qu’elle dit.	Au point que cette ingrate est ici revenue, Cetre lettre du Roi m'avait été rendue, Par un second Courrier, voyons ce qu'elle dit.
TERALDE.	TERALDE.
Il ſe tire à l'écart, & tout bas il la lit.	Il se tire à l'écart, et tout bas il la lit.
Lts ennemis defaits attendent du ſecours, Mais pour le repos de nos jours, Amurat eſt-preſſé de paſſer en Aſie, Ie ne crains donc plûs rien de l’armée ennemie.	Lts ennemis défaits attendent du secours, Mais pour le repos de nos jours, Amurat est-pressé de passer en Asie, Je ne crains donc plus rien de l'armée ennemie.
Et laiſſe pour deux mois repoſer nos guerriers,	Et laisse pour deux mois reposer nos guerriers,
A l’ombre de mes Lauriers.	À l'ombre de mes Lauriers.
Comme jj’aime la Reine & d’vne Amour fort tendre, 12 1951214 Ie vole en poſte en Alhé & le la veux ſurprendre Demain incognito, i’iray ſecrettement.	Comme j'aime la Reine et d'une Amour fort tendre, 12 1951214 Je vole en poste en Alhé et le la veux surprendre Demain incognito, j'irai secrettement.
Paſſer dans voſtre appartement, *3ſCEOTT I’ay la clef du jardin où vous viendrez m’attendre, LADISLAS.	Passer dans votre appartement, *3sCEOTT I'ai la clef du jardin où vous viendrez m'attendre, LADISLAS.
nid vou1 LE PRIINCE.	nid vou1 LE PRINCE.
llll n dlun do Il arrriue auiourdhuy, ie n’en ſçaurois douter, L’occaſion eſt belle, il en faut profiter, Pour ſauuer noſtre honneur diſpoſons toute choſe, Deuant Teralde meſme ayons la bouche cloſe.	llll n élun do Il arrive auiourdhuy, tu n'en saurais douter, L'occasion est belle, il en faut profiter, Pour sauver notre honneur disposons toute chose, Deuant Téralde même ayons la bouche close.
TERALDE.	TERALDE.
D’où vient qu’ayant releu ſa lettre à baſſe voix, Il m’a teu ſon ſecret pour la premiere fois.	D'où vient qu'ayant relev sa lettre à basse voix, Il m'a tu son secret pour la première fois.
ACTE IV.	ACTE IV.
SCENE I.	SCÈNE I.
LAREINE, IRENE.	LAREINE, IRENE.
LA REINE.	LA REINE.
Ouy j’ay pouſſé trop loin ce grand reſſentiment, Ie le dvuois triierer moins rigoureuſement, Car ie crains ſa fureur d'vn dererpon ſuiuie, Et qu’en ce deſeſpoir il n’attente à ſa vie.	Oui j'ai poussé trop loin ce grand ressentiment, Je le dvuois triièrer moins rigoureusement, Car ie crains sa fureur d'un dererpon suivie, Et qu'en ce désespoir il n'attente à sa vie.
2.	2.
4 IRENE.	4 IRENE.
Il l’aime trop, Madame, ah!	Il l'aime trop, Madame, ah!
ie le connoy bien, Non, non, contre ſa vie il n’attertera rien, Ie craindrois bien pluſtoſt comme il hayt mieur qu’il n’aime, Que ce deſeſperé n’attentaſt fur vous meſme, Aprés voſtre menace.	Hé le connais bien, Non, non, contre sa vie il n'attertera rien, Je craindrais bien tôt comme il hait mieur qu'il n'aime, Que ce désespéré n'attentât fur vous rendre, Après votre menace.
LA REINE.	LA REINE.
Ah!	Ah!
ie ne le croy pas.	Ne ne le crois pas.
IRENE.	IRENE.
La vangeance, Madame, a de charmans appas, Vous l’auez fait trembler!	La vengeance, Madame, a de charmants appas, Vous l'avez fait trembler!
de l’horreur de ſon vice, Il voit bien s’il eſt ſçeu qu’il faudra qu’il periſſe Vous l’auez inſulté, vous l’auez menacé, Craignez tout de l’eſprit d’vn Amant inſenſé, Ne doutez pas, s’il croit ſa perte inéuitable, Et qu’il ne vous accuſe, & qu’il ne vous accable, Pleuenonoule, madume, ce rucedrone ad Roy.	de l'horreur de son vice, Il voit bien s'il est su qu'il faudra qu'il périsse Vous l'avez insulté, vous l'avez menacé, Craignez tout de l'esprit d'un Amant insensé, Ne doutez pas, s'il croit sa perte inévitable, Et qu'il ne vous accuse, et qu'il ne vous accable, Plèvenonoule, madume, ce rucedrone ad Roi.
LA REINE.	LA REINE.
Non, que ce malheureux ne craigne rien de moy, Il s’eſt bien oublié, ie le confeſſe, Irene, Mais comme l’Amour ſeul fait ſon crime & ſa peine, Et comme il l’a flatté d’vn eſpoir deceuant, Ie ne ſçaurois penſer qu’il paſſe plus auant, Ie voy de cet Amour la violence extreſme, Comme il eſt venu viſte, il s’en ira de meſme, Priué de tout eſpoir, on le verra finir, Comme vn feu qui n’a plus dequoy s’entretenir, Enfin ſur vos ſoupçons qui le font trop coupable, lene purs ine feroudre à perdre vn miſerable, Tranſporté malgré luy d’vne aueugle fureur, Qui peut-eſtre à luy-meſme à preſent fait horreur.	Non, que ce malheureux ne craigne rien de moi, Il s'est bien oublié, Seigneur le confesse, Irene, Mais comme l'Amour seul fait son crime et sa peine, Et comme il l'a flatté d' avoir décevant, Je ne saurais penser qu'il passe plus avant, Je vois de cet Amour la violence extrême, Comme il est venu vite, il s'en ira de même, Privé de tout espoir, on le verra finir, Comme un feu qui n'a plus dequoy s'entretenir, Enfin sur vos soupçons qui le font trop coupable, lene purs iné feroudre à perdre à per, Transporté malgré à pe aueugle fureur, Qui peut-être a lui-même porté ma horreur!
214	214
*1 IRENE.	*1 IRENE.
I’admire vos bontez, mais ie crains ſon audace, C’eſt vn fou dangereux, eſt-ce point luy qui paſſe, Là haut auec Teralde?	J'admire vos bontés, mais ie ainsi son audace, C'est un fou dangereux, est-ce point été qui passe, Là haut rés Téralde?
il aura pû nous voir.	il aura pu nous voir.
LA REINE.	LA REINE.
auii Ma M Comme ie n’ay tien dit qui flatte ſon eſpoir, Ne crains pas qu’il m’aborde, allons dans ce boccage, Et gouſtons la fraĩcheur que donne cet ombrage.	auii Ma M Comme ici n'ai tien dit qui flatte son espoir, Ne crains pas qu'il m'aborde, allons dans ce bocage, Et goûtons la fraîcheur que donne cet ombrage.
SCENE II.	SCÈNE II.
LE ROT, RAMMLLE.	LE ROT, RAMMLE.
LE ROY.	LE ROY.
