DVLE PRINCE RECONNV TRAGI-COMEDIE.	DULE PRINCE RÉCONNV TRAGI-COMÉDIE.
Eſt:	Est:
ce parce que ſa ſœurme donne la liberté?	ce parce que sa sœurme donne la liberté?
S’il eſt ainſi i’auoüe que vous agiſſez d’vne façon bien extraordinaire, & que la prudence qui vous conſeille m’eſt inconnuë:	S'il est ainsi j'auoüe que vous agissez d'une façon bien extraordinaire, et que la prudence qui vous conseille m'est inconnue:
Car ſi vous auiez reſolu de donner la liberté de la Princeſſe pour la mienne, que ne la donnezvous, puiſque vous auez receu ce que vous deſirez?	Car si vous aviez résolu de donner la liberté de la Princesse pour la mienne, que ne la donnezvous, puisque vous avez reçu ce que vous désirez?
Il eſt vray que la guerre s’eſt fait dés lors au prejudice de la juſtice ciuile, que l’eſpée qui la deût maintenir s’eſt employée à la deſtruire:	Il est vrai que la guerre s'est fait dès lors au préjudice de la justice civile, que l'épée qui la deût maintenir s'est employée à la détruire:
mais il eſt auſſi vray qu’elle a conſerué inuiolablement ce qu’elle auoit eſtably, que la bonne foy a touſiours reglé les conuentions reciproques;	mais il est aussi vrai qu'elle a conservé inviolablement ce qu'elle avait établi, que la bonne foi a toujours réglé les conventions reciproques;
on ne ſçauroit demander de meilleure grace vn priſonnier, qu’en rendant vn priſonnier, & quiconque ne répond pas à ces petites generoſitez, ſe met en danger de n’en pas receuoir de grandes.	on ne saurait demander de meilleure grâce un prisonnier, qu'en rendant un prisonnier, et quiconque ne répond pas à ces petites générosités, se met en danger de n'en pas recevoir de grandes.
Vous en ferez pourtant, ouigneur, ceque vous voudiez;	Vous en ferez pourtant, ouigneur, ceque vous voudiez;
Mais je ſçay bien que ie feray ce que ie doy.	Mais je sais bien que ici ferai ce que je dois.
122 EGEE.	122 ÉGE.
L12IHIG 3412 Ie ne condamne pas vn diſcours que la reconnoiſſance vous a ſuggeré, quelque liberté que i’y remarque, i’y vois encore dauantage de vertu, vous auec ocćaſion de deſirer ce que vous demandez:	L12IHIG 3412 Je ne condamne pas un discours que la reconnaissance vous a suggeré, quelque liberté que j'y remarque, j'y vois encore davantage de vertu, vous a ocćasion de désirer ce que vous demandez:
Mais voyez comme les choſes paroiſſent differentes par leurs differentes expreſſions:	Mais voyez comme les choses paraissent différentes par leurs différentes expressions:
vous dittes que puiſque i’auois reſolu de donner la Princeſſe pour vous tirer de la captiuité des Amazones, ie la doy rendre lors que vous eſtes en liberté:	vous dites que puisque j'avais résolu de donner la Princesse pour vous tirer de la captivité des Amazones, une la dois rendre lors que vous êtes en liberté:
Mais ie croy que i’ay bien plus de raiſon de dire, que n’ayant promis de delurer là ſœur de mon ennemié que pour vous tirer de la captiuité, à preſent que vous n’y eſtes plus ie ne dois point la rendre.	Mais ie pres que j'ai bien plus de raison de dire, que n'ayant promis dé délurer là sœur de mon ennemié que pour vous tirer de la captivité, à présent que vous n'y êtes plus hon nais point la rendre.
le ne répondray!	le ne répondrai!
point à ce que vous dites des conuentions militaires, mais ie diray bien qu’vn Roy ſe peut iuſtement diſpenſer de l’execution d’vn traitté qui aeſté ſait par ſes Capitaines, dans les neceſſitez preſentes, & ſans ſon ordre exprés, que ie ne ſuis point obligé de tenir ce que vous auez promis, & que ſi yous faites ce que vous deuez, vous ne ferez rien au prejudice de voſtre patrie, & du ſecours que vous auez promis à la Grece.	point à ce que vous dites des conventions militaires, mais sens dirai bien qu'un Roi se peut justement dispenser de l'exécution d'un traité qui ajesté sait par ses Capitaines, dans les nécessités présentes, et sans son ordre exprès, que ieans suis point obligé de tenir ce que vous avez promis, et que si y faites ce que vous devez, vous ne ferez rien au préjudice de votre patrie, et du secours que vous avez promis à la Grèce.
o in Iux	ô in Jux
PXRITOYS.	PXRITOYS.
12190p Haia ne ne puis lain pomie cus deuons, en Cenant la parolle que i’ay donnée.	12190p Ha ne ne puis lain pomie cvs devons, en Cenant la parole que j'ai donnée.
2U0UN Il CULILEGEE.	20UN Il CULILÉGE.
UO11 Si ce que vous auez promis eſt iiuſte, & s’il eſt en voſtre puiſſance, vous le deuez tenir.	OUO1 Si ce que vous avez promis est juste, et s'il est en votre puissance, vous le devez tenir.
01 PYRITOVS.	01 PYRITOUS.
Ceique lay promis cit iuite puiſque ie l’ay promis, il eſt en ma puiſſance, puiſque ie le veux, & ie le tiendray parce qu’il eſt iuſte.	Ceique lay promis cit juste puisque sans l'ai promis, il est en ma puissance, puisque ie le veux, et et un tiendrai parce qu'il est juste.
EEpCIO DILRET Y EGEE.	ÉÉpCIO DILRET Y ÉGE.
ROGEMH bOMU Ie pourrois vous demander l’explication de ce que vous venez de me dire, mais ie veux que ceſoit Theſée, & pour vous donner la liberté de vous entretenir ſur ce ſujet ie vous laiſſe ſeuls, & ne vous recommande autre choſe que devous ſouuenir que vous eſtes Prince, & Grec.	ROGEMH bOMU Je pourrais vous demander l'explication de ce que vous venez de me dire, mais jour veux que ces Thesée, et pour vous donner la liberté de vous entretenir sur ce sujet ie vous laisse seuls, et ne vous recommande autre chose que devous souvenir que vous êtes Prince, et Grec.
iohavve mid rsithsain nmil	ihave mid rsithsain nmil
siiiiuv bdonpail aaniaqlovinut 13231l2tb aois.	siivituv bdonpail aaniaqlovinut 13231l2b ois.
D.	D.
d iq.	d iq.
mup.	mup.
251q 5 oibio nol eusl L.	251q 5 oibio nol eusl .
coïniloiq oin	coïniloiq oin
LENT SCEINEVT YRITOVS, THESEE.	LENT SCEINEUT YRITOUS, THESEE.
J emnye ſlo ensHai ne .	 emnye slo ensHai ne .
Voy, cher amy, vous ſouffrez qu’on me traitte ainſi, ſans ouurir la bouche pour me défendre la qualité de fils, qui vous deût authoriſer aupres d’Egée, vous défend elle de parler?	Vois, cher ami, vous souffrez qu'on me traite ainsi, sans ouvrir la bouche pour me défendre la qualité de fils, qui vous deût authoriser auprès d'Egée, vous défend elle de parler?
Ah!	Ah!
de grâce, faites-vous connoiſtre, venons aupres de luy auec la liberté des parens, ou bien auec celle des eſtrangers:	de grâce, faites-vous connaître, venons auprès de deux avec la liberté des parents, ou bien avec celle des étrangers:
S’il eſt voſtre pere, obligeons-le paraffection à fail cie  14 re ceque i’ay promis à la Reyne des Amazoncs;	S'il est votre père, obligeons-le paraffection à fail ie 14 re que j'ai promis à la Reine des Amazoncs;
& s’il ne l’eſt point, contraignons-le par la force ouuerte a contenter, cette excellente Prin1 In Jieillhil aid ceſſe, l’honneur vous l'ordonng, ma parolem y Mlib Cmon uſtomvr Miaveey, enggu, lamtoun toub le commailde;	et s'il ne l'est point, contraignons-le par la force ouverte a contenter, cette excellente Prin1 In Ieillil aid cesse, l'honneur vous l'ordonng, ma parolem y Mlib Cmon ustomvr Iavei, engu, lamoun toub le commailde;
la juitiçe le veut:	la juitiçe le veut:
Et pour ne pas m’eſtendre dauancage ſur ce ſujet, il faut que Pyritous retpurne 4 aujourd'huy dans la captiuité, ou qu'on deliur ure çette illuſtre priſonniere.	Et pour ne pas m'étendre davancage sur ce sujet, il faut que Pyritous returne 4 aujourd'hui dans la captivité, ou qu'on délivr es çette illustre prisonnière.
HESEE.	HÉSE.
l’ollnoir om Marodeit anaceism no Ah!	l'olloir om Marodeit anaceism nô Ah!
Pyritous, il ne faut-plus pretendre à G iii 2 14 la reconnoiſſance d’Egée, il vient de me dire qunil cult iamndiod entant.	Pyritous, il ne faut-plus prétendre à G ji 2 14 la reconnaissance d'Egée, il vient de me dire qunil cult indiod entant.
PYRITOVS.	PYRITOUS.
Il ſemble que cette nouuelle vous afflige?	Il semble que cette nouvelle vous afflige?
THESEE.	THESEE.
4 Dajgaetouoruaqne, ce queie deplaiſir que iien reſſens eſt extreme.	4 Dajgaetouoruaqne, ce queie déplaisir que jien ressens est extrême.
AH0 PYRITOVS.	AH0 PYRITOUS.
Dieu!	Dieu!
que voſtre foibleſſe eſt grande, & que i’ay de ioye de me voir en eſtat de me vẽger d’Equommlaidditecomoſiqueluce qui sous oblige de vous plaindre dequoy vous n’eſtes pas ſon fils, eſt-ce la vertu?	que votre faiblesse est grande, et que j'ai de joie de me voir en état de me vendre d'Equommlaidditecomosiqueluce qui sous oblige de vous plaindre dequoy vous n'êtes pas son fils, est-ce la vertu?
20 coique don ail	20 coique don ail
MLEMMIMEJEE.	MLEMIMEJEE.
MIM(AIIE Briſez là ce diſcourśs, je ne le ſcaurois fſouffrir.	MIM QAIE Brisez là ce discours, je ne le saurais souffrir.
semA obontan blerimoidus lopna	semA obontan blerimoidus lopna
PYRITOVS.	PYRITOUS.
1 2 Bien;	1 2 Bien;
bien ie le briſeray là, mais ſçachez que vous violez les droits de noſtre amſtié.	bien allé le briserai là, mais sachez que vous violez les droits de notre amistié.
Inon	Inon
llu il obnm IESEE.	lu il obnm IESE.
Ne m’accuſez point, plaignez pluſtoſt mon deſordre, ie vous aime, ie voudrois vous le témoigner:	Ne m'accusez point, plaignez plutôt mon désordre, je vous aime, toujours voudrais vous le témoigner:
I’aime Antiope, pleuſt au Ciel que vous peuſſiez voir l’vn & l’autre dans mon cœur, mais ie ne puis pourtant me reſoudre à vous contenter au prejudice d’Egée.	J'aime Antiope, pleut au Ciel que vous peussiez voir l'un et l'autre dans mon cœur, mais toute ne puis pourtant me résoudre à vous contenter au préjudice d'Egée.
Non non, grand Prince, ie ne puis vous abandonner:	Non non, grand Prince, Madame ne puis vous abandonner:
& vous ne m’auez point dit la verité, il faut neceſſairement que vous ſoyez mon pere, l’amour & l’amitié ne peuuent ceder qu’à la nature:	et vous ne m'avez point dit la vérité, il faut nécessairement que vous soyez mon père, l'amour et l'amitié ne peuvent céder qu'à la nature:
Ouy, cher amy, Egéè eſt mon pere, ie ne puis eſcouter aucun deſſein de violence contre luy, non pas meſme ce que vous me propoſez, & ce que vous me propoſez en faueur d’vnc aimable Reyne qui m’aime & que i’adore, contentez vos deſirs, ie ne vour rertnaray point, mais ſoyez aſſeuré que ie vous aimeray touſPifir im Ml dia jouis, quoy que vous puimlez lailc.	Oui, cher ami, Egéè est mon père, où ne puis écouter aucun dessein de violence contrefois, non pas même ce que vous me proposez, et ce que vous me proposez en faveur d'unc aimable Reine qui m'aime et que j'adore, contentez vos désirs, ie ne vour retrarai point, mais soyez assuré que ie vous aimerai tousPifir im Ml dia jouis, quoi que vous puimiez lailc.
IIVE ſiSI (Oup	IIVE siSI (Oup
PYRITOVS.	PYRITOUS.
Mais enfin, que voulez-vous deuenir?	Mais enfin, que voulez-vous devenir?
THESEE.	THESEE.
le veux tentei vnc autic lois ce quei ay deſia tenté vainement:	le veux tentei unc autic lois ce quei ai déjà tenté vainement:
Mais vous-meſme, que pretendez-vous faire, & que pourray-je dire au Roy?	Mais vous-même, que prétendez-vous faire, et que pourrai-je dire au Roi?
PYRITOVS.	PYRITOUS.
Dittes-luy que ie ſuis reſolu de tenir la parole que i’ay donnée.	Dittes-lui que ici suis résolu de tenir la parole que j'ai donnée.
Adieu, voicy Medée, ie ne veux point voir certe infamc ſorciere.	Adieu, voici Medée, on ne veux point voir certe infamc sorcière.
HNNVYUUOM  M I Eiv (M’iUi.	HNNVYUOM M I Jiv (M'iUi.
21110 171 21012100 MEDEE, THESEE lodoiq un, euu vaupe, oimomenq doſt vul C Ous auez ſans doute eu bien de peinc à remener Pyritous?	21110 171 21012100 MEDEE, THESEE lodoiq un, eu vaupe, oimomenq dôt vul Ç Ous ez sans doute eu bien de peinc à remener Pyritous?
171	171
M  11 THESEE.	M 11 THESEE.
Y9102 Madame, ie ne me plains que deeuoy Mup voutr remuo quoy ie n’ay rien auancé.	Y9102 Madame, ie ne me plains que devoi Mup voutr remuo quoi toujours n'ai rien avancé.
MEDEE.	MÈDE.
Ce n’eſt pas pourtant le ſujet de toute voſtre triſteſſe.	Ce n'est pas pourtant le sujet de toute votre tristesse.
e	Je
SIoupo L.	SIoupo L.
21 12111012171 ESEE.	21 12111012171 ESEE.
Ie vous auouë que i’ay quelqu’autre choſe dansI’eipnt qui m'amige auſſi.	Je vous avoue que j'ai quelqu'autre chose dansIIeipnt qui m'amige aussi.
1 2007 YLHI9I	1 2007 YLHI9 .
MEDEE.	MÈDE.
10A Quelque grand & quelque difficile deſſein ſans doute enfin digne de Theſée?	10A Quelque grand et quelque difficile dessein sans doute enfin digne de Thesée?
l aome.	l aome.
bi OVTHESEEannob VEI SUp al Il eſt grandil eſt difficile, mais ie ne ſçay s’ib eſt digne de moy.	by OVTHESEEannob VEI SUp al Il est grandil est difficile, mais quelque ne sais s'ib est digne de moi.
MEDEE.	MÈDE.
Si ce deſſein ne vous promet vne Couronne, il eſt au deſſoubs de vous.	Si ce dessein ne vous promet une Couronne, il est au dessoubs de vous.
THE	THÉ
THESEE.	THESEE.
I me l’a promis en effet, ie ne ſçay s’il me adonnera.	I me l'a promis en effet, je ne sais s'il me adonnera.
MEDEE.	MÈDE.
C’eſt à moy qu’il faut recourir pour auoir cette certitude, ouy Theſée, ie vous la puis donner, demandez-la-moy ſeulement;	C'est à moi qu'il faut recourir pour avoir cette certitude, ouï Thesée, toujours vous la puis donner, demandez-la-moi seulement;
celle qui a pù liurer ſon pere & ſon pays aux deſirs d’vn Amant infidelle pourra bien liurer vn Prince eſtranger és mains d’vn Amant genereux.	celle qui a pu livrer son père et son pays aux désirs d'un Amant infidèle pourra bien livrer un Prince étranger ès mains d'HanNant généreux.
Enfin, Theſée, il ne faut que m’aimer, & le vouloir pour eſtre Roy d’Athenes:	Enfin, Thesée, il ne faut que m'aimer, et le vouloir pour être Roi d'Athène:
ie puis par vn ſouffle faire mourir Egée:	Ne puis par un souffle faire mourir Egée:
& ſi vous crargnez Antiope, ie pourray, vous en deliurer aulſie	et si vous crargnez Antiope, on pourrai, vous en deliurer aulsie
THESEE.	THESEE.
2 Ah Dieux!	2 Ah Dieux!
qu’eſſ-ce que i’entends?	qu'ès-ce que j'entends?
MEDEEE1OS Quaſy undundun enm pent deuenez qu'on ne peut vſurper la ſouueraine puiſſance par des voyes plus aſſeureés & plus doucer, ir faut faire toutes chotes pour eſtre en droit de pouuoir toutes choſes.	MÉDEE1OS Quasi undundun enm èrent dûrenez qu'on ne peut usurper la souveraine puissance par des voies plus assurez et plus doucer, ir faut faire toutes chotes pour être en droit de pouvoir toutes choses.
10	10
HESEE.	HÉSE.
dA Mniaanoblos .	dA Mniaanoblos .
QU( Ahi Madame, vous voulez éprouuer ma fidelité;	QU( Ahi Madame, vous voulez éprouver ma fidélité;
Sçachez que ie n’ay point de deſſein qui ne ſoit legitime, & que ie donneray mon ſang pour la vie de ceux dont vous me propoſez lamort.	Sachez que personne n'ai point de dessein qui ne soit légitime, et que ici donnerai mon sang pour la vie de ceux dont vous me proposez lamort.
US LLOGA MEDEE.	US LLOGA MÈDE.
Quojyr ambitron ne pededoicourner ces foibles penſées?	Quojyr ambitron ne pededoicourner ces faibles pensées?
lal Vouer CbAEIb lonno	la Vouer CbAEIb lonno
THESEE.	THESEE.
Ah!	Ah!
Madame, c’eſt trop continuer cette feinte.	Madame, c'est trop continuer cette feinte.
1mh nib anim s Donel 0	1mh nib anim s Conel 0
MEDEE.	MÈDE.
Peut-eſtre vous craignez Medée, ce qu’elle a fait vous donne de l’horreur;	Peut-être vous craignez Medée, ce qu'elle a fait vous donne de l'horreur;
conſiderez ſes actiõs, vous trouuerez qu’on ne peut l’accuſer que d’auoir trop aimé:	considérez ses actions, vous trouverez qu'on ne peut l'accuser que d'avoir trop aimé:
quãd elle liura la Toiſon d’or, ce fut pour laſon:	quand elle livra la Toison d'or, ce fut pour lason:
quãd elle fit mourir Pelée, ce fut pour laſon:	quand elle fit mourir Pelée, ce fut pour lason:
quand elle fit mourir Creon & ſa fille, ce fut pour laſon:	quand elle fit mourir Creon et sa fille, ce fut pour lason:
enfin Medée eſt capable de tout faire pour la perſonne qu’elle aime;	enfin Medée est capable de tout faire pour la personne qu'elle aime;
mais elle ne peut nen faire contre la perſonne qu’elle aime;	mais elle ne peut nen faire contre la personne qu'elle aime;
ie feray tout pour vous, mais ie ne pourray iamais rien faire contre vous.	Ne ferai tout pour vous, mais ici ne pourrai jamais rien faire contre vous.
THESEE.	THESEE.
Quoy, ce n’eſt donc pas vne feinte?	Quoi, ce n'est donc pas une feinte?
Ah!	Ah!
barbare, n’irritez point dauantage ma patience, eſloignez-vous d’icy:	barbare, n'irritez point davantage ma patience, éloignez-vous d'ici:
Mais il vaut mieux que le iencioigne Moj mcimnes	Mais il vaut mieux que le iencioigne Moj mermnes
MEDEE.	MÈDE.
Va, fuy, mais ſçache que Medée vole, & qu’on ne l’offence iamais impunément.	Va, fuis, mais sache que Medée vole, et qu'on ne l'offense jamais impunément.
Fin du troiſieſme Acte.	Fin du troisième Acte.
TE L	TE L
MN MAr L eſt vray, Madame, ie ne puis répondre des actions du Roy d’Athenes, mais ie doy répondre des miennes, il peut retenir la Princeſſe voſtre ſœur au prejudice de noſtre conuention;	MN MAr L' est vrai, Madame, je ne puis répondre des actions du Roi d'Athène, mais ie doy répondre des miennes, il peut retenir la Princesse votre sœur au préjudice de notre convention;
mais ie ne dois point iouyr de ma liberté au prejudice de ma parole.	mais ici ne dois point jouir de ma liberté au préjudice de ma parole.
N’ayant pû briſer les chaiſnes de cette valeureuſe Princeſſe, ie viens renoüer les miennes, & ſupplier tres-humblement voſtie Majeité d’agreer que ie ſois ſon priſonnier autant de temps que voſtre ſœur ſera priſonniere d’Egée.	N'ayant pu briser les chaînes de cette valeureuse Princesse, tu viens renouer les miennes, et supplier très-humblement vostie Majité d'agréer que je sois son prisonnier autant de temps que votre sœur sera prisonnière d'Egée.
SCENE I.	SCÈNE I.
PYRITOVS, ANTIOPE, ſa ſuite.	PYRITOUS, ANTIOPE, sa suite.
ANTIOPE.	ANTIOPE.
2001 Ah!	2001 Ah!
Pyritous, que voſtre generoſité s’éleue au deſſus de la mienne, que i’ay peu fait en vous donnant la franchiſe au prix de ce que vous faites en la refuſant:	Pyritous, que votre générosité s'éleue au dessus de la mienne, que j'ai peu fait en vous donnant la franchise au prix de ce que vous faites en la refusant:
Mais prenez garde qu’ayant accepté la liberté que ie vous ay donnée, vous ne pouuez vous en dépoüiller maintenant, le deſir que vous témoignez d’en auoir vous en empeſche:	Mais prenez garde qu'ayant accepté la liberté que je vous ai donnée, vous ne pouvez vous en dépouiller maintenant, le désir que vous témoignez d'en avoir vous en empêche:
on ne peut eſtre eſclaue ſans eſtre contraint, & nul ne peut eſtre contraint, qui deſire de l’eſtre.	on ne peut être esclave sans être contraint, et nul ne peut être contraint, qui désire de l'être.
Si vous arreſtez prés de moy, vous ſuiuez voſtre inclination, qui eſt vn des auantages de la liberté;	Si vous arrêtez près de moi, vous suivez votre inclination, qui est un des avantages de la liberté;
& ſi vous retournez vers voſtre amy vous allez dans vn lieu de franchiſe:	et si vous retournez vers votre ami vous allez dans un lieu de franchise:
Ainſi vous ſerez touſiours libre, quelque party que vous preniez.	Ainsi vous serez toujours libre, quelque parti que vous preniez.
Mais pour ne paroiſtre pas moins genereuſe que vous, ie veux bien ne pas interrompre voſtre deſſein, vous auez eu la meſme complaiſance pour moy lors que i’ay voulu vous affranchir:	Mais pour ne paraître pas moins généreuse que vous, je veux bien ne pas interrompre votre dessein, vous avez eu la même complaisance pour moi lors que j'ai voulu vous affranchir:
demeurez donc parmy nous, & puiſſent les ſiecles à venir celebrer la memoire de voſtre foy.	demeurez donc parmi nous, et puissent les siècles à venir célébrer la mémoire de votre foi.
Ie ne vous donneray point d’autre garde que vous-meſme, il eſt bien croyable que ie ne yous en pourrois choiſir de plus fidelle.	Je ne vous donnerai point d'autre garde que vous-même, il est bien croyable que personne ne yous en pourrais choisir de plus fidèle.
Mais pourrez-vous viure éloigné de Theſée, & ne craignez-vous point que cét excés de generoſité bleſſe la ſainte amitié?	Mais pourrez-vous vivre éloigné de Thesée, et ne craignez-vous point que cet excès de générosité blesse la sainte amitié?
que vous auez jurée?	que vous avez jurée?
PYRITOVS.	PYRITOUS.
Quand le ſort de la guerre m’a fait eſclaue de voſtre Majeſté, il m’a affranchy de tous les autres deuoirs.	Quand le sort de la guerre m'a fait esclave de votre Majesté, il m'a affranchi de tous les autres devoirs.
Ie croy pourtant que vous me ferez la grace de me diſpenſer de tourner mes armes contre mon amy:	Je crois pourtant que vous me ferez la grâce de me dispenser de tourner mes armes contre mon ami:
& j’oze bien prendre la liberté de vous en ſupplier, puiſque ie ſuis parrartemient aſlcule qu’ii n’elt point voitre ennemy, & que c’eſt auec beaucoup de regret qu’il choque vos projets.	et j'ose bien prendre la liberté de vous en supplier, puisque je suis parrartemient ascule qu'y n'élt point voitre ennemi, et que c'est avec beaucoup de regret qu'il choque vos projets.
2	2
ANTIOPE.	ANTIOPE.
Quoy, Theſée n’eſt point mon ennemy!	Quoi, Thesée n'est point mon ennemi!
le puis je croire apres ce qu’il a fait?	le puis je croire après ce qu'il a fait?
& puis-je ne le pas croire apres ce que vous m’en auez dit?	et puis-je ne le pas croire après ce que vous m'en avez dit?
Ie ne vous celeray point que i’ay crû qu’il ne le deuoit point eſtre, que i’ay meſme voulu qu’il ne le fut point.	Je ne vous cèlerai point que j'ai cru qu'il ne le devait point été, que j'ai toujours voulu qu'il ne le fut point.
Helas!	Hélas!
vous auez eſté témoin d’vne partie de mes foibleſſes, mais enfin il eſt dans Athenes, & ie ſuis au camp d’Athenes:	Vous avez été témoin d'une partie de mes faiblesses, mais enfin il est dans Athène, et beau suis au camp d'Athènes:
il s’eſt rangé du party d’Egée, & ie fais la guerre contre Egée:	il s'est rangé du parti d'Egée, et beau fais la guerre contre Egée:
Lors qu’on m’a porté la nouuelle de la priſe de ma ſœur, il a diſparu peut-eſtre Pourlecoulil ceun quil enhenorent.	Lors qu'on m'a porté la nouvelle de la prise de ma sœur, il a disparu peut-être Pourlecoulil ceun quil enhenorent.
PYRITOVS.	PYRITOUS.
Ah!	Ah!
Madame, perdez cette penſée, n’aceuſez point ce Prince, plaignez-le pluſtoſt;	Madame, perdez cette pensée, n'aceusez point ce Prince, plaignez-le plutôt;
i’ay pris ce party apres l’auoir blaſmé.	j'ai pris ce parti après l'avoir blâmé.
ANTIOPE.	ANTIOPE.
Vous auez pû prendre ce party puiſque vous connoiſſez ſon innocence, mais vous ſeriez injuſte ſi vous vouliezm'obliger à le croire innocent, ſans me faire voir autre choſe que des marques deſſon crime.	Vous avez pu prendre ce parti puisque vous connaissez son innocence, mais vous seriez injuste si vous vouliezm'obliger à le croire innocent, sans me faire voir autre chose que des marques desson crime.
Peut-eſtre les beautez de Medée l’ont enchanté, il n’a pû ſe défendre de ſes charmes;	Peut-être les beautés de Medée l'ont enchanté, il n'a pu se défendre de ses charmes;
s’il eſt ainſi ie le plains, mais non pas tant que ie l’accuſe.	s'il est ainsi rien le plains, mais non pas tant que . aaccuse.
Deuoit-il regarder cette fatale Comette qu’on ne ſçauroit voir impunément?	Devait-il regarder cette fatale Comette qu'on ne saurait voir impunément?
ignoroit-il la malignité de ſon aſpect?	ignorait-il la malignité de son aspect?
PYRITOVS.	PYRITOUS.
Que vous luy faites tort, ah:	Que vous me faites tort, ah:
Madame, aſſeurez-vous que Medée eſt l’objet de ſes plus fortes aduerſions, & que s’il m’eſtoit permis de vous découurir le ſujet deſon voyage, vous vous accuſeriez de l’auoir accusé.	Madame, assurez-vous que Medée est l'objet de ses plus fortes aversions, et que s'il m'était permis de vous découvrir le sujet déson voyage, vous vous accuseriez de l'avoir accusé.
ANTIOPE.	ANTIOPE.
Si Theſée m’adit la verité, ieſçay tout ce que vous pourriez me dire ſur ce ſubjet:	Si Thesée m'adit la vérité, iesçay tout ce que vous pourriez me dire sur ce sujet:
mais ie crains bien qu’il ait pris l’eſpée pour quelqu’autre occaſion que pour celle dont il m’aentrecnuë, & ſi ie pouuois m’aſſeurer de ce qu’il m’a dit, ie vous le iure, rien ne pourroit m’empeſcher de m’éloigner, non ſeulement d’Athenes, mais de la Grecẽ.	mais ainsi crains bien qu'il ait pris l'épée pour quelque autre occasion que pour celle dont il m'aentrecue, et si ie pouuois m'assurer de ce qu'il m'a dit, je vous le jure, rien ne pourrait m'empêcher de m'éloigner, non seulement d'Athenses, mais de la Grecien.
PYRITOVS.	PYRITOUS.
Puiſque vous n’ignorez pas vn ſecret queie ne pouuois découurir ſans crime, ie vous diray Madame;	Puisque vous n'ignorez pas un secret queie ne pouvais découvrir sans crime, toujours vous dirai Madame;
pour la iuſtification de mon amy, que ie ſuis témoin de la verité qu’il nous a declarée.	pour la justification de mon ami, que je suis témoin de la vérité qu'il nous a déclarée.
Il eſt party de Trezene auec le deſſein que vous auez ſçeur il n’a pris l’eſpée, & n’eſt ſorty contre vous que pour pouuoir perſuader cette verité:	Il est parti de Trezene avec le dessein que vous avez semeur il n'a pris l'épée, et n'est sorti contre vous que pour pouvoir persuader cette vérité:
il eſt vray qu’il m’a témoigné quelque mécontentement ſur torurjceyre que ray douté du ſuccés de ſon entrepriſe, mais il eſt reſolu de la pourſuiure iuſqu’au bouts, & de vous conſeruer vne affection immortelle.	il est vrai qu'il m'a témoigné quelque mécontentement sur torurceyre que ray douté du succès de son entreprise, mais il est résolu de la poursuivre jusqu'au bouts, et de vous conserver une affection immortelle.
ANTIOPE.	ANTIOPE.
Vous me rauiſſez & m’affligez par vn meſme diſcours;	Vous me ravissez et m'affligez par un même discours;
le témoignage que vous rendez en faueur de Theſée aſſeure ma ioye;	le témoignage que vous rendez en faveur de Thesée assure ma joie;
mais les nouuelles que vous me donnez de ſon mécontentement me comblent de triſteſſe:	mais les nouvelles que vous me donnez de son mécontentement me comblent de tristesse:
De grace, que en ſçache le ſujet?	De grâce, que en sache le sujet?
1ob ITOVS.	1ob ITOUS.
11od ouli Lo noid vono5 Mnismiailitlobnoi Il vous a ſans doute dit, Madame, que quelque aſſeurance que ſa mere luy eut donnée que le Roy d’Athenes eſtoit ſon pere, oil ne voulut point en arriuant luy monſtrer l’eſpée qui le deuoit faire connoiſtre, mais il voulut éprouuer ſi Egéè le reconnoiſtroit par ces mouuemẽs naturels que le ſang produit en faueur du ſang:	11od ouli Lo noid vono5 Mnismiailitlobnoi Il vous a sans doute dit, Madame, que quelque assurance que sa mère luitaît donnée que le Roi d'Athène était son père, oïl ne voulut point en arrivant Seigneur monstrer l'épée qui le devait faire connaître, mais il voulut éprouver si Egéè le reconnaîtrait par ces mouvements naturels que le sang produit en faveur du sang:
maion mu pamous filo quu cimſquai penſoit eſtre ſon pere;	maion mu pamous silo quu cimsquai pensait être son père;
no croit pointu auoir eu d’enfanson oi iovolqmocab aplolaiitaions	nô croit pointu avoir eu d'enfants oi iovolqmocab applolaiitaisons
u AMIOIEMOSII Dieux!	 AMIOIEMOSII Dieux!
qu’eſt-ce que i’entends?	qu'est-ce que j'entends?
Quoy, Theave csore cltlelisda ley qixtſlelleo „	Quoi, Théave csore cltlelisda lei qixtslelleo „
2 PYRITOVS.	2 PYRITOUS.
Ouy, Madame, mais ne le ſçauiez-vous point?	Oui, Madame, mais ne le saviez-vous point?
Vous pouuez bieniuger que ie l’ignorois par l’eſtat où vous me voyez:	Vous pouvez bienjuger que sans l'ignorais par l'état où vous me voyez:
Helas!	Hélas!
ſi i’euſſe peû l’imaginer.	si j'eusse pu l'imaginer.
ſoulement, Athenes ſeroit deſia libre.	soulement, Athène serait déjà libre.
on ionoqo	on ionoqo
D PYRITOVS.	 DYRITOUS.
Ie ne puis m’empeſcher de m’auoüer coupable d’vne extremo foibleſſo:	Je ne puis m'empêcher de m'auoüer coupable d'une extrémo foiblesso:
il eſt vray que voſtre diſcours m’a donné quelque legere occaſion de ſaillir, maïs ie connoy bien qu’il ne peut m’excuſer;	il est vrai que votre discours m'a donné quelque légère occasion de saillir, maïs ie connoy bien qu'il ne peut m'excuser;
