Auec Priuilege du Royi	Avec Privilège du Roii
Vous me blaſmez, Madame, à cauſe que i'eſtime, En mon ennemy meſme, vn vainqueur magnanim Iugez pluſtoſt par là, combien c’eſt vous aymer, Que de haïr pour vous ce qu’on doit eſtimer?	Vous me blâmez, Madame, à cause que j'estime, En mon ennemi même, un vainqueur magnanim Iugez plutôt par là, combien c'est vous aimer, Que de haïr pour vous ce qu'on doit estimer?
Obligé de la vie à ce vaillant Corſaire, Ie préfere à l’honneur la gloire de vous plaire;	Obligé de la vie à ce vaillant Corsaire, Je préfère à l'honneur la gloire de vous plaire;
Car ingrate beauté, quand mon noble vainqueur, Me deuroit reprocher que ie ſuis ſans honneur, Dans ſou Camp, dans ſa tente, au peril de ma vie, Fhray par ſon trépas aſſouuir vôtre enuie;	Car ingrate beauté, quand mon noble vainqueur, Me devrait reprocher que ie suis ans honneur, Dans sou Camp, dans sa tente, au péril de ma vie, Fhrai par son trépas assouvir votre envie;
nmhumamneu dipon de vous plus poſſeder, Ie veux pour vous encore aller tout hazarder.	nmhumamneu dipon de vous plus posséder, Je veux pour vous encore aller tout hasarder.
ELISE.	ÉLISE.
Vn ſi beau deſeſpoir, Prince, plus qu’autre choſe, Pourroit faire ceſſer le malheur qui le cauſe.	Un si beau désespoir, Prince, plus qu'autre chose, Pourrait faire cesser le malheur qui le cause.
Vaincre au milieu des ſiens mon ennemy cruel, C’eſt bien vn autre exploit que le vaincre en duel.	Vaincre au milieu des siens mon ennemi cruel, C'est bien un autre exploit que le vaincre en duel.
Pour les biens de l’amour comme de la fortune, Ce qu’on manque vne fois ſe doit tenter plus d'vne:	Pour les biens de l'amour comme de la fortune, Ce qu'on manque une fois se doit tenter plus d'une:
On s’expoſe pour timtie;	On s'expose pour timtie;
on vainc en combattant, Et la guerre & l’amour, veulent qu’on ſoit conſtant.	on vainc en combattant, Et la guerre et l'amour, veulent qu'on soit constant.
NICANOR.	NICANOR.
Mais la guerre & l’amour couronnent la conſtance, Et des plus malheureux font viure l’eſperance.	Mais la guerre et l'amour couronnent la constance, Et des plus malheureux font vivre l'espérance.
ELISE.	ÉLISE.
Mais vn cœur genereux, de malheurs combattu, Pour perdre ſon eſpoir ne perd point ſa vertu.	Mais un cœur généreux, de malheurs combattu, Pour perdre son espoir ne perd point sa vertu.
Songez ſongez pluſtoſt à l’Armée ennemie, Qui menace Paphos par la Paix endormie;	Songez songez plutôt à l'Armée ennemie, Qui menace Paphos par la Paix endormie;
Songez à nos rempaits en danger d’eſtre pris, Et ſongez qu’il faut vaincre auant qu’auoir vn prix.	Songez à nos rempaits en danger d'être pris, Et songez qu'il faut vaincre avant qu'avoir un prix.
Tandis que noſtre encens brûlera dans nos Temples, Allez aux Cypriens donner de beaux exemples;	Tandis que notre encens brûlera dans nos Temples, Allez aux Cypriens donner de beaux exemples;
Il vous tendent les bras, courez les ſecourir, Et pour vous meſme enfin, allez vaincre ou mourir.	Il vous tendent les bras, courez les secourir, Et pour vous rendre enfin, allez vaincre ou mourir.
SCENE V.	SCÈNE V.
NICANOR, AMINTAS.	NICANOR, AMINTAS.
Q NICANOR.	Q NICANOR.
Effions-nous, mon fils, de cette ame cachée:	Éffions-nous, mon fils, de cette âme cachée:
Quand du commun dãger elle paroiſt touchée Et nous porte au combat pour le ſalut de tous, Elle veut ſeulement ſe deffaire de nous.	Quand du commun dans elle paraît touchée Et nous porte au combat pour le salut de tous, Elle veut seulement se défaire de nous.
AMINTAS.	AMINTAS.
Quelque deſſein qu’elle ait, cette belle Princeſſe, Sa volonté touſiours de la mienne Maiſtreſſe, Et de mes actions ſeule, & fatale Loy, Diſpoſe abſolument de moy-meſme ſans moy.	Quelque dessein qu'elle ait, cette belle Princesse, Sa volonté toujours de la mienne Maîtresse, Et de mes actions seule, et fatale Loi, Dispose absolument de moi-même sans moi.
Heureux qu’en ce rencontre elle ne me propoſe, Qu’vne bonne action, à quoy rien ne s’oppoſe, Et qu’elle ne ſe ſert de ſon diuin pouuoir, Qu'à porter mon courage à faire ſon deuoir.	Heureux qu'en ce rencontre elle ne me propose, Qu'une bonne action, à quoi rien ne s'oppose, Et qu'elle ne se sert de son divin pouvoir, Qu'à porter mon courage à faire son devoir.
NICANOR.	NICANOR.
Qu’aueuglement tu ſuis vne amour inſenſée!	Qu'aveuglément tu suis une amour insensée!
AMINTAS.	AMINTAS.
Vous m’en auez Seigneur, inſpiré la penſée.	Vous m'en avez Seigneur, inspiré la pensée.
NICANOR.	NICANOR.
On change de deſſein ſelon l’vrilité.	On change de dessein selon l'évrilité.
AMINTAS.	AMINTAS.
On ne ſuit pas ainſi l’exacte probité.	On ne suit pas ainsi l'exacte probité.
NTCANÔR.	NTCANR.
Ha!	Ha!
ne te pique point de ces vertus friuolles,	ne te pique point de ces vertus frivoles,
AMINTAS.	AMINTAS.
C'eſt perdre temps, Seigneur, en de vaines parolles Tandis que de Paphos tout le peuple eſtonné, se croit auec raiſon de nous abandonné.	C'est perdre temps, Seigneur, en de vaines paroles Tandis que de Paphos tout le peuple étonné, se croit avec raison de nous abandonné.
Donnons pour ſon ſalut les ordres neceſſaires;	Donnons pour son salut les ordres nécessaires;
Enuoyons des partis obſeruer les Corſaires.	Envoyons des partis observer les Corsaires.
Tandis que vous veillez à deffendre nos Muts, Employez ma valeur aux trauaux les plus duts.	Tandis que vous veillez à défendre nos Muts, Employez ma valeur aux travaux les plus duts.
Rendez-moy digne enfin de ces hautes penſées, Que vos couſeils hardis dans mon ame ont laiſſées.	Rendez-moi digne enfin de ces hautes pensées, Que vos couseils hardis dans mon âme ont laissées.
NICANOR.	NICANOR.
Allons donc faire encore des ingrats dans Paphos.	Allons donc faire encore des ingrats dans Paphos.
SCINE VI.	SCINE VI.
AMINTAS, CRITON.	AMINTAS, CRITON.
AMINTAS.	AMINTAS.
DRens mes armes, Criton, & deux de mes cheuaux, I'Sur le bord de la mer ie te ioins dans vne heure;	DRs mes armes, Criton, et deux de mes chevaux, J'Sur le bord de la mer ie te joins dans une heure;
Mlais ne te laſſe point de ma longue demeure.	Mlais ne te lasse point de ma longue demeure.
les Princes éclairez, & ſuiuis en tous lieux, Oat dans leurs actions à tromper bien des yeux, Lt ce monde empreſſé qui ne les quitte guere, les rend plus malheureux que ne croit le vulguaire.	les Princes éclairez, et suivis en tous lieux, Oat dans leurs actions à tromper bien des yeux, Lt ce monde empressé qui ne les quitte guère, les rend plus malheureux que ne croit le vulgaire.
le veux aller combattre Oroſmane en ſon Campi Nous ſommes peu, Criton, pour vn deſſein ſi grand.	le veux aller combattre Orômane en son Campi Nous sommes peu, Criton, pour un dessein si grand.
CRITON.	CRITON.
Va ſemblable deſſein n’en veut pas dauantage.	Va semblable dessein n'en veut pas davantage.
AMINTAS.	AMINTAS.
Ie voulois éprouuer ton ſens, & ron courage.	Je voulais éprouver ton sens, et ron courage.
lion zele?	lion zèle?
CRITON.	CRITON.
AMINTAS.	AMINTAS.
Il m’eſt connu, va viſte, & ſois adroit.	Il m'est connu, va vite, et sois adroit.
igneur.	igneur.
CRITON.	CRITON.
AMINTAS.	AMINTAS.
Ie la voy bien, va, diſie, & ſoit ſecret.	Je la vois bien, va, disie, et soit secret.
SCENE VII ALCIONNE, AMINTAS.	SCÈNE VII ALCYONE, AMINTAS.
ALCIONNE.	ÀLCIONE.
A Prince!	À Prince!
il eſt donc vray que ma ſœur vout 1T engage, A verſer voſtre ſang pour venger vn ourrage, Et vous expoſe encore à ce honteux duel;	il est donc vrai que ma sœur vout 1T engage, À verser votre sang pour venger un ourrage, Et vous expose encore à ce honteux duel;
A l’incertaine foy d’vn Corſaire cruel?	À l'incertaine foi d'un Corsaire cruel?
Les charmes de ſes yeux, ceux de ſon diadême, Vous iettent donc encore en ce peril extrême?	Les charmes de ses yeux, ceux de son diadême, Vous jetent donc encore en ce péril extrême?
AMINTAS.	AMINTAS.
Que penſez-vous de moy, Madame?	Que pensez-vous de moi, Madame?
ah!	ah!
iug mieux D'vn Prince décendu de vos nobles Ayeux.	jug mieux D'un Prince décendu de vos nobles Aïeux.
Vn cœur que la beauté de voſtre ſœus inſpire, Fait aller ſes deſirs plus loin que ſon Empire, Et ne fait point ſeruir ſa noble ambition, A l’auare intereſt d’vne autre paſſion.	Un cœur que la beauté de votre sœus inspire, Fait aller ses désirs plus loin que son Empire, Et ne fait point servir sa noble ambition, A l'avare intérêt d'une autre passion.
Quand ie deu ns d’Eliſe eſclaue volont aire, Son Trône à m’aſſeruir luy fut peu neceſſaire, Il prit dans ſes beaux yeux l’éclat qu’il eut moy, Et ſon merite ſeul me rangea ſous ſa loy.	Quand quelque grande ns d'Élise esclave volont aire, Son Trône à m'asservir Seigneur fut peu nécessaire, Il prit dans ses beaux yeux l'éclat qu'il eut moi, Et son mérite seul me rangea sous sa loi.
12	12
ALCIONNE.	ÀLCIONE.
Deuez-vous hazarder des iours comme les voſtres, Quand de voſtre ſalut depend celuy des autres, Et quand par voſtre mort l'Eſtat aura perdu, L’vnique Protecteur qui l’auroit deffendu?	Devez-vous hasarder des jours comme les vôtres, Quand de votre salut dépend celui des autres, Et quand par votre mort l'État aura perdu, L'unique Protecteur qui l'aurait défendu?
AMINTAS.	AMINTAS.
Ie me connois, Madame, & lors que ie m’expoſes Ie croy n’expoſer rien, ou du moins peu de choſe.	Je me connais, Madame, et lors que tu m'exposes Je crois n'exposer rien, ou du moins peu de chose.
Eliſe m’apprend trop par d’éternels mépris, Que mes iours malheureux ne ſont pas de grãd prix,	Élise m'apprend trop par d'éternels mépris, Que mes jours malheureux ne sont pas de grands prix,
ALCIONNE ra muie mepris n’oſte rien du merite, Et la fiere brauté que voſtre amour irrite, Peut auoir eu pour vous d’iniuſtes cruautez, Sans auoir ignoré ce Pue vous meritez.	ÀLCIONNE ra muie mépris n'ôte rien du mérite, Et la fière brauté que votre amour irrite, Peut avoir eu pour vous d'injustes cruautés, Sans avoir ignoré ce Pue vous mérités.
Mais Amant malheureux, vous ſçauez d’elle-meſme, D’où ſon cœur a pour vous cette froideur extrême, Erque ce cœur fidelle aux cendres d’vn Amant, Vous ſuſcite vn Riual au fond d’vn monument.	Mais Amant malheureux, vous savez d'elle-même, D'où son cœur a pour vous cette froideur extrême, Erque ce cœur fidèle aux cendres d'un Amant, Vous suscite un Rival au fond d'un monument.
Tel que Cypre auiourd’huy vous admire, & vous, priſe;	Tel que Cypre aujourd'hui vous admire, et vous, prise;
Car tout n’eſt pas dans Cypre iniuſte autant qu’Eliſe, Vous meritez vn cœur qui vous ſceût eſtimer, In cœur qui pour vous ſeul euſt commẽcé d’aimer.	Car tout n'est pas dans Cypre injuste autant qu'Élise, Vous méritez un cœur qui vous sceût estimer, In cœur qui pour vous seul eût commencé d'aimer.
AMINTAS.	AMINTAS.
Eliſe rigoureuſe, Eliſe pitoyable, Elle eſt touſiours Eliſe, elle eſt touſiours aimable, It touſiours Amintas méprisé, malheureux, Sua touſiours fidelle & touſiours amoureux.	Élise rigoureuse, Élise pitoyable, Elle est toujours Élise, elle est toujours aimable, It toujours Amintâ méprisé, malheureux, Sua toujours fidèle et toujours amoureux.
ALCIONNE.	ÀLCIONE.
Iaplus ſage que vous en aimeroit vne autre, Qui feroit ſon bonheur d’vn cœur du prix du vôtre, Ia autre auſſi bien qu’elle a droit de vous donner, Ie titre qui vous manque à vous voir couronner.	Iapplus sage que vous en aimerait une autre, Qui ferait son bonheur d'un cœur du prix du vôtre, Ja autre aussi bien qu'elle a droit de vous donner, Je titre qui vous manque à vous voir couronner.
Car enſin vous ſeriez.	Car ensin vous seriez.
O Dieux!	Ô Dieux!
que vay-je dire?	que vais-je dire?
Ious ſeriez plus heureux, ſi vous ſçauiez dire.	Jous seriez plus heureux, si vous saviez dire.
aAdieu Prince.	aAdieu Prince.
Elle ſort.	Elle sort.
AMINTAS Ha!	AMINTAS Ha!
i'entends, ie ſerois plus heureux, ie pouuois forcer vn deſtin malheureux, me force d’aimer celle qui me mépriſe,	j'entends, Seigneur serais plus heureux, ils pouvais forcer un destin malheureux, me force d'aimer celle qui me méprise,
Et me fait mépriſer celle qui m’eſt acquife Mais, ô vous!	Et me fait mépriser celle qui m'est acquise Mais, ô vous!
qui m’offrez vn Sceptre, & voſtre Foy Pourriez-vous bien changer, ſi vous n’aymiez que Miaj.	qui m'offrez un Sceptre, et votre Foi Pourriez-vous bien changer, si vous n'aimiez que Miaj.
Iugez, iugez, ô vous!	Jugez, jugez, ô vous!
dont ie crains la cholere.	dont grands crains la colère.
Par ce que vous feriez, de ce que ie puis faire.	Par ce que vous feriez, de ce que je puis faire.
Ie voudrois vous aymer, & ne le deuant pas, I'en ſouffre des tourmens pires que le trépas.	Je voudrais vous aimer, et ne le devant pas, J'en souffre des tourments pires que le trépas.
Pouuoir tant pour vn autre, & ſi peu pour moy meſme, C'eſt bien encore vn coup de mon malheur extrême Et c’eſt bien ſans raiſon que i’oſe demander, Ce que ie ne veux pas ny ne dois accorder.	Pouvoir tant pour un autre, et si peu pour moi -même, C'est bien encore un coup de mon malheur extrême Et c'est bien sans raison que j'ose demander, Ce que je ne veux pas ni ne dois accorder.
SCENE VIII.	SCÈNE VIII.
NICANOR, AMINTAS.	NICANOR, AMINTAS.
NICANOR.	NICANOR.
A fortune eſt pour nous, ceſſons de nous en L plaindre, Ce fier Corſaire eſt pris;	À fortune est pour nous, cessons de nous en L plaindre, Ce fier Corsaire est pris;
nous n’auos plus à craindre;	nous n'avos plus à craindre;
La tempeſte a briſé ſon vaiſſeau contre vn banci Tu te voy ſon vainqueur, ſans répandre de ſang La Princeſſe eſt à toy;	La tempête a brisé son vaisseau contre un banci Tu te vois son vainqueur, sans répandre de sang La Princesse est à toi;
la Cypre eſt ſecouruë, Réjoüy-toy, mon fils.	la Cypre est secourue, Réjoui-toi, mon fils.
AMINTAS à part.	AMINTAS à part.
O diſgrace impreueuël	Ô disgrâce imprueuel
Tu ſoupire.	Tu soupire.
NICANOR.	NICANOR.
AMINTAS.	AMINTAS.
La ioye à ſes excez, Seigneur, Nous ſurprend, & nous trouble autãt que la doulet	La joie à ses excès, Seigneur, Nous surprend, et nous trouble autant que la doulet
NICANOR.	NICANOR.
Sa flotte ne ſçait point quelle perte elle a faite :	Sa flotte ne sait point quelle perte elle a faite :
Si nous ſçauons bien vaincre, elle eſt déja défaite;	Si nous sçauons bien vaincre, elle est déjà défaite;
AMINTAS.	AMINTAS.
Mais ſur noſtre parole, Oroſmane eſt venu, At’on pû l’arreſter?	Mais sur notre parole, Orômane est venu, At-on pu l'arrêter?
NICANOR.	NICANOR.
Pourquoy ne l’a-t’on pû?	Pourquoi ne l'a-t-on pu?
Sa flotte nous ſurprend;	Sa flotte nous surprend;
aſſiege;	assiège;
attaque;	attaque;
vole.	vole.
Ne nous monſtre-t’il pas à manquer de parole?	Ne nous montre-t-il pas à manquer de parole?
Lors que les deux guerriers au combat déja preſts, Le fer doit terminer les diuers intereſts, La moindre hoſtilité ceſſe de part & d’autre.	Lors que les deux guerriers au combat déjà prêts, Le fer doit terminer les divers intérêts, La moindre hostilité cesse de part et d'autre.
AMINTAS.	AMINTAS.
Son manquement de foy n’excuſe pas le noſtre.	Son manquement de foi n'excuse pas le nôtre.
NTCANOR.	NTCANOR.
Il à pris Amatonte, & cenc hoſtilité, Nous rend noſtre parole, & finit tout traitté.	Il a pris Amatonte, et cencôt hostilité, Nous rend notre parole, et finit tout traité.
Il faut que le trépas de ce Roy des Corſaires Nous vange, & tãt de Roys qu’il s’eſt fait tributaires.	Il faut que le trépas de ce Roi des Corsaires Nous venge, et tant de Rois qu'il s'est fait tributaires.
le veux faire perir par le feu, par le fer, Ces ennemis communs, ces Tirans de la mer, Et toy, va donner ordre à garder le Corſaire.	le veux faire périr par le feu, par le fer, Ces ennemis communs, ces Tyrans de la mer, Et toi, va donner ordre à garder le Corsaire.
AMINTAS.	AMINTAS.
Pour ſon ſalut pluſtoſt tout ozer, & tout faire.	Pour son salut plustost tout oser, et tout faire.
Fin du troiſiéme Acte.	Fin du troisième Acte.
A ( JIL SCENE PREMIE	À ( IL SCÈNE PREMIE
OROSMANF.	OROSMANF.
rAiſtre abſolu de l’Empire de l’onde, Par mille beaux exploits, AV IDe mon Thrône flottant i’ay fait tremble des Roys, Et ma puiſſance vagabonde, En a veu ſoûmis à ſes loix, Qui voyoient à leurs pieds tout le reſte du monde.	rAître absolu de l'Empire de l'onde, Par mille beaux exploits, AU IDe mon Thrône flottant j'ai fait tremble des Rois, Et ma puissance vagabonde, En a vu soumis à ses lois, Qui voyaient à leurs pieds tout le reste du monde.
De ce lieu ſi voiſin des Cieux, Où le deſtin capricieux, Auoit ma fortune portée, En vn moment elle tombe aux Enfers, Et languit ſous d’indignes fers, Quand loin de la voir arreſtée, Ie ne la croyois limtée, Que des bornes de l’Vniuers.	De ce lieu si voisin des Cieux, Où le destin capricieux, Avait ma fortune portée, En un moment elle tombe aux Enfers, Et languit sous d'indignes fers, Quand loin de la voir arrêtée, Je ne la croyais limtée, Que des bornes de l'Univers.
I'ay veu cent fois au fort de la tempeſte, L’onde aux Cieux ſe méler;	J'ai vu cent fois au fort de la tempête, L'onde aux Cieux se mêler;
Le ſoudre étincelant, ſendre, abbatre, bruler,	Le soudre étincelant, sendre, abattre, brûler,
Des voiles, des maſts ſur ma teſte, Ie l’ay veu des rocs ébranler, Et faire mille éclats du débris de leur faiſte.	Des voiles, des mâts sur ma tête, Je l'ai vu des rocs ébranler, Et faire mille éclats du débris de leur faîte.
Cent fois dans ma noble fureur, prrtane ra guerré & la terreut, Auſſi loin qu’alloit mon courage, I’ay veu la mort s’oppoſer à mes pas;	Cent fois dans ma noble fureur, prrtane ra guerré et la terreut, Aussi loin qu'allait mon courage, J'ai vu la mort s'opposer à mes pas;
Mais qu’vn viſagé plein d’appas, Fait ſouuent tremble dauantage, Que le foudre, que le naufrage, Que la guerre, & que le trépas!	Mais qu'un visagé plein d'appas, Fait souvent tremble davantage, Que le foudre, que le naufrage, Que la guerre, et que le trépas!
SCENE II.	SCÈNE II.
OROSMANE, AMINTAS.	OROSMANE, AMINTAS.
OROSMANE.	OROSMANE.
Pproche mon vainqueur;	Proche mon vainqueur;
mais vainqueur ſans combattre.	mais vainqueur sans combattre.
Viens voir ſi dãs ſes maux mõ cœur ſe laiſſe, abbatre, Où pluſtoſt ſi mes fers ſont aiſez a briſer.	Viens voir si dans ses maux mon cœur se laisse, abattre, Où plutôt si mes fers sont aisé à briser.
O des Princes ingrats le plus à mépriſer, lieus pour ne me plus craindre, eſtie mod nomicide;	Ô des Princes ingrats le plus à mépriser, lieus pour ne me plus craindre, étie mod nomicide;
Iu peux bien eſtre lâ he, ayant eſte perfide.	Ju peux bien être lâ te, ayant este perfide.
AMINTAS.	AMINTAS.
Ie ne reconnois plus ce vainqueur moderé.	Je ne reconnais plus ce vainqueur modéré.
De qui i’auois tantoſt le courage admiré.	De qui j'avais tantôt le courage admiré.
OROSMANE.	OROSMANE.
Et ie reconnois moins ce vaincu magnanime, equi le faux éclat a ſurpris mon eſtime.	Et ici reconnais moins ce vaincu magnanime, équi le faux éclat a surpris mon estime.
AMINTAS.	AMINTAS.
Ie ſuis tel que i’eſtois quand tu fus mon vainqueur.	Je suis tel que j'étais quand tu fus mon vainqueur.
OROSMANE.	OROSMANE.
Manquer à ſa parole, eſt-ce auoir de l’honneur?	Manquer à sa parole, est-ce avoir de l'honneur?
Quand ton Pere inſolent & fier de ma diſgrace, A déchaiſné ſur moy toute vne populace;	Quand ton Père insolent et fier de ma disgrâce, A chaîné sur moi toute une populace;
Quand apres mon naufrage il m’a mis dans les fers, Toy qui dus t’oppoſer à tant d’affronts ſoufferts, Tu viens d’vne inſolence, à nulle autre ſemblable, Repaiſtre tes regards des fers dont on m’accable.	Quand après mon naufrage il m'a mis dans les fers, Toi qui dus t'opposer à tant d'affronts soufferts, Tu viens d'une insolence, à nulle autre semblable, Repaistre tes regards des fers dont on m'accable.
Par ce procedé lâche, iniuſte & rigoureux, Croit-on venger l’affront d’vn combat malheureur, Auancer d’vn Himen la celebre iournée, Et crois-tu voir pluſtoſt ta teſte couronnée?	Par ce procédé lâche, injuste et rigoureux, Croit-on venger l'affront d'un combat malheureur, Avancer d'Homme Hymen la célèbre journée, Et crois-tu voir plutôt ta tête couronnée?
On a veu des vainqueurs inſulter aux vaincus, Inſulter aux vainqueurs, ha!	On a vu des vainqueurs insulter aux vaincus, Insulter aux vainqueurs, ha!
c’eſt bien faire plus.	c'est bien faire plus.
Tu merites par là, de poſſeder Eliſe, Quand on ne l’auroit pas à ta valeur promiſe.	Tu mérites par là, de posséder Élise, Quand on ne l'aurait pas à ta valeur promise.
AMINTAS.	AMINTAS.
Tu m’inſultes toy-meſme, & tu ſçais en ton cœur Que i’ay peu merité ce reproche mocqueur, Tu ſçais bien que ie perds l’eſperance d’Eliſe, Et qu’à ton ſeul vainqueur elle s’eſtoit promiſe, Et ne reproches point de noire lâcheté, Toy qui viens de commetre vne infidelité, Pendant noſtre combat auoir pris vne place.	Tu m'insultes toi-même, et tu sais en ton cœur Que j'ai peu mérité ce reproche moqueur, Tu sais bien que je perds l'espérance d'Élise, Et qu'à ton seul vainqueur elle s'était promise, Et ne reproches point de noire lâcheté, Toi qui viens de commetre une infidélité, Pendant notre combat avoir pris une place.
Quelque iniuſtice apres que la Cypre te faſſe, Tu l’auras attirée en luy manquant de foy, Et tu te plens à tort de mon Pere & de moy, Mais ie te dois la vie, & l’honneur me conſeille, De rende à mon vainqueur vne grace pareille, Pour reprendre ſur luy ſans paſſer pour ingrat, L’honneur que ma fait perdre vn malheureux cõbat Ta mort & ta fortune à nos fers aſſeruie, Peut pourtant m’aſſeurer le bonheur de ma vie;	Quelque injustice après que la Cypre te fasse, Tu l'auras attirée en quelque manquant de foi, Et tu te plents à tort de mon Père et de moi, Mais ainsi te dois la vie, et l'honneur me conseille, De rende à mon vainqueur une grâce pareille, Pour reprendre sur lui sans passer pour ingrat, L'honneur que ma fait perdre un malheureux cõbat Ta mort et ta fortune à nos fers asservie, Peut pourtant m'assurer le bonheur de ma vie;
Mais ie veux ne deuoir mon bonheur qu’a mõ brat Meriter la victoire, & ne la voler pas.	Mais grande veux ne devoir mon bonheur qu'a mon brat Meriter la victoire, et ne la voler pas.
De quelque rare prix que ſoit la recompence, Dont tes fers reſſerrez flattent mon eſperance, Ie les briſeray tous au lieu d’en profiter;	De quelque rare prix que soit la récompense, Dont tes fers resserrez flattent mon espérance, Je les briserai tous au lieu d'en profiter;
Ie te conſerueray ce que ie veux t’oſter, Mais pourtant ſans ceſſer apres de te pourſuiure.	Je te conserverai ce que ainsi veux t'ôter, Mais pourtant sans cesser après de te poursuivre.
OROSMANE.	OROSMANE.
Val ny moy de te vaincre, & de te laiſſer viure.	Val ici moi de te vaincre, et de te laisser vivre.
AMINTAS.	AMINTAS.
Que veux-tu cependant que ie faſſe pour toy?	Que veux-tu cependant que ici fasse pour toi?
OROSMANE.	OROSMANE.
Me laiſſer, ſi tu veux, icy ſeul auec moy, Ie trauail du combat, de la mer, du naufrage, les efforts que i’ay faits à gagner le riuage, M’accablent de ſommeil, & de ſoin combattu, llon eſprit cede enfin à mon corps abattu.	Me laisser, si tu veux, ici seul avec moi, Je travail du combat, de la mer, du naufrage, les efforts que j'ai faits à gagner le rivage, M'accablent de sommeil, et de soin combattu, llon esprit cède enfin à mon corps abattu.
AMINTAS.	AMINTAS.
A l'iaſtant ſi tu veux.	À l'iastant si tu veux.
OROSMANE.	OROSMANE.
Ie ne yeux autre choſe;	Je ne yeux autre chose;
Aleu Prince, & du moins permets que ie repoſe.	AleVer, et du moins permets que notre repose.
AMINTAS.	AMINTAS.
Oroſmane s’endort.	Orômane s'endort.
Ol qu’aucc tous les ſoins qui me vont combattant, Ie luis bien éloigné d’en pouuoir faire autant.	Ol qu'aucc tous les soins qui me vont combattant, Je luis bien éloigné d'en pouvoir faire autant.
SCENE III.	SCÈNE III.
LICAS, AMINTAS.	LICAS, AMINTAS.
LICAS.	LICAS.
t vous vais reueler vn ſecret d’importance;	t vous vais révéler un secret d'importance;
Mlais promettez-moy donc de garder le ſilence, gneur,	Mlais promettez-moi donc de garder le silence, gneur,
AMINTAS.	AMINTAS.
Acheue-donc.	Achève-donc.
LICAS.	LICAS.
La Princeſſe a voulu, Et me l’a commandé d’vn pouuoir abſolu, Que ie luy faſſe voir cette nuict le Corſaire, Et vous ſçauez, Seigneur, ſi i’oſe luy déplaire, La nuict eſt auancée, elle s’en va venir.	La Princesse a voulu, Et me l'a commandé d'un pouvoir absolu, Que ielui asse voir cette nuit le Corsaire, Et vous savez, Seigneur, si j'ose lui déplaire, La nuit est avancée, elle s'en va venir.
AMINTAS.	AMINTAS.
He!	He!
voudroit-elle donc de ſa main le punir?	voudrait-elle donc de sa main le punir?
Ie la veux obſeruer, & quoy qu’elle s’en fâche, Telle act on pourroit luy laiſſer vne tache, Reprochable à moy ſeul, puiſque ie l’aurois ſceu	Je la veux observer, et quoi qu’elle s'en fâche, Telle act on pourrait lui laisser une tache, Reprochable à moi seul, puisque ie l'aurais su
LICAS.	LICAS.
De cét endroit, Seigneur, ſans en eſtre apperceu, Vous verrez.	De cet endroit, Seigneur, sans en être aperçu, Vous verrez.
Mais i’entends du bruit, c’eſt elle meſme;	Mais j'entends du bruit, c'est elle -même;
Cachez-vous.	Cachez-vous.
AMINTAS.	AMINTAS.
O que tout mon malheur eſt extréme Ce n’eſt peut-eſtre icy que l’effet d’vn courroux, Et i’en ay toutesfois des ſentimens ialoux.	Ô que tout mon malheur est extrême Ce n'est peut-être ici que l'effet d'un courroux, Et j'en ai toutefois des sentiments jaloux.
SCENE IV LICAS, ELIZE.	SCÈNE IV LICAS, ÉLIZE.
LICAS.	LICAS.
Adume, vous voyez où pour vous ie m’expoſe M Le fier Corſaire eſt ſeul, & ie croy qu’il re poſe, Vous auez ſouhaitté de le trouuer ainſi.	Adume, vous voyez où pour vous rien m'expose M Le fier Corsaire est seul, et aux crois qu'il re pose, Vous avez souhaité de le trouver ainsi.
ELIZE.	ÉLIZE.
Oyengeance!	Oyengeance!
ô fureur, que vais-je faire icy?	ô fureur, que vais-je faire ici?
Et toy d’entre les Dieux, dont ie te crois du nombre, Uiens conduire mes coups dans l’obſcurité ſombres Viens donner, cher Alcandre, à ma tremblante maie, la force de percer le cœur de l’inhumain.	Et toi d'entre les Dieux, dont je te crois du nombre, Uiens conduire mes coups dans l'obscurité sombres Viens donner, cher Alcandre, à ma tremblante maie, la force de percer le cœur de l'inhumain.
pens donner à mon cœur.	pens donner à mon cœur.
ELÏZE.	ELÏZE.
O Dieux!	Ô Dieux!
il ma nommée!	il ma nommée!
Helas!	Hélas!
OROSMANE.	OROSMANE.
Apres la foy promiſe?	Après la foi promise?
ELIZE.	ÉLIZE.
N'écoutons point vn ſonge ſuborneur, U’vn Demon tutelaire oppoſe à ma fureur.	N'écoutons point un songe suborneur, U'un Demon tutélaire oppose à ma fureur.
Acheuons.	Achevons.
AMINTAS Ha!	AMINTAS Ha!
Madame, & que voulez vous fairet	Madame, et que voulez -vous fairet
ELISE.	ÉLISE.
Inintas contre moy proteger le Corfaire?	Inintas contre moi protéger le Corfaire?
Amintas m’épier?	Amintas m'épier?
OROSMANE.	OROSMANE.
Ma Princeſſe, eſt-ce vous?	Ma Princesse, est-ce vous?
Et puis-je donc encore embraſſer vos genoux	Et puis-je donc encore embrasser vos genoux
ELISE.	ÉLISE.
Ou ſuis-je?	Ou suis-je?
ô Dieux que voy-je?	ô Dieux que vois-je?
& que viens-je d’entendre?	et que viens-je d'entendre?
Dois-je croire à mes yeux?	Dois-je croire à mes yeux?
eſt-ce vne ombre?	est-ce une ombre?
eſt-ec Alcandre?	est- Alcandre?
