A PARIS, Chez GABRIEI.	À PARIS, Chez GABRIEI.
Tartuffe eſt pourtant le ſeul nom qu’on luy donn?	Tartuffe est pourtant le seul nom qu'on lui donn?
CLEON à Tartuffe, Quoy, vous eſtes Tartuffe?	CLEON à Tartuffe, Quoi, vous êtes Tartuffe?
LISANDRE.	LISANDRE.
Oüy, mais ie ſuis ſurpris.	Oui, mais ainsi suis surpris.
CLEON.	CLEON.
Oont Monele a n mnal icgale les Eipiits!	Oont Monèle à n mnal icgale les Éipiits!
LISANDRE.	LISANDRE.
4on juith.	4on juith.
ni, maist eſt vne injuſtice.	ni, mais est une injustice.
Car quoy qu’il ſoit ſans bien, il n’a point de malice.	Car quoi qu’il soit sans bien, il n'a point de malice.
CLEON.	CLEON.
Iln’a point d’autre nom?	Iln'a point d'autre nom?
BISARERE.	BISARERE.
Non.	Non.
TARTVTFE A parr.	TARTUTFE A parr.
Que ie ſuis confus!	Que ie suis confus!
CLEON.	CLEON.
Tartuſſe patoiſſant, Panulphe n’eſt donc plus?	Tartusse pataissant, Panulphe n'est donc plus?
LISANDRE.	LISANDRE.
Quoy, Panulphe?	Quoi, Panulphe?
Ce nom n’eſt rien qu’vne chimere, Et ie le ſçais fort bien, cat i’ay connu ſon Pere.	Ce nom n'est rien qu'une chimère, Et ie le sais fort bien, cat j'ai connu son Père.
LISE.	LISE.
L’auez-vous veu jadis?	L'avez-vous vu jadis?
TARTVFFE baiO malheur impréueu!	TARTUFFE baiO malheur imprévu!
LISANDRE.	LISANDRE.
Ie l’ay veu comme Orgon, ce qu’on appelle veu.	Je l'ai vu comme Orgon, ce qu'on appelle vu.
CLEON à Tartuffe.	CLEON à Tartuffe.
.	.
Vous ne nous dites mot!	Vous ne nous dites mot!
Au moins daignez répondre.	Au moins daignez répondre.
LIDIANE.	LIDIANE.
Ce ſilence profond ſuffit pour le confondre.	Ce silence profond suffit pour le confondre.
CLEON.	CLEON.
Ie n’en puis plus douter, Panulphe eſt vn faux nom.	Je n'en puis plus douter, Panulphe est un faux nom.
Vous croyiez donc en moy trouuer vn autre Orgon?	Vous croyiez donc en moi trouver un autre Orgon?
Et par de faux Contracts, pour deuenir mon Gendre, doasuenomemtmomu i ma me ſurprendre?	Et par de faux Contrats, pour devenir mon Gendre, doasuenomemtmomu y ma me surprendre?
LISANDRE.	LISANDRE.
Ah qu’entens-je?	Ah qu'entends-je?
A mon tour Tartuffe eſt mon Riual?	À mon tour Tartuffe est mon Rival?
CLEON.	CLEON.
L'Homme eſt, ie vous l’auoue, vn meſchant Animall	L'Homme est, Madame vous l'avoue, Elle méchant Animall
CLECN.	CLECN.
O Ciel, l'étrange abus que dans le Mariage!	Ô Ciel, l'étrange abus que dans le Mariage!
Qui ſçoit le mieux duper, paſſe pour le plus ſage!	Qui sçoit le mieux duper, passe pour le plus sage!
dia ine dneioiabacanleuouiereei	dia ine dneioiabacanleuouiereei
LISANDRE.	LISANDRE.
Poutois-je proffter icy de ſon forfait?	Pontais-je proffter ici de son forfait?
Ie ne puis en merite égaler voſtre Fille:	Je ne puis en mérite égaler votre Fille:
Mais, Mouſieur, vous ſçauez mon bien, & me famule.	Mais, Mousieur, vous savez mon bien, et me famule.
Duinoins alle nay pas tant dencnes treiors, Ie ne vous trompe point, paré de faux dehors.	Duinoins allé né pas tant dencnes treiors, Je ne vous trompe point, paré de faux dehors.
CLEON.	CLEON.
Oüy.	Oui.
Monſieur, dés ce ſoir je vous tiendray promeſle.	Monsieur, dès ce soir je vous tiendrai promêle.
Peut-oumettre en vſage vn tel tour de ſoupleſſe?	Peut-oumettre en usage un tel tour de souplesse?
Ie ne m’étonne plus, ſi tantoſt en fureur Son ame s’acharnoit à blamer cet Autheur.	Je ne m'étonne plus, si tôt en fureur Son âme s'acharnait à blâmer cet Auteur.
Selon ce que ie vois n’en déplaiſe a Moliere, Pour vous cette peinture eſt vn peu trop groſſiere, C’eſt vous que ſon Exempt, auec juſte raiſou, Deuroit pour vos fortalts, reſſerret en priſon.	Selon ce que ie vois n'en déplaise a Molière, Pour vous cette peinture est un peu trop grossière, C'est vous que son Exempt, cette juste raisou, Deurait pour vos fortalts, resserret en prison.
Adieu Monſieur Tartuffe, ayez moins d’imprudence, D'autres Gens pouroient bien punir voſtre inſolence.	Adieu Monsieur Tartuffe, ayez moins d'imprudence, D'autres Gens pourraient bien punir votre insolence.
FIN.	FIN.
