ICAL L.	ICAL L.
Etrange avettg femene , qu'enle runeite envie, De tenir un pendu pour l’Auteur de la vie:	Etrange avettg femene , qu'enle runeite envie, De tenir un pendu pour l'Auteur de la vie:
Ma fille écoûte-moi, ſois ſoûmiſe à nos Loix, Si tu ne veux mourir comme lui dans la Croix.	Ma fille écoute-moi, sois soumise à nos Lois, Si tu ne veux mourir comme lui dans la Croix.
REINE.	REINE.
De le ſuivre en la Croix, c’eſt ce que je déſire, je ne mérite pas la palme de Martire;	De le suivre en la Croix, c'est ce que je désire, je ne mérite pas la palme de Martyre;
Quand je devrois mourir mille fois chaque jour, e ne changerai pas l’objet de mon amour, li la faim, ni la ſoif, ni la tranchante lame, ſe pouront arracher Jeſus-Chriſt de mon ame:	Quand je devrais mourir mille fois chaque jour, ne changerai pas l'objet de mon amour, li la faim, ni la soif, ni la tranchante lame, se pourront arracher Jésus-Christ de mon âme:
Adore qui voudra l’infame Jupiter, Qui contre Jeſus-Chriſt ne pourra ſubſiſter, Divinités de bois, & de fer, & de pierre, Qui ne ſçavent oüir aucune humble priére;	Adore qui voudra l'infâme Jupiter, Qui contre Jésus-Christ ne pourra subsister, Divinités de bois, et de fer, et de pierre, Qui ne savent ouïr aucune humble prièvre;
Pour voir s’ils ſont muets, ſans force & mouvement, Ie les vais renverſer par terre hardiment.	Pour voir s'ils sont muets, sans force et mouvement, Je les vais renverser par terre hardiment.
OLIBRE.	OLIBRE.
Arrêtés-la Soldats, qu’elle ſoit attachée, A ce triſte poteau de mille coups touchée, e jure par nos Dieux, je la ferai mourir, en veux venir à bout quand j’y devrois périr.	Arrêtez-la Soldats, qu'elle soit attachée, À ce triste poteau de mille coups touchée, jure par nos Dieux, je la ferai mourir, en veux venir à bout quand j'y devrais périr.
AGATON.	AGATON.
Je ſuis auſſi Chrétien, ô mal-heureux Olibre!	Je suis aussi Chrétien, ô malheureux Olibre!
e lutb ertroncrer eni Dioils prtis irilitriiſeri qee di l'igre;	Je lutb ertroncrer eni Oïls prétis irilitriiseri qée di 'igre;
Ma Reine eſt innocente, ô dragon furieux!	Ma Reine est innocente, ô dragon furieux!
e te veux arracher de ma main les deux yeux.	Je te veux arracher de ma main les deux yeux.
HILDERIC.	HILDERIC.
Retenès cét Enfant, ce trop peu de ſageſſe, Vient du trop grand amour qu’il a pour ſa maîtreſſe	Retenès cet Enfant, ce trop peu de sagesse, Vient du trop grand amour qu'il a pour sa maîtresse
OLIBRE.	OLIBRE.
Frapés bourreaux frapés, redoublés vos efforts, Ne laiſſés ſans bleſſure aucun membre du corps.	Frappez bourreaux frappés, redoublés vos efforts, Ne laissés sans blessure aucun membre du corps.
REINE.	REINE.
Onibre j’aime mieux tes coups que tes careſſes, Ils ſont de mon Epoux les plus douces tendreſſes, leſus mon cher Epoux, mon Sauveur, mon vrai Dieu le vous adorerai, en tout temps, en tout lieu.	Onibre j'aime mieux tes coups que tes caresses, Ils sont de mon Époux les plus douces tendresses, lesus mon cher Époux, mon Sauveur, mon vrai Dieu le vous adorerai, en tout temps, en tout lieu.
OLIBRE.	OLIBRE.
Frapés plus fortement, ſur le ſeln, ſur la face:	Frapés plus fortement, sur le seln, sur la face:
REINE.	REINE.
Olibre je ne craint tes coups ni tes menaces, J’ai mis tout mon eſpoir en vous ſeul mon Epoux, e Plelas!	Olibre je ne craint tes coups ni tes menaces, J'ai mis tout mon espoir en vous seul mon Époux, é Las!
Iecoures-mor, cal je louire pour vous.	Jecoures-mór, cal je louire pour vous.
OLIBRE.	OLIBRE.
Qu’elle ſoit hautement en la Croix élevée, Par des griffes de fer fortement éprouvée;	Qu'elle soit hautement en la Croix élevée, Par des griffes de fer fortement éprouvée;
Qu’on lui brûle les flancs, qu’on aporte des feux, o Qu’on lui faſſe ſoûfrir des tourmens furieux.	Qu'on lui brûle les flancs, qu'on apporte des feux, ou Qu'on lui fasse souffrir des tourments furieux.
HILDERIC.	HILDERIC.
Reine dont les appas, le attraits & les charmes, Ont vaincu plus de Rois que l’effort de nos armes, Veux-tu perdre l’éclat de cette Majeité, Qui te fait ſurpaſſer les Rois en dignité.	Reine dont les appas, le attraits et les charmes, Ont vaincu plus de Rois que l'effort de nos armes, Veux-tu perdre l'éclat de cette Majité, Qui te fait surpasser les Rois en dignité.
CHARLES.	CHARLES.
Reine deſirés vous périr comme une folle, Tourquol le quittes-vous ee leſemnene Mrvole, Ceſſés de mépriſer la grandeur de nos Dieux, Adorés Jupiter ce Monarque des Cieux.	Reine désirez vous périr comme une folle, Tourquol le quittes-vous ce lesemnène Mrvole, Cessés de mépriser la grandeur de nos Dieux, Adorez Jupiter ce Monarque des Cieux.
ALBAIN.	ÀLBAIN.
Reine dont la beauté reluit comme un bel aſtre, Que je ſuis affligé quand je vois ton deſaſtre, Touché de la douleur & regret de tes maux, je verie demes yeux des pieurs à granlds ruineaux.	Reine dont la beauté reluit comme un bel astre, Que je suis affligé quand je vois ton désastre, Touché de la douleur et regret de tes maux, je vérie de yeux des pieurs à granlds ruinex.
CARAUSE.	CARAUSE.
Reine je ſuis armé pour ta juſte défence, Si tu veux à nos Dieux rendre l’obeïſſance.	Reine je suis armé pour ta juste défense, Si tu veux à nos Dieux rendre l'obéissance.
G1.	G1.
LUCILLE.	LUCILLE.
Toi qui peut t’élever d’un vol ambitieux, Dans les plus grands honneurs qui ſoſent deſſous les Cieux, Au lieu d’avoir égard à la grande Nobleſſe, Tu veux dégenerer du titre de Princeſſe;	Toi qui peut t'élever d'un vol ambitieux, Dans les plus grands honneurs qui sosent dessous les Cieux, Au lieu d'avoir égard à la grande Noblesse, Tu veux dégénérer du titre de Princesse;
Renonce à Jeſus-Chriſt, Reine conſerve-toi, Adore nos gralds Dleux, emorane notre Lol.	Renonce à Jésus-Christ, Reine conserve-toi, Adore nos gralds Dleux, émorane notre Lol.
SABIN.	SABIN.
O quel aveuglement!	Ô quel aveuglément!
quelle erreur te convie, De mépriſer ainſi les douceurs de la vie, Vouloir plûtôt ſoûfrir une ſanglante mort, Que déteſter l’Auteur de ſon funeſte ſort;	quelle erreur te convie, De mépriser ainsi les douceurs de la vie, Vouloir plutôt soufrir une sanglante mort, Que détester l'Auteur de son funeste sort;
Renonce à Jeſus-Chriſt qui t’expoſe au carnage, Adore Jupiter pour faire un trait de ſage, l'ourquoi te fondes-tu bur Jeſus ton Epoux, Qui pour te maintenir paroît ſi peu jaloux.	Renonce à Jésus-Christ qui t'expose au carnage, Adore Jupiter pour faire un trait de sage, l'ourquoi te fondes-tu bur Jésus ton Époux, Qui pour te maintenir paraît si peu jaloux.
EUGENIE.	EUGÉNIE.
Auguſte Deïté, vénerable Princeſſe, Teutrraguta poahle esui d'et condre jeunciie;	Auguste Dé, vénérable Princesse, Teutraguta pohle esvi d'et condre jeunciie;
On conſpire à te perdre, on conjure ta mort, Ton Dieu pour te ſauver ne fait aucun effort.	On conspire à te perdre, on conjure ta mort, Ton Dieu pour te sauver ne fait aucun effort.
REINE.	REINE.
Vos diſcours ſont mauvais, vôtre amour eſt funeſte Qui veut me ſeparer de mon amour céleſte, Vous m’êtes ennemis & trop injurieux, De me perſuader le culte des faux-Dieux, l’aime mieux expoſer aux ardeurs de la flâme, La beauté de mon corps que de perdre mon ame, ſvion Epoux pour le prix de ma fidelité, Me fera part aux dons de ſa Divinité, Si j’expoſe mon corps à la mort temporelle, Mon eſprit joüira de la vie éternelle.	Vos discours sont mauvais, votre amour est funeste Qui veut me séparer de mon amour céleste, Vous m'est ennemis et trop injurieux, De me persuader le culte des faux-Dieux, l'aime mieux exposer aux ardeurs de la flamme, La beauté de mon corps que de perdre mon âme, susion Époux pour le prix de ma fidélité, Me fera part aux dons de sa Divinité, Si j'expose mon corps à la mort temporelle, Mon esprit jouira de la vie éternelle.
OLIBRE.	OLIBRE.
Voïés les ſentimens d’un eſprit forcené, admire les élans de ce cœur obſtiné, Malgré les bons avis élle eſt plus endurcie, A mépriſer les Loix de l’empereur Decie, Cette ingrate & farouche aprés tant de mépris, A cauſé ce tranſport de haine à mes eſprits;	Voïés les sentiments d'un esprit forcené, admire les élans de ce cœur obstiné, Malgré les bons avis élle est plus endurcie, A mépriser les Lois de l'empereur Décie, Cette ingrate et farouche après tant de mépris, A causé ce transport de haine à mes esprits;
Ma collère eſt tres-juſte, elle m’eſt trop cruelle, D’avoir tant en horreur un Amant ſi fidéle:	Ma collère est très faute, elle m'est trop cruelle, D'avoir tant en horreur un Amant si fidèle:
Frapés boureaux frapes, mettés-la toute en ſans Appliqués lui des fers pour lui brûler les flancs.	Frappez boureaux frappes, mettés-la toute en sans Appliqués lui des fers pour lui brûler les flancs.
REINE.	REINE.
Secourés moi mon Dieu, ſoïés moi favorable, La rigueur des tourmens me ſera ſuportable, Je ne ſens aucun mal, je n’ai point de douleur, Mon Ange a de ce feu moderé la chaleur, E’sus mon cher Epoux de qui je ſuis chérie, M’a de tous mes ennuis en un inſtant guërie.	Secourez moi mon Dieu, soïés moi favorable, La rigueur des tourments me sera supportable, Je ne sens aucun mal, je n'ai point de douleur, Mon Ange a de ce feu modéré la chaleur, Esus mon cher Époux de qui je suis chérie, M'a de tous mes ennuis en un instant guérie.
OLIBRE.	OLIBRE.
Sorciére tu deviens par tes enchantemens, Ihſenſible aux douleurs des plus cruels tourmens, Tu ne ſens pas le feu mal-heureuſe incenſée, je veux voir ſi par l’eau tu ſeras offencée.	Sorciére tu deviens par tes enchantements, Ihensible aux douleurs des plus cruels tourments, Tu ne sens pas le feu malheureuse incensée, je veux voir si par l'eau tu seras offensée.
REINE.	REINE.
Celui qui des flambeaux peut éteindre l’ardeur, Peut auſſi bien des eaux modérer la froideur, J’entrerai dans cét eau m’yplongeant de moi même Afin qu’elle me ſoit comme un ſecond Baptême, Mon Epoux Tout-puiſſant du haut trône des Cieux, M’aide de ſon ſecours je le vois de mes yeux, Je dois vous adorer Divine Providence, Qui dans tous mes beſoins veilles pour ma deffence Mon tres-fidel Epoux Jeſus-Chriſt mon vrai Dieu, Qui preſervés mon corps contre l’ardeur du feu, Apellés-moi vers vous, je n’aime plus à vivre, Ie déſire mourir au plûtôt pour vous ſuivre, Et joüir dans le Ciel du vrai contentement, loſſedant la beaute de mon idel Amant.	Celui qui des flambeaux peut éteindre l'ardeur, Peut aussi bien des eaux modérer la froideur, J'entrerai dans cet eau m'yplongeant de moi même Afin qu'elle me soit comme un second Baptême, Mon Époux Tout-puissant du haut trône des Cieux, M’aide de son secours je le vois de mes yeux, Je dois vous adorer Divine Providence, Qui dans tous mes besoins veilles pour ma défense Mon très-fidel Acoux Jésus-Christ mon vrai Dieu, Qui préservez mon corps contre l'ardeur du feu, Apellés-moi de mes, je aime plus vivre, Je n' ai me plus à vous ivre, Et joüir dans le Ciel du vrai contentement, lossedant la beauté de mon idel Amant'
OLIBRE.	OLIBRE.
Je ſuis laſſé de voir tant de ſorcellerie, Je ne puis plus ſoûfrir une telle furie, dù fort vontentera toute ma paſſion, le deſtine demain pour l’execution.	Je suis lassé de voir tant de sorcellerie, Je ne puis plus souffrir une telle furie, dU fort vontentera toute ma passion, le destine demain pour l'exécution.
SCENE III.	SCÈNE III.
OLIBRE, EVGENIE, THEOPISTE.	OLIBRE, EUGÉNIE, THÉPISTE.
OLIBRE.	OLIBRE.
Ui je veux voir mourir cette beauté cruelle, ODont jadis les attraits me tenoient en cervelle le veux voir de mes yeux ternir ce grand éclat, Qui cauſe dans mon cœur un ſi ſanglant combat, Enfin tu périras digne objet de ma haine, rarec que trop Iong cemps cume eiens dans la gene.	Oui je veux voir mourir cette beauté cruelle, ODont jadis les attraits me tenaient en cervelle le veux voir de mes yeux ternir ce grand éclat, Qui cause dans mon cœur un si sanglant combat, Enfin tu périras digne objet de ma haine, rarec que trop Jong cemps cume eiens dans la gene.
EUGENIE.	EUGÉNIE.
Sire il ne ſera plus au monde de beauté, Sortable à la grandeur de vôtre Majeſté.	Sire il ne sera plus au monde de beauté, Sortable à la grandeur de votre Majesté.
OLIBRE.	OLIBRE.
Pourquoi me parle-tu d’un objet qui me tuë, Ma vertu ſous ſa Loi paroît être abbatuë, Je penſe encore un coup à cét objet ſi doux, L’amour fait un effort pour vaincre mon courroux La raiſon me canvaint, le devoir me ſurmonte, L’amour par ſes élans me fait rougir de honte, Mais malgré ce tranſport & le reſpect humain, Je vengerai les Dieux de l’empire Romain;	Pourquoi me parle-tu d'un objet qui me tue, Ma vertu sous sa Lois paraît être abattue, Je pense encore un coup à cet objet si doux, L'amour fait un effort pour vaincre mon courroux La raison me canvaint, le devoir me surmonte, L'amour par ses élans me fait rougir de honte, Mais malgré ce transport et le respect humain, Je venger les Dieux de l'empire Romain;
Amour déſordonné, malgré ta tirannie, Nous verrons aujourd’hui la malice punie, Ce zéle pour nos Dieux plein de ſéverité, Me rendra tres-fameux chés la poſterité:	Amour désordonné, malgré ta tyrannie, Nous verrons aujourd'hui la malice punie, Ce zèle pour nos Dieux plein de sévérité, Me rendra très-fameux chez la postérité:
Souveraine beauté faut-il que tu périſſe, Pourquoi te jette-tu dans un tel précipice?	Souveraine beauté faut-il que tu périsse, Pourquoi te jette-tu dans un tel précipice?
Pourquoi refuſe-tu le reſpect à nos Dieux?	Pourquoi refuse-tu le respect à nos Dieux?
Pourquoi m’arrache-tu les larmes de mes yeux?	Pourquoi m'arrache-tu les larmes de mes yeux?
Je fremis de regret te voïant dans la ruïne, Par un aveuglement ton eſprit ſe mutine;	Je frémis de regret te voïant dans la ruine, Par un aveuglement ton esprit se mutine;
Ie voudrois de bon cœur ſoûfrir la mort pour toi, arii de ce lauver des Mactxx od je ce volo, Mal-heureuſe beauté, pourquoi t’ai-je connuë, Pourquoi ſur ſes beaux yeux ai-je arrêté ma vûë.	Je voudrais de bon cœur soûfrir la mort pour toi, ari de ce laver des Mactx od je ce volo, Malheureuse beauté, pourquoi t'ai-je connue, Pourquoi sur ses beaux yeux ai-je arrêté ma vue.
THEOPISTE.	THÉPISTE.
Quels ètrangesdiſcours, quelle changeantehumeur cont-ce les ſentimens dignes d’un ſi grand cœur, L’interêt de nos Dieux, & leur juſte défence, Ne doit plus ſuporter une ſi grande offence, Il faut vaincre l’erreur de cette paſſion.	Quels Êtrangesdiscours, quelle changeantehumeur conteur-ce les sentiments dignes d'un si grand cœur, L'intérêt de nos Dieux, et leur juste défense, Ne doit plus supporter une si grande offense, Il faut vaincre l'erreur de cette passion.
OLIBRE.	OLIBRE.
Je t’ai déja commis cette éxecution, Les Dieux en ſont auteurs & le Pontife même, Doit prononcer l’Arrêt pour vanger ce blaſphême, Reçois pour cette fin mon glaive & mon pouvoir, Ma colére a paſſé les bornes du dévoir.	Je t'ai déjà commis cette éxecution, Les Dieux en sont auteurs et le Pontife même, Doit prononcer l'Arrêt pour venger ce blasphomme, Reçois pour cette fin mon glaive et mon pouvoir, Ma colère a passé les bornes du dévoir.
SCENE III.	SCÈNE III.
FELIA, TERSE, CLODIAN SABIN.	FELIA, TERSE, CLODIAN SABIN.
FELIX.	FELIX.
Stres du Firmament cachés vôtre lumiére, TASoleilpouvésvous bien la donner toute entiére Commentpouvés-vousvoir nos ſanglots & nos pleurs Sans rien diminuër de vos claires ſplendeurs?	Stres du Firmament cachez votre lumièvre, TASoleilpouvésvous bien la donner toute entiére Commentpouvés-vousvoir nos sanglots et nos pleurs Sans rien diminuer de vos claires splendeurs?
Ne contemplés-vous pas un ſpectacle tragique, Un objet plein d’horreur, une Vierge pudique, ’alouſe de l’honneur & de la pureté, Eprouver les rigueurs d’un Tiran irrité?	Ne contemplez-vous pas un spectacle tragique, Un objet plein d'horreur, une Vierge pudique, 'alouse de l'honneur et de la pureté, Éprouver les rigueurs d'un Tyran irrité?
Pourquoi ne couvres-vous vôtre front de nuages, Oſés-vous ſans fraïeur contempler ſes dommages, Voir couler de ſon corps, ſi pur, ſi ſaint, ſi beau, Des riviéres de ſang par la main d’un boureau, Une Auguſte Princeſſe, une Vierge ſoûfrante, Un Tiran ennemi d’une Fille innocente, Une Vierge tres-Sainte & parfaite en beauté, Un eſprit tout divin, un Ange en pureté, Vierge quant à ſon corps & d’une ame ſi pure, Qu’elle aime mieux mourir que ſoûfrir de ſoüillure Elle prend de ſon Dieu la deffence en ſa main, Contre tous les efforts de l’empire Romain, Que tous les Elemens, & le Ciel, & la Terre, Contr’elle ſoûlevés lui déclarent la guerre, Son cœur plus que viril ſoûtiendra contre tous, La gloire & le renom de JESUS ſon Epoux:	Pourquoi ne couvre-vous votre front de nuages, Usez-vous sans fraïeur contempler ses dommages, Voir couler de son corps, si pur, si saint, si beau, Des riviéres de sang par la main d'un boureau, Une Auguste Princesse, une Vierge souffrante, Un Tyran ennemi d'une Fille innocente, Une Vierge très-Sainte et parfaite en beauté, Un esprit tout divin, un Ange en pureté, Vierge quant à son corps et d'une âme si pauvre, Qu'elle aime mieux mourir que souffrir de soüillure Elle prend de son Dieu la deffence en sa main, Contre tous les efforts de empire Romain, Que tous les Elemens, et le Ciel, et la Terre, Contr’elle soûlevés lui déclarent la guerre, Son cœur plus que viril soûtiendra contre tous, La gloire et le renom de JESUS son Epoux:
Infame, criminel;	Infâme, criminel;
fol, de l’avoir frapée, Vierge digne d’honneur, Illuſtre en ſainteté, Je connois à preſent ta grande dignité;	fol, de l'avoir frappée, Vierge digne d'honneur, Illustre en sainteté, Je connais à présent ta grande dignité;
Reine je ſuis Chrétien, je connois l’innocence, De ton Dieu Jeſus-Chriſt j’adore ſa puiſſance, J’aime la verité, je proteſte la Foi, Je déſire ſoûfrir le martire avec toi :	Reine je suis Chrétien, je connais l'innocence, De ton Dieu Jésus-Christ j'adore sa puissance, J'aime la vérité, je proteste la Foi, Je désire souffrir le martyre avec toi :
Reine pardonne-moi cette grande inſolence, Obtient-moi de ton Dieu pardon de mes offences	Reine pardonne-moi cette grande insolence, Obtient-moi de ton Dieu pardon de mes offenses
PERSE.	PERSE.
Déteſtable forfait, quel lâche aveuglement, M’a porté dans l’excés d’un tel déreglement, Plus cruel qu’un Lion par un amour tres-libre, ’ai ſervi d’inſtrument aux volontés d’Olibre, Reine dont la vertu, la gloire & ſainteté, Les eſprits bien-heureux, égalle en dignité, Je gémis, mais trop tard, du regret de tes pertes, C’eſt de ma propre main que tu les as ſoûfertes, Je mérite les fers d’une noire priſon, D’avoir tant excedé les Loix de la raiſon, Par une cruauté qui n’eût jamais d’exemple, Sur toi du Saint Eſprit j’ai prophané ce Temple, De t’avoir fait ſoûfrir, & le fer, & le feu, Pour te faire quiter le reſpect de ton Dieu, De ton Dieu Tout-puiſſãt qui n’a pointde ſemblable Le Redempteur Jeſus ton Epoux tant aimable;	Détestable forfait, quel lâche aveuglement, M'a porté dans l'excès d'un tel dérèglement, Plus cruel qu'un Lion par un amour très -libre, aai servi d'instrument aux volontés d'Olibre, Reine dont la vertu, la gloire et sainteté, Les esprits bien-heureux, égale en dignité, Je gémis, mais trop tard, du regret de tes pertes, C'est de ma propre main que tu les as soûfertes, Je mérite les fers d'une noire prison, D'avoir tant excédé les Lois de la raison, Par une cruauté qui n'eût jamais exemple, Sur toi du ' Esprit ai prophané ce Temple, De avoir fait soûfrir, et le fer, et le feu, Pour te faire quiter le respect de ton Dieu, De ton Dieu Tout-puissãt qui a pointde semblable Le Redempteur Jesus ' Ex tant em;
J’ai combatu pour ceux qui n’ont rien de Divin.	J'ai combattu pour ceux qui n'ont rien de Divin.
Et contre le vrai Dieu j’ai vomi ce venin:	Et contre le vrai Dieu j'ai vomi ce venin:
De nos Divinités je connois l’impuiſſance, Ils n’ont rien de Divin qu’une vaine aparence, Des Dieux privés d’eſprit, de ſens & de raiſon, Qui n’ont ni mouvement, ni mains, ni voix, ni ſon, Des Dieux plus incenſés que les plus lourdes bêtes, Que nous voïons mugir quand on frape leur tête;	De nos Divinités je connais l'impuissance, Ils n'ont rien de Divin qu'une vaine apparence, Des Dieux privés d'esprit, de sens et de raison, Qui n'ont ni mouvement, ni mains, ni voix, ni son, Des Dieux plus incensés que les plus lourdes bêtes, Que nous voïons mugir quand on frappe leur tête;
Jne Fille a caſſé la tête à Jupiter, Et fait voir qu’un tel Dieu ne ſçauroit ſubſiſter:	June Fille a cassé la tête à Jupiter, Et fait voir qu'un tel Dieu ne saurait subsister:
Noble Divinté digne d’un grand empire, Tu nous as ce jourd’hui donné ſujet de riré;	Noble Divinté digne d'un grand empire, Tu nous as ce jourd'hui donné sujet de riré;
leſus-Chriſt au contraire à qui tout obeït, De ſon tres-grand pouvoir m’a convaincu l’eſprit?	lesus-Christ au contraire à qui tout obéir, De son très-grand pouvoir m'a convaincu l'esprit?
ll a de leurs travaux délivré les fidéles, Et leur a préparé des faveurs éternelles, e renõce auxfaux.	ll a de leurs travaux délivré les fidèles, Et leur a préparé des faveurs éternelles, e renonce auxfaux.
Dieux, jeveux mourir Chrétien Car je veux deſormais eſtimer le vrai bien, Malgré tous les Edits & défences d’Olibre, adorerai Jeſus d’une volonté libre.	Dieux, jeveux mourir Chrétien Car je veux désormais estimer le vrai bien, Malgré tous les Édits et défenses d'Olibre, adorerai Jésus d'une volonté libre.
CLODIAN.	CLODIAN.
Fauſſes Divinités, déteſtables attenteurs.	Fausses Divinités, détestables attenteurs.
e n’aurai plus pour vous des ſentimens flateurs, e n’écoûterai ph orant de diſcours frivoles, Qui m’on fait réputer pour des Dieux des Idoles, Des Idoles plûtôt des eſprits vicieux, lus digne des Enfers que du Trône des Cieux, Des démons deſtinés aux flâmes éternelles, uſte punition des ames criminelles:	eu n'aurai plus pour vous des sentiments flatteurs, est n'écouterai ph orant de discours frivoles, Qui m'on fait réputer pour des Dieux des Idoles, Des Idoles plutôt des esprits vicieux, lus digne des Enfers que du Trône des Cieux, Des démons destinés aux flammes éternelles, uste punition des âmes criminelles:
u contraire je ſçai que le Dieu des Chrétiens, aſpirant la vertu commande les vrais biens, n Dieu que pour les ſiens j’ai toûjours vû propice, Auteur de Sainteté qui condamne le viće, teine tu m’as apris par ta grande ferveur, ui te fait mépriſer les Rois & leur faveur, imer la pureté, oublier les injures, ſiſter le prochain, déteſter les ordures,	Ju contraire je sais que le Dieu des Chrétiens, aspirant la vertu commande les vrais biens, n Dieu que pour les siens j'ai toujours vu propice, Auteur de Sainteté qui condamne le vie, teine tu m'as appris par ta grande ferveur, ui te fait mépriser les Rois et leur faveur, imer la pureté, oublier les injures, sister le prochain, détester les ordures,
Que ton Dieu qui par tout a demeuré vainqueur, Dont tout ſeul ocuper l’enceinte de mon cœur Cette Religion ſans doute eſt véritable, Qui fait ſon Sectateur ſi bon, ſi charitable;	Que ton Dieu qui par tout a demeuré vainqueur, Dont tout seul ocuper l'enceinte de mon cœur Cette Religion sans doute est véritable, Qui fait son Sectateur si bon, si charitable;
Reine que j’ai d’horreur & de confuſion, D’avoir été l’Auteur de ton affliction, Quand tu m’as raconté les divines merveilles, ouvrois à même temps le cœur & les oreilles, ai tres-bien remarqué les ſolides raiſons, Quand je te viſitois ſeule dans les priſons, Mon eſprit convaincu des vérités ſublimes, Reconnoît maintenant & déteſte les crimes, Je connois, mais trop tard, l’excés de mon peche Ha que j’ai de remors!	Reine que j'ai d'horreur et de confusion, D'avoir été l'Auteur de ton affliction, Quand tu m'as raconté les divines merveilles, ouvrais à même temps le cœur et les oreilles, ai très-bien remarqué les solides raisons, Quand je te visitais seule dans les prisons, Mon esprit convaincu des vérités sublimes, Reconnoît maintenant et déteste les crimes, Je connois, mais trop tard, l'excès de mon pèche Ha que j'ai de remors!
ha que je ſuis fâché!	ha que je suis fâché!
D’avoir mis à la Croix une Vierge ſi belle, Qui n’a d’autre peché que d’avoir trop de zéle, Pour ſon fidel Epoux tant Céleſte & Divin, Le Roïaume duquel ne prenc' h jamais fin;	D'avoir mis à la Croix une Vierge si belle, Qui n'a d'autre péché que d'avoir trop de zèle, Pour son fidel Époux tant Céleste et Divin, Le Roïaume duquel ne prenc' autre jamais fin;
Douce Reine obtient-moi le pardon je te prie, Je mourrai combatant contre l’Idolâtrie, Piclao:	Douce Reine obtient-moi le pardon je te prie, Je mourrai combattant contre l'Idolâtrie, Piclao:
encore direoup, icoins pardonne-moi, Je veux aimer JESuS & mourir pour ſa Foi, Je renonce à Satan, ce beau Dieu de l’Empire Au nombre des elûs je veux mon nom écrire.	encore direoup, icoins pardonne-moi, Je veux aimer JESuS et mourir pour sa Foi, Je renonce à Satan, ce beau Dieu de l'Empire Au nombre des elûs je veux mon nom écrire.
SABIN.	SABIN.
Tranſporté de regret & de confuſion, ye déteſte l’erreur de ma préſomption, Reine que j’ai toûjours aimé comme moi-même, Je connois de ton Dieu la dignité ſupréme, I’ai nommé ta conduite & opiniâtreté, Contre-toi ſans raiſon je me ſuis irrité, Au contraire à preſent je priſe ta conſtance, Et te donne conſeil de la perſéverance, Jeſus eſt le vrai Dieu, nous en ſommes témoins, Et qu’il n’a pas manqué de t’aider par les foins, Pour ta protection il a fait des Miracles, Il a pour ta faveur fait parler des Oracles, e prends ta cauſe en main & défends ta pudeur, Le feu perd ſa vertu, l’eau quitte ſa froideur, Le feu, les Elémens, & toutes Créatures, Pour ne point t’offencer ont changé de nature;	Transporté de regret et de confusion, ie déteste l'erreur de ma présomption, Reine que j'ai toujours aimé comme moi-même, Je connais de ton Dieu la dignité suprême, J'ai nommé ta conduite et opiniâtre, Contre-toi sans raison je me suis irrité, Au contraire à présent je prise ta constance, Et te donne conseil de la persévérance, Jésus est le vrai Dieu, nous en sommes témoins, Et qu'il n'a pas manqué de t'aider par les foins, Pour ta protection il a fait des Miracles, Il a pour ta fa fait parler des Oracles, Il a pou en main et défends ta pudeur, Le feu perd sa vertu, eau et sa froideur, Le feu, les Ens, et me Créatures, Pour ne point offencer ont changé de nature;
Les Anges ſont témoins de ta fidélité, Et portent du reſpect à ta Virginité, Reine je t’aiderai d’un fidelle ſervice, Au lieu de lâchement te conduire at luprice;	Les Anges sont témoins de ta fidélité, Et portent du respect à ta Virginité, Reine je t'aiderai d'un fidèle service, Au lieu de lâchement te conduire at luprice;
On doit exécuter cette Vierge demain, Noun mouu du dorune les dimes a la Ilalil.	On doit exécuter cette Vierge demain, Noun mouvouvou dorune les dîmes à la Ilalil.
SCENE V.	SCÈNE V.
TIEUPISTE, REINE, FELIX, PERSE, CLODIAN, Sabin, Hilderic, Charles, Albain, Lucille, Carauſe, Eugene, Porfie, Soldats de l’Armée.	TIEUPISTE, REINE, FELIX, PERSE, CLODIAN, Sabin, Hildéric, Charles, Albain, Lucille, Carause, Eugène, Porfie, Soldats de l'Armée.
THEOPISTE.	THÉPISTE.
Ivine Majeſté, Souveraine puiſſance, IJA qui tous les mortels doivent obeïſſance.	Juine Majesté, Souveraine puissance, IJA qui tous les mortels doivent obéissance.
Noble Divinité, grand Roi du Firmament, Qui du Ciel gouvernés le monde ſagement, upiter qui lancés le tonnerre & la foudre, Réduiſés aujourd’hui vos ennemis en poudre, On mépriſe ici-bas le Monarque des Cieux, Mais il ſçait bien punir les cœurs audacieux, Il ſçait bien aux méchants ſuſciter des tempêtes, Préparant des carreaux pour foudroïer leurs têtes:	Noble Divinité, grand Roi du Firmament, Qui du Ciel gouvernés le monde sagement, upiter qui lancès le tonnerre et la foudre, Réduisez aujourd'hui vos ennemis en poudre, On méprise ici-bas le Monarque des Cieux, Mais il sait bien punir les cœurs audacieux, Il sait bien aux méchants susciter des tempêtes, Préparant des carreaux pour foudroïer leurs têtes:
Reine tu veux cauſer par ta Religion, Le trouble dans la Gaule & la rebellion, Offencer de nos Dieux la Majeſté ſuprême, Ils ne peuvent laiſſer impuni ton blaſphême;	Reine tu veux causer par ta Religion, Le trouble dans la Gaule et la rébellion, Offenser de nos Dieux la Majesté suprême, Ils ne peuvent laisser impuni ton blasphême;
