offrir celuy cy:	offrir celui celui:
Ouy, leur laiſſant la guerre, & les faits heroïques, Nous pourrions bien remplir les charges pacifiques, Et tandis qu’ils iroient aſſurer les dehors, Gouuerner du dedans les tranquilles reſſors.	Oui, leur laissant la guerre, et les faits héroïques, Nous pourrions bien remplir les charges pacifiques, Et tandis qu'ils iraient assurer les dehors, Gouverner du dedans les tranquilles ressors.
Iis ont pour s'eitabnr Senats, A cademies, Cours, Dietes, Conſeils;	Iis ont pour s'éitabnr Sénats, À cademies, Cours, Diètes, Conseils;
Nous ſeules endormies, Nous ſeules ſur le point de nous voir accabler, Ne ſongeons point qu’il eſt tems de nous aſſembler.	Nous seules endormies, Nous seules sur le point de nous voir accabler, Ne songeons point qu'il est temps de nous assembler.
Plus que tems.	Plus que temps.
AMINTE.	AMINTE.
CMTETE.	CMTETE.
Nous auons dans vn deſſein ſi iuſte L’appuy d’vn fameux Prince, & d’vne teſte auguſte D’vn Heliogabale, & l’hiſtoire fait foy, Qu’en faueur de ſa mere il en fit vne loy.	Nous avons dans un dessein si juste L'appui d'un fameux Prince, et d'une tête auguste D' Héliogabale, et l'histoire fait foi, Qu'en faveur de sa mère il en fit une loi.
AMINTE.	AMINTE.
Ha!	Ha!
que ſi nous pouuions donter ces maîtres hõmes Les reduire à leur tour à l’êtat où nous ſommes, Les regir vne fois, & prendre le deſſus, Qu’ils ſeroient étonnez, qu’ils deuiendroient confus Mais nous n’auõs contre-eux, & cõtre leurs caprices, Que noſtre complaiſance, & que nos artifices.	que si nous pouvions donter ces maîtres hommes Les réduire à leur tour à l'état où nous sommes, Les régir une fois, et prendre le dessus, Qu'ils seraient étonnés, qu'ils deviendraient confus Mais nous n'auõs contre-eux, et comme leurs caprices, Que notre complaisance, et que nos artifices.
Nous declarons en vain la guerre à ces Demons, Qui ſe moquent de nous, & de tous nos Sermons, De qui deleurnerte ne vouine lenrabattle , Peuuent du moindre effort aiſément nous abbatre.	Nous déclarons en vain la guerre à ces Demons, Qui se moquent de nous, et de tous nos Sermons, De qui déleurnerte ne vouine lenrabattle , Peuvent du moindre effort aisément nous abattre.
EMILIE.	EMILIE.
G’eit vne tyrannie, il faut la ſecoüer, Et tout le ſexe enfin doit nous en auoüer.	G'éit quelque tyrannie, il faut la secouer, Et tout le sexe enfin doit nous en auoüer.
LVCRECE.	LUCRECE.
Ouy, mais pour nos maris à jons de la pradence.	Oui, mais pour nos maris à jons de la présadence.
Il eſt de noſtre gloire, & de la bien-ſeance De ne rien dire d’eux, dont nous puiſſions rougir.	Il est de notre gloire, et de la bienséance De ne rien dire d'eux, dont nous puissions rougir.
AMINTE.	AMINTE.
A ſon gré ſur cela chacune peut agir.	À son gré sur cela chacune peut agir.
Le mien impunement tous nos ſecrets éuenté, Et vous pouuez penſer combien il en inuente.	Le mien impunément tous nos secrets éventé, Et vous pouvez penser combien il en invente.
Mais cela n’eſt qu’vn ieu, ſi nous le comparons An rude traittement de pluſieurs fanfarons, pont a peie vne remme, & bien faite, & bien née, Peut arracher vn ſou dans le cours d’vne année, Et qui prennent plaiſir pour montrer leur pouuoir, De ſe faire prier mille fois pour l’auoir.	Mais cela n'est qu'un jeu, si nous le comparons An rude traitement de plusieurs fanfarons, pont a peie une rème, et bien faite, et bien née, Peut arracher un sou dans le cours d'une année, Et qui prennent plaisir pour montrer leur pouvoir, De se faire prier mille fois pour l'avoir.
EMILIE.	EMILIE.
auois auec le mien la méme peine à viure, Il me plaignoit l’argent pour acheter vn liure;	avais sez le mien la même peine à vivre, Il me plaignait l'argent pour acheter un livre;
Mon occupation luy donnoit de l’ennuy, Et ie n’auois iamais de paix auecque luy.	Mon occupation Seigneur donnait de l'ennui, Et ici n'avais jamais de paix auecque lui.
l auoit quelque eſprit, & c’eſtoit ma triſteſſe, Car ie veux vn mary dont ie ſois la maîtreſſe, Qu’vne veuve eſt heureuſe!	l avait quelque esprit, et c'était ma tristesse, Car tu veux un mari dont M sois la maîtresse, Qu'une veuve est heureuse!
LVCRECE.	LUCRECE.
Ouy, ſans doute, elle l’eſt.	Oui, sans doute, elle l'est.
et de tout noſtre ſexe embraſſant l’intereſt, D ij 2 Il faudroit ordonner en faueur de ces filles, Qui, ſoit pour le peché de leurs pauures familles, Soit pour autre defaut, demeurent à l’écart;	et de tout notre sexe embrassant l'intérêt, D éj 2 Il faudrait ordonner en faveur de ces filles, Qui, soit pour le péché de leurs pauvres familles, Soit pour autre défaut, demeurent à l'écart;
Et ne peuuent treuuer de mary que bien tard, Que l’on les emancipe;	Et ne peuvent trouver de mari que bien tard, Que l'on les emancipe;
& ſi l’on veut, j’appreuue Que chacune à vingt ans ayt le breuet de veuue, Ou eſle foit ſa mastrenſe, & ſuiue ſon humeur, Et ne dépende plus d’vn pere ou d’vn tuteur.	et si l'on veut, j'approuve Que chacune à vingt ans ait le brevet de veue, Ou éle soit sa mastrense, et suive son humeur, Et ne dépende plus d'un père ou d'un tuteur.
EMILIE.	EMILIE.
Mais c’eſt pour cette fois aſſez parlé des hommes, Il faut parler auſſi du deſordre où nous ſommes, Y donner du remede, & que ſelon le ſang Chacune deſormais ſe tienne dans ſon rang.	Mais c'est pour cette fois assez parlé des hommes, Il faut parler aussi du désordre où nous sommes, Y donner du remède, et que selon le sang Chacune désormais se tienne dans son rang.
Nous voyons qu’aujourd’huy la petite bourgeoiſe A marcher comme nous hardiment s’appriuoiſe, Et que ſon ſot mary, fuſt-il tres-indigent, Luy fait porter la moire, & la toile d’argent.	Nous voyons qu'aujourd'hui la petite bourgeoise A marcher comme nous hardiment s'apprivoise, Et que son sot mari, fût-il très-indigent, Lui fait porter la moire, et la toile d'argent.
Il luy faut vn carolte, ainn qu'aui grandes Dames;	Il a faut un carolte, ainn qu' grandes Dames;
Et ſi l’on void d’ailleurs à de certaines femmes Vne queuë traîner de trois aunes de long, Que fera la Marquiſe, & qu’aura-t’elle donc?	Et si l'on voit d'ailleurs à de certaines femmes Une queue traîner de trois aunes de long, Que fera la Marquise, et qu'aura-t-elle donc?
AMINTE.	AMINTE.
A voir comme à l’enui chacune s’accommode, En moins de quatre iours la mode n’eſt plus mode;	À voir comme à l'envi chacune s'accommode, En moins de quatre jours la mode n'est plus mode;
Sans vouloir diſcerner ny le bien, ny le ſang, Tout le ſexe aujourd’huy marche d’vn méme rang.	Sans vouloir discerner ici le bien, ni le sang, Tout le sexe aujourd'hui marche d'H méme rang.
Quelle confuſion, iuſte Ciel!	Quelle confusion, juste Ciel!
quel deſordre!	quel désordre!
EMILIE.	EMILIE.
Les hommes, ie l’auoüe, ont icy bien à mordre.	Les hommes, Seigneur l'auQue, ont ici bien à mordre.
Mais nous ne pouuons pas pour la premiere fois Eplucher chaque choſe, & faire tant de loix;	Mais nous ne pouvons pas pour la première fois Éplucher chaque chose, et faire tant de lois;
Nous prendrons plus de tems pour deméler le reſte, Et nous empeſcherons par vn beau manifeſte, Que les hommes ſur nous ne ſonnent le toxin.	Nous prendrons plus de temps pour demêler le reste, Et nous empêcherons par un beau manifeste, Que les hommes sur nous ne sonnent le toxin.
Seulement aujourd’huy ſur noſtre grand deſſein Ie veux vous faire part d’vne belle remarque.	Seulement aujourd'hui sur notre grand dessein Je veux vous faire part d'une belle remarque.
Liſete, donnez-moy ce tome de Plutarque.	Lisette, donnez-moi ce tome de Plutarque.
Vous me donnez Platon.	Vous me donnez Platon.
Auez-vous l’eſprit ſain?	Avez-vous l'esprit sain?
mien le dos, aueugle.	mien le dos, aveugle.
Il eſt Grec & Latin, Mais ie l’expliqueray, ſyllabe pour ſyllabe.	Il est Grec et Latin, Mais ainsi l'expliquerai, syllabe pour syllabe.
AMINTE.	AMINTE.
Le Grec & le Latin ſont pour nous de l’Arabe.	Le Grec et le Latin sont pour nous de l'Arabe.
EMILIE.	EMILIE.
Suis-ie Sorciere?	Suis-je Sorcière?
LISETE.	LISETE.
EMILIE.	EMILIE.
Non, ce n’eſt pas ton defaut.	Non, ce n'est pas ton défaut.
Encor pis, eſprit lourd, i’auois dit les Morales.	Encor pis, esprit lourd, j'avais dit les Morales.
Vîte, allez les querir.	Vite, allez -les quérir.
Que ces ames brutales Font de peine, & comment, ſans perdre la raiſon.	Que ces âmes brutales Font de peine, et comment, sans perdre la raison.
Pourroit-on long-tems viure auec vn tel oyſon?	Pourrait-on longtemps vivre avec un tel oison?
Enle m'a fait cent fois de pareilles ſaillies, Et n’a ſçû diſtinguer les Morales des Vies.	Enle m'a fait cent fois de pareilles saillies, Et n'a su distinguer les Morales des Vies.
Mais la voicy déja.	Mais la voici déjà.
Quoy n’irez-vous donc pas?	Quoi n'irez-vous donc pas?
Qui vous fait retourner?	Qui vous fait retourner?
MdonL.	MédonL.
Ie reuiens ſur mes pas rur le conmandement de Monſieur voſtre pere, Vous dire qu’vn Marquis vient icy pour vous faire Offre de ſon ſeruice, & pour vous épouſer.	Je reviens sur mes pas rur le conmandement de Monsieur votre père, Vous dire qu'un Marquis vient ici pour vous faire Offre de son service, et pour vous épouser.
Adieu dene, AMINTE.	Adieu dene, AMINTE.
EMILIE.	EMILIE.
1 01 Demeurez, nous l’entendrons iaſer.	1 01 Demeurez, nous l'entendrons jaser.
Ru ielque fat ſans doute.	Ru jelque fat sans doute.
LISETE.	LISETE.
Ouy, ſi ie ne m’abuſe, Il a tout le minois d’vn ſot & d’vne buſe.	Oui, si belle ne m'abuse, Il a tout le minais d'une sot et d'une buse.
EMILIE.	EMILIE.
Ie iuporte, ir eit Mrarquie;	Je juporte, ir eit Mrarquie;
& ie tiens qu’vn butor Pour vne habile femme eſt vn rare threſor.	et petit tiens qu'un butor Pour donner habile femme est un rare thésor.
L lualus Madame, le voicy.	LU lualus Madame, le voici.
SCENE IV.	SCÈNE IV.
LEARQVE, HORTENSE, GVILLOT, EMILIE, AMINTE, LVCRECE, CORNELIE.	LEARQUE, HORTENSE, GUILLOT, EMILIE, AMINTE, LUCE, CORNELIE.
LEARQVE.	LEARQUE.
âché de vous voir veuue, Et qu’enfin ma maiſon ſans heritier le treude, D’Hortenſe noſtre amy i’ay ſuiuy le conſeil;	âché de vous voir veuve, Et qu'enfin ma maison sans héritier le treude, D'Hortense notre ami j'ai suivi le conseil;
Receuez de ma main ce Marquis ſans pareil, Ma fille, il me plaiſt fort.	Recevez de ma main ce Marquis sans pareil, Ma fille, il me plaît fort.
AMINTE.	AMINTE.
1 Quelle figure d’homme!	1 Quelle figure d'homme!
GVILLOT.	GUILOT.
Pages, demeurez la.	Pages, demeurez la.
Si ie n’ay point de pomme Pour donner à Venus, ie luy donne mon cœur, Dont ſon œil égrillard ſe rend d’abord vainqueur.	Si ici n'ai point de pomme Pour donner à Venus, ie lui donne mon cœur, Dont son œil égrillard se rend d'abord vainqueur.
EMILIE.	EMILIE.
Le ioly compliment !	Le joli compliment !
AMINTE.	AMINTE.
Ah l'eſprit ridirdte ?	Ah l'esprit ridirdte ?
EMILIE.	EMILIE.
Embaraſſons-le vn peu.	Embarrassons-le un peu.
Ie ſuis aſſez credule 43 Pour écouter, Monſieur, ce compliment de vous, Sous l’eſpoir de vous voir aujourd’huy mon Epoux.	Je suis assez crédule 43 Pour écouter, Monsieur, ce compliment de vous, Sous l'espoir de vous voir aujourd'hui mon Époux.
GVILLOT.	GUILOT.
Peſte qu’elle a de haſte!	Peste qu'elle a de hâte!
elle fait les auances.	elle fait les avances.
EMILIE.	EMILIE.
1 Puis qu’on m’en a deſia donné les aſſeurances, Ie croy deuoir agir auec vous ſans detour.	1 Puis qu'on m'en a déjà donné les assurances, Je crois devoir agir après vous sans détour.
GVILLOT.	GUILOT.
I’auray tant ioms de peme a tous larle l'amour:	J'aurai tant joms de peme a tous larle l'amour:
Mais ie crains bien d’entrer trop toſt en mariage, ut vous n'en eſtes pas à voſtre apprentiſſage.	Mais ainsi crains bien d'entrer trop tôt en mariage, ut vous n'en êtes pas à votre apprentissage.
LEARQVE.	LEARQUE.
Monſieur, voſtre Marquis parle vn peu librement.	Monsieur, votre Marquis parle un peu librement.
HORTENSE.	HORTENSE.
Peut-on eſtre bien fage aiors qu’on eſt Amant!	Peut-on être bien sage aiors qu'on est Amant!
Deplus, ie vous ay dit qu’il eſt d’humeur gaillarde.	Déplus, je vous ai dit qu'il est d'humeur gaillarde.
GVILLOT.	GUILOT.
De vous remarier ſans doute qu’il vous tarde.	De vous remarier sans doute qu'il vous tarde.
AMINTE.	AMINTE.
Le plaiſant amoureux!	Le plaisant amoureux!
EMILIE.	EMILIE.
p'amour qur traîne trop, Comme il vient lentement, s’en retourhe au galop.	p'amour qur traîne trop, Comme il vient lentement, s'en retourhe au galop.
que vejaeAblenfait,	que véjàeAblenfait,
GVILLOT.	GUILOT.
Elle mort à la grape.	Elle mort à la grape.
EMILIE.	EMILIE.
e crains auec raiſon qu’vn tel mary m’échape.	Je crains avec raison qu'un tel mari m'échappe.
VILLOT.	VILOT.
’eſt bien fait;	’est bien fait;
car de moy mille cœurs ſont épris, vous me deuez prendre auant que ie ſois pris.	car de moi mille cœurs sont épris, vous me devez prendre avant que tu sois pris.
44 Sçachez que des Marquis ie ſuis la quinte eſſence, Et qu’auec l’Vniuers ma race prit naiſſance, Voyez-vous ce bijou, tenez, c’eſt mon cachet, Et vous y pouuez voir mes armes fort au net.	44 Sachez que des Marquis ie suis la quinte essence, Et qu'avec l'Univers ma race prit naissance, Voyez-vous ce bijou, tenez, c'est mon cachet, Et vous y pouvez voir mes armes fort au net.
En lja l e Bon Dieu, que de quartiers!	En lia l ' On Dieu, que de quartiers!
GVILLOT.	GUILOT.
Ce ſont mes alliances.	Ce sont mes alliances.
LEARQVE.	LEARQUE.
Ma fille, quel bon-heur:	Ma fille, quel bonheur:
HORTENSE.	HORTENSE.
Sur toutes les Sciences, I’ay touſiours fait grand cas de celle du Blazon.	Sur toutes les Sciences, J'ai toujours fait grand cas de celle du Blason.
Ces armes du milieu ſont de voſtre malion?	Ces armes du milieu sont de votre malion?
Iuſtement.	Justement.
GVILLOT.	GUILOT.
LEARQVE.	LEARQUE.
Queiece done.	Queieuce done.
dites le nous de grace, On ne les peut bien voir dans ce petit eſpace.	dites le nous de grâce, On ne les peut bien voir dans ce petit espace.
HORTENSE.	HORTENSE.
I’en meurs auſſi d’enuie, & vous en prie encor.	J'en meurs aussi d'envie, et vous en prie encor.
GVILLOT.	GUILOT.
D’accord.	D'accord.
Ie porte donc trois teſtes d’oyſon d’or, Deux en chef, vne en pointe.	Je porte donc trois têtes d'oison d'or, Deux en chef, une en pointe.
HORTENSE.	HORTENSE.
En quel champ?	En quel champ?
GVIL LOT.	GUIL LOT.
Champ de gueule, Detoutes les couleurs ie ſuis pour cette ſeule;	Champ de gueule, Detoutes les couleurs ie suis pour cette seule;
Car i’en ay tué mille, & le ſang d’vn oyſon Eſt égal en rougeur au ſang d’vn furibond.	Car j'en ai tué mille, et le sang d'Han oyson Est égal en rougeur au sang d'un furibond.
Des armes parlent haut, vn chiffre eſt trop vulgaire Mon caroſſe les porte & deu ant, & derriere, Aux flancs, aux arcboutans qui portent l’aileron, Elles ſont à ma porte, en ma ſalle, au perron, Par tout.	Des armes parlent haut, un chiffre est trop vulgaire Mon carrosse les porte et de ant, et derrière, Aux flancs, aux arcoutants qui portent l'aileron, Elles sont à ma porte, en ma salle, au perron, Par tout.
DAIEIE.	DAIEIE.
Et pour cimier?	Et pour cimier?
GVILLOT.	GUILOT.
Des armes importantes Demandent plus qu’vn chien les oreilles pendantes, Ce timbre eſt trop commun.	Des armes importantes Demandent plus qu'Hommes chien les oreilles pendantes, Ce timbre est trop commun.
DORIENJE.	DORIENJE.
Il ne le ſera plus Si l'on veut ajoûter deux cornes au deſſus.	Il ne le sera plus Si l'on veut ajouter deux cornes au dessus.
GVILLOT.	GUILOT.
Pronoſtique aſſeuré du futur cocuage, Des que i’auray l’honneur d’entrer en mariage.	Pronostique assuré du futur cocuage, Des que j'aurai l'honneur d'entrer en mariage.
EMILIE.	EMILIE.
Et l’Ecuſſon enfin qu’a-t’il donc pour ſupport?	Et l'Écusson enfin qu'a-t-il donc pour support?
GVILLOT.	GUILOT.
Deux Singes.	Deux Singes.
Mes ayeux ne s’en piquoyent pas fort;	Mes aïeux ne s'en piquaient pas fort;
Mais ie veux les changer, ils ne me ſçauroient plaire, Et le ne voudrois rien que d’extraordinaire, Les Princes ont tout pris, les Lions, les Dragons, Les Cerfs, les Leopars, les Aigles, les Griffons, le veux tant que ie puis éuiter les coppies.	Mais ie veux les changer, ils ne me sauraient plaire, Et le ne voudrais rien que d'extraordinaire, Les Princes ont tout pris, les Lions, les Dragons, Les Cerfs, les Léopars, les Aigles, les Griffons, le veux tant que je puis éviter les copies.
HORTENSE Ie vous conſeille donc de prendre deux Harpies.	HORTENSE -Je vous conseille donc de prendre deux Harpies.
La deulle, le cry, tout cela doit porter Quelque choſe de grand, & qui puiſſe éclater.	La devlle, le cri, tout cela doit porter Quelque chose de grand, et qui puisse éclater.
Charle-quint à courir auoit ii bonlne haleine, Qu’il prit tres-à propos, plus outre, pour la ſienne.	Charle-quint à courir avait ji bonlaine haleine, Qu'il prit très-à propos, plus outre, pour la sienne.
Son Succeſſeur auoit, à quiconque en voudra.	Son Successeur avait, à quiconque en voudra.
GVILLOT.	GUILOT.
Pour deuiſe i’ay pris, Nul ne s’y frotera.	Pour devise j'ai pris, Nul ne s'y frottera.
Pour cry, Tout au hazard.	Pour cri, Tout au hasard.
LEARQVE.	LEARQUE.
Monfieur, ne vous déplaiſe, Si ie vous ay laiſſé parler tour à voſtre aiſe, G eit ann de pouuon vouo apprenure à mon tour, Que mon eſtoc au voſtre en doit peu de retour.	Monfieur, ne vous déplaise, Si je vous ai laissé parler tour à votre aise, G eit ann de pouvon vouo apprenure à mon tour, Que mon étoc au vôtre en doit peu de retour.
GVILLOT.	GUILOT.
AhTceſſons de parler chacun de noſtre race.	AhTcessons de parler chacun de notre race.
Suffit que des Marquis i’ay le port & l’audace.	Suffit que des Marquis j'ai le port et l'audace.
AMINTE.	AMINTE.
rojuent tu bonne mine il les ſurpaſſe tous.	rojuent tu bonne mine il les surpasse tous.
GVILLOT.	GUILOT.
Tanez-vous, sn vous plaiit, ie ni'en veux pas à vous.	Tanez-vous, sour vous plaiit, Elle n'en veux pas à vous.
EMILIE.	EMILIE.
Elle eſt ma bonne amie.	Elle est ma bonne amie.
GVILLOT.	GUILOT.
Vn peu trop ce me ſemble.	Un peu trop ce me semble.
Et ie vous guigne là quatre teſtes enſemble, Qui me portez bien l’air de n’auoir qu’vn bonnet.	Et petit vous guigne là quatre têtes ensemble, Qui me portez bien l'air de n'avoir qu'un bonnet.
EMILIE.	EMILIE.
Quoy?	Quoi?
vous fâcheriez-vous qu’on vous treuue bien fait ?	vous fâcheriez-vous qu'on vous trouve bien fait ?
Chez qui vous faites-vous ajuſter de la ſorte?	Chez qui vous faites-vous ajuster de la sorte?
GVILLOT.	GUILOT.
aj lans arier bien lom les baigneux à ma porte, Et ne ſuis en nul lieu mieux que chez les Louuars.	ajour lans arier bien lom les baigneux à ma porte, Et ne suis en nul lieu mieux que chez les Louuars.
EMILIE.	EMILIE.
Vous eſtes ſans mentir galand de toutes parts, Et l’on ne peut aſſez loüer voſtre perruque.	Vous êtes sans mentir galant de toutes parts, Et l'on ne peut assez louer votre perruque.
GVILLOT.	GUILOT.
Ce qui m’en plaiſt le plus, elle couure la nuque, Et contre tous les vens luy ſert d’vn bon écran.	Ce qui m'en plaît le plus, elle couvre la nuque, Et contre tous les viens lui sert d'un bon écran.
EMILIE.	EMILIE.
Qui vous coiffe ſi bien?	Qui vous coiffe si bien?
GVILLOT.	GUILOT.
Si bien?	Si bien?
C’eſt Payſan, Et ie me ſers touſiours de ceux qui ſont en vogue, Des fameux en chaque art ie tiens le catalogue.	C'est Paysan, Et ainsi me sers toujours de ceux qui sont en vogue, Des fameux en chaque art quelque tiens le catalogue.
Des Marchands, des Tailleurs, des Baigneux, des Gantiers,  Des Tarfumeurs, Lingers, Chappeliers, Cordonniers, Et de tout l’attirail que demande la mode.	Des Marchands, des Tailleurs, des Baigneux, des Gantiers, Des Tarfumeurs, Lingers, Chappeliers, Cordonniers, Et de tout l'attirail que demande la mode.
AMINTE.	AMINTE.
C’eſt des plus fins galans obſeruer la methode.	C'est des plus fins galants observer la méthode.
GVILLOT.	GUILOT.
Un ne demiande pas fur cela voſtre auis, Madame, qui portez ſouliers à pont-leuis, Pour pareitre plus grande & de plus belle taille.	Un ne demiande pas fur cela était avis, Madame, qui portez souliers à pont-levis, Pour pareitre plus grande et de plus belle taille.
EMILIE.	EMILIE.
La colere vous prend!	La colère vous prend!
GVILLOT.	GUILOT.
Ce n'ent qu'vn reu de paille, Ie me fâche & m’appaiſe ainſi cent fois le iour.	Ce n'ent qu'un revu de paille, Je me fâche et m'apaise ainsi cent fois le jour.
AMINTE.	AMINTE.
Ah le bizarre eſprit:	Ah le bizarre esprit:
GVILLOT.	GUILOT.
Ah la gueule de four!	Ah la gueule de four!
Comme futur Epour, le vous emoins, Madame, De luy fermer la bouche, & luy chanter ſa game, Car elle cauſe trop, & fuyez ce defaut.	Comme futur Épour, le vous emoins, Madame, De Se fermer la bouche, et Seigneur chanter sa game, Car elle cause trop, et fuyez ce défaut.
LVCRECE.	LUCRECE.
Cét homme pour vn ſot parle deſia bien haut.	Cet homme pour un sot parle déjà bien haut.
CORNELIE.	CORNELIE.
Vous pourriez-vous tromper & prendre vn fâcheux Maiſtre.	Vous pourriez-vous tromper et prendre un fâcheux Maître.
EMILIE.	EMILIE.
le le rangerois bien, & ſi bien, que peut-eſtre.	le le rangerais bien, et si bien, que peut-être.
GVILLOT.	GUILOT.
Dittes moy, ſont-ce là vos liures de raiſon, Pour coucher la dépenſe & regler la maiſon?	Dites -moi, sont-ce là vos livres de raison, Pour coucher la dépense et régler la maison?
C’eſt tres-bien fait à vous, i’aime les menageres.	C'est très-bien fait à vous, j'aime les ménagères.
BMTLIE.	BMTLIE.
Pauure ſot, ie te plains, tu ne me connois gueres.	Pauvre sot, Seigneur te plains, tu ne me connais guère.
CVILLOT.	CVILOT.
Que dites-vous mon cœur?	Que dites-vous mon cœur?
EMILIE.	EMILIE.
Ie dis tout bien de vous.	Je dis tout bien de vous.
GVILLOT.	GUILOT.
Auel vouibonne mam voyonss	Auel vouibonne mam voyons
EMILIE.	EMILIE.
O Roy des fous!	Ô Roi des fous!
GVILLOT.	GUILOT.
Vous écriuez bien mal.	Vous écrivez bien mal.
Ce ſont des piés de moûche,	Ce sont des piés de mouche,
C’eſt du Grec.	C'est du Grec.
EMILIE.	EMILIE.
OVILEOT Du- Grec!	OUILEOT Du- Grec!
EMTCIE.	EMTCIE.
Ouy.	Oui.
AMINTE.	AMINTE.
Peut eſtre eſtes vous loûche	Peut être êtes -vous louche
GVILLOT.	GUILOT.
Vous vous trompez, Madame, & ie vois aſſez net, Pour remarquer en vous vn certain air coquet.	Vous vous trompez, Madame, et ie vois assez net, Pour remarquer en vous un certain air coquet.
SCENE 4 LEARQVE, I ORTENSE, EMILIE AMINTE, LVCRECE, CORNELIE, GVILLOT, LISETE.	SCÈNE 4 LEARQUE, I RTENSE, EMILIE AMINTE, LUCRECE, CORNELIE, GUILLOT, LISETE.
LISETE.	LISETE.
H Madame!	H Madame!
1	1
EMILIE.	EMILIE.
Quoy donc?	Quoi donc?
voyez l'eceruelés	voyez l'eceruelés
2 A1o Ie ſuis morte, i’ay vû.	2 A1o -Je suis morte, j'ai vu.
ETE.	ÉTÉ.
EMTEIE.	EMTEIE.
Quoy?	Quoi?
qu’eſt-ce?	qu'est-ce?
Le Baron.	Le Baron.
LISETE.	LISETE.
En cette allée	En cette allée
GVILLOT.	GUILOT.
Quel Baron, & du plus fin aloy Ozeroit affronter vn Marquis comme moy?	Quel Baron, et du plus fin aloi Ozerait affronter un Marquis comme moi?
El vienne.	Él vienne.
EMILIE.	EMILIE.
Acheuez donc.	Achevez donc.
LISETE.	LISETE.
Le Baron de la Roque.	Le Baron de la Roque.
mey EMILIE.	mei EMILIE.
LISETE.	LISETE.
Se promene icy!	Se promène ici!
DMTTIE.	DMTIE.
La folle.	La folle.
GVILLOT.	GUILOT.
Ie m’en moque, Quel qu’il ſoit, i’ay mon ſabre, il en pourra taſter.	Je m'en moque, Quel qu'il soit, j'ai mon sabre, il en pourra tâter.
EMILIE.	EMILIE.
vn papiion volant pourroit l’épouuanter, Cent fois elle m’a fait vn monac d'vn atome, Et le premier objet eſt pour elle vn fantôme.	un papiion volant pourroit l'épouvanter, Cent fois elle m'a fait un monac d'un atome, Et le premier objet est pour elle un fantôme.
LISETE.	LISETE.
41 Quoy que vous en diſiez, ma foy ie voy bien clair, Et ſi c’eſt vn fantôme, il eſt d’os & de chair.	41 Quoi que vous en disiez, ma foi je vois bien clair, Et si c'est un fantôme, il est d'os et de chair.
9 CENE VI.	9 CÈNE VI.
LEARQVE, HORTENSE, LA ROQVE EMILIE, A MINTE, LVCRECE, CORNELIE, GVILLOT, LISETE.	LEARQUE, HORTENSE, LA ROQVE EMILIE, À MINTE, LUCE, CORNELIE, GUILLOT, LISETE.
LA ROQVE, IE eſt tems d’approcher,	LA ROQUE, IE est temps d'approcher,
BAJETE.	BAJETE.
Ah le voicy, Madame!	Ah le voici, Madame!
LEAROUS.	LEAROUS.
Que voy-ie là?	Que vois-je là?
mon gendre!	mon gendre!
Ah Ciel!	Ah Ciel!
EMILIE.	EMILIE.
Ah!	Ah!
ie me paſme!	Il me pâme!
GVIDIOT.	GUIDIOT.
N’eſt-elle point ſuiette à tomber du haut mal?	N'est-elle point suite à tomber du haut mal?
di diubie de Daion ay-ie la pour riual?	 diubie de Daison ai-je la pour rival?
L'A ROQVE.	L'A ROQUE.
domeur, que faiſiez-vous auprés de cette Dame?	domeur, que faisiez-vous auprès de cette Dame?
GVILLOT.	GUILOT.
e qui me ſembloit bon.	 Je me semblait bon.
Page apporte ma lame.	Page apporte ma lame.
LA ROQVE.	LA ROUQE.
tuez-vous l’intereſt que i’ay de le ſçauoir?	tuez-vous l'intérêt que j'ai de le savoir?
GVILLOT.	GUILOT.
e dors bien ſans cela.	 dors bien sans cela.
Allons.	Allons.
LA ROQVE.	LA ROUQE.
Ie vous le feray voir.	Je vous le ferai voir.
D	D
LEARQVE.	LEARQUE.
Tout doux, Meſſieurs.	Tout doux, Messieurs.
GVILLOT.	GUILOT.
Il fait le Diable à quatre;	Il fait le Diable à quatre;
Baron, ie ſuis Marquis, mais non pas pour me battre:	Baron, Seigneur suis Marquis, mais non pas pour me battre:
Et vous croyant d’ailleurs vn fantôme à voſtre air, re ii tehlauferois trop à ne battre que l’air;	Et vous croyant d'ailleurs un fantôme à votre air, re y tehlauferois trop à ne battre que l'air;
A tuer vn eſprit on n’aquiert point de gloire, Ne nous battons dõc point ſi vous m’en voulez croire.	A tuer un esprit on n'aquiert point de gloire, Ne nous battons dont point si vous m'en voulez croire.
LA ROQVE.	LA ROUQE.
Neraiſſons point, vous dis-ſe, & tranchons court & net, I’ay trop de patience.	Néraissons point, vous dis-se, et tranchons court et net, J'ai trop de patience.
GVILLOT.	GUILOT.
Ah!	Ah!
petit Baronnet, A ce que ie puis voir vous eſtes bien colere.	petit Baronnet, À ce que je puis voir vous êtes bien colère.
Mais que vous ay-ie rait qui vous puiſſe déplaire;	Mais que vous ai-je rait qui vous puisse déplaire;
Car ie ne me bas point comme vn deſeſperé, Et ie veux de la cauſe eſtre bien aſſeuré;	Car ie ne me bas point comme un désespéré, Et ici veux de la cause soit bien assuré;
Puis ie vous montreray ſi i’ay bien du courage.	Puis ie qu' montrerai si j'ai bien du courage.
LA ROQVE.	LA ROUQE.
meme comoleneu pas ?	-même comoleneu pas ?
GVILLOT.	GUILOT.
