A	À
Tous vos ſoins n’ont ſerui iamais qu’à me déplaire, Mais en vous hayſſant, voſtre ſœur m’eſtoit chere, Et ce n’eſt en ſaueur que de noſtre amitié, que pour vos paſſions, i’ay ſelnt quelque pitié, Sa priere a cent fois ma hayne retenuë, Vouriomien que voriouis dependurent de ma veuë;	Tous vos soins n'ont servi jamais qu'à me déplaire, Mais en vous haïssant, votre sœur m'était chère, Et ce n'est en saveur que de notre amitié, que pour vos passions, j'ai selnt quelque pitié, Sa prière a cent fois ma haine retenue, Vouriomien que voriouis dépendurent de ma vue;
Et ſuiuant ſes deſirs, ie me faiſois effort, un’de n’ente pascaule de voltte morts	Et suivant ses désirs, je me faisais effort, unede n'ente pascaule de voltte morts
ZEGRY.	ZÉGRY.
Vos yeux n'ont iamais fait de bleſſure mortelle,	Vos yeux n'ont jamais fait de blessure mortelle,
FATIME.	FATIME.
Redoutez que la voſtre encor ne renouuelle, Vn ſeul de mes regards lancé d’vn air plus doux, Peut changer en amour ce violent couroux;	Redoutez que la vôtre encor ne renouvelle, Un seul de mes regards lancé d'un air plus doux, Peut changer en amour ce violent courroux;
Mais d’vn regard pareil, ie ſuis aſſez auare, C’eſt pour voſtre conqueſte vn prix vn peu trop rare Ie borne mes deuis à ne vous voir iamais, Adieu deuenez ſage, & me laiſſez en paix.	Mais d'autre regard pareil, je suis assez avare, C'est pour votre conquête un prix un peu trop rare Je borne mes devis à ne vous voir jamais, Adieu devenez sage, et me laissez en paix.
SCENE V.	SCÈNE V.
rll MIN.	rll MIN.
ZEGRY.	ZÉGRY.
y, ie deuiendray ſage, infidele Fatime;	y, Seigneur deviendrai sage, infidèle Fatime;
Ton mépris eſt iniuſte, & le mien legitime;	Ton mépris est injuste, et le mien légitime;
Puiſque tu ne pretends qu’à teſaire hays, Pour la derniere fois, ie te vais obeyr.	Puisque tu ne prétends qu'à témaire hais, Pour la dernière fois, ie te vais obéir.
Mon cœur ne ſera plus ton indigne trophée, Sesſſens ſont briſez, ſa flame eſt eſtoufée, Alabez cependant marche deſſus ces pas, Suy là iuſques chez elle, & ne te monſtre pas.	Mon cœur ne sera plus ton indigne trophée, Sessens sont brisés, sa flamme est estoufée, Alabez cependant marche dessus ces pas, Sui là jusques chez elle, et ne te montre pas.
ORMIN.	ORMIN.
Son orgeull eſt inluſte, & n’eſt pas ſuportable;	Son orgeull est inluste, et n'est pas supportable;
Et voſtre changement n’eſt que trop equitable.	Et votre changement n'est que trop équitable.
O que vous faites blen d’affranchir voſtre cœur.	Ô que vous faites blen d'affranchir votre cœur.
Du ioug imperleux d'vn ſi eruel vainqueur!	Du joug imperleux d'un si ervel vainqueur!
Le Ciel vous a fait naiſtre auee trop dauantages Pour n’obtenir iamais que d’éternels outrages;	Le Ciel vous a fait naître ave trop davantages Pour n'obtenir jamais que d'éternels outrages;
If eſt d’autres beautez qui feroient leurs plaiſirs De partager vos ſeux, d’imiter vos ſoupirs;	If est d'autres beautés qui feraient leurs plaisirs De partager vos seux, d'imiter vos soupirs;
Et qui vous aprenaroient que I’neur d’vn Diademe:	Et qui vous apprenaraient que J'neur d'un Diademe:
Cede au bien d’eſtre aymé d’vn obiet que l'onay me.	Cède au bien d'être aimé d'un objet que l'on me.
Qui mépriſe en amour doit eſtre mépriſé, Et ne merite pas ce qu’il a refuſé.	Qui méprise en amour doit être méprisé, Et ne mérite pas ce qu'il a refusé.
ZEGRY.	ZÉGRY.
Que mes ennuys ſont grands!	Que mes ennuis sont grands!
que ce mépris eſt rude!	que ce mépris est rude!
Q 'sexe trop volage, & noire Ingratitude!	 ' sexe trop volage, et noire Ingratitude!
Depuis qu’amour ſe plaiſt, à troubles les Amants, Fut.	Depuis qu'amour se plaît, à troubles les Amants, Fut.
il iamals martire égal à mes tourments!	il jamals martyre égal à mes tourments!
De tous les dcpiamis mon cœur le lent aſelndre.	De tous les dcepiamis mon cœur le lent aselndre.
ORMIN.	ORMIN.
Ah, Seigneur, i’en connois qul ſont bien plus à plaindre, MI Vous auriez grand ſuier d’eſtre fort conſolé	Ah, Seigneur, j'en connais qul sont bien plus à plaindre, MI Vous auriez grand suiter d'être fort consolé
ZEGRY.	ZÉGRY.
Ouy, parle & auenis, la douſcor quimaccable, La diſgrace d’autruy conſole vn miſerable.	Oui, parle et avenis, la douscor quimaccable, La disgrâce d'autrui console un misérable.
ORMII Amour fay que ſon cœut ceſſant d'eſtre abuſé S’attendriſſe au recit du mal qu’il m’a cauſé!	ORMII Amour fais que son cœut cessant d'être abusé S'attendrisse au récit du mal qu'il m'a causé!
Vne ieune Beauté de qui par bien-ſȩance, Ie tairay, s’il vous plaiſt, le nom & la naiſſance, Et de qui j’oſeray vous dire ſeulement, Quelle m’eſtoit fort proche &m'aymoir tendremét, Touchoit encore à peine à ſa quinzieſme année, Alors qu’on luy par la d’amour & d’Himenée;	Une jeune Beauté de qui par biensance, Je tairai, s'il vous plaît, le nom et la naissance, Et de qui j'oserai vous dire seulement, Quelle m'était fort proche etm'aimoir tendremet, Touchait encore à peine à sa quinzième année, Alors qu'on lui par la d'amour et d'Hyménée;
Et qu’on luy commanda d’eſperer pour mary Vn homme trop aymable, & qui fut trop chery;	Et qu'on rien commanda d'espérer pour mari Un homme trop aimable, et qui fut trop chéri;
Et qui loin de brûler d'vn ardeur mutuelle, Prit pour vn autre obiet vne amour criminelle sa trop fidele Amante auec douleur l'aprlt, Mais vn mal-heur plus grand enſuitte la ſurprit, L’ingrat rompir l’accord du prochain mariage, Et partit ſans la voir pour faire vn grand voyage, Ie puls vous aſſeurer qu’apres cét accident, sa triſteſſe fut viue, & ſon depit ardenti Mais ſon dépit fut moindre encorę que ſa flame;	Et qui loin de brûler d'Hon ardeur mutuelle, Prit pour un autre objet te amour criminelle sa trop fidèle Amante sans douleur l'apprît, Mais un malheur plus grand ensuite la surprit, L'ingrat rompir l'accord du prochain mariage, Et partit sans la voir pour faire un grand voyage, Je puls vous assurer qu'après cet accident, sa tristesse fut vive, et son dépit ardenti Mais son dépit fut moindre encor que sa flamme;
L’inconſtant la quitta ſans ſortir de ſon ame;	L'inconstant la quitta sans sortir de son âme;
Et mépriſant ſon ſexe, & brauant le trépas Deſſous l'habit d'vn bomme elle ſujuit ſes pas.	Et méprisant son sexe, et bravant le trépas Dessous l'habit d' Homme elle sujuit ses pas.
ZEGRY en reſuant.	ZÉGRY en rêvant.
O rigueur trop barbare, 6 Paſſion funeſte!	Ô rigueur trop barbare, 6 Passion funeste!
ORMIN.	ORMIN.
Vous ſerez plus touché quand vous ſçaurez lereſte;	Vous serez plus touché quand vous saurez lerrête;
Dés qu’elle fut ſur mer par vn mal-heut nouueau D'inſames Eſcumeurs ſutprlrent ſon Vaiſſeau;	Dès qu'elle fut sur mer par un malheut nouveau D'insames Escumeurs sutprlrent son Vaisseau;
Et quelque temps apres elle fuſt acheptée Par l’iugrat qui l’auoit indignement quittée;	Et quelque temps après elle fût achetée Par l'iugrat qui l'avait indignement quittée;
Et c’eſt ainſi qu’enfin par d’eſtranges reuers, Le Sort comme l’Amour la voulut mettre aux fers:	Et c'est ainsi qu'enfin par d'étranges revers, Le Sort comme l'Amour la voulut mettre aux fers:
Mais elle ſans changer d’habit, & de courage, Sceut trouuer des douceurs en ce double eſclauage;	Mais elle sans changer d'habit, et de courage, Sut trouver des douceurs en ce double esclauage;
Et ſans vouloir ſortir de cét eſtat fatal Suiuit cét inconſtant en ſon pays natal, Et ne redoutant pas qu’on la put reconnoiſtre, Seruit ſans nul eſpoir cét inſidele Maiſtre, Eſſaya de luy plaite, & reüſſit ſi bien, Qu’il eſtima ſon zele, & ne luy cacha rien;	Et sans vouloir sortir de cet état fatal Suivit cet inconstant en son pays natal, Et ne redoutant pas qu'on la put reconnaître, Seruit sans nul espoir cet insidele Maître, Essa de même plaite, et réussit si bien, Qu'il estima son zèle, et ne va cacha rien;
Mais que cette amitié la rendoit peu contente.	Mais que cette amitié la rendait peu contente.
delitar es la icans ens eſtoit conficente, Et l’ingrat à ſes yeux proteſtoit chaque iour, Qu’I perdioit la clarte pluſtoſt qué ſon amour.	délitar es la icans ens était conficente, Et l'ingrat à ses yeux protestait chaque jour, Qu'I perdiait la clarté plutôt qué son amour.
ZEGRY en riuenf.	ZEGRY en rivenf.
O pelne ſans égale, ô cruelle iniuſtice!	Ô pelne sans égale, ô cruelle injustice!
ORMIN.	ORMIN.
O Dieux!	Ô Dieux!
il s’attendrit, amour ſois moy propice!	il s'attendrit, amour sois moi propice!
N eit-ene pas, vcigucor plos a piamare que vouss Au priz de ſes tourmens, vos ennuis ſont bien doux, Vous ne répondez point.	 Nit-ene pas, vigucor plos a piamare que vouss Au pris de ses tourments, vos ennuis sont bien doux, Vous ne répondez point.
ZEGRY.	ZÉGRY.
Oüy, oüy, ie le conſeſſe!	Oui, oui, ie le consesse!
Ie la deurois hayr:	Je la devrais haïr:
mals i’ay trop de foibleſſe!	mals j'ai trop de faiblesse!
An, Fatime.	An, Fatime.
ORMIN.	ORMIN.
Ah, malheur!	Ah, malheur!
ZEGRY.	ZÉGRY.
Otmin, quelle a d’appas,	Otin, quelle a d'appas,
ORMIN.	ORMIN.
Deſſus ce que i’ay dit vous ne répondez pas	Dessus ce que j'ai dit vous ne répondez pas
ZEGRY, De quoy m’as-tu parlé?	QUE, De quoi m'as-tu parlé?
OKMIN.	OÙMIN.
n vne dmmes sccdolce.	n une immes scédolce.
ZBGRE.	ZBGRE.
H ne m’en ſouuſent poſnt, caat i’ay Iamme troublée,	H ne m'en souusent posnt, caat j'ai Iamme troublée,
Ml Vous ſembliez cemparir ſi fort i ſon mal-heus?	Ml Vous sembliez cemparir si fort y son malheus?
dlaons Helas!	dlaons Hélas!
ie n’ay ſongé qu’à ma ſeule douleus.	Elle n'ai songé qu'à ma seule douleus.
KMIN.	KMIN.
Quoy, l’Ingrate Farlme aura-elle la plolrs.	Quoi, l'Ingrate Farme aura-elle la plolrs.
En quittant voſtie cœur d’eſtre en Voſtre memoire?	En quittant vostie cœur d'être en Votre mémoire?
Non, s’il vous en ſouuient pour adoucir yos maus, Ne vous ſouuenęz plus que de ſes ſeuls deffaux, Sougez quelle eſt trop ficre, & n’aſt pas aſſez belle, Pour gaider vn Amant ſi noble a ſiſq qes les yeqk,os so teinp u onc me austoir chalmant, que-ſa taills & ſon port n’ont aueun agreemeut?	Non, s'il vous en souvient pour adoucir yos maus, Ne vous souuenęz plus que de ses seuls défauts, Sourgez quelle est trop ficre, et n'ast pas assez belle, Pour gagner un Amant si noble à sisq qes les yeq,os so teinpe u onc me austoir chalmant, que-sa taills et son port n'ont aveun agrémeut?
Que ſon oſprit.	Que son osprit.
2EORY.	2EORY.
Orminſ n'en dis pas dauautage, Ie ne ſçaurois encor endures qu’on l'outrane, it Mnste psaule duni de ma meuna, N'x point d’autres deffaux que ſa ſeule rlæſſeuriEt ie crains bien malgré ce defaut volontaite Que mon amour triomphe ençor de ma colëje:	Ormins n'en dis pas dauautage, Je ne saurais encor endures qu'on l'outrane, it Mannste psaule duni de ma meuna, N'une point d'autres deffaux que sa seule rhæssuriEt d' crains bien malgré ce défaut volontaite Que mon amour triomphe en de ma colueje:
ORMIN.	ORMIN.
Quoy, Fatime eſt ſi fiere, & vous l'eſtes ſi peu, Elle ſera de glace, & vous ſerez de ſeu?	Quoi, Fatime est si fière, et vous l'êtes si peu, Elle sera de glace, et vous serez de seu?
Quoy, vous pourriez l'aymer lors quelle vour deteſte, Ah,ne ielomb &z plys dans cette esreur foneſte.	Quoi, vous pourriez l'aimer lors quelle vour itteste, Ah,ne ielomb etz plis dans cette esreur foneste.
Il n’appartient, Selnneur, qu’à de lâches eſprits De ſupporter.	Il n'appartient, Selneur, qu'à de lâches esprits De supporter.
ſans hainc vn ſemblable mépris, Pour laiſſer qui nous ſuit, il faut peu ſe contraiudre;	sans hain un semblable mépris, Pour laisser qui nous suit, il faut peu se contraiudre;
Bt quãd l’eſpoir s’eſtelnt l’amour ſe doit eſteindre.	Bt quãd l'espoir s'ételnt l'amour se doit éteindre.
ZEGRY.	ZÉGRY.
Ce que tu dis, Ormin, eſt la meſtue equité, Ie dois ſulure Fatime en ſa legertté, Ie dois Ie dols eſtre inſenſible autant qu'elle eſt ſeuere, Ma flame eſt vne erreur, mais cette ecreut m’eſt chete, Tes fideles conſells ne ſont pas de ſaiſon, L’amour n’a pas fait place encore à ma raiſon, Ie ſuis né pour langut.	Ce que tu dis, Ormin, est la métue équité, Je dois sulure Fatime en sa legertté, Je dois Je dols être insensible autant qu'elle est sévère, Ma flamme est une erreur, mais cette reut m'est chète, Tes fidèles consels ne sont pas de saison, L'amour n'a pas fait place encore à ma raison, Je suis né pour langut.
rtepessieutepeeselle, Bien qu’elle ſoit ingratte, elle n’eſt pas moius belle:	rtepessieutepeeselle, Bien qu'elle soit ingrate, elle n'est pas moius belle:
ORMIN à part.	ORMIN à part.
Leipon qur’uchauoit na aute qu'vnmoment!	Lipon qur'uchavait na aute qu'vnmoment!
O miſerable Amante, ô trop iniuſte Amant !	Ô misérable Amante, ô trop injuste Amant !
ZEGRY.	ZÉGRY.
que ne la puis-ie haïr, & que n’eſt.	que ne la puis-je haïr, et que n'est.
il poſſible Que mon cœur amoureux ſe treuue moins ſenſible, ou que n’eſt-il au moins en cette extremité, Senſible à ſa rigueur autant qu’à ſa Beauté:	il possible Que mon cœur amoureux se trouve moins sensible, ou que n'est-il au moins en cette extrémité, Sensible à sa rigueur autant qu'à sa Beauté:
EI M VSO ALMANSOR, ZEGRY, ORMIN,	EI M USO ALMANSOR, ZEGRY, ORMIN,
ALMANSOR.	ÀLMANSOR.
My, ie te rencontre auec bien de la ioye,	Mi, Seigneur te rencontre avec bien de la joie,
Da1 EBORT.	Da1 EBORT.
Ie ſuis touſiours content, pourueu que ie te voye?	Je suis toujours content, pourvu que je te voie?
Tu ſçais que loin de toy, rien ne me ſemble doux, Te voſla donc enſin habſſlé comme nous:	Tu sais que loin de toi, rien ne me semble doux, Te vosla donc ensin hablé comme nous:
Cét habit eſt bien fait.	Cet habit est bien fait.
ALMANSORI Ie l’ay pris tout à l'heure Dedans l’appartement que i’ay dans ta demeure.	ÀLMANSORI Je l'ai pris tout à l'heure Dedans l'appartement que j'ai dans ta demeure.
ZEGRY.	ZÉGRY.
Cét habit de Berger te ſied infiniment:	Cet habit de Berger te sied infiniment:
Mais pour vn Almanſor, c’eſt trop d’abalſſement?	Mais pour un Almands, c'est trop d'abalssement?
C	Ç
ALMANSOR.	ÀLMANSOR.
L'hablt n'obſeurcit rien de l'éclat du merite;	L'hablt n'obseurcit rien de l'éclat du mérite;
Et ie ne puis faillir alors que ie t'imite:	Et ici ne puis faillir alors que tu t'imite:
Toy dont la race eſt noble, & dont le cœur eſt tel Qu’il m’aſauué la vié en vn porſl mortel.	Toi dont la race est noble, et dont le cœur est tel Qu'il m'asauvé la vié en un porsl mortel.
ZRGRY.	ZRGRY.
Les Bergers de cebois & de cette campagne, Deſcendent des Heros qui conquirent l'Eſpagne, De ces Mores fameux de qui les grands exploits De cent peuples Chreſtiens ſirent trerabler les Rois, Et qui voyans Thunis par Charles-Quint conquiſe, Conſetuent dans ces lieux leur gloire, & leur ftanchiſe, Diſpoſent en ſecret les Rois les plus zelez, A chaſſes les Chreſtiens de ces lieux deſolez;	Les Bergers de cebois et de cette campagne, Descendent des Héros qui conquirent l'Espagne, De ces Mores fameux de qui les grands exploits De cent peuples Chrétiens sirent trerabler les Rois, Et qui voyant Thunis par Charles-Quint conquise, Consétuent dans ces lieux leur gloire, et leur fûtanchise, Disposent en secret les Rois les plus zélé, A chasses les Chrétiens de ces lieux désolez;
Et iedennent tous pielts pour loindté & pour accroiſtre Le premier atmement que l’on verra paroiſtre.	Et iedennent tous pielts pour loindé et pour accroître Le premier atmément que l'on verra paraître.
ALMANSOR.	ÀLMANSOR.
402ey quece parcroruot a plus belle Cour:	402ei quece parcroruot a plus belle Cour:
Mais apprens que Gomelle eſt icy deretour, sounre pour vn maant lcgty, que le le quittel Il eſt de mes amis, & ie luy dois vilite,	Mais apprends que Gomelle est ici deretour, sounre pour ma unant légty, que le le quittel Il est de mes amis, et ie luy dois vilite,
ZEGRY.	ZÉGRY.
Tu connois donc Fatime?	Tu connais donc Fatime?
ALMANSOR.	ÀLMANSOR.
Oüy, c’eſt vne Beauté Qui du braue Gomelle a receu la clairté?	Oui, c'est une Beauté Qui du brave Gomèle a reçu la clairté?
Adieu, ie reuiendray te ioindre en diligence, Ie dois l’entretenir pour choſe d’impertance.	Adieu, Seigneur reviendrai te joindre en diligence, Je dois l'entretenir pour chose d'impertance.
SCENE VII.	SCÈNE VII.
LEGRTURMIN.	LEGRTURMIN.
ZEGRY.	ZÉGRY.
Importance!	Importance!
Ce mot redouble mon ſoucy.	Ce mot redouble mon souci.
IPour épouſer Fatime, il eſt ſans doute icy!	IPour épouser Fatime, il est sans doute ici!
O Ciel!	Ô Ciel!
ſe pourroit-il pour comble de triſteſſe, Que mon plus cher amy m’enleuaſt ma Maiſtreſſe?	se pourrait-il pour comble de tristesse, Que mon plus cher ami m'enlevât ma Maistresse?
Helas, s'il eſtoit vray, ie mourrols de douleur!	Hélas, s'il était vrai, tu mourrols de douleur!
Chet Otmin, eſſayons d’empeſcher ce mal-heur!	Chet Otmin, essayons d'empêcher ce malheur!
C’eſt de tes ſeuls aduis que i’attends du remede L’eſprit le plus brillant en lumiere te cede, I'ay veu touſiours en toy, ie ne ſçay quoy de grand, ſTon adreſſe me charme, & ton ſoin me ſurprend.	C'est de tes seuls avis que j'attends du remède L'esprit le plus brillant en lumière te cede, J'ai vu toujours en toi, je ne sais quoi de grand, sTon adresse me charme, et ton soin me surprend.
