AV ROT.	AU ROT.
Mais qui n’eſpete plus fleſchir vne inbumaine, Doit eſteindie l’amour pour eſleindre ſa haine.	Mais qui n'espète plus fléchir une inbumaine, Doit éteindie l'amour pour esleindre sa haine.
Ie le dois, mais mon ſeu s’accroiſt inceſſamment Pour eſteindre l’amour faiſons moutir l’amant.	Je le dois, mais mon seu s'accroît incessamment Pour éteindre l'amour faisons moutir l'amant.
Mon malheur & ma flame à ma raiſon rebelle Penſent eſtre tous deux de nature immottelle:	Mon malheur et ma flamme à ma raison rebelle Pensent être tous deux de nature immottelle:
Mais ſuiuons les conſeils d’vne iuſte douleur;	Mais suivons les conseils d'une juste douleur;
Eſteignons par ma moit l’amour & le malheur.	Éteignons par ma moit l'amour et le malheur.
Ie ſçay que de mes maux mon eſpoir eſt complice Ie veux, perdant l’eſpoir, ſauuer voſtre iuſtice.	Je sais que de mes maux mon espoir est complice Je veux, perdant l'espoir, sauver votre justice.
Ainſi que mon amour mon crime eſt infiny:	Ainsi que mon amour mon crime est infini:
Seul ie ſuis criminel, ſeul ie ſeray puny.	Seul ie suis criminel, seul Seigneur serai puni.
Triomphez de ma peite;	Triomphez de ma péite;
enfin ie m’abandonne, Ie me vay deſpoüiller de ſceptre & de couronne Et de biens & d’eſpoir en me priuant du iour, Pour n’auoit iamais peu me deſpoüiller d’amour.	enfin me m'abandonne, Je me vais dépouiller de sceptre et de couronne Et de biens et d'espoir en me privant du jour, Pour n'avait jamais peu me despoüiller d'amour.
MIRAME.	MIRAME.
Que chacun de nous deux de ſes maux ſe deſlivrs, Vous en ceſſant d’aymer, & moy ceſſant de viutt	Que chacun de nous deux de ses maux se délivrs, Vous en cessant d'aimer, et moi cessant de viut
AZAMOR.	AZAMOR.
Par la mort ſeulement ie ceſſeray d’aymer.	Par la mort seulement belle cesserai d'aimer.
C’eſt le flambeau d’amour cui me doit conſumet.	C'est le flambeau d'amour cuy me doit consumet.
Iuis-ie ceſſer d’aymer, ſi la nature meſme En vous rendant ſi belle ordonne qu’on vous aym Donc mon amour eſt iuſte.	Juis-je cesser d'aimer, si la nature même En vous rendant si belle ordonne qu'on vous aim Donc mon amour est juste.
& ne vous aymer pas Ce ſeroit faite iniure à vos diuins appas.	et ne vous aimer pas Ce serait faite injure à vos divins appas.
Mais ſi ie vous déplais ie mie tiens puniſſable:	Mais si ici vous déplais apprendre mie tiens punissable:
L’amour eſt innocent, & l’amant eſt coupable.	L'amour est innocent, et l'amant est coupable.
S’il vous offenſe ſeul, tout ſeul il doit perit :	S'il vous offense seul, tout seul il doit périt :
Ainſi l’amour doit viure, & l’amant doit mourt.	Ainsi l'amour doit vivre, et l'amant doit mourt.
MIRAME.	MIRAME.
Non, ie veux vous avmer.	Non, Seigneur veux vous aumer.
AZAMOR.	AZAMOR.
Changement admitable,  pour eſtre trop prompé me paroiſt inctoiable:	Changement admitable, pour être trop prompé me paraît inctoyable:
is que l’obeiſſance a peu faite en vn iour.	Y que l'obéissance a pu faite en un jour.
rinceſſe, amour forcé ne fut iamais amour.	rincesse, amour forcé ne fut jamais amour.
amour eſt dans les cœurs libre des ſa naiſſance.	amour est dans les cœurs libre des sa naissance.
auir ſa liberté c’eſt rauir lon eſſence.	avir sa liberté c'est ravir lon essence.
changement ſoudain oblige bien le Roy, veut que vous m’aimiez, mais que fait il pour moy!	changement soudain oblige bien le Roi, veut que vous m'aimiez, mais que fait il pour moi!
amour commandé n’agit que par contrainte.	amour commandé n'agit que par contrainte.
us ne ſçauriez m’aymer.	us ne sauriez m'aimer.
ce diſcours meſt que feinee.	ce discours mest que fée.
MIRAME.	MIRAME.
tince, ie n’auray point d'aune mary que vous.	tince, Seigneur n'aurai point d'aune mari que vous.
AZAMOR.	AZAMOR.
Iinceſſe, puis-ie croice vn langige ſi doux!	Jincesse, puis-je croice un lange si doux!
MIRAME.	MIRAME.
ſera vray pourtant.	sera vrai pourtant.
AZAMOR.	AZAMOR.
Quelle auantute eſlrange dlat qu’en vn ſeul moment ma fortune ſe chãnge?	Quelle avantute eslrange dlat qu'en un seul moment ma fortune se chaînge?
ous me le promettez?	ous me le promettez?
MIRAME.	MIRAME.
Allez le dite au Roy.	Allez le dite au Roi.
ouy.	oui.
ie vous le promeu.	On vous le promeu.
ZAMOR.	ZAMOR.
Trop heureur deſomii.	Trop heureur désomi.
Vais puisie vous quitter au plus foit de ma gloiuer I’obeis, & ie vais luy conter ma victoite.	Vais puisie vous quitter au plus soit de ma gloiver J'obéis, et personne vais toujours conter ma victoite.
SCENE V.	SCÈNE V.
MIRAME.	MIRAME.
ALMIRE.	ÀLMIRE.
ALMIRE.	ÀLMIRE.
VY tiendrez vous parole ?	VI tiendrez -vous parole ?
ah qu’il s'en va conus LEt que vous le tendez beureux en vn inſtant.	ah qu'il s'en va conus LEt que vous le tendez beureux en un instant.
MIRAME.	MIRAME.
Oüy:	Oui:
je te la tiendray:	je te la tiendrai:
c'eſt par là que i'eſpere Satisfaire Arimant, moy, les Dieux.	c'est par là que j'espère Satisfaire Arimant, moi, les Dieux.
& mon pete.	et mon pete.
Mais ſi tu veux qu’Hymen allume ſon flambeau, Tu me viendras chercher dans la nuit du tombeia I’y veux ſuiure.	Mais si tu veux qu'Hymen allume son flambeau, Tu me viendras chercher dans la nuit du tombeia J'y veux suivre.
Atimant.	Atimant.
Almire.	Almire.
& ie fay gloist Aimant ſon ombre encor d’eſpouſer ſa memoist.	et ie fais glait Aimant son ombre encor d'épouser sa memoist.
ALMIRE.	ÀLMIRE.
Donc aucc quel deſſein l'enuoyez-vous au Roy!	Donc aucc quel dessein l'envoyez-vous au Roi!
MIRAME.	MIRAME.
Afin de le uomper en l'éloignant de moy.	Afin de le omper en l'éloignant de moi.
Quand quelqu’vn nous tourmente, eſt-ce pas vne il Que de l’enttetenir d’vne vaine promeſſe?	Quand quelqu'un nous tourmente, est-ce pas une il Que de l'enttetenir d'une vaine promesse?
Ne m’importune plus, en fin ie veux mourir.	Ne m'importune plus, en fin Rom veux mourir.
Si tu m’aimes, Almire, il faut me ſecourir.	Si tu m'aimes, Almire, il faut me secourir.
Il faut mourit, Almire, il faut eſtie fidelle.	Il faut mourit, Almire, il faut étie fidèle.
I’entens, i’entens la bas Arimant qui m’appelle, Qui blaſme ma pareſſe, & d’vne douce voix De la fidelité me repete les loix.	J'entends, j'entends la bas Arimant qui m'appelle, Qui blâme ma paresse, et d'une douce voix De la fidélité me répète les lois.
Au pied de ces iardins voy la mer agitée, D'vn ſaut tu m’y vertois bien toſt precipitée, Si ie nauois horreur qu'vn pertde elemient Me ſeruit à chercher vn ſi ſidele amunt.	Au pied de ces jardins voy la mer agitée, D'un saut tu m'y vertais bien tôt précipitée, Si grande navais horreur qu'un pertde élemient Me servit à chercher un si dele amunt.
ALMIRE.	ÀLMIRE.
Soufiez qu’auec le tomps la raiſon vous ſurmonte.	Soufiez qu'avec le tomps la raison vous surmonte.
MRAME.	MRAME.
M Moutir c’eſt mon honneur, & viure creſt ma bante.	M Moutir c'est mon honneur, et vivre crest ma bante.
Mon amout eſt cognu, ie ne le puis cachet.	Mon amout est connu, Seigneur ne le puis cachet.
Voudrois tu qu’Azemor me le peûs reprocher?	Voudrais -tu qu'Azemor me le péus reprocher?
Que puis-ie dire au Roy qui ſoupçonne ma flame?	Que puis-je dire au Roi qui soupçonne ma flamme?
Non, non, il faut mourir pous étouffer ce blaſme.	Non, non, il faut mourir pous étouffer ce blâme.
Ie ne me puis ſauuer qu’en ne me ſauuant pas;	Je ne me puis sauver qu'en ne me sauvant pas;
Et c’eſt viure pour moy que d’aller au tiépas.	Et c'est vivre pour moi que d'aller au tiépas.
ALMTRE.	ÀLMTRE.
Ouy, ie vous veux ſeruir, mais auee cette enuie De vous ſuiuie en la mort auſſi bien qu’en la vie.	Oui, Seigneur vous veux servir, mais avez cette envie De vous suivie en la mort aussi bien qu'en la vie.
si l’amour eſt vn crime, il faut auſſi punir Celle qui dans voſtre ame a ſçeu l’entretenir.	si l'amour est un crime, il faut aussi punir Celle qui dans votre âme a sçeu l'entretenir.
MIRAME.	MIRAME.
u ne dois point moutir pour la faute dvne auue.	U ne dois point moutir pour la faute dvne auue.
ALMIRE.	ÀLMIRE.
Conſentez à ma mort, je conſens à la voſtre.	Consentez à ma mort, je consens à la vôtre.
MIRAME.	MIRAME.
Noble & fidele Almire.	Noble et fidèle Almire.
hé bien, ie ne dois pas, en t’aymant, r’enuier vn ſi noble trépas, Mais comment mourrons- nous?	hé bien, Seigneur ne dois pas, en t'aimant, renvier un si noble trépas, Mais comment mourrons- nous?
ALMIRE.	ÀLMIRE.
I'ay d’vne herbe Colchique.	J'ai d'une herbe Colchique.
ont l’odeur au cerueau ſon poiſon commuuique.	ont l'odeur au cerveau son poison commuvique.
Vous ſçauez que Colchos eſt feconde en venins.	Vous savez que Colchos est féconde en venins.
Nous mourrons doucenient.	Nous mourrons doucénient.
MIRAME.	MIRAME.
Ie rends grace aux DeſtTout ainſi qu’Arimant eut de la Bythinie Sa maiſtreſſe, & le ſet qui ſa trame a finie:	Je rends grâce aux DestTout ainsi qu'Arimant eut de la Bythinie Sa maîtresse, et le set qui sa trame a finie:
Colchos me donne auſſi dequoy perdre le iour, Apres m’auoir donné l’obiet de mon amour.	Colchos me donne aussi dequoy perdre le jour, Après m'avoir donné l'objet de mon amour.
Almire, pour guerir le mal qui me poſſede, Va querir ce poiſon, ou pluſtoſt ce remede.	Almire, pour guérir le mal qui me possède, Va quérir ce poison, ou plutôt ce remède.
I’entte en ce cabinet, ceſt là que ie t’attens;	J'entte en ce cabinet, cet là que Ne t'attends;
Si u veux mobliget viens y dans peu de temps.	Si œu veux mobliget viens y dans peu de temps.
TE CINQVIESME.	TE CINQUIÈME.
SCENE PREMLERE.	SCÈNE PREMLERE.
LE ROY.	LE ROY.
AZAMOR.	AZAMOR.
LE ROY.	LE ROY.
il douot VE is ſens de plaiſir d'vne telle nouuelle!	il douot VE is sens de plaisir d'une telle nouvelle!
Dõcques à nosdeſies elle n’eſt plus rebelle!	Décques à nosdesies elle n'est plus rebelle!
Elle m’offie vn moyen, vous prenant Pour eſpoux, 6 2 De ſatisſaire aux biens que i’ay reçeus de vous?	Elle m'offie un moyen, vous prenant Pour époux, 6 2 De satissaire aux biens que j'ai reçus de vous?
Tantoſt ie la ſuyois ainſi qu’vne inſenſée.	Tantost Seigneur la suivais ainsi qu'une insensée.
perdoit tout l’éclat de ſa gloire paſſée.	perdait tout l'éclat de sa gloire passée.
trabiſſoit ſon tang.	trabissait son tang.
ſon pays, ſon deuoir, brûle maintenant du deſir de la voit.	son pays, son devoir, brûle maintenant du désir de la voit.
oy?	oi?
vaincre vn ennemy, gaigner vne maiſtreſſe?	vaincre un ennemi, gagner une maîtresse?
puriomphez deux fois.	puriomphez deux fois.
AZAMOR.	AZAMOR.
Cette belle Puinceſle A la fin veut bannir les tourmens de mon tœur:	Cette belle Puinces À la fin veut bannir les tourments de mon tœur:
Et faiſant auiourd’huy d'vn eſclaue vn vainqueur, Accorde à mes deſirs vne noble victoite, Dont l’heur des immortels n'égale pas la gloire.	Et faisant aujourd'hui d'un esclaue un vainqueur, Accorde à mes désirs une noble victoite, Dont l'heur des immortels n'égale pas la gloire.
LE ROY.	LE ROY.
Mais qui s'en vient a nous auecques tant d’ardeur?	Mais qui s'en vient à nous apprendre tant d'ardeur?
luraſſe, que veuxu?	lurasse, que veuxu?
EN	EN
ADRASTE.	ADRASTE.
IRE!	IRE!
vn Ambaſladau Enuoyt de Colchos uient le nef à la née.	un Ambasladau Envoit de Colchos uient le nef à la née.
LE ROY.	LE ROY.
Quoy!	Quoi!
de mon Ennemy?	de mon Ennemi?
pourquoy cette Ambaſad	pourquoi cette Ambasad
D 11 2 ADRASTE.	D 11 2 ADRASTE.
Il tient l'olice en main, demaadint ſeurcé.	Il tient l'olice en main, demadint seurcé.
Pour pouuoit eſtie ouy de voſtre Maieſté.	Pour pouvait étie oui de votre Majesté.
LE ROY.	LE ROY.
Mait le dois-le ecouter apres vn tel outrage!	Mait le dois-le écouter après un tel outrage!
eil vienne toutefois, & ſois encore oſtage.	eil vienne toutefois, et sois encore ôtage.
Ie l’attens en ce lieu.	Je l'attends en ce lieu.
SCENE III.	SCÈNE III.
ALCINE.	ALCYNE.
LE ROY.	LE ROY.
AZAMOR.	AZAMOR.
AZAMOR.	AZAMOR.
2D1U Bous bieuxi que veut Alcine?	2D1U Bous bieuxy que veut Alcine?
eile eſt plaine deſ	éile est plaine des
ALCINE.	ALCYNE.
4b 1Suce.	4b 1Suce.
la douleur m'eſtouffe & me tranſporte.	la douleur m'étouffe et me transporte.
Mirame.	Mirame.
LE ROY.	LE ROY.
Que dis-tu?	Que dis-tu?
ALCINE.	ALCYNE.
Que la Priacefe eſt morte	Que la Priacefe est morte
La Princeſſe?	La Princesse?
AZAMOR.	AZAMOR.
ALCINE.	ALCYNE.
Elle meſme;	Elle même;
elle a finy fon font Pir vn ſubul poiſon qui luy donde la mort.	elle a fini son font Pir un subul poison qui lui donde la mort.
LE ROY.	LE ROY.
Alcine, qu’ay-le fait?	Alcine, qu'ai-le fait?
tu ſçais mon innocence.	tu sais mon innocence.
seroir-ie bien l’autheur de cette violence?	seroir-je bien l'auteur de cette violence?
ALCINE.	ALCYNE.
Ce billet que le vlens de trouuer dans ſa main, Teſmoigné le ſubiet de ſon triſte deſteia.	Ce billet que le vlents de trouver dans sa main, Témoigné le sujet de son triste déjà.
LE ROY.	LE ROY.
Aramot, ie vous tiens parole.	Aramot, Seigneur vous tiens parole.
La Parque me deſtobe à vous :	La Parque me destobe à vous :
Mais ie n’autay point d’autre eſpoux.	Mais quelque n'autai point d'autre époux.
Viuez, que le Ciel vous conſole.	Vivez, que le Ciel vous console.
AZAMOR.	AZAMOR.
Qye le Ciel me conſole?	Qie le Ciel me console?
il n'a pas ce pouuoir.	il n'a pas ce pouvoir.
Qui me peut conſoler ſinon le deſeſpoir?	Qui me peut consoler sinon le désespoir?
Quoy!	Quoi!
ie l’ay fait mourir?	Il l'ai fait mourir?
& ma perfide flame Penſant gaigner ſon cœur ſut l’horreur de ſon ame!	et ma perfide flamme Pensant gagner son cœur sut l'horreur de son âme!
Mais voyons s’il eſt vray.	Mais voyons s'il est vrai.
LE ROY.	LE ROY.
Ie ne la veux point voir.	Je ne la veux point voir.
Puis qu'elle a preferé la mort à ſon deuoir.	Puis qu'elle a préféré la mort à son devoir.
So1s de mon ſouuenir, malheuteuſe Princeſſe, Deshonneur de mon ſang, ennuy de ma vieilleſſe.	Socs de mon souvenir, malheuteuse Princesse, Déshonneur de mon sang, ennui de ma vieillesse.
Si mes pleurs malgté moy ſortent de leut priſon, La natuie les verſe, & non pas la raiſon.	Si mes pleurs malgté moi sortent de lut prison, La nattuie les verse, et non pas la raison.
AZAMOR.	AZAMOR.
Le dois veeſer du ſang ſi vous verſez des larmes.	Le dois veer du sang si vous versez des larmes.
Tournez vous conte moy, mes imprudentes atmet.	Tournez vous compte moi, mes imprudentes atmet.
Qui penſiez la deffendre & la faiſiez perir.	Qui pensiez la défendre et la faisiez périr.
Rẽparez voſlie crime, en me faiſant mourir.	Réparez voslie crime, en me faisant mourir.
Elle a voulu mourir pour éuiter ma flame.	Elle a voulu mourir pour éviter ma flamme.
Ie ſuis l’horreur, le crime, & la mous de Mirame.	Je suis l'horreur, le crime, et la mous de Mirame.
Amour infortuné que ie conceus au cœur, Qui me fis d’vn Riual le malheureux vainqueur, N’eſtois-tu pas content, ſans deuenir ſi traiſtre Que de faire mouiir celle qui t’a fait naiſtre?	Amour infortuné que ici conçus au cœur, Qui me fis d'un Rival le malheureux vainqueur, N'étais-tu pas content, sans devenir si traître Que de faire mouiir celle qui t'a fait naître?
Hé bien, funeſle amour, puiſque tu m’as deceu, Fais donc auſſi mourir celuy qui t’a conceu;	Hé bien, funèle amour, puisque tu m'as déçu, Fais donc aussi mourir celui qui t'a conçu;
Et monſtrant les effects de ta fureur extteſme, En me faifant mourir fais toy mourir toy meſme.	Et montrant les effets de ta fureur exttesme, En me fait mourir fais toi mourir toi même.
LE ROY.	LE ROY.
Calmons à cét aboid nos eſprits & nos voix:	Calmons à cet aboid nos esprits et nos voix:
Grand Prince, faiſons voir que nous ſommes des Rou Voicy l’Ambaſſadeur.	Grand Prince, faisons voir que nous sommes des Rou Voici l'Ambassadeur.
SCE 1 BASSADEVR.	SCE 1 BASSADEUR.
LE ROY.	LE ROY.
AZAMOR.	AZAMOR.
L’AMBASSADEVR.	L'AMBASSADEUR.
1 4 2 IE viem en ceute terre la part de mon Roy, pour deteſter la guerre.	1 4 2 JE viem en cute terre la part de mon Roi, pour détester la guerre.
çuit bien qu’Arimant, grand Roy, ne deuoit pas s ſes commandemens autaquer vos Eſtats.	Çuit bien qu'Arimant, grand Roi, ne devait pas s es commandements autaquer vos États.
puis qu’à ſon regret cetie faute eſt commiſe, ſçauoit le ſuccez d’vne telle entrepriſe, t obienir pardon de ſa temerlié.	puis qu'à son regret cet faute est commise, savait le succès d'une telle entreprise, t ombienir pardon de sa témerlié.
recours de ſa part à voſtre Maueſté.	recours de sa part à votre Mavesté.
ſçait que ſon deſſein eut pour cauſe la flame il conceut en ces lieux des beautez de Mitame.	sçait que son dessein eut pour cause la flamme il conçut en ces lieux des beautés de Mitame.
and Roy.	and Roi.
ſi vous voulez qu’il en ſoit poſſeſleur, on Roy conſent & veut qu’il ſot ſon ſucceſſeur.	si vous voulez qu'il en soit possesleur, on Roi consent et veut qu'il sot son successeur.
uffiez donc qu’il aſpire à cér honneur iuſigue:	usiez donc qu'il aspire à cer honneur jusigue:
vertu le requiert, ſa naiſſance en eſt digne, deſcouuie vn ſectet qu on lgnoroit encor, ſt fila d’vn Monarque, & frcre d’Aramot, 4	vertu le requiert, sa naissance en est digne, descouvie un sectet qu on lgnoroit encor, st fila d'un Monarque, et frère d'Aramot, 4
AZAMOR.	AZAMOR.
y?	y?
frere d’Aramor!	frère d'Aramor!
le n'eus iamais de frert.	le n'eus jamais de frert.
LAMBASSADEVR.	LAMBASSADEUR.
ce donc Azamos 1ò ſortune proſpere!	ce donc Azamos 1 sortune prospère!
etuira luy -meſme à l’eſclairciſſement.	etvira ava -mesme à l'éclaircissement.
vous en apprendray l’hiſtoire eu vn moment.	vous en apprendrai l'histoire en un moment.
ſe u Roy de l'hrygie, en la guetre mottelle e ſit à les Eſtats la Lydie infidelle, aut de toutes parts ſes pays deſolez, Iujaus malheuieux, & ſes palais bruſlez, 82 Auant ce grand combat que noſtre ſiecle admire.	se veu Roi de l'hrygie, en la guetre mottelle e it à les États la Lydie infidèle, aut de toutes parts ses pays désolés, Jujàus malheuieux, et ses palais brûlés, 82 Avant ce grand combat que notre siècle admire.
Où le Prince en moutant reſtablit ſon Empire, Creut que les Lydiens cruels & triomphans.	Où le Prince en moutant rétablit son Empire, Creut que les Lydiens cruels et triomphants.
1 Voudroleut autc le Pera eſtoaffer les enſans.	1 Voudrolut autc le Pera étoffer les ensants.
La valeur d’Azamor dés ce temps eſtimée.	La valeur d'Azamor dès ce temps estimée.
Paroiſſoit à quinze ans tour l’eſpoir de l'armée.	Paraissait à quinze ans tour l'espoir de l'armée.
La Reine mit alors vn ſecond fils au iouc.	La Reine mit alors un second fils au jouc.
Et mourant à l’inſtant troubla toute la Cour.	Et mourant à l'instant troubla toute la Cour.
Le Roy, pour deſtober ſou feuict à la fottune.	Le Roi, pour destober sou feuict à la fottune.
Feint que l’enfant eſt mort, le commet à Neptune;	Feinte que l'enfant est mort, le commet à Neptune;
Il l’enuoye à.	Il l'envoie à.
Colcbos, entre les mains du Roy.	Colcos, entre les mains du Roi.
Son amy.	Son ami.
ſon parent, le confie à ſa foy.	son parent, le confie à sa foi.
Vn papier l’accompagne, ou ſa propre eſcritute Aſſeure auec ſon ſceau toute cette auanture.	Un papier l'accompagne, ou sa propre écritute Assure avec son sceau toute cette aventure.
Voyet, grand Aramos, ſ vout la cogooiſſez.	Vois, grand Aramos, s out la cogogaissez.
12 AZAMOR Leſxirure, le ſseau, le les cognois affar.	12 AZAMOR Lesxirure, le seau, le les connais affar.
L'AMBASSADEVR.	L'AMBASSADEUR.
Auimant eſl ce.	Aviant él ce.
Peince;	Peince;
acceptez-le ſans crainte, Mon Roy pour l’aggcandir n’a pas beſoin de ſeil Puiſque ſans demander vos Eſtats ny vos biens, Comme à l'vn de ſa race il luy donne les ſiens.	acceptez-le sans crainte, Mon Roi pour l'aggandir n'a pas besoin de seil Puisque sans demander vos États ni vos biens, Comme à l'un de sa race il lui donne les siens.
Iet marques dont l’eſcrie porte le teſmoignage Se font voir en ſon coips.	Jet marques dont l'écrie porte le témoignage Se font voir en son coips.
mais plus en ſon cour	mais plus en son cour
MEROY.	MEROY.
T Remede trop tardif, mal qu’on ne peus gueri?	 Remede trop tardif, mal qu'on ne pus guéri?
AZAMOR.	AZAMOR.
Done il eſtoit mon frere, & ie l’ay faid moutis.	Done il était mon frère, et Seigneur l'ai said moutis.
L’AMBASSADEVR.	L'AMBASSADEUR.
Ariman:	Ariman:
eſt-il moit?	est-il moit?
2	2
LE ROY.	LE ROY.
Il eſt mort.	Il est mort.
& Mirame.	et Mirame.
L’AMBASSADEVR.	L'AMBASSADEUR.
rigueur des deſtins!	rigueur des destins!
AZAMOR.	AZAMOR.
Mais trouble de mon ame!	Mais trouble de mon âme!
Ialheureux Azamor de qui l’amour faral ſi peu de moments a causé tant de mal, ineſte à ta maiſtreſſe, & funeſle à ton fiere, auens-tu deſormais pour comble de miſete?	Jalheureux Azamor de qui l'amour faral si peu de moments a causé tant de mal, inte à ta maîtresse, et funêle à ton fière, auenses-tu désormais pour comble de misète?
LE ROY.	LE ROY.
vous laiſſe.	vous laisse.
Azamor, vous m'arrachez des pleurs, ie ſens que mon mal s’aceroiſt par vos douleuts.	Asamor, vous m'arrachez des pleurs, Elle sens que mon mal s'aceraist par vos douleuts.
SCENE V.	SCÈNE V.
AZAMOR.	AZAMOR.
ALCINE.	ALCYNE.
14 AZAMOR.	14 AZAMOR.
2 ELAS!	2 ELAS!
que de malheuts l'ô fortune traiſtreſſe.	que de malheuts l'ô fortune traîtresse.
I Par toy i’ay fait mouris monfrere & ma maiſtreſſe.	I Par toi j'ai fait mouris monffre et ma maîtresse.
ſort, que ton caprice eſt plein de cruauté.	sort, que ton caprice est plein de cruauté.
ourquoy deſcouures-tu ce que tu m’as oſté?	ourquoi découvres-tu ce que tu m'as ôté?
our mon mal ſeulement tu me le viens apprendre.	our mon mal seulement tu me le viens apprendre.
uoy!	uoy!
tu me tends vn frere & ne peux me le rendre, ourquoy, cruels deſtins, iytans trop abſolus.	tu me tends un frère et ne peux me le rendre, ourquoi, cruels destins, iytans trop absolus.
y-ie que ie l’auois, lors que le ne l’ay plus?	y-je que cela l'avais, lors que le ne l'ai plus?
t frete.	t frète.
aymé d’vn Roy, reueié de la terie, Deſirable en l'amour, redoutable en la guetie,	aimé d'un Roi, reueié de la terie, Désirable en l'amour, redoutable en la guetie,
A qui tout eut cedé ſi le Ciel rigoureux Ne m’eut rendu plus fort pour eſtre malheureux Ce ſec n’oſa fraper le frere de ſon Maiſtre.	À qui tout eut cédé si le Ciel rigoureux Ne m'eut rendu plus fort pour être malheureux Ce sec n'osa frapper le frère de son Maître.
Il reſpecta mon ſang, ie ne le pûs cognoiſtre.	Il respecta mon sang, ie ne le pu connaître.
Mais ſi dans le combat il eſpargna le tien, Ie veux que pour ma faute il reſpande le mien.	Mais si dans le combat il épargna le tien, Je veux que pour ma faute il répande le mien.
I'en ay fait mourit deux par ma flame importune.	J'en ai fait mourit deux par ma flamme importune.
Pout deux morts, tout au moins il m’en ſaut donnerr Finy, triſte Azamor, ra vie & tes amours.	Pout deux morts, tout au moins il m'en saut donner Finy, triste Azamor, ra vie et tes amours.
Parque, aranche le fil de mes malheureux iours, Puiſque iu ne m’ourdis que des trames ſi noires.	Parque, aranche le fil de mes malheureux jours, Puisque ju ne m'ourdis que des trames si noires.
Que ie n’acquis lamais que de triftes victoires.	Que ici n'acquis lamais que de tristes victoires.
En l’vne ie perdis qui me donna le jour :	En l'une belle perdis qui me donna le jour :
Mon frere en l’autre, & celle où ie mis mon amou Il ne reſte plus tien a.	Mon frère en l'autre, et celle où apprendre mis mon amou Il ne reste plus tien a.
mon malheur extreme.	mon malheur extrême.
Sinon qu’en me vainquant ie me perde moy-meſt Ab!	Sinon qu'en me vainquant Seigneur me perde moi-mêt Ab!
que le Ciel pout moy faict voir de cruauté.	que le Ciel pout moi fait voir de cruauté.
Reuoyons ce billet que tu m’as apporté.	Revoyons ce billet que tu m'as apporté.
Azaniot, je vous tiens parole.	Asaniot, je vous tiens parole.
La Parque me deſtobe à vous:	La Parque me destobe à vous:
Mais ie n’auray point d’autie eſpoux.	Mais ici n'aurai point d'autie époux.
Viuez, que le Ciel vous conſole.	Vivez, que le Ciel vous console.
Ie -vous ſuiuray, Mirame, & ma conſtante foy Fera voir qu’on ne peut vous deſtober à moy.	Ie -vous suivrai, Mirme, et ma constante foi Fera voir qu'on ne peut vous destober à moi.
Ie vous ſuiuray par tout;	Je vous suivrai par tout;
la mort n’a point d’abyſs Qui vous puiſſent cacher à mes feux legitimes.	la mort n'a point d'abis Qui vous puissent cacher à mes feux légitimes.
Donc elle a piefeté les tenebres au iour, Le cercueil aux grandeurs, & la mort a l’amout?	Donc elle a piefeté les ténèbres au jour, Le cercueil aux grandeurs, et la mort a l'amout?
Et pluſtoſt qu’eſtre humaine à ſon amant fidelle, Elle a voulu pareſtre à ſoy-meſme cruelle?	Et plutôt qu'être humaine à son amant fidèle, Elle a voulu paraître à soi-même cruelle?
Vous me tenez parole, en coutant au treſpas.	Vous me tenez parole, en coûtant au trépas.
Qu'elle m’eut obligé ue me la tenant pas.	Qu'elle m'eut obligé ue me la tenant pas.
Elle viuroit encore, & neut pas fait iniure A l’amour, à ſoy-meſme, aux Dieux, à la nature.	Elle vivrait encore, et neut pas fait injure À l'amour, à soi-même, aux Dieux, à la nature.
Vous dites que iamais vous n’aurez d'autre eſpoux.	Vous dites que jamais vous n'aurez d'autre époux.
Donc il me faut mouſir pour m’aller ioindre à vos Pour eſtre ſou eſpoux, mon ſang ſe doit Ieſpandre.	Donc il me faut mousir pour m'aller joindre à vos Pour être sou poux, mon sang se doit Jespandre.
Sa moit me la rauit.	Sa moit me la ravit.
ma mort me la peut rendre.	ma mort me la peut rendre.
Viuez, vous voyant moite;	Vivez, vous voyant moi;
ab!	ab!
quel commandement Sa main me le commande, & la mort le deſend.	quel commandement Sa main me le commande, et la mort le désend.
dez ;	dé ;
hé le moyen d’en conſeiuer l’enuie?	hé le moyen d'en conseiver l'envie?
ay le le pouuoir ayant perdu ma vie ?	ai le le pouvoir ayant perdu ma vie ?
cours apres ma vie en ſuiuant voſtre ſort;	cours après ma vie en suivant votre sort;
ie vay la cherchet dans le ſein de la mort.	Elle vais la cherchet dans le sein de la mort.
is que me dites vous, que le Ciel vous conſole?	is que me dites -vous, que le Ciel vous console?
el ſoubait?	Que soubait?
quelle douce & cruelle parole?	quelle douce et cruelle parole?
uce, ſi ie deuois m’exempter du treſpas:	uce, si ie deuois m’exempter du trespas:
uelle, ſçachant bien que ie ne le dois pas;	uelle, sçachant bien que ie ne le dois pas;
que les nobles cœurs quand le ſort les outrage 2 yment bien mieux moutir que viute ſans courage.	que les nobles cœurs quand le sort les outrage 2 yment bien mieux moutir que vivte sans courage.
ALCINE.	ALCYNE.
da dom anu.	da dom anu.
ſince.	since.
taſchez pluſtoſt à ſurmontes le fort.	tâchez plutôt à surmontes le fort.
ur voſtre fermeté, non pas par voſtre mort.	ur votre fermeté, non pas par votre mort.
AZAMOR.	AZAMOR.
on non.	on non.
