A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
Et toy qu’as tu reſolu, veux tu preterer la quallte d’amant adele à celle de fils obeïſſant.	Et toi qu’as tu résolu, veux tu preterer la qualte d'amant adèle à celle de fils obéissant.
PYRAME.	PYRAME.
Ces deux qualitez ſont trop glorieuſes pour les ſeparer.	Ces deux qualités sont trop glorieuses pour les séparer.
le mouray ſi vous voulez pour faire paroiſtre mon obeiſſance:	le mourai si vous voulez pour faire paraître mon obéissance:
mas ie mourray fidele, pour temoigner mon amour.	mas ie mourrai fidèle, pour témoigner mon amour.
NARBAL.	NARBAL.
Ie t’empeſcheray bien de luy parler.	Je t'empêcherai bien de Seigneur parler.
PYRAME.	PYRAME.
and vous m’auriez rendu muet:	and vous m’auriez rendu muet:
Ne ſçauez vous pas qu’en amour les ſouſpirs ſont plus eloquens que les paroles.	Ne savez -vous pas qu'en amour les soupirs sont plus éloquents que les paroles.
ORONTHE.	ORONTHÉ.
Lt moy le tempelcheray de le voir.	Lt -moi le tempelcherai de le voir.
THISBE'.	THISBE'.
and vous m’auriez fait arra.	and vous m'auriez fait arra.
cher les yeux, mon imagination le repreſenteroit touſiours à mon ame.	cher les yeux, mon imagination le représenterait toujours à mon âme.
ORONTHE.	ORONTHÉ.
Ie me ſeruiray pour dernier remede de mon authorité abſoluë.	Je me servirai pour dernier remède de mon autorité absolue.
NARBAL.	NARBAL.
Et moy i’auray recours aux Dieux, afin qu’ils ſoulagent mes inquietudes.	Et moi j'aurai recours aux Dieux, afin qu'ils soulagent mes inquiétudes.
ACTE	ACTE
ACTE QVATRIESME.	ACTE QUATRIÈME.
PYRAME, THISBE', ORORTAE, DERSIANE.	PYRAME, THISBE', ORORTAE, DERSIANE.
SCENE I.	SCÈNE I.
PYRAME, ET THISBE'.	PYRAME, ET THISBE'.
PIRAME.	PIRAME.
l quel mal-heur ſuis ie reuit au milieu des plus douces felicitez de ma vie?	l quel malheur suis ici réduit au milieu des plus douces félicités de ma vie?
le ſuis aymé de ma vie?	le suis aimé de ma vie?
Ie ſuis aymé de ma Maiſtreſſe, quel bon-heur, mais ie ſuis hay de mon Roy:	Je suis aimé de ma Maîtresse, quel bonheur, mais tu suis hai de mon Roi:
quelle infortune.	quelle infortune.
L’Amour n’a des appas que pour me charmer, & le Ciel n’a des foudres que pour me punir;	L'Amour n'a des appas que pour me charmer, et le Ciel n'a des foudres que pour me punir;
ô Dieux!	ô Dieux!
quel crime ay-ie cô mis?	quel crime ai-je cô mis?
ll eſt vray, i’ayme Thiſbé malgré mes parens:	ll est vrai, j'aime Thisbé malgré mes parents:
mais en cela ie ſuis la loy que vous auez faicte:	mais en cela ie suis la loi que vous avez faite:
peuton faillir en vous obeïſſant?	peuton faillir en vous obéissant?
Que ſi ie perds le reſpect que ie doibs à mon Prince;	Que si ici perds le respect que je dois à mon Prince;
la faute en eſt à vous qui m’en donnez l’audace.	la faute en est à vous qui m'en donnez l'audace.
Changez mon courage, & ie changeray de deſſein Puis-ie empeſcher mon cœur de ſouſpirer dans les tourmens qu’il endure;	Changez mon courage, et ainsi changerai de dessein Puis-je empêcher mon cœur de soupirer dans les tourments qu'il endure;
guriſſez le, & il ne ſe plaindra plus.	gurissez le, et il ne se plaindra plus.
Ce n’eſt pas que i’aye la temerité de me dire Riual de mon Roy.	Ce n'est pas que j'aie la témérité de me dire Rival de mon Roi.
C’eſt luy qui ſe dit le mien par tyrannie, croyant auoir le meſme pouuoir ſur les ames, qu’il a ſur le corps.	C'est lui qui se dit le mien par tyrannie, croyant avoir le rendre pendant sur les âmes, qu'il a sur le corps.
Ie n’ay iamais deffendu à Thiſbé de l’aymer, parce que les affections ſont libres.	Je n'ai jamais défendu à Thisbé de l'aimer, parce que les affections sont libres.
Mais ſi elle me donné ſon cœur, refuſeray ie vn preſent, qui pourroit enrichir Pluton, & agrandir Iupiter meſme.	Mais si elle me donné son cœur, refuserai ie cy présent, qui pourrait enrichir Pluton, et agrandir Jupiter même.
Et toutesfois à quoy me ſeruent la raiſon & l’innocence contre vn ennemy tout puiſſant.	Et toutefois à quoi me servent la raison et l'innocence contre un ennemi tout puissant.
Il faut ſe reſoudre à la fuitte ſi ma chere Thiſbé le veut.	Il faut se résoudre à la fuite si ma chère Thisbé le veut.
Elle vient a propos pour conſulter ensẽble l’oracle de noſtre fortune.	Elle vient à propos pour consulter ensemble l'oracle de notre fortune.
THIODDI Qu’as tu mon cœur, ie te trouue tout triſte.	THIODDI Qu'as tu mon cœur, ils te trouve tout triste.
PYRAME.	PYRAME.
Ne ſçay tu pas que ie ne ſuis iamais ioyeux qu’aupres de toy.	Ne sais tu pas que ici ne suis jamais joyeux qu'auprès de toi.
4 THISBE'.	4 THISBE'.
Ie le veux croire, mais ton viſage trahit ton ame, decouurant l’ennuy qu’elle veut cacher.	Je le veux croire, mais ton visage trahit ton âme, découvrant l'ennui qu'elle veut cacher.
PYRAME.	PYRAME.
Ie te iure que i’entretenois mon eſprit eſprit ſur le ſujet de la ialouſie c me ponede.	Je te jure que j'entretenais mon esprit esprit sur le sujet de la jalousie ç me ponede.
HISBE'.	HISBE'.
Te laiſſes-tu deſia maiſtriſer ceſte paſſion, dont la tvrannie e inſuportuunmdonjarpeur tu’eſ ialoux?	Te laisses-tu déjà maîtriser cette passion, dont la tuvrannie e insuportuunmdonjarpeur tu'es jaloux?
PYRAME.	PYRAME.
Du Soleil qui te regarde, „ l’Air quit enuirone, de la I'erre qu te porte, & du Zephire meſme qui ſe cache dans tes cheueux.	Du Soleil qui te regarde, „ l'Air quit environe, de la J'erre qu te porte, et du Zéphire femme qui se cache dans tes cheveux.
Ie ſuis ialoux encore de toy-meſme:	Je suis jaloux encore de toi-même:
Car il me ſemble que ma bouche deuroit faire l’office de tes mains, n’eſtant pas dignes de toucher ton beau viſage:	Car il me semble que ma bouche devrait faire l'office de tes mains, n'étant pas dignes de toucher ton beau visage:
tes regards me met.	tes regards me met.
tent en peine, ne pouuant eſtre touſiours leur objet:	tent en peine, ne pouvant être toujours leur objet:
tes ſoupirs muets, tes penſees trop ſecretes, & en fin toutes tes actions me tiennent continuellement en action, ou pour l’enuie, ou pour la crainte.	tes soupirs muets, tes pensées trop secrètes, et en fin toutes tes actions me tiennent continuellement en action, ou pour l'envie, ou pour la crainte.
Perdonne moy chere ame, tous ces tranſports d’amour, puis que tes perfections les ont faict naiſtre.	Perdonne moi chère âme, tous ces transports d'amour, puis que tes perfections les ont fait naître.
THIS BE'.	THIS BÉ.
Tu me demandes pardon d’vn erreur qui merite recompenſe, & pour te le temoigner, ie veux ſoullager tes inquietudes.	Tu me demandes pardon d' erreur qui mérite récompense, et pour te le témoigner, ils veux soullager tes inquiétudes.
Sçaches donc que le Soleil ne me regarde iamais que de cholere, dans le meſpris que ie fais de ſa clarté, puis que tu es le ſeul aſtre qui m’eſclaire.	Saches donc que le Soleil ne me regarde jamais que de colère, dans le mépris que sans fais de sa clarté, puis que tu es le seul astre qui m'éclaire.
Que l’air qui m’enuironne entre bien dans ma bouche, mais non pas dans mon cœur, parce qu’il eſt tout plain d’amour.	Que l'air qui m'environne entre bien dans ma bouche, mais non pas dans mon cœur, parce qu'il est tout plain d'amour.
La vanité que i’ay auſſi de me dire ta Maiſtreſſe, me faict fouler la terre d’vn pied dedaigneux:	La vanité que j'ai aussi de me dire ta Maîtresse, me fait fouler la terre d'vn pied dédaigneux:
Et le ntplin ne ſe cache dans mes cheueux, que de la hote qu’il a de ne pouuoir riẽ pretenure.	Et le n' il a cache dans mes cheveux, que de la hôte qu'il a de ne pouvoir rien prétendure.
tendre.	tendre.
Pour mes regards, ils ſon touſiours vagabons, & errans ho de ta preſence, ne pouuant troi uer d’obiet capable de les arreſte Et ie te diray que mes ſoupirs quoy qu’ils ſoient muets, te pa lent touſiours le langage de m paſſion, & mes penſees n’ont rie de ſecret que le ſecret de mo amour.	Pour mes regards, ils son toujours vagabons, et errants ho de ta présence, ne pouvant trois uer d'objet capable de les arrête Et tu te dirai que mes soupirs quoi qu'ils soient muets, te pa lent toujours le langage de m passion, et mes pensées n'ont rie de secret que le secret de mo amour.
PYRAME.	PYRAME.
Tu m’aymes trop, ie le confeſſe aniais le crains tounours le dange, du naufrage, au milieu du port c ie ſuis.	Tu m'aimes trop, je le confesse aniais le crains tounours le dange, du naufrage, au milieu du port ç ie suis.
AIIOBE.	ÀIIOBE.
Depuis quand as-tu l’eſprit agl té de ceſte crainte.	Depuis quand as-tu l'esprit agl é de cette crainte.
PYRAE.	PYRAE.
Depuis que le Roy a coniuré ma perte.	Depuis que le Roi a conjuré ma perte.
THIS	THIS
THISBE' Helas;	THISBE' Hélas;
ie croyois que les diſcours qu’il m’a tenu ſur ce ſuiet, fuſſent des effects de ſa cholere, pluſtoſt que de ſon deſſein.	Ce croyais que les discours qu'il m'a tenu sur ce sujet, fussent des effets de sa cholère, plutôt que de son dessein.
Quittons ceſte terre, puis qu’elle ne prouuit pour nous que des joucis, & des eſpines.	Quittons cette terre, puis qu'elle ne prouit pour nous que des joucis, et des épines.
YRAME.	YRAME.
Ie le veux, allons gouſter les plaiſirs de la vie, dans l’innocence d’vne condition champaiſtre, & romeuite.	Je le veux, allons goûter les plaisirs de la vie, dans l'innocence d'une condition champaistre, et romévite.
Pa es tout ilion oten, & toute ma fortune.	Pa es tout ilion oten, et toute ma fortune.
Ie ne ſouhaite rien apres toy.	Je ne souhaite rien après toi.
THISBE'.	THISBE'.
Si ie ſuis ton bien, & ta fortune, tu ſeras touſiours riche, & touſiours content:	Si ici suis ton bien, et ta fortune, tu seras toujours riche, et toujours content:
ne changeons donc point la reſolution de noſtre fuite.	ne changeons donc point la résolution de notre fuite.
l’aime mieux t’obeir que commander à tout le monde enſemble.	l'aime mieux t'obéir que commander à tout le monde ensemble.
PYRA	PYRA
PYRAME.	PYRAME.
En quelque lieu que tu ſois, ſeras touſiours ma Reine, & mes deſirs ſeront tes ſubiets, qui rec uront la loy de tes volontez.	En quelque lieu que tu sois, seras toujours ma Reine, et mes désirs seront tes sujets, qui reç ont la loi de tes volontés.
HISBE'.	HISBE'.
Ie ne ſçaurois ſouffrir que tun donnes ce tiltre de Reyne, ſi tu n portes la qualité de Roy.	Je ne saurais souffrir que tun donnes ce titre de Reine, si tu n portes la qualité de Roi.
Appelles moy ta vie, ton cœur, & ton ame.	Appelles moi ta vie, ton cœur, et ton âme.
puis qu’en effect ie ſuis tout cela enſemble.	puis qu'en effet mot suis tout cela ensemble.
YRAME.	YRAME.
Pourquoy veux tu que ie t’appelle ma vie, ſi ie t’ayme mille fois d’auantage.	Pourquoi veux tu que a tt'appelle ma vie, si ici t'aime mille fois d'avantage.
De t’appeller auſſ, mon cœur, & mon ame, ce ſont des noms de mon affection, mais non pas de ton merite, ie veux t’appe ler parfaicte, adorable, ou pluſto Thiſbé, parce que c’eſt le nom d toutes les Merueilles du monde.	De t'appeler aussi, mon cœur, et mon âme, ce sont des noms de mon affection, mais non pas de ton mérite, je veux t'appe ler parfaite, adorable, ou plaîto Thisbé, parce que c'est le nom toutes les Merveilles du monde.
THI	THI
THISBE'.	THISBE'.
Ces loüange me ſont agreables, puis que la gloire t’en eſt acquiſe, comme eſtant toute à toy.	Ces lange me sont agréables, puis que la gloire t'en est acquise, comme étant toute à toi.
Mais ne crains tu pas en me loüant que ie deuierine amoureuie de moy-meſme.	Mais ne crains tu pas en me louant que personne devierine amoureuie de moi-même.
PYRAME.	PYRAME.
Ie n’ay point ceſte crainte, parce que ſi ce bon heur t’arriuoit iamais, mon cœur ſeroit la fontaine de ton naufrage, comme ſeul capable de repreſenter tes beautez:	Je n'ai point cette crainte, parce que si ce bon heur t'arrivait jamais, mon cœur serait la fontaine de ton naufrage, comme seul capable de représenter tes beautés:
& ce tombeau animé ranimeroit les cendrés.	et ce tombeau animé ranimerait les cendrés.
De ſorte que tu ne mourois qu’auec moy, ſelon que les Deſtins en ont ordonné.	De sorte que tu ne mourais qu'avec moi, selon que les Destins en ont ordonné.
THISBE’.	THISBE'.
Suiuons donc les loix de ceſte douce deſtinee, & allons partager & nos biens, & nos maux en vne terre eſtrangere, où l’enuie ne dou faint dequimures H	Suivons donc les lois de cette douce destinée, et allons partager et nos biens, et nos maux en une terre étrangère, où l'envie ne dou saint dequimures H
RIRAME.	RIRAME.
Ie ne vis qu’en l’attante de ce bon-heur, & le plus toſt ſera touſiours trop tart pour mon contentemẽt.	Je ne vis qu'en l'attante de ce bonheur, et le plus tôt sera toujours trop tart pour mon contentement.
Marquons l’heure, & la place, eu nous puiſons laire le defnier complot de noſtre fuitte.	Marquons l'heure, et la place, eu nous puisons laire le dénier complot de notre fuite.
12 41.	12 41.
HISBE'.	HISBE'.
le te diray l’heure, ſi tu me dis le lieu.	le te dirai l'heure, si tu me dis le lieu.
PYRAME.	PYRAME.
Trouuons nous à ce ſoir à la fontaine du murier, qui eſt aupres du tombeau de Ninus, il me ſemble que la ſolitude de ce lieu eſt vn teſmoing de noſtre aſſeurance.	Trouvons nous à ce soir à la fontaine du mûrier, qui est auprès du tombeau de Ninus, il me semble que la solitude de ce lieu est un témoin de notre assurance.
THISBE'.	THISBE'.
Ce ſera donc ſur les dix heures, apres que noz Argus ſeront endormis.	Ce sera donc sur les dix heures, après que noz Argus seront endormis.
PIRAME.	PIRAME.
Donne moy vn baiſer, pour gage de ta parole.	Donne moi un baiser, pour gage de ta parole.
THISBE’.	THISBE'.
Ie le veuxs toutesfois rends moy 8 5.	Je le veuxs toutefois rends moi 8 5.
3 pour punition de ne m’auoir pas creuë.	3 pour punition de ne m'avoir pas crue.
PYRAME.	PYRAME.
Si tu me punis touſiours de la ſorte ie ne te croiray iamais.	Si tu me punis toujours de la sorte ie ne te croirai jamais.
DCEND II.	DCEND II.
ORONTHE, ET BERSIANE.	ORONTHÉ, ET BERSIANE.
ORONTHE.	ORONTHÉ.
Es funeſtes augures d’vn sõge, me troublent ſi fort i’eſprit, que ie n’ay point de repos.	Es funestes augures d'unestes, me troublent si fort j'esprit, que ie n'ai point de repos.
BERSIANE.	BÉRSIANE.
Vous portez la peine de voſtre erreur:	Vous portez la peine de votre erreur:
car nous ne deuons iamais adiouſter foy qu’aux oracles des Dleux	car nous ne devons jamais ajouter foi qu'aux oracles des Dleux
ORONTHE.	ORONTHÉ.
Les Dieux ont des diuers moyens pour nous faire cofnoiſtre leurs volontez.	Les Dieux ont des divers moyens pour nous faire cofnoistre leurs volontés.
BERSIANE.	BÉRSIANE.
Il eſt vray:	Il est vrai:
mais ne ſçauez vous pas que le Dieu du ſommeil n’entre iamais dans le conſeil ſecret des Deſtinees, parce qu’il reue le plus ſouuent, de ſorte que ces preſages ne ſont reçeus que des enfans, ou des fous,	mais ne savez vous pas que le Dieu du sommeil n'entre jamais dans le conseil secret des Destinées, parce qu'il reve le plus souvent, de sorte que ces présages ne sont reçus que des enfants, ou des fous,
ORONTHE.	ORONTHÉ.
La verité te conuainq de la foibleſſe, dont tu me veux accuſer:	La vérité te convainq de la faiblesse, dont tu me veux accuser:
car on voit d’ordinaire que les ſonges ſont les meſſagers, qui nous portent les triſtes nouuelles de larriuee de nos mal-heurs.	car on voit d'ordinaire que les songes sont les messagers, qui nous portent les tristes nouvelles de larrivée de nos malheurs.
BER	BER
BERSIANE.	BÉRSIANE.
Les Malheurs ne nous arriuent pas pour les auoir ſongez, car nos crimes les attirent ſur nos teſtes, pluſtoſt que les ſonges:	Les Malheurs ne nous arrivent pas pour les avoir songés, car nos crimes les attirent sur nos têtes, plutôt que les songes:
qui s’ils artiuent pourtant ſelon l’aueugle preuoyance que nous en auons euë en dormant, il en faut âttribuër la raiſon à l’Haſard, & non à la Neceſſite.	qui s'ils artivent pourtant selon l'aveugle prévoyance que nous en avons eue en dormant, il en faut âttribuër la raison à l'Hasard, et non à la Necessite.
Mais faictes moy le recie de voſtre ſonge.	Mais faites -moi le récie de votre songe.
ORONTfE.	ORONTE.
Il me ſembloit que ie voyois vn Lion rogiſsãt de cholere qui pourſuiuoit Thiſbé pour en faire ſa proye, & que ma fille ayant perdu le courage, & la force par ſa longue fuite, fut contrainte de ſe ietter dans vn fleuue de ſang qu’elle trouua en ſon chemin.	Il me semblait que je voyais un Lion rogissant de colère qui poursuivait Thisbé pour en faire sa proie, et que ma fille ayant perdu le courage, et la force par sa longue fuite, fut contrainte de se jeter dans un fleuve de sang qu'elle trouva en son chemin.
Il me ſembloit auſſi que Pyrame, paroiſſant tout à coup ſur le riuage, & voyant Thiſbé en danger, ſe ietta dans c fleuue pour la ſauuer;	Il me semblait aussi que Pyrame, paraissant tout à coup sur le rivage, et voyant Thisbé en danger, se jeta dans ç fleuve pour la sauver;
Mais que mal-heur:	Mais que malheur:
tous deux furent engloutis ſoubs les ondes, dont la couleur funeſte, me preſage ſans doute quelque infortune.	tous deux furent engloutis sous les ondes, dont la couleur funeste, me présage sans doute quelque infortune.
BERSIANE.	BÉRSIANE.
Ie vous eſtime heureuſe de neſtre mal-heureuſe qu’en dormant Laiſſez guerir voſtre eſprit par la raiſon, puis que voſtre mal eſt vo lontaire.	Je vous estime heureuse de nêtre malheureuse qu'en dormant Laissez guérir votre esprit par la raison, puis que votre mal est vo lontaire.
ORONTHE.	ORONTHÉ.
miu douleur ole pluororte que la raiſon, ie ne ſçaurois me deffendre contre l’ennuy qui me poſſede.	mi douleur ole pluororte que la raison, quelque ne saurais me défendre contre l'ennui qui me possède.
BERSI'ANE.	BÉRSI'ANE.
Pourquoy voulez vous que la crainte d’vn mal qui n’arriuera iamais ſerue d’aliment à voſtre triſteſſe:	Pourquoi voulez -vous que la crainte d'un mal qui n'arrivera jamais serve d'aliment à votre tristesse:
quand ie ſerois du tout cõplaisãte à voſtre humeur, & que ie ie mettrois ceſte infortune que vous apprehẽdez tant, au rang des choſes incertaines:	quand ici serais du tout cõplaisãte à votre humeur, et que je ie mettrais cette infortune que vous appréhendez tant, au rang des choses incertaines:
Ne deuez vous pas moderer voſtre affliction, puis que vous poſſedez encore le bien, dont vous pleurez la perte.	Ne devez vous pas modérer votre affliction, puis que vous possédez encore le bien, dont vous pleurez la perte.
ORONTHE.	ORONTHÉ.
La Nature me donne des reſſentimens que tu n’as pas, ie me plains comme Mere, & tu me conſoles comme amie, ie ne m’eſtonne point ſi nos opinions ſont differentes.	La Nature me donne des ressentiments que tu n'as pas, Elle me plains comme Mère, et tu me consoles comme amie, une ne m'étonne point si nos opinions sont différentes.
Facent les Dieux pourtant que tu ſoit ma Caſſandre.	Facent les Dieux pourtant que tu soit ma Cassandre.
BERSIANE.	BÉRSIANE.
Caſſandre né prediſoit que des malheurs, & ie vous annonce des felicitez, dont l’aſſeurance depend de vous, puis qu’il ne tient qu’à vous de le croire veritables.	Cassandre né prédisait que des malheurs, et Elle vous annonce des félicités, dont l'assurance dépend de vous, puis qu'il ne tient qu'à vous de le croire véritables.
ORONTHE.	ORONTHÉ.
Ie ne ſuis plus libre en ma * 4 croyance, touchant l’apprehenſion que i’ay, auant que ie perde la	Je ne suis plus libre en ma * 4 croyance, touchant l'appréhension que j'ai, avant que venir perde la
BERSIANE.	BÉRSIANE.
Mais quel pretexte donnez vous à ceſte crainte:	Mais quel prétexte donnez -vous à cette crainte:
car de l’authoriſer d’vn ſonge, c’eſt faire paroiſtre que vous auez encore reiprit endormy.	car de l'autoriser d'un songe, c'est faire paraître que vous avez encore rejet endormi.
ORONTHE.	ORONTHÉ.
I’ay bien le pouuoir d'eſcouter tes raiſons, mais non pas de les ſuiure.	J'ai bien le pouvoir d'écouter tes raisons, mais non pas de les suivre.
BERSIANE.	BÉRSIANE.
La voionte vous denaut en cela, pluſtoſt que la puiſſance, vn mal cognu eſt à demy guery.	La voionte vous denaut en cela, plutôt que la puissance, un mal connu est à demi guéri.
RONTHE.	RONTHÉ.
Ie n’attends ma gueriſon que des Dieux, puis qu’i in ont faict le mal, ils m’en donneront le remede.	Je n'attends ma guérison que des Dieux, puis qu'y in ont fait le mal, ils m'en donneront le remède.
SCE	SCE
SCENE III.	SCÈNE III.
THISBE' SEVLE.	THISBE' SEULE.
AY enfin rompu les fers de 242 ma captiuité.	AY enfin rompu les fers de 242 ma captivité.
i’en ay brisé les chaiſnes, ie ne ſuis plus eſclaue que ſous l’Empire de l’Amour, dont la ſeruitude m’eſt ſi agreable, que ie ne ſouhaite rien, que de mourir auec elle.	j'en ai brisé les chaînes, je ne suis plus esclave que sous l'Empire de l'Amour, dont la servitude m'est si agréable, que tu ne souhaite rien, que de mourir ainsi elle.
En effect que pourroy-ie ſouhaiter d’auantage?	En effet que pourrai-je souhaiter d'avantage?
La Fortune eſt trop pauure pour m’enrichir:	La Fortune est trop pauvre pour m'enrichir:
Car en poſſedant Pyrame, ie poſſede toute la gloire du monde, & ceſte aueugle Deeſſe ne diſpoſe que d’vne partie.	Car en possédant Pyrme, on possède toute la gloire du monde, et cette aveugle Déesse ne dispose que d'une partie.
Quel nom donneray-ie à ma ioye:	Quel nom donnerai-je à ma joie:
Comment appelleray-ie mes plaiſirs, ſi leur excez m’impoſe deſia ſillence.	Comment appellerai-je mes plaisirs, si leur excès m'impose déjà sillence.
Iu vis & ie meurs egallement d’amour, & toutefois ie ne ſçaurois dire quelle des deux, ou de ceſte vié, ou de ceſte mort, eſt la plus delicieuſe?	Ju vis et beau meurs également d'amour, et toutefois tu ne saurais dire quelle des deux, ou de cette vié, ou de cette mort, est la plus délicieuse?
& de mon ignorance encore, pro cẽde vn nouueau contentement, puis que pour eſtre trop heureuſe, ie n’ay pas le pouüoir de cognoitre la grandeur de mes felicitez:	et de mon ignorance encore, pro de un nouveau contentement, puis que pour être trop heureuse, notre n'ai pas le pouvoir de connaître la grandeur de mes félicités:
O Dieux de combiẽ de faueurs vous ſuis-ie redeuable, ſi ie meſure les biens que ie reçoy, auec les maux que i’ay ſoufferts.	Ô Dieux de combienée faveurs vous suis-je redevable, si ie mesure les biens que ici reçois, avec les maux que j'ai soufferts.
Vn ſeul de ces momens qui s’ecoulent en mon attente, a plus d’appas, que toute ma vie paſſee n’a eu de douleurs.	Un seul de ces moments qui s'écoulent en mon attente, a plus d'appas, que toute ma vie passe n'a eu de douleurs.
Ne puis-ie pas dire que les larmes que i’ay reſpanduës, ont produit les fleurs qui naiſſent ſoubs mes pieds.	Ne puis-je pas dire que les larmes que j'ai répandues, ont produit les fleurs qui naissent sous mes pieds.
Et que toutes les inquietudes dont mon ame a eſté agitee, eſtoient neceſſaires pour la perfection de mon repos.	Et que toutes les inquiétudes dont mon âme a été agitée, étaient nécessaires pour la perfection de mon repos.
Heureux dont ont eſté mes mal heurs, & criminelles mes plaintes, ne pouuant ſubir les douces loix de mon deſtin.	Heureux dont ont été mes mal heurs, et criminelles mes plaintes, ne pouuant subir les douces lois de mon destin.
Tous mes vœux ſont maintenãt accom.	Tous mes vœux sont maintenant accomm.
plis.	plis.
Toutesfois ie ſouhaite encore que Pyrame vienne bientoſt.	Toutefois Seigneur souhaite encore que Pyrame vienne bientôt.
Ie ne le dis qu’à vous ô Rochers:	Je ne le dis qu'à vous ô Rochers:
car ceſte fontaine ne m’aura pas ouy, à cauſe du bruit de ſon murmure.	car cette fontaine ne m'aura pas oui, à cause du bruit de son murmure.
Ie ne me mesfie point de toy, belle Lune, ſçachant que tu as aymé autresfois, & que tu aymes encore.	Je ne me méfie point de toi, belle Lune, sachant que tu as aymé autrefois, et que tu aimes encore.
Ton amour te peut faire cognoiſtre ma paſſiõ, & ceſte cognoiſſance t’oblige de pardonner en moy, l’erreur dont tu me ſers d’exemple.	Ton amour te peut faire connaître ma passions, et cette connaissance t'oblige de pardonner en moi, l'erreur dont tu me sers d'exemple.
Ie me ſens forcee de croire que tes flambeaux ont eſté allumez ceſte nuit au flãbeau d’amour, parce que leur eſclat eſt ſi beau, & ſi aymable, que mon ame ne ſe laſſe iamais de les admirer pat mes yeux Luiſez donc beaux aſtres & de tous vos rayons d’argent, faictes naiſtre à la honte du Soleil, vn iour, plus beau que le iour meſme.	Je me sens force de croire que tes flambeaux ont été allumés cette nuit au flammé d'amour, parce que leur éclat est si beau, et si aimable, que mon âme ne se lasse jamais de les admirer pat mes yeux Luisez donc beaux astres et de tous vos rayons d'argent, faites naître à la honte du Soleil, un jour, plus beau que le iour même.
Que vois-ie reluire au trauers de ces arbres;	Que vois-je reluire au travers de ces arbres;
ò Dieux qu’elle furieuſe beſte.	ò Dieux qu’elle furieuse beste.
Il me faut ſauuer à la fuite;	Il me faut sauver à la fuite;
mais ie crains en fuyant la mort, de courre apres elle, puis qu’en laiſſant Pyrame dans le danger, i’y laiſſe ma vie.	mais ainsi crains en fuyant la mort, de courre après elle, puis qu'en laissant Pyrame dans le danger, j'y laisse ma vie.
ACTE CINQ VIESA PEEIAAAMYERETDE.	ACTE CINQ VIESA PEIAAMYERETDE.
SCENE I.	SCÈNE I.
PYRAME.	PYRAME.
OICY le Iardin de mes deMMo lices, dont la ſolitude eſt ſi belle, que tout y faict l’amour.	ÔICY le Jardin de mes déMo lices, dont la solitude est si belle, que tout y fait l'amour.
Les Ombres y appellẽt les Corps, auec le muet langage de leur appas:	Les Ombres y appellent les Corps, avec le muet langage de leur appas:
Le Zephir y careſſe Flore:	Le Zéphir y caresse Flore:
Les Ruiſſeaux y caiolent les Fontaines:	Les Ruisseaux y caiolent les Fontaines:
Les Fleuio uy cunont:	Les Flèvio ui cunont:
Les Arbres s’y embraſſent, & la Lune auſſi bien que le Soleil, y eſt touſiours aux ove 2 aguets, pour deſcouurir les intrigues des Amans.	Les Arbres s'y embrassent, et la Lune aussi bien que le Soleil, y est toujours aux ove 2 aguets, pour découvrir les intrigues des Amants.
Ie m’imagine que c’eſt en ce beau lieu où l’Auriore venoit viſiter ſon Cephale;	Je m'imagine que c'est en ce beau lieu où l'Oriore venait visiter son Céphale;
où Venus careſſoit ſon Adonis, & où Diane attendoit Hypolite.	où Venus caressait son Adonis, et et Diane attendait Hypolite.
le veux croire auſſi que ceſte fontaine eſt celle-là meſme qui rendit Narcice amoureux, puis que l’Echo ſouſpire encore d’amour au tour d’elle.	le veux croire aussi que cette fontaine est celle-là même qui rendit Narcice amoureux, puis que l'Écho soupire encore d'amour au tour d'elle.
I’ay ceſte penſee que la Nature a fait de ſes mains delicates ce tapis verd, dont l’humide fraicheur à ceſte vertu ſecrete de moderer l’ardeur des flammes qui bruſlent les Amans:	J'ai cette pensée que la Nature a fait de ses mains délicates ce tapis verd, dont l'humide fraîcheur à cette vertu secrète de modérer l'ardeur des flammes qui brûlent les Amants:
Et qu’en fin l’air qu’on reſpire en ceſt amoureux deſert n’eſt autre choſe que les ſoupirs amoureux de Zephire.	Et qu'en fin l'air qu'on respire en cette amoureux désert n'est autre chose que les soupirs amoureux de Zéphire.
Ie me ſens tout treſporté de ioye, & de plaiſir, & la veuë, & au reſſentiment, de ces Merueilles.	Je me sens tout tresporté de joie, et de plaisir, et la vue, et au ressentiment, de ces Merveilles.
Et quoy que ie meure d’impatience de voir mon Soleil, au milieu de la nuict qui m’eſclaire:	Et quoi que je meure d'impatience de voir mon Soleil, au milieu de la nuit qui m'éclaire:
Ceſte mort a des douceurs, que la vie n’a pas:	Cette mort a des douceurs, que la vie n'a pas:
Car i’attends vn bien que ie poſſede, & que ie puis dire tenir des ja entre mes bras;	Car j'attends un bien que sans possède, et que je puis dire tenir des ja entre mes bras;
Que ſi mes ſens en ſont priuez, ils portent la peine de leur foibleſſe.	Que si mes sens en sont privés, ils portent la peine de leur faiblesse.
O nuict toute d’amour!	Ô nuit toute d'amour!
