ROBERT 1986	ROBERT 1986
Sois plus femme que ſœur, & te reglant ſur moy Fay toy de mon exemple vne immuable loy.	Sois plus femme que sœur, et te réglant sur moi Fais toi de mon exemple une immuable loi.
SABINE.	SABINE.
Cherche pour t’imiter des ames plus parfaites, Ie ne t’impute point les pertes que i’ay faites, I’en ay les ſentimens que ie dois en auoir.	Cherche pour t'imiter des âmes plus parfaites, Je ne t'impute point les pertes que j'ai faites, J'en ai les sentiments que personne dois en avoir.
Et ie m’en prẽds au ſort pluſtoſt qu’à ton deuoir.	Et deux m'en prends au sort plutôt qu'à ton devoir.
Mais auſſi ie renonce à la vertu Romaine Si pour la poſſeder ie dois eſtre inhumaine, Et ne puis voir en moy la femme du vainqueur Sans y voir des vaincus la déplorable ſœur.	Mais aussi ici renonce à la vertu Romaine Si pour la posséder tu dois avoir inhumaine, Et ne puis voir en moi la femme du vainqueur Sans y voir des vaincus la déplorable sœur.
Prenons part en public aux victoires publiques, Pleurons dans la maiſon nos malheurs domeſtiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne ſont que pour nous.	Prenons part en public aux victoires publiques, Pleurons dans la maison nos malheurs domestiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne sont que pour nous.
Pourquoy veux-tu, cruel, agir d’vne autre ſorte?	Pourquoi veux-tu, cruel, agir d'une autre sorte?
Laiſſe en entrant icy tes lauriers à la porte, Meſle tes pleurs aux miens.	Laisse en entrant ici tes lauriers à la porte, Mêle tes pleurs aux miens.
Quoy, ces laſches diſcours N'arment point ta vertu contre mes triſtes iours!	Quoi, ces lâches discours N'arment point ta vertu contre mes tristes jours!
Mon crime redouble n’eſmeut point ta colere!	Mon crime redouble n'émut point ta colère!
Que Camille eſt heureuſe!	Que Camille est heureuse!
elle a pû te déplaire, Elle a receu de toy ce qu’elle a pretendu, Et recouure là bas tout ce qu’elle a perdu.	elle a pu te déplaire, Elle a reçu de toi ce qu'elle a prétendu, Et recouvre là bas tout ce qu'elle a perdu.
Cher eſpoux, cher auteur du tourment qui me preſſe, Eſcoute la pitié ſi ta colere ceſſe, Exerce l’vne ou l’autre apres de tels malheurs A punir ma foibleſſe, ou finir mes douleurs, Ie demande la mort pour grace ou pour ſupplice, Qu’elle ſoit vn effet d’amour ou de iuſtice, N’importe, tous ſes traits me ſemblerõt fort doux Si ie les voy partir de la main d’vn eſpoux.	Cher époux, cher auteur du tourment qui me presse, Escoute la pitié si ta colère cesse, Exerce l'une ou l'autre après de tels malheurs A punir ma faiblesse, ou finir mes douleurs, Je demande la mort pour grâce ou pour supplice, Qu'elle soit un effet d'amour ou de justice, N'importe, tous ses traits me sembler Monsieur Me ie les vois partir de la main d'un époux.
HORACE.	HORACE.
Quelle iniuſtice aux Dieux d’abandonner aux femmes Vn empire ſi grand ſur les plus belles ames, Et de ſe plaire à voir de ſi foibles vainqueurs Regner ſi puiſſamment ſur les plus nobles cœurs!	Quelle injustice aux Dieux d'abandonner aux femmes Un empire si grand sur les plus belles âmes, Et de se plaire à voir de si faibles vainqueurs Règner si puissamment sur les plus nobles cœurs!
A quel point ma vertu deuient-elle reduite?	À quel point ma vertu devient-elle réduite?
reren ne la lçauton prus garantir que la fuite, Adieu, ne me ſuy point, ou retiens tes ſouſpirs.	reren ne la lçauton prus garantir que la fuite, Adieu, ne me suis point, ou retiens tes soupirs.
ABINE ſeule.	ÀBINE seule.
O colere, ô pitié, ſourdes à mes deſirs!	Ô colère, ô pitié, sourdes à mes désirs!
Vous negligez mon crime, & ma douleur vous laſſe, Et ie n’obtiens de vous ny ſuppnee, ny grace.	Vous négligez mon crime, et ma douleur vous lasse, Et tu n'obtiens de vous ni suppnee, ni grâce.
Allons-y par nos pleurs faire encor vn effort, Et n’employons apres que nous à noſtre mort.	Allons-y par nos pleurs faire encor un effort, Et n'employons après que nous à notre mort.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
AE P L	ÀE P L
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, HORACE.	Le vieil HORACE, HORACE.
Le vieil HORACE.	Le vieil HORACE.
Etirons nos regards de cét objet faneſte Pour admirer icy le iugement celeſte, Quand la gloire nous enfle il ſçait bien comme il faut Confondre noſtre orgueil qui s’eſleue trop haut, Nos plaiſirs les plus doux ne vont point ſans triſteſſe, Il meſle à nos vertus des marques de foibleſſe, Et rarement accorde à noſtre ambition L’entier & pur honneur d’vne bonne action.	Etirons nos regards de cet objet faneste Pour admirer ici le jugement celeste, Quand la gloire nous enfle il sait bien comme il faut Confondre notre orgueil qui s'esleue trop haut, Nos plaisirs les plus doux ne vont point sans tristesse, Il mêle à nos vertus des marques de faiblesse, Et rarement accorde à notre ambition L'entier et pur honneur d'une bonne action.
Ie ne plains point Camille, elle eſtoit criminelle, Ie me tiens plus à plaindre, & ie te plains plas qu’elle, Moy, d’auoir mis au iour vn cœur ſi peu Romain, Toy, d’auoir par ſa mort deshonoré ta mainIe ne la trouue point injuſte ny trop prompte, Mais tu pouuois, mon fils, t’en eſpargner la honte, Son crime, quoy qu’enorme & digne du treſpas, Eſtoit mieux impuny que puny par ton bras.	Je ne plains point Camille, elle était criminelle, Je me tiens plus à plaindre, et votre te plains plas qu'elle, Moi, d'avoir mis au jour un cœur si peu Romain, Toi, d'avoir par sa mort deshonoré ta mainIe ne la trouve point injuste ) trop prompte, Mais tu pouvais, mon fils, t'en épargner la honte, Son crime, quoi qu'énorme et digne du trépas, Estait mieux impuni que puni par ton bras.
HORACE.	HORACE.
Diſpoſez de mõ ſort, les loix vous en font maiſtre;	Disposez de momme sort, les lois vous en font maître;
I’ay creu deuoir ce coup aux lieux qui m’ont veu naiſtre, Si mon zele au pays vous ſemble criminel, S’il ni’en faut receuoir vn reproche eternel, Si ma main en deuient honteuſe & profanée, Vous pouuez d’vn ſeul mot trancher ma deſtinée, Reprenez voſtre ſang de qui ma laſcheté A ſi mal à propos ſoüillé la pureté, Ma main n’a pu ſouffrir de crime en voſtre race, Ne ſouffrez point de tache en la maiſon d’Horace, C’eſt en ces actions dont l’honneur eſt bleſſé, Qu’vn pere tel que vous ſe monſtre intereſſé, Son amour doit ſe taire ou toute excuſe eſt nulle, Luy-meſme il y prẽd part lors qu’il les diſſimule, Et de ſa propre gloire il fait trop peu de cas Quand il ne punit point ce qu’il n’approuue pas.	J'ai cru devoir ce coup aux lieux qui m'ont vu naître, Si mon zèle au pays vous semble criminel, S'il n'en faut recevoir un reproche éternel, Si ma main en devient honteuse et profanée, Vous pouvez d'un seul mot trancher ma destinée, Reprenez votre sang de qui ma lâcheté A si mal à propos soüillé la pureté, Ma main n'a pu souffrir de crime en votre race, Ne souffrez point de tache en la maison d'Horace, C'est en ces actions dont l'honneur est blessé, Qu'un père tel que vous se monstre interessé, Son amour il se taire ou toute excuse est nulle, Ou-même il y prẽd part lors uil les dissimule, Et de sa propre gloire il fait trop peu de cas Quand il ne punit oint cexcuil approuue pas.
Le vieil HORACE.	Le vieil HORACE.
Il n’vſe pas touſiours d’vne rigueur extréme, Il eſpargne ſes fils bien ſouuent pour ſoy-meſme, Sa vieilleſſe ſur eux ayme à ſe ſouſtenir, Et ne les punit point pour ne ſe pas punir.	Il n'une pas toujours d'une rigueur extrême, Il épargne ses fils bien souvent pour soi-même, Sa vieillesse sur sur âme à se soutenir, Et ne les punit point pour ne se pas punir.
Ie te voy d’vn autre œil que tu ne te regardes, Ie ſçay, mais le Roy vient, ie vois entrer ſes gardes.	Je te vois d'un autre œil que tu ne te regardes, Je sais, mais le Roi vient, ie vois entrer ses gardes.
SCENE II.	SCÈNE II.
Lui giſa dlu ai TVLLE, VALERE.	Lui gisa dlu ai TULE, VALÈRE.
Le vieil HORACE, HORACE, Troupe de Gardes.	Le vieil HORACE, HORACE, Troupe de Gardes.
Le vieil HORACE.	Le vieil HORACE.
H Sire, vn tel honneur a trop d’excez pour A moy, Ce n’eſt point en ce lieu que ie dois voir mon Ro Permettez qu’à genoux.	H Sire, un tel honneur a trop d'excès pour A moi, Ce n'est point en ce lieu que ie dois voir mon Ro Permettez qu'à genoux.
TVLLE.	TULE.
Non leuez-vous, mon pere, Ie fay ce qu’en ma place vn bon Prince doit faire.	Non levez-vous, mon père, Je fais ce qu'en ma place un bon Prince doit faire.
Vn ſi rare ſeruice, & ſi fort important, Veut l’honneur le plus rare, & le plus eſclatant, Vous en auïez deſia ſa parole pour gage, Ie ne l’ay pas voulu differer dauantage.	Un si rare service, et si fort important, Veut l'honneur le plus rare, et le plus éclatant, Vous en avouez déjà sa parole pour gage, Je ne l'ai pas voulu différer davantage.
I’ay ſçeu par ſon rapport ( & ie n’en doutois pas) Comme de vos deux fils vous portez le treſpas, Et que deſia voſtre ame eſtant trop reſoluë Ma conſolation vous ſeroit ſuperfluë:	J'ai su par son rapport ( et je n'en doutais pas) Comme de vos deux fils vous portez le trépas, Et que déjà votre âme étant trop résolue Ma consolation vous serait superflue:
Mais ie viens de ſçauoir quel eſtrange malheur D’vn fils victorieux a ſuiuy la valeur, Et que ſon trop d’amour pour la cauſe publique Par ſes mains à ſon pere oſte vne fille vnique, Ie ſçay que peut ce coup ſur l’eſprit le plus fort, Et ie doute comment vous portez cette mort.	Mais petit viens de savoir quel étrange malheur D'un fils victorieux a suivi la valeur, Et que son trop d'amour pour la cause publique Par ses mains à son père ôte une fille unique, Je sais que peut ce coup sur l'esprit le plus fort, Et quelque doute comment vous portez cette mort.
Le vieil HORACE.	Le vieil HORACE.
Sire, auec deſplaiſir, mais auec patience.	Sire, avec déplaisir, mais Seigneur patience.
TVLLE.	TULE.
C’eſt l’effet vertueux de voſtre experience, Beaucoup par vn long â ge ont apris comme vous Que le malheur ſuccede au bonheur le plus doux, Peu ſçauent comme vous s’appliquer ce remede, Et dans leur intereſt toute leur vertu cede.	C'est l'effet vertueux de votre expérience, Beaucoup par un long â ge ont appris comme vous Que le malheur succède au bonheur le plus doux, Peu savent comme vous s'appliquer ce remède, Et dans leur intérêt toute leur vertu cède.
Si vous pouuez trouuer dans ma compaſſion Quelque ſoulagement à voſtre affliction, Ainſi que voſtre mal ſçachez qu’elle eſt extréme, Et que Tulle vous plaint autant commé il vous ayme.	Si vous pouvez trouver dans ma compassion Quelque soulagement à votre affliction, Ainsi que votre mal sachez qu'elle est extrême, Et que Tulle vous plaint autant commé il vous aime.
VALERE.	VALÈRE.
Sire, puiſque le Ciel entre les mains des Roïs Depoie ſa iuſtice & la force des loix, Et que l’Eſtat demande aux Princes legitimes Des prix pour les vertus, des peines pour les crimes, Souffrez qu’vn bon ſujet vous face ſouuenir Que vous plaignez beaucoup ce qu’il vous faut SOnles, Souffrez.	Sire, puisque le Ciel entre les mains des Roïs Dépoie sa justice et la force des lois, Et que l'État demande aux Princes légitimes Des prix pour les vertus, des peines pour les crimes, Souffrez qu'un bon sujet vous face souvenir Que vous plaignez beaucoup ce qu'il vous faut SOnles, Souffrez.
Le vieil HORACE.	Le vieil HORACE.
Quoy?	Quoi?
qu’on enuoye vn vainqueur au ſupplice?	qu'on envoie un vainqueur au supplice?
TVLLE.	TULE.
Permettez qu’il acheue, & ie feray iuſtice, Phyme à la rendre à tous, à toute heure, en tout lieu, C’eſt par elle qu’vn Roy ſe fait vn demy-Dieu, Et c’eſt dont ie vous plains qu’apres vn tel ſeruice, On puiſſe contre luy me demander iuſtice.	Permettez qu'il achève, et un ferai justice, Phyme à la rendre à tous, à toute heure, en tout lieu, C'est par elle qu'un Roi se fait un demi-Dieu, Et c'est dont ie vous plains qu'après un tel service, On puisse contre tu me demander justice.
VALERE.	VALÈRE.
Souffrez donc, ô grand Roy, le plus iuſte des Rois, Que tous les gens de bien vous parlent par ma voix, Non que nos cœurs jaloux de ſes honneurs s’irritent, S’il en reçoit beaucoup ſes hauts faits les meritent,	Souffrez donc, ô grand Roi, le plus juste des Rois, Que tous les gens de bien vous parlent par ma voix, Non que nos cœurs jaloux de ses honneurs s'irritent, S'il en reçoit beaucoup ses hauts faits les méritent,
Adjouſtez-y pluſtoſt que d’en diminuer, Nous ſommes tous encor preſts d’y contribuer;	Ajoutez-y plutôt que d'en diminuer, Nous sommes tous encor prêts d'y contribuer;
Mais puiſque d’vn tel crime il s’eſt monſtré capable, Qu’il triomphe en vainqueur & periſſe en coupable, Arreſtez ſa fureur, & ſauuez de ſes mains, Si vous voulez regner, le reſte des Romains, Il y va de la perte ou du ſalut du reſte, Veu le ſang qu’a verſé cette guerre funeſte, Et tant de nœuds d’Hymen dont nos heureux deſtins Ont vny ſi ſouuent des peuples ſi voiſins, Peu de nous ont iouy d’vn ſuccez ſi proſpere Qu’ils n’ayent perdu dans Albe vn couſin, vn beau-frere, Vn oncle, vn gendre meſme, & ne donnent des pleurs Dans le bonheur public à leurs propres malheurs.	Mais puisque d'un tel crime il s'est montré capable, Qu'il triomphe en vainqueur et périsse en coupable, Arrêtez sa fureur, et sauvez de ses mains, Si vous voulez régner, le reste des Romains, Il y va de la perte ou du salut du reste, Veu le sang qu'a versé cette guerre funeste, Et tant de nœuds d'Hymen dont nos heureux destins Ont uni si souvent des peuples si voisins, Peu de nous ont joui d'un succès si prospère Qu'ils n'aient perdu dans Albe un cousin, Un beau-frère, Et ne, donnent des pleurs, et ne donnent des pleurs Dans le bonheur public à leurs propres malheurs.
Si c’eſt offenſer Rome & que l’heur de ſes armes L’authoriſe à punir ce crime de nos larmes, Quel ſang eſpargnera ce barbare vainqueur Qui ne pardonne pas à celuy de ſa ſœur, Et ne peut excuſer la douleur vehemente Que la mort d’vn amant iette au cœur d’vne amante, Quand preſts d’eſtre éclairez du nuptial flambeau Elle voit auec luy ſon eſpoir au tombeau?	Si c'est offenser Rome et que l'heur de ses armes L'autorise à punir ce crime de nos larmes, Quel sang épargnera ce barbare vainqueur Qui ne pardonne pas à celui de sa sœur, Et ne peut excuser la douleur véhémente Que la mort d'être amant jette au cœur d'une amante, Quand prêts d'être éclairez du nuptial flambeau Elle voit avec lui son espoir au tombeau?
Faiſant triompher Rome il ſe l’eſt aſſeruie, Il a ſur nous vn droit & de mort & de vie, Et nos iours criminels ne pourront plus durer Qu’autant qu’à ſa clemence il plaira l’endurer.	Faisant triompher Rome il se l'est asservie, Il a sur nous un droit et de mort et de vie, Et nos jours criminels ne pourront plus durer Qu'autant qu'à sa clémence il plaira l'endurer.
Ie pourrois adjouſter aun interents de rome Combien vn pareil coup eſt indigne d’vn homme, Ie pourrois demander qu’on miſt deuant vos yeux Ce grand & rare exploit d’vn bras victorieux.	Je pourrais ajouter àun intèrents de rome Combien un pareil coup est indigne d'un homme, Je pourrais demander qu'on mit devant vos yeux Ce grand et rare exploit d'un bras victorieux.
Vous verriez vn beau ſang pour accuſer ſa rage D’vn frere ſi cruel rejallir au viſage, Vous verriez des horreurs qu’on ne peut cõceuoïr, Son aage & ſa beauté vous pourroient émouuon, Mais ie hay ces moyens qui ſentent l’artifice, Vous auez à demain remis le ſacrifice, Penſez-vous que les Dieux vangeurs des innocents, D'vne main parricide acceptent de l’encens?	Vous verriez un beau sang pour accuser sa rage D'un frère si cruel rejaillir au visage, Vous verriez des horreurs qu'on ne peut cõceuoïr, Son âge et sa beauté vous pourraient émouuon, Mais ainsi ha ces moyens qui sentent l'artifice, Vous avez à demain remis le sacrifice, Pensez-vous que les Dieux vengeurs des innocents, D'une main parricide acceptent de l'encens?
Sur vous ce ſacrifice attireroit ſa peine, Ne le conſiderez qu’en objet de leur haine, Et croyez auec nous qu’en tous ſes trois combats Le bon deſtin de Rome a plus fait que ſon bras, Puiſque ces meſmes Dieux autheurs de ſa victoite Ont permis qu’auſſi-toſt il en ſoüillaſt la gloire, Et qu’vn ſi grand courage apres ce noble effort Fuſt digne en meſme iour de triomphe & de mort.	Sur vous ce sacrifice attirerait sa peine, Ne le considérez qu'en objet de leur haine, Et croyez avec nous qu'en tous ses trois combats Le bon destin de Rome a plus fait que son bras, Puisque ces mêmes Dieux auteurs de sa victoite Ont permis qu'aussitôt il en souillât la gloire, Et qu'un si grand courage après ce noble effort Fût digne en même jour de triomphe et de mort.
Sire, c’eſt ce qu’il faut que voſtre arreſt decide, En ce lieu Rome a veu le premier parricide, La ſuite en eſt à craindre & la haine des Cieux, Sauuez nous de ſa main & redoutez les Dieux.	Sire, c'est ce qu'il faut que votre arrêt décide, En ce lieu Rome a vu le premier parricide, La suite en est à craindre et la haine des Cieux, Sauvez nous de sa main et redoutez les Dieux.
TVLLE.	TULE.
De ffendez-vous, Horace.	De ffendez-vous, Horace.
HORACE.	HORACE.
A quoy bon me deffendre?	À quoi bon me défendre?
Vous ſçauez l'action, vous la venez d’entendre, Ge que vous en croyez me doit eſtre vne loy:	Vous savez l'action, vous la venez d'entendre, Ge que vous en croyez me doit être une loi:
Sire, on ſe defend mal contre l'aduis d’vn Roy, Et le plus innocent que le Ciel ait veu naiſtre Quand il le croit coupable, il commence de l'eſtre.	Sire, on se défend mal contre l'avis d'un Roi, Et le plus innocent que le Ciel ait vu naître Quand il le croit coupable, il commence de l'être.
C’eſt crime qu’enuers luy ſe vouloir excuſer, Noſtre ſang eſt ſon bien, il en peut diſpoſer, Et c’eſt à nous de croire alors qu’il en diſpoſe Qu’il ne s’en priue point ſans vne iuſte cauſe.	C'est crime qu'envers Seigneur se vouloir excuser, Notre sang est son bien, il en peut poser, Et c'est à nous de croire alors qu'il en dispose Qu'il ne s'en prive point sans une juste cause.
Sire, prononcez donc, ie ſuis preſt d’obeïr, D’autres ayment la vie, & ie la dois haïr.	Sire, prononcez donc, je suis prêt d'obéir, D'autres aiment la vie, et ie la dois et.
Ie ne reproche point à l’ardeur de Valere Qu’en amant de la ſœur il accuſe le frege, Mes vœux auec les ſiens conſpirent aujourd’huy, Il demande ma mort, ie la veux comme luy;	Je ne reproche point à l'ardeur de Valère Qu'en amant de la sœur il accuse le frège, Mes vœux avec les siens conspirent aujourd'hui, Il demande ma mort, ainsi la veux comme lui;
vn ſeul point entre nous met cette difference 67 Que mon honneur par là cherche ſon aſſeurance, Et qu’à ce meſme but nous voulons arriuer, Luy pour fleſtrir ma gloire, & moy pour la ſauuer.	un seul point entre nous met cette différence 67 Que mon honneur par là cherche son assurance, Et qu'à ce même but nous voulons arriver, Lui pour flétrir ma gloire, et moi pour la sauver.
Sire, c’eſt rarement qu’il s’offre vne matiere A monſtrer d’vn grand cœur la vertu toute entiere, Suiuant l’occaſion elle agiſt plus ou moins, Et paroiſt forte ou foible aux yeux de ſes teſmoins.	Sire, c'est rarement qu'il s'offre une matière A montrer d'un grand cœur la vertu toute entière, Suivant l'occasion elle agît plus ou moins, Et paraît forte ou faible aux yeux de ses témoins.
Le peuple qui voit tout ſeulement par l’eſcorce Prend droit par ſes effets de iuger de ſa forte, Et s’oſe imaginer par vn mauuais diſcours Que qui fait vn miracle en doit faire touſiours.	Le peuple qui voit tout seulement par l'écorce Prend droit par ses effets de juger de sa forte, Et s'ose imaginer par un mauvais discours Que qui fait un miracle en doit faire toujours.
Apres vne action pleine, haute, éclatante, Tout ce qui brille moins remplit mal ſon attente, Il veut qu’on ſoit égal en tout tẽps, en tous lieux, Il n’examine point ſi lors on pouuoit mieux, Ny que s’il ne voit pas ſans ceſſe vne merueille, L’occaſion eſt moindre & la vertu pareille.	Après une action pleine, haute, éclatante, Tout ce qui brille moins remplit mal son attente, Il veut qu'on soit égal en tout temps, en tous lieux, Il n'examine point si lors on pouvait mieux, Ni que s'il ne voit pas sans cesse une merveille, L'occasion est moindre et la vertu pareille.
Son injuſtice accable & deſtruit les grands noms, L’hõneur des premiers faits ſe perd par les ſecõds, Et quand la renommée a paſſé l’ordinaire Si l’on n’en veut déchoir il ne faut plus rien faire.	Son injustice accable et détruit les grands noms, L'honneur des premiers faits se perd par les seconds, Et quand la renommée a passé l'ordinaire Si l'on n'en veut déchoir il ne faut plus rien faire.
Ie ne vanteray point les exploits de mon bras, Voſtre Maieſté, Sire, a veu mes trois combats, Il eſt bien malaiſé qu’vn pareil les ſeconde, Qu’vne autre occaſion à celle cy reſponde, Et que tout mon courage apres de ſi grands coups Paruienne à des ſuccez qui n’aillent au deſſous;	Je ne vanterai point les exploits de mon bras, Votre Majesté, Sire, a vu mes trois combats, Il est bien malaisé qu'un pareil les seconde, Qu'une autre occasion à celle cy réponde, Et que tout mon courage après de si grands coups Parvienne à des succès qui n'aillent au dessous;
Si bien que pour laiſſer vne illuſtre hemone, La mort ſeule aujourd’huy peut conſeruer ma gloire, Encor la faloit-il ſi toſt que i’eus vaincu, Puiſque pour mon honneur i’ay deſia trop veſcu, Vn homme tel que moy voit ſa gloire ternie Quand il tombe en peril de quelque ignominie, Et ma main auroit ſçeu deſia m’en garantir, Mais ſans voſtre congé mon ſang n’oſe ſortir, Comme il vous appartient, voſtre adueu doit ſe prendre, C’eſt vous le deſrober qu’autrement le reſpandre, Rome ne manque point de genereux guerriers, Aſſez d’autres ſans moy ſouſtiendront vos lauriers, Que voſtre Majeſté deſormais m’en diſpenſe, Et ſi ce que i’ay fait vaut quelque recompenſe, Permettez, ô grand Roy, que de ce bras vainqueur Ie m’immole à ma gloire, & non pas à ma ſœur.	Si bien que pour laisser une illustre hone, La mort seule aujourd'hui peut conserver ma gloire, Encor la fallait-il si tôt que j'eus vaincu, Puisque pour mon honneur j'ai déjà trop vécu, Vn homme tel que moi voit sa gloire ternie Quand il tombe en péril de quelque ignominie, Et ma main aurait su déjà m'en garantir, Mais sans votre congé mon sang n'ose sortir, Comme il vous appartient, votre aveu doit se prendre, C'est vous le dérober qu'autrement le répandre, Rome ne manque point de généreux guerriers, Assez d'autres sans moi soustiendront vos lauriers, Que vôtre Majesté désormais en dispense, Et si ce que ay fait vaut quelque recompense, Permettez, grand Roy, que de ce bras vainqueur Ie immole ma gloire, et non pas ma sœur.
210 SCENE III.	210 SCÈNE III.
TVLLE, VALERE, Le vieil HORACE, HORACE, SABINE, IVLIE.	TULE, VALÈRE, Le vieil HORACE, HORACE, SABINE, IVLIE.
S’ABINE.	S'ABINE.
Ire, eſcoutez Sabine, & voyez dans ſon ame QLes douleurs d’vne ſœur & celles d’vne fẽme, Qui toute deſolée à vos ſacrez genoux Pleure pour ſa famille & craint pour ſon eſpoux.	Ire, écoutez Sabine, et voyez dans son âme QLes douleurs d'une sœur et celles d'une femme, Qui toute désolée à vos sacrés genoux Pleure pour sa famille et craint pour son époux.
Ce n’eſt pas que ie vueille auec cét artifice Deſrober vn coupable aux bras de la iuſtice, Quoy qu'Iluit rait pour vous, traitez-le cõme tel, Et puniſſez en moy ce noble criminel.	Ce n'est pas que ici veuille avec cet artifice Desrober un coupable aux bras de la justice, Quoi qu'Iluit rait pour vous, traités-le comme tel, Et punissez en moi ce noble criminel.
De mon ſang malheureux expiés tout ſon crime, Vous ne changerez point pour cela de victime, Ce n’en ſera point prendre vne injuſte pitié, Mais en ſacrifier la plus chere moitié.	De mon sang malheureux expiez tout son crime, Vous ne changerez point pour cela de victime, Ce n'en sera point prendre une injuste pitié, Mais en sacrifier la plus chère moitié.
Les nœuds de l’Hymenée, & ſon amour extréme Font qu’il vit plus en moy qu’il ne vit en luymeſine, Et ſi vous m’accordez de mourir au jourd’huy, Il mourra plus en moy qu’il ne mourroit en luy.	Les nœuds de l'Hyménée, et son amour extrême Font qu'il vit plus en moi qu'il ne vit en luymesine, Et si vous m'accordez de mourir au jourd'hui, Il mourra plus en moi qu'il ne mourrait en porte.
La mort que ie demande & qu’il faut que i’obtienne, Augmentera ſa peine, & finira la mienne.	La mort que je demande et qu'il faut que j'obtienne, Augmentera sa peine, et finira la mienne.
Sire, voyez l’excez de mes triſtes ennuis, Et l’effroyable eſtat où mes iours ſont reduits, Quelle horreur d’embraſſer vn homme dõt l’eſpée De toute ma famille a la trame coupée, Et quelle impieté de ha’ïr vn eſpoux Pour auoir bien ſeruy les ſiens, l’Eſtat, & vous?	Sire, voyez l'excès de mes tristes ennuis, Et l'effroyable état où mes jours sont réduits, Quelle horreur d'embrasser un homme dont l'épée De toute ma famille a la trame coupée, Et quelle impiété de haïr un époux Pour avoir bien servi les siens, l'État, et vous?
Aymer vn bras ſoüillé du ſang de tous mes freres!	Aimer un bras souillé du sang de tous mes frères!
N’aymer pas vn mary qui finit nos miſeres!	N'aimer pas un mari qui finit nos misères!
Sire, deliurez-moy par vn heureux treſpas Des crimes de l’aymer, & de ne l’aymer pas.	Sire, délivrez-moi par un heureux trépas Des crimes de l'aimer, et de ne l'aimer pas.
I’en nommeray l’arreſt vne faueur bien grande, Ma main peut me dõner ce que ie vous demande, Mais ce treſpas en fin me ſera bien plus doux Si ie puis de ſa honte affranchir mon eſpoux, Si ie puis par mon ſang appaiſer la colere Des Dieux qu’a pû faſcher ſa vertu trop ſeuere, Satisfaire en mourant aux manes de ſa ſœur, Et conſeruer à Rome vn ſi bon defenſeur.	J'en nommerai l'arrêt une faveur bien grande, Ma main peut me dîner ce que ie vous demande, Mais ce trépas en fin me sera bien plus doux Si tu puis de sa honte affranchir mon époux, Si tu puis par mon sang apaiser la colère Des Dieux qu'a pu fâcher sa vertu trop sévère, Satisfaire en mourant aux mânes de sa sœur, Et conserver à Rome votre si bon défenseur.
Levieil HORACE.	Levieil HORACE.
Sire, c’eſt donc à moy de reſpondre à Valere, Mes enfans auec luy conſpirent contre vn pere, Tous trois veulent me perdre, & s’arment ſant raiſon Contre ſi peu de ſang qui reſte eil hiu iarion.	Sire, c'est donc à moi de répondre à Valère, Mes enfants avec même conspirent contre un père, Tous trois veulent me perdre, et s'arment sant raison Contre si peu de sang qui reste eil hive jarion.
Toy qui par des douleurs à ton deuoir contraires Veux quitter vn mary pour rejoindre tes freres, Va pluſtoſt conſulter leurs manes genereux;	Toi qui par des douleurs à ton devoir contraires Veux quitter un mari pour rejoindre tes frères, Va plutôt consulter leurs mânes généreux;
Ils ſont morts, mais pour Albe, & s’en tiennent heureux.	Ils sont morts, mais pour Albe, et s'en tiennent heureux.
Puiſque le Ciel vouloit qu’elle fuſt aſſeruïe, Si quelque ſentiment demeure apres la vie, Ce mal leur ſemble moindre, & moins rudes ſes coups 4 Voyant que tout l’honneur en retombe ſur nous.	Puisque le Ciel voulait qu'elle fût asservie, Si quelque sentiment demeure après la vie, Ce mal leur semble moindre, et moins rudes ses coups 4 Voyant que tout l'honneur en retombe sur nous.
Tous trois deſaduouëront la douleur qui te touche, Les larmes de tes yeux, les ſoûpirs de ta bouche, L’horreur que tu fais voir d’vn mary vertueux, Sabine, ſois leur ſœur, ſuy ton deuoir comme eux.	Tous trois désavoueront la douleur qui te touche, Les larmes de tes yeux, les soupirs de ta bouche, L'horreur que tu fais voir d'un mari vertueux, Sabine, sois leur sœur, suis ton devoir comme eux.
Contre ce cher eſpoux Valere en vain s’anime, Vn premier mouuement ne fut iamais vn crime, Et la loüange eſt deuë au lieu du chaſtiment Quand la vertu produit ce premier mouuement.	Contre ce cher époux Valère en vain s'anime, Un premier mouvement ne fut jamais un crime, Et la louange est du au lieu du châtiment Quand la vertu produit ce premier mouvement.
Aymer nos ennemis auec idolatrie, De rage en leur treſpas maudire la patrie, Souhaiter à l’Eſtat vn malheur infiny, C’eſt ce qu’on nomme crime, & ce qu’il a puny.	Aimer nos ennemis homme idolâtrie, De rage en leur trépas maudire la patrie, Souhaiter à l'État un malheur infini, C'est ce qu'on nomme crime, et ce qu'il a puni.
