DERETE L FRAGICOMLDIE.	DERTE L FRAGICOMLDIE.
CRITON.	CRITON.
Elle eſt de meſme condition que vous.	Elle est de même condition que vous.
TAR3IS.	TAR3IS.
Pourquoy donc ne puis-je l’aimer?	Pourquoi donc ne puis-je l'aimer?
ORTION.	ORTION.
Parce qu’elle eſt voſtre ſœur, & que ſa mere eſtoit voſtre mere.	Parce qu'elle est votre sœur, et que sa mère était vôtre mère.
Cela vous eſtonne.	Cela vous étonne.
Ie n’en doute point.	Je n'en doute point.
TARSIS.	TARSIS.
Et Criton ſeroit mon pere.	Et Criton serait mon père.
Et Berenice ſeroit ma ſœur!	Et Berenice serait ma sœur!
CRITON.	CRITON.
Retirez-vous, Berenice, voſtre preſence n’eſt pas icy neceſſaire;	Retirez-vous, Berenice, votre présence n'est pas ici nécessaire;
Oüy, Tarſis, ie ſuis voſtre pere.	Oui, Tars, ie suis votre père.
Mais enfin conſiderez que vous ne pouuez vous faire connoiſtre ſans vous mettre au hazard de tomber d’vn throſne, dont mes foins & mes artifices vous firent le premier degré, & où voſtre vertu vous eſleuebien plûtoſt que la fortune.	Mais enfin considérez que vous ne pouvez vous faire connaître sans vous mettre au hasard de tomber d'un thrône, dont mes foins et mes artifices vous firent le premier degré, et où votre vertu vous esleuebien plûtost que la fortune.
I’ay eſté contraint de vous dire ce ſecret que ie vous aurois touſiours caché;	J'ai été contraint de vous dire ce secret que je vous aurais toujours caché;
i'ay eſté contraint de vous le dire pour vous obliger de preſſer vous meſme mon retour, puis qu’il eſt ſi neceſſaire à voſtre bien.	j'ai été contraint de vous le dire pour vous obliger de presser vous même mon retour, puis qu'il est si nécessaire à votre bien.
Auez vous maintenant raiſon d’aimer Amaſie, comme vous l’auez aimée iuſques icy.	Avez -vous maintenant raison d'aimer Amasie, comme vous l'avez aimée jusques ici.
TARSIS.	TARSIS.
Non pas ſi i’ay raiſon de vous croire:	Non pas si j'ai raison de vous croire:
Mais le moyen de donner quelque eroyance à vn diſcours ſi incroyable.	Mais le moyen de donner quelque eroyance à un discours si incroyable.
CRITON.	CRITON.
oçachez pour vous le lanc cionc.	oçachez pour vous le lanc cionc.
Mais Leonide vient icy.	Mais Léonide vient ici.
SCENE SIXIESMELEONIDE, CRITON.	SCÈNE SIIXIESMELEONIDE, CRITON.
LEONIDE.	LEONIDE.
Riton, le Roy vous attendil y a long-temps, & m’a commandé de vous amener.	Riton, le Roi vous attendil y a longtemps, et m'a commandé de vous amener.
CRITON.	CRITON.
Que feray-je!	Que ferai-je!
Allons Leonide.	Allons Léonide.
SCEIVE SETTTESME.	SCEIVE SETTESME.
TARSIS, ſeul.	TARSIS, seul.
Velle nouuelle, chere Berenice!	Velle nouvelle, chère Berenice!
& quel plus grand eſtonnement a iamais ſurpris vn eſprit.	et quel plus grand étonnement a jamais surpris un esprit.
Ha!	Ha!
Berenice;	Berenice;
ſi Amaſie eſt voſtre ſœur, & queie ſois frere d’Amaſie, de quel œil vous regarderay-ie?	si Amasie est votre sœur, et queie sois frère d'Amasie, de quel œil vous regarderai-je?
Puis-ieſanscrime & ſans horreur vous regarder auec amour?	Puis-iesanscrime et sans horreur vous regarder Ah amour?
Vous, ma ſœur, moy voſtre frere, & en meſme temps voſtre amant?	Vous, ma sœur, moi votre frère, et en même temps votre amant?
Hé!	Hé!
quoy, Berenice, cette amour incomparable, dont ie bruſſe aujourd’huy pour vous, n’eſt-elle pas vn effet de voſtre beauté, eſt-ce ſeulement vn effet du ſang?	quoi, Berenice, cette amour incomparable, dont votre brusse aujourd'hui pour vous, n'est-elle pas un effet de votre beauté, est-ce seulement effet du sang?
Non, non, il eſt impoſſible que le ſang puiſſe allumer de ſi grands feux;	Non, non, il est impossible que le sang puisse allumer de si grands feux;
l’aime, i’aime Berenice d’vne paſſion trop violente, & il n’appartient qu’à la beauté de faire naiſtre dans les ames de ſi eſtranges embraſement.	l'aime, j'aime Berenice d'une passion trop violente, et il n'appartient qu'à la beauté de faire naître dans les âmes de si étranges embrasement.
O Berenice!	Ô Berenice!
n’auroisie donc que de l’amitié, quand ie penſe auoir de l'amour?	n'aurais donc que de l'amitié, quand votre pense avoir de l'amour?
Et lors que par tant de peines, ie tâchois de faire aimer le miſerable Tarſis, ne trauailloisie ſeulement qu’à vous faire aymer voſtre frere.	Et lors que par tant de peines, je tâchais de faire aimer le misérable Tars, ne travaillaisie seulement qu'à vous faire aimer votre frère.
Mais doy-ie croire cette auanture, helas!	Mais dois-je croire cette aventure, hélas!
ie voudrois en eſtre inſtruit, & ie crains pourtant de m’en inſtruire.	Ne voudrais en être instruit, et Seigneur crains pourtant de m'en instruire.
Que de peines!	Que de peines!
que de maux!	que de maux!
que de ſupplices!	que de supplices!
& que l’on endure de tourmens, quand il faut qu’vne amour expire, ou qu’il faut qu’vne amour extréme ſe conuertiſſe en amitié.	et que l'on endure de tourments, quand il faut qu'une amour expire, ou qu'il faut qu'une amour extrême se convertisse en amitié.
12	12
DCENE TREMIERE.	DCENE TREMIERE.
A MASIE, BERENICE.	À MASIE, BERENICE.
AMASTE.	AMASTE.
ETTE auanture vous met en deſordre, & ie voy bien que vous auez peine à deuenir ſœur de Tarſis.	ETTTE aventure vous met en désordre, et beau vois bien que vous avez peine à devenir sœur de Tarsis.
BERENICE.	BERENICE.
Helas!	Hélas!
i’ay honte de l’auoir aimé,puis que c’eſt mon frere que i’ay aimé comme mon amant.	j'ai honte de l'avoir aimé,puis que c'est mon frère que j'ai aimé comme mon amant.
Ie penſe m’eſtre renduë criminelle autant de fois que ie l’ay regardé, & ie ne ine tiens pas innocente d’auoir eu ſi longtemps de l’amour, lors que ie deuois auoir ſeulement de l’amitié.	Je pense m'être rendue criminelle autant de fois que je l'ai regardé, et notre ne ine tiens pas innocente d'avoir eu si longtemps de l'amour, lors que ie deuois avoir seulement de l'amitié.
AMASIE.	AMASIE.
C’eſt vne faute de la fortune, qui ne tache point linnocence.	C'est une faute de la fortune, qui ne tache point linnocence.
BERENICE.	BERENICE.
C’eſt vne faute de la fortune, qui a offencé la nature.	C'est une faute de la fortune, qui a offensé la nature.
BHEE.	BHÉE.
AmAIU Si cét amour eſt vne faute, la nature s’en eſt ſeruie, afin de vous deſcouurir ce que la fortune nous cachoit.	AmAIU Si cet amour est une faute, la nature s'en est servie, afin de vous découvrir ce que la fortune nous cachait.
Car ſi vous n’euſſiez point aimé, & qu’on ne vous eut point aimée, nous n’euſſions pas trouué vn frere ſi recommandable par ſa vertu.	Car si vous n'eussiez point aimé, et qu'on ne vous eut point aimée, nous n'eussions pas trouvé un frère si recommandable par sa vertu.
Pour moy, ma ſœur, comme il eſt comblé de gloire, i’ayme mieux qu’il ſoit mon frere que s’il eſtoit mon amant;	Pour moi, ma sœur, comme il est comblé de gloire, j'aime mieux qu'il soit mon frère que s'il était mon amant;
parce queie m’imagine qu’il eſt beaucoup plus glorieux d’eſtre du ſang d’vn homme illuſtre que de s’allier d’vn homme illuſtre.	parce queie m'imagine qu'il est beaucoup plus glorieux d'être du sang d'Un homme illustre que de s'allier d'un homme illustre.
BERENICE.	BERENICE.
Helas!	Hélas!
que cét auantage que vous trouuez d’eſtre ſortie d’vn meſme ſang, va luy cauſer de déplaiſirs, & peut-eſtre d’infortunes.	que cet avantage que vous trouvez d'être sortie d'un même sang, va lui causer de déplaisirs, et peut-être d'infortunes.
Ce nous eſt ſans doute vne grande gloire d’auoir vn frere ſi illuſtre, mais s’il ne peut eſtre noſtre frere, qu’il ne perde la courõne qui brille dé-ja ſur ſa teſte, ie vous le confeſſe, Amaſie, il me faſche qu’il ſoit mon frere, & ie ſouhaiterois plûtoſt d’eſtre ſa ſujete que ſa ſœur.	Ce nous est sans doute grande gloire d'avoir un frère si illustre, mais s'il ne peut être nôtre frère, qu'il ne perde la couronne qui brille déjà sur sa tête, Seigneur vous le confesse, Amasie, il me fâche qu'il soit mon frère, et et souhaiterois plutôt d'être sa sujet que sa sœur.
AMASIE.	AMASIE.
Mais, le voicy.	Mais, le voici.
BERENICE.	BERENICE.
Helas!	Hélas!
i’ay honte de le voir.	j'ai honte de le voir.
AMASIE.	AMASIE.
Au moins ſçachez de luy cette hiſtoire, ie vous laiſſe tous deux enſemble, qu’ils ſont confus de ſe reuoir.	Au moins sachez de deux cette histoire, je vous laisse tous deux ensemble, qu'ils sont confus de se revoir.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
TARSIS, BERENICE.	TARSIS, BERENICE.
TARSIS.	TARSIS.
De quel nom vous appelleray-je?	De quel nom vous appellerai-je?
DLRLNVICLe Mais de quel œil vous regarderay-ie?	DLRLNVICLe Mais de quel œil vous regarderai-je?
TARSIS.	TARSIS.
Il m’eſt encore impoſſible de vous appeller ma Reol.	Il m'est encore impossible de vous appeler ma Réol.
BERENICE.	BERENICE.
Il m’eſt encore impoſſible de vous regarder en frere.	Il m'est encore impossible de vous regarder en frère.
Mais n’auez vous point appris par quelle auanture nous venons d’eſtre tous deux changez, vous en mon frere, moy en voſtre ſœur.	Mais n'avez -vous point appris par quelle aventure nous venons d'être tous deux changez, vous en mon frère, moi en votre sœur.
TARSIS.	TARSIS.
Ie n’ay rien encore apris d’vn changement ſi eſtrane, a le venons applendie de touo.	Je n'ai rien encore appris d'une changement si étrane, a le venons applendie de touo.
BERENICE.	BERENICE.
Ie n’en ſçay rien, Tarſis, & tout ce que ie puis dire, c’eſt qu’il faut ceder à la nature, & vaincre l’amour par l’amitié.	Je n'en sais rien, Tarsis, et tout ce que je puis dire, c'est qu'il faut céder à la nature, et vaincre l'amour par l'amitié.
TARSIS.	TARSIS.
On peut aller facilement de l’amitié à l’amour, mais il n’eſt pas.	On peut aller facilement de l'amitié à l'amour, mais il n'est pas.
ſi facile d’aller de l’amour à l’amitié.	si facile d'aller de l'amour à l'amitié.
DEREIICL.	DEREICL.
Céla doit nous eſtre facile dans l’eſtat où nous nous trouuons.	Cla doit nous être facile dans l'état où nous nous trouvons.
TARSIS.	TARSIS.
Ha!	Ha!
Berenice, qui me ſerez touſiours chere, ou comme ſœur ou comme amante;	Berenice, qui me rez toujours chère, ou comme sœur ou comme amante;
En vain ie fais des efforts, afin de ſeparer en moy voſtre amant de voſtre frere:	En vain vertu fais des efforts, afin de séparer en moi votre amant de votre frère:
L’amant veut chaſſer le frere, le frere veut chaſſer l’amant, & dans vn combat ſi nouueau, i’ay honte d’eſtre voſtre amant, & i’ay horreur d’eſtre voſtre frere.	L'amant veut chasser le frère, le frère veut chasser l'amant, et dans un combat si nouveau, j'ai honte d'être vôtre amant, et j'ai horreur d'être votre frère.
Dil mEvROns.	Dil mEvROns.
Ne conſultez pas d’auantage, vous ne pouuez plus demeurer amant ſans commencer d’eſtre criminel;	Ne consultez pas d'avantage, vous ne pouvez plus demeurer amant sans commencer d'être criminel;
& ſi vous conſeruez voſtre amour, vous ne meriterez d’eſtre aimé, ny comme amant ny comme frere.	et si vous conservez votre amour, vous ne mériterez d'être aimé, ni comme amant ici comme frère.
TARSIS.	TARSIS.
Donnez, donnez à mon amour pour le moins le temps d’expirer.	Donnez, donnez à mon amour pour le moins le temps d'expirer.
BERE	BÉRE
BERENICE.	BERENICE.
II ne luy faut pas plus de temps qu’il en faut pour prononcer le nom de ſœur & de frere.	II ne lui faut pas plus de temps qu'il en faut pour prononcer le nom de sœur et de frère.
TARSIS.	TARSIS.
Quoy!	Quoi!
Berenice, vous auez ſi peu combattu.	Berenice, vous avez si peu combattu.
BERENICE.	BERENICE.
Ie ne ſçay ce que i’ay fait, mais ie penſe auoir fait mon deuoir.	Je ne sais ce que j'ai fait, mais apprendre pense avoir fait mon devoir.
TARSIS.	TARSIS.
Helas, Berenice!	Hélas, Berenice!
ce n’eſt pas m’auoir aimé comme voſtre amant que de vous reſoudre ſi toſt de m’aimer comme voſtre frere, & l’on a eu bien peu d’aſour quaiid on peuen promptement le conuertir en amitié.	ce n'est pas m'avoir aimé comme votre amant que de vous résoudre si tôt de m'aimer comme votre frère, et l'on a eu bien peu d'asour quaiid on peuen promptement le convertir en amitié.
.	.
.	.
	
BERENICE.	BERENICE.
Ne changerez-vous point de diſcours.	Ne changerez-vous point de discours.
TARSIS.	TARSIS.
vous n’auez pas change de charmes.	vous n'avez pas change de charmes.
BERENICE.	BERENICE.
Mais en fin, i’ay changé de nom.	Mais en fin, j'ai changé de nom.
TARSIS.	TARSIS.
Mais ie n’ay pas changé de cœur.	Mais ici n'ai pas changé de cœur.
BERENICE.	BERENICE.
Souuenez-vous du nom de frere.	Souvenez-vous du nom de frère.
TARSIS.	TARSIS.
Ce nom de frere me confond, m'en ſouuenir eſt mon ſupplice, & mal gré meſme la raiſon, mon amour opiniaſtre veut touſiours demeurer amour.	Ce nom de frère me confond, m'en souvenir est mon supplice, et mal gré même la raison, mon amour opiniâtre veut toujours demeurer amour.
.	.
.	.
.	.
.	.
.	.
o.	ô.
Ha!	Ha!
que mon auanture eſt eſtrange, le Ciel m’oſte Berenice, & me l’a donne en meſme temps;	que mon aventure est étrange, le Ciel m'ôte Berenice, et me l'a donne en même temps;
C’eſt ma ſœur, ce fut mon amante, ie l’ay perduë ſans que ie la perde, & ie la gaigne ſans la gaigner.	C'est ma sœur, ce fut mon amante, on l'ai perdue sans que je la perde, et ainsi la gagne sans la gagner.
Mais il ne faut plus reſiſter où la reſiſtance ſeroit honteuſc.	Mais il ne faut plus résister où la résistance serait honteusc.
Enſin mon amour expire, mais pour expirer entierement, il faudroit, chere Berenice, que i’expiraſſe auecluy.	Ensin mon amour expire, mais pour expirer entièrement, il faudrait, chère Berenice, que j'expirasse auecluy.
Comme par la force de l’amour mon cœur ſe conuertit en amour, il faudroit m’oſter ce cœur, afin de m’oſter mon amour.	Comme par la force de l'amour mon cœur se convertit en amour, il faudrait m'ôter ce cœur, afin de m'ôter mon amour.
BERENICE.	BERENICE.
Ceſſez de m’offenſer par cette parole d’amour, qui n’a plus rien dans voſtre bouche que d’horrible & d’effroyable.	Cessez de m'offenser par cette parole d'amour, qui n'a plus rien dans votre bouche que d'horrible et d'effroyable.
TARSIS.	TARSIS.
Non, non, Berenice, ie ne vous offenceray plus.	Non, non, Berenice, je ne vous offenserai plus.
Enſin, ma ſœur, puis qu’il faut prononcer cette parole, aymez vn Roy qui vous aime;	Ensin, ma sœur, puis qu'il faut prononcer cette parole, aimez un Roi qui vous aime;
La premiere marque que ie vous puis donner de mon amitié, c’eſt de vous conſeiller d’aimer vn Roy qui vous appelle.	La première marque je ie vous puis donner de mon amitié, c'est de vous conseiller d'aimer un Roi qui vous appelle.
maintenant au partage de ſes grandeurs.	maintenant au partage de ses grandeurs.
Ie vous verray paſſer en ſes mains ſans douleur, & ſans ialouſie;	Je vous verrai passer en ses mains sans douleur, et sans jalousie;
& s’il faut perdre l’eſperance de me voir vn iour dans le throſne, au moins i’en ſeray conſolé lors qu’vne:	et s'il faut perdre l'espérance de me voir un jour dans le trône, au moins j'en serai consolé lors qu'une:
autre que Bereniee ne poſſedera pas vn ſi grand bien, & que ie ne perdray ma ſplendeur que pour en voir maſœur eſclairée.	autre que Bereniee ne possédera pas un si grand bien, et que je ne perdrai ma splendeur que pour en voir mœur éclairée.
BERENICE.	BERENICE.
Faut-il que la rencontre d’vnc ſœur vous mette au hazard de perdre des proſperitez ſi glorieuſes?	Faut-il que la rencontre d'exc œur vous mette au hasard de perdre des prospérité si glorieuses?
Fautal que leicl funtite a monncecarntitant meſine que ie le trouue.	Fautal que leicl funtite a monncecarntitant mesine que personne le trouve.
TARSIS.	TARSIS.
Si ie doy perdre la Couronne que i’euſſe iniuſtement poſſedée, c’eſt que le Ciel qui eſt iuſte ne peut ſouffrir vne iniuſtice.	Si ici dois perdre la Couronne que j'eusse injustement possédée, c'est que le Ciel qui est juste ne peut souffrir une injustice.
BERENICE.	BERENICE.
Non, non, ie veux m’imaginer qu’en vous donnant vne ſœur, il ne vous oſtera pas vn Empire.	Non, non, Seigneur veux m'imaginer qu'en vous donnant une sœur, il ne vous ôtera pas un Empire.
Il n’a pas accouitumſe dentre ememy de la vertu, & cen eſt pas ſans raiſon qu’il a permis que les peuples de ce Royaume, conſéruez par voſtre courage, vous ayent dé-ja proclamé Roy.	Il n'a pas accouitumse dentre ememy de la vertu, et cen est pas sans raison qu'il a permis que les peuples de ce Royaume, conservez par fois courage, vous aient déjà proclamé Roi.
TARSIS.	TARSIS.
Ils ont cru faire cét honneur au ſang de leur Prince.	Ils ont cru faire cet honneur au sang de leur Prince.
BERENICE.	BERENICE.
Puiſque c’eſt voſtre courage qui les a tirez d’oppreſſion, ils ont crû faire cét honneur à la vertu.	Puisque c'est votre courage qui les a tirés d'oppression, ils ont cru faire cet honneur à la vertu.
TARSIS.	TARSIS.
Quoy qu’il en ſoit, Berenice, ie n’ay plus rien à perdre, puis que ie viens de vous perdre;	Quoi qu'il en soit, Berenice, je n'ai plus rien à perdre, puis que ie viens de vous perdre;
Car enfin, ma fureur ſe renouuelle, ie ne puis vous voir ſans amour, & vous n’aurez point d’amans dont voſtre frere ne ſoit ialoux.	Car enfin, ma fureur se renouvelle, on ne puis vous voir sans amour, et vous n'aurez point d'amants dont votre frère ne soit jaloux.
BERENICE.	BERENICE.
Ha!	Ha!
Tarſis, voſtre diſcours m’eſpouuante, il faut enfin que ie me retire, auſſi-bien ma triſte preſence ne pourroit deſormais ſeruir qu’à faire croiſtre voſtre crime, puis que voſtre amour eſt vn crime.	Tarsis, votre discours m'épouvante, il faut enfin que tu me retire, aussi-bien ma triste présence ne pourrait désormais servir qu'à faire croître vôtre crime, puis que votre amour est un crime.
SCENNE TROISIESME.	SCÈNE -TROISIÈME.
TARSIS, ſeul.	TARSIS, seul.
I’Eſt icy, malheureux Tarſis, que la honte & l’horreur t’accompagnent de tous coſtez.	J'Est ici, malheureux Tarsis, que la honte et l'horreur t'accompagnent de tous côtés.
Tu n'as regardé le throſne que pour eſtre miſerable, & tu n’as veu Berenice que pour eſtre criminel.	Tu n'as regardé le trône que pour être misérable, et tu n'as vu Berenice que pour être criminel.
Helas!	Hélas!
ie me conſolerois dans mon mal ſi i’aimois ſculement ſans eſpoir, mais enfin ma fortunc eſt telle que lors que i’aime ſans eſpoir, ie ne ſçaurois aimer ſans crime.	On me consolerais dans mon mal si j'aimais sculement sans espoir, mais enfin ma fortunc est telle que lors que j'aime sans espoir, je ne saurais aimer sans crime.
Eſpouuantable paſſion!	Espouvantable passion!
paſſion qui fait mon crime, & tout enſemble mon ſupplice, comme tu es à deteſter, dois-tu me rendre deteſtable!	passion qui fait mon crime, et tout ensemble mon supplice, comme tu es à détester, dois-tu me rendre détestable!
O Deſtins!	Ô Destins!
ô Dieux:	ô Dieux:
ô Nature!	ô Nature!
N’auiez vous mis tant de charmes ſur le viſage de Berenice, que pour en faire naiſtre vn monſtre en faiſant naiſtre mon amour.	N'aviez -vous mis tant de charmes sur le visage de Berenice, que pour en faire naître un m en faisant re un amour.
Mais dois-ie encore ſonger à l’amour, lors que ie penſe à Berenice, mais puis-ie ſonger à Berenice ſans me rendre encore à l’amour.	Mais dois-je encore songer à l'amour, lors que votre pense à Berenice, mais puis-je songer à Berenice sans me rendre encore à l'amour.
O ſentimens horribles!	Ô sentiments horribles!
ne ſortirez vous point de mon ame, mais comment en ſortiriez vous, ſi l’amour qui vous produit y demeure victorieux, & vous donne touſiours la naiſſance.	ne sortirez -vous point de mon âme, mais comment en sortiriez -vous, si l'amour qui vous produit y demeure victorieux, et vous donne toujours la naissance.
Mais dois-ie encore appeller amour cette effroyable paſſion;	Mais dois-je encore appeler amour cette effroyable passion;
Non, non, c’eſt vne nouuelle furie qui s’allume dans mon ſang, qui renuerſe la raiſon, qui eſpouuante la nature.	Non, non, c'est une nouvelle furie qui s'allume dans mon sang, qui renverse la raison, qui épouvante la nature.
Viens donc, viens donc à mon ſccours;	Viens donc, viens donc à mon scours;
O nature outragée par cette furie, & ſi tu nie peux en triompher, excite en moy ce deſordre qui me doit apporter la mort, afin d’eſtouffer cette furie ſous les ruines d’vn malheureux;	Ô nature outragée par cette furie, et si tu nie peux en triompher, excite en moi ce désordre qui me doit apporter la mort, afin d'étouffer cette furie sous les ruines d'un malheureux;
enfin ſi ie ne puis vaincre cette amour, que ie meure pour eſtre puny.	enfin si ici ne puis vaincre cette amour, que ie meure pour être puni.
Mais que veut Tirinte.	Mais que veut Tirinte.
SCENE QVATRIEME.	SCÈNE QUATRIÈME.
TIRINTE, TARSIS.	TIRINTE, TARSIS.
TARSIS.	TARSIS.
E bien, Tirinte, Criton a-il veu le Roy.	E bien, Tirinte, Criton a-il vu le Roi.
FI TIRINTE.	FI TIRINTE.
Non pas encore, & i’aiois att dettaſit die ity pour le preſſer de venir.	Non pas encore, et j'ai att dettasit die iti pour le presser de venir.
Ie n’ay iamais veule Roy dans vne ſi grande impatience.	Je n'ai jamais veule Roi dans une si grande impatience.
Il s’imagine que vous retenez Criton, & que vous l’inſtruiſez de ce qu’il doit faire.	Il s'imagine que vous retenez Criton, et que vous l'instruisez de ce qu'il doit faire.
L iij	 Lijà
TARSIS.	TARSIS.
Helas, Tirinte, ie n’ay plus rien à faire, & ie n’ay plus rien à dire:	Hélas, Tirinte, Elle n'ai plus rien à faire, et tu n'ai plus rien à dire:
Toutes mes eſperances ſont ruinées.	Toutes mes espérances sont ruinées.
TIRINTE.	TIRINTE.
Comment, Seigneur.	Comment, Seigneur.
THROTO.	THROTO.
Tu le ſçauras aſſez-toſt.	Tu le sauras assez-tôt.
TIRINTE.	TIRINTE.
Riaiolo poyuorcj quume cuno cetce gallerie, il vous a apperceu, Ilvlent a vous, & moy ie vay queli Cion.	Riailo poyuorcj quume cet homme gallérie, il vous a aperçu, Ilvlent à vous, et moi je vais queli Cion.
DELALENQVIESME LE ROY, TARSIS.	DELALENQUIESME LE ROY, TARSIS.
LE ROY.	LE ROY.
Eme ſemble que nes volontez vous deuroient LLeſtre plus cheres, & que quand ie mande Criton, vous ne deuez pas le retenir.	Eme semble que nés volontés vous devraient LLêtre plus chères, et que quand Elle mande Criton, vous ne devez pas le retenir.
Moy, Sire.	Moi, Sire.
TARSIS.	TARSIS.
LE ROY.	LE ROY.
Oüy, vous, & ie ne veux point douter que l’amour de Berenice ne vous mette bien toſt en eſtat de me déplaire.	Oui, vous, et ainsi ne veux point douter que l'amour de Berenice ne vous mette bien tôt en état de me déplaire.
TARSIS.	TARSIS.
Ie ne vous déplairay iamais par l’amour de Berenice, ieſçay le reſpect que ie vous dois, & ie ſçauray ſuiure laloy que m’impoſe ma naiſſance.	Je ne vous déplairai jamais par l'amour de Berenice, iesçay le respect que ie vous dois, et un sçauray suivre laloi que m'impose ma naissance.
LE ROY.	LE ROY.
Elle vous oblige à m’obeïr.	Elle vous oblige à m'obéir.
TARSIS.	TARSIS.
Elle i’oblige aplus chcore.	Elle j'oblige applus chcore.
LE ROY.	LE ROY.
Ie ne vous demande pas dauantage.	Je ne vous demande pas davantage.
TAR3T9.	TAR3T9.
Mais emii (oiey entoir acconpagné de ſes filles.	Mais emi (oiei entoir acconpagné de ses filles.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LE ROY, CRITON, TARSIS, DERENICE, TIRINTE, AMASIE.	LE ROY, CRITON, TARSIS, DERENICE, TIRINTE, AMASIE.
LE ROY.	LE ROY.
TRiton, vous auez ſçeu mes ſntelitionis, & mes volontez, ie ſuis maintenant en peine de voſtre reſponce.	TRiton, vous avez su mes sntelitionis, et mes volontés, toujours suis maintenant en peine de votre réponse.
CRITON.	CRITON.
Sire, elle donnera de l'eſtonnement à tous ceux qui l’entendront, & ie ne doute point qu’on ne me blaſme de refuſer les honneurs que voſtre Majeſté me preſente.	Sire, elle donnera de l'étonnement à tous ceux qui l'entendront, et notre ne doute point qu'on ne me blâme de refuser les honneurs que votre Majesté me présente.
LE ROY.	LE ROY.
Quoy!	Quoi!
vous eſtes encore dans la meſme reſolution, & mon alliance eſt vn blen quilie vous içauroit contenter.	vous êtes encore dans la même résolution, et mon alliance est un blen quilie vous içauroit contenter.
CRITON.	CRITON.
Comme ie ſuis indigne de cét honneur, le Ciel permet que ie le refuſe.	Comme ici suis indigne de cet honneur, le Ciel permet que je le refuse.
LE NOT.	LE NOT.
Puis que ie vous le preſente, vous deuez vous en croire digne.	Puis que je vous le présente, vous devez vous en croire digne.
CRITON.	CRITON.
Ha!	Ha!
Sire, mettez en oubly voſtre amour, & permettez que noſtre depart ſoit le remede de voſtre paſſion, quand vous ne verrez plus Berenice, vous cencren bienr tort de rapmeu On nous attend en Sicile, le Tyran eſt mort, noſtre pays nous appelle, & ic ne puis diſpoſer, ny de moy ny de mes enfans, puis que nous appartenons à noſtre patrie, qui nous demande & qui nous appelle.	Sire, mettez en oubli votre amour, et permettez que notre départ soit le remède de votre passion, quand vous ne verrez plus Berenice, vous cencren vous tort de rappmeu On nous attend en Sicile, le Tyran est mort, notre pays nous appelle, et ic ne puis disposer, ni de m ni de mes enfants, puis que nous appartenons à notre patrie, qui nous demande et qui nous appelle.
LE ROY.	LE ROY.
Ie voy bien ce que c’eſt, Criton, vous voulez que i’vſe de mon pouuoir, & que ie rauiſſe le bien que vous me deuriez accorder.	Je vois bien ce que c'est, Criton, vous voulez que j'une de mon pouvoir, et que ie rauisse le bien que vous me devriez accorder.
Hé bient il faut vous monſtrer que ie ſuis Roy.	Hé bient il faut vous montrer que je suis Roi.
CRI	CRI
CRITON.	CRITON.
Sire ce n’eſt pas par la violence que vous pouuez le témoigner.	Sire ce n'est pas par la violence que vous pouvez le témoigner.
LE ROY.	LE ROY.
Ce n’eſt pas faire violence à vn homme, que de luy faire de l’honneur.	Ce n'est pas faire violence à un homme, que de lui faire de l'honneur.
Quelles raiſons auez vous de merefuſei, Berenice?	Quelles raisons auez vous de mèrefusei, Berenice?
N’obligez-vous pas voſtre Patrie, en luy procurant par cette alliãce vn appuy comme le mien?	N'obligez-vous pas votre Patrie, en Elle procurant par cette alliance un appui comme le mien?
Si vous me conteſtez dauantage, ie ſçauray bien faire ſans vous, la gloire & la felicité de vos filles;	Si vous me contestez davantage, Seigneur saurai bien faire sans vous, la gloire et la félicité de vos filles;
vous oubliez en cette occaſion que vous eſtes Pere, & ie veux vous en faire ſouuenir.	vous oubliez en cette occasion que vous êtes Père, et personne veux vous en faire souvenir.
Tla, one.	Tla, one.
CRITON.	CRITON.
LE ROY.	LE ROY.
I’eſpouſeray Berenice, & mon Fils eſpouſera Amaſie.	J'épouserai Berenice, et mon Fils épousera Amasie.
C’éſt vne choſe reſoluë.	C'ést une chose résolue.
CRTTOIN.	CRTOIN.
Mais c’eſt vne choſe impoſſible, & la nature en eſt l’obſtacle, helas!	Mais c'est une chose impossible, et la nature en est l'obstacle, hélas!
LE ROY.	LE ROY.
Parlez Criton, qu’auez vous enfin à me dire?	Parlez Criton, qu'avez -vous enfin à me dire?
CRITON.	CRITON.
Ha!	Ha!
Sire, il faut que ie parle, & que ie deſcouure mon crime plûtoſt que d’en ſouffrir de plus grands.	Sire, il faut que ici parle, et que je découvre mon crime plutôt que d'en souffrir de plus grands.
Pardonnez à ce miſerable ce que vous en allez entendre.	Pardonnez à ce misérable ce que vous en allez entendre.
Vous voulez eſpouſer Berenice, & Berenice eſt voſtre fille.	Vous voulez épouser Berenice, et Berenice est votre fille.
.	.
.	.
.	.
.	.
.	.
.	.
.	.
.	.
4.	4.
.	.
.	.
LE ROY.	LE ROY.
berenice ma fiſle?	berenice ma fîle?
CRITON.	CRITON.
Ce n’eſt pas tout;	Ce n'est pas tout;
vous voulez que Tarſis eſpouſe Amaſie, & Tarſis eſt mon fils & frere d’Amaſie.	vous voulez que Tars épouse Amasie, et Tarsis est mon fils et frère d'Amasie.
LE ROY.	LE ROY.
