A MONSIEUR DE MOLIER Chef de la Trouppe des Comediens de Monſieur Frere Unique du Roy.	À MONSIEUR DE MOLIER Chef de la Troupe des Comédiens de Monsieur Frère Unique du Roi.
Comme les Vers de cette Scene donnent à l’auditeur un plaiſir extraordmane, il ne leroit pas juite de vous priver de ce contentement, c’eſt pourquoy en jettant les yeux ſur les lignes ſuivantes, vous pourrez reconnoiſtre que l’Autheur ſçait parfaitement bien conduire un equivoq;	Comme les Vers de cette Scène donnent à l'auditeur un plaisir extraordmane, il ne lerait pas juite de vous priver de ce contentement, c'est pourquoi en jetant les yeux sur les lignes suivantes, vous pourrez reconnaître que l'Auteur Sait parfaitement bien conduire un euquivoq;
SGANARELLE ſans voir Celie.	SGANARELLE sans voir Celie.
Ce n’eſt point s’expliquer en termes ambigus.	Ce n'est point s'exprimer en termes ambigus.
Cet eſtrange propos me rend auſſi confus, Que s’il m’eſtoit venu des cornes à la teſte.	Cet étrange propos me rend aussi confus, Que s'il m'était venu des cornes à la tête.
Il ſe tourne du coſté que Lelie s’en vint d’en aller.	Il se tourne du côté que Lélie s'en vint d'en aller.
Allez, ce procedé n’eſt point du tout honneſte.	Allez, ce procédé n'est point du tout honnête.
CELIE à part.	CELIE à part.
Quoy, Lelie a paru tout à l’heure à mes jeux, Qui pourroit me cacher ſon retour en ces lieux?	Quoi, Lélie a paru tout à l'heure à mes jeux, Qui pourrait me cacher son retour en ces lieux?
SGANARELLE pourſuit.	SGANARELLE poursuit.
O!	Ô!
trop heureux d’avoir une ſi belle femme, Malheureux bien plûtoſt de l’avoir cet infame.	trop heureux d'avoir une si belle femme, Malheureux bien plutôt de l'avoir cet infâme.
Celie approche peu à peu de luy, & attend que ſon tranſport ſoit finy pour luy parler.	Celie approche peu à peu de Seigneur, et attend que son transport soit fini pour lui parler.
Dont le coupable feu tropjbien verifié, Sans reſpect ny demy nous a cocufié;	Dont le coupable feu tropjbien vérifié, Sans respect ni cy nous a cocufié;
Mais je le laiſſe aller apres un tel indice, Et demeure les bras croiſez comme un locrice.	Mais je le laisse aller après un tel indice, Et demeure les bras croissez comme un locrice.
Ah!	Ah!
je devois du moins luy jetter ſon chapeau, Luy rüer quelque pierre, ou crotter ſon manteau, Et ſur luy hautement, pour contenter ma rage, Faire au l’honneur crier le voiſinage.	je devais du moins amour jeter son chapeau, Lui ruer quelque pierre, ou crotter son manteau, Et sur notre hautement, pour contenter ma rage, Faire au l'honneur crier le voisinage.
CELIE.	CELIE.
ceruy qui idaintenant devers vous en venu, Et qui vous a parlé, d’où vous eſt-il connu ?	celui qui idaintenant devers vous en venu, Et qui vous a parlé, d'où vous est-il connu ?
SGANARELLE.	SGANARELLE.
Helas!	Hélas!
ce n’eſt pas moy qui le connoy, Madame, C’eſt ma femme.	ce n'est pas moi qui le connais, Madame, C'est ma femme.
CELIE.	CELIE.
Quel trouble agite aiuſi voſtre ame?	Quel trouble agite aiusi votre âme?
SGANARELLE.	SGANARELLE.
Ne me condamnez point d’un deüil hors de ſaiſon, Et laiſſez-moy pouſſer des ſoûpirs à foiſon.	Ne me condamnez point d'un deuil hors de saison, Et laissez-moi pousser des soupirs à foison.
CELIE.	CELIE.
d’où vous peuvent venir ces douleurs non communes?	d'où vous peuvent venir ces douleurs non communes?
SGANARELLE.	SGANARELLE.
Si je ſuis afligé, ce n’eſt pas pour des prunes, Et je le donnerois à bien d’autre qu’à moy De ſe voir ſans chagrin au point où je me voy:	Si je suis affligé, ce n'est pas pour des prunes, Et je le donnerais à bien d'autre qu'à moi De se voir sans chagrin au point où je me vois:
Des maris mal-heureux vous voyes le modelle, On dérobe l’honneur au pauvre Sganarelle;	Des maris malheureux vous voyez le modèle, On dérobe l'honneur au pauvre Sanarelle;
Mais c’eſt peu que l’honneur dans mon affliction, l’On me dérobe encor la reputation.	Mais c'est peu que l'honneur dans mon affliction, l'On me dérobe encor la réputation.
Comment ?	Comment ?
CELIE.	CELIE.
SGANARELLE.	SGANARELLE.
Ce Damoiſeau parlant par reverençe, Me fait cocu, Madame, avec toute licence, Et j’ay ſçeu par mes yeux averer aujourd’huy Le commerce ſecret de ma femme & de luy.	Ce Damoiseau parlant par reverençe, Me fait cocu, Madame, avec toute licence, Et j'ai su par mes yeux avérer aujourd'hui Le commerce secret de ma femme et de lui.
CELIE.	CELIE.
Celuy qui maintenant.	Celui qui maintenant.
SGANARELLE.	SGANARELLE.
Ouy, ouy, me dechonore, I adore ma femme, & ma femme l’adore,	Oui, oui, me déchonore, I adore ma femme, et ma femme l'adore,
CELIE.	CELIE.
Ah!	Ah!
j’avois bien jugé que ce ſecret rotour Ne pouvoit me courir que quelque lâche toura Et j’ay tremblé d’abord en le voyant pareſtre Par un preſſentiment de ce qui devoit eſtre.	j'avais bien jugé que ce secret rotour Ne pouvait me courir que quelque lâche toura Et j'ai tremblé d'abord en le voyant paraître Par un pressentiment de ce qui devait être.
SGANARELLE.	SGANARELLE.
Vous prenez ma deffence avec trop de bonté, Tout le monde n’a pas la méme charité, Et pluſieurs qui tantoſt ont appris mon martire, Bien loin d’y prendre part, n’en ont rien fait que rire.	Vous prenez ma défense avec trop de bonté, Tout le monde n'a pas la même charité, Et plusieurs qui tantôt ont appris mon martyre, Bien loin d'y prendre part, n'en ont rien fait que rire.
CELIE.	CELIE.
Eſt-il rien de plus noir que ta laſche action ?	Est-il rien de plus noir que ta lâche action ?
Et peut-on luy trouver une punition?	Et peut-on rien trouver une punition?
Dois-tu ne te pas croire itaigné de la vie Apres t’eſtre ſoüillé de cette perfidie?	Dois-tu ne te pas croire itaigné de la vie Après t'être soüillé de cette perfidie?
O Ciell eſt-il poſſible ?	Ô Ciell est-il possible ?
SGANARELLE.	SGANARELLE.
Il eſt trop vray pour moy.	Il est trop vrai pour moi.
CAETE.	CATE.
Ah!	Ah!
traiſtre, ſcelerat, ame double & ſans foy.	traître, scélérat, âme double et sans foi.
SGANARELLE.	SGANARELLE.
La bonne ame.	La bonne âme.
CELIE.	CELIE.
Non, non, l’enfer n’a point de geſno Qui ne ſoit pour ton crime une trop douce peine.	Non, non, l'enfer n'a point de gêno Qui ne soit pour ton crime une trop douce peine.
OGANARELEE.	OGANARELE.
Que voilà bien parler.	Que voilà bien parler.
CELIE.	CELIE.
Avoir ainſi traitté, Et la meſme innocence, & la meſme bonté.	Avoir ainsi traité, Et la même innocence, et la même bonté.
Hay!	Hais!
SGANARELLE ſouſpire haut.	SGANARELLE soupire haut.
CELIE.	CELIE.
Un cœur qui jamais n’a fait la moindre choſe, A merité l’affront où ton mépris l’expoſe.	Un cœur qui jamais n'a fait la moindre chose, À mérité l'affront où ton mépris l'expose.
Il eſt vray.	Il est vrai.
SGANARELLE.	SGANARELLE.
CELIE.	CELIE.
Qui bien loin, mais c’eſt trop, & ce cœur Ne ſçaurcit y ſonger ſanp mourir ut uomonnt	Qui bien loin, mais c'est trop, et ce cœur Ne saurcit y songer sanp mourir ut uomonnt
SGANARELLE.	SGANARELLE.
Ne vous fâchez pas tant ma tres-chere, Madame, Mon mal vous touche trop & vous me percez l’ame.	Ne vous fâchez pas tant ma très-chère, Madame, Mon mal vous touche trop et vous me percez l'âme.
CELIE.	CELIE.
Mais ne t’abuſe pas juſqu’à te figurer, Qu'à des plaintes ſans fruit j’en vueille demeurer, Mon cœur pour ſe vanger ſçait ce qu’il te faut faire, Et j’y cours de ce pas, rien ne m’en peut diſtraire.	Mais ne t'abuse pas jusqu'à te figurer, Qu'à des plaintes sans fruit j'en veuille demeurer, Mon cœur pour se venger sçait ce qu'il te faut faire, Et j'y cours de ce pas, rien ne m'en peut distraire.
SCENE XVII.	SCÈNE XVII.
SGANARELLE ſeul.	SGANARELLE seul.
II j’avois tantoſt beſoin de ces excellens Peintres;	II j'avais tantôt besoin de ces excellents Peintres;
O que je vous ay nommez pour vous dépeindre le viſage de Sganarelle, j’aurois maintenant beſoin & de leur pinceau, & de la plume des plus excellens Orateurs pour vous décrire cette Scene.	Ô que je vous ai nommez pour vous dépeindre le visage de Séanarelle, j'aurais maintenant besoin et de leur pinceau, et de la plume des plus excellents Orateurs pour vous décrire cette Scène.
Jamais il ne ſe vit rien de plus beau, jamais rien de mieux joüé, & jamais Vers ne furent ſi generalement eſtimez.	Jamais il ne se vit rien de plus beau, jamais rien de mieux joué, et jamais Vers ne furent si généralement estimez.
Sganarelle jouë ſeul cette Scene repaſſant dans ſon eſprit tout ce que l’on peur dire d’un Cocu, & les raiſons, pour leſquelles il ne s’en doit pas mettre en peine, s’en démeſle ſi-bien, que ſon raiſonnement pourroit en un beſoin confoler ceux qui ſont de ce nombre.	Sanarelle joue seul cette Scène repassant dans son esprit tout ce que l'on peur dire d'un Cocu, et les raisons, pour lesquelles il ne s'en doit pas mettre en peine, s'en démêle si-bien, que son raisonnement pourrait en un besoin consoler ceux qui sont de ce nombre.
urousenroje reorers de cede oeene pain que ſi vous connoiſſez quelqu’un à voſtre pays qui ſoit de la Confrairie dont Sganarelle le croit eſtre:	urousenroje réporers de cède oeène pain que si vous connaissez quelqu'un à votre pays qui soit de la Confrairie dont Sganarelle le croit être:
vous le puiſſiez par là retirer de la melancolie, où il penſoit eſtre plongé.	vous le puissiez par là retirer de la mélancolie, où il pensait être plongé.
SGANARELLE ſeul.	SGANARELLE seul.
Que le Ciel la preſerve à jamais de danger, Voyez quelle bonté de vouloir me vanger, En effet ſon couroux qu’excite ma diſgrace, M’enſeigne hautement ce qu’il faut que je faſſe, Et l’on ne doit jamais ſouffrir ſans dire mot De ſemblables affronts, a moins qu’eſtre un vray ſot.	Que le Ciel la preserve à jamais de danger, Voyez quelle bonté de vouloir me venger, En effet son courroux qu'excite ma disgrâce, M'enseigne hautement ce qu'il faut que je fasse, Et l'on ne doit jamais souffrir sans dire mot De semblables affronts, a moins qu'être un vrai sot.
Courons donc le chercher cependant qui m’affronte, Montrons noſtre courage à vanger nôtre honte;	Courons donc le chercher cependant qui m'affronte, Montrons notre courage à venger notre honte;
Vous apprendrez marouflé à rire à nos dépens Et ſans aucun reſpect faire cocu les gens,	Vous apprendrez maroufflé à rire à nos dépens Et sans aucun respect faire cocu les gens,
Il ſe retourne ayant fait trois ou quatre pas.	Il se retourne ayant fait trois ou quatre pas.
Doucement s’il vous plaiſt, cét homme a bien la mine d’Avoir le ſang boüillant, & l’ame un peu mutine, Il pourroit bien mettant affront deſſus affront Charger de bois mon dos, comme il a fait mon front;	Doucement s'il vous plaît, cet homme a bien la mine d'Avoir le sang bouillant, et l'âme un peu mutine, Il pourrait bien mettant affront dessus affront Charger de bois mon dos, comme il a fait mon front;
Je hay de tout mon cœur les eſprits coleriques, Et porte grand amour aux hommes pacifiques:	Je hai de tout mon cœur les esprits colériques, Et porte grand amour aux hommes pacifiques:
Je ne ſuis point battant de peur d’eſtre battu, Et l’honneur debonnaire eſt ma grande vertu;	Je ne suis point battant de peur d'être battu, Et l'honneur débonnaire est ma grande vertu;
Mais mon honneur me dit que d’une telle offence Il faut abſolument que je prenne vengeance.	Mais mon honneur me dit que d'une telle offense Il faut absolument que je prenne vengeance.
Ma foy laiſſons-le dire autant qu’il luy plaira, Au diantre qui pourtant rien du tout en fera, Quãd j’auray fait le brave, & qu’un fer pour ma peine M’aura d’un vilain coup tranſpercé la bedaine, Que par la ville ira le bruit de mon treſpas, Dites-moy mon honneur en ſerez-vous plus gras?	Ma foi laissons-le dire autant qu'il lui plaira, Au diantre qui pourtant rien du tout en fera, Quand j'aurai fait le brave, et qu'un fer pour ma peine M'aura d'un vilain coup transpercé la bedaine, Que par la ville ira le bruit de mon trépas, Dites-moi mon honneur en serez-vous plus gras?
La bierre eſt un ſejour par trop melancolique, Et trop mal ſein pour ceux qui craignent la colique, Et quant à moy je trouve ayant tout compaſſé, Qu’il vaut mieux eſtre encor Cocu que trepaſſe:	La bierre est un séjour par trop mélancolique, Et trop mal sein pour ceux qui craignent la colique, Et quant à moi je trouve ayant tout compassé, Qu'il vaut mieux être encor Cocu que trepasse:
Quel mal cela fait-il?	Quel mal cela fait-il?
la jambe en devient-elle Plus tortuë apres tout, & la taille moins belle;	la jambe en devient-elle Plus tortue après tout, et la taille moins belle;
Peſte ſoit qui premier trouva l’invention, De s’affliger l’eſprit de cette viſion, Et d’attacher l’honneur de l’homme le plus ſage, Aux choſes que peut faire une femme volage.	Peste soit qui premier trouva l'invention, De s'affliger l'esprit de cette vision, Et d'attacher l'honneur de l'homme le plus sage, Aux choses que peut faire une femme volage.
Puis qu’on tient à bon droit tout crime perſonnel, Que fait là noſtre honneur pour eſtre criminel, Des actions d’autruy l’on nous donne le blâme;	Puis qu'on tient à bon droit tout crime personnel, Que fait là nôtre honneur pour être criminel, Des actions d'autrui l'on nous donne le blâme;
Si nos femmes ſans nous ont un commerce infame, Il faut que tout le mal tombe ſur noſtre dos, Elles font la ſottiſe, & nous ſommes les ſots, C’eſt un vilain abus, & les gens de police Nous devroient bien regler une telle injuſtice, N’avons-nous pas aſſez des autres accidents?	Si nos femmes sans nous ont un commerce infâme, Il faut que tout le mal tombe sur notre dos, Elles font la sottise, et nous sommes les sots, C'est un vil abus, et les gens de police Nous devraient bien régler une telle injustice, N'avons-nous pas assez des autres accidents?
Qui nous viennent happer en dépit de nos dents, Les querelles, procez, faim, ſoif & maladie, Troublent-ils pas aſſez le repos de la vie?	Qui nous viennent happer en dépit de nos dents, Les querelles, procès, faim, soif et maladie, Troublent-ils pas assez le repos de la vie?
Saus s’aller de ſurcroiſt aviſer ſottement De ſe faire un chagrin qui n’a nul fondement, Mocquons-nous de cela, meſpriſons les allarmes, Et mettons ſour nos pieds les ſouſpirs & les larmes:	Saus s'aller de surcroît aviser sottement De se faire un chagrin qui n'a nul fondement, Mocquons-nous de cela, méprisons les alarmes, Et mettons sour nos pieds les soupirs et les larmes:
Si ma femme a failly, qu'elle pleure bien fort;	Si ma femme a failli, qu'elle pleure bien fort;
Mais pourquoy moy pleurer, puiſq;	Mais pourquoi moi pleurer, puisque;
je n’ay point tort, En tout cas ce qui peut m’oſter ma faſcherie, C’eſt que je ne ſuis pas ſeul de ma Confrairie, Voir cajoller ſa femme & n’en témoigner rien, Se pratique aujourd’huy par force gens de bien;	je n'ai point tort, En tout cas ce qui peut m'ôter ma fâcherie, C'est que je ne suis pas seul de ma Confrairie, Voir cajoler sa femme et n'en témoigner rien, Se pratique aujourd'hui par force gens de bien;
N’allons donc point chercher à faire une querelle, Pour un affront qui n’eſt que pure bagatelle, l’On m’appellera ſot de ne me vanger pas;	N'allons donc point chercher à faire une querelle, Pour un affront qui n'est que pure bagatelle, l'On m'appellera sot de ne me venger pas;
Mais je le ſerois fort de courir au trépas,	Mais je le serais fort de courir au trépas,
Mettant la main ſur ſon eſtomach.	Mettant la main sur son estomac.
Je me ſens là pourtant remüer une bile, Qui veut me conſeiller quelque action virile, Ouy, le courroux me prend, c’eſt trop eſtre poltron, Je veux reſolument me vanger du Larron, Deſia pour commencer dans l’ardeur qui m’enflâme, Je vay dire par tout qu’il couche avec ma femme.	Je me sens là pourtant remuer une bile, Qui veut me conseiller quelque action virile, Oui, le courroux me prend, c'est trop ré poltron, Je veux résolument me venger du Larron, Désia pour commencer dans l'ardeur qui m'enflamme, Je vais dire par tout qu'il couche avec ma femme.
Advoüez-moy maintenant la verité, eſt-il pas vray, Monſieur, que vous avez trouvé ces vers tout à fait beaux, que vous ne vous eſtes pû empeſcher de les relire encore une fois, & que vous demeurez d’accord que Paris a eu raiſon de nommer cette Scene la belle Scene.	Advoüez-moi maintenant la vérité, est-il pas vrai, Monsieur, que vous avez trouvé ces vers tout à fait beaux, que vous ne vous êtes pu empêcher de les relire encore une fois, et que vous demeurez d'accord que Paris a eu raison de nommer cette Scène la belle Scène.
SCENE XVIII.	SCÈNE XVIII.
GORGIBUS, CELIE, la SUIVANTE.	GORGIBUS, CÉLIE, la SUIVANTE.
N Elie n’ayant point trouvé de moyen plus proO pre pour punir ſon amant, que d’épouſer Valere, dit à ſon Pere, qu’elle eſt preſte de ſuivre en tout ſes volontez, dequoy le bon Vieillard témoigne eſtre beaucoup ſatisfait, comme vous pouvez voir par ces vers.	 Elie n'ayant point trouvé de moyen plus proO que d' épouser son amant, dit à son Père, dit à son Père, qu'elle est prête de suivre en tout ses volontés, dequoy le bon Vieillard témoigne être beaucoup satisfait, comme vous pouvez voir par ces vers.
CELIE.	CELIE.
Ouy, je veux bien ſubir une ſi juſte loy.	Oui, je veux bien subir une si juste loi.
Mon pere diſpoſez de mes vœux, & de moy,	Mon père disposez de mes vœux, et de moi,
FaiFaites quand vous voudrez ſigner cét himenée, A ſuivre mon devoir je ſuis determinée:	FaiFaites quand vous voudrez signer cet hyménée, A suivre mon devoir je suis déterminée:
Je pretends gourmander mes propres ſentimens, Et me ſoûmettre en tout à vos commandemens.	Je prétends gourmander mes propres sentiments, Et me soumettre en tout à vos commandements.
GORGIBUS.	GORGIBUS.
Ah!	Ah!
voilà qui me plaiſt de parler de la ſorte.	voilà qui me plaît de parler de la sorte.
Parbleu ſi grande joye à l’heure me tranſporte, Que mes jambes ſur l’heure en cabrioleroient, Si nous n’eſtions point veus de gens qui s’en riroient, Approche-toy de moy, viens-ça que je t’embraſſe, Une belle action n’a pas mauvaiſegrace, Un pere quand il veut peut ſa fille baiſer, Sans que l’on ait ſujet de s’en ſcandaliſer.	Parbleu si grande joie à l'heure me transporte, Que mes jambes sur l'heure en cabrioleraient, Si nous n'étions point vus de gens qui s'en riraient, Approche-toi de moi, viens-ça que je t'embrasse, Une belle action n'a pas mauvaiségrace, Un père quand il veut peut sa fille baiser, Sans que l'on ait sujet de s'en scandaliser.
va, le contentement de te von neoiennee Me fera rajeunir de dix fois une année.	va, le contentement de te von neoiennee Me fera rajeunir de dix fois une année.
SCENE XIX.	SCÈNE XIX.
CELIE, LA SUIVANTE.	CELIE, LA SUIVANTE.
Ous pourrez dans ies emq vers qui ſuivent apV prendre tout le ſujet de cette Scene.	Ous pourrez dans jes emq vers qui suivent apU prendre tout le sujet de cette Scène.
LA SUIVANTE.	LA SUIVANTE.
Ce changement m’eſtonne.	Ce changement m'étonne.
CELIE.	CELIE.
Et lors que tu ſçauras Par quel motif j’agis, tu m’en eſtimeras.	Et lors que tu sauras Par quel motif j'agis, tu m'en estimeras.
LA SUIVANTE.	LA SUIVANTE.
Cela pourroit bien eſtre.	Cela pourrait bien être.
CELIE.	CELIE.
Apprendadone que nelie A pu bleſſer mon cœur par une perfidie, Qu’il eſtoit en ces lieux ſans.	Apprendadone que nélie A pu blesser mon cœur par une perfidie, Qu'il était en ces lieux sans.
LA SUIVANTE.	LA SUIVANTE.
Mais il vient à hous.	Mais il vient à hous.
SCENE XX.	SCÈNE XX.
CELIE, LELIE, LA SUIVANTE.	CELIE, LELIE, LA SUIVANTE.
Ans cette Scene Lelie qui avoit fait deſſein de Ds’en retourner, vient trouver Celie pour luy dire un un eternel adieu, & ſe plaindre de ſon infidelité, dans la penſée qu’il a, qu’elle eſt mariée à Sganarelle, lors que Celie, qui croit avoir plus de lieu de ſe plaindre que luy, luy reproche de ſon coſté ſa perfidie, ce qui ne donne pas un mediocre contentement à l’Auditeur, qui connoiſt l’innocence de l’un & de l’autre, & comme vous la connomez aum je croy que ces Vers vous pourront divertir.	Ans cette Scène Lélie qui avait fait dessein de Ds'en retourner, vient trouver Célie pour venir dire un un éternel adieu, et se plaindre de son infidélité, dans la pensée qu'il a, qu'elle est mariée à Séganarelle, lors que Celie, qui croit avoir plus de lieu de se plaindre que lui, ces reproche de son côté sa perfidie, ce qui ne donne pas un médiocre contentement à l'Auditeur, qui connaît l'innocence de l'un et de l'autre, et comme vous la conné aum je croy que ces Vers vous pourront divertir.
LELIE.	LELIE.
Avant que pour jamais je m’éloigne de vous, Je veux vous reprocher au moins en cette place.	Avant que pour jamais je m'éloigne de vous, Je veux vous reprocher au moins en cette place.
CELIE.	CELIE.
Quoy, me parler encor, avez-vous cette audace?	Quoi, me parler encor, avez-vous cette audace?
LELIE.	LELIE.
Il eſt vray qu’elle eſt grande & voſtre choix eſt tel Qu’à vous rien reprocher je ſerois criminel, Vivez, vivez contente, & bravez ma memoire ilrec le digne époux qui vous comble de gloire.	Il est vrai qu'elle est grande et votre choix est tel Qu'à vous rien reprocher je serais criminel, Vivez, vivez contente, et bravez ma mémoire ilrec le digne époux qui vous comble de gloire.
CELIE.	CELIE.
Ouy, traiſtie, j'y veux vivie, & mon plus grand deſir Ce ſeroit que ton cœur en euſt du déplaiſir.	Oui, traîtie, j'y veux vivie, et mon plus grand désir Ce serait que ton cœur en eût du déplaisir.
LELIE.	LELIE.
Qui rends donc contre moy ce couroux legitime.	Qui rends donc contre moi ce courroux légitime.
CELIE.	CELIE.
Quoy tu fais le ſurpris & demande ton crime?	Quoi tu fais le surpris et demande ton crime?
SCENE XXI.	SCÈNE XXI.
CELIE, LELIE, SGANARELLE,	CELIE, LELIE, SGANARELLE,
LA SUIVANTE.	LA SUIVANTE.
Ganarelle, qui comme vous avez veu dans la fin O de la belle Scene (puis qu’elle n’a point à preſent d’autre nom dans Paris) a pris reſolution de ſe vanger de Lelie, vient pour cét effet dans cette Scene, armé de toutes pieçes:	Ganarelle, qui comme vous avez vu dans la fin Ô de la belle Scène (puis qu'elle n'a point à présent d'autre nom dans Paris) a pris résolution de se venger de Lélie, vient pour cet effet dans cette Scène, armé de toutes pieçes:
& comme il ne l’apperçoit pas d’abord, il ne luy promet pas moins que la mort dés qu’il le recontrera.	et comme il ne l'aperçoit pas d'abord, il ne lui promet pas moins que la mort dès qu'il le recontrera.
Mais comme il eſt de ceux qui n’exterminent leurs ennemis que quand ils ſont abſens, auſſi-toſt qu’il apperçoit Lelie, bien loin de luy paſſer l’eſpëe aù travers du corps, il ne luy fait que des reverences & puis ſe retirant à cartier, il s’excite à faire quelq;	Mais comme il est de ceux qui n'exterminent leurs ennemis que quand ils sont absents, aussitôt qu'il aperçoit Lélie, bien loin de même passer l'épée aù travers du corps, il ne lui fait que des révérences et puis se retirant à cartier, il s'excite à faire quelq;
effort genereux, & à le tüer par derriere:	effort généreux, et à le tuer par derrière:
& ſe mettant apres en colere contre luy-meſme de ce que ſa poltronnerie ne luy permet pas ſeulement de le regarder entre deux yeux, il ſe punit luymeſme de ſa laſcheté, par les coups & les ſoufflets qu’il ſe donne, & l’on peut dire, que quoy que bien ſouvẽt l’on ait veu des Scenes ſemblables, Sganarelle ſçait ſi bien animer cette action, qu’elle paroiſt nouvelle au theatre.	et se mettant après en colère contre autre-même de ce que sa poltronnerie ne lui permet pas seulement de le regarder entre deux yeux, il se punit luymesme de sa lâcheté, par les coups et les soufflets qu'il se donne, et l'on peut dire, que quoi que bien souvent l'on ait vu des Scenes semblables, Sénarelle sait si bien animer cette action, qu'elle paraît nouvelle au théâtre.
Cependant que Sganarelle ſe tourmente ainſi luy-meſme, Celie & ſon Amant n’ont pas moins d’inquietude que luy, & ne ſe reprochent que par des regards enflammez de courroux, leur infidelité imaginaire, la colere quand elle eſt montée juſqu’à l’excez, ne nous laiſſant pour l’ordinaire que Ie pouvoir de dire peu de paroles.	Cependant que Séanarelle se tourmente ainsi ex-même, Celie et son Amant n'ont pas moins d'inquiétude que mille, et ne se reprochent que par des regards enflammés de courroux, leur infidélité imaginaire, la colère quand elle est montée jusqu'à l'excès, ne nous laissant pour l'ordinaire que Je pouvoir de dire peu de paroles.
Celie eſt la premiere qui à la veuë de Sganarelle, dit à ſon Amant, de jetter les yeux ſur luy, & qu’il verra dequoy le faire reſſouve nir de ſon crime;	Celie est la première qui à la vue de Séganarelle, dit à son Amant, de jeter les yeux sur lui, et qu'il verra dequoy le faire ressouve nir de son crime;
mais comment y trouveroit-il dequoy le confondre, puiſque c’eſt par là qu’il pretend la confondre elle-meſme.	mais comment y trouverait-il dequoy le confondre, puisque c'est par là qu'il prétend la confondre elle-même.
Il ſe paſſe encore quantité de choſes dans cette Scene qui confirment les ſoupçons de l’un & de l’autre;	Il se passe encore quantité de choses dans cette Scène qui confirment les soupçons de l'un et de l'autre;
mais de peur de vous ennuyer trop long-temps par ma proſe j’ay recours aux vers que voicy, pour vous les expliquer.	mais de peur de vous ennuyer trop longtemps par ma prose j'ai recours aux vers que voici, pour vous les expliquer.
SGANARELLE entre armé.	SGANARELLE entre armé.
Guerre, guerre mortelle à ce larron d’honneur, Qui ſans miſericorde à louſſe notre nonneur.	Guère, guerre mortelle à ce larron d'honneur, Qui sans miséricorde à lousse notre nonneur.
CELIE à Lelie.	CELIE à Lélie.
Tourne, tourne les yeux ſans me faire répondre.	Tourne, tourne les yeux sans me faire répondre.
Ah!	Ah!
je voy.	je vois.
LELIE.	LELIE.
CELIE.	CELIE.
Cet obiet ſuffit pour te confondre.	Cet objet suffit pour te confondre.
LELIE.	LELIE.
Maïs pour vous obliger bien pluſtoſt à rougir.	Maïs pour vous obliger bien plustost à rougir.
SGANARELLE.	SGANARELLE.
Ma colere à preſent eſt en eſtat d’agir, Deſſus ſes grands chevaux eſt monté mon courage, Et ſi je le rencontre on verra du carnage, Ouy Ouy j’ay juré ſa mort, rien ne peut l’empécher, Où je le trouveray, je le veux dépeſcher, Au beau milieu du cœur il faut que je luy donne.	Ma colère à présent est en état d'agir, Dessus ses grands chevaux est monté mon courage, Et si je le rencontre on verra du carnage, Ou y j'ai juré sa mort, rien ne peut l'empêcher, Où je le trouverai, je le veux dépêcher, Au beau milieu du cœur il faut que je lui donne.
LELIE.	LELIE.
A qui donc en veut-on?	À qui donc en veut-on?
DOANARELLE.	DOANARELLE.
Je n’en veux à perſonne.	Je n'en veux à personne.
LE LIE.	LE LIE.
Pourquoy ces armes là?	Pourquoi ces armes -là?
SGANARELLE.	SGANARELLE.
C’eſt un habillement, Que j’ay pris pour la pluye.	C'est un habillement, Que j'ai pris pour la pluie.
a part.	à part.
Ah!	Ah!
quel contentement J’aurois à le tuer, prenons-en le courage.	quel contentement J'aurais à le tuer, prenons-en le courage.
Hay!	Hais!
LELIE.	LELIE.
SGANARELLE ſe dennant des coups de poings ſur l’eſtomach & des ſoufJieis pour s'exciier.	SGANARELLE se dennant des coups de poings sur l'estomac , et des souffieis pour s'excière.
à part.	à part.
Je ne parle pas.	Je ne parle pas.
Ah!	Ah!
poltron dont j’enrage, Laſche, vray cœur de poule.	poltron dont j'enrage, Lâche, vrai cœur de poule.
CELIE.	CELIE.
Il t’en doit dire aſſez, Cct onjeet dont tes yeux nous paronſent bleſſez.	Il t'en doit dire assez, Cct onjeet dont tes yeux nous paronsent blessés.
LELIE.	LELIE.
Ouy je connoy par la que vous eſtes coupable De l’infidelité la plus inexcuſable, Qui jamais d’un amant puiſſe outrager la foy.	Oui je connais par la que vous êtes coupable De l'infidélité la plus inexcusable, Qui jamais d'un amant puisse outrager la foi.
SGANARELLE à part.	SGANARELLE à part.
Que n’ay-je un peu de cœur!	Que n'ai-je un peu de cœur!
CELIE.	CELIE.
Ah!	Ah!
ceſſe devant moy Traiſtre, de ce diſcours l’inſolence cruelle.	cesse devant moi Traître, de ce discours l'insolence cruelle.
SGANARELLE.	SGANARELLE.
Sganarelle, tu vois quelle prend ta querelle, Courage mon enfant, ſois un peu vigoureux, Là, hardy, tache à faire un effort genereux, En le tüant, tandis qu’il tourne le derriere.	Séganarelle, tu vois quelle prend ta querelle, Courage mon enfant, sois un peu vigoureux, Là, hardi, tache à faire un effort généreux, En le tuerant, tandis qu'il tourne le derrière.
LE.	LE.
LELIE faiſant deux ou trois pas ſans deſſein, fait retourner Sganarelle qui s’approchoit pour le tuër.	LELIE faisant deux ou trois pas sans dessein, fait retourner Séganarelle qui s'approchait pour le tuer.
