A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
Le Prevôt.	Le Prévôt.
Ly a tantôt trois heures que je trote à Ibeau pied ſans lance, pour découvrir enquel canton de la Ville ſont certains égrillards de Bœſmiens coupeurs de bource & de pendans qui ſont venus ſans mander, hier ou devant hier que je n’en mente, mais je les empêcheray bien de s’en retourner ſans dire adieu:	Ly a tantôt trois heures que je trote à Ibeau pied sans lance, pour découvrir enquel canton de la Ville sont certains égrillards de Bœsmiens coupeurs de bource et de pendants qui sont venus sans mander, hier ou devant hier que je n'en mente, mais je les empêcherai bien de s'en retourner sans dire adieu:
car je ſuis chargé de les atraper, où je ne pouray, je veux leur faire manger des poires d’angoiſſes, & leur faire voir qu’il vaut mieux tendre ſa main que le col, ils ſçauront en peu de temps combien en vaut l’aûne, où ces gueux la ont mis les pates ils n’ont laiſſé que frire, ils ont mis au net un pauvre Prêtre, qui n’avoit pas grand argent cathe, muis ipea qu’il en avoit ils l’ont eſcamoté, agriffé avec leurs argots de chapons:	car je suis chargé de les atraper, où je ne pourrai, je veux leur faire manger des poires d'angoisses, et leur faire voir qu'il vaut mieux tendre sa main que le col, ils sauront en peu de temps combien en vaut l'aûne, où ces gueux la ont mis les pates ils n'ont laissé que frire, ils ont mis au net un pauvre Prêtre, qui n'avait pas grand argent cathe, muis ipea qu'il en avoit ils l'ont écoté, agriffé avec leurs argots de chapons:
Bref ils font merveilles des pieds de derriere, & chef d’œuvre de leurs mains.	Bref ils font merveilles des pieds de derrière, et chef d'œuvre de leurs mains.
Par tout où ils paſſent ils font le partage de cormery, tout d’un côté & rien de l’autre, ce ſont des Marchands à tout prendre, qui n’oublieront jamais leurs mains, ſi je les puis tenir je les metray à telle leſſive qu’ils voudroient avoir eſté endormis pour quinze jours, ſi j’y faux croix de paille, ils feront les cabriolles en l’air, ou les bras de mes Archers leur vaudront au beſoin;	Par tout où ils passent ils font le partage de cormery, tout d'un côte et rien de l'autre, ce sont des Marchands à tout prendre, qui n'oublieront jamais leurs mains, si je les puis tenir je les mettrai à telle lessive qu'ils voudraient avoir été endormis pour quinze jours, si j'y faux crois de paille, ils feront les cabriolles en l'air, ou les bras de mes Archers leur vaudront au besoin;
il faut que j’attende la nuit pour les ſurprendre lors qu’ils y ſongeront le moins, comme Renards à la tâniere;	il faut que j'attende la nuit pour les surprendre lors qu'ils y songeront le moins, comme Renards à la tâniere;
on m’a dit qu’ils étoient fourez où le bout de la ruë fait le con, ia Cune comnence à monrer ſes cornes, c’eſt pourquoy mes Archers petillent d’impatience d’aller plumer l’Oiſon.	on m'a dit qu'ils étaient fourez où le bout de la rue fait le con, ja Cune comnence à monrer ses cornes, c'est pourquoi mes Archers pétillent d'impatience d'aller plumer l'Oison.
Le premier Archer.	Le premier Archer.
Boutteville aura ſa revanche, nos Gentils hommes à la courte épée trouveront tantôt.	Boutteville aura sa revanche, nos Gentils hommes à la courte épée trouveront tantôt.
Le ſecond Archer.	Le second Archer.
Mais que nous les tenſons pleds & mains liez, nous les traiterons en chiens courtaux, & s’il en arrive faute prenez vous en à moy.	Mais que nous les tensons pleds et mains liés, nous les traiterons en chiens courtaux, et s'il en arrive faute prenez vous en à moi.
Le Prevôt.	Le Prévôt.
Alons faire éguiſer nos coûteaux.	Alons faire éguiser nos coûteaux.
SCENE V.	SCÈNE V.
Fierabras, Les Muſiciens, Philippin, Alaigre le Prevôt, deux Archers & Lidias.	Fierabras, Les Musiciens, Philippin, Alaigre le Prévôt, deux Archers et Lidias.
Fierabras.	Fierabras.
Es amoureux ont toûjours un œil aux L champs & l’autre à la ville Pour moy je ne ſçay plus ſur quel pied dancer, ny à quel ſaint me vouer, ny de quel bois faire Flêche.	Es amoureux ont toujours un œil aux champs et l'autre à la ville Pour moi je ne sais plus sur quel pied dancer, ni à quel saint me vouer, ni de quel bois faire Flèche.
Depuis la veuë de cette petite Egiptienne, pour qui mes ſoupirs ſortent plus vîte qu’un tonnerre, car quand je remâche les réponces dont elle ma traité, je les trouves ſi aigres que ne les puis avaller.	Depuis la vue de cette petite Égiptienne, pour qui mes soupirs sortent plus vite qu'un tonnerre, car quand je remâche les réponces dont elle ma traité, je les trouves si aigres que ne les puis avaller.
Je ne ſçay à qu’elle ſçauſe marger ce poiſſon, ſi ce n’eût été de la crainte qu’elle avoit que ces maraux ne fuſſent jaloux, & n’euſſe peur que je leur coupaſſe l’herbe ſous le pied, car autrement elle m’eût embraſſé la cuiſſe, pour me témoigner moitié figues, moitié raiſins, que de bon, ou de vollée, ribon, ribaine qu’elle ſe fût ſentie plus heureuſe, que de poſſeder tous les Monarques de I’Univers, d’être plantée ſi avant dans le baſtion de mon cœur;	Je ne sais à qu'elle sçause marger ce poisson, si ce n'eût été de la crainte qu'elle avait que ces maraux ne fussent jaloux, et n'eusse peur que je leur coupasse l'herbe sous le pied, car autrement elle m'eût embrassé la cuisse, pour me témoigner moitié figues, moitié raisins, que de bon, ou de volée, ribon, ribaine qu'elle se fût sentie plus heureuse, que de posséder tous les Monarques de J'Univers, d'être plantée si avant dans le bastion de mon cœur;
il faut quoy qu’il puiſſe arriver, que ie luy faſſe ententendre ce que j’ay fait à ſa loüange, mais amis alte, c’eſt icy où il faut triompher.	il faut quoi qu'il puisse arriver, que sans lui fasse ententendre ce que j'ai fait à sa louange, mais amis alte, c'est ici où il faut triompher.
Les Muſiciens chantent.	Les Musiciens chantent.
Silence par toute la terre.	Silence par toute la terre.
Le voicy ce grand chef de guerre, Couronné de lauriers, Qui vient pour conter à ſa belle, N 1n deuntronner pour cite.	Le voici ce grand chef de guerre, Couronné de lauriers, Qui vient pour conter à sa belle, N 1n deuntronner pour cite.
Tous ſes actes guerriers.	Tous ses actes guerriers.
Alaigre.	Alaigre.
Parle he, frere Dominique vient voir la muſique, auprés de nôtre boutique.	Parle hé, frère Dominique vient voir la musique, auprès de notre boutique.
La gloire ne court point de riſque Paris qu’il a donné quinZe & biſque, A tous les Potentats.	La gloire ne court point de risque Paris qu'il a donné quinZe et bisque, À tous les Potentats.
Ils n’adorent que ce bravache, Qui de l’ombre de ſon panache, Conſerve les Etats.	Ils n'adorent que ce bravache, Qui de l'ombre de son panache, Conserve les États.
Philippin.	Philippin.
Ao, ho, c’eſt quelque amoureux tranſi, à mon cœur qui ſoûpire n’a pas ce qu’il deſire.	Ao, ho, c'est quelque amoureux transi, à mon cœur qui soupire n'a pas ce qu'il désire.
7 La Muſique.	7 La Musique.
Ibitippin.	Ibitipin.
Sonne comme il écoute, Dame voila qui eſt beau & n’eſt pas cher, c’eſt la muſique de Saint Innocent la plus grand pitié du	Sonne comme il écoute, Dame voilà qui est beau et n'est pas cher, c'est la musique de Saint Innocent la plus grand pitié du
monde.	monde.
Alaigre.	Alaigre.
Qui ne ſçait ſon mêtier ferme ſa boutique.	Qui ne sait son métier ferme sa boutique.
Ils s’amuſent à chanter, ils n’y entendent rien, car les femmes n’aiment pas tant les voix, que les inſtrumens.	Ils s'amusent à chanter, ils n'y entendent rien, car les femmes n'aiment pas tant les voix, que les instruments.
La Muſique.	La Musique.
C’eſt pour vous belle Egyptienne.	C'est pour vous belle Égyptienne.
Qu’il quitte ſa flamme ancienne, Qui cauſe ſon tourment, Ne luy faites d’impoſture, D JJeenne deemiies Eſt d’être vôtre amant.	Qu'il quitte sa flamme ancienne, Qui cause son tourment, Ne lui faites d'imposture, D JJeenne deemiies Est d'être vôtre amant.
Philippin.	Philippin.
Hola, c’eſt à Florinde qu’on adreſſe l’eſteuf, c’eſt ce grand écorcheur de Sergens Fierabras.	Holà, c'est à Florinde qu'on adresse l'est, c'est ce grand écorcheur de Sergents Fierabras.
Alaigre.	Alaigre.
C’eſt un bon vendeur d’épinars ſauvages, ma foy nous l’avons bien mangé tous tant que nous ſommes, il ne nous revient point au cœur, je croy qu’il n’a que faire d’apreſt, les œufs ſont durs pour luy, retournons dormir.	C'est un bon vendeur d'épinars sauvages, ma foi nous l'avons bien mangé tous tant que nous sommes, il ne nous revient point au cœur, je crois qu'il n'a que faire d'aprêt, les œufs sont durs pour faire, retournons dormir.
La Muſique.	La Musique.
Beauté plus divine qu’humaine, Recevez ce grand Capitaine preriam at baZaras, Ne faites point la rancherie, Soyez ſa Venus je vous prie, Il ſera vôtre Mars.	Beauté plus divine qu'humaine, Recevez ce grand Capitaine priam at bazardas, Ne faites point la rancherie, Soyez sa Venus je vous prie, Il sera votre Mars.
Fierabras.	Fierabras.
Cheut j’entens quelqu’un qui me vient tarabuſter en ce lieu, où ame qui vive ne peut prendre que moy.	Cheut j'entends quelqu'un qui me vient tarabuster en ce lieu, où âme qui vive ne peut prendre que moi.
Le Prevôt.	Le Prévôt.
Nous voicy tantot où l’on ne nous attend	Nous voici tantôt où l'on ne nous attend
pas.	pas.
Fierabras.	Fierabras.
Ouy à vôtre dam, perturbateur de mon repos.	Oui à votre dam, perturbateur de mon repos.
Le Prevôt.	Le Prévôt.
Qui ſont ces bandoüilliers qui parlent ſi hardiment?	Qui sont ces bandoüilliers qui parlent si hardiment?
Canailles, ſi vous étes ſage ne croupiez pas davantage, & vous retirez, il eſt heure induë.	Canailles, si vous êtes sage ne croupiez pas davantage, et vous retirez, il est heure indue.
Fierabras.	Fierabras.
Ha ventre, commande à tes Valets & garde que je ne te donne un ſi beau revire Marion, que la terre t’en donnera un autre.	Ha ventre, commande à tes Valets et garde que je ne te donne un si beau revire Marion, que la terre t'en donnera un autre.
Le Prevôt.	Le Prévôt.
A beau jeu beau retou, compagnons traitons ces drôles-la de martin bâton, nos épées ſeront plus de requêtes ailleurs.	À beau jeu beau retou, compagnons traitons ces drôles-la de martin bâton, nos épées seront plus de requêtes ailleurs.
Le premier Archer.	Le premier Archer.
Je voy bien que la chair leur demange.	Je vois bien que la chair leur démange.
Le ſecond Archer.	Le second Archer.
Il faut grater leur coine.	Il faut grater leur coine.
Fierabras.	Fierabras.
L’ignorance fait les hardis, Et conſideration les craintifs, Bien courir n’eſt pas un vice, On court pour gaigner le prix, C’eſt un honnête exercice, Un bon coureur n’eſt jamais pris.	L'ignorance fait les hardis, Et considération les craintifs, Bien courir n'est pas un vice, On court pour gagner le prix, C'est un honnête exercice, Un bon coureur n'est jamais pris.
Le Prevôt.	Le Prévôt.
Comme diable il arpente, nous avons fait-la un croteſque deſordre.	Comme diable il arpente, nous avons fait-la un crotesque désordre.
Le pre nier Archer.	Le pré nier Archer.
Ils gaignent le haut plus vîte qu’un lievre	Ils gagnent le haut plus vite qu'un lièvre
de beauſſe.	de beausse.
Les deux Archers.	Les deux Archers.
Les pauvres muſeaux de chiens, nous avõs Diemrevmite ſeurstriperie, io men ont pas tiré leurs brayes nettes, ils y ont laiſſé de	Les pauvres museaux de chiens, nous avons Diemrevite seurstriperie, jo men ont pas tiré leurs braies nettes, ils y ont laissé de
leurs plumes Le Prevõ̂t.	leurs plumes Le Prévient.
Ce n’étoit pas la pour ma dent creuſe, aux autres ceux la ſont pris Il heurte à la porte.	Ce n'était pas la pour ma dent creuse, aux autres ceux la sont pris Il heurte à la porte.
Thitippin.	Thitipin.
Amis ſont bons mais qu’ils aportent, Seigneur Lidias, venez, l’on vous veut marier.	Amis sont bons mais qu'ils apportent, Seigneur Lidias, venez, l'on vous veut marier.
Le Prevôt.	Le Prévôt.
Ouy, ouy juſte & carré comme une flûte, maue nuo touinerons d'une laſttue de Gaſco,	Oui, oui juste et carré comme une flute, maute nuo touinerons d'une lastue de Gasco,
Alaigre.	Alaigre.
Le diable eſt bien aux vaches, ces diables la ont le nez fait comme des Sergens.	Le diable est bien aux vaches, ces diables la ont le nez fait comme des Sergents.
Philippin.	Philippin.
On t’en pond Sergent, toy & ton recors, mon maître n’eſt pas obligé par corps.	On t'en pond Sergent, toi et ton recors, mon maître n'est pas obligé par corps.
Lidias ſort.	Lidias sort.
N’importe qui que ce ſoit, en bien faiſant on ne craint perſonne?	N'importe qui que ce soit, en bien faisant on ne craint personne?
mais ma veuë me fait faux bond, ou j’aperçois un Frere en qui je ne ſongeois non plus qu’à mâler noyer.	mais ma vue me fait faux bond, ou j'aperçois un Frère en qui je ne songeais non plus qu'à mâler noyer.
Elt-ce vous monriere.	Elt-ce vous monrière.
Le Prevôt.	Le Prévôt.
Hé mon Frere, c’eſt grand nouveauté que de vous voir je vous croyois à plus de cent lleues d’icy.	Hé mon Frère, c'est grand nouveauté que de vous voir je vous croyais à plus de cent lèves d'ici.
Que veutune cela, je fuis plus ravy de vous avoir rencontré que ſi j’étois Roy de la féve.	Que veutune cela, je fuis plus ravi de vous avoir rencontré que si j'étais Roi de la fève.
Alaigre.	Alaigre.
La douce choſe, acolez ce poteau, je ſuis auſſi réjoüi de voir cela que ſi on me fricaſ	La douce chose, acolez ce poteau, je suis aussi réjoui de voir cela que si on me fricas
ſoit des poulets.	soit des poulets.
Le Prevôt.	Le Prévôt.
Je ne voudrois pas pour une pinte de mon ſang ne vous avoir trouvé, on vous croit ad	Je ne voudrais pas pour une pinte de mon sang ne vous avoir trouvé, on vous croit ad
patr s.	patr s.
Ababaj.	Ababaj.
Vous me voyez ſain & ſauf & entierement à vous vendre & a dépendre.	Vous me voyez sain et sauf et entièrement à vous vendre et a dépendre.
Non, mais il me ſemble que je l’ay veu	Non, mais il me semble que je l'ai vu
Alaigre.	Alaigre.
Hé ſuis-je ton pere;	Hé suis-je ton père;
vous ay-je vendu des pois qui ne cuiſent pas, vous me regardez de côté Le premier Archer.	vous ai-je vendu des pois qui ne cuisent pas, vous me regardez de côté Le premier Archer.
aux prunelles.	aux prunelles.
Alaigre.	Alaigre.
Mes bons Meſſieurs ſans ceremonie couvrez ces maquereaux de peur qu’ils ne s’é	Mes bons Messieurs sans cérémonie couvrez ces maquereaux de peur qu'ils ne s'é
ventent.	vent.
Lidias.	Lidias.
Dites-moy je vous prie mon frere quel deſſein vous mene.	Dites-moi je vous prie mon frère quel dessein vous mène.
Le Prevôt.	Le Prévôt.
Je cherchois cer tains Egyptiens qui pillent par tout où ils paſſent, mais je crois que j’ay quitté leur briſée, j’ay une memoire de lievre je la pers en courant.	Je cherchais cer tains Égyptiens qui pillent par tout où ils passent, mais je crois que j'ai quitté leur brisée, j'ai une mémoire de lièvre je la pers en courant.
Lidias.	Lidias.
Vous n’en étes pas éloigné d’un quart de lieuë, car c’étoit nous, il n’y a qu’un moment qu’étions déguiſez en ceux que vous cherchez, nous avions pris la peau du Renard pour attraper ce vieil coq de Docteur Theſaurus, & luy joüer un tour de paſſe paſſe Et en effet nous luy avons preparé l’eſprit à recevoir un futur gendre qui luy doit venir comme champignons en une nuit, quoy qu’il me connoiſſe auſſi-bien que s’il m’avoit nourry, mais non pas parce que je ſuis à preſent, magré luy & malgré ſes dents.	Vous n'en êtes pas éloigné d'un quart de lieue, car c'était nous, il n'y a qu'un moment qu'étions déguisez en ceux que vous cherchez, nous avions pris la peau du Renard pour attraper ce vieil coq de Docteur Thésaurus, et et jouer un tour de passe passe Et en effet nous nous nous -même l'esprit à recevoir un futur gendre qui lui doit venir comme champignons en une nuit, quoi qu'il me connaisse aussi-bien que s'il m’ avoit nourri, mais non pas parce que je suis à présent, mais non et malgré ma dents.
Je voy bien que vous n’entendez pas tout ce galimatias icy, avec plus de loiſir je vous éclairciray la matiere.	Je vois bien que vous n'entendez pas tout ce galimatias ici, avec plus de loisir je vous éclaircirai la matière.
Alaigre.	Alaigre.
Tantôt, tantôt, nous vous en conterons de nuit & de trelze.	Tantôt, tantôt, nous vous en conterons de nuit et de trelze.
Llalas.	Llalas.
Entrons dedans le logis, je vous veux faire voir une ſœur qui eſt venuë de la grace de Dieu, & qui eſt belle & grande.	Entrons dedans le logis, je vous veux faire voir une sœur qui est venue de la grâce de Dieu, et qui est belle et grande.
Alaigre.	Alaigre.
Il ne faut prendre garde à la grandeur, mauvaiſe herbe croît toûjours, entrez ſeulement, vous verrez qu’elle n’eſt point tant	Il ne faut prendre garde à la grandeur, mauvaise herbe croît toujours, entrez seulement, vous verrez qu'elle n'est point tant
déchirée, avec cela vous aprendrez le reſte du tripotage.	déchirée, avec cela vous apprendrez le reste du tripotage.
Le Prevôt, Je meurs d’impatience de ſçavoir à quoy aboutiront toutes ces feintes:	Le Prévôt, Je meurs d'impatience de savoir à quoi aboutiront toutes ces feintes:
je vous veux auſſi conter la rencontre de certaine muſique qui vous fela me a gorge deployée, entrons donc je vous prie.	je vous veux aussi conter la rencontre de certaine musique qui vous fêla me a gorge déployée, entrons donc je vous prie.
Alaigre.	Alaigre.
Philippin un mot, voicy des eſcogriffes qui ne nous aporterons rien, ne laiſſez pas traîner un chiffon qui nous apartienne, ils ont la mine de le ſerrer & regardons plûtôt à leurs mains, qu’à leur pieds.	Philippin un mot, voici des escogriffes qui ne nous apporterons rien, ne laissez pas traîner un chiffon qui nous appartienne, ils ont la mine de le serrer et regardons plutôt à leurs mains, qu'à leur pieds.
Philippin.	Philippin.
Auſſi feray-je, car quand ils ne ſeroient pas Larrons, je croy qu’ils ſont hardis preneurs.	Aussi ferai-je, car quand ils ne seraient pas Larrons, je crois qu'ils sont hardis preneurs.
SCENE VI.	SCÈNE VI.
Fierabras.	Fierabras.
U ſont-ils ſes Mirmidons, qui ont ſi Otemerairement donné un aſſaut à mon courage, ils courent comme ſi le diable leur avoit promis quatre ſols:	V sont-ils ses Mirmidons, qui ont si Otemerairement donné un assaut à mon courage, ils courent comme si le diable leur avait promis quatre sols:
mais ils ont beau d'étaller, je ne me donneray pas la peine de courir aprés eux.	mais ils ont beau d'étaller, je ne me donnerai pas la peine de courir après eux.
Ha ventre, je deſeſpere quand je ſonge qu’il a fallu que le vaillant, terrible & foudroyant Fierabras, ſe ſoit laiſſé mettre hors de game par des mortels ſans avoit fait un deluge de ſang.	Ha ventre, je désespère quand je songe qu'il a fallu que le vaillant, terrible et foudroyant Fierabras, se soit laissé mettre hors de game par des mortels sans avait fait un déluge de sang.
ils ſçavoient bien que mon courage mépriſe ſes ennemis quand ils ſont trop toibles, car en effet la pitié ma empêché de les regarder de mauvais œil, de peur de les faire mourir ſubitement, ſans avoir le loiſir de ſonger à leur conſcience:	ils savaient bien que mon courage méprise ses ennemis quand ils sont trop toibles, car en effet la pitié ma empêché de les regarder de mauvais œil, de peur de les faire mourir subitement, sans avoir le loisir de songer à leur conscience:
mais quand je reviens à moy, faut il qu’une petite fille, une petite barboüillée ait fait trouver lieu en moy à une autre paſſion qu’à celle de Mars, Dieu me ſauve, elle a cauſé un miracle auquel ma memoire donne fin par le réſouvenir des tréves que j’avois acordées à tous les Roys & mécreans de la terre qui ſont expirées, c’eſt pourquoy il faut que je leur aille lervir a preſent de fſeau & couronner ce front de lauriers que la bouë en badinant avoit flétris par ſa chaleur.	mais quand je reviens à moi, faut -il qu'une petite fille, une petite barboüillée ait fait trouver lieu en moi à une autre passion qu'à celle de Mars, Dieu me sauve, elle a causé un miracle auquel ma mémoire donne fin par le résouvenir des trêves que j'avais acordées à tous les Rois et mécreans de la terre qui sont expirées, c'est pourquoi il faut que je leur aille lervir a présent de fseau à couronner ce front de lauriers que la boue en badinant avait flétris par sa chaleur.
Ce petit demon avoit allumé en moy une flame par les yeux de certaines petites marmotes qui ſans y penſer eût peu cauſer quelque fumée au luſtre de ma gloire pour l’étouffer, c’eſt le regret que j’ay maintenant, car puis qu’un homme de paille vaut une femme d’or, le Mars des mortels doitil eſperer moins qu’une divinité, ha ventre, je vay faire baiſer mes pas à cinq cens Monarques & me faire adorer par mille Princeſſes, où Dieu me damne.	Ce petit démon avait allumé en moi une flamme par les yeux de certaines petites marmotes qui sans y penser eût pu causer quelque fumée au lustre de ma gloire pour l'étouffer, c'est le regret que j'ai maintenant, car puis qu'un homme de paille vaut une femme d'or, le Mars des mortels doitil espérer moins qu'une divinité, ha ventre, je va faire baiser mes pas à cinq cents Monarques et me faire adorer par mille Princesses, où Dieu me damne.
SCENE	SCÈNE
SCENE VII.	SCÈNE VII.
Le Prevôt, Alaigre, Philippin, Lidias, Florinde, Theſaurus, Alizon & Macée.	Le Prévôt, Alaigre, Philippin, Lidias, Florinde, Thesaurus, Alison et Macée.
Le Prevôt.	Le Prévôt.
On frere charité bien ordonnée comNI mence par ſoy-même, je trouve que vous avez fort bien fait d’ôter Mademoiſelle Florinde au Capitaine Fierabras, c’eſt un tréſor dont il étoit indigne, je ne m’étonne plus ſi vous étes gay comme Perrot, vous en avez ſujet, car la chance eſt bien tournée depuis que nous vous voyons auſſi triſte que ſi vous euſſiez eu la mort aux dents, l’amour vous faiſoit la guerre en ce temps-la:	On frère charité bien ordonnée comNI menée par soi-même, je trouve que vous avez fort bien fait d'ôter Mademoiselle Florinde au Capitaine Fierabras, c'est un trésor dont il était indigne, je ne m'étonne plus si vous êtes gai gagne Rrot, vous en avez sujet, car la chance est bien tournée depuis que nous vous voyons aussi triste que si vous eussiez eu la mort aux dents, l'amour vous faisait la guerre en ce temps-la:
mais à preſent vous avez recouvré celle que la renommée vante par tout, & qui eſt la perle des fidelles.	mais à présent vous avez recouvré celle que la renommée vante par tout, et qui est la perle des fidèles.
Alaigre.	Alaigre.
Je ne m’étonne donc pas s’il la ſi bien enfilée, puis qu’elle eſt la perles des filles, c’eſt folie d’en mentir, il a ma foy bien trouvé ſon balot.	Je ne m'étonne donc pas s'il la si bien enfilée, puis qu'elle est la perles des filles, c'est folie d'en mentir, il a ma foi bien trouvé son balot.
Philippin.	Philippin.
paſſer.	passer.
Lidias.	Lidias.
Mon frere chaque choſe a ſa ſaiſon & chaque ſaiſon aporte quelque choſe uouvelle, aujourd’huy Evêque & demain Munier, c’eſt le monde, l’un décend & l’autre monte, le bon-heur ſuit le mal-heur, châque choſe fait ſon contraire & cherche ſon ſemblable, aprés la guerre la paix, que nous pouvons avoir ſans coup ferir, le jour qui comence beau ce feran, nous pronoſtique qu’aprés la pluye, vient le beau-temps.	Mon frère chaque chose a sa saison et chaque saison apporte quelque chose ouvelle, aujourd'hui Evêque et demain Munier, c'est le monde, l'un décend et l'autre monte, le bonheur suit le malheur, châque chose fait son contraire et cherche son semblable, après la guerre la paix, que nous pouvons avoir sans coup férir, le jour qui comence beau ce feran, nous pronostique qu'après la pluie, vient le beau-temps.
Philippin.	Philippin.
Pardienne comme dit l’autre, Ciel pommelé & Femme fardée ne ſont pas de longuoaumojuje no roy le enemin de S.	Pardienne comme dit l'autre, Ciel pommelé et Femme fardée ne sont pas de longuojuojuje nô roi le enemin de S.
Jacques écrit au temps je m’y fie non plus qu’à un larron ma bource	Jacques écrit au temps je m'y fie non plus qu'à un larron ma bource
Alaigre.	Alaigre.
Ho que tu as un grand eſprit, tu connois bien un double.	Ho que tu as un grand esprit, tu connais bien un double.
Philippin.	Philippin.
Aga, rouge au ſoir & blanc au matin, c’eſt la journée du pelerin.	Aga, rouge au soir et blanc au matin, c'est la journée du pèlerin.
Alaigre.	Alaigre.
Tu es un grand Aſtrologue, tu t’y connois cõme une truye en fine épice, & pourceau en poture, tu ferois mieux les plats nets que tu ne connois les Planettes:	Tu es un grand Astrologue, tu t'y connais comme une truie en fine épice, et pourceau en poture, tu ferais mieux les plats nets que tu ne connais les Planètes:
mais diſputons ſur l’Aſtrologie & trouſſons vî	mais disputons sur l'Astrologie et troussons vont
tement bagage.	tement bagage.
Lidias.	Lidias.
Allons tout de ce pas trouver le Docteur Theſaurus, Mon Frere, il ne vous connoiſt non plus que le grand Sophy de Perſe.	Allons tout de ce pas trouver le Docteur Thésaurus, Mon Frère, il ne vous connaît non plus que le grand Sophy de Perse.
Il vous croira à cent pour cent, des la premiere parole que vous jetterez en avant touchant la baye que nous luy voulons donner.	Il vous croira à cent pour cent, des la première parole que vous jetterez en avant touchant la baie que nous lui voulons donner.
Allons qui m’ayme me ſuive,	Allons qui m'aime me suive,
Alaigre.	Alaigre.
Ecoutez ſur tout fichés luy bien vôtre cole & qu’elle ſoit franche?	Écoutez sur tout fichez luy bien votre col et qu'elle soit franche?
mais tournons un peu la truye au foin, il n’y auroit point de danger de boire un coup de peur du mauvais air.	mais tournons un peu la truie au foin, il n'y aurait point de danger de boire un coup de peur du mauvais air.
Philis pin.	Philis pin.
Iudotoujouis le goner auuiteie, ſi tu étois prêcheur tu ne prêcherois que ſur la vendange.	Iudotoujouis le goner auuite, si tu étais prêcheur tu ne prêcherais que sur la vende.
Florinde.	Florinde.
Nous voicy tantôt au lieu ou il faut entendre ſentence, pour moy j’en tremble comme la fueille.	Nous voici tantôt au lieu ou il faut entendre sentence, pour moi j'en tremble comme la fueille.
Duabas.	Duabas.
On dit qu’il ne faut jamais trembler qu’on ne voye ſa tête à ſes pieds, mais à vôtre compte vous étes bien loin de la.	On dit qu'il ne faut jamais trembler qu'on ne voie sa tête à ses pieds, mais à votre compte vous êtes bien loin de la.
Le Prez ôt.	Le Prez ôt.
Il nous faut être aſſeurez comme meurtriers, & ne ſe pas tailier prendre par le bec.	Il nous faut être assurés comme meurtriers, et ne se pas tailier prendre par le bec.
Philippin.	Philippin.
Il ne faut rien débagouler, pour moy je m’en vais faire le marmiton, & bien agencer l’emplâtre pour bailler mieux la fée.	Il ne faut rien débagouler, pour moi je m'en vais faire le marmiton, et bien agencer l'emplâtre pour bailler mieux la fée.
Alaigre.	Alaigre.
O que veilla une belle maiſon s’il y avoit des pots à moineaux, nous ne trouverons pas viſage de bois.	Ô que veilla une belle maison s'il y avait des pots à moineaux, nous ne trouverons pas visage de bois.
On ouvre la porte à Calpin le jeune.	On ouvre la porte à Calpin le jeune.
Florinde.	Florinde.
C’eſt mon pere le ſeur.	C'est mon père le sûr.
Theſaurus.	Thesaurus.
Dieu me doint auſſi bonne encontre comme mon ſonge ſemble me la promettre, il me ſembloit que j’avois trouvé deux enfans pour un, je m’en vais me recommander à Nôtre Dame de re couvrance.	Dieu me doint aussi bonne encontre comme mon songe semble me la promettre, il me semblait que j'avais trouvé deux enfants pour un, je m'en vais me recommander à Notre Dame de re couvrance.
Le Prevôt.	Le Prévôt.
Monſieur elle vous renvoye ce qui n’étoit pas perdu, auſſi ſeine & entiere que quand elle eſt ſortie du ventre de ſa mere.	Monsieur elle vous renvoie ce qui n'était pas perdu, aussi seine et entière que quand elle est sortie du ventre de sa mère.
Theſaurus.	Thesaurus.
Eſt-ce vous mon enfant, mon bâton de vieilleſſe, eſt-ce vous ma petite rate, ma petite freſſure, helas mon ſoucy & d’où venez-vous, n’avez vous point de langue:	Est-ce vous mon enfant, mon bâton de vieillesse, est-ce vous ma petite rate, ma petite fressure, hélas mon souci et d'où venez-vous, n'avez vous point de langue:
ho là, la ne pleurez point tant vous l’aurez, mais dites-moy un peu, qui vous avoit ſi bien trouſſée en mâle.	ho là, la ne pleurez point tant vous l'aurez, mais dites-moi un peu, qui vous avait si bien troussée en mâle.
Florinde.	Florinde.
Mon pere, je ne ſçay, mais ſans le ſecours de ce Gentil-homme vous n’auriez plus de fille, c’eſt à luy à qui vous devez ſçavoir	Mon père, je ne sais, mais sans le secours de ce Gentilhomme vous n'auriez plus de fille, c'est à lui à qui vous devez savoir
gré de m’avoir conſervé l’honneur ſain & entier, expoſant ſa vie à plus d’une douzaine d’épées, dont les coups tomboient ſur luy & ſur les ſiens comme la pluie.	gré de m'avoir conservé l'honneur sain et entier, exposant sa vie à plus d'une douzaine d'épées, dont les coups tombaient sur lui et sur les siens comme la pluie.
Alaigre.	Alaigre.
Philippin a échapé belle auſſi-bien que moy, je m'aneure qu’il Içaſt bien a quoy s’en tenir, car il eut de bons chifrenaux.	Philippin a échappé belle aussi-bien que moi, je m'aneure qu'il Içast bien a quoi s'en tenir, car il eut de bons chifrenaux.
Philippin.	Philippin.
