RVEI TRAGEDIE Par P.	RVEI TRAGÉDIE Par P.
Mais avec cette ſoif que j’ay de ta ruïne Je me jette au devant du coup qui t’aſſaſſine, Et forme des deſirs avec trop de raiſon, Pour en aimer l’effet par une trahiſon.	Mais avec cette soif que j'ai de ta ruine Je me jette au devant du coup qui t'assassine, Et forme des désirs avec trop de raison, Pour en aimer l'effet par une trahison.
Qui la ſçait & la ſouffre à part à l’infamie, Si je veux ton trépas c’eſtten juste ennemie;	Qui la sait et la souffre à part à l'infamie, Si je veux ton trépas c'estten juste ennemie;
Mon époux a des fils, il aura des neveux.	Mon époux a des fils, il aura des neveux.
Quand ils te combatront, c’eſt là que je le veux, Et qu’une digne main par moy-meſme animée Dans ton champ de bataille, aux yeux de ton Armée,	Quand ils te combattront, c'est là que je le veux, Et qu'une digne main par moi-même animée Dans ton champ de bataille, aux yeux de ton Armée,
T’immole noblement & par un digne effort Aux Manes du Héros dont tu vanges la mort.	T'immole noblement et par un digne effort Aux Manes du Héros dont tu venge la mort.
Tous mes ſoins, tous mes vœux haſtent cette vengeance, Ta perte la recule & ton ſalut l’avance;	Tous mes soins, tous mes vœux hâtent cette vengeance, Ta perte la recule et ton salut l'avance;
Quelque espoir qui d’ailleurs me l’oſe ou puiſſe offrir, Ma juste impatience auroit trop à ſouffrir.	Quelque espoir qui d'ailleurs me l'ose ou puisse offrir, Ma juste impatience aurait trop à souffrir.
La vengeance éloignée eſt à demy perduë, Et quand il faut l’attendre elle eſt trop cher venduë, Je n’iray point chercher ſur les bords Afriquains Le foudre ſouhaitté que je vois en tes mains, La teſte qu’il menace en doit eſtre frapée.	La vengeance éloignée est à demi perdue, Et quand il faut l'attendre elle est trop cher vendue, Je n'irai point chercher sur les bords Afriquains Le foudre souhaité que je vois en tes mains, La tête qu'il menace en doit être frappée.
J’ay pâ donner la tienne au lieu d’elle à Pompée, Ma haine avoit le choix, mais cette haine enfin Sépare ſon vainqueur d’avec ſon aſſaſſin, Et ne croit avoir droit de punir ta victoire, Qu’après le châtiment d’une action ſi noire.	J'ai pâ donner la tienne au lieu d'elle à Pompée, Ma haine avait le choix, mais cette haine enfin Sépare son vainqueur d'avec son assassin, Et ne croit avoir droit de punir ta victoire, Qu'après le châtiment d'une action si noire.
Rome le veut ainſi, ſon adorable front Auroit dequoy rougir d’un trop honteux affront, De voir en meſme jour après tant de conqueſtes Sous un indigne fer ſes deux plus nobles teſtes.	Rome le veut ainsi, son adorable front Aurait dequoy rougir d'un trop honteux affront, De voir en même jour après tant de conquêtes Sous un indigne fer ses deux plus nobles têtes.
Son grand cœur qu’à tes loix en vain tu crois ſoûmis En veut aux criminels plus qu’à ſes ennemis.	Son grand cœur qu'à tes lois en vain tu crois soumis En veut aux criminels plus qu'à ses ennemis.
Et tiendroit à malheur le bien de ſe voir libre, Si l’attentat du Nil affranchiſſoit le Tybre.	Et tiendrait à malheur le bien de se voir libre, Si l'attentat du Nil affranchissait le Tibre.
Comme autre qu’un Romain n’a pû l’aſſujettir, Autre auſſi qu’un Romain ne l’en doit garantir.	Comme autre qu'un Romain n'a pu l'assujettir, Autre aussi qu'un Romain ne l'en doit garantir.
Tu tomberois icy ſans eſtre ſa victime, Au lieu d’un châtiment ta mort ſeroit un crime, Et ſans que tes pareils en conçeuſſent d’effroy, L’éxemple que tu dois périroit avec toy.	Tu tomberais ici sans être sa victime, Au lieu d'un châtiment ta mort serait un crime, Et sans que tes pareils en conçussent d'effroi, L'éxemple que tu dois périrait avec toi.
Venge-la de l’Egypte à ſon appuy fatale, Et je la vengeray, ſi je puis, de Pharſale.	Venge-la de l'Égypte à son appui fatale, Et je la vengerai, si je puis, de Pharsale.
Va, ne perds point de temps, il preſſe.	Va, ne perds point de temps, il presse.
Adieu, tu peux Te vanter qu’une fois j’ay fait pour toy des vœux.	Adieu, tu peux Te vanter qu'une fois j'ai fait pour toi des vœux.
SCENE V.	SCÈNE V.
CESAR, CLEOPATRE, ANTOINE, LEPIDE, ACHOREE, CHARMION.	CÉSAR, CLEOPATRE, ANTOINE, LÉPIDE, ACHORE, CHARMION.
CESAR.	CÉSAR.
On courage m’étonne autant que leur audaceO Reine, voyez pour qui vous me demandiez grace.	On courage m'étonne autant que leur audaceO Reine, voyez pour qui vous me demandiez grâce.
CLEOPATRE.	CLÉPATRE.
Je n’ay rien à vous dire, allez, Seigneur, allez Venger ſur ces méchans tant de droits violez.	Je n'ai rien à vous dire, allez, Seigneur, allez Venger sur ces méchants tant de droits violez.
On m’en veut plus qu’à vous, c’eſt ma mort qu’ils respirent, C’eſt contre mon pouvoir que les traiſtres conspirent, Leur rage pour l’abatreattaque mon ſoûtien, Et par voſtre trépas cherche un paſſage au mien.	On m'en veut plus qu'à vous, c'est ma mort qu'ils respirent, C'est contre mon pouvoir que les traîtres conspirent, Leur rage pour l'abattreattaque mon soutien, Et par votre trépas cherche un passage au mien.
Mais parmy ces transports d’unc juste colere Je ne puis oublier que leur Chef eſt mon frére.	Mais parmi ces transports d'unc juste colère Je ne puis oublier que leur Chef est mon frère.
Le ſçaurez-vous, Seigneur, & pourray-je obtenirs Que ce cœur irrité daigne s’en ſouvenir?	Le sçaurez-vous, Seigneur, et pourrai-je obtenirs Que ce cœur irrité daigne s'en souvenir?
CESAR.	CÉSAR.
Ouy, je me ſouviendray que ce cœur magnanime Au bonheur de ſon ſang veut pardonner ſon crime.	Oui, je me souviendrai que ce cœur magnanime Au bonheur de son sang veut pardonner son crime.
Adieu, ne craignez rien, Achillas, & Photin Ne ſont pas gens à vaincre un ſi puiſſant Destin.	Adieu, ne craignez rien, Achillas, et Photin Ne sont pas gens à vaincre un si puissant Destin.
Pour les mettre en déroute, eux & tous leurs complices, Je n’ay qu’à déployer l’appareil des ſupplices, Et pour ſoldats choiſis envoyer des bourreaux, Qui portent hautement mes Haches pour Drapeaux.	Pour les mettre en déroute, eux et tous leurs complices, Je n'ai qu'à déployer l'appareil des supplices, Et pour soldats choisis envoyer des bourreaux, Qui portent hautement mes Haches pour Drapeaux.
Céſar rentre avec les Romains.	César rentre avec les Romains.
CLEOPATRE.	CLÉPATRE.
Ne quittez pas Céſar, allez, cher Achorée, Repouſſer avec luy ma mort qu’on a jurée, Et quand il punira nos laſches ennemis, Faites-le ſouvenir de ce qu’il m’a promis, njez rœil ſur le Roy dans la chaleur des armes, Et conſervez ſon ſang pour épargner mes larmes.	Ne quittez pas César, allez, cher Achorée, Repousser avec même ma mort qu'on a jurée, Et quand il punira nos lâches ennemis, Faites-le souvenir de ce qu'il m'a promis, nez rœil sur le Roi dans la chaleur des armes, Et conservez son sang pour épargner mes larmes.
ACHOREE.	ACHORE.
Madame, aſſeurez-vous qu’il ne peut y périr, Si mon zêle & ines foins peuvent le ſecourir.	Madame, assurez-vous qu'il ne peut y périr, Si mon zèle et ines foins peuvent le secourir.
Fin du quatrième Acte.	Fin du quatrième Acte.
AETE	ATE
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CORIVEEIE, ſenunt une petite Urne en ſa main, PHILIPPE.	CORIVEEIE, senunt une petite Urne en sa main, PHILIPPE.
CORNELIE.	CORNELIE.
Es yeux, puis-je vous croire, & n’eſtce point un ſonge Qui ſur mes tristes vœux a formé ce menſonge ?	Es yeux, puis-je vous croire, et n'estce point un songe Qui sur mes tristes vœux a formé ce mensonge ?
Te revoy-je, Philippe, & cét époux ſi cher A-t’il reçeu de toy les honneurs dubûcher!	Te revois-je, Philippe, et cet époux si cher A-t-il reçu de toi les honneurs dubûcher!
Cette Urne que je tiens contient-elle ſa cendre?	Cette Urne que je tiens contient-elle sa cendre?
O vous, à ma douleur objet terrible & tendre, Eternel entretien de haine & de pitié, Reste dugrand Pompée, écoutez ſa moitié.	Ô vous, à ma douleur objet terrible et tendre, Éternel entretien de haine et de pitié, Reste dugrand Pompée, écoutez sa moitié.
N’attendez point de moy de regrets ny de larmes, Un graud cœur à ſes maux applique d’autres charmes Les foibles déplaiſirs s’amuſent à parler, Et quiconque ſe plaint cherche à ſe conſoler.	N'attendez point de moi de regrets Seigneur de larmes, Un graud cœur à ses maux applique d'autres charmes Les faibles déplaisirs s'amusent à parler, Et quiconque se plaint cherche à se consoler.
Moy, je jure des Dieux la puiſſance ſuprème, Et pour dire encor plus, je jure par vous-meſme, Car vous pouvez bien plus ſur ce cœur affligé Que le respect des Dieux qui l’ont mal protegé;	Moi, je jure des Dieux la puissance suprême, Et pour dire encor plus, je jure par vous-même, Car vous pouvez bien plus sur ce cœur affligé Que le respect des Dieux qui l'ont mal protégé;
Je jure donc par vous, ô pitoyable reste, Ma Divinité ſeule après ce coup funeste, par vous, qui ſeul icy pouvez me ſoulager, De n’éteindre jamais l’ardeur de le venger.	Je jure donc par vous, ô pitoyable reste, Ma Divinité seule après ce coup funeste, par vous, qui seul ici pouvez me soulager, De n'éteindre jamais l'ardeur de le venger.
rolomée à Céſar par un laſche artifice, Rome, de ton Pompée a fait un ſacrifice, Et je n’entreray point dans tes murs deſolez, Que le Preſtre & le Dieu ne luy ſoient immolez.	rolomée à César par un lâche artifice, Rome, de ton Pompée a fait un sacrifice, Et je n'entrerai point dans tes murs désolés, Que le Prêtre et le Dieu ne lui soient immolez.
Faites-m’en ſouvenir & ſoûtenez ma haine, O cendres, mon espoir auſſi-bien que ma peine, Et pour m’aider un jour à perdre ſon vainqueur, Verſez dans tous les cœurs-ce que reſſent mon cœur.	Faites-m'en souvenir et soutenez ma haine, Ô cendres, mon espoir aussi-bien que ma peine, Et pour m'aider un jour à perdre son vainqueur, Versez dans tous les cœurs-ce que ressent mon cœur.
Toy, qui l’as honoré ſur cette infame rive  une frait pieuſe autant comme chétive, Dy-moy quel bon Démon a mis en ton pouvoir De rendre à ce Héros ce funébre devoir.	Toi, qui l'as honoré sur cette infâme rive une frait pieuse autant comme chétive, Dis-moi quel bon Démon a mis en ton pouvoir De rendre à ce Héros ce funèbre devoir.
HILIPPE.	HILIPE.
5 Tout couvert de ſon ſang & plus mort que luy-meſAprès avoir cent fois maudit le Diadème, (me, Madame, j’ay porté mes pas & mes ſanglots 11 Du coſté que le vent pouſſoit encor les flots.	5 Tout couvert de son sang et plus mort que lui-mesAprès avoir cent fois maudit le Diadème, (me, Madame, j'ai porté mes pas et mes sanglots 11 Du côté que le vent poussait encor les flots.
Ie cours long-temps en vain, mais enfin d’une roche J’en découvre le trone vers un Sable aſſez proche, Où la vague en couroux ſembloit prendre plaiſir A feindre de le rendre & puis s’en reſſaiſir.	Je cours longtemps en vain, mais enfin d'une roche J'en découvre le trone vers un Sable assez proche, Où la vague en courroux semblait prendre plaisir A feindre de le rendre et puis s'en ressaisir.
Je m’y jette & l'embraſſe, & le pouſſe au rivage, Et ramaſſant ſous luy le débris d’un naufrage, Je luy dreſſe un bucher à la haſte, & ſans art, A Tel que je pûs ſur l’heure, & qu’il plût au hazard.	Je m'y jette et l'embrasse, et le pousse au rivage, Et ramassant sous lui le débris d'un naufrage, Je pu dresse un bûcher à la hâte, et sans art, A Tel que je pus sur l'heure, et qu'il pleu re hasard.
A peine bruſloit-il, que le Ciel plus propice M’envoye un compagnon en ce pieux office, Cordus, un vieux Romain qui demeure en ces lieux Retournant de la ville y détourne les yeux, Et n’y voyant qu’un tronc dont la teſte eſt coupée, A cette triste marque il reconnoit Pompée.	À peine brûlait-il, que le Ciel plus propice M'envoie un compagnon en ce pieux office, Cordus, un vieux Romain qui demeure en ces lieux Retournant de la ville y détourne les yeux, Et n'y voyant qu'un tronc dont la tête est coupée, À cette triste marque il reconnaît Pompée.
Soudain la larme à l’œil, ó toy, qui que tu ſois, A qui le Ciel permet de ſi dignes emplois, Ton ſort eſt bien, dit-il;	Soudain la larme à l'œil, Â toi, qui que tu sois, À qui le Ciel permet de si dignes emplois, Ton sort est bien, dit-il;
autre que tu ne penſes, Tu crains des châtimens, atten des récompenſes, Céſar eſt en Egypte, & venge hautement Celuy pour qui ton zéle a tant de ſentiment.	autre que tu ne penses, Tu crains des châtiments, atten des récompenses, César est en Égypte, et venge hautement Celui pour qui ton zèle a tant de sentiment.
Tu peux faire éclater les ſoins qu’on t’en voit prendre, Tu peux meſme à ſa vefve en reporter la cendre, Son vainqueur l’a reçeuë avec tout le respect Achéve, je reviens.	Tu peux faire éclater les soins qu'on t'en voit prendre, Tu peux -même à sa veuve en reporter la cendre, Son vainqueur l'a reçue avec tout le respect Achéve, je reviens.
Il part & m’abandonne, Et rapporte auſſi-toſt ce vaſe qu’il me donne, Ou la main & la menne enmh’ont renfermé Ces restes d’un Héros par le feu conſumé.	Il part et m'abandonne, Et rapporte aussitôt ce vase qu'il me donne, Ou la main et la menne enmh'ont renfermé Ces restes d'un Héros par le feu consumé.
CORNELIE.	CORNELIE.
O que ſa piété mérite de loüanges!	Ô que sa piété mérite de louanges!
PHILIPPE.	PHILIPPE.
En entrant j’ay trouvé des deſordres étranges, Je veu fuir tout un Peuple en foule vers le Port, Où le Roy, diſoit-on, s’étoit fait le plus fort:	En entrant j'ai trouvé des désordres étranges, Je veu fuir tout un Peuple en foule vers le Port, Où le Roi, disait-on, s'était fait le plus fort:
Les Romains pourſuivoient, & Céſar dans la Place Ruiſſelante du ſang de cette populace, Montroit de ſa justice un éxemple ſi beau, Faiſant paſſer Photin par les mains d’un bourreau.	Les Romains poursuivaient, et César dans la Place Ruisselante du sang de cette populace, Montrait de sa justice un éxemple si beau, Faisant passer Photin par les mains d'un bourreau.
Auſſi-toſt qu’il me voit il daigne me connoiſtre, Et prenant de ma main les cendres de mon maiſtre, Restes d’un Demydieu dont à peine je puis Egaler le grand nom, tout vainqueur que j’en ſuis, De vos traiſtres, dit-il, voyez punir les crimes, Attendant des Autels recevez ces victimes, Bien d’autres vont les ſuivre, & toy, cours au Palais Forter a jamuine te nonqne je tayjuis, Porte à ſes déplaiſirs cette foible allégeance, Et dy luy que je cours achever ſa vengeance.	Aussitôt qu'il me voit il daigne me connaître, Et prenant de ma main les cendres de mon maître, Restes d'un Demydieu dont à peine je puis Egaler le grand nom, tout vainqueur que j'en suis, De vos traîtres, dit-il, voyez punir les crimes, Attendant des Autels recevez ces victimes, Bien d'autres vont les suivre, et toi, cours au Palais Forter a jamuine te nonine je taijuis, Porte à ses déplaisirs cette faible allégeance, Et d lui que je cours achever sa vengeance.
Ce grand homme à ces mots me quitte en ſoûpirant, Et baiſe avec respect ce vaſe qu’il me rend.	Ce grand homme à ces mots me quitte en soupirant, Et baise avec respect ce vase qu'il me rend.
CORNELIE.	CORNELIE.
O ſoûpirs!	Ô soupirs!
ô respect!	ô respect!
ô qu’il eſt doux de plaindre Le ſort d’un ennemy, quand il n’eſt plus à craindre!	ô qu'il est doux de plaindre Le sort d'un ennemi, quand il n'est plus à craindre!
Qu’avec chaleur, Philippe, on court à le venger, Lors qu’on s’y voit forcé par ſon propre danger, Es Et quand cét intéreſt qu’on prend pour ſa mémoire Fait noſtre ſeureté comme il croiſt noſtre gloire!	Qu'avec chaleur, Philippe, on court à le venger, Lors qu'on s'y voit forcé par son propre danger, Es Et quand cet intérêt qu'on prend pour sa mémoire Fait nôtre sûreté comme il croît nôtre gloire!
Céſar eſt généreux, j’en veux eſtre d’accord, Mais le Roy le veut perdre, & ſon rival eſt mort.	César est généreux, j'en veux être d'accord, Mais le Roi le veut perdre, et son rival est mort.
Sa vertu laiſſe lieu de douter à l’Envie De ce qu’elle feroit, s’il le voyoit en vie, Pour grand qu’en ſoit le prix, ſon péril en rabat, Cette ombre qui la couvre en affoiblit l’éclat, L’amour meſme s’y meſle, & le force à combatre, Quand il venge Pompée il défend Cléopatre.	Sa vertu laisse lieu de douter à l'Envie De ce qu'elle ferait, s'il le voyait en vie, Pour grand qu'en soit le prix, son péril en rabat, Cette ombre qui la couvre en affaiblit l'éclat, L'amour même s'y mêle, et le force à combattre, Quand il venge Pompée il défend Cléopatre.
Tant d’intéreſts ſont joints à ceux de mon époux, Que je ne dévrois rien à ce qu’il fait pour nous, Si comme par ſoy-meſme un grand cœur juge un autre, je n'aioio fileux juger ſa vertu par la noſtre, Et croire que nous ſeuls armons ce combatant, parce qu’au pomt qu’il eit j’en voudrois lanle autant.	Tant d'intérêts sont joints à ceux de mon époux, Que je ne dévrois rien à ce qu'il fait pour nous, Si comme par soi-même un grand cœur juge un autre, je n'ai fileux juger sa vertu par la vôtre, Et croire que nous seuls armons ce combattant, parce qu'au pompt qu'il eit j'en voudrais lanle autant.
SCENE II.	SCÈNE II.
CLEOPATRE, CORNELIE, PHILIPPE, CHARMION.	CLEOPATRE, CORNELIE, PHILIPPE, CHARMION.
CLEOPATRE.	CLÉPATRE.
E ne viens pas icy pour troubler une plainte Trop juste à la douleur dont vous étes atteinte, Je viens pour rendre hommage aux cẽdres d’un Héros Qu’un fidelle Affranchy vient d’arracher aux flots, Pour le plaindre avec vous, & vous jurer, Madame, Que j’aurois conſervé ce maiſtre de voſtre ame, Si le Ciel qui vous traite avec trop de rigueur M’en euſt donné la force auſſi-bien que le cœur.	E ne viens pas ici pour troubler une plainte Trop juste à la douleur dont vous êtes atteinte, Je viens pour rendre hommage aux cẽdres d'un Héros Qu'un fidèle Affranchi vient d'arracher aux flots, Pour le plaindre avec vous, et vous jurer, Madame, Que j'aurais conservé ce maître de votre âme, Si le Ciel qui vous traite avec trop de rigueur M'en eût donné la force aussi-bien que le cœur.
Si pourtant à l’aspect de ce qu’il vous renvoye Vos douleurs laiſſoient place à quelque peu de joye, Si la vengeance avoit dequoy vous ſoulager, Je vous dirois auſſi qu’on vient de vous venger.	Si pourtant à l'aspect de ce qu'il vous renvoie Vos douleurs laissaient place à quelque peu de joie, Si la vengeance avait dequoy vous soulager, Je vous dirais aussi qu'on vient de vous venger.
hadiaummmniiannit.	hadiaummmniiannit.
voup le rȩavez, peut-eſtre?	voup le rés, peut-être?
CORNELIE.	CORNELIE.
Ouy, Pimecne, je Içay qu’on a puny ce traiſtre.	Oui, Pimègne, je Içai qu'on a puni ce traître.
CLEOPATRE.	CLÉPATRE.
On ſi prompt châtiment vous doit eſtre bien doux.	On si prompt châtiment vous doit être bien doux.
CORNELIE.	CORNELIE.
S’il a quelque douceur, elle n’eſt que pour vous.	S'il a quelque douceur, elle n'est que pour vous.
CLEOPATRE.	CLÉPATRE.
Tous les cœnis trouvent doux le fueces qu’ils espérent.	Tous les cœnis trouvent doux le fueces qu'ils espèrent.
CORNELIE.	CORNELIE.
Comme nos intéreſts nos ſentimens différent.	Comme nos intérêts nos sentiments différent.
Si Céſar à ſa mort joint celle d’Achillas, Vous étes ſatisfaite, & je ne la ſuis pas.	Si César à sa mort joint celle d'Achillas, Vous êtes satisfaite, et je ne la suis pas.
Aux Manes de Pompée il faut une autre offrande, La victime eſt trop baſſe, & l’injure eſt tropgrande, Et ce n’eſt pas un ſang que pour la reparer Son ombre & ma douleur daignent conſidérer.	Aux Manes de Pompée il faut une autre offrande, La victime est trop basse, et l'injure est tropgrande, Et ce n'est pas un sang que pour la réparer Son ombre et ma douleur daignent considérer.
L’ardeur de le venger dans mon ame allumée En attendant Céſar demande Ptolomée, Tout indigne qu’il eſt de vivre & de régner, Je ſçay bien que Céſar ſe force à l’épargner;	L'ardeur de le venger dans mon âme allumée En attendant César demande Ptolomée, Tout indigne qu'il est de vivre et de régner, Je sais bien que César se force à l'épargner;
Mais quoy que ſon amour ait oſé vous promettre, Le Ciel plus juste enfin n’oſera le permettre, Et s’il peut une fois écouter tous mes vœux, Par la main l’un de l’autre ils périront tous deux.	Mais quoi que son amour ait osé vous promettre, Le Ciel plus juste enfin n'osera le permettre, Et s'il peut une fois écouter tous mes vœux, Par la main l'un de l'autre ils périront tous deux.
Mon ame à ce bonheur, ſi le Ciel me l’envoye, Cabinla les douleuto pour s'ouriil à la joye, Mais ſi ce grand ſouhait demande trop pour moy, Si vous n’en perdez qu’un, ô Ciel, perdez le Roy.	Mon âme à ce bonheur, si le Ciel me l'envoie, Cabinla les douleuto pour s'ouriil à la joie, Mais si ce grand souhait demande trop pour moi, Si vous n'en perdez qu'un, ô Ciel, perdez le Roi.
CLEOPATRE.	CLÉPATRE.
Le Ciel ſur nos ſouhaits ne régle pas les choſes.	Le Ciel sur nos souhaits ne règle pas les choses.
CORNELIE.	CORNELIE.
Le Ciel régle ſouvent les effets ſur les cauſes, Et rend aux criminels ce qu’ils ont mérité.	Le Ciel règle souvent les effets sur les causes, Et rend aux criminels ce qu'ils ont mérité.
CLEOPATRE.	CLÉPATRE.
Comme de la justice il a de la bonté.	Comme de la justice il a de la bonté.
CORNELIE.	CORNELIE.
Ouy, mais il fait juger à voir comme il commence Que ſa justice agit, & non-pas ſa clémence.	Oui, mais il fait juger à voir comme il commence Que sa justice agit, et non-pas sa clémence.
CLBOPATRE.	CLBOPATRE.
Souvent de la justice il paſſe à la douceur.	Souvent de la justice il passe à la douceur.
CORNELFE.	CORNELFE.
Reine, je parle en vefve, & vous parlez en ſœur, Chacune a ſon ſujet d’aigreur, ou de tendreſſe, Qui dans le ſort du Roy justement l’intéreſſe, Apprenons par le ſang qu’on aura répandu, A quels ſouhaits le Ciel a le mieux répondu, Voicy voſtre Achorec.	Reine, je parle en veue, et vous parlez en sœur, Chacune a son sujet d'aigreur, ou de tendresse, Qui dans le sort du Roy justement l'intéresse, Apprenons par le sang qu'on aura répandu, A quels souhaits le Ciel a le mieux répondu, Voici votre Achorec.
SCENE III.	SCÈNE III.
CORNELIE, CLEOPATRE, ACHOREE, PHILIPPE, CHARMION.	CORNELIE, CLÉPATRE, ACHORE, PHILIPPE, CHARMION.
CLEOPATRE.	CLÉPATRE.
HElas!	HÉlas!
ſur ſon vifage Rien ne s’offre à mes yeux que de mauvais préſage.	sur son visage Rien ne s'offre à mes yeux que de mauvais présage.
Ne nous déguiſez rien, parlez ſans me flater, Qu’ay-je à craindre, Achorée, ou qu’ay-je à regretACHOREE.	Ne nous déguisez rien, parlez sans me flatter, Qu'ai-je à craindre, Achorée, ou qu'ai-je à regretACHORE.
ter.	ter.
CLEOPATRE.	CLÉPATRE.
Ce ne ſont pas ſes ſoins que je veux qu’on me die.	Ce ne sont pas ses soins que je veux qu'on me die.
Je ſçay qu’il fit trancher & clorre ce Conduit Qu’il manda tous les ſiens pour s’aſſeurer la Place Où Photin a receu le prix de ſon audace, Que d’un ſi prompt ſupplice Achillas étonnẽ S’eſt aiſément ſaiſi du Port abandonné,	Je sais qu'il fit trancher et clorre ce Conduit Qu'il manda tous les siens pour s'assurer la Place Où Photin a reçu le prix de son audace, Que d'un si prompt supplice Achillas étonnẽ S'est aisément saisi du Port abandonné,
D ij Que le Roy l’a ſuivy, qu’Antoine a mis à terre Ce qui dans ſes vaiſſeaux restoit de gens de guerre, Que Céſar l’a rejoint, & je ne doute pas Qu’il n’ait ſçeu vaincre encor, & punir Achillas.	 Déjà le Roi l'a suivi, qu'Antoine a mis à terre Ce qui dans ses vaisseaux restait de gens de guerre, Que César l'a rejoint, et je ne doute pas Qu'il n'ait su vaincre encor, et punir Achillas.
ACHOREE.	ACHORE.
Ouy, Madame, on a veu ſon bon-heur ordinaire.	Oui, Madame, on a vu son bonheur ordinaire.
CLEOPATRE.	CLÉPATRE.
Dites-moy ſeulement s’il a ſauvé mon frére, è i in a tend promenc.	Dites-moi seulement s'il a sauvé mon frère, y in a tend promenc.
ACHOREE.	ACHORE.
Ouy, de tout ſon pouvoir.	Oui, de tout son pouvoir.
CLEOPATRE.	CLÉPATRE.
C’eſt là l’unique point que je voulois ſçavoir.	C'est là l'unique point que je voulais sçavoir.
Madame, vous voyez, les Dieux m’ont écoutée.	Madame, vous voyez, les Dieux m'ont écoutée.
CORNELIE.	CORNELIE.
dis n'ont que dinele la peme meritee.	dis n'ont que dinele la pème méritée.
CLEOPATRE.	CLÉPATRE.
vous la vouliez ſur l’heure, ils l’en ont garanty.	vous la vouliez sur l'heure, ils l'en ont garanti.
ACHOREE.	ACHORE.
Il faudroit qu’à nos vœux il euſt mieux conſenty.	Il faudrait qu'à nos vœux il eût mieux consenti.
CLEOPATRE.	CLÉPATRE.
Que diſiez-vous n’aguére, & que viens-je d’entendre?	Que disiez-vous n'aguère, et que viens-je d'entendre?
Accordez ces discours que j’ay peine à comprendre?	Accordez ces discours que j'ai peine à comprendre?
ACHOREE.	ACHORE.
Aucuns ordres ny ſoins n’ont pû le ſecourir, Malgré Céſar & nous il a voulu périr;	Aucuns ordres ni soins n'ont pu le secourir, Malgré César et nous il a voulu périr;
Mais il eſt mort, Madame, avec toutes les marques Que puiſſent laiſſer d’eux les plus dignes Monarques, Sa vertu rappelée a ſoûtenu ſon rang, Et ſa perte aux Romains a coûté bien du ſang.	Mais il est mort, Madame, avec toutes les marques Que puissent laisser d'eux les plus dignes Monarques, Sa vertu rappelée a soutenu son rang, Et sa perte aux Romains a coûté bien du sang.
Il combatoit Antoine avectant de courage, Qu’il emportoit déja ſur luy quelque avantage, Mais l’abord de Céſar a changé le Destin !	Il combattait Antoine avectant de courage, Qu'il emportait déjà sur un autre avantage, Mais l'abord de César a changé le Destin !
Auſſi-toſt Achillas ſuit le ſort de Photin, Il meurt, mais d’une mort trop belle pour un traiſtre, Les armes à la main en défendant ſon maiſtre.	Aussitôt Achillas suit le sort de Photin, Il meurt, mais d'une mort trop belle pour un traître, Les armes à la main en défendant son maître.
Le vainqueur crie en vain qu’on épargne le Roy, Ces mots au lieu d’espoir luy donnent de l’effroy;	Le vainqueur crie en vain qu'on épargne le Roi, Ces mots au lieu d'espoir lui donnent de l'effroi;
Son esprit alarmé les croit un artifice Pour réſerver ſa teſte à l’affront d’un ſupplice.	Son esprit alarmé les croit un artifice Pour réserver sa tête à l'affront d'un supplice.
Il pouſſe dans nos rangs, il les perce, & fait voir Ce que peut la vertu qu’arme le deſespoir, Et ſon cœur emporté par l’erreur qui l’abuſe Cherche par tout la mort que chacun luy refuſe.	Il pousse dans nos rangs, il les perce, et fait voir Ce que peut la vertu qu'arme le désespoir, Et son cœur emporté par l'erreur qui l'abuse Cherche par tout la mort que chacun lui refuse.
Enfin perdant haleine après ces grands efforts, Près d’eſtre environné, ſes meilleurs ſoldats morts, Il voit quelques fuyards ſauter dans une barque, Il s’y jette, & les ſiens qui ſuivent leur Monarque D’un ſi grand nombre en foule accablent ce vaiſſeau, Que la mer l’engloutit avec tout ſon fardeau.	Enfin perdant haleine après ces grands efforts, Près fond être environné, ses meilleurs soldats morts, Il voit quelques fuyards sauter dans une barque, Il s'y jette, et les siens qui suivent leur Monarque D'un si grand nombre en foule accablent ce vaisseau, Que la mer l'engloutit avec tout son fardeau.
C’eſt ainſi que ſa mort luy rend toute ſa gloire, A vous toute l’Egypte, à Céſar la victoire, Il vous proclame Reine, & bien qu’aucun Romain Du ſang que vous pleurez n’ait veu rougir ſa main, Il nous fait voir à tous un déplaiſir extrème, Il ſoûpire, il gémit:	C'est ainsi que sa mort lui rend toute sa gloire, À vous toute l'Égypte, à César la victoire, Il vous proclame Reine, et bien qu'aucun Romain Du sang que vous pleurez n'ait vu rougir sa main, Il nous fait voir à tous un déplaisir extrême, Il soupire, il gémit:
mais le voicy luy-meſme, Qui pourra mieux que moy vous montrer la douleur Que luy donne du Koy l’invincible malneur.	mais le voici autre-même, Qui pourra mieux que moi vous montrer la douleur Que était donne du Ois l'invincible malneur.
SCENE IV.	SCÈNE IV.
CESAR, CORNELIE, CLEOPAT RE ANTOINE, LEPIDE, ACHOREE, CHARMION, PHILIPPE.	CÉSAR, CORNELIE, CLEOPAT RE ANTOINE, LÉPIDE, ACHORE, CHARMON, PHILIPPE.
CORNELIE.	CORNELIE.
