A M.	À M.
Mais vole dans mon char, Muſe, ie veux t’apprendre Tout l’aduenir d’vn Roy qui t’eſt ſi precieux.	Mais vole dans mon char, Muse, tu veux t'apprendre Tout l'avenir d'un Roi qui t'est si précieux.
MELPOMENE.	MELPOMENE.
Ie ſçay deſia ce qu’on doit en attendre, Et ie lis chaque iour ſon deſtin dans les Cieux.	Je sais déjà ce qu'on doit en attendre, Et appris lis chaque jour son destin dans les Cieux.
LE SOLEIL.	LE SOLEIL.
Vien done, viens auee mey fane le tour du monde, Qu'vniſſant enſemble nos voix Nous facions reſonner ſur la terre & ſur l’onde Qu’il eſt & le plus ieune & le plus grand des Rois.	Vien donc, viens aue me fane le tour du monde, Qu'unissant ensemble nos voix Nous facions résonner sur la terre et sur l'onde Qu'il est et le plus jeune et le plus grand des Rois.
MELPOMENE.	MELPOMENE.
Soleil, j’y vole, attends-moy donc de grace.	Soleil, j'y vole, attends-moi donc de grâce.
LE SOLEIL.	LE SOLEIL.
Vien, ie t’attends, & te fais place.	Viens, Seigneur t'attends, et te fais place.
Melpoméne vole dans le char du Soleil, & y ayant pris place auprés de luy, ils vniſſent leurs voix & chantent cet Air à la loüange du Roy;	Melpomène vole dans le char du Soleil, et y ayant pris place auprès de jours, ils éclissent leurs voix et chantent cet Air à la louange du Roi;
le dernier vers de chaque couplet eſt repete par le Chœur de la Muſique.	le dernier vers de chaque couplet est répète par le Chœur de la Musique.
Cieux eſcoutez, eſcoutez mers profondes, Et vous antres & bois, Affreux deſerts, rochers battus des ondes, Redites apres nons d’vne commune voix, Louys eſt le plus ieune & le plus grand des Rois.	Cieux écoutez, écoutez mers profondes, Et vous antres et bois, Affreux déserts, rochers battus des ondes, Rédites après nons d'une commune voix, Louis est le plus jeune et le plus grand des Rois.
La Majeſté qui deſia l’environne Charme tous ſes François, Il eſt luy ſeul digne de ſa Couronne, Et quand meſme le Ciel l’auroit miſe à leur choix, Il ſeroit le plus ieune & le plus grand des Rois.	La Majesté qui déjà l'environne Charme tous ses Français, Il estblé seul digne de sa Couronne, Et quand même le Ciel l'aurait mise à leur choix, Il serait le plus jeune et le plus grand des Rois.
C’eſt à vos ſoins, Reine, qu’on doit la gloire De tant de grands exploits, Iis lom par touv imuis de la victorre, Et l’ordre merueilleux dont vous donnez ſes loix Le rend & le plus ieune & le plus grand des Rois.	C'est à vos soins, Reine, qu'on doit la gloire De tant de grands exploits, Jis lom par touv imuis de la victorre, Et l'ordre merveilleux dont vous donnez ses lois Le rend et le plus jeune et le plus grand des Rois.
LE SOLEIL.	LE SOLEIL.
Dans tout mon large tour, Mais c’eſt trop retarder le iour, Allons, Muſe, l’heure me preſſe, Et ma rapidité Doit regaigner le temps que ſur cette Prouince, Pour contempler ce Prince, Ie me ſuis arreſté.	Dans tout mon large tour, Mais c'est trop retarder le jour, Allons, Muse, l'heure me presse, Et ma rapidité Doit regagner le temps que sur cette Province, Pour contempler ce Prince, Je me suis arrêté.
Le Soleil part auec rapidité, & enleue Melpoméne auec luy dans ſon char, pour aller publier enſemble la meſme choſe au reſte de PIniuers,	Le Soleil part avec rapidité, et enlève Melpomène était était avec son char, pour aller publier ensemble la même chose au reste de PInivers,
FIN.	FIN.
DV PROLOGVE.	DU PROLOGUE.
De	De
Decoration du premier Acte.	Décoration du premier Acte.
Ette grande maſſe de montagne, & ces rochert O eſleuez les vns ſur les autres qui la compoſoient, ayans diſparu en vn moment par vn merueilleux artifice, laiſſent voir en leur place la ville capitale du Royaume de Cephée, ou pluſtoſt la place publique de cette ville.	Ette grande masse de montagne, et ces rochert Ô levez les uns sur les autres qui la composaient, ayant disparu en un moment par un merveilleux artifice, laissent voir en leur place la ville capitale du Royaume de Cephée, ou plutôt la place publique de cette ville.
Les deux coſtez & le fonds du Theatre ſont des Palais magnifiques tous differents de ſtructure, mais qui gardent admirablement l’egalité & les iuſteſſes de la Perſpectiue.	Les deux côtés et le fonds du Théâtre sont des Palais magnifiques tous différents de structure, mais qui gardent admirablement l'égalité et les justesses de la Perspective.
Apres que les yeux ont eu loiſir de ſe ſatisfaire à conſiderer leur beauté, la Reine Caßiope paroit comme paſſant par cette place publique pour aller au Temple.	Après que les yeux ont eu loisir de se satisfaire à considérer leur beauté, la Reine Cassiope parait comme passant par cette place publique pour aller au Temple.
Elle eſt conduite par Perſée, encor inconnu, mais qui paſſe pour vn Caualier de grand merite, qu’elle entretient des malheurs publics, attendant que le Roy la rejoigne, pour aller à ce Temple de compagnie.	Elle est conduite par Persée, encor inconnu, mais qui passe pour un Cavalier de grand mérite, qu'elle entretient des malheurs publics, attendant que le Roi la rejoigne, pour aller à ce Temple de compagnie.
ACTE PREMIER.	ACTE PREMIER.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CASSIOPE, PERSEE, Suitte de la Reyne.	CASIOPE, PERSE, Suitte de la Reine.
8 CASSIOPE.	8 CASIOPE.
Enereux incognu, qui chez tous les Monarques Portez de vos vertus les eſclatantes marques, Et dont l’aſpect ſuffit à conuaincre nos yeux Que vous fortez du ſang ou des Rois, ou des Dieux, Puiſque vous auez veu le ſujet de ce crime Que chaque mois expie vne telle victime, Cependant qu’en ce lieu nous attendrons le Roy, Soyez-y iuſte iuge entre les Dieux & moy.	Unereux inconnu, qui chez tous les Monarques Portez de vos vertus les éclatantes marques, Et dont l'aspect suffit à convaincre nos yeux Que vous sortez du sang ou des Rois, ou des Dieux, Puisque vous avez vu le sujet de ce crime Que chaque mois expie une telle victime, Cependant qu'en ce lieu nous attendrons le Roi, Soyez-y juste juge entre les Dieux et moi.
Iugez de mon forfait, iugez de leur colere, luges Iugez s’ils ont eu droit d’en punir vne mere, S’ils ont deu faire agir leur hayne au meſme inſtant.	Jugez de mon forfait, jugez de leur colère, luges Jugez s'ils ont eu droit d'en punir une mère, S'ils ont dev faire agir leur haine au même instant.
PERSEE.	PERSE.
I'en ay deſia iugé, Reyne, en vous imitant, Et ſi de vos malheurs la cauſe ne procede Que d’auoir fait iuſtice aux beautez d’Androméde, Si c’eſt là ce forfait digne d’vn tel couroux, Ie veux eſtre à iamais coupable comme vous.	J'en ai déjà jugé, Reine, en vous imitant, Et si de vos malheurs la cause ne procède Que d'avoir fait justice aux beautés d'Andromède, Si c'est là ce forfait digne 'un tel courroux, Je veux été à jamais coupable comme vous.
Mais comme vn bruit confus m’apprend ce mal extréme, Ne le puis-ie, Madame, apprendre de vousmeime, Pour mieux renouueler ce crime glorieux Où ſoudain la raiſon eſt complice des yeux?	Mais comme un bruit confus m'apprend ce mal extrême, Ne le puis-je, Madame, apprendre de vousmeime, Pour mieux renouveler ce crime glorieux Où soudain la raison est complice des yeux?
CASSIOPE.	CASSIOPE.
Eſcoutez.	Écoutez.
La douleur ſe ſoulage à ſe plaindre, Et quelques maux qu’on ſouffre, où que l’ou aye à craindre, Ce qu’vn cœur genereux en montre de pirié Semble en noſtre faueur en prendre la moitié.	La douleur se soulage à se plaindre, Et quelques maux qu'on souffre, où que l'ou aye à craindre, Ce qu'un cœur généreux en montre de pirié Semble en notre faveur en prendre la moitié.
Ce fut ce meſme iour qui conclud l’Hymenée De ma chere Androméde auec l’heureux Phinée;	Ce fut ce même jour qui conclud l'Hyménée De ma chère Andromède avec l'heureux Phinée;
Nos peuples tous rauis de ces illuſtres nœuds Sur les bords de la mer dreſſerent ſorce jeux, Elle en donnoit les prix:	Nos peuples tous ravis de ces illustres nœuds Sur les bords de la mer dressèrent sorce jeux, Elle en donnait les prix:
diſpenſez ma triſteſſe De vous dépeindre icy leur publique allegreſſe, On décrit mal la ioyé au milieu des malheurs, Et ſa plus douce idée eſt vn ſujet de pleurs.	dispensez ma tristesse De vous dépeindre ici leur publique allégresse, On décrit mal la joyé au milieu des malheurs, Et sa plus douce idée est un sujet de pleurs.
O iour, que ta memoire encore m’eſt cruelle !	Ô jour, que ta mémoire encore m'est cruelle !
Androméde iamais ne me parut ſi belle, Et voyant les regarus depamire lur ſes eaux Pour iouïr, & iuger d’vn combat de vaiſſeaux, Telle, dis-ie, Venus ſortit du ſein de l'onde, Et promit à ſes yeux la conqueſte du Monde Quand elle eut conſulté ſur leur éclat nouueau Les miroirs vagabonds de ſon flottant berceau.	Andromède jamais ne me parut si belle, Et voyant les règarus dépamire lur ses eaux Pour jouir, et juger d'une combat de vaisseaux, Telle, dis-je, Venus sortit du sein de l'onde, Et promit à ses yeux la conquête du Monde Quand elle eut consulté sur leur éclat nouveau Les miroirs vagabonds de son flottant berceau.
A ce fameux ſpectacle on vit les Nereïdes Leuer leurs moites fronts de leurs palais liquides,	À ce fameux spectacle on vit les Nereïdes Leuver leurs moites fronts de leurs palais liquides,
Et pour nouuelle pompe à ces nobles ébats A l’enuy de la terre eſtaler leurs appas :	Et pour nouvelle pompe à ces nobles ébats A l'envi de la terre étaler leurs appas :
Elles virent ma fille, & leurs regards à peine 13 Rencontrerent les ſiens ſur cette humide plaine, Que par des traits plus forts ſe ſentants effacer, Esblouys & confus ie les vis s’abaiſſer, Examiner les leurs, & ſur tous leurs viſages En chercher d’aſſez vifs pour brauer nos riuaIe les vis ſe choiſir iuſque à cinq & ſix fois, Et rougir auſſi-toſt nous comparant leur choix :	Elles virent ma fille, et leurs regards à peine 13 Rencontrerent les siens sur cette humide plaine, Que par des traits plus forts se sentants effacer, Éblouis et confus avoir les vis s'abaisser, Examiner les leurs, et sur tous leurs visages En chercher d'assez vifs pour braver nos rivaIe les vis se choisir jusqu' à cinq et six fois, Et rougir aussitôt nous comparant leur choix :
Et cette vanité qu’en toutes les familles On voit ſi naturelle aux meres pour leurs filles Leur cria par ma bouche, en eſt-il parmy vous, O Nymphes, qui ne cede à des attraits ſi doux, Et nierez-vous encor, vous autres immortelles, Qu’entre nous la Nature en ſorme de plus belles?	Et cette vanité qu'en toutes les familles On voit si naturelle aux mères pour leurs filles Leur cria par ma bouche, en est-il parmi vous, Ô Nymphes, qui ne cede des attraits si doux, Et nierez-vous encor, vous autres immortelles, entre nous la Nature en sorme de plus belles?
Ie m’emportois ſans doute, & c’en eſtoit trop dit, Ie les vis s’en cacher de honte & de dépit, I’en vis dedans leurs yeux les viues eſtincelles, L’onde qui les receut s’en irrita pour elles, I’en vis enſler la vague, & la mer en couroux Rouler à gros boüillons ſes ſlors iuſques à nous.	Je m'emportais sans doute, et c'en était trop dit, Je les vis s'en cacher de honte et de dépit, J'en vis dedans leurs yeux les vives étincelles, L'onde qui les reçut s'en irrita pour elles, J'en vis ensler la vague, et la mer en courroux Rouler à gros bouillons ses slors jusqu' à nous.
C’euſt eſté peu des ſlots, la ſoudaïne tempeſte Qui trouble noſtre ioye & diſſipe la feſte, Enfante en moins d’vne heure & pouſſe ſur nos bords Vn monſtre contre nous armé de mille morts.	C'eût été peu des slots, la soudaïne tempête Qui trouble notre joie et dissipe la fête, Enfante en moins d'une heure et pousse sur nos bords Vn monstre contre nous armé de mille morts.
Nous fuyons, mais en vain, il ſuit, il briſe, il tuë, Chaque victime eſt morte auſſi-toſt qu’abbatuë, Nous ne voyons qu’horreur, que ſang de toutes parts, Son haleine eſt poiſon, & poiſon ſes regards, Il rompt, il force tout, & ſa fureur qui vole Nos villes & nos champs de iour en iour deſole.	Nous fuyons, mais en vain, il suit, il brise, il tue, Chaque victime est morte aussitôt qu'abattue, Nous ne voyons qu'horreur, que sang de toutes parts, Son haleine est poison, et poison ses regards, Il rompt, il force tout, et sa fureur qui vole Nos villes et nos champs de jour en jour desole.
Apres beaucoup d’efforts & de vœux ſuperflus, Ayant ſouffert beaucoup & craignant encor plus, Nous courons à l’Oracle en de telles alarmes, Et voicy ce qu’Ammon répondit à nos larmes.	Après beaucoup d'efforts et de vœux superflus, Ayant souffert beaucoup et craignant encor plus, Nous courons à l'Oracle en de telles alarmes, Et voici ce qu'Amon répondit à nos larmes.
Pour Pour appaiſer Neptune, expoſez tous les mois Au monſtre qui le vange, vne fille à ſon choix, Iuſqu’à ce que le calme à l’orage ſuccede:	Pour Pour apaiser Neptune, exposez tous les mois Au monstre qui le venge, une fille à son choix, Jusqu'à ce que le calme à l'orage succède:
Le ſort vous monſtrera Celle qu’il agréera;	Le sort vous montrera Celle qu'il agréera;
Differez cependant les nopces d’Androméde.	Différez cependant les noces d'Andromède.
Comme dans vn grand mal vn moindre ſemble doux, Nous prenons pour faueur ce reſte de couroux, Le monſtre diſparu nous rend vn peu de ioye, On ne le voit qu’aux iours qu’on luy liure ſa proye;	Comme dans un grand mal un moindre semble doux, Nous prenons pour faveur ce reste de courroux, Le montre disparu nous rend un peu de joie, On ne le voit qu'aux jours qu'on nous livre sa proie;
