trois Mores, à la Berg-ſtraer.	trois Mores, à la Berg-straer.
Je ſçay quelle eſt pour moy l’ardeur qui vous inſpire, Et ſi le Ciel répond à mes juſtes deſirs Je prétens hautement vanger nos déplaiſirs.	Je sais quelle est pour moi l'ardeur qui vous inspire, Et si le Ciel répond à mes justes désirs Je prétends hautement venger nos déplaisirs.
Mais avant de tenter cette grande entrepriſe Souffrez qu’en ce Palais mon amour me conduiſe, Que je voye Eponine, & qu’au moins en ce jour Je rende ſes beaux yeux témoins de mou retour.	Mais avant de tenter cette grande entreprise Souffrez qu'en ce Palais mon amour me conduise, Que je voie Éponine, et qu'au moins en ce jour Je rende ses beaux yeux témoins de mou retour.
C’eſt trop être privé de ſa chere preſence.	C'est trop être privé de sa chère présence.
Quel Quel exemple, grands Dieux, d’amour & de conſtance.	Quel Quel exemple, grands Dieux, d'amour et de constance.
Et que ne doit point faire un Epoux trop heureux Pour un objet ſi digne, un cœur ſi vertueux!	Et que ne doit point faire un Époux trop heureux Pour un objet si digne, un cœur si vertueux!
Helas!	Hélas!
depuis quel temps le ſort nous perſecute, A quels cruels malheurs nous voyons-nous en bute, Combien de triſtes coups du deſtin irrité!	depuis quel temps le sort nous persécute, À quels cruels malheurs nous voyons-nous en bute, Combien de tristes coups du destin irrité!
Cepeudant ſon devoir ne s’eſt point rebuté, Elle a par ſa vertu fignalé ſa tendreſſe, Toûjours en ma faveur le même ſoin la preſſe, Et je ſerois ingrat, injuſte, criminel, Si je ne la payois d’un amour éternel.	Cépeudant son devoir ne s'est point rebuté, Elle a par sa vertu signalé sa tendresse, Toujours en ma faveur le même soin la presse, Et je serais ingrat, injuste, criminel, Si je ne la payais d'un amour éternel.
Souffrez donc, Cecinna, que ma premiere étude Soit de calmer l’excés de ſon inquietude, D’apaiſer les tranſports de ſa vive douleur, Et commencer par elle à vaincre ſon malheur.	Souffrez donc, Cecinna, que ma première étude Soit de calmer l'excès de son inquiétude, D'apaiser les transports de sa vive douleur, Et commencer par elle à vaincre son malheur.
En ſuite j’auray ſoin de me rendre à la gloire, De courir avec vous remporter la victoire D’immoler le Tyran à ma juſte fureur:	En suite j'aurai soin de me rendre à la gloire, De courir avec vous remporter la victoire D'immoler le Tyran à ma juste fureur:
Et reprenant ici le titre d’Empereur phray femphir un rang que le Ciel me deſtine.	Et reprenant ici le titre d'Empereur phrai femphir un rang que le Ciel me destine.
Vous, cependant allez avertir Eponine De mon heureux retour en ces lieux fortunez Qui va reudre ſes maux & les miens terminez.	Vous, cependant allez avertir Éponine De mon heureux retour en ces lieux fortunés Qui va revdre ses maux et les miens terminés.
MARePEPCS.	MARePEPCS.
Nous allons de ſon cœur baniſſant la triſteſſe, Y reporter, Seigneur, une entiere allegreſſe, Et prévoyant l’effer de ſon empreſſement Vous la verrez, ſans doute, ici dans un moment.	Nous allons de son cœur bannissant la tristesse, Y reporter, Seigneur, une entière allégresse, Et prévoyant l'eser de son empressement Vous la verrez, sans doute, sans dans un moment.
SCENE II.	SCÈNE II.
SABINUS ſeul.	SABINUS seul.
Nfin dans l’entrepriſe où ma gloire m’entraîne LLe Trône ou le trépas doivent finir ma peine, Et je revieus ici, par un dernier effort, Ou reprendre l’Empire, ou recevoir la mort.	Nfin dans l'entreprise où ma gloire m'entraîne LLe Trône ou le trépas doivent finir ma peine, Et je revérieus ici, par un dernier effort, Ou reprendre l'Empire, ou recevoir la mort.
O vous, qui commandez ſur la Terre & ſur l’Onde, Rome, qu’on voit encor la Maîtreſſe du Monde, Dont le ſoperbe aſpect étoune les regards	Ô vous, qui commandez sur la Terre et sur l'Onde, Rome, qu'on voit encor la Maîtresse du Monde, Dont le soperbe aspect étoune les regards
ReReconnoiſſez en moy le vray ſang des Céſars.	ReReconnaissez en moi le vrai sang des Césars.
De Jule mon Ayeul je dois ſuivre les traces, Et vanger, ſi je puis, nos comunes diſgraces:	De Jule mon Ayeul je dois suivre les traces, Et venger, si je puis, nos comunes disgrâces:
Un Tyran odieux vous accable de fers, Son avide fureur fait gemir l’Univers, Il m’arracha le Sceptre, il ataqua ma vie, Qu’il croit que dés long-temps la flâme m’a ravie, Et le Ciel aujourd’hui me ramene en ces lieux Pour punir le cruel, ou mourir à ſes yeux.	Un Tyran odieux vous accable de fers, Son avide fureur fait gémir l'Univers, Il m'arracha le Sceptre, il atqua ma vie, Qu'il croit que dès longtemps la flamme m'a ravie, Et le Ciel aujourd'hui me ramène en ces lieux Pour punir le cruel, ou mourir à ses yeux.
Je vais donc.	Je vais donc.
quel objet ſe preſente à ma vüe !	quel objet se présente à ma vue !
Helas, de quels tranſports je me ſens l’ame émuë !	Hélas, de quels transports je me sens l'âme émue !
DDEIE III.	DDEIE III.
EPONINE, SABINUS, l'AULINE, CECINNA, MARCELLOS.	EPONINE, SABINUS, l'AULINE, CECINA, MARCELLOS.
SARINUS.	SARINUS.
AH!	AH!
Madame.	Madame.
EPONINE.	EPONINE.
Ah!	Ah!
Seigneur, eſt-ce vous que je voy?	Seigneur, est-ce vous que je vois?
Vôtre preſence ici redouble mon effroy.	Votre présence ici redouble mon effroi.
Le ſoit & le Tyran, contre nous tout s’aſſemble, J’eſpere & je fremis, je ſoûpire & je tremble, Mes yeux qui malgré moy s’abandonnent aux pleurs Semblent me préſager cent mortelles douleurs.	Le soit et le Tyran, contre nous tout s'assemble, J'espère et je frémis, je soupire et je tremble, Mes yeux qui malgré moi s'abandonnent aux pleurs Semblent me présager cent mortelles douleurs.
Ah!	Ah!
ceſſez d’expoſer une ſi chere vie Aux redoutables traits de la plus noireenvie:	cessez d'exposer une si chère vie Aux redoutables traits de la plus noireenvie:
Fuyez, ſuyez, Seigneur, de ce Palais affreux, Et croyez pour vos jours ces amis genereux, C’eſt un zele parfait qui pour nous les auime:	Fuyez, suivez, Seigneur, de ce Palais affreux, Et croyez pour vos jours ces amis généreux, C'est un zèle parfait qui pour nous les auime:
Gardez à vos bourreaux de livrer la victime, Le Temple eſt preparé, le ſacrifice eſt preſt, Vous pourriez recevoir le coup avec l’Arreſt.	Gardez à vos bourreaux de livrer la victime, Le Temple est préparé, le sacrifice est prêt, Vous pourriez recevoir le coup avec l'Arrêt.
Helas!	Hélas!
je m’abandonne à cette juſte crainte, Et je cede aux horreurs dont mon ame eſt atteinte, Mais pour vous delivrer de ce coup inhumain Ne venez plus ici que les armes en main, Montrez-vous aux Romains, & leur faites connoître Le Sang de grand Céſar, ſeſs empeſeu, ccur mrriiez Allez Allez de nos deſtins appaiſer la rigueur, Pariſſez, combatez, & revenez vainqueur.	je m'abandonne à cette juste crainte, Et je cède aux horreurs dont mon âme est atteinte, Mais pour vous délivrer de ce coup inhumain Ne venez plus ici que les armes en main, Montrez-vous aux Romains, et leur faites connaître Le Sang de grand César, sess empêeu, ccur mrriiez Allez Allez de nos destins appaiser la rigueur, Parissez, combattez, et revenez vainqueur.
SABINUS.	SABINUS.
Oüi, Madame, j’y cours, & vais tout entreprendre, De ces vaines terteurs tâchez à vous deffendre, Voicy l’heureux inſtant de finir nos malheurs, De detruire un tiran, & d’eſſuyer vos pleurs.	Oui, Madame, j'y cours, et vais tout entreprendre, De ces vaines terteurs tâchez à vous défendre, Voici l'heureux instant de finir nos malheurs, De détruire un tyran, et d'essuyer vos pleurs.
Faſſe le juſte Ciel qu’aujourd’hui la victoire Seconde des projets inſpirez par la gloire, Qu’un ſucces triomphant reponde à nos deſirs, Et banniſſe à jamais vos cruels deplaiſirs.	Fasse le juste Ciel qu'aujourd'hui la victoire Seconde des projets inspirez par la gloire, Qu'un succès triomphant réponde à nos désirs, Et bannisse à jamais vos cruels déplaisirs.
Mon cœur, chere Eponine, à ces grandeurs n’aſpire Que pour mettre à vos pieds le Souverain Empire, Que pour vous rendre un jour Maîtreſſe des Romains Et voir à vos genoux le reſte des humains.	Mon cœur, chère Éponine, à ces grandeurs n'aspire Que pour mettre à vos pieds le Souverain Empire, Que pour vous rendre un jour Maîtresse des Romains Et voir à vos genoux le reste des humains.
Aprés tant de bontez, tant de fermeté d’ame Le Trône ent le ieur plix d'une n'belle flamt, Trop heureux ſi je puis par ſa vive ſplendeur.	Après tant de bontés, tant de fermeté d'âme Le Trône ent le jeur plix d'une n'belle flamt, Trop heureux si je puis par sa vive splendeur.
Recompenſer bien-tôt vôtre fidelle ardeur.	Récompenser bientôt votre fidèle ardeur.
Ah!	Ah!
ſi jamais mon cœur.	si jamais mon cœur.
EPONINE.	EPONINE.
Seigneur, ſongez, de grace, De quel peril ici le deſtin vous menace.	Seigneur, songez, de grâce, De quel péril ici le destin vous menace.
Dans ces lieux Ennemis tout eſt à redouter, D’un tems ſi precieux vous devez profiter, Allez, courez, volez où l’honneur vous convie, Mais ſur tout, Sabinus, menagez vôtre vie.	Dans ces lieux Ennemis tout est à redouter, D'un temps si précieux vous devez profiter, Allez, courez, volez où l'honneur vous convie, Mais sur tout, Sabinus, ménagez votre vie.
ABINUS.	ÀBINUS.
Ah!	Ah!
charmante Eponine, en cet heureux moment, Le ſoin de mon ſalut m’occupe foiblement, Je ne ſonge qu’à vous dans ce peril extréme, C’eſt pour vous que je vis, c’eſt vous ſeule que j’aime, Et je ſacrifierois ſans peine à mon amour La gloire, les grandeurs, & le Sceptre & le jour.	charmante Eponine, en cet heureux moment, Le soin de mon salut m'occupe faiblement, Je ne songe qu'à vous dans ce péril extrême, C'est pour vous que je vis, c'est vous seule que j'aime, Et je sacrifierais sans peine à mon amour La gloire, les grandeurs, et le Sceptre et le jour.
Mais puiſqu’à ce projet vôtre interét m’apelle, Que je vois tant d’amis s’armer pour ma querelle, Il faut les ſatifaire, & bien-tôt ces ſoldats Qui m’offrent à l’ennui le ſecours de leurs bras Les Armes à la main, me verront à leur tête Faire ſur le tiran éclater la tempête.	Mais puisqu'à ce projet votre intérêt m'appelle, Que je vois tant d'amis s'armer pour ma querelle, Il faut les satifaire, et bientôt ces soldats Qui m'offrent à l'ennui le secours de leurs bras Les Armes à la main, me verront à leur tête Faire sur le tyran éclater la tempête.
Oüi, je vais lui porter de redoutables coups, Et je puis tout permettre à mon juſte courroux.	Oui, je vais lui porter de redoutables coups, Et je puis tout permettre à mon juste courroux.
Je ſuis trop irrité pour ſouffrir davantage D’un lâche uſurpateur l’inſolence & l’outrage, Et bravant aujourd’hui le plus affreux danger Je vais aux yeux de tous me perdre ou nous vanger.	Je suis trop irrité pour souffrir davantage D'un lâche usurpateur l'insolence et l'outrage, Et bravant aujourd'hui le plus affreux danger Je vais aux yeux de tous me perdre ou nous venger.
Le Ciel juſte & propice, en faveur de vos larmes, D’un glorieux ſuccés honnorera nos armes, Et puiſque mes deſſeins ſont approuvez des Dieux Bien-tôt comme vainqueur je reverrai ces lieux.	Le Ciel juste et propice, en faveur de vos larmes, D'un glorieux succès honorera nos armes, Et puisque mes desseins sont approuvés des Dieux Bientôt comme vainqueur je reverrai ces lieux.
EPONINE.	EPONINE.
Puiſſent ces mêmes Dieux, recours des miſerablet, Dans ce preſſant beſoin nous être favorables, Puiſſent-ils de nos maux interrompre le cours, Et touchez de mes pleurs prendre ſoin de vos jours.	Puissent ces mêmes Dieux, recours des misérablet, Dans ce pressant besoin nous être favorables, Puissent-ils de nos maux interrompre le cours, Et touchez de mes pleurs prendre soin de vos jours.
Partez, trop digne objet d’une conſtante flâme.	Partez, trop digne objet d'une constante flamme.
A BINUS.	À BINUS.
Adieu, trop vertueuſe & trop aimable femme.	Adieu, trop vertueuse et trop aimable femme.
CENE IV.	CÈNE IV.
EPONINE , PAULINE.	EPONINE , PAULINE.
EPONINE.	EPONINE.
E ſens à ſon depart tout mon corps friſſonner.	E sens à son départ tout mon corps frissonner.
I Ciel!	I Ciel!
quels preſſentimens voulez-vous me donner?	quels pressentiments voulez-vous me donner?
Je vois, loin des honneurs où Sabinus aſpire, Mille triſtes objets dont tout mon cœur ſoupire;	Je vois, loin des honneurs où Sabinus aspire, Mille tristes objets dont tout mon cœur soupire;
J’entrevoi les apprêts d’un funeſte trépas, Et mon Epoux ſanglant expirer dans mes bras.	J'entrevoi les apprêts d'un funeste trépas, Et mon Époux sanglant expirer dans mes bras.
A cet horrible aſpect, cette image cruelle, Mon courage s’étonne, & ma raiſon chancelle, Je ne puis exprimer le trouble où je me voy Et tout ce que j’entens redouble mon effroy.	À cet horrible aspect, cette image cruelle, Mon courage s'étonne, et ma raison chancelle, Je ne puis exprimer le trouble où je me vo Et tout ce que j'ents redouble mon effroi.
PAULINE.	PAULINE.
Pourquoi vous arrêter à ces injuſtes craintes?	Pourquoi vous arrêter à ces injustes craintes?
Raſſurez-vous, Madame, & fineſſez vos plaintes, D’un orage ſi prompt Veſpaſien troublé Avant qu’être en deffenſe en doit être accablé, Et n’étant point inſtruit de tout ce qui s’apréte La foudre, ſans éclat, va tomber ſur ſa tête.	Rassurez-vous, Madame, et finessez vos plaintes, D'un orage si prompt Vespasien troublé Avant qu'être en défense en doit être accablé, Et n'étant point instruit de tout ce qui s'apprête La foudre, sans éclat, va tomber sur sa tête.
EPONINE.	EPONINE.
Ah!	Ah!
pour authoriſer les malheurs que je crains, Combien ont ſotcombé dans de pareils deſſeins!	pour autoriser les malheurs que je crains, Combien ont sotcombé dans de pareils desseins!
Pour arriver au Trône, & pour y prendre place, Entre mourir & vaincre il n’eſt aucun eſpace, Et fouvent tel qui croit monter à ce haut rang En voit les premiers pas arroſez de ſon ſang.	Pour arriver au Trône, et pour y prendre place, Entre mourir et vaincre il n'est aucun espace, Et souvent tel qui croit monter à ce haut rang En voit les premiers pas arrosez de son sang.
La fortune y fait plus que les vertus ſuprémes, Elle ſeule à ſon gré donne les diadémes, La noire trahiſon, le Sacrilege affreux Tait legner quelque fois ſe vice frop heureux, Et le Ciel en courroux, au lieu de ſon tonnerre Se ſert de ces tirans pour ravager la terre.	La fortune y fait plus que les vertus suprêmes, Elle seule à son gré donne les diadèmes, La noire trahison, le Sacrilège affreux Tait legner quelque fois se vice frop heureux, Et le Ciel en courroux, au lieu de son tonnerre Se sert de ces tyrans pour ravager la terre.
CENE 7.	CÈNE 7.
VESPASIEN, EPONINE, MUCIEN, PAULINE, GARDES.	VESPASIEN, EPONINE, MUCIEN, PAULINE, GARDES.
SPASIEN.	SPASIEN.
U’on redouble ma garde, allez, cher Mucien, J Diſpoſez, ordonnez, & ne negligez rien, Il faut ſe garantir d’une telle ſurpriſe, Et faire, s’il ſe peut avorter l’entrepriſe.	QU'on redouble ma garde, allez, cher Mucien, J Disposez, ordonnez, et né négligez rien, Il faut se garantir d'une telle surprise, Et faire, s'il se peut avorter l'entreprise.
Pormez un Dataiſion de nos Pretoriens, Je me rendtai bien-tôt à la tête des miens.	Pormez un Dataision de nos Prétoriens, Je me rendtai bientôt à la tête des miens.
Mucien rentre.	Mucien rentre.
EPONINE.	EPONINE.
Qu’entens-je, juſtes Dieux!	Qu'entends-je, justes Dieux!
tout eſt perdu, Pauline, Sabiuus va perir.	tout est perdu, Pauline, Sabivus va périr.
ESPASIEN.	ÉPASIEN.
Iuhumaine Eponine, Ce n’étoit pas aſſez de rejetter ma foy, Il vous falloit encore attenter contre moy *4 Quand je veux avec vous partager mon Empire, Par vôtre ordre cruel j’aprens que l’on conſpire, Et pour en confirmer les fidelles avis Deux de ves Conjurez vienneur d’être ſurpris,	Juhumaine Eponine, Ce n'était pas assez de rejetter ma foi, Il vous fallait encore attenter contre moi *4 Quand je veux avec vous partager mon Empire, Par votre ordre cruel j'apprends que l'on conspire, Et pour en confirmer les fidèles avis Deux de vez Conjurez ienneur d'être surpris,
Jai J’ai ſçû par leur raport les noms de ves Complices, Et tout eſt preparé pour leurs juſtes ſaplices.	Jai LICes pu par leur rapport les noms de vez Complices, Et tout est préparé pour leurs justes saplices.
Un diſcours populaire, un murmure confus, Fait au bout de nenf ans revivre Sabinus, Ainſi l’on a recours à des fables groſſieres Pour ſouſtraire au devoir mes Legions guerrieres:	Un discours populaire, un murmure confus, Fait au bout de nenf ans revivre Sabinus, Ainsi l'on a recours à des fables grossières Pour soustraire au devoir mes Légions guerrières:
Mais bien-tôt leur valeur & leur fidelité Puniront hautement cette temerité.	Mais bientôt leur valeur et leur fidélité Puniront hautement cette témérité.
Pour tous ces Criminels n’attendez point de grace, Leur ſuplice dans peu va ſuivre la menace, Et ces perfides Cœurs, au milieu des bourreaux Vont éprouver ici mille tourmens nouveaux.	Pour tous ces Criminels n'attendez point de grâce, Leur suplice dans peu va suivre la menace, Et ces perfides Cœurs, au milieu des bourreaux Vont éprouver ici mille tourments nouveaux.
EPONINE.	EPONINE.
Va, je crains peu, Tirau, la fureur qui t’iuſpire, Ne crois pas m’étonner;	Va, je crains peu, Tirau, la fureur qui t'iuspire, Ne crois pas m'étonner;
tu feins que l’ou couſpire Pour avoir un pretexte à t’armer de rigueur Contre ceux dont la gloire allarme ta grandeur, Ou plûtôt tu pretens, par ce lache artifice, Deguiſer à leurs yeux ton indigne avarice, Et ta nul lais dn eile anii du te lauis Des grands biens dont l’apas excite ton deſir.	tu feins que l'ou couspire Pour avoir un prétexte à t'armer de rigueur Contre ceux dont la gloire alarme ta grandeur, Ou plutôt tu prétends, par ce la artifice, Déguiser à leurs yeux ton indigne avarice, Et ta nul lais d ' anni du te lauis Après grands biens dont l'appas excite ton désir.
Ah!	Ah!
je ne lis que trop dans le fond de ton ame Et je connois d’où part le courroux qui t’enflâme.	je ne lis que trop dans le fond de ton âme Et je connais d'où part le courroux qui t'enflamme.
S CENE VI.	 SENE VI.
VESPASIEN, EPONINE, DOMITIE, PAULINE, GARDES.	VESPASIEN, EPONINE, DOMITIE, PAULINE, GARDES.
DOMITIE.	DOMITIE.
IL eſt trop vrai, Seigneur, & je n’en doute plus.	IL est trop vrai, Seigneur, et je n'en doute plus.
I Ces perfides Mutins ont pour Chef Sabinus, Moi-même d’un balcon je viens de reconnoître Ce ſuperbe Gaulois que l’Enfer fait renaître, Il approche, il combat, & nos Pretoriens S’ébranlent fierement pour marcher vers les ſiens.	I Ces perfides Mutins ont pour Chef Sabinus, Moi-même d'un balcon je viens de reconnaître Ce superbe Gaulais que l'Enfer fait renaître, Il approche, il combat, et nos Pretoriens S'ébranlent fièrement pour marcher vers les siens.
C’eſt un amas confus de Drapeaux, d’Aigles, d’Armes, Le Senat eſt troublé, le Palais eu allarme, Le deſordre eſt par tout, & vous devez courir Soutenir vos Soldats, triompher ou perir.	C'est un amas confus de Drapeaux, d'Aigles, d'Armes, Le Sénat est troublé, le Palais eu alarme, Le désordre est par tout, et vous devez courir Soutenir vos Soldats, triompher ou périr.
VE S	VE S
ESPASIEN à Eponine.	ÉPASIEN à Éponine.
Quoi, perfide, il eſt vrai.	Quoi, perfide, il est vrai.
DOMITIE.	DOMITIE.
Seigneur, point de reproche, Songez que de ces lieux vôtre rival s’approche, Anez uone, & bien-tot puniſſant l’attentat Immolez-le ſans crainte au repos de l’Etat.	Seigneur, point de reproche, Songez que de ces lieux votre rival s'approche, Anez uone, et bientôt punissant l'attentat Immolez-le sans crainte au repos de l'État.
EPONINE.	EPONINE.
Ah!	Ah!
Seigneur, épargnez.	Seigneur, épargnez.
ESPASIEN.	ÉPASIEN.
Non, non, plus d’indulgence, Il faut par mille morts aſſouvir ma vangeance, Et faiſé des Mutins un affreux châtiment.	Non, non, plus d'indulgence, Il faut par mille morts assouvir ma vengeance, Et faisé des Mutins un affreux châtiment.
Vous, Gardes, qu’on l’obſerve en ſon apartement.	Vous, Gardes, qu'on l'observe en son appartement.
Mol, je cours me ranger où mon devoir m’apelle.	Mol, je cours me ranger où mon devoir m'appelle.
EPONINE en ſortant.	ÉPONINE en sortant.
O.	Ô.
Ciel, tu mets le comble à ma douleur mortelle.	Ciel, tu mets le comble à ma douleur mortelle.
SCENE VII.	SCÈNE VII.
DOMITIE ſeule.	DOMITIE seule.
T bien, injuſtes Dieux, vous l’avez donc permis?	T bien, injustes Dieux, vous l'avez donc permis?
L Vous voulez proteger nos cruels Ennemis Ces jaloux du grand nom de Maîtres de la terre Qui ſortent du Cerceüil pour nous faire la guerre?	L Vous voulez protéger nos cruels Ennemis Ces jaloux du grand nom de Maîtres de la terre Qui sortent du Cerceüil pour nous faire la guerre?
Mais ma noble fierté bravant vôtre rigueur, Ne peut dans ce peril abandonner mon cœur.	Mais ma noble fierté bravant votre rigueur, Ne peut dans ce péril abandonner mon cœur.
Si la Victoire ici ne ſuit pas mon envie J’éviterai leur rage en terminant ma vie, Et la flâme & le fer me vangeront enfin De ce qu’en leur faveur oſera le deſtin.	Si la Victoire ici ne suit pas mon envie J'éviterai leur rage en terminant ma vie, Et la flamme et le fer me vengeront enfin De ce qu'en leur faveur osera le destin.
Puis que mon juſte orgueil ne peut ſouffrir qu’à peine De voir en d’autres mains la grandeur Souveraine, Que pour monter au Trône avec Domitien J’en voudrois même encor chaſſer Veſpaſien, Puis-je à d’autres qu’à lui ceder le rang ſupréme, Et perdre, ſans mourir, l’eſpoir du Diadéme?	Puis que mon juste orgueil ne peut souffrir qu'à peine En voir en d'autres mains la grandeur Souveraine, Que pour monter au Trône avec Domitien J'en voudrais même encor chasser Vespasien, Puis-je à d'autres qu'à lui céder le rang suprême, Et perdre, sans mourir, l'espoir du Diadème?
Non, non, la mort n’eſt pas ſi terrible pour moy Que la crainte & l’horreur des maux que je prevoy.	Non, non, la mort n'est pas si terrible pour moi Que la crainte et l'horreur des maux que je prévois.
Mais Mais pourquoy ces frayeurs, d’où viennent ces allarmes?	Mais Mais pourquoi ces frayeurs, d'où viennent ces alarmes?
Il faut attendre tout du ſuccés de nos armes, Et dans ce jour fatal tant de braves Soldats Exercez dés long-temps aux plus rudes combats, Excitez par l’honneur, animez par la gloire, Feront bien-tôt pour nous declarer la victoire.	Il faut attendre tout du succès de nos armes, Et dans ce jour fatal tant de braves Soldats Exercez dés longtemps aux plus rudes combats, Excitez par l'honneur, animez par la gloire, Feront bientôt pour nous déclarer la victoire.
Ouy, j’eſpere qu’ici leur genereux effort Sçaura nous arracher aux cruautez du ſort, Et par d’heureux exploits nous aſſurant l’Empire Surmonter l’ennemi qui cherche à nous détruire.	Oui, j'espère qu'ici leur généreux effort Saura nous arracher aux cruautés du sort, Et par d'heureux exploits nous assurant l'Empire Surmonter l'ennemi qui cherche à nous détruire.
Cependant obſervons la Gauloiſe en ces lieux, Et ſi le ſang verſé peut apaiſer nos Dieux, ii faut ians conſulter les vertus ni les crimes, Et qu’elle & Sabinus me ſervent de victimes.	Cependant observons la Gauloise en ces lieux, Et si le sang versé peut apaiser nos Dieux, ji faut jants consulter les vertus ni les crimes, Et qu'elle et Sabinus me servent de victimes.
ACTE IV.	ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
DOMITIE, SULPICIE.	DOMITIE, SULPICIE.
DOMITIE.	DOMITIE.
Ue je crains du combat le ſuccés incertain!	Que je crains du combat le succès incertain!
OJe cours dans ce Palais, & je m’agite en vain.	OJe cours dans ce Palais, et je m'agite en vain.
Tou't tremble, tout fremit en ces rudes allarmes, Je ne vois que des morts, des bleſſez & des armes.	Tout tremble, tout frémit en ces rudes alarmes, Je ne vois que des morts, des blessez , des armes.
Déja juſqu’en ces lieux mille cris parvenus Font retentir par tout le nom de Sabinus.	Déjà jusqu'en ces lieux mille cris parvenus Font retentir par tout le nom de Sabinus.
Le Ciel, l’injuſte Ciel, en le comblant de gloire, Voudroit-il à ſon bras accorder la victoire?	Le Ciel, l'injuste Ciel, en le comblant de gloire, Voudrait-il à son bras accorder la victoire?
Qu’en lui prêtant ſecours il le rende vainqueur, Il ne pourra du moins triompher de mon cœur:	Qu'en lui prêtant secours il le rende vainqueur, Il ne pourra du moins triompher de mon cœur:
Je ſçauray par ma mort prévenir ſon envie, Et je ſuis déja prête à ſortir de la vie.	Je saurai par ma mort prévenir son envie, Et je suis déjà prête à sortir de la vie.
Mais ſuivant les tranſports d’un trop juſte courroux Sur la fiere Eponine il faut porter mes coups, Et dans mon deſeſpoir, pourſuivant ma vengeance Contenter ma fureur en perdant qui m’offenſe.	Mais suivant les transports d'un trop juste courroux Sur la fière Éponine il faut porter mes coups, Et dans mon désespoir, poursuivant ma vengeance Conter ma fureur en perdant qui m'offense.
Ouy, je veux, Sulpicie, en cette occaſion Sacrifier ſes jours à mon averſion, Et m’immoler aprés ſi le deſtin barbare En faveur des mutins aujourd’hui ſe declare.	Oui, je veux, Sulpicie, en cette occasion Sacrifier ses jours à mon aversion, Et m'immoler après si le destin barbare En faveur des mutins aujourd'hui se déclare.
LPICIE.	LPICIE.
Pourquoy contre ſes jours armer vôtre rigueur?	Pourquoi contre ses jours armer votre rigueur?
Son Sexe, ſa beauté doit toucher vôtre cœur.	Son Sexe, sa beauté doit toucher votre cœur.
vons ne pouvez ſans crime avoir cette penſée Dont ſeroit à jamais vôtre gloire offenſée.	vons ne pouvez sans crime avoir cette pensée Dont serait à jamais votre gloire offensée.
DOMITIE.	DOMITIE.
Ma gloire eſt attachée au Trône où je prétens, Qu’importe d’y monter par des degrez ſanglans?	Ma gloire est attachée au Trône où je prétends, Qu'importe d'y monter par des degré sanglants?
Je n’ay devant les yeux tuei peur a en aelcendre, Et pour m’y maintenir je dois tout entreprendre.	Je n'ai devant les yeux tuei peur a en alendre, Et pour m'y maintenir je dois tout entreprendre.
Mais que vois-je?	Mais que vois-je?
ENE II.	ENE II.
VESPASIEN, DOMITIE, SULPITIE, GARDES	VESPASIEN, DOMITIE, SULPITIE, GARDES
DOMITIE.	DOMITIE.
Sorgez que ſon trépas fait votre ſureté.	Sorgez que son trépas fait votre fureté.
SCENE	SCÈNE
TRAGEDIE.	TRAGÉDIE.
SCENE III.	SCÈNE III.
45 VESPASIEN, SABINUS, DOMITIE, SULPTCIE, GARDES.	45 VESPASIEN, SABINUS, DOMITIE, SULPTCIE, GARDES.
SABINUS.	SABINUS.
E bien, à mes deſſeins la fortune contraire, II M’expoſe encor un coup à toate ta colere, Et le ſort contre moy ne s’eſt point dementi Abandounant pour moy le plus juſte parti.	E bien, à mes desseins la fortune contraire, II M'expose encor un coup à tate ta colère, Et le sort contre moi ne s'est point démenti Abandounant pour moi le plus juste parti.
N’attens pas que mon cœur ſe trahiſſe ou ſe trouble, Plus le deſtin m’abat, plus ma vertu redouble.	N'attends pas que mon cœur se trahisse ou se trouble, Plus le destin m'abat, plus ma vertu redouble.
Je cherche le trépas, & crains peu ta fureur, Quoy que vaincu deux fois je ſuis ton Empereur, Tu ne ſçaurois m’ôter ce ſupréme avantage.	Je cherche le trépas, et crains peu ta fureur, Quoi que vaincu deux fois je suis ton Empereur, Tu ne saurais m'ôter ce suprême avantage.
Romains, de Jule en moy reconnoiſſez l’image, Ses ennemis ſecrets, par un aſſaſſinat, L’immoletent, jadis, au milieu du Senat, Et luion aujauld nur le tans dece grand Homme Prêt à ſoüiller les mains du fier Tyran de Rome.	Romains, de Jule en moi reconnaissez l'image, Ses ennemis secrets, par un assassinat, L'immoletent, jadis, au milieu du Sénat, Et luion aujauld nur le tans déce grand Homme Prêt à souriller les mains du fier Tyran de Rome.
Triſte conformité que le Ciel en courroux Fait dans nos derniers jours éclater entre nous.	Triste conformité que le Ciel en courroux Fait dans nos derniers jours éclater entre nous.
SSPASIEN.	SSPASIEN.
Ceſſe par ces diſcours d’irriter ma vangeance, Et tache bien plûtôt d’exciter ma ciemence.	Cesse par ces discours d'irriter ma vengeance, Et tache bien plutôt d'exciter ma cièmence.
Toy, qui ſembles revivre, & ſortir du cerceuil Pour venir à mes yeux étaler ton orgueil, Que fais-tu, malheureux?	Toi, qui sembles revivre, et sortir du cerçuil Pour venir à mes yeux étaler ton orgueil, Que fais-tu, malheureux?
& quel aſtre ſevere Offre encore ta vie à ma juſte colere?	et quel astre sévère Offre encore ta vie à ma juste colère?
