ARGVMENT DE LA PRESENTE COMEDIE.	ARGUMENT DE LA PRÉSENTÉ COMÉDIE.
Mais qui luy a donné ceſte ſubtillité De demander cela, ha!	Mais qui lui a donné cette subtillité De demander cela, ha!
ceſt quelque bon ange Pour du ciel admirer qu’a mon vueil il ſe range Afin de le tirer de la gueule d’enfer:	cest quelque bon ange Pour du ciel admirer qu'a mon veueil il se range Afin de le tirer de la gueule d'enfer:
Mais ce n’eſt pas cela, ſus, ſus, ô Lucifer Delaiſſez le cocyte, & vos demeures ſombreuſes, Les fleaux, les foüets, les feux, les manes & les ombres, Et venez en ce lieu, eſchauffé du Soleil, Au fortuné Pharos, donner quelque conſeil:	Mais ce n'est pas cela, sus, sus, ô Lucifer Delaissez le cocyte, et vos demeures sombreuses, Les fléaux, les foncets, les feux, les mânes et les ombres, Et venez en ce lieu, échauffé du Soleil, Au fortuné Pharos, donner quelque conseil:
Venez, venez, grand Roy de la noire cohorte Puiſque de m’aſsiſter ie vous prie & exhorte, Venez, diſ-je venez, prince des noirs cachos Sur ce vaſte element pour ſecourir Pharos?	Venez, venez, grand Roi de la noire cohorte Puisque de m'assister ici vous prie et exhorte, Venez, dis-je venez, prince des noirs cachos Sur ce vaste élément pour secourir Pharos?
Lucifer.	Lucifer.
Hé bien!	Hé bien!
que me veux-tu?	que me veux-tu?
quel point t’eſt ſalutaire, Dis moy ſubitement car i’ay ailleurs affaire.	quel point t'est salutaire, Dis moi subitement car j'ai ailleurs affaire.
Pharos.	Pharos.
Ie vous veux demander mon reueré Seigneur Raiſon ſus vn obiect qui m’afflige le cœur, Car le fin Flodoar, teſtu comme vne mulle Indubitablement, veut r’auoir ſa cedulle Si on ne luy baſtiſt la merueilleuſe tour Dequoy ie vous parlay en enfer l’autre iour.	Je vous veux demander mon révéré Seigneur Raison sus un objet qui m'afflige le cœur, Car le fin Flodar, têtu comme une mulle Indubitablement, veut rauoir sa cedulle Si on ne lui bât la merveilleuse tour Dequoi quelque vous parlai en enfer l'autre jour.
Lucifer.	Lucifer.
Il te faudroit encor garotté de liens Eſtriller fermement d’icy à ſix ſemaines, Car au lieu de tromper ſubtil la gent humaine Tu te laiſſe attraper ainſi qu’vn renardeau, Tu t’oblige toy meſme & baille le cordeau, Dequoy il te faudroit au haut Mon-faucon pendre, Rebaille luy ſon ſait, mais tu te peux attendre D’eſtre dans le Senat de noſtre noir pallais Eſpouſté cent fois plus qu’vn cheual de relais, Afin de te monſtrer le deu de ton ſeruice.	Il te faudrait encor garotté de liens Estriller fermement d'ici à six semaines, Car au lieu de tromper subtil la gent humaine Tu te laisse attraper ainsi qu'un renardeau, Tu t'oblige toi même et baille le cordeau, Dequoi il te faudrait au haut Mon-faucon pendre, Rebaille était son sait, mais tu te peux attendre D'être dans le Sénat de notre noir pallais Espousté cent fois plus qu'un cheval de relais, Afin de te montrer le de devion service.
Ie m’en vais de ce pas aſſembler la police Des paluds infernaux pour ſçauoir quel tourment	Je m'en vais de ce pas assembler la police Des paluds infernaux pour savoir quel tourment
Lucifer.	Lucifer.
Ton pouuoir & le mien cela ne peut comprendre, Car ce ſeroit vouloir arrogant entreprendre D’arreſter les autans ou les flots de la mer, Que de penſer iamais ceſte tour eriger.	Ton pouvoir et le mien cela ne peut comprendre, Car ce serait vouloir arrogant entreprendre D'arrêter les autant ou les flots de la mer, Que de penser jamais cette tour ériger.
Pharos.	Pharos.
I’ay grand dueil de cela, mais ie le diſsimule, Hé bien luy remettray-je entre mains ſa cedulle, Il me tient plus lié cent fois que ne le tiens.	J'ai grand deuil de cela, mais ainsi le dissimule, Hé bien lui remettrai-je entre mains sa cédulle, Il me tient plus lié cent fois que ne le tiens.
Pharos.	Pharos.
Hé!	Hé!
qui ent augure cente miene graue.	qui ent augure cente miene grave.
Lucifer.	Lucifer.
Il n’appartient iamais au diable d’eſtre eſclaue Ny de s’obliger meſme enuers aucun humain.	Il n'appartient jamais au diable d'être esclave Ni de s'obliger même envers aucun humain.
Pharos.	Pharos.
* lo perriolo Patrrapper pur all lubeir denein, Mais il ma attrappe par vne autre fineſſe.	* lo perriolo Patraper pur all ubeir denein, Mais il ma attrape par une autre finesse.
Lucifer.	Lucifer.
Allez, allez glouton luy rendre ſa promeſſe Que iamais en enfer ne puiſsiez vous rentrer, Ny bon heur, ny repos en vos iours rencontrer.	Allez, allez glouton lui rendre sa promesse Que jamais en enfer ne puissiez vous rentrer, Ni bon heur, Seigneur repos en vos jours rencontrer.
Pharos.	Pharos.
Commandez, Flodoar, vn baſtiment plus moindre Car mon pouuoir ne peut à ceſt ouurage atteindre.	Commandez, Flodoar, un bâtiment plus moindre Car mon pendant ne peut à cet ouvrage atteindre.
Commandez moy pluſtoſt de voller dans les airs, De fendre les coſtaux, ou d’irriter les mers, D’obſcurcir le Soleil, de prouocque la foudre, De mettre les chaſteaux, & les pallais en poudre, D’enfanter des eſclairs horribles & hydeux, De faire cheoir du ciel les flambeaux radieux, De briſer les cyprés, de terraſſer les heſtres, Ou de faire trembler ce grand globe terreſtre:	Commandez moi plutôt de voler dans les airs, De fendre les coteaux, ou d'irriter les mers, D'obscurcir le Soleil, de provocque la foudre, De mettre les châteaux, et les pallais en poudre, D'enfanter des éclairs horribles et hideux, De faire cheoir du ciel les flambeaux radieux, De briser les cyprès, de terrasser les hères, Ou de faire trembler ce grand globe terrestre:
Voire encor d’obſcurcir la lumiere du iour Et ne me commandez de baſtir ceſte tour.	Voire encor d'obscurcir la lumière du jour Et ne me commandez de bâtir cette tour.
Flodoar.	Flodoar.
Hé bien!	Hé bien!
qu'eſt-ce Pharos, auez vous en penſée Derendre ma promeſſe ainſi comme caſſée, Ou ſi vous deſirez me baſtir celle tour Qui aille voiſinant les feux du ſainct ſejour.	qu'est-ce Pharos, avez vous en pensée Dérendre ma promesse ainsi comme cassée, Ou si vous désirez me bâtir celle tour Qui aille voisinant les feux du saint séjour.
Flodoar Capitaine.	Flodoar Capitaine.
Ceſt en vain, ô Pharos tout ce que tu propoſe, Car ie ne veux de toy ne deſire autre choſe Que de voir ceſte tour ſelon ma volonté Les aſtres voiſiner du ciel aſtre vouté, Que ſi tu ne peux pas parfaire ceſt ouurage Rends moy ſoudain mon fait?	Cest en vain, ô Pharos tout ce que tu propose, Car tu ne veux de toi ne désire autre chose Que de voir cette tour selon ma volonté Les astres voisiner du ciel astre vouté, Que si tu ne peux pas parfaire cet ouvrage Rends moi soudain mon fait?
Pharos.	Pharos.
Ne faut tant de langage, Si ie te rends ton fait que autre ihuitre don Me termineras-tu pour gracieux guerdon?	Ne faut tant de langage, Si On te rends ton fait que autre ihuitre donc Me termineras-tu pour grâces guerdon?
Fledoar Capitaine.	Flédoar Capitaine.
Ie te termineray mille fieures cartaines, Et du Boſphore obſcur les innombrables peines, Les foüets, les fleaux, les feux, & les ſerpens retords Que les pauures d’amnez ſupportent ſur leurs corps.	Je te terminerai mille fièvres cartaines, Et du Bosphore obscur les innombrables peines, Les fouets, les fléaux, les feux, et les serpens retords Que les pauvres d'amnés supportent sur leurs corps.
Pharos.	Pharos.
Voilà vn beau preſent, ô parjure infidele Pour t’auoir racheté d’vne mort criminelle.	Voilà un beau présent, ô parjure infidèle Pour t'avoir racheté d'une mort criminelle.
Flodoar Capitaine.	Flodoar Capitaine.
C’eſt toy qui eſt parjure, ô perfide demon, Car ne pouuant fournir à mon affection Tu me contrains briſer ma loyalle promeſſe.	C'est toi qui est parjure, ô perfide démon, Car ne pouvant fournir à mon affection Tu me contrains briser ma loyalle promesse.
Pharos.	Pharos.
Si tout le monde eſtoit auſsi plein de fineſſe Que tu l’es pour ta part nos tenebreux enfers N’auroyent que faire d’eſtre à tous moments ouuers.	Si tout le monde était aussi plein de finesse Que tu l'es pour ta part nos ténébreux enfers N'auraient que faire d'être à tous moments ouverts.
Pharos.	Pharos.
l'iens, le voila ingrat, tiens le vonla rauſſaire.	l'yens, le voilà ingrat, tiens le vonla raussaire.
Flodoar Capitaine.	Flodoar Capitaine.
I’ay bieu eu du tourment pour de toy me diſtraire.	J'ai bieu eu du tourment pour de toi me distraire.
Pharos.	Pharos.
I’en auray encor plus dans les enfers pour toy.	J'en aurai encor plus dans les enfers pour toi.
Flodoar Capitaine.	Flodoar Capitaine.
Va aux rocs, centateur, recſtel ton elſioy.	Va aux rocs, centateur, récstel ton élsioi.
Va diſ-je te bruſler dans le feu perdurable,	Va dis-je te brûler dans le feu perdurable,
Pharos.	Pharos.
Adieu traiſtre menteur, peifide & excecrable.	Adieu traître menteur, péifide et excecrable.
Garde toy bien de cheoir tant ſoit peu dans mes lacs.	Garde toi bien de choir tant soit peu dans mes lacs.
Flodoar ſeul.	Flodoar seul.
O Monarque diuin dont les brillans eſclats Eſclairent le circuit de ce grand territoire, Benit ſoit à iamais ton renom & ta gloire Puiſque tu m’as gardé entre tant de dangers De ceſt orque bourgeois des tenebreux enfers, Des vagues de Neptun, de la main imployable Du Roy de Babylon fier & innexorable, Et de mille malheurs ou ie me ſuis trouué, Et où i’ay ta faueur ſainctement eſprouué?	Ô Monarque divin dont les brillants éclats Esclairent le circuit de ce grand territoire, Bénit soit à jamais ton renom et ta gloire Puisque tu m'as gardé entre tant de dangers De cet orque bourgeois des ténébreux enfers, Des vagues de Neptun, de la main imployable Du Roi de Babylon fier et innexorable, Et de mille malheurs ou à me suis trouvé, Et où j'ai ta faveur sainte éprouvé?
Garde moy donc touſiours (ô!	Garde -moi donc toujours (ô!
Seigneur) de moleſte, Et me donne à la fin le Royaume celeſte.	Seigneur) de moleste, Et me donne à la fin le Royaume celeste.
FIN.	FIN.
