TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
Si i’ay ces qualitez en moy ie les ignore, Ie ne ſuis point Soleil, ie ne ſuis point Aurore:	Si j'ai ces qualités en moi -je les ignore, Je ne suis point Soleil, Seigneur ne suis point Aurore:
Quoy que ie ſois pourtant tout ce que vous voudrez, Ie veux ſuiure la loy que vous me preſcrirez.	Quoi que ici sois pourtant tout ce que vous voudrez, Je veux suivre la loi que vous me prescrirez.
Nommez-moy ſeulement femme, mais qui vous ayme Tenez-le pour certain à l’eſgal d’elle-meſme, Que vous obligerez s’il vous plaist d’accepter L'offre qu'elle vous fait icy ſans en douter.	Nommez-moi seulement femme, mais qui vous aime Tenez-le pour certain à l'égal d'elle-même, Que vous obligerez s'il vous plaît d'accepter L'offre qu'elle vous fait ici sans en douter.
FLORESTAN.	FLORÊTAN.
Fut-il iamais fortune à la mienne pareille?	Fut-il jamais fortune à la mienne pareille?
Ie ne ſçay ſi ie dors, grands Dieux, ou ſi ie veille.	Je ne sais si belle dors, grands Dieux, ou si ici veille.
Si l’on gouſte en dormant des plaiſirs ſi parfaits?	Si l'on goûte en dormant des plaisirs si parfaits?
Iuſte Ciel permets-moy de dormir à iamais.	Juste Ciel permets-moi de dormir à jamais.
ANGELIQVE.	ANGELIQUE.
Des ſieges promptement.	Des sièges promptement.
Lucinde, & Iſabelle leur prẽſentent chacun vne chaire auec de profondes reuerences.	Lucinde, et Isabelle leur prẽsentent chacun chaire avec de profondes révérences.
Angellque & Floreſtan deuiſent bas.	Angelque et Florêtan devisent bas.
CARRILLE.	CARRILLE.
Ie ne fus en ma vie Surpris comme ie ſuis, que mon ame eſt rauie, Est-ce vne illuſion, ou quelque enchantement?	Je ne fus en ma vie Surpris comme on suis, que mon âme est ravie, Est-ce une illusion, ou quelque enchantement?
I SABELLE à Lucinde.	I SABELLE à Lucinde.
Apellons ce valet, le diuertiſſement N'en ſera point mauuais, faiſons luy des careſſes.	Apelons ce valet, le divertissement N'en sera point mauvais, faisons lui des caresses.
LVCINDE appellant Carrille.	LUCINDE appelant Carrille.
Hola-haus mon amy.	Holà-haus mon ami.
CARRILLE.	CARRILLE.
Mes Reynes, mes Princeſſes, Vous voulez m’attraper par quelque illuſion, Qui de vous à changé mon argent en charbon?	Mes Reines, mes Princesses, Vous voulez m'attraper par quelque illusion, Qui de vous à changé mon argent en charbon?
ISABELLE.	ISABELLE.
Ah quelle fauſſeté!	Ah quelle fausseté!
quelle inſigne ſottiſe.	quelle insigne sottise.
CARRILLE.	CARRILLE.
Le mien n’eſtoit point faux c’estoit argent de miſe.	Le mien n'était point faux c'était argent de mise.
Approche toy.	Approche toi.
LVCINDE.	LUCINDE.
alaqjuaniess CARRILLE.	alaqjuaniess CARILLE.
Non, non, ie ſuis fort bien icy,	Non, non, Seigneur suis fort bien ici,
ISABELLE.	ISABELLE.
As-tu peur?	As-tu peur?
qui te met en ſoucy?	qui te met en souci?
Tu ſembles interdit, qu’eſt-ce qui t’espouuente?	Tu sembles interdit, qu'est-ce qui t'épouvante?
CARRILLE.	CARRILLE.
Quelque valet d’Enfer en habit de ſuiuante;	Quelque valet d'Enfer en habit de suivante;
Comme il a tantoſt fait me pourroit teſtonner.	Comme il a tantôt fait me pourrait têtonner.
ISABELLE.	ISABELLE.
Reſponde-nous à propos ceſſe de boufonner	Responds-nous à propos cesse de bouffonner
CARRILLE.	CARRILLE.
Vous-parlerez long-temps auant que ie reſponde, I’abhorre l’entretien des gens de l’autre monde, Ie n’iray pas, vous dis-je, & ie ſçay bien pourquoy.	Vous-parlerez longtemps avant que Dieu réponde, J'abhorre l'entretien des gens de l'autre monde, Je n'irai pas, vous dis-je, et ie sçay bien pourquoi.
ISABELLE.	ISABELLE.
Ie ſp̧ay que tu viendras meſme en depit de toy.	Je sais que tu viendras Seigneur en dépit de toi.
CARRILLE.	CARRILLE.
y desentahepleas.	y désentahépleas.
ISABELLE.	ISABELLE.
Ah l’eſtrange impoſture!	Ah l'étrange imposture!
CARRILLE.	CARRILLE.
Ie n’eſchaperay point ſi ie ne les conjure, Ie dois icy tout craindre, & ne rien esperer.	Je n'échapperai point si ici ne les conjure, Je dois ici tout craindre, et ne rien espérer.
Mais ie ne ſçay comment il les faut conjurer.	Mais ici ne sais comment il les faut conjurer.
Retirez-vous maudites Ames, Au fond des infernales flames, Quoy que ie ſois du rang des ſots, Ie vous aſſeure ombres ſans os, Et ie vous le dis en trois mots Que l’impitoyable Atropos, Que Rhadamante, & que Minos;	Retirez-vous maudites Ames, Au fond des infernales flammes, Quoi que quelque sois du rang des sots, Je vous assure ombres sans os, Et ainsi vous le dis en trois mots Que l'impitoyable Atropos, Que Rhadamante, et que Minos;
Trouueront tous trois à propos, Que vous me laißiez en repos, Et que vous me tourniez le dos.	Trouveront tous trois à propos, Que vous me laissiez en repos, Et que vous me tourniez le dos.
ISABELLE.	ISABELLE.
Tu crois par ces vains mots auoir quelque puiſſance, Nous ſçauons comme il faut chaſtier l’inſolence.	Tu crois par ces vains mots avoir quelque puissance, Nous sçauons comme il faut châtier l'insolence.
Nous t’allons eſtrangler ſi tu dis vn ſeul mot.	Nous t'allons étrangler si tu dis un seul mot.
CARRILLE.	CARRILLE.
Ie ne parleray plus, ie ne ſuis pas ſi ſot, Pardonnez s’il vous plaiſt à mon effronterie A deux genoux icy Carrille vous en prie, Au moins permettez-moy d'auoir vn peu de peur.	Je ne parlerai plus, Madame ne suis pas si sot, Pardonnez s'il vous plaît à mon effronterie A deux genoux ici Carrille vous en prie, Au moins permettez-moi d'avoir un peu de peur.
ISABELLE.	ISABELLE.
Aht inſigne maraut, quoy?	Aht insigne maraud, quoi?
n’as-tu point de cœur?	n'as-tu point de cœur?
CARRILLE.	CARRILLE.
Non, ie n’en eu iamais pour reſiſter aux Diables.	Non, Seigneur n'en eu jamais pour résister aux Diables.
LVCINDE.	LUCINDE.
Mais te parroiſſons-nous ſi fort eſpouuentables?	Mais te parraisons-nous si fort espouuentables?
CARRILLE.	CARRILLE.
Mais ces attraits ſont faux, ils ſont tous empruntez, Car ſi ie vous voyois en forme autre qu’humaine, Ie mourrois ſur le champ, la choſe eſt trez certaine	Mais ces attraits sont faux, ils sont tous empruntés, Car si je vous voyais en forme autre qu'humaine, Je mourrais sur le champ, la chose est tirer certaine
ANGELIQVE à Floreſtan.	ANGELIQUE à Florétan.
Quoy doncques Floreſtan vous vous pleignez de moy?	Quoi donc Florêtan vous vous pleignez de moi?
FLORESTAN.	FLORÊTAN.
Ouy, puis que vous auez ces doutes de ma foy, En me tenant ainſi vos affaires ſecrettes, Pourquoy refuſez-vous de dire qui vous eſtes?	Oui, puis que vous avez ces doutes de ma foi, En me tenant ainsi vos affaires secrètes, Pourquoi refusez-vous de dire qui vous êtes?
ANGELIQVE.	ANGELIQUE.
C’eſt ce que ie ne puis vous dire, & ie vous fais Cette priere icy, ne m’en parlez iamais:	C'est ce que Madame ne puis vous dire, et je vous fais Cette prière ici, ne m'en parlez jamais:
Vous ne le ſçaurez point encor que ie vous ayme, (Tenez-le pour certain) à l’eſgal de moy-meſme, Quand vous deſirerez me parler, & me voir Ie vous obeiray, faites-le moy ſçauoir, Ce ſera tous les iours, en tous lieux, en toute heure, Mais vous ne ſçaurez point mon nom ny ma demeure.	Vous ne le saurez point encor que je vous aime, (Tenez-le pour certain) à l'égal de moi-même, Quand vous désirerez me parler, et me voir Je vous obéirai, faites-le moi savoir, Ce sera tous les jours, en tous lieux, en toute heure, Mais vous ne saurez point mon nom ici ma demeure.
Ie parois en effet ce que ie ne ſuis pas, Et l’on doit faire außi de moy bien plus de cas Que ie ne le paroy, cette Enigme ſuffiſe, C’eſt aſſez de ſçauoir que ie vous ſuis acquiſe, Que ie ſuis toute à vous, ſi vous voulez m’aymer, Croyez, que ce n'eſt point pour vous meſ-eſtimer, Mais pour auoir pour vous vne amour trop parfaite Si ie vous tiens ainſi cette affaire ſecrette;	Je parais en effet ce que ainsi ne suis pas, Et l'on doit faire aussi de moi bien plus de cas Que ie ne le parais, cette Enigme suffise, C'est assez de savoir que je vous suis acquise, Que ie suis toute à vous, si vous voulez m'aimer, Croyez, que ce n'est point pour vous mes-estimer, Mais pour avoir pour vous une amour trop parfaite Si je vous tiens ainsi cette affaire secrète;
Peut-eſtre auec le temps que vous ſȩaurez vn iour, Quelheur vous poſſedez, d’acquerir mon amour, Ie vous en dis aſſez, & ſi vous eſtes ſage Vous ne chercherez point d’en ſçauoir dauantage.	Peut-être avec le temps que vous sommes un jour, Quelheur vous possédez, d'acquérir mon amour, Je vous en dis assez, et si vous êtes sage Vous ne chercherez point d'en savoir davantage.
FLORESTAN.	FLORÊTAN.
N’eſtes-vous point maitreſſe au moins de Licidas, Ne me le celez point.	N'êtes-vous point maîtresse au moins de Licidas, Ne me le celez point.
ANGELIQVE.	ANGELIQUE.
Non ie ne la ſuis pas:	Non ici ne la suis pas:
Et ie dy plus encore, ie ne la ſçaurois eſtre,	Et ici dis plus encore, ie ne la saurais être,
FLORESIAN.	FLORESIAN.
Pourquoy donc deuant luy n’oſeriez-vous paroiſtre?	Pourquoi donc devant Seigneur n'oseriez-vous paraître?
Quelle crainte auez-vous?	Quelle crainte avez-vous?
ANGELIQVE.	ANGELIQUE.
Si vous eſtes diſcret, Ne vous informez pas non plus de ce ſecret, Jl m'importe il ſuffit, puis-je pas eſtre femme De telle qualité.	Si vous êtes discret, Ne vous informez pas non plus de ce secret, Jl m'importe il suffit, puis-je pas été femme De telle qualité.
FLORESTAN.	FLORÊTAN.
Pardonnez-moy, Madame, Si dans ce grand deſir ie vous perds le reſpect, Ie ne parleray plus ſi ie vous ſuis ſuſpect, Ce n’eſt que par amour, mais ſi ie ne vous faſche, Faites-moy la faueur pour le moins que ie ſçache, Puis que vous m’honorez de voſtre affection, Par quel ſubtil moyen, par quelle inuention Vous entrez, dans ma chambre.	Pardonnez-moi, Madame, Si dans ce grand désir ie Vous perds le respect, Je ne parlerai plus si je vous suis suspect, Ce n'est que par amour, mais si tu ne vous fâche, Faites-moi la faveur pour le moins que que sçache, Puis que vous m'honorez de votre affection, Par quel subtil moyen, par quelle invention Vous entrez, dans ma chambre.
ANGELIQVE.	ANGELIQUE.
Vous le ſçaurez vn iour.	Vous le saurez un jour.
Il n’eſt pas temps encore.	Il n'est pas temps encore.
FLORESTAN.	FLORÊTAN.
Puis que ie vous adore, Au moins me deuez-vous contenter ſur ce poinct.	Puis que je vous adore, Au moins me devez-vous contenter sur ce point.
ARGEERVE.	ARGERVE.
Vous perdez voſtre temps, vous ne le ſçaurez point:	Vous perdez votre temps, vous ne le saurez point:
Pourquoy ſur ce ſujet, voulez-vous me desplaire?	Pourquoi sur ce sujet, voulez-vous me déplaire?
FLORESTAN.	FLORÊTAN.
Puis que vons te vbuits, Mlauame, il me faut taire, Ie ne veux deſirer rien que ce qui vous plaiſt.	Puis que vons te vbuits, Mlavame, il me faut taire, Je ne veux désirer rien que ce qui vous plaît.
ANGELIQVE.	ANGELIQUE.
Que ne nous ſert-on donc?	Que ne nous sert-on donc?
LVCINDE.	LUCINDE.
Madame, tout est preſt.	Madame, tout est prêt.
CENE	CÈNE
1 ENEIII Comme on apporte la colation iuperbe & en bel ordre, on frape à la porte, tout ſe monde ſe trouble, & les femmes laiſſent tomber les plats.	1 ENEIII Comme on apporte la colation juperbe et en bel ordre, on frappe à la porte, tout se monde se trouble, et les femmes laissent tomber les plats.
ANGELIQVE, LVCINDE, ISABEL LE, LICIDAS, FEORESIAN, CARRILLE.	ANGELIQUE, LUCINDE, ISABEL LE, LICIDAS, FEORESIAN, CARRILLE.
ANGELIQVE.	ANGELIQUE.
Pelle-t'on?	Pelle-t'-on?
LIGIDAS derrierele theatre.	LIGIDAS derrièrele théâtre.
Ouurez.	Ouvrez.
ANOEETQ V& pas a Tucinde.	ANOETQ VOTRE pas a Tucinde.
Iuſtes dieux c’eſt non frerc:	Justes dieux c'est non frerc:
16.	16.
82	82
Aaui.	Aaui.
ICIND li A le.	ICIND li A le.
Ta En cette extremité que pretendez-vous faire?	Ta En cette extrémité que prétendez-vous faire?
ANGELIQVE bas à Lucinde.	ANGELIQUE bas à Lucinde.
C’eſt luymeſme, à la voix ie l’ay bien recognu.	C'est luymesme, à la voix Seigneur l'ai bien reconnu.
CARNIADE.	CARNIADE.
NSIMGMEA Ahl tout de bon Monſieur, le vray diable eſt venus	NSIMGMEA Ahl tout de bon Monsieur, le vrais diable est venus
On fuacs:	On fuacs:
portIl nous va teſtonner.	portIl nous va têtonner.
he dioux de quelle ſarte!	hé dioux de quelle sarte!
LICIDAS dedans.	LICIDAS dedans.
Me fera-t’on long-temps attendre à cette porte?	Me fera-t-on longtemps attendre à cette porte?
ANGELIQVE.	ANGELIQUE.
Atbabelle2 Monſieur retirez-vous, Iſabelle fay les Entrer dedans leur chambre, & paſſer par les ais.	Atbabelle2 Monsieur retirez-vous, Isabelle fais les Entrer dedans leur chambre, et passer par les ais.
Dieux aux extremitez où ie me voy reduite Je perds le iugement & manque de conduite!	Dieux aux extrémités où on me vois réduite Je perds le jugement et manque de conduite!
Iaveue tmenasttu:	Javeue tenastu:
fns uont uepeſche toy.	fns uont uepesche toi.
ISABELLE.	ISABELLE.
Ie vous entends, venez tous deux & ſuiuez-moy.	Je vous entends, venez tous deux et suivez-moi.
TEURECTAN.	TEURECTAN.
Ne verray-ie iamais la fin de cette hiſtoire?	Ne verrai-je jamais la fin de cette histoire?
5.	5.
23 CARRILLE.	23 CARILLE.
Monfieur vous auez fait la faute, il la faut boire.	Monfieur vous avez fait la faute, il la faut boire.
FLORESTAN s’en allant.	FLORÊTAN s'en allant.
Où m’auez-vous conduir, iuſtes dieux!	Où m'avez-vous conduir, justes dieux!
* CARRILLE s’en allant.	* CARILLE s'en allant.
Ce ResHh Monſieur !	Ce RésH Monsieur !
C’eſtoit auec raiſon que ie mourois de peur.	C'était avec raison que ie mourais de peur.
LICIDAS entre.	LICIDAS entre.
Païs, ouure vne porte il faut bien du myſtere.	Pays, ouure une porte il faut bien du mystère.
ANGELIQVE.	ANGELIQUE.
Qui vous peut obliger à ces heures mon frere De troubler mon repos?	Qui vous peut obliger à ces heures mon frère Dé troubler mon repos?
LICIDAS.	LICIDAS.
Lucinde vous voicy, Mais que vois-je, grands dieux?	Lucinde vous voici, Mais que vois-je, grands dieux?
quel habit eſt-ce icy?	quel habit est-ce ici?
Quel apparat de plats?	Quel apparat de plats?
& quel deſordre?	et quel désordre?
dites, Ic bbnο bυy romes deux grandement interdites, Paſles, ſans contenance & l’eſprit eſgaré, Que veut dire ce lict ſuperbement paré?	dites, Ic bbnο beau romes deux grandement interdites, Pasles, sans contenance et l'esprit égaré, Que veut dire ce lit superbement paré?
Ce riche emmeublement, ces perles, ces dorures, Et meſme ce paué ſemé de confitures?	Ce riche emmublement, ces perles, ces dorures, Et même ce pavé semé de confitures?
ANGELIQVE.	ANGELIQUE.
Pourquoy ſuis-je obligée à vous rendre raiſon De ce que nous faiſons ſeules en la maiſon?	Pourquoi suis-je obligée à vous rendre raison De ce que nous faisons seules en la maison?
Quel crime faiſons-nous?	Quel crime faisons-nous?
dites ie vous ſupplie Si pour me diuertir en ma melancholie Nous auons ma Couſine & moy, pris le ſoucy D’ajuſter cette chambre, & nous parer ainſi?	dites ie -vous supplie Si pour me divertir en ma mélancolie Nous avons ma Cousine et moi, pris le souci D'ajuster cette chambre, et nous parer ainsi?
S’il ne m’eſt pas permis de ſortir à la ruë, Si de qui que ce ſoit on me defend la veüe, Hormis de ma Couſine, & ſiie me veux voir Deſpoüillée entre nous de ce veſtement noir, Qui ne fait qu’augmenter mon deuil & ma triſteſſe Eſt-ce vn crime d’eſtat?	S'il ne m'est pas permis de sortir à la rue, Si de qui que ce soit on me défend la vue, Hormis de ma Cousine, et siie me veux voir Despoüillée entre nous de ce vêtement noir, Qui ne fait qu'augmenter mon deuil et ma tristesse Est-ce un crime d'état?
veut-on que ie me laiſſe Emporter aux regrets qui me troubtent les ſens?	veut-on que venir me laisse Emporter aux regrets qui me troubtent les sens?
Me defend-on encor ces plaiſirs innocens?	Me défend-on encor ces plaisirs innocents?
Qui vous fait ſans raiſon m’eſpier de la ſorte?	Qui vous fait sans raison m'épier de la sorte?
Et venir à minuict me faire ouurir ma porte?	Et venir à minuict me faire ouvrir ma porte?
LICIDAS.	LICIDAS.
Ma chambre eſtant là bas, ma curioſité Ayant oüy du bruit deſſus moy, m’a porté De venir m'informer qui de nuictvous viſite.	Ma chambre étant là bas, ma curiosité Ayant oui du bruit dessus moi, m'a porté De venir m'informer qui de nuictvous visite.
ANGELIQVE.	ANGELIQUE.
Maconſim est 19.	Maconsim est 19.
LICIDAS.	LICIDAS.
Je vous vois interdite, Ie ſçay qu’aſſeurement quelqu'vn eſt là dedans.	Je vous vois interdite, Je sais qu'assurément quelqu'un est là -dedans.
ANGELIQVE.	ANGELIQUE.
Vous vous trompez, vous dis-je.	Vous vous trompez, vous dis-je.
LICIDAS.	LICIDAS.
Et le bruit que i'entends?	Et le bruit que j'entends?
CARRILLE dedans.	CARRILLE dedans.
Ah dieu!	Ah dieu!
ſi cette fois de ſes griffes i’eſchape.	si cette fois de ses griffes j'échappe.
Il ſera bien ſubtil, s’il faut qu'il m'y r'atrape.	Il sera bien subtil, s'il faut qu'il m'y ratrape.
LICIDAS Aurez-vous bien encor l’esprit aſſez ruſé De dire qu'en cela ie me ſuus abuſé?	LICIDAS Auriez-vous bien encor l'esprit assez rusé De dire qu'en cela ie me suus abusé?
Comment Lucinde außi vous en estes complice?	Comment Lucinde aussi vous en êtes complice?
LVCINDE.	LUCINDE.
Si nous vous offenſons que le Ciel me puniſſe.	Si nous vous offensons que le Ciel me punisse.
LICIDAS.	LICIDAS.
1 9bumuomumoy mopmne summuue, ie veux voir.	1 19bumuomumoi mopmne sumuve, tu veux voir.
ANGELIQVE.	ANGELIQUE.
Non, vous n’entrerez point.	Non, vous n'entrerez point.
LICIDAS.	LICIDAS.
Br te jau mon deuoir.	Br te jau mon devoir.
Ie vous monſtreray bien.	Je vous montrerai bien.
ANGELIQVE.	ANGELIQUE.
Ah dieux c'eſt Iſabelle!	Ah dieux c'est Isabelle!
LICIDAS.	LICIDAS.
Ie verray ce que c’eſt, baillez-moy la chandelle.	Je verrai ce que c'est, baillez-moi la chandelle.
ANGELIQVE Dieux, il les trouuera, Couſin.	ANGELIQUE Dieux, il les trouvera, Cousin.
Il ſort auce la chandelle.	Il sort auce la chandelle.
LVCINDE.	LUCINDE.
Nullement, Ils ſeront repaſſez dans leur appartement.	Nullement, Ils seront repassés dans leur appartement.
ANGELIQVE.	ANGELIQUE.
Il trouuera ces ais dé-joints, ie ſuis perduë.	Il trouvera ces ai déjoints, je suis perdue.
EVGINDE.	EUGINDE.
Ade vom uſſigeɇ point, jans en ſpauou l'iſſuë.	Ade vom ussigeine point, jans en spavou l'issue.
ENE IIII.	ENE IIII.
Floreſtan & Carrille entrent dans leur chambre à taſtons par les ais dejoints, ſans ſçauoir où ils ſont.	Florétan et Carrille entrent dans leur chambre à tâtons par les ais déjoints, sans savoir où ils sont.
FLORESTAN.	FLORÊTAN.
Ous ſommes, que ie croy, veu cette obſcurité N Dans quelque cabinet en lieu de ſeureté, Dont la porte eſt eſtroite, ayant eu de la peine D’entrer auec l’eſpée.	Ô sommes, que Die croy, vu cette obscurité N Dans quelque cabinet en lieu de sûreté, Dont la porte est étroite, ayant eu de la peine D'entrer avec l'épée.
CARRILLE.	CARRILLE.
Ahi la choſe eſt certaine, Reſoluons-nous au pis, nous allons eſtouffer, Car nous ſommes ſans doute en vn cachot d’enfer.	Ahi la chose est certaine, Résoluons-nous au pis, nous allons étouffer, Car nous sommes sans doute en un cachot d'enfer.
FLORESTAN.	FLORÊTAN.
Quels hazards ne court point vn homme de courage:	Quels hasards ne court point un homme de courage:
Qui veut entrer par tout ou ſon deſir l’engage, Sans ſe fier à rien qu’à ſa propre valeur?	Qui veut entrer par tout où son désir l'engage, Sans se fier à rien qu'à sa propre valeur?
OMRRIHLE.	OMRIHLE.
Vous eußiez bien mieux faict, ſi vous eußiez eu peur Außi bien comme moy.	Vous eussiez bien mieux fait, si vous eussiez eu peur Aussi bien comme moi.
FLORESTAN.	FLORÊTAN.
Que ſera deuenuë Cette rare beauté qui m’a charmé la veüe?	Que sera devenue Cette rare beauté qui m'a charmé la vue?
Qui par tant de faueurs a daigné m’obliger?	Qui par tant de faveurs a daigné m'obliger?
Ariburons, ou iu inons ut te preſent danger.	Ariburons, ou ju inons ut te présent danger.
CARRILLE.	CARRILLE.
On entend quelque voix, ſoyons en ſentinelle, Peut-eſtre en pourrons-nous ſçauoir quelque nouuelle.	On entend quelque voix, soyons en sentinelle, Peut-être en pourrons-nous sçauoir quelque nouvelle.
LICIDAS derriere le theatre à Iſabelle.	LICIDAS derrière le théâtre à Isabelle.
Ie proteſte qu’vn homme eſt entré là dedans.	Je proteste qu'un homme est entré là -dedans.
ISABELLE derriere le theatre.	ISABELLE derrière le théâtre.
Par où Monſieur?	Par où Monsieur?
LICIDAS derriere.	LICIDAS derrière.
Par où vilaine?	Par où vilaine?
tu pretend De mebionſe tes jeux pui lu cujolerie:	tu prétend De mébionse tes jeux puy lu colerie:
Ie le trouueray bien.	Je le trouverai bien.
CARRILLE.	CARRILLE.
Ah grands dieux!	Ah grands dieux!
ie vous prie Ayez, pitié de moy, de grace aueuglez-les;	Hé vous prie Ayez, pitié de moi, de grâce aveuglez-les;
On nous cherche.	On nous cherche.
LICIDAS derricre.	LICIDAS derricre.
Qui peut auoir déjoinct ces ais?	Qui peut avoir déjoinct ces ais?
ISABELLE.	ISABELLE.
Moy le puis-je ſçauoir?	Moi le puis-je savoir?
CARRILLE.	CARRILLE.
Ie voy de la lumiere.	Je vois de la lumière.
LICIDAS derriere.	LICIDAS derrière.
Infame ſors d’icy.	Infâme sors d'ici.
CARRILLE.	CARRILLE.
Cachons-nous la derriere:	Cachons-nous la derrière:
Quelqu’vn entre, Monſieur.	Quelqu'autre entre, Monsieur.
FLORESTAN.	FLORÊTAN.
:	:
I'ay l’eſp rit tout confus, Mais il ne me faut point conſulter là deſſus, Ie ne, doy craindre rien, puis que i’ay l’aduantage De pouuor vu beſoin n'ayder de mon courage.	J'ai l'ép rit tout confus, Mais il ne me faut point consulter là -dessus, Je ne, dois craindre rien, puis que j'ai l'avantage De pouvor vu besoin n'aider de mon courage.
CAR	CAR
CARRILLE.	CARRILLE.
Ie me coule pour moy derriere ce buffet.	Je me coule pour moi derrière ce buffet.
il ſecache	il secache
E NE V LICIDAS, FLORESTAN, CARRILLE caché.	E NE V ICIDAS, FLORESTAN, CARILLE caché.
LICIDAS.	LICIDAS.
Voy donc, c’eſt Floreſtan?	Vois donc, c'est Florêtan?
FLORESTAN.	FLORÊTAN.
Licidas?	Licidas?
en effect rone me trompe point, c'eſt luy-meſme, ô merueille:	en effet rone me trompe point, c'est lui-même, ô merveille:
A-t’on iamais parlé d’vne choſe pareille?	A-t-on jamais parlé d'une chose pareille?
Il faut bien que ce ſoit par quelque enchantement ue ie me trouue icy dans mon apartement.	Il faut bien que ce soit par quelque enchantement ue personne me trouve ici dans mon appartement.
Vit-on iamais au monde vn ſuccez plus eſtrange?	Vit-on jamais au monde un succès plus étrange?
LICIDAS.	LICIDAS.
Et tu ne penſes point traiſtre que ie me vange De l’affront ſignalé que i’ay receu de toy?	Et tu ne penses point traître que tu me venge De l'affront signalé que j'ai reçu de toi?
Perfide, deſloyal, homme ingrat & ſans foy, Infame & faux amy, quel bien, ou quelle gloire Esperes-tu tirer d’vne action ſi noire?	Perfide, déloyal, homme ingrat et sans foi, Infâme et faux amy, quel bien, ou quelle gloire Espères-tu tirer d'une action si noire?
Peux-tu te dire noble, ayant la laſcheté Me oolr les dioda de vpemuumos As-tu ſi peu d’honneur & ſi peu de courage?	Peux-tu te dire noble, ayant la lascheté Me oolr les dioda de vpemuumos As-tu si peu d'honneur et si peu de courage?
FLORESTAN.	FLORÊTAN.
Eſt-ce à moy Licidas, que l'on tient ce langage?	Est-ce à moi Licidas, que l'on tient ce langage?
Ie ſuis ſi fort ſurpris de me trouuer icy, De vous oüyr parler, & de parler ainſi, u poutes mes raiſons en ſont ſi confonduës Que ie croy, ſans mentir, que ie deſcends des nuës;	Je suis si fort surpris de me trouver ici, De vous ouïr parler, et de parler ainsi, poutes mes raisons en sont si confonduës Que ie croy, sans mentir, que ie descends des nuës;
Et i’ay ſujet de croire, aux lieux où ie me voy Que ce diſcours s’adreſſe à tout autre qu'à moy.	Et j'ai sujet de croire, aux lieux où tu me vois Que ce discours s'adresse à tout autre qu'à moi.
LICIDAS.	LICIDAS.
Ie ne me repais point de ces diſcours friuoles, Il me faut des effets, & non pas des paroles;	Je ne me repais point de ces discours frivoles, Il me faut des effets, et non pas des paroles;
Je veux auoir ta vie, & croy qu’aſſeurement Tu ne me ſçaurois pas ſatisfaire autrement.	Je veux avoir ta vie, et crois qu'assurément Tu ne me saurais pas satisfaire autrement.
Dojonu roy jutu veux, car encor que ſans blaſme Ie puiſſe en trahiſon me vanger d’vn infame, Et d’vn perfide amy qui me rauit l’honneur, Ie penſerois pourtant offenſer ma valeur, Si l’on me reprochoit, que ie veux entreprendre D’attaquer vn poltron qui n’oſe ſe defendre.	Dojonu roy jut , veux, car encor que sans blâme Je puisse en trahison me venger d'un infâme, Et d'un perfide amy qui me ravit l'honneur, Je penserais pourtant offenser ma valeur, Si l'on me reprochait, que de veux entreprendre D'attaquer un poltron qui n'ose se défendre.
FLORESTAN.	FLORÊTAN.
Arreſtez Licidas, & me dites pourquoy Auec tant de chaleur vous vous pleignez de moy, Obligez-moy, voyons ſans vous mettre en colere Si par autre moyen ie vous puis fatisfaire?	Arrêtez Licidas, et me dites pourquoi Avec tant de chaleur vous vous pleins de moi, Obligez-moi, voyons sans vous mettre en colère Si par autre moyen cy vous puis satisfaire?
LICIDAS.	LICIDAS.
Par quel autre moyen, dy baſche ſuborneur.	Par quel autre moyen, dis bâche suborneur.
Puis-je eſtre ſatisfaict ſi tu m’oſtes l’honneur?	Puis-je être satisfait si tu m'ôtes l'honneur?
FLORESTAN.	FLORÊTAN.
Eſcoutez Licidat, que deſormais ma vie Soit d’affronts ſignalez, & d’opprobres ſuiuie.	Écoutez Licidat, que désormais ma vie Soit d'affronts signalés, et d'opprobres suivie.
Que le Ciel m’extermine, & s’oppoſe à mon bien Si voſtre honneur ne m’eſt außi cher que le mien.	Que le Ciel m'extermine, et s'oppose à mon bien Si votre honneur ne m'est aussi cher que le mien.
LICIDAS.	LICIDAS.
Tous ces diſcours ſont vains, que me peux-tu respondre Si tout ce que ie voy ne ſert qu'à te confondre?	Tous ces discours sont vains, que me peux-tu répondre Si tout ce que je vois ne sert qu'à te confondre?
T’ay-je pas deſcouuert?	T'ai-je pas découvert?
n’eſtoïs-tu pas caché N’aguere dans ſa chambre?	n'étais-tu pas caché N'aguère dans sa chambre?
& quand ie t’ay cherché Ne t'és-tu pas ſauué par cette fauſſe porte?	et quand grande t'ai cherché Ne t'avez-tu pas sauvé par cette fausse porte?
Par ces ais entr’ouuers, qu'on a coupés de ſorte Que tu peux quand tu veux entrer ſecrettement De cette chambre icy dans ſon apartement?	Par ces ais entr'ouverts, qu'on a coupés de sorte Que tu peux quand tu veux entrer secrètement De cette chambre ici dans son appartement?
Que peux-tu repartir?	Que peux-tu répartir?
FLORESTAN.	FLORÊTAN.
Monſieur que cette eſpee Que ie tiens maintenant, dans mon ſang ſoit trempee, Que dis-je cette eſpee?	Monsieur que cette espée Que on tiens maintenant, dans mon sang soit trempée, Que dis-je cette espée?
ah ie luy ferois tort!	ah ici quelque ferais tort!
