I ARGVMENT.	I JRGUMENT.
Quel demon ennemy depuis deux mois me nuit, De qui me dois-ie plaindre au malheur qui me ſuit, Oronte, Calirie, Amour, eſt de vous-meſme, Vous estes les autheurs de ma douleur extreſme, Oronte, pour m'auoir à mon retour permis De voir ces deux beaux yeux qui me ſont ennemis, Et vous rare beauté, de qui l’iniuſte gloire, Apres m'auoir vaincu mespriſe ſa victoire, Vous auez augmenté les douleurs que ie ſens, En trompant auiourd’huy mes deſirs innocens, Apres m'auoir nourry de vaines eſperances, Et trompé mon amour de fauſſes apparences, Et toy cruel demon, dont le pouuoir fatal, En me faiſant aimer fut autheur de mon mal, 18 * C-	Quel demon ennemi depuis deux mois me nuit, De qui me dois-je plaindre au malheur qui me suit, Oronte, Calirie, Amour, est de vous-même, Vous êtes les auteurs de ma douleur extrême, Oronte, pour m'avoir à mon retour permis à voir ces deux beaux yeux qui me sont ennemis, Et vous rare beauté, de qui l'injuste gloire, Après m'auoir vaincu méprise sa victoire, Vous avez augmenté les douleurs que je sens, En trompant aujourd'hui mes désirs innocents, Après m'avoir nourri de vaines espérances, Et trompté mon amour de fa pas, Et toi us ave, a le pouuoir a,En me faisant ave fut ave de mon mal, 18 * Ç-
Tu m’as mis en l’eſtat où ſe trouue mon ame, En iettant dans mon ſein ta mal-heureuſe flame:	Tu m'as mis en l'état où se trouve mon âme, En jetant dans mon sein ta malheureuse flamme:
Ha!	Ha!
que le Ciel eſt iuſte, il eſtoit bien raiſon, Que la peine ſuiuy ma laſche trahiſon, Apres auoir trahy l’ame plus vertueuſe, Qui iamais ayt bruſlé d’vne flâme amoureuſe, Vien, Cintille, vien voir le iuſte chaſtiment Que l’amour fait ſouffrir à ton perfide Amant, Vien, vien, & tu verras mon ame de ſolée, Et la punition de ma foy violée, Et toy dont l’amitié m'a tiré du cercueil, Qui pour me conſoler as augmenté ton dueil, Oncle trop complaiſant à ma flame inciuile, Vien voir à mon endroit ton ſecours inutile, Vien voir ton Alidor, que la foudre a frapé, Alors que tu croyois l’orage dißipe, Laſches raiſonnemens, qui m'oſtez le courage.	que le Ciel est juste, il était bien raison, Que la peine suivi ma lâche trahison, Après avoir trahi l'âme plus vertueuse, Qui jamais ait brûlé d'une flamme amoureuse, Viens, Cintille, viens voir le juste châtiment Que l'amour fait souffrir à ton perfide Amant, Viens, vien, et tu verras mon âme de solée, Et la punition de ma foi violée, Et toi dont l'amitié m'a tiré du cercueil, Qui pour me consoler as augmenté ton dueil, Oncle trop complaisant à ma flamme inciuile, Vien voir et endroit ton secours inutile, Vien voir ton Alidor, que la foudre a ce, Alors quetu croyois orage y, Le raisonnemens, qui m'ôtez le courage.
Abandonnez mon ame au pouuoir de la rage, N’ay-ie plus de vertu contre tant de malheurs.	Abandonnez mon âme au pouvoir de la rage, N'ai-je plus de vertu contre tant de malheurs.
Ce bras ne peut-il pas ſurmonter mes douleurs, Ce bras, & ceſte espée en finiſſant ma peine Contenteront bien toſt ta rigueur inhumaine, Tu ne me verras plus, ſi tu ne me vois mort.	Ce bras ne peut-il pas surmonter mes douleurs, Ce bras, et cette épée en finissant ma peine Contenteront bien tôt ta rigueur inhumaine, Tu ne me verras plus, si tu ne me vois mort.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE VI.	SCÈNE VI.
ORONTE.	ORONTE.
ALIDOR.	ÀLIDOR.
ORONTE luy arreſtant le bras.	ORONTE était arrêtant le bras.
V'eſt-ce cy, mon nepueu, d’où vous vient ce transport.	V'est-ce cy, mon nepueu, d'où vous vient ce transport.
ta	ta
ALIDOR.	ÀLIDOR.
Ha!	Ha!
ne m'empeſches plus de finir vne vie De mille ennuis mortels à toute heure ſuiuie, I'ay trop long temps veſcupour mon contentement, Tous m’auez vne fois tiré du monument, – –--t- 1 Oronte, c’eſt aſſez, laiſſez-moy donc pourſuiure Le deſſein que i’ay fait de ne vouloir plus viure, Calirie elle-meſme en a donné l’arreſt, Et puis qu'elle le veut ie mourray ſans regret.	ne m'empêches plus de finir une vie De mille ennuis mortels à toute heure suivie, J'ai trop long temps vécupour mon contentement, Tous m'avez un fois tiré du monument, - 1 Oronte, est assez, laissez-moi donc poursuiure Le dessein que ay fait de ne vouloir plus viure, Calirie elle-même en a donné arrest, Et puis qu'elle le veut ie mourrai sans regret.
ORONTE.	ORONTE.
Pouſſe doncques pluſtoſt dans mon ſein ton eſpée, Qu'elle ſoit dãs mon ſang, & non du tien trempée, Quel accident nouueau vient troubler tes plaiſirs, Que iqu'vn a-tit ponta tranc jentes deſtrs, Si Larinthe le veut, Alidor, qui te faſche.	Pousse donc plutôt dans mon sein ton épée, Qu'elle soit dans mon sang, et non du tien trempée, Quel accident nouveau vient troubler tes plaisirs, Que j'un a-tit ponta tranc jentes détrs, Si Larinthe le veut, Alidor, qui te fâche.
ALIDOR.	ÀLIDOR.
Moy-meſme d’auoir fait vne action ſi laſche, Car ie deuois mourir dés le premier moment, Que mon amour troubla voſtre contentement.	Moi-même d'avoir fait une action si lâche, Car tu devais mourir dès le premier moment, Que mon amour troubla votre contentement.
ORONTE.	ORONTE.
Cher nepueu, ne mets plus mon intereſt en conte, Di iu peux opliger te mainchren Oronte, Et me dy ſeulement d’où vient ton de ſespoir  epint on neure ou deux que tu m’es venu voir.	Cher nepueu, ne mets plus mon intérêt en conte, Di yu veux opliger te mainchren Oronte, Et me dis seulement d'où vient ton de sespoir épint on neure ou deux que tu m'es venu voir.
ALIDOR.	ÀLIDOR.
Du ſeul commandement que m'a fait ceste belle * --- –2 E–- De ne De ne monſtreriamais Alidor deuant elle.	Du seul commandement que m'a fait cette belle * --elle 2 ESPRIT- De ne De ne montreriamais Alidor devant elle.
RONTE.	RONTE.
Si ce n'est que cela ne t'en eſtonne pas, On l’appaiſera bien a moins que du treſpas, Ces mouuemens de fille aisément ſe deſtruiſent Alors que les flambeaux de mariage luiſent, Repoſe-t'en fur moy, ie ſuis bien aſſeuré Que fa mere tiendra ce qu'elle m'a iuré, Calirie en vn mot n’oſeroit la deſdire, Et demain au plus tard finira ton martyre, Que ſi cela n'eſt pas, ie te permets apres, Selon que tu voudras de finir tes regrets, Iuſques à ce temps-la donne-toy patience, Ie t'en parle, Alidor, de certaine ſcience.	Si ce n'est que cela ne t'en étonne pas, On l'apaisera bien à moins que du trépas, Ces mouvements de fille aisément se détruisent Alors que les flambeaux de mariage luisent, Repose-t'-en fur moi, elle suis bien assuré Que fa mère tiendra ce qu'elle m'a juré, Caleurie en un mot n'oserait la dédire, Et demain au plus tard finira ton martyre, Que si cela n'est pas, ie je voudras après, Selon que tu voudras de finir tes regrets, Jusques à ce temps-la donne-la donne, -la t'in parle, Alidor, de certaine A.
ALIDOR.	ÀLIDOR.
C’eſt pour vous contenter, mais ie ſuis bien certain Que tout vostre trauail ne peut eſtre que vain.	C'est pour vous contenter, mais ainsi suis bien certain Que tout votre travail ne peut être que vain.
ACTE ATRIESME.	ACTE ATRIESME.
SCENE I.	SCÈNE I.
MELISSEE.	MELISEE.
FLORINTOR.	FLORINTOR.
Q M MELISSEE ſeule.	Q M MELISSEE seule.
Voy qu'vn iuſte despit de me voir refuſce, De voir par vn ingrat ma flame refuſee, Deuſt chaſſer de mõ ſein l’amour que i’ay pour luy, I’adore toutes fois l’autheur de mon ennuy.	Vois qu'un juste dépit de me voir refusée, De voir par un ingrat ma flamme refuse, Deut chasser de m sein 'amour sein l'ai pour lui, J'adore toutes fois l'auteur de mon ennui.
I’adore cét ingrat qui m'a de ſobligée, Et ne le puis hayr, bien qu'il m'ayt negligee,	J'adore cet ingrat qui m'a de sobligée, Et ne le puis haïr, bien qu'il m'ait néglige,
Alcandre, que le Ciel re donne iniuſtement, Auec tant de beautez, vn cœur qui les deſment, Deuoit-il animer ce miracle viſible, Et cét object d’amour, que d’vne ame ſenſible, Que ne te donnoit-il le cœur que tu n'as pas, Ou ne te faiſoit naiſtre auecques moins d’appas;	Alcandre, que le Ciel re donne injustement, Avec tant de beautés, un cœur qui les dément, Deuait-il animer ce miracle visible, Et cet objet d'amour, que d'une âme sensible, Que ne te donnait-il le cœur que tu n'as pas, Ou ne te faisait naître avec moins d'appas;
Mais deuois-ie esperer qu'en vn pays barbare Peut naiſtre ſans de faut vne beauté ſi rare, Qui n'eut du naturel des flots, & des rochers, Qui le long de ſon Iſle effraye les nochers, Ie l’aime toutesfois, quoy que ie m'en defende, Et contre mon deſir il faut que ie me rende, Ie trouue en ſes mespris quelques charmes puiſſans Qui le font malgré moy maiſtre de tous mes ſens, Imprudent que tu es, qui pour me vouloir plaire, As amené chez moy ce cruel aduerſaire, Tu croyois qu’il me peuſt obliger à t’aimer:	Mais devais-je espérer qu'en un pays barbare Peut naître sans de faut quelque beauté si rare, Qui n'eut du naturel des flots, et des rochers, Qui le long de son Île effraie les nochers, Je l'aime toutefois, quoi que tu m'en défende, Et contre mon désir il faut que sans me rende, Je trouve en ses mépris quelques charmes puissants Qui le font malgré moi maître de tous mes sens, Imprudent que tu es, qui pour me vouloir plaire, As amené chez moi ce cruel adversaire, Tu oyais qu'il me pût obliger à t'aimer:
Mais nous auõs tous deux rai ſon de nous blaſmer, Toy pour t'eſtre ſeruy d’vn agent dont la grace Des hommes plus parfaits les merites efface, Et moy pour auoir veu d’vn gil trop amoureux Marẽ LE-AT.	Mais nous avons tous deux rai son de nous blâmer, Toi pour t'être servi d'un agent dont la grâce Des hommes plus parfaits les mérites efface, Et moi pour avoir vu d'être gil trop amoureux Marence LE-T.
Vn homme que i’adore, & ſe croit mal-heureux, Si ie me ſuis mocque autrefois de ta flame, Vien voir qu'vn autre rit des ardeurs de mõ ame, Alcandre t'a vengé par le cruel meſpris Qu’il fait de la beauté de celle qui t'a pris.	Un homme que j'adore, et se croit malheureux, Si tu me suis moque autrefois de ta flamme, Viens voir qu'un autre rit des ardeurs de mon âme, Alcandre t'a vengé par le cruel mépris Qu'il fait de la beauté de celle qui t'a pris.
Il tient dans la priſon celle qui te captiue, Et lors que ie te fuy, il faut que ie le ſuiue, Ie ne puis Florintor, ſouffrir ton entretien, Encor que par mon mal ie cognoiſſe le tien, Voicy le malheureux, qui ſelon ſa couſtume Me vient importuner du feu qui le conſume, Ha!	Il tient dans la prison celle qui te captive, Et lors que ie te fuis, il faut que ie le suive, Je ne puis Florintor, souffrir ton entretien, Encor que par mon mal Seigneur connaisse le tien, Voici le malheureux, qui selon sa coutume Me vient importuner du feu qui le consume, Ha!
que tu trouueras de changement en moy, Puis qu'Alcandre auiourd’huy ne vient pas auec 1 9.	que tu trouveras de changement en moi, Puis qu'Alcandre aujourd'hui ne vient pas avec 1 9.
ACTE VATRIESME.	ACTE VATRIESME.
SCENE II.	SCÈNE II.
TLORINTOR.	TLORINTOR.
MELISSEE.	MELISEE.
FLORINTOR.	FLORINTOR.
Quoy ſe diuertit la belle Meliſſee, Suis-ie aſſez bien venu pour ſçauoir ſa penſee, de ne teſperepas, te fais trop malnearene.	Quoi se divertit la belle Mélisse, Suis-je assez bien venu pour savoir sa pensée, de ne tespérepas, te fais trop malnearene.
MELISSEE.	MELISEE.
Ie ne penſois qu'a vous,	Je ne pensais qu'a vous,
FLORINTOR.	FLORINTOR.
O rencontre amoureux, Fortuné Florintor, s’il faut que ie le croye.	Ô rencontre amoureux, Fortuné Florintor, s'il faut que que le croie.
*6 -- ----- - -------s---U- s--- { ii	*6 --est -est- -est -ce-ce-U- s- { ji
MELISSEE.	MELISEE.
Il n'eſt pas temps encor de monſtrer vostre ioye, Ie ne pẽſois qu'à vous, mais pour vous teſmoigner Qu'il faut pour m'obliger deſormais m'eſloigner, Que ie ne ſçaurois plus vous voir, ny vous entẽdre, Que c'eſt folie à vous deſormais d’y pretendre, Que voſtre paßion me desplaiſt tellement, Que ie ne vous puis voit ſans meſcontentement:	Il n'est pas temps encor de montrer Seigneur joie, Je ne pẽsois qu'à vous, mais pour vous témoigner Qu'il faut pour m'obliger désormais m'éloigner, Que me ne saurais plus vous voir, ni ainsi entendre, Que c'est folie à vous désormais d'y prétendre, Que votre passion me déplaît tellement, Que je ne vous puis voit sans mécontentement:
Non, non, ie ne veux plus vous donner esperance, Et nourrir voſtre amour d’vne fauſſe apparance, Tout ce que i'en ay fait eſtoit pour obliger, Pluſtoſt que Florintor, voſtre ingrat eſtranger, Et ſi vous ne voulez vous attirer mahaine, Ne me voyez iamais.	Non, non, Madame ne veux plus vous donner espérance, Et nourrir votre amour d'une fausse apparance, Tout ce que j'en ai fait était pour obliger, Plutôt que Florintor, votre ingrat étranger, Et si vous ne voulez vous attirer mahaine, Ne me voyez jamais.
FLORINTOR.	FLORINTOR.
Arreſtez, inhumaine, Dues-moy ta raiſon a vnſiprompr changemente	Arrêtez, inhumaine, Dues-moi ta raison a unsiprompr changemente
MELISSEE.	MELISEE.
Adieu, ie vous l’ay dit encor trop clairement.	Adieu, Seigneur vous l'ai dit encor trop clairement.
FLORINTOR.	FLORINTOR.
Cruelle tu t'en vas, & deux ans de ſeruice tni e ue c--- *---4- 1-  101	Cruelle tu t'en vas, et deux ans de service tenni ce ue viens- *-4-là 1- 101
.	.
JVci	JUci
Ne peuuent t'empe ſcher d’vn ſi mauuais office, Ie voy bien ce que c'eſt, cét aimable eſtranger Eſt l’objet auiourd’huy qui t’oblige à changer, Sa beauté t’a ſurpriſe, & par mon imprudence 75 I’ay moy-meſme introduit l’innocẽt qui m’offence, O Dieux!	Ne peuvent t'empe sécher d'un si mauvais office, Je vois bien ce que c'est, cet aimable étranger Est l'objet aujourd'hui qui t'oblige à changer, Sa beauté t'a surprise, et par mon imprudence 75 J'ai moi-même introduit l'innocence qui m'es, QUI Dieux,
vn eſtranger depuis deux iours venu, Qu'elle n’a pas encor deux fois entretenu, Qui pour vn autre objet à toute heure ſouſpire, Eſt cét heureux Amant, que ſeul elle deſire, Et moy qui l’ay ſeruy, & n'ay iamais aimé Qu'elle ſeule depuis que ie ſuis animé, Nay d’vn me ſme pays, de longue cognoiſſance, Ie ſuis le malheureux, dont elle veut l’abſence, Sexe ingrat, & leger, qui change plus ſouuent Que les roſeaux pliez par la force du vent, Qui n'as rien de l’humain que les traits du viſage, Et qui ne mit iamais la raiſon en vſage, Que nous ſerions heureux, ſi noſtre volonté Ne ſe laiſſoit pas vaincre aux traits de ta beauté;	un étranger depuis deux jours venu, Qu'elle n'a pas encor deux fois entretenu, Qui pour un autre objet à toute heure soupire, Est cet heureux Amant, que seul elle désire, Et moi qui l'ai servi, et n'ai jamais aimé Qu'elle seule depuis que sans suis animé, Nay d'un me sme pays, de longue connaissance, Je suis le malheureux, dont elle veut l'absence, Sexe ingrat, et léger, qui change plus souvent Que les roseaux pleure par la force du vent, Qui n'as rien de l'humain que les traits du visage, Et qui ne mit jamais la raison en vsage, Si nous serions heureux, si nôtre volonté Ne se laissoit pas vaincre aux traits de ta beauté;
Mais le Ciel qui t’a fait auecques tant de charmes Pour te bien reſiſter nous refuſe des armes, 24	Mais le Ciel qui t'a fait auecques tant de charmes Pour te bien résister nous refuse des armes, 24
C’eſt pourquoy malgré nous il nous faut obeyr Aimant nos ennemis, au lieu de les hayr.	C'est pourquoi malgré nous il nous faut obéir Aimant nos ennemis, au lieu de les haïr.
Ie te veux donc aimer, cruelle Meliſſee.	Je te veux donc aimer, cruelle Mélissee.
Attendant que le temps ayt changé ta penſee, Ie ſuis bien aſſeuré qu'Alcandre a dans le ſein Des feux qui le rendront contraire à ton deſſein:	Attendant que le temps ait changé ta pensée, Je suis bien assuré qu'Alcandre a dans le sein Es feux qui le rendront contraire à ton dessein:
Allons le voir chez luy, pour luy faire cognoiſtre S’il ne le ſçait encor, l’amour qu'il a fait naiſtre.	Allons le voir chez lui, pour lui faire connaître S'il ne le sait encor, l'amour qu'il a fait naître.
ACT	ACT
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE III.	SCÈNE III.
URONTE, CALIRIE.	OURONTE, CALIRIE.
ORONTE.	ORONTE.
Rreſtez Calirie, eſcoutez ma raiſon.	Rrestez Calirie, écoutez ma raison.
CALIRIE.	CALIRIE.
N’as tu point inuenté quelqu'autre trabiſon, Ton esprit n'eſt-il pas tontent ue ta prémiere, Si tu n'es ſatisfait, ôſte-moy la lumiere, Arrache-moy le cœur que le tien a trahy.	N'as tu point inventé quelque autre trabison, Ton esprit n'est-il pas tontent ue ta prémiere, Si tu n'es satisfait, ôte-moi la lumière, Arrache-moi le cœur que le tien a trahi.
ORONTE.	ORONTE.
Eſt-il poßsible, ô Dieux!	Est-il passible, ô Dieux!
qu’Oronte ſoit hay.	qu'Oronte soit haï.
CALIRIE.	CALIRIE.
Mu piaer cenlla enatarozetie.	Mu piaer cenlla enatarozetie.
ORONTE.	ORONTE.
Quoy, ma ſluecroird que ſon Amant ſoit traiſtre,	Quoi, ma sluecroird que son Amant soit traître,
CALIRIE.	CALIRIE.
Comment nommeras-tu ta derniere action.	Comment nommeras-tu ta dernière action.
N'as-tu pas eſté traiſtre à mon affection, Tu me veux obliger de trouuer agreable Vn homme qui pour moy n'euſt iamais rien d’aimable, Que ie hay de nature, & que ie ne puis voir Dans le deſſein qu’il a qu'auec le deſeſpoir, Toyde qui ie croyois l’ardeur pour m'yy puiſſante, A buſant auiourd huy de ma flame inpocente, Tu preſſes mes parens de m'engager ailleurs, Et ie pourrois auoir de ſentimens meilleurs:	N'as-tu pas été traître à mon affection, Tu me veux obliger de trouver agréable Vén homme qui pour moi n'eût jamais rien d'aimable, Que ie haï de nature, et que je ne puis voir Dans le dessein qu'il a qu'avec le désespoir, Toide qui tu croyais l'ardeur pour m'y puissante, À busant aujourd' hui de ma flamme inpocente, Tu presses mes parents de m'engager ailleurs, Et que pourrais avoir de sentiments meilleurs:
Non, non, ie te crois traiſtre, & quoy que tu me dies, Apres de trahiſons ſi la ſchement ourdies, Si ie te croyois plus, i’aurois bien merité Le mal que m'a causé ton infidelité.	Non, non, Seigneur te crois traître, et quoi que tu me dies, Après de trahisons si la schement ourdies, Si tu te croyais plus, j'aurais bien mérité Le mal que m'a causé ton infidélité.
ORONTE.	ORONTE.
Il eſt vray que ma faute eſt au nombre des crimes Qui ſe doiuent punir dans les profonds abyſmes:	Il est vrai que ma faute est au nombre des crimes Qui se doivent punir dans les profonds abîmes:
Mais ſi vous me voulez eſcouter vn moment, Vous ſçaurez que ie ſuis touſiours fidelle Amant, Vous verrez que ma flame eſt touſiours toute entiere, Que ie n’ay rien perdu de mon ardeur premiere, Que vuime caurle, & queec quet ay jair N'eſt que de mon malheur vn miſerable effet.	Mais si vous me voulez écouter un moment, Vous saurez que tu suis toujours fidèle Amant, Vous verrez que ma flamme est toujours toute entière, Que Que n'ai rien perdu de mon ardeur première, Que vuime caurle, et queect que ai jair N'est que de mon malheur un misérable effet.
CALIRIE.	CALIRIE.
Dy ce que tu voudras, & toutesfois t'aſſeure Que mon cœur eſt deſia guery de ſa bleſſeure.	Dis ce que tu voudras, et toutefois t'assure Que mon cœur est déjà guéri de sa blessure.
ORONTE.	ORONTE.
S’il eſt vray, ma chere ame, il me faut donc mourir, Et rien que le treſpas ne me peut ſecourir, Perdant voſtre amitié, ie n'ay rien qui me reſte, Qui ne ſoit deſormais à mes plaiſirs funeſte, Dés que i’auray perdu voſtre doux entretien, Ie tiens indifferent, & le mal, & le bien.	S'il est vrai, ma chère âme, il me faut donc mourir, Et rien que le trépas ne me peut secourir, Perdant votre amitié, on n'ai rien qui me reste, Qui ne soit désormais à mes plaisirs funeste, Des que j'aurai perdu votre doux entretien, Je tiens indifférent, et le mal, et le bien.
E ſh	E sh
ALIRIE.	ÀLIRIE.
S’il eſt vray que ie ſois à ton ame ſi chere, Pourquoy me preſſe-tu d’obeyr à ma mere, Et pourquoy pour accroiſtre auiourd’huy mon ennuy, M'as-tu voulu ſouſmettre aux volontez d’autruy.	S'il est vrai que ainsi sois à ton âme si chère, Pourquoi me presse-tu d'obéir à ma mère, Et pourquoi pour accroître aujourd'hui mon ennui, M'as-tu voulu sousmettre aux volontés d'autrui.
Parle.	Parle.
ACTE TATRIESME.	ACTE TATRIESME.
ALIDOR tout bas.	ÀLIDOR tout bas.
E trouue ſeuls Oronte & Calirie, Voicy l’occaſion de voir leur trõperie, Ie les veux eſcouter.	E trouve seuls Oronte et Calirie, Voici l'occasion de voir leur troupérie, Je les veux écouter.
SCENE IV.	SCÈNE IV.
ALIDOR.	ÀLIDOR.
CALIRIE.	CALIRIE.
ORONTE.	ORONTE.
CAEIRIE.	CAEIRIE.
La honte t'interdit, Tu ne ſçaurois respondre à ce que ie t’ay dit.	La honte t'interdit, Tu ne saurais répondre à ce que Il t'ai dit.
ORONTE.	ORONTE.
Il est vray que ie ſens vne douleur ſi forte De m'eſtre auecques vous gouuerné de la ſorte,  2 ---- 8 -----8 14 Que ie ne ſçay que dire, & que ie ſuis honteux De vous auoir rendu mon amour ſi douteux, D’auoir à ſon ſujet trahy ma propre flâme, Et d’auoir pour ſa vie entrepris ſur mon ame:	Il est vrai que ie Se vne douleur si forte De m'être apprendre vous gouverné de la sorte, 2 -- 8 --8 14 Que tu ne sais que dire, et que je suis honteux De vous avoir rendu mon amour si douteux, D'avoir à son sujet trahi ma propre flamme, Et d'avoir pour sa vie entrepris sur mon âme:
Mais vous ſçauez qu'il eſt l’appuy de ma maiſon, Que ce que i’en ay fait, ie l’ay fait par raiſon, Que ſon pere en mourant le remit à ma garde, Que ie le dois ſeruir en ce qui le regarde, Ou ie ſerois ingrat à ceſte affeſtion,  Que ſon pere a fait voir en ſemblable action, La ſanté toutesfois à mon nepueu renduë, Et qu’il conſerue encor, quoy qu’il vous ayt perduë, Deuroit m’auoir rendu ce que i’auois donné, Et m'aſſeurer deſia que ie ſuis pardome.	Mais vous savez qu'il est l'appui de ma maison, Que ce que j'en ai fait, votre l'ai fait par raison, Que son père en mourant le remit à ma garde, Que ie le dois servir en ce qui le regarde, Oufin serais ingrat à cette affestion, Que son père a fait voir en semblable action, La santé toutefois à mon neve renduë, Et qu'il conserve encor, quoi qu’il vous ait perdue, Deurait m'avoir rendue ce que j'avais donné, Et m'assurer déjà que ie suis pardome.
Accordez, Calirie, vne faueur ſi grande Au mal-heureux Oronte, & ſignez ſa demande.	Accordez, Calirie, une faveur si grande Au malheureux Oronte, et signez sa demande.
ALIDOX Ie delcouurant.	ÀLIDOX Je délcouvrant.
Ie viens pour la ſigner, mais c'est auec le ſang Que ce fer à vos yeux tirera de ce flanc.	Je viens pour la signer, mais c'est avec le sang Que ce fer à vos yeux tirera de ce flanc.
CALIRIE l’arreſtant.	CALIRIE l'arrêtant.
Alidor, arreſtez, c'eſt moy qui vous coniure De ne me faire point ceſte ſeconde iniure, Suſpendez quelque temps ce transport inhumain Et vom ſerez contenisi vn & vanre demdin,	Alidor, arrêtez, c'est moi qui vous conjure De ne me faire point cette seconde injure, Suspendez quelque temps ce transport inhumain Et vom serez contenisi un et vanre demin,
ALIDOR.	ÀLIDOR.
Non, ne retardez point la mort que ie deſire, C’eſt d’elle que i’attens la fin de mon martyre, Apres auoir cognu qu’Oronte m'a trahy, Que i’aime ſans espoir, & que ie ſuis hay:	Non, ne retardez point la mort que je désire, C'est d'elle que j'attends la fin de mon martyre, Apres avoir connu qu'Oronte m'a trahi, Que j'aime sans espoir, et que je suis haï:
Arle conferner ta pit, eſt augmemerma peine, Laiſſez-moy dõc mourir, vous me ſerez humaine.	Arle conferner ta pit, est augmemerma peine, Laissez-moi dont mourir, vous me rez humaine.
CALIRIE.	CALIRIE.
Vous m’aimez Alidor, O ronte m’aime außi, Et ie dois vous tirer tous deux de ce ſoucy, Iurez moy ſeulement de ne rien entreprendre Iuſqu'à ceſue ueinamie touste faſſe entendre, S'il eſt vray que l’on m’aime, onme doit obeyr, La de ſobeyſſance oblige de hayr.	Vous m'aimez Alidor, Ô ronte m'aime aussi, Et ie dois vous tirer tous deux de ce souci, Jurez moi seulement de ne rien entreprendre Jusqu'à cette éveinamie cette fasse entendre, S'il est vrai que l'on m'aime, onme doit obéir, La de sobéissance oblige de haïr.
ORONTE.	ORONTE.
P'our moy ie vous promets que mes ardeurs plus fermes Se maintiendront touſiours dedans leurs premiers termes.	P'our moi je vous promets que mes ardeurs plus fermes Se maintiendront toujours dedans leurs premiers termes.
ALIDOR.	ÀLIDOR.
Et moy quoy que ie ſois tout à fait malheureux, Pour vous deſobeyr ie ſuis trop amoureux, Voſtre commandement m'est vne loy ſeuere Que ie reçoypourtant de peur de vous deſplaire.	Et moi quoi que je sois tout à fait malheureux, Pour vous désobéir tu suis trop amoureux, Votre commandement m'est une loi sévère Que je reçoypourtant de peur de vous déplaire.
CALIRIE.	CALIRIE.
Ie vous quitte, & croyez que dans le meſme temps Que ie vous ay promis, ie vous rendray contens.	Je vous quitte, et croyez que dans le même temps Que je vous ai promis, je vous rendrai contents.
RORIE.	RORIE.
Ie croiray tout de vous, mais ie crains le contraire.	Je croirai tout de vous, mais ie ainsi le contraire.
ALIDOR ſeul.	ÀLIDOR seul.
Oronte qui touſiours m’as ſeruy comme pere, Et qui m'as retiré du milieu des ennuis, Tu feints de me ſauuer, & c’eſt toy qui me nuis, emonoig neuutoueueux, i'ay touſiours mon remede, La mort quand ie voudray ſera preſte à mon ayde.	Oronte qui toujours m'as servi comme père, Et qui m'as retiré du milieu des ennuis, Tu feints de me sauver, et c'est toujours qui me nuis, émonoig neuutoueueux, j'ai toujours mon remède, La mort quand ie voudrai sera prête à mon aide.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE V.	SCÈNE V.
CINTILLE daſis Ia loſicude.	CINTILE dasis Ja losicude.
I Riſtes reſſentimẽs du bien que i’ay perdu, Sortez de ma penſee, C’eſt vn bien qui iamais ne me ſer a rendu, Alidor m'a laiſſee, Iingrat ne ſonge plus à ſa premiere ardeur, Et ie cognois dans ſa froideur Que de ſon ſouuenir Cintille eſt effacee.	I Ristes ressentiments du bien que j'ai perdu, Sortez de ma pensée, C'est un bien qui jamais ne me ser a rendu, Alidor m'a laisse, Jingrat ne songe plus à sa première ardeur, Et ie cognais dans sa froideur Que de son souvenir Cintille est effacée.
Miſerable Cintille, à qui te reſous-tu Dans ce cruel orage, Il te faut conſeiller à ta propre vertu, * ---	Misérable Cintille, à qui te résous-tu Dans ce cruel orage, Il te faut conseiller à ta propre vertu, * --
M 4 Et monstrer ton courage:	M 4 Et montrer ton courage:
Ceſſe de t’affliger, prens vn meilleur deſſein, TL.	Cesse de t'affliger, prends un meilleur dessein, TL.
De jene.	De jène.
Les conſeils violens que te donne la rage.	Les conseils violents que te donne la rage.
Meurs, meurs, & n’attends plus le ſecours des humains, Ton attente eſt trop vaine, Ce fer dans vn moment, par l’ayde de tes mains, Mettra finã ta peine:	Meurs, meurs, et n'attends plus le secours des humains, Ton attente est trop vaine, Ce fer dans un moment, par l'aide de tes mains, Mettra finã Ma peine:
Pouſſe-le hardiment, & dans ton propre cœur Va cercher cét ingrat vainqueur, Et venge deſſus luy ta douleur inhumaine.	Pousse-le hardiment, et dans ton propre cœur Va ce cét ingrat vainqueur, Et venge dessus Seigneur ta douleur inhumaine.
Le traiſtre y regne encor auec tous ſes meſpris, Mais auec tant de charmes, Que malgré la fureur qui trouble mes eſprits, Il m'arrache les armes, Et pour s’y maintenir me contraint doucement De viure parmy mon tourment, Et de continuër mes ſouspirs, & mes larmes.	Le traître y règne encor auec tous ses mépris, Mais avec tant de charmes, Que malgré la fureur qui trouble mes esprits, Il m'arrache les armes, Et pour s'y maintenir me contraint doucement De vivre parmi mon tourment, Et de continuer mes soupirs, et mes larmes.
