LA A REINE REGENTE.	LA A REINE RÉGENTE.
Qu’on me meine à la mort, je n’ay plus rien à dire, Allons, Gardes, celt falt.	Qu'on me mène à la mort, je n'ai plus rien à dire, Allons, Gardes, celt falt.
SCENE V.	SCÈNE V.
SEVERE, PAULINE, FABIAN	SÈVRE, PAULINE, FABIAN
DAns mon eſtonnement Ie ſuis confus pour luy de ſon aueuglement, Sa reſolution a ſi peu de pareilles Qu’à peine je me fie encor à mes oreilles.	DAns mon étonnement Je suis confus pour lui de son aveuglement, Sa résolution a si peu de pareilles Qu'à peine je me fie encor à mes oreilles.
Vn cœur qui vous cherit, (mais quel cœur aſſez bas Auroit pû vous cognoiſtre & ne vous cherir pas?	Un cœur qui vous chérit, (mais quel cœur assez bas Aurait pu vous connaître et ne vous chérir pas?
Vn homme aymé de vous, ſi toſt qu’il vous poſſede Sans regret il vous quitte, il fait plus, il vous cede Et comme ſi vos feux eſtoient vn don fatal Il en fait vn preſent luy meſme à ſon riual.	Un homme aimé de vous, si tôt qu'il vous possède Sans regret il vous quitte, il fait plus, il vous cede Et comme si vos feux étaient un don fatal Il en fait un présent lui était à son rival.
Certes, ou les Chreſtiens ont d’eſtranges manies Ou leurs felicitez doiuent eſtre infinies, Puiſque pour y pretendre ils oſent rejetter, Ce que de tout l’Empire il faudroit acheter.	Certes, ou les Chrétiens ont d'étranges manies Ou leurs félicités doivent être infinies, Puisque pour y prétendre ils osent rejetter, Ce que de tout l'Empire il faudrait acheter.
Pour moy ſi mes deuins vn peu pluſtoſt propices Euſſent de voſtre Hymen honoré mes ſeruices, Ie n’aurois adoré que l’éclat de vos yeux, I’en aurois fait mes Rois, j’en aurois fait mes Dieux, On m’auroit mis en poudre, on m’auroit mis en Avant que.	Pour moi si mes devins un peu plutôt propices Eussent de votre Hymen honoré mes services, Je n'aurais adoré que l'éclat de vos yeux, J'en aurais fait mes Rois, j'en aurais fait mes Dieux, On m'aurait mis en poudre, on m'aurait mis en Avant que.
cendre	cendre
PAULINE.	PAULINE.
Briſons-la ie crains de trop entendre, Et que cette chaleur qui ſent vos premiers feux Ne pouſſe quelque ſuite indigne de tous deux.	Brisons-la mieux crains de trop entendre, Et que cette chaleur qui sent vos premiers feux Ne pousse quelque suite indigne de tous deux.
Seuere, cognoiſſez Pauline toute entiere, Mon Polyeucte touche à ſon heure derniere, Pour achever de vivre il n’a plus qu’vn moment, Vous en eſtes la cauſe encor qu’innocemment.	Seuère, connaissez Pauline toute entière, Mon Polieute touche à son heure dernière, Pour achever de vivre il n'a plus qu'un moment, Vous en êtes la cause encor qu'innocemment.
Ie ne ſçay ſi voſtre ame à vos deſirs ouuerte Auroit oſé former quelque eſpoir ſur ſa perte, Mais ſçachez qu’il n’eſt point de ſi cruels trépas Où d’vn front aſſeuré je ne porte mes pas.	Je ne sais si votre âme à vos désirs ouverte Aurait osé former quelque espoir sur sa perte, Mais sachez qu'il n'est point de si cruels trépas Où d'une front assuré je ne porte mes pas.
Qu’il n’eſt point aux Enfers d’horreurs que je n’enPluſtoſt que de ſoüiller vne gloire ſi pure, (dure, Que d’épouſer vn homme apres ſon triſte ſort Qui de quelque façon ſoit cauſe de ſa mort, Et ſi vous me croyez d’vne ame ſi peu ſaine, L’amour que j’eus pour vous tourneroit toute en Vous eſtes genereux;	Qu'il n'est point aux Enfers d'horreurs que je n'enPlustost que de souiller une gloire si pure, (dure, Que d'épouser un homme après son triste sort Qui de quelque façon soit cause de sa mort, Et si vous me croyez d'une âme si peu saine, L'amour que j'eus pour vous tournerait toute en Vous êtes généreux;
ſoyez-le juſqu’au bout, (haine Mon pere eſt en eſtat de vous accorder tout, Il vous craint, & j’avance encore cette parole Que s’il perd mõ époux c’eſt à vous qu’il l’immole Sauvez ce mal-heureux, employez-vous pour luy, Faites-vous un effort pour luy ſervir d’appuy.	soyez-le jusqu'au bout, (haine Mon ère est en état de vous accorder tout, Il vous craint, et j'avance encore cette parole Que s'il perd mont époux c'est à vous qu'il l'immole Sauvez ce malheureux, employez-vous pour quelque, Faites-vous un effort pour lui servir d'appui.
Je ſçay que c’eſt beaucoup que ce que je demande, Mais plus l’effort-eſt grand, plus la gloire en eſt grande Conſerver un rival dont vous eſtes jaloux C’eſt un trait de vertu qu’il n’appartient qu’à vous, Et ſi ce n’eſt aſſez de voſtre renommée, C’eſt beaucoup qu’une femme autrefois tant aymée Et dont l’amour peut-être encor vous peut toucher Doive à voſtre grãd cœur ce qu’elle a de plus cher:	Je sais que c'est beaucoup que ce que je demande, Mais plus l'effort-est grand, plus la gloire en est grande Conserver un rival dont vous êtes jaloux C'est un trait de vertu qu'il n'appartient qu'à vous, Et si ce n'est assez de votre renommée, C'est beaucoup qu'une femme autrefois tant aimée Et dont l'amour peut-être encor vous peut toucher Doive à votre grande cœur ce qu'elle a de plus cher:
Souvenez-vous enfin que vous eſtes Severe.	Souvenez-vous enfin que vous êtes Sévère.
Je m’en vay ſans réponſe apres cette priere, Et ſi vous n’eſtes tel que je l’oſe eſperer, Pour vous priſer encor je le veux ignorer.	Je m'en vais sans réponse après cette prière, Et si vous n'êtes tel que je l'ose espérer, Pour vous priser encor je le veux ignorer.
SCENE VI.	SCÈNE VI.
SEVERE, FABIAN.	SÈVRE, FABIAN.
SEVERE.	SÈVRE.
V’eſt ce-cy, Fabian?	V'est ce-cy, Fabian?
quel nouveau coup de Q foudre Tombe ſur mon bon-heur & le reduit en poudre?	quel nouveau coup de Q foudre Tombe sur mon bonheur et le réduit en poudre?
Plus je l’eſtime prés, plus il eſt eſloigné.	Plus je l'estime près, plus il est éloigné.
Ie trouve tout perdu quand je croy tout gagné, Et toûjours la fortune à me nuire obſtinée Tranche mon eſperance auſſi-toſt qu’elle eſt née.	Je trouve tout perdu quand je crois tout gagné, Et toujours la fortune à me nuire obstinée Tranche mon espérance aussitôt qu'elle est née.
Avant qu’offrir des vœux je reçois des refus, Toûjours triſte, toûjours & honteux & confus De voir que laſchement elle ait oſé renaiſtre, Qu’encor plus laſchement elle ait osé paroiſtre, Et qu’vne femme enfin dans l’infelicité Me faſſe des leçons de generoſité.	Avant qu'offrir des vœux je reçois des refus, Toujours triste, toujours et honteux et confus De voir que lâchement elle ait osé renaître, Qu'encor plus lâchement elle ait osé paraître, Et qu'une femme enfin dans l'infélicité Me fasse des leçons de générosité.
Voſtre belle ame eſt haute autant que mal-heureuſe Mais elle eſt inhumaine autant que genereuſe, Pauline, & vos douleurs auec trop de rigueur D’vn amant tout à vous tyranniſent le cœur.	Votre belle âme est haute autant que malheureuse Mais elle est inhumaine autant que généreuse, Pauline, et vos douleurs avec trop de rigueur D'un amant tout à vous tyrannisent le cœur.
C’eſt donc peu de vous perdre, il faut que ie vous donne.	C'est donc peu de vous perdre, il faut que je vous donne.
Que je ſerue vn riual lors qu’il vous abandonne, Et que par vn cruel & genereux effort Pour vous rẽdre en ſes mains je l’arrache à la mort	Que je serve un rival lors qu'il vous abandonne, Et que par un cruel et généreux effort Pour vous rendre en ses mains je l'arrache à la mort
FABIAN.	FABIAN.
Laiſſez à ſon deſtin cetté ingratte famille, Qu il dccorde s nvcut le pele auce laMe, Polyeucte & Felix, l’épouſe auec l’epoux.	Laissez à son destin cet ingrate famille, Qu' il dorde s' nvcut le pèle auce laMe, Polyeute et Félix, l'épouse avec l'époux.
D’vn ſi cruel effort quel prix eſperez-vous?	D'un si cruel effort quel prix espérez-vous?
SEVERE.	SÈVRE.
La gloire de monſtrer à cette ame ſi belle Que Seuere l’égale & qu’il eſt digne d’elle, Qu’elle m’eſtoit bien deuë & que l’ordre des Cieux En me la refuſant m’eſt trop iniurieux.	La gloire de montrer à cette âme si belle Que Suère l'égale et qu'il est digne d'elle, Qu'elle m'était bien due et que l'ordre des Cieux En me la refusant m'est trop injurieux.
FABIAN.	FABIAN.
Sans accuſer le ſort ni le Giel d’iniuſtice Prenez garde au peril qui ſuit vn tel ſeruice, Vous hazardez beaucoup, Seigneur, penſez-y bien Quemous entreprenez de ſauuer vn Chreſtien?	Sans accuser le sort ni le Giel d'injustice Prenez garde au péril qui suit un tel service, Vous hasardez beaucoup, Seigneur, pensez-y bien Quemous entreprenez de sauver un Chrétien?
Pouuez vous ignorer pour cette ſecte impie Qu’elle eſt & fut touſiours en haine de Decie?	Pouvez -vous ignorer pour cette secte impie Qu'elle est et fut toujours en haine de Décie?
C’eſt vn crime vers lui ſi grand, ſi capital;	C'est un crime vers lui si grand, si capital;
Qu’à voſtre faueur meſme il peut eſtre fatal.	Qu'à votre faveur même il peut être fatal.
SEVERE.	SÈVRE.
Cét advis ſeroit bon pour quelque ame commune, Ie ſuis encor Seuere.	Cet avis serait bon pour quelque âme commune, Je suis encor Seuere.
& tout ce grand pouuoir Ne peut rien ſur ma gloire & rien ſur mon deuoir Icy l’honneur m’oblige & j’y veux ſatisfaire.	et tout ce grand pouvoir Ne peut rien sur ma gloire et rien sur mon devoir Ici l'honneur m'oblige et j'y veux satisfaire.
Qu’apres le ſort ſe montre ou propice ou contraire, Comme ſon naturel eſt toûjours inconſtant, Periſſant glorieux je pe iray content.	Qu'après le sort se montre ou propice ou contraire, Comme son naturel est toujours inconstant, Périssant glorieux je pe irai content.
Ie te diray bien plus, mais avec confidence, La ſecte des Chreſtiens n’eſt pas ce que l’on penſe, On les hait, la raiſon je ne la cognoy point, Et je ne voy Decie injuſte qu’en ce point.	Je te dirai bien plus, mais avec confidence, La secte des Chestriens n'est pas ce que l'on pense, On les hait, la raison je ne la connais point, Et je ne vois Déci injuste qu'en ce point.
Par curioſité j’ay voulu les cognoiſtre, On les tient pour ſorciers dont l’Enfer eſt le maiſtre Et ſur cette croyance on punit du treſpas Des myſteres ſecrets que nous n’entendons pas.	Par curiosité j'ai voulu les connaître, On les tient pour sorciers dont l'Enfer est le maître Et sur cette croyance on punit du trépas Des mystères secrets que nous n'entendons pas.
Mais Ceres, Eluſine, & la bonne Deeſſe Ont leurs ſecrets cõme eux à Rome & dans la Grece Encor impunément nous ſouffrons en tous lieux Leur Dieu ſeul excepté toute ſorte de Dieux, Tous les monſtres d’Egypte ont leur Temple dans Rome, Nos yeux à leur gré faiſoient vn Dieu d’vn hõme, Et leur ſang parmy nous conſervant leurs erreurs Nous rempliſſons le Ciel de tous nos Empereurs, M ais à parler ſans fard de tant d’Apotheoſes, L’effet eſt bien douteux de ſes Metamorphoſes.	Mais Ceres, Elusine, et la bonne Déesse Ont leurs secrets comme eux à Rome et dans la Grèce Encor impunément nous souffrons en tous lieux Par Tous lieux excepté toute sorte de Dieux, Tous les monstres d'Égypte ont leur Temple dans Rome, Nos yeux à leur gré faisaient un Dieu d'un homme, Et leur sang parmi nous conservant leurs erreurs Nous remplissons le Ciel de tous nos Empereurs, M ais à parler sans fard de tant d'Apotheoses, L'effet es bien douteux de ses Metamorphoses.
Les Chrétiẽs n’ont qu’vnnieu, maître abſolu de tout, De qui le ſeul vouloir fait tout ce qu’il reſout:	Les Chrétiens n'ont qu'Hannieu, maître absolu de tout, De qui le seul vouloir fait tout ce qu'il résout:
Mais ſi j’oſe entre nous dire ce qui me ſemble, Les nôtres biens ſouuent s’accordent mal enſembleEt me deuſt leur colere écraſer à tes yeux Nous en avõs beaucoup pour eſtre de vrais Dieux.	Mais si j'ose entre nous dire ce qui me semble, Les nôtres biens souvent s'accordent mal ensembleE me dût leur colère écraser à tes yeux Nous en avons beaucoup pour avoir de vrais Dieux.
Peut-eſtre qu’apres tout ſes croyances publiques Ne ſont qu’ihuentions de ſages Politiques, Pour contenir vn peuple, ou bien pour l’émouuoit, Et deſſus la foibleſſe affermit leur pouuoir.	Peut-être qu'après tout ses croyances publiques Ne sont qu'ihuentions de sages Politiques, Pour contenir un peuple, ou bien pour l'émouuoit, Et dessus la faiblesse affermit leur pouvoir.
Enfin chez les Chreſtiẽs les mœurs ſont innocẽtes, Les vices deteſtez, les vertus floriſſantes, Jamais vn adultere, vn traiſtre, vn aſſaſſin, Ia mais d’yurognerie & jamais de larcin, Ce n’eſt qu’amour entr’eux, que charité ſincere, Chacun y cherit l’autre, & le ſecourt en frere, Ils font des vœux pour nous qui les perſecutons, Et depuis tant de temps que nous les tourmentons Les a-t’on veu mutins;	Enfin chez les Chrestiẽs les mœurs sont innocent, Les vices détestez, les vertus florissantes, Jamais un adultère, un traître, un assassin, Ia mais d'yurognerie et jamais de larcin, Ce n'est qu'amour entr'eux, que charité sincère, Chacun y cherit l'autre, et le secourt en frère, Ils ont des vœux pour nous qui les persécutons, Et depuis tant de temps que nous les tourmentons Les a-t-on vu mutins;
les a-ton veu rebelles?	les a-ton vu rebelles?
Nos Princes ont-ils eu des ſoldats plus fidelles?	Nos Princes ont-ils eu des soldats plus fidèles?
Furieux dans la guerre ils ſouffrent nos bourreaux, Et lyons au combat ils meurent en agneaux.	Furieux dans la guerre ils souffrent nos bourreaux, Et lions au combat ils meurent en agneaux.
I’ay trop de pitié d’eux pour ne les pas defendre, Allons trouver Felix, commençons pur lon gendre Et contentons ainſi d’vne ſeule action Et Pauline, & ma gloire, & ma compaſſion.	J'ai trop de pitié d'eux pour ne les pas défendre, Allons trouver Félix, commençons pur lon gendre Et contentons ainsi d'une seule action Et Pauline, et ma gloire, et ma compassion.
Fin du quat rieſme Acte.	Fin du quat rième Acte.
AOIEV	ÀOIEU
SCENE I.	SCÈNE I.
FELIX, ALBIN, CLEON.	FELIX, ALBIN, CLEON.
FELIX.	FELIX.
Lbin, as-tu bien veu la fourbe de Severe?	Lbin, as-tu bien vu la fourbe de Sévère?
LAAs-tu bien veu ſa haine, & vois-tu ma miſere,	LAs-tu bien vu sa haine, et vois-tu ma misère,
ALBIN.	ÀLBIN.
Ie n’ay veu rien en luy qu’un rival genereux.	Je n'ai vu rien en lui qu'un rival généreux.
Et ne voy rien en vous qu’un pere rigoureux.	Et ne vois rien en vous qu'un père rigoureux.
FELIX.	FELIX.
Que tu le connois mal!	Que tu le connais mal!
tout ſon fait n’eſt que mine Dans l’ame il hait Felix, & dédaigne Pauline Er s’il l’ayma jadis, il eſtime aujourdhuy, Les reſtes d’un rival trop indignes de luy, Il parle en ſa faveur, il me prie, il menace, Et me perdra, dit-il, ſi je ne luy fais grace, Tranchant du genereux il croit m’épouvanter;	tout son fait n'est que mine Dans l'âme il hait Félix, et dédaigne Pauline Er s'il l'aima jadis, il estime aujourdhuy, Les restes d'un rival trop indignes de Seigneur, Il parle en sa faveur, il me prie, il menace, Et me perdra, dit-il, si je ne lui fais grâce, Tranchant du généreux il croit m'épouvanter;
L’artifice eſt trop lourd pour ne pas l’évanter, Je connois avant luy la Cour & ſes intrigues, J’en connoy les détours, j’en connoy les pratiques, C’eſt en vain qu’il tempeſte & feint d’eſtre en fureur le voy ce qu’il pretend auprés de l’Empereur;	L'artifice est trop lourd pour ne pas l'évanter, Je connais avant lui a Cour et ses intrigues, J'en connais les détours, j'en connais les pratiques, C'est en vain qu'il tempête et feint d'être en fureur le vois ce qu'il prétend auprès de l'Empereur;
De ce qu’il me demande, il m’y feroit un crime, Eſpargnant ſon rival je ſerois ſa victime, Et s’il avoit affaire à quelque mal adroit, Ie piege eſt bien tendu;	De ce qu'il me demande, il m'y ferait un crime, Épargnant son rival je serais sa victime, Et s'il avait affaire à quelque mal adroit, Je piège est bien tendu;
ſans doute il le perdroit;	sans doute il le perdrait;
Mais vn vieux Courtiſan n’eſt pas ſi fort credule.	Mais un vieux Courtisan n'est pas si fort crédule.
Il voit quand on le louë, & quand on diſſimule, Et moy, j, en ay tant veu de toutes les façons Qu’à luy meſme au beſoin j’en ferois des leçons.	Il voit quand on le loue, et quand on dissimule, Et moi, , en ai tant vue de toutes les façons Qu'à lui mesme au besoin j'en ferais des leçons.
ALBIN.	ÀLBIN.
Dieux, que vous vous geſnez par cette deffiance?	Dieux, que vous vous gênez par cette défiance?
FELIX.	FELIX.
Pour ſubſiſter en Cour c’eſt la haute ſcience, Quand vn homme vne fois a droit de nous hayr Nous deuons preſumer qu’il cherche à nous trahir, Toute ſon amitié nous doit eſtre ſuſpecte;	Pour subsister en Cour c'est la haute science, Quand un homme une fois a droit de nous haïr Nous devons présumer qu'il cherche à nous trahir, Toute son amitié nous doit être suspecte;
Si Polyeucte enfin n’abandonne ſa ſecte, Quoy que ſon protecteur ait pour luy dans l’eſprit, nn puruiey haucement pordre qui meſt preſcrit.	Si Polyute enfin n'abandonne sa secte, Quoi que son protecteur ait pour lui dans l'esprit, nu purie haucement pordre qui met prescrit.
ALBIN.	ÀLBIN.
Grace, grace, Seigneur, que Pauline l’obtienne.	Grâce, grâce, Seigneur, que Pauline l'obtienne.
FELIX.	FELIX.
Celle de l’Empereur ne ſuiuroit pas la mienne, Et loin de ce pas funeſte & hazardeux Ma bonté ne feroit que nous perdre tous deux,	Celle de l'Empereur ne suivrait pas la mienne, Et loin de ce pas funeste et hasardeux Ma bonté ne ferait que nous perdre tous deux,
ALBIN.	ÀLBIN.
Mais Seuere promet.	Mais Seuère promet.
FELIX.	FELIX.
Albin, je m’en deffie, Et cognois mieux que luy la haine de Decie, En faueur des Chreſtiens s’il choque ſon couroux Luyumemmie anſeuremene le perdroit avec nous.	Albin, je m'en défie, Et connais mieux que tu la haine de Decie, En faveur des Chrétiens s'il choque son courroux Luyumemmie ansuremène le perdrait avec nous.
Ie veux tenter pourtant encor vne autre voye, Amenez Polyeucte, & ſi je le renuoye, S’il demeure inſenſible à ce dernier effort Au ſortir de ce lieu qu’on luy donne la mort.	Je veux tenter pourtant encor une autre voie, Amenez Polieute, et si je le renvoie, S'il demeure insensible à ce dernier effort Au sortir de ce lieu qu'on avait donne la mort.
ALBIN.	ÀLBIN.
Voſtre ordre eſt rigoureux.	Votre ordre est rigoureux.
FELIX.	FELIX.
Il faut que je le ſuive Si je veux empeſcher qu’vn deſordre n’arrive.	Il faut que je le suive Si je veux empêcher qu'un désordre n'arrive.
Ie voy le peuple émeu pour prendre ſon party, Et toy-mefme tantoſt tu m’en as adverty:	Je vois le peuple ému pour prendre son parti, Et toi-même tantôt tu m'en as averti:
Dans ce zele pour luy qu’il fait déja paroiſtre, Ie ne ſcay ſi long-temps j’en pourrois eſtre ma iſtre, Peut eſtre dés demain, dés la nuit, dés ce ſoir I’en verrois des effets que je ne veux pas voir, Et Severe auſſi-toſt courant à ſa vangeance M iloit calomnler de quelque inteſgence, Il faut rompre ce cours qui me ſeroit fatal.	Dans ce zèle pour lui qu'il fait déjà paraître, Je ne sais si longtemps j'en pourrais être ma ître, Peut être dès demain, dès la nuit, dès ce soir J'en verrais des effets que je ne veux pas voir, Et Sévère aussitôt courant à sa vengeance M ilait calomnler de quelque intesgence, Il faut rompre ce cours qui me serait fatal.
ALBIN.	ÀLBIN.
Que voſtre deffiance eſt vn eſtrange mal!	Que votre défiance est un étrange mal!
Tout vous nuit, tout vous perd, tout vous fait de Toibrage;	Tout vous nuit, tout vous perd, tout vous fait de Toibrage;
Mais voyez que ſa mort mettra ce peuple en rage, Que c’eſt mal le guerir que le deſeſperer.	Mais voyez que sa mort mettra ce peuple en rage, Que c'est mal le guérir que le désespérer.
FELIX En vain apres ſa mort il voudra murmurer, Et s’il oſe venir à quelque violence.	FELIX En vain après sa mort il voudra murmurer, Et s'il ose venir à quelque violence.
C’eſt à faire à ceder deux jours à l'imnorente, J’auray fait mon devoir quoy qu’il puiſſe arriver:	C'est à faire à céder deux jours à l'imnorente, J'aurai fait mon devoir quoi qu’il puisse arriver:
Mais Polyeucte vient, tachons à le ſauuer.	Mais Polieute vient, tachons à le sauver.
Soldats, retirez-vous, & gardez bien la porte.	Soldats, retirez-vous, et gardez bien la porte.
SCENE II.	SCÈNE II.
FELIX, POLYEUCTE, ALBIN.	FELIX, POLYEUCTE, ALBIN.
FELIX.	FELIX.
S-tu donc pour la vie vne haine ſi forte IAMalheureux P'olyeucte, & la loy des Chreſtiens T’ordonne-t’elle ainſi d’abandonner les tiens?	S-tu donc pour la vie une haine si forte JAMalheureux P'olyute, et la loi des Chrétiens T'ordonne-t-elle ainsi d'abandonner les tiens?
POLYEVCTE.	POLYEUCTE.
Ie ne hay point-la vie, & j’en ayme l’vſage.	Je ne hais point-la vie, et j'en aime l'usage.
Mais ſans attachement qui ſente l’eſclavage, Touſiours preſt à la rendie au Dieu dont je la tiens, La raiſon me l’ordonne & la loy des Chreſtiens?	Mais sans attachement qui sente l'esclavage, Toujours prêt à la rendie au Dieu dont je la tiens, La raison me l'ordonne et la loi des Chrétiens?
Et je vous monſtre à tous par là cõme il faut viure Si vous avez le cœur aſſez bon pour me ſuiure.	Et je vous montre à tous par là cõme il faut vivre Si vous avez le cœur assez bon pour me suivre.
FELIX.	FELIX.
Te ſuiure dans l’abſyme où tu te veux jetter?	Te suivre dans l'absyme où tu te veux jeter?
FOLIAVCTE.	FOLIAUCTE.
Mais pluſtoſt dans la gloire ou je men vay monter.	Mais plutôt dans la gloire ou je men vais monter.
FELIX.	FELIX.
Donne-moy pour le moins le temps de la cognoiſtre Pour me faire Chreſtien, ſers-moy de guide à l’eſtre Et ne dédaigne pas de m’inſtruire en ta foy, Ou toy-meſme à ton Dieu tu répondras de moy,	Donne-moi pour le moins le temps de la connaître Pour me faire Chrétien, sers-moi de guide à l'être Et ne dédaigne pas de m'instruire en ta foi, Ou toi-même à ton Dieu tu répondras de moi,
POLYEUCTE.	POLYECTE.
N’en riez point, Felix il ſera voſtre juge, Vous ne trouuerez point devant luy de refûge, Les Rois & les bergers y ſont d’vn meſme rang, De tous les ſiens ſur vous il vangera le ſang.	N'en riez point, Félix il sera votre juge, Vous ne trouverez point devant ton de refûge, Les Rois et les bergers y sont d'Han même rang, De tous les siens sur vous il vengera le sang.
*nEIIe.	*nEIIe.
Ie n’en répendray plus, & quoy qu’il en arrive Dans la foy des Chreſtiens je ſouffriray qu’on viue I’en ſeray protecteur.	Je n'en répendrai plus, et quoi qu'il en arrive Dans la foi des Chrétiens je souffrirai qu'on vive J'en serai protecteur.
POLYEVCTE.	POLYEUCTE.
Non, non, perſecutez, Et ſoyez l’inſtrument de nos felicitez, Auſſi bien vn Chreſtiẽ n’eſt rien ſans les ſouffrãces Les plus cruels tourmẽs nous ſont des recompenſes, Dieu qui rend le centuple aux bomes actions, Pour comble donne encor les perſecutions?	Non, non, persécutez, Et soyez l'instrument de nos félicités, Aussi bien un Chrétien n'est rien sans les souffrons Les plus cruels tourments nous sont des récompenses, Dieu qui rend le centuple aux bômes actions, Pour comble donne encor les persécutions?
Mais ces ſecrets pour vous ſont faſcheux à comprendre, Ce n’eſt qu’à ſes Eſleus que Dieu les fait entendre.	Mais ces secrets pour vous sont fâcheux à comprendre, Ce n'est qu'à ses Élus que Dieu les fait entendre.
FELIX.	FELIX.
Ie te parle ſans fard, & veux eſtre Chreſtien.	Je te parle sans fard, et veux être Chrétien.
POLYEUCTE Qui peut donc retarder l’effet d’un ſi grand bien?	POLYEUCTE Qui peut donc retarder l'effet d'un si grand bien?
FELIX.	FELIX.
La preſence importune.	La présence importune.
POLYEUCTE.	POLYECTE.
Et de qui?	Et de qui?
de Severe	de Sévère
FELIX.	FELIX.
Pour luy ſeul contre toy j ay feint tant de colere, Diſſi mule vn moment juſques à ſon départ,	Pour Elle seul contre toi j ai feint tant de colère, Dissi mule un moment jusques à son départ,
POLYEVCTE.	POLYEUCTE.
Felix, c’eſt donc ainſi que vous parlez ſans fard?	Félix, c'est donc ainsi que vous parlez sans fard?
Portez à vos Payens, portez à vos idoles Le fueic emponome que venene vos paroles;	Portez à vos Païens, portez à vos idoles Le fueic emponome que venène vos paroles;
Vn Chreſtien ne craint rien, ne diſſimule rien, Aux yeux de tout le monde il eſt toûjours Chreſtiẽ,	Un Chrétien ne craint rien, ne dissimule rien, Aux yeux de tout le monde il est toujours Chrétien,
FFLIX.	FFLIX.
Ce zele de ta foy ne ſert qu’à te ſeduire, Si tu cours à la mort plutoſt que de m’inſtruire,	Ce zèle de ta foi ne sert qu'à te séduire, Si tu cours à la mort plutôt que de m'instruire,
POLYEVCTE.	POLYEUCTE.
le vous en parſerois jey ſors de ſaiſon, Elle eſt vn don du Ciel & non de la raiſon, Et c’eſt-la que bien-toſt voyant Dieu face a face, Plus aisément pour vous j’obtiendray cette grace,	le vous en parserais jei sors de saison, Elle est un don du Ciel et non de la raison, Et c'est -la que bientôt voyant Dieu face a face, Plus aisément pour vous j'obtiendrai cette grâce,
FELIX.	FELIX.
Ta perte cependant me va deſeſperer.	Ta perte cependant me va désespérer.
A CAIEVO TM Vous avez en vos mains dequoy la reparer, En vous oſtãt vn gendre on vous en donne vn autre Dont la condition reſpond mieux à la voſtre, Ma perte n’eſt pour vous qu’vn change auãtageux,	À CAIEUO TM Vous avez en vos mains dequoy la réparer, En vous ostãt été gendre on vous en donne un autre Dont la condition répond mieux à la vôtre, Ma perte n'est pour vous qu' ave auãtageux,
FELIX.	FELIX.
Ceſſe de me tenir ce diſcours outrageux, Ie t’ay conſideré plus que tu ne merites, Mais malgré ma bonté qui croit quand tu l’irrites Cette inſolence enfin te rendroit odieux, Et je me vangerois auſſi bien que nos Dieux,	Cesse de me tenir ce discours outrageux, Je t'ai considéré plus que tu ne mérites, Mais malgré ma bonté qui croit quand tu l'irrites Cette insolence enfin te rendrait odieux, Et je me vengerais aussi bien que nos Dieux,
POLYEUCTE.	POLYECTE.
Quoy!	Quoi!
vous changez bien toſt d’humeur & de la ngage!	vous changez bien tôt d'humeur et de la négage!
Le zele de vos Dieux rentre en voſtre courage!	Le zèle de vos Dieux rentre en votre courage!
celuy d’eitre enrcicien s'cenappeyce par na zard Ie vous viens d’obliger à me parler ſans fard !	celui d'itre enrcicien s'cenappeyce par na zard Je vous viens d'obliger à me parler sans fard !
FELIX.	FELIX.
Va, ne preſume pas que quoy que je te jure, De tes nouveaux Docteurs je ſuiue l’impoſture, Je flattois ta manie, afin de t’arracher Du honteux précipice où tu vas trébucher, Ie voulois gaigner temps pour ménager ta vie, Apres l’éloignement d’vn flatteur de Decie, Mais j’ay fait trop d’injure a nos Dieux tout-puiſſans, Choiſy de leur donner ton ſang, ou de l’encens.	Va, ne présume pas que quoi que je te jure, De tes nouveaux Docteurs je suive l'imposture, Je flattais ta manie, afin de t'arracher Du honteux précipice où tu vas trébucher, Je voulais gagner temps pour ménager ta vie, Après l'éloignement d'un flatteur de Décie, Mais j'ai fait trop d'injure à nos Dieux tout-puissants, Chois de leur donner ton sang, ou de l'encens.
POLYEUCTE.	POLYECTE.
Mon choix n’eſt point douteux, mais j’apperçoy Pauline, O Ciel !	Mon choix n'est point douteux, mais j'apperçoy Pauline, Ô Ciel !
BODND AAI.	BODND AAI.
FELIX, POLYEVCTE, PAVLINE, ALBIN.	FELIX, POLYEUCTE, PAULINE, ALBIN.
PAVLINE.	PAULINE.
QVi de vous deux aujourd’huy m’aſſaſine?	QUi de vous deux aujourd'hui m'assasine?
Sont ce tous deux enſemble, ou chacun à ſon tour;	Sont ce tous deux ensemble, ou chacun à son tour;
Ne pourray-je fléchir la nature, ou l’amour?	Ne pourrai-je fléchir la nature, ou l'amour?
Et n’obtiendray-je rien d’vn époux.	Et n'obtiendrai-je rien d'un époux.
ny d’vn pere?	Ne d'un père?
FELIX.	FELIX.
Palez à voſtre eſpoux.	Palez à votre époux.
POLYEVCTE.	POLYEUCTE.
Viuez auec Seuere,	Vivez Seigneur Sévère,
PAVLINE.	PAULINE.
Tigre, aſſaſſine moy du moins ſans m’outrager.	Tigre, assassine moi du moins sans m'outrager.
PÔLYEUCTE, Ma pitié tant s’en faut cherche à vous ſoulager.	PÔLYEUCTE, Ma pitié tant s'en faut cherche à vous soulager.
