A MADAME DV RQVLET.	À MADAME DU RQULET.
que fayrez-vous?	que faisrez-vous?
Me voulez vous tuer comme vos ſept eſpoux?	Me voulez -vous tuer comme vos sept époux?
Ah malheureuſe femme ah cruelle meurtriere!	Ah malheureuse femme ah cruelle meurtrière!
Voules vous donc tuer maris & chambriere?	Voules -vous donc tuer maris et chambrière?
lamdis ne feuiSsiez vous auotr ducuns enfans Quicontentent vos yeux en leurs plus ieunes ans, Et dont le doux blandir de la voix enfantine Vous chatouille le cœur au fond de la poictrine.	lamandis ne feuiSsiez vous auotr ducuns enfants Quicontentent vos yeux en leurs plus jeunes ans, Et dont le doux blandir de la voix enfantine Vous chatouille le cœur au fond de la poitrine.
Priere de Sarra.	Prière de Sarra.
Ias ſii’ayoffencé vostre maiesté haute, O Dieu de mes parent, pardonnez à ma faute:	Jas sii'ayoffencé votre maite haute, Ô Dieu de mes par, donnez à ma faute:
Vous estes coustumier de receuoir touſiours, Les pauures affligez qui vers vous ont recours, I’eſleue iuſqu’au Ciel mes yeux & ma penſee Eſperant hien de voir ma priere ex aucee	Vous êtes coutumier de recevoir toujours, Les pauvres affligés qui vers vous ont recours, J'élève jusqu'au Ciel mes yeux et ma pensée Espérant hien de voir ma prière ex aucée
44 TRAGI-COMEDIE.	44 TRAGI-COMÉDIE.
Ayez doncques eſgard en mon entiere foy, Deſliez moy Seigneur, Seigneur deſliez moy Du reproche honteux qui bourrelle ma vie, Ou me l’oſtez du tout, las ie n’eux onc enuie D’accointer aueun homme, vn ſi vilain peché N’a ia nais mon eſprit ny mon corps entaché, Vous le ſcauez mon Dieu que ie ſuis chaſte & pure, Que i’ay l’ame deuote & le corps ſans ſoüillure, I'ay bien pris des marys mau en me mariant Ie craignois voſtre nom l’honorant & priant:	Ayez donc égard en mon entière foi, Dêliez moi Seigneur, Seigneur déliez moi Du reproche honteux qui bourrelle ma vie, Ou me l'ôtez du tout, las sans n'eux onc envie D'accointer aveun homme, un si vilain péché N'a ia nais mon esprit ici mon corps entaché, Vous le savez mon Dieu que je suis chaste et pure, Que j'ai l'âme dévote et le corps sans soüillure, J'ai bien pris des maris mau en me mariant Je craignais votre nom l'honorant et priant:
Peut estre que pour eux ie n’eſtois aſſez, digne, Ou peut estre qu'außi vost-e bonté diuine Me reſeruoit pour autre, & qu’iceux la n’eſtoiens Dignes de m'eſpouſes & ne me meritoyent:	Peut être que pour eux ici n'étais assez, digne, Ou peut être qu'aussi vost-e bonté divine Me réservait pour autre, et qu'iceux la n'estoiens Dignes de m'épouses et ne me méritaient:
Seigneur, voſtre conſeil n’est point en la puiſſance D’aucun homme mortel, ny en ſa congnoißance:	Seigneur, votre conseil n'est point en la puissance D'aucun homme mortel, ni en sa connaisse:
Mais quiconque vous ayme & qui tient pour certain Que vous eſtes de tous le grand Dieu ſouuerain, Ie penſe que ſa vie eſt par vous eſprouuee, Et la veut corriger, afin qu’ell' ſoit trouuee plus digne de l’honneur qu’il s’attend receuoir En vous obeiſſant & faiſant ſon debuoir:	Mais quiconque vous aime et qui tient pour certain Que vous êtes de tous le grand Dieu souuerain, Je pense que sa vie est par vous éprouvée, Et la veut corriger, afin qu'elle soit trouvée plus digne de l'honneur qu'il s'attend recevoir En vous obéissant et faisant son débuoir:
S’il est trouble d’ennuy, de douleur, & de paine, Voſtre douce beauté en repos le ramaine:	S'il est trouble d'ennui, de douleur, et de paine, Votre douce beauté en repos le ramaine:
Et s’il est corrompu par vn mauuais effect, Vous demandant pardon ce pardon luy est faict, Car vous ne prenez point de plaiſir à nous nuire Mais vous faictes ſur tous vostre ſoleil reluire:	Et s'il est corrompu par un mauvais effet, Vous demandant pardon ce pardon y est fait, Car vous ne prenez point de plaisir à nous nuire Mais vous faites sur tous votre soleil reluire:
Apres que l’on a veu eſclairer & greſler, Vous calmez la tempeſte, & raſſerenez l’air:	Après que l'on a vu éclairer et grêler, Vous calmez la tempête, et rassérénez l'air:
Apres vn triſte pleur qui arroſe la face, Vous eſſuyez nos yeux nous receuant en grace:	Après un triste pleur qui arrose la face, Vous essuyez nos yeux nous recevant en grâce:
O grand Dieu d’Iſrael, les ſi ecles aduenir Puiſſent vost ce fainct nom deuotement benir.	Ô grand Dieu d'Israel, les si évles avenir Puissent vost ce fût nom dévotement bénir.
Raguel.	Raguel.
Ma fille qu’auez vous?	Ma fille qu'avez -vous?
que vous eſtes penſifus:	que vous êtes pensifus:
Quoy!	Quoi!
vous pleurez touſiours?	vous pleurez toujours?
Sarra.	Sarra.
Ias!	Jas!
faut-il que ie viue, Enuurant tant ue morts?	faut-il que Seigneur vive, Envrant tant ue morts?
monpere s n vous plaisz Laiſſez moyplaindre ſeule.	monpère s ' vous plaisz Laissez moiplaindre seule.
Raguel.	Raguel.
S Et dites moy que c’eſt, Quel nouueau deſplaiſir vous eſpoint le courage?	S Et dites -moi que c'est, Quel nouveau déplaisir vous époint le courage?
Voulez vous conſommer voſtre fleuriſſant' aage A lamenter ſans fin.	Voulez -vous consommer votre fleurissant âge À lamenter sans fin.
Sarra.	Sarra.
Mon trauail ſoucieux Quand ie ne dirois mot paroiſtroit a mes yeux, On dit que le ſilence eſt vn diſcret meſſage, Qui ſans rien prononcer ſe peut lire au viſage.	Mon travail soucieux Quand je ne dirais mot paraîtrait à mes yeux, On dit que le silence est un discret message, Qui sans rien prononcer se peut lire au visage.
Raguel.	Raguel.
Bien ie vous laiſſe donc deuant nostre parent, Ie ne veux pas monstrer mon deuil tant apparent:	Bien Prince vous laisse donc devant notre parent, Je ne veux pas montrer mon deuil tant apparent:
dnuistu pauure surru comme eue eſt uenenue, Ores elle eſt ſans poux, ores elle eſt eſmeue:	dnuistu pauvre surru comme eue est uenenue, Ores elle est sans poux, ores elle est émue:
Ie vay trouuer ſa mere & luy diray commens Elle change couleor cent fois en vn moment.	Je vais trouver sa mère et même dirai commens Elle change couleor cent fois en un moment.
Sarra ſeule.	Sarra seule.
Ha!	Ha!
mon Dieu que ie ſents vne aſpre maladie, Qui par les yeux aymez de ce Ieune Thobie Se coulant dans les miens m’enpoiſonne le cœur, De ſes gentils propos l’agreable douceur A deſrobé du tout ma liberté premiere, Et mis en ſon pouuoir mon ame priſonniere:	mon Dieu que iepresse une âpre maladie, Qui par les yeux aimés de ce Jeune Thobie Se coulant dans les miens m'enpoisonne le cœur, De ses gentils propos l'agréable douceur A dérobé du tout ma liberté première, Et mis en son pouvoir mon âme prisonnière:
Maisie ne veux pourtant luy demander ſecours Craignant de voir finir la vie de mes amours, Ias i’ay eu ſept maris, dont la forte allegreſſe N’a peu forcer la mort, elle à eſté maiſtreſſe De leur ieune prin-temps, & vn eſprit maudit Les à l’vn apres l’autre eſtouſſez dans mon lit, O douleur, ô regret, las que matriſte vie Eſt par diuers malheurs inceſſamment ſuiuye:	Maisie ne veux pourtant Seigneur demander secours Craignant de voir finir la vie de mes amours, Jas j'ai eu sept maris, dont la forte allégresse N'a pu forcer la mort, elle a été maîtresse De leur jeune prin-temps, et un esprit maudit Les à l'un après l'autre estoussez dans mon lit, Ô douleur, regret, las que matriste vie Est par divers malheurs incessamment suivie:
Ie ne puis maintenant ma douleur ſecourir, Priray-ie mon Couſin qu’il s’en vienne mourir?	Je ne puis maintenant ma douleur secourir, Prirai-je mon Cousin qu'il s'en vienne mourir?
Doy-ie bruſler touſiours ſans deſcouurir ma flame, Doy-ie faire mourir celuy qui tient mon ame!	Dois-je brûler toujours sans découvrir ma flamme, Dois-je faire mourir celui qui tient mon âme!
Faut-il donc tant ſouffrir & ne le dire pas?	Faut-il donc tant souffrir et ne le dire pas?
Faut-il mener außi mon amy au treſpas?	Faut-il mener aussi mon ami au trépas?
Ahlmon Dieu meurs pluſtost Sarra que d’eſtre cauſe De la mort de celuy, ou ta vie eſt encloſe.	Ahlémon Dieu meurs plutôt Sarra que d'être cause De la mort de celui, ou ta vie est enclose.
Raguel.	Raguel.
Or voila que i’ay ouy (ma femme & ie ne ſçay Si c’eſt vn nouueau mal dont elle fait eſſay, Mais n’auez-vous point veu la façon debonnaire De mon nepueu Thobie, en parlant de ſonpere?	Or voilà que j'ai ouï (ma femme et apprendre ne sais Si c'est un nouveau mal dont elle fait essai, Mais n'avez-vous point vu la façon débonnaire De mon nepueu Thobie, en parlant de sonpère?
Anne.	Anne.
Ouy i’ay bien apperçeu qu’il ploroit tendrement.	Oui j'ai bien aperçu qu'il plorait tendrement.
RaguelQue l'on doit eſperer vn humain traictement De ce ieune garçon?	Rague l'on doit espérer un humain traitement De ce jeune garçon?
Or pleust à Dieu m'amie Que ma fille Sarra euſt eſpouſé Thobie, Qu’il fut auecque nous pour noſtre aide & ſecours, Pour y fermer nos yeux à la fin de nos iours.	Or pleut à Dieu m'amie Que ma fille Sarra eût épousé Thobie, Qu'il fut apprit nous pour notre aide et secours, Pour y fermer nos yeux à la fin de nos jours.
Anne.	Anne.
Mon Dieu, que dites vous?	Mon Dieu, que dites -vous?
ce ſeroit grand domage Que cest honneſte fils mouruſt en ſi ieune aage:	ce serait grand dommage Que cet honnête fils mourût en si jeune âge:
Vous ſçauez bien (monſieur) comme les ſept maris De la pauure Sarra ſont tous morts & peris.	Vous savez bien (monsieur) comme les sept maris De la pauvre Sarra sont tous morts et péris.
Raguel.	Raguel.
Peut-eſtre cestui-cy, qui est nostre plus proche Vient pour nous deſliurer de ce vilain reproche, Temqure le Seigneur l’a fait venir a nous, Pour eſtre de Sarra perpetuel eſpoux.	Peut-être cestui-cy, qui est notre plus proche Vient pour nous délivrer de ce vilain reproche, Temqure le Seigneur l'a fait venir à nous, Pour être de Sarra perpétuel époux.
Alinc.	Alinc.
Et que vous me donnez vne douce eſperance.	Et que vous me donnez une douce espérance.
Raguel.	Raguel.
Ie voy dans ce ieune-homme vne humble contenance Vn regard adoucy, vn geſte gracieux:	Je vois dans ce jeunehomme une humble contenance Un regard adouci, un geste gracieux:
Te connon bien-außt qu’il eſt deuocieux Et qui le nom de Dieu parfaitement adore, Cegruy ta eſt prayment mrejaigne qu'on l’honore,	Te connon bien-ausst qu'il est devocieux Et qui le nom de Dieu parfaitement adore, Cgrui ta est praiment méjaigne qu'on ore,
Anne.	Anne.
Nostre fille auec luy ſeroit en grand repos.	Notre fille avec lui serait en grand repos.
Raguel.	Raguel.
M’amye le voicy il faut changer propos.	M'amie le voici il faut changer propos.
Azarie.	Azarie.
L'excelente beauté de voſtre fille vnique, Sa vertu, ſa douceur, & ſa grace pudicque, Ont ſi bien enlacé le cœur de ceſtui-cy, Que ſi vous ne prenez ſoucy de ſon ſouc y Vous le verrez bien-toſt a la fin de ſa vie, Le lignage eſt ſur tout la pitié vous conuie De le tenir pour vostre, il vous veut obeir.	L'excelente beauté de votre fille unique, Sa vertu, sa douceur, et sa grâce pudicque, Ont si bien enlacé le cœur de cestui-cy, Que si vous ne prenez souci de son souc y Vous le verrez bientôt a la fin de sa vie, Le lignage est sur tout la pitié vous convie De le tenir pour votre, il vous veut obéir.
Raguel.	Raguel.
Ie l’aime comme vn fils & ne le veux trahir, Ma fille en eſprouuant ſept Nopces mi ſerables, Me fait auoir grand peur d’en reuoir de ſemblables.	Je l'aime comme un fils et ne le veux trahir, Ma fille en éprouvant sept Noces mi ables, Me fait avoir grand peur d'en revoir de semblables.
Azarie.	Azarie.
Monſieur ne craignez point, les maris de Sarra Sont tous morts l’ayant euë, & ceſt autre mourra Si vous ne luy donnez, vaut-il pas mieux quil meure Auec elle content, que mourir a ceſt heure, Außi bien vous est-il enuoye du Seigneur:	Monsieur ne craignez point, les maris de Sarra Sont tous morts l'ayant eue, et cet autre mourra Si vous ne lui donnez, vaut-il pas mieux quil meure Avec elle content, que mourir a cet heure, Aussi bien vous est-il envoie du Seigneur:
Lequel n’a point voulu qu'vn autre euſt le bon heur De iouir d’vne femme & ſi chaſte & ſi belle:	Lequel n'a point voulu qu'Hommes autre eût le bon heur De jouir d'une femme et si chaste et si belle:
Car tous ceux qui l’auotent n'eſtoient pas dignes d’elle, Mais ementeeyeruint Dien iest preueſine Pour eſpouſer Sarra de auant qu’il fut né.	Car tous ceux qui l'avotent n'étaient pas dignes d'elle, Mais ementeeyeruint Dien iest preuesine Pour épouser Sarra de avant qu'il fut né.
Raguel.	Raguel.
Ie deſire bien voir vn mary à ma fille, Mais ie crains de le perdre & que la mort le pille.	Je désire bien voir un mari à ma fille, Mais je crains de le perdre et que la mort le pille.
dEutrer Ie vous puis aſſeurer qu'il viura fort long temps Auec elle & ſera pere de beaux enfans.	dEutrer Je vous puis assurer qu'il vivra fort long temps Avec elle et sera père de beaux enfants.
Thobie le ieune.	Thobie le jeune.
Si le doux ſouuenir de la premiere flamme, Qui iadis vous bruſla, vous tient encor en l’ame Au moins Monſieur penſez ce que ie peux ſouffrir, Et receuez vn fils que te vous viens effrir:	Si le doux souvenir de la première flamme, Qui jadis vous brûla, vous tient encor en l'âme Au moins Monsieur pensez ce que ie sans souffrir, Et recevez un fils que te vous viens effrir:
olvous gardez anft cumout ue vostre race Ayez pitié de moy qui vous demande grace:	olvous gardez anft cumout ue votre race Ayez pitié de moi qui vous demande grâce:
I’ayme tant voſtre fille & auec tel debuoir Que de viure ſans elle il n'est en mon pouuoire	J'aime tant votre fille et avec tel débuoir Que de vivre sans elle il n'est en mon pouvoire
Raguel.	Raguel.
Iuunmuſon amy) ſi elle en est contente Qu'en dites vous ma femme!	Juunmuson ami) si elle en est contente Qu'en dites vous ma femme!
Elle eſt obeiſſante Anne.	Elle est obéissante Anne.
Elle faira touſiours tout ce qu’il vous plaira.	Elle faira toujours tout ce qu'il vous plaira.
Raguel.	Raguel.
Allons parler à elle & hen pa ede enunui Ma fille vous jcauez combien vous m'eſtes chere, Vous congnoiſſez außi l’amour de voſtre mere:	Allons parler à elle et hen pa éde enunui Ma fille vous jauez combien vous m'êtes chère, Vous congnaissez aussi l'amour de votre mère:
Nou Nous n’auons iamais eu autre plus grand deſir Que de vous procurer & proffit & plaiſir, Nous vous donnons mary, vn heureux mariage Est plus digne de vous, que ce piteux veufuage:	Nou Nous n'avons jamais eu autre plus grand désir Que de vous procurer et proffit et plaisir, Nous vous donnons mari, un heureux mariage Est plus digne de vous, que ce piteux veuvage:
Vous auez tant pleuré la mort de vos marys, Ores il faut changer vos triſtes pleurs en ris, Vous aurez vn eſpoux de vostre parentage beue, gratieux & avux, leune gaillard & ſage, Le voulez vous pas bien?	Vous avez tant pleuré la mort de vos maristes, Ores il faut changer vos tristes pleurs en ris, Vous aurez un époux de votre parentage bue, gratieux et avux, leune gaillard et sage, Le voulez -vous pas bien?
Sarra.	Sarra.
Ie veux ce qu’il vous plaist Mon pere, mais ie crains.	Je veux ce qu'il vous plaît Mon père, mais tu crains.
Anns.	Hanns.
Ha!	Ha!
ie ſçay bien que c’est:	Il sais bien que c'est:
Sarra ne craignez point nous leur venons de dire, Mais pourtant mon Nepueu vous ayme & vous deſire, Et puis ce ieune fils qui eſt auecques luy Promet de le garder & de mal & d’ennuy.	Sarra ne craignez point nous leur venons de dire, Mais pourtant mon Nepueu vous aime et vous désire, Et puis ce jeune fils qui est avec lui Promet de le garder et de mal et d'ennui.
Sarra.	Sarra.
Dieu veuille qu’ainſi ſoit.	Dieu veuille qu'ainsi soit.
Ragdel.	Ragdel.
Approchez vous m’amye, Cà, donnez moy la main, venez que ie vous lie D’vn neud perpetuel.	Approchez -vous m'amène, Cà, donnez -moi la main, venez que ie vous lie D'un neud perpétuel.
Thobie le ieune.	Thobie le jeune.
Hé!	Hé!
ie ſuis tant lié Meſmes au parauam faou qmomu je, De ces creſpez cheueux vne blonde cordelle Iie & ſerre mon cœur pour tout iamais à elle:	Je suis tant lié Mêmes au paravam saou qmomu je, De ces crêpez cheveux une blonde cordelle Jie et serre mon cœur pour tout jamais à elle:
Mais non obstant cela ie luy iure la foy De l’honorer touſiours & l’aymer plus que moy.	Mais non obstant cela ie luirouvre la foi De l'honorer toujours et l'aimer plus que moi.
Sarra.	Sarra.
Ie vous promets la foy que vos graces demandent Comme Dieu, les vertus, & les loir le commandent.	Je vous promets la foi que vos grâces demandent Comme Dieu, les vertus, et les loir le commandent.
Raguel.	Raguel.
Legrand Dieu Eternel vous face proſperer  vuns domtantiouttemtent que tonpuiſje eſperer.	Legrand Dieu Éternel vous face prospérer vuns domtantiouttemtent que tonpuisje espérer.
Anne.	Anne.
Ie requiers ſes bontez, que vos belles ieuneſſes Demeurent ſeur appuy de nos foibles vieilleſſes.	Je requiers ses bontés, que vos belles jeunesses Demeurent seur sûres de nos faibles vieillesses.
ACTE CINQVIESME.	ACTE CINQUIÈME.
Thobie le ieune.	Thobie le jeune.
Azarie.	Azarie.
Gabel.	Gabel.
Raguel.	Raguel.
ſa mere.	sa mère.
La Seruante.	La Servante.
AZARIE.	AZARIE.
E te fouuient il plus ( mon compaguon hobie) Que on pere nous dit, auant noſtre partie:	E te fouient il plus ( mon compaguon hobie) Que on père nous dit, avant notre partie:
oumanr mal si!	oumanr mal si!
u (uy promiſmes nous pas d’aller trou.	Ou (ui promîmes nous pas d'aller trou.
uer Gabel Iuſques dans ſa maiſon?	Que Gabel Jusque dans sa maison?
Thobie le ieune, O grand Dieu immortel Te l’auois oublie mais mon frere.	Thobie le jeune, Ô grand Dieu immortel Te l'avais oublie mais mon frère.
, Az arie De grace eſcuſez moy, hé!	, Az arie De grâce écusez -moi, hé!
vas y ie te prie.	vas y Seigneur te prie.
litarie va pour lortir & rencon	litarie va pour lortir et rencon
tre Gabel.	tre Gabel.
Dieu voits gard bon Seigneur.	Dieu voits gard bon Seigneur.
Gabel.	Gabel.
Et à vous mon amy, De quel lieu venez vous?	Et à vous mon ami, De quel lieu venez -vous?
Azarie.	Azarie.
D’vn eſtrange pays.	D'un étrange pays.
Gabel.	Gabel.
Qi vous ameyne icy quel’important' aſfaire Vous faict venir ſi loing?	Qi vous âmeine ici quel amportant asfaire Vous fait venir si loin?
Azarie.	Azarie.
Monſieur Thobie le pere Eſtan tres opulent prera y a long-tempt Quelque ſontme d’argent a vn qu’il aymoit tant:	Monsieur Thobie le père Étan très opulent préra y a longtempt Quelque sontme d'argent à un qu'il aimait tant:
Maintenam qu’il ſe voit en extreſine m''ere) Il m'a cyenuoyé & par moyil eſpere, Eſtre bien toſt payé, voyons comme il a non, Il s’appelle Gabel homme de bon renom.	Maintenam qu'il se voit en extrine m''ère) Il m'a cyenuoyé et par moiil espère, Être bien tôt payé, voyons comme il a non, Il s'appelle Gabel homme de bon renom.
Si vous le congnoiſſez dites moy ſon demeure.	Si vous le connaissez dites -moi son demeure.
Me l’enſeignerez vous?	Me l'enseignerez -vous?
Gabel.	Gabel.
Meſſager en bonne heure.	Messager en bonne heure.
Tu ſois icy venu, c’est moy meſme qui ſuis Ie debteur de Phobie, dont parler ie ne puis l'auec vn grand, egret ſant i'aymois ce bon homme Vrayment tout maintenant ie te rendray la ſomme Qu’il me preſta vn iour a ma neceſſité Et n’oublieray iamais ſa grand fide ité.	Tu sois ici venu, c'est moi -même qui suis Je débteur de Phobie, dont parler ie ne puis l'avec un grand, égret sant j'aimais ce bon homme Vraiment tout maintenant ie te rendrai la somme Qu'il me prêta un jour a ma nécessité Et n'oublierai jamais sa grand fide ité.
Comment vit il entor, que faict ſa bonne femme Bon Dieu qu'elle m'aympis,	Comment vit il entor, que fait sa bonne femme Bon Dieu qu'elle m'aimpis,
ij	ij
Azarie.	Azarie.
Ma foy la bonne dame S’atriStoit tellement, & eust tant de courroux, Voyant ſon fils partir, qu’elle pleuroit touſiours, Et ſi crois que iamais ne voirra la belle heure De ſon heureux retour, & trains qu'elle ne meure Son fils en à grand peur.	Ma foi la bonne dame S'atriStait tellement, et eût tant de courroux, Voyant son fils partir, qu'elle pleurait toujours, Et si crois que jamais ne voirra la belle heure De son heureux retour, et trains qu'elle ne meure Son fils en grand peur.
Gabel.	Gabel.
Mais ie te pri' di-moy Le ſubiect, le motif & la raiſon pourquoy Ieur fils s’en est allé & en quelle contrée Sereit il habitant, vujtE ta tiejimnet, Auoir ainſi quité ſon pere en ſes vieux ans, Se ſont ſe ſont les traicts des fils de maintenant.	Mais fort te pri' di-moi Le sujet, le motif et la raison pourquoi Jeur fils s'en est allé et en quelle contrée Sereit -il habitant, vujtE ta tiejimnet, Avoir ainsi quité son père en ses vieux ans, Se sont se sont les traits des fils de maintenant.
Azarie.	Azarie.
Monſieur excuſez-moy, ce propos la m’offence Thobie n’est desbauché ainſi comme l’on penſe Il m’a accompagné, & eſt de Raguel Le Gendre bien aymé & L’eſpoux mutuel De ſa fille Sarra, ie vien du mariage!	Monsieur excusez-moi, ce propos la m'offense Thobie n'est débauché ainsi comme l'on pense Il m'a accompagné, et est de Raguel Le Gendre bien aimé et L'époux mutuel De sa fille Sarra, Un viens du mariage!
Si vous ne me croyez, contemplez ce beau gaige Dont il m’a honoré.	Si vous ne me croyez, contemplez ce beau gage Dont il m'a honoré.
Gabel.	Gabel.
Ie le veux aller voir, Et ſerois bien ingrat ſi de tout mon pouuoir Je n’aymois ceſt enfant, pour l’amour de ſon pere Vrayment ce me ſeroit vn treſgrand vitupere Si ie meſcongnoiſſois le bien, l’amour, l’honneur.	Je le veux aller voir, Et serais bien ingrat si de tout mon pouvoir Je n'aimais cest enfant, pour l'amour de son pere Raiment ce me serait un trèsgrand vitupère Si chang méconnaissais le bien, l'amour, l'honneur.
Que i’ay cent fois reçeu de ſon pere & ſeigneur, Conduis moy meſſager, & ſans nulle doutance ge te contenteray allon en dilligence.	Que j'ai cent fois reçu de son père et seigneur, Conduis mo messager, et sans nulle doutance ge te contenterai allon en dilligence.
Thobie le ieune.	Thobie le jeune.
N'ay-je pas entendu mon amy Azarie, Ie le voy, ie le voy, a propos ie vous prie Racomtez moy comment Gabel s’est comporté, Qgel diſcours à t’il tins, auez-vous apporté L’atgone prienius denuit, vous me ſemblez tout Que ſongez vous ainſi?	N'ai-je pas entendu mon ami Azarie, Je le vois, tu le vois, à propos ie vous prie Racomtez moi comment Gabel s'est comporté, Qgel discours à t'il tins, avez-vous apporté L'atgone prience denuit, vous me semblez tout Que songez vous ainsi?
bleſme,	blême,
Azarie.	Azarie.
Voila Gabel luy-meſme.	Voilà Gabel avait-même.
Thobie le ieune.	Thobie le jeune.
Gabel, comment Gabel, eſt-ce Toni (mon amy)	Gabel, comment Gabel, est-ce Toni (mon ami)
Gabel.	Gabel.
Mon fils excuſez-moy ie m’appelles ainſi.	Mon fils excusez-moi Seigneur m'appelles ainsi.
Thobie le ieune.	Thobie le jeune.
Cõment vous portez -vous, auez vous pris la peine De venir iuſqu’icy?	Comment vous portez -vous, avez -vous pris la peine De venir jusqu'ici?
Gabel.	Gabel.
Iouuençeau que ie t’aime:	Iouuençeau que ici t'aime:
Ton pere est mon amy, ie ſuis ſon ſeruiteur, Ie ſçay que i’ay eſté trop long-temps ſon debieur, Maus quoy?	Ton père est mon ami, je suis son serviteur, Je sais que j'ai été trop longtemps son débieur, Maus quoi?
ie ne ſçauois ſon manoir ny la terre, Là où il demeuroit, pour autant que la guerre Auoit tout bouluerſé, que fait il maintenant?	Ne ne savais son manoir ici la terre, Là où il demeurait, pour autant que la guerre Avait tout bouluersé, que fait il maintenant?
Ie croy qu’il ſoit bien vieil, ta mere mon enfant A beaucoup de regrets de ta ſi longue abſence, Parle t’ell' point de moy!	Je crois qu'il soit bien vieil, ta mère mon enfant A beaucoup de regrets de ta si longue absence, Parle t'ell' point de moi!
Thobie le ieune Ah!	Thobie le jeune Ah!
ſouuent elle y penſe, Elle eust tant de regrets en me voyant partir, Qu'on euſt dit a la voir qu’elle s’alloit mourir:	souvent elle y pense, Elle eût tant de regrets en me voyant partir, Qu'on eût dit à la voir qu'elle s'allait mourir:
Mais mon pere constant touſiours la reconforte Ainſi qu’vn bon mary, luy d'ſant de la ſorte, c iij M’amie, appaiſez vous ne gemiſſez point-tant Nous reuetrons oten toſt Tnobie noſtre enfant.	Mais mon père constant toujours la réconforte Ainsi qu'un bon mari, Seigneur d'sant de la sorte, ç iij M’amie, apaisez -vous ne gémissez point-tant Nous revettrons oten tôt Tannobie notre enfant.
Gabel.	Gabel.
Ie pri' a l'eternel qu’il leur face la grace De reuoir en breftemps, ta lumineuſe face, Mon fils, voila l’argent qu’a ton pere ie dois:	Je pri' à l'éternel qu'il leur face la grâce De revoir en breftemps, ta lumineuse face, Mon fils, voilà l'argent qu'a ton père ie dois:
Ne m’eſpargnes en rien dy luy que mille fois Ie ſuis ſon ſeraiteur, & mun beme mere, D'eu luy ammte ue toy, ce que plus elle eſpere.	Ne m'épargnes en rien dis-même que mille fois Je suis son seraiteur, et mun beme mère, D'eu lui ammteou toi, ce que plus elle espère.
Thobie demande congé à ſon becu-pere Raguel pour s’en retourner chez ſon pere.	Thobie demande congé à son becu-père Raguel pour s'en retourner chez son père.
Puiſque ie ſuis a vous ( mon Seigneur & mon Maiſtre) Et que de tout mon cœur i’ay deſiré y eſtre, Permettez s’il vous plaiſt de me preſter à moy Pour ſoulager mon pere ainſi comme ie doy, Helas ie ſçay combien le pauure homme deſire Que ie retourne a luy, ie ſçay bien qu’il ſoupire.	Puisque ie suis a vous ( mon Seigneur et mon Maître) Et que de tout mon cœur j'ai désiré y chang, Permettez b'il vous plaît de me prêter à moi Pour soulager mon père ainsi comme ieBais, Hélas ie fais combien le pauvre homme désire Homme désire Que quelque lui, a sçay bien qu'il soupire.
L’abſence de jon pies,iem'appelle au ſecours Et ne fait que nombrer les heures & les iours Qe te t'ay delaiſſay auec ma triſte mere:	L'absence de jon pies,iem'appelle au secours Et ne fait que nombrer les heures et les jours Que te t'ai délaissai avec ma triste mère:
Accompagné d’ennuy, de regret, & miſere.	Accompagné d'ennui, de regret, et misère.
Raguel.	Raguel.
Nous ne pouuons donc plus cy te retenir.	Nous ne pouvons donc plus cy te retenir.
Thobie le ieune.	Thobie le jeune.
Non, mais i’auray touſiours de vous le ſouuenir.	Non, mais j'aurai toujours de vous le souvenir.
Raguel.	Raguel.
Demeure mon amy, i’envoyray a ton pere Quelque bon meſſager affin de luy complaire Sus il faut deſpeſcher vn homme des demain Pour luy faire ſçauoir que tu es viſ & ſan	Demeure mon ami, j'envoyrai à ton père Quelque bon messager afin de force complaire Sus il faut dépêcher un homme des demain Pour lui faire savoir que tu es vis et san
Thobie le ieune.	Thobie le jeune.
Pour Dieu permettez moy que i’aille veoir mon pere Conſiderez vn peu qu’il ennuie à mamere, repurtretppe, nettes, a tugrande douleur Qu'elle endure pour moy au profond de ſon cœur.	Pour Dieu permettez -moi que j'aille voir mon père Considérez un peu qu'il ennuie à mamère, repurtretppe, nettes, a tugrande douleur Qu'elle endure pour moi au profond de son cœur.
Raguel.	Raguel.
Le Saint de noſtre Dieu heureuſement vous meine, Viuez mes chers enſans ſans douleur & ſans paine, Soyez vers vos parens en tout bien addonnez, Puiſſai-ie voir de vous de beaux enfans bien nez.	Le Saint de notre Dieu heureusement vous mène, Vivez mes chers ensants sans douleur et sans paine, Soyez vers vos parents en tout bien addonnez, Puiss-je voir de vous de beaux enfants bien nés.
Sur la fin de mes iours adieu vous dy ma fille, Gouuernez prudemment toute voſtre famille, Aimez voſtre mary neuerez ſes parens 2 Monstrez touſiours en vous des ſignes apparens D'vne femme de bien, adted mon fils Thobie.	Sur la fin de mes jours adieu vous dis ma fille, Gouvernez prudemment toute votre famille, Aimez votre mari néverez ses parents 2 Montrez toujours en vous des signes apparents D'une femme de bien, add mon fils Thobie.
Sarra.	Sarra.
Adieu mon pere adieu.	Adieu mon père adieu.
Raguel.	Raguel.
Adie u Sarra m’amye.	Adie u Sarra m'amie.
Sarra.	Sarra.
