A MADAME ADAME,	À MADAME ADAME,
L’ordre eſtoit de le battre, & non de l’aſſommer;	L'ordre était de le battre, et non de l'assommer;
Et c’eſtoit ſur le dos, & non pas ſur la teſte, Que i’auois commandé qu’on fiſt choir la tempeſte.	Et c'était sur le dos, et non pas sur la tête, Que j'avais commandé qu'on fît choir la tempête.
Ciel!	Ciel!
dans quel accident me iette icy le ſort?	dans quel accident me jette ici le sort?
Et que puis-je reſoudre à voir cét homme mort:	Et que puis-je résoudre à voir cet homme mort:
Rentrez dans la maiſon;	Rentrez dans la maison;
& gardez de rien dire De cét ordre innoeent que i’ay pû vous preſcrire.	et gardez de rien dire De cet ordre innocent que j'ai pu vous prescrire.
Le iour s’en va paroiſtre, & ie vais conſulter Comment dans ce malheur ie me dois comporter.	Le jour s'en va paraître, et Seigneur vais consulter Comment dans ce malheur Dieux me dois comporter.
Helas!	Hélas!
que deuiendray-ie?	que deviendrai-je?
& que dira le pere, Lors qu’inopinément il ſçaura cette affaire?	et que dira le père, Lors qu'inopinément il saura cette affaire?
SCENE II.	SCÈNE II.
HORACE, ARNOLPHE.	HORACE, ARNOLPHÉE.
HORHen.	HORHen.
L faut que i’aille vn peu reconnoiſtre qui c’eſt.	L faut que j'aille un peu reconnaître qui c'est.
1 ARNOLPHE.	1 ARNOLPHÉ.
Euſt-on iamais preueu.	Eût-on jamais prévu.
Qui va là?	Qui va là?
s’il vous plaiſt.	s'il vous plaît.
HORACE.	HORACE.
C’eſt vous, Seigneur Arnolphe.	C'est vous, Seigneur Arnolphe.
ARNOLPHE.	ARNOLPHÉ.
Ouy 5 mdis vougre.	Oui 5 médis vougre.
HORACE.	HORACE.
C’eſt Horace.	C'est Horace.
Ie m’en allois chez-vous, vous prier d’vne grace.	Je m'en allais chez-vous, vous prier d'une grâce.
Vous ſortez bien matin.	Vous sortez bien matin.
ARNOLPHE bas.	ARNOLPHE bas.
Quelle confuſion!	Quelle confusion!
Eſt-ce vn enchantement?	Est-ce un enchantement?
eſt-ce vne illuſion?	est-ce une illusion?
HORACE.	HORACE.
I'eſtois, à dire vray, dans vne grande peine;	J'étais, à dire vrai, dans une grande peine;
Et ie benis du Ciel la bonté ſouueraine, Qui fait qu’à poinct nommé ie vous rencõtre ainſiIe viens vous auertir que tout a reüſſi;	Et ici bénis du Ciel la bonté souveraine, Qui fait qu'à point nommé content vous rencaître ainsiIe viens vous avertir que tout a réussi;
Et meſme beaucoup plus que ie n’euſſe oſé dire;	Et même beaucoup plus que cela n'eusse osé dire;
Et par vn incident qui deuoit tout détruire.	Et par un incident qui devait tout détruire.
Ie ne ſçay point par où l’on a pû ſoupçonner Cette aſſignation qu’on m’auoit ſceu donner:	Je ne sais point par où l'on a pu soupçonner Cette assignation qu'on m'avait su donner:
Mais eſtant ſur le poinct d’atteindre à la feneſtre I’ay, cõtre mon eſpoir, veu quelques gens paroiſtre.	Mais étant sur le point d'atteindre à la fenêtre J'ai, comptre mon espoir, vu quelques gens paraître.
Qui ſur moy bruſquement leuant chacun le bras M’ont fait manquer le pied & tomber iuſqu’en bas;	Qui sur moi brusquement levant chacun le bras M'ont fait manquer le pied et tomber jusqu'en bas;
Et ma cheute aux deſpens de quelque meurtriſſeure, De vingt coups de baſton m’a ſauué l’auanture.	Et ma chute aux dépens de quelque meurtrissure, De vingt coups de bâton m'a sauvé l'aventure.
Ces gens-là, dont eſtoit ie penſe mon jaloux, Ont imputé ma cheute à l’effert de leurs coups, Et comme la douleur vn aſſez long eſpace M’a fait ſans remuër demeurer ſur la place, Ils ont crû tout de bon qu’ils m’auoient aſſommé, Et chacun d’eux s’en eſt auſſi-toſt allarmé.	Ces gens-là, dont était imaires mon jaloux, Ont imputé ma chute à l'essert de leurs coups, Et comme la douleur un assez long espace M'a fait sans remuer demeurer sur la place, Ils ont cru tout de bon qu'ils m'avaient assommé, Et chacun d'eux s'en est aussitôt alarmé.
I’entendois tout leur bruit dans le profond ſilence, L’vn l’autre ils s’accuſoient de cette violence, Et ſans lumiere aucune, en querellant le ſort, Sont venus doucement taſter ſi i’eſtois mort.	J'entendais tout leur bruit dans le profond silence, L'autre l'autre ils s'accusaient de cette violence, Et sans lumière aucune, en querellant le sort, Sont venus doucement tâter si j'étais mort.
Ie vous laiſſe à penſer ſi dans la nuit obſcure, I’ay d’vn vray trépaſſé ſçeu tenir la figure.	Je vous laisse à penser si dans la nuit obscure, J'ai d'une vrai trépassé su tenir la figure.
Ils ſe ſont retirez auec beaucoup d’effroy;	Ils se sont retirés avec beaucoup d'effroi;
Et comme ie ſongeois à me retirer, moy, De cette feinte mort la ieune Agnés émeuë Auec empreſſement eſt deuers moy venuë:	Et comme ici songeais à me retirer, moi, De cette feinte mort la jeune Agnès émue Avec empressement est devers moi venue:
Car les diſcours qu’entr’eux ces gens auoient tenus Iuſques à ſon oreille eſtoient d’abord venus, Et pendant tout ce trouble eſtant moins obſeruée, Du logis ayſément elle s’eſtoit ſauuée.	Car les discours qu'entr'eux ces gens avaient tenus Jusques à son oreille étaient d'abord venus, Et pendant tout ce trouble étant moins observée, Du logis aisément elle s'était sauvée.
D ij Mais me trouuant ſans mal elle a fait éclater Vn tranſport difficile à bien reprefenter.	 Déj Mais me trouvant sans mal elle a fait éclater Un transport difficile à bien représenter.
Que vous diray-ie?	Que vous dirai-je?
enfin cette aymable perſonne A ſuiuy les conſeils que ſon amour luy donne;	enfin cette aimable personne A suivi les conseils que son amour Rome donne;
N’a plus voulu ſonger à retourner chez ſoy, Et de tout ſon deſtin s’eſt commiſe à ma foyConſiderez vn peu par ce trait d’innocence Où l’expoſe d’vn fou la haute impertinence;	N'a plus voulu songer à retourner chez soi, Et de tout son destin s'est commise à ma foiConsidérez un peu par ce trait d'innocence Où l'expose d'un fou la haute impertinence;
Et quels faſcheux perils elle pourroit courir.	Et quels fâcheux périls elle pourrait courir.
Si i’eſtois maintenant homme à la moins cherir.	Si j'étais maintenant homme à la moins chérir.
Mais d’vn trop pur amour mon ame eſt embrazée, I’aimerois mieux mourir que l’auoir abuſée;	Mais d'un trop pur amour mon âme est embrasée, J'aimerais mieux mourir que l'avoir abusée;
Ie luy vois des appas dignes d’vn autre ſort, Et rien ne m’en ſçauroit ſeparer que la mort.	Je crois vois des appas dignes d'un autre sort, Et rien ne m'en saurait séparer que la mort.
Ie préuoy là-deſſus l’emportement d’vn pere:	Je prévois là-dessus l'emportement d'un père:
Mais nous prendrons le temps d’apaiſer ſa colere:	Mais nous prendrons le temps d'apaiser sa colère:
A des charmes ſi doux ie me laiſſe emporter, Et dans la vie, enfin, il ſe faut contenter.	À des charmes si doux Seigneur me laisse emporter, Et dans la vie, enfin, il se faut contenter.
Ce que ie veux de vous, ſous vn ſecret fidelle, C’eſt que ie puiſſe mettre en vos mains cette Belle;	Ce que personne veux de vous, sous un secret fidèle, C'est que tu puisse mettre en vos mains cette Belle;
Que dans voſtre maiſon, en faueur de mes feux, Vous luy donniez retraite au moins vn iour ou deux, Outre qu’aux yeux du monde il faut cacher ſa fuite, Et qu’on en pourra faire vne exacte pourſuite, Vous ſçauez qu’vne fille, auſſi, de ſa façon Donne auce vi feune holme virertraiige ſoupçon;	Que dans votre maison, en faveur de mes feux, Vous lui semiez retraite au moins un jour ou deux, Outre qu'aux yeux du monde il faut cacher sa fuite, Et qu'on en pourra faire une exacte poursuite, Vous savez qu'une fille, aussi, de sa façon Donne auce vi feune holme virertraiige soupçon;
Et comme c’eſt à vous, ſeur de voſtre prudence, Que i'ay fait de mes feux entſere conſdence, C’eſt à vous ſeul auſſi, comme amy genereux, Que ie puis confier ce dépoſt amoureux.	Et comme c'est à vous, sûr de votre prudence, Que j'ai fait de mes feux entse consdence, C'est à vous seul aussi, comme ami généreux, Que je puis confier ce dépôt amoureux.
ARNOLPHE.	ARNOLPHÉ.
Ie ſuis, n'en doutez point, tout à voſtre ſeruice.	Je suis, n'en doutez point, tout à votre service.
HORACE.	HORACE.
Vous voulez bien me rendre vn ſi charmant office?	Vous voulez bien me rendre un si charmant office?
ARNOLPHE.	ARNOLPHÉ.
Tres-volontiers, vous dis-je, & ie me ſens rauir De cette occaſion que i’ay de vous ſeruir;	Très-volontiers, vous dis-je, et ainsi me sens ravir De cette occasion que j'ai de vous servir;
Ie rends graces au Ciel de ce qu’il me l’enuoye, Et n’ay iamais rien fait auec ſi grande joye.	Je rends grâces au Ciel de ce qu'il me l'envoie, Et n'ai jamais rien fait avec si grande joie.
HORACE.	HORACE.
Que ie ſuis redeuable à toutes vos bontez!	Que ie suis redevable à toutes vos bontés!
I’auois de voſtre part craint des difficultez;	J'avais de votre part craint des difficultés;
Mais vous eſtes du monde, & dans voſtre ſageſſe Vous ſçauez excuſer le feu de la ieunene.	Mais vous êtes du monde, et dans votre sagesse Vous savez excuser le feu de la jeunène.
Vn de mes gens la garde au coin de ce détour.	Un de mes gens la garde au coin de ce détour.
ARNOLPHE.	ARNOLPHÉ.
Mais comment ferons-nous;	Mais comment ferons-nous;
car il fait vn peu iour.	car il fait un peu jour.
Si ie la prens icy, Pon me verra, peut-eſtre, Et s’il faut que chez moy vous veniez à paroiſtre, Des valets cauſeront.	Si ici la prends ici, Pon me verra, peut-être, Et s'il faut que chez moi vous veniez à paraître, Des valets causeront.
Pouf iouer au plus lur, Il faut me l’amener dans vn lieu plus obſcur:	Pouf jouer au plus lur, Il faut me l'amener dans un lieu plus obscur:
Mon allée eſt commode, & ie l’y vais attendre.	Mon allée est commode, et ainsi l'y vais attendre.
HORACE.	HORACE.
Ce ſont précautions qu’il eſt fort bon de prendre.	Ce sont précautions qu'il est fort bon de prendre.
Pour moy ie ne feray que vous la mettre en main, Et chez moy ſans éclat ie retourne ſoudain.	Pour moi ici ne ferai que vous la mettre en main, Et chez moi sans éclat quelque retourne soudain.
ARNOLPHE.	ARNOLPHÉ.
Ah fortune!	Ah fortune!
ce trait d’auanture propice.	ce trait d'aventure propice.
Repare tous les maux que m’a faits ton caprice:	Répare tous les maux que m'a faits ton caprice:
D iij	 Dijà
SCENE III.	SCÈNE III.
AONES, HORACE, ARNOLPHE	ÀONES, HORACE, ARNOLPHE
HORACE.	HORACE.
E ſoyez point en peine, où ie vais vous mener;	E soyez point en peine, où ici vais vous mener;
N C’eſt vn logement ſeur que le rous lais dõner.	 N'est un logement sûr que le rous lais donner.
Vous loger auec moy ce ſeroit tout détruire, Entrez dans cette porte, & lafez-vous conduire.	Vous loger avec moi ce serait tout détruire, Entrez dans cette porte, et lafez-vous conduire.
AGNES.	AGNES.
le con- Pourquoy me quittez-vous?	le con- Quoi me quittez-vous?
HORACE.	HORACE.
Chere Agnés, il le faut.	Chère Agnès, il le faut.
laNvBo, Songez donc, ie vous prie, à reuenir bien-toſt.	laNvBo, Songez donc, je vous prie, à revenir bientôt.
HORACE.	HORACE.
I’en ſuis aſſez preſſé par ma flame amoureuſe.	J'en suis assez pressé par ma flamme amoureuse.
AGNES.	AGNES.
Quand ie ne vous vois point, ie ne ſuis point ioyeuſe.	Quand ici ne vous vois point, ie ne suis point joyeuse.
HORACE.	HORACE.
Trorqde torere prerenee on me vort tinte auſſi.	Trorq torere prerenee on me vort tinte aussi.
AGNES.	AGNES.
Helas!	Hélas!
s’il eſtoit vray, vous reſteriez icy.	s'il était vrai, vous resteriez ici.
HORACE.	HORACE.
Quoy!	Quoi!
vous pourriez douter de mõ amour extréme?	vous pourriez douter de mon amour extrême?
AGNES.	AGNES.
Non, vous ne m’aymez pas autant que ie vous aime.	Non, vous ne m'aimez pas autant que je vous aime.
Ah!	Ah!
l’on me tire trop !	l'on me tire trop !
Arnolphe la tire.	Arnolphe la tire.
HORACE.	HORACE.
C’eſt quil eſt dangereux, Chere Agnés, qu'en ce lieu nous ſoyons veus tous deux.	C'est quil est dangereux, Chère Agnès, qu'en ce lieu nous soyons vus tous deux.
Et le parfait amy de qui la main vous preſſe, Suit le zele prudent qui pour nous l’intereſſe.	Et le parfait ami de qui la main vous presse, Suit le zèle prudent qui pour nous l'intéresse.
2NDi.	2NDi.
Mais ſuiure vn inconnu que.	Mais suivre un inconnu que.
HORACE.	HORACE.
N’aprehendez rien, Entre de telles mains vous ne ſerez que bien.	N'appréhendez rien, Entre de telles mains vous ne serez que bien.
AGNES.	AGNES.
Ie me trouuerois mieun entre celles d’Horace.	Je me trouverais mieun entre celles d'Horace.
Et i’aurois.	Et j'aurais.
AGNES à Arnolphe qui la tire entore.	AGNES à Arnolphe qui la tire entore.
HORACE.	HORACE.
Adieu, le iour me chaſſe.	Adieu, le jour me chasse.
AGNES.	AGNES.
Quand vous verray-ie donc?	Quand vous verrai-je donc?
Ero neireds Bien-toſt aſſeurément.	Ero neireds Bientôt assurément.
AGNES.	AGNES.
Que ie vais m’ennuyer iuſques à ce moment !	Que tu vais m'ennuyer jusques à ce moment !
HORACE.	HORACE.
Grace au Ciel, mon bonheur n’eſt plus en concurrence, Et ie puis maintenant dormir en aſſeuranee.	Grâce au Ciel, mon bonheur n'est plus en concurrence, Et personne puis maintenant dormir en assurane.
SCENE IV ARNOLPHE, AGNES, ARNOLPHE le nés dans ſon manteau.	SCÈNE IV ARNOLPHE, AGNES, ARNOLPHE le nés dans son manteau.
J'Enez, ce n’eſt pas là que ie vous logeray, V Et voſtre giſte ailleurs eſt par moy preparé.	J'Enez, ce n'est pas là que je vous logerai, V Et vôtre gîte ailleurs est par moi préparé.
Ie pretends en lieu ſeur mettre voſtre perſonne.	Je prétends en lieu sûr mettre votre personne.
aie connomelvous;	aie connomelvous;
AGNES le reconnoiſſant.	AGNES le reconnaissant.
Hay.	Hais.
ARNOLPHE.	ARNOLPHÉ.
Mon viſage, friponne, Dans cette occaſion rend vos ſens effrayez, Et c’eſt à contre-cœur qu’icy vous me voyez, Le trouble en ſes projets l’amour qui vous poſſede.	Mon visage, friponne, Dans cette occasion rend vos sens effrayez, Et c'est -à contre-cœur qu'ici vous me voyez, Le trouble en ses projets l'amour qui vous possède.
N’appellez point des yeux le Galand à voſtre ayde, Il eſt trop eſloigné pour vous donner ſecours, Ah, ah, ſi ieune encor, vous ioüez de ces tours!	N'appelez point des yeux le Galant à votre aide, Il est trop éloigné pour vous donner secours, Ah, ah, si jeune encor, vous jouez de ces tours!
Voſtre ſimplicité qui ſemble ſans pareille, Demande ſi l’on fait les Enfans par l’oreille, point Et vous ſçauez donner des rendez-vous la nuit, Et pour ſuiure vn Galand vous éuader ſans bruit.	Votre simplicité qui semble sans pareille, Demande si l'on fait les Enfants par l'oreille, point Et vous savez donner des rendez-vous la nuit, Et pour suivre un Galant vous évader sans bruit.
Tu- dieu!	Tu- dieu!
comme auec luy voſtre langue cajole.	comme avec quelque quelque langue cajole.
Il faut qu’on vous ait miſe à quelque bonne école.	Il faut qu'on vous ait mise à quelque bonne école.
Qui diantre tout d’vn coup vous en a tant appris?	Qui diantre tout d'un coup vous en a tant appris?
Vous ne craignez donc plus de trouuer des Eſprits?	Vous ne craignez donc plus de trouver des Esprits?
Et ce Galand la nuit vous a donc enhardie?	Et ce Galant la nuit vous a donc enhardie?
Ah, Coquine, en venir à cette perfidie:	Ah, Coquine, en venir à cette perfidie:
Malgré tous mes bien-faits former vn tel deſſein, Petit ſerpent que i’ay reſchauffé dans mon ſein, Et qui dés qu’il ſe ſent par vne humeur ingrate, Cherche à faire du mal à celuy qui le flatte.	Malgré tous mes bienfais former un tel dessein, Petit serpent que j'ai réchauffé dans mon sein, Et qui dès qu'il se sent par une humeur ingrate, Cherche à faire du mal à celui qui le flatte.
AGNES.	AGNES.
Pourquoy me criez-vous?	Pourquoi me criez-vous?
ARNODE IED.	ARNODE IED.
I’ay grand tort en effet.	J'ai grand tort en effet.
AGNES.	AGNES.
Ie n’entend point de mal dans tout ce que i’ay fait.	Je n'entend point de mal dans tout ce que j'ai fait.
ARNOLPHE.	ARNOLPHÉ.
Suiure vn galand n’eſt pas vne action infame?	Suivre un galant n'est pas une action infâme?
AGNES.	AGNES.
C’eſt vn homme qui dit qu’il me veut pour ſa femme :	C'est un homme qui dit qu'il me veut pour sa femme :
I’ay ſuiuy vos leçons, & vous m’auez preſché Qu’il ſe faut marier pour oſter le peché.	J'ai suivi vos leçons, et vous m'avez prêché Qu'il se faut marier pour ôter le péché.
ARNOLPHE.	ARNOLPHÉ.
Oüy, mais pour femme moy ie pretendois vous prendre, Et ie vous l’auois fait, me ſemble, aſſez entendre.	Oui, mais pour femme moi quelque prétendais vous prendre, Et ie Vous l'avais fait, me semble, assez entendre.
AGNES.	AGNES.
Oüy, mais à vous parler franchement entre nous, Il eſt plus pour cela ſelon mon gouſt, que vous.	Oui, mais à vous parler franchement entre nous, Il est plus pour cela selon mon goût, que vous.
Chez vous le mariage eſt faſcheux & penible, Et ros uritours en font vne image terrible:	Chez vous le mariage est fâcheux et pénible, Et ros uritours en font une image terrible:
Mais las!	Mais las!
il le fait luy ſi remply de plaiſirs, Que de le marieri’domc des deniss.	il le fait ton si rempli de plaisirs, Que de le marierdomc des déniss.
ARNOLPHE.	ARNOLPHÉ.
Ah, c’eſt que vous l’aimez, traiſtreſſe.	Ah, c'est que vous l'aimez, traîtresse.
AGNES.	AGNES.
Oüy ie l’aime.	Oui ici l'aime.
ARNOLPHE.	ARNOLPHÉ.
Et vous auez le front de le dire à moy-meſme.	Et vous avez le front de le dire à moi-même.
D v	D v
AGNES.	AGNES.
ne pourquoy, s'il eit vray, ne le dirois-ie pas?	ne pourquoi, s'il eit vrai, ne le dirais-je pas?
ARNOLPHE.	ARNOLPHÉ.
Le deuiez-vous aimer?	Le deviez-vous aimer?
Impertinente.	Impertinente.
AGNES.	AGNES.
Helas!	Hélas!
nit ce quor on puiomuis, laj feuren eſt la cauſe, Et ie n’y ſongeois pas lors que ce fit la choſe.	nit ce quor on puiomuis, laj euren est la cause, Et je n'y songeais pas lors que ce fit la chose.
ARNOLPHE.	ARNOLPHÉ.
Mais il falloit chaſſer cét amoureux deſir.	Mais il fallait chasser cet amoureux désir.
AGNES.	AGNES.
Le moyen de chaſſer ce qui fait du plaiſir?	Le moyen de chasser ce qui fait du plaisir?
ARNOLPHE.	ARNOLPHÉ.
me ne rȩauenuous pas que ceſtoſt me déplaire?	me ne rȩauenuous pas que cet me déplaire?
AGNES.	AGNES.
Moy, point du tout:	Moi, point du tout:
quel mal cela vous peut-il faire?	quel mal cela vous peut-il faire?
ARNOLPHE.	ARNOLPHÉ.
Il eſt vray, i’ay ſujet d’en eſtre réjoüy.	Il est vrai, j'ai sujet d'en être réjoui.
Vous ne m’aimez donc pas, à ce conte?	Vous ne m'aimez donc pas, à ce conte?
HGNES.	HGNES.
Vous?	Vous?
ARNOLPHE.	ARNOLPHÉ.
oür.	ouïr.
Helas, non.	Hélas, non.
AGNES.	AGNES.
ARNOLPHE.	ARNOLPHÉ.
Comment, noir!	Comment, noir!
AGNES.	AGNES.
Voulez-vous que ie mente?	Voulez-vous que ainsi mente?
ARNOLPHE.	ARNOLPHÉ.
Pourquoy ne m’aimer pas, Madame l’impudente?	Pourquoi ne m'aimer pas, Madame l'impudente?
AGNES.	AGNES.
Mon Dieu, ce n’eſt pas moy que vous deuez blâmer;	Mon Dieu, ce n'est pas moi que vous devez blâmer;
Que ne vous eſtes-vous comme luy fait aimer?	Que ne vous êtes-vous comme Elle fait aimer?
Ie lle vous en ay pagempeienonque ſe penſe,	Je lèle vous en ai pagempeienonque se pense,
ARNOLPHE.	ARNOLPHÉ.
Ie m’y ſuis efforcé de toute ma puiſſance:	Je m'y suis efforcé de toute ma puissance:
Mais les ſoins que i’ay pris, ie les ay perdu tous.	Mais les soins que j'ai pris, tu les ai perdu tous.
AGNES.	AGNES.
Vrayment, il en ſçait donc là deſſus plus que vous , Car à ſe faire aimer il n’a point eu de peine.	Vraiment, il en sait donc là -dessus plus que vous , Car à se faire aimer il n'a point eu de peine.
ARNOLPHE.	ARNOLPHÉ.
Voyez comme raiſonne & répond la vilaine.	Voyez comme raisonne et répond la vilaine.
Peſte, vne Précieuſe en diroit-elle plus?	Peste, une Précieuse en dirait-elle plus?
Ah!	Ah!
ie l’ay mal connuë, ou ma foy là deſſus Vne ſotte en ſçait plus que le plus habile homme, Puis qu’en raiſonnement voſtre eſprit ſe conſomme, La belle raiſonneuſe, eſt-ce qu’vn ſi long-temps Ie vous auray pour luy nourrle à mes depens ?	Ne l'ai mal connue, ou ma foi là -dessus Vaine sotte en sait plus que le plus habile homme, Puis qu'en raisonnement votre esprit se consomme, La belle raisonneuse, est-ce qu'un si longtemps Je vous aurai pour lui nourrle à mes dépens ?
AGNES.	AGNES.
Non, il vous rendra tout iuſques au dernier double.	Non, il vous rendra tout jusques au dernier double.
ARNOLPHE.	ARNOLPHÉ.
Elle a de certains mots où mon dépit redouble.	Elle a de certains mots où mon dépit redouble.
Me Iendrarteil, coquine, auec tout lun pouuoir, Les obligations que vous pouuez m’auoir?	Me Jendrarteil, coquine, avec tout lun pouvoir, Les obligations que vous pouvez m'avoir?
AGNES.	AGNES.
Ie ne vous en ay pas de ſi grandes qu’on penſe.	Je ne vous en ai pas de si grandes qu'on pense.
ARNOLPHE.	ARNOLPHÉ.
N’eſt-ce rien que les ſoins d’éleuer voſtre enfance.	N'est-ce rien que les soins d'élever votre enfance.
AGNES.	AGNES.
Vous auez là dedans bien operé vrayment, Et m’auez fait en tout inſtruire joliment.	Vous avez là -dedans bien opéré vraiment, Et m'avez fait en tout instruire joliment.
Croit-on que ie me flatte, & qu’enfin dans ma teſte Ie ne iuge pas bien que ie ſuis vne beſte?	Croit-on que venir me flatte, et qu'enfin dans ma tête Je ne juge pas bien que sans suis une bête?
Moy-meſme i’en ay honte, & dans l’âge où ie ſuis Ie ne veux plus paſſer pour ſotte, ſi ie puis.	Moi-même j'en ai honte, et dans l'âge où je suis Ie ne veux plus passer pour sotte, si grande puis.
ARNOLPHE.	ARNOLPHÉ.
Vous fuyez l’ignorance, & voulez, quoy qu’il coute, Apprendre du blondin quelque choſe.	Vous fuyez l'ignorance, et voulez, quoi qu’il coute, Apprendre du blondin quelque chose.
AGNES.	AGNES.
Sans doute.	Sans doute.
C’eſt de lay que lerçajce que le paisrçadoir, Et beaucoup plus qu’à vous ie penſe luy deuoir.	C'est de lay que lerçajce que le paisrçadoir, Et beaucoup plus qu'à vous ave pense lui devoir.
ARNOLPHE.	ARNOLPHÉ.
Ie ne ſçay qui me tient qu’auec vne gourmade, Ma main de ce diſcours ne vange la brauade.	Je ne sais qui me tient qu'avec une gourmade, Ma main de ce discours ne venge la bravade.
I’enrage quand ie voy ſa piquante froideur, Et quelques coups de poing ſatisferoiẽt mon cœur.	J'enrage quand ici vois sa piquante froideur, Et quelques coups de poing satisferoiẽt mon cœur.
AGNES.	AGNES.
Helas, vous le pouuez, ſi cela peut vous plaire.	Hélas, vous le pouvez, si cela peut vous plaire.
ARNOLPHE.	ARNOLPHÉ.
Ce mot, & ce regard deſarme ma colere, Et produit vn retour de tendreſſe de cœur, Oui de ſon action m’efface la noirceur.	Ce mot, et ce regard désarme ma colère, Et produit un retour de tendresse de cœur, Oui de son action m'efface la noirceur.
Choſe eſtrange d’aimer, & que pour ces traiſtreſſes Les hommes ſoient ſujets à de telles foibleſſes.	Chose étrange d'aimer, et que pour ces traîtresses Les hommes soient sujets à de telles faiblesses.
Tout le monde connoiſt leur imperfection;	Tout le monde connaît leur imperfection;
Ce n’eſt qu’extrauagance, & qu’indiſcretion?	Ce n'est qu'extravagance, et qu'indiscrétion?
Leur eſprit eſt meſchant, & leur ame fragile;	Leur esprit est méchant, et leur âme fragile;
Il n’eſt rien de plus foible, & de plus imbecile.	Il n'est rien de plus faible, et de plus imbécile.
Rien de plus infidele, & malgré tout cela Dans le monde on fait tout pour ces animaux-là.	Rien de plus infidèle, et malgré tout cela Dans le monde on fait tout pour ces animaux-là.
Hé bien, faiſons la paix;	Hé bien, faisons la paix;
va petite traiſtreſſe, Ie te pardonne tout, & te rens ma tendreſſe.	va petite traîtresse, Je te pardonne tout, et te rends ma tendresse.
Conſidere par là l’amour que i’ay pour toy, Et me voyant ſi bon, en reuanche aime-moy.	Considère par là l'amour que j'ai pour toi, Et me voyant si bon, en revanche aime-moi.
AGNES.	AGNES.
Du meilleur de mon cœur, ie voudrois vous complaire.	Du meilleur de mon cœur, tu voudrais vous complaire.
Que me coûteroit-il, ſi ie le pouuois faire?	Que me coûterait-il, si ici le pouvais faire?
ARNOLPHE.	ARNOLPHÉ.
Mon pauure perit bec, tu le peux, ſi tu veux, Eſcoute ſeulement ce ſoûpir amoureux;	Mon pauvre paubec, paule peux, si tu veux, Écoute seulement ce soupir amoureux;
Voy ce regard mourant;	Vois ce regard mourant;
contemple ma perſonne, Et quitte ce morueux, & l’amour qu’il te donne.	contemple ma personne, Et quitte ce morveux, et l'amour qu'il te donne.
C’eſt quelque ſort qu’il faut qu’il ait ietté ſur toy, Et tu ſeras cent fois plus heureuſe auec moy.	C'est quelque sort qu'il faut qu'il ait jeté sur toi, Et tu seras cent fois plus heureuse avec moi.
Ta forte paſſion eſt d’eſtre braue & leſte, Tu le ſeras toûjours, va, ie te le proteſte.	Ta forte passion est d'être brave et leste, Tu le seras toujours, va, sans te le proteste.
Sans ceſſe nuit & iour ie te careſſeray;	Sans cesse nuit et jour ici te caresserai;
Ie te bouchonneray;	Je te bouchonnerai;
baiſeray;	baiserai;
mangeray.	mangerai.
Tout comme tu voudras, tu pourras te conduire;	Tout comme tu voudras, tu pourras te conduire;
Ie ne m’explique point, & cela c’eſt tout dire.	Je ne m'explique point, et cela c'est tout dire.
Iuſqu’où la paſſion peut-elle faire aller?	Jusqu'où la passion peut-elle faire aller?
Enfin à mon amour rien ne peut s’égaler.	Enfin à mon amour rien ne peut s'égaler,
Quelle preuue veux-tu que ie t’en donne, ingratte?	Quelle preuve veux-tu que . t'en donne, ingrate?
Me veux-tu voir pleurer?	Me veux-tu voir pleurer?
veux-tu que ie me batte?	veux-tu que Seigneur me batte?
Veux-tu que ie m’arrache vn coſté de cheueux?	Veux-tu que Madame m'arrache un côté de cheveux?
Veux-tu que ie me tuë?	Veux-tu que Seigneur me tue?
oüy, dy ſi tu le veux.	oui, dis si tu le veux.
Ie ſuis tout preſt, cruelle, à te prouuer ma flame.	Je suis tout prêt, cruelle, à te prouver ma flamme.
HeNLo.	HeNLo.
Tenez, tous vos diſcours ne me touchent point l’ame.	Tenez, tous vos discours ne me touchent point l'âme.
Horace auec deux mots en feroit plus que vous.	Horace avec deux mots en ferait plus que vous.
ARNOLPHE.	ARNOLPHÉ.
Ah!	Ah!
c’eſt trop me brauer, trop pouſſer mon courIeuna.	c'est trop me braver, trop pousser mon courIna.
Ie ſuiuray mon deſſein, beſte trop indocile, Et vous deſnicherez à l’inſtant de la Ville.	Je suivrai mon dessein, bête trop indocile, Et vous dénicherez à l'instant de la Ville.
Vous rebutez mes vœux, & me mettez à bout;	Vous rebutez mes vœux, et me mettez à bout;
Mais vn cul de Conuent me vangera de tout.	Mais un cul de Convent me vengera de tout.
à part.	à part.
SCENE V ALAIN, ANNOLPIE.	SCÈNE V ALAIN, ANOLPIE.
ALAIN.	ALAIN.
E ne ſçay ce que c’eſt, Monſieur, mais il me ſemble IQu’Agnés & le corps mort s’en ſont allez enſemble.	E ne sais ce que c'est, Monsieur, mais il me semble IUGnez et le corps mort s'en sont allés ensemble.
ARNOLPHE.	ARNOLPHÉ.
La voicy:	La voici:
dans ma chambre, allez me la nicher.	dans ma chambre, allez me la nicher.
Ce ne ſera pas là qu’il la viendra chercher;	Ce ne sera pas là qu'il la viendra chercher;
Et puis c’eſt ſeulement pour vne demie-heure.	Et puis c'est seulement pour une demie-heure.
