ADONIS .	ADONIS .
Mait vne poitrine gentille, Et le blanc tetin d’ure filte Ne ſe doit cacher nullemint.	Mait une poitrine gentille, Et le blanc tétin d'ure filte Ne se doit cacher nullemint.
Il faut captiuer ſans lumiere, Au uois cacbot d’vne tanier e Le ſerpent & l’ours aſſami:	Il faut captiver sans lumière, Au ois cacbot d'une tanier e Le serpent et l'ours assami:
1- 2L.	1- 2L.
18	18
M an vabean ſan qut ſe diſtouure N'a le veain de la couleuure Pour eſtte prit ou renſerme.	M an vabean san qut se distouvre N'a le veain de la couleuvre Pour estte prit ou renserme.
Fel eſt l'uſurler qui reſerre Ses ſacultez deſſeus la terre Et tient ſen or enſeutli:	Fel est l'usurler qui réserre Ses sacultés desseus la terre Et tient sen or ensevli:
Mait les pucelles liberalles Euentent deux pommes eſgales, A l’iuoire le mieux peli.	Mait les pucelles libérales Euentent deux pommes égales, À l'ivoire le mieux peli.
Teut außi toſt que nos Deeſſes Voulurent monſtrer les richeſſes De leur eſtomac precleux, Auour dueuglede nature Ne vella plus à l’auanture Et ſe debenda les deux yeux.	Teut aussi tôt que nos Déesses Voulurent montrer les richesses De leur estomac précleux, Auour dueugle nature Ne vêla plus à l'aventure Et se débenda les deux yeux.
It reugit ceſte donble fraize Cemme charbons de ſa ſouruaiſe, Deux ſouſſtets ſurent lis tetons, Qui de cbaude vapeur s’euſterent Et dedans nos ames ſouſRerent Le ſeu mignard que nous ſentont.	It rempit cette donble fraise Cemme charbons de sa sourvaise, Deux sousstets surent lis tétons, Qui de caudé vapeur s'eusterent Et dedans nos âmes sousRèrent Le seu mignard que nous sentont.
Phœbus de beauſe ſeul exemple.	Phœbus de beause seul exemple.
Aſin que mieux on le contemple En tournoyant ſait ſon deueir.	Asin que mieux on le contemple En tournoyant sait son deueir.
Et puis apres la nuit ſarouche Blen quelle ſoit à demy leutbe Se veut encore ſaire voir.	Et puis après la nuit sarouche Blen quelle soit à demi lutbe Se veut encore zaïre voir.
Qeand Aquilon par l’air gallope El qu’en Ianuier il enueloppe Mverted dupenvvuaean, Teus ſes plaiſirs elle abandenne, Elle gemiſt, pleure, & friſſonne Comme vn priſonnier au cordeau.	Quand Aquilon par l'air gallope El qu'en Janvier il enveloppe Muerted dupenvuaean, Teus ses plaisirs elle abandenne, Elle gémit, pleure, et frissonne Comme un prisonnier au cordeau.
Mais quand Zephire la tourliſe,	Mais quand Zéphire la tourlise,
Luy deſpoülllant ſa robe griſe Pleine de cent uille glaſous, Elle eſt du Soleil penetree, Elle enfante d’vne ventrée Autant de ſleurs & de moyſſons, Dequoy ſeruent és iardinages Tant de couleurs & de ſleurages Si l'œil bumaiy en eſt abſent?	Lui despoülllant sa robe grise Pleine de cent uille glasous, Elle est du Soleil pénétrée, Elle enfante d'une ventrée Autant de sleurs et de moissons, Dequoi servent ès jardinages Tant de couleurs et de sleurages Si l'œil bumaiy en est absent?
L’œil voit premier ſur ſon eſpine Flamboyer la roſe diuine Que la main touche & le nez ſent.	L'œil voit premier sur son épine Flamboyer la rose divine Que la main touche et le nez sent.
Venus bonteuſtment traitiee Luuni nounu fut garrettes:	Venus bonteutment traitie Luuni nounu fut garrettes:
Auecques Mars ſon ſauori, Promptement accourut Ieuneſſe, Qui vient deſtacher ſa maiſtreſſe En deſpit du coqu marl.	Avec Mars son savori, Promptement accourut Jeunesse, Qui vient détacher sa maîtresse En dépit du coqu marl.
Pour eternelle recompenee La mere d’ameur à lorvence Preſente ces deua nomt ebarnus.	Pour éternelle recompenee La mère d'ameur à lorvence Prente ces deva nomt ébarnus.
De là vlent que let dauci belles Quaud on leur taſte les mammelles Oui ſouuenance de Venus.	De là vlent que let davci belles Quaud on leur tâte les mamelle Oui souvenance de Venus.
Globei germains l’honneur du monde Où la ſeurce d’amour abonde, Rempez colets & veſlementet Tetins de ſieguller merlte, Qui paiſſez la bouebe petite, Repaiſſez l’œil de vos amants.	Globei germains l'honneur du monde Où la sûrce d'amour abonde, Rempez col et veslementet Tetins de sièguller merlte, Qui paissez la bouebe petite, Repaissez l'œil de vos amants.
HAS HONRA QVE VIDAÉ.	HAS HONRA QUE VIDAÉ.
L’AMOVR MERCENAIRE.	L'AMOUR MERCENAIRE.
A vertu d’vn perſonnage, LRy te Prin-tempt de ſon aagt, Se beautt ny ſon parler, Vy ſeruent que de ilſee, A la ſumelle ruſte Qui nous veut tmmarteller.	À vertu d'un personnage, LRi te Printempt de son âge, Se beautres ni son parler, Vi servent que de ilse, À la sumelle ruste Qui nous veut tmarteller.
C’eſt peu que faire des taimes Il faut auec autres cbarmes Atann Tomomten, querdon:	C'est peu que faire des taimes Il faut avec autres cbarmes Atann Tomten, querdon:
Qui veut emporter la roſt Des dames, qu’il ſe propoſe Leur ſairt quelque beaud n.	Qui veut emporter la rôt Des dames, qu'il se propose Leur sairt quelque beaud n.
iadis amous pour maiſtriſſe, Cboiſit madane riebeſſe:	jadis amous pour maîtrisse, Cboisit madane riesse:
Apant les palles couleurs, Et lura dis l’heure meſme Qu’à iamais Il ſeroit bleſme, Et l’amant plain de paſteurs.	Apant les palles couleurs, Et lura dis l'heure même Qu'à jamais Il serait blême, Et l'amant plain de pasteurs.
Lors il qulita les aubades, La dance, les maſcharades, La muſique, & les ſeſtins, Et plus luy pluſt une bource Que la murmurante ſource Des ruiſſelets argentini.	Lors il qulita les aubades, La dance, les mâcharades, La musique, et les sestins, Et plus lui plaît une bource Que la murmurante source Des ruisselets argentini.
Depuis il appriſt la eure De taunir ſa cheueleure Son ait, ſes aiſie, & ſet traicti.	Depuis il apprît la eure De taunir sa cheveleure Son ait, ses aisie, et set traiti.
Meſme Venus la doree,	Même Venus la dorée,
Fuſt de l’or enamourte, changtant à l’or ſes aiſraicts.	Fût de l'or enamourte, changant à l'or ses aisraits.
lupiter qui ſe traniſorme En mainte iortuſi ſorme:	lupiter qui se tranisorme En mainte Jortusi sorme:
Ne pouuoit auoir credit Au giton d’vnt putelle, Mais pour ioupr de la belle En pluye d’or ſe ſondit.	Ne pouvait avoir crédit Au giton d'unt putelle, Mais pour joupr de la belle En pluie d'or se sondit.
Ayant dont ample notice Que l’amour & l’auarice Ont enſemble coniurl.	Ayant dont ample notice Que l'amour et l'avarice Ont ensemble conjurl.
Souz la fautur de ſortunt, Ie feis ſonuer la pecune, Tendant au bus deſirt.	Souz la fautur de sortunt, Je feis sonuer la pecune, Tendant au bus désirt.
Comme ſoudain les auettes, Se vlinneat ſur les braucbettes Poſer au bruit de l’oirain, Außi-Ioſt & plus encore, L’implteuſe que l’adore, Arreſta ſon œil ſerain.	Comme soudain les auettes, Se vlinneat sur les braucbettes Poser au bruit de l'oirain, Aussi-Iôt et plus encore, L'implteuse que l'adore, Arrêta son œil serain.
Elle qui couroit deſpite Peus que la tempeſte vite Se tint ſerme pres de moy, En ſeu ſe tourna ſa glace, Sa rigueur en himble grace Me tirant de tous eſmoy.	Elle qui courait dépite Peuts que la tempête vite Se tint serme près de moi, En se se tourna sa glace, Sa rigueur en himble grâce Me tirant de tous émoi.
à deſia ceſte mignonne Ainſi que l’or me reſonne Dant le polng ſans me mocquer, Entendant vn ſi doux ſigns, Me fiſt cognoiſtre à ſa mine, Qu’elle eut bien voutu choquer.	à déjà cette mignonne Ainsi que l'or me resonne Dant le polng sans me moquer, Entendant un si doux signs, Me fît re à sa mine, Qu'elle eut bien voutu choquer.
tamais va cheual d'Eſpaigne	tamais va cheval d'Espagne
Des quatre pieds bondiſſant Quand ſon oreille guerritre Oyt la ſemence premiere Du clairon retentiſſant.	Des quatre pieds bondissant Quand son oreille guerritre Oylet la semence première Du clairon retentissant.
Ie la vis toute ſaiſie D'ardeur & de freneſie, Sauier apres ce metal, Puis rouge, puis palliſſante, Puis doucement languiſſante, Monſtrer ſon ſein dt criſtel.	Je la vis toute saisie D'ardeur et de frénésie, Savier après ce métal, Puis rouge, puis pallissante, Puis doucement languissante, Montrer son sein dût cristel.
Ie la vis ſaine & malade, Ie vis dedans ſon œillade Flamboyer vne liqueur, Cemme la lumiere blonde, Qui fretille deſſus l’onde Quand la met eſt en douceur.	Je la vis saine et malade, Je vis dedans son œillade Flamboyer une liqueur, Cemme la lumière blonde, Qui fretille dessus l'onde Quand la met est en douceur.
Ie la vis à demy folle Perdre l’ame & la parolle, Souſpirant entre les draps?	Je la vis à demi folle Perdre l'âme et la parole, Souspirant entre les draps?
Cet belles mains mt ſlatterent, Ses deux leures me ſeufflerent:	Cet belles mains mont slattèrent, Ses deux lèvres me seufflèrent:
Et la vie & le treſpas.	Et la vie et le trépas.
Peint ne ſallut de vinaigre, Pour me rendre plus allaigre, Plus reſait ou diligent:	Peint ne sallut de vinaigre, Pour me rendre plus allaigre, Plus réait ou diligent:
Ie ſaoulay ma conuoitiſe, Ie prins de la mercbandiſe Pour le prit de mon argent.	Je saoulai ma convoitise, Je prins de la mercbandise Pour le prit de mon argent.
Mais, lat, vn necher auare, Courant à l’Inde barbare, Quelqueſois ſe trompe ſort, Et charge tant ſon nauire Qu’il ne le ſçauroit condulre.	Mais, lat, un necher avare, Courant à l'Inde barbare, Quelquesais se trompe sort, Et charge tant son navire Qu'il ne le saurait condulre.
Et s'abiſme dant le port,	Et s'abîme dant le port,
O volonil trop gouluë, O paſtion dijeluë, O deſordonne flimbeau:	Ô volon trop goulue, Ô pastion dijelue, Ô desordonne flimbeau:
Plus l’bydcopique met peine, De ſuccer vne ſontaine, Plus il creuſe ſon tombeau.	Plus l'bydcopique met peine, De succer une sontaine, Plus il creuse son tombeau.
Qui ſont ſes hommes fidelles Qui iurent aux damoiſelles De ſe porter chaſtement, Et n’oſent venir aux priſes Quand elles ſon en chemiſes Pour ne rompre leur ſerment.	Qui sont ses hommes fidèles Qui jurent aux damoiselles De se porter chastement, Et n'osent venir aux prises Quand elles son en chemises Pour ne rompre leur serment.
Hommes de race benite, Race de Dieu fauorite Vous meritez paradis.	Hommes de race bénite, Race de Dieu favorite Vous méritez paradis.
Si i’euſſe ſait en la ſorte, Ma peau ne ſut aiaſimorte Ni mes pieds tant engourdut.	Si j'eusse sait en la sorte, Ma peau ne sut aiasimorte Ni mes pieds tant engourd.
I’ay perdu ma ſorte viue, Perſonnt chez moy n’arrine Qui ne me donne ſriſſon:	J'ai perdu ma sorte vive, Personnât chez moi n'arrine Qui ne me donne srisson:
Ainſi prlué de courage Se cache le ſerſ ſauuage, Sans cornes dans le buiſſor, Il y a grand difference Entre Mars le porte-lance Et cupidon l’amoureux.	Ainsi prlué de courage Se cache le sers sauvage, Sans cornes dans le buissor, Il y a grand différence Entre Mars le porte-lance Et cupidon l'amoureux.
Mars enrichit ſon gendarme, Cupidon le ſien deſarme, De ſon argent doucereux.	Mars enrichit son gendarme, Cupidon le sien désarme, De son argent doucereux.
Eſte chante la mauuaiſe Et ie languis ex malaiſe in M’aprochant du pat dernler,	Este chante la mauvaise Etie languis ex malaise in M'approchant du pat derner,
Ett a ſibien fais en ſomme Que ie n’ay pas vn denier.	Et a sibien fais en somme Que je n'ai pas un denier.
N'eſt ce pas grandt miſere, Qu'uue beſte paſſagece, N'eſt poiat ſant comparaiſon:	N'est ce pas grandt misère, Qu'est peste passage, N'est poiat sant comparaison:
Si digne de mener paiſtre, Que l bomme qui ſe dit maiſtee Des animaux ſans raiſon?	Si digne de mener paître, Que l omme qui se dit mate Des animaux sans raison?
La iument dant la prairie.	La jument dant la prairie.
Au pront cheual ſe macie D’vn amoue ſimboliſant, La vache parmy la trouppe Au thoreau denne ſa crouppe Sins auoic aueun peeſent.	Au pro cheual le macie D'un amoue symbolisant, La vache parmi la troupe Au thoreau denne sa croupe Sins avoi aveun peesent.
Mais la ſemne plus reb.	Mais la semne plus reb.
lle De langueur & de caulelle, Son amoureux entretient:	lèle De langueur et de caulelle, Son amoureux entretient:
Et ſi, vend, d’ire ie l’oſe, Dix mille ſois une choſe, Que touſiouts elle retient.	Et si, vend, d'ire ie l'ose, Dix mille sois une chose, Que toujours elle retient.
c’eſt t ne choſe cognut, Qui iamats ne diminué Pout la prendre, ou la taſter.	c'est t ne chose connut, Qui jamats ne diminué Pout la prendre, ou la tâter.
Teuteiſois la ſemme ſotte.	Teuteisais la semme sotte.
Puis nous vend, & puis nous oſte, Se qu’on luy peus augmenter.	Puis nous vend, et puis nous ôte, Se qu'on avait pus augmenter.
Q''elle iuſtice conmande D’a bepter à ſomme grande, te baiſer qu’on nous deparſi puis que la ſemme baiſee:	QU''elle justice commande D'a bepter à somme grande, te baiser qu'on nous déparsi puis que la semme baise:
D’vne douteur diuiſee Recelt la meilleuce part?	D'une douteur divise Recelt la meilleuce part?
:	:
Or ſçaus-tu quor ma mignarde, Ten cil azuté me darde, e Quelque rayon eſcartĺ, Servur duru mnmdie:	Or sçaus-tu quor ma mignarde, Ten cil asuté me darde, eu Quelque rayon écart, Servur duru mnmédie:
Et me rea, ie te ſupplie Mon argent, ou ma ſanté.	Et me réa, Seigneur te supplie Mon argent, ou ma santé.
HAS BONRA QYE VIDA?	HAS BONRA QYE VIDA?
FIN.	FIN.
