A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
Feignez d’aimer Argine, Iſabelle m’a dit Qu’on auroit du plaiſir à ioüer ſon eſprit;	Feignez d'aimer Argine, Isabelle m'a dit Qu'on aurait du plaisir à jouer son esprit;
Pour moy ie l’aime moins de beaucoup que niepce, Qui viẽt par vn preſent de gagner ma tẽdreſſe	Pour moi ici l'aime moins de beaucoup que nièce, Qui vient par un présent de gagner ma tendresse
LIMACON.	LIMAÇON.
C'en eſt fait, à ſa tante il faut ioüer d’vn tour.	C'en est fait, à sa tante il faut jouer d'un tour.
SCENE X.	SCÈNE X.
LIMACON, ARGINE, ISABELLE, Mnols AdEla, NOSTRADAMVS.	LIMAÇON, ARGINE, ISABELLE, Mannols AdEla, NOSTRADAMUS.
LIMACON à Iſabelle.	LIMAÇON à Isabelle.
L vous faut au pluſtoſt denicher voſtre E amour, Il eſt drû.	L vous faut au plustost dénicher votre amour, Il est dru.
ARGINE.	ARGINE.
Ne pouuoir leconnontie vn virage.	Ne pouvoir leconnontie un virage.
ISABELLE.	ISABELLE.
Vn autre en euſt-il pû decouurir dauantage?	Un autre en eût-il pu découvrir davantage?
LIMACON à Argine.	LIMAÇON à Argine.
Mon petit cœur s’embraſe auprés de vôtre feu.	Mon petit cœur s'embrase auprès de votre feu.
ISABELLE.	ISABELLE.
Si le cœur dont il parle eſtoit iamais au jeu, Sans doute qu’il faudroit eſtre bien amoureuſe Si pour l’auoir gagné l’on s’eſtimoit heureuſe;	Si le cœur dont il parle était jamais au jeu, Sans doute qu'il faudrait être bien amoureuse Si pour l'avoir gagné l'on s'estimait heureuse;
C eit vil mieuble anco lot;	Ç Cit vil mieuble anco lot;
od ie m’abuſe fort.	od belle m'abuse fort.
POLEXANDRE.	POLEXANDRE.
Que ie vous aime!	Que ici vous aime!
& vous?	et vous?
ISABELLE.	ISABELLE.
Cent fois plus que la mort.	Cent fois plus que la mort.
POLEXANDRE.	POLEXANDRE.
Pourquoy vous le celer, ô beauté carnaciere, I’ay crû mon eſperance au fonds de la riuiere.	Pourquoi vous le celer, ô beauté carnacière, J'ai cru mon espérance au fond de la rivière.
France, tu receuras de moy des ſucceſſeurs, Auſſi zelez pour toy que mes predeceſſeurs.	France, tu recevras de moi des successeurs, Aussi zélé pour toi que mes prédécesseurs.
Ie croy que vous m’allez tailler bien des croupieres;	Je crois que vous m'allez tailler bien des croupières;
Car vous auez tout l’air de ne m’épargner gueres, Et de ne pas ſouffrir que ie manque d’employ Si-toſt que vous ſerez toute ſeule auec moy.	Car vous avez tout l'air de ne m'épargner guère, Et de ne pas souffrir que sans manque d'emploi Si-tôt que vous serez toute seule avec moi.
Ie cours à mes amis apprendre la nouuelle, Que ie doy bien-toſt eſtre au giron d’Iſabelle, Adieu.	Je cours à mes amis apprendre la nouvelle, Que je dois bientôt être au giron d'Isabelle, Adieu.
SCENE XIROBIN, ARGINE, ISABELLE, LEONOR, LIMACON, NOSTRADAMVS.	SCÈNE XIROBIN, ARGINE, ISABELLE, LEONOR, LIMAÇON, NOTRADAMUS.
ROBIN à Limaçon.	ROBIN à Limaçon.
VOſtre valet.	VOtre valet.
Iſabelle en ces lieux!	Isabelle en ces lieux!
O Ciel!	Ô Ciel!
eſt-il poſſible!	est-il possible!
en croiray-je mes yeux!	en croirai-je mes yeux!
LIMACON.	LIMAÇON.
Sçais-tu que ie ſuis homme à courir ſur ta vie, Pour voir ſon juſte-au-corps aller à la voirie?	Sais-tu que ici suis homme à courir sur ta vie, Pour voir son juste-au-corps aller à la voirie?
ROBIN.	ROBIN.
Voſtre teſte à couché ſans doute aux quatre vents.	Votre tête à couché sans doute aux quatre vents.
LIMACON.	LIMAÇON.
Moy ie ſuis éuenté?	Mo ie suis éventé?
Ciel qu’il eſt d’innocens!	Ciel qu'il est d'innocents!
Ie ſuis en grand danger, ſauf la mort naturelle, De viure auſſi long-temps qu’vne beſte immortelle, Si pour m’aſſaſſiner de quelque coup maudit, Il faut trouuer en moy le deffaut de l’eſprit.	Je suis en grand danger, sauf la mort naturelle, De vivre aussi longtemps qu'une bête immortelle, Si pour m'assassiner de quelque coup maudit, Il faut trouver en moi le défaut de l'esprit.
ROBIN.	ROBIN.
Mais quand voulez-vous donc inſenſible Maiſtreſſe, Faire ſur mon amour diſtiller la tendreſſe?	Mais quand voulez-vous donc insensible Maîtresse, Faire sur mon amour distiller la tendresse?
Aimez moy ie vous prie vn ſeul petit momenei Quoy vous rendre vne niepce eſt-ce peu?	Aimez -mo ie vous prie un seul petit momenei Quoi vous rendre un niepce est-ce peu?
ARGINE.	ARGINE.
Non vrayement;	Non vraiment;
Et vous donner mon cœur eſt-ce peu?	Et vous donner mon cœur est-ce peu?
ROBIN.	ROBIN.
Ie confeſſe Qu’il vaut que pour l’auoir on faſſe vn peu la plene, Et qu’vn bon gros garçon de meſme que ie ſuis Vous pourroit conſoler de la lõgueur des nuits.	Je confesse Qu'il vaut que pour l'avoir on fasse un peu la plène, Et qu'un bon gros garçon de même que je suis Vous pourrait consoler de la lõgueur des nuits.
LIMACON à Argine.	LIMAÇON à Argine.
Ca, quand voulez-vous donc conclurre noſtre amalar Ce ſoir ſans y manquer il me faut ſatisfaire, Eſtant vn peu preſſé de met necefſitez, le me veux me trouuer aupres de vos beautez.	Ça, quand voulez-vous donc conclurre notre amalar Ce soir sans y manquer il me faut satisfaire, Étant un peu pressé de met nécessitez, le me veux me trouver auprès de vos beautés.
ARGINE.	ARGINE.
Vôtre ame de ma part ne peut qu’eſtre cõtente.	Votre âme de ma part ne peut qu'être contente.
ISABELLE Ie ſuiuray donc auſſi l’exemple de ma tante?	ISABELLE Je suivrai donc aussi l'exemple de ma tante?
ARGINE.	ARGINE.
ARGINE.	ARGINE.
den clenfamndable.	den clenfamndable.
ROBIN.	ROBIN.
Où ſuis-je, où ſommes nous!	Où suis-je, où sommes nous!
A Iſabelle.	À Isabelle.
Ne vous aime-r’il plus ?	Ne vous aime-r'il plus ?
LIMACON.	LIMAÇON.
Dequoy vous meſlez-vous?	Dequoy vous mêlez-vous?
AROINE.	AROINE.
Ie m’en vay donc penſer à noſtre mariage?	Je m'en vais donc penser à notre mariage?
LIMACON.	LIMAÇON.
Et moy de mon coſté.	Et moi de mon côté.
Robird en umepunt Aigine.	Robird en umepunt Aigine.
Peux mots, pas dauantage?	Peux mots, pas davantage?
Pourquoy l’aimez-vous mieux?	Pourquoi l'aimez-vous mieux?
ARGINE.	ARGINE.
Vn homme ſi petit, Peut-il faire iamais figure dans vn lit!	Un homme si petit, Peut-il faire jamais figure dans un lit!
ROBIN.	ROBIN.
Voila donc le ſujet d’vn deffaut de tendreſſe?	Voilà donc le sujet d'Hommes défaut de tendresse?
D’accord, ie ſuis ſurpris de voir ma petiteſſe, Et que vous ayez lieu de me la reprocher;	D'accord, Madame suis surpris de voir ma petitesse, Et que vous ayez lieu de me la reprocher;
Puiſque ie deurois eſtre auſſi haut qu’vn clocher, Depuis que dans vos fers ie reſſens des croiſſances.	Puisque ici devrais être aussi haut qu'un clocher, Depuis que dans vos fers se ressens des croissances.
ARGINE à Limaçon.	ARGINE à Limaçon.
Adieu mon cher amant, c’eſt trop d’extrauagances.	Adieu mon cher amant, c'est trop d'extravagances.
Adieu futur époux, adieu mon cher toutou.	Adieu futur époux, adieu mon cher toutou.
LIMACON.	LIMAÇON.
Adieu fille graſſette, & beau petit bijou.	Adieu fille grassette, et beau petit bijou.
ANGINE.	ANGINE.
Adieu donc gros garçon.	Adieu donc gros garçon.
LIMACON.	LIMAÇON.
La fine!	La fine!
la finete?	la finète?
Mignone égayez-vous.	Mignone égayez-vous.
ARGINE.	ARGINE.
Fort bien.	Fort bien.
LIMACON.	LIMAÇON.
Adieu Brune	Adieu Brune
Fin du deuxiéme Acte.	Fin du deuxième Acte.
LOIE XII.	LOIE XII.
SCENE I.	SCÈNE I.
LIMACON, ROBIN, NOSTRADAMVS.	LIMAÇON, ROBIN, NOSTRADAMUS.
Ils entrent tous deux ſur le theatre en ſe battant	Ils entrent tous deux sur le théâtre en se battant
LIMACON à part.	LIMAÇON à part.
Dy me ſuis-je engagé!	Dis me suis-je engagé!
ROBIN.	ROBIN.
C’eſt perdre ſon Latia, Que vouloir m’embrocher.	C'est perdre son Latia, Que vouloir m'embrocher.
LIMACON.	LIMAÇON.
De la part du deſtin Il faut pourtant mourir.	De la part du destin Il faut pourtant mourir.
ROBIN.	ROBIN.
Quand i'en auray l’enuie,	Quand j'en aurai l'envie,
LIMACON.	LIMAÇON.
pui luy Raeuſaaumue.	puy quelque Rausaaumue.
NOSTRADAMVS.	NOSTRADAMUS.
Moy ie demeure en vie, Pour vous fermer les yeux apres voſtre trépas;	Moi quelque demeure en vie, Pour vous fermer les yeux après votre trépas;
Le boire & le manger ont pour moy des appas;	Le boire et le manger ont pour moi des appas;
Qu’on trafique la mort & par mer & par terre, Si iamais de ma part on y va mettre enchere, Que l’on faſſe à mon ame vn pourpoinct d’vn tombeau, Mais de voſtre combat le ſujet eſt nouueau!	Qu'on trafique la mort et par mer et par terre, Si jamais de ma part on y va mettre enchère, Que l'on fasse à mon âme un pourpoint d'un tombeau, Mais de votre combat le sujet est nouveau!
Quoy pour vous auoir dit qu’il eſt ſeur en ſon ame, Que qui que vous ayez vn iour pour voſtre femme, Il fera voir en vous vn cocu de ſa main, Vous auez crû deuoir vous alarmer ſoudain !	Quoi pour vous avoir dit qu'il est sûr en son âme, Que qui que vous ayez un jour pour votre femme, Il fera voir en vous un cocu de sa main, Vous avez cru devoir vous alarmer soudain !
Ie ſçay qu’étre cocu n’eſt pas vn heur ſupréme, Que c’eſt vn accident qu’on craint plus qu’on ne l’aime, Et que pour peu qu’on vüeille icy tourner les yeux, L’on découure toûjours dequoy rire en tous lieux, De ces gens qui voudroient qu’on fiſt d’vn cocuage, D'vn hõme bien-heureux le ſublime auãtage, O bien que la main ſeule euſt eſté l’inſtrumẽt Qui leur a mis en teſte vn ſi triſte ornement.	Je sais qu'être cocu n'est pas un heur suprême, Que c'est un accident qu'on craint plus qu'on ne l'aime, Et que pour peu qu'on veille ici tourner les yeux, L'on découvre toujours dequoy rire en tous lieux, De ces gens qui voudraient qu'on fît d'un cocuage, D'un homme bien-heureux le homme auãtage, Ô bien que la main ure eût esté linstrumẽt Suleur a misme a van si tage ornement,
La main, ma foy, la main n’eſt pas le plus craindre, Ce n’eſt pas d’elle auſſi qu’on a lieu de ſe plain	La main, ma foi, la main n'est pas le plus craindre, Ce n'est pas d'elle aussi qu'on a lieu de se plain
LIMACON à Robin.	LIMAÇON à Robin.
Rtoy ypieuaa galucatoy.	Rtoy ypieua galcatoi.
ROBIN.	ROBIN.
Prends-y donc garde auſſi, Ha!	Prends-y donc garde aussi, Ha!
ie ſuis plus que mort!	Il suis plus que mort!
NOSTRADAMVS.	NOSTRADAMUS.
Pouſſez donc, c’eſt ainſi.	Poussez donc, c'est ainsi.
ROBIN.	ROBIN.
Qu'on s’enfuit.	Qu'on s'enfuit.
NOSIRADAMVS.	NOSIRADAMUS.
Tout à l’heure, attends que ie t’en donne.	Tout à l'heure, attends que ici t'en donne.
ReosPiv.	ReosPiv.
Ha!	Ha!
quel Mea eulpa!	quel Mea eulpa!
ſauuez-vous ma perſonne, On ſans Comitimus i’yray droit aux Enfers.	sauvez-vous ma personne, On sans Comitimus j'irai droit aux Enfers.
LIMACON.	LIMAÇON.
Va ſur luy:	Va sur Prince:
mais en ſuitte il laut porter mes Vers.	mais en suite il laut porter mes Vers.
Oüy da.	Oüy da.
NOSTRADAMVS.	NOSTRADAMUS.
F iij	 Fij
DOENEEL	DONENEL
LIMACON.	LIMAÇON.
*’Eſt vn coup ſeur qu’auprés de ma merueille, I’auray tous les matins vne puce à l’oreille;	*'Est un coup sûr qu'auprès de ma merveille, J'aurai tous les matins une puce à l'oreille;
Bon, bon, quoy qu’vne femme auecque trop d’appas, Ait la meſme vertu d’vn peu de mort aux rats;	Bon, bon, quoi qu'une femme auecque trop d'appas, Ait la même vertu d'un peu de mort aux rats;
Car enfin trop aimer l’amoureuſe ambroiſie, C’eſt courir ſur vn Aſne apres la pureſie, Auſſi pretendez vous vn peu vous reſeruer, Sçait on tous les malheurs qu’il en peut arriuer?	Car enfin trop aimer l'amoureuse ambroisie, C'est courir sur un Âne après la purésie, Aussi prétendez vous un peu vous réserver, Sait on tous les malheurs qu'il en peut arriver?
Vn chat, vn méchãt chat peut aller aufromage, Qui d’vn ſeul coup de dents vous broche vn cocuage.	Un chat, un méchant chat peut aller aufromage, Qui d'un seul coup de dents vous broche un cocuage.
Iſabelle pourtant m’a tantoſt dit à part, Que ie viurois heureux cõme vn petit canard;	Isabelle pourtant m'a tantôt dit à part, Que tu vivrais heureux comme un petit canard;
Helas!	Hélas!
plaiſe aux bons Dieux que iamais l’égrillarde, Ne prefere à mes feux quelque flãme baſtarde;	plaise aux bons Dieux que jamais l'égrillarde, Ne préfère à mes feux quelque flamme bâtarde;
Euſt-elle des galants, & dûſt-il en pleuuoir, Il les faudra priſer ce qu’ils pourront valoir, N’oſant pas preſumer quoy que i’ouure la bouche, D’aualer vn blondin comme on gobe vne mouche,	Eût-elle des galants, et dût-il en pluvoir, Il les faudra priser ce qu'ils pourront valoir, N'osant pas présumer quoi que j'ouvre la bouche, D'avaler un blondin comme on gobe une mouche,
Vn sẽblable morceau ſans en prendre d’argent Peut ſans doute étrangler bien du monde en paſſant.	Un semblable morceau sans en prendre d'argent Peut sans doute étrangler bien du monde en passant.
S’il faut eſtre cocu, foin de la deſtinée, Quite pour en pleurer la premiere iournée;	S'il faut être cocu, foin de la destinée, Quite pour en pleurer la première journée;
Car tous les gẽs de biẽ qui le ſont aujourd’huy Me viendront conſoler dans vn ſi grand ennuy;	Car tous les giens de bien qui le sont aujourd'hui Me viendront consoler dans un si grand ennui;
Encor vaut-il mieux prẽdre vne belle coquete, Qu’auoir vne guegnon hideuſe & contrefaite;	Encor vaut-il mieux prendre une belle coquette, Qu'avoir une guèregnon hideuse et contrefaite;
La premiere enrichit auecque ſes galants, Et l’autre fait toûjours l’amour à ſes dépens.	La première enrichit avec ses galants, Et l'autre fait toujours l'amour à ses dépens.
Mais d’où vient ce grand bruit qu’on fait chez Iſabelle, Que dans ce tintamare on met tout par écuellez Eſt-ce quelque ſabat, eſt-ce vn enleuement, Ce deſordre confus m’étonne étrangement !	Mais d'où vient ce grand bruit qu'on fait chez Isabelle, Que dans ce tintamare on met tout par éculez Est-ce quelque sabat, est-ce un enlèvement, Ce désordre confus m'étonne étrangement !
Il veut entrer.	Il veut entrer.
Ho, ho, ie n’y feray que de l’eau toute claire, Sans eſtre traſpaiſant le ne Içaurois rien faire.	Ho, ho, Madame n'y ferai que de l'eau toute claire, Sans être traspaisant le ne Içaurois rien faire.
Allons à l’autre porte, eſſayons-y d’entrer:	Allons à l'autre porte, essayons-y d'entrer:
Alais roncault, voyons.	Alais roncault, voyons.
SCEND IIT LIMACON, NOSTRADAMVS, ARGINE, ISABELLE, LEONOR.	SCEND IIT LIMAÇON, NOSTRADAMUS, ARGINE, ISABELLE, LEONOR.
LIMACON.	LIMAÇON.
QVi vous fait murmurer?	QUi vous fait murmurer?
LEONOR.	LEONOR.
Ouy, le fouitiens cacor que ie ſuis la plus belle.	Oui, le fouitiens cacor que je suis la plus belle.
C’eſt moy.	C'est moi.
ARGINE.	ARGINE.
ISABELLE.	ISABELLE.
C’eſt moy.	C'est moi.
LLONOR C’eſt moy.	LLONOR C'est moi.
LIMACON.	LIMAÇON.
La plaiſante querelle!	La plaisante querelle!
NOSTRADAMVS.	NOSTRADAMUS.
Entrant pour m’acquiter de ma commiſſion, Ie trouue chez Argine vne diuiſion;	Entrant pour m'acquitter de ma commission, Je trouve chez Argine une division;
En voicy le ſujet, qu’on me donne audiance?	En voici le sujet, qu'on me donne audience?
Paix là, paix là, Meſſieurs, vn peu de patience;	Paix là, paix là, Messieurs, un peu de patience;
Leonor croit pouuoir charmer par ſes yeux gris Ceux qui n’ont pas encor écarté leurs eſprits;	Leonor croit pouvoir charmer par ses yeux gris Ceux qui n'ont pas encor écarté leurs esprits;
Aigme dit e en moy, ia hiepce en dit de méme, Chacune en vient aux mains, mon plaiſir eſt extréme, Et c’eſt à vous, Moneur, de les mettié d’accord.	Aigme dit e en -moi, ia hièce en dit de même, Chacune en vient aux mains, mon plaisir est extrême, Et c'est à vous, Moneur, de les mettié d'accord.
ARGINE.	ARGINE.
Mon charme eſt le plus grand.	Mon charme est le plus grand.
LEONOR.	LEONOR.
Mon charme eſt le plus fort.	Mon charme est le plus fort.
ARGINE.	ARGINE.
Mais ie ſuis voitie tante e	Mais ici suis voitie tante e
ISABELLE.	ISABELLE.
Il eſt vray:	Il est vrai:
mais n’importe,	mais n'importe,
LIMACON.	LIMAÇON.
Llabenle aples tournme raur ecouter;	Llabenle aples tournme raur écouter;
Et vous & Leonor auez dû reſpecter.	Et vous et Leonor avez dû respecter.
LEONOR.	LEONOR.
Ca ſoyez noſtre Iuge & nous rendez Iuſtice.	Ca soyez nostre Iuge & nous rendez Iustice.
LTMACONaIſabelle.	LTMACONaIsabelle.
Vous en rapportez vous.	Vous en rapportez -vous.
ISA BELLE.	ISA BELLE.
oüy, voyons ſon caprice.	oui, voyons son caprice.
LIMACON.	LIMAÇON.
Argine eſt vn Phenix.	Argine est un Phénix.
ISABELLE.	ISABELLE.
Ie le veux croire ainſi, Peur d’eſtre encore battuë.	Je le veux croire ainsi, Peur d'être encore battue.
LEONOR.	LEONOR.
Et moy de meſme auſſi.	Et moi de même aussi.
LIMACON à Argine.	LIMAÇON à Argine.
He bien de mo omet que me tomuiſvous dire?	He bien de mo omet que me tomuisvous dire?
ARGINE.	ARGINE.
Que ie n’ay pas encore eu le temps de le lire.	Que quelque n'ai pas encore eu le temps de le lire.
BILLET.	BILLET.
Elle lit.	Elle lit.
Il faut que ie vous die auec ſincerité, Pour vous bien expliquer mon amour infinie, Et dans l’horrible excez de ſa ſeuerité De combien ſa rigueur paſſe la tyrannie, Que i’aurois du plaiſir ce me sẽble à vous voir vour obitmer toujours d'vne maniere étrãge, A vouloir paſſer pour vendange, Et me venir prier d’en eſtre le preſſoir.	Il faut que je vous die avec sincérité, Pour vous bien expliquer mon amour infinie, Et dans l'horrible excès de sa sévérité De combien sa rigueur passe la tyrannie, Que j'aurais du plaisir ce me semble à vous voir vour obitmer toujours d'une manière étrange, A vouloir passer pour vende, Et me venir prier d'en être le pressoir.
	
ARGINE.	ARGINE.
Le pourte eſt nouuelle, & me sẽble aſſés drôle.	Le pourte est nouvelle, et me semble assez drôle.
LIMACON.	LIMAÇON.
Eſt-ce pour aujourd’huy?	Est-ce pour aujourd'hui?
i’en ay voſtre parole.	j'en ai votre parole.
ARGINE.	ARGINE.
E bontuere ne tiendra iamais de mon coſté, Où l’on trouue ſon conte il faut eſtre arreſté.	E bontvère ne tiendra jamais de mon côté, Où l'on trouve son conte il faut être arrêté.
LIMACON.	LIMAÇON.
Qu’as-tu fait à Robin?	Qu'as-tu fait à Robin?
NOSTRADAMVS.	NOSTRADAMUS.
Aſſés long tempoiamouë, Il couroit comme vn Lievre.	Assez long tempoiamoue, Il courait comme un Lièvre.
ISABELLE.	ISABELLE.
Hé!	Hé!
qui touche à ma jouë?	qui touche à ma joue?
SCENE IV POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMACON, NOSTRADAMVS.	SCÈNE IV POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMAÇON, NOSTRADAMUS.
POLEXANDRE.	POLEXANDRE.
Oy-meſme, qui voudrois, pour tout dire M entre nous, Qu’on pûſt trouuer au monde vn Ours fait comme vous, Mon ame où la frayeur éleut ſon domicile, sçauroit bien la contraindre a faire bien-toſt gile,	Oi-même, qui voudrais, pour tout dire M entre nous, Qu'on pût trouver au monde un Ours fait comme vous, Mon âme où la frayeur éleut son domicile, saurait bien la contraindre à faire bientôt gile,
A Argine.	À Argine.
Comment voulez-vous donc qu’on dreſſe le contract?	Comment voulez-vous donc qu'on dresse le contrat?
ARGINE.	ARGINE.
Hé bien l’on vous en peut faire vn petit état;	Hé bien l'on vous en peut faire un petit état;
Entrons, puiſqu’auec vous il faut que ie m’explique.	Entrons, puisqu'avec vous il faut que . m'explique.
SCENE 8 CIHCON, NOSTRADAMVS, LEONOR, ISABELLE.	SCÈNE 8 CIHCON, NOSTRADAMUS, LEONOR, ISABELLE.
DIMICON.	DIMICON.
EMbraſſons nous?	EMbrassons -nous?
ISABELLE.	ISABELLE.
Tantoſt	Tantôt
LIMACON.	LIMAÇON.
Qu’elle a l’humeur critique!	Qu'elle a l'humeur critique!
ISABELLE.	ISABELLE.
Le tour eſt fort galant dont vous m’auez parlé, Pour rafraîchir mõ cœur que l’amour a brûlé, Au moins ne penſés pas me traiter en ſeruante, Si-toſt que voſtre ardeur ſera moins violenteVouloir hors d’auec moy prẽdre voſtre plaiſir, Et tranſporter ailleurs voſtre amoureux deſir.	Le tour est fort galant dont vous m'avez parlé, Pour rafraîchir mon cœur que l'amour a brûlé, Au moins ne pensez pas me traiter en servante, Si-tôt que votre ardeur sera moins violenteVouloir hors d'avec moi prendre votre plaisir, Et transporter ailleurs votre amoureux désir.
Qu’on ne me montre rien ſans qu’on me l’entretienne, Si l’on m’aime aujourd’huy demain qu’on s’en ſouuienne, Oüy, ie veux voir finir comme on a cõmence, Que le deuoir d’aimer ne puiſſe eſtre effacé Que par la ſeule mort.	Qu'on ne me montre rien sans qu'on me l'entretienne, Si l'on m'aime aujourd'hui demain qu'on s'en souvienne, Oui, je veux voir finir comme on a commence, Que le devoir d'aimer ne puisse être effacé Que par la seule mort.
LIMACON.	LIMAÇON.
A mon tour ie ſouhaitte De vous voir éuiter toute amitié ſecrette, Particulierement auecque les boiteux, Ils ont le caractere vn peu trop amoureux;	À mon tour assez souhaite De vous voir éviter toute amitié secrète, Particulièrement auecque les boiteux, Ils ont le caractère un peu trop amoureux;
On en auroit ſait d’vn le mary d’Vranie, S’il n’euſt ſçeu contenter ſon amour infinie?	On en aurait sait grand le mari d'Unanie, S'il n'eût su contenter son amour infinie?
L’on ſçait que pour Venus il ne faut point d’vn ſot, Qu'il luy faut vn bon droile, & non pas va manchot.	L'on sait que pour Venus il ne faut point d'un sot, Qu'il lui faut un bon droile, et non pas va manchot.
NOSTRADAMVS.	NOSTRADAMUS.
Mais d’où vient, car ie ſçay peut eſtre pluneuls enoles, Ayant leu l’art d’aimer & les Metamorphoſes, Que Vulcan fût cocu dont le Ciel eſt témoin?	Mais d'où vient, car ainsi sais peut -être pluneuleus enoles, Ayant lu l'art d'aimer et les Métamorphoses, Que Vulcan fût cocu dont le Ciel est témoin?
LIMACON.	LIMAÇON.
C’eſtoit plus par plaiſir que par aucun beſoin, Elle a voulu ſçauoir par ſon experience Ceux à qui l’on deuroit donner la prefe rence.	C'était plus par plaisir que par aucun besoin, Elle a voulu savoir par son expérience Ceux à qui l'on devrait donner la préfe renée.
Des droits & des tortus.	Des droits et des tortus.
NOSTRAD'AMVS.	NOSTRAD'AMUS.
Hé bien qui vaut le mieux?	Hé bien qui vaut le mieux?
LIMACON.	LIMAÇON.
Le dernier à ſon dire.	Le dernier à son dire.
LEONOR.	LEONOR.
nle fomtis curieux?	nle fomptis curieux?
NOSTRADAMVS.	NOSTRADAMUS.
Attendez pour vn peu toucher à voſtre robe, Ie ne veux pas manger ce double demy globe.	Attendez pour un peu toucher à votre robe, Je ne veux pas manger ce double demi globe.
LEONOR.	LEONOR.
Mais veux-tu m’épouſer?	Mais veux-tu m'épouser?
NOSTRADAMVS.	NOSTRADAMUS.
Ma fille, c’eſt ſelon, Que mon Maiſtre voudra ſe marier ou non.	Ma fille, c'est selon, Que mon Maître voudra se marier ou non.
LLONOR.	LLONOR.
Quoy ce n'eſt qu’en ce cas.	Quoi ce n'est qu'en ce cas.
NOSTRADAMVS.	NOSTRADAMUS.
Vn cas ſort de ſa bouche?	Un cas sort de sa bouche?
Vn cas!	Un cas!
ha n’eſperés iamais que ie vous touche;	ha n'espérez jamais que je vous touche;
Encor croyez-vous eſtre vne fille d’honneur, Apres vn ſi gros mot qui nous a fait ſi peur?	Encor croyez-vous être une fille d'honneur, Après un si gros mot qui nous a fait si peur?
Ie crains qu’vn diablotin, doüillette & graſſe coche, Ne vous prenne au collet & ne vous mette en poche, Et puis vous en auriez ma foy pour voſtre cas;	Je crains qu'un diablotin, douillette et grasse ce, Ne vous prenne au collet et ne vous mette en poche, Et puis vous en auriez ma foi pour votre cas;
Venez me baiſer là ie n’en parleray pas.	Venez me baiser là ici n'en parlerai pas.
LEONOR.	LEONOR.
ton;	ton;
ceit iune in peché que tout autre y ſoûcriue.	ceit june in peché que tout autre y souscrive.
NOSTRADAMVS en la baiſant.	NOSTRADAMUS en la baisant.
Ha!	Ha!
ſi ie penſe au mal ie veux bien qu’il m’arriue.	si ici pense au mal Dieux veux bien qu'il m'arrive.
Ha le chien.	Ha le chien.
duenra les 4240	duenra les 4240
SCENE VI.	SCÈNE VI.
POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMACON, NOSTRADAMVS.	POLEXANDRE, ARGINE, ISABELLE, LEONOR, LIMAÇON, NOTRADAMUS.
POLEXANDRE.	POLEXANDRE.
ESt-ce ainſi que l’on donne vn baiſer?	ESt-ce ainsi que l'on donne un baiser?
NOSTRADAMVS.	NOSTRADAMUS.
He!	He!
qu’importe comment pourueu qu’on ſçache oſer?	qu'importe comment pourvu qu'on sache oser?
POLEXANDRE.	POLEXANDRE.
Adieu, ie m’en vay donc inſtruire le Notaire, Dõt ie vous ay parle des choſes qu’il doit faire.	Adieu, Seigneur m'en vais donc instruire le Notaire, Dõt il vous ai parle des choses qu'il doit faire.
3	3
ARGINE.	ARGINE.
SCENE VII.	SCÈNE VII.
ROBIN, ARGINE, ISABELLE.	ROBIN, ARGINE, ISABELLE.
ELONOR, LYMACON, NOSTRADAMVS.	ÉLONOR, LIMAÇON, NOSTRADAMUS.
RORIN.	RORIN.
TA Rgine tout à bon, Pour voſtre Medecin prenez-vous Limaçon?	TA Rgine tout à bon, Pour votre Médecin prenez-vous Limaçon?
ARGINE.	ARGINE.
Si-toſt que pour aimer vne ame eſt aſſés ſotte, Auoir l’objet qu’elle aime eſt vn ſeur antidote, Ou du moins ie croiray s’il ne la peut guerir, Robin qu’autre que luy ne le peut ſecourir.	Si-tôt que pour aimer une âme est assez sotte, Avoir l'objet qu'elle aime est un sûr antidote, Ou du moins ie croirai s'il ne la peut guérir, Robin qu'autre que luians le peut secourir.
ROBIN.	ROBIN.
C’eſt trop, c’eſt trop long-temps voir mon amour er friche, Il n'a qu’à déguerpir, il faut bien qu’il deniche, Ou qu’il plaide & me montre en bons tiltres pourquoy Il eroit deuoir icy demeurer malgré moy;	C'est trop, c'est trop longtemps voir mon amour er friche, Il n'a qu'à déguerpir, il faut bien qu'il deniche, Ou qu'il plaide et me montre en bons titres pourquoi Il erait devoir ici demeurer malgré moi;
Ou s’il n’eſt pas d’accord de deffẽdre ſa cauſe, Pour loger en mon cœur c’eſt du moins qu’il compoſe, Et que pour le loyer d’vn ſi noble ſéjour, Il me faſſe gagner quinze lur voſtre amour.	Ou s'il n'est pas d'accord dé sensé sa cause, Pour loger en mon cœur c'est du moins qu'il compose, Et que pour le loyer d'un si noble séjour, Il me fasse gagner quinze lur votre amour.
Cher amy?	Cher ami?
LIMACON.	LIMAÇON.
ROBIN.	ROBIN.
Plaiſt-il Maiſtre?	Plaît-il Maître?
LIMACON.	LIMAÇON.
Euſſiez-vous quinre & biſque, Ie croy que voſtre amour couroit encor grand riſque.	Eussiez-vous quinre et bisque, Je crois que votre amour courait encor grand risque.
