Suiuant la Copie imprimée	Suivant la Copie imprimée
Et comme ſi leur haine impuiſſante, ou timide, N'oſoit le faire enſemble inceſte & parricide, Elle partage à deux vn ſort ſi peu commun, Afin de me donner deux coupables pour vn.	Et comme si leur haine impuissante, ou timide, N'osait le faire ensemble inceste et parricide, Elle partage à deux un sort si peu commun, Afin de me donner deux coupables pour vn.
OEDIPE.	OEDIPE.
O partage inégal de ce couroux celeſte!	Ô partage inégal de ce courroux céleste!
Ie ſuis le parricide, & ce fils eſt l’inceſte, Mais mon crime eſt entier, & le ſien imparfait, Le ſien n’eſt qu'en deſirs, & le mien en effet.	Je suis le parricide, et ce fils est l'inceste, Mais mon crime est entier, et le sien imparfait, Le sien n'est qu'en désirs, et le mien en effet.
Ainſi, quelques raiſons qui puiſſent me défendre, La vefve de Lajus ne ſçauroit les entendre, Et les plus beaux exploits paſſent pour trahiſons Alors qu’il faut du ſang, & non pas des raſſons.	Ainsi, quelques raisons qui puissent me défendre, La veflève de Lajus ne saurait les entendre, Et les plus beaux exploits passent pour trahisons Alors qu'il faut du sang, et non pas des rassons.
IOCASTE.	JOCASTE.
Ah, ie n’en voy que trop qui me déchirent l’ame;	Ah, Seigneur n'en vois que trop qui me déchirent l'âme;
La vefve de Lajus eſt touſiours voſtre femme, Et n’oppoſe que trop pour vous juſtifier A la moitié du mort celle du meurtrier.	La vefue de Lajus est toujours votre femme, Et n'oppose que trop pour vous justifier A la moitié du mort celle du meurtrier.
Pour toute autre que moy voſtre erreur eſt ſans crime, Toute autre admireroit voſtre bras magnanime, Et toute autre reduite à punir voſtre erreur, La puniroit du moins ſans trouble, & ſans horreur.	Pour toute autre que moi votre erreur est sans crime, Toute autre admirerait votre bras magnanime, Et toute autre réduite à punir votre erreur, La punirait du moins sans trouble, et sans horreur.
Mais, helas, mon deuoir aux deux partis m’attache, Nul eſpoir d’aucun d’eux, nul effort ne m’arrache, Et ie trouue touſiours dans mon eſprit confus, Et tout ce que ie ſuis, & tout ce que ie fus.	Mais, hélas, mon devoir aux deux partis m'attache, Nul espoir d'aucun d'eux, nul effort ne m'arrache, Et Seigneur trouve toujours dans mon esprit confus, Et tout ce que je suis, et tout ce que je fus.
Ie vous dois de l’amour, ie vous dois de la haine, L’vn & l’autre me plaiſt, l’vn & l’autre me geſne, Et mon cœur qui doit tout, & ne voit rien permis, Souffre tout à la fois deux tyrans ennemis.	Je vous dois de l'amour, je vous dois de la haine, L'un et l'autre me plaît, l'autre et l'autre me gêne, Et mon cœur qui doit tout, et ne voit rien permis, Souffre tout à la fois deux tyrans ennemis.
La haine auroit l’appuy d’vn ſerment qui me lie, Mais ie le romps exprés pour en eſtre punie, Et pour finir des maux qu’on ne peut foulager, I'aime à donner aux Dieux vn parjure à vanger.	La haine aurait l'appui d'un serment qui me lie, Mais ie le romps exprès pour en chang punie, Et pour finir des maux qu'on ne peut soulager, J'aime à donner aux Dieux un parjure à venger.
cent teſtre foudre, ô Ciel, qu’à mon ſecours j’appelle, Oedipe eſt innocent, ie me fais criminelle, Par vn juſte ſupplice oſez me deſvnir De la neceſſité d’aimer & de punir.	cent têtre foudre, ô Ciel, qu'à mon secours j'appelle, Oedipe est innocent, Seigneur me fais criminelle, Par un juste supplice osez me desvnir De la nécessité d'aimer et de punir.
OE DIPE.	ÔE DIPE.
Quoy, vous ne voyez pas que ſa fauſſe juffice Ne ſçait plus ce que c’eſt que d’vn juſte ſupplice, Et que par vn deſordre a confondre nos ſens Son injuſte rigueur n’en veut qu’aux innocens.	Quoi, vous ne voyez pas que sa fausse juffice Ne sait plus ce que c'est que d'un juste supplice, Et que par un désordre a confondre nos sens Son injuste rigueur n'en veut qu'aux innocents.
Aprés auoir choiſi ma main pour ce grand crime, C’eſt le ſang de Lajus qu’il choiſit pour victime, Et le bizarre éclat de fou diſcernement Separe le ſorfait d’auec le châtiment.	Après avoir choisi ma main pour ce grand crime, C'est le sang de Lajus qu'il choisit pour victime, Et le bizarre éclat de fou discernement Sépare le sorfait d'avec le châtiment.
C’eſt C’eſt vn ſujet nouueau d’vne haine implacable, De voir ſur voſtre ſang la peine du coupable, Et les Dieux vous en font vne eternelle loy, S’ils puniſſent en luy ce qu’ils ont fait par moy.	C'est C'est un sujet nouveau d'une haine implacable, De voir sur votre sang la peine du coupable, Et les Dieux vous en font ra éternelle loi, S'ils punissent en lui ce qu'ils ont fait par moi.
Voyez comme les fil de locaſſe & d’Oedipe D'vne ſi juſte haine ont tous deux le principe.	Voyez comme les fil de locasse et d'Oedipe D'une si juste haine ont tous deux le principe.
A voir leurs actions, à voir leur entretien, L’vn n’eſt que voſtre ſang, l’autre n’eſt que le mien, Et leul alitlpatnie inipiré à ſeur colere Des preludes ſecrets de ce qu’il vous faut faire.	À voir leurs actions, à voir leur entretien, L'un n'est que votre sang, l'autre n'est que le mien, Et leul alitlpatnie injpiré à sûr entre Des prludes secrets de ce qu'il vous faut faire.
CASTE.	CASTE.
Pourrez-vous me haïr juſqu’à cette riguenr De ſouhaitter pour vous meſme harne en mõ cœur?	Pourrez-vous me haïr jusqu'à cette riguenr De souhaiter pour vous même harne en mon cœur?
OBBIAE.	ÔBBIAE.
Touſiours de vos vertus j’àdoreray les charmes, Pour ne haïr qu’en moy la ſource de vos larmes.	Toujours de vos vertus j'àdorerai les charmes, Pour ne haïr qu'en moi la source de vos larmes.
CASTE.	CASTE.
Et ie me forceray touſiovrs à vous blâmer, Pour ne haïr qu’en moy ce qui vous fit m’aimer.	Et personne me forcerai tousiovrs à vous blâmer, Pour ne haïr qu'en moi ce qui vous fit m'aimer.
Mais finiſſons, de grace, th diſcours qui me tue, L'aſſaſſin de Lajus doit me bleſſer la veuë, Et malgré ce couroux par ſa mort allumé, Ie fens qu’Oedipe enfin ſera touſiours aimé.	Mais finissons, de grâce, th discours qui me tue, L'assassin de Lajus doit me blesser la vue, Et malgré ce courroux par sa mort allumé, Je sens qu'Oedipe enfin sera toujours aimé.
OEDIPE.	OEDIPE.
Qye fera cet amour?	Qui fera cet amour?
GASTE.	GÂTE.
De quindort a la haine.	De quindort a la haine.
OE DIPE.	ÔE DIPE.
N enclatedeson:	N enclatedeson:
TOGASTE.	TOGASTE.
Croiſtie touſiours ma peine.	Croistie toujours ma peine.
OEDITE.	ÔÉDITE.
Fandra-t’il pour iamais me bannir de vos yeux?	Fandra-t-il pour jamais me bannir de vos yeux?
CASTE.	CASTE.
Peut-eſtre que demain nous le ſçaurons des Dieux.	Peut-être que demain nous le saurons des Dieux.
Fin du quatriéme Aste.	Fin du quatrième Aste.
ACTE	ACTE
TRAGEDIE.	TRAGÉDIE.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
OEDIPE,D AMMO.	OEDIPE,D AMMO.
L DYMAS.	 LIMAS.
EIGNEUR, il eſt trop vray que le peuple murmure, Qu’il rejette ſur vous ſa funeſte auanture, Et que dé tous coſtez on n’entend que mutins.	EIGNEUR, il est trop vrai que le peuple murmure, Qu'il rejette sur vous sa funeste aventure, Et que de tous côtés on n'entend que mutins.
ſtins Qui vous nomment l’antheur de leurs mauuais deD’vn Devin ſuborné les infames preſtiges De l’Ombre, diſent-ils, ont fait tous les prodiges, L’or mouuoit ce fantoſme, & pour perdre Dircé Vos preſens luy dictoient ce qu’il a prononcé:	stins Qui vous nomment l'antheur de leurs mauvais deD'un Devin suborné les infâmes prestiges De l'Ombre, disent-ils, ont fait tous les prodiges, L'or mouvait ce fantôme, et pour perdre Dircé Vos presens était dictaient ce qu'il a prononcé:
Tant ils conçoiuent mal, qu’vn ſi grand Roy conſente A vanger fon trépas ſur la race innocente, Qu’il aſſeure ſon ſceptré aux dépens de ſon lang A ce bras impuny qui luy perça le flanc, Et que par cet injuſte & cruel ſacrifice Luy meſme de ja mort il ſe faſſe juſtice.	Tant ils conçoivent mal, qu'un si grand Roi consente A venger son trépas sur la race innocente, Qu'il assure son sceptré aux dépens de son lang À ce bras impuni qui te perça le flanc, Et que par cet injuste et cruel sacrifice Lui même de ja mort il se fasse justice.
OE DIPE.	ÔE DIPE.
Ils ont quelque raiſon de tenir pour ſuſpect Tout ce qui s’eſt montré tantoſt à leur aſpect, Et ie n’oſe blâmer cette horreur que leur donne L’aſſaſſin de leur Roy qui porte ſa couronne.	Ils ont quelque raison de tenir pour suspect Tout ce qui s'est montré tantôt à leur aspect, Et a pprose blâmer cette horreur que leur donne L'assassin de leur Roi qui porte sa couronne.
Moy-meſme au fond du cœur de meſme horreur frapé, Ie veux fuir le remords de ſon trône occupé, Et ie dois cette grace à l’amour de la Reine D’épargner ma preſence aux deuoirs de ſa haine, Puiſque de noſtre Hymen les liens mal tiſſus Par ces meſmes deuoirs ſemblent eſtre rompus.	Moi-même au fond du cœur de même horreur frappé, Je veux fuir le remords de son trône occupé, Et beau dois cette grâce à l'amour de la Reine D'épargner ma présence aux devoirs de sa haine, Puisque de notre Hymen les liens mal tissus Par ces mêmes devoirs semblent être rompus.
Ie vay donc à Corinthe acheuer mon ſupplice:	Je vais donc à Corinthe achever mon supplice:
Mais ce n’eſt pas au peuple à ſe faire iuſtice, L’ordre que tient le Ciel à luy choiſir des Rois Ne luy permet iamais d’examiner ſon choix, Et le deuoir aueugle y doit touſiours ſouſcrire Iuſqu’à ce que d’enhaut on veüille s’en dédire.	Mais ce n'est pas au peuple à se faire justice, L'ordre que tient le Ciel à M choisir des Rois Ne lui permet jamais d'examiner son choix, Et le devoir aveugle y doit toujours souscrire Jusqu'à ce que d'enhaut on veuille s'en dédire.
Pour chercher mon repos ie veux bien me bannir, Mais s’il me banniſſoit, ie ſçaurois l’en puhir, Ou ſie Iuccombois ſous ſa troupe mutine, Ie ſçaurois l’accabler du moins ſous ma ruine.	Pour chercher mon repos ie rois bien me bannir, Mais s'il me bannissait, Seigneur saurais l'en puhir, Ou sièie Juccombais sous sa troupe mutine, Je saurais l'accabler du moins sous ma ruine.
DYMAS.	DYMAS.
Seigneur, juſques icy ſes plus grands déplaiſirs Pour armes contre vous n’ont pris que de ſoûpirs, Et cet abatement que luy cauſe la peſte Ne ſouffre à ſon murmure aucun deſſein funeſte.	Seigneur, jusqu' ici ses plus grands déplaisirs Pour armes contre vous n'ont pris que de soupirs, Et cet abattement que lui cause la peste Ne souffre à son murmure aucun dessein funeste.
Mais il faut redouter que Theſée & Dirce R’olent poufſer plus loin ce qu’il a commencé;	Mais il faut redouter que Thesée et Dirce Rolent pousser plus loin ce qu'il a commencé;
Phorbas meſme eſt à craindre, & pourroit le reduire Iuſqu’à ſe vouloir mettre en eſtat de vous nuire.	Phorbas même est à craindre, et pourrait le réduire Jusqu'à se vouloir mettre en état de vous nuire.
OEDIPE.	OEDIPE.
Theſée a trop de cœur põur vne trahiſon, Et d’ailleurs j’ay proniis de luy faire raiſon:	Thesée a trop de cœur pouvr une trahison, Et d'ailleurs j'ai proniis de lui faire raison:
Pour Dircé, ſon orgueil dédaignera ſans doute L’appuy tumultueux que ton zele redoute;	Pour Dircé, son orgueil dédaignera sans doute L'appui tumultueux que ton zèle redoute;
Phorbas eſt plus à craindre, eſtant moins genereux;	Phorbas est plus à craindre, étant moins généreux;
Mais il nous eſt aiſe de nous arleurer d'eux.	Mais il nous est aise de nous arleurer d'eux.
Fay-les venir tous trois, que ie liſe en leur ame S’ils preſteroient la main à quelque ſourde trame.	Fais-les venir tous trois, que on lise en leur âme S'ils prêteraient la main à quelque sourde trame.
conmence par l'norbas, ie ſçauray démeſler Quel deſſeins.	conmence par l'norbas, Seigneur saurai démêler Quel desseins.
AGE.	AGE.
Vn Vieillard demande à vous parler.	Un Vieillard demande à vous parler.
Il ſe dit de Corinthe, & preſſe.	Il se dit de Corinthe, et presse.
OEDIPE.	OEDIPE.
Il vient me faire Le funeſte rapports du trépas de mon pere, Preparons nos ſoûpirs à ce triſte recit.	Il vient me faire Le funeste rapports du trépas de mon père, Préparons nos soupirs à ce triste récit.
Qu’il entre.	Qu'il entre.
Cependant fais ce que ie t’ay dit.	Cependant fais ce que ici t'ai dit.
SCE	SCE
SCENE II.	SCÈNE II.
OEDIPE, IPHICRATE, Suite.	OEDIPE, IPHICRATE, Suite.
OEDIPE.	OEDIPE.
Er bien Poube eſt mort?	Er bien Poube est mort?
IPHICRATE.	IPHICRATE.
Ouy, Seigneur.	Oui, Seigneur.
OEDIPE.	OEDIPE.
Mais, vous-meſme Venir me conſoler de ce malheur ſupréme!	Mais, vous-même Venir me consoler de ce malheur suprême!
Vous, qui Chef du Conſeil deuriez maintenant Attendant mon retour eſtre mon Lieutenant!	Vous, qui Chef du Conseil devriez maintenant Attendant mon retour être mon Lieutenant!
Vous, à qui tant de ſoins d’éleuer mon enfance Ont acquis juſtement toute ma confiance!	Vous, à qui tant de soins d'élever mon enfance Ont acquis justement toute ma confiance!
Ce voyage me trouble autant qu’il me ſurprend.	Ce voyage me trouble autant qu'il me surprend.
IPHICRATE.	IPHICRATE.
Le Roy Porybe cie illort, ce fiarlieur ert bien grand, Mais comme enfin, Seigneur, il eſt ſuiuy d’un pire, Pour l’apprendre de moy, faites qu’on ſe retire.	Le Roi Porybe cie illort, ce fiarlieur ert bien grand, Mais comme enfin, Seigneur, il est suivi d'un pire, Pour l'apprendre de moi, faites qu'on se retire.
Oedipe fait vn ſigne de teſte à ſa Suite, qui l'oblige à OE DIPE.	Oedipe fait un signe de tête à sa Suite, qui l'oblige à Œ DIPE.
ſe retirer.	se retirer.
Ce jour eſt donc pour moy le grand iour des malheurs, Puiſque vous apportez vn comble à mes douleurs.	Ce jour est donc pour moi le grand jour des malheurs, Puisque vous apportez un comble à mes douleurs.
I'ay tué le feu Roy jadis ſans le connoiſtre, Son fils qu’on croyoit mort vient icy de renaiſtre, Son peuple mutiné me voit avec horreur, Sa vefue mon épouſe en eſt dans la fureur, Le chagrin accablant qui me deuore l’ame Me fait abandonner, & peuple, & ſceptre, & femme, Pour remettre à Corinthe vn eſprit éperdu;	J'ai tué le feu Roi jadis sans le connaître, Son fils qu'on croyait mort vient ici de renaître, Son peuple mutiné me voit avec horreur, Sa vefue mon épouse en est dans la fureur, Le chagrin accablant qui me dévore l'âme Me fait abandonner, et peuple, et sceptre, et femme, Pour remettre à Corinthe un esprit éperdu;
Et par d’autres malheurs ie m’y vois attendu!	Et par d'autres malheurs ici m'y vois attendu!
IPHICRATE.	IPHICRATE.
Seigneur, il faut icy faire reſte à l’orage, Il faut faite icy ferme, & montrer du courage, Le repos à Corinthe en effet ſeroit doux, Mais il n’eſt plus de ſceptre à Corinthe pous vous.	Seigneur, il faut ici faire reste à l'orage, Il faut faite ici ferme, et montrer du courage, Le repos à Corinthe en effet serait doux, Mais il n'est plus de sceptre à Corinthe pous vous.
OEDIPE.	OEDIPE.
Quoy, l’on s’eſt emparé de celuy de mon pere?	Quoi, l'on s'est emparé de celui de mon père?
IPHIGRATE.	IPHIGRATE.
Seigneur, on n’a rien fait que ce qu’on a deu faire, Et voitre amour en inoy ne voit plus qu’vn banny, De ſon amour pour vous trop doucement puny.	Seigneur, on n'a rien fait que ce qu'on a dev faire, Et voitre amour en inoi ne voit plus qu' banni, De son amour pour vous trop doucement puni.
Quel Enigme!	Quel Enigme!
OEDIPE.	OEDIPE.
IPHICRATE.	IPHICRATE.
Apprenen auco quenle juſtice Ce Roy vous a deu rendre vne mauuais office.	Appren auco quenle justice Ce Roi vous a dev rendre une mauvais office.
v ous n'’elliez poinc lon nis.	 vous n'elliez poinc lon nis.
OEDIPE.	OEDIPE.
Dieux, qu’entens-ié?	Dieux, qu'entends-je?
IPHICRATE.	IPHICRATE.
A regret Ses remords en mourant ont rompu le ſecret, Il vous gardoſt encore vne aiſſitie Iort tenidre :	À regret Ses remords en mourant ont rompu le secret, Il vous gardôt encore une aissitie Iort tenidre :
Mais le conte qu’aux Dieux la mort force de rendre A porté dans ſon cœur vu ſi preſſant effroy, Qu’i a remis Corinthe aux mains de ſon vray Roy.	Mais le compte qu'aux Dieux la mort force de rendre A porté dans son cœur vu si pressant effroi, Qu'y a remis Corinthe aux mains de son vrai Roi.
OEDIPE.	OEDIPE.
de ne ldis point lon nis:	de ne lédis point lon nis:
ce qui ſuis-ie, Iphicrate?	ce qui suis-je, Iphicrate?
IPHICRATE.	IPHICRATE.
vnenfant expole, dont le mente eclate, Et de qui par pitié j’ay dérobé les iours Aux ongles des Lyons, aux griffels des Vautours,	Jenfant expole, dont le mente élate, Et de qui par pitié j'ai dérobé les jours Aux ongles des Lyons, aux griffels des Vautours,
OE DIPE.	ÔE DIPE.
Et qui m’a fait paſſer pour le fils de ce Prince?	Et qui m'a fait passer pour le fils de ce Prince?
PHICRATE.	PHICRATE.
Le manque d’heritiers ébranloit ſa Prouince, Les trois que luy donna le conjugal amour Perdirent en naiſſant la lumiere du iour, Et la mort du dernier me fit prendre l’audace De vous offrir au Roy qui vous mit en ſa place.	Le manque d'héritiers ébranlait sa Province, Les trois que deux donna le conjugal amour Perdirent en naissant la lumière du jour, Et la mort du dernier me fit prendre l'audace De vous offrir au Roi qui vous mit en sa place.
Ce que l’on ſe promit de ce fus ſuppoſé ReüReünit ſous ſes loix ſon Eſtat diviſé;	Ce que l'on se promit de ce fus supposé ReüReünit sous ses lois son État divisé;
Mais comme cet abus finit auec ſa vie, Sa mort de mon ſupplice auroit eſté ſuiuie, S’il n’auoit ordonné dans ſon dernier moment & un juite de prompt exil fuſt mon ſeul châtiment.	Mais comme cet abus finit avec sa vie, Sa mort de mon supplice aurait été suivie, S'il n'avait ordonné dans son dernier moment et un juite de prompt exil fût mon seul châtiment.
OEDIPE.	OEDIPE.
Ce reuers ſeroit dur pour quelque ame commune, Mais ie me fis touſiours maiſtre de ma fortune, Et puiſqu’elle a repris l’auantage du ſang, Ie ne dois plus qu’à moy tout ce que j’eus de rang.	Ce revers serait dur pour quelque âme commune, Mais je me fis toujours maître de ma fortune, Et puisqu'elle a repris l'avantage du sang, Je ne dois plus qu'à moi tout ce que j'eus de rang.
Mais n’as-tu point appris de qui j’ay receu l’eſtre.	Mais n'as-tu point appris de qui j'ai reçu l'être.
IPHICRATE.	IPHICRATE.
Seigneur, ie ne puis ſeul vous le faire connoitre.	Seigneur, Seigneur ne puis seul vous le faire connaître.
Vous fuſtes expoſè jadis par vn Thebain, Dont la compaſſion vous remit en ma main, Et qui, ſans m’éclaircir touchant voſtre naiſſance, Me chargea ſeulement d’éloigner voſtre enfance, I'en connois le viſage, & l’ay reneu ſouuent Sans nous eſtre tous deux expliquez plus auant:	Vous fûtes exposé jadis par un Thebain, Dont la compassion vous remit en ma main, Et qui, sans m'éclaircir touchant votre naissance, Me chargea seulement d'éloigner votre enfance, J'en connais le visage, et l'ai renve souuent Sans nous être tous deux expliquez plus avant:
Ie luy dis qu’en éclat j’auois miſt voſtre vie, Et luy cachay touſiours mon nom & ma patrie, De crainte, en les ſçachant, que ſon zéle indiſcret rte rime mal à propos troubler noſtre ſecret, Mais comme de ſa part il connoit mon viſage, el Ie le troude ley, noue iģaurons dadumcage,	Je lui dis qu'en éclat j'avais mît votre vie, Et lui cachai toujours mon nom et ma patrie, De crainte, en les sachant, que son zèle indiscret e rime mal à propos troubler notre secret, Mais comme de sa part il connaît mon visage, el Le le troude ley, noue iģaurons dadumcage,
OEDIPE.	OEDIPE.
Ie ſerois donc Thebain à ce conte?	Je serais donc Thebain à ce conte?
IPHICRATE.	IPHICRATE.
Ouy, Seigneurs,	Oui, Seigneurs,
OEDIPE.	OEDIPE.
Ie ne ſçay ſi ie dois le tenir à bon-heur, Mon cœur qui ſe ſoûleue en forme vn noir augure Sur l’éclairciſſement de ma triſte auanture.	Je ne sais si grande dois le tenir à bonheur, Mon cœur qui se soulève en forme un noir augure Sur l'éclaircissement de ma triste aventure.
Où me receuſtes-vous?	Où me reçûtes-vous?
IPHIGRATE.	IPHIGRATE.
Sur le mont Citheron.	Sur le mont Cithéron.
OEDIPE.	OEDIPE.
Ah, que vous me frapez par ce funeſte nom!	Ah, que vous me frappez par ce funeste nom!
Le temps, le lieu, l’Oracle, & l’âge de la Reine, Tout ſemble concerté pour me mettre à la gêne.	Le temps, le lieu, l'Oracle, et l'âge de la Reine, Tout semble concerté pour me mettre à la gêne.
Dieux, ſeroit-il poſſible!	Dieux, serait-il possible!
Approchez-vous, Phorbas.	Approchez-vous, Phorbas.
SCENE III.	SCÈNE III.
OEDIPE, IPHICRAIE, PHORBAS.	OEDIPE, IPHICRAIE, PHORBAS.
IPHICRATE.	IPHICRATE.
Eigneur, voila celuy qui vous mit en mes bras, Ierilettez qu'a vos yeux ie montie vn peu de joye.	Eigneur, voilà celui qui vous mit en mes bras, Jérilettez qu'a vos yeux toujours montie un peu de joie.
Se peut-il faire, amy, qu’encor ie te reuoye.	Se peut-il faire, ami, qu'encor Ne te revoie.
PHORBAS.	PHORBAS.
Que j’ay lieu de benir ton retour fortuné!	Que j'ai lieu de bénir ton retour fortuné!
Qu’as-tu fait de l’Enfant que ie t’auois donné?	Qu'as-tu fait de l'Enfant que tu t'avais donné?
Le genereux Theſée a fait gloire de l’eſtre, mrais la preude ele obleure;	Le généreux Thesée a fait gloire de l'être, mrais la préude éle obleure;
& tu dois le conniſtre.	et tu dois le connistre.
Parle.	Parle.
IPHICRATE.	IPHICRATE.
Ce n’eſt point luy, mais il vit en ces lieux.	Ce n'est point homme, mais il vit en ces lieux.
PHORBAS.	PHORBAS.
Nomme-le donc, de grace.	Nomme-le donc, de grâce.
IPHICRATE.	IPHICRATE.
Teſt deuant tes yeux.	Test devant tes yeux.
PHORBAS.	PHORBAS.
le ne vois que le Roi.	le ne vois que le Roi.
IPHACRATE.	IPHACRATE.
C’eſt lui-meſme.	C'est lui-même.
PHORBAS.	PHORBAS.
Lui-meſme?	Lui-même?
HICRATE.	HICRATE.
Ouy, le ſecret n’eſt plus d’vne importance extrême Tout Corinthe le ſçait, nomme-lui ſes parens.	Oui, le secret n'est plus d'une importance extrême Tout Corinthe le sait, nomme-lui ses parents.
PHORBAS.	PHORBAS.
En fuſſions-nous tous trois à iamais ignorans!	En fussions-nous tous trois à jamais ignorants!
IPHICRATE.	IPHICRATE.
Selgneur, luy leul ennu peut diſe qui vous eſtes.	Selgneur, Seigneur leul ennu peut dise qui vous êtes.
OEDIPE.	OEDIPE.
Helas!	Hélas!
ie le voy trop, & vos craintes ſecrettes Qui vous ont empeſché de vous entr’éclaircir, Loin de tromper l’Oracle, ont fait tout reüſſir.	Hé le vois trop, et vos craintes secrètes Qui vous ont empêché de vous entr'éclaircir, Loin de tromper l'Oracle, ont fait tout réussir.
Voyez où m’a plongé voſtre fauſſe prudenee, Vous cachiez ma rettaite, il cachoit ma naiſſance, Vos dangereux ſecreets par vn commun accord M’ont liuré tout entier aux rigueurs de mon ſort.	Voyez où m'a plongé votre fausse prudence, Vous cachiez ma retaite, il cachait ma naissance, Vos dangereux secrets par un accord Mord M'ont livré tout entier aux rigueurs de mon sort.
Ce ſont eux qui m’ont fait l’aſſaſſin de mon pere, Ce ſont eux qui m’ont fait le mary de ma mere, D’vne indigne pitié le fatal contre-temps Confond dans mes vertus ces forfaits éclatans;	Ce sont eux qui m'ont fait l'assassin de mon père, Ce sont eux qui m'ont fait le mari de ma mère, D'une indigne pitié le fatal contretemps Confond dans mes vertus ces forfaits éclatants;
Elle fait voir en moy par vn mélange infame Le frere de mes fils, & le fils de llia felilliie, Le Ciel l’auoit prédit, vous auez acheué, Et vous auez tout fait quand vous m’auez ſauué.	Elle fait voir en moi par un mêlange infâme Le frère de mes fils, et le fils de lia felilliie, Le Ciel l'avait prédit, vous avez achevé, Et vous avez tout fait quand vous m'avez sauvé.
PHORBAS.	PHORBAS.
Ouy, Seigneur, j’ay tout fait ſauuant voſtre perſonne, M’en puniſſent les Dieux ſi ie me le pardonne.	Oui, Seigneur, j'ai tout fait sauvant votre personne, M'en punissent les Dieux si ici me le pardonne.
SCENE IV.	SCÈNE IV.
OEDIPE, IPHICRATE.	OEDIPE, IPHICRATE.
OEDIPE.	OEDIPE.
Ve n’obeîſſois-tu, perfide, à mes parens Qui ſe faiſoient pour moy d’équitables tyrans?	Ve n'obéissais-tu, perfide, à mes parents Qui se faisaient pour moi d'équitables tyrans?
que ne luy diſois-tu ma naiſſance, & l’Oracle, Afin qu’à mes deſtins il pûſt mettre vn obſtacle?	que ne lui disais-tu ma naissance, et l'Oracle, Afin qu'à mes destins il pût mettre un obstacle?
Car, Iphicrate, en vain j’accuſerois ta foy, Tu fus dans ces deſtins aueugle comme moy, Et tu ne m’abuſois que pour ceindre ma teſte D’vn bandeau dont par là tu faiſois ma conqueſte.	Car, Iphicrate, en vain j'accuserais ta foi, Tu fus dans ces destins aveugle comme moi, Et tu ne m'abusais que pour ceindre ma tête D'eau bandeau dont par là tu faisais ma conquête.
IPHICRATE.	IPHICRATE.
Seigneur, comme Phorbas auoit mal obey, Que l’ordre de ſon Roy par là ſe vit trahy, Il auoit lieu de craindre, en me diſant le reſte, que ion crime par moy deuenant manifeſte.	Seigneur, comme Phorbas avait mal obéi, Que l'ordre de son Roi par là se vit trahi, Il avait lieu de craindre, en me disant le reste, que ion crime par moi deuenant manifeste.
OE DIPE.	ÔE DIPE.
Ceſſe de l'excuſer, que m’importe en effet S’il eſt coupable, ou non, de tout ce que j’ay fait?	Cesse de l'excuser, que m'importe en effet S'il est coupable, ou non, de tout ce que j'ai fait?
En ay-ie moins de trouble, ou moins d’horteur en l’ame?	En ai-je moins de trouble, ou moins d'horteur en l'âme?
SCENEV.	SCENEU.
OEDIPE, DIRCE, IPHICRATE,	OEDIPE, DIRCE, IPHICRATE,
OEDIPE.	OEDIPE.
V Oſtre frere eſt connu, le ſçauez-vous, Madame	V Votre frère est connu, le Savez-vous, Madame
DIRCE.	DIRCE.
Ouy, Seigneur, & Phorbas m’a tout dit en deux OEDIPE.	Oui, Seigneur, et Phorbas m'a tout dit en deux OEDIPE.
mots, Voſtre amour pous Theſée eſt dans vn plein repos.	mots, Votre amour pous Thesée est dans un plein repos.
Vous n’apprehendez plus que le tiltre de frere S’oppoſe à cette ardeur qui vous eſtoit ſi chere, Cette aſſeurance entiere a dequoy vous rauir, Ou plûtoſt, voſtre haine a dequoy s’aſſouuir:	Vous n'appréhendez plus que le titre de frère S'oppose à cette ardeur qui vous était si chère, Cette assurance entière a dequoy vous ravir, Ou plutôt, votre haine a dequoy s'assouvir:
Quand le Ciel de mon ſort l’auroit faite l’arbitre, Elle ne m’euſt choiſy rien de pis que ce tiltre.	Quand le Ciel de mon sort l'aurait faite l'arbitre, Elle ne m'eût choisi rien de pis que ce titre.
DIRCE.	DIRCE.
Ah, seigneur, pour Æmon j’ay ſçeu mal abeïr, Mais ie n’ay point eſté juſques à vous haïr, La fierté de mon cœur qui me traitoit de Reine, Vous cedoit en ces lieux la couronne ſans peiue, Et cette ambitiou que me preſtoit l’Amour Ne cherchoit qu’à regner dans vn hutre lejour.	Ah, seigneur, pour Émon j'ai su mal abéir, Mais je n'ai point été jusques à vous haïr, La fierté de mon cœur qui me traitait de Reine, Vous cédait en ces lieux la couronne sans péive, Et cette ambitiou que me prêtait l'Amour Ne cherchait qu'à régner dans un hutre léjour.
Cent fois de mon orgucil l’éclat le plus farouche Aux termes odieux a refuſé ma bouche, Pour vous nommer tyran il falloit cent efforts, Ce mot ne m’z iamais échapé ſans remords :	Cent fois de mon orgucil l'éclat le plus farouche Aux termes odieux a refusé ma bouche, Pour vous nommer tyran il fallait cent efforts, Ce mot ne m'z jamais échappé sans remords :
