ECTIEIOE LTTDETEVTE PERSECVTEE TRAGI-COMEDIE.	ECTIEIOE LTTDETEUTE PERSÉCUTE -THRAGICOMÉDIE.
AOTE SCENE PREMIERE ZARALINDE.	ÀOTE SCÈNE PREMIÈRE ZARALINDE.
HELIONE.	HÉLIONE.
I ZARALINDE.	I ZARALINDE.
Eut eſtre mon aduis choque voſtre courage, Mais ſon ſuccez (Madame) appaiſera l’orage, Qu'vne flame indiſcrette excite en cette cour, Et par luy vous verrez triompher voſtre amour:	Eût être mon avis choque votre courage, Mais son succès (Madame) apaisera l'orage, Qu'une flamme indiscrète excite en cette cour, Et parfois vous verrez triompher votre amour:
Ouy Madame, ce coup fait le ſalut d’vn Prince, D'vn malheureuident ſauue cette prouince, Et retire des fers vn miſerable Amant Qui n'eſt point criminel que d’amour ſeulement, Ie ne connois que trop le ſuiet de ſa priſe Ilſeroit innocent s’il n’aymoit pas Orphiſe.	Oui Madame, ce coup fait le salut d'un Prince, D'un malheureuident sauve cette province, Et retire des fers un misérable Amant Qui n'est point criminel que d'amour seulement, Je ne connais que trop le sujet de sa prise Ilserait innocent s'il n'aimait pas Orphise.
Et ſi ce Cheualier a commis quelque mal C’eſt que mon frere à ſceu qu’il eſtoit ſon Riual En tout cas pour agir auec plus de prudence On peut adroittement ſonder ſon innocence Et ſi nous le trouuons coupable du poiſon.	Et si ce Chevalier a commis quelque mal C'est que mon frère à sut qu'il était son Rival En tout cas pour agir avec plus de prudence On peut adroittement sonder son innocence Et si nous le trouvons coupable du poison.
2 SRPHISE Ruonsauonc estagu jememen.	2 SRPHISE Ruonsauonc étagu jememen.
pyone.	pyone.
HELIONE.	HÉLIONE.
Allons:	Allons:
puis que mon malveut un reniede extréme En cette occaſion ie me vaincray moy-meſme, Ie ſuiuray vos conſeils, & parcette action I'exciteray l’amour, ou la compaſſion.	puis que mon malvut un renède extrême En cette occasion ie me vaincrai moi-même, Je suivrai vos conseils, et parcette action J'exciterai l'amour, ou la compassion.
Entrons.	Entrons.
SCENE DEVXIESME ZARALINDE.	SCÈNE DEUXIÈME ZARALINDE.
HELIONÈ.	HÉLION.
DORISTEL.	DORISTEL.
S DORISTEL.	 SORISTEL.
les arreſtant.	les arrêtant.
ne vouttro ony Mãdame?	ne voutro oni Mãdame?
ZARALINDE.	ZARALINDE.
Doriſtel.	Doristel.
Arreſte-là:	Arrête-là:
ie veux parler au criminel.	Ne veux parler au criminel.
DORISTEL.	DORISTEL.
Le prince m'enà fait vne expreſſe deffence.	Le prince m'ena fait une expresse défense.
ZARALINDE.	ZARALINDE.
Va:	Va:
mon authorité de ce ſoing te diſpenſe;	mon autorité de ce soing te dispense;
Tu retardes ioy puar ce facheux debat Le ſalut de mon frere & céluy de l’Eſtat:	Tu retardes joi puar ce fâcheux débat Le salut de mon frère et clui de l'État:
Ne ſois pas en ſoucy de te que ie vay faire,	Ne sois pas en souci de te que tu vais faire,
Ie te Ie te ſuis caution de toute cette effaire, E ma foyt tapromt a'agneavies effets.	Je te Je te suis caution de toute cette effaire, E ma soit taprompt a'agneavies effets.
DORISTEL.	DORISTEL.
Ab Mauume ente castoven, O melab.	Ab Mauvme ente castoven, Ô melab.
SCENE TROISIESME ETAMEITDE.	SCÈNE -TROISIÈME ETAMEITDE.
IIELIONE, ITAEAGE.	IIELIONE, ITAEAGE.
Dans la priſon.	Dans la prison.
ZARALINDE.	ZARALINDE.
Vitte l'eſtonnement, leue les yeux Theage, Ne croy pas noſtre abord de ſi mauuais preLe deſſein de chaſſerta crainte, & ton ſoucy I ſage, Eſt l’vnique ſu jet qui nous ameine icy:	Vite l'étonnement, lève les yeux Thage, Ne crois pas notre abord de si mauvais préLe dessein de chasserta crainte, et ton souci I sage, Est l'Unique su jet qui nous âmeine ici:
L ayverupra uiuin, regarne vene Ecemne, Son extréme bonté te doit tirer de peine, Te deſtacher des fers, toſter de ces priſons, Et pour ton innocence employer ſes raiſons.	L ayverupra uivin, regarne vene Ecemne, Son extrême bonté te doit tirer de peine, Te détacher des fers, tôter de ces prisons, Et pour ton innocence employer ses raisons.
1	1
THEAGE.	THÉGE.
Zaralinde il eſt vray que parmy mes deſaſtres Ie n'euſſe iamais creu qu’on veit icy des aſtres;	Zarantinde il est vrai que parmi mes désastres Je n'eusse jamais cru qu'on vit ici des astres;
Auſſi quand leur eſclat à paru dans ces lieux, Saiſt d’eſtonnement ay-ie baiſſé les yeux:	Aussi quand leur éclat à paru dans ces lieux, Saist d'étonnement ai-je baissé les yeux:
Mais ie reſpire à peine apres tant de merueilles, Qu'vne autre illuſion enchante mes oreilles.	Mais petit respire à peine après tant de merveilles, Qu'une autre illusion enchante mes oreilles.
2.	2.
Et qu'vn charme puiſſant que forment vos diſcours	Et qu'un charme puissant que forment vos discours
HELIONE.	HÉLIONE.
Non non elle n’a pas voſtre oreille abuſée e que fit Ariane autrefois pour Theſée, Ie le feray pour vous s’il ſe peut aujourd’huy Sans pretendre de vous, ce qu’on vouloit de luy.	Non non elle n'a pas votre oreille abusée e que fit Ariane autrefois pour Thesée, Je le ferai pour vous s'il se peut aujourd'hui Sans prétendre de vous, ce qu'on voulait de lui.
Ouy Theage ie veux vous tirer des tenebres, Et uonner à vos jeux des ovſets moms funebres, Ie veux vous rendre Orphiſe & ſon affection, Et de plus vous ſeruir icy de caution.	Oui Thage nom veux vous tirer des ténèbres, Et ouvonner à vos jeux des œuvsets moments funèbres, Je veux vous rendre Orhise et son affection, Et de plus vous servir ici de caution.
THEAGE.	THÉGE.
Eſt-ce pour esprouuer (Princeſſes adorables Si quelque vanite flatte les miſerables?	Est-ce pour éprouver (Princesses adorables Si quelque vanité flatte les misérables?
Où bien ſi dans l’eſtat ou ma reduit le ſort, Ie puis encore auoir l’eſperance du port?	Où bien si dans l'état ou ma réduit le sort, Je puis encore avoir l'espérance du port?
Non nond’vn front eſgal, & d’vn courage ferme, Pattens de mon treſpas le déplorable terme, Ie ne crains pas la mort, carie meurs chaque iour, Mais ie crains en mourant de perdre mon amour.	Non nond'un front égal, et d'un courage ferme, Pattends de mon trépas le déplorable terme, Je ne crains pas la mort, carie meurs chaque jour, Mais grands crains en mourant de perdre mon amour.
HELIONE.	HÉLIONE.
Banniſſez la frayeur qui poſſede voſtre ame Theage ie feray triompher voſtre flame, Et ma gré le pouuoir d’vn riual enuieux, Orphiſe encore vn coup vous charmeru les yeux:	Bannissez la frayeur qui possède votre âme Théage ie ferai triompher votre flamme, Et ma gré le pouvoir d'une rival envieux, Orphise encore un coup vous charmerv les yeux:
D'vn crime ſuppoſe ie feray voſtre gloire, Et d’un triſte eſchaffaut vn beau champs de victoire, Mais nous perdõs du temps, Theage, il faut partir.	D'un crime suppose après ferai votre gloire, Et d'un triste échaffaut un beau champs de victoire, Mais nous perds du temps, Thage, il faut partir.
THEAGE.	THÉGE.
monnoumugoquuouome puomoyen de ſortir, Ce Chaſteau n’a t’il plus de gardes, ny de portes?	monnoumugoquuouome puomoyen de sortir, Ce Château n'a -t-il plus de gardes, une de portes?
ZARALINDE.	ZARALINDE.
Vn charme tout nouueau t’ouurira les plus fortes, Et ie prendray le ſoing de conduire tes pas Hors de ce lab yrinthe ou regne le treſpas, Eſcoute ſeulement ce qu’il faut que tu faſſes Si tu veux que ſeciel finiſſe tes diſgraces.	Un charme tout nouveau t'ouvrira les plus fortes, Et tu prendrai le soin de conduire tes pas Hors de ce b yrinthe ou règne le trépas, Écoute seulement ce qu'il faut que tu fasses Si tu veux que scel finisse tes disgrâces.
THEAGE.	THÉGE.
Ie ſuis preſt d’obeyr à vos commandemens.	Je suis prêt d'obéir à vos commandements.
HELIONE.	HÉLIONE.
Il vous faut deſguiſer ſoubs mes habillemens, Et de peur de donner aux gardes de l’ombrage D’vn voile adroitement vous couurir le viſage;	Il vous faut déguiser sous mes habillements, Et de peur de donner aux gardes de l'ombrage D'un voile adroitement vous couvrir le visage;
Pour moy ſoubs vn habit au voſtre tout pareil Ie veux reſter icy.	Pour moi sous un habit au vôtre tout pareil Je veux rester ici.
THEAGE.	THÉGE.
Quoy c'eſt doncq ceconſeil, Et ce rare ſecours qui doit ſauuer Theage?	Quoi c'est donc ceconseil, Et ce rare secours qui doit sauver Théage?
Ah!	Ah!
diuine Princeſſe il a trop de courage Pour vouloir mandier par vne laſcheté Vne honteuſe vie, ou bien ſa liberté:	divine Princesse il a trop de courage Pour vouloir mandier par une lâcheté V honteuse vie, ou bien sa liberté:
Ce coupable deſſein perdroit mon innocence, Et ma fuitte ſeroit un adueu de l’offence.	Ce coupable dessein perdrait mon innocence, Et ma fuite serait un aveu de l'offense.
ZARALINDE.	ZARALINDE.
Ie te donneray lieu de te iuſtifier, Mais pour vn peu de temps force ce cœur altier, Theage il ne faut point faire icy du rebelle, Lors que l’occaſion ſe preſente ſi belle, Pour euiter l’affront d’vn treſpas rigoureux Il ſied bien quelquefois d’eſtre moins genereux, Tout ce deguiſement cache vn ſecret miſtere, Ceſſe dony de te nenure a luymeſmetontraire, Et ſans plus t'arreſter à cette vanité Ne ſois pas ennemy de ta felicité.	Je te donnerai lieu de te justifier, Mais pour un peu de temps force ce cœur altier, Théage il ne faut point faire ici du rebelle, Lors que l'occasion se présente si belle, Pour éviter l'affront d'un trépas rigoureux Il sied bien quelquefois d'être moins généreux, Tout ce déguisement cache un secret mystère, Cesse donc de te nenure a luymesmetontraire, Et sans plus t'arrêter à cette vanité Ne sois pas ennemi de ta félicité.
THEAG.	THÉAG.
E.	E.
A uuqne von psuucoratue quue uesmiracles Grandes diuinitez ie ſuiuray vos oracles, Et ſans plus eſcouter mes inclinations, Je me feray des loix de vos intentions.	À uuqne von psucoratue qu' uesmiracles Grandes divinités mal suivrand vos oracles, Et sans plus écouter mes inclinations, Je me ferai des lois de vos intentions.
HELIONE.	HÉLIONE.
Vous ne deuez rien craindre en ſuiuant ce belange,	Vous ne devez rien craindre en suivant ce belange,
ZARALINDE.	ZARALINDE.
Ny Ligdamis auſſi ſe plaindre de ce change.	Ni Ligdamis aussi se plaindre de ce change.
SCENE QVATRIEME HERMODORE.	SCÈNE QUATRIÈME HERMODORE.
ARIOMANT.	ARIOMANT.
v Aduouë Ariomant que vous m’auez ſurpris Parce nouueau complot que vous m'auez apris, Ie croyois que le Prince euſt vne ame plus haute Et qu’il ne pouuoit faire vne ſi lourde faute, Mais puis qu'en ſon deuoir il s’eſt tantoublié Ie rompraypientts nauus aon ſontœur eſt lié, Et ie luy feray voir qu'en perdant Helione Iperd en meſme temps leſpoir de ma couronne.	voit Aduouë Ariomant que vous m'avez surpris Parce nomme complot que vous m'avez appris, Je croyais que le Prince eût une âme plus haute Et qu'il ne pouvait faire une si lourde faute, Mais puis qu'en son devoir il s'est tantoublié Je rompraipients navus a sontœur est lié, Et ici ici ferai voir qu'en perdant Hélione Iperd en même temps lespoir de ma couronne.
ARIOMANT.	ARIOMANT.
Ce que ie vous ay dit n'eſt pas pour vous aigrir.	Ce que ici vous ai dit n'est pas pour vous aigrir.
HERMODORE.	HÉRMODORE.
Non:	Non:
Mais Ariomant ie ne ſçaurois ſouffrir Que ce Prince imprudent obſcurciſſe ſa gloiré Par le triſte renom d’une action ſi noire Les remedes tardifs ne ſont tamais puiſſans, On peut donner ſecours à des malheurs naiſſuns, Mais quand ils ont vielly ceſt enuain qu’oneſſayẽ De fermer nettement cette importune pla ye, Il faut donc de bonne heure employer laraiſon	Mais Ariomant ie ne saurais souffrir Que ce Prince imprudent obscurcisse sa gloiré Par le triste renom d'une action si noire Les remèdes tardifs ne sont tamais puissants, On peut donner secours à des malheurs naissuns, Mais quand ils ont vielli cest envain qu'onessaite Ment fermer nettement cette importune pla ie, Il faut donc de bonne heure employer laraison
Rii Pour guerir ſon eſprit de ce ſubtil poiſon Qu'orphiſe par ſes yeux a ietté dans ſon ame Et luy remettre au cœur vne plus noble flame:	Ri Pour guérir son esprit de ce subtil poison Qu'orphise par ses yeux a jeté dans son âme Et lui remettre au cœur une plus noble flamme:
Ie veux que ſon amours accorde à mes deſirs, Que de mes volontez il faſſe ſes plaiſirs Que ſon reſpect paroiſſe en ſon obeïſſance Et que par ſes deuoirs il prouue ſa naiſſance;	Je veux que son amours accorde à mes désirs, Que de mes volontés il fasse ses plaisirs Que son respect paraisse en son obéissance Et que par ses devoirs il prouve sa naissance;
Si l’ingrat me connoiſt pour autheur de ſon ſan Si ma bonté l’amis en ce ſuperbe rang, Où chacun le reſpecte ou tout le monde l’aime Eſt ce pour ſe vouloir oppoſer à moy-meſme, Non non, Ariomant s’il auoit cet orgueil Je ſçay bien le moyen de le mettre au cercueil, S’il veut continuer malgté moy ſon audace Vnplus obeïſſant occupera ſa place, Et ie luy montreray le forçant de ceder Que qui ſçait obeir apprend à commander.	Si l'ingrat me connaît pour auteur de son san Si ma bonté l'amis en ce superbe rang, Où chacun le respecte ou tout le monde l'aime Est ce pour se vouloir opposer à moi-même, Non non, Ariomant s'il avait cet orgueil Je sçay bien le moyen de le mettre au cercueil, S'il veut continuer malgé moi son audace Unplus obéissant occupera sa place, Et ie luy montrerai le forçant de céder Que à m obéir à commander.
ARIOMANT.	ARIOMANT.
Sire cette imprudence eſt vn trait de ieuneſſe Qu'il faut de Ligdamis tirer auec adreſſe, On le peut aiſement guerir de ſa fureur Puis que c’eſt vn enfant qui cauſe ſon erreur, Son ame imprudemment d’vn aueugle guidée S'eſt laißée emporter à la premiere idée, Mais lors que la raiſon eſclairera ſes ſens Ses fers pour l’arreſter deuiendront impuiſſans, Son cœur plus genereux deſaduoüra ſa priſe Ettougiraues ouux quu a fauts puur Oiphiſe.	Sire cette imprudence est un trait de jeunesse Qu'il faut de Ligédamis tirer avec adresse, On le peut aisément guérir de sa fureur Puis que c'est un enfant qui cause son erreur, Son âme imprudemment d'un aveugle guidée S'est laissée emporter à la première idée, Mais lors que la raison éclairera ses sens Es fers pour l'arrêter deviendront impuissants, Son cœur plus généreux desaduoüra sa prise Ettougiraues œux quu a faut puur Ophise.
HERMODORE.	HÉRMODORE.
Ah!	Ah!
ie ne le veux pas ſi doucement traitter L’amour eſt vn enfant qu’il ne faut point flatter, Et qui ne reçoit plus iamais de medecines Quand ſon mal aietté de profondes racines, Le coup eſt dangereux puis qu’il touche le cœur Emf eſchons s’il ſe peut qu’il n’en reſte vainqueur Quand on cognoiſt le mal ce n’eſt pas peu de choſe, On en detruit l’effet quand on oſte la cauſe, Et de plus pour agiren ce malheur preſſant Nous auons vn remede agreable & preſent .	Les ne le veux pas si doucement traiter L'amour est un enfant qu'il ne faut point flatter, Et qui ne reçoit plus jamais de médecines Quand son mal aidé de profondes racines, Le coup est dangereux puis qu'il touche le cœur Em eschons s'il se peut qu'il n'en reste vainqueur Quand on connaît le mal ce n'est pas peu de chose, On en détruit l'effet quand on ôte la cause, Et de plus pour agiren ce malheur pressant Nous avons un remède agréable et présent .
Dés qu’il aura gouſté les attraits d’Helione Et ce charmant eſclat que ſa grace luy donne Auſſi-toſt conſultant ſes yeux & ſa raiſon, Il leur reprochera leur laſche trahiſon, umt pun euepruucure Q muut temcoupuilee Vous verrez, ſon amour reparer ſon offence Mais d’vn ſuperbe pas il s’aduance vers nous Et ie lis dans ſes yeux vn viſible couroux,	Dès qu'il aura goûté les attraits d'Hélione Et ce charmant éclat que sa grâce lui donne Aussitôt consultant ses yeux et sa raison, Il leur reprochera leur lâche trahison, umt pun eueprucure Q muct temcoupuilee Vous verrez, son amour réparer son offense Mais d'un superbe pas il s'avance vers nous Et ie lis dans ses yeux un visible courroux,
SCENE CINQVIESME HERMOD.	SCÈNE CINQUIÈME HERMOD.
ARIOMT LIGD.	ARIOMT LIGD.
& des gardes.	et des gardes.
LIGDAMIS.	LIGDAMIS.
Ire Sire iuſtice Vn perfide porté d’vne noire malice Sans eſgard nyreſpect de perſonne ou de rang S’eſt attaqué Seigneur à voſtre propre ſang, Ouytomtre voſre ſang an acommis untnme Et Ligdamis eſtoit l’innocente victime Qu'on vouloit immolerpar vn mortel poiſon.	Ire Sire justice Un perfide porté d'une noire malice Sans égard nyrespect de personne ou de rang S'est attaqué Seigneur à votre propre sang, Ouitomtre vos sang an acommis untîme Et Ligdamis était l'innocente victime Qu'on voulait immolerpar un mortel poison.
O Dieux!	Ô Dieux!
vane me Meidi.	vane me Midi.
IIENMODORE.	IIENMODORE.
Quel eſt l’autheur de cette trahiſon?	Quel est l'auteur de cette trahison?
LIGDAMIS.	LIGDAMIS.
Anenge a tonſprre cette pornote entrepriſé.	Anenge a tonsprre cette pornote entreprisé.
HERMODORE.	HÉRMODORE.
Ah pluſtoſt (Ligdamis) dites que c’eſt Orphiſe.	Ah plutôt (Ligdamis) dites que c'est Orphise.
LIGDAMIS.	LIGDAMIS.
Ie ne puis accuſercet innocent ohiet.	Je ne puis accusercet innocent ohiét.
HERMODORE.	HÉRMODORE.
Elle a fait toutesfois ce damnable proiet,	Elle a fait toutefois ce damnable proiet,
LIGDAMIS.	LIGDAMIS.
E LIGDAMIS.	E LIGDAMIS.
Dexellepeglai tleo rarncaphrs	Dexellepéglai tleo rarncaphrs
HERMODORE.	HÉRMODORE.
Plus que Theage encor ie la trouue coupable:	Plus que Théage encor ici la trouve coupable:
Carſi l’vn à taſché dempoiſonner le corps, L’autre pour perdre l’ame à fait tous ſes efforts, Et puis voulez vous bien que i’ordonne vn ſupplice Pour vn crime où ie ſsay que vous eſtes complice?	Carsi l'un à tâché dempoisonner le corps, L'autre pour perdre l'âme à fait tous ses efforts, Et puis voulez -vous bien que j'ordonne un supplice Pour un crime où tu sais que vous êtes complice?
Ou Theage peut eſtre à ſeruy ſeulement A la rage d’amour de fatal inſtrument, Orphiſe à ce poiſon à fourny la matiere, Ses yeux de ce malheur ſont la cauſe premiere.	Ou Théage peut être à servi seulement A la rage d'amour de fatal instrument, Orphise à ce poison à fourni la matière, Ses yeux de ce malheur sont la cause première.
Mais vous eſtes entré dans ce laſche party, Et vous auez vous-meſme à vos maux conſenty:	Mais vous êtes entré dans ce lâche parti, Et vous avez vous-même à vos maux consenti:
Suppoſons que Theage ayt conſpiré ce crime, Le voſtre Ligdamis eſt-il plus legitime?	Supposons que Theage ait conspiré ce crime, Le vôtre Igédamis est-il plus légitime?
Et voüs eſt il permis d’oſter à vos ſujets Les beautez que l’amour leur donne pourobiets, Croyez vous pour les voir en vnrãg moins auguſte Que leurreſſentiment ne ſoit pas auſſiiuſte?	Et ès est il permis d'ôter à vos sujets Les beautés que l'amour leur donne pourobjets, Croyez vous pour les voir en un homme auguste Que leurressentiment ne soit pas aussijuste?
Ouy, ouy, Prince ou ſuiet tout eſt indifferend, On ne diſcerne point nyqualite ny rang Soubs le bandeau ſacré que porte la luſtice, Le ſang ne change point la nature du vice, Etcette Deïté peſe d’vn meſme poix Les actions du peuple & celles des grands Roys, Doncques ſi vous voulez, qu’on vous faſſe iuſtice, Commencez le premier cet equitable office, Oſtez de voſtre eſprit cet amoureux poiſon, Et de l’autre mon fils on vous fera raiſon.	Oui, oui, Prince ou sujet tout est indifférend, On ne discerne point nyqualite ni rang Soubs le bandeau sacré que porte la lustice, Le sang ne change point la nature du vice, Écette Deïté pèse d'un même poix Les actions du peuple et celles des grands Rois, Doncques si vous voulez, qu'on vous fasse justice, Commencez le premier cet équitable office, Ôsez , Oo esprit cet amoureux poison, Et de l'autre mon fils on vous fera raison,
Ie confeſſe grand Roy, que mon ame eſt eſpriſe Des rares qualitez qu’on admire en Orphiſé, Et quoy que ma raiſon ayt long-temps combatu, Je ne puis m'empeſcher d’adorer ſa vertu:	Je confesse grand Roi, que mon âme est éprise Des rares qualités qu'on admire en Orphisé, Et quoi que ma raison ait longtemps combattu, Je ne puis m'empêcher d'adorer sa vertu:
Mais pour cette action, Sire, ſuis-ie coupable?	Mais pour cette action, Sire, suis-je coupable?
Eſt-tecontnme d aymerone perſonne aymable?	Est-tecontnme d aimerone personne aimable?
Et Theage a t’il droit de me faire mourir?	Et Thage a -t-il droit de me faire mourir?
Par ce que i’ay rauy ce qu’il veut acquerir.	Par ce que j'ai ravi ce qu'il veut acquérir.
HERMODORE.	HÉRMODORE.
Vn crime Ligdamis n’authoriſe pas l’autre, Et la tache du ſien nefface pas la voſtre:	Un crime Ligédamis n'autorise pas l'autre, Et la tache du sien nefface pas la vôtre:
Theage eſtcriminel, & vous l’eſtes auſſi, Mais rendez ſur ce point mon eſprit eſclaircy.	Thage estcriminel, et vous l'êtes aussi, Mais rendez sur ce point mon esprit éclairci.
Voulez, vous renoncerà l’amour d'Helione?	Voulez, vous renoncerà l'amour d'Hélione?
Hi perure umte jes buna reſperance d’vntrone, Dites, ſi ceſt undroit que vous vouliez ceder, Ce Prince Ligdamis me pourra ſucceder, Et prendre à la faueur d’vn celebre bymenée.	Hi pervre ume s buna respérance d'Hôtrone, Dites, si cette undrait que vous vouliez céder, Ce Prince Ligdamis me pourra succéder, Et prendre à la faveur d'un célèbre bymenée.
Le faix d’vne couronne à vos vœux deſtinée.	Le faix d'une couronne à vos vœux destinée.
ARIOMANT.	ARIOMANT.
Sire, voſtre bonté me fait trop de faueur, Et ie n’aspire pas à cet extréme honneur, Mais ſi vous m’honnoriez, de tant de bienueillance Quede me receuoir dedans voſtre alliance, Ie trouuerois aſſez, dequoy me contenter, Sans qu’au Prince il fallut pour cela rien oſter.	Sire, votre bonté me fait trop de faveur, Et ici n'aspire pas à cet extrême honneur, Mais si vous m'honoriez, de tant de bienveillance Que me recevoir dedans votre alliance, Je trouverais assez, dequoy me contenter, Sans qu'au Prince il fallut pour cela rien ôter.
HERMODORE.	HÉRMODORE.
Ileſt vray qu’vn grand cœur comme on void qu’eſt le voſtre Ne veut pas ſenrichir des miſeres d’vn autre, Le but de ſes deſſeins eſt touſiours genereux Et ſe plaiſt ſeulement à faire des heureux, Si ce noble deſir maintenant vous poſſede, Ie ne m'endeffens point, i’yconſens, & ie cede.	Ilest vrai qu'un grand cœur comme on voit qu'est le vôtre Ne veut pas senrichir des misères d'un autre, Le but de ses desseins est toujours généreux Et se plaît seulement à faire des heureux, Si ce noble désir maintenant vous possède, Je ne m'endeffens point, j'yconsents, et et Madame.
El Carahnde meſme Auorera le ton Q unfouumoitaqueuduuuneuu depicamour;	Él Carahnde même Auorera le ton Q unfouumoitaqueuduuuneuu dépicamour;
Mais vn ſecret deſtin à propos nous la meine.	Mais un secret destin à propos nous la mène.
SCENE SIXIESME HERMOD.	SCÈNE SIXIÈME HÉRMOD.
ARIOM.	ARIOM.
LIGD.	LIGD.
ZARAL.	ZARAL.
ZARALINDE.	ZARALINDE.
parlant à Ligdamis.	parlant à Ligdamis.
H!	H!
mon frere eſt-ce vous?	mon frère est-ce vous?
Dieux que i’eſtois A en peyne!	Dieux que j'étais A en peine!
Vn faux bruit eſpandu par toute la cité	Un faux bruit épandu par toute la cité
Lij M'a fait veninicy d’vn pas precipité;	Lij M'à fait veninici d'un pas précipité;
Pour apprendre du Roy la funeſte àduanture Dont ce peuple ignorant confuſement murmure:	Pour apprendre du Roi la funeste àduanture Dont ce peuple ignorant confusément murmure:
Ondiſoit que Theage eſchappé de priſon D’vn mauuais traittement auoit tiré raiſon, 7 Et d’vn coup merueilleux braüé voſtre puiſſance;	Ondisait que Théage échappé de prison D'un mauvais traitement avait tiré raison, 7 Et d'un coup merveilleux braüé votre puissance;
Mais ces fauces rumeurs n'ont aucune apparence.	Mais ces fauces rumeurs n'ont aucune apparence.
LIGDAMIS.	LIGDAMIS.
Qu’il ſoit encore aux fers ou bienqu’il ny ſoit plus:	Qu'il soit encore aux fers ou bienqu'il ni soit plus:
Tout ce ſoin chere ſœur me ſemble ſuperflus, Puis que ſa Mà jeſté veut eſtre ſon refuge Et ſe rend tout enſemble & protecteur & iuge, Il peut tout entreprendre ayant vn tel appuy, Et la iuſtice meſme eſt ſans foudres pourluy,	Tout ce soin chère sœur me semble superflus, Puis que sa Mà jesté veut être son refuge Et se rend tout ensemble et protecteur et juge, Il peut tout entreprendre ayant un tel appui, Et la justice même est sans foudres pourlui,
HERMODORE.	HÉRMODORE.
L’aueugle paſſion qui touſiours vous tranſporte Vous pouſſe Ligdamis, à parler de la ſorte, Mais ie vout feray voir auant que de partir Que le vice touſiours traine le repentir:	L'aveugle passion qui toujours vous transporte Vous pousse Ligédamis, à parler de la sorte, Mais ainsi vout ferai voir avant que de partir Que le vice toujours traine le repentir:
Que ie ſçay comme il faut punir vne inſolence, Et contre la fureur deffendre l’innocence, Gette animoſité qui manque de reſpect Ne ſert aupres de moyqu u vom renare juſpect, Et i’ay creu que ce crime eſtoit vne impoſture Par la ſeule raiſon de voſtre procedure.	Que était sais comme il faut punir une insolence, Et contre la fureur défendre l'innocence, Gette animosité qui manque de respect Ne sert auprès de moiqu' une vom renare juspect, Et j'ai cru que ce crime était une imposture Par la seule raison de votre procédure.
LLGDAMIS.	LLGDAMIS.
Sire, le cuimc eſttelq une ſe peut mer.	Sire, le cuimc esttelq une se peut mer.
HERMODORE.	HÉRMODORE.
Il faut pour ceteffet ouyrle priſonnier.	Il faut pour ceteffet ouïrle prisonnier.
Gardes, deſpeſchez vous, amenez moy Theage Que ie faſſe ceſſer ou creuercet orage, Le faict eſt important comme il eſt capital, Etce iour luy ſera ſauorabte oujatat:	Gardes, dépêchez -vous, amenez moi Thage Que tu fasse cesser ou crévercet orage, Le fait est important comme il est capital, Éce jour lui sera savorabte oujat:
ependant Ligdamis faites venir Orphiſe.	eupendant Ligédamis faites venir Orphise.
LIGDAMIS.	LIGDAMIS.
Cette belle, Grand Roy, n’eſt pas de l’entrepriſe.	Cette belle, Grand Roi, n'est pas de l'entreprise.
ADIHE PORE.	ADIHE PORE.
Il n’importe, ie veux qu’elle paroiſſe auſſi Commandes promptemim qu'on me t'ameineidy:	Il n'importe, ie veux qu'elle paraisse aussi Commandes promptemim qu'on me t'amène:
LIGDAMIS.	LIGDAMIS.
Fay pourelle ma ſœur cet agreable office.	Fais pourelle ma sœur cet agréable office.
ZARALINDE.	ZARALINDE.
Ie veux bien Ligdamis, luy rendre ce ſeruice, uleſon Il me couſtera moins que ſon affection.	Je veux bien Ligédamis, lui rendre ce service, uleson Il me coûtera moins que son affection.
ERMODORE.	ERMODORE.
C’eſt icy Ligdamis, que voſtre paſſion Par vn ſain iugement doit eſtre moderée Et rendre layaiſon à cuoſtre ame eſgarée,  C’eſtic y, qu’il faut faire eſclattervos vertus ext Sur les coupables meſme à vos pieds abbatus, Et croiré que ſouuent vne adroitte indulgence	C'est ici Ligédamis, que votre passion Par un sain jugement doit être modérée Et rendre layaison à cuotre âme égarée, C'étic y, qu'il faut faire esclattervos vertus ext Sur les coupables même à vos pieds abatus, Et croiré que souvent une adroitte indulgence
L iij Punit mieux les forfaits qu'vne extréme vangeance.	 Lij Unit mieux les forfaits qu'une extrême vengeance.
La cle mence, mon fils, eſt la vertu des Rois, Laiſſe faire aux Tyrans des rigoureuſes loix, Et que cette maxime en ton cœur ſoit empreinte Que l’amour fait regner plus long-temps que la crainte:	La clé menée, mon fils, est la vertu des Rois, Laisse faire aux Tyrans des rigoureuses lois, Et que cette maxime en ton cœur soit empreinte Que l'amour fait régner plus longtemps que la crainte:
Mais Orphiſe paroit, & cẽt objet charmant D'un pãs maieſtueux achance ſon Amant:	Mais Orphise parait, et cient objet charmant D'un pays maitueux achance son Amant:
Momnons a ſes aiſconts vone peule audience.	Momnons à ses aiconts vone peule audience.
SCENE DE PEESME HERM.	SCÈNE DE PESME HERM.
LIGD.	LIGD.
ZARAL.	ZARAL.
ORPHARIONHEL.	ORPHARIONHÉL.
ORPHISE.	ORPHISE.
