L’IMPOSTEUR,	L'IMPOSTEUR,
Gens?	Gens?
Mais ſi d’vn œil benin vous voyez mes hommages, rouiquoy mi’en refuſer d’aſſurez té moignages?	Mais si d'un œil bénin vous voyez mes hommages, rouiquoi m'en refuser d'assurez té moignages?
ELMIRE.	ÉLMIRE.
Mais comment conſentir à ce que vous voulez, Sans offencer le Ciel, dont toûjours vous parlez?	Mais comment consentir à ce que vous voulez, Sans offenser le Ciel, dont toujours vous parlez?
TARTUFFE.	TARTUFFE.
Si ce n’eſt que le Ciel qu’à mes vœux on oppoſe, Leuer vn tel obſtacle, eſt à moy peu de choſe, Et cela ne doit pas retenir voſtre cœur.	Si ce n'est que le Ciel qu'à mes vœux on oppose, Leuer un tel obstacle, est à moi peu de chose, Et cela ne doit pas retenir votre cœur.
ELMIRE.	ÉLMIRE.
Mais des Arreſts du Ciel on nous fait tant de peur.	Mais des Arrêts du Ciel on nous fait tant de peur.
TARTUFFE.	TARTUFFE.
Je puis vous diſſiper ces craintes ridicules, Madame, & je ſçay l’art de leuer les ſcrupules.	Je puis vous dissiper ces craintes ridicules, Madame, et je sais l'art de lèver les scrupules.
Le Ciel de fend, de vray, certains contẽtemẽs;	Le Ciel de fend, de vrai, certains contents;
Cest Mais on trouue auec luy des accommodemens.	Cest Mais on trouve h luy des accommodements.
vn Selon diuers beſoins, il eſt vne Science, Scelerat D’étendre les liens de noſtre conſcience, qui parle.	Un Selon divers besoins, il est une Science, Scélérat D'étendre les liens de notre conscience, qui parle.
Et de rectifier le mal de l’action Auec la pureté de noſtre intention.	Et de rectifier le mal de l'action Avec la pureté de notre intention.
De ces ſecrets, Madame, on ſçaûra vous inſtruire;	De ces secrets, Madame, on sçaûra vous instruire;
Vous n’auez ſeulement qu’à vous laiſſer conduire.	Vous n'avez seulement qu'à vous laisser conduire.
Contentez mon deſir, & n’ayez point d’effroy, Je vous répons de tout, & prens le mal ſur moy.	Contentez mon désir, et n'ayez point d'effroi, Je vous réponds de tout, et prends le mal sur moi.
Vous touſſez fort, Madame.	Vous toussez fort, Madame.
ELMIRE.	ÉLMIRE.
Oüy, je ſuis au ſuplice.	Oui, je suis au suplice.
TARTUFFE.	TARTUFFE.
Vous plaiſt-il vn morceau de ce jus de Regliſſe?	Vous plaît-il un morceau de ce jus de Reglisse?
ELMIRE.	ÉLMIRE.
C’eit vn mhume obitine, lans doute, & je voy bien Que tous les jus du Monde, icy, ne feront rien.	C'éit un mhume obitine, lans doute, et je vois bien Que tous les jus du Monde, ici, ne feront rien.
TARTUFFE.	TARTUFFE.
Cela, certe, eſt fâcheux.	Cela, certe, est fâcheux.
ELMIRF.	ÉLMIRF.
Oüy, plus qu’on ne peut dire.	Oui, plus qu'on ne peut dire.
TARTUFFE.	TARTUFFE.
Enfin voſtre ſcrupule eſt facile à détruire, Vous eſtes aſſurée icy d’vn plein ſecret, Et le mal n’eſt jamais que dans l’éclat qu’on fait.	Enfin votre scrupule est facile à détruire, Vous êtes assurée ici d'un plein secret, Et le mal n'est jamais que dans l'éclat qu'on fait.
Le ſcandale du monde, eſt ce qui fait l’offence;	Le scandale du monde, est ce qui fait l'offense;
Et ce n’eſt pas pécher, que pécher en ſilence,	Et ce n'est pas pécher, que pécher en silence,
ELMIRE.	ÉLMIRE.
Apres auoir encor toussé.	Apres avoir encor toussé.
Enfin je voy qu’il faut ſe réſoudre à ceder, Qu’il faut que je conſente à vous tout accorder;	Enfin je vois qu'il faut se résoudre à céder, Qu'il faut que je consente à vous tout accorder;
Et qu’à moins de cela.	Et qu'à moins de cela.
je ne deis point prétendre Qu'on puiſſe eſtre content, & qu'õ veuille ſe rẽdre.	je ne devis point prétendre Qu'on puisse été content, et qu'en veuille se rendre.
Sans doute, il eſt fâcheux d’en venir juſques-là, Et c’eſt bien malgré moy, que je franchis cela:	Sans doute, il est fâcheux d'en venir jusque-là, Et c'est bien malgré moi, que je franchis cela:
Mais puis que l’on s’obſtine à m'y vouloir reduire, l'uis qu’on ne veut point croire à tout ce qu’on peut dire, Et qu’on veut des té moins qui ſoient plus conuainquans, Il faut bien s’y feloudre, ce contenter ſes Gens.	Mais puis que l'on s'obstine à m'y vouloir réduire, l'uis qu'on ne veut point croire à tout ce qu'on peut dire, Et qu'on veut des té moins qui soient plus conuainquans, Il faut bien s'y féloudre, ce contenter ses Gens.
Si ce conſentement porte en ſoy quelque offence, Tant-pis pour qui me force à cette violence;	Si ce consentement porte en soi quelque offense, Tant-pis pour qui me force à cette violence;
La faute aſſuré ment n’en doit pas eſtre à moy.	La faute assuré ment n'en doit pas être à moi.
TARTUFFE.	TARTUFFE.
Ouy, Madame, on s’en charge, & la choſe de ſoy.	Oui, Madame, on s'en charge, et la chose de soi.
ELMIRE.	ÉLMIRE.
Ouurez vn peu la Porte, & voyez, je vous prie, Si mon Mary n’eſt point dans cet te Galerie;	Ouvrez un peu la Porte, et voyez, je vous prie, Si mon Mari n'est point dans cet te Galerie;
TAR	TAR
TARTUFFE.	TARTUFFE.
Qu’eſt-il beſoin pour luy, du ſoin que vous prenez?	Qu'est-il besoin pour venir, du soin que vous prenez?
C’eſt un Homme, entre nous, à mener par le nez.	C'est un Homme, entre nous, à mener par le nez.
De tous nos entretiens, nl ent pour rarſe gloire, Et je l’ay mis au poinct de voir tout, ſans rien croiELMIRE.	De tous nos entretiens, nl ent pour rarse gloire, Et je l'ai mis au point de voir tout, sans rien croiELMIRE.
re.	re.
Il n’importe, ſortez, je vous prie, un moment, Et par tout, là-dehors, voyez exactement.	Il n'importe, sortez, je vous prie, un moment, Et par tout, là-dehors, voyez exactement.
ELMIRE.	ÉLMIRE.
Gens.	Gens.
quoy.	quoi.
vons fortez netort.	vons sortez netort.
vous vous inoquez des Ren rez ſous le Tapis, il n’eſt pas encor temps;	vous vous inoquez des Ren rez sous le Tapis, il n'est pas encor temps;
Attendez juſqu’au bout, pour voir les choſes ſûres.	Attendez jusqu'au bout, pour voir les choses sûres.
Et ne vous fiez point aux ſimples conjectures.	Et ne vous fiez point aux simples conjectures.
ORGON.	ORGON.
Non, rien de plus méchant n’eſt ſorty de l’Enfer.	Non, rien de plus méchant n'est sorti de l'Enfer.
ELMIRE.	ÉLMIRE.
mon biea, roine doit point croire trop de leger:	mon biea, roine doit point croire trop de léger:
Laiſſez-vous bien cenvaincre, avant que de vous rendre, Et ne vous haſtez point, de peur de vous méprẽdre Elle fait mettre ſon Mary derriere elle.	Laissez-vous bien cenvainre, avant que de vous rendre, Et ne vous hâtez point, de peur de vous montre Elle fait mettre son Mari derrière elle.
SCENE VII.	SCÈNE VII.
TARTUFFE, ELMIRE, ORGON.	TARTUFFE, ÉLMIRE, ORGON.
TARTUFFE.	TARTUFFE.
Out conſpire, Madame, à mon contentement;	Out conspire, Madame, à mon contentement;
I’ay viſité, de l’œil, tout cet appar ement, Perſonne ne s’y trouve, & mon ame ravie.	J'ai visité, de l'œil, tout cet appar ement, Personne ne s'y trouve, et mon âme ravie.
ORGON en l'arrestant.	ORGON en l'arrêtant.
vie, Tout deux, vous ſuiuez trop voſtre amoureuſe enEt vous ne deuez pas vous tant paſſionner.	vie, Tout deux, vous suivez trop votre amoureuse enEt vous ne devez pas vous tant passionner.
Ah, ah, l’Hõme de bien, vous m’en voulez donner!	Ah, ah, l'Homme de bien, vous m'en voulez donner!
Comme aux tentations s’abandonne voſtre ame!	Comme aux tentations s'abandonne votre âme!
Vous épouſiez ma Fille, & conuoitiez ma Femme!	Vous épousiez ma Fille, et convoitiez ma Femme!
J'ay douté fort longtemps, que ce fuſt tout de bonEt je cr yois toûjours qu’on changeroit de ton:	J'ai douté fort longtemps, que ce fût tout de bonEt je cr ois toujours qu'on changerait de ton:
Mais c’eſt aſſez uant pouſſer le té moignage, Je m’y tiens, & n’en veux pour moy pas dauantage.	Mais c'est assez uant pousser le té moignage, Je m'y tiens, et n'en veux pour moi pas davantage.
EEuReDr Tartuffe.	EEuReDr Tartuffe.
C’eſt contre mon humeur, que j’ay fait tout cecy;	C'est contre mon humeur, que j'ai fait tout ceci;
Mais on m’a miſe au poinct de vous traiter ainſy.	Mais on m'a mise au point de vous traiter ains.
TARTUFFE.	TARTUFFE.
Quoy!	Quoi!
vous croyez.	vous croyez.
ORGON.	ORGON.
Aillon, portit de bruit, ſe vous prie;	Aillon, portit de bruit, se vous prie;
Dénichons de ceans, & ſans ceremonie.	Denichons de céans, et sans cérémonie.
Mon deſſein.	Mon dessein.
TARTUFFE.	TARTUFFE.
ORGON.	ORGON.
Ces diſcours ne ſont plus de ſaiſon, Il faut, tout ſur le champ, ſortir de la Maiſon.	Ces discours ne sont plus de saison, Il faut, tout sur le champ, sortir de la Maison.
TARTUFFE.	TARTUFFE.
C’eſt à vous d’en ſortir, vous qui parlez en Maiſtre.	C'est à vous d'en sortir, vous qui parlez en Maître.
La Maiſon m’appartient, je le feray connaiſtre, Et vous montreray bien quen vain on a recours, Pour me chercher querelle, à ces lâches détours;	La Maison m'appartient, je le ferai connaître, Et vous montrerai bien quen vain on a recours, Pour me chercher querelle, à ces lâches détours;
Qu'on n'eſt pas où l’on penſe, en me faiſant injure;	Qu'on n'est pas où l'on pense, en me faisant injure;
Que j’ay dequoy confondre, & punir l’impoſture, Vanger le Ciel qu’on bleſſe, & faire repentir Ceux qui parlent icy de me faire ſortir.	Que j'ai dequoy confondre, et punir l'imposture, Venger le Ciel qu'on blesse, et faire repentir Ceux qui parlent ici de me faire sortir.
SCENE VIII.	SCÈNE VIII.
ELMIRE, ORGON.	ÉLMIRE, ORGON.
ELMIRE.	ÉLMIRE.
Uel eſt donc ce langage, & qu’eſt-ce qu’il - veut dire?	Oùel est donc ce langage, et qu'est-ce qu'il - est dire?
OR	OR
ORGON.	ORGON.
Ma foy, je ſuis confus, & n’ay pas lieu de rire.	Ma foi, je suis confus, et n'ai pas lieu de rire.
Comment?	Comment?
ELMIRE.	ÉLMIRE.
ORGON.	ORGON.
Ie voy ma faute, aux choſes qu’il me dit, Et la donation m’embaraſſe l’eſprit.	Je vois ma faute, aux choses qu'il me dit, Et la donation m'embarrasse l'esprit.
La donation.	La donation.
ELMIRE.	ÉLMIRE.
ORGON.	ORGON.
Ouy, c’eſt une affaire faite;	Oui, c'est une affaire faite;
Maisj ay queiqu'aurle enoſe encor qui nl’inquiete.	Maisj ai queiqu'aurle enose encor qui n'inquiète.
Et quoy?	Et quoi?
ELMIRE.	ÉLMIRE.
ORGON.	ORGON.
Vous ſçaurez tout:	Vous saurez tout:
Mais voyons au plutoſt, Srcertame ouno icert enebre là-haut.	Mais voyons au plutôt, Srcertame ouno icert enebre là-haut.
Fin du Quatrième Acte.	Fin du Quatrième Acte.
V.	V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ORGON, CLEANTE.	ORGON, CLEANTE.
CLEANTE.	CLÉANTE.
U voulez-vous courir?	V voulez-vous courir?
ORGON.	ORGON.
Las!	Las!
que ſçay-je?	que sais-je?
O CLEANTE.	Ô CLEANTE.
Il me ſemble que l'on doit commencer par conſulter enſemble, nes enoies qu'on peut faire en cet évenement.	Il me semble que l'on doit commencer par consulter ensemble, nés enoies qu'on peut faire en cet événement.
ORGON.	ORGON.
Cette Caſſette-là me trouble entierement.	Cette Cassette-là me trouble entièrement.
Plus que le reſte encor, elle me deſeſpere.	Plus que le reste encor, elle me désespère.
CLEANTE.	CLÉANTE.
Cette Caſſette eſt donc un important myſtere?	Cette Cassette est donc un important mystère?
OR	OR
ORGON.	ORGON.
C'eſt un dépoſt qu’Argas, cet Amy que je plains, Luy-meſme, en grand ſecret, m’a mis ẽtre les mains Pour cela, dans ſa fuite, il me voulut élire;	C'est un dépôt qu'Argas, cet Ami que je plains, Lui-même, en grand secret, m'a mis endre les mains Pour cela, dans sa fuite, il me voulut élire;
Etce lont des papiers, à ce quiima pu dire, Où ſa vie, & ſes biens, ſe trouvent attachez.	Etce lont des papiers, à ce quiima pu dire, Où sa vie, et ses biens, se trouvent attachés.
CLEANTE.	CLÉANTE.
Pourquoy donc les avoir en d’autres mains lâchez?	Pourquoi donc les avoir en d'autres mains lâchés?
ORGON.	ORGON.
Ce fut par un motif de Cas de Conſcience.	Ce fut par un motif de Cas de Conscience.
I'allay droit à mon Traiſtre en ſaire confidence, Et ſon raiſonnement me vint perſuader De luy donner plutoſt la Caſſette à garder;	J'allai droit à mon Traître en zaïre confidence, Et son raisonnement me vint persuader De lui donner plutôt la Cassette à garder;
Afin que pour nier, en cas de quelque enqueſte, I'euſſe d’un faux-fuyant, la ſaveur toute preſte, Par où ma conſcience euſt pleine ſeureté A faire des ſermens contre la verité.	Afin que pour nier, en cas de quelque enquête, J'eusse d'un faux-fuyant, la saveur toute prête, Par où ma conscience eût pleine sûreté À faire des serments contre la vérité.
CLEANTE.	CLÉANTE.
Vous voila mal, au moins ſi j’en croy l’aparence, Et la donation, & cette confidence, Sont, à vous en parler ſelon mon ſentiment, Des démarches, par vous, faites legerement.	Vous voilà mal, au moins si j'en crois l'apparence, Et la donation, et cette confidence, Sont, à vous en parler selon mon sentiment, Des démarches, par vous, faites légèrement.
On peut vous mener loin avec de pareils gages, Et cet Homme, ſur vous, ayant ces avantages, Le pouſſer eſt encor grande imprudence a vous, Et vous deviez chercher quelque biais plus dous.	On peut vous mener loin avec de pareils gages, Et cet Homme, sur vous, ayant ces avantages, Le pousser est encor grande imprudence à vous, Et vous deviez chercher quelque biais plus dous.
ORGON.	ORGON.
chante, Quoy!	chante, Quoi!
ſous un beau ſemblant de ferveur ſi totCacher un cœur ſi double, une ame ſi méchante?	sous un beau semblant de ferveur si totCacher un cœur si double, une âme si méchante?
Et moy qui l’ay reçeu gueuſant, & n’ayant rien.	Et moi qui l'ai reçu gueusant, et n'ayant rien.
C’en eſt fait, je renonce à tous les Gens de bien.	C'en est fait, je renonce à tous les Gens de bien.
I'en auray delormais une horreur effroyable, Et m’en vais devenir, pour eux, pire qu’un Diable	J'en aurai délormais une horreur effroyable, Et m'en vais devenir, pour eux, pire qu'un Diable
CLEANTE.	CLÉANTE.
Hé bien, ne voila pas de vos emportemens!	Hé bien, ne voilà pas de vos emportements!
Vous ne gardez en rien les doux tempé ramens.	Vous ne gardez en rien les doux tempé ramends.
Dans la droite raiſon, jamais n’entre la voſtre;	Dans la droite raison, jamais n'entre la vôtre;
tre Et toûjours, d’un exces, vous vous jettez dans l’auVous voyez voſtre erreur, & vous avez connu, Que par vn zele feint vous eſtiez pre uenu :	tre Et toujours, d'un excès, vous vous jetez dans l'auVous voyez votre erreur, et vous avez connu, Que par un zèle feint vous étiez pré venu :
Mais pour vous corriger, quelle raiſon demande Que vous alliez paſſer dans vne erreur plus grande, Et qu’auecque le cœur d’vn perfide Vaurien.	Mais pour vous corriger, quelle raison demande Que vous alliez passer dans une erreur plus grande, Et qu'avec le cœur d'un perfide Vaurien.
Vous cõfondiez les cœurs de tous les Gens de bië?	Vous confondiez les cœurs de tous les Gens de biène?
Quoy!	Quoi!
parce qu’vn fripon vous dupe avec audace, Sous le pompeux éclat d'vne auſtere grimace, Vous voulez que par tout on ſoit fait comme luy, Et qu’aucun vray Deuot ne ſe trouue aujourd’huy?	parce qu'un fripon vous dupe avec audace, Sous le pompeux éclat d'une austère grimace, Vous voulez que par tout on soit fait comme lui, Et qu'aucun vrai Dévot ne se trouve aujourd'hui?
Laiſſez aux Libertins ces ſottes conſequences, Démeſlez la Vertu d’auec ſes apparences, Ne hazardez jamais voſtre eſtime trop toſt, Et ſoyez, pour cela, dans le milieu qu’il faut.	Laissez aux Libertins ces sottes conséquences, Démeslez la Vertu d'avec ses apparences, Ne hasardez jamais votre estime trop tôt, Et soyez, pour cela, dans le milieu qu'il faut.
Gardez-vous, s’il ſe peut, d’honorer l’Impoſture:	Gardez-vous, s'il se peut, d'honorer l'Imposture:
Mais au vray zele auſſi n’allez pas faire injure;	Mais au vrai zèle aussi n'allez pas faire injure;
Et s’il vous faut tomber dans vne extremité, Péchez plutoſt encor de cet autre coſté.	Et s'il vous faut tomber dans une extrémité, Péchez plutôt encor de cet autre côté.
SCENE II.	SCÈNE II.
DAMIS, ORGON, CLEANTE.	DAMIS, ORGON, CLEANTE.
DAMIS.	DAMIS.
Jvoj.	Juoj.
monrere, entun taay qura Cequin vous  menace?	monre, entun taai qura Cequin vous menace?
ce, Qu’il n’en point de bienfait qu’en ion ame il n’effaEt que ſon lâche orgueil, trop digne de courrous, Se fait, de vos bontez, des armes contre vous?	ce, Qu'il n'en point de bienfait qu'en ion âme il n'effaét que son lâche orgueil, trop digne de courrous, Se fait, de vos bontés, des armes contre vous?
ORGON.	ORGON.
Oüy, mon Fils, & j’en ſens des douleurs nompaDAMIS.	Oui, mon Fils, et j'en sens des douleurs nompaDAMIS.
reilſes.	reilses.
Laiſſez-moy, je luy veux couper les deux oreilles.	Laissez-moi, je lui veux couper les deux oreilles.
Contre ſon inſolence, on ne doit point gauchir.	Contre son insolence, on ne doit point gauchir.
C’eſt à moy, tout d’vn coup, de vous en affranchir;	C'est à moi, tout d'un coup, de vous en affranchir;
Et pour ſortir d’affaire, il faut que je l’aſſomme.	Et pour sortir d'affaire, il faut que je l'assomme.
CLEANTE.	CLÉANTE.
Voila, tout juſtement, parler en vray jeune Hõme.	Voilà, tout justement, parler en vrai jeune Homme.
Moderez, s’il vous plaiſt, ces tranſports éclatans;	Modérez, s'il vous plaît, ces transports éclatants;
Nous viuõs ſous vn regne, & ſommes dans vn tẽps, Où, par la violence, on fait mal ſes aſſaires.	Nous vivons sous un règne, et sommes dans un temps, Où, par la violence, on fait mal ses assaires.
SCE.	SCE.
SCENE III.	SCÈNE III.
MADAME PERNELLE, MARIANE.	MADAME PERNELLE, MARIANE.
ELMIRE, DORINE, DAMIS, ORGON, CLEANTE.	ÉLMIRE, DORINE, DAMIS, ORGON, CLEANTE.
ORGON.	ORGON.
moins, Ce ſont des nouueautez dont mes yeux ſont téEt vous voyez le prix dont ſont payez mes ſoins.	moins, Ce sont des nouveautés dont mes yeux sont téEt vous voyez le prix dont sont payés mes soins.
Je recüeille, auec zele, vn Homme en ſa miſere, Je le loge, & le tiens comme mon propre Frere;	Je recueille, avec zèle, un Homme en sa misère, Je le loge, et le tiens comme mon propre Frere;
De bienfaits, chaque jour, il eſt par moy chargé.	De bienfaits, chaque jour, il est par moi chargé.
Jeluy donne ma Fille, & tout le bien que j’ay;	Jelui donne ma Fille, et tout le bien que j'ai;
Et dans le meſme temps, le Perfide, l’Infame, Tente le noir deſſein de ſuborner ma Femme;	Et dans le même temps, le Perfide, l'Infâme, Tente le noir dessein de suborner ma Femme;
Et non content encor de ces lâches eſſais, Il m’oſe menacer de mes propres bienfaits, Et veut, à ma ruine, uſer des auantages (ges, Dont le viennent d’armer mes bontez trop peu ſaMe chaſſer de mes biens où je l’ay transferé, Et me reduire au poinct d’où je l’ay retiré.	Et non content encor de ces lâches essais, Il m'ose menacer de mes propres bienfaits, Et veut, à ma ruine, user des avantages (ges, Dont le viennent d'armer mes bontés trop peu sa chasser de mes biens où je l'ai transféré, Et me réduire au point d'où je l'ai retiré.
DORINE.	DORINE.
Le pauure Homme!	Le pauvre Homme!
M.	M.
PERNELLE.	PERNELLE.
Mon Fils, je ne puis du tout croire Qu’il ait voulu commettre une action ſi noire.	Mon Fils, je ne puis du tout croire Qu'il ait voulu commettre une action si noire.
Comiſent.	Comisent.
ORGON.	ORGON.
M.	M.
PERNELLE.	PERNELLE.
Les Gens de bien ſont enviez toûjours.	Les Gens de bien sont enviés toujours.
ORGON.	ORGON.
Que voulez-vous donc dire auec voſtre diſcours, Ma Mere?	Que voulez-vous donc dire A h discours, Ma Mère?
M.	M.
PERNELLE.	PERNELLE.
Que chez vous on vit d’étrange ſorte, Etqu’on ne ſçait que trop la haine qu’on luy porte.	Que chez vous on vit d'étrange sorte, Etqu'on ne sait que trop la haine qu'on lui porte.
ORGON.	ORGON.
Qu’a cette haine à faire avec ce qu’on vous dit?	Qu'a cette haine à faire avec ce qu'on vous dit?
M.	M.
PERNELLE.	PERNELLE.
Je vous l’ay dit cent fois, quand vous eſtiez petit.	Je vous l'ai dit cent fois, quand vous étiez petit.
na veitu, dans le Monde, ent toujouis pourſuivie;	na vitu, dans le Monde, ent toujouis poursuivie;
Les envieux mourront, mais non jamais l’Envie.	Les envieux mourront, mais non jamais l'Envie.
ORGON.	ORGON.
Mais que fait ce diſcours aux choſes d’aujourd’huy?	Mais que fait ce discours aux choses d'aujourd'hui?
M.	M.
PERNELLE.	PERNELLE.
on tous aula loige centtomcontes de luy.	on tous aula loige centtomcontes de lui.
ORGON.	ORGON.
Je vous ay dit deja, que j’ay veu tout moy-meſme.	Je vous ai dit déjà, que j'ai vu tout moi-même.
M.	M.
PERNELLE.	PERNELLE.
Des Eſprits mé diſans, la malice eſt extréme.	Des Esprits mé disants, la malice est extrême.
ORGON.	ORGON.
Vous me feriez damner, ma Mere!	Vous me feriez damner, ma Mère!
Je vous dy, que jay tou domuajeuns uis cimmommardy.	Je vous dis, que jay tou domuajeuns uis cimmommardy.
M.	M.
PERNELLE.	PERNELLE.
Les langues ont toûjours du venin à répandre;	Les langues ont toujours du venin à répandre;
Et rien n’eſt, icy-bas, qui s’en puiſſe défendre.	Et rien n'est, ici-bas, qui s'en puisse défendre.
ORGON.	ORGON.
C’eſt tenir un propos de ſens bien depourveu !	C'est tenir un propos de sens bien dépourvu !
Je l’ay veu, dis-je, veu, de mes propres yeux veu, Ce qu'on appene reur raut-il vous le rebattre Aux oreilles cent fois, & crier comme quatre?	Je l'ai vu, dis-je, vu, de mes propres yeux vu, Ce qu'on appène re raut-il vous le rebattre Aux oreilles cent fois, et crier comme quatre?
M.	M.
FERNELLE.	FERNELLE.
Mon Dieu, le plus ſouvent, l’apparence décoit.	Mon Dieu, le plus souvent, l'apparence décoit.
Il ne faut pas toûjours juger ſur ce qu’on voit.	Il ne faut pas toujours juger sur ce qu'on voit.
J’enrage.	J'enrage.
ORGON.	ORGON.
M LERREREE.	M LERREREE.
Aux faux ſoupçons la Nature eſt ſujette;	Aux faux soupçons la Nature est sujette;
Et c’eſt ſouvent à mal, que le bien s’interprete.	Et c'est souvent à mal, que le bien s'interprète.
ORGON.	ORGON.
Ie dois interpreter à charitable ſoin, Le deſir d’embraſſer ma Femme?	Je dois interpréter à charitable soin, Le désir d'embrasser ma Femme?
M.	M.
PERNELLE.	PERNELLE.
Il eſt beſoin, Pour accuſer les Gens, d’avoir de juſtes cauſes, Et vous deviez attendre à vous voir ſeur des cho	Il est besoin, Pour accuser les Gens, d'avoir de justes causes, Et vous deviez attendre à vous voir sûr des cho
ORGON.	ORGON.
ſes.	ses.
Hé, diantre, le moyen de m’en aſſurer mieux?	Hé, diantre, le moyen de m'en assurer mieux?
le uerois dont, iia mere, attendie qu’a mes yeux Il euſt.	le uerois dont, jia mère, attendie qu'a mes yeux Il eût.
Vous me feriez dire quelque ſortiſe,	Vous me feriez dire quelque sortise,
M.	M.
PERNELLE.	PERNELLE.
Enfin d.	Enfin d.
un trop pur zele on voit ſon ame épriſe, Etje ne puis du tout me mettre dans l’éſprit, Qu’il ait voulu tenter les choſes que l’on dit.	un trop pur zèle on voit son âme éprise, Etje ne puis du tout me mettre dans l'esprit, Qu'il ait voulu tenter les choses que l'on dit.
Cncels.	Cncels.
Allez.	Allez.
Ie ne ſçay pas, ſi vous n’eſtiez ma Mere, Ce que je vous dirois, tant je ſuis en colere.	Je ne sais pas, si vous n'étiez ma Mère, Ce que je vous dirais, tant je suis en colère.
DORINE.	DORINE.
Iuſte retour, Monſieur, des choſes d’icy-bas.	Juste retour, Monsieur, des choses d'ici-bas.
Vous ne vouliez point croire, & l’on ne vous croit CLEANTE.	Vous ne vouliez point croire, et l'on ne vous croit CLEANTE.
pas.	pas.
Nous perdons des momens, en bagatelles pures,	Nous perdons des moments, en bagatelles pures,
Qu illaudront employer à prendre des ineſures.	Quel illaudront employer à prendre des inesures.
Aux menaces du Fourbe, on doit ne dormir point.	Aux menaces du Fourbe, on doit ne dormir point.
DAMIS.	DAMIS.
Quoy!	Quoi!
ſon effronterie iroitjuſqu’à ce poinct?	son effronterie iraitjusqu'à ce point?
ELMIRE.	ÉLMIRE.
Pour moy, je ne croy pas cette inſtance poſſible, Et ſon ingratitude eſt icy trop viſible.	Pour moi, je ne crois pas cette instance possible, Et son ingratitude est ici trop visible.
CLEANTE.	CLÉANTE.
Ne vous y fiez pas, il aura des reſſorts, Pour donner, contre vous, raiſon à ſes efforts;	Ne vous y fiez pas, il aura des ressorts, Pour donner, contre vous, raison à ses efforts;
Et ſur moins que cela, le poids d’une Cabale Embaraſſe les Gens dans un fâcheux Dédale.	Et sur moins que cela, le poids d'une Cabale Embarrasse les Gens dans un fâcheux Dédale.
Je vous le dis encor, armé de ce qu’il a, Vous me deviez jamais le pouſſer juſques-là.	Je vous le dis encor, armé de ce qu'il a, Vous me deviez jamais le pousser jusques-là.
ORGON.	ORGON.
ſtre, Il eſt vray, mais qu’y faire?	stre, Il est vrai, mais qu'y faire?
A l'orgueil de ce TraiDe mes reſſentimens je n’ay pas eſté maiſtre.	À l'orgueil de ce TraiDe mes ressentiments je n'ai pas été maître.
CLEANTE.	CLÉANTE.
deux,	deux,
Ie voudrois de bon cœur, qu'on puſt entre vous De quelque ombre de paix, racommoder les nœus.	Je voudrais de bon cœur, qu'on pût entre vous De quelque ombre de paix, racommoder les nœus.
ELMIRE.	ÉLMIRE.
Si j’avois ſçeu qu’en main il a de telles armes, Ie n’aurois pas donné mariere à tant d’alarmes, Et mes.	Si j'avais su qu'en main il a de telles armes, Je n'aurais pas donné marière à tant d'alarmes, Et mes.
ORGON.	ORGON.
Que veut cet Homme?	Que veut cet Homme?
Allez toſt le ſçavoir;	Allez tôt le savoir;
Ie ſuis bien en eſtat que l’on me vienne voir.	Je suis bien en état que l'on me vienne voir.
SCENE IV.	SCÈNE IV.
MONSIEUR LOYAL, M.	MONSIEUR LOYAL, M.
PERNELLE, ORGON, DAMIS, MARIANE, DORINE, ELMIRE, CLEANTE.	PERNELLE, ORGON, DAMIS, MARIANE, DORINE, ELMIRE, CLÉANTE.
M.	M.
LOYAL.	LOYAL.
on-jour, ma chere Sœur.	on -jour, ma chère Sœur.
Faites, je vous ſuplie, Dque je parle à Monſieur.	Faites, je vous suplie, Dque je parle à Monsieur.
DORINE.	DORINE.
Il eſt en compagnie, Et je doute qu’il puiſſe, à preſent, voir quelqu'un	Il est en compagnie, Et je doute qu'il puisse, à présent, voir quelqu'un
M.	M.
LOYAL.	LOYAL.
Ie ne ſuis pas pour eſtre, en ces lieux, importunMon abord n’aura rien, je croy, qui luy déplaiſe, Et je viens pour un fait dont il ſera bien aiſe.	Je ne suis pas pour être, en ces lieux, importunMon abord n'aura rien, je crois, qui lui déplaise, Et je viens pour un fait dont il sera bien aise.
DORINE.	DORINE.
Voſtre nom?	Votre nom?
M.	M.
LOYAL.	LOYAL.
Dites-luy ſeulement que je vien De la part de Momeur Partune, pour dun bien.	Dites-lui seulement que je vien De la part de Momeur Partune, pour dun bien.
DORINE.	DORINE.
C’eſt un Homme qui vient, avet douct maniere, De la part de Monſieur Tartuffe, pour affaire, Dont vous ſerez, dit-il bien aiſe.	C'est un Homme qui vient, avet douct manière, De la part de Monsieur Tartuffe, pour affaire, Dont vous serez, dit-il bien aise.
CLEANTE.	CLÉANTE.
Il vous fait voir.	Il vous fait voir.
Ce que c'eſt que cet Homme, & ce qu’il peut vou(loir.	Ce que c'est que cet Homme, et ce qu'il peut vouloir.
O Nuone.	Ô Nuone.
Pour nous racommoder, il vient icy, peut-eſtre.	Pour nous racommoder, il vient ici, peut-être.
Quels ſentimens auray-je à luy faire pareltre?	Quels sentiments aurai-je à lui faire pareltre?
