DE TVRENNE.	DE TURENNE.
Cent vaiſſeaux que i’ay mis depuis peu dans vos rades, Malgré l'effort des flots, en dépit des pleyades, Vous enleuront ſans feinte au païs bienheureux, Où l'on a tout conforme & propice à ſes vœux.	Cent vaisseaux que j'ai mis depuis peu dans vos rades, Malgré l'effort des flots, en dépit des pléiades, Vous enleuront sans feinte au pays bienheureux, Où l'on a tout conforme et propice à ses vœux.
SEBASTE.	SÉBASTE.
Ce conſeil ſeroit bon pour vne ame timide;	Ce conseil serait bon pour une âme timide;
Mais la Reyne cent fois plus vaillante qu’Alcide, Verroit deſſus ſa teſte ébranler tous les Cieux, P'uſtoſt qu’abandonner à ce monſtre odieux, Son peuple dõt la faute & tout le plus grãd crime Eſt d’auoir ſes vertus dans la derniere eſtime;	Mais la Reine cent fois plus vaillante qu'Alcide, Verrait dessus sa tête ébranler tous les Cieux, P'ustost qu'abandonner à ce monstre odieux, Son peuple dont la faute et tout le plus grande crime Est d'avoir ses vertus dans la dernière estime;
Mais pour mieux m’expliquer ſur ces euenemẽs Ie tiens qu’il faut brauer tous ces reſſentimens Et montrer à vos Dieux que c’eſt auec juſtice Qu’on vous a deſtiné l'honneur du ſacrifice:	Mais pour mieux m'expliquer sur ces événements Je tiens qu'il faut braver tous ces ressentiments Et montrer à vos Dieux que c'est avec justice Qu'on vous a destiné l'honneur du sacrifice:
Que tout cét Vniuers doit fléchir deuaut vous, me que e ert lans ianon qu ns s en rendet jaloux	Que tout cet Univers doit fléchir devaut vous, me que e ert lans janon qu' s s en rendet jaloux
MAXIME.	MAXIME.
Seigneur, vous donnez trop au feu qui vous conſomme, node rouien lane ley toue de memme qu’a Rome, Quand Diocletian, le peuple & le Senat.	Seigneur, vous donnez trop au feu qui vous consomme, node rouien lane ley toue de memme qu'a Rome, Quand Diocletian, le peuple et le Sénat.
SOLIMENE.	SOLIMENE.
Seigneur, il n'eſt ſaiſon que de ſeruir l'Eſtat, Dãs ce preſſant malheur où ſon deſtin le plonge	Seigneur, il n'est saison que de servir l'État, Dans ce pressant malheur où son destin le plonge
MAXIME.	MAXIME.
Il parle de nos Dieux cõme on feroit d’vn ſonge	Il parle de nos Dieux comme on ferait d'vn songe
SEBASTE.	SÉBASTE.
Ignorez-vous encore ce que c’eſt que ſes Dieux Et que leurs eſtres ſont des contes fabuleux:	Ignorez-vous encore ce que c'est que ses Dieux Et que leurs êtres sont des contes fabuleux:
Chaque Eſtat n’a-t’il pas au gré de ſon caprice, Sa Deeſſe, ſes Dieux, ſes mœurs, & ſa Iuſtice;	Chaque État n'a-t-il pas au gré de son caprice, Sa Deesse, ses Dieux, ses mœurs, et sa Justice;
Hors vn ie n’en connois point d’autre que l'honneur, Sa gloire fut touſiours l'Idole de mon cœur?	Hors un ici n'en connais point d'autre que l'honneur, Sa gloire fut toujours l'Idole de mon cœur?
La Reyne doit pluſtoſt que ces fauſſes Deeſſes, Receuoir de nos cœurs les vœux & les tẽdreſſes;	La Reine doit plutôt que ces fausses Déesses, Revoir de nos cœurs les vœux et les tendresses;
Et ſouſtiens en vn mot que le peuple a raiſon De n’offrir de l'encens qu’à ſon auguſte Nom.	Et soutiens en un mot que le peuple a raison De n'offrir de l'encens qu'à son auguste Nom.
MAXIME.	MAXIME.
Vn peu plus de reſpect pour leur toute-puiſſance, Sieroit bien ce me ſemble auec tant de vaillance, Et furtout dans le temps qu'vil peupie à le malheur,	Un peu plus de respect pour leur toute-puissance, Sierait bien ce me semble auec tant de vaillance, Et surtout dans le temps qu'il peupie à le malheur,
SEBASTE.	SÉBASTE.
De ſon crime éclatãt ie maintiendray l'honneur;	De son crime éclatant ie maintiendrai l'honneur;
C’eſt moy qui ſe preſente en ce malheur extréme Pour ſauuer cét Eſtat qui par ſur tout vous aime:	C'est moi qui se présente en ce malheur extrême Pour sauver cet État qui par sur tout vous aime:
I'entreprend de combattre & monſtres & malheurs, de dimſbrer lon ſang à vos viues douleurs, Et vous faire connoiſtre en deſpit des Oracles, Que ce bras peut encor de plus puiſſans miraeles.	J'entreprend de combattre et monstres et malheurs, de dimbrer lon sang à vos vives douleurs, Et vous faire connaître en dépit des Oracles, Que ce bras peut encor de plus puissants miraeles.
MAXIME.	MAXIME.
Si les Dieux ſont ſans cœur & ſans reſſentiment, Et que ce monſtre ſoit vn conte ſeulement, Ie croy bien que ce bras pourra ſauuer la Reyne, De ce monſtre qui fait le ſujet de ſa peine;	Si les Dieux sont sans cœur et sans ressentiment, Et que ce monstre soit un conte seulement, Je crois bien que ce bras pourra sauver la Reine, De ce monstre qui fait le sujet de sa peine;
Mais s’il n’eſt que trop vray que ce prodige affreux, Qui vient pour chaſtier ces peuples malheureux, Ne reſpecte non plus les Roys que les eſclaues, Et peut ſous ſa fureur écraſer les plus braues.	Mais s'il n'est que trop vrai que ce prodige affreux, Qui vient pour châtier ces peuples malheureux, Ne respecte non plus les Rois que les esclaves, Et peut sous sa fureur écraser les plus braves.
Que ferez-vous, Seigneur, contre tant de fureur?	Que ferez-vous, Seigneur, contre tant de fureur?
SEBASTE.	SÉBASTE.
Ce que fait vn mortel au deſſus de la peurs	Ce que fait un mortel au dessus de la peurs
MAXIME.	MAXIME.
Beaucoup ne craindroient rien en teſte d’vne armée, Qui voyant cette beſte à leur perte animée;	Beaucoup ne craindraient rien en tête d'une armée, Qui voyant cette bête à leur perte animée;
Trembleront de frayeur, & ſe repentiront D’auoir.	Trembleront de frayeur, et se repentiront D'avoir.
SEBASTE.	SÉBASTE.
Tous mes exploits, Seigneur, certifieront Que dedans le peril iamais ie ne recule.	Tous mes exploits, Seigneur, certifieront Que dedans le péril jamais été ne recule.
MAXIME.	MAXIME.
le teux que vous loyez vi reriee, vn Hercule.	le teux que vous loyez vi reroie, un Hercule.
Tous vos exploits paſſez ne garantiſſent pas, Si vous eſtes vaincu la Reyne du treſpas.	Tous vos exploits passez ne garantissent pas, Si vous êtes vaincu la Reine du trépas.
SEBASTE.	SÉBASTE.
Seigneur, c’eſt outrager vne ame qui s'expole, Et la Reyne ſera mon Iuge en cette cauſe.	Seigneur, c'est outrager une âme qui s'expole, Et la Reine sera mon Juge en cette cause.
SOLIMENE.	SOLIMENE.
De ſi dignes aduis, de ſi ſages conſeils, Montrent qu’en tout le monde il n’eſt point vos pareils;	De si dignes avis, de si sages conseils, Montrent qu'en tout le monde il n'est point vos pareils;
Mais le plus genereux & le plus propre à ſuiures Dans vn temps qu’il faut fuir, ou bien ceſſer de viure, Eſt celuy de combattre & de pluſtoſt mourir, Qu’vn peuple pour m’aimer ſoit contraint de perir;	Mais le plus généreux et le plus propre à suivrez Dans un temps qu'il faut fuir, ou bien cesser de vivre, Est celui de combattre et de plutôt mourir, Qu'un peuple pour m'aimer soit contraint de périr;
Et puis que pour ce mal il eſt quelque remede, Ie conſens que ce bras à qui la crainte cede, Combatte hardiment le monſtre & ſa fureur, Et qu’en le ſurmontant il gagne auſſi mon cœur, cous promettat, Seigneur, qu’il ſera la conqueſte De celuy qui pourra m'en apporter la teſte.	Et puis que pour ce mal il est quelque remède, Je consens que ce bras à qui la crainte cède, Combatte hardiment le montre et sa fureur, Et qu'en le surmontant il gagne aussi mon cœur, cous promettat, Seigneur, qu'il sera la conquête De celui qui pourra m'en apporter la tête.
MAXIME.	MAXIME.
Et quoy pour ſouſtenir le party de nos Dieux, Doit-on priuer mon bras d’vn bien ſi precieux:	Et quoi pour soutenir le parti de nos Dieux, Doit-on priver mon bras d'un bien si précieux:
Croyez-vous que Maxime ait ſi peu de courage Qu'il n’oſe comme luy s’oppoſer à ſa rage;	Croyez-vous que Maxime ait si peu de courage Qu'il n'ose comme deux s'opposer à sa rage;
Nous ſommes animez d'vne pareille ardeur, Et ie dois comme luy pretendre à cét honneur:	Nous sommes animés d'une pareille ardeur, Et tu dois comme notre prétendre à cet honneur:
Le Ciel m’a-il orné d’vn moindre caractere?	Le Ciel m'a-il orné d'un moindre caractère?
SEBASTE.	SÉBASTE.
Vous auez tout, Seigneur, mais moy i’aſpire à plaire, Et quand d’vit pur aiour vi cœur ert enflãmé, Tous ſcrupules ſont vains pour vn objet aimé.	Vous avez tout, Seigneur, mais moi j'aspire à plaire, Et quand d'une pur aiour vi cœur ert enflammé, Tous scrupules sont vains pour un objet aimé.
MAXIME.	MAXIME.
Touſiours brauer les Dreux,	Toujours braver les Dreux,
SEBASTE.	SÉBASTE.
Et toutes vos Deeſſes.	Et toutes vos Déesses.
MAXIME.	MAXIME.
Vous entreprenez trop.	Vous entreprenez trop.
SEBASTE.	SÉBASTE.
Moy, ie plains vos foibleſſes,	Moi, Seigneur plains vos faiblesses,
MAXIME.	MAXIME.
Moderez ets tranſports.	Modérez ets transports.
00.	00.
E iij	 Ejà
SEBASTE.	SÉBASTE.
I'oze tout pour ſeruitCelle à qui IVniuers fait gloire d’obeïr.	J'ose tout pour servitCelle à qui IUnivers fait gloire d'obéir.
MAXIME.	MAXIME.
Sãs le ſecours des Dieux, ie croy peu ces miracles	Sans le secours des Dieux, je crois peu ces miracles
SEBASTE.	SÉBASTE.
I'ay deſia ſçeu brauer de plus faſcheux obſtacles Mais e’eſt perdre le temps en propos ſuperflus, Et croyez que deſia le monſtre ne vit plus ?	J'ai déjà su braver de plus fâcheux obstacles Mais e'est perdre le temps en propos superflus, Et croyez que déjà le montre ne vit plus ?
Seigneur, ie vay combattre,	Seigneur, Seigne vay Seigneur,
MAXIME.	MAXIME.
Attendez que la Reyne, Reſolve qui de nous la doit tirer de peine.	Attendez que la Reine, Résolve qui de nous la doit tirer de peine.
DEDASIE.	DÉDASIE.
Non, non, ſans la preſſer ſur vn choix ſi faſcheur Ie vay le meriter, pour vous faites des vœux.	Non, non, sans la presser sur un choix si fâcheur Je vais le mériter, pour vous faites des vœux.
Nous verrons qui de nous en aura l'aduantage.	Nous verrons qui de nous en aura l'avantage.
SOLIMENE.	SOLIMENE.
Quoy, Seigneur, blâmez-vous vn excés de cou rage.	Quoi, Seigneur, blâmez-vous un excès de cou rage.
MAXIME.	MAXIME.
Il ne croit que celuy de ſa temerité;	Il ne croit que celui de sa témérité;
Mais il n’en peut fortir auec impunité.	Mais il n'en peut sortir avec impunité.
SOLIMENE.	SOLIMENE.
O Dieu!	Ô Dieu!
que ce Heros connois, & que i’ignore Saune-le ſi tu veux, qu’vn iour mon cœur t’adort Il a de me ſeruir trop grande paſſion, Pour n’eſtre pas té moin d’vne telle action, Le Ciel a mis dãs luy tant d’art & tant d’adreſſes Que ie croy qu’il vaincra les Dieux & les Deeſſes Depuis que i’ay ſenty ſes charmes tout puiſſans, Aucun Dicu de ma main n’a receu de Jencens Ses yeux qui du Soleil paſſent la viue flâme, De leurs diuins regards ont enchanté mon ame;	que ce Héros connais, et que j'ignore Saune-le si tu veux, qu'un jour mon cœur t'adort Il a de me servir trop grande passion, Pour n'être pas té moin d'une telle action, Le Ciel a mis dans feu tant d'art et tant d'adresses Que je crois qu'il vaincra les Dieux et les Déesse Puis que j'ai senti ses charmes tout puissants, Aucun Dicu de ma main n'a reçu de Jencens Séné yeux qui du Soleil passent la vive flamme, De leurs divins regards ont enchanté mon âme;
Quand ie deurois ſouffrir le plus rigoureux ſort, Si le monſtre l'abat ie vengeray ſa mort?	Quand ici devrais souffrir le plus rigoureux sort, Si le montre l'abat apprendre vengerai sa mort?
Et ie vay ſur ſes pas en vaillante Herôyne, Repouſſer les malheurs que le ſort nous deſtine;	Et ici vais sur ses pas en vaillante Herôyne, Repousser les malheurs que le sort nous destine;
Mais de peur que ma ſœur ne me fit perdre temps, Dérobons ma preſence à ſes yeux ttop perçans, Elle eſt de tout mon ſort ſi triſte & ſi jalouſe, Qu'elle mourra s’il faut que ce Heros m’épouſe.	Mais de peur que ma sœur ne me fit perdre temps, Dérobons ma présence à ses yeux top perçants, Elle est de tout mon sort si triste et si jalouse, Qu'elle mourra s'il faut que ce Héros m'épouse.
BCEEDTV STELLANE, CONSTANCE.	BCEDTU STELLANE, CONSTANCE.
STELLANE.	STELANE.
vy Conſtance, il eſt vray vous l’auez deuiné, C'eſt à ma ſœur à qui le Temple eſt deſtiné.	vis Constance, il est vrai vous l'avez deviné, C'est à ma sœur à qui le Temple est destiné.
CONSTANCE.	CONSTANCE.
Quoy ltaigre le dragon ce peupie a rinolence, De faire à vos bontez cette ſeconde offence:	Quoi ltaigre le dragon ce peupie a rinolence, De faire à vos bontés cette seconde offense:
Ce dernier crime doit haſter leurs chaſtimens, Où les Dieux ſont ſans cœurs ou ſans reſſentimes.	Ce dernier crime doit hâter leurs châtiments, Où les Dieux sont sans cœurs ou sans ressentîmes.
STELLANE.	STELANE.
Si leurs Diuinitez ſouffre que l'on me braue, Mon cœur qui haĩt ſur tout la hõte d’eſtre eſclaue, Forme apres cét affront le deſſein glorieux De l’immoler moy-meſme en ces ſuperbes lieur.	Si leurs Divinités souffre que l'on me brave, Mon cœur qui haint sur tout la hôte d'être esclave, Forme après cet affront le dessein glorieux De l'immoler moi-même en ces superbes lieur.
CONSTANCE.	CONSTANCE.
Vous en voulez donc faire vn illuſtre Theatre.	Vous en voulez donc faire un illustre Théâtre.
xour perure cet opjet dont on eſt idolatre?	Ôxour pervre cet opjet dont on est idolâtre?
STELLANE.	STELANE.
Oüy, ie veux à ſes yeux, & deuant tous ſes Roys, Qui viennent receuoir ſes decrets & ſes loix, Malgré tous leurs efforts, & quoy qu’ils puiſſes faire, Pour empeſcher l’effet de ma juſte colere, L’arracher de ſon Troſne, & lauer dans ſon ſang Ce double affront qu’on fait à mon auguſte rant	Oui, Seigneur veux à ses yeux, et devant tous ses Rois, Qui viennent recevoir ses décrets et ses lois, Malgré tous leurs efforts, et quoi qu’ils puisses faire, Pour empêcher l'effet de ma juste colère, L'arracher de son Trône, et lauer dans son sang Ce double affront qu'on fait à mon auguste rant
L Y .	 Y .
CONSTANCE.	CONSTANCE.
Oüy, Madame, ſans doute, apres vn ſi grãd crime Vn ſi noble couroux n’eſt que trop legltime:	Oui, Madame, sans doute, après un si grand crime Un si noble courroux n'est que trop léglime:
Cette entrepriſe eſt juſte, & ce grand chaſtiment Eſt encore au deſſous de leurs déreglemens, Mais comme vn tel deſſein reçoit de grands obſtacles, Et que pour les franchir il faudroit des miracles Pour le facinter clcoatez cet auuis, Au refus de Zenalphe agréez que Memphis Ait l’honneur de venger vn ſi cruel ontrage, Il cherche à ſignaler pour vous ſon grãd courage.	Cette entreprise est juste, et ce grand châtiment Est encore a dessous de leurs dérèglements, Mais comme un tel dessein reçoit de grands obstacles, Et que pour les franchir il faudrait des miracles Pour le facter clcotez cet avis, A fus de Zénalphe agréez que Memphis Ait l'honneur de venger un si cruel ontrage, Il cherche à signaler pour vous son grand courage.
STELLANE.	STELANE.
De meſme que Zenalphe il craint les Immortelse Et ſon art n’eſt que d’eſtre aux employs des Autels?	De même que Zénalphe il craint les Imortelse Et son art n'est que d'être aux emplois des Autels?
CONSTANCE.	CONSTANCE.
Cõme grãd Preſtre il a le Temple en ſa puiſſance, Et dans les iours de pompe & de magnificence, oueſuy qu'’ene prend & lacoupe & Tencens:	Comme grande Prêtre il a le Temple en sa puissance, Et dans les jours de pompe et de magnificence, ouesui qu'ene prend et lacoupe et Tencens:
STELLANE.	STELANE.
Cét employ donne-t’il des moyens tout puiſſans;	Cet emploi donne-t-il des moyens tout puissants;
rour la faire perir comme ie le ſouhaite?	rour la faire périr comme on le souhaite?
CONSA MNCBS, Vous ne manquerez pas d’en eſtre ſatisfaite?	CONSA MNCBS, Vous ne manquerez pas d'en être satisfaite?
STELLANE.	STELANE.
C'eſt vn honteux moyen pour en tirer raiſon?	C'est un honteux moyen pour en tirer raison?
CONSTANCE.	CONSTANCE.
deuiendra tres-ſeur en mettant du poiſon Dans les vins parfumez qu’on prepare pour elles Memphis en eſt d’accord, & vous ſera fidelle.	deviendra très-seur en mettant du poison Dans les vins parfumés qu'on prépare pour elles Memphis en est d'accord, et vous sera fidèle.
STELLANE.	STELANE.
Pour tout autre que moy l’aduis eſt de ſaiſon, Mais les filles de Mars n’uſent point de poiſon:	Pour tout autre que moi l'avis est de saison, Mais les filles de Mars n'usent point de poison:
ay ce grand Dieu pour pere, & comme vne Amazone, le veux auec éclat remonter ſur le Trône, Abattre cette ſeur, & punir ſon orgueil, En changeãt ſon Triomphe en vn tiiitt cercueil?	ai ce grand Dieu pour père, et comme une Amazone, le veux auec éclat remonter sur le Trône, Abattre cette sûr, et punir son orgueil, En changeãt son Triomphe en un tiitiit cercueil?
Mais i’apperçois Leonce?	Mais j'aperçois Léonce?
CONSTANCE.	CONSTANCE.
Il eſt venu ſans doute, Peur ſonder vos deſſeins que la Reyne redouté.	Il est venu sans doute, Peur sonder vos desseins que la Reine redouté.
STELLANE.	STELANE.
Il le faut eſcouter, tout conſommé qu’il eſt C’eſt en vain qu’il en prend contre moi l'intere Noſtre ſexe irrité ſur tout eſt redoutable, Et ſçait trop ſe cacher aux yeux du plus capable	Il le faut écouter, tout consommé qu'il est C'est en vain qu'il en prend contre moi l'inte Notre sexe irrité sur tout est able, Et sait trop se cacher aux yeux du plus capable
SCLNE V STELLANE, LEONCE.	SCLNE V TELLANE, LÉONCE.
CONSTANCE.	CONSTANCE.
LEONCE.	LÉONCE.
Our appaiſer des Dieux l'implacable couro Y Pendant qu’vn ſi grand Roy va combau pour nous.	Our apaiser des Dieux l'implacable couro Y Pendant qu'un si grand Roi va combau pour nous.
muntonurque de Place epprente dnsacriſice.	muntonurque de Place épprente dnsacrice.
Où l’on n’attend que vous.	Où l'on n'attend que vous.
STELLANE.	STELANE.
Ireit plemn de juſtice.	Irit plein de justice.
LEONCE.	LÉONCE.
Nous connoiſtrons par là le deſtin de l'EſtæEt qui l'emportera dans ce fameux combat.	Nous connaîtrons par là le destin de l'EstæEt qui l'emportera dans ce fameux combat.
STELLANE.	STELANE.
I'allois tout de ce pas vous chercher chez la Rey Pour tenter ſi par là nous ſortirions de peine.	J'allais tout de ce pas vous chercher chez la Rein Pour tenter si par là nous sortirions de peine.
CONSTANCE.	CONSTANCE.
tout bas en s’en allar Quelque grandeur qui brille en celuy de ce Ro Stellane en deſtine vn digne d’elle & de moy.	tout bas en s'en alar Quelque grandeur qui brille en celui de ce Ro Tellane en destine un digne d'elle et de moi.
12 Fin du quatrieſme Acte.	12 Fin du quatrième Acte.
AIGTE	AIGTE
SCENE I MAXIME, VALLERE.	SCÈNE I MAXIME, VALLERE.
MAXIME.	MAXIME.
Enalphe eſt donc vaincu?	Enalphe est donc vaincu?
VALLERE.	VALÈRE.
Sa mort eſt tres-certaine.	Sa mort est très -certaine.
MAXIME.	MAXIME.
n dit toute la Cour,& qu’en penſe la Reyne.	 dit toute la Cour,et qu'en pense la Reine.
VALLERE.	VALÈRE.
sa perte à cét Eſtat cauſe de ia uouieur;	sa perte à cet État cause de ja ouvouieur;
Mais celle de la Reyne eſt ſon dernier malheur.	Mais celle de la Reine est son dernier malheur.
MAXIME.	MAXIME.
La perte de la Reyne!	La perte de la Reine!
& quelle conjecture?	et quelle conjecture?
VALLERE.	VALÈRE.
Son abſence impreueuë eſt d’vn mauuais augure.	Son absence impreueuë est d'un mauvais augure.
qn'a beau la enerener on ne le peat trouuer.	Oqn'a beau la enérener on ne le pat trouver.
MAXIME.	MAXIME.
Ah!	Ah!
Sebaſte, ſans doute, aura pu l’enleuer?	Sébaste, sans doute, aura pu l'enlever?
VALLERE.	VALÈRE.
Non, Sebaſte combat, & l'on tient pour ſa gloirQue du monitre mrernar il aura la victoire.	Non, Sebaste combat, et l'on tient pour sa gloirQue du monitre mrernar il aura la victoire.
Et ſi i’oſe, Seigneur, m’expliquer auec vous,	Et si j'ose, Seigneur, m'expliquer avec vous,
Parle, MAXIME.	Parle, MAXIME.
VALLERE.	VALÈRE.
vous le cruiez accabler ſous vos coups Il falloit le premier pour meriter la Reyne, Prodiguer voſtre ſang, & la tirer de peine, Quel ſera voſtre eſpoir ſi Sebaſte eſt vainqueus,	vous le cruiez accabler sous vos coups Il fallait le premier pour mériter la Reine, Prodiguer votre sang, et la tirer de peine, Quel sera vôtre espoir si Sébaste est vainqueus,
MAXIME.	MAXIME.
Va, ſa perte aujourd'huy doit faire mon bonheut Tu crois que ſur ce monſtre il aura l’aduantage.	Va, sa perte aujourd'hui doit faire mon bonheut Tu crois que sur ce monstre il aura l'avantage.
Et prens pour vn grand cœur vne ombre de courage.	Et prends pour un grand cœur une ombre de courage.
Ah!	Ah!
connois mieux l'excés de ton aueuglement I'ay conſenty d’abord à ſon emportement?	connais mieux l'excès de ton aveuglement J'ai consenti d'abord à son emportement?
Mais laiſſant le champ libre à ſon impatience, I’ay voulu qu’il s’offrit lui-même à ma vengeãce Maxime Maxime ſeul peut vaincre vn monſtre furieux, Et rien n’eſt impoſſible ayant l'adueu des Dieux.	Mais laissant le champ libre à son impatience, J'ai voulu qu'il s'offrit lui-même à ma vengeance Maxime Maxime seul peut vaincre un monstre furieux, Et rien n'est impossible ayant l'aveu des Dieux.
VALERE.	VALÈRE.
Tous aurorentens promis vne entiere victoire?	Tous aurorents promis une entière victoire?
MAXIME.	MAXIME.
Oüy, Valere, aujourd’huy tout conſpire à ma gloiEt l’Oracle promet de la part done hicex Ire, que ie ſeray vainqueur d’vn monſtre dans ces lieux.	Oui, Valère, aujourd'hui tout conspire à ma gloiEt l'Oracle promet de la part done hicex Frère, que je serai vainqueur d'un monstre dans ces lieux.
VALERE.	VALÈRE.
Mais vn ſoupçõ, Seigneur, inceſsãmẽt m’alarme, C'eſt.	Mais un soupçons, Seigneur, incessamment m'alarme, C'est.
AMATME Parle, que crains-tu?	AMATME Parle, que crains-tu?
VALERE.	VALÈRE.
Seigneur, ie crois qu’il charme, Et ie ne ſuis pas ſeul qui tiens que ce Heros s’expoſe à preſent pour le commun repos, Et que toute la Terre idolatre & renomme, A des vertus qui ſont fort au deſſus de Thomme.	Seigneur, ie crois qu'il charme, Et grands ne suis pas seul qui tiens que ce Héros s'expose à présent pour le commun repos, Et que toute la Terre idolatre et renomme, A des vertus qui sont fort au dessus de Thomme.
MAXIME.	MAXIME.
At'entendre parler c’eſt quelque demy Dieu 2 vient pour ſecourir les peuples de ce lieu.	Att'entendre parler c'est quelque demi Dieu 2 vient pour secourir les peuples de ce lieu.
D VALERE.	 VALÈRE.
Qy Seigneur, ou du moins quelque ame ſacrileQui pour nuire à vos feux vſe de ſortileges Il m’a paru ſi fort au deſſus du commun, Qu’à vous dire le vray ie croy que c’en eſt vn;	Qi Seigneur, ou du moins quelque âme sacrilèQui pour nuire à vos feux use de sortilèges Il m'a paru si fort au dessus du commun, Qu'à vous dire le vrai assez crois que c'en est un;
Lors que dans le Conſeil il excitoit la Reine De vaincre ou de mourir en braue Souueraine.	Lors que dans le Conseil il excitait la Reine De vaincre ou de mourir en brave Souveraine.
I’ay reconnu dans luy des charmes ſi preſſans, Des deſſeins ſi hardis, des diſcours ſi puiſſans Qu’il a contraint la Reine a découurir ſon amc Malgré voſtre Conſeil en faueur de ſa flame, Mais s’il faut que le ſort accorde à ce riual Cét objet que vos yeux ont trouué ſans égal, Sa ſœur eſt pour le moins auſſi charmãte qu’elle Et pourra reparer cette perte cruelle;	J'ai reconnu dans lui des charmes si pressants, Des desseins si hardis, des discours si puissants Qu'il a contraint la Reine a découvrir son amc Malgré votre Conseil en faveur de sa flamme, Mais s'il faut que le sort accorde à ce rival Cet objet que vos yeux ont trouvé sans égal, Sa œur est pour le moins aussi charmette qu'elle Et pourra réparer cette perte cruelle;
Cette ieune Princeſſe a des charmes ſi grands Qu'elle peut arrêter les plus grands Conquerans Mais elle ayme ſur tout le troſne & la couronne.	Cette jeune Princesse a des charmes si grands Qu'elle peut arrêter les plus grands Conquérants Mais elle aime sur tout le trône et la couronne.
Et ce n’eſt qu’à ce prix que ſon grand cœur ſe donne, Vous en auez pluſieurs, & ce nombre d’Eſtats darguenont dmemene tonceeul ce les appas?	Et ce n'est qu'à ce prix que son grand cœur se donne, Vous en avez plusieurs, et ce nombre d'États darguenont damemène toncevel ce les appas?
C'eſt par la qu’il faudra reparer cette perte, Car d’y vouloir, Seigneur, mettre ordre à force ouuerte,	C'est par la qu'il faudra réparer cette perte, Car d'y vouloir, Seigneur, mettre ordre à force ouverte,
MAXIME.	MAXIME.
Le deſtin en ce cas.	Le destin en ce cas.
Quel eſt ce bruit confus?	Quel est ce bruit confus?
VALERE.	VALÈRE.
Peut-eſtre que deſia le monſtre ne vit plus,	Peut-être que déjà le montre ne vit plus,
MAXIME.	MAXIME.
Ou bien pluſtoſt Sebaſte vn peu trop temeraire Vient de tout ſonorgueil receuoir le ſalaire, Sans perdre plus de temps ie vais ſçauoir ſon ſort, Et faire ſur le monſtre vn genereux effort:	Ou bien tôt Sébaste un peu trop téméraire Vient de tout sonorgueil recevoir le salaire, Sans perdre plus de temps sans vais savoir son sort, Et faire sur le montre un généreux effort:
Cependant de ma part vois Leonce & Conſtance, Conſole les tous deux de ce fils d’importance, Et fais ſi bien enfin, quoy qu’il puiſſe arriuer, Que de leur deſeſpoir tu les puiſſes ſauuer.	Cependant de ma part vois Léonce et Constance, Console les tous deux de ce fils d'importance, Et fais si bien enfin, quoi qu'il puisse arriver, Que de leur désespoir tu les puisses sauver.
SCENE II.	SCÈNE II.
SOLIMENE déguiſée en habit at combatant.	SOLIMENE déguisée en habit at combattant.
SEBASTE.	SÉBASTE.
SEBASTE.	SÉBASTE.
Enereux confident des ſecrets de ta Reyne, OTes yeux qu’elle a choiſis pour la rendre certaine De tout l'euenement de ce hardy combat, Qui d’elle & de ſes Dieux termine le debat, Et dont l'heureux ſuccez nous a donné la gloire Qu’elle a ſur chacun d’eux vne entiere victoire, En cette occaſion ie conjure ta foy [froy Bien moins pour mõ hõneur que pour tirer d’efLe cœur de ton aymable & diuine Princeſſe, Qui pour ſauuer l'Eſtat ardamment s’intereſſe, De courir promptement l'aſſeurer que mon bras De ce maudit prodige a ſauué ſes Eſtats, Qu’elle en eſt par ma main ſeule liberatrice, Et que de cét exploit ie luy fais ſacrifice.	Énereux confident des secrets de ta Reine, OTes yeux qu'elle a choisis pour la rendre certaine De tout l'événement de ce hardi combat, Qui d'elle et de ses Dieux termine le débat, Et dont l'heureux succès nous a donné la gloire Qu'elle a sur chacun d'eux une entière victoire, En cette occasion ici conjure ta foi [froi Bien moins pour mõ hõneur que pour tirer d'efLe cœur de ton aimable et divine Princesse, Qui pour sauver l'État ardamment s'intéresse, De courir promptement l'assurer que mon bras De ce maudit prodige a sauué ses Estats, elle en est par ma main seule libératrice, Et que de cét exploit ie lui fais sacrifice'
SOLIMENE.	SOLIMENE.
Seigneur, aſſeurez-vous que bien-toſt ſon grand cœur F ij Sçaura bien reconnoiſtre vn ſi noble vainqueur:	Seigneur, assurez-vous que bientôt son grand cœur Frej Aura bien reconnaître un si noble vainqueur:
Ie connois ſa vertu, ſon ardeur & ſon zele, Et l'air dont elle paye vn ſervice fidele, Ie ſuis certain auſſi que pour vn tel ſuccez Son grand cœur pour le voſtre ira iuſqu’à l'excez.	Je connais sa vertu, son ardeur et son zèle, Et l'air dont elle paye un service fidèle, Je suis certain aussi que pour un tel succès Son grand cœur pour le vôtre ira jusqu'à l'excès.
Que meſme elle a pour vous vne ardeur ſans exẽ.	Que même elle a pour vous une ardeur sans exẽ.
ple, Pouuez-vous elperer vne faueur plus ample?	ple, Pouuez-vous élpérer une faveur plus ample?
SEBASTE.	SÉBASTE.
