DOM PEDRE, Roy d’Aragon.	DOM PÉDRE, Roi d'Aragon.
Pardonnez, Admiral, ſi mon trop long ſilence, Vous a de ce beau mal caché la violence;	Pardonnez, Admiral, si mon trop long silence, Vous a de ce beau mal caché la violence;
Puiſque ie croyois moins par ma diſcretion, Vous taire vn iuſte eſpoir, qu’vne preſomption;	Puisque ici croyais moins par ma discrétion, Vous taire un juste espoir, qu'une présomption;
Mais pouuãt auioura muy ſonuerterte eſperance, Sur vne trop ſolide & trop claire apparence;	Mais pouvant aujoura mui sonverterte espérance, Sur une trop solide et trop claire apparence;
Ie vous dois reueler cet important ſecret, Que ie ne puis verſer dans vn ſein plus diſcret:	Je vous dois révéler cet important secret, Que je ne puis verser dans un sein plus discret:
Mais craignant d’euenter vne ſi belle flame, Cherchons vn lieu plus propre à vous ouurir mon ame;	Mais craignant d'éventer une si belle flamme, Cherchons lieu plus propre à vous ouvrir mon âme;
El pouuoir muaerer par dos jagesaants;	El pouvoir muaerer par dos jagesaants;
Le tranſport ſurprenant dont mes ſens ſont rauis.	Le transport surprenant dont mes sens sont ravis.
D.	D.
BERNARD.	BERNARD.
I'ay bien creu que du ciel la iuſtice future, Vous deuroit reſeruer quelque haute aduanture;	J'ai bien cru que du ciel la justice future, Vous devrait réserver quelque haute aventure;
Et que ſes tugements außt fages que ſaincts, Sous de ſi grands malheurs cachoient de grands deſſeins.	Et que ses tugements aussi autant que saints, Sous de si grands malheurs cachaient de grands desseins.
LT 4 T L	LT 4 T 
SCENL IREMTERE.	SCENL IREMTERE.
DOM BERNARD ſeul.	DOM BERNARD seul.
Alouſe paßion, dangereuſe couleuure, Qui pour nuire ou creuer, mets tout poiſon en œuure;	Alouse passion, dangereuse couleuvre, Qui pour nuire ou créver, mets tout poison en œuvre;
Fille à qui te fait naiſtre ingrate & ſans pitié, Au moins tuant l’amour, épargne l’amitié;	Fille à qui te fait naître ingrate et sans pitié, Au moins tuant l'amour, épargne l'amitié;
Et ne m’engendre pas d’vne rage commune, Et l’oubly de l’Infante, & la haine de Lune!	Et ne m'engendre pas d'une rage commune, Et l'oubli de l'Infante, et la haine de Lune!
De Lune dont les faits m’ont ſeruy de degrez, A monter à des rangs de tant d’yeux reuerez, Ce de Lune inuaincu dont la valeur extréme, A tant fait pour ma gloire, & ſi peu pour luy-méme.	De Lune dont les faits m'ont servi de grés, A monter à des rangs de tant d'yeux révérez, Ce de Lune invaincu dont la valeur extrême, A tant fait pour ma gloire, et si peu pour lui-même.
Laiſſons libres ſes vœux à de libres appas, Et complices du ſort, ne l’entreprenons pas.	Laissons libre ses vœux à de libres appas, Et complices du sort, ne l'entreprenons pas.
Sa rage aſſez long-temps contre luy mutinée, A ſous vn mauuais aſtre ourdy ſa deſtinée:	Sa rage assez longtemps contre peine mutinée, A sousfin mauvais astre ourdi sa destinée:
Souffrons luy les aſpects de douceur & d’amour, Dont l’honore auiourd’huy l’aſtre de cette Cour:	Souffrons luy les aspects de douceur et d'amour, Dont l'honore aujourd'hui l'astre de cette Cour:
La voicy, cachons nous, & détournons la veuë, De vevtauvuanit, quitharme, mun qui tue.	La voici, cachons -nous, et détournons la vue, De vevtauvuanit, quitharme, mun qui tue.
SCEIEEI L’INFANTE, D.	SCEIEI L'INFANTE, D.
BERNARD.	BERNARD.
L’INFANTE.	L'INFANTE.
Voy me fuyr, Admiral!	Vois me fuir, Admiral!
quoy vouloir m'éuiter!	quoi vouloir m'éviter!
Ay je des qualitez à tant eſpouuanter?	Ai je des qualités à tant épouvanter?
D.	D.
BERNARD.	BERNARD.
Vous reſuiez, & i’ay creu que quelque inquietude, Vous obligeoit, Madame, à cette ſolitude.	Vous rêviez, et j'ai cru que quelque inquiétude, Vous obligeait, Madame, à cette solitude.
L’INFANTE.	L'INFANTE.
Il eſt vray, mais vous ſeul me pouuez releuer, Du ſoin qui m’inquiete & qui me fait réuer Auiourd’huy Dom Bernard que la Cour vous contemple, Dans le plus haut éclat, d’vn Heros ſans exemple;	Il est vrai, mais vous seul me pouvez relever, Du soin qui m'inquiète et qui me fait réuer Auiourd’hui Dom Bernard que la Cour vous contemple, Dans le plus haut éclat, d'un Héros sans exemple;
Qu’on vous voit auec ioye, autant & plus puißant, Que fut iamais vaſſal d’vn Roy recognoiſſant;	Qu'on vous voit approie, autant et plus puissant, Que fut jamais vassal d'un Roi reconnaissant;
Que l’vn & l’autre ſexe, en voſtre heur s’intereſent, Les Dames ſont en peine à qui vos vœux s’adreſſent, Et quels heureux appas, en la guerre des cœurs, Remporteront ſur vous le titre des vainqueurs;	Que l'autre et l'autre sexe, en votre heur s'interesent, Les Dames sont en peine à qui vos vœux s'adressent, Et quels heureux appas, en la guerre des cœurs, Remporteront sur vous le titre des vainqueurs;
Carvous ne voudriez pas qu’on vous crût inuincible A la force d’vn ſexe, à qui tout eſt poßible;	Carvous ne voudriez pas qu'on vous crut invincible À la force d'un sexe, à qui tout est possible;
Qui ſe peut tout ſouſmettre, & de qui les regards Forçoient les Scipions, & domptoient les Ceſars.	Qui se peut tout soumettre, et de qui les regards Forçaient les Scipions, et domptaient les Césars.
Cét honneur s’eſtant donc fait tant d’ambitieuſes;	Cet honneur s'étant donc fait tant d'ambitieuses;
Moy comme la plus ieune & des plus curieuſes, I’ay voulu me charger de la commißion De leur faire ſçauoir voſtre inclination;	Moi comme la plus jeune et des plus curieuses, J'ai voulu me charger de la commion De leur faire savoir votre inclination;
Et c’eſtoit le ſuiet de mon inquietude.	Et c'était le sujet de mon inquiétude.
D.	D.
BERNARD.	BERNARD.
Mon plus ardent deſir & ma plus chere eſtude, Sont de ſeruir ce ſexe adorable & charmant, Dont touſiours la conqueſte honore en deſarmant.	Mon plus ardent désir et ma plus chère étude, Sont de servir ce sexe adorable et charmant, Dont toujours la conquête honore en désarmant.
L’INFANTE.	L'INFANTE.
Ces termes generaux me laiſſans incertaine, Me laiſſent ſans moyen ae tes tirerde perne;	Ces termes généraux me laissant incertaine, Me laissent sans moyen ae tes tirerde perne;
Et ne nous obligeant que d’vn deuoir communPour ſeruir trop u vviets, vous n'en ſeruez pas vn.	Et ne nous obligeant que d'un devoir communPour servir trop u vviets, vous n'en servez pas un.
D.	D.
BERNARD.	BERNARD.
Vous m’ordonnez, Madame, vn excez d’inſolence Qu'ont aſſez publié mes yeux & mon ſilence, Et quelque viue ardeur dont on ſoit enflammé, Lim portance n'eſt pas d’aymer, mais d’eſtre aymé;	Vous m'ordonnez, Madame, une excès d'insolence Qu'ont assez publié mes yeux et mon silence, Et quelque vive ardeur dont on soit enflammé, Lim portance n'est pas d'aimer, mais d'être aimé;
Et fonder ſon eſpoir deſſus quelque apparence.	Et fonder son espoir dessus quelque apparence.
EINFANIE, Craignez vous de déplaire?	EINFANIE, Craignez -vous de déplaire?
aymez ſans eſperance,	aimez sans espérance,
D.	D.
BERNARD.	BERNARD.
Reſtrainct dans ce reſpect ie puis vous obeyr, I’ayme donc vn obiet que nul ne peut hayr;	Restrainct dans ce respect , puis vous obéir, J'aime donc un objet que nul ne peut haïr;
Qui par vos propres yeux vous a cent fois rauie, Que ſeule vous pouuez contempler ſans enuie.	Qui par vos propres yeux vous a cent fois ravie, Que seule vous pouvez contempler sans envie.
Qui vous contemple außi, ſans en eſtrejaloux, Et qui n’a rien d’intime & de cher comme vous;	Qui vous contemple aussi, sans en êtrejaloux, Et qui n'a rien d'intime et de cher comme vous;
Vn treſor preferable à toute ma fortune, Le ſeul Soleil enfin digne de cette Lune, 8 ſe fait redouter partant d’effets diuers, Et qui peut en ſon cercle enfermer l’Vniuers.	Un trésor préférable à toute ma fortune, Le seul Soleil enfin digne de cette Lune, 8 se fait redouter partant d'effets divers, Et qui peut en son cercle enfermer l'Univers.
Par voſtre ſage aduis ſouffrant ſa preferance, I'ayme ſans intereſt, & ſers ſans eſperance.	Par votre sage avis souffrant sa préférence, J'aime sans intérêt, et sers sans espérance.
Ie voy ce clair Soleil, ie tremble à ſon aſpect, L’amour pour l’amitié s’impoſe ce reſpect;	Je vois ce clair Soleil, Seigneur tremble à son aspect, L'amour pour l'amitié s'impose ce respect;
*a.	*a.
L'intereſt de l’amy m'eſloigne de l’amante, Mais le temps éteindra cette ardeur, Violante;	L'intérêt de l'ami m'éloigne de l'amante, Mais le temps éteindra cette ardeur, Violante;
Ie l’ay nommée, adieu.	Je l'ai nommée, adieu.
DCENE III L’INFANTE ſeule.	DCENE III L'INFANTE seule.
De ce propos confus, Qu'ay-je lieu d’inſerer ou deſſein, ou refus;	De ce propos confus, Qu'ai-je lieu d'insérer ou dessein, ou refus;
Ie cherche des clartez & n’en rencontre aucune, Ny dedans ce Soleil, ny dedans cette Lune;	Je cherche des clartés et n'en rencontre aucune, Ni dedans ce Soleil, Seigneur dedans cette Lune;
Pour me tirer de ſoin, i’augmente mon tourment, Et voulant m'éclaircir, crois mon aueuglement.	Pour me tirer de soin, j'augmente mon tourment, Et voulant m'éclaircir, crois mon aveuglement.
Achercher toutefois le ſens de ce langage, Quelque rayon de iour penetre ce nuage;	Achercher toutefois le sens de ce langage, Quelque rayon de jour penetre ce nuage;
Cette Lune feconde en tant d’effets diuers, Et qui peut en ſon cercle enfermer l’uniuers, Eſt le Prince mon frere, ame de cet empire, Et ce Soleil pour qui l’vn & l’autre ſouſpire, Eſt cette Leonor, pour qui toute la Cour N'aplus que des regatus ue reſpets & d'amonr;	Cette Lune féconde en tant d'effets divers, Et qui peut en son cercle enfermer l'univers, Est le Prince mon frère, âme de cet empire, Et ce Soleil pour qui l'un et l'autre soupire, Est cette Leonor, pour qui toute la Cour N'applus que des régatus ue respets et d'amron;
Mais ſi la jalouſie auec quelque iuſtice, A iamais dans vne ame exercé ſon caprice, Ie rabbatray le vol de ſa temerité, Auecques tant d’empire & de ſeuerité, Et ſçauray de tel air ranger ce grand courage, Que tamais ſa beauté ne cauſera d’ombrage.	Mais si la jalousie avec quelque justice, A jamais dans une âme exercé son caprice, Je rabatrai le vol de sa témérité, Avecques tant d'empire et de sévérité, Et saurai de tel air ranger ce grand courage, Que tamais sa beauté ne causera d'ombrage.
SCEIVEEV D.	SCEIVEEU D.
LOPE, L’INFANTE.	LOPE, L'INFANTE.
D.	D.
LOPE.	LOPE.
JNe fois declaré le ſort nous rit touſiours, V Voicy l’Infante, Amour, i’implore tõſecours, Ie tremble à voſtre approche, & mon reſpect, Madame, Auec touts ſes efforts veut retenir ma flame;	JNe fois déclaré le sort nous rit toujours, V Oici l'Infante, Amour, j'implore tõsecours, Je tremble à votre approche, et mon respect, Madame, Avec touts ses efforts veut retenir ma flamme;
Mais ma flame plus forte enfin que mon reſpect, M'expoſe à ſouſtenir voſtre adorable aſpect;	Mais ma flamme plus forte enfin que mon respect, M'expose à soutenir votre adorable aspect;
A l’ardeur de vos feux mon ame accouſtumée Sçait qu’elle ne peut plus en eſtre conſommée;	À l'ardeur de vos feux mon âme accoutumée Sait qu'elle ne peut plus en être consommée;
Son repos ſe rencontre en ſon embragement, Et ce qui la détruit, deuient ſon aliment;	Son repos se rencontre en son embragement, Et ce qui la détruit, devient son aliment;
Quoy que par ma naiſſance à la voſtre inegale, Mon eſpoir s’eſleuant außi-toſt ſe rauale, Et que ie ſemble prendre vn vet trop arrogant.	Quoi que par ma naissance à la vôtre inégale, Mon espoir s'élevant aussitôt se ravale, Et que ici semble prendre un vêt trop arrogant.
L’INFANTE eſtonnée.	L'INFANTE étonnée.
O Dieu!	Ô Dieu!
que veut ce fol!	que veut ce fol!
& cet extrauagant?	et cet extravagant?
D.	D.
LOPE.	LOPE.
Vos propres mains, Madame, ont auoüé l’audace, De ce feu qui chez vous rencontre tant de glace;	Vos propres mains, Madame, ont auoüé l'audace, De ce feu qui chez vous rencontre tant de glace;
Et m'ont fait eſperer quand vos yeux m'ont bleßé.	Et m'ont fait espérer quand vos yeux m'ont blesié.
ETNFANIE.	ETNFANIE.
Qu'entends-jelhola, quelqu’vn, chaſſez cet inſenſé.	Qu'entends-jélholà, quelqu'un, chassez cet insensé.
D.	D.
LOPE.	LOPE.
Atort de mes tributs voſtre heauté s’irrite, Ie ne ſuy que la loy que vous m’auez preſcrite, Ie bruſle par voſtre ordre, & par luy ie vous ſerts, Il m’allume mes feux, il m’attache mes fers;	Atort de mes tributs votre heauté s'irrite, Je ne suis que la loi que vous m'avez prescrite, Je brûle par votre ordre, et par notre laisser vous serts, Il m'allume mes feux, il m'attache mes fers;
Et ma ſouſmißion plus que mon arrogance.	Et ma sousmission plus que mon arrogance.
L’INFANTE.	L'INFANTE.
Dieu!	Dieu!
quelle frenaiſie, & quelle extrauagancel.	quelle frénaisie, et quelle extravagancel.
A*Mme-- D.	A*Mme- D.
LOPE.	LOPE.
Il ne me manquoit plus que cette qualité.	Il ne me manquait plus que cette qualité.
Mais de quel vain eſpoir m'auezvous donc flatté?	Mais de quel vain espoir m'auezvous donc flatté?
L'INFANTE.	L'INFANTE.
Et fureurit faiſit, ie trains quelque diſgrace, Aucun ne vient, fuyons & cedons luy la place.	Et fureurit faisit, ie trains quelque disgrâce, Aucun ne vient, fuyons et cédons toujours la place.
D.	D.
EOILo.	EOILo.
Quoy fol & furieux !	Quoi fol et furieux !
ôCiel!	ôCiel!
mais le Roy vient.	mais le Roi vient.
LINFANTE.	LINFANTE.
Sire, oyez quels diſcours cet inſensé me tient.	Sire, oyez quels discours cet insensé me tient.
DEIVE LE ROY, GARDES,D.	DEIVE LE ROY, GARDES,D.
LOPE, L’INFANTE.	LOPE, L'INFANTE.
D.	D.
LOPE.	LOPE.
Sprouuons auiourd’huy ſa haine ou ſon eſtiOme, Ouurons nous, oyons tout, le deſeſpoir anime.	Sprouvons aujourd'hui sa haine ou son étiOme, Ouvrons nous, oyons tout, le désespoir anime.
Sire, apres des rebuts ſilong-temps éprouuez, Ie demande audience, & vous me la deuez;	Sire, après des rebuts silong-temps éprouvés, Je demande audience, et vous me la devez;
2 Tout mon corps vous parlant par de ſanglantes bouches, Dont il auroit touché les cœurs les plus farouches.	2 Tout mon corps vous parlant par de sanglantes bouches, Dont il aurait touché les cœurs les plus farouches.
N’a pû dans voſtre ſein treuuer le cœur d’vn Roy, N’ayant pû vous reſoudre à rien faire pour moy;	N'a pu dans votre sein trouver le cœur d'un Roi, N'ayant pu vous résoudre à rien faire pour moi;
I’ay donc lieu de tenter ſi la voix ordinaire, N'y rencontrera point vn cœur plus debonnaire;	J'ai donc lieu de tenter si la voix ordinaire, N'y rencontrera point un cœur plus débonnaire;
La vertu rebutée apres tant de meſpris, Sans ternir ſon éclat, peut demander ſon prix.	La vertu rebutée après tant de mépris, Sans ternir son éclat, peut demander son prix.
Ie pourrois (il eſt vray) paſſer pour temeraire, Si ie vous propoſois vne vertu vulgaire, Mais la mienne eſt celebre, & peu ſans vanité, Ont fait ce que i’ay fait pour voſtre Majeſté:	Je pourrais (il est vrai) passer pour téméraire, Si je vous proposais une vertu vulgaire, Mais la mienne est célèbre, et peu sans vanité, Ont fait ce que j'ai fait pour votre Majesté:
Et i’aprends toutefois pour tout fruict de mon gele, Que vous me ſoupçonnez du titre d’infidele.	Et j'apprends toutefois pour tout fruit de mon gèle, Que vous me soupçonnez du titre d'infidèle.
Moy traiſtre, moy perfide!	Moi traître, moi perfide!
en quoy Roy d’Arraon D’vne tache ſi noire ay-je ſoüillé mon nom?	en quoi Roi d'Arraon D'une tache si noire ai-je soüillé mon nom?
Et merité de vous l’iniuſte violence, Qui veut l’enſeuelir dans la nuict du ſilence?	Et mérité de vous l'injuste violence, Qui veut l'ensuelir dans la nuit du silence?
LE ROY.	LE ROY.
Que veut cet homme!	Que veut cet homme!
ôCiel!	ôCiel!
D.	D.
LOPE.	LOPE.
Homme!	Homme!
oüy ſans me flatter, C’eſt vne qualité dont ie me puis vanter:	oui sans me flatter, C'est une qualité dont personne me puis vanter:
Oüy, Seigneur, ie ſuis homme, & quelque fois plus qu’homme, Quand ie crois trop l’ardeur qui pour vous me conſomme, Et quand dans les dangers où l’on me voit courir, Ie crois eſtre immortel & ne pouuoir perir.	Oui, Seigneur, je suis homme, et quelque fois plus qu'homme, Quand tu crois trop l'ardeur qui pour vous me consomme, Et quand dans les dangers où l'on me voit courir, Je crois être immortel et ne pouvoir périr.
I FANTE.	I SANTÉ.
Iugez quel embarras me cauſoit ſa rencontre?	Jugez quel embarras me causait sa rencontre?
Iuſte Ciel!	Juste Ciel!
D.	D.
LOPE.	LOPE.
F OY.	F OY.
Eſt-il fol?	Est-il fol?
L’INFANTE.	L'INFANTE.
Son geſte vous le monſtres	Son geste vous le monstres
OY ſe retirant.	OY se retirant.
Paſſe, que me veux-tus	Passe, que me veux-tus
D.	D.
LOPE.	LOPE.
A quelle épreuue o Cieux!	À quelle épreuve ô Cieux!
metlez vous ma vertu?	metlez -vous ma vertu?
Si de l’abord des Rois le merite eſt indigne.	Si de l'abord des Rois le mérite est indigne.
1.	1.
GARDES le tirant par les eſpaules.	GARDES le tirant par les épaules.
Toſt dehors:	Tôt dehors:
Cardes mettez le horst ô la folie infigne!	Cardes mettez le horst ô la folie insigne!
D.	D.
LOPE.	LOPE.
O mon cœur!	Ô mon cœur!
ô mes bras indomptez!	ô mes bras indomptés!
Vous m’auez procuré de belles qualitez, Pour auoir ſi bien fait noſtre fortune eſt grande, Quandonſert on eſt ſage, & fol quand on demande.	Vous m'avez procuré de belles qualités, Pour avoir si bien fait notre fortune est grande, Quandonsert on est sage, et fol quand on demande.
SCENEV.	SCENEU.
ALNE LE ROY, L’INFANTE.	ÀLNE LE ROY, L'INFANTE.
LE ROY.	LE ROY.
VE fol peint par ces mots, mon deſtin rigouY reux, Et me fait le portraict de moy-meſme amoureux;	VE fol peint par ces mots, mon destin rigouis reux, Et me fait le portrait de moi-même amoureux;
Ie bruſle ſans eſpoir, ie ſerts ſans recompenſe, Mon ſeruice eſt ſouffert, & ma priere offence;	Je brûle sans espoir, ie serts sans récompense, Mon service est souffert, et ma prière offense;
L’eſtat, ma cher ſœur, où Dieu m’a deſtiné, Comme ie le regis, m’a touſiours gouuerné;	L'état, ma cher sœur, où Dieu m'a destiné, Comme ie le régis, m'a toujours gouverné;
Y regnant, i’ay ſuiuy les loix qu’il m’a données, Iay dans ſes intereſts mes pa ßions bornées;	Y régnant, j'ai suivi les lois qu'il m'a données, Iais dans ses intérêts mes pa ssions bornées;
Ie les eſpouſois ſeuls;	Je les épousais seuls;
mais auiourd’huy l’amour Plus abſolu que luy, veut regner à ſon tour.	mais aujourd'hui l'amour Plus absolu que Elle, veut régner à son tour.
Il ne peut plus ſouffrir qu'en l’ardeur qui me preſſe, Il contraigne ſon maiſtre auenoneue jumuiſtreſſe;	Il ne peut plus souffrir qu'en l'ardeur qui me presse, Il contraigne son maître auenoneue jumuistresse;
Et diſpoſant de moy faſſe d’vn Potentat, Moins vn Prince en effet, qu’vn ſerf de ſon Eſtat;	Et disposant de moi fasse d'un Potentat, Moins un Prince en effet, qu'un serf de son État;
En cette paßion l’intereſt de Cabrere, Seul preferable au mien pourroit m'eſtre contraiA quoy que Leonor me reduiſe aujourdhuy, Ses mepris me plairoient, ſesvœux eſtants pour luy, Et mon reſpect iroit iuſqu à la deference;	En cette passion l'intérêt de Cabre, Su préférable au mien pourroit m'ère contraiA quoi que Leonor me réduise aujourdhuy, Ses mépris me plairoient, sesvœux étants pour lui, Et mon respect iroit iusqu la déférence;
De pouuoir, enamour, ſouffrir ſa preference;	De pouvoir, enamour, souffrir sa préférence;
L’INFANTE.	L'INFANTE.
Ha!	Ha!
vous pouuez, Seigneur, eſleuer vn vaſſal, Au rang d’vn fauory, mais non pas d’vnriual;	vous pouvez, Seigneur, élever un vassal, Au rang d'un favori, mais non pas d'vnriual;
Si ce reſpect en vous treuoit tant de foibleße, S’il eſtoit ſi puiſſant pres de voſtre maiſtreſſe;	Si ce respect en vous trouvait tant de foiblesse, S'il était si puissant pres de votre maîtresse;
A quel poinct ſon pouuoir ne s’eſtendroit il pas, Et deſſus vos ſujets, & deſſus vos eſtats?	À quel point son pouvoir ne s'étendrait -il pas, Et dessus vos sujets, et dessus vos états?
LE ROY.	LE ROY.
Dedans les ſentiments que ſa vertu m’inſpire, Luy pouuant außi bien dépoſer mon Empire, Que la pretention d ion ouſed amourenx, Ie voudrois couronner ſon front, comme ſes yeux.	Dedans les sentiments que sa vertu m'inspire, Lui pouvant aussi bien déposer mon Empire, Que la prétention d ion ouséd amourenx, Je voudrais couronner son front, comme ses yeux.
Sondons de qui ſon cœur recognoiſt la puiſſance, Pour m’en faire vne loy d’eſpoir ou de deffence;	Sondons de qui son cœur reconnaît la puissance, Pour m'en faire une loi d'espoir ou dé sensé;
L’INFANTE le ſuiuant.	L'INFANTE le suivant.
Enfant pere des arts, Ingenieux tourment, Fay regner ma riuale & m’acquiers mon amant.	Enfant père des arts, Ingénieux tourment, Fais régner ma rivale et m'acquiers mon amant.
SCEEVDVL D.	SCEUDVL D.
BERNARD, D, LOPE.	BERNARD, D, LOPE.
D.	D.
BERNARD.	BERNARD.
Voy rien ne vous ſuccede?	Vois rien ne vous succède?
& le Prince & l’Infante, De cet indigne accueil ont traicté voſtre attente?	et le Prince et l'Infante, De cet indigne accueil ont traité votre attente?
D.	D.
LOPE.	LOPE.
Ils m’ont traicté d’vn nom que i’ay bien mertté, Si quelque eſpoir encor flatte ma vanité, Si ſacrifiant plus à mes erreurs paſſees, I'en fais le fondement de mes folles penſees;	Ils m'ont traité d'un nom que j'ai bien merté, Si quelque espoir encor flatte ma vanité, Si sacrifiant plus à mes erreurs passe, J'en fais le fondement de mes folles pensées;
Et ſi dans les perils d’vne fameuſe mort, Ie ne vais contenter la cruauté dù ſort.	Et si dans les périls d'une fameuse mort, Je ne vais contenter la cruauté dù sort.
I’ay veu cent fois le ports & la vague plus forte, Quand i’y penſe arriuer à l’inſtant me r’emporte, I’ay faict tout ce que peut pour preuue de ſa foy, Vn captif pour ſõ maiſtre, vn ſubiect pour ſon Roy;	J'ai vu cent fois le ports et la vague plus forte, Quand j'y pense arriver à l'instant me remporte, J'ai fait tout ce que peut pour prévue de sa foi, Un captif pour sont maître, un sujet pour son Roi;
En mille occaſions i’ay la parque affrontee, Meſme par les meſpris ma foy s’eſt excitee;	En mille occasions j'ai la parque affronte, Même par les mépris ma foi s'est excite;
Et plus i’ay pour l’eſtat acheué de trauaux, Plus il me fait d’iniure, & ſe rit de mes maux;	Et plus j'ai pour l'état achevé de travaux, Plus il me fait d'injure, et se rit de mes maux;
La terre ainſi de fleurs & de moiſſon parée, Eſt prodigue à la main, dont elle eſt dechirée, Et d’vn ſeruile effort ranimant ſa vigueur, Donne à qui plus contre elle exerce de rigueur;	La terre ainsi de fleurs et de moisson parée, Est prodigue à la main, dont elle est déchirée, Et d'H servile effort ranimant sa vigueur, Donne à qui plus contre elle exerce de rigueur;
Mais le plus rude affront dõt ie reſſents l’atteinte, Eſt ce fatal appas, cette mortelle feinte, Dont la ſuperbe Infante a voulu colorer L’eſpoir qu'elle ſemoit, pour me deſeſperer;	Mais le plus rude affront dõt le ressents l'atteinte, Est ce fatal appas, cette mortelle feinte, Dont la superbe Infante a voulu colorer L'espoir qu'elle semait, pour me désespérer;
Quand ie n'oze eſtre Amant, on m’ordonne de l’ere, Pour me traicter de fol, on me le fait paroiſtre;	Quand notre n'ose être Amant, on m'ordonne de l'ère, Pour me traiter de fol, on me le fait paraître;
Et le frere & la ſœur tous deux également.	Et le frère et la sœur tous deux également.
Font de mes paßions leur diuertiſſement.	Font de mes passions leur divertissement.
LAZARILLE apportant vne eſcharpe de toile d’or, & vne lettre à D.	LAZARILLE apportant une écharpe de toile d'or, et une lettre à D.
Lope.	Lope.
SENVEVIE LAZARILLE, D.	SENVEUIE LAZARILLE, D.
LOPE, D.	LOPE, D.
BERN.	BERN.
Enez voſtre fortune eſt en haute poſture, IO le diuin obiect!	Enez votre fortune est en haute posture, JO le divin objet!
l’aymable ceature!	l'aimable ceature!
Ses charmes m’ont ſurpris, & iamais le Soleil, En, vn oblique tour, n’a rien veu de pareil, Crt gages vout font foy de ſon amour extréme.	Ses charmes m'ont surpris, et jamais le Soleil, En, Un oblique tour, n'a rien vu de pareil, Crt gages vout font foi de son amour extrême.
D.	D.
LOPE.	LOPE.
Qui te les a donnez?	Qui te les a donnés?
LAZARILLE.	LAZARILLE.
Violante elle meſme;	Violante elle -même;
D.	D.
LOPE.	LOPE.
Croiray-je à ſes écrits, quand ſes yeux inhumains.	Croirai-je à ses écrits, quand ses yeux inhumains.
Par vn ſi froid accueil ont dementy ſes mains?	Par un si froid accueil ont démenti ses mains?
LAZARILLE.	LAZARILLE.
diauie queut u ompie aauis eſt ceiit ptolante?	diavie queut u ompie aavis est ciit ptolante?
D.	D.
LOPE.	LOPE.
I'ay penſe ſous ce nom rẽdre hommage à l’Infante!	J'ai pense sous ce nom rendre hommage à l'Infante!
LAZARILLE riant.	LAZARILLE riant.
A l’Infante!	À l'Infante!
écoutez d’vn fidelle pinceau, Ie vais de ſa beauté vous faire le tableau;	écoutez d'un fidèle pinceau, Je vais de sa beauté vous faire le tableau;
Sous ce nom captieux, ie preparois ma veuë, Aux celeſtes attraits dont l’Infante eſt pourueuë;	Sous ce nom captieux, je préparais ma vue, Aux célestes attraits dont l'Infante est pourvue;
Mais pour toute merueille Ignés ne m’a faiſt voir Qu'vn Spectre & qu’vn fantoſme horrible d'onceuoir, La plus belle moitié de ce mouuant ſchelette, Couché deſſous ſon lict, & deſſous ſa toilette;	Mais pour toute merveille Ignès ne m'a faisut voir Qu'un Spectre et qu'un fantôme horrible d'oncvoir, La plus belle moitié de ce mouvant schette, Couché dessous son lit, et dessous sa toilette;
D’abord que i’ay monté s’aiuſtant auec ſoing, Elle a pris ſes patins pour me voir de plus loing;	D'abord que j'ai monté s'aiustant avec soin, Elle a pris ses patins pour me voir de plus loing;
Pour ſecond ornement, i’ay veu ſur ſes eſpaules, Vn abregé des monts qui ſeparent les Gaules;	Pour second ornement, j'ai vu sur ses épaules, Un abrégé des monts qui séparent les Gaules;
Son front où l’on diroit que le ſoch a paſſé, S’eſleue à hauts ſillons ſur vn œil enfoncé, Qu'on peut dire vn ſoleil non par ce qu’il eſclaiMais par ce qu’il eſt ſeul &, qu’il n’a point defreLet emps a pris plaiſir par de longs accidents, A ronger & pourrir l’iuoire de ſes dents;	Son front où l'on dirait que le soch a passé, S'esleue à hauts sillons sur un œil enfoncé, Qu'on peut dire un soleil non par ce qu'il éclaiMais par ce qu'il est seul et, qu'il n'a point défreLet emps a pris plaisir par de longs accidents, A ronger et pourrir l'ivoire de ses dents;
D’vn art mal agencé le plaſtre & la peinture, Sur ſa pendante ioüe ont caché la nature:	D'un art mal agencé le plâtre et la peinture, Sur sa pendante joue ont caché la nature:
Rien ne la pare enfin qui ne ſoit emprunté.	Rien ne la pare enfin qui ne soit emprunté.
Pour ſon poil il eſt ſien, pour l’auoir achepté;	Pour son poil il est sien, pour l'avoir acheté;
Mais il fut autres fois celuy d’vne autre teſte.	Mais il fut autres fois celui d'une autre tête.
Faictes en bien le vain;	Faictes en bien le vain;
voila voſtre conqueſte Qui chez l’Infante au reſte a quelque authorité, Mais ie ne vous puis dire en quelle qualité, Sinon qu'elle à ſonnom, muts nonpus fonmerde.	voilà votre conquête Qui chez l'Infante au reste à quelque autorité, Mais ainsi ne vous puis dire en quelle qualité, Sinon qu'elle à sonnom, muts nonpus fonmerde.
D.	D.
BERNARD.	BERNARD.
C’eſt vne vielle fille & preſque decrepite, Qui la ſert à la chambre, & dans quelque credit, D.	C'est une vielle fille et presque décrépite, Qui la sert à la chambre, et dans quelque crédit, D.
LOPE jettant la letre & l’escharpe.	LOPE jetant la letre et l'écharpe.
