YV RE, R Y	YU RE, R Y
Tient-elle pour affront cette heureuſe priſon;	Tient-elle pour affront cette heureuse prison;
Où i’ay faict pour ſon bien conſentir ſa raiſon.	Où j'ai fait pour son bien consentir sa raison.
FILENE.	SILÈNE.
Sire, ce n'est pas tout:	Sire, ce n'est pas tout:
car la voyant paroistre, Vous teſmoignieZ tantoſt de ne la pas cognoistre, Vous auez rudement ſon diſcours reietté, Accuſe ſon eſprit de trop de vanité:	car la voyant paraître, Vous témoigniez tantôt de ne la pas cognoistre, Vous avez rudement son discours reietté, Accuse son esprit de trop de vanité:
Si bien qu’elle ſe vange,& quoy qu’elle vous ayme, Ie tiens qu’elle araiſon de vous traicter de meſme,	Si bien qu'elle se venge, Seigneur quoiqu'elle vous aime, Je tiens qu'elle araison de vous traiter de même,
ACTE	ACTE
ACTE III.	ACTE III.
SCENE SIXIESME.	SCÈNE SIXIÈME.
LE DVC.	LE DUC.
ALCANDRE.	ÀLCANDRE.
TANCREDE.	TANCREDE.
LE CHTITHINE.	LE CHTITHINE.
DESGARDES, tous aux pieds du Roy.	DESGARDES, tous aux pieds du Roi.
ALCANDRE.	ÀLCANDRE.
Velles graces rendray-ie au plus iuſte des Roys?	Velles grâces rendrai-je au plus juste des Rois?
Perdant la liberté, nous perdiſmes la voix, Nostre ame dans nos fers fut de ſorte ſurpriſe, Que ceſte deliurance à peine l’a raſſiſe, Nous demeurons muets.	Perdant la liberté, nous perdîmes la voix, Notre âme dans nos fers fut de sorte surprise, Que cette délivrance à peine l'a rassise, Nous demeurons muets.
Que dirions-nous auſſi, Puiſque noſtre innocence en a pris le ſoucy?	Que dirions-nous aussi, Puisque notre innocence en a pris le souci?
Qu’vn muet innocent eſt (chez vous) plus capable De ſe iustifier, qu’vn eloquent coupable.	Qu'un muet innocent est (chez -vous) plus capable De se justifier, qu'un éloquent coupable.
TANCREDE.	TANCREDE.
Sire, daignez ſouffrir que ie baiſe les mains, Du plus puiſſant des Roys qu’honorent les humains.	Sire, daignez souffrir que je baise les mains, Du plus puissant des Rois qu'honorent les humains.
Que vostre Majesté diſpoſe d'vne vie, Que ſans priſon ny fers elle tient aſſeruie.	Que votre Majesté dispose d'une vie, Que sans prison ici fers elle tient asservie.
Aueeques mon deuoir, mon inclination Rend, & rendra touſiours ceſte ſouſmiſſion.	Avéeques mon devoir, mon inclination Rend, et rendra toujours cette sousmission.
LE ROY.	LE ROY.
Qui s’eſt donné le droict de deliurer ces traiſtres?	Qui s'est donné le droit de délivrer ces traîtres?
Quoy iuſques dans ma Cour mes ſubiects ſont mes maiſtres?	Quoi jusque dans ma Cour mes sujets sont mes maîtres?
Ne ſois point en ſoucy, chere ame de mes iours, Ceste feinte eſt requiſe au bien de nos amours.	Ne sois point en souci, chère âme de mes jours, Cette feinte est requise au bien de nos amours.
Quel ennemy, quel charme a leur chaiſne briſée?	Quel ennemi, quel charme a leur chaîne brisée?
Il conti- De qui ceste ſortie eſt-elle authoriſée?	Il conty- De qui cette sortie est-elle autorisée?
Viennent-ils acheuer la ſanglante action.	Viennent-ils achever la sanglante action.
Qu’ils ont deſia commiſe en leur intention?	Qu'ils ont déjà commise en leur intention?
LE CAPITAINE DES GARDES.	LE CAPITAINE DES GARDES.
Dieux!	Dieux!
qu’est-ce que ie voy?	qu'est-ce que ie cy?
Sire, aucune licence Nvem a faid rien tentrer contre voſtre deffence, Ils m’auroient ſans effect tous leurs moyens offerts, L’anneau ſeul que i’ay veu, m’a fait rompre leurs fers	Sire, aucune licence Nvem a said rien tentrer contre votre défense, Ils m'auraient sans effet tous leurs moyens offerts, L'anneau seul que j'ai vu, m'a fait rompre leurs fers
LE ROY, ragardant à ſon doigt.	LE ROY, ragardant à son doigt.
Il faut que d’autres qu’eux trempent en l’entrepriſe Qui m’ont ce diamant deſtourné par ſurpriſe.	Il faut que d'autres qu'eux trempent en l'entreprise Qui m'ont ce diamant détourné par prise.
N Braunlt le rajant coirs,	NA Braunt le rajant coirs,
LECAP.	LECAP.
monſtrant Liliane.	montrant Liliane.
Ceſte ieune beauté, Qui m'a dit le tenir de voſtre Majeſté.	Cette jeune beauté, Qui m'a dit le tenir de votre Majesté.
LE ROY.	LE ROY.
Lors que ie l’obligeay de ceſte courtoiſie, De violents ſoucys m’auoient l’ame ſaiſie:	Lors que ici l'obligeai de cette courtoisie, De violents soucis m'avaient l'âme saisie:
Donnez-moy cét anneau;	Donnez-moi cet anneau;
toy ne differe plus, Exempte-moy d’oüyr leurs regrets ſuperflus:	toi ne diffère plus, Exempte-moi d'ouïr leurs regrets superflus:
Va remettre en l’horreur d’vne priſon plus noire, Ces lâches ennemis des loix & de ma gloire.	Va remettre en l'horreur d'une prison plus noire, Ces lâches ennemis des lois et de ma gloire.
LE	LE
LE DVC.	LE DUC.
Sire, ſouuenez-vous que le Ciel a des yeux.	Sire, souvenez-vous que le Ciel a des yeux.
LE ROY.	LE ROY.
Oüy pour voir & punir ton forfaict odieux, Qu’ils ſortent promptement:	Oui pour voir et punir ton forfait odieux, Qu'ils sortent promptement:
tu ne ſçaurois, ma Reyne, Si tu m’aymes encor, t’affliger de leur peine.	tu ne saurais, ma Reine, Si tu m'aimes encor, t'affliger de leur peine.
Puiſque la meſme nuit qui doit ioindre nos cors, Les doit tirer des fers, & faire nos accords.	Puisque la même nuit qui doit joindre nos cors, Les doit tirer des fers, et faire nos accords.
Helas!	Hélas!
que ceſte nuict faict languir mon attente!	que cette nuit fait languir mon attente!
Que mon deſir eſt prompt,& que ſa fin eſt lente!	Que mon désir est prompt,et que sa fin est lente!
Les fers de noſtre hymen pourront bien estre forts.	Les fers de notre hymen pourront bien être forts.
Puiſque le Ciel y met tant de temps & d’efforts.	Puisque le Ciel y met tant de temps et d'efforts.
L ROY auec des contenances toutes changées.	 ROY avec des contenances toutes changées.
Triſte, lent, aſſoupy, froid comme eſt vne ſouche, Foible, & qui ne ſçaurois qu'à peine ouurir la bouche, De qui le changement en ma paſleur ſe lit, Ie reclame vos ſoins, qu’on me conduiſe au lict.	Triste, lent, assoupi, froid comme est une souche, Foible, et qui ne saurais qu'à peine ouvrir la bouche, De qui le changement en ma pâleur se lit, Je réclame vos soins, qu'on me conduise au lit.
LEANDRE, ALEONOR, tout bas.	LÉANDRE, ALÉONOR, tout bas.
Voyez quel prompt effect a changé ſon viſage.	Voyez quel prompt effet a changé son visage.
LILIANE.	LILIANE.
Si pres de voſtre eour perdez-vous le courage?	Si pres de votre eour perdez-vous le courage?
Ce mal qui ne prouient que de trop de ſoucy, Comme il eſt toſt venu, s’en ira toſt auſſi.	Ce mal qui ne provient que de trop de souci, Comme il est tôt venu, s'en ira tôt aussi.
LE ROY.	LE ROY.
Adieu, laiſſez vn peu durer mes reſueries, Et ne m’ennuyez plus de vos caiolleries.	Adieu, laissez un peu durer mes rêveries, Et ne m'ennuyez plus de vos colleriez.
Ie m’ignore moy-meſme, & reduit à ce point, I'entends, ie voy, ie parle, & ne vous cognois point.	Je m'ignore moi-même, et réduit à ce point, J'entends, Elle vois, ie parle, et ne vous connais point.
LEANDRE, A LEONOR.	LÉANDRE, À LEONOR.
Voyez l’eſtrange effect.	Voyez l'étrange effet.
LILIA	LILIA
LILIANE.	LILIANE.
Helas!	Hélas!
en ceſte peine, A quoy ſe reſoudra ma croyance incertaine?	en cette peine, À quoi se résoudra ma croyance incertaine?
ACTEIII	ACTEII
SCENE SEPTIESME.	SCÈNE SEPTIÈME.
LE ROY.	LE ROY.
As-tu ſi promptement pû voir le Medecin?	As-tu si promptement pu voir le Médecin?
Quel luy ſemble mon mal, & quel en eſt la ſource?	Quel avait semble mon mal, et quel en est la source?
IADle R0B.	IADle R0B.
Ceſte ordonnance n’eſt que pour vn mal de bourſe, Où le bien qu’elle prend ne ſçauroit arreſter:	Cette ordonnance n'est que pour un mal de bourse, Où le bien qu'elle prend ne saurait arrêter:
Mais deux mille ducats y pourront profiter.	Mais deux mille ducats y pourront profiter.
LE ROY deſchirant encor l’ordonnançe.	LE ROY déchirant encor l'ordonnançe.
Si l’ordonnance n’eſt que d’vn peu d'Ellebore, Pour ta prompte ſanté mets-en vne once encore:	Si l'ordonnance n'est que d'un peu d'Hellébore, Pour ta prompte santé mets-en une once encore:
Ton mal ſera puiſſant, ſi tu n’en gueris pas.	Ton mal sera puissant, si tu n'en guéris pas.
Que nous conte ce fol auecques ſes ducats?	Que nous conte ce fol auecques ses ducats?
FABRICE ſeul, tout interdit.	FABRICE seul, tout interdit.
Encor vne autrefois?	Encor une autrefois?
ha mal peureux Fabrice?	ha mal peureux Fabrice?
Toy qui le cognois tant, qui ſçait ſon auarice;	Toi qui le connais tant, qui sait son avarice;
Qui vois qu’il ſe pariure à moins que d’vn denier, Qui Qui ſçais comme il te gauſſe, & qui le vis hier, Tu fais de ton honneur encor ſi peu de conte, Que de venir icy t’acquerir de la honte.	Qui vois qu'il se parjure à moins que d'un denier, Qui Qui sais comme il te gausse, et qui le vis hier, Tu fais de ton honneur encor si peu de compte, Que de venir ici t'acquérir de la honte.
Ha qu’il est liberal!	Ha qu'il est libéral!
pour tout prix de mes pas.	pour tout prix de mes pas.
I'ay du feu ſur le front pour deux mille ducats.	J'ai du feu sur le front pour deux mille ducats.
Faiſons ſur ce papier des vers à la Fortune, Qu'elle ſe laſſe d’eſtre à mes vœux importune, Qu'elle me rende enfin ce Monarque indulgent:	Faisons sur ce papier des vers à la Fortune, Qu'elle se lasse d'être à mes vœux importune, Qu'elle me rende enfin ce Monarque indulgent:
Mais la Fortune est femme, & ie n’ay point d’argent.	Mais la Fortune est femme, et ie n'ai point d'argent.
IIOTET	IIOTET
SOBNE IRCEMMIERE.	SOBNE IRCEMIERE.
LEANDRE.	LÉANDRE.
LEONOR.	LEONOR.
LEANDRE, JOyez où peut aller le cours de nos affaires, V Cõbien, pour nous, ce charme a d’effets ſalutaires?	LÉANDRE, JOyez où peut aller le cours de nos affaires, V Bien, pour nous, ce charme a d'effets salutaires?
Que l’aueugle Deeſſe eſt propice à nos vœux, Si iamais à perſonne elle offrit ſes cheueux, Que ce Prince n’a rien de l’humaine nature, Qu'il a moins de raiſon, que n’auroit ſa peinture:	Que l'aveugle Déesse est propice à nos vœux, Si jamais à personne elle offrit ses cheveux, Que ce Prince n'a rien de l'humaine nature, Qu'il a moins de raison, que n'aurait sa peinture:
Enfin, que le voyant en cét estrange estat, On ſoubaitte en vos mains les reſnes de l'Eſtat.	Enfin, que le voyant en cet étrange état, On soubaitte en vos mains les rênes de l'État.
D	D
Mon riual deſormais, ne doit rien ſe promettre, Le Roy dans cét oubly vient de ſigner la lettre.	Mon rival désormais, ne doit rien se promettre, Le Roi dans cet oubli vient de signer la lettre.
Où le Duc apprendra, qu'on rompt tous les traictez, Qui deuoient par l’hymen joindre vos libertez:	Où le Duc apprendra, qu'on rompt tous les traitez, Qui devaient par l'hymen joindre vos libertés:
Cét accord denoüé rend le noſtre facile, Nous peut rendre abſolus dans toute la Sicile:	Cet accord denoüé rend le nôtre facile, Nous peut rendre absolus dans toute la Sicile:
Vous-en tiltre de Reyne, & moy de Vice-Roy, Qui receuray de vous vne eternelle loy:	Vous-en titre de Reine, et moi de Vice-Roi, Qui recevrai de vous une éternelle loi:
Mais la perte du Duc me ſemble neceſſaire, Pour la perfection de ceſte heureuſe affaire;	Mais la perte du Duc me semble nécessaire, Pour la perfection de cette heureuse affaire;
Il peut à nos deſſeins oppoſer ſon effort, Et noſtre ſeureté s’eſtablit par ſa mort.	Il peut à nos desseins opposer son effort, Et notre sûreté s'établit par sa mort.
LEONOR.	LEONOR.
Si ce charme a rendu ſon eſprit ſi traitable, S’il eſt en cét eſtat de vos aduis capable, ue differons-nous plus?	Si ce charme a rendu son esprit si traitable, S'il est en cet état de vos avis capable, ue différons-nous plus?
achenons ce deſſein, Qui me rend bien-heureuſe, & qui t’ouure mon ſein.	achenons ce dessein, Qui me rend bienheureuse, et qui t'ouvre mon sein.
ACPETT	ACPETT
SCENE SECONDE.	SCÈNE SECONDE.
LE ROY auec des contenances extrauagantes.	LE ROY avec des contenances extravagantes.
LEANDRE.	LÉANDRE.
LEONOR.	LEONOR.
FILENE.	SILÈNE.
LE ROY.	LE ROY.
Vel destin m’atiré des lieux de ma naiſſance, ASans force, ſans appuy, ſans bien, ſans cognoiſſance A me voir en ce poinct, tel autrefois veſquit Le premier des humains quand le monde nâquit.	Vel destin m'atiré des lieux de ma naissance, ASans force, sans appui, sans bien, sans connaissance À me voir en ce point, tel autrefois véquit Le premier des humains quand le monde naquit.
Il voyoit, eſtonne, ſur ceſte maſſe ronde, Que tout ſeul qu’il eſtoit, il estoit tout le monde, Ainſi ie me vois ſeul, & l’horreur de ces lieux, N’a rien que des obiects incognus â mes yeux.	Il voyait, étonne, sur cette masse ronde, Que tout seul qu'il était, il était tout le monde, Ainsi ie me vois seul, et l'horreur de ces lieux, N'a rien que des objets inconnus â mes yeux.
TELE NVI.	TÉLÉ NVI.
Dieux!	Dieux!
qu’vn mal violent a ſon ame bleſſée!	qu'un mal violent à son âme blessée!
Qu’un accident eſtrange a troublé ſa penſée!	Qu'un accident étrange a troublé sa pensée!
De quel aſtre inclement eſt ce mal prouenu, Qu’il ſoit ſi furieux, & qu’il ſoit incognu?	De quel astre inclément est ce mal provenu, Qu'il soit si furieux, et qu'il soit inconnu?
LE ROY.	LE ROY.
Amy, quelle perſonne à mes yeux ſe preſente?	Ami, quelle personne à mes yeux se présente?
D 4 EILENE	 4 EILENE
FILENE.	SILÈNE.
L’Infante voſtre ſœur.	L'Infante votre sœur.
LE ROY.	LE ROY.
Quelle ſœur?	Quelle sœur?
quelle Infante?	quelle Infante?
LEONOR.	LEONOR.
Vous tenez tous obiects pour bien indifferents, Si vous mécognoiſſez vos plus proches parents.	Vous tenez tous objets pour bien indifférents, Si vous méconnaissez vos plus proches parents.
Lte quis at prus tu jaur que vons eupes pienere?	Lette quis at prus tu j' au rons eupes pienère?
Monſieur vous laſſeZ-vous d’ouyr le nom de frere?	Monsieur vous lasseZ-vous d'ouïr le nom de frère?
LE ROY.	LE ROY.
Au pitoyable eſtat où mes iours ſont reduits, Ie n’oſe m’aſſeurer ſi moy-meſme ie ſuis:	Au pitoyable état où mes jours sont réduits, Je n'ose m'assurer si moi-même quelque suis:
En quels hinn jommei uous tuipun quand, & quel Prince, Si vous le cognoiſſez regne en cette Prouince?	En quels hinn jommei -vous tuipun quand, et quel Prince, Si vous le connaissez regne en cette Province?
LEANDRE.	LÉANDRE.
Ce pays ſe maintient ſous vn regne ſi dous, Qu’on n’y ſouhaitte point de Souuerain que vous Il eſt vray, que depuis le mal qui vous poſſede, A qui nous ne pouuons apporter de remede;	Ce pays se maintient sous un règne si dous, Qu'on n'y souhaite point de Souverain que vous Il est vrai, que depuis le mal qui vous possède, À qui nous ne pouvons apporter de remède;
Vn Vice-Roy, vous dûſt affranchir de ſoucy, Vn Monarque ſouffrant, ſon Eſtat ſouffre auſſi, Meſme on iuge fort mal de vos villes frontieres, Qu'elles pratiqueront des prouinces entieres, Et ſecouëront le ioug de vos commandemens, Si d’autres n’ont le ſoin de ces gouuernements:	Un Vice-Roi, vous dût affranchir de souci, Vén Arque souffrant, son État souffre aussi, Même on juge fort mal de vos villes frontières, Qu'elles pratiqueront des provinces entières, Et secoueront le joug de vos commandements, Si d'autres n'ont le soin de ces gouvernements:
Au mal que vous ſentte ſi obusuymez à viure, Il faut qu’vn vice-Roy de ces ſoins vous deliure.	Au mal que vous sentte si obusuimez à vivre, Il faut qu'un vice-Roi de ces soins vous délivre.
LE ROY.	LE ROY.
Vostre conſeil, ma ſœur, m’eſt important icy, Qui pourray-ie charger d’vn ſi noble ſoucy?	Votre conseil, ma sœur, m'est important ici, Qui pourrai-je charger d'un si noble souci?
LEO	LEO
LEONOR.	LEONOR.
I'approuue cét aduis, & ne cognois perſonne, Qui l’executaſt mieux que celuy qui le donne.	J'approuve cet avis, et ne connais personne, Qui l'exécutât mieux que celui qui le donne.
Ce Leandre, qui parle à voſtre Majeſté, A du merite autant que de fidelité.	Ce Léandre, qui parle à votre Majesté, A du mérite autant que de fidélité.
Ses deux freres pourront commander vos armées, Au deſſein d’augmenter ce Royaume animées, L'vn gouuerner les forts, & t'autre tes vaiſſeaux, L’vn vous ſeruir ſur terre, & l’autre ſur les eaux.	Ses deux frères pourront commander vos armées, Au dessein d'augmenter ce Royaume animées, L' Houverner les forts, et t'autre tes vaisseaux, L'un vous servir sur terre, et l'autre sur les eaux.
LE ROY.	LE ROY.
Ordonnez de l’eſtat de toutes ces affaires, Duuu promjaus qui leur ſont neceſſaires.	Ordonnez de l'état de toutes ces affaires, Duuu promjàus qui leur sont nécessaires.
Ie donneray mon ſing pour me mettre en repos, A tout ce que vous deux iugerez à propos.	Je donnerai mon sing pour me mettre en repos, À tout ce que vous deux jugerez à propos.
LEONOR.	LEONOR.
Si voſtre Majeſté iuſques à ce point m'honore, Monſieur, i’ay deux aduis à luy donner encore, Alexandre a beaucoup ſur le ſceptre attenté, Sa mort est neceſſaire à vôtre ſeureté.	Si votre Majesté jusques à ce point m'honore, Monsieur, j'ai deux avis à lui donner encore, Alexandre a beaucoup sur le sceptre attenté, Sa mort est nécessaire à votre sûreté.
Pour le Comte eſtranger, qui luy tient compagnie, On d’eût auoir d’icy ſa preſence bannie,	Pour le Comte étranger, qui lui tient compagnie, On d'eût avoir d'ici sa présence bannie,
LE ROY.	LE ROY.
Conſerue, chere ſœur, le ſoucy de mon ſort, Il ſuffit, ton conſeil eſt l’arreſt de ſa mort.	Conserve, chère sœur, le souci de mon sort, Il suffit, ton conseil est l'arrêt de sa mort.
Qu'on puniſſe aujourd’huy ce ſubiect infidelle, Quun fepurd untorpapureune criminelle.	Qu'on punisse aujourd'hui ce sujet infidèle, Quun fepurd untorpapureune criminelle.
Amy, porte à nos gens cet arreſt de ma part, Et dy leur qu’on ne peut le dépeſcher que tard, Que l’intereſt public defend qu’on luy pardonne, Et que ſon chastiment importe à ma Couronne.	Ami, porte à nos gens cet arrêt de ma part, Et dis leur qu'on ne peut le dépêcher que tard, Que l'intérêt public défend qu'on lui pardonne, Et que son châtiment importe à ma Couronne.
FILENE.	SILÈNE.
Ha!	Ha!
Sire, que l’on tient ce Seigneur innocent.	Sire, que l'on tient ce Seigneur innocent.
LEAN	LÉAN
LEANDRE.	LÉANDRE.
Tu trames ta diſgrace en deſobeyſſant, Haſte-toy ſeulement, ou ceſſe de paroiſtre.	Tu trames ta disgrâce en désobéissant, Hâte-toi seulement, ou cesse de paraître.
Si tu ne veux là bas accompagner ce traiſtre.	Si tu ne veux là bas accompagner ce traître.
AOTE TV	ÀOTE TU
SCENE TROISIESME.	SCÈNE -TROISIÈME.
FABRICE ſeul.	FABRICE seul.
VE Prince n’a pour moy que trop de volonté, SEt ſon mal ſeulement faict ma neceſſité:	VE Prince n'a pour moi que trop de volonté, SEt son mal seulement fait ma nécessité:
Ie ne le puis qu’à tort accuſer d’auarice, Sa ſeule infirmité me nuit, & non ſon vice.	Je ne le puis qu'à tort accuser d'avarice, Sa seule infirmité me nuit, et non son vice.
Et ce mal incognu le preſſe tellement, Qu’en tout vn mauuais iour il n’a qu’vn bon moment.	Et ce mal inconnu le presse tellement, Qu'en tout un mauvais jour il n'a qu’un bon moment.
Bons Dieux!	Bons Dieux!
que i’ay de part en cette maladie, Et que ie dois prier que l’on y remedie, Si cét eſprit leger eſtoit long-temps ainſi, Ma bourſe pourroit bien l’eſtre long-temps auſſi.	que j'ai de part en cette maladie, Et que personne dois prier que l'on y remédie, Si cet esprit léger était longtemps ainsi, Ma bourse pourrait bien l'être longtemps aussi.
Du plomb mis en ſa teste, où ce mal prend ſa ſource, Vaudroit aſſeurément bien de l’or dans ma bourſe.	Du plomb mis en sa tête, où ce mal prend sa source, Vaudrait assurément bien de l'or dans ma bourse.
Si faut-il,s’il demeure en ceste extremité, Tirer quelque profit de ſon infirmité, Et comme il eſt credule, en ce poinct de miſere, De quelques faux aduis, tirer vn vray ſalaire, Le voicy, ie le voy.	Si faut-il,s’il demeure en cette extrémité, Tirer quelque profit de son infirmité, Et comme il est crédule, en ce point de misère, De quelques faux avis, tirer un vrai salaire, Le voici, je le vois.
ACTE	ACTE
ACTE IV	ACTE IV
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
LE ROY.	LE ROY.
FABRICE.	FABRICE.
LE ROY.	LE ROY.
Vi vient?	Vi vient?
que vois-ieicy?	que vois-je?
2 Fabrice:	2 Fabrice:
FABRICE.	FABRICE.
LE ROY.	LE ROY.
Tencognuis que von appene brinrs	Tensognis que von appène brinrs
FABRICE.	FABRICE.
Sire, on ne peut plus voir deux mille eſcus enſemble, Sans ſe reſſouuenir de mon nom ce me ſemble.	Sire, on ne peut plus voir deux mille écus ensemble, Sans se ressouvenir de mon nom ce me semble.
LE ROY.	LE ROY.
Quel nom?	Quel nom?
Si vous n’aueZ autre occupation, Que i’apprenne deux mots de voſtre extraction, Et nous promenants ſeuls, deſſous ces galleries, Diuertiſſés vn peu mes triſtes reueries.	Si vous n'avez autre occupation, Que j'apprenne deux mots de votre extraction, Et nous promenants seuls, dessous ces galléries, Divertissez un peu mes tristes révériez.
FABRICE.	FABRICE.
I'auray bien de la peine à reſpondre à ce point, Pour mon pere, deſia, ie ne le cognois point, Et d’vn autre coſté ma mere est ſi cognue, Que tous les crocheteurs la monſtrent par la ruë Mais c’est trop differer, faiſons ce-qui luy plaist:	J'aurai bien de la peine à répondre à ce point, Pour mon père, déjà, toujours ne le connais point, Et d'un autre côté ma mère est si connue, Que tous les crocheteurs la montrent par la rue Mais c'est trop différer, faisons ce-qui la plaît:
Que ne croira-t’il point, inſensé comme il eſt.	Que ne croira-t-il point, insensé comme il est.
Sire, tous les autheurs parlent de ces Fabrices, De qui Rome a tiré de ſi nobles ſeruices;	Sire, tous les auteurs parlent de ces Fabrices, De qui Rome a tiré de si nobles services;
Vn ſeul de mes ayeux, ſans peine, & ſans riual Conquist toute l’Eſpagne, & défit Hannibal.	Un seul de mes aïeux, sans peine, et sans rival Conquit toute l'Espagne, et défit Hannibal.
Son fils, pour des exploicts que ne fit iamais homme, Parût ſi glorieux dans vn marché de Rome.	Son fils, pour des exploits que ne fit jamais homme, Part si glorieux dans un marché de Rome.
Qu'il ſe veid au milieu de mille bataillons, Eſleué de quatorſe, ou de quinze eſchellons:	Qu'il se vit au milieu de mille bataillons, Élevé de quatorze, ou de quinze échelons:
Ha!	Ha!
qu’vn de ſes enfans s’est acquis de memoiré, Et combien de Ceſars ont enuié ſa gloire!	qu'un de ses enfants s'est acquis de mémoiré, Et combien de Césars ont envié sa gloire!
Que ny Roland ſans peur, ny qu’Oger le Danois:	Que mille Roland sans peur, ni qu'Oger le Danois:
Que mon pere ſon fils a fait de belles choſes, Et qu'il en eſt parlé dans les Metamorp hoſes!	Que mon père son fils a fait de belles choses, Et qu'il en est parlé dans les Métamorp hoses!
En ſes moindres efforts, ſon bras plus que diuin, Répandit plus de ſang que ie ne bois de vin.	En ses moindres efforts, son bras plus que divin, Répandit plus de sang que sans ne bois de vin.
LE ROY.	LE ROY.
Valeureux Cheualier, que l’on vous doit de gloire:	Valeureux Chevalier, que l'on vous doit de gloire:
ABRICE.	ÀBRICE.
Cheualier!	Chevalier!
ô bons Dieux comme il m'en fait accroire, Ie ne montay iamais qu’un ſeul cheual de bats, Encore ne ceſſa-t’il qu’il ne m’eust mis à bas:	ô bons Dieux comme il m'en fait accroire, Je ne montai jamais qu'un seul cheval de bats, Encore ne cessa-t-il il ne m'eût mis à bas:
l conti- Ce genereux Herôs, Sire, m’a faict vn frere, Qui ſur tout s’eſt acquis les ſecrets de la Sphere.	l conty- Ce généreux Herôs, Sire, m'a fait un frère, Qui sur tout s'est acquis les secrets de la Sphère.
Ha!	Ha!
Sire, qui croiroit les eſtranges effects, Que moy-meſme i’ay leus, aux eſcrits qu’il a faict?	Sire, qui croirait les étranges effets, Que moi-même j'ai lus, aux écrits qu'il a fait?
Qu’il coignoist une eſtoile à nous nuire obſtinée, Et qu’il nous a predit vne funeste année.	Qu'il coignoist une étoile à nous nuire obstinée, Et qu'il nous a prédit une funeste année.
LE ROY.	LE ROY.
Puis-ie, braue Herôs, ſans paroiſtre indiſcret, Vous prier de m’apprendre vn ſi rare ſecret?	Puis-je, brave Herôs, sans paraître indiscret, Vous prier de m'apprendre un si rare secret?
FABRICE.	FABRICE.
Quoy?	Quoi?
ce qu’on ſçait deſia par toute la prouince, N’a pas encore gaigné les oreilles du Prince?	ce qu'on sait déjà par toute la province, N'a pas encore gagné les oreilles du Prince?
vons jeur en te Royanme, iguurte vouxte malEt combien à nos iours l’or doit eſtre fatal?	vons jeur en te Royanme, iguurte voute malEt combien à nos jours l'or doit être fatal?
LE ROY.	LE ROY.
Ie ſçay que l’or peut tout dans le ſiecle où nous ſommes, Il eſt le ſeul ſuiect de tous les maux des hommes.	Je sais que l'or peut tout dans le siècle où nous sommes, Il est le seul sujet de tous les maux des hommes.
FABRICE.	FABRICE.
Ha!	Ha!
Sire, ie l’entens tout antrement encor, Qui veut bien-tost mourir n’a qu’à porter de l’or.	Sire, Seigneur l'entends tout antrement encor, Qui veut bientôt mourir n'a qu'à porter de l'or.
Ce metail (ceſte année a la vertu ſi forte, Quu fau peruud uueiouceluy qui le porte.	Ce métail (ces année a la vertu si forte, Quu fau pervud uvejoucelui qui le porte.
Chacun fuit ce qui fut iadis ſi precieux, Et ie ne cite point de teſmoins, que mes yeux.	Chacun fuit ce qui fut jadis si précieux, Et tu ne cite point de témoins, que mes yeux.
chaiſne d’or.	chaîne d'or.
O Ciellque ce diſcours met mon eſprit en prine, Iettons ce diamant, & quittons ceſte chaiſne:	Ô Ciellque ce discours met mon esprit en prine, Jettons ce diamant, et quittons cette chaîne:
Pourquoy m'a-t’on celé ceſte prediction?	Pourquoi m'a-t-on celé te prédiction?
Dieux!	Dieux!
ie meurs de cholere;	Elle meurs de colère;
& d’apprehenſion.	et d'appréhension.
FABRICE en les ramaſſant.	FABRICE en les ramassant.
Tijqne oopre nananture à tout homme eſt commune, Sire, il les faut cacher de peur d’autre infortune.	Tijqne oopre nanenture à tout homme est commune, Sire, il les faut cacher de peur d'autre infortune.
LE ROY.	LE ROY.
Qu’on iette dans la mer ce mal-heureux metal, Qui trouué pourroit eſlre à quelqu’autre fatal.	Qu'on jette dans la mer ce malheureux métal, Qui trouvé pourrait eslre à quelque autre fatal.
FABRICE, s’en allant auec l’or.	FABRICE, s'en allant apprendre l'or.
La belle occaſion que la Fortune m’offre!	La belle occasion que la Fortune m'offre!
Que ie vais de bon gré le ietter dans mon coffre?	Que ici vais de bon gré le jeter dans mon coffre?
LE ROY ſeul, auec des actions toutes differentes.	LE ROY seul, avec des actions toutes différentes.
4 Dieux!	4 Dieux!
comme nos humeurs changent en vn moment Qu'en moins que d’vn traict d’œil ie ſents d’allegement!	comme nos humeurs changent en un moment Qu'en moins que d'op trait d'œil apprendre sents d'allégement!
Mes ſoins auoient ſi bien mon humeur refroidie, Qu’il me ſemble ſortir de quelque maladie.	Mes soins avaient si bien mon humeur refroidie, Qu'il me semble sortir de quelque maladie.
Mais, où ſont tous mes gens?	Mais, où sont tous mes gens?
FILENE vient, & dit, Sire, le General De vos pays frontieres, auecques l’Admiral Viennent baiſer vos mains:	SILÈNE vient, et dit, Sire, le Général De vos pays frontières, avec l'Admiral Viennent baiser vos mains:
LE ROY.	LE ROY.
Et qui ſont-ils?	Et qui sont-ils?
Filene?	Filène?
Agys, & Theodoſe.	Agis, et Théodose.
FILENE.	SILÈNE.
LE ROY.	LE ROY.
As-tu l’ame bien ſaine?	As-tu l'âme bien saine?
