PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
L’eau menaçante flotte au milieu de la digue, Au cœur des Citoyens iette vn extrême effroy, Qui ſoudain d’vne trefue importunent le Roy, Orondate tandis chef du Perſe infidelle, S’échape frauduleux de la ville rebelle, Choiſiſſant vne nuit que nos hommes laſſez, Donnoient quelque relâche à leurs trauaux paſſe?	L'eau menaçante flotte au milieu de la digue, Au cœur des Citoyens jette un extrême effroi, Qui soudain d'une trêve importunent le Roi, Orondate tandis chef du Perse infidèle, S'échappe frauduleux de la ville rebelle, Choisissant une nuit que nos hommes lassez, Donnaient quelque relâche à leurs travaux passe?
Qu'en faueur de la trefue, & d’vne ville acquiſe, Ils n’auoient fait hommage au libre Dieu de Niſe.	Qu'en faveur de la trêve, et d'une ville acquise, Ils n'avaient fait hommage au libre Dieu de Nise.
Hydaspe incontinent ſçeut par les Citoyens, (Mais trop tard) l’ennemy ſauué de ſes liens, L’ennemy qui reuient hazardeux ſur ſa route, Et moins qu'vn deſ-honneur ſa ruine redoute, Preſente la bataille où il eſt demeuré, Déplorable butin du vaincœur aſſûré;	Hydaspe incontinent sçeut par les Citoyens, (Mais trop tard) l'ennemi sauvé de ses liens, L'ennemi qui revient hasardeux sur sa route, Et moins qu'un des-honneur sa ruine redoute, Presente la bataille où il est demeuré, Déplorable butin du vaincœur assuré;
Son Capitaine pris apres mainte bleſſûre, Votre époux qui ſa gloire à l’equité meſure, Pardonne neantmoins aux barbares domtez, Leur remet entre mains priuileges, Citez, Tout ce qu’ils poſſedoient auparauant la guerre, Et n’a voulu ſinon les minieres conquerre, Repeter ſon domaine octroyant vne paix, Laquelle à mon auis ne manquera iamais Tant elle eſt raiſonnable, humaine, bien fondée, Comme exemplaire ſaint digne d’eſtre gardée.	Son Capitaine pris après mainte blessûre, Votre époux qui sa gloire à l'équité mesure, Pardonne néanmoins aux barbares domptez, Leur remet entre mains privilèges, Citez, Tout ce qu'ils possédaient auparavant la guerre, Et n'a voulu sinon les minières conquère, Répéter son domaine octroyant une paix, Laquelle à mon avis ne manquera jamais Tant elle est raisonnable, humaine, bien fondée, Comme exemplaire saint digne d'être gardée.
Madame, vous auez en ce petit diſcours, De notre heureux voyage, & la ſuite, & le cours, Pour telle occaſion ſa majeſté me mande, Et afin qu'au Palais ſur le ſoir on l’attende.	Madame, vous avez en ce petit discours, De notre heureux voyage, et la suite, et le cours, Pour telle occasion sa majesté me mande, Et afin qu'au Palais sur le soir on l'attende.
PERSINE.	PERSINE.
Celeſtes, de bon cœurie confeſſe qu’à tort Infirme i’ay douté de votre alme ſupport, En recompenſe auſsy i’accroitray vos offrandes, Vos loüanges bruiront en ma bouche plus grandes, Ah!	Celestes, de bon cœurie confesse qu'à tort Infirme j'ai douté de votre âme support, En récompense aussi j'accroîtrai vos offrandes, Vos louanges bruiront en ma bouche plus grandes, Ah!
que vous m’obligez d’vn ſignalé bien fait, Que l'vn & l’autre ſort égaux vous m’auez fait, Ie n’ay plus de quoy plaindre, Orpheline de race, Le pere deſormais me retiendra ſa place, Vous me le ramenez de gloire couronné, Tout l’orgueil aduerſaire aux combats moiſſonné, Vous me le ramenez en repos perdurable, Qui mon ame paitra d'vn diſcours venerable, Suppleant aux plaiſirs de l’âge dérobez, De l’age froidureux aux membres recourbez, O Dieux!	que vous m'obligez d'Han signalé bien fait, Que l'un et l'autre sort égaux vous m'avez fait, Je n'ai plus de quoi plaindre, Orpheline de race, Le père désormais me retiendra sa place, Vous me le ramenez de gloire couronné, Tout l'orgueil adversaire aux combats moissonné, Vous me le ramenez en repos perdurable, Qui mon âme paîtra d'un discours vénérable, Suppleant aux plaisirs de l'âge dérobez, De l'âge froidureux De membres recourbez, Ô Dieux!
ô Dieux benins, ce benefice extrême Ingrate me condamne, & rauit de moy-même, Las!	ô Dieux bénins, ce bénéfice extrême Ingrate me condamne, et ravit de moi-même, Las!
& s’il vous plaiſoit (ie n’en veux plus parler) C’eſt votre prouidence indiſcrets controller, C’eſt de vœux importuns offencer vos oreilles, Et c’eſt vous enquerir d’impoſsibles merueilles, Alons il le vaut mieux chacun à ſon deuoir, Le pere du pais triomphant receuoir, Son retounmonurenu nue pompt pudique, Vaincœur luy conſacrer maint celebre cantique, Et aux temples des Dieux ſuperbement parez Pour victime tenir cent taureaux preparez	et s'il vous plaisait (ie n'en veux plus parler) C'est votre providence indiscrets contrôler, C'est de vœux importuns offenser vos oreilles, Et c'est vous enquérir d'impossibles merveilles, Alons il le vaut mieux chacun à son devoir, Le père du pais triomphant recevoir, Son retounonuren nue pompt pudique, Vaincœur lui consacrer maint celebre cantique, Et aux temples des Dieux superbement parez Pour victime tenir cent taureaux préparés
Fin de la ſeptiéme Iournée.	Fin de la septiéme Journée.
i li .	y li .
s 1 ca	s 1 ca
SOMMAIRE DE LA HVICTIESME ET DERNIERE lournee.	SOMMAIRE DE LA HVICTIESME ET DERNIÈRE lournée.
OMBRE de Calaſire, prédit à Theagene & Cariclée, la fin de leurs trauaux par vn heureux mariage.	OMBRE de Calasire, prédit à Thagène et Cariclée, la fin de leurs travaux par un heureux mariage.
Hydaſpe, en preſene de ſon peuple, veut celebrer le ſacrifice accoûtumé, & accomplir ſes vœux, en l’offrande des deux ieunes Grecs ſes priſonniers.	Hydaspe, en présène de son peuple, veut célébrer le sacrifice accoutumé, et accomplir ses vœux, en l'offrande des deux jeunes Grecs ses prisonniers.
Theagene conjure ſa maitreſſe, d’implorer le ſecours de ſes parents à telle extremité, & ſe découurir pour ce qu’elle étoit:	Théagène conjure sa maîtresse, d'implorer le secours de ses parents à telle extrémité, et se découvrir pour ce qu'elle était:
ce que promet Cariclée:	ce que promet Cariclée:
mais lors que le point de l’occaſion s’offrira, come elle fait lors qu’elle aperçoit Syſimetre grand homme de bien, & en crédit chez ſon Prince, qui intercede, tãt pour la deliurance du ieune couple étranger, que pour l’abolition d’vne ſi barbare coûtume:	mais lors que le point de l'occasion s'offrira, come elle fait lors qu'elle aperçoit Symetre grand homme de bien, et en crédit chez son Prince, qui intercède, tenez pour la délivrance du jeune couple étranger, que pour l'abolition d'une si barbare coutume:
car à l’heure Cariclée ſe declare au Roy ſon pere qui la reiette, imputant cela à quelque impoſture & à la crainte d’vne mort preſente.	car à l'heure Cariclée se déclare au Roi son père qui la riette, imputant cela à quelque imposture et à la crainte d'une mort présente.
Perſine, aux ſignes iontrez la recomoît, mais ne l’oſe auoüer, de peur que le Roy ne la ſoupçonne d’adultere, toutes fois forcée en fin de l’inſtinct maternel, & armée de ſon inocence, elle franchit cette difficulté, & dit au Roy comme l’ayant enfantée ainſy blanche & diſſemblable de couleur, à cauſe d’vn pourtraict proche de ſon lict, qui auoit obtenu telle puiſſance ſur limaginatiue de ſa conception, elle auoit fait expoſer Cariclée à ſa naiſſance par Syſimetre.	Persine, aux signes iontrez la recomoît à mais par l'ose auoüer, de peur que le Roi ne la soupçonne d'avultère, toutes fois forcée en fin de l'instinct maternel, et armée de son inocence, elle franchit cette difficulté, et dit au Roi comme l'ayant enfantée ainsy blanche et dissemblable de couleur, à cause d'un pourtrait proche de son lit, qui avait obtenu telle puissance sur limaginative de sa conception, elle avait fait exposer Cariclée à sa naissance par Sysimetre.
Le pourtraict conferé les tire de doute, outre certains tiſſus que Cariclée auoit toujours cherement conſeruez pour vne telle occurrence, Hydaſpe rauy de ioye, comande qu’on choiſiſſe vne autre victime femelle ſuppleant au defaut de ſa fille, qui liberée, procure non ſeulement la liberté, mais auſſi le mariage d’elle auec ſon cher Theagene.	Le pourtrait conféré les tire de doute, outre certains tissus que Cariclée avait toujours chèrement conservez pour une telle occurrence, Hydaspe ravi de joie, comande qu'on choisisse un autre victime femelle suppléant au défaut de sa fille, qui libérée, procure non seulement la liberté, mais aussi le mariage d'elle avec son cher Théagène.
Caricle pere nourricier de Cariclée arriue là deſſus, qui recite fidellement l’hiſtoire de leurs auantures, & coment Theageneétoit du ſang royal de Theſſalie, ce qui fait qu’Hydaſpe accepte l’alliance, entierement effectuée à la venuë des Ambaſſadeurs Theſſaliens qui cherchent.	Caricle père nourricier de Cariclée arrive là dessus, qui récite fidèlement l'histoire de leurs aventures, et coment Theageneétoit du sang royal de Thessie, ce qui fait qu'Hydaspe accepte l'alliance, entièrement effectuée à la venue des Ambassadeurs Thessaliens qui cherchent.
leur Prince, & acheuent de couronner ce docte ouurage de l’hiſtoire Etiopique.	leur Prince, et achèvent de couronner ce docte ouvrage de l'histoire Étyopique.
LES ACTEVRS, L’OMBRE DE CALASIRE.	LES ACTEURS, L'OMBRE DE CALASIRE.
SISIMETHRE.	SISIMETHRE.
Chœur de peuple de MEROE.	Chœur de peuple de MEROE.
CARICLE.	CARICLE.
CITOYEN.	CITOYEN.
CARIELEE, HVICTIESME IOVRNEE.	CARIELE, HVICTIESME IOURNE.
ACTE I.	ACTE I.
MOMAMEDE CALAJINE, THEAGENE, CARICLEE.	MOMAMEDE CALALINE, THÉGENE, CARICLE.
220buas L’ombre de CALASIRE.	20buas L'ombre de CALASIRE.
ESSAGER du deſtin ie te viens Theagene, Dénoncer de tes maux la gueriſon prochaine, Heros, Enfans des Dieux que la vertu conçût, Et qu’oncques ſurmonter la fortune ne ſçût.	ESAGER du destin ie te viens Thagène, Dénoncer de tes maux la guérison prochaine, Héros, Enfants des Dieux que la vertu conçût, Et qu'onc surmonter la fortune ne sut.
Repouſſe le ſommeil qui flatte ta paupiere, A ma voix attentif de ton bon-heur courriere;	Repousse le sommeil qui flatte ta paupière, À ma voix attentif de ton bonheur courrière;
Ouure à demy tes yeux impaſsibles de peur, Ne me reputant point vn fantôme trompeur, Au contraire celuy qui d’amour paternelle Ne te manque echappé de ſa priſon mortelle;	Ouvre à demi tes yeux impassibles de peur, Ne me réputant point un fantôme trompeur, Au contraire celui qui d'amour paternelle Ne te manque échappé de sa prison mortelle;
Auant que trois ſoleils tournent deſſur ton chef, Il u'eredoute plus encombre ny méchef,	Avant que trois soleils tournent dessur ton chef, Il udoute plus encombre homme mèches,
D'exilé, de captif, d’impieuſe victime, Vn grand Roy t'élira ſucceſſeur legitime, Tu ſeras ſon eſpoir, ſon appuy, ſon ſoulas, De ſon regne puiſſant l’infatiguable Atlas, Tu ſeras couronné par les mains d’Hymenée, Sur qui ne pourra plus la ſombre deſtinée A l’extrême content, & à l’extrême heureux, De qui naitront vn iour des en fans valeureux;	D'extrême, de captif, d'impieuse victime, Un grand Roi t'élira successeur légitime, Tu as son espoir, son appui, son soûlas, De son règne puissant l'infatiguable Atlas, Tu seras couronné par les mains d'Hyménée, Sur qui ne pourra plus la sombre destinée A l'extrême content, et à l'extrême heureux, De qui naîtront un jour des en fans valeureux;
Des Alcides, l’éfroy de toute tirannie, Infinis de renom par la terre infinie;	Des Alcides, l'éfroi de toute tyrannie, Infinis de renom par la terre infinie;
Ton merite le veut;	Ton mérite le veut;
Tu as trop acheté Inégal en trauaux, vnique en pieté, La tardiue moiſſon qui leur eſt concedée;	Tu as trop acheté Inégal en travaux, unique en piété, La tardive moisson qui leur est concédée;
Mais tel heur n’eſt außy qu’vne premiere idée, Qu'vne foible étincelle, vn petit point au pris Du ſalaire promis aux vertueux eſprits, Au pris de n’auoir plus ces paſsions humaines, Contrepois violant des fortunes hautaines, Soit craignant la reuolte en vn peuple éloigné, L’induſtrie à garder ce que l’on a gaigné;	Mais tel heur n'est aussi qu'une première idée, Qu'une faible étincelle, un petit point au pris Du salaire promis aux vertueux esprits, Au pris de n'avoir plus ces passions humaines, Contrepois violant des fortunes hautes, Soit craignant la révolte en un peuple éloigné, L'industrie à garder ce que l'on a gagné;
Touiours l’oreille ouuerte aux cõplaintes publiques, Touiours l’œil à veiller les complots domeſtiques, D'vn voiſin redoutable espier les ſecrets;	Toujours l'oreille ouverte aux cõplaintes publiques, Toujours l'œil à veiller les complots domestiques, D'un voisin redoutable épier les secrets;
Se munir incertain de contraires apprets, Telles épines ſont ſous les roſes ſemées Des iuſtables grandeurs au monde renommées.	Se munir incertain de contraires apprêts, Telles épines sont sous les roses semées Des jusqu' grandeurs au monde renommées.
Au lieu qu’au nombre ſaint de nous autres reduit Auec ta moitié, loin de trouble & de bruit, En vn air temperé, au giron des prairies	Au lieu qu'au nombre saint de nous autres réduit Avec ta moitié, loin de trouble et de bruit, En un air tempéré, au giron des prairies
Qui ſoëfues ne ſont de fleurs iamais taries, Pres des petits ruiſſeaux qui lêthent ſerpentez Le grauois du riuage en replis argentez, Tantôt dans vn bocage, où toujours Philomele De ſa pudicité ſoûpire la querelle;	Qui soëfues ne sont de fleurs jamais taries, Pres des petits ruisseaux qui lêthent serpentez Le gravais du rivage en replis argentez, Tantôt dans un bocage, où toujours Philomèle De sa pudicité soupire la querelle;
Où iamais on ne vit vn froidureux hyuer Les tendres arbriſſeaux de feüillage priuer?	Où jamais on ne vit un froidureux hiver Les tendres arbrisseaux de feuillage priver?
Maintenant ſous l’obſcur des grotes écartées, Qui d’aſſaßins brigands ne ſont point aguettées;	Maintenant sous l'obscur des grotes écartées, Qui d'assassins brigands ne sont point aguettées;
Que l’artiſte nature ouurage de ſes mains, Et que Pluton reſerue à ſes mânes plus ſaints.	Que l'artiste nature ouvrage de ses mains, Et que Pluton réserve à ses mânes plus saints.
Là, couple fortuné, exemts d’vne vieilleſſe, Vous vous rencontrerez la mutuelle oppreſſe;	Là, couple fortuné, exemts d'une vieillesse, Vous vous rencontrerez la mutuelle oppresse;
Là, vous ne craindrez plus de languir deſ vnis, Là, les chaſtes amants honorez, & benis, Ce lieu de preference, vn deuoir, vn homage, De votre ſort mortel repareroit l’outrage;	Là, vous ne craindrez plus de languir des unis, Là, les chastes amants honorez, et bénis, Ce lieu de préférence, un devoir, un hommage, De votre sort mortel réparerait l'outrage;
Et tout autre bon-heur là meſme vous attend, Que de vous reueler le deſtin me deffend, Tel que quand il ſeroit permis de te l’aprendre, Eſclaue de ton corps tu ne le peux comprendre;	Et tout autre bonheur là que vous attend, Que de vous révéler le destin me défend, Tel que quand il serait permis de te l'apprendre, Esclave de ton corps tu ne le peux comprendre;
Va ſeulement mon fils?	Va seulement mon fils?
reſolu d’endurer Le ſurplus d’vn labeur, jà, jà, preſt d’expirer, Ne t'épouuante pas à lu forte apparence D'vn extrême peril, dénué d’esperance;	résolu d'endurer Le surplus d'Hel labeur, jà, j' est d'expirer, Ne t'épouvante pas à lu forte apparence D'un extrême péril, dénué d'espérance;
Ie t’oblige la foy, que i’obligeay iadis;	Je t'oblige la foi, que j'obligeai jadis;
I’atteſte le pouuoir de l’equitable dis, Son portier effrayant, ſes dires implacables, Les ſtatus du Cretois à tous irréuocables, Le fleuue redouté des Dieux, en le iurant, Et ſi rien te pouuoit aller plus aſſeurant, Que récous du danger tu n’as ſuiet de crainte, Et qu’auant du deſtin la loy ſeroit enfrainte.	J'atteste le pouvoir de l'équitable dis, Son portier effrayant, ses dires implacables, Les status du Cretais à tous irrévocables, Le fleuve redouté des Dieux, en le jurant, Et si rien te pouvait aller plus assurant, Que récous du danger tu n'as siet de crainte, Et qu'avant du destin la loi serait enfrainte.
Adieu mon Theagene, adieu, ie vay d’icy, Ta moitié deliurer de ſemblable ſoucy.	Adieu mon Théagène, adieu, Elle vais d'ici, Ta moitié délivrer de semblable souci.
THEAGENE.	THÉGENE.
Image venerable, image reclamée, Pourquoy diſparoy tu ſi ſoudain en fumée?	Image vénérable, image réclamée, Pourquoi disparoi tu si soudain en fumée?
Demeure ie te prie, he!	Demeure ie te prie, hé!
demeure vn moment, Que ie ſois ton conſeil ſur ce fait informant, Que ru m’armes conſtant contre les deſtinées, Done au moins de baiſer ces deux mains décharnées, D'embraſſer au partir ces genous reuerez.	demeure un moment, Que nous sois ton conseil sur ce fait informant, Que ru m'armes constant contre les destinées, Done au moins de baiser ces deux mains décharnées, D'embrasser au partir ces genous révérez.
Plutôt i’arréterois le vent auec des retz;	Plutôt j'arrêterais le vent avec des retz;
Ton ſpectre iniurieux autant que deſirable, Afaute de pouuoir ſe rent inexorable.	Ton spectre injurieux autant que désirable, Afaute de pouuoir se rent inexorable.
Dure condition des eſprits trépaſſez, Que le viel Nautonnier au monde a repaſſez Ne ſemblant qu’vn eſclair enuoyé de la nuë, Ou du feu ialliſſant ſa flaméche menuë;	Dure condition des esprits trépassez, Que le viel Nautonnier au monde a repassez Ne semblant qu'un éclair envoyé de la nue, Ou du feu jallissant sa flammèche menue;
Tu me dis que i’endure, helas!	Tu me dis que j'endure, hélas!
il le faut bien, Qu'endurant ie rompray le fanebre lien, De victime ſeruir ſucceſſeur d’vn Empire, Certes peu d’apparence accompagne ton dire;	il le faut bien, Qu'endurant ie rompray le fanebre lien, De victime servir successeur d'un Empire, Certes peu d'apparence accompagne ton dire;
On n’élit point des Roys eſclaues, inconnus, Et Madame renduë à ſes parens chenus, Ie veux que du trepas elle me garantiſſe;	On n'élit point des Rois esclaves, inconnus, Et Madame rendue à ses parents chenus, Je veux que du trépas elle me garantisse;
Mais qu’admettre en ſa couche upres eut me puiſſe,	Mais qu'admettre en sa couche upres eut me puisse,
Bons Dieux qui le croira?	Bons Dieux qui le croira?
ainſy chétif, ainſy Mon ſupplice rengrege au lieu d’eſtre adoucy, I’ayme mieux que la flâme enſemble nous deuore, Que d’eſtre ſeparé de ſes yeux que i’adore;	Oainsi chétif, ains Mon supplice rengrége au lieu d'être adouci, J'aime mieux que la flamme ensemble nous dévore, Que d'être séparé de ses yeux que j'adore;
Qu'vn riual me l’arrache, ô Celeſtes puiſſants, Au ſimple ſouuenir furieux ie me ſens, Au ſimple ſouuenir mille ardantes tenailles Des filles de la nuit pincettent mes entrailles?	Qu'un rival me l'arrache, ô Celestes puissants, Au simple souvenir furieux ie me sens, Au simple souvenir mille ardantes tenailles Des filles de la nuit pincettent mes entrailles?
Auroy-ie tant ſouffert de rauiſſantes morts, Pour n’en cueillir de fruit que ce honteux remorts?	Aurais-je tant souffert de ravissantes morts, Pour n'en cueillir de fruit que ce honteux remorts?
Auroy-ie conſerué ſa chaſtete ſi pure, Afin qu’vn autre prit de mes trauuaux l’vſure?	Aurais-je conservé sa chasteté si pure, Afin qu'un autre prit de mes travaux l'usure?
Mais aurois-tu le cœur ſi lâche, & déloyal, Te voyant reconduite à ton thrône Royal, D’oublier d'vn tel heur la premiere origine?	Mais aurais-tu le cœur si lâche, et déloyal, Te voyant reconduite à ton trône Royal, D'oublier d'un tel heur la première origine?
» L’aſſeurance eſt petite en la foy feminine, Et l’ébloüyſſement d’vn heur inesperé, Rend le peu d’aſſeurance encor moins aſſeuré:	" L'assurance est petite en la foi foi, Foi foi ébloüyssement d'un heur inespéré, Rend le peu d'assurance encor moins assuré:
Ah!	Ah!
méchant!	méchant!
oſes-tu proferer ce blasphême, L’eſtimant ébloüye aux raiz d’vn diadême?	oses-tu proférer ce blasphême, L'estimant éblouie aux rais d'un diadème?
Ave meſurant ja foy que a un tompas mortel, Pardonne ma Déeſſe à ce ialoux martel, Pardonne;	Ave mesurant ja foi que a un tompas mortel, Pardonne ma Déesse à ce jaloux martel, Pardonne;
ha!	ha!
la voicy toute tremblante & pâle, Poßible elle aura veu cet ombre ſtigiale.	la voici toute tremblante et pâle, Possible elle aura vu cet ombre stigiale.
CARICLE’E.	CARICLÉLÉ.
biprotnt lheagene, ouure tes bras aymez, Mes membres de frayeur ſucombent opprimez Ie panthelle d’éfroy, ie ne ſuis plus que glace, Vn fantôme apparu me ſuit de place en place.	biprotnt lheagene, ouïr tes bras aimés, Mes membres de frayeur sucombent opprimez -Je anthelle d'éfroi, Seigneur ne suis plus que glace, Un fantôme apparu me suit de place en place.
C Vn ſpectre à Calaſire entierement pareil, Si l’aprehenſion ne ſe trompe au ſommeil, Si l’on peut diſcerner l’accent en telle crainte, Et ſi c'eſt ſon idole ou veritable, ou feinte.	Ç Son spectre à Calasire entièrement pareil, Si l'appréhension ne se trompe au sommeil, Si l'on peut discerner l'accent en telle crainte, Et si c'est son idole ou véritable, ou feinte.
THEAGENE.	THÉGENE.
Raſſeure toy mon âme, vn ſonge ne dût pas Abatre ta conſtance, & te metre ſi bas, Aux enfans appartient la terreur deceptiue De telles viſions, à l’heure qu'elle arriue;	Rassure toi mon âme, un songe ne dût pas Abattre ta constance, et te metre si bas, Aux enfants appartient la terreur déceptiue De telles visions, à l'heure qu'elle arrive;
In cuides auoir veu ce que tu n'as point veu, D'vn obiect deſiré ſéduite à l’impourueu.	In cuides avoir vu ce que tu n'as point vu, D'un objet désiré séduite à l'impourvu.
CARICLE’E.	CARICLÉLÉ.
I’ay veu ne plus ne moins que ie te voy pour l’heure, De cerueau plus raßis, & de raiſon meilleure, Vn homme décharné qui n’auoit que les os, Au nom de Calaſire entamant le propos.	J'ai vu ne plus ne moins que sans te vois pour l'heure, De cerveau plus rassis, et de raison meilleure, Un homme décharné qui n'avait que les os, Au nom de Calasire entamant le propos.
La fin de tes erreurs, par le Ciel preſeruée;	La fin de tes erreurs, par le Ciel préservée;
Ce que ie t’ay viuant prédit cent mille fois Tu touches à preſent, certaine tu le vois!	Ce que ici t'ai vivant prédit cent mille fois Tu touches à présent, certaine tu le vois!
Auiourd’huy le ſoleil ne parfera ſa route, Que tes parents ne ſoient déueloppez de doute;	Aujourd'hui le soleil ne parfera sa route, Que tes parents ne soient développez de doute;
N’aduoüent ta naiſſance, & ton extraction, Et n’échangent vn vœu plein d’execration En lieſſe publique, en licites offrandes, D’eſclaues ils te feront grande entre les plus grãdes, Vn peuple deſireux de te voir immoler, Viendra deuant ſa Reyne humble s’agenoïller, Luy requerir meroy de l’iniure paßée, Mais (adioûtoit encor cette Larue inſenſée,) Garde bien que l’orgueil d’vne proſperité Ebranle le rocher de ta fidelité?	N'aduoüent ta naissance, et ton extraction, Et n'échangent un vœu plein d'exécration En liesse publique, en licites offrandes, D'esclaues ils te feront grande entre les plus grands, Entre peuple désireux de te voir immoler, Viendra devant sa Reine humble s'agenoïller, Lui requérir meroy de l'injure passée, Mais (adioûtoit toujours cette Ladarue insensée,) Garde bien que l'orgueil d'une prosperité Eubranle le rocher de ta fidelité?
Qu'autre époux quel qu’il ſoit te prouoque l’enuie;	Qu'autre époux quel qu'il soit te provoque l'envie;
Moy-même alors ſerois le bourreau de ta vie, Qui vos chaſtes amours le premier contractey, Qui viuant comme pere à tous deux aßiſtay;	Moi-même alors serais le bourreau de ta vie, Qui vos chastes amours le premier contractey, Qui vivant comme père à tous deux asiitai;
Immobile de peur, la perruque rebourſe, A ces mots il reprend vers l’Erebe ſa courſe, En t'eſtit que tu vois me laiſſe ſans pouuoir Qu'à peine reſpirer, & qu'à peine mouubir.	Immobile de peur, la perruque rebourse, À ces mots il reprend vers l'Erebe sa course, En t'étit que tu vois me laisse sans pouvoir Qu'à peine respirer, et qu'à peine mouvir.
THEAGENE.	THÉGENE.
Et bien, eſt ce dequoy s’effrayer de la ſorte?	Et bien, est ce dequoy s'effrayer de la sorte?
L’ombre du bon vieillard d’vn oracle t’apporte Qu'il m’auoit annoncé;	L'ombre du bon vieillard d'un oracle t'apporte Qu'il m'avait annoncé;
oracle bien-heureux, Oracle tout contraire aux ſonges funereux Autheurs de défiance, & de mauuais augure, Car ſa prediction vne de coniecture Conforme à ton état, facile d’auenir, Merite vn premier rang de creante obtenir, Alenite vne touange, vne grace condigne, A ſa pieté ſainte, à ſa faueur inſigne, Que les flots oublieux n’enſeueliſſent point, Ains qu'pres le trépas il conſerue en vn point.	oracle bienheureux, Oracle tout contraire aux songes funreux Auteurs de défiance, et de mauvais augure, Car sa prédiction de coniecture Conforme à ton état, facile d'avenir, Mérite un premier rang de crante obtenir, Alénite une touange, une grâce condigne, A sa pieté sainte, à sa faveur insigne, Que les flots oublieux n'enseuelissent point, Ains qu'éprès le trépas il conserve en un point.
CARICLE’E.	CARICLÉLÉ.
De plus conſtants que moy pâliroient de courage, Regardez attentifs d'vn fantôme au viſage, On ne diſtingue pas l’amy de l’ennemy, Quand la voix grêle ſort d’vn ſquelete blêny,	De plus constants que moi pâliraient de courage, Regardez attentifs d'un fantôme au visage, On ne distingue pas l'ami de l'ennemi, Quand la voix grêle sort d'un squelete blêny,
Encore aux afligez quelque choſe funeſte Semble égouter ſur eux toujours l’ire celeſte Mais dis-tu mon deſir, ſerieux ou par ieu, L'acces auparauant de ma fie vre auoir eu?	Encore aux aligés quelque chose funeste Semble égouter sur eux toujours l'ire celeste Mais dis-tu mon désir, sérieux ou par jeu, L'accès auparavant de ma fie vre avoir eu?
THEAGENE.	THÉGENE.
L’équitable deſtin forceroit ſa iuſtice, Si tu auois fouffert, & que ie ne ſouffriſſe, Non ie n’ay pas ſouffert, ſa douce illuſion ma renun plins aua gre a ron occafion, Il ne prophetiſoit que ta grandeur future,	L'équitable destin forcerait sa justice, Si tu avais souffert, et que sans ne souffrisse, Non Non n’ai pas souffert, sa douce illusion ma renun plins au gré a ron occasion, Il ne prophétisait que ta grandeur future,
CARICLEE.	CARICLE.
Cruel me veux tu fare vis ſeconde iniure?	Cruel me veux tu sare vis seconde injure?
M’inferer derechef vuedlloyauté?	M'inférer derechef vuedlloyauté?
THEAGENE.	THÉGENE.
Dencene (chtemcarlarigtela osalre, Que pres des tiens contente en leur trône remiſe, Il n'y aura rigueur celeſte qui me nuiſe.	Dencène (chêmemcarlarigtela osalre, Que pres des tiens contente en leur trône remise, Il n'y aura rigueur celeste qui me nuise.
CARICLE’E.	CARICLÉLÉ.
A mon trône remiſe, hé!	À mon trône remise, hé!
qui n’obeyroit?	qui n'obéirait?
Qui d'vn peuple à ta voix ſoudain ne courberoit?	Qui d'un peuple à ta voix soudain ne courberait?
Quel Monarque oſeroit affronter notre gloire?	Quel Monarque oserait affronter notre gloire?
Euſe pretipiirou a ja perre noroires	Euse prétipirou a ja perre noroires
THEAGENE.	THÉGENE.
Il me ſufira bien d’échaper de la mort, Vn empire ſi grand ne conuient à mon ſort.	Il me suffira bien d'échapper de la mort, Un empire si grand ne convient à mon sort.
CARICLE’E.	CARICLÉLÉ.
De vray qui le ſoupçon qui ton ame bourelle, Iuſte s’effecturoit d'vne dame infidelle, » Quiconque ſans ſuiet preſume mal d’autrus;	De vrai qui le soupçon qui ton âme bourelle, Juste s'effecturait d'une dame infidèle, " Quiconque sans sujet presvme mal d'autrus;
1.	1.
e 2 ,, Le vice imaginé nous remarquons en luy, Coupable d’inconſtance, il te ſemble à toute heure Que ie doy faire ainſy, rien de moy ne t’aſſeure.	 2 ,, Le vice imaginé nous remarquons en lui, Coupable d'inconstance, il te semble à toute heure Que Que dois faire ainsi, rien de moi ne t'assure.
N’accuſe plus l’amour, ne dit que trop ardant Il cauſe en ton cerueau ce ialoux accident, M’aymant d’affection tu craindrois me déplaire, L'épreuue du paßé te deuroit ſatisfaire, Qu'il ne t’auienne plus, ne m’en parle iamais, Où a mon amitie renonce deſormais;	N'accuse plus l'amour, ne dit que trop ardant Il cause en ton cerveau ce jaloux accident, M'aimant d'affection tu craindrois me déplaire, L'épreuve du passé te devrait satisfaire, Qu'il ne t'avienne plus, ne m'en parle jamais, Où a mon amitié renonce désormais;
Où n’espere de moy qu'vne implacable haine.	Où n'espère de moi qu'une implacable haine.
THEAGENE.	THÉGENE.
Appaiſe ce courrous, appaiſe toy ma Reyne, Ie prens tes yeux témoins, astres de mon bon-heur, Teux, qui de l’vniuers ton cupidon vaincueur, Qu’ils ne me luiſent plus aimables & propices, Si i’ay douté de toy nonobſtant les indices, Ie connoy ton amour vn roc de fermeté;	Apaise ce courrous, apaise toi ma Reine, Je prends tes yeux témoins, astres de mon bonheur, Teux, qui de l'Hivers ton cupidon vaincueur, Qu'ils ne me luisent plus aimables et propices, Si j'ai douté de toi nonobstant les indices, Je connais ton amour un roc de fermeté;
