A 3591.	À 3591.
SOLNE VII.	SOLNE VII.
ORISMOND ſeul.	ORISMOND seul.
LIV n’iras pas bien loin, ton ame meurtriere Voit déja de bien prés le bout de ſa carriere, Et ce iuſte vangeur des injuſtes deſſeins, Reſerue contre toy bien plus que tu ne crains:	LIV n'iras pas bien loin, ton âme meurtrière Voit déjà de bien près le bout de sa carrière, Et ce juste vengeur des injustes desseins, Réserve contre toi bien plus que tu ne crains:
Il permet à la fin que ton bon-heur ſe rompe, Que ton pouuoir t’aueugle & ta faueur te trõpe;	Il permet à la fin que ton bonheur se rompe, Que ton pouvoir t'aveugle et ta faveur te trome;
L'ombre qui t’a fait peur ſous vn ſi foible eſtat, T'accablera biens toſt de ſon viuant éclat.	L'ombre qui t'a fait peur sous un si faible état, T'accablera bien tôt de son vivant éclat.
Mais parmy ce bon-heur ie crains que ce perſide, Ne la rencontre icy ſous ſa main homicide.	Mais parmi ce bonheur ie crains que ce perside, Ne la rencontre ici sous sa main homicide.
Ah i’ay tort de le craindre, & celuy dõt l’amour L’a voulu conſeruer pour ce bien-heureux iour, Doit bien-toſt en ces bois faire à ſon innocence Vn triomphe éclatant de ſa reconnoiſſance.	Ah j'ai tort de le craindre, et celui dompt l'amour L'a voulu conserver pour ce bienheureux jour, Doit bientôt en ces bois faire à son innocence Un triomphe éclatant de sa reconnaissance.
Que ce lieu pour le faire eſtoit aduantageux Si i’euſſe pû moy ſeul les y trouuer tous deux, Car ſans doute voicy la grotte qu’elle habite.	Que ce lieu pour le faire était avantageux Si j'eusse pu moi seul les y trouver tous deux, Car sans doute ici la grotte qu'elle habite.
Et que le Ciel ſouuent de ſes faueurs viſite.	Et que le Ciel souvent de ses faveurs visite.
Que ne s’y treuuoit-elle,ô Dieu!	Que ne s'y trouvait-elle,ô Dieu!
lors que Sifroy, Luy donnoit de ſon ſang pour preuue de ſa foy.	lors que Sifroy, Lui donnait de son sang pour preuve de sa foi.
Helas en l’empeſchant de ſortir de la vie, Elle l’euſt bien puny de l’en auoir bannie;	Hélas en l'empêchant de sortir de la vie, Elle l'eût bien puni de l'en avoir bannie;
En arrachant le dard à ſon perſecuteur D'vn plus aimable trait elle euſt percé ſon cœur.	En arrachant le dard à son persécuteur D'un plus aimable trait elle eût percé son cœur.
Mais peut-eſtre, mõ Dieu, que voſtre prouidence Veut encore par ſes maux éprouuer ſa conſtãce, Ou vous auez vn temps leur bon-heur differé, Pour punir ſon Sifroy d’auoir deſeſperé.	Mais peut-être, mon Dieu, que votre providence Veut encore par ses maux éprouver sa constance, Ou vous avez un temps leur bonheur différé, Pour punir son Siroi d'avoir désespéré.
Quoy qu’il en ſoit, Seigneur, ſi voſtre amour Tordonne, Ils en pourront tous deux embellir leur courõne, Ou ſi vous les voulez à la fin ſoulager Vous pourtez bien ſans moy ce bon-heur partager.	Quoi qu'il en soit, Seigneur, si votre amour Tordonne, Ils en pourront tous deux embellir leur couronne, Ou si vous les voulez à la fin soulager Vous pourtez bien sans moi ce bonheur partager.
IV.	IV.
ENTRE-ACTE.	ENTRE-ACTE.
En Ballet.	En Ballet.
ARGVMENT.	ARGUMENT.
I.	I.
Saturne qui repreſente la triſteſſe auſſi bien que le temps, s’eſtant ſaiſi des cœurs de Geneuiéue & de Sifroy, cherchoit vn lieu propre pour les deuorer.	Saturne qui représente la tristesse aussi bien que le temps, s'étant saisi des cœurs de Geneuiéue et de Sifroi, cherchait un lieu propre pour les dévorer.
Il.	Il.
Le Genie de l’innocence fait tout ce qu’il peut pour les retirer de ſes mains, mais il n’en fut pas venu à bout.	Le Génie de l'innocence fait tout ce qu'il peut pour les retirer de ses mains, mais il n'en fut pas venu à bout.
III.	III.
Si quatre petits Amours que Diane menoit à la chaſſe, ayant fait cette découuerte, ne luy euſſent enleué ſa proye.	Si quatre petits Amours que Diane menait à la chasse, ayant fait cette découverte, ne lui eussent enlevé sa proie.
IV.	IV.
Le demon de la calomnie vient pour les ariacher à ces amours, mais ils s’en deffendent.	Le démon de la calomnie vient pour les ariacher à ces amours, mais ils s'en défendent.
Si pien qu’apres luy auoir fait ſouffrir vne partie des tourmens qu’il meritoit, ils le relancent dans les Enfers, & ſe mettent à rejoindre ces cœurs.	Si pien qu'après lui avoir fait souffrir une partie des tourments qu'il méritait, ils le relancent dans les Enfers, et se mettent à rejoindre ces cœurs.
V.	V.
Dequoy les Nymphes des bols leur applaudiſſent.	Dequoy les Nymphes des bols leur applaudissent.
Treuppe des Nymphes cachée dans la Foreſt.	Treuppe des Nymphes cachée dans la Forêt.
Recit.	Recit.
Triomphez,aimables chaſſeurs, Du recouurement de ces cœurs, Qu'auoit ſurpris la calomnie, La priſe eſtoſt digne de vous, Etce detentaole eeus Ne deuoit ceder qu’à vos coups.	Triomphez,aimables chasseurs, Du recouvrement de ces cœurs, Qu'avait surpris la calomnie, La prise estôt digne de vous, Éce détentaole évus Ne devait céder qu'à vos coups.
Faites qu'vne ſainte amitié Ioigne ſi bien chaque moitié, Qu’aucun ſort plus ne les ſepare, Ce trauatr eit oigne de vous, Il faut qu’vn chef-d’œuure ſi rare.	Faites qu'une sainte amitié Joigne si bien chaque moitié, Qu'aucun sort plus ne les sépare, Ce trauatr eit oigne de vous, Il faut qu'un chef-d'œuvre si rare.
Tye y'acneue que par vos coups.	Tye y'acnève que par vos coups.
ACTE	ACTE
88 L’Innocence Reconnuë, Qui me ſuit à regret dedans vn lieu ſi ſombre.	88 L'Innocence Reconnue, Qui me suit à regret dedans un lieu si sombre.
Magnifiques Palais, toute voſtre beauté N’a rien de comparable à cette obſeurité;	Magnifiques Palais, toute votre beauté N'a rien de comparable à cette obsurité;
Que ſert voſtre appareil de dais & de baluſtres, Qn’à rendre biẽ ſouuẽt nos peines plus illuſtres?	Que sert votre appareil de dais et de balustres, Qu'à rendre bien souuẽt nos peines plus illustres?
Que fait ce faux éclat de vos felicitez, Qu’vn charme dont nos ſens demeurent enchantez?	Que fait ce faux éclat de vos félicités, Qu'un charme dont nos sens demeurent enchantez?
Ah!	Ah!
mille fois heureux, qui dans la ſolitu de, Fuyant des vains honneurs la vaine ſeruitude.	mille fois heureux, qui dans la solitu de, Fuyant des vains honneurs la vaine servitude.
Et rompant tout à coup la chaîne des pechez Où les autres mortels ſe treuuent attachez, Y vient par ſes regrets & par ſa penitence, Chercher en ſoûpirant ſa premiere innocence.	Et rompant tout à coup la chaîne des péchés Où les autres mortels se trouvent attachés, Y vient par ses regrets et par sa pénitence, Chercher en soupirant sa première innocence.
Adieu monde trompeur!	Adieu monde trompeur!
ie romps icy les fers Il chercbe Qui m’ont preſque accablé depuis que le te ſers.	Ce romps ici les fers Il cherce Qui m'ont presque accablé depuis que le te sers.
Mais ce diſcours au lieu de ſoulager mes peines, Met la ſoif ſur malangue & le feu dans mes veines;	Mais ce discours au lieu de soulager mes peines, Met la soif sur malangue et le feu dans mes veines;
Cetteſource fournit vn remede à mon mal, Dans l’humide treſor de ſon petit canal.	Certtesource fournit un remède à mon mal, Dans l'humide trésor de son petit canal.
Ah Dieu!	Ah Dieu!
qu’on gouſte mieux dans cette eau toute pure, Les biens dont l’innocence honc oit la nature, Il ſe cou- Puiſque meſmel'excez de ſe co atemens vne ceuer- N’a rien dont la douceur puiſme?	qu'on goûte mieux dans cette eau toute pure, Les biens dont l'innocence honc oit la nature, Il se cou- Puisque mesmel' allez de se co tements une cuer- N'a rien dont la douceur puisme?
yurer nos ſens.	yurer nos sens.
Mais les froides vapeurs que ia fraiſcheur excite fonds de Se ioignant au doux bruit dont ce ruiſſeau m’inuite d'vn niſ- M'obligent à fermer pour vn moment les yeux, Et iouyr en dormant du repos de ces lieux;	Mais les froides vapeurs que jouira fraîcheur excite fonds de Se joignant au doux bruit dont ce ruisseau m'inuite d' His- M'obligent à fermer pour un moment les yeux, Et jouir en dormant du repos de ces lieux;
Gοlο, qu* I'y pourray cependant plus doucement attendie elle avoit Le fidelle Oriſmond que i'y deuois reprendre.	Gοlο, qu 'y pourrai cependant plus doucement attendie elle avait Le fidèle Orismond que j'y devais reprendre.
GENEVIE’VE ſeule.	GENEUIE'UE seule.
Helas ie ſuis perduë!	Hélas appel suis perdue!
il n’eſt point de rocher Dont la plus ſombre horreur me puiſſe bien cacher, Golo - Golo cherche en ces bois les reſtes de ma vie.	il n'est point de rocher Dont la plus sombre horreur me puisse bien cacher, Golo - Golo che en ces bois les restes de ma vie.
Qu’il penſoit, le meſchant, m’auoir dé ja rauie.	Qu'il pensait, le méchant, m'avoir dé ja ravie.
Moy meſme i’en ſuis cauſe, & ma lettre me perd, Sans doute qu’Oriſmõd s’en eſt trop découuert.	Moi -même j'en suis cause, et ma lettre me perd, Sans doute qu'Orismand s'en est trop découvert.
Mon Dieu, ſi vos ſecrets qui ſont mes deſtinées Deuoient ſi-toſt borner le cours de mes années.	Mon Dieu, si vos secrets qui sont mes destinées Devaient sitôt borner le cours de mes années.
Ah!	Ah!
ne pouuois-ie pas eſperer, cher Sifroy, Vn traitement plus doux pour répõdre à mafoy.	ne pouvais-je pas espérer, cher Sifroy, Un traitement plus doux pour répõdre à mafoi.
Vietge ſecourez-moy, dans ce malheur extréme Ou pour le moins ſauuez la moitié de moy,meſme, Ce petit innocent qui ſans craindre le ſort, Court peut-eſtre luy meſme au deuãt de la morte Il me le faut chercher dans la Foreſt prochaine.	Viège secourez-moi, dans ce malheur extrême Ou pour le moins sauvez la moitié de moi,mesme, Ce petit innocent qui sans craindre le sort, Court peut-être lui même au devant de la morte Il me le faut chercher dans la Forêt prochaine.
Mais qu’eſt.	Mais qu'est.
ce que ie voy couché ſur la fontaine?	ce que ici vois couché sur la fontaine?
Eſt-ce Sifroy qui dort luy-meſme dans ces lieux, Seroit-ce bien l’objet ſi aimable à mes yeux?	Est-ce Sifroy qui dort Seigneur-même dans ces lieux, Serait-ce bien l'objet si aimable à mes yeux?
OCENE LTIe SIFROY dormant.	OCENE LTIe SIFROI dormant.
GENEVIE'VE.	GENEUIE'UE.
GENEVIE'VE.	GENEUIE'UE.
J'Ous ne me trompez pas, les inſtincts de mon ame S’accordent trop bien auec vous;	J'Ous ne me trompez pas, les instincts de mon âme S'accordent trop bien avec vous;
Et cette douce ardeur qui réueille ma flâme, Ne peut venir que d’vn Eſpoux:	Et cette douce ardeur qui réveille ma flamme, Ne peut venir que d'un Époux:
C’eſt mon cher Sifroy qui me donne Cette amoureuſe émotion, Et déja mon cœur m’abandonne, Pour porter dans le ſien la meſme paſſion.	C'est mon cher Si qui me donne Cette amoureuse émotion, Et déjà mon cœur m'abandonne, Pour porter dans le sien la même passion.
Il n’eſt point aujourd’huy de vertu ſi ſauuage Qui ne deuſt approuuer mes feux, Et cét objet a droit d’eugager mon courage A luy rendre les premiers vœux;	Il n'est point aujourd'hui de vertu si sauvage Qui ne dût approuver mes feux, Et cet objet a droit d'eugager mon courage A ussy rendre les premiers vœux;
Toute ma contrainte eſt friuole Ie n’ay plus d’empire ſur moy, Mon cœur me trahit & s’enuole Pour s’alſer joindre euſin à celuy de Sifroy.	Toute ma contrainte est frivole Je n'ai plus d'empire sur moi, Mon cœur me trahit et s'envole Pour s'alser joindre eusin à celui de Sifroi.
Mais helas qui t’a dit que Sifroy ſoit luy-meſine Qu’il n’ait non plus changé que toy Et d’où peux.	Mais hélas qui t'a dit que Si fait lui-mesine Fait-il n'ait non plus changé que toi Et d'où peux.
tu iuger que maintenant il t’aime, Ayant pû condamner ta foy.	tu juger que maintenant il t'aime, Ayant pu condamner ta foi.
Dieu que de toutes parts ma peine Eſt bien égale à mes amours Puiſque ie dois craindre la haine De celuy dont ie puis eſperer du ſecours.	Dieu que de toutes parts ma peine Est bien égale à mes amours Puisque je dois craindre la haine De celui dont tu puis espérer du secours.
N’importe, eueillons le auant que Golo vienne, s’il faut mourit dans ces Foreſts Ie ne veux poiut ſouffrir d’autre main que la ſienne, Pour executer ſes arreſts.	N'importe, éveillons le avant que Golo vienne, s'il faut mourit dans ces Forêts Je ne veux poiut souffrir d'autre main que la sienne, Pour exécuter ses arrêts.
Mais n’eſt-ce pas eſtre coupable Que de le vouloir ſi cruel, Et penſer qu’il en ſoit capable N’eſt-ce pas meriter qu’en effet il ſoit tel?	Mais n'est-ce pas être coupable Que de le vouloir si cruel, Et penser qu'il en soit capable N'est-ce pas mériter qu'en effet il soit tel?
Pour ne l'éueiſſer pas qu'auec queique aſſurance D'vn ſecret innocent, faiſons l'experience;	Pour ne l'éueisser pas qu'avec queique assurance D'un secret innocent, faisons l'expérience;
Elletuna Pendant qu’il dort ainſi panché ſur ce ruiſſeau Ie vais l’interroger, crettipanie la iaiu uans l’eau.	Elletuna Pendant qu'il dort ainsi penché sur ce ruisseau Je vais l'interroger, crettipanie la jaiu ans l'eau.
pe dens les Sifroyimon cher Sifroy?	pe dends les Sifroyimon cher Sifroy?
SIFROY.	SIFROY.
Que me veux-tu, chere ombre!	Que me veux-tu, chère ombre!
GENEVIEVE.	GENEVIÈVE.
ſrrepouu:	srrepouu:
que fais tu daus cette Foreſt ſombre?	que fais tu daus cette Forêt sombre?
Ie t’y cherche.	Je t'y cherche.
SIFROY.	SIFROY.
GENEVIEVB.	GENEVIEUB.
Quoy donc reconnois-tu ma voir?	Quoi donc reconnais-tu ma voir?
Dee 1.	Dee 1.
Helas toutes les nuits ie l’entends dans ce bois,	Hélas toutes les nuits apprendre l'entends dans ce bois,
GENEVIEVE.	GENEVIÈVE.
Quel deſſein t’y conduit?	Quel dessein t'y conduit?
SIINOY.	SIINOY.
D’y faire penitence.	D'y faire pénitence.
2e 4827 GENEVIEVE.	2e 4827 GENEVIÈVE.
SIFROY.	SIFROY.
De mon erreur & de ton innocence.	De mon erreur et de ton innocence.
GENEVIEVE.	GENEVIÈVE.
Tula reconnois donc?	Tula reconnais donc?
SIFROY.	SIFROY.
Il eſt vray.	Il est vrai.
GENEVIEVE.	GENEVIÈVE.
olles dltux M’alloiẽt hors du ſommeil preſenter à tes yeux?	olles dltux M'allaient hors du sommeil présenter à tes yeux?
STFROY.	STFROY.
Dés que ie vois le iour ſon image s’efface.	Dès que ie vois le jour son image s'efface.
GENEVIEVE.	GENEVIÈVE.
Mais encor, s’ils vouloient te faire cette grace?	Mais encor, s'ils voulaient te faire cette grâce?
SIFROY.	SIFROY.
Que ie ſerois heureux!	Que était serais heureux!
GENEVIEVE.	GENEVIÈVE.
Croiray ie ſon ſommeil?	Croirai Madame son sommeil?
Et puis-ie ſur ce gage auancer ſon réueil;	Et puis-je sur ce gage avancer son réveil;
La crainte de Golo ne permet plus d’attendre, Mais elle me deffend auſſi de l’entreprendre, Et lotſque contre luy i’ay beſoin de Sifroy, Que ſçay-ie ſi ſon cœur eſt moins à luy qu’à moy?	La crainte de Golo ne permet plus d'attendre, Mais elle me défend aussi de l'entreprendre, Et lotsque contre autre j'ai besoin de Sifroy, Que sais-je si son cœur est moins à avoir qu'à moi?
I i	I y
Source gallica.	Source galica.
bnf.	bnf.
fr ( Bibliothèque nationale de France Tu doute Geneuiéue?	fr ( Bibliothèque nationale de France Tu doute Geneuiéue?
ah pourueu qu’il te voye De tous les ſentimens ne crains plus que la ioye!	ah pourvu qu'il te voie De tous les sentiments ne crains plus que la joie!
C’eſt pour ce ſeul ſujet qu’il te faut ménager De peur que ton accés ne le mette en danger;	C'est pour ce seul sujet qu'il te faut ménager De peur que ton accès ne le mette en danger;
Cachons nous pour vn temps, le voicy qu’il s’éueille, A ſes premiers diſcours preſtõs vn peu l’oreille.	Cachons nous pour un temps, le voici qu'il s'éveille, À ses premiers discours prêtons un peu l'oreille.
SCEIVE AV.	SCIVE AU.
SIFROY s’éueillant.	SIFROY s'éveillant.
E fuiras tu toûjours quand ie penſe te voir, Ne me parleras.	E fuiras -tu toujours quand On pense te voir, Ne me parleras.
tu que pour me deceuoir?	tu que pour me décevoir?
Ombres en quel endroit cachez-vous le modele Dont celle du ſommeil font l’image ſi belle!	Ombres en quel endroit cachez-vous le modèle Dont celle du sommeil font l'image si belle!
Mais vous pluſtoſt, mon Dieu, diſſipez ces portraits Par le luſtre éclattant de vos diuins attraits Que rien que cét objet n’ait plus pour moy de charmes;	Mais vous plutôt, mon Dieu, dissipez ces portraits Par le lustre éclattant de vos divins attraits Que rien que cet objet n'ait plus pour moi de charmes;
Qu’il allume mes feux pour eſſuyer mes larmes:	Qu'il allume mes feux pour essuyer mes larmes:
Et puiſque Geneuiéue eſt maintenant à vous, Faites qu’elle y rejoigne encore ſon Epoux?	Et puisque Geneuiéue est maintenant à vous, Faites qu'elle y rejoigne encore son Époux?
Que mon bon-heur eſt lent, & qu’Oriſmond differe.	Que mon bonheur est lent, et qu'Orismond diffère.
Allons à ſa rencontre?	Allons à sa rencontre?
SCENE V.	SCÈNE V.
GENEVIE’VE.	GENEUIE'UE.
SIFROY.	SIFROY.
V va ce temeraire?	V va ce téméraire?
Apres auoir manqué de reſpect pour ce lieu, Et troublé le repos des ſeruantes deDieu?	Apres avoir manqué de respect pour ce lieu, Et troublé le repos des servantes deDieu?
e ss de d do C'eſt celle aſſeurement qui loge en cette roche;	 Es de d do C'est celle assurément qui loge en cette roche;
NereconMais mon abord l’offence, euitons ſon reproche, noiffant	NereconMais mon abord l'offense, évitons son reproche, noiffant
OENEVIE VEI Arreſte?	OENEUIE VEI Arrête?
ie ſçauray quel deſſein t’y conduit?	Elle sçauray quel dessein t'y conduit?
Ou quel eſt l'attentat pour qui l’on te pourſuit.	Ou quel est l'attentat pour qui l'on te poursuit.
SIFROY.	SIFROY.
Touy mes perrcoovoure eoue daue ma conſciece, Elle me pouſſe icy pour faire penitence.	Toui mes perrovoure eoue dave ma conscièce, Elle me pousse ici pour faire pénitence.
De quel crime?	De quel crime?
GENEVIE’VE.	GENEUIE'UE.
SIFROY.	SIFROY.
D’auoit ſur vn meſchant rapport Abandonné ma femme & mon fils à la mort.	D'avait sur un méchant rapport Abandonné ma femme et mon fils à la mort.
ue aguuucicauerepus avne maiu ormunclle D'auoir du meſme trait d’vne plume infidelle, Effacé de mon cœur la nature & l’amour.	Que aguuucicauerepus aune maiu ormunclle D'avoir du même trait d'une plume infidèle, Éffacé de mon cœur la nature et l'amour.
GENEVIE’VE.	GENEUIE'UE.
Apres ces attentats, tu vois encor le iour!	Après ces attentats, tu vois encor le jour!
SIFROY.	SIFROY.
Helas!	Hélas!
c’eſt le ſujet dont ma douleur s’irrite.	c'est le sujet dont ma douleur s'irrite.
O Dieu!	Ô Dieu!
SIFROY.	SIFROY.
GENEVIE'VE.	GENEUIE'UE.
Quel accident nouueau vous a ſurpris?	Quel accident nouveau vous a surpris?
SIFROY.	SIFROY.
Ie vous cachois mon nom, d’où l’auel vous appris?	Je vous cachais mon nom, d'où l'auel vous appris?
GENEVIE’VE.	GENEUIE'UE.
Il n’eſt point de ſecrets cachez à l’innocence, C’eſt vne des faueurs dont Dieu la recompenſe.	Il n'est point de secrets cachés à l'innocence, C'est une des faveurs dont Dieu la récompense.
Dans l’ombre des Foreſts vn ſeul de ſes rayons, Du monde quoy qu’abſens nous tracent des crayons.	Dans l'ombre des Forêts un seul de ses rayons, Du monde quoi qu'absens nous tracent des crayons.
Mais ie veux toutefois de vous ſçauoir le reſte, 2e vods leyacesdeus à vnc mort Mrunentee	Mais grands veux toutefois de vous savoir le reste, 2e vods leyacesdeus à unc mort Mrunentee
SIFROY.	SIFROY.
Sept Eſtez ont déja coulez depuis ce temps.	Sept Estez ont déjà coulez depuis ce temps.
GENEVIE’VE.	GENEUIE'UE.
Ex cuſez ſi ce mot m’a ſurpriſe:	Ex cusez si ce mot m'a surprise:
ſept ans!	sept ans!
C’eſt le nombre à peu prés, ſi i’ay bõne memoire, Quurtiau duns ces bois vue semotuole hiſtoire;	C'est le nombre à peu prés, si j'ai bonne mémoire, Quurtiau duns ces bois vue semotuole histoire;
Deux brigands ſans reſpect de rang ny de beautE Y traiſnoient vne Dame auec indignité.	Deux brigands sans respect de rang ni de beautE Y traînaient une Dame avec indignité.
SIFROY.	SIFROY.
Helas!	Hélas!
que fiſtes-vous à ce triſte ſpectacle?	que fîtes-vous à ce triste spectacle?
GENEVIE’VE.	GENEUIE'UE.
Ie ne la pouuois pas ſauuer ſans vn miracle;	Je ne la pouvais pas sauver sans un miracle;
Ces bourreaux toutefois touchez de ma pitié, Ne pûrent acheuer leur deſſein qu’à moitié;	Ces bourreaux toutefois touchés de ma pitié, Ne purent achever leur dessein qu'à moitié;
Car l’ayant dans ces bois laiſſée à demy morte, Elle s’encourageant fut encor aſſez forte Pour venir iuſqu'icy le tong uocerdineuu, Y chercher pour ſon fils & pour elle vn tombeau.	Car l'ayant dans ces bois laissée à demi morte, Elle s'encourageant fut encor assez forte Pour venir jusqu'ici le tong uocerdineuu, Y chercher pour son fils et pour elle un tombeau.
SIFROY.	SIFROY.
Ie ne m’étonne plus de l’inſtinct qui m’attire, Vers ces lieux conſacrez du ſang d’vne martyre.	Je ne m'étonne plus de l'instinct qui m'attire, Vers ces lieux consacrez du sang d'une martyre.
C’eſt ſon aimable eſprit qui tourne icy mes pas, Pour venir honorer le lieu de ſon trépas.	C'est son aimable esprit qui tourne ici mes pas, Pour venir honorer le lieu de son trépas.
Chers antres, reprenez les reſtes de ma vie, Dont déja vous m’auez vne moitié rauie, ut tountez, oois ractez, que mon detmier ſoupir, Y rejoigne la mienne auec vn repentir.	Chers antres, déprenez les restes de ma vie, Dont déjà vous m'avez toujours moitié ravie, ut tountez, oais ractez, que mon détier soupir, Y rejoigne la mienne auec un repentir.
GENEVIE’VE.	GENEUIE'UE.
Voſtre mort en ces lieux ſetoit pour luy déplai1e.	Votre mort en ces lieux sétait pour lui déplai1e.
SIFROY.	SIFROY.
oee muneude atoitaus, cepouttoucratesralre.	oe munède ataitaus, cepouttoucratesralre.
A quel autre deſſein viennent-ils chaque nuit, Me montrer cét en lroit oùle ciel m’a conduit?	À quel autre dessein viennent-ils chaque nuit, Me montrer cet en lroit oùle ciel m'a conduit?
GENEVIEVE.	GENEVIÈVE.
Il eſt vray que ſouuent dans cette ſolitude, Ie vois etret ſon ombre auec iaquietude.	Il est vrai que souvent dans cette solitude, Je vois etret son ombre avec jaquiétude.
Souuent elle me ſuit au haut de ce rocher, Et quand ie m’y retire, elle s’y vient cacher;	Souvent elle me suit au haut de ce rocher, Et quand tu m'y retire, elle s'y vient cacher;
e dis-ſe regardaut dans ces nots mon viſage, Souuent parmy mes traits i’apperçois ſon image, Ie ne dis pas vn mot qu’elle ne die auſti, Et ſes moindres regrets me donnent du ſoucy.	E dis-se regardaut dans ces nots mon visage, Souvent parmi mes traits j'aperçois son image, Je ne dis pas un mot qu'elle ne die austi, Et ses moindres regrets me donnent du souci.
SIFROY.	SIFROY.
Serois ie aſſez heureux que de la voir pareſtre.	Serais ie assez heureux que de la voir paraître.
OERETADVU.	ÔERETADU.
Oüy bien ſi vous l’eſtiez aſſez pour la cõneſtre.	Oui bien si vous l'étiez assez pour la connaître.
SITROT.	SITROT.
Ah!	Ah!
i’en ay tous les traits bien grauez dans mon cœur!	j'en ai tous les traits bien gravés dans mon cœur!
GENEVIE’VE.	GENEUIE'UE.
Vne ſi longue mort change bien de couleur.	Une si longue mort change bien de couleur.
SIFROY.	SIFROY.
Quoy que ſur ſon viſage ayent effacé les Parques, L taltecenancteue ſuearques.	Quo que sur son visage aient effacé les Parques, L taltecenancteue suarques.
GENEVIE'VEIt faut di- Afin qu’à ſon abord vous les diſtinguiez mieux, Voyez-en par auance vn portrait das mes yeux?	GENEUIE'UEIt faut -il Afin qu'à son abord vous les distinguiez mieux, Voyez-en par avance un portrait das mes yeux?
Ah!	Ah!
SIFROY.	SIFROY.
GENEVIEVE.	GENEVIÈVE.
Qu’auez-vous?	Qu'avez-vous?
OIFROIe Ie meurs!	OIFROIe Je meurs!
GENEVIE’VE.	GENEUIE'UE.
Mon cher Sifroy, courage, Vous ébloüiſſez.	Mon cher Sifroy, courage, Vous éblouissez.
vous à ſa premiere image?	vous à sa première image?
SIFROY.	SIFROY.
Ah Cieux, où ſommes-nous!	Ah Cieux, où sommes-nous!
Geneuiéue eſt-ce toy?	Geneuiéue est-ce toi?
De quel œil peux-tu voir maintenãt ton Sifroy?	De quel œil peux-tu voir maintenant ton Sifroi?
Ou de quel œil peut-il ſupporter ta preſence, Conuaincu de ſon crime & de ton innocence?	Ou de quel œil peut-il supporter ta présence, Conuaincu de son crime et de ton innocence?
Si malgré ma rigueur tu vois encor ce iour, Ah!	Si malgré ma rigueur tu vois encor ce jour, Ah!
pardonne vn peché que cauſa mon amour?	pardonne un péché que causa mon amour?
Ou ſi parmy les morts ie vois errer ton ombre, Ilſeſos Sounte que ma douleur en augmente ſe nõbre?	Ou si parmi les morts était vois errer ton ombre, Ilsesos Sounte que ma douleur en augmente se nombre?
GENEVIE’VE.	GENEUIE'UE.
Non.	Non.
le Ciel m’a fait grace, & caſſant tes arreſts, Il t’a ſçeu ménager ma vie en ces Foreſts.	le Ciel m'a fait grâce, et cassant tes arrêts, Il t'a su ménager ma vie en ces Forêts.
SIFROY.	SIFROY.
Tu vis donc!	Tu vis donc!
ah ma mort en eſt plus legitime, Et Dieu ne te ſauua que pour punir mon crime.	ah ma mort en est plus légitime, Et Dieu ne te sauva que pour punir mon crime.
GENEVIE’VE.	GENEUIE'UE.
Ce fut pour l’empeſcher.	Ce fut pour l'empêcher.
SIFROY.	SIFROY.
Geneuiéue, dis-mieux?	Geneuiéue, dis-mieux?
C'eſt pour le reprocher tout entier à mes yeux:	C'est pour le reprocher tout entier à mes yeux:
Quoy malgré ma fureur, malgré ma ialouſie, Ces affreuſes Foreſts t’ont conſerué la vie?	Quoi malgré ma fureur, malgré ma jalousie, Ces affreuses Forêts t'ont conservé la vie?
Et ta vertu treuua chez elle plus de foy, Qu’vn ſi fidele amour n’en rencontra chez moy?	Et ta vertu trouva chez elle plus de foi, Qu'un si fidèle amour n'en rencontra chez moi?
Apres cela comment peux- tu founrir ma veuë?	Après cela comment peux- tu founrir ma vue?
GENEVIE’VE.	GENEUIE'UE.
Mon vnique malheur vint de l’auoir perduẽ, Elle me rend la vie.	Mon unique malheur vint de l'avoir perdument, Elle me rend la vie.
SIFROY.	SIFROY.
Et par vn iuſte ſort, renlcipece aton tour iecondamne à la moit;	Et par un juste sort, renlcipece aton tour 1condamne à la moit;
Ie ſuis le criminel, ie dois prendre ta place.	Je suis le criminel, ie mais prendre ta place.
GENEVIE’VE.	GENEUIE'UE.
Non, puiſque mon amour & le Ciel te font grace C’eſt pour toy que ie vis.	Non, puisque mon amour et le Ciel te font grâce C'est pour toi que tu vis.
SIFROY.	SIFROY.
Mrais tu ne le dois pas!	Mrais -tu ne le dois pas!
I’en ay perdu le droit en ſignant ton tré pas, Et tu n’es plus à moy depuis ce coup funeſte!	J'en ai perdu le droit en signant ton tré pas, Et tu n'es plus à moi depuis ce coup funeste!
GENEVIE’VE.	GENEUIE'UE.
Dieu te l’a conſerué, voulant bien que ie reſte.	Dieu te l'a conservé, voulant bien que votre reste.
Aocouuolalegede tende cotacolesos, Et me iauua la vie, il t’a gardé mon cœur:	Aocouuolalegede tende cotacoles, Et me jauva la vie, il t'a gardé mon cœur:
Men na pa ne roiter, ce le dons ces le rendre, I’ordre meſme du Ciel t’oblige à le reprendre.	Men na pa ne roiter, ce le dons ces le rendre, J'ordre même du Ciel t'oblige à le reprendre.
SIFROY.	SIFROY.
Ie ne merite plus de poſſeder ce bien.	Je ne mérite plus de posséder ce bien.
GENEVIE’VE.	GENEUIE'UE.
Mais moy i’ay toûjours droit de demander le tien?	Mais moi j'ai toujours droit de demander le tien?
SITROT.	SITROT.
