LE BOURGEOIS GENTILHOMME COMEDIE-BALET.	LE BOURGEOIS GENTILHOMME COMÉDIE-BALET.
Il dit que vous alliez viſte avec luy vous préparer pour la cerémonie, afin de voir en ſuite vôtre Fille, & de conclure le mariage.	Il dit que vous alliez vite avec lu vous préparer pour la cerémonie, afin de voir en suite votre Fille, et de conclure le mariage.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tant de choſes en deux mots?	Tant de choses en deux mots?
COVIELLE.	COUIELLE.
Oüy, la Langue Turque eſt comme cela, elle dit beaucoup en peu de paroles.	Oui, la Langue Turque est comme cela, elle dit beaucoup en peu de paroles.
Allez viſte où il ſouhaite.	Allez vite où il souhaite.
SCENE V DORANTE, COVIELLE,	SCÈNE V DORANTE, COUIELLE,
COVTELLE.	COUTELE.
A, ha, ha.	À, ha, ha.
Ma foy, cela eſt tout-à-fait EI drôle.	Ma foi, cela est tout-à-fait EI drôle.
Quelle dupe!	Quelle dupe!
Quand il auroit apris ſon rôle par cœur, il ne pouroit pas le mieux joüer.	Quand il aurait appris son rôle par cœur, il ne pourrait pas le mieux jouer.
Ah, ah.	Ah, ah.
Je vous prie, Monſieur, de nous vouloir aider ceans dans une affaire qui s’y paſſe.	Je vous prie, Monsieur, de nous vouloir aider céans dans une affaire qui s'y passe.
DORANTE.	DORANTE.
Ah, ah, Covielle, qui t’auroit reconnu?	Ah, ah, Covielle, qui t'aurait reconnu?
Comme te voila ajuſté!	Comme te voilà ajusté!
COVIELLE.	COUIELLE.
Vous voyez.	Vous voyez.
Ah, ah.	Ah, ah.
DORANTE.	DORANTE.
De quoy ris-tu?	De quoi ris-tu?
COVIELLE.	COUIELLE.
D'une choſe, Monſieur, qui le mérite bien.	D'une chose, Monsieur, qui le mérite bien.
Comment?	Comment?
DORANTE.	DORANTE.
COVIELLE.	COUIELLE.
Je vous le donnerois en bien des fois, Monſieur, à deviner, le ſtratagéme dont nous nous ſervons aupres de Monſieur Jourdain, pour porter ſon eſprit à donner ſa Fille à mon Maiſtre.	Je vous le donnerais en bien des fois, Monsieur, à deviner, le stratagème dont nous nous servons auprès de Monsieur Jourdain, pour porter son esprit à donner sa Fille à mon Maître.
DORANTE.	DORANTE.
Je ne devine point le ſtratagême, mais je devine qu’il ne manquęra pas de faire ſon effet, puis que tu l’entreprens.	Je ne devine point le stratagème, mais je devine qu'il ne manquęra pas de faire son effet, puis que tu l'entreprends.
COVIELLE.	COUIELLE.
Je ſçay, Monſieur, que la Beſte vous eſt connuë.	Je sais, Monsieur, que la Bête vous est connue.
DORANTE.	DORANTE.
Aprens-moy ce que c’eſt.	Apprends-moi ce que c'est.
COVIELLE.	COUIELLE.
Prenez la peine de vous tirer un peu plus loin, pour faire place à ce que j’aperçoy venir.	Prenez la peine de vous tirer un peu plus loin, pour faire place à ce que j'aperçois venir.
Vous pourez voir une partie de l’hiſtoire, tandis que je vous conteray le reſte.	Vous pourrez voir une partie de l'histoire, tandis que je vous conterai le reste.
La ceremonie Turque pour emoblir le Bourgeois, ſe fait en Dance & en Muſiqne, & compoſe le quatrieenle Iliberienes.	La cérémonie Turque pour emblir le Bourgeois, se fait en Dance et en Musiq, et compose le quatrieenle Ilibérienes.
E Muſti, quatre Dervis, ſix Tures dançans, Lſix Turcs Muſiciens, & autres Joüeurs d’Inſtrumens à la Turque, ſont les Acteurs de cette Ceremonie.	E Musti, quatre Dervis, six Tures dançans, Lsix Turcs Musiciens, et autres Joueurs d'Instruments à la Turque, sont les Acteurs de cette Cérémonie.
Le Mufti invoque Mahomet avec les douze Turcs & les quatre Dervis;	Le Mufti invoque Mahomet avec les douze Turcs et les quatre Dervis;
apres on luy amene le Bourgeois veſtu à la Turque, ſans Turban & ſans Sabre, auquel il chante ces paroles.	après on était amène le Bourgeois vêtu à la Turque, sans Turban et sans Sabre, auquel il chante ces paroles.
LEMUFTI.	LEMUFTI.
Eti ſabir ATi reſpondir Se non ſabir Tazir, tazir.	Eti sabir ATi répondir Se non sabir Tazir, tazir.
Mi ſtar Mufti Ti qui ſtar ti Non intendir Tazir, taxir.	Mi star Mufti Ti qui star ty Non intendir Tazir, taxir.
Le Mufti demande en meſme langue aux Turcs aſſiſtans, de quelle Religion eſt le Bourgeois, & ils l’aſſurent qu’il eſt Mahometan.	Le Mufti demande en même langue aux Turcs assistants, de quelle Religion est le Bourgeois, et ils l'assurent qu'il est Mahométan.
Le Mufti invoque Mahomet en langue Franque, & chante les paroles qui ſuivent,	Le Mufti invoque Mahomet en langue Franque, et chante les paroles qui suivent,
LE MUFTI.	LE MUFTI.
Mahameta per Giourdina Mi pregar ſera é mattina Voler far un Paladina De Giourdina, de Giourdina.	Mahameta per Giourdina Mi prégar sera é mattina Voler far un Paladina De Giourdina, de Giourdina.
Dar Turbanta é edar ſcarcina Con Galeraé Brigantina der uepenuer Pmeſtina.	Dar Turbanta é dar scarcina Con Galera Brigantina der uepenuer Pmestina.
Mahametta, &c.	Mahametta, etc.
Le Mufti demande aux Turcs ſi le Bourgeois ſera ferme dans la Religion Mahometane, & leur chante ces paroles.	Le Mufti demande aux Turcs si le Bourgeois sera ferme dans la Religion Mahométane, et leur chante ces paroles.
LEMUFTI.	LEMUFTI.
Star bon Turca, Giourdinæ.	Star bon Turca, Giourdinæ.
Hi valla.	Hi valla.
LE MUFTI dance & chante ces mots.	LE MUFTI dance et chante ces mots.
Hu la ba ba la chou ba la ba ba la da, Les Turcs répondent les meſmes Vers.	Hu la ba ba la chou ba la ba ba la da, Les Turcs répondent les mêmes Vers.
Le Mufti propoſe de donner le Turban au Bourgeois, & chante les paroles qui ſuivent.	Le Mufti propose de donner le Turban au Bourgeois, et chante les paroles qui suivent.
LEMUFTI.	LEMUFTI.
Ti non ſtar Furba.	Ti non star Furba.
LESTURCS.	LESTURCS.
No no no.	No nô nô.
LEMUFTI.	LEMUFTI.
Non ſtar furfante.	Non star furfante.
LES TURCS.	LES TURCS.
No no no.	No nô nô.
LE MUFTI.	LE MUFTI.
Donar Turbanta, donar Turbanta  Les Turcs repetent tout ce qu’a dit le Mufti pour donner le Turban au Bourgeois.	Donar Turbanta, donar Turbanta Les Turcs répètent tout ce qu'a dit le Mufti pour donner le Turban au Bourgeois.
Le Mufti & les Dervis ſe coëffent avec des Turbans de ceremonies, & l’on preſente au Mufti l’Alcoran, qui fait une ſeconde Invocation avec tout Ie reſte des Turcs aſſiſtans;	Le Mufti et les Dervis se cossent avec des Turbans de cérémonies, et l'on présente au Mufti l'Alcoran, qui fait une seconde Invocation avec tout Je reste des Turcs assistants;
apres ſon Invocation il donne au Bourgeois l’Epée, & chante ces paroles.	après son Invocation il donne au Bourgeois l'Épée, et chante ces paroles.
Ti ſtar nobilé é non ſtar fabbola Pignm fimnbbola.	Ti star nobilé ès non star fabola Pignm fimnbola.
Les Turcs repetent les meſmes Vers, mettant tous le Sabre à la main, & ſix d’entre eux dancent autour du Bourgeois, auquel ils feignent de donner pluſieurs coups de Sabre.	Les Turcs répètent les mêmes Vers, mettant tous le Sabre à la main, et six d'entre eux dancent autour du Bourgeois, auquel ils feignent de donner plusieurs coups de Sabre.
Le Mufti commande aux Turcs de baſtonner le Bourgeois, & chante les paroles qui ſuivent.	Le Mufti commande aux Turcs de bâtonner le Bourgeois, et chante les paroles qui suivent.
LE MUFTI.	LE MUFTI.
Dara dara.	Dara dara.
Baſtonnara baſtonnara.	Bâtonnara bâtonnara.
Les Tures repetent les meſmes Vers, & luy donnent pluſieurs coups de Baſton en cadance.	Les Tures répètent les mêmes Vers, et lui donnent plusieurs coups de Bâton en cadance.
Le Mufti aprés l’avoir fait baſtonner, luy dit en chantant.	Le Mufti après l'avoir fait bâtonner, quelque dit en chant.
LE MUFTI.	LE MUFTI.
Non tener honta Queſta ſtar ultimalaffronta.	Non tener honta Questa star ultimalaffronta.
Les Tures repetent les meſmes Vers.	Les Tures répètent les mêmes Vers.
Le Mufti recommence une Invocation, & ſe retire apres la Ceremonie avec tous les Turcs, en dançant & chantant avec pluſieurs Inſtrumens à la Turqueſque.	Le Mufti recommence une Invocation, et se retire après la Ceremonie avec tous les Turcs, en dançant et chant avec plusieurs Intruments à la Turques.
Fin du Quatriéme Acte.	Fin du Quatrième Acte.
ACTE V SCENE PREMIERE.	ACTE V CÈNE PREMIÈRE.
MADAME JOURDAIN, MONSTEUR JOURDAIN.	MADAME JOURDAIN, MONSTEUR JOURDAIN.
MADAME JOURDAIN.	MADAME JOURDAIN.
H mon Dieu, miſericorde!	H mon Dieu, miséricorde!
Qu’eſtce que c’eſt donc que cela?	Qu'estce que c'est donc que cela?
Quelle A & figure!	Quelle À et figure!
Eſt-ce un Momon que vous  allez porter;	Est-ce un Momon que vous allez porter;
& eſt-il temps d’aller Men Maſque?	et est-il temps d'aller Mén Masque?
Parlez donc, qu’eſtce que c’eſt que cecy?	Parlez donc, qu'estce que c'est que ceci?
Qui vous a fagoté comme cela?	Qui vous a fagoté comme cela?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voyez l’impertinente, de parler de la ſorte à un Mamamouchi!	Voyez l'impertinente, de parler de la sorte à un Mamamouchi!
MADAME JOURDAIN.	MADAME JOURDAIN.
Comment donc?	Comment donc?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, il me faut porter du reſpect maintenant, & l’on vient de me faire Mamamouchi.	Oui, il me faut porter du respect maintenant, et l'on vient de me faire Mamamouchi.
MADAME JOURDAIN.	MADAME JOURDAIN.
Que voulez-vous dire avec voſtre Mamamouchi?	Que voulez-vous dire avec votre Mamamouchi?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mamamouchi, vous dy-je.	Mamamouchi, vous dis-je.
Je ſuis Mamamouchi.	Je suis Mamamouchi.
MADAME JOURDAIN.	MADAME JOURDAIN.
Quene nente ent ct là ?	Quène nente ent ct là ?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mamamouchi, c’eſt à dire en noſtre Langue, Pamaime	Mamamouchi, c'est -à -dire en notre Langue, Pamaime
MADAME JOURDAIN.	MADAME JOURDAIN.
Baladin!	Baladin!
Eſtes-vous en âge de dãcer des Ballets?	Êtes-vous en âge de dans la Ballets?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Quelle ignorante!	Quelle ignorante!
Je dis Paladin;	Je dis Paladin;
c’eſt une Dignité dont on vient de me faire la cerémonie.	c'est une Dignité dont on vient de me faire la cérémonie.
MADAME JOURDAIN.	MADAME JOURDAIN.
Quelle cerémonie donc?	Quelle cerémonie donc?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Mahameta per fordina.	Mahameta per fordina.
MADAME JOURDAIN.	MADAME JOURDAIN.
Qu’eſt-ce que cela veut dire?	Qu'est-ce que cela veut dire?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Tordina, c’eſt à dire Jourdain.	Tordina, c'est -à -dire Jourdain.
MADAME JOURDAIN.	MADAME JOURDAIN.
Hé bien quoy, Jourdain ?	Hé bien quoi, Jourdain ?
MÓNSIEUR JOURDAIN.	MNSIEUR JOURDAIN.
Voler far un Paladina de Jordina.	Voler far un Paladina de Jordina.
MADAME JOURDAIN.	MADAME JOURDAIN.
Comment?	Comment?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Dar turbanta con galera.	Dar turbanta con galera.
MADAME JOURDAINQu’eſt-ce á dire cela?	MADAME JOURDAINQuQuest-ce dire cela?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Per deſfender Paleſtina.	Per défender Palestina.
MADÂME JOURDAIN.	MADÂME JOURDAIN.
Que voulez-vous done dire?	Que voulez-vous donce dire?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Dara dara baſtonnara.	Dara dara bâtonnara.
MADAME JOURDAIN.	MADAME JOURDAIN.
qu'erece dont que ce jargon-lâ?	qu'erece dont que ce jargon-lâce?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non tener honta queſta ſtar l’ultima affronta.	Non tener honta quêta star l'ultima affronta.
MADAME JOURDAIN.	MADAME JOURDAIN.
Queſt-ce que c’eſt donc que tout cela?	Quest-ce que c'est donc que tout cela?
MONSIEUR JOURDAIN dance & chante.	MONSIEUR JOURDAIN dance et chante.
Hou la ba ba la chou ba la ba ba la da.	Hou la ba ba la chou ba la ba ba la da.
MADAME JOURDAIN.	MADAME JOURDAIN.
Helas, mon Dieu, mon Mary eſt devenu fou.	Hélas, mon Dieu, mon Mari est devenu fou.
MONSIEUR JOURDAIN ſortant.	MONSIEUR JOURDAIN sortant.
Paix, inſolente, portez reſpect à Monſieur le Mamamouchi.	Paix, insolente, portez respect à Monsieur le Mamamouchi.
MADAME JOURDAIN.	MADAME JOURDAIN.
Où eſt-ce qu’il a donc perdu l’eſprit?	Où est-ce qu'il a donc perdu l'esprit?
Courons I'empeſcher de ſortir.	Courons J'empêcher de sortir.
Ah, ah, voicy juſtement le reſte de noſtre éeu.	Ah, ah, voici justement le reste de notre éeu.
Je ne voy que chagrin de tous coſtez.	Je ne vois que chagrin de tous côtés.
Elle ſort.	Elle sort.
SCENE II.	SCÈNE II.
DORANTE, DORIMENE.	DORANTE, DORIMENE.
DORANTE.	DORANTE.
Uy, Madame, vous verrez la plus plaiſanOtte choſe qu’on puiſſe voir;	Oui, Madame, vous verrez la plus plaisanOtte chose qu'on puisse voir;
& je ne croy pas que dans tout le Monde il ſoit poſſible de trouver encore un Homme auſſi fou que celuyià:	et je ne crois pas que dans tout le Monde il soit possible de trouver encore un Homme aussi fou que celuià:
Et puis, Madame, il faut tâcher de ſervir l’amour de Cleonte, & d’apuyer toute ſa Maſcarade.	Et puis, Madame, il faut tâcher de servir l'amour de Cléonte, et d'appuyer toute sa Mascarade.
C’eſt un fort galant Homme, & qui mérite que l’on s’intereſſe pour luy.	C'est un fort galant Homme, et qui mérite que l'on s'intéresse pour lui.
DORIMENE.	DORIMENE.
J’en fais beaucoup de cas, & il eſt digne d’une bonne fortune.	J'en fais beaucoup de cas, et il est digne d'une bonne fortune.
DORANTE Outre cela, nous avons icy, Madame, un Ballet qui nous revient, que nous ne devons pas laiſſer perdre, & il faut bien voir ſi mon idée pourra reüſſir.	DORANTE Outre cela, nous avons ici, Madame, un Ballet qui nous revient, que nous ne devons pas laisser perdre, et il faut bien voir si mon idée pourra réussir.
DORIMENE.	DORIMENE.
J’ay veu là des apreſts magnifiques, & ce ſont des choſes, Dorante, que je ne puis plus ſouffrir.	J'ai vu là des apprêts magnifiques, et ce sont des choses, Dorante, que je ne puis plus souffrir.
Oüy, je veux enfin vous empécher vos profuſions:	Oui, je veux enfin vous empêcher vos profusions:
& pour rompre le cours à toutes les dépenſes que je vous voy faire pour moy, j’ay réſolu de me marier promptement avec vous.	et pour rompre le cours à toutes les dépenses que je vous vois faire pour moi, j'ai résolu de me marier promptement avec vous.
C’en eſt le vray ſecret, & toutes ces choſes finiſſent avec le mariage.	C'en est le vrai secret, et toutes ces choses finissent avec le mariage.
DORANTE.	DORANTE.
Ah!	Ah!
Madame, eſt-il poſſible que vous ayez pû prendre pour moy une ſi douce réſolution?	Madame, est-il possible que vous ayez pu prendre pour moi une si douce résolution?
DORIMENE.	DORIMENE.
Ce ri’eſt que pour vous empécher de vous ruïner;	Ce ri'est que pour vous empêcher de vous ruiner;
& ſans cela je voy bien qu’avant qu’il fuſt peu, vous n’auriez pas un ſou.	et sans cela je vois bien qu'avant qu'il fût pu, vous n'auriez pas un sou.
DORANTE.	DORANTE.
Que j’ay d’obligation, Madame, aux ſoins que vous avez de conſerver mon bien!	Que j'ai d'obligation, Madame, aux soins que vous avez de conserver mon bien!
Il eſt entierement à vous, auſſi bien que mon cœur, & vous en uſerez de la façon qu’il vous plaira.	Il est entièrement à vous, aussi bien que mon cœur, et vous en userez de la façon qu'il vous plaira.
DORIMENE.	DORIMENE.
J'uſeray bien de tous les deux.	J'userai bien de tous les deux.
Mais voicy vôtre Homme;	Mais voici votre Homme;
la figure en eſt admirable.	la figure en est admirable.
SCENEIII MONSIEUR JOURDAIN, D'ORANTE, DORIMENE.	SCENEII MONSIEUR JOURDAIN, D'ORANTE, DORIMENE.
DORANTE.	DORANTE.
Onſieur, nous venons rendre hommage, N Madame, & moy, à voſtre nouvelle Dignité, & nous réjoüir avec vous du Mariage que vous faites de voſtre Fille avec le Fils du Grand Turc.	Onsieur, nous venons rendre hommage, N Madame, et moi, à votre nouvelle Dignité, et nous réjouir avec vous du Mariage que vous faites de votre Fille avec le Fils du Grand Turc.
MONSIEUR JOURDAIN apres avoir fait les reverences à la Turque.	MONSIEUR JOURDAIN après avoir fait les révérences à la Turque.
Monſieur, je vous ſouhaite la force des Serpens, & la prudence des Lions.	Monsieur, je vous souhaite la force des Serpens, et la prudence des Lions.
DORIMENE.	DORIMENE.
J’ay eſté bien aiſe d’eſtre des premieres, Monſieur, à venir vous felicirer du haut degré de gloire où vous eſtes monté.	J'ai été bien aise d'être des premières, Monsieur, à venir vous félicirer du haut degré de gloire où vous êtes monté.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Madame, je vous ſouhaite toute l’année vôtre Roſier fleury;	Madame, je vous souhaite toute l'année votre Rosier fleuri;
je vous ſuis infiniment obligé de prendre part aux honneurs qui m’arrivent, & j’ay beaucoup de joye de vous voir revenuë icy pour vous faire les tres-humbles excuſes de l’extra	je vous suis infiniment obligé de prendre part aux honneurs qui m'arrivent, et j'ai beaucoup de joie de vous voir revenue ici pour vous faire les très-humbles excuses de l'extra
DORIMENE.	DORIMENE.
Cela n’eſt rien, j’excuſe en elle un pareil mouvement;	Cela n'est rien, j'excuse en elle un pareil mouvement;
voſtre cœuf luy doit eſtre précieux, & il n’eſt pas étrange que la poſſeſſion d’un Homme comme vous puiſſe inſpirer quelques alar	votre cœuf lui doit été précieux, et il n'est pas étrange que la possession d'un Homme comme vous puisse inspirer quelques alar
mes.	mes.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
La poſſeſſion de mon cœur eſt une choſe qui vous eſt toute acquiſe.	La possession de mon cœur est une chose qui vous est toute acquise.
DORANTE.	DORANTE.
Vous voyez, Madame, que Monſieur Jourdain n’eſt pas de ces Gens que les proſperitez aveuglent, & qu’il ſçait dans ſa gloire connoître encore ſes Amis.	Vous voyez, Madame, que Monsieur Jourdain 'est pas de ces Gens que les prospérités aveuglent, et qu'il sait dans sa gloire connaître encore ses Amis.
DORIMENE.	DORIMENE.
C’eſt la marque d’une ame tout-à-fait genéreuſe.	C'est la marque d'une âme tout-à-fait généreuse.
DORANTE.	DORANTE.
Où eſt donc Son Alteſſe Turque?	Où est donc Son Altesse Turque?
Nous voudrions bien, comme vos Amis, luy rendre nos devoirs.	Nous voudrions bien, comme vos Amis, Seigneur rendre nos devoirs.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Le voila qui vient, & j’ay envoyé querir ma Fille pour luy donner la main.	Le voilà qui vient, et j'ai envoyé quérir ma Fille pour lui donner la main.
SCENE IV.	SCÈNE IV.
CLEONTE, COVIELLE, MONSTEUR JOURDAIN, &c.	CLEONTE, COUIELLE, MONSTEUR JOURDAIN, etc.
DORANTE Onſieur, nous venons faire la revérence M à Voſtre Alteſſe, comme Amis de Monſieur voſtre Beau-Pere, & l’aſſurer avec reſpect de nos tres-humbles ſervices.	DORANTE Onsieur, nous venons faire la révérence M Otre Altesse, comme Amis de Monsieur votre Beau-Père, et l'assurer avec respect de nos très-humbles services.
MONSEUR JOURDAIN.	MONSEUR JOURDAIN.
Où eſt le Truchement, pour luy dire qui vous eſtes, & luy faire entendre ce que vous dites?	Où est le Truchement, pour venir dire qui vous êtes, et Seigneur faire entendre ce que vous dites?
Vous verrez qu’il vous répondra, & il parle Ture à merveille.	Vous verrez qu'il vous répondra, et il parle Ture à merveille.
Hola, où diantre eſt-il allé?	Holà, où diantre est-il allé?
A Gl.	À Gl.
Strouf, ſirif, ſtrof, ſtraf.	Strouf, sirif, strof, stras.
Monſieur eſt un grande Segnore, grande Segnore, grande Seguore;	Monsieur est un grande Ségnore, grande Segnore, grande Seguore;
& Madame, une granda Dama, granda Dama.	et Madame, une granda Dama, granda Dama.
Ahi Monſieur, luy Mamamouchi François, & Madame Mamamouchie Françoiſe.	Ahi Monsieur, Seigneur Mamamouchi Français, et Madame Mamouchie Française.
Je ne puis pas parler plus clairement.	Je ne puis pas parler plus clairement.
Bon, voicy l’Interprete.	Bon, voici l'Interprète.
Où allez-vous donc?	Où allez-vous donc?
Nous ne ſçaurions rien dire ſans vous.	Nous ne saurions rien dire sans vous.
Dites-lui un peu que Monſieur & Madame ſont des Perſonnes de grande Qualité, qui luy viennent faire la revérence, comme mes Amis, & l’aſſurer de leurs ſervices.	Dites-lui un peu que Monsieur et Madame sont des Personnes de grande Qualité, qui était viennent faire la révérence, comme mes Amis, et l'assurer de leurs services.
Vous allez voir comme il va répondre,	Vous allez voir comme il va répondre,
COVIELLE.	COUIELLE.
Alabala crociam acci boram alabamen.	Alabala crociam acci boram alabamen.
CLEONTE.	CLÉONTE.
Gatulequi tubal ourin ſot er amalouchan.	Gattulequi tubal ourin sot er amalouchan.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voyez-vous?	Voyez-vous?
COVIELLE.	COUIELLE.
Il dit que la pluye des proſperitez arrouſe en tout temps le jardin de voſtre Famille.	Il dit que la pluie des prospérités arrouse en tout temps le jardin de votre Famille.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je vous l’avois bien dit qu’il parle Turc.	Je vous l'avais bien dit qu'il parle Turc.
DORANTE.	DORANTE.
Cela eſt admirable.	Cela est admirable.
SCENE V LUCILE, MONSIEUR JOURDAIN.	SCÈNE V LUCILE, MONSIEUR JOURDAIN.
DORANTE, DORIMENE, &ce	DORANTE, DORIMENE, etce
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Enez, ma Fille, aprochez-vous, & venez donner voſtre main à Monſieur, qui vous fait l’honneur de vous demander en mariage.	Énez, ma Fille, approchez-vous, et venez donner votre main à Monsieur, qui vous fait l'honneur de vous demander en mariage.
L'UCILE.	L'UCILE.
Comment, mon Pere, comme vous voila fait!	Comment, mon Père, comme vous voilà fait!
Eſt-ce une Comedie que vous joüez?	Est-ce une Comédie que vous jouez?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Non, non, ce n’eſt pas une Comedie, c’eſt une affaire fort ſerieuſe, & la plus pleine d’honneur pour vous qui ſe peut ſouhaiter.	Non, non, ce n'est pas une Comédie, c'est une affaire fort sérieuse, et la plus pleine d'honneur pour vous qui se peut souhaiter.
Voila le Mary que je vous donne.	Voilà le Mari que je vous donne.
LUCILE.	LUCILE.
A moy, mon Pere!	À moi, mon Père!
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy à vous, allons, touchez-luy dans la main;	Oui à vous, allons, touchez-lui dans la main;
& rendez grace au Ciel de voſtre bonheur.	et rendez grâce au Ciel de votre bonheur.
LUCILE.	LUCILE.
Je ne veux point me marier.	Je ne veux point me marier.
MÕNSIEUR JOURDAIN.	MNSIEUR JOURDAIN.
Je le veux moy, qui ſuis voſtre Pere.	Je le veux moi, qui suis votre Père.
LUCILE.	LUCILE.
Je n’en feray rien.	Je n'en ferai rien.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ah que de bruit.	Ah que de bruit.
Allons, vous dis-je.	Allons, vous dis-je.
Ca vôtre main	Ca votre main
LUCILE.	LUCILE.
Non, mon Pere, je vous l’ay dit, il n’eſt point de pouvoir qui me puiſſe obliger à prendre un autre Mary que Cleonte;	Non, mon Père, je vous l'ai dit, il n'est point de pouvoir qui me puisse obliger à prendre un autre Mari que Cléonte;
& je me reſoudray plûtoſt à toutes les extrémitez, que de.	et je me résoudrai plutôt à toutes les extrémités, que de.
reconnoiſſant Cleonte.	reconnaissant Cléonte.
Il eſt vray que vous êtes mon Pere, je vous dois entiere obeïſſance;	Il est vrai que vous êtes mon Père, je vous dois entière obéissance;
& c’eſt à vous à diſpoſer de moy ſelon vos volontez.	et c'est à vous à disposer de moi selon vos volontés.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Ah je ſuis ravie de vous voir ſi promptement revenuë dans voſtre devoir;	Ah je suis ravie de vous voir si promptement revenue dans votre devoir;
& voila qui me plaiſt, d’avoir une Fille obeïſſante.	et voilà qui me plaît, d'avoir une Fille obéissante.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
MADAME JOURDAI N MONSIEURJOURDAIN;	MADAME JOURDAI N MONSIEURJOURDAIN;
CLEONTE, &c.	CLÉONTE, etc.
MADAME JOURDAIN.	MADAME JOURDAIN.
Omment donc, qu’eſt-ce que c’eſt que ceOcy?	Omment donc, qu'est-ce que c'est que ceOcy?
On dit que vous voulez donner vôtre Fille en mariage à un Careſme-prenant ?	On dit que vous voulez donner votre Fille en mariage à un Caresme-prenant ?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voulez.	Voulez.
vous vous taire, impertinente?	vous vous taire, impertinente?
Vous venez toûjours meſler vos extravagances à toutes choſes, & il n’y a pas moyen de vous aprendre à eſtre raiſonnable,	Vous venez toujours mêler vos extravagances à toutes choses, et il n'y a pas moyen de vous apprendre à être raisonnable,
MADAME JOURDAIN.	MADAME JOURDAIN.
C'eſt vous qu’il n’y a pas moyen de rendre ſage, & vous allez de folie en folie.	C'est vous qu'il n'y a pas moyen de rendre sage, et vous allez de folie en folie.
Quel eſt vôtre deſſein, & que voulez-vous faire avec cet aſſemblage?	Quel est votre dessein, et que voulez-vous faire avec cet assemblage?
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Je-veux-marier noſtre Fille avec le Fils du Grand Turc.	Je-veux-marier nôtre Fille avec le Fils du Grand Turc.
MADAME JOURDAIN.	MADAME JOURDAIN.
Avet le riis du Grand Turc !	Avet le riis du Grand Turc !
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Oüy, faites-luy faire vos complimens par le Truchement que voila.	Oui, faites-lui faire vos compliments par le Truchement que voilà.
MADAME JOURDAIN.	MADAME JOURDAIN.
Je n’ay que faire du Truchement, & je lui dirai bien moi-meſme à ſon nez, qu’il n’aura point ma Fille.	Je n'ai que faire du Truchement, et je lui dirai bien moi-même à son nez, qu'il n'aura point ma Fille.
MONSIEUR JOURDAIN.	MONSIEUR JOURDAIN.
Voulez-vous vous taire encore une fois?	Voulez-vous vous taire encore une fois?
DORANTE.	DORANTE.
Comment, Madame Jourdain, vous vous opoſez à un bonheur comme ce lui-là;	Comment, Madame Jourdain, vous vous oposez à un bonheur comme ce lui-là;
Vous refuſez Son Alteſſe Turque pour Gendre?	Vous refusez Son Altesse Turque pour Gendre?
MADAME JOURDAIN.	MADAME JOURDAIN.
Mon Dieu, Monſieur, meſlez-vous de vos affaires.	Mon Dieu, Monsieur, mêlez-vous de vos affaires.
DORIMENE.	DORIMENE.
C’eſt une grande gloire, qui n’eſt pas à rejetter.	C'est une grande gloire, qui n'est pas à rejeter.
MADAME JOURDAIN.	MADAME JOURDAIN.
Madame, je vous prie auſſi de ne vous point embaraſſer de ce qui ne vous touche pas.	Madame, je vous prie aussi de ne vous point embarrasser de ce qui ne vous touche pas.
DORANTE.	DORANTE.
C’eſt l’amitié que nous avons pour vous, qui F iij nous fait intereſſer dans vos avantages.	C'est l'amitié que nous avons pour vous, qui J ij à fait intéresser dans vos avantages.
MADAME JOURDAIN.	MADAME JOURDAIN.
Je me paſſerai bien de voſtre amitié.	Je me passerai bien de votre amitié.
DORANTE.	DORANTE.
Voila vôtre Fille, qui conſent aux volontez de ſon Pere.	Voilà votre Fille, qui consent aux volontés de son Père.
