ARGVMENT DE LA preſente Tragedie.	ARGUMENT DE LA présente Tragédie.
Clorinde, Grand Roy ie ne fus onc tellement poſſedee De vaine ambition qu’elle m’aye guidee, A pourchaſſer vn rang que ie n’ay merité Ie dis que ce ſeroit trop de temerité.	Clorinde, Grand Roy Roi ne fus onc tellement possédée De vaine ambition qu'elle m'aie guidée, A pourchasser un rang que je n'ai mérité Je dis que ce serait trop de témérité.
Mais Sire puis qu’il plaiſt à voſtre courtoiſie De donner auant coupreſcompence à lenuyee Que i’ay de vous ſeruir aduançant le loyer De ma fidelité auant que l’employer, Ie vous ſupplie ô!	Mais Sire puis qu'il plaît à votre courtoisie De donner avant couprescompense à lenuyee Que yay de vous servir avançant le loyer De ma fidélité avant que l'employer, Je vous supplie ô!
Roy de m’octroyer de grace Ces pauures innocens que l’on tient en la place, Preſts à ſouffrir la mort octroyez-moy ce don Ie ne demande point vn iniuſte guerdon, Le droit parlant pour moy, vous m’excuſerez Sire, Sy ie veux franchement, & ſans fard vous deduire Ce que I’ay ſur le cœur, ie diray librement Que ie n’approuue point le commun iugement Qu’on à fait des Chreſtiens, qu’ils ayent pris l’image 9 Vne autre opinion m’arreſte dauantage C’eſt que conſiderant combien auoit m’eſpris Iſmen contre la Loy, pour auoir entrepris, D’eriger dans le Temple vne eſtrangere idolle Ie tiens pourtout certain que les hoſtes du Polle, Nos Dieux, nos puiſſans Dieux iuſtement irritez Des ſacrileges ſors qu’on auoit projectez, Ont fait perir l’image & n’ont voulu permettre, que dans leur Temple ſainct on y oſaſt commettre, Vn acte ſi contraire à leur honneur diuin Le profanant ainſi, que doncques ce Deuin, Qui n’auoit de recours qu’aux demons & aux qarmes 74 Ruiqun Procuroit vn grand mal pour nous autres gendarmes, 9.	Roi de m'octroyer de grâce Ces pauures innocents que l'on tient en la place, Prêts à souffrir la mort octroyez-moi ce don Je ne demande point un injuste guerdon, Le droit parlant pour moi, vous m'excuserez Sire, Sy a voir franchement, et sans fard vous déduire Ce que J'ai sur le cœur, était dirai librement Que femme n'approuve point le commun jugement Qu'on a fait des Chrétiens, qu'ils aient pris l'image 9 Venne autre opinion m'arrête davantage C'est que a combien auoit m' On contre la , s' ai entrepris, ériger dans le m étrangère ô Ie tiens pourtout certain que les hôtes du Polle, Nos Dieux, nos puissans Dieux iustement irritez Des sacrilèges sors uon auoit projectez, Ont fait périr limage et ont voulu permettre, que dans leur Temple sainct on y osât commettre, n acte si contraire leur honneur dui Le profanant ainsi, que doncques ce Deuin, Qui pô de ur aux le et aux qarmes 74 Ruiqun Procuroit n grand mal pour nous autres gendarmes, 9.
Mettons le fer en œuure eſprouuons les combats Et logeons noſtre eſpoir ſoubs l’effort de nos bras, C’eſt de là non des ſors que prouient la victoire C’eſt par le ſeul chemin qu’on paruient à la gloire.	Mettons le fer en œuvre éprouvons les combats Et logeons notre espoir sous l'effort de nos bras, C'est de là non des sors que provient la victoire C'est par le seul chemin qu'on parvient à la gloire.
Aladin, Ie veux ce que tu veux pour te monſtrer comment Aladin eſt du tout a ton commandement, Deſliez les ſoldats, toſt qu’on les luy deliure Et qu’ils tiennent de toy l’heur qui les fait reuiure.	Aladin, Je veux ce que tu veux pour te montrer comment Aladin est du tout à ton commandement, Désliez les soldats, tôt qu'on les deux délivre Et qu'ils tiennent de toi l'heur qui les fait revivre.
Olinde aeſlié.	Olinde aeslié.
Retirez du danger aparent du treſpas Par ta ſeulle bonté ne te rendrons nous pas, O Seigneur tout puiſſant des graces & loüanges Et mariant nos voix au doux accord des Anges, Ne chanterons nous pas de ton nom ſacré ſaint La puiſſante vertu que tout reuere & craint, Vne vierge infidelle aux armes adonnee De noſtre loy Chreſtienne ennemie obſtinee, Arriuant de ſa propre & franche volonté Procure noſtre grace & noſtre liberté,	Retirez du danger aparent du trépas Par ta seulle bonté ne te rendrons nous pas, Ô Seigneur tout puissant des graces et loüanges Et mariant nos voix au doux accord des Anges, Ne chanterons nous pas de ton nom sacré saint La puissante vertu que tout reuere et craint, vierge infidelle aux armes adonnée De nôtre loi Retirez du obstinée, Apparent du trépas Par ta franche bonté Ne te grace et nous pas,
D Sont-ce pas-là des traicts de ceſte preuoyance Qui regit l’vniuers & qui tient l’innocence, Soubs l’ombre de ſon aille & ſont-ce pas des coune Pour nous monſtrer à plain le ſoin qu’il a de nous.	 Dont-ce pas-là des traits de cette prévoyance Qui régit l'Univers et qui tient l'innocence, Sourbs l'ombre de son aille et sont-ce pas des coune Pour nous montrer à plain le soin qu'il a de nous.
Sophronie.	Sophronie.
Et ne permettant point que l’innocent periſſe C’eſt par là qu’il fait veoir ſa puiſſante Iuſtice, C'eſt par là qu’il fait veoir ſon bras puiſſant & fort Pour conſeruer les ſiens du peril de la mort, Mais voicy celle là dont la toute puiſſance C’eſt ſeruy d’inſtrument pour noſtre deliurance,	Et ne permettant point que l'innocent périsse C'est par là qu'il fait voir sa puissante Justice, C'est par là qu'il fait veoir son bras puissant et fort Pour conserver les siens du péril de la mort, Mais voici celle -là dont la toute puissance C'est servi d'instrument pour notre délivrance,
Olinde, Ma Sophronie allons luy conſacrer l’effait Du bien que l’Eternel par elle nous a fait, Ces deux pauures captifs ces deux chreſtiennes ames Que tu as deliurez des rauiſſantes flames, Viennent rendre enuers toy guerriere le deuoir Et t’offrir tout cela qui eſt en ton pouuoir, Le Ciel ne leur a point donné tant de richeſſe Pour te les departir & t’en faire largeſſe, Auſſi ne croy-ie point que la vertu voulut Au pris d’or ou d’argent leur vendre le ſalut, oue tu-as metité, c’eſt profaner ta gloire Seul ement d’y penſer, encor moins de le croire, Mais puis qu’vn bon deſtin ou iuſtins genereux T’a m’euſt ſans autre cas d’auoir eu pitié d’eux, Les ayant deliurez d’vn infame ſupplice Ils te vouë a iamais leur fidelle ſeruice, Et ſeront auſſi prets là leur abandonner que tu as cite prompte alà leur redonner.	Olinde, Ma Sophronie allons ton consacrer l'effait Du bien que l'Eternel par elle nous a fait, Ces deux pauvres captifs ces deux chrétiennes ames Que tu as deliurez des ravissantes flammes, Viennent rendre envers toi guerrière le devoir Et t'offrir tout cela qui est en ton pouvoir, Le Ciel ne leur a point donné tant de richesse Pour te les départir et t'en faire largesse, Aussi ne crois-je point que la vertu voulut Au pris d'or ou d'argent leur vendre le salut, oue tu-as metité, oueût profaner ta gloire Seul ement y penser, encor moins de le croire, a puis n bon destin ou iustins généreux a eût sans autre cas auoir eu pitié eux, Les ayant deliurez infâme supplice Ils te vouë a iamais leur fidelle ç' Et st aussi pr leur abandonner que tufa cite prompte alà leur redonner.
Clorinde.	Clorinde.
La vertu genereuſe a vne ame bien née Ne fait rien pour l'eſpoir d’en eſtre guerdonnee, Elle porte touſiours ſon laurier quand & ſoy Sans emprunter d’autruy, ainſi doncques pour moy, 110 41 12 312 Ie ne pretens de vous aucune reſcompence De tout ce que i’ay fait pour voſtre deliurance, Ie voudrois mille fois faire encor plus pour vous Tant de voſtre conſtance vn exemple m’eſt doux.	La vertu généreuse a une âme bien née Ne fait rien pour l'espoir d'en être guerdonnée, Elle porte toujours son laurier quand et soi Sans emprunter d'autrui, ainsi donc pour moi, 110 41 12 312 Je ne prétends de vous aucune réscompense De tout ce que j'ai fait pour votre délivrance, Je voudrais mille fois faire encor plus pour vous Tant de votre constance un exemple m'est doux.
Ohnde, S’il te plaiſt d’obliger d’vne faueur ſeconde Celuy qui te doit tout ce qu’il tient en ce monde, Et tout ce qu’il pourroit en viuant acquerir Par mille ans redoublez, ſi ta veux ſecourir, Encores derechef ce pauure miſerable Et retarder le ſort de ſa fin deplorable, Il eſt tout maintenant guerriere en ton pouuoir D’implorer ton credit, pour faire receuoir, Olinde pour amant & pour eſpoux fidelle De celle qui le tient eſclaue en ſa cordelle, A ceſt image rare & conſtante beauté Duquel la grand vertu honore ton coſté, Le lubrique deſir d’vne cuiſante flame N’eſchauffe point mon cœur n’y n’embraſe mor ame, Ie ne demande point a poſſeder icy A faux tiltre de nom d’amoureuſe mercy, Ie veux par ton moyen m’vnir a Sophronie.	Ohnde, S'il te plaît d'obliger d'une faveur seconde Celui qui te doit tout ce qu'il tient en ce monde, Et tout ce qu'il pourrait en vivant acquérir Par mille ans redoublés, si ta veux secourir, Encores derechef ce pauvre misérable Et retarder le sort de sa fin déplorable, Il est tout maintenant guerrière en ton pouuoir Dimplorer ton crédit, pour faire recevoir, Olinde pour amant et pour époux fidèle à celle qui le tient esclave en sa cordelle, À cest image rare et constante beauté Du la grand vertu honore ton côté, Le lubrique désir cuisante flame échauffe point mon cœur y embrase mór âme, Ie ne demande point a posséder A faux tiltre de nom amoureuse m, Ie veux ' un moyen vnir a Sophronie.
22 d virllei comugar e minece compagmie.	22 d virllei compar e minece compagmie.
Clorinde, La preuue qu’il a fait de ſa fidelité Le rend digne d’atteindre a la felicité, Qui bien heure icy bas les ames amoureuſes Puis ces intentions chaſtes & vertueuſes, Te doiuent eſmouuoir, o vierge a l’accepter Pour tel qu’ores il veut a toy ſe preſenter, Ie t’en fais de ma part vne inſtante priere Ne me refuſe point, & croy que la lumiere, Du Soleil iournallier ne veoid point auiourd’huy Vn couple plus parfait que toy auecques luy, Sophronte.	Clorinde, La preuve qu'il a fait de sa fidélité Le rend digne d'atteindre a la félicité, Qui bien heure ici bas les âmes amoureuses Puis ces intentions chastes et vertueuses, Te doivent émouvoir, ô vierge a l'accepter Pour tel qu'ores il veut a toi se présenter, Je t'en fais de ma part une instante prière Ne me refuse point, et crois que la lumière, Du Soleil journallier ne veoid point que huy Un couple plus parfait que toi auecques lui, Sophronte.
Bien qu’vn ferme propos euſt ſaiſi moncourage.	Bien qu'un ferme propos eût saisi moncourage.
De ne iamais entrer aux loix de marid EM Ie change de deſſein & contractant tes veux Ie le prends pour eſpoux, auſſi bien ie ne veux, Frauder de ſon effait la courtoiſe priere Que m’en a fait pour toy ceſte belle guerriere, La reigle ne veut pas qu’ayant tenté le ſort De te rendre auiourd’huy compagnon de la mort, Ie refuſe a courir maintenant la fortune.	De ne jamais entrer aux lois de marid EM Je change de dessein et contractant tes veux Je le prends pour époux, aussi bien su ne veux, Frauder de son effait la courtoise prière Que m'en a fait pour toi cette belle guerrière, La règle ne veut pas qu'ayant tenté le sort De te rendre aujourd'hui compagnon de la mort, Je refuse à courir maintenant la fortune.
La vie nous ſoit donc, & non la mort commune.	La vie nous soit donc, et non la mort commune.
