A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
CALIRIE.	CALIRIE.
ous m’aimez Alidor, Oronte m’aime außi, t ie dois vous tirer tous deux de ce ſouçy, trez moy ſeulement de ne rien entreprendre ſepudet iſut deinamt vous te faſſe entendre, il eſt vray que l'onm’aime, on me doit obey, a deſobeyſſance oblige de hayr.	ous m'aimez Alidor, Oronte m'aime aussi, turs dois vous tirer tous deux de ce souçi, trez moi seulement de ne rien entreprendre sépudet isut deinamt vous te fasse entendre, il est vrai que l'onm'aime, on me doit obéi, a désobéissance oblige de haïr.
ORONTE.	ORONTE.
our moy ie vous promets que mes ardeurs pllus fermer emaintiendront touſiours dedans leurs premienx cermes.	our moi ici vous promets que mes ardeurs pllus fermer emaintiendront toujours dedans leurs premienx cermes.
	
ALIDOR.	ÀLIDOR.
Et moy quoy que ie ſois tout à fait malheureux, Pour vous deſobeyr ie ſuis trop amoureux, Voſtre commandenient m'est vne loy ſeuere Que ie reçoy pourtant de peur de vous deſplaire.	Et moi quoi que je sois tout à fait malheureux, Pour vous désobéir tu suis trop amoureux, Votre commandénient m'est une loi sévère Que je reçois pourtant de peur de vous déplaire.
CALIRIE.	CALIRIE.
de pons quitte, e creyeA que dans te meſme tem Que ie vous ay ipromis, ie vous rendray contens.	de pons quitte, e reyeA que dans te même témoins Que je vous ai ipromis, toujours vous rendrai contents.
RONTE.	RONTE.
Ie croiray tout de vous, mais ie crains le contraire	Je croirai tout de vous, mais ie ainsi le contraire
ALIDOR ſeul.	ÀLIDOR seul.
Oronte qui touſiours m'as ſeruy comme pere, Et qui m'as retiré du milieu des ennuis, Tu feints de me ſauuer, & c’eſt toy qui me nuis, Entendez-vous tous deux, i’ay touſiours mon remede, La mort quand ie voudray ſera preſte à mon ayde	Oronte qui toujours m'as servi comme père, Et qui m'as retiré du milieu des ennuis, Tu feints de me sauver, et c'est toi qui me nuis, Entendez-vous tous deux, j'ai toujours mon remède, La mort quand ie voudrai sera prête à mon aide
ACTE	ACTE
ACTE ATRIESME.	ACTE ATRIESME.
SCENE V.	SCÈNE V.
CINTILLE dans la ſolitude.	CINTILE dans la solitude.
Miſerable Cintille, à qui te reſous-tu Dans ce cruelorage, te faut conſeiller à ta propre vertu,	Misérable Cintille, à qui te résous-tu Dans ce cruelorage, te faut conseiller à ta propre vertu,
Riſtes reſſentimẽs du bien que i’ay perdu, Sortez de ma penſee, L’eſt vn bien qui iamais ne me ſera rendu, Alidor m’a laiſſee, L’ingrat ne ſonge plus à ſa premiere ardeur, Et ie cognois dans ſa froideur ue de ſon ſouuenir Cintille eſt effacee.	Ristes ressentiments du bien que j'ai perdu, Sortez de ma pensée, L'est un bien qui jamais ne me sera rendu, Alidor m'a laisse, L'ingrat ne songe plus à sa première ardeur, Et ie connais dans sa froideur ue de son souvenir Cintille est effacée.
Et monstrer ton courage:	Et montrer ton courage:
Ceſſe de t’affliger, prens vn meilleur deſſein, Et reçois dans ton triſte ſein Les conſeils violens que te donne la rage.	Cesse de t'affliger, prends un meilleur dessein, Et reçois dans ton triste sein Les conseils violents que te donne la rage.
4	4
Meurs, meurs, & n’attends plus le ſecours des humains, Ton attente eſt trop vaine, Ce fer dans vn moment, par l’ayde de tes mains, Mettra finà ta peine:	Meurs, meurs, et n'attends plus le secours des humains, Ton attente est trop vaine, Ce fer dans un moment, par l'aide de tes mains, Mettra fina ta peine:
Pouſſe-le hardiment, & dans ton propre cœur l aterenen avigtal valajuenr, Et venge deſſus luy ta douleur inhumaine.	Pousse-le hardiment, et dans ton propre cœur l aterenen avigtal valajuenr, Et venge dessus avait ta douleur inhumaine.
Le traiſtre y regne encor auec tous ſes meſpris, Mais auec tant de charmes, Que malgré la fureur qui trouble mes eſprits, Il m'arrache les armes, Et pour s’y maintenir me contraint dourement De viure parmy mon tourment, Et de continuër mes ſouspirs, & mes larmes.	Le traître y règne encor auec tous ses mépris, Mais avec tant de charmes, Que malgré la fureur qui trouble mes esprits, Il m'arrache les armes, Et pour s'y maintenir me contraint dourement De vivre parmi mon tourment, Et de continuer mes soupirs, et mes larmes.
2 1	2 1
Pleurons doncques, pleurons, puis qu’il le veut ainſi, La matiere en eſt ample, Et faiſons en ces lieux de ces gaſons içy Vn dep lorable temple, Où mes longues douleurs, & ma fidelité Laiſſent à la poſterité De conſtance & d’amour vn memorable exemple.	Pleurons donc, pleurons, puis qu'il le veut ainsi, La matière en est ample, Et faisons en ces lieux de ces gazons içi Venn dép le temple, Où mes longues douleurs, et ma fidélité Laissent à la postérité De constance et d'amour un mémorable exemple.
M	M
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE VI.	SCÈNE VI.
ORCAN.	ORCAN.
CINTILLE.	CINTILE.
ORCAN.	ORCAN.
E me tromperois fort en mon opinion, Si vous ne réuiez pas à vostre paßion:	ELLE me tromperais fort en mon opinion, Si vous ne réuiez pas à votre passion:
Ces yeux noyez de pleurs, & ceſte couleur ble ſme Mie teſmoignent aſſez voſtre douleur extreſme, Ne me le cachez point, il ſe faut retirer De ceſte folle ardeur qui vous fait ſouspirer.	Ces yeux noyés de pleurs, et cette couleur blé sme Mie témoignent assez douleur extrême extrême, Ne me le cachez point, il se faut retirer De cette folle ardeur qui vous fait soupirer.
LINTILLE.	LINTILE.
Orcan, il est certain que i’auois ma penſee Portée à cét ingrat qui m'a l’ame bleſſee, Et que ie ne ſçaurois ſouffrir qu’auec douleur 'a laſche ingratitude, & mon cruel malheur:	Orcan, il est certain que j'avais ma pensée Portée à cet ingrat qui m'a l'âme blessée, Et que sans ne saurais souffrir qu'avec douleur 'a lâche ingratitude, et mon cruel malheur:
Mais que m'apporte-tu, dois-ie mourir, ou viure, Dy-le moy franchement,	Mais que m'apporte-tu, dois-je mourir, ou vivre, Dis-le moi franchement,
ORCAN.	ORCAN.
Son crime vous deliure,	Son crime vous délivre,
OINIILLE.	ÔINILLE.
Con crime!	Con crime!
qu’a-t’il fait,	qu'a-t-il fait,
ORCAN.	ORCAN.
Rien, ſinon vous trahir, Pour vne qui ne peut iamais que le haïr, Coyez ſi ſon forfait ne vous a pas vengée, Et s’il n'eſt pas puny de vous auoir chaingt, l aime vne beauté, qui ne le peut ſouffrir, Et qui neuc ſes paux quandil les vient offrir.	Rien, sinon vous trahir, Pour un qui ne peut jamais que le haïr, Coyez si son forfait ne vous a pas vengée, Et s'il n'est pas puni de vous avoir chaingt, l aime un beauté, qui ne le peut souffrir, Et qui neuc ses paux quandil les vient offrir.
Son nom CINTILLE.	Son nom CINTILLE.
ORCAN.	ORCAN.
Eſt Calirie, & ſon riual Oronte, oila comme l’amour a vangé voſtre honte.	Est Calirie, et son rival Oronte, oilà comme l'amour a vengé votre honte.
.	.
I cir.	I cir.
c-- M.	ç- M.
iij *42-	iij *42-
CINTILLE.	CINTILE.
Tu me parles Orcan, trop generalement, Dy-moy ce qui ſe paſſe, & ne mens nullement.	Tu me parles Oran, trop généralement, Dis-moi ce qui se passe, et ne mens nullement.
ORCAN.	ORCAN.
Alidor amoureux de ceſte belle Dame, A fait l’extrauagant pour teſmoigner ſa flâme, Aeeſt tomue matie, &felaiſſoit mourir Lors que ceste beauté l’eſt venu ſecourir.	Alidor amoureux de cette belle Dame, A fait l'extravagant pour témoigner sa flamme, Aeest tomue matie, etfelaissoit mourir Lors que cette beauté l'est venu secourir.
Comment, CINTILEE.	Comment, CINTILE.
ORCAN.	ORCAN.
Oronte à qui ſa flame eſtoit cognuë, Encores qu’il vſaſt de quelque retenuë, Adoroit Calirie, elle l’aimoit außi, C’eſtoit le meſme cœur, & le meſme ſoucy:	Oronte à qui sa flamme était connue, Encores qu'il vsast de quelque retenue, Adorait Calirie, elle l'aimait aussi, C'était le même cœur, et le même souci:
Mais voyant qu'Alidor ne viuroit point ſanstt Il fit vne action à luy-meſme cruelle, Il fut voir ſon nepueu, luy dit ſa paßion, Et qu’il le veut ſeruir dans ſon affection, De fait il le ſeruit auecques tant d’addreſſe, Que pour l'amour de luy ſa Dame le careſſe, cce--*- Le viſite ſouuent:	Mais voyant qu'Alidor ne vivrait point sanst Il fit avoir action à peine-même cruelle, Il fut voir son nepueu, avait dit sa passion, Et qu'il le veut servir dans son affection, De fait il le servit avec tant d'adresse, Que pour l'amour de trouver sa Dame le caresse, cce-à- Le visite souvent:
ſi bien que fa beauté Luy redonnaſt bien toſt ſa premiere ſanté:	si bien que fa beauté Lui redonnât bien tôt sa première santé:
Mais lors qu’il fut guery, la belle refroidie Luy parloit autrement que dans ſa maladie, Dronte qui craignoit que ce grand changement Ve iettaſt ſon nepueu dedans le monument, Auoit auec la mere ar reſté l’hymenée, Calirie d’abord ſe void bien eſtonnée:	Mais lors qu'il fut guéri, la belle refroidie Lui parlait autrement que dans sa maladie, Dronte qui craignait que ce grand changement Ve jetât son nepueu dedans le monument, Avait sous la mère ar resté l'hyménée, Calirie d'abord se voit bien étonnée:
Mais ſe voyant preſſee, elle demande vn iour, 'our ſe pouuoir reſoudre à ce nouuel amour, C'ependant elle pleure, elle ſe plaint d’Oronte, Luy reproche ſon crime, & le couure de honte, Elle fuyt Alidor plus qu’elle n’auoit fait, ny uu fue jonumont la faſene 5& tuy desplait, Qu'elle ne le peut voir qu'auec vnœil de haine, Qu'elle mourra pluſtoſt que d’alleger ſa peine.	Mais se voyant pressée, elle demande un jour, ' our se pouvoir résoudre à ce nouvel amour, C'épendant elle pleure, elle se plaint d'Oronte, Lui reproche son crime, et le couvre de honte, Elle fût Alidor plus qu'elle n'avait fait, ni suive fue jumont la fasène 5 tui déplaît, Qu'elle ne le peut voir qu'avec vnœil de haine, Qu'elle mourra plutôt que d'alléger sa peine.
CINTILLE.	CINTILE.
Amour iuſte vengeur de mes feux innocens, En fin tu l’as puny des maux que ie reſſens.	Amour juste vengeur de mes feux innocents, En fin tu l'as puni des maux que ie ressens.
ORCAN.	ORCAN.
Dronte dont l’amour eſtoit touſiours puiſſante, A DC.	Dronte dont l'amour était toujours puissante, A Ç.
2 Eſtoit ſi ſatisfait de la voir ſi conſtante, Que voyant ſon nepueu ſupporter ſans mourir, Ce qu’il ne croyoit pas, qu’il peut iamais ſouffri Retourne à Calirie, & par des raiſons fortes Taſche de r'allumer les ardeurs qu’il croit mortes Alidor qui l’auoit par hazard entendu, L’interrompit pluſtoſt qu’il n'auoit attendu, Se plaint de tous les deux, leur fait pluſieurs repruches, Et les rend außi froids, que s’ils eſtoient des roches Il ſe voulut tuër, mais il fut arreſte Par le commandement que fit ceſte beauté, Si vous m’aimez, dit-elle, aimez donc voſtre vie Et perdez tout à fait ceſte brutale enuie, Demain ſans y faillir, ie vous rendray contens, I'our vous dimer tous deux, ie prens cela de temps, Voila le vray ſujet de ſa melancholie, Et ce qui s'eſt paßé dans toute ſa folie.	2 Estait si satisfait de la voir si constante, Que voyant son nepueu supporter sans mourir, Ce qu'il ne croyait pas, qu'ils peut jamais souffri Retourne à Calirie, et par des raisons fortes Tâche de rallumer les ardeurs qu'il croit mortes Alidor qui l'avait par hasard entendu, L'interrompit plutôt qu'il n'avait attendu, Se plaint de tous les deux, leur fait plusieurs repruches, Dans les rend aussi froids, que s'ils étaient des roches Il se voulut tues, mais il fut arrête Par le commandement que fit cette beauté, Si vous aimez, dit-elle, aimez donc re vie Et perdez tout fait ceste brutale envie, Demain sans y faillir, ie vous rendrai ts, M'our vous aime tous deux, ie prens cela de temps, Voila le vrai sujet de sa melancholie, Et ce qui s'est passé dans toute sa folie.
CINTILLE.	CINTILE.
Ce n’eſt pas tout, Orcan, ie veux voir quel ſuccér Nous pourront apporter ces amoureuxexcés, La reſolution de perdre cét infame, S’il perſiste à l’aimer est priſe dans moname.	Ce n'est pas tout, Orcan, on veux voir quel succer Nous pourront apporter ces amoureuxexcès, La résolution de perdre cet infâme, S'il persiste à l'aimer est prise dans moname.
Auprés de Calirie ou des mains, ou du fer, Entre tous ſes amis, ie le veux eſtoufer.	Auprès de Calirie ou des mains, ou du fer, Entre tous ses amis, était le veux étouffer.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE I.	SCÈNE I.
FLORINTOR.	FLORINTOR.
CINTILLE.	CINTILE.
FLORINTOR.	FLORINTOR.
5 Our le dire en vn mot, elle m’afait entendre Qu'il me faloit ceder aux merits d’Alcandre, Que vous auiez plus fait ſans l’aimer dans vn iour, Que moy depuis deux ans que dure mon amour, Que vous eſtes le ſeul qui pouuiez tout fur elle, Que vous eſtes l’objet de ſa flâme nouuelle, Et que ioui ſonvon neur etoi entre posmains,	5 Our le dire en un mot, elle m'afait entendre Qu'il me fallait céder aux mérits d'Alcandre, Que vous aviez plus fait sans l'aimer dans un jour, Que moi depuis deux ans que dure mon amour, Que vous êtes le seul qui pouviez tout fur elle, Que vous êtes l'objet de sa flamme nouvelle, Et que joui sonvon neur étais entre posmains,
2 CINTILLE.	2 CINTILLE.
Que l’amour eſt contraire au repos des humains, Il eſt vray, Florintor, que voſtre Meliſſee M’a fait voir qu'elle eſtoit de mon amour bleſſee, Qu'elle m'a teſmoigné beaucoup de paßion;	Que l'amour est contraire au repos des humains, Il est vrai, Florintor, que votre Mélissee M'a fait voir qu'elle était de mon amour blessée, Qu'elle m'a témoigné beaucoup de passion;
Mais ie ſuis impuiſſant pour ſon affection, Outre vostre intereſt, dont mon ame eſt touchée, Vne raiſon plus forte eſt dans mon ſein cachée, Qui m’oblige de voir Meliſſee autrement Que comme ma Maiſtreſſe, ou comme ſon Amãt, I'eſtime ſa beauté, ſon merite, ſagrace, Mais ie ne puis pour elle auoir qu'vn cœur de glace.	Mais ie suis impuissant pour son affection, Outre votre intérêt, dont mon âme est touchée, Âme raison plus forte est dans mon sein cachée, Qui m'oblige de voir Melissee autrement Que comme ma Maîtresse, ou comme son Amant, J'estime sa beauté, son mérite, sagrâce, Mais ils ne puis pour elle avoir qu'un cœur de glace.
FLORINTOR.	FLORINTOR.
Il est vray que i’ay creu que la belle Cloris, Qui depuis ſi long temps maiſtriſe vos eſprits, Auec tous ſes deſdains, eſt ſi bien dans vostre ame, Qu'elle n’y laiſſe point de place à d’autre flâme, Et que malaisément ce climat eſtranger Vous peut monſtrer d’ob et qui vous puiſſe chãger.	Il est vrai que j'ai cru que la belle Cloris, Qui depuis si long temps maîtrise vos esprits, Avec tous ses dédains, est si bien dans votre âme, Qu'elle n'y laisse point de place à d'autre flamme, Et que malaisément ce climat étranger Vous peut montrer d'ob et qui vous puisse changger.
Toutesfois le plaiſir d’eſtre aimé d’vne belle Qui vous parle d’amour, lors que l’autre eſt cruelle A beaucoup de pouuoir pour ſe rendre vainqueur De ceste forte ardeur qui vous bruſle le cœur, L’amour qu'elle a pour vous, ſes ſouspirs, & ſes larmes, 22-- A ſes autres beautez adiouſtent bien de charmes Et diſſleuemem ſe peut-onempeſener D’aimer tant de beautez à qui l’on eſt ſi cher.	Toutefois le plaisir d'être aimé d'une belle Qui vous parle d'amour, lors que l'autre est cruelle A beaucoup de pouvoir pour se rendre vainqueur De cette forte ardeur qui vous brûle le cœur, L'amour qu'elle a pour vous, ses soupirs, et ses larmes, 22-un A ses autres beautés ajoutent bien de charmes Et dissleuemem se peut-onempêener D'aimer tant de beautés à qui l'on est si cher.
CINTTLLE.	CINTTLE.
Vous croirez, s’il vous plaist, ce que la ialouſie Peut deſſus ce ſujet vous mettre en fantaſie:	Vous croirez, s'il vous plaît, ce que la jalousie Peut dessus ce sujet vous mettre en fantaisie:
Mais ſoyez aſſeuré que iamais autre ardeur ue ue monſeu premiei neuruſera moncœeur, Deuant la fin du iour, dont la lumiere eſclaire, Vous cognoiſtrez que i’aime, &-que ie me ſȩay FLORINTOR.	Mais soyez assuré que jamais autre ardeur ue ue monseu premie neuraisera moncœeur, Deuant la fin du jour, dont la lumière éclaire, Vous connaîtrez que j'aime, et-que me me sais FLORINTOR.
taire.	taire.
Que dant ce peu de mots vous me dites beaucoup, Amy vous m'obligez doublement à ce coup, Vous me ſauuez la vie, & ſi l’amour luy-meſme N'eſt pas mon ennemy, vous ſauuez ce que i’aime.	Que dant ce peu de mots vous me dites beaucoup, Ami vous m'obligez doublement à ce coup, Vous me sauvez la vie, et si l'amour lui-même N'est pas mon ennemi, vous sauvez ce que j'aime.
CINTILLE.	CINTILE.
Ie vous prie e nuoyons mon homme pour ſçauoir Si ſans l’importuner, ie pourray l’aller voir, Vous me ſuiurez apres, & puis tous trois ensẽble Irons chez Calirie:	Je vous prie est nuoyons mon homme pour savoir Si sans l'importuner, Seigneur pourrai l'aller voir, Vous me suivrez après, et puis tous trois ensemble Irons chez Calirie:
Parce que ie voudrois qu'elle, & nous deux enſemble T'upions ent a Caurte, ouit ſpay qu'ons aſfemble:	Parce que ici voudrais qu'elle, et nous deux ensemble T'upions ent à Caurte, ouit sais qu'ons asfemble:
Là voila fur ſa porte, Adieu, venez apres.	Là voilà fur sa porte, Adieu, venez après.
FLORINTOR s’en allant.	FLORINTOR s'en allant.
Ie crains que ton ſecours n’augmente mes regrets, Toutesfois ſes diſcours teſmoignent ſa franchiſe.	Je crains que ton secours n'augmente mes regrets, Toutesfois ses discours témoignent sa franchise.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE II.	SCÈNE II.
CINTILLE.	CINTILE.
MELISSEE.	MELISEE.
Adame, ie voy bien que ie vous ay ſur IVT priſe.	Adame, je vois bien que votre vous ai sur IVT prise.
MELISSEE.	MELISEE.
Ouy, vous m'auez ſurpriſe, ingrat meſcognoißsã, Qui vous mocquez des feux que mon ame reſſent.	Oui, vous m'avez surprise, ingrat méconnaissez, Qui vous moquez des feux que mon âme ressent.
Mais le Ciel s’il eſt iuste en vangera le crime, Quoy, vous offenſez vous de ce qu'on vous eſtime, Si vous ne pouuez pas ſupporter mon ardeur Qu'auecque du mespris, ou beaucoup de froideur,	Mais le Ciel s'il est juste en vengera le crime, Quoi, vous offensez vous de ce qu'on vous estime, Si vous ne pouvez pas supporter mon ardeur Qu'avec du mépris, ou beaucoup de froideur,
DAN EREIRIL.	DAN EREIRIL.
Pourquoy m'abordez-vous, venez-vous recognoiſtre Si cet amour eſt mort, que vous auez fait naistre:	Pourquoi m'abordez-vous, venez-vous reconnaître Si cet amour est mort, que vous avez fait naître:
Non, non, tous vos meſpris ne font que l’augmẽter, Et l’horreur du trespas ne me peut rebuter, Encor que vous puißiez beaucoup deſſus mon ame, Vous ne luy pouuez pas donner vne autre flâme, Ne me venez-vous voir que pour ſolliciter, Pour l’importun Amant qui vient de vous quiter, Vous vous trõpez, Alcandre, il vous eſt impoßsible De me rendre iamais à ſon amour ſenſible:	Non, non, tous vos mépris ne font que l'augmẽter, Et l'horreur du trépas ne me peut rebuter, Encor que vous puissions beaucoup dessus mon âme, Vous ne lui devez pas donner une autre flamme, Ne me venez-vous voir que pour solliciter, Pour l'importun Amant qui vient de vous quitter, Vous vous trompez, Alcandre, il vous est impossible De me rendre jamais à son amour sensible:
Ie veux vous preuenir, de peur que vos diſcours Ne me viennent preſſer de luy donner ſecours, Ie ne le puis ſouffrir quelque choſe qu’il face, I'ay trop de feu pour vous, & pour luy trop deglaCINTILLE.	Je veux vous prévenir, de peur que vos discours Ne me viennent presser de reste donner secours, Je ne le puis souffrir quelque chose qu'il face, J'ai trop de feu pour vous, et pour lui trop déglaCINTILLE.
ce.	ce.
Ie le viens de quitter, il eſt vray, mais ſçachez Que vous ne tenez plus ſes eſprits attachez, Que ne pouuant ſouffrir voſtre rigueur extreſme, Si vous ne l’aymez point, il en faict tout de meſme.	Je le viens de quitter, il est vrai, mais sachez Que vous ne tenez plus ses esprits attachez, Que ne pouvant souffrir votre rigueur extrême, Si vous ne l'aimez point, il en fait tout de même.
.	.
C-	Ç-
MELISSEE.	MELISEE.
S’il eſt vray, Florintor m’oblige grandemient, Me deliurant ainſi d vn importun Amant.	S'il est vrai, Florintor m'oblige grandemient, Me délivrant ainsi dieux importun Amant.
CINTILLE.	CINTILE.
L’orgueil, & la beauté ſont d’ordinaire enſemble Vous le deuriez pourtant regretter, ſi me ſemble tey cortorsſtonro temp euins tes toise tom cieutolr, Et d’autres ſe croiront heureuſes de l’auoir.	L'orgueil, et la beauté sont d'ordinaire ensemble Vous le devriez pourtant regretter, si me semble te cortorsstonro temp uins tes toise tom cieutol, Et d'autres se croiront heureuses de l'avoir.
MELISS.	MELIS.
EE.	CE.
Qu'vn autre le poſſede, ou qu’il en aime mille, De ſupporter ce mal, il me ſera facile:	Qu'un autre le possède, ou qu'il en aime mille, De supporter ce mal, il me sera facile:
Mais encore ſçachons le nom de la beauté Qui dans ces nouueaux nœuds retient ſa liberte.	Mais encore sachons le nom de la beauté Qui dans ces nouveaux nœuds retient sa liberté.
CINTEEE.	CINTEE.
La belle Calirie eſt l’objet de ſa flâme, C'eſt elle qui poſſede à ceſte heure ſon ame.	La belle Calirie est l'objet de sa flamme, C'est elle qui possède à cette heure son âme.
MELISSEE.	MELISEE.
Il n’a pas mal choiſi, mais il a des riuaux 2 Qui le trauerſeront en ſes deſirs nouueaux, L’hiſtoire des amours d’Alidor, & d’Oronte, Pour la meſme beauté le couurira de honte:	Il n'a pas mal choisi, mais il a des rivaux 2 Qui le traverseront en ses désirs nouveaux, L'histoire des amours d'Alidor, et d'Oronte, Pour la même beauté le couvrira de honte:
Enei glelepa,	Énei glelepa,
LINTILLE.	LINTILE.
C’eſt pour cette raiſon Qu'il choiſit auiourd’huy cette belle priſon.	C'est pour cette raison Qu'il choisit aujourd'hui cette belle prison.
MELISSEE.	MELISEE.
En tout voſtre diſcours ie ne puis rien entendre, Außi ne veux-ie pas dauantage en apprendre, muuſjomnta Piorinor, ne parlons que de vous, Et nous oſtons d’icy, nous ſerons mieux chez nous.	En tout votre discours ie ne puis rien entendre, Aussi ne veux-je pas davantage en apprendre, muusjomnta Piorinor, ne parlons que de vous, Et nous ôtons d'ici, nous serons mieux chez nous.
CINTILLE tout bas.	CINTILE tout bas.
Que ie plains ton malheur, ô pauure Meliſſee, Tu te verras tantoſt bien loin de tapenſee.	Que ainsi plains ton malheur, ô pauvre Mélissee, Tu te verras tantôt bien loin de tapée.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE III.	SCÈNE III.
CALIRIE ſeule dans ſa chambre, tenant vn miroir.	CALIRIE seule dans sa chambre, tenant un miroir.
Emon dont la vertu maintient cét vniuers, Qui te fais recognoiſtre en tes actrs diuer, Qui ſçais tout, qui vois tout, Amour Dieu des mer ueilles, Si ma iuſte priere a touché tes oreilles, Fais reüßir de grace vn genereux deſſein, Que ta puiſſante ardeur inspire dans mon ſein, Ah!	Emon dont la vertu maintient cet univers, Qui te fais reconnaître en tes actrs diver, Qui sais tout, qui vois tout, Amour Dieu des mer ouvilles, Si ma juste prière a touché tes oreilles, Fais réussi de grâce un généreux dessein, Que ta puissante ardeur inspire dans mon sein, Ah!
miroir autrefois conſulté pour l’vſage Des embelliſſemens qu'on met ſur vn viſage, Dont laglace monſtroit autrefois à mes yeux  R	miroir autrefois consulté pour l'usage Des embellissements qu'on met sur un visage, Dont laglace montrait autrefois à mes yeux R
Vn threſor que chaqu'vn eſtime precieux, Que ie ſuis bien changée, & que ce qui m’oblige A te venir reuoir cruellement m'afflige, Ie viens pour conſulter auec toy les moyens De perdre le plus cher, & plus grand de mes biẽs, Ie ſçay, ſans me flatter, qu’on me peut dire belle, Qu'auiourd’huy ie viens faire vne action nouuelle:	Un thresor que chaqu'un estime précieux, Que tu suis bien changée, et que ce qui m'oblige À te venir revoir cruellement m'afflige, Je viens pour consulter avec toi les moyens De perdre le plus cher, et plus grand de mes bea, Ie bières, sans me flatter, qu'on me peut dire belle, Qu'aujourd'hui toujours viens faire une action nouvelle:
Mais que ne peut l’amour, à qui les immortels, Et toute la nature erige des autels, Oronte ſeul objet de toutes mes penſees Ne croy pas tes ardeurs dans mon ſein effacees, Ie t’ay touſiours aimé, ie t’eſtime touſiours, Et ſans toy ie croirois malheureux tous mes iours, Ie ne ſçay toutesfois ſi me voyant changée, Alors que ton erreur ſera ſur moy vangée, Et voyant mon viſage auecque moins d’appas, Tu ne deuiendras autre que tu n'es pas.	Mais que ne peut l'amour, à qui les immortels, Et toute la nature erige des autels, Oronte seul objet de toutes mes pensées Ne crois pas tes ardeurs dans mon sein effacées, Je t'ai toujours aimé, je t'estime toujours, Et sans toi ainsi croirais malheureux tous mes jours, Je ne sais toutefois si me voyant changée, Alors que ton erreur sera sur moi vengée, Et voyant mon visage avec moins d'appas, Tu ne deviendras autre que tu n'es pas.
Helas!	Hélas!
que ce ſoupçon eſt loin de l’apparence, I Tu m’as de ton amour donné trop d’aſſeurance, Siie perds mes appas, au moins ie ne les pers Que pour me retirer de ces iniustes fers, -	que ce soupçon est loin de l'apparence, I Ju m'as de ton amour donné trop d'assurance, Siie perds mes appas, au moins ie ne les pers Que pour me retirer de ces injustes fers, -
Où ta folle amitié pour vn nepueu peu ſage, Sans aucune raiſon à ceſte heure m'engage, Tu trouueras en moy d’autres perfections, Que l’on voit eſclater dedans mes actions, Tu diras que ces traits ſont mon moindre merite, Que ma vertu n'a rien icy qui la limite, Ie ne croy pas außi que tu te ſois peiné, Pour vn peu de beauté par le temps condamné, Qui dans fort peu de iours tombe comme les roſes.	Où ta folle amitié pour un nepueu peu sage, Sans aucune raison à cette heure m'engage, Tu trouveras en moi d'autres perfections, Que l'on voit éclater dedans mes actions, Tu diras que ces traits sont mon moindre mérite, Que ma vertu n'a rien ici qui la limite, Je ne crois pas aussi que tu te sois peiné, Pour un peu de beauté par le temps condamné, Qui dans fort peu de jours tombe comme les roses.
Que nous voyons mourir, dés qu'elles ſont eſcloſe, Ton eſprit eſt trop fort pour t’aller engager A l’eſclat que l’on voit ſortir d’vn feu leger, Tu ſçais bien que le temps oſte auec peu de pent La beauté de nos corps, comme vn nom de l’arent, Alidor de qui ſeul prouient mon desplaiſir, Ie la veux immoler à ton cruel deſir, Ce teint qui te plaiſoit va changer de nature, Ie veux guerir ta flame auecque ma bleſſure, Ce viſage où tu vis tant de charmes puiſſans, Apres ceſte action eſtonnera tes ſens, Haſtons noſtre deſſein, que ma main l'execute:	Que nous voyons mourir, dès qu'elles sont éclose, Ton esprit est trop fort pour t'aller engager A léclat que l'on voit sortir d'un feu léger, Tu sais bien que le temps ôte était peu de pent La beauté de nos corps, comme un nom de l'arent, Alidor de qui seul provient mon déplaisir, Je la veux immoler à ton cruel désir, Ce teint qui te plaisait va changer de nature, Je veux guérir ta flamme auecque ma blessure, Ce visage où tu visage où tu vite puissants, Anprès cette action étonnera tes sens, Hâtons quelque dessein, que ma main l'execte:
Mais mõ viſage en pleurs ſemble qu’il me rebute.	Mais mon visage en pleurs semble qu'il me rebute.
Non, non, mes tristes yeux, ilne faut point pleurer.	Non, non, mes tristes yeux, ilne faut point pleurer.
