MONSEIGNEVR,	MONSEIGNEUR,
& allumant mille feux de ioye de ceux de noſtre Amour, embraſons tous nos ſubiets de cette diuine flame, pour en attendre les tributs & les hommages qu’ils nous doiuent.	et allumant mille feux de joie de ceux de notre Amour, embrasons tous nos sujets de cette divine flamme, pour en attendre les tributs et les hommages qu'ils nous doivent.
ARTHENICE.	ARTHENICE.
Sire, ie m’en vay me preparer à receuoir les honneurs dont V.	Sire, Seigneur m'en vais me préparer à recevoir les honneurs dont V.
M.	M.
me veut combler auiourd’huy:	me veut combler aujourd'hui:
c’eſt vn bien qui ſurpaſſe mon attente.	c'est un bien qui surpasse mon attente.
LE ROY.	LE ROY.
Mais ſi faut-il arracher le dernier ſoucy de ma Couronne, & mettre à la raiſon ce Chancelier.	Mais si faut-il arracher le dernier souci de ma Couronne, et mettre à la raison ce Chancelier.
Monſieur le Duc, allez apprendre ſa derniere reſolution.	Monsieur le Duc, allez apprendre sa dernière résolution.
LE DVC de Sofoc.	LE DUC de Sofoc.
Sire, V.	Sire, V.
M.	M.
verra bien toſt les effects de mon Obchlallce.	verra bien tôt les effets de mon Obchlallce.
8 DEV P TY CLORIMENE à genoux deuant le Roy.	8 DEV P Y CLORIMENE à genoux devant le Roi.
IRE, voicy vne pauure Fille qui n’eſtant plus DA connuë que par ſes mal-heurs, ſupplie treshumblement V.	IRE, voici une pauvre Fille qui n'étant plus DA connue que par ses malheurs, supplie treshumblement V.
M.	M.
d’en terminer le cours, en donnant la vie à ſon Pere.	d'en terminer le cours, en donnant la vie à son Père.
LE ROY.	LE ROY.
Vous demandez la grace d’vn criminel qui cherche ſa gloire dans ſon crime, & qui tiendroit ſon repentir pour vn ſupplice.	Vous demandez la grâce d'autre criminel qui cherche sa gloire dans son crime, et qui tiendrait son repentir pour un supplice.
CLORIMENE.	CLORIMENE.
Sire, voſtre bonté, ſes ſeruices, & mes miſeres ſont autant de raiſons qui ſollicitent voſtre Maieſté de le ſauuer, quoy qu’il ſoit reſolu à ſe perdre.	Sire, votre bonté, ses services, et mes misères sont autant de raisons qui sollicitent votre Majesté de le sauver, quoi qu'il soit résolu à se perdre.
LE ROY.	LE ROY.
Qu’il viue, & qu’il obeïſſe.	Qu'il vive, et qu'il obéisse.
CLORIMENE.	CLORIMENE.
Puiſque ſa deſobeïſſance ne ſçauroit retarder a vil feur fliomiene les concentenſens de V.	Puisque sa désobéissance ne saurait retarder a vil seur fliomène les concentensens de V.
M.	M.
permettez luy de viure dans la foy qu’il a toujours profeſſée.	permettez amour de vivre dans la foi qu'il a toujours professée.
Si ſa Religion fait ſon crime, où trouuerez vous des Innocens?	Si sa Religion fait son crime, où trouverez -vous des Innocents?
LE ROY.	LE ROY.
Ie ne veux point qu’vn ſubiet me faſſe la loy:	Je ne veux point qu'un sujet me fasse la loi:
il doit ſe reſoudre promptement ou à la mort, ou u robomlances	il doit se résoudre promptement ou à la mort, ou obomlances
CLORIMENE.	CLORIMENE.
Ha!	Ha!
quecét Arreſt me ſemble cruel, V.	quecet Arrêt me semble cruel, V.
M.	M.
n’en condamne qu’vn à la mort, & il en fera mourir deux?	n'en condamne qu'ins à la mort, et il en fera mourir deux?
Comment peut-on ſauuer la Fille, ſi l'on veut perdre le Pere?	Comment peut-on sauver la Fille, si l'on veut perdre le Père?
D	D
LE ROY C’eſt luy meſme qui court à ſa perte:	LE ROY C'est venir même qui court à sa perte:
ſes diſcours & ſes actions ſont ſes teſmoins & ſes Iuges.	ses discours et ses actions sont ses témoins et ses Juges.
CLORIMENE.	CLORIMENE.
Ha!	Ha!
Sire, conſiderez ſa vieilleſſe:	Sire, considérez sa vieillesse:
n’oubliez pas ſa fidelité, & iettez les yeux ſur mon mal-heur, comme vn obiet de pitié, pluſtoſt que de Iuſtice.	n'oubliez pas sa fidélité, et jetez les yeux sur mon malheur, comme un objet de pitié, plutôt que de Justice.
Ie veux croire auec V.	Je veux croire avec V.
M.	M.
que mon Pere eſt coupable:	que mon Père est coupable:
mais c’eſt d’vn crime dont le temps ſeul le peut faire repentir, puiſque voſtre exemple luy ſeruira de leçon pour l’inſtruire.	mais c'est d'un crime dont le temps seul le peut faire repentir, puisque votre exemple te servira de leçon pour l'instruire.
LE ROY.	LE ROY.
Il ſuffit qu’il connoiſſe mes volontez, pour confeſſer ſa faute:	Il suffit qu'il connaisse mes volontés, pour confesser sa faute:
vn ſubiet rebelle eſt digne de mort:	un sujet rebelle est digne de mort:
qu’on ne m’en parle plus:	qu'on ne m'en parle plus:
l’auray ſoin de voſtre Fortune.	l'aurai soin de votre Fortune.
2 1	2 1
CLORIMENE ſeule.	CLORIMENE seule.
Quelle fortune dois ie eſperer dans le comble de mes miſeres?	Quelle fortune dois ie espérer dans le comble de mes misères?
Croit-il que i’aye le cœur ſi laſche, de mandier ſes faueurs apres m’auoir refuſé la grace de mon Pere?	Croit-il que j'aie le cœur si lâche, de mandier ses faveurs après m'avoir refusé la grâce de mon Père?
Non, non, ie luy teſmoigneray que ie ſçay mourir genereuſement, quand il n’eſt plus temps de viure.	Non, non, ie luy témoignerai que deux sais mourir généreusement, quand il n'est plus temps de vivre.
MITI.	MITI.
LE DVC de Sofoc.	LE DUC de Sofoc.
Il continuë de parler, voyant Thomas Morus au trauers de la grille de ſa priſon.	Il continue de parler, voyant Thomas Morus au travers de la grille de sa prison.
Monſieur, le Roy m’a commandé de venir apprendre de voſtre bouche vôtre derniere volonté, touchant l’Edict qu’il a fait, que tous ſes ſubiets euſſent à changer de Religion, ſur peine de la vie.	Monsieur, le Roi m'a commandé de venir apprendre de votre bouche votre dernière volonté, touchant l'Édit qu'il a fait, que tous ses sujets eussent à changer de Religion, sur peine de la vie.
E Eolier, fais moy parler au Chancelier;	 Éolier, fais -moi parler au Chancelier;
ie Diɇ viens de la part du Roy.	Elle Dis viens de la part du Roi.
Ie pleins le malheur de ce Vieillard:	Je pleins le malheur de ce Vieillard:
Mais quoy qu’il ſoit digne d’enuie, ie ne ſuiuray iamais ſon exemple.	Mais quoi qu’il soit digne d'envie, je ne suivrai jamais son exemple.
THOMAS MORVS.	THOMAS MORUS.
Monſieur, apres auoir fait connoiſtre au Roy ma derniere reſolution ſur ce ſujet, ie n’ay plus rien à dire.	Monsieur, après avoir fait connaître au Roi ma dernière résolution sur ce sujet, toujours n'ai plus rien à dire.
LE DVC.	LE DUC.
Sa Maieſté vous a voulu laiſſer le temps de conſiderer voſtre faute, pour en donner la grace à vôtre repentir.	Sa Majesté vous a voulu laisser le temps de considérer votre faute, pour en donner la grâce à votre repentir.
THOMAS MORVS.	THOMAS MORUS.
Mon innocence n’a pas beſoin de grace;	Mon innocence n'a pas besoin de grâce;
ie ne ſçaurois me repentir d’auoir bien fait.	Je ne saurais me repentir d'avoir bien fait.
da d tes.	da d tes.
N’eſtes vous pas coupable du crime de leze Maieſté, en deſobeïſſant à vôtre Prince?	N'êtes -vous pas coupable du crime de léze Majesté, en désobéissant à votre Prince?
THOMAS MORVS.	THOMAS MORUS.
Ie ne ſuis ſon ſubiet que iuſques au pied de l'Autel.	Je ne suis son sujet que jusques au pied de l'Autel.
LE DVC.	LE DUC.
Les regles de ſa Puiſſance ne ſouffrent point d’exception.	Les règles de sa Puissance ne souffrent point d'exception.
THOMAS MORVS.	THOMAS MORUS.
Les Loix de la Religion ne peuuent iamais eſtre violées.	Les Lois de la Religion ne peuvent jamais être violées.
LE DVC.	LE DUC.
Les exemples des Rois ſont des excuſes legitimes.	Les exemples des Rois sont des excuses légitimes.
THOMAS MORVS.	THOMAS MORUS.
le ne faudray iamais par exemple.	le ne faudrai jamais par exemple.
MEVC.	MEUC.
Qu’eſperez vous de voſtre opiniaſtreté?	Qu'espérez -vous de votre opiniastreté?
THOMAS MORVS.	THOMAS MORUS.
La gloire de mourir genereuſement en faueur de ma conſcience.	La gloire de mourir généreusement en faveur de ma conscience.
LE DVC.	LE DUC.
La mort d’vn Subiet rebelle eſt accompagnée d’infamie.	La mort d'un Subiet rebelle est accompagnée d'infamie.
THOMAS MORVS.	THOMAS MORUS.
Ma rebellion eſt digne de loüange, pluſtoſt que de reproche;	Ma rébellion est digne de louange, plutôt que de reproche;
ie necombats que pour la Foy.	Ne necombats que pour la Foi.
LE DVC.	LE DUC.
Mais vous ne iugez pas qu’en ce combat voſtre deffaite eſt infaillible.	Mais vous ne jugez pas qu'en ce combat votre défaite est infaillible.
THOMAS MORVS.	THOMAS MORUS.
Et vous ne conſiderez point qu’eſtant vaincu de la ſorte, ie triomphe glorieuſement.	Et vous ne considérez point qu'étant vaincu de la sorte, tu triomphe glorieusement.
LE DVC.	LE DUC.
Ce ſont des maximes de Cloiſtre:	Ce sont des maximes de Cloître:
les ſages Politiques en vſent autrement.	les sages Politiques en usent autrement.
THOMAS MORVS.	THOMAS MORUS.
Le Ciel eſt mon eſcole pſutoſt que la Terre:	Le Ciel est mon école psutôt que la Terre:
ie ne changeray iamais de leçon.	Ne ne changerai jamais de leçon.
LE DVC.	LE DUC.
Il ne s’agit en cette affaire que de vos intereſts;	Il ne s'agit en cette affaire que de vos intérêts;
vous y deuez ſonger, puis qu’il y va de vôtre vie.	vous y devez songer, puis qu'il y va de votre vie.
OMORVS, VTE Le dommage en eſt bien petit dans l’âge où ie ſuis?	OMORUS, VTE Le dommage en est bien petit dans l'âge où tu suis?
ſi i’ay à craindre quelque choſe, ce ſont les iugemens de Dieu, plutoſt que ceux des hommes.	si j'ai à craindre quelque chose, ce sont les jugements de Dieu, plutôt que ceux des hommes.
LE DVC.	LE DUC.
La Nature nous a donné des ſentimens d’amour pour nous meſmes, que la Raiſon ne ſçauroit détruire.	La Nature nous a donné des sentiments d'amour pour nous mêmes, que la Raison ne saurait détruire.
THOMAS MORVS.	THOMAS MORUS.
Vous voyez auſſi que ie m’aime extrémement, puiſque i’abandonne mon corps pour le ſalut de mon Ame.	Vous voyez aussi que Dieu m'aime extrêmement, puisque j'abandonne mon corps pour le salut de mon Âme.
LE DVC.	LE DUC.
Que penſez vous faire, Monſieur?	Que pensez -vous faire, Monsieur?
THOMAS MORVS.	THOMAS MORUS.
Mon deuoir.	Mon devoir.
LE DVC.	LE DUC.
Quel chemin tenez vous?	Quel chemin tenez vous?
THOMAS MORVS.	THOMAS MORUS.
de Faus leure	de Faus lèvre
LE DVC.	LE DUC.
A quoy eſtes vous reſolu.	À quoi êtes vous résolu.
THOMAS MORVS.	THOMAS MORUS.
A ce que Dieu voudra.	À ce que Dieu voudra.
LE DVC.	LE DUC.
Ie plains vôtre mal-heur.	Je plains votre malheur.
M Mrre Moevo Et moy vôtre aueuglement;	M Mrre Moèvo Et moi votre aveuglément;
Adieu, Monſieur.	Adieu, Monsieur.
Il ferme la grille de la priſon.	Il ferme la grille de la prison.
LE DVC.	LE DUC.
Ie n’ay iamais vû vne conſtance pareille à celN ii	Je n'ai jamais vu une constance pareille à celN ji
5 I AEG LE ROY.	5 I EG LE ROY.
– T5 T bien, Monſieur le Duc, le Chancelier me veut-il obeïr?	U T5 -T bien, Monsieur le Duc, le Chancelier me veut-il obéir?
LE DVC.	LE DUC.
Sire, il emportera ſon crime dans le Tombeau.	Sire, il emportera son crime dans le Tombeau.
LE ROY.	LE ROY.
Mais que vous a-t’il dit pour derniere reſponce?	Mais que vous a-t-il dit pour dernière réponce?
LE DVC.	LE DUC.
Qu’il faiſoit ſon deuoir;	Qu'il faisait son devoir;
qu’il tenoit le chemin le plus ſeur;	qu'il tenait le chemin le plus sûr;
qu’il eſtoit reſolu à ce que Dieu voudroit, & qu’il plaignoit mon aueuglement;	qu'il était résolu à ce que Dieu voudrait, et qu'il plaignait mon aveuglement;
puis me diſant Adieu, en tirant ſur moy le rideau de ſa grille, il m’afait connoiſtre qu’il changeroit de vie pluſtoſt que de diſcours.	puis me disant Adieu, en tirant sur moi le rideau de sa grille, il m'afait connaître qu'il changerait de vie plutôt que de discours.
LE ROY.	LE ROY.
I’en veux faire l’eſpreuue pour ma ſatisfaction.	J'en veux faire l'épreuve pour ma satisfaction.
& apprendre de ſa bouche ſes derniers ſentimens.	et apprendre de sa bouche ses derniers sentiments.
I’ay commandé qu’on le fiſt venir:	J'ai commandé qu'on le fît venir:
il reſſentira bien toſt ma Iuſtice, s’il meſpriſe ma Bonté:	il ressentira bien tôt ma Justice, s'il méprise ma Bonté:
Le voicy.	Le voici.
LE ROY.	LE ROY.
Ie vous ay enuoyé querir, pour vous repreſenter le crime de voſtre rebellion, en deſobeïſſant à voſtre Prince;	Je vous ai envoyé quérir, pour vous représenter le crime de votre rébellion, en désobéissant à votre Prince;
& vous dire à meſme temps que lamemoire des longs ſeruices que vous m’auez rendus, m’eſt encore ſi conſiderable, qu’elle me fera oubner voitie faute, i'vous eſtes diſpoſé ſeulement à vous en repentir.	et vous dire à même temps que lamoire des longs services que vous m'avez rendus, m'est encore si considérable, qu'elle me fera ouberner voitie faute, j'vous êtes disposé seulement à vous en repentir.
S 2 NNI THOMAS MORVS.	 2 NNI THOMAS MORUS.
IRE, ſi c’eſt vn crime d’emporter dans le Tombeau la qualité de Chreſtien & de Catholique, la peine que voſtre Maieſté m’en impoſera, me ſera touſiours plus agreable que la grace qu’elle m’en pourroit donner, eſtant diſ	IRE, si c'est un crime d'emporter dans le Tombeau la qualité de Chrétien et de Catholique, la peine que votre Majesté m'en imposera, me sera toujours plus agréable que la grâce qu'elle m'en pourrait donner, étant dis
LE ROY.	LE ROY.
Que n’eſtes vous ſenſible à l’affection qui me reſte encore pour vôtre Fortune!	Que n'êtes vous sensible à l'affection qui me reste encore pour votre Fortune!
Si vous voulez mroben, ie vous fendray ie plus fehe, & le plus grand de mon Royaume.	Si vous voulez moben, je vous fendrai ici plus fehe, et le plus grand de mon Royaume.
THOMAS MORVS.	THOMAS MORUS.
Mon obeïſſance n’eſt point à prix, où il y va de l’intereſt de mon ſalut.	Mon obéissance n'est point à prix, où il y va de l'intérêt de mon salut.
LE ROY.	LE ROY.
Pourquoy me voulez vous forcer à vous perdre, dans la paſſion que i’ay de vous conſeruer?	Pourquoi me voulez -vous forcer à vous perdre, dans la passion que j'ai de vous conserver?
Ie vous offre la moitié de mon Empire:	Je vous offre la moitié de mon Empire:
THOMAS MORVS.	THOMAS MORUS.
Quand V.	Quand V.
M.	M.
m’offriroit tout le Monde enſemble, que ferois-ie de ce preſent?	m'offrirait tout le Monde ensemble, que ferais-je de ce présent?
Ie n’ay iamais meſuré la grandeur de la Terre que par l’eſpace de mon Tombeau, puiſque tout le reſte m’eſt inutile.	Je n'ai jamais mesuré la grandeur de la Terre que par l'espace de mon Tombeau, puisque tout le reste m'est inutile.
Celuy qui vous a mis la Couronne ſur la teſte, & le Sceptre à la main, doit eſtre obeï le premier.	Celui qui vous a mis la Couronne sur la tête, et le Sceptre à la main, doit être obéir le premier.
Il m’a fait naiſtre vôtre ſubiet;	Il m'a fait naître votre sujet;
mais ie ſuis ſa creature.	mais ici suis sa créature.
LE ROY.	LE ROY.
Ie m’imagine bien qu’en l’âge où vous eſtes les faueurs de la Fortune ne vous peuuent tenter:	Je m'imagine bien qu'en l'âge où vous êtes les faveurs de la Fortune ne vous peuvent tenter:
mais ſongez vn peu que vous abandonnez vne Fille, dont les intereſts vous doiuent eſtre en tres-forte conſideration.	mais songez un peu que vous abandonnez une Fille, dont les intérêts vous doivent être en très-forte considération.
THOMAS MORVS.	THOMAS MORUS.
Ma Fille ſe conſolera de ma perte, puiſque Dieu la permet, & pour la gloire & pour mon ſalut.	Ma Fille se consolera de ma perte, puisque Dieu la permet, et pour la gloire et pour mon salut.
Elle ſera touſiours aſſez riche, quand elle ſera vertueuſe:	Elle sera toujours assez riche, quand elle sera vertueuse:
ie ne luy ſouhaitte point d’autre bien.	Ne ne notre souhaite point d'autre bien.
d Aae Puis que ma Clemence ne vous peut toucher, ie vous abandonne aux rigueurs de ma Iuſtice.	 Dae Puis que ma Clémence ne vous peut toucher, il vous abandonne aux rigueurs de ma Justice.
THOMAS MORVS.	THOMAS MORUS.
Ie m’y ſuis abandonné moy meſme le premier.	Je m'y suis abandonné moi -même le premier.
LE ROY.	LE ROY.
Qu’on m’apporte les teſtes de ſes compagnons, pour luy faire voir comme ie traitte ſes ſemblables.	Qu'on m'apporte les têtes de ses compagnons, pour lui faire voir comme notre traite ses semblables.
THOMAS MORVS.	THOMAS MORUS.
Ha!	Ha!
Sire, que vous eſtes cruel à vous meſme, de faire la guerre aux Innocens.	Sire, que vous êtes cruel à vous -même, de faire la guerre aux Inocents.
VUDIHT	VAIDIHT
LE ROY.	LE ROY.
Vous n’auez vû ma cruauté qu’en peinture:	Vous n'avez vu ma cruauté qu'en peinture:
en voicy le relief;	en voici le relief;
& ce baſſin vuide attend voſtre teſte pour en eſtre remply.	et ce bassin vide attend votre tête pour en être rempli.
THOMAS MORVS.	THOMAS MORUS.
O precieuſes reliques des corps martyriſez, & pour mon Sauueur, & pour mon Maiſtre!	Ô précieuses reliques des corps martyrisés, et pour mon Sauveur, et pour mon Maître!
Ie vous adore auiourd’huy, comme des obiets d’vne gloire eternelle;	Je vous adore aujourd'hui, comme des objets d'une gloire éternelle;
puis qu’en tombant à terre, vous en auez acquis les Couronnes dans le Ciel.	puis qu'en tombant à terre, vous en avez acquis les Couronnes dans le Ciel.
Ces funeſtes Baſſins, où l’on vous expoſe en montre, ſont les premiers Autels qu’on vous a erigez ſans y pẽſer, & où i’apporte auſſi mes premieres offrandes.	Ces funestes Bassins, où l'on vous expose en montre, sont les premiers Autels qu'on vous a érigez sans y penser, et où j'apporte aussi mes premières offrandes.
Et vous, grand Roy!	Et vous, grand Roi!
mais granden mal-heur, puiſque le Ciel vous abandonne;	mais granden malheur, puisque le Ciel vous abandonne;
croyez vous que ces teſtes coupées laiſſent la voſtre en repos?	croyez -vous que ces têtes coupées laissent la vôtre en repos?
Leurs langues, quoy que muettes, crient vangeance de vos impietez;	Leurs langues, quoi que muettes, crient vengeance de vos impiétés;
& ſi vous n’entendez pas leurs cris, voſtre ſurdité eſt le premier châtiment de voſtre crime.	et si vous n'entendez pas leurs cris, votre surdité est le premier châtiment de votre crime.
I’apprehende que le iour de vos nopces, ne ſoit celuy de vos funerailles.	J'appréhende que le jour de vos noces, ne soit celui de vos funérailles.
Ne voyez vous pas deſia cette main vangereſſe qui paroiſt ſur voſtre teſte, pour eſcrire voſtre arreſt de mort?	Ne voyez vous pas déjà cette main vengeresse qui paraît sur votre tête, pour écrire votre arrêt de mort?
Elle n’attend que mon ſang innocent, pour luy ſeruir de matiere.	Elle n'attend que mon sang innocent, pour lui servir de matière.
Mais quoy?	Mais quoi?
l’Amour vous a bandé les yeux;	l'Amour vous a bandé les yeux;
vimpieté vous à bouché les oreilles;	vimpiété vous à bouché les oreilles;
& le Ciel maintenant endurcit voſtre cœur, par le meſpris que vous faites de ſes graces.	et le Ciel maintenant endurcit votre cœur, par le mépris que vous faites de ses grâces.
Finiſſez, finiſſez donc promptement voſtre Regne, à la honte de voſtre ſiecle, à la ruine de vos ſubiets, & à voſtre propre confuſion, puiſque les larmes & les cris, la Raiſon & la Pitié ſont également inutiles.	Finissez, finissez donc promptement votre Règne, à la honte de votre siècle, à la ruine de vos sujets, et à votre propre confusion, puisque les larmes et les cris, la Raison et la Pitié sont également inutiles.
LE ROT.	LE ROT.
Le deſeſpoir de voſtre ſalut vous donne la liberté de vous plaindre.	Le désespoir de votre salut vous donne la liberté de vous plaindre.
THOMAS MORVS.	THOMAS MORUS.
Ie ne me plains pas dans mon innocence, des ſupplices où vous m’auez deſia condamné:	Je ne me plains pas dans mon innocence, des supplices où vous m'avez déjà condamné:
ie voudrois ſeulement que mon corps peuſt ſeruir de but à tous les traits de voſtre colere.	ie voudrais seulement que mon corps pût servir de but à tous les traits de votre colère.
LE ROY.	LE ROY.
Les Innocens, ny les Coupables ne doiuent point apprehender ma colere:	Les Inocents, ni les Coupables ne doivent point appréhender ma colère:
il me ſuffit pour leur recompenſe, ou pour leur châtiment, que ie laiſſe regner ma luſtice.	il me suffit pour leur récompense, ou pour leur châtiment, que tu laisse régner ma lustice.
THOMAS MORVS.	THOMAS MORUS.
Dans voſtre aueuglement, il ſemble que voſtre Maieſté n’ait iamais porté qué le Bandeau de la Iuſtice, puiſque ſes paſſions en tiennent la Balance, & les Bourreaux l’Eſpée, pour aſſouuir ſes cruautez.	Dans votre aveuglément, il semble que votre Majesté n'ait jamais porté qué le Bandeau de la Justice, puisque ses passions en tiennent la Balance, et les Bourreaux l'Espée, pour assouvir ses cruautés.
LE ROY.	LE ROY.
Il eſt temps que ie vous les faſſe reſſentir, apres vous les auoir fait connoiſtre:	Il est temps que je vous les fasse ressentir, après vous les avoir fait connaître:
Preparez vous à la Mort.	Préparez -vous à la Mort.
THOMAS MORVS.	THOMAS MORUS.
I’y ſuis bien preparé, y eſtant reſolu.	J'y suis bien préparé, y étant résolu.
Ie voudrois que voſtre Maieſté me fiſt arracher les yeux, & qu’elle recouurait la veue.	Je voudrais que votre Majesté me fît arracher les yeux, et qu'elle recouvrait la vue.
Ie voudrois que ma teſte fuſt deſia à ſes pieds, & la ſienne à l’abry du coup dont elle eſt menacée.	Je voudrais que ma tête fût déjà à ses pieds, et la sienne à l'abri du coup dont elle est menacée.
Ie ne ſçaurois me plaindre de voſtre rigueur, puis qu’elle fait tant de Martyrs.	Je ne saurais me plaindre de votre rigueur, puis qu'elle fait tant de Martyrs.
LE ROY.	LE ROY.
Ie me doute bien que vous ne ſerez pas le dernier;	Je me doute bien que vous ne serez pas le dernier;
& que l’exemple de voſtre rebellion, en produira beaucoup d’autres.	et que l'exemple de votre rébellion, en produira beaucoup d'autres.
Mais ie ne manque pas auſſi de Bourreaux.	Mais ici ne manque pas aussi de Bourreaux.
THOMAS MORVS.	THOMAS MORUS.
Vous ne mettez pas en compte ceux que voſtre Conſcience a deſia fait naiſtre dans voſtre ſein, pour tenir voſtre Ame à la geſne:	Vous ne mettez pas en compte ceux que votre Conscience a déjà fait naître dans votre sein, pour tenir votre Âme à la gêne:
les vns me vangeront de la cruauté des autres.	les uns me vengeront de la cruauté des autres.
Ie mourray, Sire, & cela me ſera commun auec voſtre Maieſté.	Je mourrai, Sire, et cela me sera commun auec vôtre Majesté.
Mlais ii ie temips qui en marquera là difference, nous en fait partager la douleur;	Mlais ici ie témips qui en marquera là différence, nous en fait partager la douleur;
i’en auray toute la gloire.	j'en aurai toute la gloire.
LE ROY.	LE ROY.
Qu’on le meine au ſupplice:	Qu'on le mène au supplice:
ſes diſcours trop hardis ſont de nouueaux crimes, qui forcent ma Iuſtice à le faire punir promptement.	ses discours trop hardis sont de nouveaux crimes, qui forcent ma Justice à le faire punir promptement.
MIYOlIREMORVO.	MIYOlIREMORVO.
La Mort ne me ſçauroit ſurprendre, puiſque ie l’attens à tous momens.	La Mort ne me saurait surprendre, puisque . l'attends à tous moments.
Il s’en va.	Il s'en va.
LE ROY.	LE ROY.
L’exemple de ſa punition étonnera les méchans, & retiendra les bons dans leur deuoir.	L'exemple de sa punition étonnera les méchants, et retiendra les bons dans leur devoir.
Il faut que ie me faſſe craindre, ſi ie ne puis me faire aimer.	Il faut que ici me fasse craindre, si tu ne puis me faire aimer.
Il s'en va.	Il s'en va.
dMοM VE les felicitez du monde s’enfuyent auec vne grande violence!	dM VE les félicités du monde s'enfuient avec grande violence!
A peine ay-ie yû naiſtre mon bon-heur & ma gloire, qu’ils ont diſparu dans vn moment, & ne m’ont rien laiſſé qu’vn fâcheux ſouuenir de leur courte durée.	À peine ai-je yu naître mon bonheur et ma gloire, qu'ils ont disparu dans un moment, et ne m'ont rien laissé qu'un fâcheux souvenir de leur courte durée.
Hier l’allegreſſe n’auoit des cris que pour celebrer la Feſte de mes Nopces;	Hier l'allégresse n'avait des cris que pour célébrer la Fête de mes Noces;
& auiourd’huy le peuple n’a de voix que pour m’anoncer mes infortunes.	et aujourd'hui le peuple n'a de voix que pour m'anoncer mes infortunes.
Il me ſemble deſia que le Roy meſme laiſſant amortir le feu que mes yeux auoient allumé dans ſon ame, attiſe peu à peu celuy de ſa colere, pour me rendre l’obiet de ſa vangeance, dés le moment que ie ne ſeray plus celuy de ſon amour.	Il me semble déjà que le Roi même laissant amortir le feu que mes yeux avaient allumé dans son âme, attise peu à peu celui de sa colère, pour me rendre l'objet de sa vengeance, dès le moment que je ne serai plus celui de son amour.
Ha!	Ha!
que les Couronnes ſeroient à bon marché, ſi tout le monde reſſentoit, comme moy, les eſpines dont elles ſont faites.	que les Couronnes seraient à bon marché, si tout le monde ressentait, comme moi, les épines dont elles sont faites.
Tous ceux qui les regardent les ſouhaitent, comme eblouis de l’eſclat qui les enuironne;	Tous ceux qui les regardent les souhaitent, comme éblouis de l'éclat qui les environne;
Et tous ceux qui les portent les meſpriſent, comme affaiſſez d’vn fardeau ſi peſant.	Et tous ceux qui les portent les méprisent, comme affaissez d'un fardeau si pesant.
Mais quoy?	Mais quoi?
on doit ſouffrir	on doit souffrir
8 CENE VI ARTHENICE, REINE.	8 CÈNE VI ARTHÉNICE, REINE.
auec patience les maux qu’on ne peut euiter.	avec patience les maux qu'on ne peut éviter.
Si ma Vertu me rend miſerable, me plaindrayie de mon mal-heur?	Si ma Vertu me rend misérable, me plaindraiie de mon malheur?
Il faut, il faut que ie ſuiue mon Deſtin, de peur qu’il ne m’entraine:	Il faut, il faut que ici suive mon Destin, de peur qu'il ne m'entraine:
ie ſeray touſiours aſſez ſatisfaite de perdre la vie, apres auoir ſauué mon honneur.	Elle serai toujours assez satisfaite de perdre la vie, après avoir sauvé mon honneur.
Cbto a css ose	Cbto a css ose
S  2- LAVE LE ROY.	 2- LAVE LE ROY.
VII E voudrois bien ſçauoir ſi cét Ennemy de & mon Eſtat, & de mon repos, n’a point changé de langage en mourant.	VII E voudrais bien savoir si cet Ennemi de et mon État, et de mon repos, n'a point changé de langage en mourant.
LE CAPITAINE des Gardes.	LE CAPITAINE des Gardes.
2.	2.
Roy continuë à parler en le voyant.	Roi continue à parler en le voyant.
L’execution en eſt-elle faite?	L'exécution en est-elle faite?
LE CAPITAINE des Gardes.	LE CAPITAINE des Gardes.
Sire, il eſt mort:	Sire, il est mort:
les vns trop hardis loüoient fa probité:	les uns trop hardis louaient fa probité:
les autres plus pitoyables plaignoient ſon mal-heur:	les autres plus pitoyables plaignaient son malheur:
mais tous enſemble ont admiré ſa conſtance.	mais tous ensemble ont admiré sa constance.
LE ROY.	LE ROY.
Sa Probité eſtoit feinte, ſon mal-heur veritabie;	Sa Probité était feinte, son malheur véritabie;
& ſa Conſtance neceſſaire:	et sa Constance nécessaire:
qu'on ne me parle plus de ray vie veur eneden ee ſon nom & ſa memoire dans ſon Tombeau.	qu'on ne me parle plus de rai vie veur enéden ce son nom et sa mémoire dans son Tombeau.
{MMIII.	{MMIII.
CLORIMENE en deüil, parlant au Roy.	CLORIMENE en deuil, parlant au Roi.
E viens maintenant demander Iuſtice conulie tre moy meſme du meſpris que ie fay de vos Edits, eſtant reſoluë à mourir dans la Religion Chreſtienne & Catholique de mes Peres.	E viens maintenant demander Justice conulie tre moi -même du mépris que ici fais de vos Édits, étant résolue à mourir dans la Religion Chrétienne et Catholique de mes Pères.
Deſalterez voſtre colere dans mon ſang, voicy vne nouuelle Victime.	Désalterez votre colère dans mon sang, voici une nouvelle Victime.
HHRROr.	HRROr.
Voſtre ieuneſſe vous diſpenſe de la rigueur de mes Edits, mais non pas du reſpect que vous me deuez.	Votre jeunesse vous dispense de la rigueur de mes Édits, mais non pas du respect que vous me devez.
CLORIMENE.	CLORIMENE.
CLORIMENE.	CLORIMENE.
