A MADAME DE BONNELLE.	À MADAME DE BONELLE.
PHAN SQVE.	PHAN SQUE.
Ie n’en ſçay rien non plus.	Je n'en sais rien non plus.
PERIANDRE.	PERIANDRE.
10 Que ie ſuis affligé!	10 Que Que suis affligé!
PHANISQVE.	PHANISQUE.
C’eſt pluſtoſt au Vieillard dont le bien eſt mangé.	C'est plutôt au Vieillard dont le bien est mangé.
PERIANDRE.	PERIANDRE.
na que ce débauché me donne de coleret	na que ce débauché me donne de colère
PHANISQVE.	PHANISQUE.
Vous eſtes volontiers des amis de ſon Pere.	Vous êtes volontiers des amis de son Père.
PERIANDRE.	PERIANDRE.
Que tu tiens miſtrable?	Que tu tiens misrable?
PHANISQVE.	PHANISQUE.
Oüy, iuſqu’au dernier poinct.	Oui, jusqu'au dernier point.
PERIANDRE.	PERIANDRE.
Dy-moy ſes veritez, & ne me trompe point.	Dis-moi ses vérités, et ne me trompe point.
PHANISQVE.	PHANISQUE.
L’argent qu’il débourſa pour acheter Philiſe, L’amour extrauagant dont ſoname eſt épriſe, Sont peu de choſe aupres des prodigalitez Et des profuſions qu’il fait de tous coſtez:	L'argent qu'il déboursa pour acheter Philise, L'amour extravagant dont soname est éprise, Sont peu de chose auprès des prodigalité Et des profusions qu'il fait de tous côtés:
Sur tout il a chez luy qui commande & gouuerne, Vn miſerable Eſclaue, vn pillier de tauerne, Ou pluſtoſt de gibet, l’execrable Strephon, Le foutbe deteſtable & dangereux boufon;	Sur tout il a chez lui qui commande et gouverne, Un misérable Esclave, un pillier de taverne, Ou plutôt de gibet, l'exécrable Strephon, Le foutbe détestable et dangereux bouffon;
Il pourroit conſommer tout le bien d’vn Empire.	Il pourrait consommer tout le bien d'un Empire.
Malheureux Periandre!	Malheureux Périandre!
ha mon cœur en ſoûpire;	ha mon cœur en soupire;
S’il reuient quelque iour, ie prédy ſon trépas.	S'il revient quelque jour, tu prédi son trépas.
PERIANDRE Tu n’en doy point douter, ſi tu ne me mens pas,	PERIANDRE -Tu n'en dois point douter, si tu ne me mens pas,
PHANISQVE.	PHANISQUE.
Pourquoy vous mentirois-je?	Pourquoi vous mentirais-je?
PERIANDRE.	PERIANDRE.
Helas	Hélas
PHANISQVE.	PHANISQUE.
1 Carl at „ Il ne m’importe.	1 Carl at „ Il ne m'importe.
Mais allons, Clitophon, heurte encore à la porte.	Mais allons, Clitophon, heurte encore à la porte.
PERIANDRE.	PERIANDRE.
Puisqu’õ ne répõd point, pourquoyveux-tu fraper?	Puisqu'on ne répond point, pourquoiveux-tu frapper?
A la fin, cher amy, tu t’y pourrois tromper;	À la fin, cher ami, tu t'y pourrais tromper;
Tupourrois à la nn t’en repentir ſans doute.	Tupourrais à la nn t'en repentir sans doute.
L'on brule de la raiſine dans la maiſon, & vn Ombre	L'on brule de la raisiné dans la maison, et un Ombre
paroiſt par le Balcon.	paraît par le Balcon.
PHANISQVE.	PHANISQUE.
Dieux!	Dieux!
qu’eſt-ce que ie voy?	qu'est-ce que ie cy?
tout eſt en flâme.	tout est en flamme.
PERIANDRE.	PERIANDRE.
a mmami Eſcoute.	a mémi Escoute.
PHANTSQVE.	PHANTSQUE.
C’eſt vn Diable d’Enfer que ie voy de mes yeux.	C'est un Diable d'Enfer que sans vois de mes yeux.
L’OMBRE au Balcon.	L'OMBRE au Balcon.
Retirez-vous, mortels, de ces funeſtes lieux, Fuyez les deſormais comme des lieux proſanes, Et n’interrompez plus le repos de mes manes, Où vous m’obligerez à vous tordre le col.	Retirez-vous, mortels, de ces funestes lieux, Fuyez les désormais comme des lieux prosanes, Et n'interrompez plus le repos de mes mânes, Où vous m'obligerez à vous tordre le col.
PHANISQVE.	PHANISQUE.
Si i’en approche auſſi, dis que ie ſuis vn fol:	Si j'en approche aussi, dis que tu suis un fol:
Ce mort ne me plaiſt point, ce diable m’épouuãte Allons chercher ailleurs Floris & Calliante.	Ce mort ne me plaît point, ce diable m'épouvante Allons chercher ailleurs Floris et Calliante.
3 PERIANDRE.	3 PERIANDRE.
O Dieux quel embaras!	Ô Dieux quel embarras!
quel deſordre eſt-ce cy?	quel désordre est-ce cy?
Ie vais chercher Liſtan, i’en veux eſtre éclaircy, Quand ie l’auray trouué, ie perdray ma colere, Il eſt rouſiours mon Fils, & moy touſiours ſon pere, C’eſt vn ieune euenté que l’âge a fait faillir, L’on ne peut eſtre ſage à moins que de vieillir.	Je vais chercher Listan, j'en veux être éclairci, Quand tu l'aurai trouvé, avec perdrai ma colère, Il est rousiours mon Fils, et moi toujours son père, C'est un jeune éventé que l'âge a fait faillir, L'on ne peut être sage à moins que de vieillir.
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACIE SCENE PREMIERE.	ACIE SCÈNE PREMIÈRE.
STREPHON, LISTAN, CAL.	STREPHON, LISTAN, CAL.
LIANTE, les Femmes, au Balcon.	LIANTE, les Femmes, au Balcon.
STREPHON.	STREPHON.
A foy i’y ſuis a bout, ie n’y puis plus que couM are.	À foi j'y suis a bout, on n'y puis plus que cou re.
Mon eſperance enfin s’en va reduire en poudre, Ie manque de conduite au deſſein entrepris, Tant de oifficulrez rebutent mes eſprits:	Mon espérance enfin s'en va réduire en poudre, Je manque de conduite au dessein entrepris, Tant de oifficulrez rebutent mes esprits:
Conſultez-vous Liſtan, couſultez Calliante, Pour moy ie voy ma perte, elle eſt trop apparente Ie ne me croyois pas homme a me repentir, Mais i’y ſuis tout a fait, à quoy ſert de mentir.	Consultez-vous Listan, coutultez Caliante, Pour moi moi fait ma perte, elle est trop apparente Je ne me croyais pas homme à me repentir, Mais j'y suis tout a fait, à quoi sert de mentir.
Au diantre des plaiſirs, qui depuis deux années Nous ont fait conſommer de ſi cheres iournées;	Au diantre des plaisirs, qui depuis deux années Nous ont fait consommer de si chères journées;
Diantre ſoit de l’Amour & de vos paſſetemps, Quen’en preniez vo'moins, no' ſeriõs plus cõtens.	Diantre soit de l'Amour et de vos passetemps, Qu'en preniez vœmoins, no' commencions plus cõtens.
LISTAN.	LISTAN.
Quoy dans cet embarras Strephon ſe deſeſpere?	Quoi dans cet embarras Stréphon se désespère?
Luy que ie regardois conime vn Dieu tutelaire, Luy de qui i’attendois la fin de nos trauaux, Luy qui peut faire ſeul & nos biens & nos maux.	Lui que ici regardais conime un Dieu tutélaire, Lui de qui j'attendais la fin de nos travaux, Lui qui peut faire seul et nos biens et nos maux.
STREPHON.	STREPHON.
Helas!	Hélas!
ie n’y puis rien, & c'eſt ce qui m’afflige.	Le n'y puis rien, et c'est ce qui m'afflige.
Ie ſçay bien mon deuoir, ie ſçay ce qu’il exigé, eijyue que ie dois a l’excés des bontez Qui m’ont oſté le poids des fers que i’ay portez, Et ie ne manque pas par la reconnoiſſance, Mais ie manque de force, & ie ſuis ſans puiſſance;	Je sais bien mon devoir, ie sais ce qu'il exigé, eijyue que sans dois a l'excès des bontés Qui m'ont ôté le poids des fers que j'ai portez, Et ainsi ne manque pas par la reconnaissance, Mais sans manque de force, et et suis ans puissance;
Ie voudrois biẽ agir, mais mes bras sõt trop cours, Et ie reſte auiourd’huy ſans art & ſans ſecours.	Je voudrais bien agir, mais mes bras sont trop cours, Et ie reste aujourd'hui sans art et sans secours.
LISTAN.	LISTAN.
Helas!	Hélas!
que ferõs-nous?	que ferons-nous?
Strephon, tu m’abandõnes.	Stréphon, tu m'abandonne.
PHILISE.	PHILISE.
Quoy, laiſſer laſchement de ſi cheres perſonnes!	Quoi, laisser lâchement de si chères personnes!
IVSTINE.	IUSTINE.
Quoy, pour noꝰaſſiſter, Strephon mãque de cœur!	Quoi, pour noꝰassister, Stréphon manque de cœur!
FLORIS.	FLORIS.
Quoy, Strephon deuiẽt foible, & s’abat par la peur!	Quoi, Stréphon devient faible, et s'abat par la peur!
LISTAN Quoy, n’auoir pl9 pour moi d’amour & de tẽdreſſe!	LISTAN Quoi, n'avoir pl9 pour moi d'amour et de tendresse!
PHILISE.	PHILISE.
Quoy, manquer d’amitié pour ſa chere Maiſtreſſe!	Quoi, manquer d'amitié pour sa chère Maîtresse!
IVSTINE.	IUSTINE.
Quoy, manquer à Iuſtine apres tant de ſermens!	Quoi, manquer à Justine après tant de serments!
FLORIS.	FLORIS.
Quoy, refuſer ſon aide à de triſtes Amans!	Quoi, refuser son aide à de tristes Amants!
STREPHON.	STREPHON.
Helas!	Hélas!
vous me lancez des traits qui percent l’ame, Mais c’eſt auec grãd tort que voſtre ardeur me blâIe ſais ce que ie puis, ie l’ay fait iuſqu’icy, (me;	vous me lancez des traits qui percent l'âme, Mais c'est auec grande tort que votre ardeur me blâIe sais ce que sans puis, une l'ai fait jusqu'ici, (me;
Mais helas c’eſt en vain, & rien n’a reüſſy.	Mais hélas c'est en vain, et rien n'a réussi.
Ne doutez pas qu’encor mon eſprit ne trauaille, Quel que preſent peril qui le preſſe & l’aſſaille, Pour taſ-her de franchir vn ſi cangereux pas, Mais je ſu cés me peine, & ie ne le voy pas.	Ne doutez pas qu'encor mon esprit ne travaille, Quel que présent péril qui le presse et l'assaille, Pour tas-her de franchir un si cangereux pas, Mais je su ces me peine, et ainsi ne le vois pas.
Eſperons tout des Dieux.	Espérons tout des Dieux.
rour vous, ô Calliante.	rour vous, ô Calliante.
Si le Ciel n’eſt conforme à ma fragile attente, Donnez le dernier coup, donnez-nous par pitié Ce que l’on doit aux loix d’vne tendre amitié, Intercedez pour nous, ſortez par là-derriere, Iettez-vous aux genoux d’vn exorable pere, Et priez pour vn Fils qui luy fut touſiours cher;	Si le Ciel n'est conforme à ma fragile attente, Donnez le dernier coup, donnez-nous par pitié Ce que l'on doit aux lois d'une tendre amitié, Intercedez par nousà -direz par là-derrière, Jettez-vous aux genoux d'un exorable père, Et priez pour un Fils qui luitaît toujours cher;
C’eſt l’vnique ſecret, c’eſt dequoy le toucher.	C'est l'unique secret, c'est dequoy le toucher.
Adieu.	Adieu.
44	44
CALLIANTE.	CALIANTE.
Ne doutez pas du zele qui m’enflâme, C’eſt pour aimer Liſtan que le Ciel fit mon ame.	Ne doutez pas du zèle qui m'enflamme, C'est pour aimer Listan que le Ciel fit mon âme.
LISTAN.	LISTAN.
Que cette affection m’oblige puiſſaimment!	Que cette affection m'oblige puissaimment!
CALLIANTE.	CALIANTE.
Ie la ſçay mieux mõtrer, quefaite vn compliment	Je la sais mieux montrer, quefaite un compliment
SCENE II.	SCÈNE II.
PERIANDRE, CRISAVRE.	PERIANDRE, CRISAURE.
PERIANDRE ſeul.	PERIANDRE seul.
Al ie ſuis hors de sẽs, le Ciel quoy que ie faſſe, ITMet, pour mieux m’acabler, diſgrace ſur diſgrace;	Al grande suis hors de sẽs, le Ciel quoi que sans fasse, ITMet, pour mieux m'acabler, disgrâce sur disgrâce;
Le deſeſpoir ſans doute a fait fuir Liſtan, Ie voy tout contre moy, tout s’appreſte à mon dan.	Le désespoir sans doute a fait fuir Listan, Je vois tout contre moi, tout s'apprête à mon dan.
Suis-je en Cypres eſt-ce icy ma chere Nicoſie?	Suis-je en Cyprès est-ce ici ma chère Nicosie?
Non, quelque enchantement broüille ma fantaiſie;	Non, quelque enchantement brouille ma fantaisie;
Au lieu de mon pais, quelque Sorcier maudit, Dans vne Iſle inconnue, inconnu me rendir.	Au lieu de mon pais, quelque Sorcier maudit, Dans ici Isle inconnue, inconnu me rendir.
Ie ſuis enſorcelé:	Je suis ensorcelé:
Mais i’apperçoy Criſaure, ſl peut bien ſoulager le ſoin qui me deuore, nie mui mrreſter.	Mais j'aperçois Crisaure, sl peut bien soulager le soin qui me dévore, nie mui mrrester.
D’où venez-vous ainſi?	D'où venez-vous ainsi?
CRISAVRE.	CRISAURE.
D’où vous vient, periandre, vn ſi preſſant ſoucy?	D'où vous vient, periandre, Elle si pressant souci?
Demander d’où ie viens eſt vn ſoin inutilę.	Demander d'où ie viens est un soin inutil.
Sçauez-vous où ie vais?	Savez-vous où votre vais?
ie vais ſouper en Ville;	On vais souper en Ville;
Si vous auiez deſſein de me traitter ce ſoir, Il falloit plus matin me le faire ſçauoir, Ie vous l’aurois rendu.	Si vous aviez dessein de me traiter ce soir, Il fallait plus matin me le faire savoir, Je vous l'aurais rendu.
14	14
PERIANDRE.	PERIANDRE.
Ce n’eſt pas où ie penſe, l’ay bien dans mon eſprit vné autre imparience, Ce n’eſt pas à manger que ie coure a preſent.	Ce n'est pas où on pense, l'ai bien dans mon esprit vné autre imparience, Ce n'est pas à manger que mille coure a présent.
Mais de grace deux mots, ſoyez moy complaiſant	Mais de grâce deux mots, soyez moi complaisant
CRISAVRE.	CRISAURE.
Hé biẽ, que voulez-vous?	Hé bien, que voulez-vous?
me voicy preſt d’entẽdre	me voici prêt d'entendre
PERIANDRE.	PERIANDRE.
N’auez-vous pas touché mille eſcus de Cleandre par les mains de Liſtan?	N'avez-vous pas touché mille écus de Clandre par les mains de Listan?
CRISAVRE le ne ſçay ce que c’eſt.	CRISAURE le ne sais ce que c'est.
ras-vn ſolſculement,	ras-même solsculement,
PERIANDRE.	PERIANDRE.
Vour les aura baillez.	Vour les aura baillez.
Strephon aſſeurément 1	Stréphon assurément 1
CRISAVRE.	CRISAURE.
Encore moins.	Encore moins.
PERIANDRE.	PERIANDRE.
Eſtoit pour le marché.	Était pour le marché.
Criſaure	Crysaure
CRISAVRE.	CRISAURE.
Quel marché?	Quel marché?
ie l’ignore.	Il l'ignore.
Sans doute vous reſvez.	Sans doute vous rêvez.
PERIANDRE.	PERIANDRE.
Non, non, mais ie voy bien Ce marché vous déplaiſt, vous cherchez le moyen D’en rompre le traitté.	Non, non, mais rien vois bien Ce marché vous déplaît, vous cherchez le moyen D'en rompre le traité.
CRISAVRE.	CRISAURE.
Vous dormez, periandre.	Vous dormez, perjandre.
Quel traitté?	Quel traité?
qu’eſt-ce dõc?	qu'est-ce domme?
ie n’y puis riẽ cõpredre	Elle n'y puis rien commère
PERIANDRE.	PERIANDRE.
Le traitté qu’il a fait depuis mon partement:	Le traité qu'il a fait depuis mon partement:
Eſtes-vous bien contẽt au moins pour le payemẽ Si vous ne l’eſtes pas, il y faut ſatisfaire.	Êtes-vous bien content au moins pour le paiement Si vous ne l'êtes pas, il y faut satisfaire.
CRISAVRE.	CRISAURE.
prenez de bons boüillons, ſi vous me voulez croire Vous en auez beſoin pour rétablir vos ſens.	prenez de bons bouillons, si vous me voulez croire Vous en avez besoin pour rétablir vos sens.
PFRIANDRE.	PFRIANDRE.
Eſt-ce ainſi qu’en raillant l’on reçoit les abſens?	Est-ce ainsi qu'en raillant l'on reçoit les absens?
CRISAVRÉ 1 1 Ie ne vous raille point, que me voulez-vous dire?	CRISAURE 1 1 Je ne vous raille point, que me voulez-vous dire?
PERIANDRE.	PERIANDRE.
Strephon vous a parlé, cela vous doit ſuffire.	Stréphon vous a parlé, cela vous doit suffire.
CRISAVRE.	CRISAURE.
Il m’a tantoſt parlé, ie ne le cele pas.	Il m'a tantôt parlé, ie ne ne cèle pas.
PERIANDRE.	PERIANDRE.
Quoy, que vous a-t’il dit?	Quoi, que vous a-t-il dit?
ô l’étrange embaras!	ô l'étrange embarras!
CRISAVRE.	CRISAURE.
Que vous vouliez baſtir à la mode nouuelle, Que mon appartement vous ſeruoit de modele, Que vous en vouliez vn de la meſme façon.	Que vous vouliez bâtir à la mode Que, Que mon appartement vous servait de modèle, Que vous en vouliez un de la même façon.
Et que pour cet effet vous auiez vn Maçon.	Et que pour cet effet vous aviez un Maçon.
PERIANDRE.	PERIANDRE.
Que ie voulois baſtir?	Que ici voulais bâtir?
CRISAVRE.	CRISAURE.
C’eſtoit là ſa harangue.	C'était là sa harangue.
PERIANDRE.	PERIANDRE.
Ie luy veux arracher cette perfide langue, Moy ie voulois baſtir?	Je te veux arracher cette perfide langue, Mo ie voulais bâtir?
CRISAVRE.	CRISAURE.
Voila ce qu’il m’a dit.	Voilà ce qu'il m'a dit.
PERIANDRE.	PERIANDRE.
Ie ne ſuis plus à moy, ie demeure interdit, Ie luis mort, autant vaut.	Je ne suis plus à moi, ie meure interdit, Je luis mort, autant vaut.
CRISAVRE.	CRISAURE.
Mais, voiſin, ie vous prie, Strephon eſt donc l’autheur de cette broüillerie?	Mais, voisin, Madame vous prie, Stréphon est donc l'auteur de cette brouillerie?
PERIANDRE.	PERIANDRE.
Il me broüille l’eſprit, & débroüille mon bien, Le perfide qu’il eſt, mais enfin ie le tien:	Il me brouille l'esprit, et débrouille mon bien, Le perfide qu'il est, mais enfin ie le tien:
eſcoutez-moy, Criſaure, & m’obligez de grace.	écoutez-moi, Crisaure, et m'obligez de grâce.
Strephon eſcouie à vn bout du Theatre.	Stréphon écouie à un bout du Théâtre.
CRISAVRE.	CRISAURE.
Commandez ſeulement:	Commandez seulement:
que faut-il que ie faſſe:	que faut-il que venir fasse:
L’on vous obeïra.	L'on vous obéira.
PERIANDRE.	PERIANDRE.
Preſtez-moy vos vallers, Et force nerfs de bœuf.	Prestez-moi vos valers, Et force nerfs de bœuf.
CRISAVRE.	CRISAURE.
Ils ſetont bien-toſt preſts.	Ils setont bientôt prêts.
PERIANDRE.	PERIANDRE.
aites-les moy venir, que ie les mette en garde.	aites-les moi venir, que sans les mette en garde.
STREPHONbas.	STREPHONbas.
c’eſt à moy qu’on en veut, l’affaire me regarde.	c'est à moi qu'on en veut, l'affaire me regarde.
CRISAVRE.	CRISAURE.
Et qu’en voulez-vousfaire?	Et qu'en voulez-vousfaire?
PERIANDRE.	PERIANDRE.
Eſcoutez ſeulement.	Écoutez seulement.
Ce pẽdart de Strephõ, l’autheur de mõ tourment.	Ce pendard de Strephõ, l'auteur de mon tourment.
CRISAVRE.	CRISAURE.
Vous voulez l’eſtriller?	Vous voulez l'étriller?
PERIANDRE.	PERIANDRE.
C’eſt toute mon enuie;	C'est toute mon envie;
Ie le veux enfermer le reſte de ſa vie, Ie veux de mille coups luy déchirer la peau, Ie veux que ſes feſtins ſoient du pain & de l’eau;	Je le veux enfermer le reste de sa vie, Je veux de mille coups était déchirer la peau, Je veux que ses festins soient du pain et de l'eau;
Et pour concluſion, apres cette abſtinence, Ie le veux voir languir au bout d’vne potence.	Et pour conclusion, après cette abstinence, Je le veux voir languir au bout d'une potence.
STREPHONTAS.	STREPHONTAS.
Me voila d’importance auiourd’huy regalé.	Me voilà d'importance aujourd'hui régalé.
Diantre, il eſt liberal.	Diantre, il est libéral.
PERIANDRE, Allons, c’eſt trop tarder, Appellez vos vallets, il faut que ie me yange.	PERIANDRE, Allons, c'est trop tarder, Apelez vos valets, il faut que venir me yange.
Criſaure, vous verrez vn chaſtiment eſtrango	Crysaure, vous verrez un châtiment étrango
CRISAVRE.	CRISAURE.
Entrons dans le logis, ie les vais appreſter, Pour vous bien obeïr, & vous bien contenter.	Entrons dans le logis, Seigneur les vais apprêter, Pour vous bien obéir, et vous bien contenter.
P.	P.
RIANDRE, Vous ferez, cher Cri aure vn œuure meritoire.	RIANDRE, Vous ferez, cher Cri aure un œuvre méritoire.
CRISAVRE.	CRISAURE.
Faites-moy cependant quelque part de l’hiſtoire	Faites-moi cependant quelque part de l'histoire
PERIANDRE.	PERIANDRE.
Allons, ie le veux bien, vous ſerez eſtonné Des eſtranges aſſaurs qu’vn pendart nva donné	Allons, Seigneur le veux bien, vous serez étonné Des étranges assaurs qu'un pendard nua donné
SCENE III.	SCÈNE III.
STREPHON, PERIANDRE, CRISAVRE, Quatre grands Vallets.	STREPHON, PERIANDRE, CRISAURE, Quatre grands Vallets.
STREPHON ſeul.	STREPHON seul.
Ve ie fais peu de cas d’vn hõme ſans courage!	Ve grands fais peu de cas d'une homme sans courage!
OVn zeſt dans mon eſprit paſſe pour dauãtage, Vn zeſt eſt peu de choſe, & pourtant i’en ſais cas Plus que d’vn cœur craintif, d’vn cœur abjet & bas, La foibleſſe ſied mal aux haures entrepriſes!	OUn zest dans mon esprit passe pour davantage, Un zest est peu de chose, et pourtant j'en sais cas Plus que d'un cœur craintif, d'un cœur abjet et bas, La faiblesse sied mal aux haures entreprises!
Etqu'ene eit uageleure mors qu’on viẽt aux priſes!	Etqu'ène eit utageleure mors qu'on vient aux prises!
Eſclaue que ie ſuis, ie n’ay point ce defaut, I’ay l’ame bien placée, & le cœur noble & haut, Ie voy des chaſtimens que mon Maiſtre prépare, Ie voy preſt pour mon dos vn traittement barbare;	Esclave que ie suis, je n'ai point ce défaut, J'ai l'âme bien placée, et le cœur noble et haut, Je vois des châtiments que mon Maître prépare, Je vois prêt pour mon dos un traitement barbare;
Et tout cela pourtant ne m'épouuante point.	Et tout cela pourtant ne m'épouvante point.
Ie reſte ſans frayeur iuſques au dernier poinct, Ie ſçay ce qu’il faut faire en cette conjoncture;	Je reste sans frayeur jusques au dernier point, Je sais ce qu'il faut faire en cette conjoncture;
Vne affaire embroüillée, il la faut rendre obſcure, Il faut de plus en plus touſiours l’embaraſſer, Afin que les plus fins ne la puiſſent percer.	Une affaire embroüillée, il la faut rendre obscure, Il faut de plus en plus toujours l'embarrasser, Afin que les plus fins ne la puissent percer.
Voila comme i’en fais.	Voilà comme j'en fais.
Mais voicy periandre En bonne compagnie.	Mais voici périandre En bonne compagnie.
PERIANDRE, criſaure, & quatre Vallets, auec des norſs de bœuf.	PERIANDRE, crisaure, et quatre Vallets, avec des norss de bœuf.
Allons.	Allons.
STREPHON bas.	STREPHON bas.
Dois-je l’attendre?	Dois-je l'attendre?
Oüy, ie ſçay le moyen de ſortir de ſes mains.	Oui, Seigneur sais le moyen de sortir de ses mains.
PERIANDRE aux Vallets.	PERIANDRE aux Vallets.
Soyez, pour m’obeïr, cruels & inhumains, Aſſommez-le de coups;	Soyez, pour m'obéir, cruels et inhumains, Assommez-le de coups;
mais rentrez dans la pont Si-toſt que ie crieray que chacun de vous ſorte:	mais rentrez dans la pont Si-tôt que je crierai que chacun de vous sorte:
Qu’on luy donne cent coups, & puis l’on le liera, Apres dans vn cachot l'on le deualera.	Qu'on avait donne cent coups, et puis l'on le liera, Après dans un cachot l'on le dévalera.
Pour moy ie vais l’attendre, il ne tardera gueres, Appreſtez cependant ces longues eſtriuieres, Ie veux l’entretenir, & luy montrer d’abord Vn vilage content, ſans courroux, ny tranſport.	Pour moi votre vais l'attendre, il ne tardera guère, Apprêtez cependant ces longues étrivières, Je veux l'entretenir, et lui montrer d'abord Van nage content, sans courroux, ni transport.
Ie vous appelleray.	Je vous appellerai.
STREPHON bas.	STREPHON bas.
Le perfide!	Le perfide!
le traiſtre!	le traître!
Pouuois-je eſtre aſſeruy ſous vn plus meſchant Maiſtre?	Pouvais-je être asservi sous un plus méchant Maître?
Mais il n’eſt pas à bout de ſes pretentions.	Mais il n'est pas à bout de ses prétentions.
PERIANDRE.	PERIANDRE.
I’aſſouuiray ſur luy toutes mes paſſions:	J'assouvirai sur deux toutes mes passions:
na que n’eſt-il icy:	na que n'est-il ici:
mais ie m’en vais l’attendré.	mais ici m'en vais l'attendré.
STREPHON à Periandre.	STREPHON à Périandre.
Si vous cherchez Strephon, le voicy, Periandre.	Si vous cherchez Stréphon, le voici, Périandre.
PERIANDRE.	PERIANDRE.
Tu viens fort à propos.	Tu viens fort à propos.
Et mon Fils, l’as-tu veu?	Et mon Fils, l'as-tu vu?
STREPHON.	STREPHON.
Il a penſé mourir d’vn plaiſir impréueu:	Il a pensé mourir d'un plaisir imprévu:
Alors que l’on a ſceu voſtre heureuſe venuë, L’alegreſſe auſſi-toſt par tout s’eſt répanduë, Et tous vos ſeruiteurs ont fremy de plaiſir.	Alors que l'on a su votre heureuse venue, L'allégresse aussitôt par tout s'est répandue, Et tous vos serviteurs ont frémi de plaisir.
PERIANDRE.	PERIANDRE.
Liſtan vient-il me voir?	Listan vient-il me voir?
STREPHON.	STREPHON.
C'eſt là tout ſon deſit.	C'est là tout son désit.
Dans vn moment d’icy vous aurez ſa preſence.	Dans un moment d'ici vous aurez sa présence.
PERIANDRE.	PERIANDRE.
I’en ſeray fort content;	J'en serai fort content;
mais eſcoute, ie penſe Que le voiſin Criſaure eſt de mauuaiſe foy:	mais écoute, Seigneur pense Que le voisin Crisaure est de mauvaise foi:
Ten iy ce ſenmmen.	Ten ji ce senmen.
STREPHON.	STREPHON.
Et la raiſon pourquoy?	Et la raison pourquoi?
PFRIANDRE.	PFRIANDRE.
Ilne vous connoiſt point, il ne ſçait qui vous eſtes.	Ilne vous connaît point, il ne sait qui vous êtes.
STREPHON.	STREPHON.
A quoy bon, mon bon Maiſtre, à quoy bon ces ſornettes?	À quoi bon, mon bon Maître, à quoi bon ces sornettes?
PERIANDRE.	PERIANDRE.
Non, ie ne raille point, il ne vous connoit pas;	Non, Seigneur ne raille point, il ne vous connaît pas;
Au moins me l’a-t’il dit.	Au moins me l'a-t-il dit.
STREPHON.	STREPHON.
C’eſt qu’il a l’eſprit bas.	C'est qu'il a l'esprit bas.
Mais l’argent, qu’en dit-il?	Mais l'argent, qu'en dit-il?
il a touché la ſomme.	il a touché la somme.
PRIANDRE.	PRIANDRE.
Iliure bien que non.	Ilivre bien que non.
STREPHON.	STREPHON.
O l’impertinent homme!	Ô l'impertinent homme!
PERIANDRE.	PERIANDRE.
Il eſt preſt d’affirmer deuant qui ie voudray Qu’il ne vendit iamais.	Il est prêt d'affirmer devant qui jours voudrai Qu'il ne vendit jamais.
STREPHON.	STREPHON.
Penſez vous qu’il ſoit vray?	Pensez -vous qu'il soit vrai?
Non, non, c’eſt vn menteur.	Non, non, c'est un menteur.
PERIANDRE.	PERIANDRE.
De plus il me conjure Defaire à ſes Vallets endurer la torture, Afin de tirer d’eux tout ce qu’ils en ſçauront.	De plus il me conjure Défaire à ses Vallets endurer la torture, Afin de tirer d'eux tout ce qu'ils en sauront.
STREPHON.	STREPHON.
Hne le fera pas, car ils le conuaincront.	Hne le fera pas, car ils le convaincront.
PERIANDRE.	PERIANDRE.
Il le fera, Strephon, ne t’en mets pas en peine.	Il le fera, Stréphon, ne t'en mets pas en peine.
STREPHON.	STREPHON.
Laiſſons là ſes Vallets, & luy donnons la geſne, Il eſt plus à propos de commencer par luy;	Laissons là ses Vallets, et lui donnons la gêne, Il est plus à propos de commencer parfois;
C’eſt aſſez, s’il confeſſe, il n’aura plus d’appuy.	C'est assez, s'il confesse, il n'aura plus d'appui.
PERIANDRE.	PERIANDRE.
rour ce conſentement, ie doute qu’il le donne.	rour ce consentement, ie doute qu'il le donne.
STREPHON.	STREPHON.
S’il n’y veur conſentir, que le Iuge en ordonne.	S'il n'y veut consentir, que le Juge en ordonne.
PERIANDRE.	PERIANDRE.
C’eſt aſſez de ſes gens, ie les vais appeller.	C'est assez de ses gens, ie les mais appeler.
SR PHON bas.	SR PHON bas.
Quelque ſot ſeroit pris.	Quelque sot serait pris.
Faites les moy parler?	Faites -les moi parler?
Il ſe met à vi.	Il se met à vi.
Autel d’Hercule.	Autel d'Hercule.
Moy ie prens cependant cet Autel pour refuge;	Moi quelque attends cependant cet Autel pour refuge;
Hercule eſt auiourd’huy mon azile & mon Iuge.	Hercule est aujourd'hui mon asile et mon Juge.
PERIANDRE ayant fait ſortir les Vallets.	PERIANDRE ayant fait sortir les Vallets.
Que fais-tu la, maraut?	Que fais-tu la, maraud?
STREPHON.	STREPHON.
Parlez ciuilement.	Parlez civilement.
PERIANDRE.	PERIANDRE.
Veux-tu pas t'approcher?	Veux-tu pas t'approcher?
STRPHON.	STRPHON.
Non pas ſi promptement.	Non pas si promptement.
Si i’auois fait le ſor en cette conjoncture, Ma foy vous me mettriez en mauuaiſe poſture.	Si j'avais fait le sot en cette conjoncture, Ma foi vous me mettriez en mauvaise posture.
Laiſſerois-je ma place à des gueux de Vallets?	Laisserais-je ma place à des gueux de Vallets?
PERIANDRE.	PERIANDRE.
