A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
Le Maiſtre ſon Valet & le Valet ſon Mailtre De dol ſe vont ſuiuant.	Le Maître son Valet et le Valet son Mailtre De dol se vont suivant.
Ces traiſtres déloiaux, & la Reine impudique Qui ont meur ti leur Roy, Doiuent eſtie apelez engeance Plutonique Puis qu’ils n’ont point de foy	Ces traîtres déloyaux, et la Reine impudique Qui ont meur ty leur Roi, Doivent est apelez engeance Plutonique Puis qu'ils n'ont point de foi
Mais qui eut onc penſé que cette Roſemonde Euſt tramé ce delit?	Mais qui eut onc pensé que cette Rosemonde Eut tramé ce délit?
Elle n’a toutesfois en traiſon de ſeconde C’eſt vn Eſprit maudit.	Elle n'a toutefois en traison de seconde C'est un Esprit maudit.
Ces deux cruels bourreaux Peredee, Almachile Comme elle periront, Car tous ceux-là qui ont vne Ame ſi perfide Miſerables mourront.	Ces deux cruels bourreaux Pèredée, Almachille Comme elle périront, Car tous ceux-là qui ont une Âme si perfide Miserables mourront.
L’Eternel ſouuent tarde à faire la vengeance Pour d’vn plus grief tourment.	L'Éternel souvent tarde à faire la vengeance Pour d'un plus grief tourment.
Punir ceux qui ont fait cõtre luy quelque ofenſe Digne de chaſtiment.	Punir ceux qui ont fait connaître lui quelque offense Digne de châtiment.
laiue Soit donc ou toſt ou tard les Dieux aux pieds de Vengeront ce forfait, Et de leur bras d’acier cette engeãce inhumaine Reſſentira l’effet.	laive Soit donc ou tôt ou tard les Dieux aux pieds de Vengeront ce forfait, Et de leur bras d'acier cette engeance inhumaine Ressentira l'effet.
ACTE V.	ACTE V.
Longin.	Longin.
Alphonſe.	Alphonse.
Roſem.	Rosem.
Albſinde.	Albsinde.
Almachilde.	Almachilde.
Peredee.	Pèredée.
Longin.	Longin.
E 2 Ndemtable Monarque Architecte des Cieus Qui tiens ſous tõ pouuoir ces globes ſpacieux, Et qui peux ebranler de ta ſamie parolle Tout cela que l’on void de l'vn à l’aint polle, qui tiens dedans ta main le cœur des plus grands Teu Leur permettant renger les peuples ſous leurs loix.	 2 Nédemtable Monarque Architecte des Cieus Qui tiens sous tiens pouvoir ces globes spacieux, Et qui peux ébranler de ta samie parole Tout cela que l'on voit de l'un à l'aint polle, qui tiens dedans ta main le cœur des plus grands Teu Leur permettant renger les peuples sous leurs lois.
Graud Empereur du Ciel, des Eaux, & de la Terre, Aemé d’Eclers, de Foudre, & d'éclatant Tonnerre, Pert alme des humains, ie te rends maintenant Pour d’vn grand Empereur m’auoir fair Lieut enant Vne eternelle grace, & vn treshumble hommage Comme à celuy qui fait des honneurs le partage Comme des biens mondains, l’homme ſans toy n’eſt rien	Graud Empereur du Ciel, des Eaux, et de la Terre, Aemé d'Eclers, de Foudre, et d'éclatant Tonnerre, Pert âme des humains, tu te rends maintenant Pour d'un grand Empereur m'avoir fair Lieut enant Une éternelle grâce, et un treshumble hommage Comme à celui qui fait des honneurs le partage Comme des biens mondains, l'homme sans toi n'est rien
Euſt-i ſous ſon pouuoir tout ce yal terrien.	Eût-y sous son pouvoir tout ce y terrien.
Tu culbates ſouuent les Roisporte couronnes Aux Cachots enfumez des Ruſtiques perſonnes, Au contraire eleuant en biens, & en honneurs, Ceux qui trembloient à voir la face des Soigneurs.	Tu culbates souvent les Roisporte couronnes Aux Cachots enfumés des Rustiques personnes, Au contraire ellevant en biens, et en honneurs, Ceux qui tremblaient à voir la face des Soigneurs.
Les plus grands Empereurs, les Monarques, & Princet En fieffes ont de toy leurs plus riches Prouinces, Ils ſont tous tes vaſſaux, comme les plus petits Les Sceptres égallant aux Ruſtiques outils.	Les plus grands Empereurs, les Monarques, et Princet En fieffes ont de toi leurs plus riches Provinces, Ils sont tous tes vassaux, comme les plus petits Les Sceptres égallant aux Rustiques outils.
Mais leur ſort est bien plus dangereux, & muable Que celuy du vulgaire en ſa Fortune ſtable.	Mais leur sort est bien plus dangereux, et muable Que celui du vulgaire en sa Fortune stable.
Car tout ainſi qu’on void les Pins audacieux Dont le verdoiant Chef ſemble vo ſin des cieux Plus agitez des vents des foudres, & tempeſtes Que les petits buiſſons aux Cheuelures vertes, Les grands ſentent pluiost l’ineuitable éfort De l’aueugle Deeſſe, & de l’inconſtan ſort Que le ſimple vulgaire, à qui la deſt nee N’est par ſi fierement contraire, & obstnce.	Car tout ainsi qu'on voit les Pins audacieux Dont le verdoyant Chef semble vo sin des cieux Plus agités des vents des foudres, et tempêtes Que les petits buissons aux Cheelures vertes, Les grands sentent pluiôt l'inévitable éfort à l'aveugle Deesse, et de l'inconstan sort Que le simple vulgaire, à qui la dest ne N'est par si fièrement contraire, et obstnce.
Alboüin l’a counu qui ſembloit aux hoZ ards Bellonne defier, ſuiuy de ſes Lombards.	Albouin l'a counu qui semblait aux hocés ards Bellonne défier, suivi de ses Lombards.
Qui ſmbloit di-je auoir le Destin fauorable Pour ſuperbe troubler cet Eupire houorable.	Qui smblait di-je avoir le Destin favorable Pour superbe troubler cet Eupire houorable.
Et me chaſſer außi de mon Gouuernement Ou pour mon Enpereur i'ay du commandement.	Et me chasser aussi de mon Gouvernement Ou pour mon Enpereur j'ai du commandement.
Mais quand bien Atropos n’eust acourci ſa vie Qui malheureuſement luy fut ainſi rauie, Ie n'euſſe redoute ni luy, ui ſes Iombards, Luy pouuant opoſer au ant de bons ſoldards:	Mais quand bien Atropos n'eût acourci sa vie Qui malheureusement luitaît ainsi ravie, Je n'eusse redoute ni lui, nô ses Jombards, Luy pouvant oposer au ant de bons soldards:
Car depuis qu’Exarca ie ſois dedans Rauenne Aiaut ſous mon pouuoir, Forconille, Ceſenne, Et la forte Modene auec ces autres lieux Que l’Adriatique tau borne de flots ireux, Que i’ay commandement ſur toute la Romagne Meſme ſur la Cité de la Riche Bolongne, I’ay eu le ſoin touſiours me garnir de ſoldars, Et clorre mes Citez de foſſez & Rampars:	Car depuis qu'Exarca ainsi sois dedans Ravenne Ajaut sous mon pouvoir, Forconille, Césenne, Et la forte Modene je ces autres lieux Que l'Andriatique tau borne de flots ireux, Que j'ai commandement sur toute la Romagne Même sur la Cité de la Riche Bolongne, J'ai eu le soin toujours me garnir de soldars, Et clore mes Cités de fos et Rampars:
De façon qu’il n'eust peu ſur moy rien entreprendue Euſt-il eſté Ceſar, ou le grand Alexandre.	De façon qu'il n'eût pu sur moi rien entreprendue Eut-il été César, ou le grand Alexandre.
Longin eſt inuaincu, & le gauche destin Ne le rendra ianais au malheur pour butin.	Longin est invaincu, et le gauche destin Ne le rendra janais au malheur pour butin.
Al.	Al.
Ia Fortune vous rid, tout heur vous acompagne Vous commandez auſt ſur toute la Romagne.	Ia Fortune vous rid, tout heur vous acompagne Vous commandez aussit sur toute la Romagne.
I'Empereur vous cherit, & ſe tient bien heureux D auoir vn Lieutenant ſi braue, & genereux.	J'Empereur vous chérit, et se tient bien heureux D avoir un Lieutenant si brave, et généreux.
Les Cieux vous ſont außi diuinement propices Et de voſtre bon heur vous auez prou d’auſpices.	Les Cieux vous sont aussi divinement propices Et de votre bon heur vous avez prou d'auspices.
Tout ce qui reste plus pour parfaire vostre heut Ce ſeroit d’Epouſer quelque Dame d’honneur, Et paſſer auec elle en plaiſir, & lieſſe, Ce qui vout reſte plus d’agreable ieuneſſe.	Tout ce qui reste plus pour parfaire votre heut Ce serait d'Épouser quelque Dame d'honneur, Et passer avec elle en plaisir, et liesse, Ce qui vout reste plus d'agréable jeunesse.
Afin qu’en voſtre Automne, & voſtre vieil Hyunr Ou ne pouuez entor de long tons arriuer, Vous aiez le plarſir voir voſtre viue Image En vos Enfans le fruit d’vn heureux Mariage.	Afin qu'en votre Automne, et votre vieil Hyunir Ou ne pouvez entor de long tons arriver, Vous ayez le plarsir voir votre vive Image En vos Enfants le fruit d'un heureux Mariage.
Lon.	Lon.
C’eſt ce que ie ſouhaite il y faut aduiſer.	C'est ce que ici souhaite il y faut aviser.
Al.	Al.
La veuue d’Albeulin ſeroit bon d’épouſer.	La veuve d'Alebeulin serait bon d'épouser.
Lon.	Lon.
Il ſeroit à propos, mais 1e croy qu’Almachilde Elle a prins pour meri Al.	Il serait à propos, mais 1e crois qu'Almachil Le a prins pour mery Al.
Qyoy?	Qioi?
ce traistre perfide?	ce traître perfide?
Auroit elle encor Cut vn ſi debile tour De luy auoir ſi toſt prod gué ſon Ameur?	Aurait -elle encor Cut un si débile tour De Rome avoir si tôt prod gué son Ameur?
Faut le faire mourir, vn tel meurtrier infame	Faut le faire mourir, un tel meurtrier infâme
Eſt indigne d’auoir vne galante femme.	Est indigne d'avoir une galante femme.
Longin.	Longin.
Ie voudrois qu’il faſt mort, ſinon qu’il nous faudroit De l’Heſpitalué voler le ſaint droit.	Je voudrais qu'il fât mort, sinon qu'il nous faudrait De l'Hespitalué voler le saint droit.
Al.	Al.
En tuans vn meurtrier, vn méchant infilelle On s’aquiert au contraire vne gloire immort elle.	En tuant un meurtrier, un méchant infilelle On s'aquiert au contraire une gloire immort elle.
Lon.	Lon.
Nous y proc ederons par vn autre moien Ne me rendant fauteur de ſon trépas en rien.	Nous y proc éderons par un autre moyen Ne me rendant fauteur de son trépas en rien.
Il faut aller donner aduis à Roſemonde Qui en cautelles n’a tamais eu de ſeconde, Le reng qu’elle tiendra parmi les gens d’homeur, De Rauenne épouſant le puiſſant Gouuerneur.	Il faut aller donner avis à Rosemonde Qui en cautelles n'a tamais eu de seconde, Le reng qu'elle tiendra parmi les gens d'homeur, De Ravenne épousant le puissant Gouverneur.
Et qu’aiant Almachilde extrait d’vn basl gnage Di peupls tat juan famt e le langage.	Et qu'ayant Almachilde extrait d'Han naspl goûtage Di peupls tat juan famt e le langage.
Lors, comme on voit la ſemme aimer le changement Et deſſus le vulgaire auoir commandement, Elle aura tout ſoudain à mépris Almachilde Comne vn laſche Paquin, & vn Meurtrier perfide, Si que pour en auoir promtement laraiſon Elle luy feraboire vne anere poiſon, A nſi ie ne ſeray tenu d’aucun coupable De la mort d’Almachilde, Azile deteſtablæe De toute impieté!	Lors, comme on voit la semme aimer le changement Et dessus le vulgaire avoir commandement, Elle aura tout soudain à mépris Alachille Comne un lâche Paquin, et un Meurtrier perfide, Si que pour en avoir promtement laraison Elle lui feraboire une anère poison, A A ie ne serai tenu d'aucun coupable De la mort d'Almachille, Azile de De toute impieté!
Le tout executé, Roſemonde aura lors l’entiere l'berté De me prendre à mari, pais me faire largeſſe Des Ibreſors des Lombards dont elle eſt or maitreſſe:	Le tout exécuté, Rosemonde aura lors l'entière l'aberté De me prendre à mari, pais me faire largesse Des Ibresors des Lombards dont elle est or maîtresse:
Par ce moien j’auray propre l’ocaſion, Des Lombirds commander toute la Nation.	Par ce moyen j'aurai propre l'ocasion, Des Lombirds commander toute la Nation.
Al C’eſt vn prudent aduis qu’il faut à ſa ſin mettre Tour vous voir des Lombards inconiment le Maſtre.	Al C'est un prudent avis qu'il faut à sa sin mettre Tour vous voir des Lombards inconiment le Mastre.
E ſubioguer apres les peu les plus hardis Comme auec ſa Fortune Alboüin fiſt iadis.	É subioguer après les peu les plus hardis Comme avec sa Fortune Albouin fît jadis.
E iij	 Ejà
Lon.	Lon.
Epouſant Roſemonde il me ſera facile, Et rien ne luy est tant que ie lui ſuis vtile, Elle m’a fut prier la retirer ici Auec ſon Almachilde & Peredee außi, D'autant que les Lombards la ſoupçonnent coupable De la mort d’Albouin comme il eſt vray ſemblable.	Épousant Rosemonde il me sera facile, Et rien ne lui est tant que je lui suis utile, Elle m'a fut prier la retirer ici A son Lmachille et Pèredée aussi, D'autant que les Lombards la soupçonnent coupable De la mort d'Albouin comme il est vrais semblable.
Les voici tous venir:	Les voici tous venir:
allons leur faire voir Que i’aybien fort à gré chez moy les receuoir.	allons leur faire voir Que j'aibien fort à gré chez moi les recevoir.
Roſem.	Rosem.
Inuincible Longin de qui la renommee Pour vos rares vertus par le monde eſt ſemce, Qui ne meritez pas l’Exarcat ſeulement Mais ſur vn grand Enprre auoir commandement.	Invincible Longin de qui la renommée Pour vos rares vertus par le monde est semée, Qui ne méritez pas l'Exarcat seulement Mais sur un grand Enprre avoir commandement.
Et partager encor, & les Cieux, & la Terre, Auecques le Monarque armé de ſon Tonnerre.	Et partager encor, et les Cieux, et la Terre, Avecques le Monarque armé de son Tonnerre.
Puis que benignement vous nous auez promis Le refuge chez vous, comme à de francs amis Qui vous recounorſſons vn neceſſaire Azille:	Puis que bénignement vous nous avez promis Le refuge chez vous, comme à de francs amis Qui vous recounorssons un nécessaire Azille:
Nous vous venons treuuer & amener la fille Du feu Roy des Lombards, aumoins que quelquefou VElle ordonne par vous à ce peuple des loix, Chacun vous counoiſſant vn Prince debonnaire, Rigoureux aux méchans, & aux bons ſalutaire.	Nous vous venons trouver et amener la fille Du feu Roi des Lombards, aumoins que quelque VElle ordonne par vous à ce peuple des lois, Chacun vous counaissant un Prince débonnaire, Rigoureux aux méchants, et aux bons salutaire.
Par elle vous aurez vn moien ſufiſant De ſa terre vous voir librement ioüiſſant:	Par elle vous aurez un moyen suffisant De sa terre vous voir librement jouissant:
Nous ſommes donc außi deſſous voſtre aſſeurance Pour contre les Lombards nous ſeruir de defence.	Nous sommes donc aussi dessous votre assurance Pour contre les Lombards nous servir dé sensé.
Ainſi Prince inuaincu vous nous obligerez D’emploier nostre vie, ou bon vous iugerez.	Ainsi Prince invaincu vous nous obligerez D'employer notre vie, ou bon vous jugerez.
Lon.	Lon.
Madame, vous ſoiez la pluſque bien venüe Et en toute alegreſſe, en ce ſeiour receüe:	Madame, vous soyez la plusque bien venue Et en toute alègresse, en ce seiour reçue:
contre tout ce qui peut vous menacer d’ennuis, Ou de quelque méchef vostre Ancyle ie ſuis, Par les chemins tortus, ou l’aueugle Fortune	contre tout ce qui peut vous menacer d'ennuis, Ou de quelque mèches votre Ancile ie suis, Par les chemins tortus, ou l'aveugle Fortune
Vous ſeroit égarer traistiement importune, Ie rous ſeray fidelle, & ne manqueray pas, Vous ſeruir loiaument iuſqu’au iour du trépas.	Vous serait égarer traîtiement importune, Je rous serai fidèle, et ne manquerai pas, Vous servir loisaument jusqu'au jour du trépas.
Roſ.	Ros.
Außi ie vousreſine, & mes biens, & ma vie, Eſtant de vos vertus eperdum ent raute:	Aussi ici vousresine, et mes biens, et ma vie, Étant de vos vertus éperdum ent aute:
Et beni le beau iour que nostre destin doux, Voulut pour noſtre bien nous adreſſer à vous.	Et béni le beau jour que notre destin doux, Voulut pour notre bien nous adresser à vous.
Lon.	Lon.
, I honneur en est à moy, car l’œny qu’on viſite „, Neaumoins que l’on ait la fortune dépite, » Eſt à ceux oblige, qui non dißunulez Montrent qu’en l’amitié leurs Eſprits ſont zelez.	, I honneur en est à moi, car l'œni qu'on visite „, Neaumoins que l'on ait la fortune dépite, " Est à ceux oblige, qui non dissunulez Montrent qu'en l'amitié leurs Esprits sont zélé.
Roſ.	Ros.
O Prince trop courtoistô la perle des hommes!	Ô Prince trop courtois la perle des hommes!
O le plus genereux de ce ſiecle ou nous ſomuex Ce fauorable aueil, ſi franc, ſi gracieux, Nous force à nous aimer & ſeruir en tous lieux, Lon.	Ô le plus généreux de ce siècle ou nous somuex Ce favorable avil, si franc, si gracieux, Nous force à nous aimer et servir en tous lieux, Lon.
Vous counoiſſant außi d’vn ſi libre courgge, I’adoucirois pour vous, des fiers Lyons la rage, Et ferois teste encor, d’vn magnauime cœur Contre te qui voudroit de vous eſtte veineueur.	Vous counaissant aussi d'un si libre courgge, J'adoucirais pour vous, des fiers Lyons la rage, Et ferais tête encor, d'un magnauime Ç Contre te qui voudrait de vous estte veineueur.
Roſ.	Ros.
De voſtre bon vouloir, ô Prince redoutable Qui n’auez en ce monde aucun voſtre ſemblable.	De votre bon vouloir, ô Prince redoutable Qui n'avez en ce monde aucun main semblable.
Nous auons prou de preuue, en ce que ſeulement Nous pouuous vous ſeruant estre ici ſeurement.	Nous avons prou de preuve, en ce que seulement Nous pouuous vous servant être ici sûrement.
Lon.	Lon.
Terminons ce diſeours, rientant ie ne ſouhaite Que rendre vne amitié ſincerement parfaite, Auec ceux qui n’ont point le cœur ſalacieux, Et dont l’aſection ne change en tant de lieux.	Terminons ce diseours, rientantages ne souhaite Que rendre une amitié sincèrement parfaite, Avec ceux qui n'ont point le cœur salacieux, Et dont l'astion ne change en tant de lieux.
Roſ Pluſtoſt qu’en nostre ſein loge la perſidie, Et que vous counoißiez nostre Ame acoüardie, A ne vous honorer, qu’à l'inst mt Iupiter, Face ſur nostre chef ſon tonnerre éelater.	Ros Plutôt qu'en notre sein loge la persidie, Et que vous counoissiez notre Âme acoüardie, À ne vous honorer, qu'à l'inst mt Jupiter, Face sur notre chef son tonnerre éelater.
Lon.	Lon.
Voſtre ſidelié, voſtre digne merite, H rous iurer ceci, deuotement m'excite.	Votre sidelié, votre digne mérite, H ous jurer ceci, dévotement m'excite.
E iiij	 iiij
Ro em.	Ro em.
» Il ne ſe treuue rien plus vtile aux humains „ Qu’vne ſainte amitié que les-Oieux ſouuerains, » Leur ent voulu donner comme choſe agreable.	" Il ne se treuue bien plus vtyle aux humains „ Qu'une sainte amitié que les-Oieux souverains, " Leur ent voulu donner comme chose agréable.
Longin.	Longin.
» C'eſt ce qui plus contente vn poure miſerable.	" C'est ce qui plus contente un pôvre misérable.
Außi doit on touſiours l’amitié preferer.	Aussi doit on toujours l'amitié préférer.
Aux biens, & aux grãdeurs qu’on ne voit demeure » Loug tems ſans changement, elle rend plus illuſtre » Vne preſperité, d’vn bon-heur c’est le luſtre, " Puis, l’amy voit touſiours en l’amy ſon pourtrait.	Aux biens, et aux grandeurs qu'on ne voit demeure " Loug -moi sans changement, elle rend plus illustre " Ne presperité, d'un bonheur c'est le lustre, " Puis, l'ami voit toujours en l'ami son pourtrait.
Roſem.	Rosem.
» Il nous conſeille, & tient noſtre ſecret, ſecret.	" Il nous conseille, et tient notre secret, secret.
Longin.	Longin.
» Sans l’amitié, la vie eſt tristement faſcheuſe.	" Sans l'amitié, la vie est tristement fâcheuse.
Roſem.	Rosem.
„ Vnebelle amnitié rend la perſonne heureuſe.	„ Vnebelle amitié rend la personne heureuse.
Longin.	Longin.
3.	3.
Qui ſe veut conſeruer faus eſtre aimé de tous,	Qui se veut conserver faus être aimé de tous,
Roſem.	Rosem.
Tous n’ont le cœur Roial ni ſi franc comme vous.	Tous n'ont le cœur Roial ni si franc comme vous.
Longin.	Longin.
» Il faut d’vn que l’on aime auoir certaine preuus, ,, Que toute afiſction d’vn amy ne les meuue.	" Il faut d'être que l'on aime avoir certaine prévus, ,, Que toute afisction d'un ami ne les meuve.
Roſem.	Rosem.
Quelqueſois on s’y trompe, & ſi le plus ſouvent Auecques du peril nous allons l’éprouuant.	Quelquesais on s'y trompe, et si le plus souvent Avecques du péril nous allons l'éprouvant.
Longin.	Longin.
» Cet inconſtant Amy, ſon amitié meſure » De façon qu’il voudroit entirer de l vſure.	" Cet inconstant Ami, son amitié mesure " De façon qu'il voudrait entirer de l usure.
Roſem.	Rosem.
9 L’amy vray ſe fait voir durant l’aduerſité!	9 L'ami vrai se fait voir durant l'aduersité!
Lon.	Lon.
Peu d’amis en malheur, trop en proſperité.	Peu d'amis en malheur, trop en prospérité.
Roſemonde.	Rosemonde.
Si tous estoient loyuux, on ſeroit frane de crainte.	Si tous étaient loyux, on serait frane de crainte.
Ioagin.	Joagin.
rele heureuſe ſaiſon est de long tems esteinte.	rele heureuse saison est de long tems éteinte.
Roſemonde.	Rosemonde.
L’amitié hors du monde il n’y a nul plaiſir.	L'amitié hors du monde il n'y a nul plaisir.
Longin.	Longin.
5 Auſti tous les tyraus viuent en déplaiſir.	5 Auti tous les tyraus vivent en déplaisir.
Roſemonde.	Rosemonde.
On ne peut viure heureux, & auec oſſeurance, pais amn vn ton ait entiere conſimes.	On ne peut vivre heureux, et auec osseurance, pais amn t ton ait entière consjmes.
Longin.	Longin.
Il n’est rien de plus digne, & de plus feuctueux Que des ani, diſcreis ſeaux, & vertueux.	Il n'est rien de plus digne, et de plus feuctueux Que des ani, discreis seaux, et vertueux.
Rolem.	Rolem.
C'est le chemin d’honneur de gloire, & de loüange » D’estre de ceux aimé qui u’ament point le chage.	C'est le chemin d'honneur de gloire, et de louange " D'être de ceux aimé qui ament point le chage.
Longin.	Longin.
» I'ay touſiours retherche telles geus pour amus.	" J'ai toujours retherche telles geus pour amus.
Roſemonde.	Rosemonde.
Pour tels entre vos bras nous ſommes nous pas mis?	Pour tels entre vos bras nous sommes nous pas mis?
Longin.	Longin.
Edelles vous iugeamt de mes biens, de ma vie Et de mon honneur meſme à vous ie me confie.	Edelles vous jugeamt de mes biens, de ma vie Et de mon honneur même à vous ie me confie.
Roſemonde.	Rosemonde.
» Il n’y a rien qui moins ſente l’lu narité " Que trabir vn amy plemn de fidelité.	" Il n'y a rien qui moins sente l'lu narité " Que trabir un ami plen de fidélité.
Long n.	Long n.
» Les traitros puniſſint l'amitié ſeroit ſainte.	" Les traitros punissint l'amitié serait sainte.
Roſemonde.	Rosemonde.
Les traitres deuitudroient fidelles par la crainte.	Les traîtres deuitudroient fidèles par la crainte.
Lon.	Lon.
Ce ſeroit fatre naiſbie vn ſecond âge d’or, Coune il pourra reaiure eutre vous leus encor.	Ce serait fatre naisbie un second âge d'or, Coune il pourra reaiure eutre vous lus encor.
Roſemonde.	Rosemonde.
Si ray Linx vous pouuiez dedans mon æne lire Vous verriez que le meſme en pareil ie deſire.	Si rai Linx vous pouviez dedans mon æne lire Vous verriez que le même en pareil avait désire.
Longin.	Longin.
,, Auſii de l’amitié c'et le pro re touſioun » D’estre pluſieurs en vn, de la vie le cours » Sans la ſocieté, n'est que deſagreable, 1 Et l’homme ſans amy, touſiours est miſerable.	, Ausi de l'amitié c'est le pro re jounioun " D'être plusieurs en un, de la vie le cours " Sans la société, n'est que désagréable, 1 Et l'homme sans ami, toujours est misérable.
Roſeni.	Roseni.
,, Tout eſt facilité par ce iuſte deuoir, » Quand on peut des amis tous les ſecrets ſçauoir,	, Tout est facilité par ce juste devoir, " Quand on peut des amis tous les secrets savoir,
Longin.	Longin.
Il eſt bien plus ſeant pour celuy que l’on aime, 9, Se meitre en vn peril que non pas pour ſoy meſme.	Il est bien plus séant pour celui que l'on aime, 9, Se mitre en un péril que non pas pour soi -même.
Roſemonde.	Rosemonde.
» Pluſieurs ont enduré pour leurs amis la mort.	" Plusieurs ont enduré pour leurs amis la mort.
Longin.	Longin.
» Faus ſuiure ſes amis au bon & mauuais ſort.	" Faus suivre ses amis au bon et mauvais sort.
Roſem.	Rosem.
9 Mais il ne faut à tous vne amitié promettre.	9 Mais il ne faut à tous une amitié promettre.
Longin.	Longin.
En cette ſante loy ce tout ſeul point doit estre.	En cette santé loi ce tout seul point doit être.
Roſem.	Rosem.
» Qui de ſe faire aimez à quelque occaſion, », Doit meriter encorbien plus d’afection.	" Qui de se faire aimés à quelque occasion, ", Doit mériter encorbien plus d'afection.
Longinc'est pourquoy ie vous aime, & non pour l’eſperanee D’en receuoir tamais aucune recompenſe Que voſtre amitié méme, ou ie m’aſſeure taut Que contre tous obiets elle ira reſistant.	Longinc'est pourquoi ici vous aime, et non pour l'espérance D'en recevoir tamais aucune récompense Que votre amitié même, ou personne m'assure taut Que contre tous objets elle ira résistant.
Roſem.	Rosem.
N’en doutez nullement, plutoſt la parque fiere Me ſeta le bu in d'vne ſinictre biere Que te ne vous ho vore auec filelité, Et que iene vous ſerue en toute humilité, Srand Prince permett.	N'en doutez nullement, plutôt la parque fière Me seta le bu in d'une synictre bonne Que te ne vous ho vore avec filelité, Et que iene vous serve en toute humilité, Srand Prince permett.
z que vos genoux i’embraſſe, our vous rendre merer de cette digne grace.	>s que vos genoux j'embrasse, our vous rendre mérer de cette digne grâce.
Longin.	Longin.
Au contraire Madamne, il me ſieroit bien mieux vous rendre ce deuoir iuſte, & oficieux, Comme à c'ette Princ eſſe agreablement pelle Orfeline de pere, & non pas de beauté, ui de Reine deſia montre la Maieſté!	Au contraire Madamne, il me siérait bien mieux vous rendre ce devoir juste, et officieux, Comme à c'ette Princ esse agréablement pelle Orfeline de père, et non pas de beauté, ui de Reine déjà montre la Majesté!
Petite Cyprienne humble ie vous honore, Comme on fait volontiers vne nouuelle Aurore, Mon honneur, & mes biens, vous ſont ſacriſiez A d’autres deſormais qu’à moy ne vous fiez.	Petite Cyprienne humble ) vous honore, Comme on fait volontiers une nouvelle Aurore, Mon honneur, et mes biens, vous sont sacrisiez À d'autres désormais qu'à moi ne vous fiez.
Albiſinde.	Albisinde.
Le pere des humains, ô Prince inimitable Vous recompenſera pour m'eſtre charitable, ui ſais or le ieuet de l’instable destin, L ſeau de la fortune, & des maux le butin.	Le père des humains, ô Prince inimitable Vous récompensera pour m'être charitable, ui sais or le jeuet de l'instable destin, L au de la fortune, et des maux le butin.
Ie ne vous puis qu’offrir pour vos faueurs ſi grandes, Sinon que deſormais ie feray mille ofrandes Pour rendre fauorable à vos iustes deſſeins Le grand Dieu qui de tous les cœurs tient dans ſes mains.	Je ne vous puis qu'offrir pour vos faveurs si grandes, Sinon que désormais toujours ferai mille offrandes Pour rendre favorable à vos justes desseins Le grand Dieu qui de tous les cœurs tient dans ses mains.
Longin.	Longin.
Non, non, il me ſuſit belle, & ſage Princeſſe, D'estre de vous aimé, comme d'vne Deiſſe, Vous eſtes trauaillee allez vous repoſer, Puis ie retournera, auec vous deuiſer:	Non, non, il me susit belle, et sage Princesse, D'être de vous aimé, comme d'une Disse, Vous êtes travaille allez vous reposer, Puis se retournera, avec vous deviser:
caualliers, condui ſez, vous auſti Danonſelles, cette ieune Princeſſe:	cavalliers, condui sez, vous austi Danonselles, cette jeune Princesse:
allez belle des belles.	allez belle des belles.
Longin.	Longin.
Roſemonde.	Rosemonde.
Longin.	Longin.
Muis vouuez vous bien viure auiourd’huy ſous la loy D 'vn homme ſans merite, & ſans honneur ni feyt	Muis vouez -vous bien vivre aujourd'hui sous la loi D 'une homme sans mérite, et sans honneur ni feyt
Qui a l’ame du tont laſihe & puſillanime, G niure rustique, & que l’on deſiſtime Pour les méchantetez qu’il commet à forſon?	Qui a l'âme du tont lasihe et pusillanime, G niure rustique, et que l'on desistime Pour les méchantetez qu'il commet à forson?
Malame c’est forcer tout ordre de raiſon De prodiguir ainſi voſtre anitie ſidelle A ce traitre meurtrier tout rempli de cautelle Qui vous fait inſolent mepriſer en tous lieu.	Malme c'est forcer tout ordre de raison De prodiguir ainsi avoir anitie sidelle A ce traître meurtrier tout rempli de cautelle Qui vous fait insolent mépriser en tous lieu.
Et qui ſe rend encor à chacunodieux.	Et qui se rend encor à chacunodieux.
Vne ame de vertus autant vide, & ſteri Qu'en enormes forfaits à toute heure ferul Si vous deſicz voir vostre ane ſans ſoue, Faut changer le deſit de l’honorer ainſi.	 âme de vertus autant vide, et stéri Qu'en énormes forfaits à toute heure ferul Si vous désicz voir votre ane sans soue, Faut chang le désit de l'honorer ainsi.
Car tant que luyſerz de faueurs liberalle, Bt que vostre amitié diumnement Royalle Il poſſidera ſeul, ſaus doute vous ſerez La ſable du vulgaire, & vous ofenſerez Faites electton de quelque braue Prince, Qui commaude vaillant deſſus quelque Prouince Et qui ſoit d’vn estoc dont les dignes ayeux Ont immortaliſe leur renom glorieux.	Car tant que luyserz de faveurs libérale, Bt que votre amitié diumnement Royalle Il possidera seul, saus doute vous serez La sable du vulgaire, et vous ofenserez Faites électon de quelque brave Prince, Qui commaude vaillant dessus quelque Province Et qui soit d'un étoc dont les dignes eux Ont immortalise leur ren glorieux.
