A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
Sçauoir aucunesfois ſon courous moderer, Apportera des fruits qu’on n’oſoit eſperer.	Savoir aucunesfois son courous modérer, Apportera des fruits qu'on n'osait espérer.
Philippe.	Philippe.
Faites pour ce regard que telle procedure, Iuſqu’au point attendu de l’occaſion dure:	Faites pour ce regard que telle procédure, Jusqu'au point attendu de l'occasion dure:
Reſte que ceux außi nous parlent librement, Nous tirent vn auis du cœur ſincerement, Que Mars à ce deſſein glorieux m'aſſocie, Que le bien du public également ſoucie, Soit à hâter la guerre ou à la retarder, Ma raute leur conſeil d'Elice veut garder.	Reste que ceux aussi nous parlent librement, Nous tirent un avis du cœur sincèrement, Que Mars à ce dessein glorieux m'associe, Que le bien du public également soucie, Soit à hâter la guerre ou à la retarder, Ma raute leur conseil d'Élice veut garder.
Ariſtandre.	Aristandre.
Phœbus n’emprunte point le clair de ſa lumiere De celles dont il eſt l’origine premiere, DouZe aſtres deſſous luy s’influënt tour à tour, De l’aimable clairté que prête ſon retour, Ainſi nôtre prudence a ſa ſource profonde En celle d’vn Monarque autre ſoleil du monde, Ainſi ta Majeſté n’a qu’emprunter ailleurs, Pour ſes iuſtes deſſeins d’aucuns auis meilleurs:	Phœbus n'emprunte point le clair de sa lumière De celles dont il est l'origine première, Douze astres dessous lui s'influënt tour à tour, De l'aimable clairté que prête son retour, Ainsi notre prudence à sa source profonde En celle d'un Monarque autre soleil du monde, Ainsi ta Majesté n'a qu'emprunter ailleurs, Pour ses justes desseins d'aucuns avis meilleurs:
Surprendre l’ennemy dedans ſon heritage Mal gardé maintenant, n’eſt pas peu d’auantaVn deſordre confus en effroy le défait, Ses ruſes, ſes effors demeurent ſans effet.	Surprendre l'ennemi dedans son héritage Mal gardé maintenant, n'est pas peu d'avantaUn désordre confus en effroi le défait, Ses ruses, ses efforts demeurent sans effet.
Comme du fier lyon qu’en ſa cauerne ſombre Attaquent les veneurs reſolus & en nombre, Lors qu’vne large enceinte à ſes affreux regars L’inéuitable mort fait voir de toutes parts, Sa criniere s’abaiſſe, & ſon braue courage Se perd en des élans d’infructueuſe rage, L’aueugle deſeſpoir précipite ſes pas, Lors qu’il s’en croit plus loin dans le proche trépas:	Comme du fier lyon qu'en sa caverne sombre Attaquent les veneurs résolus et en nombre, Lors qu'une large enceinte à ses affreux régars L'inévitable mort fait voir de toutes parts, Sa crinière s'abaisse, et son brave courage Se perd en des élans d'infructueuse rage, L'aveugle désespoir précipite ses pas, Lors qu'il s'en croit plus loin dans le proche trépas:
Même condition attend ce miſerable, Qui ne peut éprouuer le Ciel qu’inexorable, Conuaincu de ſon crime enuers tous les humains, Hâtons-nous donc d’aller des paroles aux mains:	Même condition attend ce misérable, Qui ne peut éprouver le Ciel qu'inexorable, Convainu de son crime envers tous les humains, Hâtons-nous donc d'aller des paroles aux mains:
Vne flotte guerriere inuiſible ſe coûle, Iuſques dans ſon pays & de butin ſe ſoûle, Parauant qu’éueillé ce pilote inexpert 1 granu uuup uu uuui impoututu qui le perd.	Une flotte guerrière invisible se coule, Iusques dans ' pays et de butin se soule, Paravant qu'éveillé ce pilote inexpert 1 granu uuup uuui impoututu qui le perd.
Philippe.	Philippe.
Ta reſolution prophetiſe à ma gloire Les lauriers adioûtez d’vne belle victoire, Aucun deſſein tenté ſous vn auſpice heureux, Ne peut mal ſucceder à des cœurs genereux.	Ta résolution prophétise à ma gloire Les lauriers ajoutez d'une belle victoire, Aucun dessein tenté sous un auspice heureux, Ne peut mal succéder à des cœurs généreux.
Las vne ſeule abſence afflige, regrettée, Mon ame en ce penſer inceſſamment iettée, Ie déplore, mon fils, ton deſtin vagabond, Eſloigne de ce champ en palmes ſi fecond, Tu deuſſes ſoulager ſur le declin de l’âge Vn de qui tu ne peux démentir le courage, Tu deuſſes maintenant ſon iniure venger, Non comme frenetique inconnu voyager:	Las une seule absence afflige, regrettée, Mon âme en ce penser incessamment jetée, Je déplore, mon fils, ton destin vagabond, Esloigne de ce champ en palmes si fécond, Tu deuses soulager sur le déclin de l'âge Un de qui tu ne peux démentir le courage, Tu deusses maintenant son injure venger, Non comme frénétique inconnu voyager:
Eutvre qui ſçaurou ouionerreur s’adonne, Mais telle incertitude aux douleurs m’abandonne, Elle me fait mourir chaque iour mille fois, Termine ces ennuis ô Monarque des Roys.	Eûtvre qui saurou ouionerreur s'adonne, Mais telle incertitude aux douleurs m'abandonne, Elle me fait mourir chaque jour mille fois, Termine ces ennuis ô Monarque des Rois.
Dicée.	Dicée.
Sire, ne doutez pas que la guerre allumée Ne porte où il ſera dans peu ſa renommée, Et qu’alors ce Heros braue autant que pieux, Sur les aîles volant d’vn deſir glorieux, Ne ſe range au giron de ſa chere patrie, Auec vne prudence au voyage meurie, Auec vne valeur que l’eſprit regira, Qui d’affaire entrepris iamais ne rougira, Bref, digne Lieutenant d’vn pere magnanime:	Sire, ne doutez pas que la guerre allumée Ne porte où il sera dans peu sa renommée, Et qu'alors ce Héros brave autant que pieux, Sur les aîles volant d'être des glorieux, Ne se range au giron de sa chère patrie, Avec une prudence au voyage meurie, Avec une valeur que l'esprit régira, Qui d'affaire entrepris jamais ne rougira, Bref, digne Lieutenant d'un père magnanime:
Mais ce bruit ſuruenu la creance m’imprime De nos vunx exautez, et ſans doute volcy Nôtre Hector attendu qui s’achemine icy.	Mais ce bruit survenu la créance m'imprime De nos vœx exautés, et sans doute volci Notre Hector attendu qui s'achemine ici.
Philippe.	Philippe.
Quel bon démon t’inſpire, ô mon fils, à cette heure De reuoir deſiré ta natale demeure?	Quel bon démon t'inspire, ô mon fils, à cette heure De revoir désiré ta natale demeure?
La reuoir ſecourable en vn tems orageux, Où ſe doit employer ton Zele courageux:	La revoir secourable en un temps orageux, Où se doit employer ton Zèle courageux:
Mais quelle plage t’a ſilong-tems retenuë?	Mais quelle plage t'a silongtemps retenue?
Et à qui deuons nous telle heureuſe venuë?	Et à qui devons nous telle heureuse venue?
Qui me reſſuſciter t’enuoye mon enfant, Des trauaux ſurmonteZ en mes bras triomfant?	Qui me ressusciter t'envoie mon enfant, Des travaux surmontez en mes bras triomfant?
Phraarte.	Phraste.
Sire, à rememorer les fatigues ſouffertes, Les diuers incidens des rencontres offertes, Vn Soleil tout entier à peine ſuffiroit, La plus rare faconde en diſcours tariroit, Que vôtre Majeſté quelqu’autre heure choiſie, Dé ſemblables diſcours puſje ja faneuttee, Vne tréue accordant à ce cors haraßé:	Sire, à remémorer les fatigues souffertes, Les divers incidents des rencontres offertes, Un Soleil tout entier à peine suffirait, La plus rare faconde en discours tarirait, Que votre Majesté quelque autre heure choisie, Dé semblables discours pusje ja faneute, tréue accordant ce cors harassé:
Certain bruit au ſurplus iuſques à moy paßé, Et l’eſprit ſoucieux, forma la ceniecture Soit veritable où non, d’vne guerre future, Qui preſſe le retour afin qu’à mon pouuoir, Draeprintes u nsauli aeuur.	Certain bruit au surplus jusqu' à moi passé, Et l'esprit soucieux, forma la céniecture Soit véritable où non, d'une guerre future, Qui presse le retour afin qu'à mon pouvoir, Deprintes u nsaulivrieur.
Philippe.	Philippe.
Ton excuſe me plaît, ſa raiſon me contente, Car ſemblable plaiſir ne ſe perd pour l’attente, Entrons dans le Palais fétoyer ton retour, Que l’onte communique vne affaire à ſon tour, Affaire d’importance, affaire qui deſire, A conſeruer l’honneur attaqué de l’Empire, Vn general offert, où le rangte depart De ſa premiere gloire vne meilleure part.	Ton excuse me plaît, sa raison me contente, Car semblable plaisir ne se perd pour l'attente, Entrons dans le Palais fétoyer ton retour, Que l'onte communique une affaire à son tour, Affaire d'importance, affaire qui désire, A conserver l'honneur attaqué de l'Empire, Un général offert, où le rangte départ De sa première gloire meilleure part.
SCENE III.	SCÈNE III.
PHILOCLEE, BERENICE.	PHILOCLE, BERENICE.
OnOMDES AAIRITAARIE.	OnOMDES AAIRITARIE.
Philoclée.	Philoclée.
Rêtes chaque moment d’abandonner la vie, I De rendre vne vindicte équitable aſſouuie, Reſoluons-nous, ma ſœur, à ce funebre pas, La gloire émouſſera l’aiguillon du trépas, La gloire que dépoüille vne ame genereuſe, Dont la fortune fait la vertu malheureuſe, La gloire d’expirer ſous ce faix entrepris, De n’auoir eſtimé nôtre ſalut au pris D’obeyr à ſon Prince, & monument d’vn Zele Qui ne mourra tamais, mourir en ſa querelle, Celà nous doit reſoudre & conſoler, afin Qu’vn beau commencement ait vne même fin.	Rêtes chaque moment d'abandonner la vie, I De rendre quelque vindicte équitable assouvie, Résoluons-nous, ma sœur, à ce funèbre pas, La gloire émoussera l'aiguillon du trépas, La gloire que dépouille une âme généreuse, Dont la fortune fait la vertu malheureuse, La gloire d'expirer sous ce faix entrepris, De n'avoir estimé notre salut au pris D'obéir à son Prince, et monument d'vn Ne Mourra ne mourra tamaisa tenir en sa femme, Celà nous doit résoudre et consoler, afin Qu ' commencement ait re même fin.
Berenice.	Berenice.
Miſerable ſoulas, ingrate recompenſe, Qui de blâme vn Monarque oublieux ne diſpenOublieux maintenant contre ce qu’il promit De rompre les liens on fa taneuur nous mmos	Misérable soûlas, ingrate récompense, Qui de blâme un Monarque oublieux ne dispenOublieux maintenant contre ce qu'il promit De rompre les liens on fa taneuvr nous mémos
Maxime que les Roys à nos dépens ſe vengent, Que les perils venus de nos chefs ils n'etrangent, Maxime que touſiours les foibles, les petits Parmy leurs paßions demeurent engloutis:	Maxime que les Rois à nos dépens se vengent, Que les périls venus de nos chefs ils n'étrangent, Maxime que toujours les faibles, les petits Parmi leurs passions demeurent engloutis:
2 Ainſi le fin pêcheur des vermiſſeaux haZarde, Pour cacher aux poiſſons ſon embûche coüarde, Etl’araignée ainſi dans ſes liens tendus Laiſſe les moucherons voleter ſuſpendus, Epiant à l’entour quelque proye opportune;	2 Ainsi le fin pècheur des vermisseaux hasarde, Pour cacher aux poissons son embûche couarde, Él'araignée ainsi dans ses liens tendus Laisse les moucherons voleter suspendus, Épiant à l'entour quelque proie opportune;
Ce Prince nous expoſe à pareille fortune Et pire, ne pouuant au beſoin ſecourir Les crédules qu’il fit ce peril encourir, Qu’vn ſupplice honteux en cendres va reduire, A tout vn monde va de ſpectacle produire, Spectacle abominable autant que deſiré, En longueur quelques iours expreſſement tiré, Pour nous faire ſouffrir mille morts au lieu d’vne:	Ce Prince nous expose à pareille fortune Et pire, ne pouvant au besoin secourir Les crédules qu'il fit ce péril encourir, Qu'H supplice honteux en cendres va réduire, À tout un monde va de spectacle produire, Spectacle abominable autant que désiré, En longueur quelques jours expressément tiré, Pour nous faire souffrir mille morts au lieu d'une:
O bien-heureux quiconque en l’ignovte commune Sans qu’au ſecret des Roys il penetre ignorant, Meurt ſous ſon pauure toît inconnu demeurant.	Ô bienheureux quiconque en l'ignovte commune Sans qu'au secret des Rois il pénètre ignorant, Meurt sous son pauvre toît inconnu demeurant.
Philoclée.	Philoclée.
Tels regrets ſuperflus ne reuoquent donnée La ſentence des ſœurs ſur nôtre deſtinée, Iaçoit que rigoureuſe il faut qu’elle ait ſon cours, Et ne s’attendre plus à nul humain ſecours:	Tels regrets superflus ne révoquent donnée La sentence des sœurs sur notre destinée, Iaçoit que rigoureuse il faut qu'elle ait son cours, Et ne s'attendre plus à nul humain secours:
Toutesfois pourquoy non?	Toutefois pourquoi non?
ce qu’outre la coûtume Tel ſupplice on differe vn eſpoir me rallume, Ce Roy nôtre partie au poßible clement, Au pardon ſe lairra porter facilement, Si quelque interceſſeur pitoyable procure, DapenieDie , oom nim, conforme à mon augure, Faites ſur nos malheurs vôtre grace pluuoir.	ce qu'outre la coûtume Tel supplice on diffère un espoir me rallume, Ce Roi notre partie au possible clément, Au pardon se lairra porter facilement, Si quelque intercesseur pitoyable procure, DapenieDie , om nim, conforme à mon augure, Faites sur nos malheurs votre grâce pluoir.
Berenice.	Berenice.
Silence, quelqu’vn vient.	Silence, quelqu'un vient.
Geolier.	Geolier.
Le, Prince vous veut voir, Suyuez moy vîtement.	Le, Prince vous veut voir, Suyvez moi vitetement.
Philoclée.	Philoclée.
O funeſte venuë, O deſtins coniurez, b̂ eſperance nuë, A ce coup, à ce coup la cruauté du ſort Tire de ces cachots l’innocence à la mort.	Ô funeste venue, Ô destins conjurés, ba esperance nue, À ce coup, à ce coup la cruauté du sort Tire de ces cachots l'innocence à la mort.
CENE IV	CÈNE IV
SCENE IV.	SCÈNE IV.
PHRAARTE, PHILOCLEE.	PHRARTE, PHILOCLEE.
BERENICE, GEOLIER, OAEISIENE.	BERENICE, GEÔLIER, AEISIENE.
Phraarte.	Phraste.
I tu veux m’obliger garde qu’ame qui viue, S Sur mon parlementer auec elles n’arriue, Ne me ſçache en ce lieu, ne découure vn ſecret Qui ſage t’enrichit où te perd indiſcrer, Caliſtene au ſurplus à la geolle m’attende, Sans qu’aucun d’informer dauantage prétende.	I tu veux m'obliger garde qu'âme qui vive, S Ur mon parlementer avec elles n'arrive, Ne me sache en ce lieu, ne découvre un secret Qui sage t'enrichit où te perd indiscrer, Calistène au surplus à la golle m'attende, Sans qu'aucun dinformer avantage prétende.
Geolier.	Geolier.
Re aouteZ, Monſeigneur, que tel commandement D’affection ie n’aille accomplir ſourdement.	Re aoûté, Monseigneur, que tel commandement D'affection personne n'aille accomplir sourdement.
Phraarte.	Phraste.
Meſdames reprenez l’aſſeurance & la ioye, Secret liberateur que le Ciel vous enuoye, Vn Monarque opposé ne m’empêchera pas D’affranchir vos deux chefs de l’horreur du trépas, Mais à condition, libres, qu’on me pourchaſſe Vers ma chaſte maîtreſſe vne pareille grace, ue ſa douce beauté vous m’irez conuertir,	Mesdames reprenez l'assurance et la joie, Secret libérateur que le Ciel vous envoie, Un Arque opposé ne m'empêchera pas D'affranchir vos deux chefs de l'horreur du trépas, Mais à condition, libres, qu'on me pourchasse Vers ma chaste maîtresse une pareille grâce, ue sa douce beauté vous m'irez convertir,
Et de ce qui ſe paſſe à preſent auertir, Philagnie eſt ſon nom, Philagnie eſt la belle, Qui ſous les loix d’amour mit mon ame rebelle:	Et de ce qui se passe à présent auertir, Philagnie est son nom, Philagnie est la belle, Qui sous les lois d'amour mit mon âme rebelle:
N’agueres inconnu chez le pere arriuant, Et comme Caualier ſa fortune ſuyuant, Ma hantiſe gouttée, appriuoiſa farouche, Celle qu’honoreroit Iupiter de ſa couche, Or ſon captif, i’apris vôtre captiuité, Et de l’occaſion fauorable inuité, En vœux aſſeZ obſcurs m’oblige à cette Sainte, De vous tirer de peine ainſi qu'elle de crainte, Donc venu deſormais du propos à l’effet, Vôtre interceßion ce chef-d’œuure parfait, Vôtre interceßion m’acheue ſa conquête, Et d’vn myrthe au retour m’enuironne la tête.	N'aguère inconnu chez le père arrivant, Et comme Cavalier sa fortune suivant, Ma hantise gouttée, apprivaisa farouche, Celle qu'honorerait Jupiter de sa couche, Or son captif, j'apris votre captivité, Et de l'occasion favorable inuité, En vœux assez obscurs m'oblige à cette Sainte, De vous tirer de peine ainsi qu'elle de crainte, Donc venu désormais du propos à l'effet, Votre intercemion ce chef-d’ votre parfait, Votre intercevion m'achève sa conquête, Et myrthe au retour mmenvironne la m.
Voilà que ma priere exige de rançon, Voilà qui de ma part vous leue le ſoupçon:	Voilà que ma prière exige de rançon, Voilà qui de ma part vous lève le soupçon:
Promettant ſous la foy reciproque donnée, Ma Diane rouunbunbengueenjmtute, Vous l’alleZ retrouuer dans la prochaine nuit, Et iuſqu’entre ſes bras l’vn des miens vous conduit.	Promettant sous la foi réciproque donnée, Ma Diane rouunbunbengueenjmute, Vous l'allés retrouver dans la prochaine nuit, Et jusqu'entre ses bras l'un des miens vous conduit.
Philoclée.	Philoclée.
O veritable Alcide, ô Prince debonnaire, Qui des plus vertueux ſurpaſſes l’ordinaire, Qui faits d’vne moitié la ſage élection, Approchant à peu prez de ta perfection, Pourrion-nous refuſer à qui nous rend la vie, Les effets ſecondez d’vne ſi ſainte enuie?	Ô véritable Alcide, ô Prince débonnaire, Qui des plus vertueux surpasses l'ordinaire, Qui faits d'une moitié la sage élection, Approchant à peu près de ta perfection, Pourrion-nous refuser à qui nous rend la vie, Les effets secondez d'une si sainte envie?
Pourrion-nous n’employer plus que nôtre pouuoir, A te faire ce pris merité receuoir?	Pourrion-nous n'employer plus que notre pouvoir, À te faire ce pris mérité recevoir?
Non non, braue Heros, nous hors des fers, ne penſe Qu'à venir moiſſonner ſemblable recompenſe, Vne creance aquiſe aura trop le credit D'effectuer adonc ceque l’âme te dit, Où le refus ſouffert, où fauſſaires trouuées, Remets celles aux ceps que tu auois ſauuées, Et où tu les pourras ingrates reprocher, Elles allumeront le feu de leur bucher.	Non non, brave Héros, nous hors des fers, ne pense Qu'à venir moissonner semblable récompense, créance aquise aura trop le crédit D'effectuer adonc ceque âme te dit, le refus souffert, faussaires trouuées, Remets celles aux ceps que tu auois sauuées, Et tu les pourras ingrates reprocher, Elles allumeront le feu de leur bûcher.
Phraarte.	Phraste.
Qu’eſt-ce que ne promet pour allonger ſa vie, Le chetif qui la void du ſupplice rauie?	Qu'est-ce que ne promet pour allonger sa vie, Le chétif qui la voit du supplice ravie?
Qui dans le cœur deſià reçoit le coup mortel;	Qui dans le cœur déjà reçoit le coup mortel;
Non que vôtre candeur préſage rien de tel, Naiue elle me plaît, elle me cautionne Les fruits plus qu’aſſeurez d’vne volonté bonne:	Non que votre candeur présage rien de tel, Naive elle me plaît, elle me cautionne Les fruits plus qu'assurez d'une volonté bonne:
A moy cher Caliſtene, à moy, vien reçeuoir Vne commiſion digne de ton deuoir, (mes, Vien prendre de mon heur la conduite en ces daQui leurs ennuis éteins, fontéteindre mes flames, Qui, libres, à l’inſtant me liberent außi;	À moi cher Calistène, à moi, viens recevoir Vune commision digne de ton devoir, (mes, Viens prendre de mon heur la conduite en cette daQui leurs ennuis éteins, fontéteindre mes flammes, Qui, libres, à l'instant me libèrent aussi;
Or la charge en vn mot preſcrite la voicy, Du plûtôt que Titan replongé deſſous l’onde, Ramenera la nuit & le ſilence au monde, Pren ceux que tu voudras de ma ſuitte auec toy, Dd 2 Ceux chez qui tu connus vne immuable foy:	Or la charge en un mot prescrite la voici, Du plutôt que Titan replongé dessous l'onde, Ramenera la nuit et le silence au monde, Pren ceux que tu voudras de ma suite auec toy, Dd 2 Ceux chez qui tu connus a immuable foi:
Sans tréue de labeur, que la Thrace gangnée, Et telle eſcorte apres inutile épargnée, Tu ne rendes ce couple à la chaſte beauté Qui void le receuant vn trait de loyauté, Qui rememorera mes paroles dernieres Venuës à l’effet enuers ces priſonnieres, Outre qu’vne mißiue écritte de ma main, La veuë promettra du iour au lendemain, De ſon plus humble eſclaue, or tel vrgent affaire En l’execution ne veut que l’on differe, Fay ton preparatif, mais ſans le moindre bruit, Ores que tu le peux en faueur de la nuit.	Sans trêve de labeur, que la Thrace gangnée, Et telle escorte après inutile épargnée, Tu ne rendes ce couple à la chaste beauté Qui void le recevant un trait de loyauté, Qui remémorera mes paroles dernières Venues à l'effet envers ces prisonnières, Outre qu'une missiue écritte de ma main, La vue promettra du jour au lendemain, De son plus humble esclaue, or tel vrgent affaire En exécution ne veut que on differe, Fay ton préparatif, mais sans le moindre bruit, Ores que tu le peux en faueur de la nuit.
Caliſtene.	Calistene.
Iaçoit que tel deſſein haZardeux à l’extrême, Paroiſfe en ſon eſſet la diſſiculte meme, L’induſtrie au labeur mêlée également, Me permet d’en venir à bout facilement.	Iaçoit que tel dessein hasardeux à l'extrême, Paraise en son esset la dissiculte meme, L'industrie au labeur mêlée également, Me permet d'en venir à bout facilement.
Phraarte.	Phraste.
Le dernier point conſiſte (& cela me regarde) A charmer le dragon vigilant qui vous garde, Nous y allons pouruoir, tandis ne craignez rien, Sous la faueur des Cieux tout ſe portera bien.	Le dernier point consiste (T cela me regarde) A charmer le dragon vigilant qui vous garde, Nous y allons pourvoir, tandis ne craignez rien, Sous la faveur des Cieux tout se portera bien.
ACTE TROISIESME.	ACTE -TROISIÈME.
PHILAGNIE, PHILOCLEE, BERENICE, PHILIPPE, DICEE, ARISTANDRE, PHRAARTE, COTYS, DIOMEDE, ESPION.	PHILAGNIE, PHILOCLE, BERENICE, PHILIPPE, DICE, ARISTANDRE, PHRARARTE, COTIS, DOMEDE, ESPION.
SCENE I.	SCÈNE I.
PHILAGNIE, PHILOCLEE, BERENICE.	PHILAGNIE, PHILOCLE, BERENICE.
Philagnie.	Philagnie.
Amais certes vn trait pareil de courtoiſie, D’admirable clemence au ſujet mieux choiſie, Ne témoigna l’amour, amour vrayment loyal, Que conſerue en ſoy même vn courage royal, Sans y être obligé du moindre benefice, M’auoir, vous liberant, rendu ce bon office?	Amais certes un trait pareil de courtoisie, D'admirable clémence au sujet mieux choisie, Ne témoigna l'amour, amour vraiment loyal, Que conserve en soi même un courage royal, Sans y être obligé du moindre bénéfice, M'avoir, vous libérant, rendu ce bon office?
Préferemon plaiſir au vouloir paternel,	Préferemon plaisir au vouloir paternel,
Dd 2 Equitable, attendu l’acte ſi criminel, Où l’obligation s’illuſtre dauantage, Où l’obligation s’emporte l’auantage A rendre ce qu’il m’a prêté d’or’enauant, Car toutes mes faueurs, au pris, ne ſont que vent;	Déd 2 Equitable, attendu l'acte si criminel, Où l'obligation s'illustre davantage, Où l'obligation s'emporte l'avantage A rendre ce qu'il m'a prêté d'or'enauant, Car toutes mes faveurs, au pris, ne sont que vent;
O braue, ô braue Prince, ô ame genereuſe, Ie repute à bon droit la Dame bien-heureuſe, Que iu bonbreras à vne ehâſté amiiie, Et que fera l’hymen ta compagne moitié.	Ô brave, ô brave Prince, ô âme généreuse, Je répute à bon droit la Dame bienheureuse, Que ju bonbreras à notre ehâsté amiie, Et que fera l'hymen ta compagne moitié.
Philoclée.	Philoclée.
Autre que vous n’obtient, ne merite ce grade, Du mal, ne feignons point, qui le preſſe, malade, Autre Venus ce Mars ne ſçauroit conquerir, Autrele gueriſſant ſoy-même ſe guerir;	Autre que vous n'obtient, ne mérite ce grade, Du mal, ne feignons point, qui le presse, malade, Autre Venus ce Mars ne saurait conquérir, Autrele guérissant soi-même se guérir;
Le Ciel premier auteur d’alliance pareille, Veut en la vôtre vnir ſa plus rare merueille, Veut en la vôtre vnir deux peuples diuiſez, Et vne guerre éteindre en vos feux apaiſez, Promettez-le Madame aux prieres feruantes, Ains donnez-le au ſalut de vos humbles ſeruantes, Sous telle paction nous eûmes liberté, Sous elle nous voyons la celeſte clarté, L’enfraindre nous oblige à retourner captiues, A ſubir le tourment preſcrit des flames viues, Courage, ce ſilence approuue mon conſeil, Outre l’indice pris dans vn beau teint vermeil, Qu’augmente de couleur vne pudique honte, Et qui du cœur épris ſur le viſage monte.	Le Ciel premier auteur d'alliance pareille, Veut en la vôtre unir sa plus rare merueille, Veut en la vôtre unir deux peuples divisez, Et un guerre éteindre en vos feux apaisez, Promettez-le Madame aux prières servantes, Ains donnez-le au salut de vos humbles servantes, Sous telle paction nous eûmes liberté, Sous elle nous voyons la celeste clarté, L'enfraindre nous oblige à retourner capttes, A finir le tourment prescrit des flammes viues, Courage, ce silence approuve mon conseil, Outre avaindice pris dans un beau teint vermeil, Saugmente de ur pudique honte, Et qui ' il épris sur le visage monte.
Lt qus citera.	Lt qus citera.
Philagnie.	Philagnie.
Les Cieux connoiſſent trop quelle eſt ma volonté, Que pourtant n'emancipe vn mẽpris effronté Du pouuoir de celuy de qui ietien la vie, Icy la pieté préuaut ſur telle enuie;	Les Cieux connaissent trop quelle est ma volonté, Que pourtant n'emancipe un mépris effronté Du pouvoir de celui de qui jetien la vie, Ici la piété prévaut sur telle envie;
Mes deſirs retenus ſous le frein du deuoir, Se fâchent de n’auoir ſur eux plus de pouuoir, Mais ce cruel deſtin m’excuſe déplorable, Mais ce cruel deſtin m’excuſe inexorable, Excuſe legitime en la neceßsité, Qui retranche le plus de ma felicité.	Mes désirs retenus sous le frein du devoir, Se fâchent de n'avoir sur eux plus de pouvoir, Mais ce cruel destin m'excuse déplorable, Mais ce cruel destin m'excuse inexorable, Excuse légitime en la necesssité, Qui retranche le plus de ma félicité.
Berenice.	Berenice.
Le reſpect qu’aux parens on doit n’eſt plus tenaOù quelque paßion chez eux déraiſonnable (ble, Nous coupe le paſſage à vn bon heur qui fuit Auec l’occaſion comme vn ſonge la nuit, Nature les oblige à tout ce que pourchaſſe La beſte plus cruelle à ſa petite race, S’ils enfreignent premiers vne ſi ſainte loy, Que l’on leur face tort de ma part ie ne croy, A préferer ſon mieux où ſon mieux ſe preſente, Que ſi telle raiſon vous ſemble inſuffiſante, Conſiderez, Madame, vn baume gracieux Que deſſur nos diſcors diſtilleront les Cieux;	Le respect qu'aux parents on doit n'est plus tenaOù quelque passion chez eux déraisonnable (ble, Nous coupe le passage à un bon heur qui fuit Avec l'occasion comme un songe la nuit, Nature les oblige à tout ce que pour Sa bête plus cruelle à sa petite race, S'ils enfreignent premiers une si sainte loi, Que l'on leur face tort de ma part ie ne croy, À préférer son mieux son mieux se présente, Que si telle raison vous semble insuffisante, Considerez, Madame, un baume grâce Grâces dess nos discors distilleront les Cieux;
Vne eau qui les étouffe en leur naiſſante flame, Außi tôt que deux cors animez par vne ame, Traînent bon-gré mal-gré les pires ennemis A vouloir le paßé endeuenant amis.	Une eau qui les étouffe en leur naissante flamme, Aussi tôt que deux cors animés par fois, Traînent bon-gré malgré les pires ennemis A vouloir le passé enduenant amis.
Dd 4	Déd 4
Philagnie.	Philagnie.
Nos diſputes ſe font deſſur l’incertitude, Ce beau Prince qui tient le monde en ſeruitude, Voulut de galantiſe vn plaiſir auançer, Qu’il ſçait que ie ne puis iamais recompenſer, Afin que ſa memoire en mon ame demeure, Et n'en reſorte point que premier ie ne meure;	Nos disputes se font dessur l'incertitude, Ce beau Prince qui tient le monde en servitude, Voulut de galantise un plaisir auançer, Qu'il sait que je ne puis jamais récompenser, Afin que sa mémoire en mon âme demeure, Et n'en résorte point que premier ie ne meure;
Trop de meilleurs partis l’attendent chaque iour, Où les difficulteZ ne dißipent l’amour, qu'eſperer te reuoir me ſent vne folie, Ioint que de tous ſermens l’impoßible délie.	Trop de meilleurs partis l'attendent chaque jour, Où les difficultés ne dissipent l'amour, qu'espérer te revoir me sent une folie, Joint que de tous serments l'impossible délie.
Berenice.	Berenice.
Voicy, belle Princeſſe, où l’on ſe peut fier, Et dequoy ſa conſtance abſent iuſtifier, Icy ſa propre main exprime ſa penſée, e ſans plus vôtre veuë y penetre baißée, Abſoudre du ſoupçon qu’aurieZ peu cençeuoir:	Voici, belle Princesse, où l'on se peut fier, Et dequoy sa constance absent justifier, Ici sa propre main exprime sa pensée, eu sans plus votre vue y penetre baissée, Absoudre du soupçon qu'auriez peu cençeuoir:
Au reſte le quittant, ſes parolles dernieres Iurerent de vos yeux les charmantes lumieres, Qu'amour ſoudain nos pas luy feroit retraçer, Pour venir de ſon heur le vray cors embraſſer.	Au reste le quittant, ses paroles dernières Jurerent de vos yeux les charmantes lumières, Qu'amour soudain nos pas homme ferait retraçer, Pour venir de son heur le vrai cors embrasser.
Philagnie.	Philagnie.
Ah que vous me liurez de ſenſibles alarmes, Entrons, mes triſtes yeux ſe débondent aux larmes, Et ce papier ouuert n’augmente que leur flus, A mon ame ne ſert que de nouuelle glus, ui .	Ah que vous me livrez de sensibles alarmes, Entrons, mes tristes yeux se débondent aux larmes, Et ce papier ouvert n'augmente que leur flus, À mon âme ne sert que de nouvelle glus, .
1 Du moins retiron nous enlieu ſeur où perſonne Semblable paßion honteuſe ne ſoupçonne, Où libre nous puißions enſemble conferer Sur choſe qui a plus à craindre qu’eſperer.	1 Du moins retiron nous enlieu sûr où personne Semblable passion honteuse ne soupçonne, Où libre nous pouvions ensemble conférer Sur chose qui a plus à craindre qu'espérer.
SCENE II.	SCÈNE II.
