A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
DARIUS.	DARIUS.
Ue cherchez-vous icy?	Que cherchez-vous ici?
TIRIBAZE.	TIRIBAZE.
C’eſt par ordre du Roy.	C'est par ordre du Roi.
’y cherchois Aſpaſie.	y cherchois Aspasie.
DARIUS.	DARIUS.
Quelle eſt donc ſon envie?	Quelle est donc son envie?
TIRIBAZE.	TIRIBAZE.
’ignore ſon deſſein.	'ignore son dessein.
DARIUS.	DARIUS.
Ignorez-vous le mien?	Ignorez-vous le mien?
TIRIBAZE.	TIRIBAZE.
J'exécute ſon ordre, & n’examine rien.	J'exécute son ordre, et n'examine rien.
DARIUS.	DARIUS.
Cet ordre, quel qu’il ſoit, couvre quelque injuſtice, Et vonle mame en elt la cadie, ouudauiapiice.	Cet ordre, quel qu'il soit, couvre quelque injustice, Et vonle mame en ellet la cadie, ouudauiapiice.
Vos perfides conſeils empoiſonnent le Roy.	Vos perfides conseils empoisonnent le Roi.
TIRIBAZE.	TIRIBAZE.
Eſt-ce à vous, Prince ingrat, à vous plaindre de moy?	Est-ce à vous, Prince ingrat, à vous plaindre de moi?
Apres l’affront ſanglant dont vous ſoüillez ma gloire, Croyez tout, j’y conſens, je vous laiſſe tout croire.	Après l'affront sanglant dont vous soüillez ma gloire, Croyez tout, j'y consens, je vous laisse tout croire.
Quand je vous fais régner, eſt-ce trop de vouloir Que Nitocris-ait part au ſouverain Pouvoir?	Quand je vous fais régner, est-ce trop de vouloir Que Nitocris-ait part au souverain Pouvoir?
Je ne m’expliquay point, mais vous deviez m’entendre;	Je ne m'expliquai point, mais vous deviez m'entendre;
L’Etat, le Roy, mon rang, mon nom, vous doit apprendre Qu’un ſang cõme le mien vaut bien celuy des Roys, Voſtre Frere n’a pas voſtre âge, vos exploits;	L'État, le Roi, mon rang, mon nom, vous doit apprendre Qu'un sang comme le mien vaut bien celui des Rois, Votre Frère n'a pas votre âge, vos exploits;
Mais voſtre Frere eſt juſte, & ſon ſang joint au nôtre, Sçaura vanger ma gloire aux dépens de la vôtre.	Mais votre Frère est juste, et son sang joint au nôtre, Saura venger ma gloire aux dépens de la vôtre.
Il aura ce qu’il aime, & pour vous faire voir Quel ſera mon triomphe, & voſtre deſeſpoir, Apprenez que du Roy l’ardente jalouſie Veut contre ſon Rival s’aſſurer d’Aſpaſie, Qu’il veut vous l’enlever, & l’épouſer demain, Et croyez que j’ay mis ces fureurs dans ſon ſein.	Il aura ce qu'il aime, et pour vous faire voir Quel sera mon triomphe, et votre désespoir, Apprenez que du Roy l'ardente jalousie Veut contre son Rival s'assurer d'Aspasie, Qu'il veut vous l'enlever, et l'épouser demain, Et croyez que j'ai mis ces fureurs dans son sein.
DARIUS.	DARIUS.
Il l’épouſe demain, & tu me l’oſes dire?	Il l'épouse demain, et tu me l'oses dire?
Toy, perfide, la honte & l’horreur de l’Empire, Tu me traites d’ingrat?	Toi, perfide, la honte et l'horreur de l'Empire, Tu me traites d'ingrat?
Qu’attendois-tu de moy?	Qu'attendais-tu de moi?
Devois-je couronner un ſang ſorty de toy?	Devais-je couronner un sang sorti de toi?
Ne comptes-tu pour rien ma longue patience, Oui te laiſſe joüir d’une injuſte puiſſance, Et flatant ton orgueil, a fait humilier Un Prince comme moy juſques à te prier:	Ne comptes-tu pour rien ma longue patience, Oui te laisse joüir 'une injuste puissance, Et flattant ton orgueil, a fait humilier Un Prince comme moi jusqu' à te prier:
E ij Quand je me flate encor des bontez de mon Pere, Tu viens me menacer de toute ſa colere;	 Quand je me flatte encor des bontés de mon Père, Tu viens me menacer de toute sa colère;
Et le meilleur des Roys, devient par ta fureur, Le Tyran d’Aſpaſie, & mon Perfécuteur.	Et le meilleur des Rois, devient par ta fureur, Le Tyran d'Aspasie, et mon Perfécuteur.
Tu ſçais qu’elle eſt à moy, quand je brûle pour elle.	Tu sais qu'elle est à moi, quand je brûle pour elle.
Sçache que ſi tu romps une chaîne ſi belle, Sçache que ſi le Roy par tes cruels avis Acheve d’accabler ſa Maîtreſſe & ſon Fils, De ce que je luy doy je ne puis plus répondre, Ma raiſon, mon devoir, commence à ſe confondre, Et je puis, pour agir & pour elle, & pour moy, Devenir plus méchant, & plus cruel que toy.	Sache que si tu romps une chaîne si belle, Sache que si le Roi par tes cruels avis Acheuve d'accabler sa Maîtresse et son Fils, De ce que je lui dois je ne puis plus répondre, Ma raison, mon devoir, commence à se confondre, Et je puis, pour agir et pour elle, et pour moi, Devenir plus méchant, et plus cruel que toi.
J’y périray;	J'y périrai;
mais croy que ta perte eſt certaine, Quę les bontez du Roy vont plus loin que ſa haine, Et qu’il m’eſtime aſſez pour trembler, pour mourir, Ou me taiger du coup qui me lena penr.	mais crois que ta perte est certaine, Qu' es bonté du Roi vont plus loin que sa haine, Et qu'il m'estime assez pour trembler, pour mourir, Ou me taiger du coup qui me lena penr.
SCENEIA.	SCENEIA.
PIRCIHALE, MAICERIS.	PIRCIHALE, MAICERIS.
TIRIBAZE.	TIRIBAZE.
VA pouſſer juſqu’au bout ton audace rebelle.	VA pousser jusqu'au bout ton audace rebelle.
NITOCRIS.	NITOCRIS.
Qu'avez-vous réſolu contre un Prince infidelle?	Qu'avez-vous résolu contre un Prince infidèle?
Il reſpire, & je meurs de honte & de douleur.	Il respire, et je meurs de honte et de douleur.
De quels ſanglans projets, de quel foudre vangeur Avez-vous contre un Traître armé voſtre colere?	De quels sanglants projets, de quel foudre vengeur Avez-vous contre un Traître armé votre colère?
Remettez-vous ſa perte aux fureurs de ſon Pere?	Remettez-vous sa perte aux fureurs de son Père?
Je ſuis Fille, Seigneur;	Je suis Fille, Seigneur;
mais l’orgueil de mon ſang, Nourry par vos leçons, enflé par voſtre rang, Ne me laiſſera point ſurvivre à cet outrage.	mais l'orgueil de mon sang, Nourri par vos leçons, enflé par votre rang, Ne me laissera point survivre à cet outrage.
Plus noſtre Sexe eſt foible, & plus il a de rage;	Plus notre Sexe est faible, et plus il a de rage;
Ou la mort d’un Ingrat, ou mon propre trépas.	Où la mort d'un Ingrat, ou mon propre trépas.
Mais je vous parle en vain, vous ne m’écoutez pas.	Mais je vous parle en vain, vous ne m'écoutez pas.
TIRIBAZE.	TIRIBAZE.
Non, ma Fille, & je ſonge à la plus courte voye Qui mene ma vengeance au comble de ſa joye.	Non, ma Fille, et je songe à la plus courte voie Qui mène ma vengeance au comble de sa joie.
Darius va périr;	Darius va périr;
tranſporté, furieux, Sur le point d’oublier la Nature, & les Dieux, En faveur de ſa flâme, il va tout entreprendre.	transporté, furieux, Sur le point d'oublier la Nature, et les Dieux, En faveur de sa flamme, il va tout entreprendre.
Aux tendreſſes du ſang s’il ſe laiſſe ſurprendre, Jeune, Amant, obſedé par des Amis flateurs, Qui ſçauront irriter ſes jalouſes fureurs, Il n’épargnera rien pour avoir ce qu’il aime.	Aux tendresses du sang s'il se laisse surprendre, Jeune, Amant, obsédé par des Amis flatteurs, Qui sauront irriter ses jalouses fureurs, Il n'épargnera rien pour avoir ce qu'il aime.
C’eſt par là que je puis me valiger du Reoy meſme;	C'est par là que je puis me valiger du Reois même;
Je l’abhorre dans l’ame, & l’affront de ſon Fils Rend preſent a mes yeux le rerus d’Amcitris.	Je l'abhorre dans l'âme, et l'affront de son Fils Rend présent à mes yeux le rerus d'Amcitris.
Vangeons-nous de tous deux.	Vengeons-nous de tous deux.
NITOCRIS.	NITOCRIS.
Quel deſſein eſt le voſtre?	Quel dessein est le vôtre?
TIRIBAZE.	TIRIBAZE.
De les perdre tous deux, d’in moler l’un par l’autre;	De les perdre tous deux, d'in moler l'un par l'autre;
De régner.	De régner.
Ma fureur, le temps, l’occaſion, Tout rallume le feu de mon ambition.	Ma fureur, le temps, l'occasion, Tout rallume le feu de mon ambition.
Noble ardeur de rêgner que je voulois ſuſpendre, Parle, parle à mon cœur, tu peux te faire entendre.	Noble ardeur de rêgner que je voulais suspendre, Parle, parle à mon cœur, tu peux te faire entendre.
Ma Fille, je voulois couronner ton Epoux;	Ma Fille, je voulais couronner ton Époux;
Mais Darius indigne & du Trône, & de nous;	Mais Darius indigne et du Trône, et de nous;
Ariarathe encor moins digne que ſon Frere, Doit ainſi que le Roy faire place à ton Pere.	Ariarathe encor moins digne que son Frère, Doit ainsi que le Roi faire place à ton Père.
NITOCRIS.	NITOCRIS.
Que ne vous doy-je point pour un eſpoir ſi doux!	Que ne vous dois-je point pour un espoir si doux!
La vie eſt un bienfait que j’ay reçeu de vous;	La vie est un bienfait que j'ai reçu de vous;
E iij Mais quel que ſoit ce bien que je doy reconnoître, C’eſt plus de me vanger, que de m’avoir fait naître.	 Ej Mais quel que soit ce bien que je dois reconnaître, C'est plus de me venger, que de m'avoir fait naître.
TIRIBAZE.	TIRIBAZE.
Quand ces beaux ſentimens m’attẽdriſſent pour toy, Plus j’aime à te vanger, plus je ſens malgré moy, Que d'unn grand projet le peril m’epouvan̂te.	Quand ces beaux sentiments m'attẽdrissent pour toi, Plus j'aime à te venger, plus je sens malgré moi, Que d'un grand projet le péril m'epouvante.
Rien ne peut raſſurer la Nature tremblante.	Rien ne peut rassurer la Nature tremblante.
NITOCRIS.	NITOCRIS.
Quoy, vous tremblez, Seigneur, quand vous enviſagez Le Trône où vous courez?	Quoi, vous tremblez, Seigneur, quand vous envisagez Le Trône où vous courez?
l’affront que vous vangez?	l'affront que vous vengez?
TIRIBAZE.	TIRIBAZE.
Quand je voy les périls où ma fureur t’entraîne.	Quand je vois les périls où ma fureur t'entraîne.
NITOCRIS.	NITOCRIS.
Ah!	Ah!
c’eſt trop de prudence, où regne tant de haine;	c'est trop de prudence, où règne tant de haine;
Quand l’honneur parle, il faut prendre pour trahiſon Les timides conſeils que donne la raiſon.	Quand l'honneur parle, il faut prendre pour trahison Les timides conseils que donne la raison.
Ou périſſons tous deux, ou vangeons noſtre offence.	Ou périssons tous deux, ou vengeons notre offense.
TIRIBAZE.	TIRIBAZE.
Ton courage me rend une entiere aſſurance.	Ton courage me rend une entière assurance.
Vangeons-nous promptement, perdons nos Ennemis, Faiſons armer le Roy contre ſon propre Fils;	Vengeons-nous promptement, perdons nos Ennemis, Faisons armer le Roi contre son propre Fils;
Mais envoyons au Fils des Amis infidelles, Qui feignant de ſervir ſes fureurs criminelles, Par un zele trompeur, loin de le ſecourir, Aideront ſeulement à le faire périr.	Mais envoyons au Fils des Amis infidèles, Qui feignant de servir ses fureurs criminelles, Par un zèle trompeur, loin de le secourir, Aideront seulement à le faire périr.
Toy, cependant ſoutien l’eſpoir d’Ariarathe;	Toi, cependant soutien l'espoir d'Ariarathe;
Mais il eſt temps d’agir.	Mais il est temps d'agir.
Tout nous ſert, tout nous Tout eſt icy pour nous, trouble, confuſion, [ flate, Vengeance, jalouſie, amour, ambition.	Tout nous sert, tout nous Tout est ici pour nous, trouble, confusion, [ flatte, Vengeance, jalousie, amour, ambition.
Fin du Quairiéme Acte.	Fin du Quairième Acte.
ACTE V	ACTE V
SCENE PREMIERE NITOCRIS, CLEONNE.	SCÈNE PREMIÈRE NITOCRIS, CLEONE.
mn Mrnπb fnds CLEONNE.	Un Mrnπb fnds CLEONE.
Uelle eſt cette allégreſſe au milieu des aliainlede, Vous entendez par tout un bruit de voix & d’armes;	Uelle est cette allégresse au milieu des aliainlède, Vous entendez par tout un bruit de voix et d'armes;
On voit par tout du ſang, des Mourans, & des Morts.	On voit par tout du sang, des Mourants, et des Morts.
NITOCRIS.	NITOCRIS.
C’eſt ce ſpéctacle affreux qui fait tous mes trãſports.	C'est ce spéctacle affreux qui fait tous mes transports.
Je triomphe, Cleonne, en ce deſordre extréme;	Je triomphe, Clonne, en ce désordre extrême;
Darius m’a vangée en ſe perdant luy-meſme.	Darius m'a vengée en se perdant Ah-même.
Sur le point d’enlever l’Objet qui l’a charmé, Par un avis ſecret Artaxerce allarmé, Vient d’armer contre luy toute ſa jalouſie.	Sur le point d'enlever l'Objet qui l'a charmé, Par un avis secret Artaxerce alarmé, Vient d'armer contrefois toute sa jalousie.
Ce combat, où tous deux diſputoient Aſpaſie, Par des coups muruels ſans-doute enſanglanté.	Ce combat, où tous deux disputaient Aspasie, Par des coups muruels sans-doute ensanglanté.
SCENE II.	SCÈNE II.
NITOCRIS, TIRIBAZE.	NITOCRIS, TIRIBAZE.
TTRTBAZE.	TTRTBAZE.
LE Sort trompe l’eſpoir dont je m’eſtois flaté.	LE Sort trompe l'espoir dont je m'étais flatté.
Dieux!	Dieux!
NITOCRIS.	NITOCRIS.
TIRIBAZE.	TIRIBAZE.
Mais j’eſpere encor.	Mais j'espère encor.
NITOCRIS.	NITOCRIS.
Ma vengeance eſt perduë.	Ma vengeance est perdue.
Qu’un coup de foudre, ô Ciel!	Qu'un coup de foudre, ô Ciel!
ou me vange, ou me tuë.	ou me venge, ou me tue.
TIRIBAZE.	TIRIBAZE.
Darius agité d’un combat violent, Sur les devoirs du ſang, incertain, chancelant, Preſſé par des Flateurs qui l’obſedent ſans ceſſe, Voyant le Roy tout preſt d’épouſer la Princeſſe, Il la veut enlever.	Darius agité d'un combat violent, Sur les devoirs du sang, incertain, chancelant, Pressé par des Flateurs qui l'obsèdent sans cesse, Voyant le Roi tout prêt d'épouser la Princesse, Il la veut enlever.
Le Roy, par mes avis, Apprend, & veut punir l’attentat de ſon Fils.	Le Roi, par mes avis, Apprend, et veut punir l'attentat de son Fils.
Accompagné des Siens, dans un étroit paſſage, Il marque tous ſes pas par un affreux carnage;	Accompagné des Siens, dans un étroit passage, Il marque tous ses pas par un affreux carnage;
Il fuit le Raviſſeur.	Il fuit le Ravisseur.
Je ſeconde le Roy;	Je seconde le Roi;
Ariarathe armé pour ſon Pere, & pour toy, Voit ſon ſang fe répandre, & tomber ſon Epée.	Ariarathe armé pour son Père, et pour toi, Voit son sang se répandre, et tomber son Épée.
Cependant Darius malgré tout ſon couroux, Tremble en voyant ſon Pere, & tombe à ſes genoux.	Cependant Darius malgré tout son courroux, Tremble en voyant son Père, et tombe à ses genoux.
On l’arreſte, & voila ta premiere Victime.	On l'arrête, et voilà ta première Victime.
NITOCRIS.	NITOCRIS.
Il va donc receyoir la peine de ſon crime.	Il va donc recevoir la peine de son crime.
C’eſt aſſez, achevez, & preſſez ſon trépas.	C'est assez, achevez, et pressez son trépas.
TIRIBAZE.	TIRIBAZE.
Sçais-tu quel eſt du Roy la peine & l’embarras?	Sais-tu quel est du Roi la peine et l'embarras?
Ce Pere aimant ſon Fils juſqu’à l’idolâtrie, Cherche quelque prétexte à luy ſauver la vie;	Ce Père aimant son Fils jusqu'à l'idolâtrie, Cherche quelque prétexte à M sauver la vie;
Mais ne pouvant ſouffrir un crime plein d’horreur, Autant que ſa tendreſſe écoutant ſa fureur, Pere trop indulgent, & Juge inéxorable, Il ſouffre en ce combat un tourment qui l’accable.	Mais ne pouvant souffrir un crime plein d'horreur, Autant que sa tendresse écoutant sa fureur, Père trop indulgent, et Juge inéxorable, Il souffre en ce combat un tourment qui l'accable.
Mais à quelque party qu’il ſe laiſſe emporter, Ia gloire en cet état n’a rien a rédouter;	Mais à quelque parti qu'il se laisse emporter, Ia gloire en cet état n'a rien a rédouter;
Par le ſang de ſon Fils, ou par ſon hymenée, Tu te verras bientoſt vangée, ou couronnée.	Par le sang de son Fils, ou par son hyménée, Tu te verras bientôt vengée, ou couronnée.
NITOCRIS.	NITOCRIS.
Me pouvez-vous parler d’un Hymen odieux?	Me pouvez-vous parler d'un Hymen odieux?
La Couronne à ce prix eſt horrible à mes yeux.	La Couronne à ce prix est horrible à mes yeux.
Je déteſte à jamais Darius, & ſon Frere.	Je déteste à jamais Darius, et son Frère.
Darius me préfere une indigne Etrangere;	Darius me préfère une indigne Étrangère;
Et ſon Frere bleſſé, malheureux, outragé, A vû couler ſon ſang, & ne s’eſt point vangé.	Et son Frère blessé, malheureux, outragé, A vu couler son sang, et ne s'est point vengé.
Le Lâche oſe encor vivre, & me laiſſer en bute A tout ce qu’a d’affreux l’opprobre de ma chûte.	Le Lâche ose encor vivre, et me laisser en bute À tout ce qu'a affreux l'opprobre de ma chute.
Apres tant de mépris, d’affionts, & de refus, Ne ſongez qu’à régner, & meure Darius.	Après tant de mépris, d'affionts, et de refus, Ne songez qu'à régner, et meure Darius.
TIRIBAZE.	TIRIBAZE.
Nul ne ſent comme moy cette ſoif de l’Empire, Et toute autre grandeur ne ſçauroit me ſuffire;	Nul ne sent comme moi cette soif de l'Empire, Et toute autre grandeur ne saurait me suffire;
Mais ſur le point de perdre & le Pere, & le Fils, Je manque ce grand coup, le Sort nous a trahis.	Mais sur le point de perdre et le Père, et le Fils, Je manque ce grand coup, le Sort nous a trahis.
A vec quelque ſuccés ſuis-je ſûr de combatre, Pour la perte d’un Fils que ſon Pere idolâtre?	À vec quelque succès suis-je sûr de combattre, Pour la perte d'un Fils que son Père idolâtre?
NITOCRIS.	NITOCRIS.
Manquez-vous de raiſons pour preſſer ſon couroux, Contre un Fils dont le erime horrible aux yeux de tous, Le laiſſe ſans ſecours, ſans Amis, ſans défenſe?	Manquez-vous de raisons pour presser son courroux, Contre un Fils dont le erime horrible aux yeux de tous, Le laisse sans secours, sans Amis, sans défense?
Vous parlant ſeul au Roy, dans ce commun ſilence, Vous avez pour l’armer contre un Fils criminel, L’horreur de l’attentat, un opprobre eternel;	Vous parlant seul au Roi, dans ce commun silence, Vous avez pour l'armer contre un Fils criminel, L'horreur de l'attentat, un opprobre éternel;
Vous avez contre luy l’amour, la jalouſie, La haine d’un Rival trop aimé d’Aſpaſie, oncaemple a donner, des Loix a maintenir, Un affront à vanger, un grand crime à punir.	Vous avez contre deux l'amour, la jalousie, La haine d'un Rival trop aimé d'Aspasie, oncaemple à donner, des Lois a maintenir, Un affront à venger, un grand crime à punir.
TIRIBAZE.	TIRIBAZE.
Oüy, ma Fille, & c’eſt toy dont la noble aſſurance Raſſure ma tendreſſe, & ſoûtient ma veng tance.	Oui, ma Fille, et c'est toi dont la noble assurance Rassure ma tendresse, et soutient ma veng tance.
Sans toy, toûjours pour toy trẽblant, foible, étonné.	Sans toi, toujours pour toi tremblant, faible, étonné.
Le Roy vient.	Le Roi vient.
Laiſſe-nous.	Laisse-nous.
dCBNVEIII.	dCBNVEII.
LE ROY, TIRIBAZE.	LE ROY, TIRIBAZE.
DDROY.	DDROY.
AXI, PIſſice ihfortunê!	AXI, PIssice ihfortunê!
Mon Fils, ce Fils ſi cher, a perdu l’innocence.	Mon Fils, ce Fils si cher, a perdu l'innocence.
Seigneur.	Seigneur.
TIRIBAZE.	TIRIBAZE.
u d lee ns, Tu peux enfin joüir de ta vengeance;	 Tu lee ns, Tu peux enfin jouir de ta vengeance;
Tes conſeils, Tiribaze, ou plutoſt mon amour, Coûtent à Darius & l’honneur, & le jour;	Tes conseils, Tiribaze, ou plutôt mon amour, Coûtent à Darius et l'honneur, et le jour;
Car enfin, il faut bien contenter ma juſtice.	Car enfin, il faut bien contenter ma justice.
TIRIBAZE.	TIRIBAZE.
Je ſçay ce que vous coûte un ſi grand ſacrifice.	Je sais ce que vous coûte un si grand sacrifice.
Quand il faut condamner, & perdre un Fils ſi cher, C’eſt un Arreſt qu’un Pere a peine à s’arracher.	Quand il faut condamner, et perdre un Fils si cher, C'est un Arrêt qu'un Père a peine à s'arracher.
J’ay tâché d’excuſer cet effroyable crime;	J'ai tâché d'excuser cet effroyable crime;
Mais je ne voy qu’un gouffre où ma raiſon s’abîme, Quand je voy Darius en Rival furieux S abandonner au crime, enſanglanter ces Lieux, Attenter ſur ſon Pere.	Mais je ne vois qu'un gouffre où ma raison s'abîme, Quand je vois Darius en Rival furieux S abandonner au crime, ensanglanter ces Lieux, Attenter sur son Père.
LE ROY.	LE ROY.
Epargne un Fils coupable, Et laiſſe-moy le voir d’un œil plus favorable.	Épargne un Fils coupable, Et laisse-moi le voir d'un œil plus favorable.
Je ſçay que mes Amis à mes pieds renverſez, Qu’Ariarathe meſme au nombre des Bleſſez, Et preſque tout ſon ſang ſortant de ſa bleſſure, Doit contre Darius revolter la Nature.	Je sais que mes Amis à mes pieds renversés, Qu'Ariarathe même au nombre des Blessés, Et presque tout son sang sortant de sa blessure, Doit contre Darius révolter la Nature.
Mais tu n’ignores pas que dés qu’il m’a pû voir, En luy l’amour du ſang a bien fait ſon devoir.	Mais tu n'ignores pas que dès qu'il m'a pu voir, En tu l'amour du sang a bien fait son devoir.
Sa rage devenant incertaine & timide, Acheve enfin, luy dis-je, acheve, Parricide.	Sa rage devenant incertaine et timide, Acheve enfin, lui dis-je, achève, Parricide.
A ces mots plus troublé, par un effroy ſoudain, Les armes à mes pieds luy tombant de la main;	À ces mots plus troublé, par un effroi soudain, Les armes à mes pieds te tombant de la main;
Que ranois-ſe, diteil:	Que ranais-se, diteil:
mon aveugle colere A preſque, juſtes Dieux!	mon aveugle colère A presque, justes Dieux!
aſſaſſiné mon Pere.	assassiné mon Père.
Là ramaſſant le Fer, par un ſoudain tranſport, Son deſeſpoir ſans moy m’euſt vangé par ſa mort.	Là ramassant le Fer, par un soudain transport, Son désespoir sans moi m'eût vengé par sa mort.
TIRIBAZE.	TIRIBAZE.
A ce faux repentir vous laiſſez-vous ſurprendre?	À ce faux repentir vous laissez-vous surprendre?
Ce remords dont ſon cœur ne ſçauroit ſe défendre, Eſt-ce un reſpect qui partd’un cœur tendre & ſoûmis?	Ce remords dont son cœur ne saurait se défendre, Est-ce un respect qui partd'un cœur tendre et soumis?
Je n’irriteray point un Pere contre un Fils;	Je n'irriterai point un Père contre un Fils;
Mais je doy l’avertir qu’un Prince veritable, Sur les devoirs du rang doit eſtre inéxorable;	Mais je dois l'avertir qu'un Prince véritable, Sur les devoirs du rang doit être inéxorable;
Que la ſeule juſtice, & la vigueur des Loix, Eſt l’ame de l’Empire, & la gloire des Roys.	Que la seule justice, et la vigueur des Lois, Est l'âme de l'Empire, et la gloire des Rois.
Darius n’euſt jamais attenté ſur ſon Pere, Si vous aviez puny les attentats d’un Frere.	Darius n'eût jamais attenté sur son Père, Si vous aviez puni les attentats d'un Frère.
Contre un crime ſi noir, contre tant de fureur, Et le Peuple, & la Cour, ont conçeu tant d’horreur, Que nul n’oſe parler, ny prendre ſa défenſe.	Contre un crime si noir, contre tant de fureur, Et le Peuple, et la Cour, ont conçu tant d'horreur, Que nul n'ose parler, ni prendre sa défense.
Cependant ce forfait qui les force au ſilence, Ce crime qui feroit frémir vos Ennemis, Eſt conçeu dans le ſein de voſtre propre Fils?	Cependant ce forfait qui les force au silence, Ce crime qui ferait frémir vos Ennemis, Est conçu dans le sein de votre propre Fils?
LE ROY.	LE ROY.
Non, cela ne ſe peut.	Non, cela ne se peut.
Mon Fils n’eſt point perfide;	Mon Fils n'est point perfide;
Il eſt Amant jaloux, & non pas parricide.	Il est Amant jaloux, et non pas parricide.
TIREDALE.	TIREDALE.
J’ay tort de vous preſſer.	J'ai tort de vous presser.
Je me retire.	Je me retire.
O Dieux, A cet aveugle Pere enfin ouvrez les yeux.	Ô Dieux, À cet aveugle Père enfin ouvrez les yeux.
LE ROY.	LE ROY.
Arreſte.	Arrête.
Helas, veux-tu dans ce deſordre extréme, Dans ce trouble cruel, me laiſſer à moy-meſme?	Hélas, veux-tu dans ce désordre extrême, Dans ce trouble cruel, me laisser à moi-même?
Je n’écoute que trop ma flâme, & mon devoir.	Je n'écoute que trop ma flamme, et mon devoir.
Laiſſe parler le ſang, laiſſe-luy quelque eſpoir.	Laisse parler le sang, laisse-lui quelque espoir.
Pour d’autres Criminels quelquefois favorable, Pour un Fils ſi chéry, ſerois-je impitoyable?	Pour d'autres Criminels quelquefois favorable, Pour un Fils si chéri, serais-je impitoyable?
J’entens les Loix gémir, & l’Amour murmurer;	J'entends les Lois gémir, et l'Amour murmurer;
Mais voy le cœur d’un Pere, & l’entens ſoûpirer.	Mais vois le cœur d'un Père, et l'entends soupirer.
Voy-tu pas que ce Fils charmé de la Princeſſe, Eſt né comme ſon Pere avec trop de foibleſſe, Qu’il a mon cœur, mon ſang, & meſmes yeux que moy, Que ſes emportemens ont l’exemple d’un Roy?	Vois-tu pas que ce Fils charmé de la Princesse, Est né comme son Père avec trop de faiblesse, Qu'il a mon cœur, mon sang, et mêmes yeux que moi, Que ses emportements ont l'exemple d'un Roi?
N’as-tu pas vû ce Fils dans ſa plus forte rage, Te le diray-je encor, en voyant mon viſage, En frémir de reſpect, & ſon ardent couroux, Tremblant & deſarmé, tomber à mes genoux?	N'as-tu pas vu ce Fils dans sa plus forte rage, Te le dirai-je encor, en voyant mon visage, En frémir de respect, et son ardent courroux, Tremblant et désarmé, tomber à mes genoux?
On va me l’amener.	On va me l'amener.
TIRIBAZE.	TIRIBAZE.
Hé bien, qu’avec ſes larmes, Il vienne de vos mains faire tomber les armes.	Hé bien, qu'avec ses larmes, Il vienne de vos mains faire tomber les armes.
Souffrez, pour m’épargner ce ſpéctacle odieux, Qu’un éxil eternel m’éloigne de vos yeux.	Souffrez, pour m'épargner ce sptéctacle odieux, Qu'un éxil éternel m'éloigne de vos yeux.
Agréez ma retraite, auſſi-bien ma diſgrace M’a rendu pour jamais indigne de ma place.	Agréez ma retraite, aussi-bien ma disgrâce M'a rendu pour jamais indigne de ma place.
Mon nom deſ-honoré par de cruels refus;	Mon nom des-honoré par de cruels refus;
L’injure d’Ameſtris, celle de Darius, Tout me fait déteſter & mon rang, & ma vie.	L'injure d'Amêtris, celle de Darius, Tout me fait détester et mon rang, et ma vie.
Quel ſujet de triomphe à la haine, à l’envie, De voit de tant d’affronts qu’on fait tõber ſur nous, La honte en rejallir ſur le Trône, & ſur vous.	Quel sujet de triomphe à la haine, à l'envie, De voit de tant d'affronts qu'on fait tonber sur nous, La honte en rejaillir sur le Trône, et sur vous.
Voicy ce Fils, à qui ſon Pere ſacrifie L'eſpoir de ſon amour, le repos de ſa vie, La gloire de ſon rang, la majeſté des Loix, Le ſalut de l’Etat, la ſûreté des Roys.	Voici ce Fils, à qui son Père sacrifie L'espoir de son amour, le repos de sa vie, La gloire de son rang, la majesté des Lois, Le salut de l'État, la sûreté des Rois.
LE COT.	LE COT.
Va, va, je ne ſuis point ſi foible que l’on penſes Je ſçauray contenter ma gloire, ta vengeance, La Nature, l’Amour, Darius, Nitocris.	Va, va, je ne suis point si faible que l'on penses Je saurai contenter ma gloire, ta vengeance, La Nature, l'Amour, Darius, Nitocris.
TIRIBAZE en s’en allant, tout bas.	TIRIBAZE en s'en allant, tout bas.
Rien ne peut nous vanger que le ſang de ſon Fils.	Rien ne peut nous venger que le sang de son Fils.
SCENE IV.	SCÈNE IV.
LE ROY, DARIUS.	LE ROY, DARIUS.
APprochez.	APprochez.
LE ROY.	LE ROY.
DARIUS.	DARIUS.
Fils rebelle, & Rival teméraire, Tuis-je cneor loutem les legalus de ſnon Pere?	Fils rebelle, et Rival téméraire, Tuis-je cneor loutem les légalus de snon Père?
LE ROY.	LE ROY.
Je veux tout oublier, mon Fils, embraſſez-moy.	Je veux tout oublier, mon Fils, embrassez-moi.
DARIUS.	DARIUS.
Moy qu’on croit l’aſſaſſin & d’un Pere, & d’un Roy?	Mo qu’on croit l'assassin et d'un Père, et d'un Roi?
LE ROY.	LE ROY.
Ah, ne vous faites point à mes yeux ſi coupable.	Ah, ne vous faites point à mes yeux si coupable.
Voſtre crime, mon Fils, eſt preſque inexcuſable;	Votre crime, mon Fils, est presque inexcusable;
Je voy quel ſang nous coûte un ſi cruel'effort.	Je vois quel sang nous coûte un si cruel'effort.
L’Etat, les Loix, l’honneur, tout preſſe voſtre mort.	L'État, les Lois, l'honneur, tout presse votre mort.
Il me reſte un moyen pour vous ſauver la vie.	Il me reste un moyen pour vous sauver la vie.
J’offenſay Tiribaze, & ſa Fille eſt trahie.	J'offensai Tiribaze, et sa Fille est trahie.
