AISILAVE PASTORALE.	AISILAUE PASTORALE.
Courage, amy, tout va bien cette fois, Tout en eſt dit vous n’auez plus d’obſtacle, Le cut vinin olent de fane in miracle, Voſtre riual il a reſſuſcité.	Courage, ami, tout va bien cette fois, Tout en est dit vous n'avez plus d'obstacle, Le cut vin olent de fane in miracle, Votre rival il a ressuscité.
Ariſtene.	Aristène.
Me mocquez- vous en mon aduerſité?	Me moquez- vous en mon aduersité?
Cerambe.	Cerambe.
Certes nenny, c’eſt choſe tres certaine.	Certes nenni, c'est chose très certaine.
Ariſtene.	Aristène.
De le conter prenez un peu la peine.	De le compter prenez un peu la peine.
Cerambe.	Cerambe.
Vous entendrez que le Satyre eſtant Dedans le bois que vous cheriſſez tant, Vne voix triſte a frappé ſon oreille, Qui l'a ſaiſi d’vne grande merneille, Et regardant par tout derriere luy Ne voyant rien, de crainte il s’en eſt fuy, Puis tout d’vn train il nous l’eſt venu dire, Dont quelques-vns ſe ſont fort pris à rire, Les autres non, mais bien plus curieux Sont allez voir iuſques deſſus les lieux, Où demeurant quelque temps en ſilence;	Vous entendrez que le Satire étant Dedans le bois que vous chérissez tant, Une voix triste a frappé son oreille, Qui l'a saisi d'une grande merneille, Et regardant par tout derrière lui Ne voyant rien, de crainte il s'en est fui, Puis tout d'un train il nous l'est venu dire, Dont quelques-uns se sont fort pris à rire, Les autres non, mais bien plus curieux Sont allez voir jusques dessus les lieux, Où demeurant quelque temps en silence;
Ils ont ouy la voix qui recommence A ſe douloir, eux remarquant l’endroit:	Ils ont oui la voix qui recommence À se douloir, eux remarquant l'endroit:
Ils ſont allez, alors vn puis eſtroit S’eſt apparu, d’où cette voix pleintiue Encor vn coup s’eſt fait ouyr plus viue, Incontinent l’vn d’eux a répondu, Eſt-ce quelqu'vn qui i’eſt ainſi perdu Dedans ce trou, qui de la ſorte crie.	Ils sont allés, alors un puis étroit S'est apparu, d'où cette seule pleintiue Encor un coup s'est fait ouïr plus vive, Incontinent l'Un d'eux a répondu, Est-ce quelqu'un qui j'est ainsi perdu Dans ce trou, qui de la sorte crie.
La voix répond, las paſteurs ie vous pris Secourez moy, ie ſuis de vos amis, Qui par malheur en ce trou me ſuis mis:	La voix répond, las pasteurs je vous pris Secourez moi, tu suis de vos amis, Qui par malheur en ce trou m suis mis:
Alors vn d’eux ſans tarder dauantage S’en eſt allé leur querir du cordage, Lequel ayant ietté iuſques au bas Du trou profond, ils ont à tour de bras Si bien tiré, que Deolis reſpire, Dont vn chacun ſon grand bon-heur admire De ce qu’il n’eſt aucunement bleßé.	Alors un d'eux sans tarder davantage S'en est allé leur quérir du cordage, Lequel ayant jeté jusques au bas Du trou profond, ils ont à tour de bras Si bien tiré, que Deolis que, Dont un chacun son grand bonheur admire De ce qu'il n'est aucunement blé.
Ariſtene.	Aristène.
I’ay maintesfois ce taillis trauersé Sans auoir veu cette creuſe taſniere,	J'ai maintesfois ce taillis traversé Sans avoir vu cette creuse tasniere,
Cerambe.	Cerambe.
Vn chacun croit que c’eſt vn marniere Du temps iadis, dont l’on auoit couuert Le haut du trou de quelque fagot verd, Puis reietté deſſus de la poußiere;	Un chacun croit que c'est un marnière Du temps jadis, dont l'on avait couvert Le haut du trou de quelque fagot verd, Puis rejetté dessus de la passés;
Ce n’eſt pas tout, oyez l’hiſtoire entiere, Pour abreger au ſortir de ce trou, Où Deolis a bien fait le hibou, It eſt alle viſiter jon btau pere, Lequel apres vne fort grande chere L’a marié, ſi qu’apreſent il a Celé dont l’œil autresfois vous bruſla.	Ce n'est pas tout, oyez l'histoire entière, Pour abréger au sortir de ce trou, Où Dolis a bien fait le hibou, It est allé visiter jon btau père, Lequel après avoir fort grande chère L'a marié, si qu'aprésent il a Celé dont l'œil autrefois vous brûla.
Ariſtene.	Aristène.
Or bien qu’il l’ait, cela fort peu m'imporre.	Or bien qu'il l'ait, cela fort peu m'imporre.
Voicy, voicy qui mon dueil reconforte Cette bergere à qui ie ſuis voüé.	Voici, voici qui mon deuil reconforte Cette bergère à qui personne suis vendre.
Cerambe.	Cerambe.
I'en ſuis bien aiſe, amour en ſoit loũé, Qui iuſte fait que vous gaignez au change, Certainement ſa puiſſance eſt eſirange!	J'en suis bien aise, amour en soit loũé, Qui juste fait que vous gagnez au change, Certainement sa puissance est esirange!
Voyez vn peu quels effects merueillens MtetompagneZ u'attiuemspenueux.	Voyez un peu quels effets merveillens Mtétompagné attiuemspenueux.
Ariſtene.	Aristène.
Encor vn coup en la preſence chere De ce paſteur que ſur tous ie reuere, Vn chaſte hymen ie veus iure & promets.	Encor un coup en la présence chère De ce pasteur que sur tous deux révère, Un chaste hymen ie vus jure et promets.
Cyane.	Chyane.
Ie ſuis à vous en pareil deſormais, Mon tner papeur, de qui iu gratt exquiſe Par deſſus tous arauy ma franchiſe.	Je suis à vous en pareil désormais, Mon ter papeur, de qui ju gratt exquise Par -dessus tous aravi ma franchise.
Cerambe.	Cerambe.
I’ay fait außi les iuges conuoquer Pour voſtre arreſt au neant reuoquer, Il eſt caßé;	J'ai fait aussi les juges convoquer Pour votre arrêt au néant révoquer, Il est cassé;
pour ce tournons viſage, Et regaignons, contens, noſire village, Où de retour vous me fairez plaiſir De contenter mon curieux deſir Touchant l’amour entre vous contractée.	pour ce tournons visage, Et régagnons, contents, nosire village, Où de retour vous me fairez plaisir De contenter mon curieux désir Touchant l'amour entre vous contractée.
Ariſtene.	Aristène.
L’hiſtoire au vray vous ſera recitée:	L'histoire au vrai vous sera récitée:
Or ſus, allons, & retournons ioyeux, D'vn cœur deuot remerciant les dieux Dont la bonté grandement admirable, A bien daigné nous eſtre ſecourable, Lors qu’il ſembloit qu’vn rigoureux deſtin De tout malheur me faiſoit le butin, Heureux celuy dont la vraye prudence Va s'appuyant deſſus leur prouidence.	Or sus, allons, et retournons joyeux, D'un cœur dévot remerciant les dieux Dont la bonté grandement admirable, À bien daigné nous être secourable, Lors qu'il semblait qu'un rigoureux destin De tout malheur me faisait le butin, Heureux celui dont la vraie prudence Va s'appuyant dessus leur providence.
nce	née
nce	née
