1101 A MONSEIGNEVR E MARQVI C 108 DE MONTAVSIER.	1101 À MONSEIGNEUR E MARVI Ç 108 DE MONTAUSIER.
SCLNE IREMILRE NATALIE, MARTIAN.	SCLNE IREMILRE NATALIE, MARTIAN.
MARTIAN.	MARTIAN.
Adame c’eſt à tort que vous verſez des M larmes, Si la mort d’vn mary vous enleuoit vos charmes Vous auriez quelque droit de n'en plus retenir;	Adame c'est à tort que vous versez des M larmes, Si la mort d'un mari vous enleuoit vos charmes Vous auriez quelque droit de n'en plus retenir;
Dans la perte d’vn bien qui ne peut reuenir.	Dans la perte d'un bien qui ne peut revenir.
Le deſplaiſir est iuste autant qu’ineuitable, Mais vostre mary ſeul s’est rendu miſerable, Et ſa mort aujourd’huy rompt les faſcheuſes loix Qui vous ont interdit la liberté du choix.	Le déplaisir est juste autant qu'inévitable, Mais votre mari seul s'est rendu misérable, Et sa mort aujourd'hui rompt les fâcheuses lois Qui vous ont interdit la liberté du choix.
Vous pouuez deſormais aſpirer au plus braue Et d’vn leger effort en faire vostre eſclaue, Ceux qui charment les cœurs ſe laiſſeront charmer Et vous captiuerez tout ce qui peut aimer.	Vous pouvez désormais aspirer au plus brave Et d'amour léger effort en faire esprit esclaue, Ceux qui charment les cœurs se laisseront charmer Et vous captiverez tout ce qui peut aimer.
NATALIE.	NATALIE.
NATALIE.	NATALIE.
– 2 Monſieur quoy qu'Adrian ſoit cher à ma memoire, Si ie pleurois ſa mort ie pleurerois ſa gloire, Et ſemblerois douter de ſa felicité Si mes yeux s’abbaiſſoient a cette laſcheté.	Çà 2 Homme quoi qu'Adrian soit cher à ma mémoire, Sium ie pleurois sa mort ie rais sa gloire, Et semblerais douter de sa félicité Si mes yeux s'abaissaient à cette lâcheté.
Mais vous me faites tort de croire que mon ame Puiſſe ſitoſt bruſler d’vne nouuelle Flamme Et qu’ayant enfermé mon espoux au cercueil, L’esperance d’vn autre en efface le deüil.	Mais vous me faites tort de croire que mon âme Puisse sitôt brûler d'une nouvelle Flamme Et qu'ayant enfermé mon époux au cercueil, L'espérance d'un autre en efface le deuil.
Avraus te n'en conçous point ja mort eſtoit trop belle, Ou pluſtoſt il joüit d’vne vie immortelle, Et l’amour conjugal qui le fait viure en moy M’oblige à luy garder vne eternelle foy.	Avraus te n'en conçous point ja mort était trop belle, Ou plutôt il jouit d'une vie immortelle, Et l'amour conjugal qui le fait vivre en moi M'oblige à M garder une éternelle foi.
MARTIAN.	MARTIAN.
Ne vous figurez pas qu'aucune ialouſie Inquiete d'vn mort la froide fantaiſie:	Ne vous figurez pas qu'aucune jalousie Inquiète d'une mort la froide fantaisie:
Toutes ces paßions portent bien leur flambeau Au trauers des vapeurs qui ſortent du tombeau?	Toutes ces passions portent bien leur flambeau Au travers des vapeurs qui sortent du tombeau?
Ce ſont des mouuements que le corps nous inſpire Et que la mort aueugle exclut de ſon empire	Ce sont des mouvements que le corps nous inspire Et que la mort aveugle exclut de son empire
NATALIE.	NATALIE.
La gloire & non la mort nous couure de leurs coups, Mais quoy que mon mary ne puiſſe eſtre ialoux Ie n'ay pas reſolu d'en eſtre moins fidelle, Natalie eſt à luy, luy ſeul eſt digne d’elle, La veufue d’vn Martyr ſans trop d’abaiſſement Ne ſçauroit receuoir vn Prince pour amant.	La gloire et non la mort nous couvre de leurs coups, Mais quoi que mon mari ne puisse être jaloux Je n'ai pas résolu d'en être moins fidèle, Natalie est à lui, Seigneur seul est digne d'elle, La veuve d' Martyr sans trop d'abaissement Ne saurait recevoir un Prince pour amant.
Quand le ieune Ceſar m’offriroit ſon ſeruice De ſon affection ie ferois mon ſupplice, Et te ta comvait rou auet iout mon pouuoir Par inclination autant que par deuoir.	Quand le jeune César m'offrirait son service De son affection ie ferois mon supplice, Et te ta comvait rou auet jout mon pouvoir Par inclination autant que par devoir.
MARIIAN.	MARIIAN.
La mienne doit donc bien ſe reſoudre au ſilence.	La mienne doit donc bien se résoudre au silence.
NATALIE.	NATALIE.
C’eſt folie d’aimer quand on pert l’esperance.	C'est folie d'aimer quand on pert l'espérance.
MARTIAN.	MARTIAN.
Cruelle as-tu le cœur ſi vuide de pitiè?	Cruelle as-tu le cœur si vid de pitièle?
Ou pour m'exprimer mieux ſi plein d’inimitié?	Ou pour m'exprimer mieux si plein d'inimitié?
Que me voyant mourir dans des langueurs extremes Tu ne puiſſe au moins feindre & dire que tu m’aimes, Tu peux en m’abuſant me conſeruer le iour Et ſans en receuoir contenter mon amour.	Que me voyant mourir dans des langueurs extrêmes Tu ne puisse au moins feindre et dire que tu m'aimes, Tu peux en m'abusant me conserver le jour Et sans en recevoir contenter mon amour.
Mais ô meſchanceté digne d’vne Chreſtienne!	Mais ô méchanceté digne d'une Chrétienne!
Ie t’ay ſauué la vie & tu m’oſtes la mienne, Sans moy tu n’aurois plus ſes funeſtes appas, Et tu les fais autheurs de mon cruel trépas:	Je t'ai sauvé la vie et tu m'ôtes la mienne, Sans moi tu n'aurais plus ses funestes appas, Et tu les fais auteurs de mon cruel trépas:
Ouy c’eſt en ma faueur que l’Empereur t’endure On te verroit ſans moy gemir dans la torture, Et reſpandre du ſang au lieu de ces attraits Qui lancent dans mon cœur leurs homicides traits.	Oui c'est en ma faveur que l'Empereur t'endure On te verrait sans moi gémir dans la torture, Et répandre du sang au lieu de ces attraits Qui lancent dans mon cœur leurs homicides traits.
CENEIE NATALIE, MAXIMIAN, MARTIAN.	CENEIE NATALIE, MAXIMIAN, MARTIAN.
MAXIMIAN.	MAXIMIAN.
T bien quel est le fruict de vostre conference?	T bien quel est le fruit de votre conférence?
LA t'elle de l’amour ou de l’indifference, Et peut-on remarquer lequel est le plus fort De l’eſpoir d’vn viuant ou du regret d’vn mort?	LA t'elle de l'amour ou de l'indifférence, Et peut-on remarquer lequel est le plus fort De l'espoir d'un vivant ou du regret d'un mort?
MARTIAN.	MARTIAN.
Seigneur ſa cruauté ne peut eſtre exprimée, 'ette ingrate beauté s’irrite d’estre aimée, Et met au deſeſpoir vn miſerable amant Qui ne peut ny mourir ny viure qu'en l’aimant.	Seigneur sa cruauté ne peut être exprimée, 'ette ingrate beauté s'irrite d'être aimée, Et met au désespoir un misérable amant Qui ne peut ici mourir ainsi vivre qu'en l'aimant.
MAXIMIAN.	MAXIMIAN.
Außi dans la douleur dont elle eſt tranſportée Ie trouue ta pourſuite vn peu precipitée.	Aussi dans la douleur dont elle est transportée Je trouve ta poursuite un peu précipitée.
Et tu deuois ſans doute attendre quelques iours Que tes pleurs s'eſcoulants fiſſent place aux amours.	Et tu devais sans doute attendre quelques iours Que tes pleurs s'écoulants fissent place aux amours.
NATALIE.	NATALIE.
Il attendra long temps s’il attend que ie l’aime.	Il attendra long temps s'il attend que ici l'aime.
MAXIMIAN.	MAXIMIAN.
Ton humeur dans ſix iours ne ſera pas la meſme, Et ton cœur n'eſtant plus ce qu’il eſt auiourd’huy S’offrira de ſoy-meſme a de moindres que luy, Punepuu puremu quo mal eſt le veufuage, Mais bien toſt ſa rigueur t’abattra le courage, Et te fera former des ſouhaits ſuperflus Pont vne ottaſion qui ne tente nurn plus.	Ton humeur dans six jours ne sera pas la même, Et ton cœur n'étant plus ce qu'il est aujourd'hui S'offrira de soi-même a de moindres que grands, Punepuu puremu quo mal est le veuvage, Mais bien tôt sa rigueur tabattra le courage, Et te fera former des souhaits superflus Pont une otasion qui ne tente nurn plus.
NATALIE.	NATALIE.
C’eſt vne occaſion que ie trouue importune.	C'est une occasion que je trouve importune.
MAXIMIAN.	MAXIMIAN.
Porte tu tant de haine à ta bonne fortune Que l’offre qu'on t’en fait te donne de l’ennuy?	Porte tu tant de haine à ta bonne fortune Que l'offre qu'on t'en fait te donne de l'ennui?
NATALIE.	NATALIE.
Le bon heur d’vn Chreſtien ne depend point d’autruy.	Le bon heur d'un Chrétien ne dépend point d'autrui.
MAXTMTAN.	MAXTMTAN.
Si depend il de moy de te voir malheureuſe.	Si dépend il de moi de te voir malheureuse.
NATALIE.	NATALIE.
NATALIE.	NATALIE.
Comme il depend de vous de me voir amoureuſe.	Comme il dépend de vous de me voir amoureuse.
MAXIMIAN.	MAXIMIAN.
Ie puis te mettre aux fers.	Je puis te mettre aux fers.
NATALIE.	NATALIE.
Malgré leur cruauté I'espere d’eſtre heureuſe & viure en liberté.	Malgré leur cruauté J'espère d'être heureuse et vivre en liberté.
MAXIMIAN.	MAXIMIAN.
Mais te faiſant bruſter.	Mais te faisant brûter.
NATALIE.	NATALIE.
La flamme eſt impuiſſante Pour rendre miſerable vne femme innocente, La miſere n'a point ſa ſource en la douleur Et ie eneſtien a t'ame au deſſus du malheur.	La flamme est impuissante Pour rendre misérable une femme innocente, La misère n'a point sa source en la douleur Et ie mien a t'âme au dessus du malheur.
MAXIMIAN.	MAXIMIAN.
Et cette vanité le remplit d’inſolence, Elle fait éclatter ſa deſobeiſſance Et le porte au mespris des Princes & des Lois.	Et cette vanité le remplit d'insolence, Elle fait éclater sa désobéissance Et le porte au mépris des Princes et des Lois.
NATALIE.	NATALIE.
On ne tient pas pour loy tous les deſirs des Rois gouuent teur paßion sy troune uſſeS contraire.	On ne tient pas pour loi tous les désirs des Rois gouvent teur passion sy troune usse contraire.
MAXIMIAN.	MAXIMIAN.
Mais tu peux iuſtement te reſoudre à me plaire, Queute top te deſſenu deucceprer pour mary D'vn puiſſant Empereur le premier fauory?	Mais tu peux justement te résoudre à me plaire, Queute top te dessenu deucceprer pour mari D'un puissant Empereur le premier favori?
NAIALIE.	NAIALIE.
Quelle loy vous permet de m’y contraindre?	Quelle loi vous permet de m'y contraindre?
MAXIMIAN.	MAXIMIAN.
Auguſte Qui fuſt eſgalement ſage, vaillant & iuſte, Apres beaucoup de gens perdus dans vn combat, Fit publier la loy contre le celibat;	Auguste Qui fût également sage, vaillant et juste, Après beaucoup de gens perdus dans un combat, Fit publier la loi contre le célibat;
La veufue la plus triſte eſtoit remariée, La plus chaſte ceinture à l’enuy delièe, Et les moins amoureux de leur temperament Pour le bien de lEpat prenviem ie nom d’amant.	La veuve la plus triste était remariée, La plus chaste ceinture à l'en delièe, Et les moins amoureux de leur tempérament Pour le bien de lÉpat prenviem un nom d'amant.
Ie veux que deſormais cette loy reſtablie Sous le ioug de l’hymen les plus reueſches lie, Et que ſi dans ce ſoir tu n’as trouué party Le feu de Martian ſoit enfin amorty.	Je veux que désormais cette loi rétablie Sous le joug de l'hymen les plus revêches lie, Et que si dans ce soir tu n'as trouvé parti Le feu de Martian soit enfin amorti.
NATALIE.	NATALIE.
Cette loy n’a plus lieu;	Cette loi n'a plus lieu;
dans le ſiecle ou nous ſommes L’homme manque de terre & non la terre d’hommes, Et vous teſmoignez trop en nous faiſant mourir Qu’il vous importe peu de les voir tous perir.	dans le siècle ou nous sommes L'homme manque de terre et non la terre d'hommes, Et vous témoignez trop en nous faisant mourir Qu'il vous importe peu de les voir tous périr.
Mais qu’ils periſſent tous auant que ie m’engage Sous le joug importun d’vn faſcheux mariage.	Mais qu'ils périssent tous avant que personne m'engage Sous le joug importun d'amour fâcheux mariage.
AAXTMTAI.	ÀAXTMTAI.
En peux-tu ſouhaiter vn plus aduantageux?	En peux-tu souhaiter un plus avantageux?
NATALIE.	NATALIE.
N’eſtant pas volontaire il doit eſtre faſcheux.	N'étant pas volontaire il doit être fâcheux.
MAXIMIAN.	MAXIMIAN.
Et bien il faudra donc le rendre volontaire.	Et bien il faudra donc le rendre volontaire.
Si ie n’ay pû porter Natalie à me plaire, Peut-eſtre vne Chreſtienne a moins de fermeté;	Si ici n'ai pu porter Natalie à me plaire, Peut-être une Chrétienne a moins de fermeté;
Car ie t’offre vn espoux en cette qualité;	Car ici t'offre un époux en cette qualité;
Reçois-le ou reſous toy d’abandonner la vie.	Reçois-le ou résous toi d'abandonner la vie.
N ATALIE.	 NATALIE.
Le trépas d’Adrian me donne de l’enuie, Et vous m’obligerez à vous vouloir du bien Si vous me preparez, vn ſort eſgal au ſien.	Le trépas d'Adrian me donne de l'envie, Et vous m'obligerez à vous vouloir du bien Si vous me préparez, un sort égal au sien.
MAXIMIAN.	MAXIMIAN.
Ie te prepare bien de plus rudes atteintes Qui te feront changer tes brauades en plaintes, Et ſurpaſſant l’ardeur de tes vœux indiſcrets	Je te prépare bien de plus rudes atteintes Qui te feront changer tes bravades en plaintes, Et surpassant l'ardeur de tes vœux indiscrets
MAXIMIAN.	MAXIMIAN.
En vain tu me repliques, Efponje terarilan, on jatriſte aha Dleux, Cu reçois cét affront.	En vain tu me répliques, Efponje terarilan, on jatriste aha Dleux, Cu reçois cet affront.
NATALIE.	NATALIE.
Ha Signeur i’aime mieux.	Ha Signeur j'aime mieux.
Ouy l’horreur de ces lieux eſtonne ma conſtance, Mais s’agiſſant d’vn choix d’vne telle importance Permettez moy Seigneur d’y penſer meurement Et me donnez delay de trois iours ſeulement.	Oui l'horreur de ces lieux étonne ma constance, Mais s'agissant d'un choix d'une telle importance Permettez moi Seigneur d'y penser meurement Et me donnez délai de trois jours seulement.
MAXIMIAN.	MAXIMIAN.
I’approuue ta demande, elle eſt iuſte & i’eſpere Que ton obeiſſance eſteindra ma colere, Que tu prefereras le beau feu d’vn amant Aux ſales cruautez d’vn honteux chaſtiment, Et que ton cœur eſpris d’vne douce eſperance Se rira du vuefuare & ue rinuiſſerence.	J'approuve ta demande, elle est juste et j'espère Que ton obéissance éteindra ma colère, Que tu préféreras le beau feu d'un amant Aux sales cruautés d' Honteux châtiment, Et que ton cœur épris d'une douce espérance Se rira du vuefuare et ue rinuisserence.
Va peſe auec loiſir & ſans affection Ce qui fait pour ou contre en ton election;	Va pète avec loisir et sans affection Ce qui fait pour ou contre en ton élection;
Reſſouuiens toy ſur que Martian t’adore, Que malgré ta froideur ſa flamme dure encore, u’il eſt dans ma faueur, qu’il peut tout à ma Cour Et qu'un heur ſans pareil doit ſuiure ſon amour.	Ressouviens toi sur que Martian t'adore, Que malgré ta froideur sa flamme dure encore, u'il est dans ma faveur, qu'il peut tout à ma Cour Et qu'un heur sans pareil doit suivre son amour.
SCENE III.	SCÈNE III.
NATALIE SEVLE.	NATALIE SEULE.
TANCES.	TANCES.
T A barbare tyran, Dieu ſera mon refuge VEt punira ta rage auec ſeuerité, Il ſera ton teſmoing, ta partie, & ton iuge, Il ſera le vengeur de ma pudicité.	 TANS barbare tyran, Dieu sera mon refuge VEt punira ta rage avec sévérité, Il sera ton témoing, ta partie, et ton juge, Il sera le vengeur de ma pudicité.
En vain pour eſchaper au trenchant de ſon glaiue Tu tiens vn monde aupres de toy;	En vain pour échapper au trenchant de son glaiue Tu tiens un monde auprès de toi;
Contre le berger & le Roy.	Contre le berger et le Roi.
Son bras redoutable ſe leue Et le meſchant n’a point de treue De la douleur & de l’effroy.	Son bras redoutable se lève Et le méchant n'a point de trouve De la douleur et de l'effroi.
Mais grand Dieu remettez mon ame en ſon aſſiette, Rendez à ma raiſon ſa premiere clarte, Diſſipez les brouillards de ma crainte inquiette Et me donnez conſeil contre l’impureté.	Mais grand Dieu remettez mon âme en son assiette, Rendez à ma raison sa première clarté, Dissipez les brouillards de ma crainte inquiette Et me donnez conseil contre l'impreté.
Faut-il qu’vne Chreſtienne eſpouſe vn infidelle Et que tous les iours à ſes yeux Les ſimulacres des faux Dieux, Par vne offrande criminelle,	Faut-il qu'une Chrétienne épouse un infidèle Et que tous les jours à ses yeux Les simulacres des faux Dieux, Par une offrande criminelle,
Soient malgré l’ardeur de ſon zele Preferées au Roy des Cieux.	Soient malgré l'ardeur de son zèle Préférées au Roi des Cieux.
Faut il ô cher eſpoux dont i’adore l’image Qu'vn de vos ennemit peſſede voſtre bien, E le s’agenoüille deuant e tableau de ſon marv.	Faut -il ô cher époux dont j'adore l'image Qu'un de vos ennemit pessede votre bien, E le s'agenouille devant e tableau de son marv.
Faut il que ie renonce à l’honneur du veufuage Pour ſeruir de victime à l’amour d’vn payen?	Faut -il que Seigneur renonce à l'honneur du veufuage Pour servir de victime à l'amour d'un païen?
Faut il que ie conçoiue vne flamme eſtrangere Apres auoir bruſlé pour vous, ue celle qui fuſt entre nous Soit vne flamme paſſagere, Et que vous ſçachant dans la biere, I’entende encor parler d’eſpoux.	Faut -il que beau conçoive une flamme étrangère Après avoir brûlé pour vous, ue celle qui fût entre nous Soit une flamme passagère, Et que vous sachant dans la bête, J'entende encor parler d'époux.
Helas que ce deſtin ſeroit inſupportable, Et que la violence à bien moins de rigueur.	Hélas que ce destin serait insupportable, Et que la violence à bien moins de rigueur.
uoy que ſouffrẽt les corps, l’ame n’eſt point coupable, Tandis que leurs plaiſirs font naiſtre ſa douleur.	Uoi que souffrêt les corps, l'âme n'est point coupable, Tandis que leurs plaisirs font naître sa douleur.
Plus le corps eſt forcé, plus l’ame a de merite, Dieu la regarde en cét effort, Et comme l’eſprit eſt plus fort Que la chair qui le ſollicite, Quelque tempeſte qui l’agitte, Il peut touſiours gaigner le port.	Plus le corps est forcé, plus l'âme a de mérite, Dieu la regarde en cet effort, Et comme l'esprit est plus fort Que la chair qui le sollicite, Quelque tempête qui l'agitte, Il peut toujours gagner le port.
Quoy laſche ie conſens à cette ignominie?	Quoi lâche homme consens à cette ignominie?
ette pensée infame a peu me deceuoir, Et pouuant m'aſſurer contre la tirannie Mon courage vaincu s’oublie du deuoir, Quiconque ſçait mourir, ſçait euiter ſa honte.	Jette pensée infâme a pu me décevoir, Et pouvant m'assurer contre la tyrannie Mon courage vaincu s'oublie du devoir, Quiconque devait mourir, Sait éviter sa honte.
Le tyran ne peut rien ſur moy, Il n’eſt point de ſi dure loy Qu'vn beau deſeſpoir ne ſurmonte, Et l’ame genereuſe & prompte Ne veut d’autre ſecours que ſoy.	Le tyran ne peut rien sur moi, Il n'est point de si dure loi Qu'un beau désespoir ne surmonte, Et l'âme généreuse et prompte Ne veut d'autre secours que soi.
eſt de toy cher poignard que i’attends ma deffence, Tu fus de mon mary fi lelle protecteur Et tu ſeras la clef qui pour ma deliurance Ouuriras ſans effroy la porte de mon cœur.	est de toi cher poignard que j'attends ma défense, Tu fus de mon mari fi lelle protecteur Et tu seras la clef qui pour ma délivrance Ouvriras sans effroi la porte de mon cœur.
Mais puis-je ſans forfait preuenir la nature, Suis- je maiſtreſſe de ce corps, Et Dieu qui qui fit tous ſes reſſors Ne receuroit-il point d’injure Si pour le garantir d’ordure Ie mettois ſon portrait dehors?	Mais puis-je sans forfait prévenir la nature, Suis- je maîtresse de ce corps, Et Dieu qui qui fit tous ses ressort Ne recevrait-il point d'injure Si pour le garantir d'ordure Je mettais son portrait dehors?
Non il aimera mieux voir abbatre ſon temple Que ſi l’impureté s’eſtabliſſoit dedans, Et cette region ne manque point d’exemple De celles dont la mort a trompé les tyrans.	Non il aimera mieux voir abattre son temple Que si l'impreté s'établissait dedans, Et cette région ne manque point d'exemple De celles dont la mort a trompé les tyrans.
Toutesfois ce projet me remplit d’eſpouuante Il n’eſt point de meilleur conſeil Que celuy qui ſuit le ſommeil;	Toutefois ce projet me remplit d'épouvante Il n'est point de meilleur conseil Que celui qui suit le sommeil;
I'ay la paupiere ſi peſante Qu'il faut enfin que i’y conſente Dieu me conſole à mon réueil.	J'ai la paupière si pesante Qu'il faut enfin que j'y consente Dieu me console à mon réueil.
CENEIE.	CENEIE.
SAINCT ADRIAN LVY APPAROIST	SAINCT ADRIAN LUI APAROIST
N DORMANT.	 NORMANT.
A ſœur Dieu te regarde & ta douleur le Mtouche, Aucune impuretè ne ſoüillera ma couche, Il va donner relaſche à tes iuſtes ſouspirs Et te faire bien-toſt compagne des Martyrs On tranſporte par mer nos cendres dans Biſanc.	À sœur Dieu te regarde et ta douleur le Mtouche, Aucune impuretè Il va donner relâche, Il va donner relâche à tes justes soupirs Et te faire bientôt compagne des Martyrs On transporte par mer nos cendres dans Bisanc.
Une nef les va ſuiure, entre auec confiance Dans ce logis ſionuur, & atfiors qua le roc De ſon ancre crochuë aura receu le choc, Va remettre ma main dans ſa place premiere:	Une nef les va suivre, entre prendre confiance Dans ce logis sioncuur, et atfiors qua le roc De son ancre crochue aura reçue le choc, Va remettre ma main dans sa place première:
Außi-toſt le ſommeil volant dans ta paupiere Ie viendray t’annoncer vn agreable ſort Et te declarer l’heure & l’ordre de ta mort.	Aussi-tôt le sommeil volant dans ta paupière Je viendrai t'annoncer un agréable sort Et te déclarer l'heure et l'ordre de ta mort.
NATALIE S’ESVEILLANT.	NATALIE S'ÉVEILLANT.
Que vois je ou qu’ay-je veu?	Que vois -je ou qu'ai-je vu?
ſuis-je encor dans ce ſonge Dont mon ame charmée adore le menſonge,	suis-je encor dans ce songe Dont mon âme charmée adore le mensonge,
Aa Ou ſi mes ſens remis ſe pleignent du reueil Qui oum ue teut tuuur on joniene fommeil?	Aa Ou si mes sens remis se pleignent du réveil Qui oum ève tut tuuur on jonène sommeil?
SCENE III.	SCÈNE III.
FAVSTE, NATALIE.	FAUSTE, NATALIE.
FAVSTE.	FAUSTE.
Adame eſloignons nous, la colere diuine N IMenace ce païs d’vne entiere ruine, Car le gage fatal de ſa proſperité Se va donner aux Grecs qui l’ont mieux merité.	Adame éloignons -nous, la colère divine N IMenace ce pays d'une entière ruine, Car le gage fatal de sa prospérité Se va donner aux Grecs qui l'ont mieux mérité.
Ouy des Marchands Chreſtiens enleuent ſa richeſſe Et vont de ſa dépoüille orner toute la Grece;	Oui des Marchands Chrétiens enlèvent sa richesse Et vont de sa dépouille orner toute la Grèce;
Leurs vaiſſeaux ſont chargez des corps de nos Martyrs, Et le vent attentif à regler ſes ſouspirs Les pouſſe dans Biſance, on diroit que la flotte A quelque Ange eſtably pour ſeruir de pilotte, Voſtre couſine ſuit d’vn regard empreßé Ce que l’eſloignement n'en a point effacé, Et pour courir apres retient ſur le riuage Un Nauire chargé d’vn precieux bagage;	Leurs vaisseaux sont chargés des corps de nos Martyrs, Et le vent attentif à ré ses souspirs Les pousse dans Bisance, on dirait que la flotte À quelque Ange établi pour servir de pilotte, Votre cousine suit d'être regard empressé Ce que l'éloignement n'en a point effacé, Et pour courir après retient sur le rivage Un Navire chargé d'un précieux bagage;
Elle n’attend que vous, ou pour vous dire adieu, ou pem juir enſemoie vn ſi matheureux lieu.	Elle n'attend que vous, ou pour vous dire adieu, ou pem juir ensemoie un si matheureux lieu.
N ATALIE.	 NATALIE.
Fauſte c’eſt mon deſſein, ainſi Dieu le deſire, Ainſi dans mon ſommeil vn beau ſonge m’inspire, Vn ſonge ſi remply d’honneſtes voluptez Qu'à ſon ſeul ſouuenir mes ſens ſont enchantez.	Fauste c'est mon dessein, ainsi Dieu le désire, Ainsi dans mon sommeil un beau songe m'inspire, Un songe si rempli d'honnêtes volupté Qu'à son seul souvenir mes sens sont enchantez.
La veille & le trauail m'auoient faict condeſcendre A prendre le ſommeil qui taſchoit de me prendre, Lors qu’il me ſembla voir mon eſpoux glorieux Dans la pompe & l’eſclat d’vn citoyen des Cieux S’approcher de mon lict;	La veille et le travail m'avaient fait condescendre A prendre le sommeil qui tâchait de me prendre, Lors qu'il me sembla voir mon époux glorieux Dans la pompe et l'éclat d'un citoyen des Cieux S'approcher de mon lit;
ce n'eſtoit plus le meſme, Ce tein ſi decharné, ſi languiſſant, ſi bleſme Ou la mort auoit fait ſes plus triſtes portraits, Ce tein eſtoit vermeil & plus vif & plus frais Que l’incarnat naiſſant d'vne roſe encor tendre;	ce n'était plus le même, Ce tein si décharné, si languissant, si blême Ou la mort avait fait ses plus tristes portraits, Ce tein était vermeil et plus vif et plus frais Que l'incarnat naissant d'une rose encor tendre;
Ses yeux dont le beau feu fuſt caché ſoubs la cendre, Rendoient vn plus grand iour que le Soleil d’eſté Lors qu’aucune vapeur n’affoiblit ſa clarté, Si le moindre zephir flattant ſa cheuelure Oſoit en ſecoüer la brillante dorure, C’eſtoit autant d’éclairs, c’eſtoit autant de feux ui de leur violence ébloüiſſoient mes yeux;	Ses yeux dont le beau feu fut caché sous la cendre, Rendaient un plus grand jour que le Soleil d'était Lors qu'aucune vapeur n'affaiblit sa clarté, Si le moindre zéphyr flattant sa cheelure Osait en secouer la brillante dorure, C'était autant d'éclairs, c'était autant de feux de leur violence ébloüissoient mes yeux;
Qui n’euſt eſté rauy de ſa taille celeſte?	Qui n'eût été ravi de sa taille celeste?
Sa parole, ſon port, ſa deſmarche, ſon geste, Tout ſurprenoit les ſens, tout donnoit du reſpect Les neges & les lys noirciroient à l’aſpect De ſes veſtemens blancs.	Sa parole, son port, sa démarche, son geste, Tout surprenait les sens, tout donnait du respect Les néges et les lys noirciraient à l'aspect De ses vêtements blancs.
Enfin ie ſuis banie Par ſon commandement loing de la Bitinie;	Enfin ici suis banie Par son commandement loin de la Bitinie;
a nouneronne mes oione qiaetepeje u la mer, Et pour tout entreprendre il me ſuffit d’aimer.	a nouvneronne mes oione qiaetepeje la mer, Et pour tout entreprendre il me suffit aimer.
A 4 (STE.	A 4 (STE.
Madame i’ay deſſein d’eſtre de la partie, Car ſouvs quelque tumat que te paſſe ma vie Ie viuray trop heureux ſeruant mon maiſtre en vous.	Madame j'ai dessein d'être de la partie, Car souvs quelque tumat que te passe ma vie Je vivrai trop heureux servant mon maître en vous.
N ATALIE.	 NATALIE.
Fidelle ſeruiteur de mon aimable eſpoux, Ie connois tes vertus & loüe ton courage;	Fidèle serviteur de mon aimable époux, Je connais tes vertus et lue ton courage;
Viens ne differons plus ce glorieux voyage.	Viens ne différons plus ce glorieux voyage.
A STE.	À SITE.
Quoy vous partez, Madame, & nous n’emportons rien?	Quoi vous partez, Madame, et nous n'emportons rien?
A qui pretendez-vous reſeruer voſtre bien?	À qui prétendez-vous réserver votre bien?
Ou penſez-vous aller?	Ou pensez-vous aller?
8 ATALIE.	8 ATALIE.
Quuuenx-tu que r'emporte I'ay la main d’Adrian, c'eſt tout ce qui m'importe, Tout Pour te rejee epe trop pen pour en prendre ſoucy.	Quuenx-tu que rapporte J'ai la main d'Adrian, c'est tout ce qui m'importe, Tout Pour te rejee epe trop pen pour en prendre souci.
STE.	SITE.
Si ne pretends je pas partir vuide d’icy.	Si ne prétends je pas partir vid d'ici.
NATALIE.	NATALIE.
Prends ce que tu voudras tout eſt en ta puiſſance, Pour moy mon ſeul eſpoir eſt en la prouidence, Qui ſçait aſſaiſonner des repas touſiours preſts Aux hoſtes ſans ſoucy des champs & des foreſts.	Prends ce que tu voudras tout est en ta puissance, Pour moi mon seul espoir est en la providence, Qui sait assaisonner des repas toujours prêts Aux hôtes sans souci des champs et des forêts.
S’il me reſtoit du temps, mes richeſſes venduës, Grand nombre de maiſons ſe verroient ſecouruës, Et mes ſoings s’eſtendans ſur les pauures honteux Tadoueirois le ſon des pins necegiteux.	S'il me restait du temps, mes richesses vendues, Grand nombre de maisons se verraient secourues, Et mes soings s'étendant sur les pauvres honteux Tadouirais le son des pins necegiteux.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
NATALIE SEVLE.	NATALIE SEULE.
Rand Dieu dont l’œil ouuert ſur la nature I humaine Ne ſçauroit ſans pitié contempler noſtre peine, Qui faites ſucceder à la plus triſte nuict Les plus brillans rayons du Soleil qui la ſuit.	Rand Dieu dont l'œil ouvert sur la nature I humaine Ne saurait sans pitié contempler notre peine, Qui faites succéder à la plus triste nuit Les plus brillants rayons du Soleil qui la suit.
Qui portez le beau temps dans le ſein de l’orage Graces à vos bontez ie ſuis hors d’eſclauage, Et ce cœur que la crainte auoit ſi mal traicté Reſpire auec douceur l’air de la liberté.	Qui portez le beau temps dans le sein de l'orage Grâces à vos bontés femme suis hors d'esclauage, Et ce cœur que la crainte avait si mal traité Respire auec douceur l'air de la liberté.
