A MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISELLE.	À MADEMOISELLE MADEMOIS ELLE MARTE E MANCINY MME ADEMOISLE.
Sans doute il eſt bien doux, que noſtre nom paroiſſe, Et les noms imprimez, ont vne autre vertu;	Sans doute il est bien doux, que notre nom paraisse, Et les noms imprimés, ont une autre vertu;
Madis a propouniaut vous dire vn impromptu Que ie fis auant-hier, chez certaine Ducheſſe Que ie fus viſiter, il eſt plein de tendreſſe Tous les plus fiers eſprits s’on verroient combatus Car ie ſuis diablement fort ſur les impromptus	Madis a propouniaut vous dire un impromptu Que je fis avant-hier, chez certaine Duchesse Que ie fus visiter, il est plein de tendresse Tous les plus fiers esprits s'on verraient combattus Car ie suis diablement fort sur les impromptus
CATHOS.	CATHOS.
L’impromptu iuſtement, eſt la pierre de touche De l’eſprit, il nous plaiſt, il nous charme, il nous touche.	L'impromptu justement, est la pierre de touche De l'esprit, il nous plaît, il nous charme, il nous touche.
Elcoutez;	Élcoutez;
MASCARILLE.	MASCARILLE.
MAGDELON.	MAGDELON.
Se ſera, Monſieur, auec plaiſir, Et vous pouuez parler auec tout loiſir.	Se sera, Monsieur, avec plaisir, Et vous pouvez parler avec tout loisir.
Dans le iuſte deſir d’oüir tant de merueilles.	Dans le juste désir d'ouïr tant de merveilles.
Nous y ſommes deſia de toutes nos oreilles.	Nous y sommes déjà de toutes nos oreilles.
MASCARILLE.	MASCARILLE.
Oh, oh, ie n’y prenois pas garde, Tandis que ſans ſonger à mal, ie vous regarde.	Oh, oh, nom n'y prenais pas garde, Tandis que sans songer à mal, toujours vous regarde.
Voſtre œil en tapinois, me dérobe mon cœur, Au voleur, au voleur, au voleur, au voleur.	Votre œil en tapinais, me dérobe mon cœur, Au voleur, au voleur, au voleur, au voleur.
CATHOS.	CATHOS.
Ah!	Ah!
mon Dieu, que ces vers ont des attraits puiſſans, Par leur delicateſſe, ils enchantent les ſens, Ces vers là ſont pouſſez ſans nulle flatterie Iuſques au dernier point de la galanterie.	mon Dieu, que ces vers ont des attraits puissants, Par leur délicatesse, ils enchantent les sens, Ces vers là sont poussés sans nulle flatterie Jusques au dernier point de la galanterie.
MASCARILLE.	MASCARILLE.
Ie ne fais rien du tout, qui n’ait l’air caualier.	Je ne fais rien du tout, qui n'ait l'air cavalier.
Ie n’ay rien de Pedant encor moins d’Eſcolier.	Je n'ai rien de Pédant encor moins d'Escolier.
CATHOS.	CATHOS.
Il en eſt eſſoigné, tout autant qu’on peut l’eſtre Et vous auez bien l’art, de vous faire paroiſtre.	Il en est essoigné, tout autant qu'on peut l'être Et vous avez bien l'art, de vous faire paraître.
MASCARILLE.	MASCARILLE.
Auez-vous remarqué?	Avez-vous remarqué?
dans ce commencement Oh, oh, ce n’eſt pas la parler vulgairement;	dans ce commencement Oh, oh, ce n'est pas la parler vulgairement;
Ob, oh, en s’eſtonnant, vn homme qui s’auiſe, Tout d’vn coup, oh, oh, oh, voyez-vous la ſurpriſe?	Ob, oh, en s'étonnant, un homme qui s'avise, Tout d'un coup, oh, oh, oh, voyez-vous la surprise?
Ob, oh,	Ob, oh,
MAGDELON.	MAGDELON.
Ouy ce oh, oh, ne peut pas eſtre mieux.	Oui ce oh, oh, ne peut pas être mieux.
C iij	Ç Cijà
MASCARILLE.	MASCARILLE.
Cela ne ſemble rien.	Cela ne semble rien.
CATHOS.	CATHOS.
Il eſt miraculeux Dt ie ient là Monſieur, de ces choſes ſi belles Qu'on les peut payer.	Il est miraculeux Dt ie jent là Monsieur, de ces choses si belles Qu'on les peut payer.
MAGDELON.	MAGDELON.
Sans doute elles ſont telles, Et i’aymerois bien mieux, auoir fait ce oh, oh, Que tout vn Poëme Epique.	Sans doute elles sont telles, Et j'aimerais bien mieux, avoir fait ce oh, oh, Que tout un Poème Épique.
MASCARILLE.	MASCARILLE.
En effet il eſt beau, Vous auez le gouit bon tudien, vous eſtes hine,	En effet il est beau, Vous avez le gouit bon tudien, vous êtes hine,
MAGDELON, Ie ne l’ay pas mauuais, & ſouuent ie rafine.	MAGDELON, Je ne l'ai pas mauvais, et souvent ie rafine.
MASCARILLE.	MASCARILLE.
Ie m’en apperçois bien.	Je m'en aperçois bien.
Mais n’admirez vous pas!	Mais n'admirez -vous pas!
Ie n’y prenois pas garde, On ne voit rien de bas Dedans cette façon, ie n’y prenois pas garde Elle eſt fort naturelle, & de plus fort mignarde Tandis que ſans ſonger à mal qu’innocemment Comme vn pauure mouton, tandis que bonnement Ie vous regarde, moy c’eſt iuſtement à dire Quele teus conſidere, & que ie vous admire, Ou bien que ie m’amuſe, à contempler vos yeux.	Je n'y prenais pas garde, On ne voit rien de bas Dedans cette façon, votre n'y prenais pas garde Elle est fort naturelle, et de plus fort mignarde Tandis que sans songer à mal qu'innocemment Comme un pauvre mouton, tandis que bonnement Je vous regarde, moi c'est justement à dire Quele teus considère, et que je vous admire, Ou bien que mille m'amuse, à contempler vos yeux.
popre aut en tapinois;	popre aut en tapinais;
peut-on s’cnoncel mieux.	peut-on s'noncel mieux.
Tapinois?	Tapinais?
de ce mot encor que vous en ſemble?	de ce mot encor que vous en semble?
N’eſt-il pas bien choiſi?	N'est-il pas bien choisi?
CATHOS.	CATHOS.
Dieux?	Dieux?
qu’ils ſont bien enſemble;	qu'ils sont bien ensemble;
MAGDELON.	MAGDELON.
Tapinois, en cachette, il ſemble qu’vn bon chat Ait pris vne ſouris, ou bien quelque gros rat :	Tapinais, en cachette, il semble qu' bon chat Ait pris une souris, ou bien quelque gros rat :
Tapincis.	Tapincis.
RIDICVLES.	RIDICULES.
MAGDELON.	MAGDELON.
Il eſt vray cette penſée eſt forte.	Il est vrai cette pensée est forte.
MASCARILLE.	MASCARILLE.
Me dérobe mon cœur, me l’oſte me l’emporte, Au voleur, au voleur, au voleur, au voleur.	Me dérobe mon cœur, me l'ôte me l'emporte, Au voleur, au voleur, au voleur, au voleur.
N’eſt-ce pas peindre au vif, la perte de ſon cœur, Et ne diriez-vous pas?	N'est-ce pas peindre au vif, la perte de son cœur, Et ne diriez-vous pas?
qu’on crie à pleine teſte Apres quelque voleur, arreſte, arreſte, arreſte, Comme en le pourſuiuant, tout ſaiſy de frayeur, Au voleur, au voleur au voleur, au voleur.	qu'on crie à pleine tête Après quelque voleur, arrête, arrête, arrête, Comme en le poursuivant, tout saisi de frayeur, Au voleur, au voleur au voleur, au voleur.
MAGDELON.	MAGDELON.
lauoueray que cela, ians qu’icy le vous hatte, Delecte, & plaiſt, au gouſt de la plus delicate.	lavouerai que cela, jant qu'ici le vous hatte, Delecte, et plaît, au goût de la plus délicate.
Tant le tour eſt galand, ſpirituel & beau.	Tant le tour est galant, spirituel et beau.
MASCARTLLE.	MASCARTLLE.
L’air que i’ay fait deſſus, me ſemble aſſez nouueau, Faut que ie vous le die.	L'air que j'ai fait dessus, me semble assez nouveau, Faut que je vous le die.
CATHOS.	CATHOS.
A quoy bon ne pas dire, Que vous auez appris la Muſique, Ah!	À quoi bon ne pas dire, Que vous avez appris la Musique, Ah!
ſans rire Vous ne faites pas bien.	sans rire Vous ne faites pas bien.
MASCARILLE.	MASCARILLE.
Quoy moy, i’aurois appris La Munque, ai :	Quoi -moi, j'aurais appris La Munque, ai :
famdis.	famdis.
CATHOS.	CATHOS.
Mes ſens, en ſont ſurpris;	Mes sens, en sont surpris;
Car comment donc Monſieur, cela ſe peut-il faire?	Car comment donc Monsieur, cela se peut-il faire?
MASCARILLE.	MASCARILLE.
Les gens de qualité, n’ont rien qui ſoit vulgaire, Sans auoir rien appris, ils ſçauent touſiours	Les gens de qualité, n'ont rien qui soit vulgaire, Sans avoir rien appris, ils savent toujours
42 MAGDELON.	42 MAGDELON.
Ma chere, aſſurément.	Ma chère, assurément.
MASCARILLE.	MASCARILLE.
Voyons ſi voſtre gouſt En trouuera l’air bon, écoutez, ie commence.	Voyons si votre goût En trouvera l'air bon, écoutez, Elle commence.
Hem, hem, la, la, la, la.	Hem, hem, la, la, la, la.
I’ay fort peu de locance Oüais, la brutalité, de la ſaiſon qui fait Eſt furieuſement contraire, à mon projet, Elle a gaſté ma voix;	J'ai fort peu de locance Ouiais, la brutalité, de la saison qui fait Est furieusement contraire, à mon projet, Elle a gâté ma voix;
mais certes il n’importe, C’eſt à la caualier.	mais certes il n'importe, C'est à la cavalier.
Il chante.	Il chante.
Oh, oh, ie n’y prenois pas.	Oh, oh, Madame n'y prenais pas.
CATHOS.	CATHOS.
An!	An!
Dieux, cela mr emporte;	Dieux, cela mr emporte;
Que ie trouue cét air preſſent, paſſionné;	Que été trouve cet air pressent, passionné;
Eſt-ce qu’on n’en meurs point?	Est-ce qu'on n'en meurs point?
MAGDELON.	MAGDELON.
Il eſt aſſaiſonné De la bonne façon;	Il est assaisonné De la bonne façon;
mais dans cette muſique L'on voit bien qu’on a mis, peaueoup de Cromatique.	mais dans cette musique L'on voit bien qu'on a mis, peaueoup de Cromatique.
CATHOS.	CATHOS.
Cét air aſſeurément eſt tout remply d’appas.	Cet air assurément est tout rempli d'appas.
MASCARILLE.	MASCARILLE.
Ditez-moy donc vn peu ſi vous ne trouuez pas La penſée aſſez bien dans le chant exprimée?	Distez-moi donc ainsi peu si vous ne trouvez pas La pensée assez bien dans le chant exprimée?
Au voleur.	Au voleur.
Et coiſine vile periome amſée, Qui pleine de tranſport, ſe mettant en chaleur Bien fort crie, au, au, au, au, au, au, au, voleur, Et tout d’vn coup apres tout comme vne perſonne Eſſoufflée, au voleur.	Et coisine vile périome amsée, Qui pleine de transport, se mettant en chaleur Bien fort crie, au, au, au, au, au, au, au, voleur, Et tout d'un coup après tout comme une personne Essoufflée, au voleur.
Quoy cela vous eſtonne?	Quoi cela vous étonne?
MAGDELON.	MAGDELON.
C’eſt là ſçauoir le fin des choſes, le grand fin, Le fin du fin, tout brille, & tout y charme enfin, Ie vous promets, car i’ay de l’air & des paroles Lamé entauſiaſmée.	C'est là savoir le fin des choses, le grand fin, Le fin du fin, tout brille, et tout y charme enfin, Je vous promets, car j'ai de l'air et des paroles Lamé entausiasmée.
CATHOS.	CATHOS.
Et moy ſans hiperboles Ie n’ay iamais rien veu, de cette force la.	Et moi sans hyperboles Je n'ai jamais rien vu, de cette force la.
MASCARILLE.	MASCARILLE.
an!	an!
tout ce que ie rais me vient comme cela Fort naturellement, & ſans aucune eſtude.	tout ce que ici rais me vient comme cela Fort naturellement, et sans aucune étude.
MAGDELON.	MAGDELON.
C’eſt pour ne pas auoir beaucoup d’inquietude, Et nous perſuader, que la nature auſſi Vous a vrayement traitté, Monſieur, iuſques-icy, comie vne vraye mese, vn peu paſſionnée, Et ce genie ardent, dont ie ſuis eſtonnée, vous fait bien remarquer, pour ſon enfant gaſté.	C'est pour ne pas avoir beaucoup d'inquiétude, Et nous persuader, que la nature aussi Vous a vraiment traité, Monsieur, jusques-ici, comje une vraie meze, un peu passionnée, Et ce génie ardent, dont ils suis étonnée, vous fait bien remarquer, pour son enfant gâté.
MASCARILLE.	MASCARILLE.
a quoy donc paſſez-vous le temps?	à quoi donc passez-vous le temps?
CATHOS.	CATHOS.
Monſieur, à rien du tout.	Monsieur, à rien du tout.
En verité,	En vérité,
MRODELON.	MRODELON.
Par vn ſort incroyable Nous auons demeuré dans vn ieuſne effroyable De diuertiſſement.	Par un sort incroyable Nous avons demeuré dans un jeune effroyable De divertissement.
MASCARILLE.	MASCARILLE.
Ie m’offre à vous mener Le iour qu’il vous plaira, mes Dames, deſtiner joir quelque Comedie, on en doit iouer vne, Dont ie connois l’Autheur, & qui n’eſt pas commune, Que ie ſeray bien aiſe, au moins que nous puiſſiõs ’il ſe peut voir enſemble.	Je m'offre à vous mener Le jour qu'il vous plaira, mes Dames, destiner joir quelque Comédie, on en doit jouer une, Dont rien connais l'Auteur, et qui n'est pas commune, Que ie serai bien aise, au moins que nous puissio il se peut voir ensemble.
MAGDELON.	MAGDELON.
Ah!	Ah!
telles pactions Ne ſont pas de refus.	telles pactions Ne sont pas de refus.
MASCARILLE.	MASCARILLE.
Auſſi ie vous demande Lors que nous ſerons là, que toute voſtre bande Admire, approuue tout, applaudiſſe bien fort, Pour qu’on trouue tout beau, faſſe tout ſon effort Ie veux vous engager, comme on m’en ſollicite, De faire que la piece ait grande reüſſite;	Aussi ici vous demande Lors que nous serons là, que toute votre bande Admire, approuve tout, applaudisse bien fort, Pour qu'on trouve tout beau, fasse tout son effort Je veux vous engager, comme on m'en sollicite, De faire que la pièce ait grande réussite;
Car pour m’en conjurer, ie vous iure ma foy, Que l’Autheur ce matin, m’eſt venu voir chez moy, Qu’à toute heure, en tous lieux il m’en prie & m’en preſſe, Et fait que mes amis me le diſent ſans ceſſeC’eſt la couſtume icy, qu’à des gens comme nous Pour tous les vers qu’ils font, les Poëtes viennent tous Implorer nos bontez, & des pieces nouuelles Faire lecture, afin que nous les trouuions belles Et qu’ils puiſſent auſſi, par là nous engager A leur donner grand bruit.	Car pour m'en conjurer, Seigneur vous jure ma foi, Que l'Auteur ce matin, m'est venu voir chez moi, Qu'à toute heure, en tous lieux il m'en prie et m'en presse, Et fait que mes amis me le disent sans cesseC'est la coutume ici, qu'à des gens comme nous Pour tous les vers qu'ils font, les Poètes viennent tous Implorer nos bontés, et des pièces nouvelles Faire lecture, afin que nous les trouvions belles Et qu'ils puissent aussi, par là nous engager À leur donner grand bruit.
Ie vous laiſſe à juger Si d’vne piece enfin, quoy que nous puiſſions dire.	Je vous laisse à juger Si d'une pièce enfin, quoi que nous puissions dire.
Le parterre iamais, oſe nous contredire.	Le parterre jamais, ose nous contredire.
Pour moy i’y ſuis exact, & dés que quelque Aucheux M’eſt venu conjurer d’eſtre ſon Protecteur, Ie crie auant qu’on ait allumé les chandelles, Que ſes vers ſon pompeux, ſa piece des plus belles.	Pour moi j'y suis exact, et dès que quelque Aucheux M'est venu conjurer d'être son Protecteur, Je crie avant qu'on ait allumé les chandelles, Que ses vers son pompeux, sa pièce des plus belles.
MAGDELON.	MAGDELON.
Non, ne m’en parlez point, Paris, eſt bien char mant, Tous les iours il s’y paſſe, & fort euidem ment Cent choſes que touſiours en Prouince on ignore, Quelque ſpirituelle, & quelque ſoin encore Que lon puine appolter.	Non, ne m'en parlez point, Paris, est bien char mant, Tous les jours il s'y passe, et fort euidem ment Cent choses que toujours en Province on ignore, Quelque spirituelle, et quelque soin encore Que lon puîné appolter.
CATHOS.	CATHOS.
C’eſt aſſez il ſuffit, Perſonne à tout cela, n’a iamais contredit;	C'est assez il suffit, Personne à tout cela, n'a jamais contredit;
Mais, Monſieur, puis qu’enfin nous en ſommes inſtruites Nous ferons ſeurement, tout ce que vous nous dites, Et nous nous récrirons, auſſi comme il faudra Sur tout ce que d’eſprit, & de beau l’on dira.	Mais, Monsieur, puis qu'enfin nous en sommes instruites Nous ferons sûrement, tout ce que vous nous dites, Et nous nous récrirons, aussi comme il faudra Sur tout ce que d'esprit, et de beau l'on dira.
MASCARILLE.	MASCARILLE.
te he vous diray pas du tout, ſi ie deuines Mais ie me trompe fort, ou vous auez la mine, De quelque Comedie, auoir fait le tiſſu.	te hé vous dirai pas du tout, si ie devines Mais Dieux me trompe fort, ou vous avez la mine, De quelque Comédie, avoir fait le tissu.
MAGDELON.	MAGDELON.
Eh!	Eh!
il pouroit bien eſtre, & ſans que l’on l’ait ſçeu De cela quelque choſe.	il pourrait bien être, et sans que l'on l'ait su De cela quelque chose.
MASCARILLE.	MASCARILLE.
Eh!	Eh!
bien ſi bon vous ſemble Ma foy, nous la verrons, quand vous voudrez enſemble;	bien si bon vous semble Ma foi, nous la verrons, quand vous voudrez ensemble;
Mais puis qu’il eſt ainſi, ie veux ſans differer, Ya Relet naponane ley vous deciarer Entre nous, i’en ay fait vne, ie vous l’auouë, Que ie veux dedans peu, faite en ſorte qu’on iouë.	Mais puis qu'il est ainsi, je veux sans différer, Ya Rèlet naponane lei vous déciarer Entre nous, j'en ai fait une, je vous l'avoue, Que ils veux dedans peu, faite en sorte qu'on joue.
CATHOS.	CATHOS.
Et quels Comediens la repreſenteront?	Et quels Comédients la représenteront?
MASCARILLE.	MASCARILLE.
Ah!	Ah!
la belle demande, & ma foy ſe ſeront Les grands Comediens;	la belle demande, et ma foi se seront Les grands Comédiens;
ils en ſont ſeuls capables, Leur recit a touſiours, des graces admirables Dans leurs bouches les vers, ſont beaucoup apparants;	ils en sont seuls capables, Leur récit a toujours, des grâces admirables Dans leurs bouches les vers, sont beaucoup apparants;
Pour les autres on ſçait, qu’ils ſont des ignorans;	Pour les autres on sait, qu'ils sont des ignorants;
Tous leurs geſtes n’ont rien qui ne ſoit du vulgaire, Et comme on parle enfin, recitent d’ordinaire;	Tous leurs gestes n'ont rien qui ne soit du vulgaire, Et comme on parle enfin, récitent d'ordinaire;
Les vers ne ronflent point, qu’articule leur voix, Ils ne s’arreſtent point du toût aux beaux endroits, Et quel moyen a-t’on?	Les vers ne ronflent point, qu'articule leur voix, Ils ne s'arrêtent point du tout aux beaux endroits, Et quel moyen a-t-on?
de les pouuoir connoiſtre Si le Comedien ne les fait pas paroiſtre, S’il n’y fait vne poſe, & n'aduertit par ſa A quels endroits, il faut faire le brou ha ha.	de les pouuoir connaître Si le Comédien ne les fait pas paraître, S'il n'y fait une pose, et n'avertit par sa A quels endroits, il faut faire le brou ha ha.
CATHOS.	CATHOS.
Il eſt vne maniere en effet, qui fait meſme Sentir à ſes Autheurs, tous les attraits d’vn poëme, Et les choſes ſouuent, ne valent du tout rien, o fis ne ſont dans leur iour, & ne ſe diſent bien.	Il est con maniere en effet, qui fait même Sentir à ses Auteurs, tous les attraits d'un poème, Et les choses souvent, ne valent du tout rien, ô fis ne sont dans leur jour, et ne se disent bien.
MASCARILLE monſtrant le ruban de jes tuauſjes.	MASCARILLE montrant le ruban de jes tuausjes.
Ma petite oye eſt-elle à l’habit congruante?	Ma petite oie est-elle à l'habit congruante?
Tout à fait.	Tout à fait.
CATHOS.	CATHOS.
MASCARILLE.	MASCARILLE.
ne lubuncid inomaiiçauante;	ne lubuncid inomaiiçauante;
N’eſt-il pas bien choiſy;	N'est-il pas bien choisi;
MAGDELON.	MAGDELON.
Furieuſement bien C’eſt Perdrijon tout pur.	Furieusement bien C'est Perdrijon tout pur.
MASCARILLE eſtallant ſes canons.	MASCARILLE estallant ses canons.
Ne me direz vous rien Auſſi de mes canons?	Ne me direz -vous rien Aussi de mes canons?
ont-ils l’heur de vous plaire Dites, que vous enſemble?	ont-ils l'heur de vous plaire Dites, que vous ensemble?
MAGDELON.	MAGDELON.
Ah!	Ah!
ie ne m’en puis taire, Et confeſſe qu’ils ont vn tout à fait bon air.	Ne ne m'en puis taire, Et confesse qu'ils ont un tout à fait bon air.
MASCARILLE.	MASCARILLE.
Par ma foy ie me plais, à vous ouïr parler.	Par ma foi Seigneur me plais, à vous ouïr parler.
Ie trouue que leur air, n’a rien que d’admirable, Et ie puis me vanter, qu’il n’eſt rien de ſemblable, Qu’auec raiſon, i’en ſuis tout à fait ſatisfait, Puis qu’ils ont vn quartier, plus que toûs ceux qu’on fait.	Je trouve que leur air, n'a rien que d'admirable, Et je puis me vanter, qu'il n'est rien de semblable, Qu'avec raison, j'en suis tout à fait satisfait, Puis qu'ils ont un quartier, plus que toujours ceux qu'on fait.
MAGDELON.	MAGDELON.
Ie dois bien l’auoüer;	Je dois bien l'auoüer;
car ie n’ay que ie penſe lamais d’antement veu porter Teiegance, Dedans vn ſi haut point.	car ici n'ai que ici pense lamais d'antement vu porter Teiegance, Dedans un si haut point.
Que vous donnez d’éclat A ce que vous auez.	Que vous donnez d'éclat À ce que vous avez.
MASCARILLE luy donnant ſes gands à ſentir.	MASCARILLE était donnant ses gants à sentir.
Mais de voſtre odorat Que la reflexion deſſus ſes gands s’attache.	Mais de votre odorat Que la réflexion dessus ses gants s'attache.
1 MAODELON Ie n’eus iamais d’odeur plus douce que ie ſçache, Et ie puis confeſſer, ſans doute auec raiſon, Qu’ils ſentent en effet, & terriblement bon.	1 MAODELON Je n'eus jamais d'odeur plus douce que ie sçache, Et été puis confesser, sans doute avec raison, Qu'ils sentent en effet, et terriblement bon.
CATHOS.	CATHOS.
foiſej pome rerphe depuio queleluio dee, L’odeur, qui me parût mieux conditionnée.	foisej ome rephe dépuio queleluio dee, L'odeur, qui me parut mieux conditionnée.
MASCARILLE luy faiſant ſentir ſes Et celle-là ?	MASCARILLE était faisant sentir ses Et celle-là ?
cheueux.	cheveux.
MAGDELON.	MAGDELON.
Ie dis auecque verité Que ie la trouue auſſi de bonne qualité, Ie ſens qu’elle me plaiſt, & ſens que ie l’eſtime, A cauſe qu’elle eſt bonne, & qu’enſin le ſublame En eſt certes, touché delicieuſement.	Je dis avec vérité Que on la trouve aussi de bonne qualité, Je sens qu'elle me plaît, et sens que ie l'estime, À cause qu'elle est bonne, et qu'ens le sublame En est certes, touché délicieusement.
MASCARILLE monſtrant ſes plumes, Vous ne me dites rien de mes plumes, comment Les trouuez-vous, enfin?	MASCARILLE montrant ses plumes, Vous ne me dites rien de mes plumes, comment Les trouvez-vous, enfin?
CATHOS.	CATHOS.
On peue bienuire d’elles Qu’elles ſont en effet, effroyablement belles.	On peue bienvire d'elles Qu'elles sont en effet, effroyablement belles.
MASCARILLE.	MASCARILLE.
Vous vous y connoiſſez, ie le vois;	Vous vous y connaissez, Seigneur le vois;
mais encor Sçauez-vous que le brin?	mais encor Savez-vous que le brin?
me couſte vn Louïs d’or Pour moy ſans me vanter, il faut que ie vous die, Que depuis bien long-temps, i’ay pris cette manie De donner par ma foy trop generallement Sur tout ce que l’on voit, de rare & de charmant.	me coûte un Louis d'or Pour moi sans me vanter, il faut que je vous die, Que depuis bien longtemps, j'ai pris cette manie De donner par ma foi trop généralement Sur tout ce que l'on voit, de rare et de charmant.
MAGDELON.	MAGDELON.
Nous ſympathiſons fort enſemble, ie vous iure, Et c’eſt ſans vous mentir, qu’icy ie vous aſſeure Que ie luis dencate, & Iulleuremene Pour tout ce qui me ſert en mon habillement, Et iuſqu’à des chauſſons, ie n’en puis d’ordi naire Souffrir s’il ne ſont faits, de la bonne ouuriere.	Nous sympathisons fort ensemble, je vous jure, Et c'est sans vous mentir, qu'ic ie nous assure Que iecluis dencate, et Julleuremène Pour tout ce qui me sert en mon habillement, Et jusqu'à des chaussons, sans n'en puis d'ordi naire Souffrir s'il ne sont faits, de la bonne ouvrière.
MASCARILLE s'écriant bruſquement.	MASCARILLE s'écriant brusquement.
Mes Dames, ahy, ahy, ahy, de grâce doucement, Ce n’eit pas Dleu me dame, en vier prudamment, De voſtre procedé, i’aurois lieu de me plaindre, Cela n’eſt pas honneſte, & vous me faites crain dre.	Mes Dames, ahi, ahi, ahi, de grâce doucement, Ce n'éit pas Dleu me dame, en vier prudamment, De votre procédé, j'aurais lieu de me plaindre, Cela n'est pas honnête, et vous me faites crain dre.
CATHOS.	CATHOS.
Qu'eſt-ce donc?	Qu'est-ce donc?
qu’auez-vous?	qu'avez-vous?
qui vous trouble, Monſiear.	qui vous trouble, Monsiear.
MASCARILLE.	MASCARILLE.
Toutes deux à la fois, s’attaquer à mon cœur, Me prendre à droit, à gauche, ah certes la partie N’eſt pas du tout égale, & ie vous garantie, Ou puis que vous allez, contre le droit des gens le vais crier au meurtre, & ſortir de ceans.	Toutes deux à la fois, s'attaquer à mon cœur, Me prendre à droit, à gauche, ah certes la partie N'est pas du tout égale, et avec vous garantie, Ou puis que vous allez, contre le droit des gens le vais crier au meurtre, et sortir de céans.
CATHOS.	CATHOS.
Il ne dit rien du tout qu’auec vne maniere rout a fuit agicabie, & qui n’eſt point vulgaire.	Il ne dit rien du tout qu'avec une manière rout a fuit agicie, et qui n'est point vulgaire.
MAGDELON.	MAGDELON.
Il a dedans l’eſprit vn tour;	Il a dedans l'esprit un tour;
mais ſans égal.	mais sans égal.
CATHOS.	CATHOS.
Vous auez bien, Monſieur, plus de peur que de mal, Et voſtre cœur craintif, crie auant qu’on l’eſchorche.	Vous avez bien, Monsieur, plus de peur que de mal, Et votre cœur craintif, crie avant qu'on l'échorche.
MASCARILLE.	MASCARILLE.
I’ay ſujet toutefois, de faire ce reproche:	J'ai sujet toutefois, de faire ce reproche:
Comment diable, ie ſens que quoy que vous diſiez Il eſt depuis la teſte eſcorché iuſqu’aux pieds.	Comment diable, je sens que quoi que vous disiez Il est depuis la tête écorché jusqu'aux pieds.
SCENE X.	SCÈNE X.
MAROTTE, MASCARILLE, CATHOS, MAGDELON.	MAROTTE, MASCARILLE, CATHOS, MAGDELON.
AMRORTE.	AMRORTE.
la ilcilittnde a cols vons	la ilcilittnde a cols vons
MAGDELON.	MAGDELON.
Et qui?	Et qui?
MAROTIE.	MAROTIE.
De Iodelet, qui veut.	De Iodèlet, qui veut.
C’eſt le Vicomte,	C'est le Vicomte,
MAGDELON.	MAGDELON.
Cette viſite eſt prompte.	Cette visite est prompte.
MASCRRILLE.	MASCRILLE.
Quoy!	Quoi!
le Vicomte de.	le Vicomte de.
MAROTIE.	MAROTIE.
C’eſt luy, Monſieur, vray my	C'est lui, Monsieur, vrai mi
MAGDELON.	MAGDELON.
al letemiemes veus .	al letemiemes vus .
MASCARILLE.	MASCARILLE.
C’eſt mon meilleur amy.	C'est mon meilleur ami.
MAGDELON.	MAGDELON.
Viſtes, faites entrer.	Vîtes, faites entrer.
MASCARILLE.	MASCARILLE.
Certes cette aduenture Me charme, & me rauit;	Certes cette aventure Me charme, et me ravit;
car ma foy ie vous jure Que depuis foit long-temps, nous ne nous ſommes veüs.	car ma foi on vous jure Que depuis soit longtemps, nous ne nous sommes vus.
SCENE VI.	SCÈNE VI.
X.	X.
IObhenn, MiAbOnMn JCATHOS, MAGDELON, MAROTTE.	JObhenn, MiAbOnMn JCATHOS, MAGDELON, MAROTTE.
T2 MASCARILLE.	T2 MASCARILLE.
H!	H!
Vicomte, IODELET r'embraſſant l'vn l'autre.	Vicomte, JODELET rembrassant l' l'autre.
Ah!	Ah!
Marquis.	Marquis.
MASCARILLE.	MASCARILLE.
Que tous mee lens émeus Marquent bien le plaiſir que i’ay de ta rencontre.	Que tous mène lents émus Marquent bien le plaisir que j'ai de ta rencontre.
IODELET.	JODELT.
Et la ioye que i’ay, mon viſage le monſtre.	Et la joie que j'ai, mon visage le montre.
MASCARILLE.	MASCARILLE.
Baiſe-moy donc encor, Vicomte, baiſe moy, Ie t’en conjure.	Baise-moi donc encor, Vicomte, baise moi, Je t'en conjure.
IODELET l'ayant baiſé.	JODELT l'ayant baisé.
Il t’en faut de plus doux ma foy	Il t'en faut de plus doux ma foi
MAGDELON.	MAGDELON.
Nous cõmençons ma bonne, enfin d’eſtre connuës?	Nous commençons ma bonne, enfin d'être connues?
Du beau monde chez nous, nous allons eſtre veuës, Puis qu’il prend le chemin de nous y viſiter.	Du beau monde chez nous, nous allons être vues, Puis qu'il prend le chemin de nous y visiter.
MASCARILLE.	MASCARILLE.
Mes Dames, s’il vous plaiſt, de ma part d’ycesprer, D iij (30) Ce Gentilhomme cy;	Mes Dames, s'il vous plaît, de ma part d'ycespérer, D ij à Ce Gentilhomme cy;
ſans que ie le caiolle, Il eſt aſſurément, digne ( ſur ma parolle) D eſtretoidde voas.	sans que personne le caiole, Il est assurément, digne ( sur ma parole) EST estretoidde voas.
70 IODELET.	70 JODELET.
Il eſt iuſte, & de droit De vous venir chez vous, rendre ce qu’on vous doit;	Il est juste, et de droit De vous venir chez vous, rendre ce qu'on vous doit;
Car enſin, vos attraits exigent ſur les hommes Leurs droits ſeigneuriaux.	Car ensin, vos attraits exigent sur les hommes Leurs droits seigneuriaux.
