AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
ie n’ay plus de fille, & le Ciel a permis, Que ce laſche attentat contre moy ſoit commis:	Ce n'ai plus de fille, et le Ciel a permis, Que ce lâche attentat contre moi soit commis:
Ces preſages affreus, qui m'ont fait tant de peines, Eſtoient de mon malheur des marques trop certaines, Ie n’aypas, ſans ſuiet, reſolu mon retour, Auant que le ſoleil nous redonnaſt le iour;	Ces presages affreus, qui m'ont fait tant de peines, Étaient de mon malheur des marques trop certaines, Je n'aipas, sans sujet, résolu mon retour, Avant que le soleil nous redonnât le jour;
Ce n’eſt pas ſans ſuiet, dormant la nuit paſſee, Qu'vn ſonge eſpouuentable a troublé ma penſee, Que mon aimable fille a mes yeux s’eſt fait voir, Le cœur percé de traits, & ſous vn habit noir, Qu'au milieu de ma cour ſes grands ormes ſteriPar miracle, a linſtant, ſont deuenus fertiles, Et que ce beau laurier, dont les ſacrez rameaux, Ont couronné le front de tant deſpoux nouueaux;	Ce n'est pas sans sujet, dormant la nuit passe, Qu'un songe espouuentable a troublé ma pensée, Que mon aimable fille à mes yeux s'est fait voir, Le cœur percé de traits, et sous un habit noir, Qu'au milieu de ma cour ses grands ormes stériPar miracle, à linstant, sont devenus fertiles, Et que ce beau laurier, dont les sacrés rameaux, Ont couronné le front de tant dépoux nouveaux;
Comme s’il euſt ſenty la colere du foudre, Au moindre attouchement ſe reduiſoit en poudre.	Comme s'il eût senti la colère du foudre, Au moindre attouchement se réduisait en poudre.
e prodige nouueau deuoit ſeul m'aduertir, Que ie ne deuois plus differer à partir.	est prodige nouveau devait seul m'avertir, Que tu ne devais plus différer à partir.
ELECTRE.	ÉLECTRE.
Dus:	Dus:
onuuſſt crojavit, & fungte preſage Troubla ma chere fille acheuant ſon ouurage, Vne ſubite horreur changea ſes yeux eneau, Quand ces perfides ſœurs entrerent au chaſteau.	onuust crojavit, et fungte présage Troubla ma chère fille achevant son ouvrage, Une subite horreur changea ses yeux eneau, Quand ces perfides sœurs entrèrent au château.
CERES.	CERES.
Quelque faſcheux deſtin que ta compagne eſpreuue, Il faut par ſon ſecours que mafille ſe treuue.	Quelque fâcheux destin que ta compagne épreuve, Il faut par son secours que mafille se trouve.
ELECTRE.	ÉLECTRE.
Le iour, ſage Ceres, va ceder à la nuit.	Le jour, sage Ceres, va céder à la nuit.
CERES.	CERES.
Ie prendrayacs pamotaux, ſett foteil neluit.	Je prendraiacs pamots, sett foteil neluit.
ELECTRE, ſeule.	ÉLECTRE, seule.
Qu'elle apparence, ô Dieux!	Qu'elle apparence, ô Dieux!
que Ciane reſponde, Le moyen qu’elle parle, elle qui n’eſt qu’vne onde;	que Ciane réponde, Le moyen qu'elle parle, elle qui n'est qu'une onde;
Le moyen de tarir la ſource de mes pleurs, Si le ciel autrement n’inſpire nos douleurs:	Le moyen de tarir la source se mes pleurs, Si le ciel autrement n'inspire nos douleurs:
Ah!	Ah!
qu’a de longs ennuis mon malheur me deſtine Si ie veux Dignement te pleurer Proſerpine.	qu'a de longs ennuis mon malheur me destine Si apprendre veux Dignement te pleurer Proserpine.
TRCEEEV	TRCEUEU
SEENE IREMIERE IVPITER, VENVS, DIANE, PALLAS,MERC.	SENE IREMIÈRE IVPITER, VENS, DIANE, PALLAS,MERC.
autres Dieux, & Deeſſes.	autres Dieux, et Déesses.
IVPITER.	IUPITER.
E bien ton eloquence a t’elle heureuſe2 D ment Commandé le ſecret de noſtre enléue28 ment?	ELLE bien ton éloquence a -t-elle heureuse2 ment Commandé le secret de notre enléue28 ment?
MERCVRE.	MERCURE.
I’ay veu les deitez des campagnes ſalees, I ay viſité les monts, les coſtaux, les valees;	J'ai vu les déités des campagnes salées, I ai visité les monts, les costaux, les valées;
I’ayveu pan & ſa ſuite au milieu des foreſts, I’ay couru les eſtangs, les fleuues, les marais, I’ay rompu le ſommeil des Nymphes des fontaines I’ayſommé les buiſſons, les cauernes, les plaines, Tout l’vniuers enfin par ſerment ſolemnel, Vous promet, grand Monarque, vn ſilence eternel.	J'ayveu pan et sa suite au milieu des forêts, J'ai couru les étangs, les fleuves, les marais, J'ai rompu le sommeil des Nymphes des fontaines J'aisommé les buissons, les cavernes, les plaines, Tout l'univers enfin par serment solennel, Vous promet, grand Monarque, un silence éternel.
YPITER.	YPITER.
Ie n’attendois rien moins de l'onde eo de la terre, Que cette obeiſſance au maiſtre du tonnnerre, Et i’ay touſiours biencreu la pouuoirobtenir, Sans qu'vn commandement les fiſt icy venir.	Je n'attendais rien moins de l'onde épo de la terre, Que cette obéissance au maître du tonnerre, Et j'ai toujours biencreu la pouvoirobtenir, Sans qu'un commandement les fît ici venir.
Sur tout donc qu’on ſe garde en ma maiſon diuine D’enſeigner à Ceres leſort de Proſerpine;	Sur tout donc qu'on se garde en ma maison divine D'enseigner à Ceres lesort de Proserpine;
Car quand l’audacieux ſortiroit de mon ſang, Quand il auroit au ciel l’honneur du ſecond rang, Fuſt-il le plus chery de toute ma famille, Fuſt-ilmon fils, ma ſœur, ou ma femme, ou ma fille:	Car quand l'audacieux sortirait de mon sang, Quand il aurait au ciel l'honneur du second rang, Fût-il le plus chéri de toute ma famille, Fût-ilmon fils, ma sœur, ou ma femme, ou ma fille:
Je iure par la paix, ce lien precieux, Par qui ſeul ſont vnis l’enfer, la mer, les cieux, Que ce foudre eſlancé punira ſon audace, Que ie l’affligera y d’vne telle diſgrace, Qu'il ſe plaindra du ſort de n’eſtre pas mortel;	Je jure par la paix, ce lien précieux, Par qui seul sont unis l'enfer, la mer, les cieux, Que ce foudre élancé punira son audace, Que ainsi l'affligera y d'une telle disgrâce, Qu'il se plaindra du sort de n'être pas mortel;
Ie luy feray ſouffrir vn tourment eternel, Dans cet abiſme obſcur de la noire contree, Dont il aura trahy la Maieſté ſacrée.	Je lui ferai souffrir un tourment éternel, Dans cet abîme obscur de la noire contrée, Dont il aura trahi la Majesté sacrée.
Or afin, immortels, que vous ſçachiez pourquoy Le deſtin vous oblige à cette eſtroite loy;	Or afin, immortels, que vous sachiez pourquoi Le destin vous oblige à cette étroite loi;
C’eſt qu’il a reſolu, par ſa haute conduitte, De laſſercette mere enſa vaine pourſuitte, Et de rendre a la fin ſes eſprits ſi troublez, Qu’elle enſeigne aux mortels lart qui produit les bleds, Sur leſpoir d’aquerir par cette recompenſe, De cent peuples diuers la prompte bienueillance, Et de trouuer pluſtoſt ſon treſor le plus cher, Tant de cœurs & tant d’yeux aydans à le chercher.	C'est qu'il a résolu, par sa haute conduite, De lassercette mère ensa vaine poursuite, Et de rendre à la fin ses esprits si troublés, Qu'elle enseigne aux mortels lart qui produit les bleds, Sur lespoir d'aquérir par cette récompense, De cent peuples divers la prompte bienveillance, Et de trouver plutôt son trésor le plus cher, Tant de cœurs et tant d'y aidans à le chercher.
Le chardonou le gland n’eſt pas la nouriture Que deſtine aux humains l’obligeante nature, Certes il eſt honteux que leur oiſiueté Reduiſe l’vniuers a cette extremité, Et que leuans au ciel leurs orgueilleuſes teſtes, Leursſtupides eſprits rampent comme des beſtes;	Le chardonou le gland n'est pas la nouriture Que destine aux humains l'obligeante nature, Certes il est honteux que leur oisiveté Réduise l'Univers a cette extrémité, Et que levants au ciel leurs orgueilleuses testes, Leursstupides esprits rampent comme des bêtes;
Eux qui deuroient paſſer & les iours, & les nuits A parer la nature & de grains & de fruits, Elle veut que par force on espuiſe ſes veines, Que ie meſure ainſi larecompenſe aux peines, Et des riches habits ne veulent point briller, Si les ſoins des mortels n’aydent à l’habiller.	Eux qui devraient passer et les jours, et les nuits A parer la nature et de grains et de fruits, Elle veut que par force on épuise ses veines, Que ie mesure ainsi lacompense aux peines, Et des riches habits ne veulent point briller, Si les soins des mortels n'aident à l'habiller.
Commençons à tirer les treſors de la terre, Qu'en faueur des humains dans ſon ſein elle ſerre;	Commençons à tirer les trésors de la terre, Qu'en faveur des humains dans son sein elle serre;
Faiſons par le trauail reuiure les beaux arts, Lue l’abondance, enfin, regne de toutes parts:	Faisons par le travail revivre les beaux arts, Lue l'abondance, enfin, règne de toutes parts:
Ceſt l’affaire important que touſiours ie differe, Depuis que ie preſide au troſne de mon pere;	Cest l'affaire important que toujours ie diffère, Depuis que je préside au trône de mon père;
Songez doncimmortels, à cachermon deſſein, Rien ne reuoquera mon arreſt ſouuerain:	Songez doncmortels, à cachermon dessein, Rien ne révoquera mon arrêt souuerain:
Ie l’ay dit vne fois, ie vous le dis encore, nut uu le ciel, voy ſi quelqu'vn l’ignore.	Je l'ai dit une fois, je vous le dis encore, nut u le ciel, vois si quelqu'vn l'ignore.
allumé.	allumé.
Vguſte ſang du ciel, mon vnique deſir, AMMa premiere alegreſſe, & mon dernierplaiProſerpine, mon cœur, fille qui mes ſi chere, Ne veux tu point répondre à la voix de ta mere?	Véguste sang du ciel, mon unique désir, AMMa première alègresse, et mon dernierplaiProserpine, mon cœur, fille qui mes si chère, Ne veux tu point répondre à la voix de ta Mère?
Perdray-ie ainſi mes ſoins, mes ſouſpirs, & mes pas, H'a!	Perdrai-je ainsi mes soins, mes soupirs, et mes pas, H'a!
non plus que Ciane, elle ne m’entend pas.	non plus que Ciane, elle ne m'entend pas.
Et ma iuſte douleur trauerſant la Sicile S’amuſe au vain eſclat d’vne voix inutile.	Et ma juste douleur traversant la Sicile S'amuse au vain éclat d'une voix inutile.
Ce flambeau que ie tiens, allumé dans la nuit, Ne deſcouurira point la beauté qui me fuit, Tu ne fais plus ma fille, admirer ton merite, Par le nombre des Dieux qu'on voyoit à maſuitte.	Ce flambeau que Dieu tiens, allumé dans la nuit, Ne découvrira point la beauté qui me fuit, Tu ne fais plus ma fille, admirer ton mérite, Par le nombre des Dieux qu'on voyait à masuite.
t Dont les ſoins aſſidus, les ſouſpirs, & les feux M’offroient, en ta faueur, de legitimes vœux.	t' Ont les soins assidus, les soupirs, et les feux M'offraient, en ta faveur, de légitimes vœux.
Sous quel Aſtre inhumain, chere fille, és tu née?	Sous quel Astre inhumain, chère fille, es tu née?
Eſt-ce là, cherenfant, le flambeau d’hymenée Qui deuoit dans le ciel à ta nopce eſclater?	Est-ce là, chérenfant, le flambeau d'hyménée Qui devait dans le ciel à ta noce éclater?
Eſt-ce la l’hymne ſaint qu’on y deuoit chanter?	Est-ce la l'hymne saint qu'on y devait chanter?
En cela d’autant plus à mes douleurs ie cedde, Que ie ne cognoy pas celuy qui te poſſede, Que i'alentis ma rage à force de parler, Et que mes plus hauts cris ſe diſſipent en l’air.	En cela d'autant plus à mes douleurs je cédde, Que ie ne connais pas celui qui te possède, Que j'alentis ma rage à force de parler, Et que mes plus hauts cris se dissipent en l'air.
Que ne tiens-ie vn moment ce rauiſſeur infame, Poureſteindre en ſon ſang ſoninſolente flame, Et monſtrer par ſa mort à ces audacieux, Le reſpect qu’on doit rendre aux ouurages des Diex.	Que ne tiens-je un moment ce ravisseur infâme, Pourteindre en son sang soninsolente flamme, Et montrer par sa mort à ces audacieux, Le respect qu'on doit rendre aux ouvrages des Diex.
Tu le caches en vain, impitoyable peré, Il n’eſuitera point les traits de macolere, Ie chercheray ce traiſtre en tant de lieux diuers, Que ie le treuueray, s’il eſt dans l’vniuers:	Tu le caches en vain, impitoyable péré, Il n'évitera point les traits de macolère, Je chercherai ce traître en tant de lieux divers, Que ie le trouverai, s'il est dans l'univers:
Où le ſoleil ſe leue, où le ſoleil ſe couche, Tu verras à quel point cette perte me touche:	Où le soleil se lève, où le soleil se couche, Tu verras à quel point cette perte me touche:
Tu verras mes Dragons fendre le ſein des airs, Endépit des frimats, des vents, & des eſclairs.	Tu verras mes Dragons fendre le sein des airs, Endépit des frimats, des vents, et des éclairs.
Ny repos ny ſommeil n’interrompra ma courſe, Sur les champs de Thetis l’amour ſera mon Ourſe, Et quand l’aſtre du iour tombera dans les eaux	Ni repos Seigneur sommeil n'interrompra ma course, Sur les champs de Thétis l'amour sera mon Ourse, Et quand l'astre du jour tombera dans les eaux
5.	5.
Ie ferayſur la terre vn iour de mes flambeaux.	Je ferais la terre un jour de mes flambeaux.
Montagnes, ny rochers, ny chaleurs, ny froidures, Ne pourront arreſter mes triſtes auentures;	Montagnes, ni rochers, ni chaleurs, ni froidures, Ne pourront arrêter mes tristes aventures;
Ie chercheray ce laſche aux plus affreux détours, Parmy les Leopards, les Lions, & les Ours.	Je chercherai ce lâche aux plus affreux détours, Parmi les Léopards, les Lions, et les Ours.
Mais dans l’extréme ardeur dont mon ame eſt eſpriſe, Puis-ie encor differer cette iuſte entrepriſe?	Mais dans l'extrême ardeur dont mon âme est éprise, Puis-je encor différer cette juste entreprise?
Partons, & pour iamais abandonnons ces lieux, Source des flots amers qui coulent de mes yeux.	Partons, et pour jamais abandonnons ces lieux, Source des flots amers qui coulent de mes yeux.
Apren, à ton mal-heur, terre ſicilienne, Que tu t’en ſentiras auant que ie reuienne.	Appren, à ton malheur, terre sicilienne, Que tu t'en sentiras avant que ie reuienne.
Souuien toy, peuple ingrat, que tamere Ceres Ne protegera plus tes bleds, ny tes guereſts;	Souvien toi, peuple ingrat, que tamère Ceres Ne protégera plus tes bleds, Seigneur tes guerests;
Que ie m’en vais deſtruire, en moins d’vne iournée, Ces beaux preparatifs d’vne fertile année, Et que de ton païs i’auray le meſme ſoin Qu’il euſt de Proſerpine en l’extréme beſoin.	Que mille m'en vais détruire, en moins d'une journée, Ces beaux préparatifs d'une fertile année, Et que de ton pays j'aurai le même soin Qu'il eût de Proserpine en l'extrême besoin.
Sçache que deſormais ton coulte eſt inutile, Que ie rendray ta terre en tout temps infertile, Que dans l’horrible excez de mes iuſtes fureurs Ie n’eſpargneray pas meſme tes laboureurs:	Sache que désormais ton coulte est inutile, Que je rendrai ta terre en tout temps infertile, Que dans l'horrible excès de mes justes fureurs Je n'épargnerai pas même té laboureurs:
I’eſgorgeray tes bœufs, ie rompray tes charuës, I'allumteray ſurtoy des foudres dans les nuës,	J'égorgerai tes bœufs, où romprai tes charues, J'allumterai surtoi des foudres dans les nues,
Ie te deſcocheray mes traits les plus ſanglans, Et remetray ton peuple a l’vſage des glans.	Je te décocherai mes traits les plus sanglants, Et remettrai ton peuple à l'usage des glants.
ARETHVSE, ſortant de l’eauà moitié du corps.	ARÊTHÉSE, sortant de l'eauà moitié du corps.
Nourrice des humains, triſte, & prudente mere, Conſiderez de grace ou va voſtre colere, Et ne permettez, point que d’iniuſtes ſoubçons Perdent en ce pays de ſi belles moiſſons.	Nourrice des humains, triste, et prudente mère, Considérez de grâce ou va votre colère, Et ne permettez, point que d'injustes soubons Perdent en ce pays de si belles moissons.
Le reſpect de vos loix en Sicile domine, Elle s’eſt bienouuerte au rapt de Proſerpine, Mais ſans fauoriſer ce barbare deſſein;	Le respect de vos lois en Sicile domine, Elle s'est bienouverte au rapt de Proserpine, Mais sans favoriser ce barbare dessein;
Le ſceptre des enfers fendit ſon large ſein, Malgré ſa reſſiſtance il y fiſt vne voye, Parou paſſa Pluton, & ſon char, & ſa proye.	Le sceptre des enfers fendit son large sein, Malgré sa résistance il y fît une voie, Par passa Pluton, et son char, et sa proie.
Son crime eſtinnocent & ne merite pas, Que vous la reduiſiez à ces triſtes repas:	Son crime estinnocent et ne mérite pas, Que vous la réduisiez à ces tristes repas:
Son peuple infortuné vous fuſt touſiours fidelle, Ie vous reſpons de luy ſacré ſang de Cibelle:	Son peuple infortuné vous fût toujours fidèle, Je vous réponds de Seigneur sacré sang de Cibelle:
Eſtant hors d’intereſt, ie ſuis hors de ſoubçon;	Étant hors d'intérêt, je suis hors de soubçon;
Piſe à vù ma naiſſance, Arethuſe eſt mon nom, Et bien que de mes eaux s’eſtende icy la courſe, L’Arcadie eſt pourtant ma demeure & ma ſource:	Pise à vù ma naissance, Arethuse est mon nom, Et bien que de mes eaux s'étende ici la course, L'Arcadie est pourtant ma demeure et ma source:
Mon flux deſſus la mer ma fait de longs ruiſſeaux, Et quand ie viens icy, le ſtix m'ouure ſes eaux.	Mon flux dessus la mer ma fait de longs ruisseaux, Et quand tu viens ici, le stix m'ouvre ses eaux.
Ceſt là, ſage Ceres, que i’ay veu voſtre fille, Là, ſur ſon front royal, vne couronne brille, Là, l’enfer à genoux reuere ſon pouuoir, Et s’il luy manque vn bien, c’eſt celuy de vous voir.	Cest là, sage Ceres, que j'ai vu votre fille, Là, sur son front royal, une couronne brille, Là, l'enfer à genoux révère son pouvoir, Et s'il lui manque un bien, c'est celui de vous voir.
Ie vous apporte icy ces nouuelles certaines, l obiν u reper te comrsue ooortenerenesvaines, Et vous repreſenter, en faueur de ce lieu, Qu’il luy faut pardonner, ie vous en prie, adieu,	Je vous apporte ici ces nouvelles certaines, l' ob je te comrsue ooortenerenesvaines, Et vous représenter, en faueur de ce lieu, il lui faut pardonner, ie vous en prie, adieu,
CERES.	CERES.
Chere fille eſt-il vray que tu ſois renfermée, Dans vn abiſme affreux d’horreur & de fumée, Que ces aſtres brillans, ou preſidoit l’amour, Soient obligez de luire, ou ne luit pas le iour.	Chère fille est-il vrai que tu sois renfermée, Dans un abîme affreux d'horreur et de fumée, Que ces astres brillants, ou présidait l'amour, Soient obligez de luire, ou ne luit pas le jour.
Ton pere a t’il permis ce rapt abominable?	Ton père a -t-il permis ce rapt abominable?
Eſt-ce de ſon amour la marque venerable, Et de mes longs trauaux leveritable fruit?	Est-ce de son amour la marque vénérable, Et de mes longs travaux levéritable fruit?
Quy, ce l’eſt, & i’ay deu le iuger cette nuit, Quand tu m’aparoiſſois de tes pleurs ſi moüillée, Et qu’au bruit de tes fers ie me ſuis éueillée.	Qui, ce l'est, et j'ai dev le juger cette nuit, Quand tu m'apparais de tes pleurs si mouillée, Et qu'au bruit de tes fers On me suis éveillée.
Mais ne t’en prens qua moy, ſi tu ſouffres du mal, C’eſt moy qui tay liurée à ce monſtre brutal, C'eſt moy qui pour te perdre ay fendu la Sicile, Tabandonnant ainſi toute ſeule en ſon iſle;	Mais ne t'en prends qua moi, si tu souffres du mal, C'est moi qui tai livrée à ce montre brutal, C'est moi qui pour te perdre ai fendu la Sicile, Tabandonnant ainsi toute seule en son île;
Au lieu de t’aduertir que cet Ethna fameux, Qu'vn mont d’où ſort vn air & bruſlant, & fumeux;	Au lieu de t'avertir que cet Ethna fameux, Qu'un mont d'où sort un air et brûlant, et fumeux;
Que l’horreur de ce phlegre, ou les fils de la terre ſouffrent le chaſtiment de leur iniuſte guerre, Qu'vn lieu frapé du foudre, & dont il fume encor, Eſtoit trop renommé pour garder vntreſor.	Que l'horreur de ce phlègre, ou les fils de la terre souffrent le châtiment de leur injuste guerre, Qu'un lieu frappé du foudre, et dont il fume encor, Était trop renommé pour garder untresor.
Ne t'enprens donc qu’a moy, mais pourtant triſte Reine, Que tes maux contre moy n’excitent point tahay- ne;	Ne t'enprends donc qu'a moi, mais pourtant triste Reine, Que tes maux contre moi n'excitent point tahai- ne;
Mon ſein meurtry de cous, mes cheueux arrachez, Mes yeux, qui iuſqu’icy ne ſe ſont point ſechez, es violens tranſports qu’on lit ſur mon viſage;	Mon sein meurtri de cous, mes cheveux arrachés, Mes yeux, qui jusqu'ici ne se sont point séchez, es violents transports qu'on lit sur mon visage;
Le deſir de vengeance ou me porte ma rage, Le faſcheux ſouuenir de l’eſtat ou ie ſuis, Sans m'affliger encor, ſont d’aſſés grands ennuis.	Le désir de vengeance ou me porte ma rage, Le fâcheux souvenir de l'état ou ie suis, Sans m'affliger encor, sont d'assès grands ennuis.
Conſole toy, ma fille, en ton palais funeſte, Tandis ie vay me plaindre en la maiſon celeſte, Et ſi ce pere ingrat ne t’oſte de tes fers, Cray que j’iray moy-meſme habiter aux enfers.	Console toi, ma fille, en ton palais funeste, Tandis ie vrai me plaindre en la maison céleste, Et si ce père ingrat ne t'ôte de tes fers, Crai que j'irai moi-même habiter aux enfers.
Ie te ſuiuray par tout ina chere Proſerpine, Puiſque ie t'ayrauy la lumiere diuine.	Je te suivrai par tout ina chère Proserpine, Puisque tu t'airavi la lumière divine.
SCENE	SCÈNE
DUEND IRODIESME IVPITER, VENVS, DIANE, PALLAS,MERC.	DUEND IRODIESME IUPITER, VENUS, DIANE, PALLAS,MERC.
IVPITER.	IUPITER.
JOs cris contre Venus ſonticy ſuperflus, V Puiſque ie l’ay voulu, qu’on ne m’en parle plus.	JOs cris contre Venus sontici superflus, V Puisque était l'ai voulu, qu'on ne m'en parle plus.
Qu'elle ait bien ou mal fait, elle en euſt la puiſſanC Et ce n’eſt point à vous d’en prendre cognoiſſance.	Qu'elle ait bien ou mal fait, elle en eût la puissanC Et ce n'est point à vous d'en prendre connaissance.
Vn Dieu luy commanda, les Dieux n’ont iamais tort, Et le rapt eſt permis, lors que i’en ſuis d’accord.	Un Dieu lui commanda, les Dieux n'ont jamais tort, Et le rapt est permis, lors que j'en suis d'accord.
Donc, qu’vn baiſer de paix la rende ſatisfaitte, Et que cette auanture entre vous ſoit ſecrette.	Donc, qu'un baiser de paix la rende satisfaite, Et que cette aventure entre vous soit secrète.
DIANE.	DIANE.
Mon vouloir eſt le voſtre.	Mon vouloir est le vôtre.
PALLAS.	PALLAS.
Et c’eſt le mien auſſi.	Et c'est le mien aussi.
*PITER.	*PITER.
Quel ſuiet important te fait venir icy?	Quel sujet important te fait venir ici?
MERCVRE.	MERCURE.
Grand Dieu i'ay veu Ceres de la voute prochaine, Parles plaines des airs ſon char aiſlé la traiſne, I’en viens donner auis à voſtre Majeſté.	Grand Dieu j'ai vu Ceres de la voute prochaine, Parles plaines des airs son char aislé la traîne, J'en viens donner avis à votre Majesté.
PITER.	PITER.
Comment?	Comment?
noſtre ſecret ſeroit-il éuenté?	notre secret serait-il éventé?
Vient elle droit au ciel?	Vient elle droit au ciel?
MERCVRE.	MERCURE.
Elle en eſt deſia proche.	Elle en est déjà proche.
PITER.	PITER.
Elle vient m’eſtourdir d’vn importun reproche.	Elle vient m'étourdir d'un importun reproche.
Ie ſuis trahy, Mercure, ou mon commandement N’a pas eſté receu par tout exactement.	Je suis trahi, Mercure, ou mon commandement N'a pas été reçu par tout exactement.
Mais elle entre, & ie voy ſur ſon viſage peinte L'exceſſiue douleur dont ſoname eſt atteinte.	Mais elle entre, et ici vois sur son visage peinte L'excessive douleur dont soname est atteinte.
SCENEQVATRIESME IVPITER, VENVS, DIANE, PALLAS, MERCVRE, CERES.	SCENEQUATRIESME IUPITER, VENUS, DIANE, PALLAS, MERCURE, CERES.
CERES.	CERES.
Inſi donc, ô grand Dieu, voſtre enfant vous Aeſtcher, Vous prenez du plaiſir à me le voir chercher, Voſtre extréme bonté ſouffre qu’on m'aſſaſſine, Vous ne ſçauriez cacher l’aimable Proſerpine, Ie l’ay treuuée, enfin, ſi ceſt recouurement, Que ſçauoir en quels lieux ma fille eſt ſeulement:	Insi donc, ô grand Dieu, votre enfant vous Aestcher, Vous prenez du plaisir à me le voir chercher, Votre extrême bonté souffre qu'on m'assassine, Vous ne sauriez cacher l'aimable Proserpine, Je l'ai treuuée, enfin, si cest recouvrement, Que savoir en quels lieux ma fille est seulement:
Ie l’ay treuuée, enfin, ſi ceſt l’auoir treuuée, Que ſçauoir par quel bras elle fuſt enleuée.	Je l'ai trouvée, enfin, si cette l'avoir trouvée, Que savoir par quel bras elle fût enlevée.
Enfin pour adoucir les maux que i'ay ſoufferts, Des roſeaux m’ont apris qu’elle eſt dans les enfers.	Enfin pour adoucir les maux que j'ai soufferts, Des roseaux m'ont appris qu'elle est dans les enfers.
Mais las!	Mais las!
cette honnene, nimmnt tripet que vraye, Eſt-elle vn apareil ſalutaire à ma playe?	cette honnène, nimmnt tripet que vraie, Est-elle un appareil salutaire à ma plaie?
Ne ſens ie pas pluſtoſt, au ſeul nom des Demons, Les accez, de mon mal plus rudes & plus prompts?	Ne sens ie pas plustost, au seul nom des Demons, Les accès, de mon mal plus rudes et plus prompts?
Quand i’ignore le nom de l’auteur de mes peines, Vne iuſte fureur ſe respend dans mes veines;	Quand j'ignore le nom de l'auteur de mes peines, Une juste fureur se respend dans mes veines;
Et dés que ie l’apren, à ce nom odieux, Vn plus iuſte couroux rend mon cœur furieux.	Et dès que ici l'appren, à ce nom odieux, Un plus juste courroux rend mon cœur furieux.
Si vous m’aimiez encor, ſeroit-il bien poſſihle Qu'aux douleurs de Ceres vous fuſſiez inſenſible, Et que vous vſſiez pû conſentir qu’vn brutal Euſt traiſne voſtre fille en vn gouffre infernal?	Si vous m'aimiez encor, serait-il bien possihle Qu'aux douleurs de Ceres vous fussiez insensible, Et que vous ussiez pu consentir qu'un brutal Ealust traîne votre fille en un gouffre infernal?
Falloit-il vne femme & ſibelle, & ſi chere, Au tyran des enfers?	Fallait-il sem femme et sibelle, et si chère, Au tyran des enfers?
PITER.	PITER.
Ceres, il eſt mon frere.	Ceres, il est mon frère.
Cette qualité ſeule, ou tant d’honneur eſt ioint, Si voſtre auerſion ne vous aueugloit point, Auroit en voſtre eſprit vne eſtime honorable:	Cette qualité seule, ou tant d'honneur est joint, Si votre aversion ne vous aveuglait point, Aurait en votre esprit une estime honorable:
Mais vne telle affaire eſt trop conſiderable, Pour eſtre conſultée ainſi legerement;	Mais une telle affaire est trop considérable, Pour être consultée ainsi légèrement;
Penſons ydonc, Ceres, vn peu plus meurement, Et, s’il eſt a propos, nous enuoyerons Mercure, Ambaſſadeur expres en la demeure obſcure, Peut eſtre que mon frere, apprenant vos dédains, Remetra, des l’inſtant, Proſerpine en vos mains.	Pensons ydonc, Ceres, un peu plus meurement, Et, s'il est à propos, nous envoyerons Mercure, Ambassadeur exprès en la demeure obscure, Peut chang que mon frère, apprenant vos dédains, Remettra, des l'instant, Proserpine en vos mains.
LYC P	LYC P
SOLIVEENLIILERE PLVTON, PROSERPINE, MERCVRE, ASCALAPHE.	SOLIVENLIILERE PLUTON, PROSERPINE, MERCURE, ASCALAPHÉ.
Q E PLVTON.	Q E LVTON.
Oute ton eloquence eſt icy ſuperfluë;	Oute ton éloquence est ici superflue;
Ie ne la rẽdray point, la choſe eſt reſoluë.	Je ne la rẽdray point, la chose est résolue.
Ma t’on permis expres les douceurs de bB1t l’amour, Pour nem en pas laiſſer poſſeſſeur plus d’vn iour;	Ma t'on permis exprès les douceurs de bB1t l'amour, Pour ne en pas laisser possesseur plus d'un jour;
Et ce maiſtre des Dieux que l’vniuers reuere, Doit-il eſtre amoly par les pleurs d’vne mere?	Et ce maître des Dieux que l'vniuers révère, Doit-il être amoli par les pleurs d'une mère?
Nay-ie veu luire icy cet aimable ſoleil, Que pour voir ecclipſer ſon eſclat ſans pareil?	Né-je vu luire ici cet aimable soleil, Que pour voir ecclipser son éclat sans pareil?
Et ſes charmans rayons n’ont-ils percé mes ombres, Que pour en rendre apres mes royaumes plus ſombre?	Et ses charmants rayons n'ont-ils percé mes ombres, Que pour en rendre après mes royaumes plus sombre?
Ne pretẽs point, Mercure, eſteindre ainſi mes feux:	Ne prétends point, Mercure, éteindre ainsi mes feux:
H iij Iupiter la voulu, malgré luy ie le veux;	H Hij Upiter la voulu, malgréalui ie le veux;
Que Ceres dans le cielcrie & verſe des larmes, Ma Princeſſe aux enfers fera regner ſes charmes, I'adoreray touſiours ſes celeſtes apas, Et mes reſpects enfin ne luy deplairont pas:	Que Ceres dans le cielcrie et verse des larmes, Ma Princesse aux enfers fera régner ses charmes, J'adorerai toujours ses célestes appâ, Et mes respects enfin ne lui déplairont pas:
Vn peu d’accouſtumance a doucira ſon ame, Et luy feracherir l’honneur d’eſtre ma femme.	Un peu d'accoutumance a doucira son âme, Et tu ferachérir l'honneur d'être ma femme.
Retourne donc, Mercure, aduertir Iupiter, Qu’il deuroit prendre garde a ne pas m’irriter;	Retourne donc, Mercure, avertir Jupiter, Qu'il devrait prendre garde à ne pas m'irriter;
