Suivant la Copie imprimée A PARIS,	Suivant la Copie imprimée A PARIS,
Mais ſi ce ſentiment merite quelque grace, D’un zéle plein d’ardeur permettez-moy l’audace, Quoy qu’on m’accuſe à tort de vouloir attenter, Quelque lâche conſpire, & je n’en puis douter, Le malheur de Zenon me le fait trop conuoiſtre, Dans un peril ſi grand ayez ſoin de mon Maiſtre, Pour aſſeurer ſes jours ne l’abandonnez pas.	Mais si ce sentiment mérite quelque grâce, D'un zèle plein d'ardeur permettez-moi l'audace, Quoi qu'on m'accuse à tort de vouloir attenter, Quelque lâche conspire, et je n'en puis douter, Le malheur de Zenon me le fait trop conuoistre, Dans un péril si grand ayez soin de mon Maître, Pour assurer ses jours ne l'abandonnez pas.
LICON.	LICON.
Va, va, confeſſe tout, tu les aſſeureras;	Va, va, confesse tout, tu les assureras;
Mais enfin on craiut peu tes lâches artifices, Quand Felix en ſecret a nommé tes Complices;	Mais enfin on craiut peu tes lâches artifices, Quand Félix en secret a nommé tes Complices;
Vous aurez d’eux, Seigneur, de nouvelles clartez, Rufus & Pompejan déja ſont arreſtez;	Vous aurez d'eux, Seigneur, de nouvelles clartés, Rufus et Pompéjan déjà sont arrêtés;
Je venois vous l’apprendre.	Je venais vous l'apprendre.
HONORIUS, Ils m’oſteront de doute;	HONORIUS, Ils m'ôteront de doute;
Mais accepte ma grace avant qu’on les écoute, S’ils t’accuſent encor je ne pourray plus rien	Mais accepte ma grâce avant qu'on les écoute, S'ils t'accusent encor je ne pourrai plus rien
EUCHER IuS.	EUCHER JuS.
Leur zele ſera faux s’il peut noireir le mien	Leur zèle sera faux s'il peut noireir le mien
HONORIUS.	HONORIUS.
V’ois-tu que leur adveu rend sa pecte certaine?	V'ai-tu que leur advu rend sa pecte certaine?
EUCHERIUS.	EUCHÉRIUS.
Prononcez, je ſuis preſt.	Prononcez, je suis prêt.
HONORIUS.	HONORIUS.
Gardes, qu'on le remene.	Gardes, qu'on le remène.
Traiſtre, tu veux perir, il faut te contenter.	Traître, tu veux périr, il faut te contenter.
MARCELLIN.	MARCELLIN.
Ciel!	Ciel!
quels malheurs plus grands pouvois-je redouter?	quels malheurs plus grands pouvais-je redouter?
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
STILICON, MUTIAN.	STILICON, MUTIAN.
MUTIAN.	MUTIAN.
Eigneur, dans un moment vous n’aurez plus de Maiſtre, Nos Conjurez enfin ſe vont faire connoiſtre, Et vous aviez bien lieu d’avancer un deſſein, Dont l’effet cette nuit pouvoit eſtre incertain.	Eigneur, dans un moment vous n'aurez plus de Maître, Nos Conjurés enfin se vont faire connaître, Et vous aviez bien lieu d'avancer un dessein, Dont l'effet cette nuit pouvait avoir incertain.
Outre qu’apres l’éclat où l’on s’eſt veu contraindre, Quelque Zenon encor eſtoit pour vous à craindre, L’Empereur par ſcrupule euſt pû ſecretement L’aller paſſer ailleurs qu’en ſon appartement;	Outre qu'après l'éclat où l'on s'est vu contraindre, Quelque Zenon encor était pour vous à craindre, L'Empereur par scrupule eût pu secrètement L'aller passer ailleurs qu'en son appartement;
Tandis qu’enfermé ſeul avec le faux coupable, Il rend Poccaſion à nos vœux favorable, Juſqu’en ſon cabinet vingt des noſtres choiſis Sont allez par ſa mort abſoudre voſtre fils, Sa garde eſt du complot, la pluſpart ſont des noſtres, Ei le poignard ſoudain nous deffera des autres, Le reſte du party dans le Palais epars, D’un tumulte impréveu préviendra les hazaids;	Tandis qu'enfermé seul avec le faux coupable, Il rend Poccasion à nos vœux favorable, Jusqu'en son cabinet vingt des nôtres choisis Sont allez par sa mort absoudre votre fils, Sa garde est du complot, la plupart sont des nôtres, Ei le poignard soudain nous défera des autres, Le reste du parti dans le Palais épars, D'un tumulte impréveu préviendra les hazaids;
Ainſi tout eſt pour vous, & l’entrepriſe eſt ſeuie.	Ainsi tout est pour vous, et l'entreprise est sévie.
LICON.	LICON.
I’ay parle contre un fils, j’ay trahy la Nature, u den és eſtonné, mais de moindres eſforte Ne m’euſſent du projet laiſſé que les remords;	J'ai parle contre un fils, j'ai trahi la Nature, ès étonné, mais de moindres éforte Ne m'eussent du projet laissé que les remords;
Pour le voir reüſſir, quelque horreur qu’il m’en coûte, Il falloit de ma foy ne laiſſer aucun doute, Esbloüir l’Empereur, & ſur tout éviter Que l’intereſt du ſang ne me fiſt arreſter;	Pour le voir réussir, quelque horreur qu'il m'en coûte, Il fallait de ma foi ne laisser aucun doute, Éblouir l'Empereur, et sur tout éviter Que l'intérêt du sang ne me fît arrêter;
Nos amis dont moy ſeul je fais la confiance, Auroyent par ma priſon perdu toute eſperance, Et ſans rien entreprendre, aux dépens de mes jours Chacun d’eux dans la fuite euſt cherché du ſecours.	Nos amis dont moi seul je fais la confiance, Auraient par ma prison perdu toute espérance, Et sans rien entreprendre, aux dépens de mes jours Chacun d'eux dans la fuite eût cherché du secours.
’ay preveu ce peril, & pour mieux m’en deffendre, De peur d’eſtre ſuſpect, j’ay voulu me le rendre, Et demandant la mort, cetre ardeur de perir A détruit les ſoupçons où je ſemblois m’offrir.	Ç'ai prévu ce péril, et pour mieux m'en défendre, De peur d'être suspect, j'ai voulu me le rendre, Et demandant la mort, cetre ardeur de périr A détruit les soupçons où je semblais m'offrir.
MUTIAN.	MUTIAN.
J’en vois l’heureux effet, mais enfin ma ſurpriſe C’eſt qu’en ſecret Zenon trahiſſant l’entrepriſe, Tout ait ſçeu lors ſi bien à vos vœux s’accorder, Que Felix par voſtre ordre ait pû le poignarder;	J'en vois l'heureux effet, mais enfin ma surprise C'est qu'en secret Zenon trahissant l'entreprise, Tout ait su lors si bien à vos vœux s'accorder, Que Félix par votre ordre ait pu le poignarder;
’ay tremblé toutefois quand j’ay ſçeu la diſgrace Qui contraignoit Felix d’avouër ſon audace, Je vous croyois perdu le voyant arreſté.	Elle tremblé toutefois quand j'ai su la disgrâce Qui contraignait Félix d'avouer son audace, Je vous croyais perdu le voyant arrêté.
LICON.	LICON.
Non, non, avant le coup tout eſtoit concerté, Pour fuïr tous les ſoupçons que je voyois à craindre Mes ſoins n’avoyent eſté que de l’inſtruire à feindre, Et nous eſtions d’accord que s’il eſtoit ſurpris, Aprés quelque menace il accuſaſt mon fils;	Non, non, avant le coup tout était concerté, Pour fuir tous les soupçons que je voyais à craindre Mes soins n'avaient été que de l'instruire à feindre, Et nous étions d'accord que s'il était surpris, Après quelque menace il accusât mon fils;
en ay tiré ce fruit, que par ces artifices Feignant à l’Empereur de nommer les Complices, Il a fait arreſter tous ceux dont au Palais J’aurois pû craindre obſtacle au deſſein que je fais;	en ai tiré ce fruit, que par ces artifices Feignant à l'Empereur de nommer les Complices, Il a fait arrêter tous ceux dont au Palais J'aurais pu craindre obstacle au dessein que je fais;
Ainſi d’Eucherius j’ay refuſé la grace, Seur que demain au Trône il pourra prendre place, Et ſi dans un bonheur à mes ſouhaits ſi doux Placidie oſe encor,,.	Ainsi d'Eucherius j'ai refusé la grâce, Sûr que demain au Trône il pourra prendre place, Et si dans un bonheur à mes souhaits si doux Placidie ose encor,.
mais elle vient à nous;	mais elle vient à nous;
Retourne, Mutian, c’eſt en toy que j’eſpere, Et ta preſence ailleurs peut m’eſtre neceſſaire.	Retourne, Mutian, c'est en toi que j'espère, Et ta présence ailleurs peut m'être nécessaire.
SCENE II.	SCÈNE II.
PLACIDIE, STILICON.	PLACIDIE, STILICON.
PLACIDIE.	PLACIDIE.
Uoy, d’un lâche impoſteur on differe l’arreſt?	Oùoi, d'un lâche imposteur on diffère l'arrêt?
QEſt-ce ainſi que d’un fls vous prenez l’inteIreſt?	QEst-ce ainsi que d'un fls vous prenez l'inteIrêt?
Par un emportement à peine concevable f.	Par un emportement à peine concevable f.
Vous ſemblez prévenir ce qui le rend coupable, Et quand il s’offre jour à le croire innocent, On ne remarque en vous qu’un zéle languiſſant;	Vous semblez prévenir ce qui le rend coupable, Et quand il s'offre jour à le croire innocent, On ne remarque en vous qu'un zèle languissant;
De tous ceux que Felix a nommez pour complices Aucun ne ſe confond par la peur des ſupplices, Chacun ſeparément avec luy confronté Pait von æmer tout ia meſme fermeté;	De tous ceux que Félix a nommez pour complices Aucun ne se confond par la peur des supplices, Chacun séparément avec lui confronté Pait von æmer tout ja même fermeté;
Jamais Eucherius n’en ſoüilla l’innocence, Jamais de l’attentat ils n’eurent connoiſſance:	Jamais Eucherius n'en soüilla l'innocence, Jamais de l'attentat ils n'eurent connaissance:
Enfin aucun n’advouë, & tous également Repoſſent un forfait que leur vertu dément;	Enfin aucun n'avoue, et tous également Repossent un forfait que leur vertu dément;
Pour tirer de Felix des clartez plus certaines Pourquoy n’employer pas les tourmens & les gênes?	Pour tirer de Félix des clartés plus certaines Pourquoi n'employer pas les tourments et les gênes?
La voye eſt aſſez prompte, & les moyens aiſez De rendre ce qu’on doit aux autres accuſez, Que ſon rapport contre eux ſoit faux ou veritable, De la mort de Zenon il eſt poûjours coupable, Et comme l’attentat à ce crime eſt uny, Sans rien mettre en balance il doit eſtre puny.	La voie est assez prompte, et les moyens aisés De rendre ce qu'on doit aux autres accusés, Que son rapport contre eux soit faux ou véritable, De la mort de Zenon il est poujours coupable, Et comme l'attentat à ce crime est uni, Sans rien mettre en balance il doit être puni.
Si cette épreuve eſt juſte, elle eſt deuë à ma gloire, On ſçait d’Eucherius ce que j’ay voulu croire, Et l’on doit faire enſin connoiſtre à l’Empereur Si le ſang qui m’anime eſt ſujet à l’erreur.	Si cette épreuve est juste, elle est due à ma gloire, On sçait d'Eucherius ce que j'ai voulu croire, Et l'on doit faire ensin connaître à l'Empereur Si le sang qui m'anime est sujet à l'erreur.
ILICON.	ILICON.
Madame, je n’attens qu’à preſſer ſa juſtice De vouloir de Felix ordonner le ſupplice;	Madame, je n'attends qu'à presser sa justice De vouloir de Félix ordonner le supplice;
Mais ſeul avec mon fils qu’il a voulu revoir, Il examine encor ce qu’on n’a pû ſçavoir.	Mais seul avec mon fils qu'il a voulu revoir, Il examine encor ce qu'on n'a pu savoir.
Surpris que Pompejan, Straton, Rufus, Terence, Au lieu de l’accuſer, montrent ſon innocence, Il heſite, & par luy cherche à déveloper Qui d’eux ou de Felix aſpire à le tromper;	Surpris que Pompejan, Straton, Rufus, Terence, Au lieu de accuser, montrent son innocence, Il hesite, etmp lui cherche déveloper Qui eux ou de Felix aspire le ter;
Mais le gênes rendront ſon audace inutile, Et le Ciel eſt trop juſte.	Mais le gênes rendront son audace inutile, Et le Ciel est trop juste.
2	2
SCENE III.	SCÈNE III.
PLACIDIE, STILICON, LUCILE.	PLACIDIE, STILICON, LUCILE.
LACIDIE.	LACIDIE.
Qu’ui-ſ'amve ?	Qu'uis-m'amve ?
parle.	parle.
LUCILE.	LUCILE.
Il n’en faut plus douter.	Il n'en faut plus douter.
L’ingrat Eucherius.	L'ingrat Eucherius.
TILICON.	TILICON.
Et bien?	Et bien?
LUCILE.	LUCILE.
Oſe atrenter.	Ose atrenter.
Que dis-tu?	Que dis-tu?
PLACIDIE.	PLACIDIE.
LUCILE.	LUCILE.
Que pour luy de lâches Parrieides Du ſang d’Honorius inſolemment avides, Ont enfin achevé le funeſte attentat Qui ſous les loix d’un traiſtre aſſujettit l’eſtat.	Que pour ra de lâches Parrieides Du sang d'Honorius insolemment avides, Ont enfin achevé le funeste attentat Qui sous les lois d'un traître assujettit l'état.
TO*.	TO*.
O crime!	Ô crime!
ô perfidie, à qui toute autre cede!	ô perfidie, à qui toute autre cède!
Mais apprens-nous le mal pour ſonger au remede, Peut-eitre.	Mais apprends-nous le mal pour songer au remède, Peut-itre.
LUCILE.	LUCILE.
Vos efforts y ſeront ſuperflus, Le Coupable triomphe, & l’Empereur n’eſt plus.	Vos efforts y seront superflus, Le Coupable triomphe, et l'Empereur n'est plus.
Il eſt mort?	Il est mort?
PLACIDIE.	PLACIDIE.
LUCILE.	LUCILE.
Apprenez par ce que j’ay veu faire, Si la raiſon encor peut ſouffrir qu’on eſpere.	Apprenez par ce que j'ai vu faire, Si la raison encor peut souffrir qu'on espère.
TILICON.	TILICON.
L’Empereur ſeroit mort?	L'Empereur serait mort?
acheve promptement, Qu’as-tu veu?	achève promptement, Qu'as-tu vu?
LUCILE.	LUCILE.
Je paſſois par ſon appartement, Quand deſſus l’eſcalier une trouppe arreſtée Tout à coup pour entrer s’eſt enfin preſentée.	Je passais par son appartement, Quand dessus l'escalier une troupe arrêtée Tout à coup pour entrer s'est enfin présentée.
Les Gardes auſſi-toſt pour luy preſter ſecours De quelques-uns des leurs tranchent les triſtes jours, Et preſque en un moment leur barbare injuſtice A grands coups de poignard s’en fait un ſacrifice.	Les Gardes aussitôt pour lui prêter secours De quelques-uns des leurs tranchent les tristes jours, Et presque en un moment leur barbare injustice À grands coups de poignard s'en fait un sacrifice.
O Ciel!	Ô Ciel!
PLACIDIE.	PLACIDIE.
DOCILE.	DOCILE.
A ce ſpectacle immobile d’effroy, Je le ſens redoubler par tout ce que je voy;	À ce spectacle immobile d'effroi, Je le sens redoubler par tout ce que je vois;
La porte s’ouvre, on entre, & par cette ſurpriſe Seurs de ne plus trouver d’obſtacle à l’éntrepriſe, Ils ſont à peine entrez que j’oys des cris confus De Moitre l'Emptreur, & vive Eucherias.	La porte s'ouvre, on entre, et par cette surprise Sûrs de ne plus trouver d'obstacle à l'entreprise, Ils sont à peine entrez que j'ois des cris confus De Moître l'Ur, et vive Eucherias.
Le traiſtre!	Le traître!
PLACIDIE.	PLACIDIE.
LUCILE.	LUCILE.
Marcellin avec ſa foible eſcorte, Troche du cabinet en occupoit la porte.	Marcellin avec sa faible escorte, Troche du cabinet en occupait la porte.
Le Coupable à ſa garde ayant eſté donné, L’Empereur le mandant, il l’avoit amené;	Le Coupable à sa garde ayant été donné, L'Empereur le mandant, il l'avait amené;
Aiuſi contre eux ſans doute il s’eſt mis en deffence, Mais des ſiens & de luy que peut la reſiſtance?	Ajusi contre eux sans doute il s'est mis en défense, Mais des siens et de soins que peut la résistance?
Ils auront beau donner leur ſang à leur devoir, Le zéle eſt inutile où manque le pouvoir.	Ils auront beau donner leur sang à leur devoir, Lé zèle est inutile où manque le pouvoir.
l'our moy qu’a fuïr ſoudain la crainte à condamnée, Plaignant de l’Empereur la triſte deſtinée, I’ay long-temps au Palais publié ſon trépas, Sans pouvoir bien connoiſtrs où je portois mes pas	l'our moi qu'a fuir soudain la crainte à condamnée, Plaignant de l'Empereur la triste destinée, J'ai longtemps au Palais publié son trépas, Sans pouvoir bien connoistrs où je portais mes pas
PLA	PLA
PLACIDIE.	PLACIDIE.
Ah!	Ah!
rien n’a pû ſans doute empeſcher ce grand crime, L’Empereur a leur rage a ſervy de victime, C’en eit ſai:	rien n'a pu sans doute empêcher ce grand crime, L'Empereur a leur rage a servi de victime, C'en eit sais:
, & mon cœur par un traiſtre abuſé Voit trop tard dans ce mal l’erreur qui l’arcauſé;	, et mon cœur par un traître abusé Voit trop tard dans ce mal l'erreur qui l'arcausé;
A moy-meſme, à mon ſang, à tout l’Eſtat perfide, Pour le croire innocent, j’ay fait ſon parricide, Et l’appuy criminel que j’oſois luy preſter, Suſpendant ſon arreſt, a tout fait éclater.	À moi-même, à mon sang, à tout l'État perfide, Pour le croire innocent, j'ai fait son parricide, Et l'appui criminel que j'osais Seigneur prêter, Suspendant son arrêt, à tout fait éclater.
LICON.	LICON.
Madame, pardonnez dans un ſort ſi contraire A la ſtupidité qui me force à me taire, Je voy d’un noir complot le ſurprenant effet, Et ma raiſon ſe perd dans l’horreur du forfait:	Madame, pardonnez dans un sort si contraire À la stupidité qui me force à me taire, Je vois d'un noir complot le surprenant effet, Et ma raison se perd dans l'horreur du forfait:
Mais ce qui le ſuivra vous va faire connoiſtre Ce que je prens de part dans la mort de mon Maître, Et ſi par l’attentat ſon deſtin avancé.	Mais ce qui le suivra vous va faire connaître Ce que je prends de part dans la mort de mon Maître, Et si par l'attentat son destin avancé.
SCENE IV.	SCÈNE IV.
HONORIUS, STILICON;	HONORIUS, STILICON;
PLACIDIE, LUCILE.	PLACIDIE, LUCILE.
HONORIUS.	HONORIUS.
E crains rien, Stilicon, le peril eſt paſſé, NEt la faveur du Ciel t’a conſervé ce Maiſtre, Dont la mort te livroit aux attentats d’un traiſtre.	E crains rien, Stilicomon, le péril est passé, NEt la faveur du Ciel t'a conservé ce Maître, Dont la mort te livrait aux attentats d'un traître.
PLACILE.	PLACILE.
Ah, Seigneur, vous vivez!	Ah, Seigneur, vous vivez!
TILICON.	TILICON.
Seigneur.	Seigneur.
HONORIUS.	HONORIUS.
Embraſſe-moy, Je dois cette tendreſſe à ton zéle, à ta foy, Ton devoir dans ton fils m’offroit une vistime.	Embrasse-moi, Je dois cette tendresse à ton zèle, à ta foi, Ton devoir dans ton fils m'offrait une vistime.
LACIDIE.	LACIDIE.
Pour ce coupable fils oublierez-vous mon crime,	Pour ce coupable fils oublierez-vous mon crime,
Seigneur?	Seigneur?
dans ſon forfait mon eſprit partagé.	dans son forfait mon esprit partagé.
HONORI US.	HONORI US.
Ah!	Ah!
vous ſeule, ma ſœur, en avez bien jugé, Il eſtoit innocent, & jamais l’impoſture N’avoit fait ſoupçonner une vertu ſi pure.	vous seule, ma sœur, en avez bien jugé, Il était innocent, et jamais l'imposture N'avait fait soupçonner une vertu si pure.
LACIDIE.	LACIDIE.
Quoy, ce n’eſt pas pour luy qu’à hauts cris declarez.	Quoi, ce n'est pas pour lui qu'à hauts cris déclarés.
HONORIUS.	HONORIUS.
Son nom s’eſt fait oüir parmy les Conjurez;	Son nom s'est fait ouïrir parmi les Conjurés;
Mais on l’a veu bien-toſt contre leur eſperance Aux dépens de leur ſang prouver ſon innocence.	Mais on l'a vu bientôt contre leur espérance Aux dépens de leur sang prouver son innocence.
TILICON.	TILICON.
Mon fils n’eſt point coupable:	Mon fils n'est point coupable:
ah!	ah!
permettez, Seigneur, Que je coure joüir d’un ſi rare bonheur, Qu’en ſes embraſſemens.	permettez, Seigneur, Que je coure jouir d'un si rare bonheur, Qu'en ses embrassements.
Demieures HONORIUS.	Demieures HONORIUS.
Tu le vas voir paroiſtre,	Tu le vas voir paraître,
PLACI DIE.	PLACY DIE.
Mais, Seigneur, connoiſſez-vous le traiſtre?	Mais, Seigneur, connaissez-vous le traître?
Pour qui conſpiroit-on?	Pour qui conspirait-on?
HONORIUS.	HONORIUS.
C’eſt-ce qu’on va ſçavoir Par ceux des aſſaſſins qui ſont en mon pouvoir, Du Ciel dans leur deffaite admirez la juſtice.	C'est-ce qu'on va savoir Par ceux des assassins qui sont en mon pouvoir, Du Ciel dans leur défaite admirez la justice.
Ils voioyent à leurs vœux l’occaſion propice, Dans les nouveaux ſoupçons qui m’avoyent alarmé, Seul avecque ton fils je m’oſtois enfermé;	Ils voyaient à leurs vœux l'occasion propice, Dans les nouveaux soupçons qui m'avaient alarmé, Seul avec ton fils je m'ôtais enfermé;
Mais ils ne ſçavoyent pas que dans la juſte crainte Dont on a veu pour moy l’Imperatrice atteinte, Des plus zélez des miens quelque nombre ſans bruiPar ſon appartement dans le mien introduit, Dedans mon cabinet armé pour ma deffence, Contre la trahiſon faiſoit mon aſſeurance;	Mais ils ne savaient pas que dans la juste crainte Dont on a vu pour moi l'Impératrice atteinte, Des plus zélé des miens quelque nombre sans bruiPar son appartement dans le mien introduit, Dedans mon cabinet armé pour ma défense, Contre la trahison faisait mon assurance;
Marcellin par mon ordre au dehors demeuré, Eſtoit trompé luy-meſme, & l’avoit ignoré, Et n’ayant avec luy que deux des ſiens pour ſuite, A me laiſſer perir voyoit ſa foy reduite;	Marcellin par mon ordre au dehors demeuré, Était trompé m-même, et l'avait ignoré, Et n'ayant avec lui que deux des siens pour suite, À me laisser périr voyait sa foi réduite;
Lors qu’entrez en tumulte, & leurs indignes cris	Lors qu'entrez en tumulte, et leurs indignes cris
Nous ayant fait ſonger à n’eſtre point ſurpris, De Marcellin à peine ils bravent l’impuiſſance, Q’il nous voit tout à coup ſortir à ſa deffeuce.	Nous ayant fait songer à n'être point surpris, De Marcellin à peine ils bravent l'impuissance, Q'il nous voit tout à coup sortir à sa deffeuce.
Ce ſecours impréveu les ayant eſtourdis, Fait d’abord à nos pieds tomber les plus hardis, L’effroy ſuit auſſi-toſt leur attente trompée, Et ton fils de l’un d’eux ayant ſaiſi l’épée, Les yeux eſtincelants d’une illuſtre fureur, Quoy, vive Eucherins, & meure l’Empereur, Traiſtres?	Ce secours imprévu les ayant étourdis, Fait d'abord à nos pieds tomber les plus hardis, L'effroi suit aussitôt leur attente trompée, Et ton fils de l'un d'eux ayant saisi l'épée, Les yeux étincelants d'une illustre fureur, Quoi, vive Eucherins, et meure l'Empereur, Traîtres?
& de l’effet la menace eſt ſuivie, Son bras n’attaque point qu’il n’en couſte une vie;	et de l'effet la menace est suivie, Son bras n'attaque point qu'il n'en coûte une vie;
Il pouſſe, il frappe, il tuë, & par de ſi grands coups, L'avantage du nombre eſt tout entier pour nous.	Il pousse, il frappe, il tue, et par de si grands coups, L'avantage du nombre est tout entier pour nous.
C’eſt alors que cedant à l’ardeur d’un beau zele, Four des lâches, dit-il, cette mort eſt trop belle, Nos mains à trop d’entr’eux ont ouvert le tombeau.	C'est alors que cédant à l'ardeur d'un beau zèle, Four des lâches, dit-il, cette mort est trop belle, Nos mains à trop d'entr'eux ont ouvert le tombeau.
Reſervons ce qui reſte à celles d’un bourreau, Sous l’horreur dis tourmens qu’ils parlent, qu’ils m’accuſent.	Réservons ce qui reste à celles d'un bourreau, Sous l'horreur dis tourments qu'ils parlent, qu'ils m'accusent.
De leur dernier eſpoir ces mots les deſabuſent, Chacun cherche une mort qu’il ne peut obtenir, On épargne leur vie afin de les punir, On les met hors d’eſtat d’aucune reſiſtance, Et leur party par-là demeurant ſans deffence, Les derniers qu’à l’inſtant Eucherius pourſuit N’eſperent qu’en la fuite où leur ſort les reduit;	De leur dernier espoir ces mots les désabusent, Chacun cherche une mort qu'il ne peut obtenir, On épargne leur vie afin de les punir, On les met hors d'état d'aucune résistance, Et leur parti par-là demeurant sans défense, Les derniers qu'à l'instant Eucherius poursuit N'espèrent qu'en la fuite où leur sort les réduit;
Marcellin le ſeconde & luy preſte main forte, Et dans la noble ardeur qui tous deux les tranſporte, Rien ne peut dérober ces lâches revoltez Aux ſupplices affreux qui leur ſont appreſtez.	Marcellin le seconde et ainsi prête main forte, Et dans la noble ardeur qui tous deux les transporte, Rien ne peut dérober ces lâches révoltés Aux supplices affreux qui leur sont apprêtez.
ILICON.	ILICON.
Ah!	Ah!
puis qu’il reſte à vaincre, accordez-moy le gloire D’achever avec eux cette grande victoire, Je rougis que ſans moy l’on vous ait ſecouru.	puis qu'il reste à vaincre, accordez-moi le gloire D'achever avec eux cette grande victoire, Je rougis que sans moi l'on vous ait secouru.
Il ſort.	Il sort.
HONORIUS.	HONORIUS.
Enſin d’Eucherius l’innocence à parû, Li j’eſpere, ma ſœur, qu’eſtant toùjours aimée.	Ensin d'Eucherius l'innocence à paru, Li j'espère, ma sœur, qu'étant toujours aimée.
PLACIDIE.	PLACIDIE.
Seigneur, pour vous encor je ſuis toute alarmée, Ne me demandez rien, vous vivez, je le voy, L’entrepriſe eſt deſtruite, & c’eſt aſſez pour moy.	Seigneur, pour vous encor je suis toute alarmée, Ne me demandez rien, vous vivez, je le vois, L'entreprise est détruite, et c'est assez pour moi.
SCENE V.	SCÈNE V.
HONORIUS, PLACIDIE, MARCELLIN, LUCILE.	HONORIUS, PLACIDIE, MARCELLIN, LUCILE.
MARCELLIN.	MARCELLIN.
Eigueur.	Éigueur.
HONORIUS.	HONORIUS.
Et bien enfin?	Et bien enfin?
nos traîtres par leur fuise N’ont pû d’Eucherius éviter la pourſuite?	nos traîtres par leur fuise N'ont pu d'Eucherius éviter la poursuite?
MARCELLIN.	MARCELLIN.
Des trois les deux ſont pris, & de ſa propre main L’autre s’eſt mis ſur l’heure un poignard dans le ſeinMais un nouveau malheur dont tout mon cœur ſoûpire.	Des trois les deux sont pris, et de sa propre main L'autre s'est mis sur l'heure un poignard dans le seinMais un nouveau malheur dont tout mon cœur soupire.
NORIUS.	NORIUS.
Ciel!	Ciel!
qu’ay-je à craindre encor?	qu'ai-je à craindre encor?
MARCELLIN.	MARCELLIN.
Ie tremble à vous le dire, Mais je balance en vain ce funeſte rapport, Eucherius n’eſt plus.	Je tremble à vous le dire, Mais je balance en vain ce funeste rapport, Eucherius n'est plus.
HONORIUS.	HONORIUS.
Il eſt mort?	Il est mort?
MARCELLIN.	MARCELLIN.
Il eſt mort.	Il est mort.
PLACIDIE.	PLACIDIE.
Pourray-je déguiſer la douleur qui m’accable?	Pourrai-je déguiser la douleur qui m'accable?
Lucile, quelle atteinte!	Lucile, quelle atteinte!
HONORIUS.	HONORIUS.
O Prince déplorable!	Ô Prince déplorable!
Eucherius n’eſt plus, mais dans un tel malheur Acheve, Marcellin, de me percer le cœur,	Eucherius n'est plus, mais dans un tel malheur Achève, Marcellin, de me percer le cœur,
D2 Apprens-nous de ſa mort ce que tu peux connoiſtre.	D2 Apprends-nous de sa mort ce que tu peux connaître.
MARCELLIN.	MARCELLIN.
Avec la meſme ardeur qu’il vous a fait paroiſtre Lors qu’à vos yeux, Seigneur, il combatoit pour vous, Sur ceux qui le fuioyent il porte ſon couroux.	Avec la même ardeur qu'il vous a fait paraître Lors qu'à vos yeux, Seigneur, il combattait pour vous, Sur ceux qui le fuyaient il porte son courroux.
Comme s’il s’offençoit du ſecours qu’on luy preſte, C’eſt luy ſeul qui combat, luy ſeul qui les arreſte.	Comme s'il s'offensait du secours qu'on tu prête, C'est lui seul qui combat, Seigneur seul qui les arrête.
Il ne s’apperçoit point qu’aſſez proche du flanc U ne large bleſſeure épuiſe tout ſon ſang, Soit qu’au premier combat il l’euſt déja receué, Soit que de ce dernier ce fuſt l’injuſte iſſuë, A peine eſt-il finy, qu’en ſuite d’un faux pas Les forces luy manquant, il tombe entre mes bras;	Il ne s'aperçoit point qu'assez proche du flanc V ne large blessure épuise tout son sang, Soit qu'au premier combat il l'eût déjà recevé, Soit que de ce dernier ce fût l'injuste issue, À peine est-il fini, qu'en suite d'un faux pas Les forces lui manquant, il tombe entre mes bras;
Soudain l’Imperatrice accouruë à noſtre aide, A ce triſte accident cherche à donner remede;	Soudain l'Impératrice accourue à notre aide, À ce triste accident cherche à donner remède;
Mais luy de ſa pitié deſadvoüant l’effet, Je meers, dit-il, Madame, & je meurs ſatisfait, Puis qu’avant mon trépas j’ay fait voir à mon Maiſtre Que je meritois peu l’infame nom de traiſtre;	Mais lui de sa pitié désavouant l'effet, Je meers, dit-il, Madame, et je meurs satisfait, Puis qu'avant mon trépas j'ai fait voir à mon Maître Que je méritais peu l'infâme nom de traître;
Paimois, & c'eſt l'adveu d’im inſolent amæ Qui m’avcit ſȩen déja rendre indigne de jeur, Le Ciel juſte par tois fait plus qu’on n'oſoit croire, Piniiſſant mon audace il conſerve ma gloire, Et me ſouffre l’eſpoir d’un aſſez doux repos, Pourven que ma Princeſſe.	Paimais, et c'est l'aveu d'im insolent amæ Qui m'avcit sȩen déjà rendre indigne de jeur, Le Ciel juste par tais fait plus qu'on n'osait croire, Piniissant mon audace il conserve ma gloire, Et me souffre l'espoir d'un assez doux repos, Pourven que ma Princesse.
Il expire à ces mots, Es l’Amour à la mort par une juſte envie Dérobe le ſoûpir qui termine ſa vie.	Il expire à ces mots, Es l'Amour à la mort par une juste envie Dérobe le soupir qui termine sa vie.
HONORIUS.	HONORIUS.
Enfin un plein ſuccés a ſuivy vos refus, Vous triomphez, ma ſœur, Eucherius n’eſt plus.	Enfin un plein succès a suivi vos refus, Vous triomphez, ma sœur, Eucherius n'est plus.
