M IIATERE 196S	M MIATERE 196S
Moy le voyant trop prés pour tirer d’auantage, N’ayant autre deffence à mes pieds j’ay recours, Ie me mets donc en fuitte, & luy me ſuit touſjours:	Moi le voyant trop près pour tirer d'avantage, N'ayant autre défense à mes pieds j'ai recours, Je me mets donc en fuite, et lu me suit toujours:
Mais tout ceçy n’eſt rien.	Mais tout ceçi n'est rien.
Or à preſent eſcoute L'accident qui penſa me perdre preſque toute.	Or à présent écoute L'accident qui pensa me perdre presque toute.
Un voile dont j’auois reſſerré mes cheueux, Par je ne ſçay quel ſort ennemy de mes vœux, Se deſploye à demy, voltige ſur ma teste, Et rencontre à la fin vn rameau qui l’arreste;	Un voile dont j'avais resserré mes cheveux, Par je ne sais quel sort ennemi de mes vœux, Se déploie à demi, voltige sur ma tête, Et rencontre à la fin un rameau qui l'arrête;
Ie ſens qu’on me retient, & de peur de mourir Commence à redoubler mes forces pour côurir:	Je sens qu'on me retient, et de peur de mourir Commence à redoubler mes forces pour côurir:
Mais ce qui m’oste lors tout eſpoir de remede, Plus je m’efforce, & moins cette branche me cede:	Mais ce qui m'ôte lors tout espoir de remède, Plus je m'efforce, et moins cette branche me cède:
En fin je romps mon voile, y laiſſant attacheZ Aucuns de mes cheueux quant & quant arrachez Et la peur r’animant mon eſperance morte, De ſon aiſle empluma mes pieds de telle ſorte, Que ma legereté regagna promptement e que j’auois perdu dans ce retardement:	En fin je romps mon voile, y laissant attachez Aucuns de mes cheveux quant et quant arrachés Et la peur ranimant mon espérance morte, De son aile empluma mes pieds de telle sorte, Que ma légèreté regagna promptement é que j'avais perdu dans ce retardement:
Ainſi je ſors du bois ſans qu’il me peuſt attaindre, Et ſans auoir ſouffert autre mal que de craindre:	Ainsi je sors du bois sans qu'il me peut attaindre, Et sans avoir souffert autre mal que de craindre:
Puis je t’ay rencontrée en reuenant chez moy Toute troublée encore, & toute hors de toy, Et je m’estonnay fort de te voir estonnée, Te deuant reſ-ſouyr de me voir retournée.	Puis je t'ai rencontrée en revenant chez moi Toute troublée encore, et toute hors de toi, Et je m'étonnai fort de te voir étonnée, Te devant rés-souyr de me voir retournée.
Daphné.	Daphné.
Las!	Las!
tu vis, mais vn autre à preſent ne vit pas.	tu vis, mais un autre à présent ne vit pas.
Syluie.	Syluie.
Que dis-tu?	Que dis-tu?
voudrois-tu ſouhaiter mon treſpas?	voudrais-tu souhaiter mon trépas?
Daphné.	Daphné.
I'ay de te voir viuante, vne joye indicible, Mais d’vn autre la mert m’eſt certes biẽ séſible.	J'ai de te voir vivante, une joie indicible, Mais d'un autre la mert m'est certes bien sésible.
De quel autre?	De quel autre?
Syluie.	Syluie.
Daphné.	Daphné.
D MAmiinie.	 DAmiinie.
Syluie.	Syluie.
Aminte mort!	Aminte mort!
comment?	comment?
Daphné.	Daphné.
Ie ne le vous puis dire, & ne ſçay bonnement S’il eſt vray qu’il ſoit mort, mais j’en ſuis bien en peine, Et tiens, ou peu s’en faut, là choſe pour certaine.	Je ne le vous puis dire, et ne sais bonnement S'il est vrai qu'il soit mort, mais j'en suis bien en peine, Et tiens, ou peu s'en faut, là chose pour certaine.
luie.	luie.
Ce que tu me dis là, Daphné, m'eſtonne fort, Et que tron-ta qui font la cauſe de ſa mort?	Ce que tu me dis là, Daphné, m'étonne fort, Et que tron-ta qui font la cause de sa mort?
Ta mort.	Ta mort.
Daphné.	Daphné.
Syluie.	Syluie.
Expliques toy:	Expliques toi:
Daphné.	Daphné.
Le rapport pitoyable Qu'il ouys de ta mort, & qu’il creut trop croyable, L'aura fait rechercher le fer, ou le cordeau, Ou quelqu'autre moyen de deſcendre au tõbeau.	Le rapport pitoyable Qu'il ouïs de ta mort, et qu'il crut trop croyable, L'aura fait rechercher le fer, ou le cordeau, Ou quelqu'autre moyen de descendre au tombeau.
Syluie.	Syluie.
ette peur qui pour moy ta deſia miſe en peine, Peut bien encore vn coup pour vn autre estre Paine.	Jette peur qui pour moi ta déjà mise en peine, Peut bien encore un coup pour un autre être Paine.
Car ſçaches que la vie a de certains appas Qui la feront touſiours preferer au treſpas.	Car saches que la vie a de certains appas Qui la feront toujours préférer au trépas.
Daphné.	Daphné.
O Syluie!	Ô Syluie!
ô Syluie!	ô Syluie!
ah tu ne peux entendre e que le feu d’amour peut deſſus vn cœur tẽdre, Vn cœur, diſ-je, qui ſoit & ſenſible, & de chair, Et non cõme eſt le tien, qui ſoit fait d'vn rocher.	ah tu ne peux entendre e que le feu d'amour peut dessus un cœur tendre, Un cœur, dis-je, qui soit et sensible, et de chair, Et non comme est le tien, qui soit fait d'un rocher.
Car ſi tu l’auois ſçeu, tu n’euſſes pas fait gloire De bannir cét amant ſi loin de ta memoire, Aminte t’eut ſans doute esté plus precieux, Aminte qui t’aymoit plus que ſes propres yeux, Et meſmes, je le croy, mais je l’ay veu, Syluie, Qui t’aymoit, je le ſçay, plus que ſa propre vie:	Car si tu l'avais su, tu n'eusses pas fait gloire De bannir cet amant si loin de ta mémoire, Aminte t'eut sans doute été plus précieux, Aminte qui t'aimait plus que ses propres yeux, Et mêmes, je le crois, mais je l'ai vu, Syluie, Qui t'aimait, je le sais, plus que sa propre vie:
Je le vy quand tu fuys, plus cruelle cent fois Qu'vn Tigre que l’eſpieu tient aux derniers abbois, Et lors que tu deuois d’vne accollade heureuſe Alleger les ſoucis de ſa peine amoureuſe:	Je le vis quand tu fuis, plus cruelle cent fois Qu'un Tigre que l'épieu tient aux derniers abois, Et lors que tu devais d'une accollade heureuse Alleger les soucis de sa peine amoureuse:
Contre ſoy meſme vn dard je le vy renuerſer, Et tout deſeſperé dans ſon ſein le pouſſer, Et ſans ſe repentir de l’excez de ſa rage, Apres le coup encor approuuer ſon courage:	Contre soi même un dard je le vis renverser, Et tout désespéré dans son sein le pousser, Et sans se repentir de l'excès de sa rage, Après le coup encor approuver son courage:
Le coup qui ſes habits & ſa peau tranſperça, Et juſques dãs ſon ſang le dard preſque enfonça, Si bien qu’il l’eut plõgé dans ce cœur qui t’adore, Ce cœur que tu perças plus durement encore, Si je n’euſſe couru de mon bras au deuant, Et ne l'euſſe empeſché de paſſer plus auant:	Le coup qui ses habits et sa peau transperça, Et jusques dans son sang le dard presque enfonça, Si bien qu'il l'eut plõgé dans ce cœur qui t'adore, Ce cœur que tu perças plus durement encore, Si je n'eusse couru de mon bras au devant, Et ne l'eusse empêché de passer plus avant:
Parauanture helas!	Paraventure hélas!
cette petite playe Ne fut tant ſeulemẽt qu’vne preuue trop vraye De ce que ſa fureur nous vouloit faire voir Dedans le dernier coup d’vn constant deſeſpoir, Et monstra cette voye à ſon ferplein d’audace, Ou plus libre il debuoit recourir ſur ſa trace.	cette petite plaie Ne fut tant seulement qu'une preuve trop vraie De ce que sa fureur nous voulait faire voir Dedans le dernier coup d'H constant désespoir, Et montra cette voie à son ferplein d'audace, Ou plus libre il débuait recourir sur sa trace.
dy fuie.	dis fuie.
Helas que me dis-tu?	Hélas que me dis-tu?
Daphné.	Daphné.
Ie l’ay depuis reueu Au faux bruit de ta mort de ſes ſens deſpourueu Tõber entre mes bras tout défait, & tent bleſme, Puis courir furieux s’aller tuër ſoy-meſme, Duserieuotement nſt ſera tue.	Je l'ai depuis revu Au faux bruit de ta mort de ses sens dépourvu Tomber entre mes bras tout défait, et tent blême, Puis courir furieux s'aller tuée soi-même, Duserieuotement nst sera tue.
S yluie.	S yluie.
Auroit-ilvn deſſein ſi noir effectué?	Aurait-ilvn dessein si noir effectué?
Daphné.	Daphné.
Las ie n’en doute point.	Las ici n'en doute point.
Syluie.	Syluie.
Neus tu pas le courage D'eſſayer pour le moins a moderer ſa rage?	Nus tu pas le courage D'essayer pour le moins a modérer sa rage?
Ne le ſuiuis-tu point afin de l’empeſcher?	Ne le suivis-tu point afin de l'empêcher?
Allons, allons apres, las!	Allons, allons après, las!
allons le chercher, Car s’il eut pour ma mort, de mourir tãt d’enuie, Il deurà conſentir de viure pour ma vie.	allons le chercher, Car s'il eut pour ma mort, de mourir tant d'envie, Il devrà consentir de vivre pour ma vie.
Daphné.	Daphné.
Je le ſuiuis auſſi, mais il fuyoit ſi fort, Que de deuant mes yeux il diſparut d’abord, Et depuis i’ay cent fois couru toute la place, Et taſché vainement à découurir ſa trace:	Je le suivis aussi, mais il fuyait si fort, Que de devant mes yeux il disparut d'abord, Et depuis j'ai cent fois couru toute la place, Et tâché vainement à découvrir sa trace:
On veux-tu donc aller ſi l'on ne treuue pas Pour nous conduire à luy, le moindre de ſes pas?	On veux-tu donc aller si l'on ne trouve pas Pour nous conduire à personne, le moindre de ses pas?
Syluie.	Syluie.
Si l'vne de nous deux dedans peu ne le treuue, Il fera de ſon bras vne homicide eſpreuue.	Si l'une de nous deux dedans peu ne le trouve, Il fera de son bras une homicide épreuve.
Daphné.	Daphné.
Cruelle!	Cruelle!
n’as-tu point quelque apprehenſion Qu’il ne t’oste l’honneur d’vne telle action?	n'as-tu point quelque appréhension Qu'il ne t'ôte l'honneur d'une telle action?
Pour auoir de ſa mort la gloire toute entiere Tu voudrois icy meſme estre dõc ſa meurtriere?	Pour avoir de sa mort la gloire toute entière Tu voudrais icy même être donc sa meurtrière?
Et peut estre crois tu que cét acte inhumain, Puis qu’il regarde Aminte, appartient à tamain:	Et peut -être crois -tu que cet acte inhumain, Puis qu'il regarde Aminte, appartient à tamain:
Mais va conſoles-toy, tout l’honneur t’en demeure, Car de quelque façon que maintenant il meure, Il meurt & par toyſeule & pour to yſeule auſſi.	Mais va consoles-toi, tout l'honneur t'en demeure, Car de quelque façon que maintenant il meure, Il meurt et par toisevle et pour toi yseule aussi.
Syluie.	Syluie.
Las!	Las!
que tu me remplis d’vn estrange ſoucy;	que tu me remplis d'une étrange souci;
Ie ſens que le regret de ſa mort qui me trouble De plus en plus dans moy s’aigrit & ſe redouble Au faſcheux ſouuenir de cette cruauté Que ie nommois vn ſoin de mon honesteté.	Je sens que le regret de sa mort qui me trouble De plus en plus dans moi s'aigrit et se redouble Au fâcheux souvenir de cette cruauté Que ils nommais un soin de mon honesteté.
Elle l’estoit de vray, mais vn ſoin trop ſeuere Pour vn ſi ſainct amour qu’à preſent ie reuere, Ie commence, & trop tard, à m’en apperçeuoir.	Elle l'était de vrai, mais un soin trop sévère Pour un si saint amour qu'à présent ie reuere, Ie commence, et trop tard, en apperçeuoir.
Daphné.	Daphné.
O qu’eſt-ce que i’entens!	Ô qu'est-ce que j'entends!
ô que viens-je de voir!	ô que viens-je de voir!
Que tu ſois deuenuë à preſent pitoyable?	Que tu sois devenue à présent pitoyable?
Que tu pleures ſuperbe?	Que tu pleures superbe?
ô merueille incroyable!	ô merveille incroyable!
Mais quels pleurs ſont-ce là?	Mais quels pleurs sont-ce là?
ſont-ce pleurs d’amitié?	sont-ce pleurs d'amitié?
Syluie.	Syluie.
D'amitié, nullement, mais des pleurs de pitié.	D'amitié, nullement, mais des pleurs de pitié.
Daphné.	Daphné.
La pitié, de l’amour eſt vn certain preſage.	La pitié, de l'amour est un certain présage.
De meſme que l’eclair du foudre eſt le meſſage.	De même que l'éclair du foudre est le message.
Chœur.	Chœur.
Et meſmes bien ſouuent quand il ſe veut gliſſer D’ou la ſeuerité le pourroit repouſſer, Il quitte ſon orgueil, & ſa façon altiere, Et paroiſt ſous l’habit de cette auant-couriere, Et quand il s’apperçoit que ce maſque trompeur Ne laiſſe aucun ſubject de ſoupçon, ny de peur, Alors ſubtilement au cœur il s’inſinuë.	Et mêmes bien souvent quand il se veut glisser D'ou la seuerité sujet de repousser, Il quitte son orgueil, et sa façon altière, Et paraît sous l'habit de cette avant-couriere, Et quand il s'apperçoit que ce masque trompeur Ne laisse aucun sujet de soupçon, ni de peur, Alors subtilement au cœur il s'insinue.
Daphné.	Daphné.
D’amour viennent les pleurs, que trop on continuë:	D'amour viennent les pleurs, que trop on continue:
Tu te tais:	Tu te tais:
aymes-tu?	aimes-tu?
ſans doute:	sans doute:
mais en vain.	mais en vain.
O tout puiſſant Amour, ce coup eſt de ta main:	Ô tout puissant Amour, ce coup est de ta main:
C’eſt toy qui la punis d'vne ſi juste peine, Et qui vanges les maux qu’a fait cette inhumaine.	C'est toi qui la punis d'une si juste peine, Et qui venge les maux qu'a fait cette inhumaine.
Pôure Aminte ſemblable à l’abeille en ton ſort, Qui ne ſçauroit piquer ſans ſe donner la mort;	Posture Aminte semblable à l'abeille en ton sort, Qui ne saurait piquer sans se donner la mort;
ẽt inſenſible cœur de ta fiere Syluie Que tu ne pus jamais bleſſer durant ta vie:	ẽt insensible cœur de ta fière Syluie Que tu ne pus jamais blesser durant ta vie:
Ce cœur, dis je, inſenſible, auſſi bien qu’inſenSe treuue maintenant par ta mort tranſpercé.	Ce cœur, dis -je, insensible, aussi bien qu'insenSe trouve maintenant par ta mort transpercé.
Or ſi comme je croy, tu n’es plus qu’vne idole, Qui de corps deſpoüillée autour de ces lieux vole, Conſidere ces pleurs, & prens ce reconfort Qu’ayant aymé viuant, on t’ayme apres tamort:	Or si comme je crois, tu n'es plus qu'une idole, Qui de corps dépouillée autour de ces lieux vole, Considère ces pleurs, et prends ce réconfort Qu'ayant aimé vivant, on t'aime après tort:
Et ſi c'estoit ton ſort que ta fiere Syluie Deuoit tant ſeulement t’aymer apres ta vie, Si jamais ne daigna cette ame de rocher Te vendre ſon amour qu’auec vn prix ſi cher.	Et si c'était ton sort que ta fière Syluie Deuait tant seulement t'aimer après ta vie, Si jamais ne daigna cette âme de rocher Te vendre son amour qu'avec un prix si cher.
Tu ne l’as pas voulu frustrer de ſon attente, Ny rabatre du prix qui la rendiſt contente, Et par ta mort ayant ſon amour acheté, A preſent tu luy fais ſentir ſa laſcheté.	Tu ne l'as pas voulu frustrer de son attente, Ny rabatre du prix qui la rendît contente, Et par ta mort ayant son amour acheté, A présent tu lui fais sentir sa lâcheté.
Chœur.	Chœur.
Prix certes par trop cher à celuy qui le donne, Inutile, & honteux, à toute autre perſonne.	Prix certes par trop cher à celui qui le donne, Inutile, et honteux, à toute autre personne.
Syluie.	Syluie.
Syluie.	Syluie.
Las bons Dieux!	Las bons Dieux!
que n’eſt-il en mon pouuoir ce jour De racheter ſa vie auecques mon amour!	que n'est-il en mon pouvoir ce jour De racheter sa vie avec mon amour!
ouquene pun je encoss cumne paurous enuie,	ouquène pun je encoss cumne paurous envie,
Daphné.	Daphné.
O tardif repentir, helas tu pleures bien, Mais lors que tous ces pleurs ne ſeruent plus de rien.	Ô tardif repentir, hélas -tu pleures bien, Mais lors que tous ces pleurs ne servent plus de rien.
ACTE QVATRIEME.	ACTE QUATRIÈME.
CENE SECONDE.	CÈNE SECONDE.
ERGASTE MESSAGER.	ÉRGASTE MESSAGER.
CHOEVR.	CHOEUR.
SYLVIE.	SYLVIE.
DAPHNE'.	DAPHNE.
ERGASTE.	ÉRGASTE.
Ay le cœur ſi remply d’horreur, & de tristeſſe, Que tout ce que je voy m'eſpouuante, & me bleſſe.	Ai le cœur si rempli d'horreur, et de tristesse, Que tout ce que je vois m'épouvante, et me blesse.
Chœur.	Chœur.
Qu’apporte cettuy-cy!	Qu'apporte celui-cy!
dont l’accent ſi troublé Nous teſmoigne qu’il eſt d’vn grãd mal accabli	dont l'accent si troublé Nous témoigne qu'il est d'un grand mal accabli
Ergaſte.	Ergaste.
Tapporte d’vne mort la funeste nouuelle.	Tapporte d'une mort la funeste nouvelle.
Syluie.	Syluie.
onuuique ces premiers mots me mettent en ceruelle.	onuvique ces premiers mots me mettent en cervelle.
Ergaſte.	Ergaste.
Ce gracieux Berger, cét honneur de nos bois, Qui dans ſon chaste ſein logea tout à la fois Les Muſes, & l’Amour, auec tant d’auantage:	Ce gracieux Berger, cet honneur de nos bois, Qui dans son chaste sein logea tout à la fois Les Muses, et l'Amour, avec tant davantage:
Nostre Aminte en vn mot, eſt mort en ſonjeune âge:	Notre Aminte en un mot, est mort en sonjeune âge:
Mais las de quelle mort.	Mais las de quelle mort.
Chœur.	Chœur.
Dt grate conte.	Dt grate compte.
nous L’histoire d'vn malheur qui nous regarde tous:	nous L'histoire d'Hon malheur qui nous regarde tous:
Afin que nous puiſſions le pleurer tous enſemble.	Afin que nous puissions le pleurer tous ensemble.
Syluie.	Syluie.
Las je n’oſe approcher, je ſens mon cœur qui tremble, Penſant à ce qu’il faut que j’entende pourtant:	Las je n'ose approcher, je sens mon cœur qui tremble, Pensant à ce qu'il faut que j'entende pourtant:
Cruel cœur, cœur ſauuage, hé quoy, que crainstu tant?	Cruel cœur, cœur sauvage, hé quoi, que crainûtu tant?
Ua, vat'en hardiment, va-t’en à la rencontre Du glaiue de ſa langue, & là ta fierté montre.	Oùa, vat'en hardiment, va-t-en à la rencontre Du glaiue de sa langue, et là ta fierté montre.
Pasteur je viens à toy pour reçeuoir auſſi Ma part de la douleur que tu promets icy, Helas elle eſt de moy juſtement attenduë, El ſe larejehray tomme 'enc enoje du, Ne m'en ſois donc point chiche.	Pasteur je viens à toi pour recevoir aussi Ma part de la douleur que tu promets ici, Hélas elle est de moi justement attendue, Él se larejehray tomme 'enc eno du, Ne m'en sois donc point chiche.
Ergaſte.	Ergaste.
Ah vrayment je te croy:	Ah vraiment je te crois:
Car il finit ſa vie en diſcourant de toy, Et ton nom le dernier ſortit de ſa memoire.	Car il finit sa vie en discourant de toi, Et ton nom le dernier sortit de sa mémoire.
Daphné.	Daphné.
Or commence à preſent cette funeste histoire.	Or commence à présent cette funeste histoire.
Ergaſte.	Ergaste.
Estant ſur vn costeau voiſin de nos forests, Que depuis peu j’auois enceint de quelques rets, Ie vey paſſer Aminte, & leus dans ſon viſage Ie ne puis dire quoy de ſinistre preſage, Il eſtoit ſi plongé dans vn profond ennuy, Qu’on l’eut pris aisémẽt pour tout autre que luy.	Étant sur un costeau voisin de nos forêts, Que depuis peu j'avais enceint de quelques rets, Je vi passer Aminte, et lus dans son visage Je ne puis dire quoi de sinistre présage, Il était si plongé dans un profond ennui, Qu'on l'eut pris aisémẽt pour tout autre que tu.
Et moy de courre apres, je le joins, je l’arreste:	Et moi de courre après, je le joins, je l'arrête:
Lors il me dit, Ergaste, eſcoute vne requeste:	Lors il me dit, Égaste, écoute une requête:
Si jamais tu voulus me faire aucun plaiſir, Tu peus executer maintenant ce deſir.	Si jamais tu voulus me faire aucun plaisir, Tu peux exécuter maintenant ce désir.
Vien donc ou ta preſence eſt plus que neceſſaire A certaine action que j’ay deſſein de faire:	Viens donc ou ta présence est plus que nécessaire A certaine action que j'ai dessein de faire:
Mais je demande encor que tout premierement Tu t’obliges à moy par vn estroit ſerment, De te tenir au loing, & ne me point diſtraire, De ce que tu verras que j’ay deſſein de faire:	Mais je demande encor que tout premièrement Tu t'obliges à moi par un étroit serment, De te tenir au loin, et ne me point distraire, De ce que tu verras que j'ai dessein de faire:
Pour moy (qui d’vn tel cas ſe fut jamais douté.	Pour moi (qui d'un tel cas se fut jamais douté.
Qui ſemblable fureur eut jamais redouté!	Qui semblable fureur eut jamais redouté!
Ie feytous les ſermens qu’il voulut que je fiſſe, Qu'aucun Dieu ne reçeut jamais mon ſacrifice, Je juray Pan, Pallas, & Pomone, & Ceres, La Diane des Cieux, celle de nos foreſts, Et celle qui là bas dans ſes manoirs nocturnes Retient ſous ſon pouuoir tant d’õbres taciturnes.	Je feinte les serments qu'il voulut que je fisse, Qu'aucun Dieu ne reçut jamais mon sacrifice, Je jurai Pan, Pallas, et Pomone, et Ceres, La Diane des Cieux, celle de nos forêts, Et celle qui là bas dans ses manoirs nocturnes Retient sous son pouvoir tant d'ombres taciturnes.
Ou le coſteau ſe leue, & ſe coupe plus droit;	Ou le costeau se lève, et se coupe plus droit;
Et rendu par des rocs du tout inacceſſible, Fait auec la vallée vn precipice horrible.	Et rendu par des rocs du tout inaccessible, Fait avec la vallée un précipice horrible.
Lors que nous fuſmes là, je voulus voir en bas, Mais ſoudain de frayeur je retiray mes pas:	Lors que nous fûmes là, je voulus voir en bas, Mais soudain de frayeur je retirai mes pas:
Luy d'evn petit ſouris radoucit ſon viſage, Et par cette action raſſeura mon courage:	Lui d'evn petit souris radoucit son visage, Et par cette action rassura mon courage:
Puis il me parle ainſi:	Puis il me parle ainsi:
fais aux Nymphes ſçauoir, Fais ſçauoir aux Bergers ce qu’icy tu vas voir:	fais aux Nymphes savoir, Fais savoir aux Bergers ce qu'ici tu vas voir:
Puis dit en regardant au fonds du precipice, Si la gueule des Loups m’eſtoit auſſi propice, Ouy ſi j’auois leurs dents à mon commandement Comme j’ay ce coſteau pour finir mon tourment;	Puis dit en regardant au fonds du précipice, Si la gueule des Loups m'était aussi propice, Oui si j'avais leurs dents à mon commandement Comme j'ai ce costeau pour finir mon tourment;
Ie me garderois bien d’auoir vne autre enuie Que de ſouffrir la mort qu’a ſoufferte ma vie:	Je me garderais bien d'avoir une autre envie Que de souffrir la mort qu'a soufferte ma vie:
Mes membres déchireZ ſeroient au meſme eſtat Que furent ceux helas!	Mes membres déchirés seraient au même état Que furent ceux hélas!
d'vn corps ſi delicat:	d'un corps si délicat:
Mais puis que le Ciel nie à mes iuſtes prieres Les ventres affameZ des beſtes carnaſſieres Qui viendroient maintenant bien à temps m'engloutir, De mourir autrement il me faut conſentir;	Mais puis que le Ciel nie à mes justes prières Les ventres affamés des bêtes carnassières Qui viendraient maintenant bien à temps m'engloutir, De mourir autrement il me faut consentir;
Ie prens donc ce moyen qu’a preſent il m'octroye, S'il n'eſt tel qu’il faudroit, c’eſt la plus courte e;	Je prends donc ce moyen qu'a présent il m'octroie, S'il n'est tel qu'il faudrait, c'est la plus courte e;
Je te ſuy, ma Syluie, & viens t’accompagner, Au moins ſi tu ne veux encor me dédaigner, Et je mourrois content ſi j’auois aſſeurance De ne te point faſcher par ma perſeuerance, De ne te point troubler en venant apres toy, Et que cette colere eſpriſe contre moy Se fut laißée au moins eſteindre auec ta vie:	Je te suis, ma Syluie, et viens t'accompagner, Au moins si tu ne veux encor me dédaigner, Et je mourrais content si j'avais assurance De ne te point fâcher par ma persévérance, De ne te point troubler en venant après toi, Et que cette colère éprise contre moi Se fut laissée au moins éteindre auec ta vie:
Reçoy-moy, ie te ſuy, ie viens à toy, Syluie.	Reçois-moi, Seigneur te suis, notre viens à toi, Scylue.
A ces mots ou ſa voix plus forte ſe hauſſa, La teſte baſſe, en bas, d’vn ſaut il ſe lança:	À ces mots ou sa voix plus forte se haussa, La tête basse, en bas, d'un saut il se lança:
Me laiſſant ſans pouuoir qu'à peine ouurie la bouche Auſſi froid, & muet, qu’vne inſenſible ſouche	Me laissant sans pouvoir qu'à peine ouvrie la bouche Aussi froid, et muet, qu'une insensible souche
Daphné.	Daphné.
Le poure Aminte !	Le pôvre Aminte !
Syluie.	Syluie.
Helas!	Hélas!
Chœur.	Chœur.
Que ne le retins-tu?	Que ne le retins-tu?
Le ſerment que tu fis eut-il tant de vertu Que de t'en retenir?	Le serment que tu fis eut-il tant de vertu Que de t'en retenir?
Ergaſte.	Ergaste.
Ergaſte.	Ergaste.
Non, car en cas ſemblables royant que les ſermens ſont peu conſiderables, Lors que je roconnu ſon deſſein inhumain, Le plustoſt que je peu j’y courus de la main:	Non, car en cas semblables royant que les serments sont peu considérables, Lors que je roconnu son dessein inhumain, Le plutôt que je peu j'y courus de la main:
Mais comme le voulut ſa mauuaiſe auanture, Ie ne ſçeu l’attraper que par cette ceinture, Qui ne pouuant porter l’impetuoſité, Non plus que le fardeau du corps precipité, Tout à coup déchirée en la main me demeure.	Mais comme le voulut sa mauvaise aventure, Je ne su l'attraper que par cette ceinture, Qui ne pouvant porter l'impétuosité, Non plus que le fardeau du corps précipité, Tout à coup déchirée en la main me demeure.
Chœur.	Chœur.
Et ce malheureux corps que deuint-il à l'heure?	Et ce malheureux corps que devint-il à l'heure?
Ergaſte.	Ergaste.
Ie ne le vous puis dire, vne telle fureur Me remplit tellement toute l’ame d’horreur, Que je n'eus pas aſſez de force en mon couraPour regarder en bas les effets de ſa rage, De crainte de n’y voir que les diuerſes morts Dont chaque membre à part mouroit loin deſon corps.	Je ne le vous puis dire, une telle fureur Me remplit tellement toute l'âme d'horreur, Que je n'eus pas assez de force en mon couraPour regarder en bas les effets de sa rage, De crainte de n'y voir que les diverses morts Dont chaque membre à part mourait loin des corps.
Chœur.	Chœur.
O l'estrange accident!	Ô l'étrange accident!
ô l'estrange merueille!	ô l'étrange merveille!
O gruuut nulour!	Ô gruut nulour!
amour qui n'as point ta pareille!	amour qui n'as point ta pareille!
Syluie.	Syluie.
Ie ſuis bien vn rocher puis que je ne meurs pas En oyant le recit d’vn ſi ſanglant treſpas, Ah ſi la fauſſe mort d’vne fille inhumaine A bien eu le pouuoir de luy cauſer la mort, Le treſpas trop certain d’vn qui m’aymoit ſi fort Deuroit plus iu stement m’oster à moy la vie, Et qu’il me l’oste auſſi, c’eſt toute mon enuie:	Je suis bien un rocher puis que je ne meurs pas En oyant le récit d'un si sanglant trépas, Ah si la fausse mort d'une fille inhumaine A bien eu le pouvoir de Seigneur causer la mort, Le trépas trop certain d'un qui m'aimait si fort Deurait plus ju stement m'ôter à moi la vie, Et qu'il me l'ôte aussi, c'est toute mon envie:
Et s’il faut qu’il m’arriue vn ſi honteux malheur, Que de ne pas mourir par ma ſeule douleur, Je mourray par le fer, ou par cette ceinture Qui ne le ſuiuit pas en ſa triste auanture, Non ſans quelque ſubject, mais afin ſeulement De punir ma rigueur d’vn juste chastiment, Et de vanger ſur moy cette fin ſi tragique.	Et s'il faut qu'il m'arrive un si honteux malheur, Que de ne pas mourir par ma seule douleur, Je mourrai par le fer, ou par cette ceinture Qui ne le suivit pas en sa triste aventure, Non sans quelque sujet, mais afin seulement De punir ma rigueur d'vn juste châtiment, Et de venger sur moi cette fin si tragique.
Ceinture toute en deüil, miſerable relique D'vn maistre encore plus miſerable que toy, Souffre de demeurer maintenant auec moy, Car tu n’es auec moy ſi digne de ta haine, Que comme vn instrument de vengeance, & de peine:	Ceinture toute en deuil, misérable relique D'un maître encore plus misérable que toi, Souffre de demeurer maintenant avec moi, Car tu n'es avec moi si digne de ta haine, Que comme un instrument de vengeance, et de peine:
Ie deuois, je deuois, c’eſt bien la verité, La compagne d’Aminte, au monde auoir esté, Mais puis-que la fierté de mon ame inſenſible, A rendu parmy nous ce bon-heur impoſſible, Il faut par ton moyen que je la ſois là bas.	Je devais, je devais, c'est bien la vérité, La compagne d'Aminte, au monde avoir été, Mais puis-que la fierté de mon âme insensible, A rendu parmi nous ce bonheur impossible, Il faut par ton moyen que je la sois là bas.
Chœur.	Chœur.
Nymphe, conſoles-toy, ne deſeſperes pas, Ce deſaſtre, croy nous, ne vient point de tafaute, Il en faut rechercher vne cauſe plus haute, Les Dieux ont eſté ſeuls autheurs d'vn tel malheur, Ta rigueur n’eſt pas tant à blaſmer que la leur.	Nymphe, consoles-toi, ne désespères pas, Ce désastre, crois nous, ne vient point de tafaute, Il en faut rechercher une cause plus haute, Les Dieux ont été seuls auteurs d'un tel malheur, Ta rigueur n'est pas tant à blâmer que la leur.
Syluie.	Syluie.
Bergers, que pleurez-vous?	Bergers, que pleurez-vous?
ſi c’eſt de ma triſteſſe, Que cette affliction, que ces pleurs ayent ceſſe,	si c'est de ma tristesse, Que cette affliction, que ces pleurs aient cesse,
I'ay merité de voir chacun me refuſer Vne telle pitié dont je ne ſçeus vſer:	J'ai mérité de voir chacun me refuser Une telle pitié dont je ne su user:
Si d’vn ſi grand malheur vos larmes ont leur ſource, Ie vous conjure encor d’en arrester la courſe;	Si d'un si grand malheur vos larmes ont leur source, Je vous conjure encor d'en arrêter la course;
Pour l’innocente mort de ce pôure Berger, (ger:	Pour l'innocente mort de ce posture Berger, (ger:
