Iouxte la copie Imgrlede	Jette la copie Imgrède
DE SOTENVILLE Vous deuez conſiderer que c’eſt vne ieune fille éleuee à la verta, & qui nen point accounumée à ſe voir ſoubçonner d’aucune vilaine action.	DE SOTENVILLE Vous devez considérer que c'est une jeune fille élève à la verta, et qui nen point accounumée à se voir soubçonner d'aucune vilaine action.
Adieu, Ie ſuis rauie de voir vos deſordres ſinis & des trãſports de ioye que vous doit donner ſa conduite.	Adieu, Je suis ravie de voir vos désordres sinis et des transports de joie que vous doit donner sa conduite.
G.	G.
DANDIN.	DANDIN.
Ie ne dis mot, car ie ne gaignerois rien à parler, & jamais il ne s’eſt veu rien d’égal à ma diſgrace Ouy I'admire mon malheur & la ſubtile adreſſe de ma carogne de femme pour ſe donner toûjours raiſon, & me faire auoir tort.	Je ne dis mot, car ainsi ne gagnerais rien à parler, et jamais il ne s'est vu rien d'égal à ma disgrâce Oui J'admire mon malheur et la subtile adresse de ma carogne de femme pour se donner toujours raison, et me faire avoir toujours.
Eſt-il poſſible que toûjours j’auray du deſſous auec elle, que les apparences toûiours tourneront contre moy & que ie ne paruiendray point à conuaincre mon effrontée?	Est-il possible que toujours j'aurai du dessous avec elle, que les apparences toujours tourneront contre moi et que sans ne parviendrai point à convaincre mon effrontée?
ô Ciel!	ô Ciel!
ſeconde mes deſſeins, & m’accorde la grace de faire voir aux gens que l'on me deshonore.	seconde mes desseins, et m'accorde la grâce de faire voir aux gens que l'on me déshonore.
ACTE III.	ACTE III.
SSEIIA TREMIERE, CLITANDRE, LVBIN.	SSEIIA TREMIERE, CLITANDRE, LVBIN.
CLITANDRE A nuit eſt auancée, & i'ay peur qu’il ne ſoit Ltrop tard.	CLITANDRE A nuit est avancée, et j'ai peur qu'il ne soit Ltrop tard.
Ie ne voy point à me conduire, Lubin.	Je ne vois point à me conduire, Lubin.
Monſieur.	Monsieur.
LVBIN CLITANDRE Eſt-ce parieyr Lvmiiv Ie penſe qu’ouy.	LUBIN CLITANDRE Est-ce paryr LUmiiv Ie pense qu'oui.
Morgué, voila vn e ſotte nuit, d’eſtre ſi noire que cela.	Morgué, voilà un é loire nuit, d'être si noire que cela.
CLTTANDRE Elle a tort aſſurément.	CLTANDRE Elle a tort assurément.
Mais ſi d'vn coſté elle nous empeſche de voir elle empe ſche de l’autre que nous ne lojonsveus.	Mais si d'un côté elle nous empêche de voir elle empe sche de l'autre que nous ne lojonsvus.
M.	M.
Vous auez raiſon elle n’a pas tant de tort.	Vous avez raison elle n'a pas tant de tort.
Ie voudrois bien ſçauoir, Monſieur, vous qui eltes Içauant;	Je voudrais bien savoir, Monsieur, vous qui éltes Içauant;
pourquoy il ne fait point iour la nuit.	pourquoi il ne fait point jour la nuit.
CLITANDRE C’eſt vne grande queſtion & qui eſt difficilè.	CLITANDRE C'est une grande question et qui est difficilène.
Tu es curicua etbn Sesii	Tu es curicua etbn Sési
Ouy orrauois enture, raurois eſté ſongér à des choſes où on a iamais ſongé.	Oui orravais enture, raurais été songer à des choses où on a jamais songé.
CLITANDRE Ie l:	CLITANDRE Je l:
croy Tu as la mine d’auoir l’eſprit ſubtil & penétrant.	crois Tu as la mine d'avoir l'esprit subtil et pénétrant.
LVBIN	LUBIN
Cela eſt vray.	Cela est vrai.
Tenez i'explique du Latin, quoy que iamais ie ne l’aye appris, & voyant l’autre iour écrit ſur une grande porte Collegium, ie deuinay que cela vouloit dite College.	Tenez j'explique du Latin, quoi que jamais tu ne l'aie appris, et voyant l'autre jour écrit sur une grande porte Collegium, ie devinai que cela voulait dite Collège.
CLITANDRE Ctia eſt admirable.	CLITANDRE Ctia est admirable.
Tu içais donc lire, Lubin?	Tu içais donc lire, Lubin?
LVBIN Ouy, ie ſçay lire la lettre moulée, mais ie n’ay iamais ſçeu apprendre à lire l’écriture.	LUBIN Oui, votre sais lire la lettre moulée, mais personne n'ai jamais su apprendre à lire l'écriture.
CLITANDRE Nous voicy contre la maiſon, c’eſt le ſignal que m’a donné Claudine.	CLITANDRE Nous voici contre la maison, c'est le signal que m'a donné Claudine.
LVBIN rar ma foy, c’eſt vne fille qui vaut de l’argent, & ie l’aime de tout mon cœur.	LUBIN rar ma foi, c'est une fille qui vaut de l'argent, et quelque l'aime de tout mon cœur.
CLITANDRE Auſſi t’ay-je amené auec moy pour l’entretenir.	CLITANDRE Aussi t'ai-je amené avec moi pour l'entretenir.
LVBIN Monſieur, ie vous ſuis.	LUBIN Monsieur, votre vous suis.
CLITANDRE Chut.	CLITANDRE Chut.
I’entens quelque bruit.	J'entends quelque bruit.
SCENE II.	SCÈNE II.
ANGELIQVE, CLAVDINE, CLITANDRE, LVBIN.	ANGELIQUE, CLAUDINE, CLITANDRE, LUBIN.
ANGELIQVE ALaudine.	ANGELIQUE ALaudine.
CLAVDINE Hé bien?	CLAUDINE Hé bien?
ANGELIQVE Laiſſe la porte ontre-ouuerte.	ANGELIQUE Laisse la porte ontre-ouverte.
CLAVDINE Voila qui eſt fait.	CLAUDINE Voilà qui est fait.
CLITANDRE Ce ſont elles.	CLITANDRE Ce sont elles.
St.	St.
St.	St.
St.	St.
Madame.	Madame.
CLAVDINE CLITANDRE à clauaine	CLAUDINE CLITANDRE à clauaine
Quoy?	Quoi?
ANGELIQVE à Lubin	ANGELIQUE à Lubin
LVBIN à Angelique Claudine.	LUBIN à Angélique Claudine.
CLAVDINE Qu’eſt-ce?	CLAUDINE Qu'est-ce?
&	et
CLITANDRE à Clandmne Ah!	CLITANDRE à Clandmne Ah!
Madame, que i’ay de joye.	Madame, que j'ai de joie.
memindu nangeuque Claudine, ma pauure Claudine.	memindu nangeuque Claudine, ma pauvre Claudine.
CLAVDINE à btitandre Doucement, Monſieur,	CLAUDINE à btitandre Doucement, Monsieur,
ANGELIQVE à Lubin Tout beau, Lubin.	ANGELIQUE à Lubin Tout beau, Lubin.
CLITANDRE Eſt-ce toy, Claudine?	CLITANDRE Est-ce toi, Claudine?
Ouy.	Oui.
CLAVDINE LVBIN Eſt-ce vous, Madame?	CLAUDINE LUBIN Est-ce vous, Madame?
Ouy.	Oui.
ANGELIQVE CLAVDINE Vous auez pris l’vne pour l’autre.	ANGELIQUE CLAUDINE Vous avez pris l'une pour l'autre.
AVBLEV.	AUBLEV.
Ma foy, la nuit on ne voit goute.	Ma foi, la nuit on ne voit goute.
ANGELIQVE Eſt-ce pas vous, Clitandre?	ANGELIQUE Est-ce pas vous, Clitandre?
CLITANDRE Ouy, Madame.	CLITANDRE Oui, Madame.
ANGELIQVE Mon mary ronfle comme il faut, & i'ay pris ce temps pour nous entretenir icy.	ANGELIQUE Mon mari ronfle comme il faut, et j'ai pris ce temps pour nous entretenir ici.
CLTTANDRE Cherchons quelque lieu pour nous aſſeoir.	CLTANDRE Cherchons quelque lieu pour nous asseoir.
CLAVDINE C'eſt fort bien auiſé.	CLAUDINE C'est fort bien avisé.
Ils vont s’aſſeoir au fond de Theatre?	Ils vont s'asseoir au fond de Théâtre?
LVBIN Claudine, où eſt-ce que tu es?	LUBIN Claudine, où est-ce que tu es?
GEORGE DANDIN.	GEORGE DANDIN.
’Ay entendu deſcendre ma femme & ie me ſuis viTite habme pour ueſcenure aplexene.	Ay entendu descendre ma femme et un me suis viTite habme pour uescenure aplexène.
Ou peutelle eſtre allée, ſeroit-elle ſortie?	Ou peutelle être allée, serait-elle sortie?
LVBIN Il prend George Dandin pour Claudine!	LUBIN Il prend George Dandin pour Claudine!
Où es tu donc Ciaudine?	Où es tu donc Ciaudine?
Ah te voila Par ma foy.	Ah te voilà Par ma foi.
ton Maiſtre eſt plaiſamment attrapé, & ie trouue cecy auſſi drôle que les coups de bâton de tantoſt dont on m’a fait recit TaMaiſtreſſe dit qu’il ronfle à cette heure comme tous les diantres, & il ne ſçait pas que Monſieur le Vicomte & elle ſont enſemble pendant qu’il dort Ie voudrois bien ſçauoir quel ſonge il fait maintenant Cela eſt tout à fait riſible.	ton Maître est plaisamment attrapé, et Seigneur trouve ceci aussi drôle que les coups de bâton de tantôt dont on m'a fait récit TaMaîtresse dit qu'il ronfle à cette heure comme tous les diantres, et il ne sait pas que Monsieur le Vicomte et elle sont ensemble pendant qu'il dort Ie très se -fait quel songe il fait maintenant Cela est tout à fait risible.
Dequoy s’auiſe-t’il d’eſtre jaloux de ſa femme &de vouloir qu’elle ſoit à luy tout ſeul?	Dequoy s'avise-t-il d'être jaloux de sa femme etde vouloir qu'elle soit à lui tout seul?
C’eſt vn impertinent, & Monſieur le Vicomte luy fait trop d’honneur.	C'est un impertinent, et Monsieur le Vicomte était fait trop d'honneur.
Tu ne dis mot Claudine.	Tu ne dis mot Claudine.
Allons, ſuiuons les, & me donne ta petite menotte que ie la baiſe.	Allons, suivons -les, et me donne ta petite menotte que je la baise.
Ah que cela eſt doux, il me ſemble que ie mange des confitures.	Ah que cela est doux, il me semble que Seigneur mange des confitures.
Comme il baiſe la main de Dandin Dandin la luy pouſſe thdtment an eijage Tubieu, cemme tous jadlez.	Comme il baise la main de Dandin Dandin la lui pousse thdtment an eijage Tubieu, cemme tous jadlez.
Voila vne petite menotte qui eſt vn peu bien rude.	Voilà quelque petite menotte qui est un peu bien rude.
Qui va là?	Qui va là?
G.	G.
DANDIN LVBIN	DANDIN LUBIN
Perſonne.	Personne.
G.	G.
DANDIN Il fuit & me laiſſe informé de la nouuelle perſilie de ma coquine.	DANDIN Il fuit et me laisse informé de la nouvelle persilie de ma coquine.
Allons, il faut que ſans tarder que i'enuoye appeller ſon pere & ſa mere, & que cette auenture me ſerue à me faire ſeparer d’elle.	Allons, il faut que sans tarder que j'envoie appeler son père et sa mère, et que cette aventure me serve à me faire séparer d'elle.
Hela, Colin, Colin.	Héla, Colin, Colin.
SCENE IV.	SCÈNE IV.
COLIN, GEORGE DANDIN,	COLIN, GEORGE DANDIN,
Tu es là?	Tu es là?
Ouy, Monſieur.	Oui, Monsieur.
G.	G.
DANDIN COLIN Pendant qu’il les voit parler d’vn coſté, Colin va de l’autre	DANDIN COLIN Pendant qu'il les voit parler d'un côté, Colin va de l'autre
G DANDIN Doucement Parle bas.	G GANDIN Doucement Parle bas.
Ecoute:	Écoute:
Va-t'en chez mon beau-pere & ma belle-mere &dit que ie les prie tres inſtamment de venir tout à l’heure icy.	Va-t'-en chez mon beau-père et ma belle-mère etdit que personne les prie très instamment de venir tout à l'heure ici.
Entens-tu?	Entends-tu?
Eh, Colin, Colin.	Eh, Colin, Colin.
Icy.	Ici.
G.	G.
DANDIN Comme ils ſe vont tous deux chercher, l’vn paſſe d’un coBé & l'autre de l’autre.	DANDIN Comme ils se vont tous deux chercher, l'un passe d'un coBé et l'autre de l'autre.
Peſte ſoit du maroufle qui s’éloigne de Moy.	Peste soit du maroufle qui s'éloigne de Moi.
Ie te dis que tu ailles de ce pas trouuer mon beau-pere, & ma belle-mere, & leur dire, que ie les conjure de ſe rendre icy tout à l’heure.	Je te dis que tu ailles de ce pas trouver mon beau-père, et ma belle-mère, et leur dire, que ici les conjure de se rendre ici tout à l'heure.
M’entens-tu bien?	M'entends-tu bien?
Répons, Colin, Colin.	Répondons, Colin, Colin.
Aſſeurément.	Assurément.
Veux-tu venir?	Veux-tu venir?
Nenny ma foy:	Nenni ma foi:
Vien, te dis-je.	Viens, te dis-je.
COLIN G DANDIN COLIN G DANDIN Cu Eirv Point, vous me voulez battre.	COLIN G DANDIN COLIN G ANDIN Cu Eirv Point, vous me voulez battre.
G DANDIN Hé bien non, ie ne te feray rien.	G GANDIN Hé bien non, tu ne te ferai rien.
Aſſeurément?	Assurément?
COLIN G.	COLIN G.
DANDIN Ouy, approche.	DANDIN Oui, approche.
Bont Tu es bien-heureux de ce que i’ay beſoin de toy Va-t’en viſte de ma part prier mon beau-pere & ma belle-mere de ſe rendre icy le plûtoſt qu’ils pourront, & leurs dis, c’eſt pour uns affaire de la derniere conſequence.	Bont Tu es bienheureux de ce que j'ai besoin de toi Va-t-en vite de ma part prier mon beau-père et ma belle-mère de se rendre ici le plutôt qu'ils pourront, et leurs dis, c'est pour uns affaire de la dernière conséquence.
Er s’ils faiſoient quelque difficulté à cauſe de l’heure ne manque pas de les prener, & de leut bien faite entendré qu’il eſt tres-important qu’ils viennẽt en quelque état qu’ils ſoient.	Er s'ils faisaient quelque difficulté à cause de l'heure ne manque pas de les prener, et de lut bien faire entendré qu'il est très-important qu'ils viennent en quelque état qu'ils soient.
Tu m’enrens bien maintenant.	Tu m'enrends bien maintenant.
COLIN Ouy Monſieur.	COLIN Oui Monsieur.
G.	G.
DANDIN Va viſte & reuiens de meſme.	DANDIN Va vite et reviens de même.
Et moy ie vay tenerti dans ma maiton en attendant que.	Et moi ici vais tenerti dans ma maiton en attendant que.
Mais l’entens quelqu’vn, ne ſeroit-ce point ma femme?	Mais l'entends quelqu'Hommes, ne serait-ce point ma femme?
il faut que i'écoute, & me ſerue de l’obſcurité qu’il fait.	il faut que j'écoute, et me serve de l'obscurité qu'il fait.
SCENE V.	SCÈNE V.
CLITANDRE, ANGELIQVE, (GEORGE DANDIN CLAVDINE, LVBIN.	CLITANDRE, ANGELIQUE, (GEORGE DANDIN CLAUDINE, LUBIN.
CLITANDRE Quoy ſi toſt?	CLITANDRE Quoi si tôt?
ANGELIQVE Nous nous ſommes aſſez entretenus,	ANGELIQUE Nous nous sommes assez entretenus,
CLITANDRE Ah!	CLITANDRE Ah!
Madame, puis-je aſſez vous entretenir, & trouuer en ſi peu de temps toutes les paroles dont i’ay beſoin-il me faudroit des iournées entieres pour me bien expliquer à vous de tout ce que ie ſens;	Madame, puis-je assez vous entretenir, et trouver en si peu de temps toutes les paroles dont j'ai besoin-il me faudrait des journées entières pour me bien expliquer à vous de tout ce que je sens;
& le nu cous uy pus dre encore la momare partie de ce que i’ay à vous dire.	et le nu cous ui pus dre encore la Sare partie de ce que j'ai à vous dire.
ANGELIQVE Nous en écouterons une autre fois dauantage.	ANGELIQUE Nous en écouterons une autre fois davantage.
CLITANDRE Helas!	CLITANDRE Hélas!
de quel coup me percez vous l’ame, lors que vous parlez de vous retirer, & auee combien de auagains m dnen vous laial mamsnanes	de quel coup me percez -vous l'âme, lors que vous parlez de vous retirer, et avez combien de avagains m ennen vous layal mamnanes
ANGELIQVE Nous trouuerons moyen de nous reuoir.	ANGELIQUE Nous trouverons moyen de nous revoir.
CLITANDRE Ouy:	CLITANDRE Oui:
Mais ie ſonge qu'en me quittant vous allez trouuer un mary:	Mais ici songe qu'en me quittant vous allez trouver un mari:
Cette penſée m’aſſaſſine & les priuileges qu’ont les maris ſont des choſes cruelles pour un Amant qui aime bien.	Cette pensée m'assassine et les privilèges qu'ont les maris sont des choses cruelles pour un Amant qui aime bien.
ANGELIQVE Serez-vous aſſez fort pour auoir cette inquietude, & penſez-vous qu’on ſoit capable d’aimer de certains maris qu’il y a?	ANGELIQUE Serez-vous assez fort pour avoir cette inquiétude, et pensez-vous qu'on soit capable d'aimer de certains maris qu'il y a?
On les prend, parce qu’on ne s’en peut deffendre, & que l’on dépend des parens quinone des jeur que pour le bien, mais on ſçait leur rendre iuſtice & l’on ſe mocque fort de les conſiderer au delà de ce qu’ils meritent:	On les prend, parce qu'on ne s'en peut défendre, et que l'on dépend des parents quinone des jeur que pour le bien, mais on sait leur rendre justice et l'on se moque fort de les considérer au delà de ce qu'ils méritent:
G.	G.
DANDIN Voila nos carognes de femmes.	DANDIN Voila nos carognes de femmes.
CLITANDRE.	CLITANDRE.
Ah, qu’il faut auoüer que celuy qu'on vous a donné eſtoit peu digne de l'honneur qu’il a receu & que c’eſt une étrange choſe que l’aſſemblage qu’on a fait d’une perſonne cemine vous ance un homme cemme luy.	Ah, qu'il faut auoüer que celui qu'on vous a donné était peu digne de l'honneur qu'il a reçu et que c'est une étrange chose que l'assemblage qu'on a fait d'une personne cène pers on un homme cemème lui.
G.	G.
DAN	DAN
G.	G.
DANDIN à part Pauures maris, voſla comme on vous trantte:	DANDIN à part Pauvres maris, vosla comme on vous trantte:
CLITANDRE Vous meritez ſans doute vne toute autre deſtinée te le Giernt vous a point faite pour eſtre la femme	CLITANDRE Vous méritez sans doute que toute autre destinée te le Giernt vous a point faite pour être la femme
d’un païſan:	d'un paysan:
G.	G.
DANDIN Pluſt au Ciel fuſt-elle la tienne tu changerois bien de langage:	DANDIN Plût au Ciel fût-elle la tienne tu changerais bien de langage:
Rentrons, c’en eltanel, Il entre & ferme la porte	Rentrons, c'en éltanel, Il entre et ferme la porte
CLAVDINE Madame, ſi vous auez à dire du mal de voſtre masy, deperchemrinto, ul il eſt tard.	CLAUDINE Madame, si vous avez à dire du mal de votre masi, déperchemrinto, ul il est tard.
CLITANDRE Ah, Claudine, que td es ciucile.	CLITANDRE Ah, Claudine, que td es civile.
ANGELIQVE Elle a raiſon.	ANGELIQUE Elle a raison.
Separons-nous;	Séparons-nous;
CLITANDRE Il faut donc s'y reſoudre puis que vous le voulez.	CLITANDRE Il faut donc s'y résoudre puis que vous le voulez.
Mais au moins, ie vous conjure de me plaindre un peu des iechans momens que le vals pahere	Mais au moins, je vous conjure de me plaindre un peu des es momens que le vals phère
Adieu.	Adieu.
ANGELIQVE LVBIN Où es-tu Claudine que je te donne le bon ſoir	ANGELIQUE LUBIN Où es-tu Claudine que je te donne le bon soir
CLAVDINE Va, va, ie le reçoy de loin, & ie t’en renuoye autant	CLAUDINE Va, va, je le reçois de loin, et notre t'en renvoie autant
R CLAVDINE La porte s’eſt fermée.	 CLAUDINE La porte s'est fermée.
ANGELIQVE I'ay le paſſe par tout,	ANGELIQUE J'ai le passe par tout,
CLAVDINE Ouuez donc d’oucement.	CLAUDINE Ouvez donc d'oucement.
ANGELIQVE On a fermé par dedans & ie ne ſçay comment nous ferons.	ANGELIQUE On a fermé par dedans et ici ne sais comment nous ferons.
CLAVDINE	CLAUDINE
Appellez le garçon qui couche là.	Appelez le garçon qui couche là.
ARoLQE Colin, Colin, Colin.	ARoQE Colin, Colin, Colin.
G.	G.
DANDIN mettant la teſte à ſa feneſtre.	DANDIN mettant la tête à sa fenêtre.
Colin, Colin?	Colin, Colin?
Ah ie vous y prens donc.	Ah ici vous y prends donc.
Madamd ma femme, & vous faites des eſcampatiuos pendant que ie dors.	Madamd ma femme, et vous faites des escampativos pendant que ie dors.
Ie ſuis bien-aiſe de cela, & de vous voir dehors à l’heure qu’il eſt	Je suis bienaise de cela, et de vous voir dehors à l'heure qu'il est
ANOELRRZE Hé bien, quel grand mal eſt-ce qu’il y a, à prendre le frais de la nuit?	ANOELRZE Hé bien, quel grand mal est-ce qu'il y a, à prendre le frais de la nuit?
G DANDIN Ouy, ouy L’heure eſt bonne a prendre le frais C’eſt bien plûtoſt le chaud, Madame la coquine, & nous ſçauons toute l’intrigue du rendez-vous, & du Damoiſeau.	G GANDIN Oui, oui L'heure est bonne a prendre le frais C'est bien tôt le chaud, Madame la coquine, et nous savons toute l'intrigue du rendez-vous, et du Damoiseau.
Nous auons eutendu voſtre galand entretien, & les beaux vers à mi loüange que vous auez dits l’vn & l’autre.	Nous avons eutendu vous avalant entretien, et les beaux vers à mi lange que vous avez dits l'H et l'autre.
Mais ma conſolacion c’eſt que ie vais eſtre vangé, & que voſtre pere & voſtre mere ſeront cõuaincus maintenãt de la iuſtiee de mes plaintes & du déreglement de voſtre conduite Ie les ay enuoyé querir & ils vont eſtre icy dans vn moment.	Mais ma consolacion c'est que je vais être vengé, et que votre père et votre mère seront cõuaincus maintenants de la justie de mes plaintes et du dérèglement de votre conduite Je les ai envoyé quérir et ils vont être ici dans un moment.
ANGELIQVE Ah Ciel!	ANGELIQUE Ah Ciel!
CLAVDINE Ma-am.	CLAUDINE Ma-m.
G.	G.
DANDIN.	DANDIN.
Vona vn coup ſans doute où vous ne vous attendiez pas.	Vona un coup sans doute où vous ne vous attendiez pas.
C’eſt maintenãt que ie triomphe & i’ay de quoy mettre à bas voſtre orgueil &détruire vos artit fices.	C'est maintenant que je triomphe et j'ai de quoi mettre à bas votre orgueil etdétruire vos artit fiées.
Iuques icy vous auez ioüé mes accuſations, ébloüy vos parens & Plaitie vos fharuerration.	Juques ici vous avez joué mes accusations, ébloui vos parents et Plaitie vos fharuerration.
F'ay eu b.	S'ai eu b.
au voir & beau dire & voſtre addreſſe teûjours I'a emporté ſur mon bon droit & toûjours vous auez trouué moyen d’auoir raiſon.	au voir et beau dire et votre adresse teûjours J'a emporté sur mon bon droit et toujours vous avez trouvé moyen d'avoir raison.
Mais à cette fois Dieu mercy, les choſes vont eſtre é claircies, & voſtre effronterie ſera pleinement confonduë.	Mais à cette fois Dieu merci, les choses vont être é laircies, et votre effronterie sera pleinement confondue.
ANGELIQVE Hé ie vous prie faites-moy ouurir la porte.	ANGELIQUE Hé ie vous prie faites-moi ouvrir la porte.
G.	G.
DANDIN Non.	DANDIN Non.
non, il faut attendre la venuë de ceux què i’ay mandez, & ie veux qu’ils vous trouuent dehors à la belle heure qu’il eſt En attendant qu’ils viennent, ſongez, ſi vous voulez à chercher dans voſtre teſte quelque nouueau détour pour vous tirer de cette affaire A inuenter quelque moyen de rabiller voſtre eſcapade, à trouuer quelque belle ruſe, pour eluder icy les gens & paroiſtre Innocente, que lque pretexte ſpecieux de pelerinage nocturne ou d’amie en trauail d’enfant que vous veniez de ſecourir.	non, il faut attendre la venue de ceux qu' ail'ai mandés, et même veux qu'ils vous trouvent dehors à la belle heure qu'il est En attendant qu'ils viennent, songez, si vous voulez à chercher dans votre tête quelque nouveau détour pour vous tirer de cette affaire A venter quelque moyen de rabiller votre escapade, à trouver quelque belle ruse, pour éluder ici les gens et paraître Innocente, que lè texte spécieux de pèlerinage nocturne ou d'amie en travail d'enfant que vous veniez de secourir.
ANGELIQVE Non, mon intention n’eſt pas de vous rien déguiſer.	ANGELIQUE Non, mon intention n'est pas de vous rien déguiser.
Ie ne pretens point me deffendre, ny vous nier les choſes, puis que vous les ſçauez.	Je ne prétends point me défendre, ni vous nier les choses, puis que vous les savez.
G.	G.
DANDIN C’eſt que vous voyez bien que tous les moyens vous en ſont fermez, & que dans cette affaire vous ne ſçauriez inuenter d’excuſes qu’il ne me ſoit facile de conuaincre de fauſſeté.	DANDIN C'est que vous voyez bien que tous les moyens vous en sont fermez, et que dans cette affaire vous ne sauriez inventer d'excuses qu'il ne me soit facile de convaincre de fausseté.
ANGELIQVE Ouy ie confeſſe que i’ay tort, & que vous auez ſujet de vous plaindré.	ANGELIQUE Oui votre confesse que j'ai tort, et que vous avez sujet de vous plaindré.
Mais ie vous demande par grace de ne m’expoſer point maintenãt à la mauuaiſe humeur de mes parens & de me faire promptement ouuris.	Mais ici vous demande par grâce de ne m'exposer point maintenant à la mauvaise humeur de mes parents et de me faire promptement ouvris.
G.	G.
DANDIN.	DANDIN.
Ie vous baiſe les mains.	Je vous baise les mains.
ANGELIQVE Eh men pauure petit mari, ie vous en conjure,	ANGELIQUE Eh men pauvre petit mari, je vous en conjure,
G.	G.
DANDIN.	DANDIN.
Ah mon pauure petit mari?	Ah mon pauvre petit mari?
Ie ſuis voſtré petit mari maintenant parce que vous vous ſentez priſe.	Je suis vostré petit mari maintenant parce que vous vous sentez prise.
Ie ſuis bien-aiſe de cela &vous ne vous eſtiez iamais auiſée de me dire de ces douceurs.	Je suis bienaise de cela etvous ne vous étiez jamais avisée de me dire de ces douceurs.
ANGELIQVE Tenez re vous proiets de ne vous plus uonner aucun ſujet de déplaiſir, & de me.	ANGELIQVE -Je re vous ts de ne vous plus uonner aucun sujet de déplaisir, et de me.
GI DANDIN Tout cela n’eſt rien.	GY DANDIN Tout cela n'est rien.
Ie ne veux point perdre cette auenture & il m’importe qu’on ſoit une fois éclaircy à fond de vos deportemens.	Je ne veux point perdre cette aventure et il m'importe qu'on soit une fois éclairci à fond de vos déportements.
Miſtonalca De grace, laiſſez-moy vous dire.	Mistoncala De grâce, laissez-moi vous dire.
Ie vous demande un moment d’audience.	Je vous demande un moment d'audience.
G.	G.
DANDIN Hé bien quoy?	DANDIN Hé bien quoi?
ANGELIQVE Il eſt vray que i'ay failly, ie vous l’auoüe escore une fois & que voſtre ſentiment eſt inſte.	ANGELIQUE Il est vrai que j'ai failli, je vous l'auoüe écore une fois et que votre sentiment est inste.
Que i’ay pris le temps de ſortir pendant que vous dormiez & que cette ſortie eſt vn rendez-vous que i’auois donné à la perſonne que vous dites.	Que j'ai pris le temps de sortir pendant que vous dormiez et que cette sortie est un rendez-vous que j'avais donné à la personne que vous dites.
Mais enfin ce ſont des actions que vous deuez pardonner à mon àge, des emportemens d’une ieune perſonne qui n’a encore rien vû, & ne fait que d’entrer au monde.	Mais enfin ce sont des actions que vous devez pardonner à mon âge, des emportements d'une jeune personne qui n'a encore rien vu, et ne fait que d'entrer au monde.
Dés libercep ou Pon s'abandomne tans y pemer de mal, & qui ſans doute dans le fond n’ont rien de criminel.	Dès libercep ou Pon s'abandomne tans y pemer de mal, et qui sans doute dans le fond n'ont rien de criminel.
G.	G.
DANDIN Ouy vous le dites, & ce ſont de ces choſes qui ont beſoin qu’on les croye pieuſement.	DANDIN Oui vous le dites, et ce sont de ces choses qui ont besoin qu'on les croie pieusement.
ANGELIQVB Ie ne veux point m'excuſer par là d’eſtre coupable enuers vous, & ie vous prie ſeulement d’oubuer une offenſe, dont ie vous demande pardon de tout mon cœur;	ANGELIQUB Je ne veux point m'excuser par là d'être coupable envers vous, et ie vous prie et oubuer une offense, dont ie vous demande pardon de tout mon cœur.
& de m’épargner en cette rencontre le déplaiſir que me pourreiene cauſer les reproches facheux de mon pere & de ma mere.	et de m'épargner en cette rencontre le déplaisir que me pourreiene causer les reproches fâcheux de mon père et de ma mère.
Si vous m’accordez genereuſement la grace que ie vous demãde:	Si vous m'accordez généreusement la grâce que je vous demande:
ce procedé obligeant, cette bonté que vous me ferez voir, me gagnera entierement Elle touchera tout à fait mõ eœur, & y fera naiſtre pour vous ce que tout Ie pouuoir de mes parens & les liens du mariage n’auoient pû y jetter.	ce procédé obligeant, cette bonté que vous me ferez voir, me gagnera entièrement Elle touchera tout à fait mon eœur, et y fera naître pour vous ce que tout Je pouvoir de mes parents et les liens du mariage n'avaient pu y jeter.
En vn mot elle ſera cauſe que ie renonceray à toutes les galanteries & n’auray de l’attachement que pour vous.	En un mot elle sera cause que ie renoncerai à toutes les galanteries et n'aurai de l'attachement que pour vous.
Ouy, ie vous donne ma parole que vous m’allez voir deſormais la meilleure femme du moude, & que ie vous témoigneray tant d’amitié tant d’amitié que vous en ſerez ſatisfait.	Oui, Seigneur vous donne ma parole que vous m'allez voir désormais la meilleure femme du moude, et que je vous témoignerai tant d'amitié tant d'amitié que vous en serez satisfait.
G.	G.
DANDIN amh.	DANDIN amh.
Crocoune qui llate les gens pour les étrangler.	Crocoune qui late les gens pour les étrangler.
ANGELIQVE Accordez-moy cette faueur.	ANGELIQUE Accordez-moi cette faveur.
G DANBIN Point d’affaires.	G GANBIN Point d'affaires.
Ie ſuis inexorable.	Je suis inexorable.
ANGELIQVE Montrez-vous genereux.	ANGELIQUE Montrez-vous généreux.
Nans De grace!	Nans De grâce!
Point.	Point.
G.	G.
DANDIN AMGELRVE G.	DANDIN AMGELRVE G.
DANDIN ANGELIQVE Ie vous en conjure de tout mon cœur.	DANDIN ANGELIQUE -JE vous en conjure de tout mon cœur.
G.	G.
DANDIN Non non non.	DANDIN Non non non.
Ie veux qu’on ſoit détrompé de vous a quevalte conunon crlate.	Je veux qu'on soit détrompé de vous a quevalte conunon crête.
