Avec Permiſſion.	Avec Permission.
Rien ne t’empeche, Je voudrois déja de bon cœur Qu’on m’ent dit qu’en faiſant remarquer ta valeur Tu fuſſes mort ſur une bréche,	Rien ne t'empèche, Je voudrais déjà de bon cœur Qu'on m'ent dit qu'en faisant remarquer ta valeur Tu fusses mort sur une brèche,
CORIDON.	CORIDON.
Coridon, Coridon, quel caprice t’a pris De te mettre l’Amour en tête, Je maintiens qu’à moins d’être bête On ne peut d’amout eſtte épris.	Coridon, Coridon, quel caprice t'a pris De te mettre l'Amour en tête, Je maintiens qu'à moins d'être bête On ne peut d'amout est épris.
Mais encor.	Mais encor.
67	67
ZELIDE.	ZELIDE.
miult cucerr imez moy la vous disaje	miult cucerr imez -moi la vous disaje
CORIDON.	CORIDON.
A ne me pouvoir voir quel ſujet vous oblige, Qu’ay je fit:	À ne me pouvoir voir quel sujet vous oblige, Qu'ai je fit:
qu’ay je dit ?	qu'ai je dit ?
quoy!	quoi!
me re ſuſer tou uſqu’aux moindres faveurs, juſques à la parole.	me re user tou usqu'aux moindres faveurs, jusqu' à la parole.
Ah ma fcy, c’eſt pouſſet ma patience à bout.	Ah ma fci, c'est pousset ma patience à bout.
Mals du dioms ce qui mne cuntere, C’eſt que me dévoüant tour entier au grand Dieu,	Mals du dioms ce qui mène cuntère, C'est que me dévouant tour entier au grand Dieu,
LELIDE.	LELIDE.
Quel Dieu ?	Quel Dieu ?
CORIDON.	CORIDON.
Le Dieu qui fait le deſtein d’une armée.	Le Dieu qui fait le détein d'une armée.
ZELIDE.	ZELIDE.
C’eſt encor certes un Dieu de bonne renommée, Témoin le tour qu’il fit à Vulcain dont le feu Forge de Jupiter la foudre inanimée.	C'est encor certes un Dieu de bonne renommée, Témoin le tour qu'il fit à Vulcain dont le feu Forge de Jupiter la foudre inanimée.
SCENEVI.	SCENEVI.
ZELIDE, CORIDON, PHILIS, DerfAIRVEO.	ZELIDE, CORIDON, PHILIS, DerfAIRUEO.
CORIDON.	CORIDON.
Her Daphnis, qu’à propos tu te rends en ce lieu OPour voir de quel ait on me traite.	Her Daphnis, qu'à propos tu te rends en ce lieu OPour voir de quel ait on me traite.
DAPHNIS.	DAPHNIS.
Quoy ta paix n’eſt point encot faite Nous ſommes donc à deux de jeu.	Quoi ta paix n'est point encot faite Nous sommes donc à deux de jeu.
CORIDON.	CORIDON.
Ma foy je ſuis bien las de tout ce tripotage, Et j’ay bien la mine à mon tour D envoyer paitie de premner jouLa Bergere, l’Amour, & tout ſon équipage.	Ma foi je suis bien las de tout ce tripotage, Et j'ai bien la mine à mon tour D envoyer paitie de premner jouLa Bergère, l'Amour, et tout son équipage.
Je ne trouve rien plus plaiſaut Chaque fille ſe croit plus be le que l’Aurore, Et la plus chetive pecore, A noins qu’un homme ne l’adore Le tra tera de païsaut, Trop ſeures da pouvoir qu’elles oot ſur les hõmes El es n’ont bien ſouvent pour eux que du mépris, Mais ſi nous faiſions bien tout aucant que nous ſom nes Nous leur fetions bien voir que chacun vaut ſon prx.	Je ne trouve rien plus plaisaut Chaque fille se croit plus be le que l'Aurore, Et la plus chétive pécore, A noins qu'un homme ne l'adore Le tra tera de pays, Trop sûres da pouvoir qu'elles opot sur les hommes Él es n'ont bien souvent pour eux que du mépris, Mais si nous faisions bien tout aucant que nous som nés Nous leur fêtions bien voir que chacun vaut son près.
Si tous les hommes comme moy Vouloient fermet la veûë a leurs coqueteries Les femmes à ce que je croy Ne ſeroient pas ſi rencheries:	Si tous les hommes comme moi Voulaient fermet la vue a leurs coqueteries Les femmes à ce que je crois Ne seraient pas si renchéries:
Nous leur donnons ſur oous l'empites qu’elle ont, Si nous ne narquions poiat pour elles ie foiblelfe, Telie dont iont la froidear nous b eſſe, Es qui ne nous voit point ſans ſe rider le front, De vieudroit la premiere à nous faire carteſſe.	Nous leur donnons sur oous l'empites qu'elle ont, Si nous ne narquions poise à elles homme faiblelfe, Telie dont jont la froidear nous boise, Es qui ne nous voit point sans se rider le front, De vieudrait la première à nous faire cartesse.
Elle auroieot a lors pour nous p mnour que noue avoils puirenes, Et telles ceſſeroient de faite les cruelles Qui ſe font un plaiſir d’affecter d, courroux Pour éprouver le cœeur de Bergers trop fillelles.	Elle auroieot a lors pour nous pont mnour que noue avoils puirène, Et telles cesseraient de faite les cruelles Qui se font un plaisir d'affecter , courroux Pour éprouver le cœeur de Bergers trop fillelles.
PHILIS.	PHILIS.
He bien avez vous bien-tôt dit?	He bien tôt vous bientôt dit?
Vous étes cestes encote un charmant perſonhage;	Vous êtes cestes encote un charmant personhage;
Et ſi tous les Bergers qui hantent ce boccage Avoient autant que vous d’eſprit, La preſſe ſeroit grande a courir à crédit Vous flitter & vous rendre hommage.	Et si tous les Bergers qui hantent ce bocage Avaient autant que vous d'esprit, La presse serait grande à courir à crédit Vous flitter et vous rendre hommage.
Le Thrace à ce qu’on dit eſt tuſtique & groſſier, Et ſon humeur farouche en tous lieux ſemble étrange Mais il faut qu’en paſſant j’avouë à ſa loüange, Qu’en cela Coridon de Thrace eſt le premier Daphnis n’eſt pas exempt de cette humeur ſauvage Que le climat attache à chaque homme en naiſſant anauit demomulo ttuiti den ent re point en rage Quand une femme l’en teprend.	Le Thrace à ce qu'on dit est tustique et grossier, Et son humeur farouche en tous lieux semble étrange Mais il faut qu'en passant j'avoue à sa lange, Qu'en cela Coridon de Thrace est le premier Daphnis n'est pas exempt de cette humeur sauvage Que le climat attache à chaque homme en naissant anavit demomulo tuiti den ent re point en rage Quand une femme l'en teprend.
CORIDON.	CORIDON.
Ah, ah ce n’eſt donc plus Zelide Qui me va querellet & faire mon procez.	Ah, ah ce n'est donc plus Zélide Qui me va querellet et faire mon procès.
Ah voyons un peu quels ſujets Comme elle vous aurez de m’appeler perfide?	Ah voyons un peu quels sujets Comme elle vous aurez de m'appeler perfide?
PHILIS.	PHILIS.
Oüy dea, c’eſt ce que l’on va faire:	Oui dea, c'est ce que l'on va faire:
Vôtre entretien tans doute eſt aimable & fort doux Il faudtoit bien manquer de ſens & lumiete Pour reſter ſeulement un quart-d’heute avec vous.	Votre entretien tans doute est aimable et fort doux Il faudtait bien manquer de sens et lumiète Pour rester seulement un quart-d'heute avec vous.
Anons Leiſide Anone.	Anons Liside Anone.
SCENE VII.	SCÈNE VII.
CORIDON, DAPHNIS.	CORIDON, DAPHNIS.
CORIDON.	CORIDON.
T nous pourtions Daphnis L Aprés de ſemblables outrages Eſtre encor de l’Amnour les eſclaves à gages, Et ne vivre que de ſouois.	T nous pourtions Daphnis L Aprés de semblables outrages Être encor de l'Amnour les esclaves à gages, Et ne vivre que de souois.
Il faudroi être fous.	Il faudrai être fous.
Vivons,vivons en Thraces Et qu’il ne ſoit pas dit qu’amolis par l’Amout Nous ayons refuſé de mareuer lur les vruce.	Vivons,vivons en Thraces Et qu'il ne soit pas dit qu'amolis par l'Amout Nous ayons refusé de mareuer lur les vruce.
D.	D.
De ceux dont nous tenons le jour.	De ceux dont nous tenons le jour.
Chaſſons, chaſſons bien loin l’ardeur & la tendreſſe Qui de tous nos Ayeux flétriroit les lauriers, Et laiſſons au peuple de Grece Se piquer follement de la lâche molleſſe Qui doit faire rougir des hommes nez guerriers.	Chassons, chassons bien loin l'ardeur et la tendresse Qui de tous nos Aïeux flétrirait les lauriers, Et laissons au peuple de Grèce Se piquer follement de la lâche mollesse Qui doit faire rougir des hommes nés guerriers.
Nous ne naiſſons que pour les armes, Et ce n’eſt qu’au milieu des piques & des dards Que la poſterité de Mart Doit ſe plaire & trou ves des charmes.	Nous ne naissons que pour les armes, Et ce n'est qu'au milieu des piques et des dards Que la postérité de Mart Doit se plaire et trou vez des charmes.
L’heme ſouffre à regret de voir ſur ſes tivages Des Bergers ſoupirer d’amour, Et c’eſt pour cela ſeul peut-être qu’en ce jour On reçoit ſi mal nos hommages.	L'heme souffre à regret de voir sur ses tivages Des Bergers soupirer d'amour, Et c'est pour cela seul peut-être qu'en ce jour On reçoit si mal nos hommages.
DAPHNIS.	DAPHNIS.
Las!	Las!
s’il étoit aipſi que j’irois de bon cœur Combattre ſous Leandre aux rives de l’Iſere, Mais je doute bien qu’au contraire Ce qui fait que Philis mépriſe mon ardeut, Geit quenovraint pour mon malheur Que je ne la quitre & préfere Le plaiſit de pouvoir ſignaler ma valeur An contentement de luy plaire.	s'il était aipsi que j'irais de bon cœur Combattre sous Léandre aux rives de l'Isère, Mais je doute bien qu'au contraire Ce qui fait que Philis méprise mon ardeut, Géit quenovraint pour mon malheur Que je ne la quitre et préfère Le plaisit de pouvoir signaler ma valeur An contentement de M plaire.
A V CORIDON, DAPHNIS, DAVE, CLITANDRE.	À V ORIDON, DAPHNIS, DAVE, CLITANDRE.
CLITANDRE.	CLITANDRE.
*bien!	*bien!
eſtes vous teſolus, ITAdons noas tous joindre l'armée?	êtes -vous témolus, ITAdons noas tous joindre l'armée?
Voila Dave qui vient & ne reſiſte plus.	Voilà Dave qui vient et ne résiste plus.
DAPHNIS.	DAPHNIS.
Quoy Cieuntio nert pras aimce.	Quoi Cieuntio nert pras aimée.
CLITANDRE.	CLITANDRE.
Non la guerre à preſent eſt tout ce qui luy plaît, Tut loupſte plus li ce n’eſt pour la gloire.	Non la guerre à présent est tout ce qui était plaît, Tut loupste plus li ce n'est pour la gloire.
DAPHNIS.	DAPHNIS.
Ta chere Cleantis n’eſt plus en ta mémoire.	Ta chère Cléantis n'est plus en ta mémoire.
Diipn.	Dipn.
Elitauôre tout du moins me le veut faire accroire,	Elitauôre tout du moins me le veut faire accroire,
CLITANDRE.	CLITANDRE.
je dis ſi chole conme elle eſt Ne m'as tu pas donné parole?	je dis si chole comme elle est Ne m'as tu pas donné parole?
DAVE.	DAVE.
Eh ne me battez point pour cela s’il vous paſ̂t.	Eh ne me battez point pour cela s'il vous past.
Oüy bien je le confeſſe au cas Comme je vouerj die qu'atec nous Lyſidas Soit d’humeur à venir en Gaule, Non leulementj y vais, mais j’y cours & j’y vole.	Oui bien je le confesse au cas Comme je vouerj die qu'atec nous Lysidas Soit d'humeur à venir en Gaule, Non leeulement y vais, mais j'y cours et j'y vole.
CORIDON.	CORIDON.
A celz que dira Daphnis?	À celui que dira Daphnis?
DAVE.	DAVE.
Daphnis:	Daphnis:
Daphnis dita qu’il eſt de mon avis.	Daphnis dita qu'il est de mon avis.
DAIIINTS.	DAIIINTS.
La choſe d’elle-même eſt aſſez d’importance Pour meriter bien qu’on y penſe, Pour cela tout de moins je vous demande un jour.	La chose d'elle-même est assez d'importance Pour mériter bien qu'on y pense, Pour cela tout de moins je vous demande un jour.
CLITANDRE Iu lieu d’un, deux Daphnis, mais quintml’Amour, Songe que la Fête ſe paſſe, Et que c’eſt toûjours en ce temps Que le Dieu qui preſide en Thrace Range ſous ſes Drapeaux ſes plus dignes enfant	CLITANDRE Ju lieu d'un, deux Daphnis, mais quintml’Amour, Songe que la Fête se passe, Et que c'est toujours en ce temps Que le Dieu qui préside en Thrace Range sous ses Drapeaux ses plus dignes enfant
DAVE.	DAVE.
Dignes enfans de Mars, ah!	Dignes enfants de Mars, ah!
Capitaine Daye E plaiſit d’êtte poule & de paſſer pour brave.	Capitaine Daie E plaisit d'estte poule et de passer pour brave.
ACTETV MCENEE I	ACTET MCENE I
AMARILLE.	AMARILLE.
Ui l'auroit jamais cru que le Ciel dans ſon ſein Auroit pû prod uire des traîtres, Et que de nos deſtins les juges & les maîtres Aux crimes les plus noirs oſent prêter leur maiu.	Oui l'aurait jamais cru que le Ciel dans son sein Aurait pu prod uire des traîtres, Et que de nos destins les juges et les maîtres Aux crimes les plus noirs osent prêter leur maiu.
Qui croiroit que les Dieux capables de caprices N’euſſent ni foy ai fermeté Et qu’ils fuſſent ſubjets à l’infidelité.	Qui croirait que les Dieux capables de caprices N'eussent ni foi ai fermeté Et qu'ils fussent sujets à l'infidélité.
Le plus affreux de tous les vices, Il eſt ainſi pourtant, & ce n’eſt point un jeu, La mode à mes depens leur en devient nouvelle?	Le plus affreux de tous les vices, Il est ainsi pourtant, et ce n'est point un jeu, La mode à mes dépens leur en devient nouvelle?
Je me flattois d’aimer un Dieu, Et je n’aimois qu’un imfidele, O Ciel aprés tant faveurs Dont je l'avois comblé d’une main liberale Me preferer une rivale, Et n’écouter plus mes ardeurs.	Je me flattais d'aimer un Dieu, Et je n'aimais qu'un imidele, Ô Ciel après tant faveurs Dont je l'avais comblé d'une main libérale Me préférer une rivale, Et n'écouter plus mes ardeurs.
Voit-on encor jamais pareille perfidie, Et l'homme le plus criminel Que puiſſe deteſter l’Aſie A t’il rien fait d’auſſi cruel?	Voit-on encor jamais pareille perfidie, Et l'homme le plus criminel Criminel puisse détester l'Asie A t'il rien fait d'aussi cruel?
Fuïr & négliger ma tendreſſe Dont il faiſoit tout ſon bonheur.	Fuir et négliger ma tendresse Dont il faisait tout son bonheur.
L’avois-je merité moy qui l'aimé ſans ceſſe, Aux dépens de mon propre honneur;	L'avais-je mérité moi qui l'aimé sans cesse, Aux dépends de mon propre honneur;
Ciel tu me veux punit d’avoir eſté ſi vaine Que de ſoûpirer pour un Dieu, Mais je me ſoucierois fort peu qOV De tout le malheur qui m’entraine Si pour moy Lyſidas n'avoit aucune haine.	Ciel tu me veux punit d'avoir été si vaine Que de soupirer pour un Dieu, Mais je me soucierais fort peu qOU De tout le malheur qui m'entraine Si pour moi Lydas n'avait aucune haine.
SCENE II.	SCÈNE II.
ETOIDAS AMARILLE.	ETOIDAS AMARILLE.
AMARILLE.	AMARILLE.
T s’il brûloit toûjours pour moy du même feu, L Oüy Berger trop charmant, Berger trop agreEt Berger que j’aimeray trop peu, Iable, Vs Amant comme toy vant mille fois le Ditu Dont la legereté m’accable.	T comme il brûlait toujours pour moi du même feu, L Oüy Ger trop charmant, Berger trop agréEt Berger que j'aimerai trop peu, Jable, Vs Amant comme toi vant mille fois le Ditu Dit la legereté m'accable.
LYSIDAS It eſt bon Sur ce ton.	LYSIDAS It est bon Sur ce ton.
AM ARILLE.	AM ARILLE.
jo devois tamner darantige, Je devois agréertes feux Et ne pas rejetter les veux Dont tu me prelenteis l'hommage.	jo devais tamner darantige, Je devais agréertes feux Et ne pas rejetter les veux Dont tu me préplenteis l'hommage.
LYSIDAS.	LYSIDAS.
Oh, oh donc :	Oh, oh donc :
pour moy vous avez de l'amour, Oh ma foy vous pourrez me prier à mon tour	pour moi vous avez de l'amour, Oh ma foi vous pourrez me prier à mon tour
de d D lo A1 O Quoy Lyſidas pouvoit m’entendre, Lors que je m’expliquois en faveur de ſes veux.	de dÈS lo A1 Ô Quoi Lysidas pouvait m'entendre, Lors que je m'expliquais en faveur de ses veux.
le m’en repentirois ſi ſon tœut jeune & tendre Ne brûloit pas toûjours pour moy des mêmes feux.	le m'en repentirais si son tœut jeune et tendre Moi brûlait pas toujours pour moi des mêmes feux.
LYSIDAS.	LYSIDAS.
Non ma foy, maintenant je ne ſçaurois comprendre Comme	Non ma foi, maintenant je ne saurais comprendre Comme
Comme l'onpeut être amoureux:	Comme l'onput être amoureux:
A moy n’appartient pas tant d’honneur que de preudre Pour l’objet de mes ſoins la maîtreſſe des Dieux.	À moi n'appartient pas tant d'honneur que de preudre Pour l'objet de mes soins la maîtresse des Dieux.
Pour la punir un peu de ſa biſarrerie Il eſt je crois bieo juſte à ſon tour qu’elle me prie.	Pour la punir un peu de sa bizarrerie Il est je crois bieo juste à son tour qu'elle me prie.
AMARILLE.	AMARILLE.
Maay eynaas de uramlerplces Vu ſigrand changemeut ſeroit-il bien poſſible?	Maay énaas de uramlerplic Vu sigrand changement serait-il bien possible?
LYSIDAS.	LYSIDAS.
Non ma toy, grace a vos rébns Du côté de l’Amour je me ſens fort paiſible.	Non ma toi, grâce à vos rébns Du côté de l'Amour je me sens fort paisible.
AMARILLE.	AMARILLE.
LAmATO Lyſidas n’avoir plus pour moy L’ardeur dont tant de fois il me vanta la flâme.	LAmATO Lysidas n'avoir plus pour moi L'ardeur dont tant de fois il me vanta la flamme.
LAJIDA9.	LAJIDA9.
Non:	Non:
l’Amour à preſent ne me fait plus la loy Je ſuis le maître de mon ame.	l'Amour à présent ne me fait plus la loi Je suis le maître de mon âme.
AMARILLE.	AMARILLE.
Mais que vous ay-je fait, Berger, pour vous piquer De n’avoir plus pour moy ui flâme ni tendreſſe?	Mais que vous ai-je fait, Berger, pour vous piquer De n'avoir plus pour mo y flâme ni tendresse?
E Pard nos Je ne ſçais, mais enfin la moindre ardeur me bleſle, Et par certain malheur qu’on ne peut expliquer Je trouve que l'Amour n’eſt riea qu’une foibleſſe.	 Eard nos Je ne sais, mais enfin la moindre ardeur me blesle, Et par certain malheur qu'on ne peut expliquer Je trouve que l'Amour n'est riea qu'une faiblesse.
AMARILLE.	AMARILLE.
Vôtre exemple eſt trop bon pour ne le ſuivre pas.	Votre exemple est trop bon pour ne le suivre pas.
Il faut que je n’aime perſonne, Que je quitte & que j’abandonne Tout juſqu’au Berger Lyſidas.	Il faut que je n'aime personne, Que je quitte et que j'abandonne Tout jusqu'au Berger Lysidas.
LYSIDAS.	LYSIDAS.
Quoy!	Quoi!
vous pourriez malgré ma conſtance & ma foy Ne pas être ſeuſible à l’ardeur qui m’enflâme.	vous pourriez malgré ma constance et ma foi Ne pas être seusible à l'ardeur qui m'enflamme.
AMARILLE.	AMARILLE.
Non, l'Amour à preſent ne me fait plus le loy.	Non, l'Amour à présent ne me fait plus le loi.
jeluis maitrene de mon aines	jeluis maitrène de mon aines
LYSIDAS.	LYSIDAS.
Mais qu’ay je fait encor qui vous ait pû choquer Pour reſte iuſenſible à toute ma tendreſſe?	Mais qu'ai je fait encor qui vous ait pu choquer Pour reste jusensible à toute ma tendresse?
AMARILLE.	AMARILLE.
Je ne ſçais, mais enfin la moindre ardeur me bleſſe.	Je ne sais, mais enfin la moindre ardeur me blesse.
Et par certain mameur qu'on ne peut expliquer, Je trouve que l’Amour n'eſt rien qu’une foibleſſe.	Et par certain mameur qu'on ne peut expliquer, Je trouve que l'Amour n'est rien qu'une faiblesse.
LYSIDAS.	LYSIDAS.
Bergere je ne croyois pas Que l'Amour à vos yeux parut une foibleſſe.	Bergère je ne croyais pas Que l'Amour à vos yeux parut une faiblesse.
AMARILLE.	AMARILLE.
Je n’aurois pas crû Lyſidas Que vous condamnaſſiez l’Amour & la tendreſſe.	Je n'aurais pas cru Lysidas Que vous condamnassiez l'Amour et la tendresse.
LYSIDAS.	LYSIDAS.
Si tout ce que j’en ay vous pouvoit plaire!	Si tout ce que j'en ai vous pouvait plaire!
helas, Amarille je n’aurois garde De tenter ce que je hazarde En condamnant d’amour le charme & les appas.	hélas, Amarille je n'aurais garde De tenter ce que je hasarde En condamnant d'amour le charme et les appas.
AMARILLE.	AMARILLE.
Berger :	Berger :
li mon atdeur vous pouvoit etre chere Croyez que je n’aurois auſſi garde à mon tour De traiter ce que j’ay d’Amour De foibleſſe ny de chimere.	li mon atdeur vous pouvait être chère Croyez que je n'aurais aussi garde à mon tour De traiter ce que j'ai d'Amour De faiblesse ici de chimère.
da lll nav.	da lll nav.
I dreſſe.	I dresse.
Quoy tu pourrois avoir pour moy quelque tenMais dis-moy ſi l’hymen une fois nous unit Me promets-tu jamais de n’avoir de foibleſſe Pour ce certain Monſieur l’Eſprit?	Quoi tu pourrais avoir pour moi quelque tenMais dis-moi si l'hymen une fois nous unit Me promets-tu jamais de n'avoir de faiblesse Pour ce certain Monsieur l'Esprit?
AMARILLE.	AMARILLE.
Cisl où va prendre donc Lyfidas ce qu’ildit;	Cisl où va prendre donc Lyfidas ce qu'ildit;
LYSIDAS.	LYSIDAS.
Hé bien j’ay tort je le confeſſe?	Hé bien j'ai tort je le confesse?
Ne vous emportez point mais, Bergere, entre nous S’il eſt vray que je ſois heureux ju ſqu’à vous plaire Autant que vôtre ardeur m’eſt chère, Qu'empêche que l’Amour ſerre de nœuds ſi doux.	Ne vous emportez point mais, Bergère, entre nous S'il est vrai que je sois heureux ju squ'à vous plaire Autant que votre ardeur m'est chère, Qu'empêche que l'Amour serre de nœuds si doux.
AMARTELE.	AMARTELE.
A qui tient-il Berger ſi ce n’eſt pas à vous?	À qui tient-il Berger si ce n'est pas à vous?
LYSIDAS TOi qu’il tient à moy trop aimable Amarille, C’eſt faire outrage à mon ardeur, Moy qui borne tout mon bonheur A vous voir à mes vœux favorable & facile.	LYSIDAS TOi qu'il tient à moi trop aimable Amarille, C'est faire outrage à mon ardeur, Moi qui borne tout mon bonheur A vous voir à mes vœux favorable et facile.
AMARILLE.	AMARILLE.
S’il ne tenoit à vous, trop charmant Lyſidas, Vhheuteur d prompt Hymenée, Devant que le soitired foy lajournte Vous feroit poſſeder tout ce que j’ay d’appas.	S'il ne tenait à vous, trop charmant Lysidas, Vheuteur d prompt Hyménée, Devant que le soitired foi lajournte Vous ferait posséder tout ce que j'ai d'appas.
SCENE III.	SCÈNE III.
AMARILLE, LYSIDAS, CORIDON.	AMARILLE, LYSIDAS, CORIDON.
CORIDON.	CORIDON.
Eunes cœuts trop heureux ſouffrez je vous cons Que je mêle ma plainte à vos felicitez, [jure Et qu’au milieu de vos proſperitez Le triſte Coridon murmure.	Eunes cœuts trop heureux souffrez je vous cons Que je mêle ma plainte à vos félicités, [jure Et qu'au milieu de vos prospérités Le triste Coridon murmure.
De ce que le deſtin luy fait de cruautez.	De ce que le destin toujours fait de cruautés.
Quel plaiſir à ce qui me ſemble Aprés quelques momens d’aigreur & de ſoucy Pour deux jeunes Amans de renoüer enſemble, Et ſe rapatrier ainſi?	Quel plaisir à ce qui me semble Après quelques moments d'aigreur et de souci Pour deux jeunes Amants de renouver ensemble, Et se rapatrier ainsi?
C’eſt dans un tel iaſtant que l'Amour dans une amg	C'est dans un tel jastant que l'Amour dans une amg
LYSIDAS.	LYSIDAS.
Il eſt vray que jamais ma flâme coc i'avoit tait ſentir une ſi tendre ardeul.	Il est vrai que jamais ma flamme coc j'avait taît sentir une si tendre ardeul.
CORIDON.	CORIDON.
Comment ne porter point envie à ton bonheur?	Comment ne porter point envie à ton bonheur?
Helas!	Hélas!
ton heureux ſort dont l'excez m’inquiette Me vient toûjours perſuader Que le ples grand plaiſir, qui puiſſe poſſeder U de ame amoureuſe & bien faite, acC’eſt le plaiſir de ſe racommoder Aprés une froideur ou viſible ou ſecrete:	ton heureux sort dont l'excès m'inquiette Moi vient toujours persuader Pour le ples grand plaisir, qui puisse posséder V de âme amoureuse et bien faite, acC'est le plaisir de se racommoder Après une froideur ou visible ou secrète:
Je crois, méme je crois dans mon deſtin fatal Que daus le doux plaiſir qui nous charme & poſſede Au moment que l’amour a la haine ſuccede, Deux cœurs ne voudroient pas n’avoir point été mal.	Je crois, même je crois dans mon destin fatal Que daus le doux plaisir qui nous charme et possède Au moment que l'amour a la haine succède, Deux cœurs ne voudraient pas n'avoir point été mal.
C’eſt un charme ſi grand.	C'est un charme si grand.
Mais hélas quand j’y penſe.	Mais hélas quand j'y pense.
e l'ingrate Zelide eſt loin de ces bonter, Ce n’eſt qu’aigreur, que fiel, que feux, que duretez.	Je l'ingrate Zélide est loin de ces bonter, Ce n'est qu'aigreur, que fiel, que feux, que duretés.
Du moment que vos vœux en ſent mal écoutez Et qu’elle n’apour vous que de l'indiſference, Vos ſoins, vôtre zele l'offence.	Du moment que vos vœux en sent mal écoutez Et qu'elle n'apour vous que de l'indisférence, Vos soins, votre zèle l'offense.
A ſes yeux on à beau luy prouver ſa conſtanée, On à beau de ſes feux luy vanrer les clartez.	À ses yeux on a beau lui prouver sa constanée, On à beau de ses feux Seigneur vanrer les clartés.
Heſas point de tetour:	Hésas point de tetour:
point de paix avec elle, Les plus humbles reſpects ne ſçauroient la Héchir Il n’eſt point de devoir ni d’ardeur ſi fidel le Que ſa fierté ne fuye & ne cherche à gauchir.	point de paix avec elle, Les plus humbles respects ne sauraient la Héchir Il n'est point de devoir ni d'ardeur si fidel le Que sa fierté ne fuie et ne cherche à gauchir.
AMARILLE.	AMARILLE.
Berger de vos malheurs vous ſçavez quelque choſe Mais je doute bien aprés tout e vous ſçachiez la veritable cauſe	Berger de vos malheurs vous savez quelque chose Mais je doute bien après tout e vous sçachiez la véritable cause
Pourquoj roupornediun voue rendreſſe à bout.	Pourquoj oupornediun voue rendresse à bout.
CORIDON.	CORIDON.
Je ne le ſçais hélas!	Je ne le sais hélas!
Bergere, que de reſte, C eſt que je déplais à les yeux.	Bergère, que de reste, Ç est que je déplais à les yeux.
AMARILLE.	AMARILLE.
Mais encor ſçavez-vous de ce mépris funeſte D’où-vieut le tranſport furieux.	Mais encor Savez-vous de ce mépris funeste D'où-vieut le transport furieux.
OORRORV.	OORRORU.
Non, e’eſt ce que jamais je ne ſçaurois compteudrer	Non, e'est ce que jamais je ne saurais compteudrer
AMARILLE.	AMARILLE.
Si vous le ſouhaittez je m’en vais vous l'apprendre,	Si vous le souhaitez je m'en vais vous l'apprendre,
CORIDON.	CORIDON.
Vous me ferez plaiſir.	Vous me ferez plaisir.
LYSIDAS.	LYSIDAS.
Et moy fort franchement pavoue que jen en ay guete Lors que je vois que ma Bergere D'us autre que de moy reçoit un compliment,	Et moi fort franchement pavoue que jen en ai guette Lors que je vois que ma Bergère D'us autre que de moi reçoit un compliment,
AMARILLE.	AMARILLE.
Ce qui fait qu'à vos vœur penotent u erueſſe, Et qu’elle vous aime ſi peu, doit queue miue auciprit qui le dit etre un Dicu, Et qui paſſe les jours & les nuits avec elle.	Ce qui fait qu'à vos vœur pénotent ervesse, Et qu'elle vous aime si peu, doit queue mive auciprit qui le dit être un Dicu, Et qui passe les jours et les nuits avec elle.
CORIDON.	CORIDON.
L’ingrate?	L'ingrate?
quoy, ce Dieu qui deffend les combatt	quoi, ce Dieu qui défend les combatt
AMARILLE.	AMARILLE.
Vous l'avez deviné, juſtement, c’eſt luy même,	Vous l'avez deviné, justement, c'est lui -même,
CORIDON.	CORIDON.
Héquoy donc, n’en déplaiſe au Berger Lyſidas N'eſt-ce pas vous qu’il aime?	Héquoy donc, n'en déplaise au Berger Lysidas N'est-ce pas vous qu'il aime?
AMARILLE.	AMARILLE.
1 Il eſt vray je l'avouë, & ne me défends pas) [ pas ’il voulur feiudre en moy de trouver quelque ap:	1 Il est vrai je l'avoue, et ne me défends pas) [ pas 'il voulur féjudre en moi de trouver quelque ap:
Mais malgré tout féclat de ſa gloire ſuprẽme.	Mais malgré tout féclat de sa gloire suprême.
Mon cœur n’en fit jamais grand cas, Et n’avois pour luy qu’une froideur extréme quej ay lacilee au bergel Lyudis.	Mon cœur n'en fit jamais grand cas, Et n'avais pour vain qu'une froideur extrême quej ai lacilète au bergel Lyudis.
LYSIDAS.	LYSIDAS.
Peſte que j’ay de peur que mon front ne pâtiſſe De cer obligeant Sacrifice.	Peste que j'ai de peur que mon front ne pâtisse De cer obligeant Sacrifice.
2a aca sa le la e me, Elle a pour luy l’égard que j’avois autrefois.	2a aca sa le la e me, Elle a pour lui l'égard que j'avais autrefois.
LYSIDAS.	LYSIDAS.
Hé-bien ne voilà pas mon compte.	Hé-bien ne voilà pas mon compte.
Ah, ah, donc vous l’aimiez, à ce que j’apperçois.	Ah, ah, donc vous l'aimiez, à ce que j'aperçois.
Lors qu’avec luy je vous tronvois, Ce n’étoit qu’un fantôme, & c’étoit une honte A moy de croire rien de ce que je voyois:	Lors qu'avec Seigneur je vous tronvais, Ce n'était qu'un fantôme, et c'était une honte À moi de croire rien de ce que je voyais:
AMARILLE.	AMARILLE.
Il eſt vray comme je vous aime, Que dans le temps que je vous le diſois.	Il est vrai comme je vous aime, Que dans le temps que je vous le disais.
