MADAME,	MADAME,
Et le plus dur treſpas, me ſembleroit bien doux, Si ie le receuois, & pour eux, & pour vous.	Et le plus dur trépas, me semblerait bien doux, Si tu le recevais, et pour eux, et pour vous.
Mais que pourrois-ie faire, en l’eſtat où nous ſommes!	Mais que pourrais-je faire, en l'état où nous sommes!
Ha!	Ha!
noſtre guariſon, ne deſpend point des hommes, Il faut vn coup du Ciel, pour nous en garantir.	notre garison, ne dépend point des hommes, Il faut un coup du Ciel, pour nous en garantir.
TIGRANE.	TIGRANE.
Non, non, c’eſt de ma main que ce coup doit partir:	Non, non, c'est de ma main que ce coup doit partir:
Mais c'eſt à vous à faire vn acte plein de gloire, Dont les ſiecles futurs garderont la memoire;	Mais c'est à vous à faire un acte plein de gloire, Dont les siècles futurs garderont la mémoire;
Et qui fera benir à la poſterité, Et voſtre grand courage, & voſtre pieté.	Et qui fera bénir à la postérité, Et votre grand courage, et votre piété.
Ie vous coniure donc (vous ſeule en qui i’eſpere) Par l’amour du pays, & par celle d'vn pere;	Je vous conjure donc (vous seule en qui j'espère) Par l'amour du pays, et par celle d'amour père;
Lai coire prepnt giene, & pai mon imteret, D'embraſſer ma querelle, equitable qu’elle eſt.	Lai coire prépnt giene, et pai mon imteret, D'embrasser ma querelle, équitable qu'elle est.
ORMENE.	ORMENE.
Ie ne vous entends point:	Je ne vous entend point:
TIGRANE.	TIGRANE.
Secondez mon attente;	Secondez mon attente;
Et malgré ce Tiran, qui jun gurder ſa Tente, Donnez moy le moyen de m’aprocher de luy, C’eſt tout ce que mon bras vous demande auiourd'huy.	Et malgré ce Tyran, qui jun gurder sa Tente, Donnez -moi le moyen de m'aprocher de Seigneur, C'est tout ce que mon bras vous demande aujourd'hui.
O Dieux!	Ô Dieux!
ORMENE.	ORMENE.
TIGRANE.	TIGRANE.
Apres ceta, ſi te ne vous deliure, Qu'on me face mourir, comme indigne de viure.	Après ceta, si te ne vous délivre, Qu'on me face mourir, comme indigne de vivre.
ORMENE.	ORMENE.
Saiſi deſtonnement, de triſteſſe, & d'horreur, Mon eſprit m’abandonne, & fuit voſtre fureur.	Saisi destonnement, de tristesse, et d'horreur, Mon esprit m'abandonne, et fuit votre fureur.
Ha!	Ha!
ne m’inſpirez point cette damnable enuie!	ne m'inspirez point cette damnable envie!
Si le Roy Monſeigneur, s’attaque à voſtre vie, Ie veux mourir pour vous, c’eſt mon plus grand ſoucy;	Si le Roi Monseigneur, s'attaque à votre vie, Je veux mourir pour vous, c'est mon plus grand souci;
Aluus ji comtuiruqueZ, ie veux mourir außi.	Alujus ji comtuiruquez, ils veux mourir aussi.
Entre ces deux deuoirs, mon amt vaimncée, Ne peut iamais auoir vne iniuſte penſée;	Entre ces deux devoirs, mon amt vaimncée, Ne peut jamais avoir une injuste pensée;
Et de quelques propos qu'on taſche à m'animer, Ie vous dois ſecourir, mais ie le dois aimer.	Et de quelques propos qu'on tâche à m'animer, Je vous dois secourir, mais toujours le dois aimer.
TIGRANE.	TIGRANE.
Quoy, vous deueZ aimer vn Tiran, vn pariure?	Quoi, vous devez aimer un Tyran, un parjure?
Qui choque eſgallement l'Amour, & la Nature?	Qui choque égallement l'Amour, et la Nature?
Vn Monſtre abominable, vn Tigre ſans pitié!	Un Monstre abominable, un Tigre sans pitié!
Qui meſpriſe les Dieux, l’honneur, & l’amitié?	Qui méprise les Dieux, l'honneur, et l'amitié?
Qui deſtruit cet Eſtat, par vne iniuſte haine?	Qui détruit cet État, par une injuste haine?
Qui vous retient captiue, & mon pere à la chaine?	Qui vous retient captive, et mon père à la chaîne?
Qui ſur noſtre infortune, eſleue ſon bon-heur?	Qui sur notre infortune, élève son bonheur?
Qui veut m'oſter le iour, qui veut m’oſter l’honneur?	Qui veut m'ôter le jour, qui veut m'ôter l'honneur?
Quoy, vous deueZ aimer, vn barbare, vn infame?	Quoi, vous devez aimer, Un barbare, un infâme?
ORMENE.	ORMENE.
Ouy, ie le dois aimer, puis que ie ſuis ſa femme.	Oui, Seigneur le dois aimer, puis que je suis sa femme.
TIGRANE.	TIGRANE.
Pluſtoſt que de ſouffrir ſa haine, & ſon meſpris, Que ne ſecondez vous, le deſſein que i'ay pris?	Plutôt que de souffrir sa haine, et son mépris, Que ne secondez -vous, le dessein que j'ai pris?
ORMENE.	ORMENE.
L’honneur me le deffend;	L'honneur me le défend;
TIGRANE.	TIGRANE.
L’amitié vous l'ordonne:	L'amitié vous l'ordonne:
Quel reffus on me fait!	Quel reffus on me fait!
ORMENE.	ORMENE.
Quel conſeil on me donne!	Quel conseil on me donne!
TIGRANE.	TIGRANE.
Vn conſeil genereux:	Un conseil généreux:
ORMENE.	ORMENE.
Vn conſeil criminel;	Un conseil criminel;
Qui noirciroit mon nom, d’vn reproche eternel.	Qui noircirait mon nom, d'un reproche éternel.
TIGRANE.	TIGRANE.
TIGRANE.	TIGRANE.
Voſtre gloire Madame, eſt bien plus aſſeurée, Eſtant ſœur ſans pitié, fille deſnaturee, Et preferant a noms, & preferunt u vous, Vn traiſtre,	Votre gloire Madame, est bien plus assurée, Étant sœur sans pitié, fille desnaturee, Et préférant à noms, et préférunt u vous, Votre traître,
SIITENE.	SIITENE.
Mais mon Roy,	Mais mon Roi,
Mais cruel,	Mais cruel,
TIGRANE.	TIGRANE.
ORMENE.	ORMENE.
Mais Eſpoux.	Mais Espoux.
TIGRANE.	TIGRANE.
Comment pretendez vous vaincre ſa violence?	Comment prétendez -vous vaincre sa violence?
ORMENE.	ORMENE.
Et par ma paßion, & par ma patience;	Et par ma passion, et par ma patience;
Et de quelque façon qu’il mal-traitte mon cœur, Ces armes ſeulement, combatront ſa rigueur.	Et de quelque façon qu'il mal-traitte mon cœur, Ces armes seulement, combattront sa rigueur.
TIGRANE.	TIGRANE.
Ainſi donc par l'erreur d'vne ſœur ſi changée, Polixene, ta mort ne ſera point vangée:	Ainsi donc par l'erreur d'une sœur si changée, Polixène, ta mort ne sera point vengée:
Et ton ſang reſpandu, que ce fer luy fait voir, Tout chaud qu’il eſt encor, ne pourra l’eſmouuoir!	Et ton sang répandu, que ce fer avait fait voir, Tout chaud qu'il est encor, ne pourra l'esmouuoir!
I'auray donc vainement, ſatisfait ton enuie, En ne te ſuiuant point, en conſeruant ma vie!	J'aurai donc vainement, satisfait ton envie, En ne te suivant point, en conservant ma vie!
Et par ces ſentimens, qu'elle a pour m’affliger, I'auray veſcu pour pleindre, & non pour te vanger!	Et par ces sentiments, qu'elle a pour m'affliger, J'aurai vécu pour pleindre, et non pour te venger!
Que ce Tiran ſe cache en la nuit la plus ſombre, Et ſon ſang, & le mien, appaiſeront ton ombre;	Que ce Tyran se cache en la nuit la plus sombre, Et son sang, et le mien, appaiseront ton ombre;
Ie te le iure encor, par le ſainct nom des Dieux;	Je te le jure encor, par le saint nom des Dieux;
I'iray le poignarder, en vos bras, à vos yeux;	J'irai le poignarder, en vos bras, à vos yeux;
Ouy, Madame, ma main ayant tommis ce crime, Doit à ce noble ſang, l’vne & l’autre victime;	Oui, Madame, ma main ayant tommis ce crime, Doit à ce noble sang, l'une et l'autre victime;
Ouy nous deuons mourir en ce commun malheur, Luy d’vn fer, vous de honte, & moy ſeul de douleur.	Oui nous devons mourir en ce commun malheur, Lui d'un fer, vous de honte, et moi seul de douleur.
OMMENL.	OMMENL.
I'excuſe ce tranſport, par l’erreur qui le cauſe:	J'excuse ce transport, par l'erreur qui le cause:
Mais vous ne ſçaueZ pas le ſuccez de la choſe;	Mais vous ne savez pas le succès de la chose;
Hon u prla douscene.	Hon u prla douscène.
TIGRANE.	TIGRANE.
O foible inuention, Pour arreſter ma main, & mon affliction!	Ô faible invention, Pour arrêter ma main, et mon affliction!
ORMENL.	ORMENL.
Ie ne vous trompe point, i'exprime m'a penſée:	Je ne vous trompe point, j'exprime m'a pensée:
TIGRANE.	TIGRANE.
Cette main le ſçait trop, elle qui l'a bleſſée;	Cette main le sait trop, elle qui l'a blessée;
Elle encor qui dans l’eau.	Elle encor qui dans l'eau.
ORMENE.	ORMENE.
Non, ſans doute elle vit, Elle eſt dans noſtre camp;	Non, sans doute elle vit, Elle est dans notre camp;
TIGRANE.	TIGRANE.
Ce diſcours me rauit!	Ce discours me ravit!
Tu vis donc Polixene, & le Ciel pitoyable, A fait en ma faueur, vn miracle incroyable!	Tu vis donc Polixène, et le Ciel pitoyable, A fait en ma faveur, un miracle incroyable!
Polixene tu vis, mon deüil s’éuanoüit:	Polixène tu vis, mon deuil s'évanouit:
Mais que mal à propos, mon cœur ſe reſioüit.	Mais que mal à propos, mon cœur se réjouit.
Polixene tu vis, mais tu vis pour vn autre;	Polixène tu vis, mais tu vis pour un autre;
Nous retrouuons vn bien, qui ne peut eſtre noſtre;	Nous retrouvons un bien, qui ne peut être notre;
Et ie t’aimeray moins (pardonne à ce tranſport) Dans les bras du Tiran, que dans ceux de la mort:	Et ici t'aimerai moins (pardonne à ce transport) Dans les bras du Tyran, que dans ceux de la mort:
O Ciel, ô Terre, ô Dieux, ma douleur eſt trop forte!	Ô Ciel, ô Terre, ô Dieux, ma douleur est trop forte!
DonneZ la moy viuante, ou rendeZ la moy morte:	Donnez la moi vivante, ou rendez la moi morte:
Me voyant affligé, ſi iamais ie le fus, Faites quelle ſoit mienne, ou qu'elle ne ſoit plus.	Me voyant affligé, si jamais ie le fus, Faites quelle soit mienne, ou qu'elle ne soit plus.
Ie connois ſon eſprit, eſtant chaſte & fidelle, Il authoriſera ce que ie dis pour elle;	Je connais son esprit, étant chaste et fidèle, Il autorisera ce que ici dis pour elle;
Ouy, ſans doute il diroit, s’il entendoit ma voix, Qu'il eſt preſt à ſortir vne ſeconde fois:	Oui, sans doute il dirait, s'il entendait ma voix, Qu'il est prêt à sortir une seconde fois:
Sa generoſité, qui n'eut iamais d’exemple;	Sa générosité, qui n'eût jamais d'exemple;
Ce grand & fort eſprit, digne d’auoir vn Temple;	Ce grand et fort esprit, digne d'avoir un Temple;
Bien loing de condamner vn ſi cruel deſſein, Baiſeroit ce poignard, & m'offriroit ſon ſein.	Bien loin de condamner un si cruel dessein, Baiserait ce poignard, et m'offrirait son sein.
Mais quoy que ma douleur ſoit forte, & legitime, Ma main, gardons nous bien de faire vn nouueau crime;	Mais quoi que ma douleur soit forte, et légitime, Ma main, gardons nous bien de faire un nouveau crime;
Qu'elle viue pluſtoſt, cette aimable beauté;	Qu'elle vive plutôt, cette aimable beauté;
Qu'elle ait moins de courage, & moy de cruauté;	Qu'elle ait moins de courage, et moi de cruauté;
Ouy, puiſque c’eſt au Ciel, que ma perte eſt eſcrite;	Oui, puisque c'est au Ciel, que ma perte est écrite;
Puis que pour me l'oſter, le ſort la reſſucite;	Puis que pour me l'ôter, le sort la ressucite;
Puis que tout m’abandonne, en l'eſtat ou ie ſuis;	Puis que tout m'abandonne, en l'état ou beau suis;
Puis qu'vne ingrate ſœur, ſe rit de mes ennuis;	Puis qu'une ingrate sœur, se rit de mes ennuis;
Puis qu'elle veut mon ſang, puis qu'elle le demande;	Puis qu'elle veut mon sang, puis qu'elle le demande;
Mourons;	Mourons;
mais iuſtes Dieux, ie vous la recommande.	mais justes Dieux, ie vous la recommande.
S P N SEPT IESME.	 SE N SEPT IESME.
TIRIDATE, Troupe de GARDES, ORMENE, TIGRANE.	TIRIDATE, Troupe de GARDES, ORMEN, TIGRANE.
TIRTDATE, Voy, iuſques dans mon camp le perfide eſt venu?	TIRTDATE, Vois, jusque dans mon camp le perfide est venu?
VN GARDE.	UN GARDE.
Seigneur, n’en douteZ point, ie l’ay bien reconnu;	Seigneur, n'en doutez point, ie l'ai bien reconnu;
Et ſi ie ne me trompe, il eſt auec la Reine.	Et si ici ne me trompe, il est avec la Reine.
TIRIDATE.	TIRIDATE.
Gardes aduancez vous, Pharnace qu’on les prenne:	Gardes avancez -vous, Pharnace qu'on les prenne:
On luy preCe ſecret entretien, preuue leur trahiſon;	On avait préCe secret entretien, prévue leur trahison;
Mais le fer, & le feu, m'en feront la raiſon;	Mais le fer, et le feu, m'en feront la raison;
Qu'on ne les quitte pas:	Qu'on ne les quitte pas:
L iij	 Lijà
ORMENE.	ORMENE.
Quel malheur eſt le noſtre!	Quel malheur est le nôtre!
TIGRANE.	TIGRANE.
Laſche, aprens que mon cœur, ne craind ny l’vn ny l'autre;	Lâche, apprends que mon cœur, ne craind ni l'un ni l'autre;
Et que ſi le deſtin n’euſt rompu mon deſſein, Ie venois te cacher ce poignard dans le ſein.	Et que si le destin n'eût rompu mon dessein, Je venais te cacher ce poignard dans le sein.
TIRIDATE.	TIRIDATE.
Ie ris de ta colere, ainſi que de ſes l'armes.	Je ris de ta colère, ainsi que de ses l'armes.
Il parie) Mais il faut que mon camp demeure ſur les armes;	Il parie) Mais il faut que mon camp demeure sur les armes;
Va le dire à Phraarte, afin qu’en liberté, Ie ſonge à les punir de leur temerité:	Va le dire à Phraarte, afin qu'en liberté, Je songe à les punir de leur témérité:
Et que le bruit confus des Troupes amaſſées, Neoneme pomt ironoiei mes diuerſes penſées;	Et que le bruit confus des Troupes amassées, Neoneme pompt ironoiei mes diverses pensées;
Qu'il tienne tout le iour nos bataillons dreſſez, La colere & l'Amour, m'importunent aſſez.	Qu'il tienne tout le jour nos bataillons dressez, La colère et l'Amour, m'importunent assez.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
A2 TIGRANE, CASSANDRE, HECVBE, OROSMANE, TIRIDATE, Troupe de GARDES, ORMENE, PHARNABASE, TROILE, PHRAARTE.	A2 TIGRANE, CASANDRE, HÉCUBE, OROSMANE, TIRIDATE, Troupe de GARDES, ORMENE, PHARNAJAJE, TROILE, PHRARTE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
TIGRANE.	TIGRANE.
STANCES.	STANCES.
Onſtre ſans yeux, & ſans prudence, Qui regnes, & qui fais regner:	Onstre sans yeux, et sans prudence, Qui régnès, et qui fais régner:
Toy, qui te plais de teſmoigner Ton pouuoir, & ton inconſtance, Apres tant de felicité, Vois où tu m'as precipité!	Toi, qui te plais de témoigner Ton pouvoir, et ton inconstance, Après tant de félicité, Vois où tu m'as précipité!
Fortune, tu tiens les Couronnes, Et par ce double aueuglement, On connoiſt que ſans iugement Tu les oſtes, & tu les donnes;	Fortune, tu tiens les Couronnes, Et par ce double aveuglement, On connaît que sans jugement Tu les ôtes, et tu les donnes;
Aviuis tu faueur efsfet vn Roy, Volage, & meſchant comme toy.	Avivis tu faveur efsfet un Roi, Volage, et méchant comme toi.
Außi quand tu fus obligeante, Ou quand i'ay ſouffert tes meſpris, Ta main ne m'a iamais ſurpris;	Aussi quand tu fus obligeante, Ou quand j'ai souffert tes mépris, Ta main ne m'a jamais surpris;
Qui dit fortune, dit changeante;	Qui dit fortune, dite changeante;
Et i'eſtois touſiours preparé, A perdre vn bien mal aſſeuré.	Et j'étais toujours préparé, A perdre un bien mal assuré.
Vange tes faueurs meſpriſées, Que i'auois, & que ie n'ay plus;	Venge tes faveurs méprisées, Que j'avais, et que tu n'ai plus;
Marche ſur des Sceptres rompus;	Marche sur des Sceptres rompus;
Foule des Couronnes briſees;	Foule des Couronnes brises;
Ie les attendois ſans deſir, Et ie les perds ſans deſplaiſir.	Je les attendais sans désir, Et ainsi les perds sans déplaisir.
Mais apres que ta violence, A repris ce qui vient de toy, Laiſſe mourir Tigrane en Roy, Ta fureur à trop d’inſolence:	Mais après que ta violence, A repris ce qui vient de toi, Laisse mourir Tigrane en Roi, Ta fureur à trop d'insolence:
Le Troſne eſt vn obiet plus beau, Ne regne point ſur mon tombeau.	Le Trône est un objet plus beau, Ne règne point sur mon tombeau.
C'eſt toute la faueur, que mon cœur te demande;	C'est toute la faveur, que mon coeur te demande;
Vn indigne treſpas, eſt ce que i'aprehende:	Un indigne trépas, est -ce que j'appréhende:
Et pourueu que mon bras ſoit maiſtre de mon ſort, D'vn viſage aſſuré, ie receuray la mort.	Et pourvu que mon bras soit maître de mon sort, D'un visage assuré, ie receuray la mort.
Pourueu que ce Tiran, ce Monſtre plein de vice, Ne me choiſiſſe point le genre du ſuplice;	Pourvu que ce Tyran, ce Monstre plein de vice, Ne me choisisse point le genre du supplice;
Pourueu que cette mort, qui me doit ſecourir, Ne vienne pas de luy, ie ſuis preſt a mourir.	Pourvu que cette mort, qui me doit secourir, Ne vienne pas de lui, tu suis prêt a mourir.
Caſſandre ſi ton cœur eſt touché de ma peine, De grace, en ma faueur, va trouuer Polixene;	Cassandre si ton cœur est touché de ma peine, De grâce, en ma faveur, va trouver Polixène;
Porte luy cet eſcrit, mais va donc, ſorts d’icy;	Porte notre cet écrit, mais va donc, sorts d'ici;
I'attendray ſa reſponce, auec bien du ſoucy:	J'attendrai sa réponce, avec bien du souci:
Deſpeſche, & ſi tu peux, trompe l'œil & la haiDe ces gardes qui ſont dans la Tente prochaine:	Despèche, et si tu peux, trompe l'œil et la haiDe ces gardes qui sont dans la Tente prochaine:
Tu m’obligeras plus ( pouuant l’executer) Que ſi tu me rendois, ce qu'on vient de m'oſter.	Tu m'obligeras plus ( pouvant l'exécuter) Que si tu me rendais, ce qu'on vient de m'ôter.
C E IV.	Ç E IV.
DEVXIESME.	DEUXIÈME.
CASSANDRE, TIGRANE,	CASSANDRE, TIGRANE,
CASSANDRE.	CASSANDRE.
Eigneur, aſſurez vous qu’au peril de ma vie, Ie m'en vay de ce pas, contenter voſtre enuie.	Eigneur, assurez -vous qu'au péril de ma vie, Je m'en vais de ce pas, contenter votre envie.
TIGRANE.	TIGRANE.
Puis qu'vn Prince affligé, ne peut rien deſormais, Les Dieux reconnoiſtront le bien que tu me fais.	Puis qu'un Prince affligé, ne peut rien désormais, Les Dieux reconnaîtront le bien que tu me fais.
Ie les voy;	Je les vois;
mais pourtant ma fidelle Caſſandre, Ne va pas droict vers eux, on te pourroit ſurprendre;	mais pourtant ma fidèle Cassandre, Ne va pas droit vers eux, on te pourrait surprendre;
Sors par l’autre coſté, feins de les rencontrer;	Sors par l'autre côté, feins de les rencontrer;
Mais à ton bel eſprit, on ne peut rien monſtrer.	Mais à ton bel esprit, on ne peut rien montrer.
D C 1 TEV 2 TROISIESME.	 Ç 1 TEU 2 TROISIÈME.
POLIXENE, OROSMANE,	POLIXENE, OROSMANE,
POLIXENE.	POLIXENE.
Eigneur, c’eſt en ce iour, que la fureur celeſte;	Eigneur, c'est en ce jour, que la fureur celeste;
Deſtruit auec l'Eſtat tout l’eſpoir qui nous reſte, Et que Tigrane pris qui m'oblige à pleurer, Deffend à ma raiſon, de plus rien eſperer.	Détruit avec l'État tout l'espoir qui nous reste, Et que Tigrane pris qui m'oblige à pleurer, Défend à ma raison, de plus rien espérer.
Le Ciel veut noſtre perte, il nous y faut reſoudre:	Le Ciel veut notre perte, il nous y faut résoudre:
Sa derniere colere, ou ſa derniere foudre, Eſclatte horriblement, enfin tombé ſur nous, Et perd la Capadoce, en perdant mon Eſpoux.	Sa dernière colère, ou sa dernière foudre, Esclatte horriblement, enfin tombé sur nous, Et perd la Capadoce, en perdant mon Époux.
Tant que Tigrane libre, euſt veſcu ſans contrainte, Vn eſpoir raiſonnable euſt balancé ma crainte;	Tant que Tigrane libre, eût vécu sans contrainte, Un espoir raisonnable eût balancé ma crainte;
I'attendois tout de luy, mais helas!	J'attendais tout de Seigneur, mais hélas!
deſormais Voſtre Troſne en ſa cheute, eſt tombé pour iamais Celuy dont la valeur eſtoit incomparable;	désormais Votre Trône en sa chute, est tombé pour jamais Celui dont la valeur était incomparable;
Celuy qui ſouſtenoit noſtre ſort dẽplorable, Celuy que vous aimieZ celuy qui vous aymoit;	Celui qui soutenait notre sort demplorable, Celui que vous aimiez celui qui vous aimait;
Celuy que ie charmois, celuy qui me charmoit;	Celui que Seigneur charmais, celui qui me charmait;
Celuy dont la vertu s'eſgalloit au courage;	Celui dont la vertu s'esgalloit au courage;
Va ſouler d’vn Tiran, l’iniuſtice & la rage;	Va soûler d'un Tyran, l'injustice et la rage;
Et ſon illuſtre main, dans les fers d'vn meſchant, Ne vous ſouſtiendra point, en voſtre àge panchant.	Et son illustre main, dans les fers d'H méchant, Ne vous soutiendra point, en votre a nchant.
Ha!	Ha!
Seigneur, ma conſtance enfin eſt abatuë!	Seigneur, ma constance enfin est abattue!
Le coup qui perd Tigrane, eſt celuy qui me tuë;	Le coup qui perd Tigrane, est celui qui me tue;
Le mal qu’il va ſouffrir, eſt le ſeul que ie ſens, Et i'accuſe le ſort, qui nuit aux innocens.	Le mal qu'il va souffrir, est le seul que je sens, Et j'accuse le sort, qui nuit aux innocents.
O fort iniriene, vois tomme in diſpoſes, Et des euenemens, & de l’ordre des choſes!	Ô fort iniriene, vois tomme in disposes, Et des événements, et de l'ordre des choses!
Grands Dieux, pardonnez moy ſi i’oſe murmurer, Mais ce mal eſt trop fort, qui pourroit l’endurer?	Grands Dieux, pardonnez -moi si j'ose murmurer, Mais ce mal est trop fort, qui pourrait l'endurer?
OROSMANE.	OROSMANE.
Le ſort le plus cruel, peut deuenir propice, Il a ſauué des gens au bord du precipice;	Le sort le plus cruel, peut devenir propice, Il a sauvé des gens au bord du précipice;
Et dans vn grand nauffrage, on voit venir au port, Des cœurs qui ſçauent vaincre, & la mer & la mort.	Et dans un grand nauffrage, on voit venir au port, Des cœurs qui savent vaincre, et la mer et la mort.
Mais quand noſtre vaiſſeau periroit dans l’orage, Manquons d’heur Polixene, & non pas de courage:	Mais quand notre vaisseau périrait dans l'orage, Manquons d'heur Polixène, et non pas de courage:
Qui ſouffre conſtammmen on uepingoureux, Fait voir qu’il meritoit d’eſtre moins malheureux;	Qui souffre constammen on uepingoureux, Fait voir qu'il méritait d'être moins malheureux;
La Gloire d'vn combat, conſiſte à ſe deffendre, Non à l'euenement:	La Gloire d'un combat, consiste à se défendre, Non à l'événement:
mais que nous veut Caſſandre?	mais que nous veut Cassandre?
D ATE VATRIESME, L CASSANDRE, POLIXENE, OROSMANE,	D ATE VATRIESME, L ASSANDRE, POLIXENE, OROSMANE,
CASSANDRE.	CASSANDRE.
E Prince voſtre Eſpoux, ma donné cet eſcrit:	E Prince votre Époux, ma donné cet écrit:
POLIXENE.	POLIXENE.
Prepare toy mon cœur, arme toy mon eſprit.	Prépare toi mon cœur, arme toi mon esprit.
Elle ouure	Elle ouvre
LETTRE DE TIGRANE Seul obiet de mon cœur, aimable Polixene, Puis qu'on void que le Ciel augmente ſon couroux, Oppoſons enfin à ſa haine, Vn remede aſſuré, qui deſpende de nous.	LETTRE DE -THIGRANE Seul objet de mon cœur, aimable Polixène, Puis qu'on voit que le Ciel augmente son courroux, Opposons enfin à sa haine, Ven remède assuré, qui dépende de nous.
Pour te ſauuer l'honneur, ma main te fut cruelle;	Pour te sauver l'honneur, ma main te fut cruelle;
Pour me ſauuer l'honneur, & rompre ma priſon;	Pour me sauver l'honneur, et rompre ma prison;
Par vne grace mutuelle, Que la tienne auiourd'huy, me donne du poiſon.	Par une grâce mutuelle, Que la tienne aujourd'hui, me donne du poison.
Preſte moy ton ſecours, pour terminer mes peines;	Preste moi ton secours, pour terminer mes peines;
Trouue moy ce poiſon qui me deliurera;	Trouve -moi ce poison qui me délivrer;
ol te nenois tourge de thaines 5 P'irois baiſer la main, qui me le donnera.	ol te nenais tourge de thaines 5 P'irais baiser la main, qui me le donnera.
TIGRANE.	TIGRANE.
Triſte, deſeſperée, interdite, & confuſe, Honneur, tu veux vn don que l'Amour te reffuſe:	Triste, désespérée, interdite, et confuse, Honneur, tu veux un don que l'Amour te reffuse:
La mort, quelque conſeil que tu puiſſes m'offrir, Eſt plus dure à donner, qu'elle n'eſt à ſouffrir:	La mort, quelque conseil que tu puisses m'offrir, Est plus dure à donner, qu'elle n'est à souffrir:
Et de tous les grands maux, honneur, le mal extreme, Eſt d'en faire endurer, à l’obiet que l’on aime.	Et de tous les grands maux, honneur, le mal extrême, Est d'en faire endurer, à l'objet que l'on aime.
Tigrane, cher Eſpoux, ie connois en effect, Par le mal que ie ſens, celuy que ie t’ay faict, Lors que ma volonté, qui regne ſur la tienne, Força ta main au coup, que tu veux de la mienne, Mais bien qu'apres vn coup qui m'obligea ſi fort, Mon cœur paroiſſe ingrat, en refuſant ta mort, S’il eſt vray cher Eſpoux, que ce refus te bleſſe, En faueur de l'Amour, pardonne à ma foibleſſe;	Tigrane, cher Époux, on connais en effet, Par le mal que je sens, celui que quelque t'ai fait, Lors que ma volonté, qui règne sur la tienne, Força ta main au coup, que tu veux de la mienne, Mais bien qu'après un coup qui m'obligea si fort, Mon cœur paraisse ingrat, en refusant ta mort, S'il est vrai cher Époux, que ce refus te blesse, En faveur de l'Amour, pardonne à ma faiblesse;
Tu fis voir ton ardeur, en vn don ſi plaiſant;	Tu fis voir ton ardeur, en un don si plaisant;
Et ie fais voir la mienne, en te le reflſant.	Et grands fais voir la mienne, en te le reflsant.
OROSMANE.	OROSMANE.
Non, non, la raiſon veut qu’on ſuiue ſon enuie:	Non, non, la raison veut qu'on suive son envie:
Ie conclus à ſa mort, moy dont il tient la vie;	Je conclus à sa mort, moi dont il tient la vie;
Et malgré le diſcours que ie viens de tenir, Ie voy bien qu’il eſt temps de ſonger à finir.	Et malgré le discours que ici viens de tenir, Je vois bien qu'il est temps de songer à finir.
me maue oppoſons puis uma fente deſtinées;	me mave opposons puis uma fente destinées;
Acheuons ſes malheurs, auecques ſes années, Et puis qu'aucun ſecours ne peut nous arriuer, Ne luy refuſons pas ce qui le peut ſauuer.	Achevons ses malheurs, auecques ses années, Et puis qu'aucun secours ne peut nous arriver, Ne lui refusons pas ce qui le peut sauver.
POLIXENE.	POLIXENE.
Helas!	Hélas!
tout m’abandonne en ſi triſte aduanture!	tout m'abandonne en si triste aventure!
OROSMANE.	OROSMANE.
Voſtre amour y reſiſte, außi fait la Nature;	Votre amour y résiste, aussi fait la Nature;
Ie ſuis Pere, ce mot dit aſſeZ ma douleur, Mais que pouuons nous faire, en vnſi grand malheur?	Je suis Père, ce mot dit assez ma douleur, Mais que pouvons nous faire, en unsi grand malheur?
POLIXENE.	POLIXENE.
Quoy donc, pour bien aimer il faut eſtre inhumaine!	Quoi donc, pour bien aimer il faut être inhumaine!
Et monſtrer ſon amour par vn effect de haine!	Et montrer son amour par un effet de haine!
O Pitoyable eſtat, où le ſort me reduit!	Ô Pitoyable état, où le sort me réduit!
Raiſon, retireZ Tous, voſtre conſeil me nuit;	Raison, retirez Tous, votre conseil me nuit;
Ie ne puis me reſoudre a cet acte Tragique;	Je ne puis me résoudre à cet acte Tragique;
Et de quelque vertu que mon eſprit ſe pique;	Et de quelque vertu que mon esprit se pique;
Et bien qu’il ſoit luy meſme en eſtat de partir, Ie ſens bien que mon cœur n'y ſçauroit conſentir.	Et bien qu'il soit luiprendre en état de partir, Je sens bien que mon cœur n'y saurait consentir.
OROSMANE Tant de dificultez ne me contentent gueres:	OROSMANE Tant de diicultés ne me contentent guère:
Ie ſouffre la foibleſſe en des ames vulgaires, Mais aux cœurs eſleuez, ce defaut me deſplaiſt, Tigrane eſtant mon fils, ſongeZ à ce qu’il eſt, Et faiſons que ſa mort, au moins puiſſe paroiſtre, Digne de la grandeur où ie l’auois fait naiſtré.	Je souffre la faiblesse en des âmes vulgaires, Mais aux cœurs élevez, ce défaut me déplaît, Tigrane étant mon fils, songez à ce qu'il est, Et faisons que sa mort, au moins puisse paraître, Digne de la grandeur où apprendre l'avais fait naistré.
POLIXENE Mais quand i’eſcouterois cette fiere raiſon, En l’eſtat où ie ſuis, ou prendre du Poiſon?	POLIXENE Mais quand j'écouterais cette fière raison, En l'état où votre suis, ou prendre du Poison?
OROSMANE.	OROSMANE.
