LE TAIIINIL D’ALEXANDRE 22444 A HARDY, PARISIEN.	LE -TAIINIL D'ALEXANDRE 22444 A HARDY, PARISIEN.
helas!	hélas!
ie n’attens de reuoir que ſon ombre Cruelle épouuentable, en la demeure ſombre, Armée de flambeaux, de tortures, de fers, Que dis-je ja déja hors du ſueil des Enfers, Suiuie d’vne bande affreuſe elle s’élance, Pardonne à mon oûtrage;	Ce n'attends de revoir que son ombre Cruelle épouuentable, en la demeure sombre, Armée de flambeaux, de tortures, de fers, Que dis-je ja déjà hors du seuil des Enfers, Suivie d'une bande affreuse elle s'élance, Pardonne à mon otrage;
et à ma violence, Pardõne moy ma vie, à grãds coups redoublez Ie m'en vay ſatisfaire à tes Manes troublez, Plomber ce ſein caduc, me déchirer la face, Arracher ces cheueux, me meurtrir fur là place, Ha cruel!	et à ma violence, Pardonne moi ma vie, à grands coups redoublés Je m'en vais satisfaire à tes Manes troublés, Plomber ce sein caduc, me déchirer la face, Arracher ces cheveux, me meurtrir fur là place, Ha cruel!
ha bourreau, quelle punition Feroit de ton forfait digne expiation?	ha bourreau, quelle punition Ferait de ton forfait digne expiation?
Pherore.	Phérore.
D’où ſortent ces clameurs qui le Palais étonnẽt?	D'où sortent ces clameurs qui le Palais étonnẽt?
Quels ſouſpirs feminins en la bouche reſonnent D'vn Monarque inuincible?	Quels soupirs féminins en la bouche résonnent D'un Monarque invincible?
ô ſecouſſes du ſort!	ô secousses du sort!
Dois-je croire mes yeux, ou ſon courage mort?	Dois-je croire mes yeux, ou son courage mort?
SIRE, ie vous ſupplie écouteZ ma priere, Que voſtre Majeſté pour vn peu ſe tempere, Reprime ſa fureur impetueux torrent, Impetueux qui cauſe vn extaſe apparent, Immobile ſinon des paupieres ouuertes, Qu’il contourne d’horreur & de flâmes couuertes, Sourd, eſtrangé de ſoy, ſtupide, forcené, D'vne brutalité maniaque mené, Sa poitrine de coups l’homicide guerroye, O Cieux!	SIRE, Madame vous supplie écoutez ma prière, Que votre Majesté pour un peu se tempère, Reprime sa fureur impétueux torrent, Impétueux qui cause un extase apparent, Immobile sinon des paupières ouvertes, Qu'il contourne d'horreur et de flammes couvertes, Sourd, estrangé de soi, stupide, forcené, D'une brutalité maniaque mené, Sa poitrine de coups l'homicide guerro, Ô Ie,
qui l’abandonne au deſespoir en proye.	qui l'abandonne au désespoir en proie.
Meſſager.	Messager.
Informé du trépas de la Royne par moy, Soudain le tourbillon de ce lugubre émoy L’a ſaiſi, l’a ſurpris, réduiſant ſes complaintes, Iuſqu'aux communes loix de la nature enfraintes, Iuſqu'à ſe mutiler l’eſtomach de ſa main, Mon conſeil, mes efforts luy reſiſtent en vain.	Informé du trépas de la Royne par moi, Soudain le tourbillon de ce lugubre émoi L'a saisi, l'a surpris, réduisant ses complaintes, Jusqu'aux communes lois de la nature enfraintes, Jusqu'à se mutiler l'estomac de sa main, Mon conseil, mes efforts était résistent en vain.
Salome.	Salome.
O d’vn parfait amour exemple deplorable!	Ô d'un parfait amour exemple déplorable!
Qui fut à ſon ob ject de ſorte inſeparable, Qu'il ne peut au cercueil deualé oublier, Qui ne peut le Ciment de ſa foy délier Iaçoit que criminelle vne mort appliquée Soit moindre que l’offenſe horrible remarquée, Que l’arrogante ſeule ait voulu ſon malheur.	Qui fut à son ob éct de sorte inséparable, Qu'il ne peut au cercueil devalé oublier, Qui ne peut le Ciment de sa foi délier Iaçoit que criminelle quelque mort appliquée Soit moindre que l'offense horrible remarquée, Que l'arrogante seule ait voulu son malheur.
Or, SIRE, ſi faut-il prendre vn auis meilleur, Paſſer d’oreſnauant l’esponge ſur ſa perte, Qui de peu vous ſera facile recouuerte, Mille heureuſes d’auoir le grade qu'elle obtient, Poſſeder vn honneur qui ne luy appartient, Humbles, ſages, de qui toûjours l’obeïſſance Se gardera de cheoir en ſa meſconnoiſſance.	Or, SIRE, si faut-il prendre un avis meilleur, Passer d'oresnavant l'éponge sur sa perte, Qui de peu vous sera facile recouverte, Mille heureuses d'avoir le grade qu'elle obtient, Posséder un honneur qui ne lui appartient, Humbles, sages, de qui toujours l'obéissance Se gardera de choir en sa méconnaissance.
Herode.	Hérode.
Perfides enuieux qui me la tolliſſeZ Qui l’astre de mon mieux à jamais eclipſez, Organes de ſa mort qui me ſaigneZ dans l’ame, Qui deceu me chargez de remors & de blâme, Fuyez viſte d’icy, à peine de ſentir Du Conſeil frauduleux le proche repentir, A peine d’alleger ma torture immortelle, Sans égard, ſans reſpect, de ſang, de parentelle:	Perfides envieux qui me la tollissez Qui l'astre de mon mieux à jamais éclipsez, Organes de sa mort qui me saigneZ dans l'âme, Qui déçu me chargez de remors et de blâme, Fuyez vite d'ici, à peine de sentir Du Conseil frauduleux le proche repentir, À peine d'alléger ma torture immortelle, Sans égard, sans respect, de sang, de parentelle:
479 Bourreaux ne paroiſſez plus jamais àmes yeux, Qui ne vous peuuent vou funsestre furieux.	479 Bourreaux ne paraissez plus jamais àmes yeux, Qui ne vous peuvent vou funsêtre furieux.
Pherore.	Phérore.
Rettrons-nous ma ſœur, que ce tançon de rage N’épande ſur nos chefs vne part de l’orage, Et faut que la raiſon recampée en ſon fort Efface le peril d’vn frenetique effort.	Rettrons-nous ma sœur, que ce tançon de rage N'épande sur nos chefs une part de l'orage, Et faut que la raison recampée en son fort Efface le péril d'un frénétique effort.
Salome.	Salome.
Auſſi que s'obſtiner preſens à contredire, Seroit verſer de l’huile és flâmes de ſon ire, Enaigrir vn leuain d’aueugle paſſion, Qui du temps Medecin veut l’operation.	Aussi que s'obstiner presens à contredire, Serait verser de l'huile ès flammes de son ire, Engrir un Levain d'aveugle passion, Qui du temps Médecin veut l'opération.
Toy mon amy, regarde au mal qui le tenaille, Qu'vn ſecours domeſtique ores ne luy defaille.	Toi mon ami, regarde au mal qui le tenaille, Qu'un secours domestique ores ne lui défaille.
Meſſager.	Messager.
L’honneur incomparable en ce pieux deuoir M’oblige d’y vaquer par deſſus mon pouuoir, Aſſiſte Tout-puiſſant, aſſiſté de ta grace Celuy chez qui l’amour toute prudence efface, Compoſe ſa tourmente, belas!	L'honneur incomparable en ce pieux devoir M'oblige d'y vaquer par -dessus mon pouvoir, Assiste Tout-puissant, assisté de ta grâce Celui chez qui l'amour toute prudence efface, Compose sa tourmente, bêlas!
ie l’apperçoy Ame pruunes necourir tout tranſporté de ſoy	Ne l'aperçois Âme pruunes nécourir tout transporté de soi
Herode.	Hérode.
Que ceſſes-tu meurtrier?	Que cesses-tu meurtrier?
donnes-tu déja trêue, Aux aſſauts redoubleZ de l’ennuyqui te greue.	donnes-tu déjà trêve, Aux assauts redoublés de l'ennuiqui te grève.
YNAGEDIE.	YNAGEDIE.
Suffit-il d’honorer de ſouſpireux ſanglots, 480 & De ton autre moitié la memoire &e le los?	Suffit-il d'honorer de soupireux sanglots, 480 et De ton autre moitié la mémoire été le los?
Suffit-il que toy ſeul dans ton cœur la reueres?	Suffit-il que toi seul dans ton cœur la révères?
Non, nõ, malgré l’effort des trois Uierges ſeueres Mariamne reuit en la terre & aux Gieux, Chacun ainſi que moy l’aura deuant les yeux, Fidelles ſeruiteurs vous quiconques l’aimãtes, Quiconque a mon vouloir deuots vous conformates, Uenez tous, accourez, ie vous cõmande exprés;	Non, non, malgré l'effort des trois Uierges sévères Mariamne révit en la terre et aux Gieux, Chacun ainsi que moi l'aura devant les yeux, Fidèles serviteurs vous quiconques l'aimant, Quiconque à mon vouloir dévots vous conformâtes, Uenez tous, accourez, je vous commande exprès;
Les larmes aux yeux, le front tout enceint de Cyprés, De reclamer par tout Mariãne Deeſſe, (dreſſe Ie vous commande exprés qu'vn autel on luy Icy dans le Palais, ou les vœux, & l’encens Appaiſent chaque jour ſes Manes innocens, Ou ie vous donne vn lieu d’inuiolable aſyle, Ou ie veux que ma vie en larmes ſe diſtile, Où ce precieux corps inhumé quelquefois Reuoquera l’eſprit aux accens de ma voix, Conſolant mes ennuis d’vne douce parole, Permettant à mes bras d’étraindre ſon ido le, A ma bouche obtenir ſa piteuſe merçy, Premier que ie deſcende au Royaume noircy, --I.	Les larmes aux yeux, le front tout enceint de Cyprès, De réclamer par tout Mariène Deesse, (dresse Je vous commande exprès qu'un autel on avait Ici dans le Palais, ou les vœux, et l'encens Apaisent chaque jour ses Manes innocents, Ou ie vous donne ir lieu d'inviolable asile, Ou tu veux que ma vie en larmes se distyle, Où ce précieux corps inhomé quelquefois Roquera l'esprit aux accends de ma voix, Consolant mes ennuis d'une douce parole, Permettant à mes bras d'intraindre son ido le, A ma che obtenir sa bou ç, Premier que ie descende au Royaume noircy, --Ya
–- Premier que le trépas criminel me preuienne, Premier qu'ombre là bas à-elle ie paruienne;	Ell- Premier que le trépas criminel me prévienne, Premier qu'ombre là bas à-elle un parvienne;
Car certain du pardon, & que purifié, I'auray ce bel esprit du tout propicié, Un moment ſuperflu ne trainera ma vie, De plus de mille morts elle abſente ſuiuie, Deſſur l’heure content ie la vay retrouuer, Heure qui ne ſçauroit aſſez toſt arriuer.	Car certain du pardon, et que purifié, J'aurai ce bel esprit du tout propicié, Un moment superflu ne traînera ma vie, De plus de mille morts elle absente suivie, Déesur l'heure content un la vais retrouver, Heure qui ne sais assez tôt arriver.
AL II A Li FIDELITE ASTORALE.	AL II À Li FIDÉLITÉ ASTORALE.
Par ALEXANDRE HARDY Pariſien.	Par ALEXANDRE HARDY Parisien.
ARGVMENT.	ARGUMENT.
Ertain pauure homme, le nom duquel eſtoit Phedime, viuant du hazard de ſa peſche ordinaire, trouue fortuitement ſur la baſe vn petit enfant au berceau que le deluge ſuruenu en Elide y auoit apporté;	Ertain pauvre homme, le nom duquel était Phédime, vivant du hasard de sa pêche ordinaire, trouvère fortuitement sur la base un petit enfant au berceau que le déluge survenu en Élide y avait apporté;
le nourrit auec ſa fille vnique, reconnue pour la plus belle de toutes les Nymphes d’Arcadie, qui par ſucceſſion de temps contracte vne vertueuſe & inſeparable amitié auec ce fien domeſtique:	le nourrit avec sa fille unique, reconnue pour la plus belle de toutes les Nymphes d'Arcadie, qui par succession de temps contracte une vertueuse et inséparable amitié avec ce sien domestique:
joint que le bon-homme de pere voyant ſa fille negligée à cauſe d’vne extréme pauureté, l’auoit promiſe en mariage au jeune Democle, ainſi que recompenſe de ſa longue & fidelle ſeruitude;	joint que le bon-homme de père voyant sa fille négligée à cause d'une extrême pauvreté, l'avait promise en mariage au jeune Democle, ainsi que récompense de sa longue et fidèle servitude;
mais comme la fille déja mariable, ce beau pair n’attendoit de jour a autre que la moiſſon de ſes trauaux amoureux, aduient que le plus riche & accomply des Paſteurs Arcades, nommé Dorilas, la demande, & l’obtiẽt du pere maiſtriſé d’vne ambitieuſe auarice;	mais comme la fille déjà mariable, ce beau pair n'attendait de jour a autre que la moisson de ses travaux amoureux, advient que le plus riche et accompli des Pasteurs Arcades, nommé Dorilas, la demande, et l'obtiment du père maîtrisé d'une ambitieuse avarice;
Le vieillard donc à ce deſſein voyant qu’aucunes prieres ne menaces ne peuuent faire démordre vn ſeruiteur de ſes juſtes pretentions, ſur quelque legere offenſe ſuppoſée le congedie.	Le vieillard donc à ce dessein voyant qu'aucunes prières ne menaces ne peuvent faire démordre un serviteur de ses justes prétentions, sur quelque légère offense supposée le congédie.
Democle furieux de deſeſpoir, court au premter precipice en intention de s’oſter & l’amour, & la vie.	Democle furieux de désespoir, court au premter précipice en intention de s'ôter et l'amour, et la vie.
Choſe effectuée, ſi Cupidon luy rendant ſes Oracles par vn Echo, puis perſonnellement viſible, ne l’euſt remis en eſperãce, & renuoyé vers la miſerable Alcée, proche de mourir de regret de ſon abſence.	Chose effectuée, si Cupidon lui rendant ses Oracles par un Écho, puis personnellement visible, ne l'eût remis en espérance, et renvoyé vers la misérable Alcée, proche de mourir de regret de son absence.
Le pere frauduleux le reçoit à bras ouüerts, promettant derechef que ſa fille reuenuë en conualeſcence luy eſt acquiſe.	Le père frauduleux le reçoit à bras ouïerts, promettant derechef que sa fille revenue en convalescence luitaît acquise.
Democle deſcouurant la feinte à la ſuggeſtiõ d’Alcée, ils ſe reſoluent à vne fuite clandeſtine du logis paternel;	Democle découvrant la feinte à la suggestiõ d'Alcée, ils se résolvent à une fuite clandestine du logis paternel;
Ce vieillard ſoupçonneux les attrape ſur le faict, & apres auoir mis Democle en Iuſtice, le fait cõdamner en pleine aſſemblée à vn banniſſement perpetuel.	Ce vieillard soupçonneux les attrape sur le fait, et après avoir mis Democle en Justice, le fait cõdamner en pleine assemblée à un bannissement perpétuel.
Le pere de Democle qui cherchoit ſon fils par tout le monde, ſuruient là deſſus, ſe fait reconnoiſtre pour l’vn des plus riches & renommez Gitoyens d’Elide, libere ſon fils, & luy obtient ſans difficulté ſa maiſtreſſe à femme.	Le père de Democle qui cherchait son fils par tout le monde, survient là -dessus, se fait reconnaître pour l'un des plus riches et renommés Gitoyens d'Élide, libère son fils, et tu obtient sans difficulté sa maîtresse à femme.
Quant à Dorilas, ſon ancien mépris enuers la belle & chaſte Cydippe ſe conuertiſſant en repentir, vn double mariage ferme ce ſujet boccager, conduit à ſa perfection.	Quant à Dormas, son ancien mépris envers la belle et chaste Cydippe se convertissant en repentir, un double mariage ferme ce sujet boccager, conduit à sa perfection.
Dorilas.	Dorilas.
Alcée Democle.	Alcée Democle.
Cidippe.	Cidipe.
Phedime.	Phédime.
Ligdame.	Ligdame.
Ergaſte.	Ergaste.
Teſtile.	Testile.
Cupidon.	Cupidon.
Coridon.	Coridon.
Mopſe.	Mopse.
Damon.	Damon.
Eucrate.	Eucrate.
Chœur de bergers.	Chœur de bergers.
A OV A 2 L’INFIDELITE' PASTORALE.	À OU A 2 L'INFIDÉLITÉ PASTORALE.
ACTE I.	ACTE I.
DORILAS, ALCE’E, DEMOCLE ET CIDIPPE.	DORILAS, ALCE'E, DEMOCLE ET CIDIPE.
CENE I.	CÈNE I.
DORILAS, ALCEE.	DORILAS, ALCE.
I Ab& Dorilas.	I Que Dorilas.
Equoy profite à ma mourante vie, Un tas de biens le ſujet de l’enuie?	Equoi profite à ma mourante vie, Un tas de biens le sujet de l'envie?
Et que fortune, appas fallacieux, Le plus ſouuent donne au plus vicieux?	Et que fortune, appas fallacieux, Le plus souvent donne au plus vicieux?
Dequoy me ſert que de ma bergerie Mille moutons errent par la prairie?	Dequoy me sert que de ma bergerie Mille moutons errent par la prairie?
Que Dorilas par la commune vois Soit couronné Monarque de ces bois?	Que Dorilas par la commune vois Soit couronné Monarque de ces bois?
Riche de biens, iſſu de parentage Qui deſſur tous luy donnent l’auantage, CheZ qui jamais pour l’âpreté du chault Le laict nouueau en Eſté ne defaut, Chez qui toûjours Pomone liberalle Ses plus beaux dons dans le grenier étalle, L'age à ſouhait fauoriſe mes ans, Pour la figure encor tel ie me ſens.	Riche de biens, issu de parentage Qui dessur tous deux donnent l'avantage, CheZ qui jamais pour l'âpreté du chault Le lait nouveau en Été ne défaut, Chez qui toujours Pomone libérale Ses plus beaux dons dans le grenier étalle, L'age à souhait favorise mes ans, Pour la figure encor tel ens me sens.
Hier mirée au calme du riuage Qu'elle pourroit fléchir la plus ſauuage, Une exceptée, vne Nymphe, õ douleur!	Hier mirée au calme du rivage Qu'elle pourrait fléchir la plus sauvage, Une exceptée, une Nymphe, ô douleur!
Dont l’œil des Cieux imite la couleur, Dont l’œil à coupideſſerre mille fléches, Et dont le cœur nous fait autant de bréches, Dont l’œil foudroye vn gracieux dédain, Qui nous captiue, & enchaiſne ſoudain, Dont l’œil preſcrit vn deſtin qui nous force, Bon gré, mal gré de ſuiure ſon amorce.	Dont l'œil des Cieux imite la couleur, Dont l'œil à coupidesserre mille flèches, Et dont le cœur nous fait autant de brèches, Dont l'œil foudraie un gracieux dédire, Qui nous captive, et enchaîne soudain, Dont l'œil prescrit un destin qui nous force, Bon gré, mal gré de suivre son amorce.
Helas!	Hélas!
beaux yeux, mais que dis-je Soleils;	beaux yeux, mais que dis-je Soleils;
Aſtres jumeaux qui n'auez de pareils.	Astres jumeaux qui n'avez de pareils.
Un rais au moins me luiſe fauorable, Un rais de vous m'apparoiſſe exorable, Où ne voülant ma langüeur ſecourir, Plus doucement, las!	Un rais au moins me luise favorable, Un rais de vous m'apparaisse exorable, Où ne voulant ma langueur secourir, Plus doucement, las!
me faites mourir, Regrets en l’air, ſouſpirs qu'Echo reſonne, Ains à bonne heure oüis de ma felonne, Qui me preuient, la quenoüille en la main, Modere Amoür, ce courage inhumain, Fay luy ſentir vne ſeule étincelle, Du grand braſier que mon ame recelle, Ou me permets de ſçauoir maintenant, Qui ſa rigueur m'iroit entretenant.	me faites mourir, Regrets en l'air, soupirs qu'Écho résonne, Ains à bonne heure ouïr de ma félonne, Qui me prévient, la quenoüille en la main, Modère Amour, ce courage inhumain, Fa lui sentir une seule étincelle, Du grand brasier que mon âme recèle, Ou me permets de savoir maintenant, Qui sa rigueur m'irait entretenant.
Alcée.	Alcée.
Un peu de tréue au ſoucy qui te mine, Telle façon ſolitaire & chagrine, A nous chetifs, de bon droit appartient Que dans ſes rets la pauureté retient, Mais vn Berger le plus heurenx qui viue, Auquel tout bien, ſelon ſes vœux arriue, S’offenſe trop, & a peu de raiſon, De s’affliger ainſi hors de faiſon.	Un peu de trêve au souci qui te mine, Telle façon solitaire et chagrine, A nous chétifs, de bon droit appartient Que dans ses rets la pauvreté retient, Mais un Berger le plus heurenx qui vive, Auquel tout bien, selon ses vœux arrive, S'offense trop, et à peu de raison, De s'affliger ainsi hors de saison.
Dorilas.	Dorilas.
Diras-tu riche vn qui ne ſe poſſede, Ains vn bleßé qui cherche ſon remede, - Heureux celuy qu’impaſſible d’amour Tu fais mourir chaque moment du jour:	Diras-tu riche un qui ne se possède, Ains un blesié qui cherche son remède, - Heureux celui impassible amour Tu fais mourir chaque moment du jour:
Diuine Alcée en ta grace obtenuë, En ta beauté que ie preſſerois nuë, Giſt mon repos, ma richeſſe, & mon mieux, Et la faueur d’vn rayon de tes yeux I'eſtime plus que la terre aſſeruie.	Divine Alcée en ta grâce obtenue, En ta beauté que ie presserais nue, Gît mon repos, ma richesse, et mon mieux, Et la faveur d'un rayon de tes yeux J'estime plus que la terre asservie.
AAetepte auile nia ctrimige eres Soyons vnis de fortune & de cœur.	AAetepte avile nia ctrimige ères Soyons unis de fortune et de cœur.
Alcée.	Alcée.
Deſiſte toy de ce propos mocqueur, Pauure de biens, de merité, & de race, Autre party que le mien ſe pourchaſſe.	Désiste toi de ce propos moqueur, Pauvre de biens, de mérité, et de race, Autre parti que le mien se pourchasse.
Dorilas.	Dorilas.
Si frauduleux, ie le dy feintement, Si tes beautez ie n'ayme ſainctement, Si ie ne tien ma fortune inégalle A ton merite en la loy conjugalle, Iamais de Pan ne s'exauce ma voix, Que mes Troupeaux arriueZ dans ce bois Saoulent des Loups l’impitoyable rage, Veux-tu tirer la preuue du courage?	Si frauduleux, Seigneur le dis feintement, Si tes beautés jusqu'aime sainte, Si apprendre ne tien ma fortune inégalle À ton mérite en la loi conjugale, Jamais de Pan ne s'exauce ma voix, Que mes Troupeaux arriueZ dans ce bois Saoulent des Loups l'impitoyable rage, Veux-tu tirer la preuve du courage?
Aßeure-moy de ta chaſte amitié, Que ma langueur te prouoque à pitié;	Asseure-moi de ta chaste amitié, Que ma langueur te provoque à pitié;
Et de ce pas ie vay ſans plus attendre, Ml oſſrir auegre à ton pere de gendre.	Et de ce pas Seigneur vais sans plus attendre, Ml ossrir augre à ton père de gendre.
Alcée.	Alcée.
Mon Pere ſçait ſa force meſurer, Et ne me veut vn party procurer Plus que l’eſtat d’vne qualité baſſe Ne luy permet,	Mon Père femme sa force mesurer, Et ne me veut un parti procurer Plus que l'état d'une qualité basse Ne lui permet,
Dorilas.	Dorilas.
Dy pluſtoſt que ta glace Mes ſeux abhorre, & s'il en eſt content, Promets-tu pas y aller conſentant?	Dis plutôt que ta glace Mes seux abhorre, et s'il en est content, Promets-tu pas y aller consentant?
Alcée.	Alcée.
Sa volonté de la mienne dispoſe, Mais je crains fort,	Sa volonté de la mienne dispose, Mais je crains fort,
DOIHAJe.	DOIHAJe.
Quoy que quelqu'vn s'oppoſe, Qui preferab le obtint ce prix ſur moy:	Quoi que quelqu'un s'oppose, Qui préférab le obtint ce prix sur moi:
Alcée.	Alcée.
Ains qui premier euſt engagé ſa foy,	Ain qui premier eût engagé sa foi,
Dorilas.	Dorilas.
O deſespoir!	Ô désespoir!
ô parole homicide, Cruel Amour, ha!	ô parole homicide, Cruel Amour, ha!
que tu es perfide, Or nomme vn peu ce plaiſant Corriual.	que tu es perfide, Or nomme un peu ce plaisant Corrival.
Alcée.	Alcée.
Ie n’ay loiſir, car dans ce prochain val Democle attend il y a pres d’vne heure, Adieu Berger, Pan auec toy demeure.	Je n'ai loisir, car dans ce prochain val Democle attend il y a pres d'une heure, Adieu Berger, Pan avec toi demeure.
Dorilas.	Dorilas.
Adieu Tygreſſe, Adieu, tu fuis en vain Qui te va ſuiure à la piſte ſoudain, Qui malgré toy s’éclaircira du doute, Doute épineux qu'aueré ie redoute;	Adieu Tigresse, Adieu, tu fuis en vain Qui te va suivre à la piste soudain, Qui malgré toi s'éclaircira du doute, Doute épineux qu'averé ainsi redoute;
Et neantmoins on ne ſçauroit pouruoir A aucun mal, premier que le ſçauoir.	Et néanmoins on ne saurait pourvoir A aucun mal, premier que le savoir.
SCENE II.	SCÈNE II.
DEMOCLE, ALCEE, DORILAS.	DEMOCLE, ALCE, DORILAS.
Democle.	Democle.
Uous obſerueZ la coûtume ordinaire De tout promettre, & apres n'en rien faire, Pour uu crintemps plus propre ne s'eſt veu, Que le Poiſſon ſur pris à l’impourueu, Si vous & moy d’vne peine meſlée Euſſions tendu à la Troupe écaillée.	Uous observez la coûtume ordinaire De tout promettre, et après n'en rien faire, Pour crintemps plus propre ne s'est , Que le Poisson sur pris impourueu, Si vous et moi peine meslée Eussions tendu la Troupe écaillée.
Alcée.	Alcée.
On tend des rets, & ſeme des appas Contre noſtre heur, que tu ne penſes pas, Et qui iamais qu'à l’extréme forcée Ne ſortiroit du creux de ma penſée.	On tend des rets, et seme des appas Contre notre heur, que tu ne penses pas, Et qui jamais qu'à l'extrême forcée Ne sortirait du creux de ma pensée.
Democle.	Democle.
Ne ſortiroit, hé Cieux!	Ne sortirait, hé Cieux!
l’occaſion?	l'occasion?
Cela ſeroit à la confuſion D’one peaure deuenne iſaene Pour me ſentir par trop indigne d'elle.	Cela serait à la confusion D'one peaure devenne isaène Pour me sentir par trop indigne d'elle.
Alcée.	Alcée.
Nimporte à toy de le ſcauoir, pourueu Que du peril affranchy tu ſois veu.	Nymporte à toi de le savoir, pourvu Que du péril affranchi tu sois vu.
DOMUU.	DOMU.
Voila trop dit ſa malice notoire Monſtre quel homme à ſur nous la victoire.	Voilà trop dit sa malice notoire Monstre quel homme à sur nous la victoire.
Democle, Me refuſer la Clef de vos ſecrets S’appelle mis au rang des indiſcrets, Que vous aueZ en moy pauue ſaie, Que deſirez geſner d’impatience Ma loyauté toûjours bléme de peur, Qu'vn tel aguet me ſupplante trompeur.	Democle, Me refuser la Clef de vos secrets S'appelle mis au rang des indiscrets, Que vous avez en moi pauve saie, Que désirez gêner d'impatience Ma loyauté toujours blême de peur, Qu'un tel aguet me supplante trompeur.
O2 Si ie ne puis te diuertir la crainte, Au moins du mat tempeſeneray t’atteinte.	O2 Si ici ne puis te divertir la crainte, Au moins du mat tempesenerai t'atteinte.
Dorilas.	Dorilas.
O ſimple fille!	Ô simple fille!
ô ſimple, de priſer Un vil eſclaue, & mes feux mépriſer!	ô simple, de priser Un vil esclave, et mes feux mépriser!
Democle.	Democle.
Puy oumut quoy mu priere obtenuë Recompenſer de choſe à peu connuë.	Puy oumut quoi mu prière obtenue Récompenser de chose à peu connue.
AICeC.	ÀICeC.
Quelle?	Quelle?
tu ments, ie ne croy de leger.	tu mens, Seigneur ne crois de léger.
Democle.	Democle.
La foy vous doit ſuffire à me pleger,	La foi vous doit suffire à me pleger,
Alcée.	Alcée.
Ey eijtementye eu une parole,	Ei eijtementye eu une parole,
Democle.	Democle.
Dites premiere, apres ie ſçay mon roolle.	Dites première, après apprendre sais mon roole.
Dorſlas.	Dorslas.
Voila pourtant beaucoup de priuauté, Voila m'vſer d’eſtrange cruauté, 1	Voilà pourtant beaucoup de privauté, Voilà m'user d'étrange cruauté, 1
Alcée.	Alcée.
Tu me voudrois ſuruendre auec vſure Ce qui ne fut poſſible onc en nature,	Tu me voudrais survendre avec usure Ce qui ne fut possible onc en nature,
Democle.	Democle.
Uous me voulez faire acheter vn bien Quetantie ueſſenet a nenuu inien,	Uous me voulez faire acheter un bien Quetantie uessenet à nenu inien,
Alcée.	Alcée.
Le voule obſeur de ces propos me tue,	Le voule obseur de ces propos me tue,
Democle.	Democle.
I’entens qu'Amour miracle n’effectuë Enuers les ſiens plus grand, que ne laiſſer, Secret, deſir, entrepriſe, ou penſer, Qui far tt enump ne sentrecommunique, A ce defaut mon ſort ſeroit inique.	J'entends qu'Amour miracle n'effectue Envers les siens plus grand, que ne laisser, Secret, désir, entreprise, ou penser, Qui far tût en ne sentrecommunique, À ce défaut mon sort serait inique.
Alcée.	Alcée.
I'auiſeray, lors que tu m'auras dit Quel beau preſent merité ce credit.	J'aviserai, lors que tu m'auras dit Quel beau présent mérité ce crédit.
Democſe.	Democse.
Hier parmy des joncs, deſſus la riue, Un cry d’oyſeaux à mon oreille arriue, Qui pepioyent dans leur nid, que ſoudain Ie fus chercher de pieds, d'œil & de main, Si que la mere à ſes fils arrachée, Qui s'enuola, découurit la nichée.	Hier parmi des joncs, dessus la rive, Un cri d'oiseaux à mon oreille arrive, Qui pépiaient dans leur nid, que soudain Je fus chercher de pieds, d'œil et de main, Si que la mère à ses fils arrachée, Qui s'envola, découvrît la nichée.
Alcée.	Alcée.
Que trouuas-tu?	Que trouvas-tu?
quelle espece d’oyſeaux?	quelle espèce d'oiseaux?
Democle.	Democle.
De ceux qui font le calme ſur les eaux, Hh iij	De ceux qui font le calme sur les eaux, H ajà
Alcee.	Alcée.
Qui font le calme, o plaiſante nouuelle!	Qui font le calme, ô plaisante nouvelle!
Tu prens plaiſir a me meuire en ceruelle.	Tu prends plaisir à me meuire en cervelle.
Democle.	Democle.
L'autre ſerée il ne vous ſouuient pas Que voſtre pere au ſortir du repas Parloit des vents en bonne compagnie, Quel temps ſur mer vn voyage nous nie, Et que tandis que l’Alcion leger Eſcloſt ſes œufs, il chaſſe le danger, De là les jours nommeZ Alcionides, Luiſent heureux ſur les plaines liquides, I'ay ſes petits en leur berceau reclus, Qui m'eſt plus cher, & que j'eſtime plus, Comme baſty chef-d’œuure en la nature, Done incroyavie E aniſe ſirnciure.	L'autre serée il ne vous souvient pas Que votre père au sortir du repas Parlait des vents en bonne compagnie, Quel temps sur mer un voyage nous nie, Et que tandis que l'Alcion léger Éclôt ses œufs, il chasse le danger, De là les jours nommez Alcionides, Luisent heureux sur les plaines liquides, J'ai ses petits en leur berceau reclus, Qui m'est plus cher, et que j'estime plus, Comme bâti chef-d’ œuure en la nature, Done incroyavie HEUREUX anise sirnciure.
Courons-le voir, Alcee.	Courons-le voir, Alcée.
Democle.	Democle.
Courons, j'en ſuis content, Apres m'auoir fauoriſé, s'entend.	Courons, j'en suis content, Après m'avoir favorisé, s'entend.
Alcée.	Alcée.
Preſte l’oreille, approche, approche encores, As-tu dequoy plus m'importuner ores?	Preste l'oreille, approche, approche encore, As-tu dequoy plus m'importuner ores?
Democle.	Democle.
Ouy, te vuijer pris ueſſui, & ium moins.	Oui, te vider pris uessui, et jum moins.
Dorilas.	Dorilas.
Uous le voyez, vous en eſtes teſmoins, O Terre!	Uous le voyez, vous en êtes témoins, Ô Terre!
o Cieux!	ô Cieux!
