A MONSIEUR MONSIEUR HOURLIER.	À MONSIEUR MONSIEUR HOURLIER.
Mais je ſçais, ô beauté charmante, Que tousjours je vous aymeray.	Mais je sais, ô beauté charmante, Que toujours je vous aimerai.
ERASTE.	ERASTE.
Elle continue.	Elle continue.
Voila qui m’aſſeuroit à jamais de vos feux?	Voilà qui m'assurait à jamais de vos feux?
Et la main, & la lettre, ont menty toutes deux.	Et la main, et la lettre, ont menti toutes deux.
Pouſſez.	Poussez.
GROGRENE.	GROGRENE.
ELRASTE.	ÉLRASTE.
Elle eſt de vous?	Elle est de vous?
ſuffit;	suffit;
meſme fortune.	même fortune.
Ferme.	Ferme.
MARINETTE.	MARINETTTE.
LUCILE.	LUCILE.
J’aurois regret d’en épargner aucune.	J'aurais regret d'en épargner aucune.
GROS-RENE.	GROS-RENE.
N’ayez pas le dernier.	N'ayez pas le dernier.
MARINETTE.	MARINETTTE.
Tenez bon juſqu’au bout.	Tenez bon jusqu'au bout.
LUCILE.	LUCILE.
Enſin, voila le reſte.	Ensin, voilà le reste.
ERASTE.	ERASTE.
Et grace au Ciel, c’eſt tout.	Et grâce au Ciel, c'est tout.
Que lon je enterimne, na je hetrens purele.	Que lon je enterimne, na je hétrends purele.
LUCILE.	LUCILE.
Me cononce le Cier, n’Ia mienne eſt frivole.	Me cononce le Cier, n'Ia mienne est frivole.
Adieu donc.	Adieu donc.
ERASTE.	ERASTE.
LUCILE.	LUCILE.
Adieu donc.	Adieu donc.
AEIMEMMTE.	AEIMEMMTE.
Voila qui va des mieux.	Voilà qui va des mieux.
GROSRENE.	GROSRENE.
Vous triomphez.	Vous triomphez.
MARINETTE.	MARINETTTE.
Allons, oſtez-vous de ſes yeux.	Allons, ôtez-vous de ses yeux.
GROSRENE'.	GROSRENE.
Retirez-vous, aples cer choitue courage.	Retirez-vous, aples cer choitve courage.
MARINETTE.	MARINETTTE.
Quattendel vous encor:	Quattendel vous encor:
GROS-RENE'.	GROS-RENE'.
Que faut-il davantage?	Que faut-il davantage?
ERASTE.	ERASTE.
Ha!	Ha!
Lucile, Lucile, un cœur comme le mien de lela legielen, d je le lgay loit oien.	Lucile, Lucile, un cœur comme le mien de lela legielen, d je le légai lait oien.
LUCILE.	LUCILE.
Eraſte, Eraſte, un cœur fait comme eſt fait le voſtre Se peut facilement reparer par un autre.	Eraste, Eraste, un cœur fait comme est fait le vôtre Se peut facilement réparer par un autre.
ERASTE.	ERASTE.
Non, non, cherchez par tout, vous n’en aurez jamais De ſi paſſionné pour vous, je vous promets.	Non, non, cherchez par tout, vous n'en aurez jamais De si passionné pour vous, je vous promets.
Je ne dis pas cela pour vous rendre attendrie;	Je ne dis pas cela pour vous rendre attendrie;
J’aurois tort d’en former encore quelque envie;	J'aurais tort d'en former encore quelque envie;
Mes plus ardens reſpects n’ont pû vous obliger, Vous avez voulu rompre;	Mes plus ardents respects n'ont pu vous obliger, Vous avez voulu rompre;
il n’y faut plus ſonger:	il n'y faut plus songer:
Mais perſonne apres moy, quoy qu’on vous faſſe entendre, N’aura jamais pour vous de paſſion ſi tendre.	Mais personne après moi, quoi qu'on vous fasse entendre, N'aura jamais pour vous de passion si tendre.
L u	 Lu
LUCILE.	LUCILE.
Quand on ayme les gens, on les traite autrement;	Quand on aime les gens, on les traite autrement;
On fait de leur perionne un meilleur jugement.	On fait de leur perionne un meilleur jugement.
ERASTE.	ERASTE.
Quand on ayme les gens, on peut de jalouſie, Sur beaucoup d’apparence, avoir l’ame ſaiſie:	Quand on aime les gens, on peut de jalousie, Sur beaucoup d'apparence, avoir l'âme saisie:
Mais alors qu’on les ayme, on ne peut en effet Se reſoudre à les perdre, & vous vous l’avez fait.	Mais alors qu'on les aime, on ne peut en effet Se résoudre à les perdre, et vous vous l'avez fait.
LACILE.	LACILE.
La pure jalouſie eſt plus reſpectueuſe.	La pure jalousie est plus respectueuse.
ERASTE.	ERASTE.
On voit d’un œil plus doux une offence amoureuſe.	On voit d'un œil plus doux une offense amoureuse.
LUCILE.	LUCILE.
Nonsrome coem, miurte, crton mharemaimé.	Nonsrome co, mivrte, crton mharemaimé.
ERASTE.	ERASTE.
Non, Lucile, jamais vous ne m’avez aymé.	Non, Lucile, jamais vous ne m'avez aimé.
LUCILE.	LUCILE.
Eh!	Eh!
je croy que cela foiblement vous ſoucie:	je crois que cela faiblement vous soucie:
Peut-eſtre en ſeroit-il beaucoup mieux pour ma vie, Si je.	Peut-être en serait-il beaucoup mieux pour ma vie, Si je.
mais laiſſons ia ces diſcours ſuperflus:	mais laissons ja ces discours superflus:
Je ne dis point quels ſont mes penſers là-deſſus.	Je ne dis point quels sont mes pensers là-dessus.
Tohiddoy :	Tohidoy :
ERASTE.	ERASTE.
LUCILE.	LUCILE.
Par la raiſon que nous rompons enſemble, Et que cela n’eſt plus de ſaiſon, ce me ſemble.	Par la raison que nous rompons ensemble, Et que cela n'est plus de saison, ce me semble.
deemtoirena;	deemtoirena;
ERASTE.	ERASTE.
LUCILE.	LUCILE.
Oul vrayment;	Oul vraiment;
quoy?	quoi?
n’en eſt-ce pas fait?	n'en est-ce pas fait?
ERASTE.	ERASTE.
Et vous voyez cela d’un eſprit ſatisfait?	Et vous voyez cela d'un esprit satisfait?
Comme vous.	Comme vous.
LECILE.	LECILE.
ERASTE.	ERASTE.
Comme moy!	Comme moi!
L u	 Lu
LUCILE.	LUCILE.
Sans doute c’eſt foibleſſe, De ſane von aux gens que leur perte nous bleſſe.	Sans doute c'est faiblesse, De zane von aux gens que leur perte nous blesse.
ERASTE.	ERASTE.
Mais, cruelle, c’eſt vous qui l’avez bien voulu.	Mais, cruelle, c'est vous qui l'avez bien voulu.
LUGILE.	LUGILE.
Moy!	Moi!
point du tout;	point du tout;
c’eſt vous qui l’avez reſolu.	c'est vous qui l'avez résolu.
BIMSTL.	BIMÊTL.
Moy!	Moi!
je vous ay creu là faire un plaiſir extreme.	je vous ai cru là faire un plaisir extrême.
LUCILE.	LUCILE.
Point, vous avez voulu vous contenter vous meſme.	Point, vous avez voulu vous contenter vous -même.
ERASTE.	ERASTE.
Mais, ſi mon cœur encor revouloit ſa priſon?	Mais, si mon cœur encor revoulait sa prison?
Si, tout faſché qu’il eſt, il demandoit pardon?	Si, tout fâché qu'il est, il demandait pardon?
LUCILE.	LUCILE.
Reon, non, nen faites nen;	Reon, non, nen faites nen;
ina roioleſſe eſt trop grande, J’aurois peur d’accorder trop toſt voſtre demande,	ina rolesse est trop grande, J'aurais peur d'accorder trop tôt votre demande,
ERASTE.	ERASTE.
Ha!	Ha!
vous ne pouvez pas trop toſt me l’accorder, Ny moy ſur cette peur trop toſt le demander;	vous ne pouvez pas trop tôt me l'accorder, Ni moi sur cette peur trop tôt le demander;
Conſentez-y, Madailie;	Consentez-y, Madailie;
uiie nailie ii oene Doit pour voſtre intereſt demeurer immortelle.	Ouiie nailie ji oene Doit pour votre intérêt demeurer immortelle.
Je le demande enfin:	Je le demande enfin:
me l’accorderez-vous Ce pardon obligeant?	me l'accorderez-vous Ce pardon obligeant?
LUCILE.	LUCILE.
Remenez-moy chez nous.	Remenez-moi chez nous.
CENE IV.	CÈNE IV.
MARINETTE, GROS-RENE',	MARINETTTE, GROS-RENE,
MARINETTE.	MARINETTTE.
O!	Ô!
la laſche perſonne!	la lâche personne!
GROS-RENE’.	GROS-RENE'.
Ha!	Ha!
le foibie courage!	le faibie courage!
MARINETTE.	MARINETTTE.
J’en rougis de depit.	J'en rougis de dépit.
GRAS-RENE’.	GRAS-RENE'.
J’en ſuis gonflé de rage:	J'en suis gonflé de rage:
Ne t’imagine pas que je me rende ainſi.	Ne t'imagine pas que je me rende ainsi.
M ARIREATE.	M MRIREATTE.
Et ne penſe pas, toy, trouver ta dupe auſſi.	Et ne pense pas, toi, trouver ta dupe aussi.
ROS-RENE.	ROS-RENE.
Vien, vien, froter ton nez aupres de ma colere.	Viens, viens, frodter ton nez auprès de ma colère.
MARINETTE.	MARINETTTE.
Tu nous prens pour un autre;	Tu nous prends pour un autre;
& tu n’as pas affaire A ma ſotte maiſtreſſe.	et tu n'as pas affaire À ma sotte maîtresse.
Ardez le beau muſeau?	Ardez le beau museau?
Pour nous donner envie encore de ſa peau:	Pour nous donner envie encore de sa peau:
Moy, j’aurois de l’amioul pour ta chenle de face!	Moi, j'aurais de l'amoul pour ta chenle de face!
Moy, je te chercherois!	Moi, je te chercherais!
Ma foy, l’on t’en fricaſſe Des filles comme nous.	Ma foi, l'on t'en fricasse Des filles comme nous.
GROS-RENE'.	GROS-RENE'.
Oui?	Oui?
tu le prens par là?	tu le prends par là?
Tien, tien, ſans y chercher tant de façons, voila Ton beau galand de neige, avec ta nompareille:	Tiens, tien, sans y chercher tant de façons, voilà Ton beau galant de neige, avec ta nompareille:
Il n’aura plus l’honneur d’eſtre ſur mon oreille.	Il n'aura plus l'honneur d'être sur mon oreille.
MARINETTE.	MARINETTTE.
Et toy, pour te monſtrer que tu m’es à mépris, Voila ton demy-cent d’épingles de Paris, Que tu me donnas hier avec tant de fanfarre.	Et toi, pour te montrer que tu m'es à mépris, Voilà ton demi-cent d'épingles de Paris, Que tu me donnas hier avec tant de fanfarre.
d Ro sin E dE.	d Ro sin E dE.
Tiens encor ton couſteau;	Tiens encor ton coûteau;
la piece eſt riche & rare:	la pièce est riche et rare:
Il te couſta ſix blancs lors que tu m’en fis don.	Il te coûta six blancs lors que tu m'en fis don.
MARINETTE.	MARINETTTE.
Tien tes ciſeaux, avec ta chaiſne de leton.	Tiens tes ciseaux, avec ta chaîne de leton.
GROS-RENE.	GROS-RENE.
J’oubliois d’avant-hier ton morceau de fromage;	J'oubliais d'avant-hier ton morceau de fromage;
Tien:	Tiens:
je voudrois pouvoir rejetter le potage Que tu me fis manger, pour n’avoir rien à toy.	je voudrais pouvoir rejetter le potage Que tu me fis manger, pour n'avoir rien à toi.
MA	MA
MARINETTE.	MARINETTTE.
Je n’ay point maintenant de tes lettres ſur moy;	Je n'ai point maintenant de tes lettres sur moi;
Mais jen feray du ieu juiques à la demſere.	Mais jen ferai du jeu juiques à la demsere.
GROS-RENE.	GROS-RENE.
Et des tiennes tu ſçais ce que j’en ſçauray faire!	Et des tiennes -tu sais ce que j'en sçauray faire!
MARINETTE.	MARINETTTE.
Prend garde à ne venir jamais me reprier.	Prend garde à ne venir jamais me reprier.
GROS-RENE’.	GROS-RENE'.
Pour couper tout chemin à nous rapatrier, Il faut rompre la paille;	Pour couper tout chemin à nous rapatrier, Il faut rompre la paille;
Une paille rompuë Rend, entre gens d’honneur, une affaire concluë, Ne fay point les doux yeux;	Une paille rompue Rend, entre gens d'honneur, une affaire conclue, Ne fais point les doux yeux;
je veux eſtre faſché.	je veux être fâché.
MARINETTE.	MARINETTTE.
Ne me lorgne point, toy;	Ne me lorgne point, toi;
j’ay l’eſprit trop touché.	j'ai l'esprit trop touché.
R OSRENE.	R OSRENE.
Romps;	Romps;
voila le moyen de ne s’en plus dédire:	voilà le moyen de ne s'en plus dédire:
Romps;	Romps;
tu fis, bonne belte :	tu fis, bonne belte :
MARINETTE.	MARINETTTE.
Oui, car tu me fais rire.	Oui, car tu me fais rire.
GROS-RENE’.	GROS-RENE'.
La peſte ſoit ton ris;	La peste soit ton ris;
voila tout mon courroux Déjauuieme, qu'en distta:	voilà tout mon courroux Déjauuieme, qu'en dista:
ſomprons nous?	somprons -nous?
Ou ne romprons nous pas?	Ou ne romprons nous pas?
MARINETTE.	MARINETTTE.
Voy.	Voi.
GROSRENE.	GROSRENE.
Voy toy.	Vois toi.
MARINETTE.	MARINETTTE.
voy toy-meſme.	vois toi-même.
GROS-RENE’.	GROS-RENE'.
Eſt-ce que tu conſens que jamais je ne t’ayme?	Est-ce que tu consens que jamais je ne t'aime?
MARINETTE.	MARINETTTE.
Moy?	Moi?
ce que tu voudras.	ce que tu voudras.
Dy.	Dis.
GROSRENE'.	GROSRENE.
Ce que tu voudras, toy.	Ce que tu voudras, toi.
A 8 N ETTE.	À 8 NIGNETTE.
Je ne dhay nen	Je ne dhay nen
R o S-REN E'.	R ô SREN E.
Ny moy non plus.	Ni -moi non plus.
MARINETTE.	MARINETTTE.
Ny moy.	Ni -mo.
RENE'.	RENE.
Ma foy, nous ierons fileux de quitter la grimace;	Ma foi, nous jerons fileux de quitter la grimace;
Touche, je te pardonne.	Touche, je te pardonne.
MART N ETTE.	MART NIGNETTE.
Et moy je te fais grace.	Et moi je te fais grâce.
E Mon Dieu!	 Mon Dieu!
qu’à tes appas je ſuit desquiné!	qu'à tes appas je suit desquiné!
RtTE.	RtTE.
Que Marinette eſt ſotte apres ſon Gros-René!	Que Marinette est sotte après son Gros-René!
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACTE	ACTE
ACTE V.	ACTE V.
SCENE I.	SCÈNE I.
8 MASCARILLE.	8 MASCARILLE.
Ez que l’obſcurité regnera dans la vilJe me veux introduire au logis de Lucile:	Es que l'obscurité régnera dans la vilJe me veux introduire au logis de Lucile:
Va viſte de ce pas preparer pour tantoſt, Et la lanterne ſourde, & les armes qu’il faut.	Va vite de ce pas préparer pour tantôt, Et la lanterne sourde, et les armes qu'il faut.
Quand il m’a dit ces mots, il m’a ſemblé d’entendre, Va viſtement chercher un licou pour te pendre.	Quand il m'a dit ces mots, il m'a semblé d'entendre, Va vite chercher un licou pour te pendre.
Venez-ça, mon patron, car, dans l’étonnement Où m’a jetté d’abord un tel commandement, Je n’ay pas eu le temps de vous pouvoir répondre;	Venez-ça, mon patron, car, dans l'étonnement Où m'a jeté d'abord un tel commandement, Je n'ai pas eu le temps de vous pouvoir répondre;
Mais je vous veux icy parler, & vous confondre:	Mais je vous veux ici parler, et vous confondre:
Deffendez-vous donc bien, & raiſonnons ſans bruit.	Défendez-vous donc bien, et raisonnons sans bruit.
Vous voulez, dites-vous, aller voir cette nuit Lucile?	Vous voulez, dites-vous, aller voir cette nuit Lucile?
oui, Maſcarille.	oui, Mascarille.
Et que penſez-vous faire?	Et que pensez-vous faire?
Une action d’amant qui ſe veut ſatisfaire, Une action d’un homme à fort petit cerveau, Que d’aller ſans beſoin riſquer ainſi ſa peau:	Une action d'amant qui se veut satisfaire, Une action d'un homme à fort petit cerveau, Que d'aller sans besoin risquer ainsi sa peau:
Mais tu ſçais quel motif à ce deſſein m’apelle;	Mais tu sais quel motif à ce dessein m'appelle;
Lucile eſt irritée.	Lucile est irritée.
Et bien, tant pis pour elle.	Et bien, tant pis pour elle.
Mais l’amour veut que j’aille appaiſer ſon eſprit.	Mais l'amour veut que j'aille apaiser son esprit.
Mais l’amour eſt un ſot qui ne ſçait ce qu’il dit :	Mais l'amour est un sot qui ne sait ce qu'il dit :
Nous garantira-t-il cet amour, je vous prie, D’un rival, ou d’un pere, ou d’un frere en furie?	Nous garantira-t-il cet amour, je vous prie, D'un rival, ou d'un père, ou d'un frère en furie?
Penſes-tu qu’aucun d’eux ſonge à nous faire mal ?	Penses-tu qu'aucun d'eux songe à nous faire mal ?
Oui vrayment, je le penſe;	Oui vraiment, je le pense;
& ſur tout, ce rival.	et sur tout, ce rival.
Maſcarille, en tout cas, l’eſpoir où je me fonde, Nous irons bien armez, & ſi quelqu’un nous gron Nous nous chamaillerons.	Mascarille, en tout cas, l'espoir où je me fonde, Nous irons bien armés, et si quelqu'un nous gron Nous nous chamaillerons.
Oui, voila juſtement Ce que voſtre valet ne pretend nullement:	Oui, voilà justement Ce que votre valet ne prétend nullement:
Moy chamailler!	Moi chamailler!
bon Dieu!	bon Dieu!
ſuiſ-je un Roland?	suis-je un Roland?
mon Maiſtre, Ou quelque Ferragus?	mon Maître, Ou quelque Ferragus?
c’eſt fort mal me connoiſtre, Quand je viens à ſonger, moy qui me ſuis ſi cher, Qu’il ne faut que deux doits d’un miſerable fer Dans le corps, pour vous mettre un humain dans la bierre, Je ſuis ſçandaliſé d’une étrange maniere.	c'est fort mal me connaître, Quand je viens à songer, moi qui me suis si cher, Qu'il ne faut que deux doits d'un misérable fer Dans le corps, pour vous mettre un humain dans la bierre, Je suis sçandalisé d'une étrange manière.
Mais tu ſeras armé de pied-en-cap.	Mais tu seras armé de pied-en-cap.
Tant pis;	Tant pis;
J’en ſeray moins leger à gagner le taillis:	J'en serai moins léger à gagner le taillis:
Et de plus, il n’eſt point d’armure ſi bien jointe, Où ne puiſſe gliſſer une vilaine pointe.	Et de plus, il n'est point d'armure si bien jointe, Où ne puisse glisser une vilaine pointe.
Oh!	Oh!
tu ſeras ainſi tenu pour un poltron.	tu seras ainsi tenu pour un poltron.
Soit:	Soit:
pourveu que tousjours je branle le menton:	pourvu que toujours je branle le menton:
A table contez-moy, ſi vous voulez, pour quatre;	A table contez-moi, si vous voulez, pour quatre;
Mais contez moy pour rien, s’il s’agit de ſe batie:	Mais comptez -moi pour rien, sil 'agit de se bâtie:
Enfin, ſi l’autre monde a des charmes pour vous, Pour moy, je trouve l’air de celuy-cy fort doux:	Enfin, si l'autre monde a des charmes pour vous, Pour moi, je trouve l'air de celui-cy fort doux:
Je n’ay pas grande faim de mort ny de bleſſure, Et vous ferez le ſot tout ſeul, je vous aſſure.	Je n'ai pas grande faim de mort ni de blessure, Et vous ferez le sot tout seul, je vous assure.
SCENE II.	SCÈNE II.
VALERE, MASCARILLE.	VALÈRE, MASCARILLE.
VALERE.	VALÈRE.
IE n’ay jamais trouvé de jour plus ennuyeux:	JE n'ai jamais trouvé de jour plus ennuyeux:
Le ſoleil ſemble s’eſtre oublié dans les Cieux, Et juſqu’au lit qui doit recevoir ſa lumiere, Je voy reſter encore une tene cuiliere;	Le soleil semble s'être oublié dans les Cieux, Et jusqu'au lit qui doit recevoir sa lumière, Je vois rester encore une téne cuilière;
Que je croy que jamais il ne l’achevera, Et que de ſa lenteur mon ame enragera.	Que je crois que jamais il ne l'achèvera, Et que de sa lenteur mon âme enragera.
MASCARILLE.	MASCARILLE.
Et cet empreſſement pour s’en aller dans l’ombre, Peſcher Peſcher viſte à taſtons quelque ſiniſtre encombre.	Et cet empressement pour s'en aller dans l'ombre, Pêcher Pêcher vite à tâtons quelque sinistre encombre.
vous voyee que Enene entiele en ies ſeouts.	vous voie que Enène entièle en jes seouts.
ALERE.	ALÈRE.
Ne me fay point icy de contes ſuperflus.	Ne me fais point ici de contes superflus.
Quand j’y devrois trouver cent embûches mortelles, Je ſens de ſon couroux des geſnes trop cruelles;	Quand j'y devrais trouver cent embûches mortelles, Je sens de son courroux des gênes trop cruelles;
Et je veux l’adoucir, ou terminer mon ſort.	Et je veux l'adoucir, ou terminer mon sort.
C’eſt un point reſolu.	C'est un point résolu.
MASCARILLE.	MASCARILLE.
J’approuve ce tranſport:	J'approuve ce transport:
Mais le mal eſt, Monſieur, qu’il faudra s’introduire En cachette.	Mais le mal est, Monsieur, qu'il faudra s'introduire En cachette.
VALERE.	VALÈRE.
Fuis bien.	Fuis bien.
MASCARILLE.	MASCARILLE.
Et j’ay peur de vous nuire.	Et j'ai peur de vous nuire.
Et comment ?	Et comment ?
VALERE.	VALÈRE.
MASCARILLE.	MASCARILLE.
Une toux me tourmente à mourir, Dont le blart iinportui rous lela deleouvin:	Une toux me tourmente à mourir, Dont le blart jinportui rous lela délouvin:
De moment en moment.	De moment en moment.
Vous voyez le ſapplice.	Vous voyez le sapplice.
VALERE.	VALÈRE.
Ce mal te paſſera;	Ce mal te passera;
pren du jus de reglire.	pren du jus de règlire.
MASCARILLE.	MASCARILLE.
Je ne croy, pas, Monſieur, qu’il ſe veuille paſſer.	Je ne crois, pas, Monsieur, qu'il se veuille passer.
Je ſerois ravy moy de ne vous point laiſſer;	Je serais ravi moi de ne vous point laisser;
Mais j’aurois un regret mortel, ſi j’eſtois cauſe Qu’il fut à mon cher maiſtre arrivé quelque choſe.	Mais j'aurais un regret mortel, si j'étais cause Qu'il fut à mon cher maître arrivé quelque chose.
SCENE III.	SCÈNE III.
VALERE, LA RAPIERE, MASCARILLE.	VALÈRE, LA RAPIÈRE, MASCARILLE.
LA RAPIERE.	LA RAPIÈRE.
Onſieur, de bonne part je viens d’eſtre informé, M Qu’Eraſte eſt contre vous fortement animé;	Onsieur, de bonne part je viens d'être informé, M Qu'Éraste est contre vous fortement animé;
Et qu’Aibert parle auſſi de faire pour ſa fille Roüer jambes & bras à voſtre Maſcarille.	Et qu'Aibert parle aussi de faire pour sa fille Rouer jambes et bras à votre Mascarille.
MASCARILLE.	MASCARILLE.
Moy;	Moi;
je ne ſuis pour rien dans tout cét embarras.	je ne suis pour rien dans tout cet embarras.
Qu'ay-je fait?	Qu'ai-je fait?
pour me voir roüer jambes & bras?	pour me voir rouer jambes et bras?
Suiſ-je donc gardien, pour employer ce ſtile, De la vngiinte des Mlles de la viile;	Suis-je donc gardien, pour employer ce style, De la vngiinte des Mlles de la viile;
Sur la tentation ay-je quelque credit?	Sur la tentation ai-je quelque crédit?
Et puiſ-je mais, chetif, ſi le cœur leur en dit?	Et puis-je mais, chétif, si le cœur leur en dit?
ALERE.	ALÈRE.
O!	Ô!
qu’ils ne ſeront pas ſi meſchans qu’ils le diſent!	qu'ils ne seront pas si méchants qu'ils le disent!
Et quelque belle ardeur que ſes feux luy produiſent, Ciante nuula pua nuon maiene de nous.	Et quelque belle ardeur que ses feux -m produisent, Ciante nuula pua nuon maiène de nous.
LA RAPIERE.	LA RAPIÈRE.
S’il vous failoit beloin, mon bras eſt tout à vous.	S'il vous failait beloin, mon bras est tout à vous.
Vous ſçavez de tout temps que je ſuis un bon frere.	Vous savez de tout temps que je suis un bon frère.
ALERE.	ALÈRE.
Je vous ſuis obligé, monieur de la Rtapiere.	Je vous suis obligé, monieur de la Rtapière.
LA RAPIERE.	LA RAPIÈRE.
J’ay deux amis aun que je vous pllis domer, Qui contre tous venans ſont gens à dégainer, Et ſur qui vous pourrez prendre toute aſſeurance.	J'ai deux amis aun que je vous pllis domer, Qui contre tous venants sont gens à dégainer, Et sur qui vous pourrez prendre toute assurance.
MASCARILLE.	MASCARILLE.
Acceptez-les, Monſieur.	Acceptez-les, Monsieur.
VALERE.	VALÈRE.
C’eſt trop de complaiſance.	C'est trop de complaisance.
HA	HA
LA RAPIERE.	LA RAPIÈRE.
Le petit Gille encor euſt pû nous aſſiſter, Sans le triſte accident qui vient de nous l’oſter.	Le petit Gille encor eût pu nous assister, Sans le triste accident qui vient de nous l'ôter.
Monſieur, le grand dommage!	Monsieur, le grand dommage!
& l’homme de ſervice!	et l'homme de service!
Vous avez ſçeu le tour que luy fit la Juſtice?	Vous avez su le tour que lui fit la Justice?
Il mourut en Ceſar, & luy caſſanr les os Le boureau ne luy pût faire laſcher deux mots.	Il mourut en César, et même cassanr les os Le boureau ne parler pût faire lâcher deux mots.
VALERE.	VALÈRE.
Monſieur de la Rapiere, un homme de la ſorte Doit eſtre regrete;	Monsieur de la Rapière, un homme de la sorte Doit être règrete;
mais, quant a voſtre eſcorte, Je vous rend grace.	mais, quant a votre escorte, Je vous rend grâce.
LA RAPIERE.	LA RAPIÈRE.
Soit;	Soit;
mais ſoyez averty Qu’il vous cherche, & vous peut faire un mauvais party.	mais soyez averti Qu'il vous cherche, et vous peut faire un mauvais parti.
VALERE.	VALÈRE.
Et moy, pour vous montrer combien je l’apprehende?	Et moi, pour vous montrer combien je l'appréhende?
Je luy veux, s’il me cherche, offrir ce qu’il demande?	Je te veux, s'il me cherche, offrir ce qu'il demande?
Et par toute la ville aller preſentement, Sans eſtre accompagné que de luy ſeulement.	Et par toute la ville aller présentement, Sans être accompagné que de lui seulement.
LA RAPIERE.	LA RAPIÈRE.
Quoy!	Quoi!
Monſieur;	Monsieur;
vous voulez tenter bieu!	vous voulez tenter bieu!
quelle audace!	quelle audace!
Las vous voyez tous deux comme l’on vous menace, Combien de tous coſtez.	Las vous voyez tous deux comme l'on vous menace, Combien de tous côtés.
VALERE.	VALÈRE.
Que regardes-tu là ?	Que regardes-tu là ?
MASeMRIEHE.	MASMRIEHÉE.
C’eſt qu’il ſent le baſton du coſté que voila.	C'est qu'il sent le bâton du côté que voilà.
Enfin, ſi maintenant ma prudence en eſt creuë, Ne nous obſtinons point à reſter dans la ruë:	Enfin, si maintenant ma prudence en est cruë, Ne nous obstinons point à rester dans la rue:
Allons nous renfermer.	Allons nous renfermer.
VALERE.	VALÈRE.
Nous renfermer!	Nous renfermer!
faquin;	faquin;
Tu m’oſes propoſer un acte de coquin!	Tu m'oses proposer un acte de coquin!
Sus, ſans plus de diſcours, reſous toy de me ſuivre.	Sus, sans plus de discours, résous toi de me suivre.
MASCARII.	MASCARII.
LE.	LE.
Eh!	Eh!
Monſieur, mon cher maiſtre, il eſt ſi doux de vivre!	Monsieur, mon cher maître, il est si doux de vivre!
On ne meurt qu’une fois, & c’eſt pour ſi long temps!	On ne meurt qu'une fois, et c'est pour si long temps!
VALERE.	VALÈRE.
Je m’en vais t’aſſommer de coups, ſi je t'entens.	Je m'en vais t'assommer de coups, si je t'entends.
Aſcagne vient icy;	Ascagne vient ici;
laiſſons-le;	laissons-le;
il faut attendre Quel party de luy-meſme il reſoudra de prendre.	il faut attendre Quel parti de Seigneur-même il résoudra de prendre.
Cependaſit avec moy vien piendie à la Illailon Pour nous frotter.	Cépendasit avec moi vien piendie à la Illailon Pour nous frotter.
MASCARILLE.	MASCARILLE.
Je n’ay nulle demangeaiſon.	Je n'ai nulle démangeaison.
Que muudle none famoui, es leo mien maudites, Qui veulent en taſter, puis font les chatemites.	Que muudle none famoui, es leo mien maudites, Qui veulent en tâter, puis font les chatemites.
SCENE IV.	SCÈNE IV.
ASCAGNE, FROSINE.	ASCAGNE, FROSINE.
ISCAGNE.	ISCAGNE.
7ST-il bien vray, Froſine?	7ST-il bien vrai, Frosine?
& ne reſvay-je point?	et ne rêvai-je point?
De grace, contez-moy bien tout de point en point.	De grâce, contez-moi bien tout de point en point.
FROSINE.	FROSINE.
Vous en ſçaurez aſſez le détail;	Vous en sçaurez assez le détail;
laiſſez faire :	laissez faire :
Ces ſortes d’incidens ne ſont pour l’ordinaire Que redits trop de fois de moment en moment.	Ces sortes d'incidents ne sont pour l'ordinaire Que redits trop de fois de moment en moment.
Suffit que vous ſçachiez, qu’apres ce teſtament Qui vouloit un garçon pour tenir ſa promeſſe, De la femme d’Albert la derniere groſſeſſe N’accoucha que de vous, & que luy deſſous main Ayant depuis long-temps concerté ſon deſſein, Fit ſon fils de celuy d’Ignés la bouquetiere, Qui vous donna pour ſienne a nourrir à ma mere.	Suffit que vous sachiez, qu'après ce testament Qui voulait un garçon pour tenir sa promesse, De la femme d'Albert la dernière grossesse N'accoucha que de vous, et que tu dessous main Ayant depuis longtemps concerté son dessein, Fit son fils de celui d'Ignès la bouquetière, Qui vous donna pour sienne a nourrir à ma mère.
La mort ayant ravy ce petit innocent Quelque dix mois apres, Albert eſtant abſent,	La mort ayant ravi ce petit innocent Quelque dix mois après, Albert étant absent,
La.	La.
La crainte d’un Epoux, & l’amour maternelle, Firent l’evenement d’une ruſe nouvelle.	La crainte d'un Époux, et l'amour maternelle, Firent l'événement d'une ruse nouvelle.
Sa femme en ſecret lors ſe rendit ſon vray ſang;	Sa femme en secret lors se rendit son vrai sang;
Vous devintes celuy qui tenoit voſtre rang, Et la mort de ce fils mis dans voſtre famille Se couvrit pour Albert de celle de ſa fille.	Vous devîntes celui qui tenait votre rang, Et la mort de ce fils mis dans votre famille Se couvrit pour Albert de celle de sa fille.
Voila de voſtre ſort un miſtere éclaircy, Que voſtre feinte mere a caché juſqu’icy.	Voilà de votre sort un mystère éclairci, Que votre feinte mère a caché jusqu'ici.
Elle en dit des raiſons, & peut en avoir d’autres, Par qui ſes intereſts n’eſtoient pas tous les voſtres.	Elle en dit des raisons, et peut en avoir d'autres, Par qui ses intérêts n'étaient pas tous les vôtres.
